<doc id="wr_1758-06-21" attrs="word" year="1758" month="06" day="21" corpus="2">
<head id="h2_d254e3304">
Cöln	w1_d254e3308
bey	w15_d254e14133
dem	w17_d254e14136
gut.	w1_d254e14141
Hirt.	w3_d254e14144
im	w5_d254e14147
Lerchenf.,	w7_d254e14150
alt	w9_d254e14153
39.	w11_d254e14156
J.	w13_d254e14160
Dem	w1_d254e14165
Ant.	w3_d254e14168
Allania,	w5_d254e14171
Perücken=mach.,	w7_d254e14174
s.	w9_d254e14177
W.	w11_d254e14180
Rosal.	w13_d254e14184
beym	w1_d254e14189
weis.	w3_d254e14192
Stern	w5_d254e14195
in	w7_d254e14198
der	w9_d254e14201
Josephst.,	w11_d254e14204
alt	w13_d254e14208
53.	w15_d254e14211
J.	w17_d254e14214
Der	w1_d254e14220
Susan.	w3_d254e14223
Kefin,	w5_d254e14226
Wittwe,	w7_d254e14229
ihr	w9_d254e14232
K.	w11_d254e14235
Elisab.,	w13_d254e14239
bey	w15_d254e14242
der	w17_d254e14245
Get.	w1_d254e14250
bey	w3_d254e14253
St.	w5_d254e14256
Ulrich,	w7_d254e14259
alt	w9_d254e14262
2.	w11_d254e14265
J.	w13_d254e14269
Mich	w1_d254e14274
Graßler,	w3_d254e14277
Schuh=mach.,	w5_d254e14280
beym	w7_d254e14283
Stuck=gies.	w9_d254e14286
auf	w11_d254e14289
der	w1_d254e14294
Wendelst.,	w3_d254e14297
alt	w5_d254e14300
43.	w7_d254e14303
J.	w9_d254e14306
Andre	w1_d254e14312
Brandlmayr,	w3_d254e14315
Haus=kn.,	w5_d254e14318
beym	w7_d254e14321
Wolf.	w9_d254e14324
am	w11_d254e14327
Neustlft,	w1_d254e14332
alt	w3_d254e14335
58.	w5_d254e14338
J.	w7_d254e14341
Carhar.	w1_d254e14346
Wagnerin,	w3_d254e14349
Wittwe,	w5_d254e14352
beym	w7_d254e14355
Schwarzwald.	w9_d254e14358
bey	w1_d254e14363
St.	w3_d254e14366
Ulrich,	w5_d254e14369
at	w7_d254e14372
68.	w9_d254e14375
J.	w11_d254e14378
Joh.	w1_d254e14384
Galindo,	w3_d254e14387
Obonelis.	w5_d254e14390
Caporal,	w7_d254e14393
in	w9_d254e14396
der	w11_d254e14399
Casarm,	w13_d254e14403
alt	w1_d254e14408
75.	w3_d254e14411
J.	w5_d254e14414
Dem	w1_d254e14419
Phil.	w3_d254e14422
Breit,	w5_d254e14425
Tagw.,	w7_d254e14428
s.	w9_d254e14431
W.	w11_d254e14434
Anna,	w13_d254e14438
bey	w15_d254e14441
J.	w17_d254e14444
M.	w19_d254e14447
J.	w1_d254e14452
zu	w3_d254e14455
Margar.,	w5_d254e14458
alt	w7_d254e14461
33.	w9_d254e14464
J.	w11_d254e14467
</list>
<head id="h2_d254e14474">
Summa	w1_d254e14478
11.	w3_d254e14481
Person.,	w5_d254e14484
danunter	w7_d254e14487
1.	w9_d254e14490
Kind.	w11_d254e14493
Den	w1_d254e14498
19.	w3_d254e14501
Junii.	w5_d254e14504
Jn	w1_d254e14509
der	w3_d254e14512
Stadt.	w5_d254e14515
</head>
<list id="l4_d254e14518">
Die	w1_d254e14522
Wol=edle	w3_d254e14525
Fr.	w5_d254e14528
Anna	w7_d254e14531
Maria	w9_d254e14534
Beerin,	w11_d254e14537
Wittwe,	w13_d254e14541
im	w1_d254e14546
Defrancels.	w3_d254e14549
H.	w5_d254e14552
in	w7_d254e14555
der	w9_d254e14558
Kärntner=st.,	w11_d254e14561
58.	w13_d254e14565
J.	w15_d254e14568
Jungf.	w1_d254e14573
Josepha	w3_d254e14576
Siewerfin,	w5_d254e14579
im	w7_d254e14582
Himmel=pfort=H.	w9_d254e14585
in	w11_d254e14588
der	w1_d254e14594
Himmel=pfort=gas.,	w3_d254e14597
alt	w5_d254e14600
47.	w7_d254e14603
J.	w9_d254e14606
Joh.	w1_d254e14611
Linsenmayr,	w3_d254e14614
Burgerl.	w5_d254e14617
Schneid.,	w7_d254e14620
im	w9_d254e14623
Alchis.	w11_d254e14626
H.	w1_d254e14631
auf	w3_d254e14634
der	w5_d254e14637
boh.	w7_d254e14640
Bruck.,	w9_d254e14643
alt	w11_d254e14646
59.	w13_d254e14650
J.	w15_d254e14653
Urban	w1_d254e14658
Ulrich,	w3_d254e14661
Kutsch.,	w5_d254e14664
im	w7_d254e14667
Kirchschlageris.	w9_d254e14670
H.	w11_d254e14673
am	w13_d254e14677
Saz=gr.,	w1_d254e14683
alt	w3_d254e14686
50.	w5_d254e14689
J.	w7_d254e14692
</list>
<head id="h2_d254e14699">
Vor	w1_d254e14703
der	w3_d254e14706
Stadt.	w5_d254e14709
</head>
<list id="l4_d254e14712">
Dem	w1_d254e14716
Math	w3_d254e14719
Steidl,	w5_d254e14722
Burgerl.	w7_d254e14725
Schlos,	w9_d254e14728
s.	w11_d254e14731
W.	w13_d254e14735
Eleo	w15_d254e14738
nora,	w1_d254e14743
beym	w3_d254e14746
gold.	w5_d254e14749
Adl.	w7_d254e14752
in	w9_d254e14755
der	w11_d254e14758
Leopoldst.,	w13_d254e14762
57.	w15_d254e14765
J.	w17_d254e14768
Dem	w1_d254e14773
Franz	w3_d254e14776
Amerlang,	w5_d254e14779
Burgerl.	w7_d254e14782
Buch	w9_d254e14785
bind,	w11_d254e14788
s.	w13_d254e14792
W.	w15_d254e14795
Veronßica,	w1_d254e14801
beym	w3_d254e14804
gold.	w5_d254e14807
Hirsch.	w7_d254e14810
im	w9_d254e14813
Liechtenth.,	w11_d254e14816
alt	w13_d254e14820
74.	w1_d254e14825
J.	w3_d254e14828
Ant.	w1_d254e14833
Todt,	w3_d254e14836
Burgerl.	w5_d254e14839
Schneid.,	w7_d254e14842
im	w9_d254e14845
Münsterfeldi	w11_d254e14848
H.	w1_d254e14853
auf	w3_d254e14856
der	w5_d254e14859
Landstr.,	w7_d254e14862
alt	w9_d254e14865
56.	w11_d254e14868
J.	w13_d254e14872
Jos.	w1_d254e14878
Holzknecht,	w3_d254e14881
Burgerl.	w5_d254e14884
Schuh=mach.,	w7_d254e14887
im	w9_d254e14890
Son	w11_d254e14893
nenfeldis.	w1_d254e14898
H.	w3_d254e14901
in	w5_d254e14904
der	w7_d254e14907
Leopoldst.,	w9_d254e14910
alt	w11_d254e14913
47.	w13_d254e14917
J.	w15_d254e14920
Dem	w1_d254e14925
Paul	w3_d254e14928
Kuep,	w5_d254e14931
Büchsen=mach.,	w7_d254e14934
s.	w9_d254e14937
K.	w11_d254e14940
Elisab.,	w13_d254e14944
bey	w15_d254e14947
dem	w1_d254e14952
gold.	w3_d254e14955
Ochs.	w5_d254e14958
in	w7_d254e14961
der	w9_d254e14964
Leopoldst.,	w11_d254e14967
alt	w13_d254e14971
4J.	w15_d254e14974
</list>
<list id="l10_d254e14988">
Der	w1_d254e14992
Anna	w3_d254e14995
Mayrin,	w5_d254e14998
Wittwe,	w7_d254e15001
ihr	w9_d254e15004
K.	w11_d254e15007
Conrad,	w13_d254e15011
beym	w15_d254e15014
weis.	w1_d254e15019
Kreutz	w3_d254e15022
in	w5_d254e15025
der	w7_d254e15028
Josephst.,	w9_d254e15031
alt	w11_d254e15034
4.	w13_d254e15038
J.	w15_d254e15041
Cathar.	w1_d254e15046
Hepin,	w3_d254e15049
led.	w5_d254e15052
M.,	w7_d254e15055
beym	w9_d254e15058
weis.	w11_d254e15061
Engel	w13_d254e15065
im	w15_d254e15068
Ler	w17_d254e15071
chenf.,	w1_d254e15077
at	w3_d254e15080
44.	w5_d254e15083
J.	w7_d254e15086
Andre	w1_d254e15091
Allram,	w3_d254e15094
Tagw.,	w5_d254e15097
im	w7_d254e15100
Zeutzisch.	w9_d254e15103
H.	w11_d254e15106
am	w13_d254e15110
Him	w15_d254e15113
mel=pfort=gr.,	w1_d254e15118
alt	w3_d254e15121
83.	w5_d254e15124
J.	w7_d254e15127
Summa	w1_d254e15132
12.	w3_d254e15135
Person.,	w5_d254e15138
darunter	w7_d254e15141
2.	w9_d254e15144
Kind.	w11_d254e15147
</list>
<p id="p12_d254e15152">
Jn	w1_d254e15156
St.	w3_d254e15159
Pölten,	w5_d254e15162
seynd	w7_d254e15165
in	w9_d254e15168
einem	w11_d254e15171
neu=gebau	w13_d254e15175
ten	w1_d254e15180
schönen	w3_d254e15183
Haus,	w5_d254e15186
so	w7_d254e15189
auf	w9_d254e15192
dem	w11_d254e15195
besten	w13_d254e15199
Platz	w15_d254e15202
ste	w17_d254e15205
het,	w1_d254e15210
9.	w3_d254e15213
Zimmer,	w5_d254e15216
nebst	w7_d254e15219
Stallung,	w9_d254e15222
Schupfen	w11_d254e15225
und	w1_d254e15231
einem	w3_d254e15234
Garten,	w5_d254e15237
samt	w7_d254e15240
denen	w9_d254e15243
nohkwendi	w11_d254e15246
gen	w1_d254e15251
Meublen	w3_d254e15254
zu	w5_d254e15257
verlassen,	w7_d254e15260
wer	w9_d254e15263
selbes	w11_d254e15266
bestehen	w13_d254e15270
will,	w1_d254e15275
der	w3_d254e15278
hat	w5_d254e15281
sich	w7_d254e15284
der	w9_d254e15287
mehrern	w11_d254e15290
Auskunft	w13_d254e15294
hal	w15_d254e15297
ber	w1_d254e15302
bey	w3_d254e15305
dem	w5_d254e15308
Verleger	w7_d254e15311
des	w9_d254e15314
Wienerischen	w11_d254e15317
Dia	w13_d254e15321
rii	w1_d254e15327
anzumelden.	w3_d254e15330
</p>
<p id="p14_d254e15333">
Es	w1_d254e15337
wird	w3_d254e15340
hiemit	w5_d254e15343
jedermänniglich	w7_d254e15346
kund	w9_d254e15349
und	w11_d254e15352
zu	w1_d254e15357
wissen	w3_d254e15360
gemacht,	w5_d254e15363
welcher	w7_d254e15366
gestalten	w9_d254e15369
den	w11_d254e15372
23	w13_d254e15376
des	w1_d254e15381
lauffenden	w3_d254e15384
Monats	w5_d254e15387
Junii	w7_d254e15390
auf	w9_d254e15393
Verord	w11_d254e15396
nung	w1_d254e15402
des	w3_d254e15405
Löbl.	w5_d254e15408
Land=marschallischen	w7_d254e15411
Gerichte	w9_d254e15414
die	w1_d254e15419
Herrschaft	w3_d254e15422
Wirnitz,	w5_d254e15425
cum	w7_d254e15428
fundo	w9_d254e15431
instru	w11_d254e15434
cto,	w1_d254e15439
um	w3_d254e15442
60000.	w5_d254e15445
fl.	w7_d254e15448
offentlich	w9_d254e15451
feil	w11_d254e15454
gebotten,	w13_d254e15458
und	w1_d254e15463
an	w3_d254e15466
den	w5_d254e15469
Meist=biettenden	w7_d254e15472
werde	w9_d254e15475
verkauf	w11_d254e15478
werden,	w1_d254e15484
wer	w3_d254e15487
also	w5_d254e15490
sothane	w7_d254e15493
Herrschaft	w9_d254e15496
Wirnitz	w11_d254e15499
käuflichen	w1_d254e15504
an	w3_d254e15507
sich	w5_d254e15510
zu	w7_d254e15513
bringen	w9_d254e15516
gedenket,	w11_d254e15519
derselbt	w13_d254e15523
kan	w1_d254e15528
sich	w3_d254e15531
an	w5_d254e15534
obbestimmten	w7_d254e15537
Tag	w9_d254e15540
bey	w11_d254e15543
dem	w13_d254e15547
Löbl.	w15_d254e15550
Land=marschallischen	w1_d254e15555
Gericht	w3_d254e15558
frühe	w5_d254e15561
um	w7_d254e15564
8.	w9_d254e15567
Uhr	w1_d254e15573
behörig	w3_d254e15576
anmelden.	w5_d254e15579
</p>
<head id="h2_d254e15585">
EDICT.	w1_d254e15589
</head>
<p id="p4_d254e15592">
Von	w1_d254e15596
der	w3_d254e15599
durch	w5_d254e15602
die	w7_d254e15605
hochlöbl.	w9_d254e15608
N.	w11_d254e15611
Oe.	w13_d254e15615
drey	w15_d254e15618
Obere	w1_d254e15623
Herrn	w3_d254e15626
Land=stände	w5_d254e15629
über	w7_d254e15632
die	w9_d254e15635
übernom	w11_d254e15638
mene	w1_d254e15643
Vice=domische	w3_d254e15646
Grund=stück,	w5_d254e15649
u.	w7_d254e15652
Gülten	w9_d254e15655
auf	w11_d254e15658
gestelten	w1_d254e15664
Verwaltung	w3_d254e15667
wegen,	w5_d254e15670
wird	w7_d254e15673
hiermit	w9_d254e15676
jedermänniglich	w1_d254e15681
kund	w3_d254e15684
und	w5_d254e15687
zu	w7_d254e15690
wissen	w9_d254e15693
gemacht,	w11_d254e15696
welchergestalten	w1_d254e15701
auf	w3_d254e15704
des	w5_d254e15707
Simon	w7_d254e15710
Zächling	w9_d254e15713
Kutschers	w1_d254e15718
alhier	w3_d254e15721
proprio	w5_d254e15724
&	w7_d254e15727
uxorio	w9_d254e15730
nomi	w11_d254e15733
ne	w1_d254e15739
contra	w3_d254e15742
Peter	w5_d254e15745
Widder	w7_d254e15748
Hauern	w9_d254e15751
zu	w11_d254e15754
Gumpolds	w13_d254e15758
kirchen,	w1_d254e15763
&	w3_d254e15766
uxorem	w5_d254e15769
gehorsamst	w7_d254e15772
gethanes	w9_d254e15775
An	w11_d254e15778
langen,	w1_d254e15783
und	w3_d254e15786
Bitten,	w5_d254e15789
bey	w7_d254e15792
dem	w9_d254e15795
löbl.	w11_d254e15798
Ständ.	w13_d254e15802
Judicio	w1_d254e15807
Delegato	w3_d254e15810
untern	w5_d254e15813
19.	w7_d254e15816
abgewichenen	w9_d254e15819
Monats	w1_d254e15825
Aprilis,	w3_d254e15828
die	w5_d254e15831
Licitirung	w7_d254e15834
ihres	w9_d254e15837
zu	w11_d254e15840
dem	w13_d254e15844
löbl.	w1_d254e15849
Ständ.	w3_d254e15852
Grund=buch	w5_d254e15855
anhero	w7_d254e15858
dienstba	w9_d254e15861
ren	w1_d254e15866
10.	w3_d254e15869
Pfundner	w5_d254e15872
Wein=garten	w7_d254e15875
zu	w9_d254e15878
besagten	w11_d254e15881
Gumpolds=kirchen	w1_d254e15886
würklichen	w3_d254e15889
verwilliget	w5_d254e15892
und	w1_d254e15898
hierzu	w3_d254e15901
der	w5_d254e15904
27.	w7_d254e15907
kommenden	w9_d254e15910
Monats	w11_d254e15913
Ju	w13_d254e15917
ni	w1_d254e15922
Vormittag	w3_d254e15925
um	w5_d254e15928
9.	w7_d254e15931
Uhr	w9_d254e15934
in	w11_d254e15937
dem	w13_d254e15941
Land=haus	w15_d254e15944
in	w1_d254e15949
der	w3_d254e15952
Ständ.	w5_d254e15955
Verwaltung	w7_d254e15958
zu	w9_d254e15961
erscheinen	w11_d254e15964
bestimmet	w1_d254e15969
worden	w3_d254e15972
seye	w5_d254e15975
Dahero	w7_d254e15978
werden	w9_d254e15981
all	w11_d254e15984
diejenige,	w1_d254e15990
welche	w3_d254e15993
obermeldt=Widderischen	w5_d254e15996
10.	w7_d254e15999
Bfundner	w1_d254e16004
Wein=garten	w3_d254e16007
zu	w5_d254e16010
erkauffen	w7_d254e16013
geden	w9_d254e16016
ren,	w1_d254e16021
an	w3_d254e16024
bemeldeten	w5_d254e16027
Tag,	w7_d254e16030
Stund,	w9_d254e16033
und	w11_d254e16036
Ort	w13_d254e16040
</p>
<p id="p6_d254e16043">
entweders	w1_d254e16047
selbst,	w3_d254e16050
oder	w5_d254e16053
durch	w7_d254e16056
genugsam	w9_d254e16059
hierzu	w11_d254e16062
Bevollmächtigte	w1_d254e16067
zu	w3_d254e16070
erscheinen	w5_d254e16073
belieben,	w7_d254e16076
wo	w9_d254e16079
sodann	w1_d254e16084
mit	w3_d254e16087
dem	w5_d254e16090
Meistbitenden	w7_d254e16093
der	w9_d254e16096
Kauf	w11_d254e16099
Or	w13_d254e16103
dnungs=mäßig	w1_d254e16109
geschlossen	w3_d254e16112
werden	w5_d254e16115
solle.	w7_d254e16118
Ac-	w9_d254e16121
tum	w1_d254e16126
Wien	w3_d254e16129
in	w5_d254e16132
dem	w7_d254e16135
Land	w9_d254e16138
haus	w11_d254e16141
in	w13_d254e16145
der	w15_d254e16148
Ständ.	w17_d254e16151
Verwaltung	w1_d254e16156
den	w3_d254e16159
3.	w5_d254e16162
May	w7_d254e16165
1758.	w9_d254e16168
</p>
<p id="p8_d254e16171">
Auf	w1_d254e16175
hohe	w3_d254e16178
Verordnung	w5_d254e16181
einer	w7_d254e16184
Hochlöbl.	w9_d254e16187
R.	w11_d254e16190
Oe.	w1_d254e16195
Regierung	w3_d254e16198
in	w5_d254e16201
Justitz	w7_d254e16204
sachen,	w9_d254e16207
werden	w11_d254e16210
künf	w13_d254e16214
tigen	w1_d254e16219
Donnerstag,	w3_d254e16222
als	w5_d254e16225
den	w7_d254e16228
22.	w9_d254e16231
dieses	w11_d254e16234
Mo	w13_d254e16238
nats	w1_d254e16244
Junii	w3_d254e16247
auf	w5_d254e16250
dem	w7_d254e16253
hohen	w9_d254e16256
Markt,	w11_d254e16259
in	w13_d254e16263
der	w15_d254e16266
vorhin	w1_d254e16271
Treboraisch,	w3_d254e16274
nunmehro	w5_d254e16277
Nohthelferisch	w7_d254e16280
oder	w1_d254e16285
Greißlerischen	w3_d254e16288
Behausung,	w5_d254e16291
dem	w7_d254e16294
Brunn	w9_d254e16297
hauß	w1_d254e16302
gegen	w3_d254e16305
über	w5_d254e16308
im	w7_d254e16311
zweyten	w9_d254e16314
Stock,	w11_d254e16317
Vormit	w13_d254e16321
tags	w1_d254e16327
von	w3_d254e16330
9.	w5_d254e16333
bis	w7_d254e16336
12.	w9_d254e16339
und	w11_d254e16342
Nachmittags	w13_d254e16346
von	w15_d254e16349
3.	w1_d254e16354
bis	w3_d254e16357
6.	w5_d254e16360
Uhr,	w7_d254e16363
kostbare	w9_d254e16366
Brillantene=mit	w11_d254e16369
deto	w1_d254e16374
carmesirte	w3_d254e16377
Ohr=boucles,	w5_d254e16380
nebst	w7_d254e16383
dergleichen	w9_d254e16386
verschiedenen	w1_d254e16391
schönen	w3_d254e16394
Ringen,	w5_d254e16397
dann	w7_d254e16400
silberne	w9_d254e16403
Tabattiers,	w1_d254e16409
Uhren,	w3_d254e16412
Kleidungen,	w5_d254e16415
und	w7_d254e16418
meist	w9_d254e16421
schwarze	w1_d254e16426
unterschiedliche	w3_d254e16429
Mäntel,	w5_d254e16432
Wäsch,	w7_d254e16435
Beht=zeug,	w1_d254e16440
Gewehr,	w3_d254e16443
und	w5_d254e16446
nebst	w7_d254e16449
andern	w9_d254e16452
Effe	w11_d254e16455
cten,	w1_d254e16460
auch	w3_d254e16463
ein	w5_d254e16466
wol=conditionirter	w7_d254e16469
Schwim	w9_d254e16472
mer,	w1_d254e16478
samt	w3_d254e16481
Zugehör,	w5_d254e16484
dem	w7_d254e16487
Meistbiettenden	w9_d254e16490
gegen	w11_d254e16493
baarer	w1_d254e16498
Bezahlung	w3_d254e16501
licitando	w5_d254e16504
hindan	w7_d254e16507
gegeben.	w9_d254e16510
</p>
<p id="p10_d254e16513">
Es	w1_d254e16517
ist	w3_d254e16520
ein	w5_d254e16523
Biliar	w7_d254e16526
mit	w9_d254e16529
6.	w11_d254e16532
Lichtern,	w13_d254e16536
4.	w15_d254e16539
ein	w17_d254e16542
viertel	w1_d254e16547
Ellen	w3_d254e16550
lang	w5_d254e16553
mit	w7_d254e16556
aller	w9_d254e16559
Zugehör	w11_d254e16562
zu	w13_d254e16566
ver	w15_d254e16569
kauffen,	w1_d254e16574
oder	w3_d254e16577
monatlich	w5_d254e16580
auszuleihen,	w7_d254e16583
dessent	w9_d254e16586
wegen	w1_d254e16592
ist	w3_d254e16595
sich	w5_d254e16598
zu	w7_d254e16601
erkundigen	w9_d254e16604
in	w11_d254e16607
dem	w13_d254e16611
Liechten	w15_d254e16614
thal	w1_d254e16619
beym	w3_d254e16622
gold	w5_d254e16625
nen	w7_d254e16628
A.	w9_d254e16631
B.	w11_d254e16634
C.	w13_d254e16638
im	w15_d254e16641
ersten	w17_d254e16644
Stock.	w19_d254e16647
</p>
<head id="h2_d254e16653">
EDICT.	w1_d254e16657
Land=marschall	w1_d254e16662
rc.	w3_d254e16665
</head>
<p id="p4_d254e16668">
Entbiete	w1_d254e16672
N.	w3_d254e16675
allen	w5_d254e16678
und	w7_d254e16681
jeden,	w9_d254e16684
was	w11_d254e16687
Stands	w13_d254e16691
und	w1_d254e16696
Würde	w3_d254e16699
die	w5_d254e16702
seynd,	w7_d254e16705
der	w9_d254e16708
Gebühr	w11_d254e16711
nach	w13_d254e16715
mei	w15_d254e16718
nen	w1_d254e16723
respective	w3_d254e16726
Dienst	w5_d254e16729
in	w7_d254e16732
guten	w9_d254e16735
Willen	w11_d254e16738
zuvor,	w13_d254e16742
und	w1_d254e16748
füge	w3_d254e16751
hiemit	w5_d254e16754
zu	w7_d254e16757
Vernehmen.	w9_d254e16760
Es	w11_d254e16763
seye	w13_d254e16767
Weyl.	w1_d254e16772
Frauen	w3_d254e16775
Susannä	w5_d254e16778
Louise	w7_d254e16781
Gräfin	w9_d254e16784
von	w11_d254e16787
St.	w1_d254e16792
Julien	w3_d254e16795
gebornen	w5_d254e16798
Gräfin	w7_d254e16801
von	w9_d254e16804
Hochenfeld,	w11_d254e16807
se	w1_d254e16812
l.	w3_d254e16815
hinterlassenen	w5_d254e16818
Frauen	w7_d254e16821
Töchtern	w9_d254e16824
und	w11_d254e16827
Er	w13_d254e16831
binnen,	w1_d254e16837
benanntlich	w3_d254e16840
Frauen	w5_d254e16843
Josepha	w7_d254e16846
Gräfin	w9_d254e16849
von	w1_d254e16854
Khevenhiller,	w3_d254e16857
und	w5_d254e16860
Frauen	w7_d254e16863
Eleonora	w9_d254e16866
Gräfin	w1_d254e16871
von	w3_d254e16874
Aichpichl,	w5_d254e16877
vermög	w7_d254e16880
des	w9_d254e16883
untern	w11_d254e16886
6.	w1_d254e16891
Nov	w3_d254e16894
1755.	w5_d254e16897
ergangenen	w7_d254e16900
Gräflich	w9_d254e16903
Johann	w11_d254e16906
Julii	w1_d254e16912
St.	w3_d254e16915
Julienischen	w5_d254e16918
Cridæ-relations	w7_d254e16921
ausschlags	w1_d254e16926
die	w3_d254e16929
Producirung	w5_d254e16932
der	w7_d254e16935
wegen	w9_d254e16938
denen	w11_d254e16941
Classe	w1_d254e16946
4to.	w3_d254e16949
loto	w5_d254e16952
ultimo	w7_d254e16955
einkommenden	w9_d254e16958
ad	w11_d254e16961
Nro	w1_d254e16966
69.	w3_d254e16969
angemeldeten	w5_d254e16972
1000.	w7_d254e16975
fl.	w9_d254e16978
Capital	w11_d254e16981
den	w13_d254e16985
30.	w1_d254e16991
May.	w3_d254e16994
1729.	w5_d254e16997
ausgestelten	w7_d254e17000
Original-ob-	w9_d254e17003
ligation	w1_d254e17008
aufgetragen	w3_d254e17011
worden.	w5_d254e17014
Wiezumalen	w7_d254e17017
aber	w1_d254e17022
sothanne	w3_d254e17025
Obligation	w5_d254e17028
in	w7_d254e17031
Verstos	w9_d254e17034
gerah	w11_d254e17037
ten,	w1_d254e17042
als	w3_d254e17045
ist	w5_d254e17048
Kraft	w7_d254e17051
des	w9_d254e17054
über	w11_d254e17057
die	w13_d254e17061
in	w15_d254e17064
Sachen	w17_d254e17067
der	w1_d254e17073
verfasten	w3_d254e17076
Repartition	w5_d254e17079
erstattete	w7_d254e17082
Relation	w9_d254e17085
</p>
<p id="p8_d254e17090">
Untern	w1_d254e17094
18.	w3_d254e17097
May.	w5_d254e17100
dies	w7_d254e17103
1758.	w9_d254e17106
Jahrs	w11_d254e17109
der	w13_d254e17113
weitere	w1_d254e17118
Ausschlag	w3_d254e17121
dahin	w5_d254e17124
geschöpfet	w7_d254e17127
worden,	w9_d254e17130
daß	w1_d254e17135
wegen	w3_d254e17138
Amortisirung	w5_d254e17141
besagter	w7_d254e17144
Obliga	w9_d254e17147
tion	w1_d254e17153
ein	w3_d254e17156
ordentliches	w5_d254e17159
Valval-edict	w7_d254e17162
bey	w9_d254e17165
der	w11_d254e17168
Canzley	w1_d254e17173
ausgefertiget	w3_d254e17176
werden	w5_d254e17179
solle.	w7_d254e17182
Wann	w9_d254e17185
nun	w1_d254e17190
gedachter	w3_d254e17193
Frauen	w5_d254e17196
Erbinnen	w7_d254e17199
Man	w9_d254e17202
lata	w11_d254e17205
rius	w1_d254e17210
Herr	w3_d254e17213
Franz	w5_d254e17216
Sigmund	w7_d254e17219
Graf	w9_d254e17222
und	w11_d254e17225
Herr	w13_d254e17229
Engel	w1_d254e17235
von	w3_d254e17238
Wagrain,	w5_d254e17241
um	w7_d254e17244
Ausfertigungs	w9_d254e17247
auflag	w1_d254e17252
sothanen	w3_d254e17255
Amortisations-edicts	w5_d254e17258
ge	w7_d254e17261
betten:	w1_d254e17266
hierinfals	w3_d254e17269
auch	w5_d254e17272
verwilliget	w7_d254e17275
worden	w9_d254e17278
</p>
<p id="p10_d254e17281">
Als	w1_d254e17285
ist	w3_d254e17288
in	w5_d254e17291
Namen	w7_d254e17294
rc.	w9_d254e17297
mein	w11_d254e17300
Befehl,	w13_d254e17304
daß	w15_d254e17307
der	w1_d254e17312
oder	w3_d254e17315
diejenige,	w5_d254e17318
so	w7_d254e17321
vorberührte	w9_d254e17324
Obligati	w11_d254e17327
on	w1_d254e17332
pr.	w3_d254e17335
1000.	w5_d254e17338
fl.	w7_d254e17341
ddo.	w9_d254e17344
30.	w11_d254e17347
May.	w13_d254e17351
1729.	w15_d254e17354
in	w17_d254e17357
Handen	w1_d254e17363
oder	w3_d254e17366
hievon	w5_d254e17369
einige	w7_d254e17372
Wissenschaft,	w9_d254e17375
auch	w1_d254e17380
sonst	w3_d254e17383
etwa	w5_d254e17386
hieran	w7_d254e17389
eine	w9_d254e17392
Forderung	w11_d254e17395
ha	w13_d254e17399
ben	w1_d254e17404
oder	w3_d254e17407
zu	w5_d254e17410
haben	w7_d254e17413
vermeinen,	w9_d254e17416
binnen	w11_d254e17419
1.	w13_d254e17423
Jahr	w15_d254e17426
6.	w1_d254e17431
Wochen	w3_d254e17434
und	w5_d254e17437
3.	w7_d254e17440
Tägen	w9_d254e17443
sich	w11_d254e17446
bey	w13_d254e17450
diesem	w15_d254e17453
Gericht	w1_d254e17459
alsogewiß	w3_d254e17462
anmelden,	w5_d254e17465
und	w7_d254e17468
solche	w9_d254e17471
pro	w11_d254e17474
duciren	w1_d254e17479
sollen:	w3_d254e17482
als	w5_d254e17485
im	w7_d254e17488
widrigen	w9_d254e17491
dieselbe	w11_d254e17494
nach	w13_d254e17498
solch	w1_d254e17503
verflossenen	w3_d254e17506
Termin	w5_d254e17509
eo	w7_d254e17512
ipso	w9_d254e17515
amorti	w11_d254e17518
firt,	w1_d254e17523
cassirt,	w3_d254e17526
null	w5_d254e17529
und	w7_d254e17532
nichtig	w9_d254e17535
seyn	w11_d254e17538
solle.	w13_d254e17542
An	w1_d254e17548
deme	w3_d254e17551
beschiht	w5_d254e17554
rc.	w7_d254e17557
Wien	w9_d254e17560
den	w11_d254e17563
10.	w13_d254e17567
Junii	w15_d254e17570
1758	w17_d254e17573
</p>
<p id="p12_d254e17577">
Auf	w1_d254e17581
den	w3_d254e17584
26.	w5_d254e17587
Junii	w7_d254e17590
und	w9_d254e17593
folgenden	w11_d254e17596
Tägen,	w13_d254e17600
werden	w1_d254e17605
auf	w3_d254e17608
einer	w5_d254e17611
Hochlöbl.	w7_d254e17614
N.	w9_d254e17617
Oe.	w11_d254e17620
Regie	w13_d254e17624
tungs=verordnung	w1_d254e17629
in	w3_d254e17632
der	w5_d254e17635
Wald=zeil,	w7_d254e17638
im	w9_d254e17641
Ni	w11_d254e17644
sischen	w1_d254e17650
Haus	w3_d254e17653
im	w5_d254e17656
dritten	w7_d254e17659
Stock,	w9_d254e17662
gegen	w11_d254e17665
dem	w13_d254e17669
scharfen	w1_d254e17674
Eck	w3_d254e17677
über,	w5_d254e17680
verschiedene	w7_d254e17683
Effecten,	w9_d254e17686
als	w11_d254e17689
Schildkrottene=tabattier	w1_d254e17694
mit	w3_d254e17697
Gold	w5_d254e17700
eingelegt,	w7_d254e17703
kostbare	w1_d254e17708
