<doc id="edoc_wd_1762-11-03" attrs="word" year="1762" month="11" day="03" corpus="1">
<head id="hl1">
Constantinopel	w40
ruckgebliebe=nen	w5473
<g/>
=
Erben	w5475
<g/>
,
Ceßionarien	w5477
<g/>
,
oder	w5479
sonst	w5480
Theil	w5481
<g/>
=
nehmen=den	w5483
<g/>
=
ihres	w5485
unwissenden	w5486
Aufenthakts	w5487
<g/>
=
halber	w5489
durch	w5490
gegenwärtiges	w5491
Ediet	w5492
aubefohlen	w5493
<g/>
,
daß	w5495
sie	w5496
von	w5497
Zeit	w5498
der	w5499
Affigirung	w5500
sothanen	w5501
Ediets	w5502
binnen	w5503
1	w5504
<g/>
.
Jahr	w5506
<g/>
,
6	w5508
<g/>
.
Wochen	w5510
und	w5511
3	w5512
<g/>
.
Tägen	w5514
<g/>
,
entweder	w5516
selbst	w5517
persön=lich	w5518
<g/>
=
<g/>
,
oder	w5521
durch	w5522
genugsam	w5523
Bevollmächtigte	w5524
also=gewiß	w5525
<g/>
=
zu	w5527
oberwehnt	w5528
<g/>
=
in	w5530
Deposito	w5531
befindlischen	w5532
Erb=antheil	w5533
<g/>
=
pr	w5535
<g/>
.
257	w5537
fl	w5538
<g/>
.
9	w5540
<g/>
.
ein	w5542
halben	w5543
kr	w5544
<g/>
.
sich	w5546
bey	w5547
Regie=rung	w5548
<g/>
=
behörig	w5550
legitimiren	w5551
<g/>
,
wie	w5553
in	w5554
widrigen	w5555
nach	w5556
Verfliessung	w5557
dieses	w5558
Termins	w5559
oft	w5560
berührt	w5561
<g/>
=
bepositir=tes	w5563
<g/>
=
Quantum	w5565
samt	w5566
dem	w5567
mittlerweil	w5568
abgefallenen	w5569
Jnteressario	w5570
als	w5571
ein	w5572
Erb	w5573
<g/>
=
loses	w5575
Gut	w5576
dem	w5577
K	w5578
<g/>
.
K	w5580
<g/>
.
N	w5582
<g/>
.
De	w5584
<g/>
.
Fisci	w5586
Adjuncto	w5587
als	w5588
Vertrettern	w5589
des	w5590
Allerhöchst	w5591
<g/>
=
K	w5593
<g/>
.
K	w5595
<g/>
.
Krarii	w5597
eingeantwortet	w5598
werden	w5599
solle	w5600
<g/>
.
</p>
<p id="p57">
Num	w5602
<g/>
.
88	w5604
<g/>
.
Mittwochs	w5606
<g/>
=
anhang	w5608
den	w5609
3	w5610
<g/>
.
Novemb	w5612
<g/>
.
1762	w5614
<g/>
.
</p>
<p id="p58">
Gedruckt	w5616
in	w5617
dem	w5618
Kaiserl	w5619
<g/>
.
Königl	w5621
privilegirten	w5622
Zeitungs	w5623
<g/>
=
verlag	w5625
<g/>
,
und	w5627
eler	w5628
<g/>
=
haus	w5630
<g/>
,
mit	w5632
von	w5633
Ohelischen	w5634
Buchdruckerey	w5635
im	w5636
neuen	w5637
<g/>
?
</p>
<p id="p59">
Schriften	w5639
<g/>
.
</p>
<p id="p60">
Petersburg	w5641
vom	w5642
12	w5643
<g/>
.
Sche	w5645
</p>
<p id="p61">
Die	w5646
Kaiserin	w5647
ließ	w5648
dieser	w5649
Tagen	w5650
dem	w5651
<g/>
—
nigl	w5653
<g/>
.
Pohlnischen	w5655
Residenten	w5656
am	w5657
hie=sigen	w5658
<g/>
=
Hof	w5660
Herrn	w5661
Prasse	w5662
eine	w5663
Note	w5664
folgenden	w5665
en	w5666
<g/>
:
</p>
<p id="p62">
Da	w5668
Jhre	w5669
Kaiserl	w5670
<g/>
.
Majestät	w5672
von	w5673
allen	w5674
Reussen	w5675
der	w5676
beklagenswürdige	w5677
Zastand	w5678
<g/>
,
wor=innen	w5680
<g/>
=
die	w5682
Chur	w5683
<g/>
=
lande	w5685
des	w5686
Königs	w5687
von	w5688
Poh=len	w5689
<g/>
=
sich	w5691
befinden	w5692
<g/>
,
ganz	w5694
ungemein	w5695
zu	w5696
Gemü=te	w5697
<g/>
=
dringet	w5699
<g/>
,
und	w5701
durch	w5702
die	w5703
von	w5704
dem	w5705
Herrn	w5706
Residenten	w5707
Allerhöchst	w5708
Jhro	w5709
davon	w5710
ertheil=te	w5711
<g/>
=
vetrübte	w5713
Nachricht	w5714
auf	w5715
das	w5716
lebhafteste	w5717
gerühret	w5718
werden	w5719
<g/>
,
also	w5721
sind	w5722
Jhre	w5723
Majestät	w5724
fest	w5725
entschlossen	w5726
<g/>
,
bey	w5728
der	w5729
Kaiserin	w5730
Königin	w5731
und	w5732
des	w5733
Königs	w5734
von	w5735
Preussen	w5736
Majestäten	w5737
nicht	w5738
allein	w5739
durch	w5740
die	w5741
an	w5742
Jhrem	w5743
Hof	w5744
stehen=de	w5745
<g/>
=
Ministers	w5747
von	w5748
diesen	w5749
Mächten	w5750
<g/>
,
sondern	w5752
auch	w5753
durch	w5754
Jhre	w5755
eigene	w5756
Ministers	w5757
zu	w5758
Wien	w5759
und	w5760
Berlin	w5761
die	w5762
unverzügliche	w5763
nachdrücksam=sten	w5764
<g/>
=
Vorstellungen	w5766
dahin	w5767
thun	w5768
zu	w5769
lassen	w5770
<g/>
,
um	w5772
beyde	w5773
Cronen	w5774
zu	w5775
vermögen	w5776
<g/>
,
daß	w5778
idre	w5779
Ar=meen	w5780
<g/>
=
bis	w5782
zu	w5783
einem	w5784
allgemeinen	w5785
Frieden	w5786
nicht	w5787
nur	w5788
aus	w5789
den	w5790
Sächsischen	w5791
Staaten	w5792
gezogen	w5793
<g/>
,
sondern	w5795
auch	w5796
die	w5797
Churfürstl	w5798
<g/>
.
Residenz	w5800
<g/>
,
und	w5802
alle	w5803
davon	w5804
abhangende	w5805
Lande	w5806
geräumet	w5807
<g/>
,
sofort	w5809
Se	w5810
<g/>
.
Majestät	w5812
<g/>
,
der	w5814
König	w5815
von	w5816
Pohlen	w5817
in	w5818
den	w5819
völligen	w5820
Genuß	w5821
alles	w5822
desjenigen	w5823
<g/>
,
was	w5825
Jhm	w5826
als	w5827
Churfürsten	w5828
von	w5829
Sachsen	w5830
zugehöret	w5831
<g/>
,
wieder	w5833
eingesetzet	w5834
werde	w5835
<g/>
.
Man	w5837
wird	w5838
von	w5839
der	w5840
andern	w5841
Seite	w5842
beyden	w5843
im	w5844
Krieg	w5845
noch	w5846
begriffene	w5847
Mächten	w5848
<g/>
,
die	w5850
genugsame	w5851
Versicherung	w5852
geben	w5853
<g/>
,
daß	w5855
die	w5856
Gränzen	w5857
beyderseitiger	w5858
resp	w5859
<g/>
.
Oester=reich	w5861
<g/>
=
und	w5863
Preußischen	w5864
Staaten	w5865
von	w5866
Seiten	w5867
Sachsens	w5868
<g/>
,
und	w5870
der	w5871
zugehörigen	w5872
Landen	w5873
nicht	w5874
beunruhiget	w5875
<g/>
,
ja	w5877
<g/>
,
daß	w5879
das	w5880
Sachsen=land	w5881
<g/>
=
mit	w5883
Sächsischen	w5884
Trupen	w5885
<g/>
,
jedoch	w5887
derge=stalt	w5888
<g/>
=
besetzet	w5890
werden	w5891
solle	w5892
<g/>
,
daß	w5894
ihre	w5895
Anzahl	w5896
weweder	w5897
<g/>
=
</p>
<p id="p63">
der	w5899
der	w5900
einen	w5901
noch	w5902
der	w5903
andern	w5904
im	w5905
Krieg	w5906
ver=wickelten	w5907
<g/>
=
Macht	w5909
Verdacht	w5910
und	w5911
Eifersucht	w5912
er=wecken	w5913
<g/>
=
könne	w5915
<g/>
,
und	w5917
wenn	w5918
diese	w5919
Einrichtung	w5920
genehmiget	w5921
wird	w5922
<g/>
,
so	w5924
sind	w5925
Jhre	w5926
Kaiserl	w5927
<g/>
.
Ma=jestät	w5929
<g/>
=
geneigt	w5931
<g/>
,
im	w5933
erforderlichen	w5934
Fall	w5935
die	w5936
Garantie	w5937
darüber	w5938
zu	w5939
leisten	w5940
</p>
<p id="p64">
Gegenwärtige	w5941
Erklärung	w5942
wird	w5943
von	w5944
dem	w5945
Herrn	w5946
Residenten	w5947
als	w5948
eine	w5949
Antwort	w5950
auf	w5951
sein	w5952
letzthin	w5953
eingegebenes	w5954
Pro	w5955
<g/>
=
memoria	w5957
zugestel=let	w5958
<g/>
=
<g/>
,
wornach	w5961
er	w5962
seinem	w5963
Hof	w5964
die	w5965
aufrichtige	w5966
Gesinnungen	w5967
Jhrer	w5968
Kaiserl	w5969
<g/>
.
Majestät	w5971
in	w5972
ei=ner	w5973
<g/>
=
dem	w5975
König	w5976
<g/>
,
seinem	w5978
Herrn	w5979
<g/>
,
so	w5981
angelege=nen	w5982
<g/>
=
Sache	w5984
zu	w5985
wissen	w5986
thun	w5987
kan	w5988
<g/>
.
St	w5990
<g/>
.
Peters=burg	w5992
<g/>
=
den	w5994
19	w5995
<g/>
.
August	w5997
<g/>
.
1762	w5999
<g/>
.
</p>
<p id="p65">
Jn	w6001
Gefolg	w6002
dieser	w6003
Erklärung	w6004
ließ	w6005
die	w6006
Kai=serin	w6007
<g/>
=
Jhren	w6009
Ministern	w6010
an	w6011
den	w6012
Höfen	w6013
zu	w6014
Wien	w6015
und	w6016
Berlin	w6017
zu	w6018
dieser	w6019
Unterhandlung	w6020
die	w6021
nöhtige	w6022
Jnstructionen	w6023
zufertigen	w6024
<g/>
;
was	w6026
nun	w6027
die	w6028
kriegführende	w6029
Mächte	w6030
diesfals	w6031
be=schliessen	w6032
<g/>
=
werden	w6034
<g/>
,
stehet	w6036
zu	w6037
erwarten	w6038
<g/>
.
</p>
<p id="p66">
Petersburg	w6040
vom	w6041
21	w6042
<g/>
.
September	w6044
<g/>
.
</p>
<p id="p67">
Nach	w6046
dem	w6047
Tod	w6048
Kaisers	w6049
Peter	w6050
des	w6051
Dritten	w6052
nahm	w6053
der	w6054
König	w6055
von	w6056
Dännemark	w6057
unter	w6058
dem	w6059
Titel	w6060
als	w6061
Mit	w6062
<g/>
=
regent	w6064
<g/>
,
während	w6066
der	w6067
Minder=jährigkeit	w6068
<g/>
=
des	w6070
Groß	w6071
<g/>
=
fürstens	w6073
<g/>
,
Besitz	w6075
von	w6076
Kiel	w6077
<g/>
,
und	w6079
that	w6080
zu	w6081
gleicher	w6082
Zeit	w6083
Jhrer	w6084
Majestät	w6085
der	w6086
Kaiserin	w6087
in	w6088
einem	w6089
Schreiben	w6090
hievon	w6091
die	w6092
Er=öfnung	w6093
<g/>
=
<g/>
,
mit	w6096
dem	w6097
Anhange	w6098
<g/>
:
daß	w6100
der	w6101
König	w6102
von	w6103
Schweden	w6104
<g/>
,
dem	w6106
<g/>
,
als	w6108
nächsten	w6109
Verwand=ten	w6110
<g/>
=
<g/>
,
die	w6113
Mit	w6114
<g/>
=
regentenschaf	w6116
zustehet	w6117
<g/>
,
Jhme	w6119
solches	w6120
Recht	w6121
in	w6122
einem	w6123
geheimen	w6124
Artickel	w6125
des	w6126
im	w6127
May	w6128
<g/>
=
monat	w6130
1750	w6131
<g/>
.
durch	w6133
Vermittelung	w6134
von	w6135
Frankreich	w6136
geschlossenen	w6137
Tractats	w6138
abge=tretten	w6139
<g/>
=
habe	w6141
<g/>
.
Ferner	w6143
füget	w6144
der	w6145
Dänische	w6146
Hof	w6147
noch	w6148
hinzu	w6149
<g/>
:
Die	w6151
Kaiserin	w6152
werde	w6153
Zwei=fels	w6154
<g/>
=
ohne	w6156
nicht	w6157
mißbilligen	w6158
<g/>
,
daß	w6160
mon	w6161
sich	w6162
</p>
<p id="p68">
diesdiesdiesfals	w6163
<g/>
=
</p>
<p id="p69">
diesfals	w6165
denen	w6166
deutschen	w6167
Reichs	w6168
<g/>
=
gesetzen	w6170
so=wol	w6171
<g/>
=
<g/>
,
als	w6174
denen	w6175
Pactis	w6176
Conventis	w6177
des	w6178
Hauses	w6179
Hollstein	w6180
gemäß	w6181
verhalte	w6182
<g/>
,
welchemnach	w6184
eine	w6185
Frau	w6186
allein	w6187
<g/>
,
ohne	w6189
einen	w6190
Mit	w6191
<g/>
=
regenten	w6193
zur	w6194
Seite	w6195
zu	w6196
haben	w6197
<g/>
,
die	w6199
Landes	w6200
<g/>
=
regierung	w6202
nicht	w6203
verwalten	w6204
könne	w6205
<g/>
.
Nach	w6207
solcher	w6208
Erklärung	w6209
folgen	w6210
die	w6211
freundfaftlichste	w6212
Versicherungen	w6213
<g/>
:
wie	w6215
Sr	w6216
<g/>
.
Dänische	w6218
Majestät	w6219
Willens	w6220
<g/>
=
mei=nung	w6222
<g/>
=
keineswegs	w6224
seye	w6225
<g/>
,
etwas	w6227
ohne	w6228
völlige	w6229
Einstimmung	w6230
des	w6231
Rußischen	w6232
Hofes	w6233
zu	w6234
thun	w6235
<g/>
,
sondern	w6237
vielmehr	w6238
blosserdinges	w6239
nach	w6240
denen	w6241
Maas	w6242
<g/>
=
regeln	w6244
<g/>
,
welche	w6246
letzterer	w6247
zu	w6248
nehmen	w6249
belieben	w6250
würde	w6251
<g/>
,
sich	w6253
vollkommen	w6254
zu	w6255
richten	w6256
<g/>
.
</p>
<p id="p70">
Aus	w6258
der	w6259
Antwort	w6260
<g/>
,
welche	w6262
der	w6263
Kaiserliche	w6264
Staats	w6265
<g/>
=
raht	w6267
darauf	w6268
ertheilet	w6269
<g/>
,
ist	w6271
klar	w6272
<g/>
,
und	w6274
es	w6275
liegt	w6276
auch	w6277
sonst	w6278
schon	w6279
zu	w6280
Tage	w6281
<g/>
,
daß	w6283
man	w6284
die	w6285
von	w6286
Schweden	w6287
auf	w6288
solchem	w6289
Fall	w6290
besche=hene	w6291
<g/>
=
Abtrettung	w6293
zu	w6294
erkennen	w6295
nicht	w6296
geneigt	w6297
und	w6298
folglich	w6299
schwer	w6300
zu	w6301
hoffen	w6302
ist	w6303
<g/>
,
daß	w6305
die	w6306
Kai=serin	w6307
<g/>
=
von	w6309
ihrer	w6310
gethanen	w6311
Wahl	w6312
des	w6313
Herzogs	w6314
Georg	w6315
von	w6316
Hollstein	w6317
zum	w6318
Administrator	w6319
<g/>
,
abste=hen	w6321
<g/>
=
werde	w6323
<g/>
.
Dieser	w6325
Zwiespalt	w6326
wird	w6327
aller	w6328
Wahr=scheinlichkeit	w6329
<g/>
=
nach	w6331
<g/>
,
Anlaß	w6333
zu	w6334
einer	w6335
schweren	w6336
Unterhandlung	w6337
zwischen	w6338
beyden	w6339
Höfen	w6340
geben	w6341
<g/>
.
</p>
<p id="p71">
Wir	w6343
Joseph	w6344
Anton	w6345
Bellesini	w6346
<g/>
,
Jhro	w6348
Kais	w6349
<g/>
.
Kön	w6351
<g/>
.
Apoßvi	w6353
<g/>
.
Rajest	w6355
<g/>
.
Stadt	w6357
<g/>
=
und	w6359
Land	w6360
<g/>
=
richter	w6362
in	w6363
Dero	w6364
Haupt	w6365
<g/>
=
und	w6367
Resibenz	w6368
<g/>
=
stadt	w6370
Wien	w6371
<g/>
,
dann	w6373
N	w6374
<g/>
.
und	w6376
N	w6377
<g/>
.
die	w6379
gesammte	w6380
Beysitzere	w6381
des	w6382
Kais	w6383
<g/>
.
Königl	w6385
<g/>
.
Stadt	w6387
<g/>
=
und	w6389
Land	w6390
<g/>
=
gerichts	w6392
allda	w6393
thun	w6394
ne	w6395
Kraft	w6396
gegenwärtig	w6397
offenen	w6398
Ediets	w6399
allen	w6400
und	w6401
jeden	w6402
<g/>
,
so	w6404
daran	w6405
gelegen	w6406
<g/>
,
kund	w6408
und	w6409
zu	w6410
wissen	w6411
<g/>
:
wasgestalten	w6413
der	w6414
Franz	w6415
Schwarzenbach	w6416
<g/>
,
behauster	w6418
Burger	w6419
allhier	w6420
<g/>
,
und	w6422
gewester	w6423
Brau	w6424
<g/>
=
meister	w6426
zu	w6427
Simmering	w6428
wegen	w6429
contrahirten	w6430
Schulden	w6431
<g/>
=
last	w6433
mit	w6434
seinem	w6435
Vermögen	w6436
ad	w6437
Cridam	w6438
gebiehen	w6439
<g/>
,
dahero	w6441
auch	w6442
die	w6443
Nohtwendigkeit	w6444
erfordert	w6445
<g/>
,
eine	w6447
in	w6448
der=gleichen	w6449
<g/>
=
Fällen	w6451
gewöhnliche	w6452
Cridä	w6453
<g/>
=
convocation	w6455
den	w6456
sammentlich	w6457
sowol	w6458
in	w6459
<g/>
=
als	w6461
etwan	w6462
ausser	w6463
Lan-des	w6464
<g/>
-
befindlichen	w6466
Credits	w6467
<g/>
=
partheyen	w6469
des	w6470
ernannten	w6471
Schwarzenbach	w6472
anzuordnen	w6473
<g/>
,
damit	w6475
juxia	w6476
com-peten	w6477
<g/>
-
es	w6479
proritatis	w6480
gradus	w6481
die	w6482
de	w6483
jure	w6484
<g/>
&
potis-simum	w6486
<g/>
-
die	w6488
consuern	w6489
sine	w6490
behörige	w6491
Abhandlung	w6492
vorekehret	w6493
werden	w6494
möge	w6495
<g/>
;
solchemnach	w6497
dann	w6498
wird	w6499
hiermit	w6500
all	w6501
und	w6502
jeden	w6503
des	w6504
obgedachten	w6505
Franz	w6506
Schwarzendach	w6507
sowol	w6508
in	w6509
<g/>
=
als	w6511
ausser	w6512
Landes	w6513
be=sin	w6514
<g/>
=
lichen	w6516
Glaubigern	w6517
zur	w6518
beschehenden	w6519
Anmeldung	w6520
ihrer	w6521
habenden	w6522
Sprüch	w6523
und	w6524
Anfordernugen	w6525
eine	w6526
Tagsatzung	w6527
pro	w6528
Termino	w6529
mo	w6530
<g/>
,
2do	w6532
<g/>
,
<g/>
&
3tio	w6535
per-emproro	w6536
<g/>
-
deren	w6538
gewöhnlichen	w6539
6	w6540
<g/>
.
Wochen	w6542
und	w6543
3	w6544
<g/>
.
Tägen	w6546
von	w6547
unten	w6548
gesetztem	w6549
dato	w6550
an	w6551
<g/>
,
und	w6553
zwar	w6554
</p>
<p id="p72">
mit	w6555
Einschliessung	w6556
der	w6557
ent	w6558
wischen	w6559
sallenden	w6560
Wein=lös	w6561
<g/>
=
<g/>
=
ferien	w6564
auf	w6565
den	w6566
8ten	w6567
des	w6568
künftigen	w6569
Monats	w6570
Novemb	w6571
<g/>
.
fruhe	w6573
um	w6574
8	w6575
<g/>
.
Uhr	w6577
auf	w6578
dem	w6579
Kais	w6580
<g/>
.
Kön	w6582
<g/>
.
Stadt	w6584
<g/>
=
gericht	w6586
entweder	w6587
in	w6588
Person	w6589
<g/>
,
oder	w6591
durch	w6592
genugsam	w6593
bevollmächtigte	w6594
Gewalttragere	w6595
also	w6596
ge=wiß	w6597
<g/>
=
zu	w6599
erscheinen	w6600
bestimmet	w6601
<g/>
,
als	w6603
im	w6604
widrigen	w6605
der	w6606
Ausbleibende	w6607
und	w6608
sich	w6609
in	w6610
tempore	w6611
præfixopraefixo	w6612
nicht	w6613
angemeldete	w6614
Prätendont	w6615
oder	w6616
Glaubiger	w6617
mit	w6618
seinen	w6619
Sprüchen	w6620
weiter	w6621
nicht	w6622
mehr	w6623
gehöret	w6624
<g/>
,
son=dern	w6626
<g/>
=
von	w6628
des	w6629
erholten	w6630
Fran	w6631
<g/>
,
Schwarzenbach	w6633
vor=handener	w6634
<g/>
=
Habschaft	w6636
und	w6637
Vermögen	w6638
völlig	w6639
aus=geschlossen	w6640
<g/>
=
seyen	w6642
<g/>
,
auch	w6644
hieran	w6645
nicht	w6646
das	w6647
gering=ste	w6648
<g/>
=
mehr	w6650
cum	w6651
onere	w6652
perpetui	w6653
silentii	w6654
<g/>
,
zu	w6656
forderen	w6657
noch	w6658
zu	w6659
suchen	w6660
haben	w6661
solle	w6662
<g/>
.
Wornach	w6664
sich	w6665
dann	w6666
ein	w6667
jeder	w6668
zu	w6669
richten	w6670
und	w6671
seinem	w6672
juri	w6673
zu	w6674
invigiliren	w6675
wissen	w6676
wird	w6677
<g/>
.
Wien	w6679
den	w6680
17	w6681
<g/>
.
Sept	w6683
1762	w6684
</p>
<p id="p73">
Von	w6685
des	w6686
Hochfürstl	w6687
<g/>
.
Erz	w6689
<g/>
=
bistums	w6691
Wien	w6692
<g/>
,
als	w6694
Herrschaft	w6695
über	w6696
den	w6697
Markt	w6698
Neukirchen	w6699
in	w6700
Stein=feld	w6701
<g/>
=
wegen	w6703
<g/>
,
allen	w6705
und	w6706
jeden	w6707
<g/>
,
denen	w6709
daran	w6710
gelegen	w6711
<g/>
,
hiemtt	w6713
anzufügen	w6714
<g/>
:
demnach	w6716
über	w6717
beschehenen	w6718
Ankauf	w6719
der	w6720
gedachten	w6721
Herrschaft	w6722
Neunkirchen	w6723
in	w6724
Steinfeld	w6725
es	w6726
unter	w6727
andern	w6728
dahin	w6729
aukommet	w6730
<g/>
,
daß	w6732
die	w6733
darauf	w6734
wegen	w6735
denen	w6736
Waisen	w6737
<g/>
=
wehrungs	w6739
<g/>
=
und	w6741
Depositen	w6742
<g/>
=
gelder	w6744
intabulirte	w6745
Octava	w6746
prätii	w6747
der	w6748
Ordnung	w6749
nach	w6750
berechnet	w6751
<g/>
,
und	w6753
depuriret	w6754
werde	w6755
<g/>
;
zu	w6757
dem	w6758
Ende	w6759
aber	w6760
zu	w6761
wissen	w6762
nöhtig	w6763
<g/>
,
was	w6765
für	w6766
Waisen=wehrungs	w6767
<g/>
=
und	w6769
Depositen	w6770
<g/>
=
gelder	w6772
etwa	w6773
zu	w6774
Herr=schafts	w6775
<g/>
=
Handen	w6777
erleget	w6778
<g/>
,
oder	w6780
sonsten	w6781
haftend	w6782
wor=den	w6783
<g/>
=
<g/>
,
auch	w6786
wer	w6787
hierum	w6788
einen	w6789
Anspruch	w6790
zu	w6791
machen	w6792
hat	w6793
<g/>
;
als	w6795
wird	w6796
hiemit	w6797
durch	w6798
gegenwärtig	w6799
öffentli=ches	w6800
<g/>
=
Vaival	w6802
<g/>
=
ediet	w6804
eingangs	w6805
gedachten	w6806
<g/>
,
sowol	w6808
Pu=pillen	w6809
<g/>
=
<g/>
,
als	w6812
derenselben	w6813
Gethaben	w6814
und	w6815
Vormündern	w6816
<g/>
,
auch	w6818
sonsten	w6819
männiglich	w6820
<g/>
,
und	w6822
zwar	w6823
denen	w6824
<g/>
,
so	w6826
hier	w6827
Landes	w6828
sich	w6829
befinden	w6830
<g/>
,
der	w6832
peremtorische	w6833
Termin	w6834
von	w6835
6	w6836
<g/>
.
Wochen	w6838
und	w6839
3	w6840
<g/>
.
Tagen	w6842
denjenigen	w6843
aber	w6844
<g/>
,
welche	w6846
ausser	w6847
Land	w6848
seynd	w6849
<g/>
,
ein	w6851
Jahr	w6852
<g/>
,
6	w6854
<g/>
.
Wochen	w6856
<g/>
,
und	w6858
3	w6859
<g/>
.
Tage	w6861
von	w6862
dem	w6863
unten	w6864
gesetzten	w6865
Dato	w6866
an	w6867
der=gestalten	w6868
<g/>
=
zur	w6870
Anmeidung	w6871
bestimmet	w6872
<g/>
,
daß	w6874
sie	w6875
sich	w6876
in	w6877
erdeuter	w6878
Zeit	w6879
alss	w6880
gewiß	w6881
in	w6882
der	w6883
herrschaftlichen	w6884
Canzley	w6885
des	w6886
freyen	w6887
Voigten	w6888
<g/>
=
hofs	w6890
zu	w6891
Neunkirchen	w6892
anmelden	w6893
<g/>
,
wie	w6895
im	w6896
widrigen	w6897
nach	w6898
Verstreichung	w6899
er=wehnier	w6900
<g/>
=
Zeit	w6902
<g/>
=
frist	w6904
niemand	w6905
<g/>
,
wer	w6907
der	w6908
auch	w6909
wäre	w6910
<g/>
,
angehöret	w6912
<g/>
,
sondern	w6914
denen	w6915
Ausbleibenden	w6916
das	w6917
ewi=ge	w6918
<g/>
=
Stillschweigen	w6920
auferleget	w6921
werden	w6922
würde	w6923
<g/>
,
Wor=nach	w6925
<g/>
=
sich	w6927
alle	w6928
zu	w6929
richten	w6930
<g/>
,
und	w6932
vor	w6933
Schaden	w6934
zu	w6935
hü=ten	w6936
<g/>
=
wissen	w6938
werden	w6939
<g/>
.
Aetum	w6941
Wien	w6942
in	w6943
der	w6944
Erz	w6945
<g/>
=
bi=schöfl	w6947
<g/>
=
<g/>
.
Resibenz	w6950
den	w6951
3	w6952
<g/>
.
Novemb	w6954
<g/>
.
1762	w6956
<g/>
.
</p>
<p id="p74">
Es	w6958
wird	w6959
hiemit	w6960
jedermänniglich	w6961
kund	w6962
und	w6963
zu	w6964
wissen	w6965
gemacht	w6966
<g/>
,
welcher	w6968
estalten	w6969
den	w6970
20	w6971
<g/>
.
künftigen	w6973
Monats	w6974
Decemb	w6975
<g/>
.
die	w6977
vorhin	w6978
Glattische	w6979
<g/>
,
nunmeh=ro	w6981
<g/>
=
Rabbitschische	w6983
in	w6984
der	w6985
Joseph	w6986
<g/>
=
stadt	w6988
gelegene	w6989
Behausung	w6990
nochmälen	w6991
plus	w6992
offerenti	w6993
wird	w6994
seil	w6995
ge=boten	w6996
<g/>
=
werden	w6998
<g/>
;
wer	w7000
nun	w7001
sothane	w7002
Behausung	w7003
kauf=lich	w7004
<g/>
=
an	w7006
sich	w7007
zu	w7008
bringen	w7009
gerenket	w7010
<g/>
,
derselbe	w7012
beliebe	w7013
sich	w7014
an	w7015
obbestimmtem	w7016
Tag	w7017
fruh	w7018
um	w7019
8	w7020
<g/>
.
Uhr	w7022
bey	w7023
einem	w7024
Löbl	w7025
<g/>
.
Stadt	w7027
<g/>
=
magistrat	w7029
allhier	w7030
anzumelden	w7031
<g/>
.
</p>
<head id="hl16">
Extra	w7033
<g/>
-
blat	w7035
zu	w7036
Num	w7037
<g/>
.
88	w7039
<g/>
.
Mittwoch	w7041
den	w7042
3	w7043
<g/>
.
Novembris	w7045
<g/>
.
1762	w7047
<g/>
.
</head>
<head id="hl17">
JOURNAL	w7049
</head>
<head id="hl18">
Von	w7050
der	w7051
unter	w7052
hohem	w7053
Commando	w7054
des	w7055
Herrn	w7056
F	w7057
<g/>
.
M	w7059
<g/>
.
Grafens	w7061
v	w7062
<g/>
.
Daun	w7064
Excellenz	w7065
in	w7066
Schlesien	w7067
stehenden	w7068
K	w7069
<g/>
.
K	w7071
<g/>
.
Haupt	w7073
<g/>
=
armee	w7075
vom	w7076
20	w7077
<g/>
.
bis	w7079
inclusivè	w7080
26	w7081
<g/>
.
Octob	w7083
<g/>
.
1762	w7085
<g/>
.
aus	w7087
dem	w7088
Haupt	w7089
<g/>
=
quartier	w7091
Ober	w7092
<g/>
=
steine	w7094
<g/>
.
</head>
<p id="p75">
Den	w7096
20	w7097
<g/>
.
enthielten	w7099
die	w7100
eingegangene	w7101
Nachrichten	w7102
<g/>
,
daß	w7104
die	w7105
feindliche	w7106
Trupen	w7107
insgesamt	w7108
annoch	w7109
in	w7110
denen	w7111
anfänglich	w7112
bezogenen	w7113
Cantonirungs	w7114
<g/>
=
quartieren	w7116
seyen	w7117
<g/>
,
gleich	w7119
dann	w7120
auch	w7121
das	w7122
in	w7123
die	w7124
Gegend	w7125
von	w7126
Gorlitz	w7127
geruckte	w7128
Schmetauische	w7129
Corps	w7130
noch	w7131
allda	w7132
stehe	w7133
<g/>
.
</p>
<p id="p76">
Ubrigens	w7135
hat	w7136
ein	w7137
diesseitig	w7138
<g/>
=
nach	w7140
Greiffenberg	w7141
ausgeschick=tes	w7142
<g/>
=
Commando	w7144
5	w7145
<g/>
.
Cuiraßiers	w7147
von	w7148
Bredow	w7149
bey	w7150
Liebenthal	w7151
zu	w7152
Kriegs	w7153
<g/>
=
gefangene	w7155
gemacht	w7156
<g/>
,
und	w7158
2	w7159
<g/>
.
feindliche	w7161
Brod	w7162
<g/>
=
wägen	w7164
erbeutet	w7165
<g/>
.
</p>
<p id="p77">
Den	w7167
21	w7168
<g/>
.
wurde	w7170
lediglich	w7171
durch	w7172
einige	w7173
angekommene	w7174
De=serteurs	w7175
<g/>
=
hinterbracht	w7177
<g/>
,
daß	w7179
der	w7180
Geueral	w7181
Werner	w7182
mit	w7183
seinen	w7184
unterhabenden	w7185
Trupen	w7186
nach	w7187
Ober	w7188
<g/>
=
schlesien	w7190
marschieren	w7191
wer=de	w7192
<g/>
=
<g/>
,
um	w7195
aldorten	w7196
die	w7197
Quartiers	w7198
zu	w7199
beziehen	w7200
<g/>
.
