<doc id="wr_1756-10-09" attrs="word" year="1756" month="10" day="09" corpus="2">
<head id="h2_d81e3769">
Carpenteras	w1_d81e3773
auch	w5_d81e15507
bey	w7_d81e15510
obgedacht	w9_d81e15513
Kaiserl.	w11_d81e15516
Königl.	w1_d81e15521
Militar=schulden	w3_d81e15524
Hof=commißion,	w5_d81e15527
nicht	w1_d81e15532
nur	w3_d81e15535
für	w5_d81e15538
richtig	w7_d81e15541
angesehen,	w9_d81e15544
sondern	w11_d81e15547
auch	w13_d81e15551
die	w1_d81e15556
Zahlung	w3_d81e15559
mittels	w5_d81e15562
eines	w7_d81e15565
assecurations	w9_d81e15568
schein	w1_d81e15574
auf	w3_d81e15577
der	w5_d81e15580
Lista	w7_d81e15583
Nro	w9_d81e15586
20.	w11_d81e15589
in	w13_d81e15593
28.	w15_d81e15596
ein	w17_d81e15599
halb	w1_d81e15604
jährigen	w3_d81e15607
ratis	w5_d81e15610
à	w7_d81e15613
98.	w9_d81e15616
fl	w11_d81e15619
21.	w13_d81e15623
Kr.	w15_d81e15626
dann	w17_d81e15629
90.	w1_d81e15634
fl.	w3_d81e15637
vom	w5_d81e15640
letzten	w7_d81e15643
Jenner	w9_d81e15646
1757.	w11_d81e15649
bis	w13_d81e15653
1770.	w15_d81e15656
solcher	w1_d81e15661
gestalten	w3_d81e15664
zahlbar	w5_d81e15667
angewiesen	w7_d81e15670
worden,	w9_d81e15673
daß	w1_d81e15679
es	w3_d81e15682
folgbar	w5_d81e15685
nur	w7_d81e15688
an	w9_d81e15691
deme	w11_d81e15694
wäre,	w13_d81e15698
daß	w15_d81e15701
sie	w17_d81e15704
nebst	w1_d81e15709
ihrer	w3_d81e15712
Quittung	w5_d81e15715
nebst	w7_d81e15718
übrigen	w9_d81e15721
Erforder	w11_d81e15724
nußen	w1_d81e15729
bevorderist	w3_d81e15732
die	w5_d81e15735
Frepherrlich	w7_d81e15738
General	w9_d81e15741
Kavan	w1_d81e15746
dkische	w3_d81e15749
Originalverpflegsabrech	w5_d81e15752
nung	w1_d81e15758
einlegten,	w3_d81e15761
und	w5_d81e15764
ihnen	w7_d81e15767
der	w9_d81e15770
diesfällige	w11_d81e15773
Versicherungs=schein	w1_d81e15778
ext	w3_d81e15781
adiret	w5_d81e15784
wurde.	w7_d81e15787
</p>
<p id="p8_d81e15790">
Gleichwie	w1_d81e15794
aber	w3_d81e15797
denenselben	w5_d81e15800
die	w7_d81e15803
Kava-	w9_d81e15806
nagkisch	w1_d81e15811
Original	w3_d81e15814
abrechnung	w5_d81e15817
in	w7_d81e15820
Verstoß	w9_d81e15823
gerahten,	w1_d81e15828
auch	w3_d81e15831
bishero	w5_d81e15834
überall	w7_d81e15837
fleißiges	w9_d81e15840
Nach	w11_d81e15843
</p>
<p id="p10_d81e15846">
forschen	w1_d81e15850
nicht	w3_d81e15853
zu	w5_d81e15856
erfahren	w7_d81e15859
gewesen,	w9_d81e15862
wohin	w11_d81e15865
solche	w1_d81e15870
gekommen,	w3_d81e15873
oder	w5_d81e15876
was	w7_d81e15879
daraus	w9_d81e15882
für	w11_d81e15885
ein	w13_d81e15889
Gebrauch	w1_d81e15894
gemacht	w3_d81e15897
worden	w5_d81e15900
ist,	w7_d81e15903
mithin	w9_d81e15906
um	w11_d81e15909
Ausfertigung	w1_d81e15915
des	w3_d81e15918
diesfalls	w5_d81e15921
erforderlichen	w7_d81e15924
Amiotisatiung=edict	w1_d81e15929
gebetten	w3_d81e15932
man	w5_d81e15935
auch	w7_d81e15938
hier	w9_d81e15941
ein	w1_d81e15946
zu	w3_d81e15949
willigen	w5_d81e15952
keinen	w7_d81e15955
Anstand	w9_d81e15958
genemmen.	w11_d81e15961
</p>
<p id="p12_d81e15965">
Als	w1_d81e15969
werden	w3_d81e15972
demnach	w5_d81e15975
alle	w7_d81e15978
und	w9_d81e15981
jede,	w11_d81e15984
so	w13_d81e15988
oben	w1_d81e15993
des	w3_d81e15996
Kaiserl	w5_d81e15999
Königl.	w7_d81e16002
General	w9_d81e16005
feldmar	w11_d81e16008
schall=leutenant	w1_d81e16013
Frey	w3_d81e16016
herr	w5_d81e16019
von	w7_d81e16022
Kav	w9_d81e16025
agk-	w11_d81e16028
ische	w1_d81e16034
verstossene	w3_d81e16037
Original=abrechnung	w5_d81e16040
etwann	w7_d81e16043
in	w1_d81e16048
Handen	w3_d81e16051
haben,	w5_d81e16054
oder	w7_d81e16057
ansonsten	w9_d81e16060
darauf	w11_d81e16063
ei	w13_d81e16067
nen	w1_d81e16072
rechtlichen	w3_d81e16075
Anspruch	w5_d81e16078
zu	w7_d81e16081
machen	w9_d81e16084
vermei	w11_d81e16087
nen,	w1_d81e16092
sich	w3_d81e16095
damit	w5_d81e16098
von	w7_d81e16101
heute	w9_d81e16104
zu	w11_d81e16107
End	w13_d81e16111
gesetzten	w15_d81e16114
Dato	w1_d81e16120
an,	w3_d81e16123
binnen	w5_d81e16126
eines	w7_d81e16129
Jahrs	w9_d81e16132
sechs	w11_d81e16135
Wochen	w13_d81e16139
und	w1_d81e16144
drey	w3_d81e16147
Tags=frist	w5_d81e16150
bey	w7_d81e16153
Eingangsgedach	w9_d81e16156
ten	w1_d81e16161
Kaiserl.	w3_d81e16164
Königl.	w5_d81e16167
Jud.	w7_d81e16170
Del.	w9_d81e16173
Mil.	w11_d81e16176
mixt.	w13_d81e16180
alsogewiß	w1_d81e16185
anzumelden	w3_d81e16188
haben,	w5_d81e16191
wie	w7_d81e16194
im	w9_d81e16197
widri	w11_d81e16200
gen	w1_d81e16206
nach	w3_d81e16209
Verfließung	w5_d81e16212
des	w7_d81e16215
angesetzten	w9_d81e16218
Termins	w11_d81e16221
mehrermeldt	w1_d81e16226
General	w3_d81e16229
Kavanaskische	w5_d81e16232
Ori	w7_d81e16235
ginal=abrechnung	w1_d81e16240
ipso	w3_d81e16243
facto	w5_d81e16246
cassirt,	w7_d81e16249
annul-	w9_d81e16252
lirt,	w1_d81e16257
und	w3_d81e16260
amortiuiri,	w5_d81e16263
auch	w7_d81e16266
was	w9_d81e16269
rechtens	w11_d81e16272
ist,	w13_d81e16276
vorgekehret	w1_d81e16282
werden	w3_d81e16285
solle.	w5_d81e16288
</p>
<head id="h2_d81e16294">
EDICT.	w1_d81e16298
</head>
<p id="p4_d81e16301">
Wir	w1_d81e16305
Burgermeister=amts=verwalter,	w3_d81e16308
und	w5_d81e16311
Raht	w1_d81e16316
der	w3_d81e16319
Stadt	w5_d81e16322
Wien,	w7_d81e16325
geben	w9_d81e16328
allen	w11_d81e16331
und	w13_d81e16335
jeden	w15_d81e16338
Creditorn,	w1_d81e16343
so	w3_d81e16346
zu	w5_d81e16349
weil.	w7_d81e16352
Herrn	w9_d81e16355
Johann	w11_d81e16358
Seha	w13_d81e16362
stian	w1_d81e16368
Eybel,	w3_d81e16371
gewest=des	w5_d81e16374
aussern	w7_d81e16377
Rahts,	w9_d81e16380
und	w1_d81e16385
Burgerl.	w3_d81e16388
Handls=manns	w5_d81e16391
alhier	w7_d81e16394
seel.	w9_d81e16397
Ver	w11_d81e16400
lassenschaft	w1_d81e16405
Sprüch	w3_d81e16408
und	w5_d81e16411
Anforderung	w7_d81e16414
haben,	w9_d81e16417
oder	w1_d81e16422
zu	w3_d81e16425
haben	w5_d81e16428
vermeinen,	w7_d81e16431
es	w9_d81e16434
seye	w11_d81e16437
um	w13_d81e16441
Erb	w15_d81e16444
schaft,	w1_d81e16450
Geld,	w3_d81e16453
Schulden,	w5_d81e16456
oder	w7_d81e16459
anderes,	w9_d81e16462
wie	w11_d81e16465
das	w1_d81e16470
immer	w3_d81e16473
genannt	w5_d81e16476
werden	w7_d81e16479
kan	w9_d81e16482
oder	w11_d81e16485
mag,	w13_d81e16489
hiemit	w1_d81e16494
zu	w3_d81e16497
vernehmen,	w5_d81e16500
daß	w7_d81e16503
wir	w9_d81e16506
entschlossen	w11_d81e16509
seynd,	w1_d81e16514
jetzt	w3_d81e16517
berührte	w5_d81e16520
Sprüch	w7_d81e16523
auf	w9_d81e16526
den	w11_d81e16529
22.	w13_d81e16533
Monats=tag	w1_d81e16539
Novembris	w3_d81e16542
lauffend	w5_d81e16545
1756.	w7_d81e16548
Jahrs	w1_d81e16553
auf	w3_d81e16556
unser,	w5_d81e16559
und	w7_d81e16562
Gemeiner	w9_d81e16565
Stadt	w11_d81e16568
Raht	w13_d81e16572
haus	w1_d81e16577
solcher	w3_d81e16580
gestalten	w5_d81e16583
zu	w7_d81e16586
hören,	w9_d81e16589
zu	w11_d81e16592
verneh	w13_d81e16596
men,	w1_d81e16601
und	w3_d81e16604
was	w5_d81e16607
sich	w7_d81e16610
hierauf	w9_d81e16613
gebühret,	w11_d81e16616
zu	w13_d81e16620
handlen;	w1_d81e16626
daß	w3_d81e16629
anstatt	w5_d81e16632
deren	w7_d81e16635
sonst	w9_d81e16638
gebräucht	w11_d81e16641
gen	w1_d81e16646
dreyen	w3_d81e16649
Edicten	w5_d81e16652
zur	w7_d81e16655
Abschneidung	w9_d81e16658
aller	w11_d81e16661
Weitläuffigkeiten,	w1_d81e16666
diese	w3_d81e16669
Sach	w5_d81e16672
auf	w7_d81e16675
einmal	w9_d81e16678
hin	w11_d81e16681
dann	w1_d81e16686
gelegt,	w3_d81e16689
und	w5_d81e16692
hernach	w7_d81e16695
keiner	w9_d81e16698
mehr	w11_d81e16701
ge	w13_d81e16705
höret	w1_d81e16711
werden	w3_d81e16714
solle.	w5_d81e16717
Erfordern	w7_d81e16720
und	w9_d81e16723
citiren	w11_d81e16726
demnach	w1_d81e16731
alle	w3_d81e16734
Jnteressirte	w5_d81e16737
hiemit	w7_d81e16740
perempto-	w9_d81e16743
riè,	w1_d81e16748
und	w3_d81e16751
sub	w5_d81e16754
œna	w7_d81e16757
præclusi,	w9_d81e16760
daß	w11_d81e16763
sie	w13_d81e16767
ent	w15_d81e16770
weders	w1_d81e16775
persönlich,	w3_d81e16778
oder	w5_d81e16781
aber	w7_d81e16784
durch	w9_d81e16787
hierzu	w11_d81e16790
genugsam	w1_d81e16796
bevollmächtigte	w3_d81e16799
Gewalt=trager	w5_d81e16802
auf	w1_d81e16807
obbemeldeten	w3_d81e16810
Tag	w5_d81e16813
fruhe	w7_d81e16816
um	w9_d81e16819
8.	w11_d81e16822
Uhr,	w13_d81e16826
oder	w15_d81e16829
da	w1_d81e16834
wir	w3_d81e16837
selbigen	w5_d81e16840
Tags	w7_d81e16843
etwann	w9_d81e16846
anderer	w11_d81e16849
Ge	w13_d81e16853
schäften	w1_d81e16858
halber	w3_d81e16861
icht	w5_d81e16864
zu	w7_d81e16867
Raht	w9_d81e16870
sässen,	w11_d81e16873
den	w13_d81e16877
nächst	w1_d81e16883
darauf	w3_d81e16886
folgenden	w5_d81e16889
Rahts=tag	w7_d81e16892
vor	w9_d81e16895
ung	w11_d81e16898
</p>
<p id="p8_d81e16903">
erscheinen,	w1_d81e16907
alda	w3_d81e16910
ihre	w5_d81e16913
Forderungen	w7_d81e16916
schrift	w9_d81e16919
oder	w1_d81e16924
mündlich	w3_d81e16927
anbringen,	w5_d81e16930
und	w7_d81e16933
nicht	w9_d81e16936
aus	w11_d81e16939
bleiben,	w1_d81e16944
und	w3_d81e16947
zwar	w5_d81e16950
mit	w7_d81e16953
dieser	w9_d81e16956
nochmalig	w11_d81e16959
ge	w13_d81e16963
messenen	w1_d81e16969
Commination,	w3_d81e16972
daß,	w5_d81e16975
es	w7_d81e16978
erscheine	w9_d81e16981
darbey	w1_d81e16986
ein	w3_d81e16989
Theil	w5_d81e16992
oder	w7_d81e16995
nicht,	w9_d81e16998
der	w11_d81e17001
Anwesende	w13_d81e17005
mit	w1_d81e17010
seiner	w3_d81e17013
Nohtdurft	w5_d81e17016
nichts	w7_d81e17019
destoweniger	w9_d81e17022
an	w11_d81e17025
gehöret,	w1_d81e17030
und	w3_d81e17033
darüber	w5_d81e17036
was	w7_d81e17039
Rechtens	w9_d81e17042
ist,	w11_d81e17045
er	w13_d81e17049
kannt,	w1_d81e17055
der	w3_d81e17058
Ausbleibende	w5_d81e17061
hingegen	w7_d81e17064
nicht	w9_d81e17067
mehr	w11_d81e17070
gehöret,	w1_d81e17075
sondern	w3_d81e17078
gänzlichen	w5_d81e17081
ausgeschlossen	w7_d81e17084
werden	w1_d81e17089
solle;	w3_d81e17092
wornach	w5_d81e17095
sich	w7_d81e17098
ein	w9_d81e17101
jeder	w11_d81e17104
zu	w13_d81e17108
richten	w15_d81e17111
und	w1_d81e17116
vor	w3_d81e17119
Schaden	w5_d81e17122
zu	w7_d81e17125
hüten	w9_d81e17128
wissen	w11_d81e17131
wird.	w13_d81e17135
Actum	w15_d81e17138
Wien,	w1_d81e17144
den	w3_d81e17147
13.	w5_d81e17150
Sept.	w7_d81e17153
1756.	w9_d81e17156
</p>
<p id="p10_d81e17159">
Den	w1_d81e17163
12.	w3_d81e17166
künftigen	w5_d81e17169
Monats	w7_d81e17172
Novemb.	w9_d81e17175
früh	w11_d81e17178
um	w1_d81e17183
8.	w3_d81e17186
Uhr,	w5_d81e17189
wird	w7_d81e17192
bey	w9_d81e17195
einem	w11_d81e17198
Löbl.	w13_d81e17202
N.	w15_d81e17205
Oe.	w17_d81e17208
Land=marschallischen	w1_d81e17213
Gericht,	w3_d81e17216
das	w5_d81e17219
Gut	w7_d81e17222
Ha	w9_d81e17225
gendorf,	w1_d81e17231
cum	w3_d81e17234
appertinentiis	w5_d81e17237
plus	w7_d81e17240
offerenti	w9_d81e17243
licitando	w1_d81e17248
käuflichen	w3_d81e17251
hindan	w5_d81e17254
gelassen	w7_d81e17257
werden.	w9_d81e17260
</p>
<p id="p12_d81e17264">
Es	w1_d81e17268
ist	w3_d81e17271
das	w5_d81e17274
sogenannte	w7_d81e17277
Radelmayrische	w9_d81e17280
Wirts=haus	w1_d81e17285
auf	w3_d81e17288
der	w5_d81e17291
Nußdorfer=strassen	w7_d81e17294
samt	w9_d81e17297
zwey	w1_d81e17302
Ziegel=öfen	w3_d81e17305
und	w5_d81e17308
Grund	w7_d81e17311
zu	w9_d81e17314
Ziegel	w11_d81e17317
bren	w13_d81e17321
nen,	w1_d81e17327
wie	w3_d81e17330
auch	w5_d81e17333
Acker,	w7_d81e17336
Mayr=hof	w9_d81e17339
und	w11_d81e17342
Sta	w13_d81e17346
del	w1_d81e17351
täglich	w3_d81e17354
zu	w5_d81e17357
verkauffen,	w7_d81e17360
wer	w9_d81e17363
solche	w11_d81e17366
gesinnet	w13_d81e17370
ist	w1_d81e17375
zu	w3_d81e17378
kauffen,	w5_d81e17381
kan	w7_d81e17384
sich	w9_d81e17387
bey	w11_d81e17390
denen	w13_d81e17394
Hegischen	w15_d81e17397
Erben	w17_d81e17400
in	w1_d81e17405
denen	w3_d81e17408
3.	w5_d81e17411
Hacken	w7_d81e17414
in	w9_d81e17417
der	w11_d81e17420
Stadt	w13_d81e17424
anfragen.	w15_d81e17427
</p>
<p id="p14_d81e17430">
Nächstkünftigen	w1_d81e17434
Montag	w3_d81e17437
als	w5_d81e17440
den	w7_d81e17443
11.	w9_d81e17446
die	w11_d81e17449
ses	w1_d81e17454
werden	w3_d81e17457
in	w5_d81e17460
dem	w7_d81e17463
Gräflich=Wallisischen	w9_d81e17466
Haus	w1_d81e17471
in	w3_d81e17474
der	w5_d81e17477
Kruger=strassen	w7_d81e17480
im	w9_d81e17483
anderten	w11_d81e17486
Stock	w1_d81e17492
allerhand	w3_d81e17495
Effeccen,	w5_d81e17498
als	w7_d81e17501
grosse	w9_d81e17504
und	w11_d81e17507
kleine	w1_d81e17512
Spiegel,	w3_d81e17515
Koffer,	w5_d81e17518
Canapee,	w7_d81e17521
Jndianisch	w9_d81e17524
und	w1_d81e17529
Engländische	w3_d81e17532
auch	w5_d81e17535
andere	w7_d81e17538
Kästen,	w9_d81e17541
Nieder	w11_d81e17544
länder,	w1_d81e17549
rot	w3_d81e17552
Rasettene,	w5_d81e17555
grün	w7_d81e17558
und	w9_d81e17561
gelb	w11_d81e17564
Bro	w13_d81e17568
catellene	w1_d81e17574
Spallier,	w3_d81e17577
samt	w5_d81e17580
Sessel	w7_d81e17583
und	w9_d81e17586
Soffa	w11_d81e17589
Uberzug,	w1_d81e17594
nebst	w3_d81e17597
andern	w5_d81e17600
Sachen	w7_d81e17603
dem	w9_d81e17606
Meistbie	w11_d81e17609
tenden	w1_d81e17614
hindan	w3_d81e17617
gegeben.	w5_d81e17620
</p>
<p id="p16_d81e17623">
Auf	w1_d81e17627
Verordnung	w3_d81e17630
einer	w5_d81e17633
Hochlöbl.	w7_d81e17636
N.	w9_d81e17639
Oe.	w11_d81e17642
Regierung	w1_d81e17647
in	w3_d81e17650
Justitz=sachen	w5_d81e17653
werden	w7_d81e17656
den	w9_d81e17659
12.	w11_d81e17662
October,	w1_d81e17667
vormittags	w3_d81e17670
von	w5_d81e17673
9.	w7_d81e17676
bis	w9_d81e17679
12.	w11_d81e17682
und	w13_d81e17686
Nachmittag	w1_d81e17692
von	w3_d81e17695
3.	w5_d81e17698
bis	w7_d81e17701
6.	w9_d81e17704
Uhr,	w11_d81e17707
in	w13_d81e17711
dem	w15_d81e17714
Grünwalerischen	w1_d81e17719
Haus	w3_d81e17722
auf	w5_d81e17725
der	w7_d81e17728
hohen	w9_d81e17731
Bru	w11_d81e17734
cken	w1_d81e17739
im	w3_d81e17742
anderten	w5_d81e17745
Stock,	w7_d81e17748
des	w9_d81e17751
Verstorbenen	w11_d81e17754
Accademie=mahlers,	w1_d81e17759
Anton	w3_d81e17762
Stephan	w5_d81e17765
hinter	w7_d81e17768
lassene	w1_d81e17774
Effecten,	w3_d81e17777
als	w5_d81e17780
Kasten,	w7_d81e17783
Tisch,	w9_d81e17786
Sessel,	w11_d81e17789
Wäsch,	w1_d81e17794
Kleider,	w3_d81e17797
Bilder,	w5_d81e17800
Beht=gewand,	w7_d81e17803
rc.	w9_d81e17806
plus	w1_d81e17811
offerenti	w3_d81e17814
dem	w5_d81e17817
Meist=bietenden	w7_d81e17820
hindan	w9_d81e17823
gegeben	w1_d81e17828
werden.	w3_d81e17831
</p>
<p id="p18_d81e17834">
Den	w1_d81e17838
11.	w3_d81e17841
October	w5_d81e17844
und	w7_d81e17847
folgenden	w9_d81e17850
Tag	w11_d81e17853
wird	w13_d81e17857
auf	w1_d81e17862
einer	w3_d81e17865
Hochlöbl.	w5_d81e17868
N.	w7_d81e17871
Oe.	w9_d81e17874
Regieung	w11_d81e17877
in	w13_d81e17881
Justitz=sachen	w1_d81e17886
Verordnung,	w3_d81e17889
in	w5_d81e17892
dem	w7_d81e17895
Palle	w9_d81e17898
</p>
<p id="p20_d81e17901">
strazitschen	w1_d81e17905
Haus	w3_d81e17908
unter	w5_d81e17911
denen	w7_d81e17914
Tuchlauben	w9_d81e17917
im	w11_d81e17920
anderten	w1_d81e17925
Stock,	w3_d81e17928
Vormittag	w5_d81e17931
von	w7_d81e17934
9.	w9_d81e17937
bis	w11_d81e17940
12.	w13_d81e17944
Nachmittag	w1_d81e17949
von	w3_d81e17952
3.	w5_d81e17955
bis	w7_d81e17958
6.	w9_d81e17961
Uhr,	w11_d81e17964
folgende	w13_d81e17968
Haus	w15_d81e17971
mobilien	w1_d81e17977
und	w3_d81e17980
Effecten,	w5_d81e17983
als	w7_d81e17986
ein	w9_d81e17989
künstliches	w11_d81e17992
Crucifix	w1_d81e17997
von	w3_d81e18000
Elphenbein,	w5_d81e18003
aus	w7_d81e18006
einem	w9_d81e18009
Stuck	w11_d81e18012
gemacht,	w1_d81e18017
dann	w3_d81e18020
ein	w5_d81e18023
von	w7_d81e18026
Allabaster	w9_d81e18029
künstliches	w11_d81e18032
Altarl,	w1_d81e18037
Original=bilder,	w3_d81e18040
von	w5_d81e18043
besten	w7_d81e18046
Weischen	w9_d81e18049
Meistern,	w1_d81e18055
Niederländer	w3_d81e18058
und	w5_d81e18061
Brocatellene	w7_d81e18064
auch	w9_d81e18067
andere	w1_d81e18072
Spällier,	w3_d81e18075
samt	w5_d81e18078
denen	w7_d81e18081
Sesseln,	w9_d81e18084
ein	w11_d81e18087
paar	w1_d81e18092
Roß	w3_d81e18095
und	w5_d81e18098
Wagen	w7_d81e18101
mit	w9_d81e18104
aller	w11_d81e18107
Zugehör,	w13_d81e18111
dann	w1_d81e18116
Kleider,	w3_d81e18119
Lein=gewand,	w5_d81e18122
Spiegel,	w7_d81e18125
Kup	w9_d81e18128
fer,	w1_d81e18134
Meßiug,	w3_d81e18137
und	w5_d81e18140
andere	w7_d81e18143
Haus=effecten	w9_d81e18146
de	w11_d81e18149
nen	w1_d81e18154
Meistbietenden	w3_d81e18157
licitando	w5_d81e18160
hindan	w7_d81e18163
gege	w9_d81e18166
ben	w1_d81e18171
werden.	w3_d81e18174
</p>
<p id="p22_d81e18177">
Den	w1_d81e18181
9.	w3_d81e18184
nächst=künftigen	w5_d81e18187
Monats	w7_d81e18190
Nov.	w9_d81e18193
werden	w1_d81e18198
in	w3_d81e18201
dem	w5_d81e18204
Schütterischen	w7_d81e18207
Haus	w9_d81e18210
auf	w11_d81e18213
dem	w1_d81e18218
alten	w3_d81e18221
Bauern=markt	w5_d81e18224
im	w7_d81e18227
ersten	w9_d81e18230
Stock	w11_d81e18233
ver	w13_d81e18237
schiedene	w1_d81e18243
seidene	w3_d81e18246
Waaren,	w5_d81e18249
als	w7_d81e18252
Sammet,	w9_d81e18255
Damast,	w1_d81e18260
Großdetour,	w3_d81e18263
Atlas	w5_d81e18266
und	w7_d81e18269
Taffet,	w9_d81e18272
Nachmittag	w1_d81e18277
von	w3_d81e18280
3	w5_d81e18283
bis	w7_d81e18286
6.	w9_d81e18289
Uhr,	w11_d81e18292
dem	w13_d81e18296
Meistbieten	w15_d81e18299
den	w1_d81e18304
gegen	w3_d81e18307
baare	w5_d81e18310
Bezahlung	w7_d81e18313
verkauft	w9_d81e18316
werden.	w11_d81e18319
</p>
<head id="h2_d81e18953">
X.	w1_d81e18957
Fortsetzung	w3_d81e18960
des	w5_d81e18963
publicirten	w7_d81e18966
Ur	w9_d81e18969
theils	w1_d81e18974
der	w3_d81e18977
Commißion	w5_d81e18980
der	w7_d81e18983
Schwe	w9_d81e18986
dischen	w1_d81e18991
Reichs=stände	w3_d81e18994
gegen	w5_d81e18997
die	w7_d81e19000
Staats	w1_d81e19006
=erbrecher.	w3_d81e19009
</head>
<p id="p4_d81e19012">
(Das	w1_d81e19016
Vorhergegende	w3_d81e19019
sehe	w5_d81e19022
man	w7_d81e19025
Numero	w9_d81e19028
71.	w11_d81e19031
bis	w1_d81e19036
80.	w3_d81e19039
inclusive.	w5_d81e19042
</p>
<p id="p6_d81e19045">
Dieses	w1_d81e19049
mit	w3_d81e19052
mehrern,	w5_d81e19055
was	w7_d81e19058
so	w9_d81e19061
wol	w11_d81e19064
der	w13_d81e19068
Ac	w15_d81e19071
tor,	w1_d81e19076
als	w3_d81e19079
die	w5_d81e19082
Angeklagten,	w7_d81e19085
auf	w9_d81e19088
beyden	w11_d81e19091
Sei	w13_d81e19095
ten	w1_d81e19100
bey	w3_d81e19103
dem	w5_d81e19106
gehaltenen	w7_d81e19109
Verhören,	w9_d81e19112
so	w11_d81e19115
münd	w13_d81e19119
als	w1_d81e19125
schriftlich	w3_d81e19128
eingegeben,	w5_d81e19131
hat	w7_d81e19134
die	w9_d81e19137
Commißi	w11_d81e19140
on	w1_d81e19145
in	w3_d81e19148
gehörige	w5_d81e19151
Erwegung	w7_d81e19154
gezogen.	w9_d81e19157
</p>
<p id="p8_d81e19160">
Was	w1_d81e19164
also	w3_d81e19167
zu	w5_d81e19170
erst	w7_d81e19173
den	w9_d81e19176
Herrn	w11_d81e19179
Obersten	w13_d81e19183
Gra	w15_d81e19186
fens	w1_d81e19191
Brahe	w3_d81e19194
angehet,	w5_d81e19197
so	w7_d81e19200
hat	w9_d81e19203
er	w11_d81e19206
zwar,	w13_d81e19210
so	w15_d81e19213
wie	w1_d81e19218
oben	w3_d81e19221
angeführet	w5_d81e19224
worden,	w7_d81e19227
durch	w9_d81e19230
man	w11_d81e19233
cherley	w1_d81e19239
Entschuldigungen	w3_d81e19242
von	w5_d81e19245
aller	w7_d81e19248
Theil	w9_d81e19251
haftigkeit	w1_d81e19256
und	w3_d81e19259
überführenden	w5_d81e19262
Kundschaft	w7_d81e19265
von	w9_d81e19268
dem	w1_d81e19273
Anschlage	w3_d81e19276
sich	w5_d81e19279
zu	w7_d81e19282
befreyen	w9_d81e19285
gesucht,	w11_d81e19288
annebst	w13_d81e19292
die	w1_d81e19297
durch	w3_d81e19300
den	w5_d81e19303
Lauffer	w7_d81e19306
Ernsten,	w9_d81e19309
den	w11_d81e19312
21.	w13_d81e19316
jüngst	w15_d81e19319
abgewichenen	w1_d81e19325
Junii,	w3_d81e19328
vorgenommene	w5_d81e19331
Auf	w7_d81e19334
ruhr	w1_d81e19339
entdecket	w3_d81e19342
worden,	w5_d81e19345
als	w7_d81e19348
worüber	w9_d81e19351
ein	w11_d81e19354
schriftlicher	w1_d81e19359
Plan,	w3_d81e19362
so	w5_d81e19365
wie	w7_d81e19368
er	w9_d81e19371
Eingangs	w11_d81e19374
hier	w13_d81e19378
inn	w1_d81e19383
angezeiget	w3_d81e19386
wird,	w5_d81e19389
von	w7_d81e19392
dem	w9_d81e19395
entwichenen	w11_d81e19398
Obersten	w1_d81e19404
und	w3_d81e19407
Leutenant	w5_d81e19410
bey	w7_d81e19413
Sr.	w9_d81e19416
Majestät	w11_d81e19419
Leib=trabanten=corpo	w1_d81e19424
auch	w3_d81e19427
Rittern,	w5_d81e19430
dem	w7_d81e19433
Grafen	w1_d81e19438
Johann	w3_d81e19441
Ludwig	w5_d81e19444
Härd,	w7_d81e19447
entworfen	w9_d81e19450
gewesen,	w1_d81e19455
und	w3_d81e19458
der	w5_d81e19461
die	w7_d81e19464
Aenderung	w9_d81e19467
der	w11_d81e19470
Re	w13_d81e19474
gierungs=forme,	w1_d81e19480
die	w3_d81e19483
Abänderung	w5_d81e19486
der	w7_d81e19489
von	w9_d81e19492
denen	w1_d81e19497
Hoch=löbl.	w3_d81e19500
Reichs=ständen	w5_d81e19503
bey	w7_d81e19506
diesem	w9_d81e19509
Reichs=tage	w1_d81e19514
genommenen	w3_d81e19517
Verfassungen,	w5_d81e19520
und	w7_d81e19523
die	w1_d81e19528
Stöhrung	w3_d81e19531
der	w5_d81e19534
allgemeinen	w7_d81e19537
Ruhe,	w9_d81e19540
zur	w11_d81e19543
Absicht	w1_d81e19549
gehabt.	w3_d81e19552
Es	w5_d81e19555
findet	w7_d81e19558
sich	w9_d81e19561
aber	w11_d81e19564
gleich	w13_d81e19568
wol	w1_d81e19573
in	w3_d81e19576
der	w5_d81e19579
Untersuchung,	w7_d81e19582
daß	w9_d81e19585
der	w11_d81e19588
Hr.	w13_d81e19592
Graf	w15_d81e19595
und	w1_d81e19600
Oberste,	w3_d81e19603
nachdem	w5_d81e19606
er	w7_d81e19609
gegen	w9_d81e19612
allen	w11_d81e19615
Kund	w13_d81e19619
schaft	w1_d81e19624
und	w3_d81e19627
Theilnehmung	w5_d81e19630
daran	w7_d81e19633
lange	w9_d81e19636
Zeit	w11_d81e19639
gestritten,	w1_d81e19645
nicht	w3_d81e19648
alleine	w5_d81e19651
selbst	w7_d81e19654
bekannt,	w9_d81e19657
daß	w11_d81e19660
ihm	w1_d81e19665
von	w3_d81e19668
einer	w5_d81e19671
gewissen	w7_d81e19674
hohen	w9_d81e19677
Person	w11_d81e19680
zu	w13_d81e19684
verschiedenen	w1_d81e19689
malen	w3_d81e19692
nachdenkliche	w5_d81e19695
Vorstell	w7_d81e19698
un	w9_d81e19701
gen	w1_d81e19706
wegen	w3_d81e19709
