<doc id="edoc_wd_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="1">
<head id="hl1">
Neu	w40
Gerähtschaften	w5383
ne=ben	w5384
<g/>
=
der	w5386
neuen	w5387
Weit	w5388
im	w5389
Hacklischen	w5390
Haus	w5391
im	w5392
vierten	w5393
Stock	w5394
auf	w5395
die	w5396
Gassen	w5397
denen	w5398
Meistbieten-den	w5399
<g/>
-
hindann	w5401
gelassen	w5402
werden	w5403
<g/>
.
</p>
<head id="hl16">
Resolvirte	w5447
<g/>
,
neu	w5449
an	w5450
<g/>
=
und	w5452
aufgenom=nene	w5453
<g/>
=
Hoch	w5455
<g/>
=
adeliche	w5457
Stern	w5458
<g/>
=
kreutz	w5460
<g/>
=
ordens=damen	w5462
<g/>
=
den	w5464
14	w5465
<g/>
.
September	w5467
1760	w5468
<g/>
.
</head>
<p id="p71">
Gräfin	w5470
von	w5471
Gonzalles	w5472
<g/>
,
Jhrer	w5474
Königl	w5475
<g/>
.
Ho=heit	w5477
<g/>
=
Prinzeßin	w5479
von	w5480
Parma	w5481
Obrist	w5482
<g/>
=
hof=meisterin	w5484
<g/>
=
<g/>
.
</p>
<p id="p72">
Renata	w5487
Fräule	w5488
Gräfin	w5489
von	w5490
Trautmann=storf	w5491
<g/>
=
<g/>
,
Kaiserl	w5494
<g/>
.
Königl	w5496
<g/>
.
Hof	w5498
<g/>
=
dame	w5500
<g/>
.
</p>
<p id="p73">
Friderica	w5502
Fräule	w5503
Gräfin	w5504
von	w5505
Cavriani	w5506
<g/>
,
Kaiserl	w5508
<g/>
.
Königl	w5510
<g/>
.
Hof	w5512
<g/>
=
dame	w5514
<g/>
.
</p>
<p id="p74">
Josepha	w5516
Fräule	w5517
Gräfin	w5518
von	w5519
Frankenberg	w5520
Kaiserl	w5521
<g/>
.
Königl	w5523
<g/>
.
Hof	w5525
<g/>
=
dame	w5527
<g/>
.
</p>
<p id="p75">
Maria	w5529
Antonia	w5530
Horneck	w5531
von	w5532
Wenheim	w5533
<g/>
,
Jhrer	w5535
Durchl	w5536
<g/>
.
der	w5538
Chur	w5539
<g/>
=
fürstin	w5541
zu	w5542
Pfalz	w5543
<g/>
,
Hof	w5545
dame	w5546
<g/>
.
</p>
<p id="p76">
Claudia	w5548
Contessa	w5549
Biglia	w5550
<g/>
,
nata	w5552
Contessa	w5553
Clerici	w5554
<g/>
.
</p>
<p id="p77">
Maria	w5556
Josepha	w5557
Gräfin	w5558
von	w5559
Poninska	w5560
<g/>
,
geborne	w5562
Fürstin	w5563
von	w5564
Lubomirska	w5565
<g/>
.
</p>
<p id="p78">
Sophia	w5567
Gräfin	w5568
von	w5569
Waldstein	w5570
<g/>
,
geborne	w5572
Gräfin	w5573
von	w5574
Sternberg	w5575
<g/>
.
</p>
<p id="p79">
Felicitas	w5577
Gräfin	w5578
von	w5579
Przebendowska	w5580
<g/>
,
geborne	w5582
Gräfin	w5583
von	w5584
Wielopolska	w5585
<g/>
,
Starosti=ne	w5587
<g/>
=
von	w5589
Mirachowsky	w5590
<g/>
.
</p>
<p id="p80">
Maria	w5592
Anna	w5593
Gräfin	w5594
von	w5595
Seinsheim	w5596
<g/>
,
geborne	w5598
Freyin	w5599
von	w5600
Hocheneck	w5601
<g/>
.
</p>
<p id="p81">
Francisca	w5603
Gräfin	w5604
von	w5605
Pargozin	w5606
<g/>
,
geborne	w5608
Gräfin	w5609
ven	w5610
Erdödy	w5611
<g/>
.
</p>
<p id="p82">
Maria	w5613
Carolina	w5614
Gräfin	w5615
von	w5616
Lichnowsky	w5617
<g/>
,
geborne	w5619
Gräfin	w5620
von	w5621
Althann	w5622
<g/>
.
</p>
<p id="p83">
Maria	w5624
Maddalena	w5625
Marchesa	w5626
di	w5627
Corsi	w5628
<g/>
,
na-ta	w5630
<g/>
-
Medici	w5632
<g/>
.
</p>
<p id="p84">
Maria	w5634
Francesca	w5635
Contessa	w5636
di	w5637
Belgioioso	w5638
<g/>
,
nata	w5640
Marchesa	w5641
di	w5642
S	w5643
<g/>
.
Secondo	w5645
<g/>
.
</p>
<p id="p85">
Margaritha	w5647
Spada	w5648
Lambertini	w5649
<g/>
.
</p>
<p id="p86">
Maria	w5651
Aloysia	w5652
Freyin	w5653
von	w5654
Dobrzensky	w5655
<g/>
,
geborne	w5657
Gräfin	w5658
von	w5659
Cavriani	w5660
<g/>
.
</p>
<p id="p87">
Rosalia	w5662
Gräfin	w5663
von	w5664
Atthembs	w5665
<g/>
,
geborne	w5667
Gräfin	w5668
von	w5669
Leslie	w5670
<g/>
.
</p>
<p id="p88">
Maria	w5672
Aloysia	w5673
Gräfin	w5674
von	w5675
Wapensperg	w5676
geborne	w5677
Gräfin	w5678
von	w5679
Saurau	w5680
<g/>
.
</p>
<p id="p89">
Ludovica	w5682
Gräfin	w5683
von	w5684
Leslie	w5685
<g/>
,
geborne	w5687
Geck=hn	w5688
<g/>
=
von	w5690
Waldstein	w5691
<g/>
.
</p>
<p id="p90">
Maria	w5693
Anna	w5694
Gräfin	w5695
von	w5696
Atthems	w5697
<g/>
,
ge=borne	w5699
<g/>
=
Gräfin	w5701
von	w5702
Wurmbrand	w5703
<g/>
.
</p>
<p id="p91">
Maria	w5705
Cajetana	w5706
Gräfin	w5707
von	w5708
Lamberg	w5709
<g/>
,
geborne	w5711
Gräfin	w5712
von	w5713
Leslie	w5714
<g/>
.
</p>
<p id="p92">
Maria	w5716
Anna	w5717
Philippina	w5718
Gräfin	w5719
von	w5720
Leonrodt	w5721
<g/>
,
geborne	w5723
Freyin	w5724
von	w5725
Ramschwach	w5726
<g/>
.
</p>
<p id="p93">
Antonia	w5728
Gräfin	w5729
von	w5730
Wratislau	w5731
von	w5732
Mi=trowicz	w5733
<g/>
=
<g/>
,
geborne	w5736
Gräfin	w5737
von	w5738
Kinsky	w5739
<g/>
.
</p>
<p id="p94">
Maria	w5741
Anna	w5742
Gallio	w5743
Pignatelli	w5744
<g/>
,
Duchessa	w5746
di	w5747
Montecalvo	w5748
<g/>
.
</p>
<p id="p95">
Ippolita	w5750
di	w5751
Grassi	w5752
<g/>
,
Contessa	w5754
Bentivoglio	w5755
<g/>
.
</p>
<p id="p96">
Carolina	w5757
Gräfin	w5758
von	w5759
Gyulay	w5760
<g/>
,
geborne	w5762
Gräfin	w5763
von	w5764
Haller	w5765
<g/>
.
</p>
<p id="p97">
Maria	w5767
Walburga	w5768
Gräfin	w5769
von	w5770
Millesi=mo	w5771
<g/>
=
<g/>
,
geborne	w5774
Gräfin	w5775
von	w5776
Schiernding	w5777
<g/>
.
</p>
<p id="p98">
Susanna	w5779
Gräfin	w5780
von	w5781
Mickes	w5782
<g/>
,
geborne	w5784
Gräfin	w5785
von	w5786
Haller	w5787
<g/>
.
</p>
<head id="hl17">
Aus	w5789
dem	w5790
Hoch	w5791
<g/>
=
adelichen	w5793
Stern=kreutz	w5794
<g/>
=
<g/>
=
orden	w5797
seynd	w5798
vom	w5799
3	w5800
<g/>
.
May	w5802
bis	w5803
14	w5804
<g/>
.
September	w5806
1760	w5807
<g/>
.
in	w5809
Gott	w5810
seelig	w5811
ent=schlaffen	w5812
<g/>
=
die	w5814
Hoch	w5815
<g/>
=
und	w5817
Wolgeborne	w5818
Frauen	w5819
<g/>
,
Frauen	w5821
<g/>
.
</head>
<p id="p99">
Ursula	w5823
Freyin	w5824
von	w5825
Mongelas	w5826
<g/>
,
geborne	w5828
Gräfin	w5829
von	w5830
Trauner	w5831
<g/>
,
zu	w5833
München	w5834
<g/>
.
</p>
<p id="p100">
Josepha	w5836
Gräfin	w5837
von	w5838
Harrach	w5839
<g/>
,
geborne	w5841
Freyin	w5842
von	w5843
Gillris	w5844
<g/>
,
zu	w5846
Wien	w5847
<g/>
.
</p>
<p id="p101">
Laura	w5849
Contessa	w5850
Capponi	w5851
<g/>
,
nata	w5853
Venturi	w5854
<g/>
,
à	w5856
Firenze	w5857
<g/>
.
</p>
<p id="p102">
Vittoria	w5859
Piccolormini	w5860
d'Arragona	w5861
<g/>
,
Duches-sa	w5863
<g/>
-
del	w5865
Gesso	w5866
<g/>
,
nata	w5868
Prencipessa	w5869
di	w5870
Valle	w5871
<g/>
,
à	w5873
Napoli	w5874
<g/>
.
</p>
<p id="p103">
Anna	w5878
Catharina	w5879
Gräfin	w5880
von	w5881
Marchan	w5882
von	w5883
Ansembourg	w5884
<g/>
,
geborne	w5886
Gräfin	w5887
von	w5888
Vel=brück	w5889
<g/>
=
zu	w5891
Ansembourg	w5892
<g/>
.
</p>
<p id="p104">
Bianca	w5894
Contessa	w5895
Capecci	w5896
della	w5897
Somaglia	w5898
<g/>
,
nata	w5900
Marchesa	w5901
Anquissola	w5902
<g/>
,
à	w5904
Piacenza	w5905
<g/>
.
</p>
<p id="p105">
Laura	w5907
Carraciola	w5908
Duchessa	w5909
di	w5910
Canzana	w5911
<g/>
,
nata	w5913
Marchesa	w5914
d'Amarossa	w5915
<g/>
,
à	w5917
Napoli	w5918
<g/>
.
</p>
<p id="p106">
Von	w5920
des	w5921
Kaiserl	w5922
<g/>
.
Königl	w5924
<g/>
.
Jud	w5926
<g/>
.
Deleg	w5928
<g/>
.
Milit	w5930
<g/>
.
mixti	w5932
in	w5933
Militaribus	w5934
im	w5935
Erz	w5936
<g/>
=
herzogtum	w5938
Oesterreich	w5939
unter	w5940
<g/>
=
und	w5942
ob	w5943
der	w5944
Enns	w5945
wegen	w5946
<g/>
,
wird	w5948
hiemit	w5949
durch	w5950
dieses	w5951
offentliche	w5952
Edict	w5953
denen	w5954
Don	w5955
Diego	w5956
d'Aqui=larischen	w5957
<g/>
=
Erben	w5959
kund	w5960
und	w5961
zu	w5962
wissen	w5963
gemacht	w5964
<g/>
:
</p>
<p id="p107">
Es	w5966
habe	w5967
der	w5968
Aurelius	w5969
Gazzinelli	w5970
<g/>
,
Negotiant	w5972
al=hier	w5973
<g/>
=
Kläger	w5975
und	w5976
respective	w5977
Weisungs	w5978
<g/>
=
führer	w5980
eines	w5981
wider	w5982
Don	w5983
Diego	w5984
d'Aquilar	w5985
<g/>
,
nunmehro	w5987
dessen	w5988
Er=ben	w5989
<g/>
=
beklagten	w5991
andern	w5992
Theils	w5993
<g/>
,
in	w5995
puncto	w5996
der	w5997
ihme	w5998
Kläger	w5999
durch	w6000
den	w6001
in	w6002
Sachen	w6003
unterm	w6004
9	w6005
<g/>
.
Jenner	w6007
1755	w6008
<g/>
.
publicirten	w6010
Abschied	w6011
vorbehaltener	w6012
Weisung	w6013
über	w6014
den	w6015
weitershin	w6016
unterm	w6017
3	w6018
<g/>
.
May	w6020
dies	w6021
Jahrs	w6022
dahin	w6023
ergangenen	w6024
Abschied	w6025
<g/>
,
der	w6027
Kläger	w6028
habe	w6029
das-jenige	w6030
<g/>
-
<g/>
,
was	w6033
ihme	w6034
durch	w6035
den	w6036
ergangenen	w6037
Abschied	w6038
de	w6039
publicato	w6040
9	w6041
<g/>
.
Jenner	w6043
1755	w6044
<g/>
.
zu	w6046
erweisen	w6047
ist	w6048
<g/>
,
auf-getragen	w6050
<g/>
-
worden	w6052
<g/>
,
wie	w6054
es	w6055
sich	w6056
zu	w6057
recht	w6058
gebühret	w6059
<g/>
,
er-wiesen	w6061
<g/>
-
<g/>
,
stehe	w6064
demnach	w6065
demselben	w6066
<g/>
,
wann	w6068
er	w6069
jedoch	w6070
vor=hero	w6071
<g/>
=
einen	w6073
cörperlichen	w6074
Eid	w6075
zu	w6076
GOtt	w6077
dem	w6078
Allmäch=tigen	w6079
<g/>
=
dahin	w6081
<g/>
,
daß	w6083
er	w6084
an	w6085
denen	w6086
ihme	w6087
von	w6088
Weil	w6089
<g/>
.
Herrn	w6091
Obristen	w6092
von	w6093
Fuster	w6094
von	w6095
1	w6096
<g/>
.
Novemb	w6098
<g/>
.
1739	w6100
<g/>
.
bis	w6102
1	w6103
<g/>
.
May	w6105
1740	w6106
<g/>
.
cedirten	w6108
2	w6109
<g/>
.
Gage	w6111
<g/>
=
quartalien	w6113
pr	w6114
<g/>
.
1830	w6116
<g/>
.
fl	w6118
<g/>
.
ansonsten	w6120
keine	w6121
Bezahlung	w6122
gänzlich	w6123
oder	w6124
zum	w6125
Theil	w6126
<g/>
,
noch	w6128
sonsten	w6129
einige	w6130
Vergüt	w6131
<g/>
-
oder	w6133
Bedeckung	w6134
empfangen	w6135
<g/>
,
sondern	w6137
solche	w6138
1830	w6139
<g/>
.
fl	w6141
<g/>
.
annoch	w6143
wahr=haft	w6144
<g/>
=
zu	w6146
forderen	w6147
habe	w6148
<g/>
,
abgeleget	w6150
haben	w6151
wird	w6152
<g/>
,
um	w6154
die	w6155
Erfoglassung	w6156
gedachter	w6157
1830	w6158
<g/>
.
fl	w6160
<g/>
.
von	w6162
denen	w6163
in	w6164
Ver=bot	w6165
<g/>
=
gezogenen	w6167
Obrist	w6168
<g/>
=
fusterischen	w6170
<g/>
,
dem	w6172
Don	w6173
Diego	w6174
d'Aquilar	w6175
nachhin	w6176
cedirten	w6177
6000	w6178
<g/>
.
fl	w6180
<g/>
.
weiters	w6182
der	w6183
Ordnung	w6184
nach	w6185
anzulangen	w6186
bevor	w6187
<g/>
,
um	w6189
Anordnung	w6190
einer	w6191
Tag	w6192
satzung	w6193
zu	w6194
Ablegung	w6195
des	w6196
ihme	w6197
durch	w6198
erst=angeführten	w6199
<g/>
=
Abschied	w6201
aufgetragenen	w6202
Juramenti	w6203
gebeten	w6204
<g/>
.
Wann	w6206
nun	w6207
zu	w6208
diesem	w6209
Ende	w6210
der	w6211
13	w6212
<g/>
.
Martii	w6214
künftigen	w6215
1761	w6216
<g/>
.
Jahrs	w6218
fruh	w6219
um	w6220
9	w6221
<g/>
.
Uhr	w6223
vor	w6224
diesem	w6225
K	w6226
<g/>
.
K	w6228
<g/>
.
Judicio	w6230
Deleg	w6231
<g/>
.
mixto	w6233
in	w6234
Mi-litaribus	w6235
<g/>
-
zu	w6237
erscheinen	w6238
bestimmet	w6239
worden	w6240
ist	w6241
<g/>
,
diese	w6243
Tag	w6244
<g/>
=
satzung	w6246
aber	w6247
ihnen	w6248
Don	w6249
Diego	w6250
d'Aquilarischen	w6251
Erben	w6252
ihres	w6253
unwissenden	w6254
Aufenthalts	w6255
halber	w6256
ad	w6257
Ædes	w6258
gebräuchiger	w6259
<g/>
=
massen	w6261
nicht	w6262
zugestellet	w6263
werden	w6264
kan	w6265
<g/>
;
</p>
<p id="p108">
Als	w6267
wird	w6268
diese	w6269
Tag	w6270
<g/>
=
satzung	w6272
denenselben	w6273
mit	w6274
dem	w6275
Anhang	w6276
<g/>
,
daß	w6278
sie	w6279
am	w6280
ob	w6281
<g/>
=
erwehnten	w6283
Tag	w6284
und	w6285
Stund	w6286
vor	w6287
diesem	w6288
Kaiserl	w6289
<g/>
.
Königl	w6291
Judicio	w6292
Deleg	w6293
<g/>
.
asoge=wiß	w6295
<g/>
=
erscheinen	w6297
sollen	w6298
<g/>
,
wie	w6300
im	w6301
widrigen	w6302
von	w6303
dem	w6304
Gazzinelli	w6305
das	w6306
Jurament	w6307
ex	w6308
officio	w6309
aufgenommen	w6310
werden	w6311
wurde	w6312
<g/>
,
zufolge	w6314
der	w6315
unterm	w6316
19	w6317
<g/>
.
jüngst	w6319
ver=flossenen	w6320
<g/>
=
Monats	w6322
Augusti	w6323
ergangenen	w6324
Auflag	w6325
per	w6326
Edictum	w6327
ad	w6328
Valvas	w6329
hiemit	w6330
intimiret	w6331
<g/>
.
</p>
<p id="p109">
Bey	w6333
Emerich	w6334
Felix	w6335
Bader	w6336
in	w6337
der	w6338
Bogner	w6339
<g/>
-
gasse	w6341
nächst	w6342
dem	w6343
Todten	w6344
<g/>
=
kopf	w6346
ist	w6347
zu	w6348
haben	w6349
<g/>
:
</p>
<p id="p110">
Institutions	w6351
politiques	w6352
par	w6353
Mr	w6354
<g/>
.
Baron	w6356
de	w6357
Bie-lefeld	w6358
<g/>
-
<g/>
.
Tome	w6361
I	w6362
<g/>
.
<g/>
&
II	w6365
<g/>
.
4to	w6367
à	w6368
la	w6369
Haye	w6370
1760	w6371
<g/>
.
9	w6373
fl	w6374
<g/>
.
</p>
<p id="p111">
Die	w6376
Pflichten	w6377
eines	w6378
in	w6379
die	w6380
Welt	w6381
trettenden	w6382
Jüng=lings	w6383
<g/>
=
<g/>
,
vorgetragen	w6386
von	w6387
einem	w6388
zärtlichen	w6389
Vatter	w6390
<g/>
.
Aus	w6392
dem	w6393
Französischen	w6394
des	w6395
Hrn	w6396
<g/>
.
dü	w6398
Puy	w6399
<g/>
.
8vo	w6401
Augspurg	w6402
1760	w6403
<g/>
.
51	w6405
<g/>
.
kr	w6407
<g/>
.
</p>
<p id="p112">
Neueste	w6409
Fama	w6410
<g/>
,
welche	w6412
die	w6413
Stabs	w6414
<g/>
=
Kriegs	w6416
<g/>
=
und	w6418
Friedens	w6419
<g/>
=
geschichte	w6421
<g/>
,
nebst	w6423
andern	w6424
Denkwürdigkei=keiten	w6425
<g/>
=
Europens	w6427
unpartheyisch	w6428
erzehlet	w6429
<g/>
.
1stes	w6431
und	w6432
letztes	w6433
Stück	w6434
<g/>
,
8vo	w6436
1760	w6437
<g/>
.
pr	w6439
<g/>
.
20	w6441
<g/>
.
Kr	w6443
<g/>
.
wird	w6445
continuirt	w6446
<g/>
.
</p>
<p id="p113">
Von	w6448
Justi	w6449
Johan	w6450
Heinrich	w6451
Gottlob	w6452
<g/>
,
die	w6454
Grund	w6455
<g/>
=
feste	w6457
zu	w6458
der	w6459
Macht	w6460
und	w6461
Glückseeligkeit	w6462
der	w6463
Staaten	w6464
<g/>
;
oder	w6466
ausführliche	w6467
Vorstellung	w6468
der	w6469
ge=samten	w6470
<g/>
=
Policey	w6472
<g/>
=
wissenschaft	w6474
<g/>
.
Erster	w6476
Band	w6477
<g/>
,
wel=cher	w6479
<g/>
=
die	w6481
vollkommene	w6482
Cultur	w6483
des	w6484
Bodens	w6485
<g/>
,
die	w6487
Be=völkerung	w6488
<g/>
=
<g/>
,
den	w6491
Anbau	w6492
<g/>
,
Wachstum	w6494
und	w6495
Zierde	w6496
der	w6497
Städte	w6498
<g/>
,
desgleichen	w6500
die	w6501
Manufacturen	w6502
<g/>
,
Fabriquen	w6504
<g/>
,
und	w6506
Commercien	w6507
abhandelt	w6508
<g/>
.
4to	w6510
Königsberg	w6511
1760	w6512
<g/>
.
4	w6514
<g/>
.
fl	w6516
<g/>
.
30	w6518
<g/>
.
kr	w6520
<g/>
.
</p>
<p id="p114">
<g/>
=
Ejusdem	w6523
Moralische	w6524
und	w6525
Philosophische	w6526
Schriften	w6527
1	w6528
<g/>
.
Band	w6530
<g/>
.
8vo	w6532
Berlin	w6533
1760	w6534
<g/>
.
2	w6536
<g/>
.
fl	w6538
<g/>
.
</p>
<p id="p115">
<g/>
=
Ejusdem	w6541
Scherzhafte	w6542
und	w6543
Satyrische	w6544
Schrift=ten	w6545
<g/>
=
3	w6547
<g/>
.
Bände	w6549
<g/>
.
8vo	w6551
Berlin	w6552
1760	w6553
<g/>
.
5	w6555
<g/>
.
fl	w6557
<g/>
.
30	w6559
<g/>
.
kr	w6561
<g/>
.
</p>
<p id="p116">
Von	w6563
dem	w6564
Kaiserl	w6565
<g/>
.
Königl	w6567
<g/>
.
Stadt	w6569
<g/>
=
und	w6571
Land=gericht	w6572
<g/>
=
Wien	w6574
<g/>
,
wird	w6576
hiemit	w6577
jedermänniglichen	w6578
kund	w6579
und	w6580
zu	w6581
wissen	w6582
gemacht	w6583
<g/>
,
wasgestalten	w6585
auf	w6586
schriftliches	w6587
Anlangen	w6588
Stephan	w6589
Bergers	w6590
<g/>
,
Bur=gerl	w6592
<g/>
=
<g/>
.
Klein	w6595
<g/>
-
uhrmachers	w6597
<g/>
,
wider	w6599
Herrn	w6600
Johann	w6601
Comorell	w6602
<g/>
,
in	w6604
die	w6605
gerichtliche	w6606
Feilbiet	w6607
<g/>
=
und	w6609
Lici=tirung	w6610
<g/>
=
einer	w6612
ihme	w6613
Comorell	w6614
pro	w6615
hypotheca	w6616
ge=geben	w6617
<g/>
=
acht	w6619
Tag	w6620
gehende	w6621
Stock	w6622
<g/>
=
uhr	w6624
<g/>
,
welche	w6626
spie=let	w6627
<g/>
=
<g/>
,
und	w6630
mit	w6631
einem	w6632
grünen	w6633
laquirten	w6634
Kasten	w6635
<g/>
,
und	w6637
geschmolzenen	w6638
Zieffer	w6639
<g/>
-
blat	w6641
versehen	w6642
<g/>
,
gewil=liget	w6644
<g/>
=
worden	w6646
<g/>
;
auch	w6648
zu	w6649
Vornehmung	w6650
sothaner	w6651
Li=citirung	w6652
<g/>
=
über	w6654
die	w6655
bereits	w6656
fürgewest	w6657
<g/>
=
und	w6659
fruchtlos	w6660
verstrichene	w6661
peremptorisch	w6662
<g/>
-
eine	w6664
superperemptorisch	w6665
clausulirte	w6666
Tagsatzung	w6667
auf	w6668
den	w6669
25	w6670
<g/>
.
dies	w6672
lauffen-den	w6673
<g/>
-
Monats	w6675
Septemb	w6676
<g/>
.
Vormitags	w6678
präcise	w6679
um	w6680
9	w6681
<g/>
.
Uhr	w6683
auf	w6684
dem	w6685
<g/>
.
Kaiserl	w6687
<g/>
.
Königl	w6689
Stadt	w6690
<g/>
=
gericht	w6692
zu	w6693
erscheinen	w6694
anberaumet	w6695
worden	w6696
<g/>
.
Dahero	w6698
dann	w6699
der	w6700
<g/>
=
oder	w6702
diejenige	w6703
<g/>
,
welche	w6705
obbemeldte	w6706
Stock=uhr	w6707
<g/>
=
käuflichen	w6709
an	w6710
sich	w6711
zu	w6712
bringen	w6713
gesinnet	w6714
seyn	w6715
möchten	w6716
<g/>
,
an	w6718
vorbesagten	w6719
Tag	w6720
<g/>
,
Stund	w6722
und	w6723
Ort	w6724
entweders	w6725
persönlich	w6726
<g/>
,
oder	w6728
durch	w6729
gevollmächtigte	w6730
Gewalt	w6731
<g/>
=
tragere	w6733
unausbleiblich	w6734
ad	w6735
licitandum	w6736
sich	w6737
einzufinden	w6738
haben	w6739
werden	w6740
<g/>
.
</p>
<p id="p117">
Auf	w6742
Verordnung	w6743
des	w6744
Hoch	w6745
<g/>
=
adelich	w6747
<g/>
=
Land	w6749
<g/>
=
mar=schallischen	w6751
<g/>
=
Gerichts	w6753
wid	w6754
das	w6755
Gütl	w6756
Haders	w6757
<g/>
=
feld	w6759
cum	w6760
Appertinentiis	w6761
den	w6762
25	w6763
<g/>
.
Septembris	w6765
1760	w6766
<g/>
.
fruh	w6768
um	w6769
8	w6770
<g/>
.
Uhr	w6772
allda	w6773
vor	w6774
Gericht	w6775
dem	w6776
Meist	w6777
<g/>
=
bie=tenden	w6779
<g/>
=
licitando	w6781
verkauffet	w6782
werden	w6783
<g/>
.
</p>
</doc>
