<doc id="wr_1757-12-21" attrs="word" year="1757" month="12" day="21" corpus="2">
<head id="h2_d204e2824">
Burtehude,	w1_d204e2828
Pacher.	w5_d204e13720
Lackt.,	w7_d204e13723
s.	w9_d204e13726
W.Anno,	w11_d204e13729
beym	w13_d204e13733
schy.	w15_d204e13736
Eleph.	w1_d204e13742
auf	w3_d204e13745
der	w5_d204e13748
Wied.,	w7_d204e13751
alt	w9_d204e13754
60.	w11_d204e13757
Ferd.	w1_d204e13762
Schwarz,	w3_d204e13765
Strapler,	w5_d204e13768
bey	w7_d204e13771
St.	w9_d204e13774
Ricola	w11_d204e13777
ausser	w13_d204e13781
die	w15_d204e13784
Rossau,	w1_d204e13789
alt	w3_d204e13792
61.	w5_d204e13795
J.	w7_d204e13798
Franz	w1_d204e13803
Keichl,	w3_d204e13806
Jnvalid,	w5_d204e13809
beym	w7_d204e13812
gold.	w9_d204e13815
Hirsch.	w11_d204e13818
bey	w13_d204e13822
Ct.	w15_d204e13825
Ulrich,	w1_d204e13831
alt	w3_d204e13834
62	w5_d204e13837
J.	w7_d204e13840
Leop.	w1_d204e13845
Winkler,	w3_d204e13848
Tagw.,	w5_d204e13851
beym	w7_d204e13854
grün.	w9_d204e13857
Freutz	w11_d204e13860
im	w13_d204e13864
Lliech	w15_d204e13867
tenth.	w1_d204e13872
alt	w3_d204e13875
38.	w5_d204e13878
J.	w7_d204e13881
Caip	w1_d204e13886
Käringer	w3_d204e13889
/	w5_d204e13892
Tagw.,	w7_d204e13895
im	w9_d204e13898
Zimmermeisterlich.	w11_d204e13901
v.	w13_d204e13905
zu	w1_d204e13911
der	w3_d204e13914
Leopoldst.,	w5_d204e13917
alt	w7_d204e13920
70.	w9_d204e13923
J.	w11_d204e13926
Math.	w1_d204e13931
Drosauer,	w3_d204e13934
Tagw.,	w5_d204e13937
beyn	w7_d204e13940
3.	w9_d204e13943
Kle=bät	w11_d204e13946
in	w13_d204e13950
der	w15_d204e13953
Leopoldst.,	w1_d204e13958
alt	w3_d204e13961
34.	w5_d204e13964
J.	w7_d204e13967
May	w1_d204e13972
Minety,	w3_d204e13975
alt	w5_d204e13978
23.	w7_d204e13981
J.	w9_d204e13984
u	w11_d204e13987
Christian	w13_d204e13991
Kinzeiman,	w15_d204e13994
alt	w1_d204e14000
30.	w3_d204e14003
J.,	w5_d204e14006
beyde	w7_d204e14009
bey	w9_d204e14012
denen	w11_d204e14015
FF.	w13_d204e14019
Mis	w15_d204e14022
Samma	w1_d204e14027
18.	w3_d204e14030
Person.	w5_d204e14033
dar	w7_d204e14036
ente	w9_d204e14039
4.	w11_d204e14042
Kinder.	w13_d204e14046
Den	w1_d204e14051
18.	w3_d204e14054
De	w5_d204e14057
cemb.	w7_d204e14060
</list>
<list id="l10_d204e14064">
Vor	w1_d204e14068
der	w3_d204e14071
Stadt.	w5_d204e14074
Ursula	w1_d204e14079
Angermayrin,	w3_d204e14082
Wittwe,	w5_d204e14085
beym	w7_d204e14088
gold	w9_d204e14091
Aul	w11_d204e14094
un	w13_d204e14098
kern	w1_d204e14103
Weiß=gäth,	w3_d204e14106
alt	w5_d204e14109
103.	w7_d204e14112
J	w9_d204e14115
Joh.	w1_d204e14121
Lachner,	w3_d204e14124
gew.	w5_d204e14127
Bind.,	w7_d204e14130
bey	w9_d204e14133
der	w11_d204e14136
gold.	w13_d204e14140
Schlang	w15_d204e14143
in	w1_d204e14148
der	w3_d204e14151
Josephst.,	w5_d204e14154
alt	w7_d204e14157
75.	w9_d204e14160
J.	w11_d204e14163
Elisab.	w1_d204e14168
Kapferin,	w3_d204e14171
Wittwe,	w5_d204e14174
beym	w7_d204e14177
gold.	w9_d204e14180
Abl.	w11_d204e14183
am	w13_d204e14187
Neubau,	w1_d204e14192
alt	w3_d204e14195
64.	w5_d204e14198
J.	w7_d204e14201
Joh.	w1_d204e14207
Riß,	w3_d204e14210
Zimmer=meist,	w5_d204e14213
beym	w7_d204e14216
gold.	w9_d204e14219
Aol	w11_d204e14222
zu	w13_d204e14226
Mätz	w15_d204e14229
leinstorf,	w1_d204e14234
alt	w3_d204e14237
84.	w5_d204e14240
J.	w7_d204e14243
Francisca	w1_d204e14248
Rotenburgerin,	w3_d204e14251
Witwe,	w5_d204e14254
im	w7_d204e14257
Gutis.	w9_d204e14260
d.	w11_d204e14263
auf	w1_d204e14268
der	w3_d204e14271
Laimgr.,	w5_d204e14274
alt	w7_d204e14277
78.	w9_d204e14280
J.	w11_d204e14283
Dem	w1_d204e14289
Georg	w3_d204e14292
Frankenberg,	w5_d204e14295
Cavoral.,	w7_d204e14298
s.	w9_d204e14301
W.	w11_d204e14304
Eva	w13_d204e14308
im	w1_d204e14313
Sipris.	w3_d204e14316
H.	w5_d204e14319
zu	w7_d204e14322
Margar,	w9_d204e14325
alt	w11_d204e14328
49.	w13_d204e14332
Sabina	w1_d204e14337
Schionin,	w3_d204e14340
Wittwe,	w5_d204e14343
beym	w7_d204e14346
grün.	w9_d204e14349
Jäger	w11_d204e14352
ausser	w1_d204e14357
Maria=hülf,	w3_d204e14360
alt	w5_d204e14363
69.	w7_d204e14366
J.	w9_d204e14369
Dem	w1_d204e14375
Georg	w3_d204e14378
Schedt,	w5_d204e14381
Lack.,	w7_d204e14384
s.	w9_d204e14387
K.	w11_d204e14390
Joh.,	w13_d204e14394
beym	w15_d204e14397
Engl.	w17_d204e14400
Gruß	w1_d204e14405
im	w3_d204e14408
Liechtenth,	w5_d204e14411
alt	w7_d204e14414
5.	w9_d204e14417
v.	w11_d204e14420
J.	w13_d204e14424
Dem	w1_d204e14429
Elias	w3_d204e14432
Schnabel=Tagw,	w5_d204e14435
s.	w7_d204e14438
W.	w9_d204e14441
Justina,	w11_d204e14444
derm	w13_d204e14448
schwarz.	w1_d204e14453
Rös.	w3_d204e14456
im	w5_d204e14459
Lerchenf.,	w7_d204e14462
al	w9_d204e14465
43.	w11_d204e14468
J.	w13_d204e14472
Joh.	w1_d204e14478
Meixner,	w3_d204e14481
alt	w5_d204e14484
57.	w7_d204e14487
J.	w9_d204e14490
bey	w11_d204e14493
denen	w13_d204e14497
FF.	w15_d204e14500
Mi.	w17_d204e14503
</list>
<head id="h2_d204e14510">
Summa	w1_d204e14514
10.	w3_d204e14517
Pers.,	w5_d204e14520
darunter	w7_d204e14523
1.	w9_d204e14526
Kind.	w11_d204e14529
Den	w1_d204e14534
19.	w3_d204e14537
Dec.	w5_d204e14540
Jn	w1_d204e14545
der	w3_d204e14548
Stadt.	w5_d204e14551
</head>
<list id="l4_d204e14554">
Die	w1_d204e14558
Wol=geb.	w3_d204e14561
Frle,	w5_d204e14564
Frle	w7_d204e14567
Maximiliane	w9_d204e14570
Freyin	w11_d204e14573
von	w13_d204e14577
Halberg,	w1_d204e14582
rc.	w3_d204e14585
beym	w5_d204e14588
Küh=fuß	w7_d204e14591
am	w9_d204e14594
schönen	w11_d204e14597
Brunn,	w13_d204e14601
alt	w1_d204e14606
18.	w3_d204e14609
J.	w5_d204e14612
Dem	w1_d204e14618
Thom.	w3_d204e14621
Pittoni,	w5_d204e14624
gew.	w7_d204e14627
Burgerl.	w9_d204e14630
Materialist.	w11_d204e14633
s.	w1_d204e14638
K.	w3_d204e14641
Alphons,	w5_d204e14644
im	w7_d204e14647
Strattmapris.	w9_d204e14650
H.	w11_d204e14653
bey	w13_d204e14657
St	w15_d204e14660
St.	w17_d204e14663
phan	w1_d204e14668
über,	w3_d204e14671
alt	w5_d204e14674
6.	w7_d204e14677
J.	w9_d204e14680
Dem	w1_d204e14685
Franz	w3_d204e14688
Gruber,	w5_d204e14691
Kutsch.,	w7_d204e14694
s.	w9_d204e14697
K.	w11_d204e14700
Jos.,	w13_d204e14704
im	w15_d204e14707
Hede	w17_d204e14710
richis.	w1_d204e14716
H.	w3_d204e14719
im	w5_d204e14722
Rott=gäs.,	w7_d204e14725
alt	w9_d204e14728
5.	w11_d204e14731
v.	w13_d204e14735
J.	w15_d204e14738
</list>
<head id="h2_d204e14745">
Vor	w1_d204e14749
der	w3_d204e14752
Stadt.	w5_d204e14755
</head>
<list id="l4_d204e14758">
im	w1_d204e14762
Kroster	w3_d204e14765
in	w5_d204e14768
der	w7_d204e14771
Leoobidt.,	w9_d204e14774
alt	w11_d204e14777
10.	w13_d204e14781
J.	w15_d204e14784
</list>
<list id="l8_d204e14790">
Gottl.	w1_d204e14794
Päßler,	w3_d204e14797
Burgerl.	w5_d204e14800
Messer=schm.,	w7_d204e14803
beym	w9_d204e14806
blech.	w11_d204e14809
Thurn	w1_d204e14814
auf	w3_d204e14817
der	w5_d204e14820
Wind=mühl,	w7_d204e14823
all	w9_d204e14826
42.	w11_d204e14829
J.	w13_d204e14833
Dem	w1_d204e14838
Ant.	w3_d204e14841
Küras,	w5_d204e14844
Glauz=schleif.,	w7_d204e14847
s.	w9_d204e14850
W.	w11_d204e14853
Magdal.	w13_d204e14857
beyn	w1_d204e14863
12.	w3_d204e14866
Himmels	w5_d204e14869
zeich.	w7_d204e14872
bey	w9_d204e14875
St.	w11_d204e14878
Urrich,	w13_d204e14882
42.	w15_d204e14885
J.	w17_d204e14888
Mart.	w1_d204e14893
Ecker	w3_d204e14896
Tischl.,	w5_d204e14899
beym	w7_d204e14902
weis.	w9_d204e14905
Hahn	w11_d204e14908
in	w13_d204e14912
der	w15_d204e14915
Leop.,	w17_d204e14918
alt	w1_d204e14923
75	w3_d204e14926
Dem	w1_d204e14931
Christien	w3_d204e14934
Kraft,	w5_d204e14937
Lackt,	w7_d204e14940
s.	w9_d204e14943
K.	w11_d204e14946
Anna,	w13_d204e14950
beym	w15_d204e14953
grü	w17_d204e14956
nen	w1_d204e14962
Thor	w3_d204e14965
bey	w5_d204e14968
St.	w7_d204e14971
Uirich,	w9_d204e14974
alt	w11_d204e14977
5.	w13_d204e14981
J.	w15_d204e14984
Dem	w1_d204e14989
Jacob	w3_d204e14992
Seiler,	w5_d204e14995
Tagw.,	w7_d204e14998
s.	w9_d204e15001
T.	w11_d204e15004
Anna,	w13_d204e15008
dey	w15_d204e15011
dem	w17_d204e15014
gold.	w1_d204e15019
Steg	w3_d204e15022
im	w5_d204e15025
Liechtenth.,	w7_d204e15028
alt	w9_d204e15031
13.	w11_d204e15034
J.	w13_d204e15038
Dem	w1_d204e15043
Leop.	w3_d204e15046
Breinfelder,	w5_d204e15049
Tagw.,	w7_d204e15052
s.	w9_d204e15055
K	w11_d204e15058
Elisab.,	w13_d204e15062
bey	w15_d204e15065
der	w1_d204e15071
weis.	w3_d204e15074
Ros.	w5_d204e15077
untern	w7_d204e15080
Felb.,	w9_d204e15083
alt	w11_d204e15086
4.	w13_d204e15090
J.	w15_d204e15093
Dem	w1_d204e15098
Simon	w3_d204e15101
Grießhuber,	w5_d204e15104
Tagw.,	w7_d204e15107
s.	w9_d204e15110
K.	w11_d204e15113
Anna,	w13_d204e15117
im	w15_d204e15120
Maureris.	w1_d204e15125
H	w3_d204e15128
auf	w5_d204e15131
der	w7_d204e15134
Landstr,	w9_d204e15137
alt	w11_d204e15140
2.	w13_d204e15144
J.	w15_d204e15147
</list>
<head id="h2_d204e15154">
Summa	w1_d204e15158
11	w3_d204e15161
Person,	w5_d204e15164
darunter	w7_d204e15167
5.	w9_d204e15170
Kinder	w11_d204e15173
</head>
<p id="p4_d204e15176">
Bey	w1_d204e15180
dem	w3_d204e15183
Burgerlichen	w5_d204e15186
Handels=mann	w7_d204e15189
Johann	w1_d204e15194
Michal	w3_d204e15197
Müllner	w5_d204e15200
zum	w7_d204e15203
Schwarzen	w9_d204e15206
Cammel	w1_d204e15211
in	w3_d204e15214
der	w5_d204e15217
Bogner=gassen,	w7_d204e15220
ist	w9_d204e15223
unter	w11_d204e15226
an	w13_d204e15230
deren	w1_d204e15236
Ausländischen,	w3_d204e15239
auch	w5_d204e15242
veritabler	w7_d204e15245
Necker	w9_d204e15248
wein	w1_d204e15253
zu	w3_d204e15256
haben.	w5_d204e15259
</p>
<head id="h2_d204e15266">
EDICT.	w1_d204e15270
</head>
<p id="p4_d204e15273">
Wir	w1_d204e15277
Johann	w3_d204e15280
Leopold	w5_d204e15283
Edler	w7_d204e15286
von	w9_d204e15289
Ghelen	w11_d204e15292
J.	w1_d204e15297
U.	w3_d204e15300
D.	w5_d204e15303
der	w7_d204e15306
K.	w9_d204e15309
K	w11_d204e15312
Maj.	w13_d204e15316
Stadt	w15_d204e15319
und	w17_d204e15322
Land	w19_d204e15325
richter	w1_d204e15330
in	w3_d204e15333
Dero	w5_d204e15336
Haupt	w7_d204e15339
und	w9_d204e15342
Residenz=stadt	w11_d204e15345
Wien,	w1_d204e15351
dann	w3_d204e15354
N.	w5_d204e15357
N.	w7_d204e15360
die	w9_d204e15363
gesammte	w11_d204e15366
Beystzere	w13_d204e15370
allda	w1_d204e15375
geben	w3_d204e15378
denen	w5_d204e15381
in	w7_d204e15384
dem	w9_d204e15387
untern	w11_d204e15390
9.	w13_d204e15394
Novemb.	w15_d204e15397
1754.	w1_d204e15402
publicirt=Geschwendtnerischen	w3_d204e15405
Cridä	w5_d204e15408
abschied	w1_d204e15413
Classe	w3_d204e15416
2da	w5_d204e15419
einkommendprivilegir	w7_d204e15422
ten	w1_d204e15428
Creditoren	w3_d204e15431
und	w5_d204e15434
respective	w7_d204e15437
Schmalzhan	w9_d204e15440
dlern,	w1_d204e15445
benanntlichen,	w3_d204e15448
dem	w5_d204e15451
Paul	w7_d204e15454
Harnischer	w9_d204e15457
von	w11_d204e15460
Triebendorf,	w1_d204e15465
Thomas	w3_d204e15468
Harnischer	w5_d204e15471
von	w7_d204e15474
Kunzen	w9_d204e15477
dorf,	w1_d204e15482
Tobias	w3_d204e15485
Hartina	w5_d204e15488
von	w7_d204e15491
Lands=kron,	w9_d204e15494
Jo	w11_d204e15497
hann	w1_d204e15503
Penz,	w3_d204e15506
Jeremias	w5_d204e15509
Vogl,	w7_d204e15512
Joseph	w9_d204e15515
Jagu	w11_d204e15518
schitz	w1_d204e15523
von	w3_d204e15526
Crapina,	w5_d204e15529
Franz	w7_d204e15532
Meixner	w9_d204e15535
in	w11_d204e15538
Rotwas	w13_d204e15542
ser	w1_d204e15547
Georg	w3_d204e15550
Götzl	w5_d204e15553
de	w7_d204e15556
ältere,	w9_d204e15559
Elias	w11_d204e15562
Prinn,	w13_d204e15566
Tobias	w15_d204e15569
Hofmann,	w1_d204e15574
weil.	w3_d204e15577
Georg	w5_d204e15580
Götzl,	w7_d204e15583
serl.	w9_d204e15586
nachgelasse	w11_d204e15589
nen	w1_d204e15595
Erben,	w3_d204e15598
und	w5_d204e15601
Lotthard	w7_d204e15604
Schwarzer,	w9_d204e15607
hie	w11_d204e15610
mit	w1_d204e15615
zu	w3_d204e15618
vernehmen;	w5_d204e15621
demnach	w7_d204e15624
sie	w9_d204e15627
erstgedach	w11_d204e15630
te	w1_d204e15635
bey	w3_d204e15638
der	w5_d204e15641
Geschwendtnerischen	w7_d204e15644
ad	w9_d204e15647
Concursum	w11_d204e15650
gediehenen	w1_d204e15655
Verlassenschaft	w3_d204e15658
sich	w5_d204e15661
angemeldete	w7_d204e15664
Credits=partheyen,	w1_d204e15670
mit	w3_d204e15673
ihren	w5_d204e15676
gestellten	w7_d204e15679
Schuld=anforderungen	w1_d204e15684
in	w3_d204e15687
die	w5_d204e15690
zweyte	w7_d204e15693
Claß	w9_d204e15696
des	w11_d204e15699
obbesagten	w1_d204e15704
Cridæ	w3_d204e15707
abschieds	w5_d204e15710
nicht	w7_d204e15713
anders,	w9_d204e15716
als	w11_d204e15719
mit	w1_d204e15724
jener	w3_d204e15727
Bedingnuß	w5_d204e15730
und	w7_d204e15733
Vorbehalt	w9_d204e15736
eingethei	w11_d204e15739
let	w1_d204e15745
worden,	w3_d204e15748
wann	w5_d204e15751
vorhero	w7_d204e15754
ein	w9_d204e15757
jedwederer	w11_d204e15760
aus	w13_d204e15764
denen	w1_d204e15769
hievor	w3_d204e15772
benamsten	w5_d204e15775
Concuriente	w7_d204e15778
in	w9_d204e15781
Gegen	w11_d204e15784
haltung	w1_d204e15789
des	w3_d204e15792
in	w5_d204e15795
denen	w7_d204e15798
Cridä=schlüssen	w9_d204e15801
von	w11_d204e15804
denenselben	w1_d204e15809
angezogenen	w3_d204e15812
Gschwendtnerischen	w5_d204e15815
Hand=büchel	w1_d204e15821
mit	w3_d204e15824
dem	w5_d204e15827
Herrn	w7_d204e15830
Curatore	w9_d204e15833
or	w11_d204e15836
dentlich	w1_d204e15841
sich	w3_d204e15844
berechnet,	w5_d204e15847
und	w7_d204e15850
ihre	w9_d204e15853
diesfällige	w11_d204e15856
</p>
<p id="p6_d204e15859">
Forderungen	w1_d204e15863
richtig	w3_d204e15866
gestelet,	w5_d204e15869
sodann	w7_d204e15872
auch	w9_d204e15875
zu	w11_d204e15878
GOtt	w1_d204e15883
dem	w3_d204e15886
Allmächtigen	w5_d204e15889
einen	w7_d204e15892
Cörperlichen	w9_d204e15895
Eid	w1_d204e15900
abgeschworen	w3_d204e15903
haben	w5_d204e15906
werden,	w7_d204e15909
daß	w9_d204e15912
sie	w11_d204e15915
den	w1_d204e15921
sich	w3_d204e15924
äusserenden	w5_d204e15927
Ausstand	w7_d204e15930
bey	w9_d204e15933
gegenwär	w11_d204e15936
tiger	w1_d204e15941
Massa	w3_d204e15944
annoch	w5_d204e15947
wahrhaft	w7_d204e15950
zu	w9_d204e15953
fordeten,	w11_d204e15956
und	w1_d204e15961
hierumen	w3_d204e15964
auf	w5_d204e15967
keinerley	w7_d204e15970
Weis	w9_d204e15973
weder	w11_d204e15976
vol	w13_d204e15980
lig,	w1_d204e15985
noch	w3_d204e15988
zum	w5_d204e15991
Theil	w7_d204e15994
ihre	w9_d204e15997
Contentirung	w11_d204e16000
erhal	w13_d204e16004
ten	w1_d204e16010
haben.	w3_d204e16013
Deme	w5_d204e16016
nun	w7_d204e16019
aber	w9_d204e16022
ein	w11_d204e16025
oder	w13_d204e16029
anderer	w15_d204e16032
Seits	w1_d204e16037
von	w3_d204e16040
so	w5_d204e16043
geraumer	w7_d204e16046
Zeit	w9_d204e16049
her	w11_d204e16052
weder	w13_d204e16056
der	w15_d204e16059
schuldige	w1_d204e16064
Vollzug	w3_d204e16067
geleistet,	w5_d204e16070
noch	w7_d204e16073
sonsten	w9_d204e16076
von	w11_d204e16079
ih	w13_d204e16083
nen	w1_d204e16088
obipecificirten	w3_d204e16091
Creditoribus	w5_d204e16094
das	w7_d204e16097
Mindeste	w9_d204e16100
vorgekehret,	w1_d204e16106
worden	w3_d204e16109
ist;	w5_d204e16112
dahero	w7_d204e16115
der	w9_d204e16118
Gschwendtnerische	w1_d204e16123
Hr.	w3_d204e16126
Curator	w5_d204e16129
ad	w7_d204e16132
lites	w9_d204e16135
(wel	w11_d204e16138
chem	w1_d204e16143
an	w3_d204e16146
dermaleinniger	w5_d204e16149
Endschaft	w7_d204e16152
der	w9_d204e16155
dies	w11_d204e16158
fälligen	w1_d204e16163
Cridä	w3_d204e16166
verlassenschafts=abhandlung	w5_d204e16169
hauptsächlichen	w1_d204e16175
gelegen)	w3_d204e16178
schriftlichen	w5_d204e16181
suppli	w7_d204e16184
cundo	w1_d204e16189
angelanget,	w3_d204e16192
und	w5_d204e16195
gebetten,	w7_d204e16198
daß	w9_d204e16201
ihnen	w11_d204e16204
gesammten	w1_d204e16209
Creditoribus	w3_d204e16212
die	w5_d204e16215
unverlängte	w7_d204e16218
Li	w9_d204e16221
quidirung	w1_d204e16226
nach	w3_d204e16229
Maß=gab	w5_d204e16232
des	w7_d204e16235
menti	w9_d204e16238
mirten	w11_d204e16241
Cridä=abschieds	w1_d204e16247
bey	w3_d204e16250
würklicher	w5_d204e16253
Desertirung	w7_d204e16256
ihrer	w1_d204e16261
Anforderungen	w3_d204e16264
auferleget	w5_d204e16267
werden	w7_d204e16270
möch	w9_d204e16273
te;	w1_d204e16278
zu	w3_d204e16281
welchem	w5_d204e16284
Ende	w7_d204e16287
dann	w9_d204e16290
von	w11_d204e16293
Eingangs	w13_d204e16297
gedacht=Kaiserl.	w1_d204e16302
Königl.	w3_d204e16305
Stadt	w5_d204e16308
und	w7_d204e16311
Land	w9_d204e16314
gericht,	w1_d204e16320
eine	w3_d204e16323
Judicial=tag=satzung	w5_d204e16326
auf	w7_d204e16329
den	w9_d204e16332
16.	w11_d204e16335
Jenner	w1_d204e16340
des	w3_d204e16343
zukünftig=1758.	w5_d204e16346
Jahrs	w7_d204e16349
Frühe	w9_d204e16352
um	w1_d204e16357
8.	w3_d204e16360
Uhr	w5_d204e16363
auf	w7_d204e16366
dem	w9_d204e16369
Kaiserl.	w11_d204e16372
Königl.	w13_d204e16376
Stadt	w15_d204e16379
gericht	w1_d204e16384
alhier	w3_d204e16387
peremptorie,	w5_d204e16390
und	w7_d204e16393
zwar	w9_d204e16396
gefaßter	w11_d204e16399
zu	w1_d204e16405
erscheinen,	w3_d204e16408
bestimmet	w5_d204e16411
worden	w7_d204e16414
ist.	w9_d204e16417
</p>
<p id="p8_d204e16420">
Als	w1_d204e16424
wird	w3_d204e16427
all	w5_d204e16430
und	w7_d204e16433
jeden	w9_d204e16436
aus	w11_d204e16439
denen	w13_d204e16443
Ein	w15_d204e16446
gangs	w1_d204e16451
ernannten	w3_d204e16454
Johann	w5_d204e16457
Sschwendtnerischen	w7_d204e16460
Creditoren	w1_d204e16465
(zumalen	w3_d204e16468
derenselben	w5_d204e16471
eigentlicher	w7_d204e16474
Aufenthalt	w1_d204e16480
nicht	w3_d204e16483
bekannt)	w5_d204e16486
die	w7_d204e16489
ersterwehnt	w9_d204e16492
Peremptorische	w1_d204e16497
Tagsatzung	w3_d204e16500
Kraftgegenwär	w5_d204e16503
tig=offenen	w1_d204e16508
1dcts	w3_d204e16511
mittelst	w5_d204e16514
Ansetzung	w7_d204e16517
eines	w9_d204e16520
zulänglichen	w1_d204e16525
Valval-termins	w3_d204e16528
hiermit	w5_d204e16531
judi-	w7_d204e16534
cialiter	w1_d204e16540
anerinneret;	w3_d204e16543
diesemnach	w5_d204e16546
auch	w7_d204e16549
sie	w9_d204e16552
Creditores	w1_d204e16557
an	w3_d204e16560
dem	w5_d204e16563
berührten	w7_d204e16566
Tag,	w9_d204e16569
Stund	w11_d204e16572
und	w1_d204e16577
Ort	w3_d204e16580
entweders	w5_d204e16583
in	w7_d204e16586
Persona,	w9_d204e16589
oder	w11_d204e16592
durch	w13_d204e16596
Bevollmächtigte	w1_d204e16601
unausbleiblich	w3_d204e16604
gebührend	w5_d204e16607
zu	w7_d204e16610
erscheinen,	w1_d204e16616
und	w3_d204e16619
ihrem	w5_d204e16622
Juri	w7_d204e16625
behörig	w9_d204e16628
zu	w11_d204e16631
in	w13_d204e16635
vi-	w15_d204e16638
giliten	w1_d204e16643
wissen	w3_d204e16646
werden.	w5_d204e16649
Actum	w7_d204e16652
Wien	w9_d204e16655
den	w11_d204e16658
12	w1_d204e16663
December	w3_d204e16666
1757.	w5_d204e16669
</p>
<p id="p10_d204e16672">
(L.	w1_d204e16676
S.	w3_d204e16679
Joseph	w5_d204e16682
Martin	w7_d204e16685
Edler	w9_d204e16688
von	w11_d204e16691
Hauer,	w13_d204e16695
Jhrer	w1_d204e16700
K.	w3_d204e16703
K.	w5_d204e16706
Maj.	w7_d204e16709
Raht,	w9_d204e16712
und	w11_d204e16715
Schra	w13_d204e16719
nen=schreiber.	w1_d204e16724
</p>
<head id="h2_d204e16730">
EDICT.	w1_d204e16734
</head>
<p id="p4_d204e16737">
Wir	w1_d204e16741
endes	w3_d204e16744
gefertigte	w5_d204e16747
von	w7_d204e16750
einem	w9_d204e16753
Löbl.	w11_d204e16756
Land	w13_d204e16760
marschallischen	w1_d204e16765
Gericht	w3_d204e16768
verordnete	w5_d204e16771
Commissa	w7_d204e16774
rien	w1_d204e16779
fügen	w3_d204e16782
N	w5_d204e16785
allen	w7_d204e16788
und	w9_d204e16791
jeden	w11_d204e16794
(so	w13_d204e16798
an	w15_d204e16801
Herrn	w17_d204e16804
Adam	w1_d204e16810
Grafen	w3_d204e16813
v.	w5_d204e16816
Kery	w7_d204e16819
einige	w9_d204e16822
Sprüch	w11_d204e16825
und	w13_d204e16829
</p>
<p id="p8_d204e16834">
Anforderungen	w1_d204e16838
haben	w3_d204e16841
/	w5_d204e16844
oder	w7_d204e16847
zu	w9_d204e16850
haben	w11_d204e16853
vermei	w13_d204e16857
nen)	w1_d204e16862
hiemit	w3_d204e16865
zu	w5_d204e16868
wissen.	w7_d204e16871
</p>
<p id="p10_d204e16874">
Welcher	w1_d204e16878
gestalten	w3_d204e16881
wir	w5_d204e16884
auf	w7_d204e16887
Anlangen	w9_d204e16890
Herrn	w11_d204e16893
Doctoris	w1_d204e16898
Purkner	w3_d204e16901
als	w5_d204e16904
gerichtlich	w7_d204e16907
verordnet	w9_d204e16910
Gräfl.	w1_d204e16915
Keryschen	w3_d204e16918
Curatoris	w5_d204e16921
ad	w7_d204e16924
lites,	w9_d204e16927
und	w11_d204e16930
hierüber	w1_d204e16936
ergangene	w3_d204e16939
Gerichtl.	w5_d204e16942
Auflag	w7_d204e16945
eine	w9_d204e16948
Con-	w11_d204e16951
vocations	w1_d204e16956
Tagsatzung	w3_d204e16959
auf	w5_d204e16962
den	w7_d204e16965
23.	w9_d204e16968
Februarii	w11_d204e16971
künftigen	w1_d204e16976
1758.	w3_d204e16979
Jahrs	w5_d204e16982
Nachmittag	w7_d204e16985
um	w9_d204e16988
3.	w11_d204e16991
Uhr	w1_d204e16996
in	w3_d204e16999
meiner	w5_d204e17002
Baron	w7_d204e17005
von	w9_d204e17008
Pechmanns	w11_d204e17011
im	w13_d204e17015
lan	w15_d204e17018
gen	w1_d204e17024
Haus	w3_d204e17027
nächst	w5_d204e17030
dem	w7_d204e17033
roten	w9_d204e17036
Thurn	w11_d204e17039
im	w13_d204e17043
1.	w15_d204e17046
Stock	w17_d204e17049
habenden	w1_d204e17054
Wohnung	w3_d204e17057
zu	w5_d204e17060
erscheinen	w7_d204e17063
bestimmet	w9_d204e17066
haben;	w1_d204e17071
solchemnach	w3_d204e17074
werden	w5_d204e17077
all	w7_d204e17080
und	w9_d204e17083
jede	w11_d204e17086
Interessirte	w1_d204e17091
(so	w3_d204e17094
an	w5_d204e17097
gedachten	w7_d204e17100
Herrn	w9_d204e17103
Adam	w11_d204e17106
Grafen	w1_d204e17112
v.	w3_d204e17115
Kery	w5_d204e17118
Sprüch	w7_d204e17121
und	w9_d204e17124
Anforderungen	w11_d204e17127
haben,	w1_d204e17132
oder	w3_d204e17135
zu	w5_d204e17138
haben	w7_d204e17141
vermeinen)	w9_d204e17144
an	w11_d204e17147
obge	w13_d204e17151
dachtem	w1_d204e17156
Tag,	w3_d204e17159
Stund	w5_d204e17162
und	w7_d204e17165
Ort,	w9_d204e17168
persönlich	w11_d204e17171
oder	w1_d204e17176
durch	w3_d204e17179
genugsam	w5_d204e17182
gevollmächtigte	w7_d204e17185
erschei	w9_d204e17188
nen,	w1_d204e17194
und	w3_d204e17197
ihre	w5_d204e17200
Sprüch	w7_d204e17203
anmelden,	w9_d204e17206
auch	w11_d204e17209
die	w13_d204e17213
in	w1_d204e17218
Handen	w3_d204e17221
habende	w5_d204e17224
obligationes,	w7_d204e17227
Schuld	w9_d204e17230
briefe,	w1_d204e17235
und	w3_d204e17238
legitimiations	w5_d204e17241
Documenta	w7_d204e17244
mit	w9_d204e17247
bringen.	w1_d204e17252
Actum	w3_d204e17255
Wien	w5_d204e17258
den	w7_d204e17261
14.	w9_d204e17264
December	w11_d204e17267
1757	w1_d204e17273
</p>
<p id="p16_d204e17361">
Es	w1_d204e17365
wird	w3_d204e17368
hiermit	w5_d204e17371
