<doc id="wr_1763-07-30" attrs="word" year="1763" month="07" day="30" corpus="2">
<head id="h2_d779e3159">
Lugand	w1_d779e3163
7.	w9_d779e14016
Kind.	w11_d779e14019
</head>
<list id="l4_d779e14022">
Wir	w1_d779e14026
Burgermeister=amts=verwalter	w3_d779e14029
und	w5_d779e14032
Raht	w7_d779e14035
</list>
<p id="p6_d779e14039">
Wir	w1_d779e14043
Burgermeister=amts=verwalter	w3_d779e14046
und	w5_d779e14049
Raht	w7_d779e14052
der	w1_d779e14057
Stadt	w3_d779e14060
Wien	w5_d779e14063
thuen	w7_d779e14066
hiemit	w9_d779e14069
weil.	w11_d779e14072
Johann	w13_d779e14076
Stras	w15_d779e14079
sers,	w1_d779e14084
gewest	w3_d779e14087
Burgerl.	w5_d779e14090
Tischler=meisters	w7_d779e14093
allhier,	w9_d779e14096
und	w11_d779e14099
dessen	w1_d779e14105
Ehewürtin	w3_d779e14108
Franciscä	w5_d779e14111
beeder	w7_d779e14114
seel.	w9_d779e14117
hinterlas	w11_d779e14120
senen	w1_d779e14125
Erben,	w3_d779e14128
und	w5_d779e14131
allen	w7_d779e14134
jenen,	w9_d779e14137
so	w11_d779e14140
zu	w13_d779e14144
deren	w15_d779e14147
Verlas	w17_d779e14150
senschaft	w1_d779e14155
einige	w3_d779e14158
Sprüch	w5_d779e14161
oder	w7_d779e14164
Anforderungen	w9_d779e14167
zu	w11_d779e14170
stellen,	w1_d779e14175
hiemit	w3_d779e14178
zu	w5_d779e14181
vernehmen:	w7_d779e14184
Es	w9_d779e14187
seye	w11_d779e14190
über	w13_d779e14194
in	w15_d779e14197
Sachen	w1_d779e14203
erstatteten	w3_d779e14206
Rait=handlers=bericht	w5_d779e14209
für	w7_d779e14212
un	w9_d779e14215
umgänglich	w1_d779e14220
befunden	w3_d779e14223
worden,	w5_d779e14226
daß	w7_d779e14229
zu	w9_d779e14232
endlicher	w11_d779e14235
Richtigstellung	w1_d779e14240
gedacht=beeder	w3_d779e14243
Strasserischen	w5_d779e14246
Verlassenschafts=abhandlungen,	w1_d779e14251
die	w3_d779e14254
allenfalls	w5_d779e14257
vorfindige	w1_d779e14263
nächste	w3_d779e14266
Erb	w5_d779e14269
und	w7_d779e14272
Schuldenprätenden	w9_d779e14275
ten	w1_d779e14280
durch	w3_d779e14283
ein	w5_d779e14286
öffentliches	w7_d779e14289
Edict	w9_d779e14292
mit	w11_d779e14295
Präsigirung	w13_d779e14299
eines	w1_d779e14304
Termins	w3_d779e14307
von	w5_d779e14310
6.	w7_d779e14313
Wochen	w9_d779e14316
und	w11_d779e14319
3.	w13_d779e14323
Tägen	w15_d779e14326
ein	w17_d779e14329
berufen	w1_d779e14334
werden	w3_d779e14337
sollen.	w5_d779e14340
Solchemnach	w7_d779e14343
werden	w9_d779e14346
al	w11_d779e14349
le	w1_d779e14355
diejenige,	w3_d779e14358
so	w5_d779e14361
sich	w7_d779e14364
zu	w9_d779e14367
gedachten	w11_d779e14370
Strasserischen	w13_d779e14374
Verlassenschaften	w1_d779e14379
als	w3_d779e14382
nächste	w5_d779e14385
Anverwandte	w7_d779e14388
und	w9_d779e14391
Erben,	w1_d779e14396
oder	w3_d779e14399
Schuld=prätendenten	w5_d779e14402
rechtens	w7_d779e14405
zu	w9_d779e14408
le	w11_d779e14411
gitimiren	w1_d779e14416
vermögen,	w3_d779e14419
in	w5_d779e14422
den	w7_d779e14425
anberaumten	w9_d779e14428
Termin	w11_d779e14431
6.	w1_d779e14437
Wochen	w3_d779e14440
und	w5_d779e14443
3.	w7_d779e14446
Täg	w9_d779e14449
bey	w11_d779e14452
unser	w13_d779e14456
und	w15_d779e14459
Gemeiner	w17_d779e14462
Stadt	w1_d779e14467
P.	w3_d779e14470
R.	w5_d779e14473
Cr.	w7_d779e14476
entweders	w9_d779e14479
persönlich	w11_d779e14482
selbsten,	w13_d779e14486
oder	w1_d779e14491
einen	w3_d779e14494
hinlänglich	w5_d779e14497
instruirten	w7_d779e14500
Gewalt=trager	w9_d779e14503
zu	w1_d779e14508
erscheinen,	w3_d779e14511
und	w5_d779e14514
ihre	w7_d779e14517
Forderung	w9_d779e14520
zu	w11_d779e14523
liquidi	w13_d779e14527
ren	w1_d779e14533
haben,	w3_d779e14536
wie	w5_d779e14539
im	w7_d779e14542
widrigen	w9_d779e14545
die	w11_d779e14548
Schuldpräten	w13_d779e14552
denten	w1_d779e14557
mit	w3_d779e14560
ihren	w5_d779e14563
Forderungen	w7_d779e14566
ein	w9_d779e14569
für	w11_d779e14572
allemal	w13_d779e14576
abgewiesen,	w1_d779e14581
respectu	w3_d779e14584
der	w5_d779e14587
Erbs=prätendenten	w7_d779e14590
aber	w9_d779e14593
ohne	w1_d779e14598
weiteren,	w3_d779e14601
was	w5_d779e14604
Rechtens	w7_d779e14607
ist,	w9_d779e14610
ex	w11_d779e14613
officio	w13_d779e14617
fürge	w15_d779e14620
kehret	w1_d779e14626
werden	w3_d779e14629
solle.	w5_d779e14632
Actum	w7_d779e14635
Wien	w9_d779e14638
27.	w11_d779e14641
Junii	w13_d779e14645
1763.	w15_d779e14648
</p>
<p id="p8_d779e14651">
Es	w1_d779e14655
ist	w3_d779e14658
in	w5_d779e14661
der	w7_d779e14664
Hochfürstl.	w9_d779e14667
Esterhazyschen	w11_d779e14670
Lein	w13_d779e14674
fabrie	w1_d779e14679
zu	w3_d779e14682
Neufeld	w5_d779e14685
bey	w7_d779e14688
Ebenfurth	w9_d779e14691
vorfindigen,	w11_d779e14694
und	w13_d779e14698
licitando	w1_d779e14703
plus	w3_d779e14706
offerenri	w5_d779e14709
unterm	w7_d779e14712
17.	w9_d779e14715
und	w11_d779e14718
18ten	w13_d779e14722
August	w1_d779e14728
in	w3_d779e14731
Waaren	w5_d779e14734
zu	w7_d779e14737
verkaufen,	w9_d779e14740
als	w11_d779e14743
1560.	w13_d779e14747
El	w15_d779e14750
len	w1_d779e14755
halb=seiden	w3_d779e14758
Canefaß,	w5_d779e14761
303.	w7_d779e14764
Ellen	w9_d779e14767
halbseiden	w11_d779e14770
Trillich,	w1_d779e14775
1891.	w3_d779e14778
Ellen	w5_d779e14781
leinen	w7_d779e14784
Canefaß,	w9_d779e14787
2312.	w11_d779e14790
Stück	w13_d779e14794
halbseidene	w1_d779e14799
Tüchel,	w3_d779e14802
20865.	w5_d779e14805
Stück	w7_d779e14808
leinene	w9_d779e14811
Tüchel,	w11_d779e14814
7828.	w1_d779e14820
Ellen	w3_d779e14823
weisse	w5_d779e14826
Leinwath,	w7_d779e14829
92.	w9_d779e14832
Ellen	w11_d779e14835
Tisch	w13_d779e14839
zeug	w1_d779e14844
oder	w3_d779e14847
Servietten;	w5_d779e14850
wer	w7_d779e14853
demnach	w9_d779e14856
von	w11_d779e14859
denen	w13_d779e14863
Herren	w1_d779e14868
Kauf	w3_d779e14871
und	w5_d779e14874
Handels=leuten,	w7_d779e14877
auch	w9_d779e14880
andren	w11_d779e14883
(Tit.)	w1_d779e14888
hohen	w3_d779e14891
und	w5_d779e14894
niederen	w7_d779e14897
Standes=personen	w9_d779e14900
von	w11_d779e14903
obbeschriebenen	w1_d779e14909
Waaren	w3_d779e14912
etwas	w5_d779e14915
anzukaufen	w7_d779e14918
Belie	w9_d779e14921
ben	w1_d779e14926
tragen,	w3_d779e14929
können	w5_d779e14932
sich	w7_d779e14935
an	w9_d779e14938
bestimmten	w11_d779e14941
Tagen,	w13_d779e14945
als	w1_d779e14950
den	w3_d779e14953
17.	w5_d779e14956
und	w7_d779e14959
18.	w9_d779e14962
August	w11_d779e14965
inlebenden	w13_d779e14969
Jahrs,	w15_d779e14972
in	w1_d779e14977
besagtem	w3_d779e14980
Hochfürstl.	w5_d779e14983
Esterhazyschen	w7_d779e14986
Ort	w9_d779e14989
Neu	w11_d779e14992
</p>
<list id="l10_d779e14995">
Es	w1_d779e14999
ist	w3_d779e15002
in	w5_d779e15005
der	w7_d779e15008
Hochfürstl.	w9_d779e15011
Esterhazyschen	w11_d779e15014
Lein	w13_d779e15018
</list>
<p id="p12_d779e15023">
feld,	w1_d779e15027
bey	w3_d779e15030
Ebenfurth,	w5_d779e15033
einfinden,	w7_d779e15036
und	w9_d779e15039
sich	w11_d779e15042
allda	w13_d779e15046
bey	w1_d779e15051
dem	w3_d779e15054
Fabrie=director	w5_d779e15057
anmelden.	w7_d779e15060
</p>
<list id="l14_d779e15063">
Auf	w1_d779e15067
nächst=künftigen	w3_d779e15070
dritten	w5_d779e15073
und	w7_d779e15076
vierten	w9_d779e15079
Mo	w11_d779e15082
</list>
<p id="p16_d779e15086">
Auf	w1_d779e15090
nächst=künftigen	w3_d779e15093
dritten	w5_d779e15096
und	w7_d779e15099
vierten	w9_d779e15102
Mo	w11_d779e15105
nats	w1_d779e15110
Augusti	w3_d779e15113
werden	w5_d779e15116
in	w7_d779e15119
dem	w9_d779e15122
Brunetischen,	w11_d779e15125
grad	w13_d779e15129
ge	w15_d779e15132
gen	w1_d779e15137
der	w3_d779e15140
Favoriten,	w5_d779e15143
und	w7_d779e15146
dermaligen	w9_d779e15149
Theresiana	w11_d779e15152
Collegio	w1_d779e15158
über	w3_d779e15161
liegenden	w5_d779e15164
Garten,	w7_d779e15167
fruhe	w9_d779e15170
von	w11_d779e15173
9.	w13_d779e15177
bis	w1_d779e15182
12.	w3_d779e15185
und	w5_d779e15188
Nachmittag	w7_d779e15191
von	w9_d779e15194
3.	w11_d779e15197
bis	w13_d779e15201
Uhr	w15_d779e15204
verschie	w17_d779e15207
dene	w1_d779e15212
Verlassenschafts	w3_d779e15215
und	w5_d779e15218
andere	w7_d779e15221
Effeeten,	w9_d779e15224
als	w11_d779e15227
Geschmuck,	w1_d779e15232
JaponischSächsisch	w3_d779e15235
und	w5_d779e15238
Wieneri	w7_d779e15241
sches	w1_d779e15247
Porcelain,	w3_d779e15250
etwas	w5_d779e15253
Silber,	w7_d779e15256
schöne	w9_d779e15259
Bilder,	w11_d779e15262
Kleider,	w1_d779e15267
Kästen	w3_d779e15270
und	w5_d779e15273
allerhand	w7_d779e15276
andere	w9_d779e15279
Mobilien	w11_d779e15282
plos	w13_d779e15286
offerenti	w1_d779e15291
licitando	w3_d779e15294
verkaufet	w5_d779e15297
werden.	w7_d779e15300
</p>
<list id="l18_d779e15303">
Von	w1_d779e15307
einem	w3_d779e15310
hochwürdigen	w5_d779e15313
Metropol.	w7_d779e15316
Domca	w9_d779e15319
</list>
<p id="p20_d779e15323">
Von	w1_d779e15327
einem	w3_d779e15330
hochwürdigen	w5_d779e15333
Metropol.	w7_d779e15336
Domca	w9_d779e15339
pitul	w1_d779e15344
bey	w3_d779e15347
St.	w5_d779e15350
Stephan	w7_d779e15353
allhier	w9_d779e15356
wird	w11_d779e15359
hiermit	w13_d779e15363
je	w15_d779e15366
dermann	w1_d779e15371
kund	w3_d779e15374
und	w5_d779e15377
zu	w7_d779e15380
wissen	w9_d779e15383
gemacht:	w11_d779e15386
Es	w13_d779e15390
seye	w15_d779e15393
von	w1_d779e15399
denen	w3_d779e15402
nach	w5_d779e15405
Absterben	w7_d779e15408
weyl.	w9_d779e15411
Maria	w11_d779e15414
Theresia	w13_d779e15418
Clementin	w1_d779e15423
seel.	w3_d779e15426
in	w5_d779e15429
ihrer	w7_d779e15432
letztwilligen	w9_d779e15435
Disposition	w11_d779e15438
benannten	w1_d779e15443
Universal=erben	w3_d779e15446
sowol	w5_d779e15449
als	w7_d779e15452
Legatarien,	w9_d779e15455
für	w1_d779e15460
nothwendig	w3_d779e15463
erachtet	w5_d779e15466
worden,	w7_d779e15469
die	w9_d779e15472
zur	w11_d779e15475
vorge	w13_d779e15479
dachten	w1_d779e15485
Clementischen	w3_d779e15488
Verlassenschaft	w5_d779e15491
zur	w7_d779e15494
Helfte	w9_d779e15497
gehörige,	w1_d779e15502
zu	w3_d779e15505
Maria	w5_d779e15508
Hülf	w7_d779e15511
bey	w9_d779e15514
denen	w11_d779e15517
2.	w13_d779e15521
weissen	w15_d779e15524
Saulen	w1_d779e15529
benahmste	w3_d779e15532
Behausung	w5_d779e15535
zum	w7_d779e15538
Verkauf	w9_d779e15541
zu	w11_d779e15544
bringen	w1_d779e15549
und	w3_d779e15552
licitando	w5_d779e15555
auszufeilen,	w7_d779e15558
gleichwie	w9_d779e15561
nun	w11_d779e15564
gedacht	w1_d779e15570
von	w3_d779e15573
obgenannten	w5_d779e15576
Univerfal=erben	w7_d779e15579
und	w9_d779e15582
Legatarien	w1_d779e15587
genommener	w3_d779e15590
Entschluß	w5_d779e15593
durch	w7_d779e15596
die	w9_d779e15599
bey	w11_d779e15602
unserem	w1_d779e15607
Foro	w3_d779e15610
unterm	w5_d779e15613
22.	w7_d779e15616
März	w9_d779e15619
dieses	w11_d779e15622
Jahrs	w13_d779e15626
ge	w15_d779e15629
schöpfte	w1_d779e15634
Veranlassung	w3_d779e15637
bestättiget,	w5_d779e15640
auch	w7_d779e15643
hierinnen	w9_d779e15646
von	w1_d779e15652
der	w3_d779e15655
um	w5_d779e15658
die	w7_d779e15661
Helfte	w9_d779e15664
dieses	w11_d779e15667
Hauses	w13_d779e15671
begwöhr	w15_d779e15674
ten	w1_d779e15679
Carl	w3_d779e15682
Clementischen	w5_d779e15685
Universal=erben	w7_d779e15688
begwilli	w9_d779e15691
get,	w1_d779e15696
und	w3_d779e15699
zu	w5_d779e15702
dieser	w7_d779e15705
Tagsatzung	w9_d779e15708
der	w11_d779e15711
30.	w13_d779e15715
künftigen	w15_d779e15718
Monats	w1_d779e15723
Augusti	w3_d779e15726
fruhe	w5_d779e15729
um	w7_d779e15732
9.	w9_d779e15735
Uhr	w11_d779e15738
bestimmet	w13_d779e15742
wor	w15_d779e15745
den	w1_d779e15751
ist.	w3_d779e15754
Als	w5_d779e15757
werden	w7_d779e15760
diejenige,	w9_d779e15763
welche	w11_d779e15766
gedachtes	w13_d779e15770
Haus	w1_d779e15775
käuflich	w3_d779e15778
an	w5_d779e15781
sich	w7_d779e15784
zu	w9_d779e15787
bringen	w11_d779e15790
Willens	w13_d779e15794
seyn,	w15_d779e15797
an	w1_d779e15802
gleichbesagtem	w3_d779e15805
Tag	w5_d779e15808
und	w7_d779e15811
Stund	w9_d779e15814
in	w11_d779e15817
der	w13_d779e15821
Dom	w15_d779e15824
Capitularischen	w1_d779e15829
Hofmeister=amts=canzley	w3_d779e15832
im	w5_d779e15835
Zwettl=hof	w1_d779e15841
nächst	w3_d779e15844
St.	w5_d779e15847
Stephan	w7_d779e15850
zu	w9_d779e15853
erscheinen	w11_d779e15856
ha	w13_d779e15860
ben,	w1_d779e15865
wo	w3_d779e15868
sodann	w5_d779e15871
mit	w7_d779e15874
dem	w9_d779e15877
Meistbietenden	w11_d779e15880
der	w13_d779e15884
Kauf	w15_d779e15887
hierinnen	w1_d779e15892
geschlossen,	w3_d779e15895
und	w5_d779e15898
das	w7_d779e15901
weiter	w9_d779e15904
Erforden	w11_d779e15907
liche	w1_d779e15912
der	w3_d779e15915
Ordnung	w5_d779e15918
nach	w7_d779e15921
vorgetragen	w9_d779e15924
werden	w11_d779e15927
solle.	w13_d779e15931
</p>
<head id="h2_d779e15937">
Landmarschall	w1_d779e15941
rc.	w3_d779e15944
</head>
<p id="p4_d779e15947">
Entbiete	w1_d779e15951
N.	w3_d779e15954
allen	w5_d779e15957
und	w7_d779e15960
jeden,	w9_d779e15963
was	w11_d779e15966
Standes	w13_d779e15970
und	w15_d779e15973
Würden	w1_d779e15978
die	w3_d779e15981
seynd,	w5_d779e15984
der	w7_d779e15987
Gebühr	w9_d779e15990
noch	w11_d779e15993
meinen	w13_d779e15997
repe	w15_d779e16000
ctive	w1_d779e16005
Dienst	w3_d779e16008
im	w5_d779e16011
guten	w7_d779e16014
Willen	w9_d779e16017
zuvor,	w11_d779e16020
und	w13_d779e16024
füge	w15_d779e16027
hie	w17_d779e16030
mit	w1_d779e16036
zu	w3_d779e16039
vernehmen:	w5_d779e16042
</p>
<p id="p6_d779e16045">
Demnach	w1_d779e16049
die	w3_d779e16052
Frau	w5_d779e16055
Maria	w7_d779e16058
Josepha	w9_d779e16061
Kyppo	w11_d779e16064
von	w13_d779e16068
Mühlfeld,	w1_d779e16073
geb.	w3_d779e16076
Freyin	w5_d779e16079
von	w7_d779e16082
Hingenau,	w9_d779e16085
als	w11_d779e16088
weyl	w13_d779e16092
ihrer	w1_d779e16097
Frau	w3_d779e16100
Mutter	w5_d779e16103
Mariä	w7_d779e16106
Annä	w9_d779e16109
Freyin	w11_d779e16112
von	w13_d779e16116
Hin	w15_d779e16119
genau	w1_d779e16125
seel.	w3_d779e16128
Universal=erbin	w5_d779e16131
um	w7_d779e16134
die	w9_d779e16137
offentliche	w11_d779e16140
Licitirung	w1_d779e16145
des	w3_d779e16148
in	w5_d779e16151
sothane	w7_d779e16154
Verlassenschaft	w9_d779e16157
gehöri	w11_d779e16160
gen	w1_d779e16165
Frey=guts	w3_d779e16168
Mühlfeld,	w5_d779e16171
oder	w7_d779e16174
sogenannten	w9_d779e16177
Schleif	w11_d779e16180
mühl	w1_d779e16185
an	w3_d779e16188
der	w5_d779e16191
Wien	w7_d779e16194
allhier	w9_d779e16197
gebetten,	w11_d779e16200
hierinnfalls	w13_d779e16204
auch	w1_d779e16210
gewilliget,	w3_d779e16213
und	w5_d779e16216
zur	w7_d779e16219
Licitations=tagsatzung	w9_d779e16222
der	w1_d779e16227
25.	w3_d779e16230
Augusti	w5_d779e16233
dies	w7_d779e16236
Jahrs	w9_d779e16239
bestimmet	w11_d779e16242
worden	w13_d779e16246
Als	w1_d779e16251
hat	w3_d779e16254
man	w5_d779e16257
ein	w7_d779e16260
solches	w9_d779e16263
jedermänniglich	w11_d779e16266
zu	w13_d779e16270
dem	w15_d779e16273
Ende	w1_d779e16278
andurch	w3_d779e16281
kund	w5_d779e16284
machen	w7_d779e16287
wollen,	w9_d779e16290
damit	w11_d779e16293
der	w13_d779e16297
</p>
<p id="p12_d779e16311">
oder	w1_d779e16315
diejenige,	w3_d779e16318
so	w5_d779e16321
obbemeldte	w7_d779e16324
Schleif=mühl	w9_d779e16327
cum	w11_d779e16330
Appertinentiis	w1_d779e16335
käuflichen	w3_d779e16338
an	w5_d779e16341
sich	w7_d779e16344
zu	w9_d779e16347
bringen	w11_d779e16350
Wil	w13_d779e16354
lens	w1_d779e16359
seynd,	w3_d779e16362
an	w5_d779e16365
obbestimmtem	w7_d779e16368
Tag	w9_d779e16371
fruh	w11_d779e16374
um	w13_d779e16378
8.	w15_d779e16381
Uhr	w1_d779e16387
ad	w3_d779e16390
licitandum	w5_d779e16393
vor	w7_d779e16396
Gericht	w9_d779e16399
zu	w11_d779e16402
erscheinen	w13_d779e16406
wis	w15_d779e16409
sen	w1_d779e16414
mögen.	w3_d779e16417
</p>
<list id="l14_d779e16420">
Wir	w1_d779e16424
Burgermeister=amts=verwalter	w3_d779e16427
und	w5_d779e16430
Raht	w7_d779e16433
</list>
<p id="p16_d779e16437">
Win	w1_d779e16441
Rsten	w3_d779e16444
at	w5_d779e16447
der	w1_d779e16452
Stadt	w3_d779e16455
Wien	w5_d779e16458
geben	w7_d779e16461
hiemit	w9_d779e16464
durch	w11_d779e16467
dieses	w13_d779e16471
offene	w15_d779e16474
Edict	w1_d779e16479
jedermänniglich	w3_d779e16482
zu	w5_d779e16485
vernehmen,	w7_d779e16488
wasgestalten	w9_d779e16491
wir	w1_d779e16497
über	w3_d779e16500
schriftlich	w5_d779e16503
beschehenes	w7_d779e16506
Anlangen	w9_d779e16509
und	w11_d779e16512
dienstliches	w1_d779e16517
Bitten	w3_d779e16520
des	w5_d779e16523
gerichtl.	w7_d779e16526
aufgesteltDöble	w9_d779e16529
rischen	w1_d779e16534
Hrn.	w3_d779e16537
Currtoris	w5_d779e16540
ad	w7_d779e16543
lites	w9_d779e16546
Franz	w11_d779e16549
Augustin	w13_d779e16553
Lang,	w1_d779e16558
J.	w3_d779e16561
U.	w5_d779e16564
D.	w7_d779e16567
auch	w9_d779e16570
Hof	w11_d779e16573
und	w13_d779e16577
Gerichtsadvoca	w15_d779e16580
tens,	w1_d779e16586
unterm	w3_d779e16589
30.	w5_d779e16592
May	w7_d779e16595
a.	w9_d779e16598
c.	w11_d779e16601
in	w13_d779e16605
ein	w15_d779e16608
gewönliches	w17_d779e16611
Licitations=edict	w1_d779e16616
gewilliget	w3_d779e16619
und	w5_d779e16622
verordnet	w7_d779e16625
haben,	w9_d779e16628
daß	w1_d779e16633
die	w3_d779e16636
Döblerische	w5_d779e16639
untern	w7_d779e16642
Weißgärbern	w9_d779e16645
liegende	w11_d779e16648
Behausung	w1_d779e16653
offentlich	w3_d779e16656
ausgefeilet,	w5_d779e16659
und	w7_d779e16662
dem	w9_d779e16665
Meist	w11_d779e16668
bietenden	w1_d779e16674
verkaufet	w3_d779e16677
werden	w5_d779e16680
solle,	w7_d779e16683
da	w9_d779e16686
nun	w11_d779e16689
hierzu	w13_d779e16693
der	w1_d779e16698
5.	w3_d779e16701
Monats=tag	w5_d779e16704
Sept.	w7_d779e16707
laufenden	w9_d779e16710
1763.	w11_d779e16713
Jahrs	w13_d779e16717
zur	w1_d779e16722
Tagsatzung	w3_d779e16725
bestimmet	w5_d779e16728
worden	w7_d779e16731
ist,	w9_d779e16734
als	w11_d779e16737
wird	w13_d779e16741
ein	w15_d779e16744
solches	w1_d779e16749
hiemit	w3_d779e16752
jedermann,	w5_d779e16755
wer	w7_d779e16758
etwann	w9_d779e16761
dieses	w11_d779e16764
Haus	w13_d779e16768
käuflichen	w1_d779e16774
an	w3_d779e16777
sich	w5_d779e16780
zu	w7_d779e16783
bringen	w9_d779e16786
gesinnet	w11_d779e16789
ist,	w13_d779e16793
mit	w15_d779e16796
die	w17_d779e16799
sem	w1_d779e16804
Edict	w3_d779e16807
zu	w5_d779e16810
dem	w7_d779e16813
Ende	w9_d779e16816
kund	w11_d779e16819
und	w13_d779e16823
zu	w15_d779e16826
wissen	w17_d779e16829
ge	w19_d779e16832
macht,	w1_d779e16837
damit	w3_d779e16840
ein	w5_d779e16843
sich	w7_d779e16846
hervorthuender	w9_d779e16849
Kaufer	w11_d779e16852
bey	w13_d779e16856
obbemelt=bestimmten	w1_d779e16861
Licitations=tagsatzung	w3_d779e16864
fruhe	w5_d779e16867
um	w1_d779e16873
9.	w3_d779e16876
Uhr,	w5_d779e16879
oder	w7_d779e16882
da	w9_d779e16885
wir	w11_d779e16888
selbigen	w13_d779e16892
Tags	w15_d779e16895
etwann	w17_d779e16898
an	w19_d779e16901
derer	w1_d779e16906
Geschäften	w3_d779e16909
halber	w5_d779e16912
nicht	w7_d779e16915
zu	w9_d779e16918
Rahte	w11_d779e16921
sitzeten,	w13_d779e16925
den	w1_d779e16930
nächst=darauf	w3_d779e16933
folgenden	w5_d779e16936
Rahts=tag	w7_d779e16939
vor	w9_d779e16942
uns	w11_d779e16945
erscheinen,	w1_d779e16950
und	w3_d779e16953
sich	w5_d779e16956
bey	w7_d779e16959
unser	w9_d779e16962
und	w11_d779e16965
Gemeiner	w13_d779e16969
Stadt	w1_d779e16975
Grund=buch	w3_d779e16978
durch	w5_d779e16981
den	w7_d779e16984
daselbstigen	w9_d779e16987
Amts	w11_d779e16990
schreiber	w1_d779e16995
anmelden	w3_d779e16998
lassen	w5_d779e17001
möge,	w7_d779e17004
allwo	w9_d779e17007
sodann	w11_d779e17010
das	w13_d779e17014
weiter	w1_d779e17019
Behörige	w3_d779e17022
tractiret	w5_d779e17025
werden	w7_d779e17028
solle.	w9_d779e17031
</p>
<list id="l18_d779e17034">
Obrister	w1_d779e17038
Hofmarschall	w3_d779e17041
rc.	w5_d779e17044
rc.	w7_d779e17047
</list>
<p id="p20_d779e17051">
Geben	w1_d779e17055
jedermänniglich,	w3_d779e17058
sowol	w5_d779e17061
An	w7_d779e17064
als	w9_d779e17067
Abwe	w11_d779e17070
senden,	w1_d779e17075
deme	w3_d779e17078
daran	w5_d779e17081
gelegen,	w7_d779e17084
hiermit	w9_d779e17087
zu	w11_d779e17090
verneh	w13_d779e17094
men:	w1_d779e17099
Nachdem	w3_d779e17102
wir	w5_d779e17105
für	w7_d779e17108
nöthig	w9_d779e17111
befunden,	w11_d779e17114
nach	w13_d779e17118
erfolgt	w1_d779e17124
tödlichem	w3_d779e17127
Hintritt	w5_d779e17130
des	w7_d779e17133
Gottlieb	w9_d779e17136
Franz	w11_d779e17139
Lan	w13_d779e17143
derer,	w1_d779e17148
gewest	w3_d779e17151
Kais.	w5_d779e17154
Elisabethischer	w7_d779e17157
Kuchelschrei	w9_d779e17160
bers	w1_d779e17165
und	w3_d779e17168
Pensionistens,	w5_d779e17171
zu	w7_d779e17174
Erfindung	w9_d779e17177
desselben	w11_d779e17180
etwo	w1_d779e17185
vorhandenen	w3_d779e17188
Æri	w5_d779e17191
alieni,	w7_d779e17194
folgends	w9_d779e17197
auch	w11_d779e17200
zu	w13_d779e17204
si	w15_d779e17207
cherer	w1_d779e17213
Abhandlung	w3_d779e17216
solcher	w5_d779e17219
Verlassenschaft	w7_d779e17222
die	w9_d779e17225
sam	w11_d779e17228
mentliche	w1_d779e17233
sowol	w3_d779e17236
in	w5_d779e17239
als	w7_d779e17242
ausser	w9_d779e17245
Land	w11_d779e17248
befindliche	w13_d779e17252
Franz	w1_d779e17257
Landerische	w3_d779e17260
Glaubigere	w5_d779e17263
zu	w7_d779e17266
Anmeld	w9_d779e17269
und	w11_d779e17272
Liquidirung	w1_d779e17277
ihrer	w3_d779e17280
an	w5_d779e17283
wiederholte	w7_d779e17286
Landerische	w9_d779e17289
Ver	w11_d779e17292
lassenschaft	w1_d779e17298
zu	w3_d779e17301
stellen	w5_d779e17304
habender	w7_d779e17307
Sprüche	w9_d779e17310
und	w11_d779e17313
For	w13_d779e17317
derungen	w1_d779e17322
gerichtlich	w3_d779e17325
vorzuladen	w5_d779e17328
und	w7_d779e17331
einzuberufen;	w9_d779e17334
zu	w1_d779e17339
solchem	w3_d779e17342
Ende	w5_d779e17345
denenselben	w7_d779e17348
der	w9_d779e17351
17te	w11_d779e17354
Tag	w13_d779e17358
des	w15_d779e17361
künftigen	w1_d779e17366
Monats	w3_d779e17369
Septemb.	w5_d779e17372
Nachmittag	w7_d779e17375
präcise	w9_d779e17378
um	w1_d779e17384
4.	w3_d779e17387
Uhr	w5_d779e17390
zur	w7_d779e17393
gewöhnlichen	w9_d779e17396
Convocations	w11_d779e17399
und	w13_d779e17403
Anmeldungs=tagsatzung	w1_d779e17408
zu	w3_d779e17411
all	w5_d779e17414
endlicher	w7_d779e17417
Frist	w9_d779e17420
an	w11_d779e17423
beraumet	w1_d779e17428
worden	w3_d779e17431
ist.	w5_d779e17434
Als	w7_d779e17437
wird	w9_d779e17440
allen	w11_d779e17443
und	w13_d779e17447
jeden,	w15_d779e17450
welche	w1_d779e17455
bey	w3_d779e17458
vorgedacht	w5_d779e17461
Franz	w7_d779e17464
Landerischen	w9_d779e17467
Verlas	w11_d779e17470
senschaft	w1_d779e17476
um	w3_d779e17479
rechtmäßiger	w5_d779e17482
Forderung	w7_d779e17485
willen	w9_d779e17488
eini	w11_d779e17491
ge	w1_d779e17496
Sprüche	w3_d779e17499
haben,	w5_d779e17502
oder	w7_d779e17505
zu	w9_d779e17508
haben	w11_d779e17511
vermeinen,	w13_d779e17515
ein	w15_d779e17518
solches	w1_d779e17523
mittelst	w3_d779e17526
gegenwärtig	w5_d779e17529
offenen	w7_d779e17532
Valval	w9_d779e17535
edict	w11_d779e17538
angedeutet,	w1_d779e17543
und	w3_d779e17546
zugleich	w5_d779e17549
anbefohlen,	w7_d779e17552
daß	w9_d779e17555
selbe	w11_d779e17558
am	w1_d779e17564
obbestimmten	w3_d779e17567
