<doc id="edoc_wd_1780-12-02" attrs="word" year="1780" month="12" day="02" corpus="1">
<p id="p4">
Monarchinn	w23
<g/>
=
k	w14800
<g/>
.
k	w14802
<g/>
.
Jud	w14804
<g/>
.
deleg	w14806
<g/>
.
Milit	w14808
<g/>
.
mixti	w14810
nach	w14811
unterm	w14812
3	w14813
<g/>
.
August	w14815
d	w14816
<g/>
.
J	w14818
<g/>
.
zu	w14820
Kornneuburg	w14821
in	w14822
Niederö=sterreich	w14823
<g/>
=
erfolgt	w14825
zeitlichen	w14826
Hintritt	w14827
des	w14828
pensio=nirt	w14829
<g/>
=
k	w14831
<g/>
.
k	w14833
<g/>
.
Unterlieutenantens	w14835
Valentin	w14836
Hartel	w14837
<g/>
,
zu	w14839
Ausfindigmachung	w14840
desselben	w14841
etwa	w14842
vorhande=nen	w14843
<g/>
=
Æris	w14845
alieni	w14846
<g/>
,
folgends	w14848
auch	w14849
zu	w14850
desto	w14851
sicherer	w14852
Abhandlung	w14853
sothaner	w14854
Verlassenschaft	w14855
für	w14856
nöthig	w14857
befunden	w14858
<g/>
,
die	w14860
sämtlich	w14861
sowohl	w14862
in	w14863
als	w14864
ausser	w14865
Land	w14866
befindliche	w14867
Unterlieutenants	w14868
Valentin	w14869
Hartli=sche	w14870
<g/>
=
Gläubiger	w14872
zu	w14873
Anmeld	w14874
<g/>
=
und	w14876
Liquidirung	w14877
ihrer	w14878
an	w14879
sothane	w14880
Verlassenschaft	w14881
zu	w14882
stellen	w14883
habenden	w14884
Sprüch	w14885
und	w14886
Foderungen	w14887
gerichtlich	w14888
vorzuladen	w14889
und	w14890
einzuberufen	w14891
<g/>
.
Da	w14893
nun	w14894
auf	w14895
Anlangen	w14896
des	w14897
zu	w14898
Vertrett	w14899
<g/>
=
und	w14901
Richtigstellung	w14902
sothaner	w14903
Verlassenschaft	w14904
gerichtlich	w14905
aufgestellten	w14906
Curato=ris	w14907
<g/>
=
<g/>
,
Anton	w14910
Remiz	w14911
<g/>
,
J	w14913
<g/>
.
U	w14915
<g/>
.
D	w14917
auch	w14918
hofkriegs=räthlichen	w14919
<g/>
=
Advokatens	w14921
<g/>
,
der	w14923
30	w14924
<g/>
.
Decemb	w14926
<g/>
.
d	w14928
<g/>
.
J	w14930
<g/>
.
früh	w14932
um	w14933
9	w14934
Uhr	w14935
zur	w14936
gewöhnlichen	w14937
Convocations=und	w14938
<g/>
=
Anmeldungs	w14940
<g/>
=
Tagsatzung	w14942
zur	w14943
allendlichen	w14944
Frist	w14945
anberaumt	w14946
worden	w14947
<g/>
.
Solchemnach	w14949
wer=den	w14950
<g/>
=
alle	w14952
und	w14953
jede	w14954
<g/>
,
welche	w14956
bey	w14957
der	w14958
gedach=ten	w14959
<g/>
=
Verlassenschaft	w14961
um	w14962
rechtmäßiger	w14963
Foderung	w14964
willen	w14965
einige	w14966
Sprüche	w14967
haben	w14968
<g/>
,
oder	w14970
zu	w14971
haben	w14972
</p>
<p id="p111">
vermeinen	w14973
<g/>
,
an	w14975
obbestmmten	w14976
Tag	w14977
und	w14978
Stund	w14979
in	w14980
dem	w14981
hofkriegsräthlichen	w14982
Gebäude	w14983
am	w14984
im	w14985
dritten	w14986
Stock	w14987
befindlichen	w14988
Kanzley	w14989
di	w14990
k	w14991
<g/>
.
k	w14993
<g/>
.
Jud	w14995
<g/>
.
Del	w14997
<g/>
.
Mil	w14999
<g/>
.
Mixt	w15001
<g/>
.
entweder	w15003
selbst	w15004
per=sönlich	w15005
<g/>
=
<g/>
,
oder	w15008
durch	w15009
hiezu	w15010
genugsam	w15011
instruirte	w15012
Bevollmächtigte	w15013
alsogewiß	w15014
zu	w15015
erscheinen	w15016
<g/>
,
ihre	w15018
Foderungen	w15019
mittels	w15020
Einlegung	w15021
der	w15022
behörigen	w15023
Stempel	w15024
versehenen	w15025
Liquidations=	w15026
und	w15027
Legitimationsdokumenten	w15028
anzumelden	w15029
ha=ben	w15030
<g/>
=
<g/>
,
wie	w15033
im	w15034
widrigen	w15035
die	w15036
Abhandlung	w15037
ohne	w15038
weiteren	w15039
Zuwarten	w15040
vorgenommen	w15041
<g/>
,
und	w15043
unge=hindert	w15044
<g/>
=
der	w15046
etwa	w15047
vorhandenen	w15048
Gläubigern	w15049
welche	w15050
sich	w15051
mit	w15052
ihren	w15053
Foderungen	w15054
in	w15055
dieser	w15056
be=stimmten	w15057
<g/>
=
Zeit	w15059
nicht	w15060
angemeldet	w15061
<g/>
,
sothane	w15063
Ver=lassenschaft	w15064
<g/>
=
eingeantwortet	w15066
<g/>
,
auch	w15068
sonst	w15069
ex	w15070
offi-cio	w15071
<g/>
-
vorgekehret	w15073
werden	w15074
würde	w15075
<g/>
,
was	w15077
Rechtens	w15078
ist	w15079
<g/>
.
Wien	w15081
den	w15082
29	w15083
<g/>
.
Oktob	w15085
<g/>
.
1780	w15087
<g/>
.
</p>
<p id="p112">
Von	w15089
dem	w15090
Stadtrath	w15091
der	w15092
landesfürstl	w15093
<g/>
.
Haupt=stadt	w15095
<g/>
=
Linz	w15097
wird	w15098
hiemit	w15099
bekannt	w15100
gemacht	w15101
<g/>
:
Es	w15103
habe	w15104
Leopold	w15105
Jgnaz	w15106
Antreich	w15107
<g/>
,
burgerl	w15109
<g/>
.
Han=delsmann	w15111
<g/>
=
allhier	w15113
<g/>
,
bey	w15115
uns	w15116
in	w15117
Anbetracht	w15118
nes	w15119
das	w15120
Vermögen	w15121
übersteigenden	w15122
Passivst	w15123
des	w15124
die	w15125
cessionem	w15126
bonorum	w15127
eingelegt	w15128
<g/>
,
so	w15130
a	w15131
angenommen	w15132
<g/>
,
und	w15134
die	w15135
nöthige	w15136
ediktalmässige	w15137
Verfahrung	w15138
alsogleich	w15139
veranlasset	w15140
worden	w15141
<g/>
;
ber	w15143
gegenwärtig	w15144
all	w15145
jenen	w15146
<g/>
,
die	w15148
an	w15149
ihm	w15150
Leopold	w15151
Jgnaz	w15152
Antreich	w15153
einig	w15154
rechtliche	w15155
Foderung	w15156
zu	w15157
machen	w15158
haben	w15159
<g/>
,
auferlegt	w15161
wird	w15162
<g/>
,
solche	w15164
in	w15165
dem	w15166
andurch	w15167
bestimmten	w15168
Termin	w15169
pr	w15170
<g/>
.
6Wochen	w15172
und	w15173
3	w15174
Tagen	w15175
bey	w15176
uns	w15177
um	w15178
so	w15179
gewisser	w15180
behörig	w15181
an=zumelden	w15182
<g/>
=
<g/>
,
wie	w15185
im	w15186
widrigen	w15187
<g/>
,
und	w15189
nach	w15190
Ver=streichung	w15191
<g/>
=
dieses	w15193
Termins	w15194
niemand	w15195
mehr	w15196
ange=hört	w15197
<g/>
=
<g/>
,
sondern	w15200
in	w15201
Sachen	w15202
weiters	w15203
der	w15204
rechtlichen	w15205
Ordnung	w15206
nach	w15207
fürgeschritten	w15208
werden	w15209
wird	w15210
<g/>
.
Linz	w15212
den	w15213
18	w15214
<g/>
.
November	w15216
1780	w15217
<g/>
.
</p>
<p id="p113">
Nachdem	w15219
der	w15220
am	w15221
3	w15222
<g/>
.
Jäner	w15224
d	w15225
<g/>
.
J	w15227
<g/>
.
verstorbener	w15229
weil	w15230
<g/>
.
kaiserl	w15232
<g/>
.
Reichshofrathsagent	w15234
<g/>
,
und	w15236
verschie=dener	w15237
<g/>
=
des	w15239
heil	w15240
<g/>
.
röm	w15242
<g/>
.
Reichs	w15244
Fürsten	w15245
und	w15246
Stän=de	w15247
<g/>
=
Rath	w15249
<g/>
,
Herr	w15251
Christian	w15252
Gottlieb	w15253
von	w15254
Stieve	w15255
in	w15256
dem	w15257
§	w15258
10	w15259
seines	w15260
hinterlassenen	w15261
Testaments	w15262
vom	w15263
30	w15264
<g/>
.
Oktober	w15266
1778	w15267
einem	w15268
sichern	w15269
Jcto	w15270
Ha=nisch	w15271
<g/>
=
<g/>
,
oder	w15274
dessen	w15275
Erben	w15276
<g/>
,
welche	w15278
sich	w15279
in	w15280
Pohlen	w15281
in	w15282
einem	w15283
Ort	w15284
Obersitzka	w15285
genannt	w15286
<g/>
,
befinden	w15288
sol=len	w15289
<g/>
=
<g/>
,
20	w15292
fl	w15293
<g/>
.
dergestalt	w15295
legirt	w15296
<g/>
,
daß	w15298
wenn	w15299
dersel=be	w15300
<g/>
=
oder	w15302
seine	w15303
Erben	w15304
nicht	w15305
ausfindig	w15306
zu	w15307
machen	w15308
wären	w15309
<g/>
,
dieses	w15311
Geld	w15312
den	w15313
dortigen	w15314
Armen	w15315
aus=getheilt	w15316
<g/>
=
werden	w15318
soll	w15319
<g/>
,
und	w15321
dann	w15322
von	w15323
unterschrie=benen	w15324
<g/>
=
Executori	w15326
Testamenti	w15327
<g/>
,
der	w15329
Jnnhalt	w15330
die=ser	w15331
<g/>
=
letzten	w15333
Willensverordnung	w15334
nach	w15335
Obersitzka	w15336
unter	w15337
seiner	w15338
<g/>
,
des	w15340
Hanisch	w15341
Addresse	w15342
<g/>
,
einberichte	w15344
worden	w15345
<g/>
,
von	w15347
dort	w15348
aus	w15349
aber	w15350
darauf	w15351
bis	w15352
nun	w15353
zu	w15354
keine	w15355
Antwort	w15356
eingelaufen	w15357
<g/>
;
als	w15359
wird	w15360
bemeld=tem	w15361
<g/>
=
Hanisch	w15363
<g/>
,
oder	w15365
dessen	w15366
eheligen	w15367
Leibeserben	w15368
<g/>
,
zu	w15370
folge	w15371
eines	w15372
ergangenen	w15373
höchstpreislich	w15374
kais	w15375
<g/>
.
Reichshofrathskonklust	w15377
vom	w15378
13	w15379
<g/>
.
Novemb	w15381
<g/>
.
1780	w15383
hiemit	w15384
bekannt	w15385
gemacht	w15386
<g/>
,
dieses	w15388
Legats	w15389
wegen	w15390
<g/>
,
binnen	w15392
einer	w15393
6	w15394
monatlichen	w15395
Frist	w15396
<g/>
;
vom	w15398
1	w15399
<g/>
.
Dec	w15401
<g/>
.
</p>
<p id="p114">
1780	w15403
bis	w15404
letzten	w15405
May	w15406
1781	w15407
gerechnet	w15408
<g/>
,
bey	w15410
be=meldten	w15411
<g/>
=
Testamentsexekutor	w15413
rechtsbehörig	w15414
sich	w15415
zu	w15416
legitimiren	w15417
<g/>
,
ausserdem	w15419
aber	w15420
zu	w15421
gewärtigen	w15422
<g/>
,
daß	w15424
efluxo	w15425
termino	w15426
er	w15427
oder	w15428
dieselben	w15429
damit	w15430
präkludirt	w15431
<g/>
,
und	w15433
erwehntes	w15434
Legat	w15435
von	w15436
20	w15437
fl	w15438
<g/>
.
den	w15440
Armen	w15441
zu	w15442
Obersitzka	w15443
in	w15444
Pohlen	w15445
werde	w15446
verab=folgt	w15447
<g/>
=
werden	w15449
<g/>
.
Wien	w15451
den	w15452
25	w15453
<g/>
.
Novemb	w15455
<g/>
.
1780	w15457
<g/>
.
</p>
<p id="p115">
Joh	w15459
<g/>
.
Friedr	w15461
<g/>
.
v	w15463
<g/>
.
Fischer	w15465
F	w15466
<g/>
.
v	w15468
<g/>
.
Ehrenbach	w15470
<g/>
,
kais	w15472
Reichshofrathsagent	w15473
<g/>
,
als	w15475
Exe-cut	w15476
<g/>
-
<g/>
.
Testamenti	w15479
weil	w15480
<g/>
.
Herrn	w15482
Reichs=hofrathsagenten	w15483
<g/>
=
v	w15485
<g/>
.
Stieve	w15487
<g/>
.
</p>
<p id="p116">
Von	w15489
der	w15490
röm	w15491
<g/>
.
k	w15493
<g/>
.
k	w15495
<g/>
.
ap	w15497
<g/>
.
Majest	w15499
nl	w15500
<g/>
.
öst	w15502
<g/>
.
Re=gierung	w15504
<g/>
=
wird	w15506
anmit	w15507
allen	w15508
<g/>
,
den	w15510
hieran	w15511
gelegen	w15512
zu	w15513
wissen	w15514
gemacht	w15515
<g/>
:
Bey	w15517
dieser	w15518
k	w15519
<g/>
.
k	w15521
<g/>
.
ni	w15523
<g/>
.
öst	w15525
<g/>
.
Re=gierung	w15527
<g/>
=
habe	w15529
die	w15530
königl	w15531
<g/>
.
preussische	w15533
Oberamts=regierung	w15534
<g/>
=
zu	w15536
Breßlau	w15537
kraft	w15538
eingelangten	w15539
Er=suchschreibens	w15540
<g/>
=
von	w15542
dato	w15543
Breßlau	w15544
den	w15545
16	w15546
<g/>
.
Okto=ber	w15548
<g/>
=
1780	w15550
das	w15551
freundschaftliche	w15552
Ansinnen	w15553
gemacht	w15554
<g/>
,
womit	w15556
das	w15557
bey	w15558
daselbstiger	w15559
Gerichtsbarkeit	w15560
ver=anlaßte	w15561
<g/>
=
peremptorische	w15563
Citationsedikt	w15564
<g/>
,
gleich=wie	w15566
<g/>
=
dortendes	w15568
<g/>
,
eben	w15570
so	w15571
auch	w15572
hierlandes	w15573
zur	w15574
all=gemeinen	w15575
<g/>
=
Wissenschaft	w15577
öffentlich	w15578
bekannt	w15579
gemacht	w15580
werden	w15581
möchte	w15582
<g/>
,
welchergestalt	w15584
auf	w15585
unterthänig=stes	w15586
<g/>
=
Ansuchen	w15588
des	w15589
fürstl	w15590
<g/>
.
von	w15592
Hazfeldischen	w15593
Ku=rators	w15594
<g/>
=
<g/>
,
des	w15597
Kanonici	w15598
Anton	w15599
Ferdinand	w15600
von	w15601
Rothkirch	w15602
und	w15603
Panthen	w15604
<g/>
,
de	w15606
præspraes	w15607
<g/>
.
30	w15609
<g/>
.
m	w15611
<g/>
.
pr	w15613
<g/>
.
rechtswegen	w15615
beschlossen	w15616
worden	w15617
sey	w15618
<g/>
,
die	w15620
Verlassenschaft	w15621
der	w15622
verstorbenen	w15623
Frau	w15624
Bern=hardine	w15625
<g/>
=
<g/>
,
verwittweten	w15628
Fürstin	w15629
v	w15630
<g/>
.
Hatzfeld	w15632
<g/>
,
ge=bohrnen	w15634
<g/>
=
Gräfin	w15636
von	w15637
Schönborn	w15638
gerichtl	w15639
<g/>
.
aufzu=bieten	w15641
<g/>
=
<g/>
,
und	w15644
alle	w15645
diejenigen	w15646
<g/>
,
die	w15648
daran	w15649
ex	w15650
quo-cunque	w15651
<g/>
-
capite	w15653
einiges	w15654
Recht	w15655
und	w15656
Anfoderung	w15657
zu	w15658
haben	w15659
vermeinen	w15660
<g/>
,
per	w15662
edictales	w15663
ihre	w15664
dies=fällige	w15665
<g/>
=
Jura	w15667
und	w15668
Ansprüche	w15669
anzubringen	w15670
<g/>
,
und	w15672
geltend	w15673
zu	w15674
machen	w15675
<g/>
,
peremptorie	w15677
solchergestalt	w15678
vorladen	w15679
zu	w15680
lassen	w15681
<g/>
,
daß	w15683
sie	w15684
in	w15685
einer	w15686
Zeit	w15687
von	w15688
12	w15689
Wochen	w15690
<g/>
,
vom	w15692
17	w15693
<g/>
.
November	w15695
d	w15696
<g/>
.
J	w15698
<g/>
.
ange=rechnet	w15700
<g/>
=
<g/>
,
davon	w15703
4	w15704
für	w15705
den	w15706
rrsten	w15707
<g/>
,
4	w15709
für	w15710
den	w15711
zweyten	w15712
<g/>
,
und	w15714
4	w15715
für	w15716
den	w15717
dritten	w15718
Termin	w15719
zu	w15720
rech=nen	w15721
<g/>
=
<g/>
,
unfehlbar	w15724
ihre	w15725
vermeintliche	w15726
Ansprüche	w15727
an	w15728
die	w15729
obbemeldte	w15730
Bernhardine	w15731
fürstl	w15732
<g/>
.
v	w15734
<g/>
.
Hatzfel=dische	w15736
<g/>
=
Verlassenschaft	w15738
<g/>
,
und	w15740
wie	w15741
sie	w15742
dieselben	w15743
durch	w15744
untadelhafte	w15745
Dokumenten	w15746
<g/>
,
ober	w15748
auf	w15749
eine	w15750
an=dere	w15751
<g/>
=
rechtsgiltige	w15753
Weise	w15754
zu	w15755
justificiren	w15756
vermö=gen	w15757
<g/>
=
<g/>
,
ad	w15760
acta	w15761
anzeigen	w15762
<g/>
,
dann	w15764
aber	w15765
in	w15766
dem	w15767
letz=ten	w15768
<g/>
=
Termin	w15770
den	w15771
9	w15772
<g/>
.
Febr	w15774
<g/>
.
1781	w15776
vor	w15777
die	w15778
dort=landes	w15779
<g/>
=
hiezu	w15781
authoristirte	w15782
Kommission	w15783
auf	w15784
dem	w15785
königl	w15786
<g/>
.
Oberamte	w15788
Breßlau	w15789
nachmittags	w15790
um	w15791
3	w15792
Uhr	w15793
in	w15794
Person	w15795
<g/>
,
oder	w15797
durch	w15798
gehörig	w15799
legitimirte	w15800
<g/>
,
und	w15802
specialiter	w15803
instruirte	w15804
Mandatarios	w15805
erschei=nen	w15806
<g/>
=
<g/>
,
ihre	w15809
Ansprüche	w15810
an	w15811
mehrbesagte	w15812
Bernhar=dine	w15813
<g/>
=
fürstl	w15815
<g/>
.
v	w15817
<g/>
.
Hatzfeldische	w15819
Verlassenschaft	w15820
ad	w15821
Protocollum	w15822
anmelden	w15823
<g/>
,
ihre	w15825
Legitimationen	w15826
und	w15827
Justifikationen	w15828
ihrer	w15829
Ansprüche	w15830
per	w15831
instru-menta	w15832
<g/>
-
originalia	w15834
<g/>
,
oder	w15836
auf	w15837
andere	w15838
rechtliche	w15839
Weise	w15840
beybringen	w15841
<g/>
,
mit	w15843
dem	w15844
Extrahenten	w15845
<g/>
,
auch	w15847
eventualiter	w15848
den	w15849
Kreditoren	w15850
darüber	w15851
verfahren	w15852
<g/>
,
gütliche	w15854
Handlung	w15855
pflegen	w15856
<g/>
,
auch	w15858
in	w15859
deren	w15860
EntsteEntstehung	w15861
<g/>
=
</p>
<p id="p117">
hung	w15863
rechtliches	w15864
Erkanntniß	w15865
<g/>
,
auch	w15867
Aufrechthal=tung	w15868
<g/>
=
ihrer	w15870
Rechte	w15871
und	w15872
Ansprüche	w15873
<g/>
,
widrigenfalls	w15875
aber	w15876
gewärtigen	w15877
sollen	w15878
<g/>
,
daß	w15880
Extrahent	w15881
nach	w15882
vor=hergegangener	w15883
<g/>
=
Ungehorsamsbeschuldigung	w15885
gegen	w15886
die	w15887
<g/>
,
so	w15889
ihre	w15890
Anprüche	w15891
in	w15892
bestimmter	w15893
Zeit	w15894
<g/>
,
be=sonders	w15896
<g/>
=
in	w15898
dem	w15899
letztern	w15900
Termin	w15901
nicht	w15902
gemel=det	w15903
<g/>
=
<g/>
,
oder	w15906
ihre	w15907
Legitimationen	w15908
und	w15909
Justifikatio=nen	w15910
<g/>
=
nicht	w15912
beygebracht	w15913
haben	w15914
zum	w15915
Vortrage	w15916
in	w15917
cotumaciam	w15918
werde	w15919
admittirt	w15920
<g/>
,
hierauf	w15922
acta	w15923
für	w15924
geschlossen	w15925
werden	w15926
geachtet	w15927
<g/>
,
und	w15929
mit	w15930
Be=friedigung	w15931
<g/>
=
der	w15933
sich	w15934
meldenden	w15935
Gläubiger	w15936
<g/>
,
in	w15938
so	w15939
fern	w15940
die	w15941
Erbschaftsmassa	w15942
zur	w15943
nicht	w15944
nach	w15945
Ord=nung	w15946
<g/>
=
der	w15948
künftigen	w15949
rechtskräftigen	w15950
Prioritäts=sentenz	w15951
<g/>
=
werde	w15953
verfahren	w15954
werden	w15955
<g/>
,
so	w15957
<g/>
,
daß	w15959
in	w15960
Ansehung	w15961
aller	w15962
mehr	w15963
privilegirten	w15964
<g/>
,
stärkern	w15966
<g/>
,
und	w15968
bessern	w15969
Ansprüche	w15970
<g/>
,
so	w15972
wenig	w15973
der	w15974
Erb	w15975
<g/>
,
der	w15977
die	w15978
Zahlung	w15979
leistet	w15980
<g/>
,
als	w15982
der	w15983
Gläubiger	w15984
<g/>
,
der	w15986
sie	w15987
empfängt	w15988
<g/>
,
einer	w15990
Regreß	w15991
<g/>
=
oder	w15993
Vindikations=klage	w15994
<g/>
=
ausgesetzt	w15996
seyn	w15997
soll	w15998
<g/>
.
Gleichwie	w16000
nun	w16001
diese	w16002
k	w16003
<g/>
.
k	w16005
<g/>
.
ni	w16007
<g/>
.
öst	w16009
<g/>
.
Regierung	w16011
dem	w16012
eingangs	w16013
erwehn=ten	w16014
<g/>
=
<g/>
,
von	w16017
einer	w16018
kön	w16019
<g/>
.
preussischen	w16021
Oberamtsre=gierung	w16022
<g/>
=
zu	w16024
Breßlau	w16025
freundschaftlich	w16026
gestellten	w16027
<g/>
,
auf	w16029
die	w16030
Beförderung	w16031
der	w16032
Justizpflege	w16033
abzielenden	w16034
Belangen	w16035
mit	w16036
gleichmässig	w16037
hierländiger	w16038
öffentli=chen	w16039
<g/>
=
Bekanntmachung	w16041
vorerwehnter	w16042
perempto=rischen	w16043
<g/>
=
Ediktalcitation	w16045
statt	w16046
zu	w16047
geben	w16048
<g/>
,
keinen	w16050
Anstand	w16051
genommen	w16052
hat	w16053
<g/>
;
als	w16055
wird	w16056
solches	w16057
an=mit	w16058
<g/>
=
jederman	w16060
<g/>
,
dem	w16062
hieran	w16063
gelegen	w16064
ist	w16065
<g/>
,
zu	w16067
sei=ner	w16068
<g/>
=
Wissenschaft	w16070
und	w16071
behörigen	w16072
Benehmung	w16073
in	w16074
der	w16075
vorzüglichen	w16076
Absicht	w16077
erinnert	w16078
<g/>
,
damit	w16080
ein	w16081
je=der	w16082
<g/>
=
von	w16084
dem	w16085
Nachtheil	w16086
der	w16087
Verabsaumung	w16088
sich	w16089
gleichwohl	w16090
zu	w16091
bewahren	w16092
wissen	w16093
möge	w16094
<g/>
.
Wien	w16096
den	w16097
6	w16098
<g/>
.
November	w16100
1780	w16101
<g/>
.
</p>
<p id="p118">
Malmitz	w16103
unweit	w16104
Sprottau	w16105
den	w16106
4	w16107
<g/>
.
Sept	w16109
<g/>
.
1780	w16111
<g/>
.
</p>
<p id="p119">
Der	w16113
i	w16114
<g/>
.
J	w16116
<g/>
.
1761	w16118
als	w16119
Soldat	w16120
unter	w16121
dem	w16122
kön	w16123
<g/>
.
preussischen	w16125
damaligen	w16126
von	w16127
Krockowschen	w16128
Dra=gonerregiment	w16129
<g/>
=
gestandene	w16131
<g/>
,
und	w16133
unweit	w16134
Dreßden	w16135
verlohren	w16136
gegangene	w16137
Christian	w16138
Erdmann	w16139
Preuß=ner	w16140
<g/>
=
<g/>
,
gebürtig	w16143
aus	w16144
Schadendorf	w16145
unweit	w16146
Sprot=tau	w16147
<g/>
=
gelegen	w16149
<g/>
,
von	w16151
dessen	w16152
Leben	w16153
und	w16154
Aufenthalt	w16155
aber	w16156
keine	w16157
weitere	w16158
Nachricht	w16159
erhalten	w16160
werden	w16161
können	w16162
<g/>
,
allenfalls	w16164
dessen	w16165
etwaigen	w16166
Leibeserben	w16167
werden	w16168
ad	w16169
instantiam	w16170
seiner	w16171
nächsten	w16172
Anver=wandten	w16173
<g/>
=
peremptorie	w16175
vorgeladen	w16176
<g/>
,
in	w16178
dem	w16179
sub	w16180
præjudiciopraejudicio	w16181
auf	w16182
den	w16183
14	w16184
<g/>
.
May	w16186
1781	w16187
anberaum=ten	w16188
<g/>
=
Termin	w16190
früh	w16191
um	w16192
9	w16193
Uhr	w16194
von	w16195
der	w16196
burggräfl	w16197
<g/>
.
und	w16199
gräflich	w16200
von	w16201
Dohna	w16202
Malmitzer	w16203
Kanzley	w16204
per=sönlich	w16205
<g/>
=
<g/>
,
und	w16208
zwar	w16209
die	w16210
Erben	w16211
unter	w16212
Beybringung	w16213
gebührender	w16214
Legitimation	w16215
<g/>
,
oder	w16217
durch	w16218
einen	w16219
hin=länglich	w16220
<g/>
=
bevollmächtigten	w16222
Mandatarium	w16223
der	w16224
mit	w16225
gerichtl	w16226
<g/>
.
Zeugnissen	w16228
ihres	w16229
resp	w16230
<g/>
.
Lebens	w16232
und	w16233
Auf=enthalts	w16234
<g/>
=
<g/>
,
imgleichen	w16237
daß	w16238
die	w16239
etwa	w16240
vorhandene	w16241
Leibeserben	w16242
des	w16243
Abwesenden	w16244
<g/>
,
es	w16246
auch	w16247
wirklich	w16248
sind	w16249
<g/>
,
versehen	w16251
seyn	w16252
muß	w16253
<g/>
,
zu	w16255
erscheinen	w16256
<g/>
,
und	w16258
solchergestalt	w16259
resp	w16260
<g/>
.
daß	w16262
sie	w16263
noch	w16264
am	w16265
Leben	w16266
<g/>
,
oder	w16268
die	w16269
wahre	w16270
Erben	w16271
sind	w16272
<g/>
,
darzuthun	w16274
<g/>
,
im	w16276
aussen=bleibenden	w16277
<g/>
=
Falle	w16279
zu	w16280
gewärtigen	w16281
<g/>
,
daß	w16283
er	w16284
Chri=stian	w16285
<g/>
=
Erdmann	w16287
Preußner	w16288
pro	w16289
mortuo	w16290
erklärt	w16291
<g/>
,
</p>
<p id="p120">
und	w16293
sein	w16294
Vermögen	w16295
<g/>
,
wenn	w16297
sich	w16298
auch	w16299
keine	w16300
Lei=beserben	w16301
<g/>
=
von	w16303
seiner	w16304
Seite	w16305
melden	w16306
und	w16307
legiti=miren	w16308
<g/>
=
sollten	w16310
<g/>
,
gedachten	w16312
seinen	w16313
Anverwandten	w16314
als	w16315
nächsten	w16316
Jntestaterben	w16317
werds	w16318
zugeeignet	w16319
werden	w16320
<g/>
.
</p>
<p id="p121">
Demnach	w16322
Andre	w16323
Stock	w16324
<g/>
,
ein	w16326
der	w16327
gräfl	w16328
<g/>
.
Zin=zendorfischen	w16330
<g/>
=
Herrschaft	w16332
Enzesfeld	w16333
in	w16334
Ni	w16335
<g/>
.
Oe	w16337
<g/>
.
V	w16339
<g/>
.
U	w16341
<g/>
.
W	w16343
<g/>
.
W	w16345
<g/>
.
angehöriger	w16347
Pupill	w16348
<g/>
,
aus	w16350
dem	w16351
hieher	w16352
unterwürfigen	w16353
Markte	w16354
Leoberstorf	w16355
<g/>
,
und	w16357
erlernter	w16358
Fleischhacker	w16359
<g/>
,
bereits	w16361
schon	w16362
über	w16363
32	w16364
Jahre	w16365
lang	w16366
unwissend	w16367
<g/>
,
demselben	w16369
aber	w16370
eine	w16371
väterliche	w16372
Erbschaft	w16373
<g/>
,
die	w16375
samt	w16376
bis	w16377
nunzu	w16378
ange=wachsenen	w16379
<g/>
=
Jnteressen	w16381
222	w16382
fl	w16383
<g/>
.
23	w16385
3	w16386
<g/>
/
4	w16388
kr	w16389
<g/>
.
be=trägt	w16391
<g/>
=
<g/>
,
angefallen	w16394
<g/>
,
und	w16396
zur	w16397
dasig	w16398
herrschaftlichen	w16399
Waisenkasse	w16400
depositirt	w16401
worden	w16402
ist	w16403
<g/>
;
als	w16405
wird	w16406
er	w16407
Andre	w16408
Stock	w16409
<g/>
,
oder	w16411
dessen	w16412
vorhandene	w16413
Leibes=erben	w16414
<g/>
=
zur	w16416
Aushebung	w16417
gesagter	w16418
Erbschaft	w16419
der=gestalt	w16420
<g/>
=
sub	w16422
termino	w16423
præclusipraeclusi	w16424
fürgefodert	w16425
<g/>
,
daß	w16427
er	w16428
oder	w16429
desselben	w16430
Erben	w16431
binnen	w16432
1	w16433
Jahr	w16434
<g/>
,
6	w16436
Wo=chen	w16437
<g/>
=
und	w16439
3	w16440
Tägen	w16441
zu	w16442
dem	w16443
Ende	w16444
anher	w16445
nach	w16446
Enzesfeld	w16447
peremptorie	w16448
erscheinen	w16449
sollen	w16450
<g/>
,
wi=drigenfalls	w16452
<g/>
=
sothaner	w16454
Betrag	w16455
seinen	w16456
vorfindigen	w16457
4	w16458
Geschwistrigten	w16459
ex	w16460
officio	w16461
und	w16462
ohne	w16463
weiterer	w16464
Anstandnehmung	w16465
extradiret	w16466
werden	w16467
wurde	w16468
<g/>
.
Enzesfeld	w16470
den	w16471
31	w16472
<g/>
.
Jenner	w16474
1780	w16475
<g/>
.
</p>
<head id="hl26">
Obersthofmarschall	w16477
ꝛc	w16478
<g/>
.
</head>
<p id="p122">
Geben	w16480
hiemit	w16481
des	w16482
cum	w16483
testamento	w16484
nuncu-pativo	w16485
<g/>
-
letzthin	w16487
verstorbenen	w16488
Johann	w16489
Müller	w16490
<g/>
,
gewesten	w16492
Provisors	w16493
in	w16494
der	w16495
k	w16496
<g/>
.
k	w16498
<g/>
.
Hofapotheken	w16500
<g/>
,
und	w16502
Hofpensionisten	w16503
