<doc id="wr_1760-03-05" attrs="word" year="1760" month="03" day="05" corpus="2">
<head id="h2_d429e3121">
Aus	w1_d429e3125
geratene	w5_d429e13929
Verlassenschaft	w7_d429e13932
einen	w9_d429e13935
ordent	w11_d429e13938
lichen	w1_d429e13943
Concurs	w3_d429e13946
anzuordnen,	w5_d429e13949
und	w7_d429e13952
desselben	w9_d429e13955
sam	w11_d429e13958
mentliche,	w1_d429e13963
sowol	w3_d429e13966
in	w5_d429e13969
als	w7_d429e13972
ausser	w9_d429e13975
Land	w11_d429e13978
befindliche	w13_d429e13982
Glaubigere	w1_d429e13987
zu	w3_d429e13990
Anmeld	w5_d429e13993
und	w7_d429e13996
Liquidirung	w9_d429e13999
ihrer	w11_d429e14002
an	w13_d429e14006
erst=bemeldten	w1_d429e14012
Carl	w3_d429e14015
Purian	w5_d429e14018
zu	w7_d429e14021
stellen	w9_d429e14024
habender	w11_d429e14027
Sprüch	w1_d429e14032
und	w3_d429e14035
Forderung	w5_d429e14038
einzuberuffen;	w7_d429e14041
zu	w9_d429e14044
wel	w11_d429e14047
chem	w1_d429e14052
Ende	w3_d429e14055
denenselben	w5_d429e14058
der	w7_d429e14061
15.	w9_d429e14064
Tag	w11_d429e14067
des	w13_d429e14071
künfti	w15_d429e14074
gen	w1_d429e14079
Monats	w3_d429e14082
Martii	w5_d429e14085
Nachmittags	w7_d429e14088
um	w9_d429e14091
4.	w11_d429e14094
Uhr	w13_d429e14098
zur	w15_d429e14101
gewöhnlichen	w1_d429e14107
Tagsatzung	w3_d429e14110
für	w5_d429e14113
die	w7_d429e14116
erstandert	w9_d429e14119
und	w11_d429e14122
dritte,	w1_d429e14127
auch	w3_d429e14130
all=endliche	w5_d429e14133
Frist	w7_d429e14136
sub	w9_d429e14139
clausula	w11_d429e14142
præ-	w13_d429e14146
clusi	w1_d429e14151
anberaumet	w3_d429e14154
worden.	w5_d429e14157
Solchemnach	w7_d429e14160
werden	w9_d429e14163
all	w1_d429e14168
und	w3_d429e14171
jede,	w5_d429e14174
welche	w7_d429e14177
an	w9_d429e14180
gedacht	w11_d429e14183
Carl	w13_d429e14187
Puriani	w15_d429e14190
scher	w1_d429e14196
nunmehro	w3_d429e14199
ad	w5_d429e14202
Concursum	w7_d429e14205
gediehene	w9_d429e14208
Ver	w11_d429e14211
lassenschafts=massam	w1_d429e14216
ex	w3_d429e14219
quacunque	w5_d429e14222
causa,	w7_d429e14225
vel	w9_d429e14228
titulo	w1_d429e14233
Sprüch	w3_d429e14236
und	w5_d429e14239
Anforderung	w7_d429e14242
haben,	w9_d429e14245
oder	w11_d429e14248
zu	w13_d429e14252
haben	w1_d429e14257
vermeinen,	w3_d429e14260
an	w5_d429e14263
obbestimmten	w7_d429e14266
Tag,	w9_d429e14269
und	w11_d429e14272
Stund	w1_d429e14278
vor	w3_d429e14281
Regierung	w5_d429e14284
in	w7_d429e14287
der	w9_d429e14290
daselbst	w11_d429e14293
zu	w13_d429e14297
solchem	w15_d429e14300
Ende	w1_d429e14305
offen	w3_d429e14308
haltenden	w5_d429e14311
Commißions=stuben	w7_d429e14314
ent	w9_d429e14317
weders	w1_d429e14322
selbst	w3_d429e14325
persenlich,	w5_d429e14328
oder	w7_d429e14331
durch	w9_d429e14334
hiezu	w11_d429e14337
genug	w13_d429e14341
sam	w1_d429e14346
gevollmächtigte	w3_d429e14349
Gewalt=tragere	w5_d429e14352
also	w7_d429e14355
gewiß	w9_d429e14358
zu	w1_d429e14364
erscheinen,	w3_d429e14367
und	w5_d429e14370
ihre	w7_d429e14373
an	w9_d429e14376
solche	w11_d429e14379
Crida	w13_d429e14383
massa	w15_d429e14386
habende	w1_d429e14391
Anforderungen	w3_d429e14394
anzumelden,	w5_d429e14397
auch	w7_d429e14400
zu	w9_d429e14403
Herstellung	w1_d429e14408
des	w3_d429e14411
erforderlich=rechtlichen	w5_d429e14414
Beweis	w7_d429e14417
tum	w1_d429e14422
ihre	w3_d429e14425
Schuld	w5_d429e14428
und	w7_d429e14431
Satz=brief,	w9_d429e14434
oder	w11_d429e14437
ansonsten	w13_d429e14441
</p>
<p id="p8_d429e14444">
habende	w1_d429e14448
Liquidations=urkunden,	w3_d429e14451
und	w5_d429e14454
rechtliche	w7_d429e14457
Behelf	w1_d429e14462
in	w3_d429e14465
beglaubten	w5_d429e14468
Abschriften	w7_d429e14471
einzulegen	w9_d429e14474
ha	w11_d429e14477
ben,	w1_d429e14482
wie	w3_d429e14485
im	w5_d429e14488
widrigen	w7_d429e14491
der	w9_d429e14494
Ausbleibende	w11_d429e14497
von	w13_d429e14501
ge	w15_d429e14504
genwärtiger	w1_d429e14510
Concurs=massa	w3_d429e14513
gänzlich	w5_d429e14516
ausgeschlos	w7_d429e14519
fen	w1_d429e14524
seyn,	w3_d429e14527
und	w5_d429e14530
ihme	w7_d429e14533
diesfalls	w9_d429e14536
das	w11_d429e14539
ewige	w13_d429e14543
Still	w15_d429e14546
schweigen	w1_d429e14551
auferleget;	w3_d429e14554
der	w5_d429e14557
nicht	w7_d429e14560
Liquidirende	w9_d429e14563
aber	w11_d429e14566
in	w1_d429e14571
der	w3_d429e14574
künftigen	w5_d429e14577
Claßification	w7_d429e14580
mit	w9_d429e14583
seiner	w11_d429e14586
uner	w13_d429e14590
wiesenen	w1_d429e14596
Anforderung	w3_d429e14599
abgewiesen	w5_d429e14602
werden	w7_d429e14605
solle.	w9_d429e14608
Wornach	w1_d429e14613
sich	w3_d429e14616
ein	w5_d429e14619
jeder	w7_d429e14622
zu	w9_d429e14625
richten,	w11_d429e14628
und	w13_d429e14632
vor	w15_d429e14635
Scha	w17_d429e14638
den	w1_d429e14643
zu	w3_d429e14646
hüten	w5_d429e14649
wissen	w7_d429e14652
wird.	w9_d429e14655
So	w11_d429e14658
beschehen	w13_d429e14662
Wien	w15_d429e14665
den	w1_d429e14670
21.	w3_d429e14673
Januarii	w5_d429e14676
1760.	w7_d429e14679
</p>
<p id="p10_d429e14682">
Den	w1_d429e14686
17.	w3_d429e14689
Martii	w5_d429e14692
dies	w7_d429e14695
lauffenden	w9_d429e14698
1760sten	w11_d429e14701
Jahrs	w13_d429e14705
fruh	w1_d429e14710
um	w3_d429e14713
9.	w5_d429e14716
Uhr	w7_d429e14719
werden	w9_d429e14722
in	w11_d429e14725
des	w13_d429e14729
Stifts	w15_d429e14732
und	w17_d429e14735
Clo	w19_d429e14738
ster	w1_d429e14743
Maurbachischen	w3_d429e14746
Grund=stuben	w5_d429e14749
im	w7_d429e14752
Seitzer	w9_d429e14755
hof	w1_d429e14761
in	w3_d429e14764
Wien	w5_d429e14767
des	w7_d429e14770
verstorbenen	w9_d429e14773
Joseph	w11_d429e14776
Saudler,	w13_d429e14780
der	w1_d429e14785
Pfarr	w3_d429e14788
Hütldorf	w5_d429e14791
Untorthan	w7_d429e14794
in	w9_d429e14797
oberen	w11_d429e14800
Spie	w13_d429e14804
geln	w1_d429e14809
alda	w3_d429e14812
gelegene	w5_d429e14815
8.	w7_d429e14818
ein	w9_d429e14821
halb	w11_d429e14824
Tagwerk	w13_d429e14828
Uberländ	w15_d429e14831
wiesen	w1_d429e14836
dem	w3_d429e14839
Meistbietenden	w5_d429e14842
licitando	w7_d429e14845
verkauffet	w9_d429e14848
werden.	w1_d429e14854
Wer	w3_d429e14857
demnach	w5_d429e14860
sothane	w7_d429e14863
Grund=stück	w9_d429e14866
käuf	w11_d429e14869
lich	w1_d429e14874
an	w3_d429e14877
sich	w5_d429e14880
zu	w7_d429e14883
bringen	w9_d429e14886
gedenket,	w11_d429e14889
kan	w13_d429e14893
sich	w15_d429e14896
an	w17_d429e14899
ob	w19_d429e14902
besagten	w1_d429e14907
Tag	w3_d429e14910
und	w5_d429e14913
Stund	w7_d429e14916
alda	w9_d429e14919
einfinden.	w11_d429e14922
</p>
<p id="p12_d429e14926">
Es	w1_d429e14930
ist	w3_d429e14933
zu	w5_d429e14936
Ober=döbling	w7_d429e14939
das	w9_d429e14942
Haymerlische	w11_d429e14945
Haus,	w13_d429e14949
bestehend	w1_d429e14954
in	w3_d429e14957
7.	w5_d429e14960
grossen	w7_d429e14963
Zimmern,	w9_d429e14966
einer	w11_d429e14969
grossen	w13_d429e14973
Kuchen,	w1_d429e14978
grossen	w3_d429e14981
und	w5_d429e14984
guten	w7_d429e14987
Wein=keller	w9_d429e14990
und	w11_d429e14993
Preß,	w1_d429e14999
nebst	w3_d429e15002
einem	w5_d429e15005
Obst=garten,	w7_d429e15008
samt	w9_d429e15011
denen	w11_d429e15014
al	w13_d429e15018
da	w1_d429e15023
befindlichen	w3_d429e15026
Meublen,	w5_d429e15029
und	w7_d429e15032
Billiard	w9_d429e15035
zu	w11_d429e15038
ver	w13_d429e15042
kauffen,	w1_d429e15047
oder	w3_d429e15050
auch	w5_d429e15053
in	w7_d429e15056
Bestand	w9_d429e15059
zu	w11_d429e15062
verlassen;	w13_d429e15066
wer	w15_d429e15069
bemnach	w1_d429e15074
dieses	w3_d429e15077
Haus	w5_d429e15080
käuflich	w7_d429e15083
an	w9_d429e15086
sich	w11_d429e15089
bringen,	w13_d429e15093
oder	w1_d429e15099
in	w3_d429e15102
Bestand	w5_d429e15105
nehmen	w7_d429e15108
will,	w9_d429e15111
kan	w11_d429e15114
sich	w13_d429e15118
bey	w15_d429e15121
Herrn	w17_d429e15124
Georg	w1_d429e15129
Röder	w3_d429e15132
im	w5_d429e15135
Senselischen	w7_d429e15138
Haus	w9_d429e15141
neben	w11_d429e15144
dem	w13_d429e15148
Seitzer=hof	w1_d429e15153
im	w3_d429e15156
ersten	w5_d429e15159
Stock	w7_d429e15162
anmelden.	w9_d429e15165
</p>
<p id="p14_d429e15168">
Es	w1_d429e15172
ist	w3_d429e15175
auf	w5_d429e15178
Absterben	w7_d429e15181
des	w9_d429e15184
Joseph	w11_d429e15187
Kropfbergers,	w13_d429e15191
gewest=Burgerl.	w1_d429e15196
Handels=mann	w3_d429e15199
im	w5_d429e15202
Markt	w7_d429e15205
Trais	w9_d429e15208
mauer	w1_d429e15213
dessen	w3_d429e15216
hinterlassenes	w5_d429e15219
Vermögen	w7_d429e15222
ad	w9_d429e15225
Cridam	w11_d429e15228
gediehen,	w1_d429e15234
und	w3_d429e15237
zu	w5_d429e15240
Claßificirung	w7_d429e15243
deren	w9_d429e15246
Creditoren	w11_d429e15249
der	w1_d429e15254
24.	w3_d429e15257
Tag	w5_d429e15260
des	w7_d429e15263
Monats	w9_d429e15266
Martii	w11_d429e15269
dies	w13_d429e15273
Jahrs	w15_d429e15276
Fruh	w17_d429e15279
um	w1_d429e15284
8.	w3_d429e15287
Uhr	w5_d429e15290
im	w7_d429e15293
alhiesig	w9_d429e15296
Traismaurerischen	w11_d429e15299
Rahts	w13_d429e15303
haus	w1_d429e15308
anberaumet	w3_d429e15311
worden.	w5_d429e15314
</p>
<p id="p16_d429e15317">
Es	w1_d429e15321
dienet	w3_d429e15324
zur	w5_d429e15327
Nachricht,	w7_d429e15330
daß	w9_d429e15333
ein	w11_d429e15336
ganz	w13_d429e15340
neu	w15_d429e15343
vier	w17_d429e15346
sitziger	w1_d429e15351
Berliner=wagen,	w3_d429e15354
mit	w5_d429e15357
fein	w7_d429e15360
grünen	w9_d429e15363
Tüch	w11_d429e15366
gefütert,	w1_d429e15371
und	w3_d429e15374
Crepinen	w5_d429e15377
garnirt;	w7_d429e15380
in	w9_d429e15383
der	w11_d429e15386
Stadt,	w13_d429e15390
und	w1_d429e15396
auf	w3_d429e15399
Reisen	w5_d429e15402
zu	w7_d429e15405
führen,	w9_d429e15408
dann	w11_d429e15411
1.	w13_d429e15415
grün	w15_d429e15418
glatter,	w17_d429e15421
und	w1_d429e15426
1.	w3_d429e15429
alter	w5_d429e15432
roter	w7_d429e15435
Schwimmer,	w9_d429e15438
nebst	w11_d429e15441
2.	w13_d429e15445
baar	w15_d429e15448
be	w17_d429e15451
schlagenen,	w1_d429e15456
und	w3_d429e15459
1.	w5_d429e15462
baar	w7_d429e15465
glatten	w9_d429e15468
Pferd=geschirren,	w11_d429e15471
etwelche	w1_d429e15476
Officiers=paraquen,	w3_d429e15479
und	w5_d429e15482
3.	w7_d429e15485
neue	w9_d429e15488
rote	w11_d429e15491
Maulthier=decken,	w1_d429e15497
um	w3_d429e15500
billichen	w5_d429e15503
Preis	w7_d429e15506
zu	w9_d429e15509
verkauf	w11_d429e15512
fen,	w1_d429e15517
und	w3_d429e15520
nach	w5_d429e15523
Belieben	w7_d429e15526
alltäglich	w9_d429e15529
im	w11_d429e15532
grünen	w13_d429e15536
Väßel	w1_d429e15541
nächst	w3_d429e15544
Maria=hülf,	w5_d429e15547
bey	w7_d429e15550
dem	w9_d429e15553
Haus=herrn	w11_d429e15556
allda	w1_d429e15561
anzusehen	w3_d429e15564
seynd.	w5_d429e15567
</p>
<p id="p18_d429e15570">
Es	w1_d429e15574
ist	w3_d429e15577
der	w5_d429e15580
auf	w7_d429e15583
dem	w9_d429e15586
Schotten=grund	w11_d429e15589
am	w13_d429e15593
Neu	w15_d429e15596
bau	w1_d429e15601
unweit	w3_d429e15604
Maria=Hülf	w5_d429e15607
an	w7_d429e15610
der	w9_d429e15613
Schonbrunner	w11_d429e15616
strassen	w1_d429e15621
ligende	w3_d429e15624
Gräfl.	w5_d429e15627
Andlerische	w7_d429e15630
Garten	w9_d429e15633
(wel	w11_d429e15636
chen	w1_d429e15642
Titl.	w3_d429e15645
Herr	w5_d429e15648
Baron	w7_d429e15651
von	w9_d429e15654
Koch	w11_d429e15657
durch	w13_d429e15661
viele	w15_d429e15664
Jahr	w1_d429e15669
im	w3_d429e15672
Bestand	w5_d429e15675
gehabt)	w7_d429e15678
so	w9_d429e15681
in	w11_d429e15684
15.	w13_d429e15688
Zimmern,	w15_d429e15691
einem	w1_d429e15696
grossen	w3_d429e15699
Saal,	w5_d429e15702
Salaterrena,	w7_d429e15705
Wagenschu	w9_d429e15708
</p>
<p id="p24_d429e15722">
pfen,	w1_d429e15726
Stallung,	w3_d429e15729
Keller,	w5_d429e15732
Eis=gruben	w7_d429e15735
bestehet,	w9_d429e15738
nebst	w1_d429e15743
anderen	w3_d429e15746
Zugehörungen,	w5_d429e15749
auf	w7_d429e15752
künftigen	w9_d429e15755
St.	w11_d429e15758
Ge	w13_d429e15762
orgii	w1_d429e15767
mobilirter	w3_d429e15770
zu	w5_d429e15773
verlassen;	w7_d429e15776
wer	w9_d429e15779
solches	w11_d429e15782
Garten	w13_d429e15786
haus	w1_d429e15792
in	w3_d429e15795
Bestand	w5_d429e15798
nehmen	w7_d429e15801
will,	w9_d429e15804
beliebe	w11_d429e15807
sich	w13_d429e15811
des	w15_d429e15814
Weiteren	w1_d429e15819
bey	w3_d429e15822
dem	w5_d429e15825
alldaselbst	w7_d429e15828
befindlichen	w9_d429e15831
Haus	w11_d429e15834
inspector	w1_d429e15839
zu	w3_d429e15842
erkundigen.	w5_d429e15845
NB.	w1_d429e15850
Wobey	w3_d429e15853
auch	w5_d429e15856
eine	w7_d429e15859
für	w9_d429e15862
jedermann	w11_d429e15865
offentliche	w13_d429e15869
</p>
<p id="p26_d429e15872">
Haus=capelle,	w1_d429e15876
worinn	w3_d429e15879
die	w5_d429e15882
gestiften	w7_d429e15885
heiligen	w9_d429e15888
Mes	w11_d429e15891
sen	w1_d429e15896
täglich	w3_d429e15899
gelesen	w5_d429e15902
werden.	w7_d429e15905
</p>
<p id="p28_d429e15908">
Es	w1_d429e15912
dienet	w3_d429e15915
dem	w5_d429e15918
Publico	w7_d429e15921
zur	w9_d429e15924
Nachricht,	w11_d429e15927
daß	w13_d429e15931
den	w1_d429e15936
17.	w3_d429e15939
Martii	w5_d429e15942
a.	w7_d429e15945
c.	w9_d429e15948
in	w11_d429e15951
dem	w13_d429e15955
Adelsburgischen	w15_d429e15958
Haus	w1_d429e15963
bey	w3_d429e15966
unsern	w5_d429e15969
HErrn,	w7_d429e15972
dem	w9_d429e15975
grossen	w11_d429e15978
Christoph	w13_d429e15982
über	w1_d429e15988
im	w3_d429e15991
zweyten	w5_d429e15994
Stock,	w7_d429e15997
ein	w9_d429e16000
schöner	w11_d429e16003
Vorrat	w13_d429e16007
von	w15_d429e16010
Historischen	w1_d429e16015
und	w3_d429e16018
Juristischen	w5_d429e16021
Büchern,	w7_d429e16024
licitando	w9_d429e16027
sollen	w1_d429e16032
verkauffet	w3_d429e16035
werden.	w5_d429e16038
</p>
<p id="p30_d429e16041">
Der	w1_d429e16045
Catalogus	w3_d429e16048
ist	w5_d429e16051
in	w7_d429e16054
der	w9_d429e16057
Buchhandlung	w11_d429e16060
zum	w13_d429e16064
goldenen	w1_d429e16069
Vließ	w3_d429e16072
auf	w5_d429e16075
der	w7_d429e16078
hohen	w9_d429e16081
Brucken,	w11_d429e16084
gratis	w13_d429e16088
zu	w1_d429e16093
bekommen.	w3_d429e16096
</p>
<p id="p32_d429e16099">
Von	w1_d429e16103
des	w3_d429e16106
Kaiserl.	w5_d429e16109
Königl.	w7_d429e16112
Judicii	w9_d429e16115
Delegati	w11_d429e16118
Mixti	w13_d429e16122
in	w1_d429e16127
Militaribus	w3_d429e16130
im	w5_d429e16133
Erz=herzogtum	w7_d429e16136
Oesterreich	w9_d429e16139
un	w11_d429e16142
ter	w1_d429e16147
und	w3_d429e16150
ob	w5_d429e16153
der	w7_d429e16156
Enns	w9_d429e16159
wegen,	w11_d429e16162
wird	w13_d429e16166
hiemit	w15_d429e16169
durch	w17_d429e16172
dieses	w1_d429e16178
offentliche	w3_d429e16181
Edict	w5_d429e16184
denen	w7_d429e16187
Paul	w9_d429e16190
Feyerabendi	w11_d429e16193
schen	w1_d429e16198
Erben,	w3_d429e16201
auch	w5_d429e16204
allenfalligen	w7_d429e16207
Creditoren	w9_d429e16210
kund	w11_d429e16213
und	w1_d429e16218
zu	w3_d429e16221
wissen	w5_d429e16224
gemacht:	w7_d429e16227
Es	w9_d429e16230
habe	w11_d429e16233
der	w13_d429e16237
Joseph	w15_d429e16240
Flei	w17_d429e16243
scher	w1_d429e16248
angezeiget,	w3_d429e16251
welcher	w5_d429e16254
gestalten	w7_d429e16257
seine	w9_d429e16260
Schwe	w11_d429e16263
ster	w1_d429e16269
Theresia	w3_d429e16272
Fleischerin	w5_d429e16275
seel.	w7_d429e16278
wegen	w9_d429e16281
an	w11_d429e16284
der	w13_d429e16288
Ober	w15_d429e16291
Kriegs=commissari	w1_d429e16296
Ruprechthofischen	w3_d429e16299
Wittib	w5_d429e16302
ha	w7_d429e16305
benden	w1_d429e16310
Forderungs=rest	w3_d429e16313
pr.	w5_d429e16316
18.	w7_d429e16319
fl.	w9_d429e16322
57.	w11_d429e16325
kr.	w13_d429e16329
auf	w15_d429e16332
die	w1_d429e16337
ihr	w3_d429e16340
Ruprechtshofischen	w5_d429e16343
Frauen	w7_d429e16346
Wittib	w9_d429e16349
gefallene	w11_d429e16352
Jnteresse=halbscheid	w1_d429e16358
zwar	w3_d429e16361
gerichtlich	w5_d429e16364
vorgemer	w7_d429e16367
ket	w1_d429e16372
worden,	w3_d429e16375
solche	w5_d429e16378
aber	w7_d429e16381
ihme	w9_d429e16384
als	w11_d429e16387
Ruprechtsho	w13_d429e16391
sischen	w1_d429e16396
Creditori	w3_d429e16399
posteriore	w5_d429e16402
nomine	w7_d429e16405
seiner	w9_d429e16408
Schwe	w11_d429e16411
ster	w1_d429e16416
ehe	w3_d429e16419
nicht	w5_d429e16422
erfolget	w7_d429e16425
wurden,	w9_d429e16428
bis	w11_d429e16431
nicht	w13_d429e16435
vorhero	w15_d429e16438
der	w1_d429e16444
Paul	w3_d429e16447
Feyerabend,	w5_d429e16450
nunmehro	w7_d429e16453
aber	w9_d429e16456
nach	w11_d429e16459
Ab	w13_d429e16463
leiben	w1_d429e16468
dessen	w3_d429e16471
Erben,	w5_d429e16474
oder	w7_d429e16477
allenfallige	w9_d429e16480
Creditores	w11_d429e16483
zur	w1_d429e16488
AnmeldLegitimir	w3_d429e16491
und	w5_d429e16494
Liquidirung	w7_d429e16497
der	w9_d429e16500
eben	w11_d429e16503
mäßig=auf	w1_d429e16508
erst=besagte	w3_d429e16511
Jnteressen	w5_d429e16514
vorgemerkten	w7_d429e16517
Forderung	w1_d429e16523
pr.	w3_d429e16526
114.	w5_d429e16529
fl.	w7_d429e16532
51.	w9_d429e16535
kr.	w11_d429e16538
per	w13_d429e16542
Edictum	w15_d429e16545
ad	w17_d429e16548
valvas	w1_d429e16553
convociret	w3_d429e16556
werden,	w5_d429e16559
und	w7_d429e16562
dahero	w9_d429e16565
um	w11_d429e16568
de	w13_d429e16572
ren	w1_d429e16577
Ausfertigung	w3_d429e16580
gebetten;	w5_d429e16583
gleichwie	w7_d429e16586
nun	w9_d429e16589
auch	w11_d429e16592
hierein	w1_d429e16597
gewilliget,	w3_d429e16600
und	w5_d429e16603
zu	w7_d429e16606
diesem	w9_d429e16609
Ende	w11_d429e16612
der	w13_d429e16616
26.	w15_d429e16619
April	w1_d429e16625
dies	w3_d429e16628
Jahrs	w5_d429e16631
fruh	w7_d429e16634
um	w9_d429e16637
9.	w11_d429e16640
Uhr	w13_d429e16644
bey	w15_d429e16647
dieses	w17_d429e16650
Kaiserl.	w1_d429e16655
Königl.	w3_d429e16658
Judicii	w5_d429e16661
Delegati	w7_d429e16664
mixti	w9_d429e16667
in	w11_d429e16670
Mili-	w13_d429e16674
taribus	w1_d429e16679
auf	w3_d429e16682
der	w5_d429e16685
Seiler=stadt	w7_d429e16688
in	w9_d429e16691
der	w11_d429e16694
sogenannten	w13_d429e16698
Hollerstanden	w1_d429e16703
im	w3_d429e16706
ersten	w5_d429e16709
Stock	w7_d429e16712
befindlichen	w9_d429e16715
Cauz	w11_d429e16718
len	w1_d429e16724
sub	w3_d429e16727
clausula	w5_d429e16730
præclusi	w7_d429e16733
pro	w9_d429e16736
1mo.	w11_d429e16739
2do	w13_d429e16743
&	w15_d429e16746
3tio.	w17_d429e16749
Termmo	w1_d429e16754
zu	w3_d429e16757
erscheinen	w5_d429e16760
bestimmet	w7_d429e16763
worden	w9_d429e16766
ist.	w11_d429e16769
</p>
<p id="p34_d429e16772">
Solchemnach	w1_d429e16776
werden	w3_d429e16779
sie	w5_d429e16782
Paul	w7_d429e16785
Feyerabendische	w9_d429e16788
Erben,	w1_d429e16793
oder	w3_d429e16796
allenfalls	w5_d429e16799
dessen	w7_d429e16802
Glaubigere	w9_d429e16805
an	w11_d429e16808
be	w13_d429e16812
sagtem	w1_d429e16817
Tag	w3_d429e16820
und	w5_d429e16823
Stund	w7_d429e16826
entweder	w9_d429e16829
selbst	w11_d429e16832
persönlich,	w13_d429e16836
oder	w1_d429e16842
durch	w3_d429e16845
genugsam	w5_d429e16848
Bevollmächtigte	w7_d429e16851
also	w9_d429e16854
gewiß	w11_d429e16857
zu	w1_d429e16862
erscheinen,	w3_d429e16865
und	w5_d429e16868
ihre	w7_d429e16871
habende	w9_d429e16874
Erb=sprüche,	w11_d429e16877
oder	w1_d429e16882
Anforderungen	w3_d429e16885
anzumelden,	w5_d429e16888
und	w7_d429e16891
rechts	w9_d429e16894
be	w11_d429e16897
ständig	w1_d429e16902
zu	w3_d429e16905
liquidiren	w5_d429e16908
wissen,	w7_d429e16911
als	w9_d429e16914
im	w11_d429e16917
widrigen	w13_d429e16921
dem	w15_d429e16924
Joseph	w1_d429e16930
Fleischer	w3_d429e16933
die	w5_d429e16936
sororio	w7_d429e16939
nomine	w9_d429e16942
annoch	w11_d429e16945
zu	w13_d429e16949
for	w15_d429e16952
deren	w1_d429e16957
habende	w3_d429e16960
18.	w5_d429e16963
fl.	w7_d429e16966
57.	w9_d429e16969
kr.	w11_d429e16972
auf	w13_d429e16976
Anlangen	w15_d429e16979
ex	w17_d429e16982
offi-	w19_d429e16985
cio	w1_d429e16990
ausgefolget	w3_d429e16993
werden	w5_d429e16996
sollen.	w7_d429e16999
Wornach	w9_d429e17002
sich	w11_d429e17005
also	w13_d429e17009
</p>
<p id="p36_d429e17013">
ein	w1_d429e17017
jeder	w3_d429e17020
Jntereßirter	w5_d429e17023
zu	w7_d429e17026
richten,	w9_d429e17029
und	w11_d429e17032
seinem	w13_d429e17036
Recht	w1_d429e17041
zu	w3_d429e17044
mvigiliren	w5_d429e17047
wissen	w7_d429e17050
wird	w9_d429e17053
—	w1_d429e17058
</p>
<p id="p38_d429e17061">
Von	w1_d429e17065
der	w3_d429e17068
Hoch=freyherrlich=Tintoschen	w5_d429e17071
Herr	w7_d429e17074
schaft	w1_d429e17079
Enzerstorf	w3_d429e17082
an	w5_d429e17085
der	w7_d429e17088
Fischa,	w9_d429e17091
wird	w11_d429e17094
hiemit	w13_d429e17098
je	w15_d429e17101
dermänniglich	w1_d429e17106
kund	w3_d429e17109
und	w5_d429e17112
zu	w7_d429e17115
wissen	w9_d429e17118
gemacht,	w11_d429e17121
wel	w13_d429e17125
chergestalten	w1_d429e17131
die	w3_d429e17134
Nohtdurft	w5_d429e17137
erheischet,	w7_d429e17140
daß	w9_d429e17143
über	w11_d429e17146
das	w1_d429e17151
von	w3_d429e17154
dem	w5_d429e17157
Adam	w7_d429e17160
Altfart,	w9_d429e17163
behausten	w11_d429e17166
Unterthan	w13_d429e17170
zu	w1_d429e17175
erdeuten	w3_d429e17178
Enzerstorf	w5_d429e17181
an	w7_d429e17184
der	w9_d429e17187
Fischa	w11_d429e17190
vorhandenen	w13_d429e17194
Es	w1_d429e17199
alienum	w3_d429e17202
ausfindig	w5_d429e17205
gemacht	w7_d429e17208
werde;	w9_d429e17211
Als	w11_d429e17214
hat	w13_d429e17218
man	w1_d429e17224
durch	w3_d429e17227
gegenwärtig=offentliches	w5_d429e17230
Edict	w7_d429e17233
eine	w9_d429e17236
cum	w1_d429e17241
Termino	w3_d429e17244
1mo.	w5_d429e17247
2do.	w7_d429e17250
3ti6.	w9_d429e17253
&	w11_d429e17256
præcldsi	w13_d429e17260
Cen	w15_d429e17263
vocations=tagsatzung	w1_d429e17268
auf	w3_d429e17271
den	w5_d429e17274
13.	w7_d429e17277
künftigen	w9_d429e17280
Mo	w11_d429e17283
nats	w1_d429e17288
May	w3_d429e17291
anzuberaumen	w5_d429e17294
für	w7_d429e17297
nöhtig	w9_d429e17300
erfunden.	w11_d429e17303
Diesemnach	w1_d429e17309
werden	w3_d429e17312
all	w5_d429e17315
und	w7_d429e17318
jede,	w9_d429e17321
die	w11_d429e17324
hieran	w13_d429e17328
Sprüch	w1_d429e17333
haben,	w3_d429e17336
oder	w5_d429e17339
zu	w7_d429e17342
haben	w9_d429e17345
vermeinen,	w11_d429e17348
an	w13_d429e17352
obbemeldeten	w1_d429e17357
Tag	w3_d429e17360
fruh	w5_d429e17363
um	w7_d429e17366
9.	w9_d429e17369
Uhr	w11_d429e17372
in	w13_d429e17376
der	w15_d429e17379
zu	w17_d429e17382
er	w19_d429e17385
wehntem	w1_d429e17390
Enzerstorf	w3_d429e17393
diesfalls	w5_d429e17396
offen	w7_d429e17399
haltenden	w9_d429e17402
Canz	w11_d429e17405
ley=stuben	w1_d429e17411
entweders	w3_d429e17414
selbst,	w5_d429e17417
oder	w7_d429e17420
durch	w9_d429e17423
genug	w11_d429e17426
sam	w1_d429e17431
Bevollmächtigte	w3_d429e17434
also	w5_d429e17437
gewiß	w7_d429e17440
erscheinen,	w9_d429e17443
und	w11_d429e17446
ihre	w1_d429e17451
Forderungen	w3_d429e17454
anmelden,	w5_d429e17457
und	w7_d429e17460
liquidiren,	w9_d429e17463
wie	w11_d429e17466
im	w1_d429e17471
widrigen	w3_d429e17474
selbe	w5_d429e17477
nicht	w7_d429e17480
mehr	w9_d429e17483
angehöret,	w11_d429e17486
son	w13_d429e17490
dern	w1_d429e17496
