<doc id="edoc_wd_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="1">
<head id="hl1">
Erfurt	w39
Lieb=haber	w5471
<g/>
=
dieses	w5473
Wienerischen	w5474
Diarii	w5475
<g/>
,
wie	w5477
auch	w5478
des	w5479
Post	w5480
<g/>
=
täglichen	w5482
Frag	w5483
<g/>
=
und	w5485
Kund=schafts	w5486
<g/>
=
<g/>
=
bogens	w5489
<g/>
,
nach	w5491
Standes	w5492
<g/>
=
würden	w5494
<g/>
,
um	w5496
deren	w5497
gewöhnliche	w5498
vorhinein	w5499
<g/>
=
Bezah=lung	w5501
<g/>
=
ersuchet	w5503
<g/>
.
Und	w5505
wann	w5506
jemand	w5507
das	w5508
Diarium	w5509
Bestallungs	w5510
<g/>
=
weise	w5512
nehmen	w5513
will	w5514
<g/>
,
so	w5516
haben	w5517
sich	w5518
die	w5519
hier	w5520
in	w5521
Wien	w5522
anwesen=de	w5523
<g/>
=
in	w5525
der	w5526
diesfälligen	w5527
Schreib	w5528
<g/>
=
stuben	w5530
in	w5531
dem	w5532
neuen	w5533
Michaeler	w5534
<g/>
=
haus	w5536
<g/>
,
die	w5538
aus=wärtige	w5539
<g/>
=
Liebhabere	w5541
aber	w5542
in	w5543
dem	w5544
Obrist=Post	w5545
<g/>
=
<g/>
=
amt	w5548
diesfalls	w5549
anzumelden	w5550
<g/>
.
</p>
<head id="hl29">
Auszug	w5591
aus	w5592
denen	w5593
jüngsten	w5594
Londner	w5595
<g/>
=
briefen	w5597
<g/>
.
</head>
<p id="p46">
Unsere	w5599
Nachrichten	w5600
aus	w5601
America	w5602
geben	w5603
folgendes	w5604
<g/>
:
</p>
<p id="p47">
Die	w5606
ganze	w5607
Armee	w5608
beschäftiget	w5609
sich	w5610
damit	w5611
<g/>
,
das	w5613
vormals	w5614
sogenannte	w5615
Fort	w5616
du	w5617
Ques=ne	w5618
<g/>
=
<g/>
,
in	w5621
einen	w5622
solchen	w5623
Zustand	w5624
zu	w5625
setzen	w5626
<g/>
,
wel=cher	w5628
<g/>
=
der	w5630
Einsicht	w5631
des	w5632
Jngenieurs	w5633
<g/>
,
der	w5635
die	w5636
Aufsicht	w5637
über	w5638
diese	w5639
Arbeit	w5640
hat	w5641
<g/>
,
und	w5643
dem	w5644
Fleiß	w5645
derer	w5646
<g/>
,
die	w5648
dazu	w5649
gebrauchet	w5650
werden	w5651
<g/>
,
ein	w5653
ewi=ges	w5654
<g/>
=
Denkmal	w5656
stiften	w5657
wird	w5658
<g/>
.
Vier	w5660
hundert	w5661
Jndianer	w5662
von	w5663
verschiedenen	w5664
Völkern	w5665
<g/>
,
inson=derheit	w5667
<g/>
=
die	w5669
Tamas	w5670
und	w5671
Wydadots	w5672
sind	w5673
hie=her	w5674
<g/>
=
gekommen	w5676
<g/>
,
uns	w5678
ihre	w5679
Ehrfurcht	w5680
zu	w5681
bezeu=gen	w5682
<g/>
=
<g/>
,
und	w5685
uns	w5686
ihren	w5687
Beystand	w5688
zu	w5689
versprechen	w5690
<g/>
,
wenn	w5692
wir	w5693
solchen	w5694
erfordern	w5695
würden	w5696
<g/>
.
</p>
<p id="p48">
Am	w5698
30	w5699
<g/>
.
Septemb	w5701
<g/>
.
empfienge	w5703
der	w5704
dasi=ge	w5705
<g/>
=
Gouverneur	w5707
einen	w5708
am	w5709
26	w5710
<g/>
.
abgefertigten	w5712
Expressen	w5713
von	w5714
dem	w5715
Commandanten	w5716
der	w5717
Stadt	w5718
London	w5719
und	w5720
Prinz	w5721
Georg	w5722
<g/>
.
Man	w5724
hat	w5725
hierdurch	w5726
erfahren	w5727
<g/>
,
daß	w5729
die	w5730
Cherokees	w5731
dem	w5732
erstern	w5733
von	w5734
diesen	w5735
Forts	w5736
<g/>
,
die	w5738
Commu=nication	w5739
<g/>
=
abgeschnitten	w5741
<g/>
,
und	w5743
2	w5744
<g/>
.
Soldaten	w5746
von	w5747
der	w5748
Besatzung	w5749
<g/>
,
nebst	w5751
einem	w5752
Particulier	w5753
geschunden	w5754
haben	w5755
<g/>
.
Alle	w5757
Kaufleute	w5758
in	w5759
die=sen	w5760
<g/>
=
Gegenden	w5762
<g/>
,
nur	w5764
einen	w5765
ausgenommen	w5766
<g/>
,
von	w5768
dem	w5769
man	w5770
fürchtet	w5771
<g/>
,
daß	w5773
er	w5774
gleichfalls	w5775
ermor=det	w5776
<g/>
=
seye	w5778
<g/>
,
sind	w5780
in	w5781
dem	w5782
Fort	w5783
Prinz	w5784
Georg	w5785
an=gekommen	w5786
<g/>
=
<g/>
,
dahin	w5789
sie	w5790
bey	w5791
Nachtzeit	w5792
von	w5793
eini=gen	w5794
<g/>
=
mit	w5796
uns	w5797
verbundenen	w5798
Wilden	w5799
<g/>
,
durch	w5801
den	w5802
Wald	w5803
geleitet	w5804
wurden	w5805
<g/>
.
Diese	w5807
gute	w5808
Leute	w5809
haben	w5810
aber	w5811
vieles	w5812
von	w5813
ihren	w5814
mitgenomme=nen	w5815
<g/>
=
Habseligkeiten	w5817
verloren	w5818
<g/>
,
weil	w5820
unsere	w5821
Feinde	w5822
die	w5823
Zugänge	w5824
nach	w5825
dem	w5826
Wald	w5827
bese=tzet	w5828
<g/>
=
hatten	w5830
<g/>
.
Der	w5832
sogenannte	w5833
kleine	w5834
Carpen=ter	w5835
<g/>
=
<g/>
,
einer	w5838
von	w5839
denen	w5840
Anführern	w5841
derer	w5842
Jndia=ner	w5843
<g/>
=
streiffet	w5845
seit	w5846
einiger	w5847
Zeit	w5848
umher	w5849
<g/>
,
unter	w5851
</p>
<p id="p49">
dem	w5852
Vorwand	w5853
<g/>
,
die	w5855
Franzosen	w5856
zu	w5857
beunruhi=gen	w5858
<g/>
=
<g/>
;
aber	w5861
man	w5862
zweifelt	w5863
sehr	w5864
an	w5865
der	w5866
Redlich=keit	w5867
<g/>
=
seiner	w5869
Gesinnungen	w5870
<g/>
.
Wenigstens	w5872
sagt	w5873
man	w5874
<g/>
,
daß	w5876
der	w5877
sogenante	w5878
Freund	w5879
des	w5880
Rich=ters	w5881
<g/>
=
<g/>
,
ein	w5884
anderes	w5885
Ober	w5886
<g/>
=
haupt	w5888
deren	w5889
Wilden	w5890
<g/>
,
den	w5892
man	w5893
allezeit	w5894
als	w5895
sehr	w5896
geneigt	w5897
für	w5898
uns	w5899
an=gesehen	w5900
<g/>
=
hat	w5902
<g/>
,
die	w5904
Trieb	w5905
<g/>
=
feder	w5907
von	w5908
diesen	w5909
Un=ruhen	w5910
<g/>
=
seye	w5912
<g/>
.
Er	w5914
ist	w5915
nach	w5916
Keomee	w5917
gekom=men	w5918
<g/>
=
<g/>
,
und	w5921
hat	w5922
die	w5923
daselbst	w5924
zusammen	w5925
gebrach=te	w5926
<g/>
=
Munition	w5928
gefordert	w5929
<g/>
,
die	w5931
ihm	w5932
aber	w5933
völlig	w5934
abgeschlagen	w5935
worden	w5936
<g/>
.
Auf	w5938
diese	w5939
RachrichtNachricht	w5940
verordnete	w5941
unser	w5942
Herr	w5943
Gouverneur	w5944
eine	w5945
allgemeine	w5946
Zusammenkunft	w5947
dieser	w5948
Provinz	w5949
<g/>
,
die	w5951
sonst	w5952
bis	w5953
auf	w5954
den	w5955
19	w5956
<g/>
.
November	w5958
ausge=setzet	w5959
<g/>
=
war	w5961
<g/>
.
</p>
<p id="p50">
Diese	w5963
umständliche	w5964
Neuigkeiten	w5965
erforder=ten	w5966
<g/>
=
allerdings	w5968
muntere	w5969
Gegen	w5970
<g/>
=
veranstaltung	w5972
<g/>
.
Es	w5974
sind	w5975
schon	w5976
Couriers	w5977
an	w5978
den	w5979
General	w5980
Stanwix	w5981
<g/>
,
an	w5983
die	w5984
Gouverneurs	w5985
von	w5986
Virgi=nien	w5987
<g/>
=
<g/>
,
von	w5990
Nordcarolina	w5991
<g/>
,
von	w5993
Georgien	w5994
<g/>
,
wie	w5996
auch	w5997
an	w5998
die	w5999
Catewtas	w6000
<g/>
,
und	w6002
Chickachas	w6003
<g/>
,
unsere	w6005
getreuen	w6006
Alliirten	w6007
<g/>
,
und	w6009
Freunde	w6010
<g/>
,
ab=gesendet	w6012
<g/>
=
worden	w6014
<g/>
,
und	w6016
man	w6017
bemühet	w6018
sich	w6019
äusserst	w6020
<g/>
,
dieses	w6022
Unglück	w6023
gleich	w6024
im	w6025
Anfang	w6026
zu	w6027
dämpfen	w6028
<g/>
,
welches	w6030
bey	w6031
weiterem	w6032
Fortgange	w6033
sehr	w6034
gefährliche	w6035
Folgen	w6036
haben	w6037
könnte	w6038
<g/>
.
Ein	w6040
Umstand	w6041
beruhiget	w6042
uns	w6043
noch	w6044
sehr	w6045
dabey	w6046
<g/>
,
nämlich	w6048
<g/>
,
daß	w6050
das	w6051
Fort	w6052
Prinz	w6053
George	w6054
und	w6055
London	w6056
sehr	w6057
gut	w6058
mit	w6059
allen	w6060
Arten	w6061
von	w6062
Le=bens	w6063
<g/>
=
<g/>
=
mitteln	w6066
versehen	w6067
seynd	w6068
<g/>
.
Den	w6070
Augen=blick	w6071
<g/>
=
vorher	w6073
<g/>
,
ehe	w6075
die	w6076
beyden	w6077
Soldaten	w6078
ge=schunden	w6079
<g/>
=
worden	w6081
<g/>
,
waren	w6083
noch	w6084
70	w6085
<g/>
.
Ochsen	w6087
unter	w6088
Bedeckung	w6089
in	w6090
dem	w6091
Fort	w6092
London	w6093
ein=gebracht	w6094
<g/>
=
<g/>
,
welche	w6097
mit	w6098
vieler	w6099
Mühe	w6100
einer	w6101
Par=they	w6102
<g/>
=
Wilden	w6104
entgangen	w6105
sind	w6106
<g/>
,
die	w6108
sich	w6109
in	w6110
einem	w6111
Busche	w6112
<g/>
,
sie	w6114
aufzufangen	w6115
<g/>
,
verborgen	w6117
hielten	w6118
<g/>
.
</p>
<p id="p51">
Jn	w6121
einem	w6122
Briefe	w6123
von	w6124
Augusta	w6125
den	w6126
23	w6127
<g/>
.
Sept	w6129
<g/>
.
wird	w6131
uns	w6132
folgendes	w6133
gemeldet	w6134
<g/>
:
50	w6136
<g/>
.
deren	w6138
Vornehmen	w6139
unter	w6140
denen	w6141
Creckischen	w6142
Jndianern	w6143
seynd	w6144
hier	w6145
vor	w6146
etlichen	w6147
Tagen	w6148
auf	w6149
unserer	w6150
Nachbarschaft	w6151
vorbey	w6152
gegangen	w6153
<g/>
.
Sie	w6155
kamen	w6156
von	w6157
Coweta	w6158
<g/>
,
und	w6160
wollten	w6161
bey	w6162
dem	w6163
Gouverneur	w6164
einen	w6165
Besuch	w6166
abstatten	w6167
<g/>
.
Doch	w6169
versicherten	w6170
sie	w6171
auf	w6172
das	w6173
stärkeste	w6174
<g/>
,
daß	w6176
sie	w6177
an	w6178
dem	w6179
Vorhaben	w6180
der	w6181
Cherokeesen	w6182
kei=nen	w6183
<g/>
=
Theil	w6185
hätten	w6186
<g/>
.
Wir	w6188
freuen	w6189
uns	w6190
sehr	w6191
über	w6192
die	w6193
Nachricht	w6194
<g/>
,
daß	w6196
der	w6197
Capitain	w6198
Stuart	w6199
sich	w6200
gegen	w6201
das	w6202
Land	w6203
der	w6204
Cherokeesen	w6205
in	w6206
den	w6207
Marsch	w6208
gesetzet	w6209
habe	w6210
<g/>
.
Wir	w6212
schätzen	w6213
seine	w6214
Fähigkeit	w6215
um	w6216
desto	w6217
höher	w6218
<g/>
,
je	w6220
bekannter	w6221
er	w6222
sich	w6223
mit	w6224
denen	w6225
Jndianischen	w6226
Affairen	w6227
gemacht	w6228
hat	w6229
<g/>
.
Unsere	w6231
Kaufleute	w6232
seynd	w6233
aus	w6234
dem	w6235
Lande	w6236
der	w6237
Chactaws	w6238
noch	w6239
nicht	w6240
wieder	w6241
zu=rück	w6242
<g/>
=
gekommen	w6244
<g/>
.
Der	w6246
Hr	w6247
<g/>
.
Atkins	w6249
befindet	w6250
sich	w6251
noch	w6252
zu	w6253
Mucculaßi	w6254
<g/>
,
unter	w6256
dem	w6257
Schutz	w6258
des	w6259
Wolfkings	w6260
<g/>
,
eines	w6262
bekannten	w6263
Haupts	w6264
der	w6265
Wilden	w6266
<g/>
.
Eine	w6268
Liste	w6269
von	w6270
Dörfern	w6271
<g/>
,
die	w6273
die	w6274
Cherokeesen	w6275
bewohnen	w6276
<g/>
,
ist	w6278
uns	w6279
in	w6280
die	w6281
Hän=de	w6282
<g/>
=
gerahten	w6284
<g/>
,
woraus	w6286
sich	w6287
ergiebt	w6288
<g/>
,
daß	w6290
diese	w6291
Nation	w6292
nicht	w6293
über	w6294
2000	w6295
<g/>
.
Mann	w6297
aufbrin=gen	w6298
<g/>
=
könne	w6300
<g/>
,
die	w6302
zum	w6303
Krieg	w6304
tüchtig	w6305
seynd	w6306
<g/>
;
wie	w6308
wol	w6309
andere	w6310
dieselbige	w6311
bis	w6312
auf	w6313
2500	w6314
<g/>
.
erhe=ben	w6316
<g/>
=
<g/>
,
und	w6319
noch	w6320
wol	w6321
darüber	w6322
<g/>
.
Wir	w6324
verneh=men	w6325
<g/>
=
<g/>
,
daß	w6328
die	w6329
Land	w6330
<g/>
=
und	w6332
Frey=compagnien	w6333
Or=dre	w6334
<g/>
=
erhalten	w6336
haben	w6337
<g/>
,
sich	w6339
nach	w6340
einer	w6341
Stunde	w6342
<g/>
,
da	w6344
es	w6345
angesagt	w6346
worden	w6347
<g/>
,
marschfertig	w6349
zu	w6350
hal=ten	w6351
<g/>
=
<g/>
,
und	w6354
daß	w6355
gleiche	w6356
Ordre	w6357
an	w6358
die	w6359
Land	w6360
<g/>
=
völ=ker	w6362
<g/>
=
in	w6364
denen	w6365
Colonien	w6366
<g/>
,
die	w6368
am	w6369
weitesten	w6370
im	w6371
Lande	w6372
hinein	w6373
ligen	w6374
<g/>
,
ergangen	w6376
seye	w6377
<g/>
.
</p>
<p id="p52">
Obgleich	w6379
unsere	w6380
Leute	w6381
mit	w6382
Eifer	w6383
arbei=ten	w6384
<g/>
=
<g/>
,
unsere	w6387
Festungs	w6388
<g/>
=
werke	w6390
wieder	w6391
herzu=stellen	w6392
<g/>
=
und	w6394
zu	w6395
vermehren	w6396
<g/>
,
so	w6398
siehet	w6399
man	w6400
doch	w6401
mit	w6402
Vergnügen	w6403
<g/>
,
daß	w6405
sie	w6406
<g/>
,
so	w6408
beschwerlich	w6409
auch	w6410
diese	w6411
Beschäftigung	w6412
ist	w6413
<g/>
,
sich	w6415
dennoch	w6416
sehr	w6417
wol	w6418
befinden	w6419
<g/>
.
Diese	w6421
Festung	w6422
ist	w6423
<g/>
,
oder	w6425
wird	w6426
vielmehr	w6427
<g/>
,
wenn	w6429
die	w6430
Arbeit	w6431
vollendet	w6432
seyn	w6433
wird	w6434
<g/>
,
die	w6436
wichtigste	w6437
in	w6438
ganz	w6439
America	w6440
</p>
<p id="p53">
seyn	w6441
<g/>
,
und	w6443
man	w6444
meinet	w6445
<g/>
,
sie	w6447
noch	w6448
vor	w6449
Ablauf	w6450
dieses	w6451
Jahrs	w6452
in	w6453
diesen	w6454
Stand	w6455
zu	w6456
sehen	w6457
<g/>
.
Wir	w6459
stehen	w6460
im	w6461
Begrif	w6462
<g/>
,
die	w6464
Expedition	w6465
unterhalb	w6466
des	w6467
Sees	w6468
Champlain	w6469
vorzunehmen	w6470
<g/>
.
Eine	w6472
Stunde	w6473
auf	w6474
erhaltene	w6475
Nachricht	w6476
muß	w6477
alles	w6478
in	w6479
Bereitschaft	w6480
stehen	w6481
<g/>
.
Die	w6483
kleine	w6484
Flotte	w6485
<g/>
,
welche	w6487
uns	w6488
über	w6489
den	w6490
See	w6491
bringen	w6492
muß	w6493
<g/>
,
wird	w6495
von	w6496
einem	w6497
grossen	w6498
Prahm	w6499
<g/>
,
auf	w6501
welchen	w6502
sich	w6503
6	w6504
<g/>
.
Canonen	w6506
von	w6507
24	w6508
<g/>
.
Pfund	w6510
befinden	w6511
<g/>
,
einer	w6513
Schaluppe	w6514
von	w6515
18	w6516
<g/>
.
Canonen	w6518
von	w6519
8	w6520
<g/>
.
Pfund	w6522
einem	w6523
Schif	w6524
von	w6525
12	w6526
<g/>
.
Canonen	w6528
von	w6529
6	w6530
<g/>
.
Pf	w6532
<g/>
.
und	w6534
2	w6535
<g/>
.
kleinen	w6537
Prahmen	w6538
<g/>
,
von	w6540
gleichem	w6541
Ca=libre	w6542
<g/>
=
<g/>
,
mit	w6545
2	w6546
<g/>
.
Mörsern	w6548
nebst	w6549
4	w6550
<g/>
.
Galeeren	w6552
<g/>
,
davon	w6554
jegliche	w6555
eine	w6556
Canone	w6557
von	w6558
24	w6559
<g/>
.
Pfund	w6561
und	w6562
1	w6563
<g/>
.
Haubitze	w6565
führet	w6566
<g/>
,
bedecket	w6568
<g/>
.
Unsere	w6570
Schiffe	w6571
sind	w6572
alle	w6573
ausgebessert	w6574
<g/>
,
und	w6576
mit	w6577
Ma=sten	w6578
<g/>
=
<g/>
,
und	w6581
Seegeln	w6582
versehen	w6583
<g/>
;
aber	w6585
ich	w6586
besor=ge	w6587
<g/>
=
sehr	w6589
<g/>
,
daß	w6591
diese	w6592
Masten	w6593
<g/>
,
und	w6595
diese	w6596
See=gel	w6597
<g/>
=
die	w6599
Ursache	w6600
seyn	w6601
werden	w6602
<g/>
,
wann	w6604
einige	w6605
derselben	w6606
zu	w6607
Grunde	w6608
gehen	w6609
<g/>
,
insonderheit	w6611
weil	w6612
der	w6613
See	w6614
Champlain	w6615
<g/>
,
und	w6617
der	w6618
See	w6619
George	w6620
darinn	w6621
von	w6622
einander	w6623
abgehen	w6624
<g/>
,
daß	w6626
der	w6627
erste=re	w6628
<g/>
=
seine	w6630
Wellen	w6631
so	w6632
hoch	w6633
als	w6634
wie	w6635
der	w6636
Ocean	w6637
treibt	w6638
<g/>
,
und	w6640
daß	w6641
er	w6642
in	w6643
einer	w6644
Länge	w6645
von	w6646
80	w6647
<g/>
.
Meilen	w6649
so	w6650
breit	w6651
ist	w6652
<g/>
,
daß	w6654
man	w6655
von	w6656
einem	w6657
Ufer	w6658
bis	w6659
zu	w6660
dem	w6661
andern	w6662
mit	w6663
denen	w6664
Augen	w6665
nicht	w6666
reichen	w6667
kan	w6668
<g/>
.
Wir	w6670
seynd	w6671
heute	w6672
sehr	w6673
beschäf=tiget	w6674
<g/>
=
<g/>
,
die	w6677
Artillerie	w6678
<g/>
,
Lebens	w6680
<g/>
=
mittel	w6682
<g/>
,
ꝛc	w6684
<g/>
.
an	w6686
Bord	w6687
zu	w6688
bringen	w6689
<g/>
.
Man	w6691
saget	w6692
<g/>
,
daß	w6694
einige	w6695
Land	w6696
<g/>
=
völker	w6698
sich	w6699
mit	w6700
uns	w6701
auf	w6702
den	w6703
Zug	w6704
bege=ben	w6705
<g/>
=
werden	w6707
<g/>
;
doch	w6709
kan	w6710
ich	w6711
es	w6712
nicht	w6713
mit	w6714
Ge=wißheit	w6715
<g/>
=
versichern	w6717
<g/>
.
Die	w6719
regulairen	w6720
Tru=pen	w6721
<g/>
=
aber	w6723
<g/>
,
welche	w6725
denselben	w6726
ausmachen	w6727
sol=len	w6728
<g/>
=
<g/>
,
seynd	w6731
ernannt	w6732
<g/>
,
und	w6734
folgende	w6735
<g/>
:
488	w6737
<g/>
.
Mann	w6739
von	w6740
dem	w6741
Regiment	w6742
Royal	w6743
Schwei=zer	w6744
<g/>
=
<g/>
,
379	w6747
<g/>
.
von	w6749
dem	w6750
Regiment	w6751
Forbes	w6752
<g/>
,
354	w6754
<g/>
.
von	w6756
Jnniskilling	w6757
<g/>
,
435	w6759
<g/>
.
von	w6761
Royal	w6762
Berg	w6763
<g/>
=
schotten	w6765
<g/>
,
177	w6767
<g/>
.
Prideaux	w6769
<g/>
,
540	w6771
<g/>
.
von	w6773
Montgomery	w6774
<g/>
,
600	w6776
<g/>
.
Grenadiers	w6778
<g/>
,
600	w6780
<g/>
.
Mann	w6782
leichte	w6783
Jnfanterie	w6784
<g/>
.
</p>
<p id="p54">
Wir	w6787
N	w6788
<g/>
.
N	w6790
<g/>
.
Superintendenten	w6792
und	w6793
Spitalmei=stere	w6794
<g/>
=
des	w6796
Löbl	w6797
<g/>
.
Burger=spitals	w6799
in	w6800
Wien	w6801
geben	w6802
je=dermänniglich	w6803
<g/>
=
<g/>
,
zuvorderist	w6806
aber	w6807
denenjenigen	w6808
Par=theyen	w6809
<g/>
=
<g/>
,
so	w6812
auf	w6813
anno	w6814
1745	w6815
<g/>
.
ab	w6817
intestato	w6818
erfolgtes	w6819
Absterben	w6820
des	w6821
Mathiä	w6822
Fridschall	w6823
<g/>
,
gewesten	w6825
Bur=gerl	w6826
<g/>
=
<g/>
.
Peruquen	w6829
<g/>
=
machers	w6831
<g/>
,
und	w6833
behausten	w6834
Nachbars	w6835
am	w6836
Spitalberg	w6837
seel	w6838
<g/>
.
zu	w6840
Boßabrunn	w6841
in	w6842
Unter	w6843
öster=reich	w6844
<g/>
=
jennseits	w6846
der	w6847
Donau	w6848
geburtig	w6849
<g/>
,
an	w6851
desselben	w6852
Verlassenschaft	w6853
<g/>
(
zumalen	w6855
der	w6856
Schulden	w6857
halber	w6858
bereits	w6859
den	w6860
23	w6861
<g/>
.
Septemb	w6863
<g/>
.
1745	w6865
<g/>
.
das	w6867
behörige	w6868
Convocations	w6869
<g/>
=
und	w6871
Liquidations	w6872
<g/>
=
edict	w6874
affigiret	w6875
<g/>
,
auch	w6877
die	w6878
Schuldner	w6879
der	w6880
Ordnung	w6881
nach	w6882
claßifici=ret	w6883
<g/>
=
worden	w6885
<g/>
,
und	w6887
nunmehro	w6888
ein	w6889
Uebermaß	w6890
sich	w6891
er=gibet	w6892
<g/>
=
<g/>
)
in	w6895
Erb	w6896
<g/>
=
sachen	w6898
einige	w6899
Sprüch	w6900
<g/>
=
und	w6902
Forderun=gen	w6903
<g/>
=
haben	w6905
<g/>
,
oder	w6907
zu	w6908
stellen	w6909
vermeinen	w6910
<g/>
,
hiemit	w6912
of=fentlich	w6913
<g/>
=
zu	w6915
vernehmen	w6916
<g/>
:
daß	w6918
selbe	w6919
bey	w6920
der	w6921
auf	w6922
den	w6923
12	w6924
<g/>
.
Febr	w6926
<g/>
.
nächst	w6928
<g/>
=
künftigen	w6930
1760sten	w6931
Jahrs	w6932
Vor=mittag	w6933
<g/>
=
um	w6935
9	w6936
Uhr	w6937
in	w6938
des	w6939
Wienerischen	w6940
Burger=spitals	w6941
<g/>
=
Grund	w6943
<g/>
=
stuben	w6945
peremptorie	w6946
cum	w6947
clausula	w6948
angeordneten	w6949
Convocations	w6950
<g/>
=
und	w6952
Liquidations	w6953
<g/>
=
tag=satzung	w6955
<g/>
=
sich	w6957
alsogewiß	w6958
anzumelden	w6959
<g/>
,
zu	w6961
legitimiren	w6962
<g/>
,
und	w6964
Erb	w6965
<g/>
=
sprüche	w6967
zu	w6968
liquidiren	w6969
<g/>
,
sub	w6971
1mo	w6972
<g/>
,
2do	w6974
<g/>
,
<g/>
&
tertio	w6977
termino	w6978
hiemit	w6979
dergestalten	w6980
citiret	w6981
wer=den	w6982
<g/>
=
<g/>
;
daß	w6985
in	w6986
nicht	w6987
Erscheinungs	w6988
<g/>
=
fall	w6990
jedannoch	w6991
er=holte	w6992
<g/>
=
Verlassenschafts	w6994
<g/>
=
abhandlung	w6996
geschlossen	w6997
<g/>
,
und	w6999
was	w7000
Rechtens	w7001
<g/>
,
ist	w7003
erkennet	w7004
<g/>
,
auch	w7006
darüberhin	w7007
nie=mand	w7008
<g/>
=
mehr	w7010
angehöret	w7011
<g/>
,
sondern	w7013
denen	w7014
Ausbleiben=den	w7015
<g/>
=
das	w7017
ewige	w7018
Stillschweigen	w7019
auferleget	w7020
werden	w7021
solle	w7022
<g/>
.
Actum	w7024
Wien	w7025
den	w7026
24	w7027
<g/>
.
Novemb	w7029
<g/>
.
1759	w7031
<g/>
.
</p>
<p id="p55">
Von	w7033
N	w7034
<g/>
.
Burger	w7036
<g/>
=
meister	w7038
<g/>
,
Richter	w7040
<g/>
,
und	w7042
Raht	w7043
zur	w7044
Wienerischen	w7045
Neu	w7046
<g/>
=
stadt	w7048
wird	w7049
hiemit	w7050
kund	w7051
<g/>
,
und	w7053
zu	w7054
wissen	w7055
gemacht	w7056
<g/>
:
was	w7058
gestalten	w7059
den	w7060
17	w7061
<g/>
.
Januarii	w7063
1760	w7064
<g/>
.
in	w7066
besagter	w7067
Neu	w7068
<g/>
=
stadt	w7070
in	w7071
dem	w7072
Maximilianischen	w7073
Haus	w7074
in	w7075
der	w7076
sogenannten	w7077
Neun=kirchner	w7078
<g/>
=
gassen	w7080
Vormittag	w7081
um	w7082
9	w7083
<g/>
.
Uhr	w7085
zer=schiedene	w7086
<g/>
=
deren	w7088
besten	w7089
Hungarischen	w7090
Weinen	w7091
als	w7092
<g/>
:
1748	w7094
<g/>
,
1750	w7096
<g/>
,
1752	w7098
<g/>
,
1754	w7100
<g/>
,
1756	w7102
<g/>
,
1757	w7104
<g/>
,
1758=und	w7106
<g/>
=
1759	w7108
dem	w7109
Meist	w7110
<g/>
=
bietenden	w7112
licitando	w7113
zu	w7114
ver=kauffen	w7115
<g/>
=
seyen	w7117
<g/>
.
Wer	w7119
also	w7120
hierzu	w7121
ein	w7122
Verlangen	w7123
traget	w7124
<g/>
,
der	w7126
kan	w7127
sich	w7128
in	w7129
gedachter	w7130
Wienerischen	w7131
Neu=stadt	w7132
<g/>
=
in	w7134
der	w7135
Maximilianischen	w7136
Behausung	w7137
allda	w7138
an	w7139
obbestimmten	w7140
Tag	w7141
und	w7142
Stund	w7143
einfinden	w7144
<g/>
.
</p>
<p id="p56">
Es	w7146
wird	w7147
hiemit	w7148
jedermänniglich	w7149
kund	w7150
und	w7151
zu	w7152
wissen	w7153
gemacht	w7154
<g/>
,
was	w7156
gestalten	w7157
den	w7158
10	w7159
<g/>
.
künftigen	w7161
Monats	w7162
Januarii	w7163
1760	w7164
<g/>
.
und	w7166
die	w7167
darauf	w7168
folgende	w7169
Tage	w7170
in	w7171
den	w7172
Markt	w7173
Stockerau	w7174
in	w7175
des	w7176
Herrn	w7177
Franz	w7178
Xaveri	w7179
Petrasch	w7180
N	w7181
<g/>
.
Oe	w7183
<g/>
.
Landschaftlichee	w7185
Apothe=kers	w7186
<g/>
=
<g/>
,
alda	w7189
inhabenden	w7190
Behausung	w7191
die	w7192
von	w7193
weyl	w7194
<g/>
.
Frauen	w7196
Catharina	w7197
Aschenbacherin	w7198
seel	w7199
<g/>
.
ruckgelas=sene	w7201
<g/>
=
Verlassenschafts	w7203
<g/>
=
effecten	w7205
unhund	w7206
Mobilien	w7207
<g/>
,
so	w7209
in	w7210
silbernen	w7211
Messern	w7212
<g/>
,
Gabeln	w7214
<g/>
,
und	w7216
Löffeln	w7217
<g/>
,
auch	w7219
anderen	w7220
Silber	w7221
<g/>
=
geschmeid	w7223
<g/>
,
Frauen	w7225
<g/>
=
geschmuck	w7227
<g/>
,
Frauen	w7229
<g/>
=
kleidungen	w7231
<g/>
,
Lein	w7233
<g/>
=
wäsch	w7235
<g/>
,
Zinn	w7237
<g/>
,
Meßing	w7239
<g/>
,
Kupfer	w7241
<g/>
,
und	w7243
anderen	w7244
Fahrnussen	w7245
bestehen	w7246
<g/>
,
dem	w7248
Meist	w7249
<g/>
=
bietenden	w7251
werden	w7252
verkauffet	w7253
werden	w7254
<g/>
=
wer	w7256
demnach	w7257
von	w7258
solchen	w7259
etwas	w7260
zu	w7261
erkauffen	w7262
gesinnet	w7263
</p>
<p id="p57">
ist	w7264
<g/>
,
derselbe	w7266
kan	w7267
sich	w7268
an	w7269
obgemelten	w7270
Ort	w7271
und	w7272
Tag	w7273
<g/>
,
fruhe	w7275
um	w7276
9	w7277
<g/>
.
Uhr	w7279
behörig	w7280
anmelden	w7281
<g/>
.
</p>
