<doc id="wr_1759-01-20" attrs="word" year="1759" month="01" day="20" corpus="2">
<head id="h2_d315e2754">
Prag	w1_d315e2758
Als	w13_d315e13649
werden	w15_d315e13652
all	w17_d315e13655
und	w1_d315e13660
jede,	w3_d315e13663
welche	w5_d315e13666
an	w7_d315e13669
gedachter	w9_d315e13672
Frau	w11_d315e13675
Maria	w13_d315e13679
Anna	w15_d315e13682
Gräfin	w1_d315e13687
v.	w3_d315e13690
Pagani,	w5_d315e13693
gebornen	w7_d315e13696
v.	w9_d315e13699
Lambheim,	w11_d315e13702
ihrer	w13_d315e13706
Verlassenschaft	w1_d315e13711
und	w3_d315e13714
Schulden	w5_d315e13717
willen	w7_d315e13720
einige	w9_d315e13723
Forde	w11_d315e13726
rung	w1_d315e13732
haben,	w3_d315e13735
oder	w5_d315e13738
auch	w7_d315e13741
zu	w9_d315e13744
haben	w11_d315e13747
vermeinen	w13_d315e13751
auf	w15_d315e13754
den	w1_d315e13759
13.	w3_d315e13762
Martii	w5_d315e13765
des	w7_d315e13768
eintrettenden	w9_d315e13771
1759.	w11_d315e13774
Jahrs	w13_d315e13778
hie	w15_d315e13781
mit	w1_d315e13786
vorgeladen,	w3_d315e13789
und	w5_d315e13792
beruffen,	w7_d315e13795
auf	w9_d315e13798
daß	w11_d315e13801
dieselbe	w13_d315e13805
am	w1_d315e13810
erst=besagten	w3_d315e13813
Tage	w5_d315e13816
Nachmittags	w7_d315e13819
um	w9_d315e13822
3.	w11_d315e13825
Uhr	w13_d315e13829
vor	w15_d315e13832
Regierung	w1_d315e13838
in	w3_d315e13841
der	w5_d315e13844
daselbst	w7_d315e13847
zu	w9_d315e13850
diesem	w11_d315e13853
Ende	w13_d315e13857
eröfneten	w15_d315e13860
</p>
<p id="p8_d315e13863">
Commißions=stuben	w1_d315e13867
entweber	w3_d315e13870
persönlich,	w5_d315e13873
oder	w7_d315e13876
durch	w1_d315e13881
genugsam=bevollmächtigte	w3_d315e13884
Sach=waltere	w5_d315e13887
und	w7_d315e13890
Anwälde	w1_d315e13895
also	w3_d315e13898
gewiß	w5_d315e13901
erscheinen,	w7_d315e13904
und	w9_d315e13907
ihre	w11_d315e13910
an	w13_d315e13914
dieser	w15_d315e13917
Verlassenschaft	w1_d315e13923
habende	w3_d315e13926
Anforderung=anmelden,	w5_d315e13929
rechtlichen	w1_d315e13934
legitimiren,	w3_d315e13937
und	w5_d315e13940
liquidiren	w7_d315e13943
sollen,	w9_d315e13946
wie	w11_d315e13949
im	w1_d315e13954
widrigen	w3_d315e13957
dieselbe	w5_d315e13960
damit	w7_d315e13963
weiters	w9_d315e13966
nicht	w11_d315e13969
gehöret,	w13_d315e13973
sondern	w1_d315e13978
die	w3_d315e13981
Verlassenschafts=abhandlung	w5_d315e13984
gleichwol	w7_d315e13987
vorgenommen,	w1_d315e13993
und	w3_d315e13996
ungehindert	w5_d315e13999
der	w7_d315e14002
Glaubigern	w9_d315e14005
Forderung,	w1_d315e14010
so	w3_d315e14013
sich	w5_d315e14016
in	w7_d315e14019
der	w9_d315e14022
bestimmten	w11_d315e14025
Zeit	w13_d315e14029
nicht	w15_d315e14032
gemeldet	w1_d315e14037
haben,	w3_d315e14040
dem	w5_d315e14043
Herrn	w7_d315e14046
Jnnocentio	w9_d315e14049
Sylvestro	w11_d315e14052
Grafen	w1_d315e14057
v.	w3_d315e14060
Pagani	w5_d315e14063
eingeantwortet,	w7_d315e14066
und	w9_d315e14069
ansonsten,	w11_d315e14072
was	w1_d315e14078
rechtens	w3_d315e14081
ist,	w5_d315e14084
ex	w7_d315e14087
officio	w9_d315e14090
vorgekehret	w11_d315e14093
werden	w13_d315e14097
solle.	w1_d315e14102
Wie	w3_d315e14105
nun	w5_d315e14108
ob=besagter	w7_d315e14111
13te	w9_d315e14114
Tag	w11_d315e14117
des	w13_d315e14121
nächst	w15_d315e14124
künftigen	w1_d315e14129
März	w3_d315e14132
Monats	w5_d315e14135
im	w7_d315e14138
1759.	w9_d315e14141
Jahre	w11_d315e14144
samment	w13_d315e14148
lichen	w1_d315e14153
Glaubigern	w3_d315e14156
zur	w5_d315e14159
Anmeldung	w7_d315e14162
und	w9_d315e14165
Liquidirung	w11_d315e14168
ihrer	w1_d315e14174
Anforderungen	w3_d315e14177
hiemit	w5_d315e14180
zum	w7_d315e14183
ersten,	w9_d315e14186
zweyten,	w11_d315e14189
und	w1_d315e14194
dritten,	w3_d315e14197
als	w5_d315e14200
letzt	w7_d315e14203
und	w9_d315e14206
all=endlichen	w11_d315e14209
Termin	w13_d315e14213
anberaumet,	w1_d315e14218
und	w3_d315e14221
angesetzet	w5_d315e14224
wird,	w7_d315e14227
als	w9_d315e14230
hat	w11_d315e14233
sich	w13_d315e14237
jedermann,	w1_d315e14242
so	w3_d315e14245
an	w5_d315e14248
dieser	w7_d315e14251
Verlassenschaft	w9_d315e14254
einen	w11_d315e14257
An	w13_d315e14261
spruch	w1_d315e14267
hat,	w3_d315e14270
oder	w5_d315e14273
zu	w7_d315e14276
haben	w9_d315e14279
vermeinet,	w11_d315e14282
darnach	w13_d315e14286
sorgfaltig	w1_d315e14291
zu	w3_d315e14294
achten,	w5_d315e14297
und	w7_d315e14300
vor	w9_d315e14303
Schaden	w11_d315e14306
zu	w13_d315e14310
hütten.	w15_d315e14313
Actum	w1_d315e14318
Wien	w3_d315e14321
den	w5_d315e14324
29.	w7_d315e14327
Novemb.	w9_d315e14330
1758.	w11_d315e14333
</p>
<head id="h2_d315e14340">
AVERTISSEMENT.	w1_d315e14344
</head>
<p id="p4_d315e14347">
Es	w1_d315e14351
wird	w3_d315e14354
dem	w5_d315e14357
Publico	w7_d315e14360
hiemit	w9_d315e14363
kund	w11_d315e14366
und	w13_d315e14370
zu	w15_d315e14373
wissen	w17_d315e14376
gemacht,	w1_d315e14381
daß	w3_d315e14384
in	w5_d315e14387
dem	w7_d315e14390
Kaiserl.	w9_d315e14393
Königl.	w11_d315e14396
Gewerbschaftl.	w13_d315e14400
Stein=kohlen=magazin	w1_d315e14405
bey	w3_d315e14408
dem	w5_d315e14411
goldenen	w7_d315e14414
Falken	w9_d315e14417
in	w11_d315e14420
dem	w1_d315e14426
Kürnerischen	w3_d315e14429
Haus	w5_d315e14432
in	w7_d315e14435
der	w9_d315e14438
Rossau,	w11_d315e14441
dann	w13_d315e14445
ober	w15_d315e14448
halb	w1_d315e14453
in	w3_d315e14456
dem	w5_d315e14459
zweyten	w7_d315e14462
Magazin	w9_d315e14465
(ausser	w11_d315e14468
denen	w13_d315e14472
Sonn	w15_d315e14475
und	w1_d315e14480
Feyertägen)	w3_d315e14483
alle	w5_d315e14486
Tag	w7_d315e14489
Vormittag	w9_d315e14492
von	w11_d315e14495
8.	w13_d315e14499
bis	w15_d315e14502
11.	w1_d315e14507
Uhr,	w3_d315e14510
und	w5_d315e14513
Nachmittag	w7_d315e14516
von	w9_d315e14519
2.	w11_d315e14522
bis	w13_d315e14526
4.	w15_d315e14529
Uhr	w17_d315e14532
Stein	w19_d315e14535
kohlen	w1_d315e14541
von	w3_d315e14544
besonders	w5_d315e14547
guten	w7_d315e14550
Qualität	w9_d315e14553
der	w11_d315e14556
Centen	w13_d315e14560
à	w1_d315e14565
24.	w3_d315e14568
Kr.	w5_d315e14571
zu	w7_d315e14574
überkommen	w9_d315e14577
seyen.	w11_d315e14580
Diese	w13_d315e14584
Stein	w15_d315e14587
kohlen	w1_d315e14592
können	w3_d315e14595
von	w5_d315e14598
denen	w7_d315e14601
Feuer=arbeitern	w9_d315e14604
und	w11_d315e14607
an	w13_d315e14611
deren	w1_d315e14616
Partheyen	w3_d315e14619
mit	w5_d315e14622
Nutzen,	w7_d315e14625
ingleichen	w9_d315e14628
zum	w11_d315e14631
Ein	w13_d315e14635
heitzen,	w1_d315e14641
Kochen,	w3_d315e14644
Bier=bräuen,	w5_d315e14647
Jnschlicht=auslassen,	w7_d315e14650
anstatt	w1_d315e14655
des	w3_d315e14658
Holzes	w5_d315e14661
mit	w7_d315e14664
gutem	w9_d315e14667
Vortheil,	w11_d315e14670
welchen	w13_d315e14674
der	w15_d315e14677
hierzu	w1_d315e14682
bestellte	w3_d315e14685
Stein=Kohlen=verwäger	w5_d315e14688
an	w7_d315e14691
Hand	w9_d315e14694
zu	w1_d315e14699
geben	w3_d315e14702
befehliget	w5_d315e14705
ist,	w7_d315e14708
gebrauchet	w9_d315e14711
werden.	w11_d315e14714
E	w1_d315e14720
DIC	w3_d315e14723
</p>
<p id="p6_d315e14726">
Von	w1_d315e14730
des	w3_d315e14733
Kais.	w5_d315e14736
Kön.	w7_d315e14739
Jud.	w9_d315e14742
Deleg.	w11_d315e14745
Milit.	w13_d315e14749
Mixti	w15_d315e14752
in	w17_d315e14755
Erzherzogtum	w1_d315e14760
Oesterreich	w3_d315e14763
unter	w5_d315e14766
und	w7_d315e14769
ob	w9_d315e14772
der	w11_d315e14775
Ens	w13_d315e14779
we	w15_d315e14782
gen,	w1_d315e14787
wird	w3_d315e14790
hiemit	w5_d315e14793
durch	w7_d315e14796
dieses	w9_d315e14799
offentliche	w11_d315e14802
Edict	w13_d315e14806
je	w15_d315e14809
dermänniglich,	w1_d315e14815
deme	w3_d315e14818
daran	w5_d315e14821
gelegen,	w7_d315e14824
kund	w9_d315e14827
und	w11_d315e14830
zu	w13_d315e14834
wissen	w1_d315e14839
gemacht;	w3_d315e14842
wasgestalten	w5_d315e14845
auf	w7_d315e14848
des	w9_d315e14851
zu	w11_d315e14854
Vertret	w13_d315e14858
tung	w1_d315e14863
des	w3_d315e14866
verstorbenen	w5_d315e14869
Kais.	w7_d315e14872
Kön.	w9_d315e14875
Kriegs=agenten	w11_d315e14878
Johann	w1_d315e14883
Philipp	w3_d315e14886
Burckard	w5_d315e14889
seel.	w7_d315e14892
Verlassenschaft	w9_d315e14895
ge	w11_d315e14898
richtlich	w1_d315e14904
verordneten	w3_d315e14907
Curatoris	w5_d315e14910
Augustin	w7_d315e14913
Beck,	w9_d315e14916
U.	w1_d315e14921
J.	w3_d315e14924
Doctoris,	w5_d315e14927
auch	w7_d315e14930
Hof=kriegs=rahts,	w9_d315e14933
und	w11_d315e14936
Ge	w13_d315e14940
richts=advocatens	w1_d315e14945
gehorsamstes	w3_d315e14948
Anlangen	w5_d315e14951
verwilli	w7_d315e14954
daß	w1_d315e14959
alle	w3_d315e14962
die	w5_d315e14965
jenige,	w7_d315e14968
welche	w9_d315e14971
an	w11_d315e14974
ersagt	w13_d315e14978
get	w1_d315e14984
worden,	w3_d315e14987
Kriegs=agent	w1_d315e14992
Burkardischen	w1_d315e14997
seel.	w3_d315e15000
hinterbliebene	w5_d315e15003
Verlassenschaft	w1_d315e15008
einige	w3_d315e15011
Sprüch,	w5_d315e15014
und	w7_d315e15017
Anforderungen	w9_d315e15020
haben,	w1_d315e15026
oder	w3_d315e15029
zu	w5_d315e15032
machen	w7_d315e15035
vermeinen,	w9_d315e15038
durch	w11_d315e15041
Ausferti	w13_d315e15045
gung	w1_d315e15050
gewöhnlicher	w3_d315e15053
Convocations-Edicten	w5_d315e15056
perem-	w7_d315e15059
</p>
<p id="p12_d315e15073">
ptorie	w1_d315e15077
sub	w3_d315e15080
clausula	w5_d315e15083
præclusi	w7_d315e15086
einberuffen	w9_d315e15089
werden	w11_d315e15092
sollen.	w1_d315e15097
Wann	w3_d315e15100
nun	w5_d315e15103
zu	w7_d315e15106
diesem	w9_d315e15109
Ende	w11_d315e15112
der	w13_d315e15116
21ste	w15_d315e15119
Mar	w17_d315e15122
tii	w1_d315e15127
künftigen	w3_d315e15130
1759sten	w5_d315e15133
Jahrs	w7_d315e15136
fruhe	w9_d315e15139
um	w11_d315e15142
9.	w13_d315e15146
Uhr	w15_d315e15149
bey	w17_d315e15152
dieses	w1_d315e15158
Kais.	w3_d315e15161
Kön.	w5_d315e15164
Jud.	w7_d315e15167
Deleg.	w9_d315e15170
Mil.	w11_d315e15173
Mixti	w13_d315e15177
auf	w15_d315e15180
der	w17_d315e15183
Sailer=stadt,	w1_d315e15188
in	w3_d315e15191
der	w5_d315e15194
so	w7_d315e15197
genannten	w9_d315e15200
Holler=standen,	w11_d315e15203
in	w1_d315e15208
1sten	w3_d315e15211
Stock	w5_d315e15214
befindlichen	w7_d315e15217
Canzley	w9_d315e15220
sub	w11_d315e15223
clausula	w13_d315e15227
perpetui	w1_d315e15232
silentii	w3_d315e15235
pro	w5_d315e15238
1mo,	w7_d315e15241
2do,	w9_d315e15244
&	w11_d315e15247
3tio	w13_d315e15251
Termino	w15_d315e15254
zu	w1_d315e15260
erscheinen	w3_d315e15263
bestimmet	w5_d315e15266
worden	w7_d315e15269
ist;	w9_d315e15272
solchemnach	w11_d315e15275
werden	w1_d315e15280
alle	w3_d315e15283
und	w5_d315e15286
jede	w7_d315e15289
Kriegs=agent=Burkardische	w9_d315e15292
Glaubigere	w1_d315e15297
an	w3_d315e15300
ob=bestimmten	w5_d315e15303
Tag	w7_d315e15306
und	w9_d315e15309
Stund	w11_d315e15312
ent	w13_d315e15316
weders	w1_d315e15321
selbst	w3_d315e15324
persönlich,	w5_d315e15327
oder	w7_d315e15330
durch	w9_d315e15333
genugsam	w11_d315e15336
in	w13_d315e15340
struirte	w1_d315e15346
Bevollmächtigte	w3_d315e15349
also	w5_d315e15352
gewiß	w7_d315e15355
zu	w9_d315e15358
erscheinen,	w11_d315e15361
und	w1_d315e15366
ihre	w3_d315e15369
habende	w5_d315e15372
Sprüch	w7_d315e15375
und	w9_d315e15378
Anforderungen	w11_d315e15381
rechts	w1_d315e15386
beständig	w3_d315e15389
zu	w5_d315e15392
liquidiren	w7_d315e15395
wissen,	w9_d315e15398
als	w11_d315e15401
im	w13_d315e15405
widri	w15_d315e15408
gen	w1_d315e15413
die	w3_d315e15416
liquidirende	w5_d315e15419
Creditores	w7_d315e15422
hindann	w9_d315e15425
gefertiget,	w11_d315e15428
die	w1_d315e15434
Ausbleibend	w3_d315e15437
und	w5_d315e15440
nicht	w7_d315e15443
Liquidirende	w9_d315e15446
aber	w11_d315e15449
von	w13_d315e15453
ersagt=Kriegs=agent=Burkardischer	w1_d315e15458
Verlassen	w3_d315e15461
schafts=maisa	w1_d315e15466
gänzlichen	w3_d315e15469
ausgeschlossen	w5_d315e15472
und	w7_d315e15475
denen	w9_d315e15478
selben	w1_d315e15483
das	w3_d315e15486
ewige	w5_d315e15489
Still=schweigen	w7_d315e15492
auferleget	w9_d315e15495
werden	w11_d315e15498
solle.	w1_d315e15504
Wornach	w3_d315e15507
sich	w5_d315e15510
ein	w7_d315e15513
jeder	w9_d315e15516
Jntereßirter	w11_d315e15519
zu	w13_d315e15523
rich	w15_d315e15526
ten,	w1_d315e15531
und	w3_d315e15534
seinem	w5_d315e15537
Recht	w7_d315e15540
bestens	w9_d315e15543
zu	w11_d315e15546
invigiliren	w13_d315e15550
wis	w15_d315e15553
fen	w1_d315e15558
wird.	w3_d315e15561
</p>
<list id="l14_d315e15564">
nun	w1_d315e15568
</list>
<head id="h2_d315e15575">
D	w1_d315e15579
</head>
<p id="p4_d315e15582">
Wir	w1_d315e15586
Endes	w3_d315e15589
gefertigte	w5_d315e15592
von	w7_d315e15595
einem	w9_d315e15598
Löbl.	w11_d315e15601
Land	w13_d315e15605
marschallischen	w1_d315e15610
Gericht	w3_d315e15613
verordnete	w5_d315e15616
Commissarien,	w7_d315e15619
fügen	w1_d315e15624
N.	w3_d315e15627
allen	w5_d315e15630
und	w7_d315e15633
jeden,	w9_d315e15636
so	w11_d315e15639
an	w13_d315e15643
Weil.	w15_d315e15646
Frauen	w17_d315e15649
Rosaliä	w1_d315e15655
Mariä	w3_d315e15658
Annä	w5_d315e15661
von	w7_d315e15664
Heinzmann	w9_d315e15667
seel.	w11_d315e15670
Ver	w13_d315e15674
lassenschaft	w1_d315e15679
Sprüch,	w3_d315e15682
und	w5_d315e15685
Anforderungen	w7_d315e15688
haben,	w9_d315e15691
oder	w1_d315e15696
zu	w3_d315e15699
haben	w5_d315e15702
vermeinen,	w7_d315e15705
hiemit	w9_d315e15708
zu	w11_d315e15711
wissen,	w13_d315e15715
wel	w15_d315e15718
chergestalten	w1_d315e15723
auf	w3_d315e15726
Anlangen	w5_d315e15729
Frauen	w7_d315e15732
Mariä	w9_d315e15735
The	w11_d315e15738
resiä	w1_d315e15744
Gräfin	w3_d315e15747
von	w5_d315e15750
Althan,	w7_d315e15753
Priorin	w9_d315e15756
des	w11_d315e15759
Kaiserl.	w13_d315e15763
Stifts	w1_d315e15768
Orden	w3_d315e15771
St.	w5_d315e15774
Dominici	w7_d315e15777
zu	w9_d315e15780
Tuln	w11_d315e15783
Nomine	w13_d315e15787
ihrer	w1_d315e15792
Ordens	w3_d315e15795
Professä	w5_d315e15798
Mariä	w7_d315e15801
Annä	w9_d315e15804
Diezin,	w11_d315e15807
und	w13_d315e15811
respectivè	w1_d315e15816
ihres	w3_d315e15819
unterhabenden	w5_d315e15822
Stifts,	w7_d315e15825
dann	w9_d315e15828
P.	w11_d315e15831
Josephi	w1_d315e15837
Hamerl,	w3_d315e15840
S.	w5_d315e15843
J.	w7_d315e15846
Pronvinc.	w9_d315e15849
Austr.	w11_d315e15852
Procu-	w13_d315e15856
ratoris	w1_d315e15861
Nomine	w3_d315e15864
P.	w5_d315e15867
Matthiæ	w7_d315e15870
Diéz,	w9_d315e15873
ejusdem	w11_d315e15876
S.	w13_d315e15880
J.	w15_d315e15883
Frofessi,	w1_d315e15888
und	w3_d315e15891
respectivè	w5_d315e15894
des	w7_d315e15897
Kaiserl.	w9_d315e15900
Collegii	w11_d315e15903
Academici	w1_d315e15908
S.	w3_d315e15911
J.	w5_d315e15914
alhier,	w7_d315e15917
als	w9_d315e15920
von	w11_d315e15923
Weil.	w13_d315e15927
Frauen	w15_d315e15930
Rosalia	w1_d315e15936
Maria	w3_d315e15939
Anna	w5_d315e15942
von	w7_d315e15945
Heinzmann,	w9_d315e15948
seel.	w11_d315e15951
in	w13_d315e15955
stituirten	w1_d315e15960
Universal=erben,	w3_d315e15963
und	w5_d315e15966
hierüber	w7_d315e15969
ergangene	w9_d315e15972
gerichtl.	w1_d315e15977
Auflag	w3_d315e15980
wir	w5_d315e15983
eine	w7_d315e15986
peremptorische	w9_d315e15989
clansulirte	w11_d315e15992
Convocations=tagsatzung	w1_d315e15997
auf	w3_d315e16000
den	w5_d315e16003
29.	w7_d315e16006
dies	w9_d315e16009
lauf	w11_d315e16012
senden	w1_d315e16018
Januarii	w3_d315e16021
Nachmittag	w5_d315e16024
um	w7_d315e16027
2.	w9_d315e16030
Uhr	w11_d315e16033
in	w13_d315e16037
meiner	w15_d315e16040
Land=schreibers	w1_d315e16045
in	w3_d315e16048
der	w5_d315e16051
Waldzeil	w7_d315e16054
im	w9_d315e16057
Zickinischen	w11_d315e16060
Haus	w1_d315e16065
im	w3_d315e16068
2.	w5_d315e16071
Stock	w7_d315e16074
habenden	w9_d315e16077
Wohnung	w11_d315e16080
zu	w13_d315e16084
er	w15_d315e16087
scheinen	w1_d315e16092
pro	w3_d315e16095
primo,	w5_d315e16098
secundo	w7_d315e16101
ac	w9_d315e16104
ultimo	w11_d315e16107
Termino	w13_d315e16111
bestimmet	w1_d315e16117
haben.	w3_d315e16120
Solchemnach	w5_d315e16123
werden	w7_d315e16126
all	w9_d315e16129
und	w11_d315e16132
jede	w1_d315e16137
Jntereßirte,	w3_d315e16140
so	w5_d315e16143
an	w7_d315e16146
obbemeldeter	w9_d315e16149
Frauen	w11_d315e16152
Mariä	w1_d315e16157
Annä	w3_d315e16160
von	w5_d315e16163
Heinzmann	w7_d315e16166
seel.	w9_d315e16169
Verlassenschaft	w11_d315e16172
Sprüch	w1_d315e16177
und	w3_d315e16180
Anforderungen	w5_d315e16183
haben,	w7_d315e16186
oder	w9_d315e16189
zu	w11_d315e16192
ha	w13_d315e16196
ben	w1_d315e16202
vermeinen,	w3_d315e16205
an	w5_d315e16208
obgedachten	w7_d315e16211
Tag,	w9_d315e16214
Stund	w11_d315e16217
und	w1_d315e16222
Ort	w3_d315e16225
also	w5_d315e16228
gewiß	w7_d315e16231
persönlich,	w9_d315e16234
oder	w11_d315e16237
durch	w13_d315e16241
ge	w15_d315e16244
nugsam	w1_d315e16249
Gevollmächtigte	w3_d315e16252
erscheinen,	w5_d315e16255
ihre	w7_d315e16258
Spruch	w9_d315e16261
anmelden,	w1_d315e16266
und	w3_d315e16269
zugleich	w5_d315e16272
der	w7_d315e16275
Ordnung	w9_d315e16278
nach	w11_d315e16281
behö	w13_d315e16285
rig	w1_d315e16291
liquidiren,	w3_d315e16294
als	w5_d315e16297
im	w7_d315e16300
widrigen	w9_d315e16303
die	w11_d315e16306
Abhandlung	w13_d315e16310
vorgenommen,	w1_d315e16315
hierüber	w3_d315e16318
ex	w5_d315e16321
officio	w7_d315e16324
relationiret;	w9_d315e16327
denen	w1_d315e16332
Ausbleibenden	w3_d315e16335
aber	w5_d315e16338
das	w7_d315e16341
enige	w9_d315e16344
Stillschwei	w11_d315e16347
</p>
<list id="l6_d315e16350">
gen	w1_d315e16354
auferleget	w3_d315e16357
werden	w5_d315e16360
solle.	w7_d315e16363
Actum	w9_d315e16366
Wien	w11_d315e16369
den	w13_d315e16373
23.	w1_d315e16378
Novembris	w3_d315e16381
1758.	w5_d315e16384
(L.	w1_d315e16389
S.)	w3_d315e16392
Joseph	w5_d315e16395
Gabriel	w7_d315e16398
von	w9_d315e16401
Stettner,	w11_d315e16404
</list>
<list id="l8_d315e16408">
Landschreiber.	w1_d315e16412
(L.	w1_d315e16417
S.)	w3_d315e16420
Franz	w5_d315e16423
Bernhard	w7_d315e16426
Edler	w9_d315e16429
v.	w11_d315e16432
Keeß,	w13_d315e16436
L.	w1_d315e16441
M.	w3_d315e16444
Gerichts=seeretarius.	w5_d315e16447
</list>
<head id="h2_d315e16454">
CT.	w1_d315e16458
</head>
<p id="p4_d315e16461">
Jch	w1_d315e16465
Johann	w3_d315e16468
Wilhelm	w5_d315e16471
des	w7_d315e16474
Heil.	w9_d315e16477
Röm.	w11_d315e16480
Reichs	w13_d315e16484
Fürst	w1_d315e16489
Trautson	w3_d315e16492
Ritter	w1_d315e16497
Graf	w1_d315e16503
zu	w3_d315e16506
Falkenstein,	w5_d315e16509
Jhrer	w1_d315e16514
Kaiserl.	w3_d315e16517
Königl.	w5_d315e16520
des	w1_d315e16525
goldenen	w3_d315e16528
Vliesses,	w5_d315e16531
Majestät	w1_d315e16536
würklicher	w3_d315e16539
geheimer	w5_d315e16542
Rahr,	w7_d315e16545
Obrister	w9_d315e16548
Hof=meister,	w1_d315e16554
und	w3_d315e16557
Land=marschall	w5_d315e16560
in	w7_d315e16563
Oester	w9_d315e16566
reich	w1_d315e16571
unter	w3_d315e16574
der	w5_d315e16577
Ennß.	w7_d315e16580
Entbiete	w9_d315e16583
N.	w11_d315e16586
allen	w13_d315e16590
und	w15_d315e16593
jeden,	w1_d315e16598
was	w3_d315e16601
Stands	w5_d315e16604
und	w7_d315e16607
Würden	w9_d315e16610
die	w11_d315e16613
seynd,	w13_d315e16617
der	w15_d315e16620
Gebühr	w1_d315e16625
nach	w3_d315e16628
meinen	w5_d315e16631
respective	w7_d315e16634
Dienst	w9_d315e16637
in	w11_d315e16640
guten	w13_d315e16644
Willen	w1_d315e16650
zuvor,	w3_d315e16653
und	w5_d315e16656
füge	w7_d315e16659
hiemit	w9_d315e16662
zu	w11_d315e16665
vernehmen.	w13_d315e16669
Es	w1_d315e16674
habe	w3_d315e16677
bey	w5_d315e16680
dem	w7_d315e16683
mir	w9_d315e16686
allergnädigst	w11_d315e16689
anvertrauten	w13_d315e16693
N.	w1_d315e16698
Oe.	w3_d315e16701
Land=marschallischen	w5_d315e16704
Gericht	w7_d315e16707
Herr	w9_d315e16710
Franz	w11_d315e16713
Edler	w1_d315e16718
von	w3_d315e16721
Schwingheim,	w5_d315e16724
Kaiserl.	w7_d315e16727
Königl.	w9_d315e16730
N.	w11_d315e16733
Oe.	w1_d315e16739
Regierungs=raht	w3_d315e16742
schriftlich	w5_d315e16745
angezeiget,	w7_d315e16748
wel	w9_d315e16751
chergestalten	w1_d315e16756
bey	w3_d315e16759
einer	w5_d315e16762
untern	w7_d315e16765
5.	w9_d315e16768
Decembris	w11_d315e16771
jüngst	w13_d315e16775
hin	w1_d315e16780
angeordnet=gewesten	w3_d315e16783
Erforderung	w5_d315e16786
veranlasset	w7_d315e16789
worden	w1_d315e16794
seye,	w3_d315e16797
daß	w5_d315e16800
die	w7_d315e16803
Herrschaft	w9_d315e16806
Wirnitz	w11_d315e16809
noch	w13_d315e16813
malen	w1_d315e16819
offentlich	w3_d315e16822
feil	w5_d315e16825
gebotten,	w7_d315e16828
und	w9_d315e16831
per	w11_d315e16834
licita-	w13_d315e16838
tionem	w1_d315e16843
an	w3_d315e16846
den	w5_d315e16849
Meistbietenden	w7_d315e16852
hindann	w9_d315e16855
gelassen	w11_d315e16858
werden	w1_d315e16863
solle;	w3_d315e16866
diesemnach	w5_d315e16869
gebetten,	w7_d315e16872
ich	w9_d315e16875
geruhete	w11_d315e16878
ein	w1_d315e16883
nochmaliges	w3_d315e16886
Licitations=edict	w5_d315e16889
bey	w7_d315e16892
der	w9_d315e16895
Canz	w11_d315e16898
ley	w1_d315e16904
ausfertigen	w3_d315e16907
zu	w5_d315e16910
lassen.	w7_d315e16913
Wann	w9_d315e16916
nun	w11_d315e16919
hierinfalls	w13_d315e16923
verwilliget,	w1_d315e16928
und	w3_d315e16931
zur	w5_d315e16934
Licitations=tagsätzung	w7_d315e16937
der	w9_d315e16940
23.	w1_d315e16945
dies	w3_d315e16948
Monats	w5_d315e16951
Januarii	w7_d315e16954
bestimmet	w9_d315e16957
worden	w11_d315e16960
ist,	w13_d315e16964
als	w1_d315e16969
hat	w3_d315e16972
man	w5_d315e16975
ein	w7_d315e16978
solches	w9_d315e16981
hiemit	w11_d315e16984
jedermänniglich	w13_d315e16988
nochmalen	w1_d315e16994
kund	w3_d315e16997
machen	w5_d315e17000
wollen,	w7_d315e17003
damit	w9_d315e17006
der	w11_d315e17009
oder	w13_d315e17013
diejenige,	w1_d315e17018
so	w3_d315e17021
obbemeldete	w5_d315e17024
Herrschaft	w7_d315e17027
Wirnitz	w9_d315e17030
samt	w1_d315e17035
Appertincntien	w3_d315e17038
käuflichen	w5_d315e17041
an	w7_d315e17044
sich	w9_d315e17047
zu	w11_d315e17050
brin	w13_d315e17054
gen	w1_d315e17059
Willens	w3_d315e17062
seynd,	w5_d315e17065
an	w7_d315e17068
anbestimmten	w9_d315e17071
Tag	w11_d315e17074
fruh	w13_d315e17078
um	w1_d315e17084
8.	w3_d315e17087
Uhr	w5_d315e17090
ad	w7_d315e17093
licitandum,	w9_d315e17096
tractandum	w11_d315e17099
&	w13_d315e17103
con-	w15_d315e17106
cludendum	w1_d315e17111
vor	w3_d315e17114
Gericht	w5_d315e17117
zu	w7_d315e17120
erscheinen	w9_d315e17123
wissen	w11_d315e17126
mögen.	w1_d315e17131
</p>
<p id="p6_d315e17134">
Von	w1_d315e17138
N.	w3_d315e17141
Richter	w5_d315e17144
und	w7_d315e17147
Raht	w9_d315e17150
der	w11_d315e17153
Landes=fürstl.	w13_d315e17157
N.	w1_d315e17162
Oe.	w3_d315e17165
Stadt	w5_d315e17168
Klosterneuburg	w7_d315e17171
wird	w9_d315e17174
hiemit	w11_d315e17177
jeder	w13_d315e17181
männiglich	w1_d315e17186
kund	w3_d315e17189
und	w5_d315e17192
zu	w7_d315e17195
wissen	w9_d315e17198
gemacht,	w11_d315e17201
was	w13_d315e17205
ge	w15_d315e17208
stalten	w1_d315e17214
weyl.	w3_d315e17217
Lorenz	w5_d315e17220
