<doc id="wr_1757-12-17" attrs="word" year="1757" month="12" day="17" corpus="2">
<head id="h2_d203e3207">
Nieder=elbe	w1_d203e3211
Josephst.,	w11_d203e14145
alt	w13_d203e14149
29.	w15_d203e14152
J.	w17_d203e14155
Dem	w1_d203e14160
Franz	w3_d203e14163
Sillenz	w5_d203e14166
K.	w7_d203e14169
K.	w9_d203e14172
Reit=kn.,	w11_d203e14175
s.	w13_d203e14179
K.	w15_d203e14182
Jos.,	w17_d203e14185
beym	w19_d203e14188
grün.	w1_d203e14193
Was.	w3_d203e14196
am	w5_d203e14199
Neustift,	w7_d203e14202
alt	w9_d203e14205
6.	w11_d203e14208
J.	w13_d203e14212
Dem	w1_d203e14217
Joh.	w3_d203e14220
Grandtner,	w5_d203e14223
Tagw.,	w7_d203e14226
s.	w9_d203e14229
K.	w11_d203e14232
Jos.,	w13_d203e14236
bey	w15_d203e14239
in	w17_d203e14242
Frucht	w1_d203e14248
in	w3_d203e14251
Egept	w5_d203e14254
zu	w7_d203e14257
Nicolstorf,	w9_d203e14260
alt	w11_d203e14263
2.J	w13_d203e14267
Dem	w1_d203e14272
Jos.	w3_d203e14275
Stöckl,	w5_d203e14278
Tagw.,	w7_d203e14281
s.	w9_d203e14284
K.	w11_d203e14287
Magdal.,	w13_d203e14291
bey	w15_d203e14294
dem	w17_d203e14297
lust.	w1_d203e14302
Bauren	w3_d203e14305
in	w5_d203e14308
der	w7_d203e14311
Leopoldst.,	w9_d203e14314
alt	w11_d203e14317
4.	w13_d203e14321
J.	w15_d203e14324
</list>
<head id="h2_d203e14331">
Summa	w1_d203e14335
10.	w3_d203e14338
Pers.,	w5_d203e14341
darunter	w7_d203e14344
7.	w9_d203e14347
Kinder.	w11_d203e14350
Den	w1_d203e14355
14.	w3_d203e14358
Decemb.	w5_d203e14361
Jn	w1_d203e14366
der	w3_d203e14369
Stadt.	w5_d203e14372
</head>
<list id="l4_d203e14375">
Die	w1_d203e14379
Wol=eöle	w3_d203e14382
F.	w5_d203e14385
Anne	w7_d203e14388
Margar.	w9_d203e14391
Kellrin,	w11_d203e14394
Witlw.	w13_d203e14398
im	w1_d203e14403
Fuxis.	w3_d203e14406
H.	w5_d203e14409
am	w7_d203e14412
Stuben=thot,	w9_d203e14415
alt	w11_d203e14418
54.	w13_d203e14422
J.	w15_d203e14425
Dem	w1_d203e14430
Wol=edien	w3_d203e14433
Hrn.	w5_d203e14436
Joh	w7_d203e14439
Math.	w9_d203e14442
Jaconini,	w11_d203e14445
K.	w13_d203e14449
K.	w15_d203e14452
geh.	w1_d203e14458
Direct.	w3_d203e14461
haupt	w5_d203e14464
uchhalt.	w7_d203e14467
rait	w9_d203e14470
offic.,	w11_d203e14473
s.	w13_d203e14477
Frau	w15_d203e14480
Maria	w1_d203e14485
Anna,	w3_d203e14488
im	w5_d203e14491
Oattenriederis.	w7_d203e14494
H.	w9_d203e14497
am	w11_d203e14500
Grab.	w13_d203e14504
53.	w15_d203e14507
J.	w17_d203e14510
Dem	w1_d203e14515
Georg	w3_d203e14518
Parzer,	w5_d203e14521
Sessel=trag=rott=meist.,	w7_d203e14524
s.	w9_d203e14527
K.	w11_d203e14530
Eisad,	w1_d203e14535
im	w3_d203e14538
Feedermayris.	w5_d203e14541
H.	w7_d203e14544
in	w9_d203e14547
der	w11_d203e14550
Singerstr.,	w13_d203e14554
alt	w1_d203e14560
3.	w3_d203e14563
J.	w5_d203e14566
Joh.	w1_d203e14571
Stitz,	w3_d203e14574
Keiner,	w5_d203e14577
im	w7_d203e14580
iltin.	w9_d203e14583
Denelbcd,	w11_d203e14586
alt	w13_d203e14590
34.	w15_d203e14593
J.	w17_d203e14596
</list>
<list id="l6_d203e14600">
Vor	w1_d203e14604
der	w3_d203e14607
Stadt.	w5_d203e14610
Hr.	w1_d203e14615
Georg	w3_d203e14618
Dodenz,	w5_d203e14621
Hof	w7_d203e14624
theatrial	w9_d203e14627
wahl	w11_d203e14630
dermbl.	w13_d203e14634
Ygel	w15_d203e14637
in	w1_d203e14642
der	w3_d203e14645
Leopoldst.,	w5_d203e14648
alt	w7_d203e14651
44.	w9_d203e14654
J.	w11_d203e14657
Joh.	w1_d203e14663
Kucker,	w3_d203e14666
Burg	w5_d203e14669
rl.	w7_d203e14672
Mahl.	w9_d203e14675
in	w11_d203e14678
/	w13_d203e14682
d.	w15_d203e14685
in	w17_d203e14688
der	w19_d203e14691
Jo	w21_d203e14694
sephs.,	w1_d203e14699
a	w3_d203e14702
32.	w5_d203e14705
J.	w7_d203e14708
Dem	w1_d203e14713
Andre	w3_d203e14716
Tausch,	w5_d203e14719
Tischl	w7_d203e14722
s.	w9_d203e14725
K.	w11_d203e14728
Ursula,	w13_d203e14732
beymd	w15_d203e14735
Dock	w1_d203e14740
ausser	w3_d203e14743
Mari	w5_d203e14746
holf	w7_d203e14749
at	w9_d203e14752
2.	w11_d203e14755
J.	w13_d203e14759
Math.	w1_d203e14765
Misso,	w3_d203e14768
Schuh=mach,	w5_d203e14771
beym	w7_d203e14774
rot.	w9_d203e14777
Löwen	w11_d203e14780
im	w13_d203e14784
Liechtenth.,	w1_d203e14789
alt	w3_d203e14792
65.	w5_d203e14795
J.	w7_d203e14798
</list>
<list id="l12_d203e14813">
Der	w1_d203e14817
Anna	w3_d203e14820
Branlnerin,	w5_d203e14823
Wittwe,	w7_d203e14826
ihr	w9_d203e14829
K.	w11_d203e14832
Clara,	w13_d203e14836
im	w15_d203e14839
Beitlis.	w1_d203e14844
H.	w3_d203e14847
in	w5_d203e14850
der	w7_d203e14853
Leopoldst,	w9_d203e14856
alt	w11_d203e14859
4.	w13_d203e14863
J.	w15_d203e14866
Pet	w1_d203e14871
Paumga	w3_d203e14874
tner,	w5_d203e14877
Geig.,	w7_d203e14880
beym	w9_d203e14883
Grund=stein	w11_d203e14886
in	w13_d203e14890
der	w1_d203e14896
Joephst,	w3_d203e14899
alt	w5_d203e14902
57.	w7_d203e14905
Dem	w1_d203e14910
Franz	w3_d203e14913
Rosini,	w5_d203e14916
Kuchtl=trag,	w7_d203e14919
s.	w9_d203e14922
K.	w11_d203e14925
Jos.,	w13_d203e14929
in	w15_d203e14932
dem	w17_d203e14935
Baumgarineris.	w1_d203e14940
H.	w3_d203e14943
an	w5_d203e14946
der	w7_d203e14949
Wien,	w9_d203e14952
alt	w11_d203e14955
5.	w13_d203e14959
v.	w15_d203e14962
J.	w17_d203e14965
Susan.	w1_d203e14970
Kochin,	w3_d203e14973
ar.	w5_d203e14976
W.,	w7_d203e14979
bey	w9_d203e14982
der	w11_d203e14985
grün.	w13_d203e14989
Saul.	w15_d203e14992
im	w17_d203e14995
Liechtenth.,	w1_d203e15001
alt	w3_d203e15004
71.	w5_d203e15007
J.	w7_d203e15010
</list>
<head id="h2_d203e15017">
Summa	w1_d203e15021
12	w3_d203e15024
Person.	w5_d203e15027
darunter	w7_d203e15030
4	w9_d203e15033
Kinder.	w11_d203e15036
Den	w1_d203e15041
15.	w3_d203e15044
Dec.	w5_d203e15047
Jn	w1_d203e15052
der	w3_d203e15055
Stadt.	w5_d203e15058
</head>
<list id="l4_d203e15061">
Dem	w1_d203e15065
Wol=edel=gestr.	w3_d203e15068
Hrn.	w5_d203e15071
Wolf	w7_d203e15074
Christoph	w9_d203e15077
Rößler,	w11_d203e15080
K.	w1_d203e15085
K.	w3_d203e15088
L.	w5_d203e15091
M.	w7_d203e15094
Gerichts=concipist,	w9_d203e15097
s.	w11_d203e15100
Frau	w13_d203e15104
Anna	w15_d203e15107
Catbar.,	w1_d203e15112
im	w3_d203e15115
Zwölferis.	w5_d203e15118
H	w7_d203e15121
am	w9_d203e15124
alt	w11_d203e15127
Fleisch=m.	w13_d203e15131
52	w15_d203e15134
J.	w17_d203e15137
Joh.	w1_d203e15143
Posch,	w3_d203e15146
Burgerl.	w5_d203e15149
Zeug=schm.,	w7_d203e15152
im	w9_d203e15155
Cheretis.	w11_d203e15158
H.	w13_d203e15162
in	w1_d203e15167
der	w3_d203e15170
Bogner=gas.,	w5_d203e15173
alt	w7_d203e15176
64.	w9_d203e15179
J.	w11_d203e15182
</list>
<head id="h2_d203e15190">
Vor	w1_d203e15194
der	w3_d203e15197
Stadt.	w5_d203e15200
</head>
<list id="l4_d203e15203">
Dem	w1_d203e15207
Christian	w3_d203e15210
Heßl,	w5_d203e15213
Proviant=offic,	w7_d203e15216
s.	w9_d203e15219
K.	w11_d203e15222
Elisab.	w13_d203e15226
beym	w1_d203e15231
bl.	w3_d203e15234
Hecht.	w5_d203e15237
auf	w7_d203e15240
der	w9_d203e15243
Wied.,	w11_d203e15246
alt	w13_d203e15250
6.	w15_d203e15253
v.	w17_d203e15256
J.	w19_d203e15259
Dem	w1_d203e15264
Jos.	w3_d203e15267
Rädl,	w5_d203e15270
Leinwat=handl.,	w7_d203e15273
s.	w9_d203e15276
K	w11_d203e15279
Elisab.,	w13_d203e15283
im	w15_d203e15286
Stuckadoris.	w1_d203e15292
H.	w3_d203e15295
am	w5_d203e15298
Neustift,	w7_d203e15301
alt	w9_d203e15304
2.	w11_d203e15307
J.	w13_d203e15311
3.	w15_d203e15314
Dem	w1_d203e15319
Leop.	w3_d203e15322
Artner,	w5_d203e15325
Frie=schneid.,	w7_d203e15328
s.	w9_d203e15331
K.	w11_d203e15334
Clara,	w13_d203e15338
beym	w15_d203e15341
gold.	w1_d203e15346
Metz.	w3_d203e15349
am	w5_d203e15352
Getreidem,	w7_d203e15355
alt	w9_d203e15358
8.	w11_d203e15361
J.	w13_d203e15365
Dem	w1_d203e15370
Joh.	w3_d203e15373
Tister,	w5_d203e15376
Burgerl.	w7_d203e15379
Gold=schm.,	w9_d203e15382
s.	w11_d203e15385
K.	w13_d203e15389
Ca	w15_d203e15392
thar.,	w1_d203e15398
im	w3_d203e15401
Kränzel=dinderis.	w5_d203e15404
H.	w7_d203e15407
in	w9_d203e15410
der	w11_d203e15413
Rossau,	w13_d203e15417
3.	w15_d203e15420
J.	w17_d203e15423
Dem	w1_d203e15428
Ant.	w3_d203e15431
Gunke,	w5_d203e15434
Handschuh=mach.,	w7_d203e15437
s.	w9_d203e15440
W.	w11_d203e15443
Mar	w13_d203e15447
ger.,	w1_d203e15452
bey	w3_d203e15455
St.	w5_d203e15458
Leop	w7_d203e15461
im	w9_d203e15464
Liechtenth.,	w11_d203e15467
alt	w13_d203e15471
27	w15_d203e15474
J.	w17_d203e15477
Dem	w1_d203e15482
Ant	w3_d203e15485
Forstner,	w5_d203e15488
Tüchel=mach.,	w7_d203e15491
s.	w9_d203e15494
K.	w11_d203e15497
Jos.,	w13_d203e15501
im	w15_d203e15504
Baderis.	w1_d203e15510
H.	w3_d203e15513
zu	w5_d203e15516
Gumpendorf,	w7_d203e15519
alt	w9_d203e15522
2.	w11_d203e15525
J.	w13_d203e15529
Dem	w1_d203e15534
Andre	w3_d203e15537
Sacke,	w5_d203e15540
Schuh=mach.,	w7_d203e15543
s.	w9_d203e15546
K.	w11_d203e15549
Jos.,	w13_d203e15553
im	w15_d203e15556
Sutneris.	w1_d203e15561
H.	w3_d203e15564
zu	w5_d203e15567
Erdberg,	w7_d203e15570
alt	w9_d203e15573
2.	w11_d203e15576
J.	w13_d203e15580
Jos.	w1_d203e15585
Mayer,	w3_d203e15588
Fuhr=m.,	w5_d203e15591
bey	w7_d203e15594
der	w9_d203e15597
gold.	w11_d203e15600
Ros.	w13_d203e15604
im	w15_d203e15607
Lerchf.	w17_d203e15610
alt	w1_d203e15616
33	w3_d203e15619
J.	w5_d203e15622
Eva	w1_d203e15627
Weißin,	w3_d203e15630
Wittwe,	w5_d203e15633
beym	w7_d203e15636
weis.	w9_d203e15639
Rös.	w11_d203e15642
oder	w13_d203e15646
dem	w15_d203e15649
Neustift,	w1_d203e15654
alt	w3_d203e15657
60.	w5_d203e15660
J.	w7_d203e15663
Joh.	w1_d203e15668
Winkler,	w3_d203e15671
Kupfer=schm.	w5_d203e15674
ges.,	w7_d203e15677
im	w9_d203e15680
Ruepisch.	w11_d203e15683
H.	w13_d203e15687
in	w1_d203e15693
der	w3_d203e15696
Rossau,	w5_d203e15699
alt	w7_d203e15702
42.	w9_d203e15705
J.	w11_d203e15708
Dm	w1_d203e15713
Lewp.	w3_d203e15716
Drent,	w5_d203e15719
Tagw.	w7_d203e15722
s.	w9_d203e15725
L.	w11_d203e15728
Jos,	w13_d203e15732
beym	w15_d203e15735
lus.	w17_d203e15738
Bauren	w1_d203e15743
in	w3_d203e15746
der	w5_d203e15749
Leopoldß.,	w7_d203e15752
alt	w9_d203e15755
5.	w11_d203e15758
v.	w13_d203e15762
J.	w15_d203e15765
Dem	w1_d203e15770
Georg	w3_d203e15773
Krauß,	w5_d203e15776
Tagw.,	w7_d203e15779
s.	w9_d203e15782
W.	w11_d203e15785
Bard.,	w13_d203e15789
im	w15_d203e15792
Ti	w17_d203e15795
schleris.	w1_d203e15801
H.	w3_d203e15804
zu	w5_d203e15807
Margar,	w7_d203e15810
alt	w9_d203e15813
39.	w11_d203e15816
J.	w13_d203e15820
</list>
<head id="h2_d203e15827">
Summa	w1_d203e15831
14.	w3_d203e15834
Pers.,	w5_d203e15837
darunter	w7_d203e15840
7.	w9_d203e15843
Kinder.	w11_d203e15846
</head>
<head id="h2_d203e15852">
EB	w1_d203e15856
C.	w3_d203e15859
</head>
<p id="p4_d203e15862">
Von	w1_d203e15866
der	w3_d203e15869
Röm.	w5_d203e15872
Kaiserl.	w7_d203e15875
Königl.	w9_d203e15878
Majestät	w11_d203e15881
N.	w1_d203e15886
Oe.	w3_d203e15889
Regierung	w5_d203e15892
in	w7_d203e15895
Justiz	w9_d203e15898
sachen,	w11_d203e15901
wegen	w13_d203e15905
Weil.	w1_d203e15910
Jacob	w3_d203e15913
Föhr,	w5_d203e15916
gewest	w7_d203e15919
Kaiserl.	w9_d203e15922
Nieder	w11_d203e15925
lags=verwandten	w1_d203e15931
nachgelassenen	w3_d203e15934
Befreundten,	w5_d203e15937
und	w1_d203e15942
Erben	w3_d203e15945
anzufgen	w5_d203e15948
</p>
<p id="p6_d203e15951">
Welcher=gestalten	w1_d203e15955
bey	w3_d203e15958
Jhr	w5_d203e15961
Regierung	w7_d203e15964
in	w9_d203e15967
Justiz	w1_d203e15972
sachen	w3_d203e15975
Rudolph	w5_d203e15978
Wachtl.	w7_d203e15981
J.	w9_d203e15984
U.	w11_d203e15987
Doctor,	w1_d203e15992
Hof	w3_d203e15995
und	w5_d203e15998
Gerichts=docatus,	w7_d203e16001
als	w9_d203e16004
gerichtl.	w1_d203e16010
aufgestelter	w3_d203e16013
Curat	w5_d203e16016
r	w7_d203e16019
al	w9_d203e16022
lites	w11_d203e16025
der	w13_d203e16029
Geissenhofischen	w1_d203e16034
Massæ	w3_d203e16037
wegen	w5_d203e16040
vorhin	w7_d203e16043
einge	w9_d203e16046
klagten	w1_d203e16051
ein	w3_d203e16054
hundert	w5_d203e16057
Galben	w7_d203e16060
Capital	w9_d203e16063
cum	w11_d203e16066
</p>
<p id="p8_d203e16069">
sus	w1_d203e16073
caus.	w3_d203e16076
wider	w5_d203e16079
ersagten	w7_d203e16082
Jacob	w9_d203e16085
Föhr,	w11_d203e16088
ge	w13_d203e16092
west	w1_d203e16097
Kaiserl.	w3_d203e16100
Nieder=lags=verwandten	w5_d203e16103
die	w7_d203e16106
Gerichtl.	w1_d203e16111
Moderirung	w3_d203e16114
deren	w5_d203e16117
in	w7_d203e16120
dieser	w9_d203e16123
Stritt	w11_d203e16126
sache	w1_d203e16132
aufgeloffenen	w3_d203e16135
Expensen,	w5_d203e16138
angeschwol	w7_d203e16141
lenen	w1_d203e16146
Jnteressen,	w3_d203e16149
und	w5_d203e16152
verdienten	w7_d203e16155
Ad	w9_d203e16158
vocatens	w11_d203e16161
Bemühung	w1_d203e16166
in	w3_d203e16169
ordine	w5_d203e16172
rechtens	w7_d203e16175
erhalten	w9_d203e16178
habe,	w11_d203e16181
diese	w1_d203e16186
auch	w3_d203e16189
zu	w5_d203e16192
Einlegung	w7_d203e16195
deren	w9_d203e16198
acten,	w11_d203e16201
und	w13_d203e16205
gerichtl.	w1_d203e16211
Moderirung	w3_d203e16214
auf	w5_d203e16217
den	w7_d203e16220
14den	w9_d203e16223
des	w11_d203e16226
künftigen	w1_d203e16231
Monats	w3_d203e16234
Januarii	w5_d203e16237
Nachmittags	w7_d203e16240
um	w1_d203e16245
2.	w3_d203e16248
Uhr	w5_d203e16251
bey	w7_d203e16254
Jhr	w9_d203e16257
Regierung	w11_d203e16260
in	w13_d203e16264
Justiz-	w15_d203e16267
sachen	w1_d203e16272
Mittels	w3_d203e16275
Secretario	w5_d203e16278
Franz	w7_d203e16281
Adolph	w9_d203e16284
Croyer	w1_d203e16290
v.	w3_d203e16293
Krichenfels	w5_d203e16296
zur	w7_d203e16299
Tagsatzung	w9_d203e16302
bestim	w11_d203e16305
met	w1_d203e16310
worden,	w3_d203e16313
wobey	w5_d203e16316
der	w7_d203e16319
Beklagte,	w9_d203e16322
oder	w11_d203e16325
nun	w13_d203e16329
mehro	w1_d203e16334
dessen	w3_d203e16337
ruckgelassene	w5_d203e16340
Befreundte	w7_d203e16343
und	w9_d203e16346
Erben	w1_d203e16351
also	w3_d203e16354
gewiß	w5_d203e16357
erscheinen,	w7_d203e16360
wie	w9_d203e16363
im	w11_d203e16366
widri	w13_d203e16370
gen	w1_d203e16376
auf	w3_d203e16379
deren	w5_d203e16382
Ausb	w7_d203e16385
leiben	w9_d203e16388
die	w11_d203e16391
einlegende	w13_d203e16395
Acta	w15_d203e16398
ex	w1_d203e16403
officio	w3_d203e16406
moderiret	w5_d203e16409
werden	w7_d203e16412
sollen.	w9_d203e16415
</p>
<p id="p10_d203e16418">
Wann	w1_d203e16422
nun	w3_d203e16425
wegen	w5_d203e16428
unbekannten	w7_d203e16431
Aufenthalt	w9_d203e16434
dieser	w1_d203e16439
Jacob	w3_d203e16442
Föhrischen	w5_d203e16445
Befreundten,	w7_d203e16448
und	w9_d203e16451
Er	w11_d203e16454
ben,	w1_d203e16459
er	w3_d203e16462
Geissenhofischer	w5_d203e16465
Curator	w7_d203e16468
ad	w9_d203e16471
lires	w11_d203e16474
um	w1_d203e16480
Ausfertigung	w3_d203e16483
deren	w5_d203e16486
gewöhnlichen	w7_d203e16489
Edicten	w9_d203e16492
angelanget,	w1_d203e16497
in	w3_d203e16500
desselben	w5_d203e16503
Bitten	w7_d203e16506
auch	w9_d203e16509
gewil	w11_d203e16512
liget	w1_d203e16517
worden.	w3_d203e16520
</p>
<p id="p12_d203e16524">
Als	w1_d203e16528
werden	w3_d203e16531
sie	w5_d203e16534
Eingangs=berührte	w7_d203e16537
Jacob	w9_d203e16540
Föhrische	w1_d203e16545
Befreundte,	w3_d203e16548
und	w5_d203e16551
Erben,	w7_d203e16554
zu	w9_d203e16557
der	w11_d203e16560
oben	w13_d203e16564
bemeldt	w1_d203e16569
auf	w3_d203e16572
den	w5_d203e16575
14den	w7_d203e16578
künftigen	w9_d203e16581
Monats	w11_d203e16584
Januarii	w1_d203e16590
1758sten	w3_d203e16593
Jahrs	w5_d203e16596
angeordneten	w7_d203e16599
Mo	w9_d203e16602
derirungs=tagsatzung	w1_d203e16607
Nachmittags	w3_d203e16610
um	w5_d203e16613
2.	w7_d203e16616
Uhr	w1_d203e16621
ihres	w3_d203e16624
unwissentlichen	w5_d203e16627
Aufenthalts	w7_d203e16630
hal	w9_d203e16633
ber	w1_d203e16638
hiemit	w3_d203e16641
durch	w5_d203e16644
dieses	w7_d203e16647
Edict	w9_d203e16650
ordentlich	w11_d203e16653
vorgefordert;	w1_d203e16659
wornach	w3_d203e16662
sie	w5_d203e16665
sich	w7_d203e16668
zu	w9_d203e16671
achten	w11_d203e16674
haben.	w13_d203e16678
</p>
<list id="l14_d203e16681">
..	w1_d203e16685
CT.	w1_d203e16690
</list>
<head id="h2_d203e16697">
DITI	w1_d203e16701
</head>
<p id="p4_d203e16704">
Von	w1_d203e16708
des	w3_d203e16711
Kaiserl.	w5_d203e16714
Königl.	w7_d203e16717
Judicipelesati	w9_d203e16720
Militaris	w1_d203e16725
mixti.	w3_d203e16728
Archiqucatus	w5_d203e16731
Austriæ	w7_d203e16734
su-	w9_d203e16737
pra	w1_d203e16742
&	w3_d203e16745
infra	w5_d203e16748
ondsum	w7_d203e16751
wegen,	w9_d203e16754
wird	w11_d203e16757
hiemit	w13_d203e16761
durch	w1_d203e16767
dieses	w3_d203e16770
offentliche	w5_d203e16773
Edict	w7_d203e16776
deren	w9_d203e16779
Obrist	w11_d203e16782
Marchese	w1_d203e16787
Viscontischen	w3_d203e16790
Herren	w5_d203e16793
Erben	w7_d203e16796
und	w9_d203e16799
Legatarien	w1_d203e16804
kund	w3_d203e16807
und	w5_d203e16810
zu	w7_d203e16813
wissen	w9_d203e16816
gemacht;	w11_d203e16819
wel	w13_d203e16823
chergestalten	w1_d203e16828
die	w3_d203e16831
verwittibte	w5_d203e16834
Elisabeth	w7_d203e16837
Lette	w9_d203e16840
geborne	w1_d203e16846
v.	w3_d203e16849
Munioz	w5_d203e16852
wegen	w7_d203e16855
eines	w9_d203e16858
von	w11_d203e16861
ihnen	w13_d203e16865
Vascontischen	w1_d203e16870
Herren	w3_d203e16873
Erben,	w5_d203e16876
und	w7_d203e16879
Legatarien	w9_d203e16882
ihren	w1_d203e16887
Ehe=consorten	w3_d203e16890
versprochenen	w5_d203e16893
Deseroiti	w7_d203e16896
pr.	w1_d203e16901
795.	w3_d203e16904
fl.	w5_d203e16907
3.	w7_d203e16910
kr.	w9_d203e16913
auf	w11_d203e16916
weiters	w13_d203e16920
Anlangen	w15_d203e16923
wi	w17_d203e16926
der	w1_d203e16932
dieselbe	w3_d203e16935
die	w5_d203e16938
Unklaghafts=haltungs	w7_d203e16941
Auf	w9_d203e16944
lag	w1_d203e16949
unterm	w3_d203e16952
12.	w5_d203e16955
dies	w7_d203e16958
Monats	w9_d203e16961
und	w11_d203e16964
Jahrs	w13_d203e16968
behoben	w1_d203e16973
habe,	w3_d203e16976
gleichwie	w5_d203e16979
nun	w7_d203e16982
diese	w9_d203e16985
Verord	w11_d203e16988
nung	w1_d203e16993
ihnen	w3_d203e16996
Viscontischen	w5_d203e16999
Herren	w7_d203e17002
Erben	w9_d203e17005
und	w11_d203e17008
Legatarten	w1_d203e17014
ihres	w3_d203e17017
unwissenden	w5_d203e17020
Aufenthalts	w7_d203e17023
halber	w1_d203e17028
ad	w3_d203e17031
ædes	w5_d203e17034
gebräuchiger	w7_d203e17037
massen	w9_d203e17040
nicht	w11_d203e17043
</p>
<p id="p8_d203e17048">
zugestellet	w1_d203e17052
werden	w3_d203e17055
kan,	w5_d203e17058
als	w7_d203e17061
wird	w9_d203e17064
solche	w11_d203e17067
Ver	w13_d203e17071
ordnung	w1_d203e17076
denenselben	w3_d203e17079
zufolge	w5_d203e17082
der	w7_d203e17085
unterm	w9_d203e17088
obi	w11_d203e17091
gen	w1_d203e17096
dato	w3_d203e17099
ergangenen	w5_d203e17102
Auflag	w7_d203e17105
per	w9_d203e17108
Edictum	w11_d203e17111
ad	w1_d203e17117
valvas	w3_d203e17120
hiemit	w5_d203e17123
intimiret.	w7_d203e17126
</p>
<p id="p10_d203e17129">
Bey	w1_d203e17133
dem	w3_d203e17136
Burgerlichen	w5_d203e17139
Handels=mann	w7_d203e17142
Johann	w1_d203e17147
Michael	w3_d203e17150
Müllner	w5_d203e17153
zum	w7_d203e17156
Schwarzen	w9_d203e17159
Cammel	w1_d203e17164
in	w3_d203e17167
der	w5_d203e17170
Bogner=gassen,	w7_d203e17173
ist	w9_d203e17176
unter	w11_d203e17179
an	w13_d203e17183
deren	w1_d203e17189
Ausländischen,	w3_d203e17192
auch	w5_d203e17195
veritabler	w7_d203e17198
Necker	w9_d203e17201
wein	w1_d203e17206
zu	w3_d203e17209
haben.	w5_d203e17212
</p>
<head id="h2_d203e17218">
EDICT.	w1_d203e17222
</head>
<p id="p4_d203e17225">
Von	w1_d203e17229
der	w3_d203e17232
Hochgräfl.	w5_d203e17235
Extellenz	w7_d203e17238
Hoysischen	w9_d203e17241
Herrschaft	w1_d203e17246
Horn	w3_d203e17249
wird	w5_d203e17252
hiemit	w7_d203e17255
jedermänniglich	w9_d203e17258
kund	w1_d203e17263
und	w3_d203e17266
zu	w5_d203e17269
wissen	w7_d203e17272
gemacht,	w9_d203e17275
was	w11_d203e17278
massen	w13_d203e17282
bey	w15_d203e17285
hiesiger	w1_d203e17291
Herrschafts=canzley	w3_d203e17294
(Titl.)	w5_d203e17297
Hr	w7_d203e17300
Jo	w9_d203e17303
seph	w1_d203e17308
von	w3_d203e17311
Wimer	w5_d203e17314
N.	w7_d203e17317
Oe.	w9_d203e17320
Ritter=stands	w11_d203e17323
Agent,	w13_d203e17327
den	w1_d203e17332
Georg	w3_d203e17335
Anton	w5_d203e17338
Wolf	w7_d203e17341
wegen	w9_d203e17344
ihme	w11_d203e17347
zeug	w13_d203e17351
aus	w15_d203e17354
gestellten	w1_d203e17359
Obligation	w3_d203e17362
sub	w5_d203e17365
Dato	w7_d203e17368
25.	w9_d203e17371
Decemb.	w11_d203e17374
1710.	w1_d203e17380
schuldigen	w3_d203e17383
33.	w5_d203e17386
fl.	w7_d203e17389
30.	w9_d203e17392
kr.	w11_d203e17395
gerichtlich	w13_d203e17399
be	w15_d203e17402
langet,	w1_d203e17407
der	w3_d203e17410
Beklagte	w5_d203e17413
aber	w7_d203e17416
durch	w9_d203e17419
eine	w11_d203e17422
ange	w13_d203e17426
brachte,	w1_d203e17431
und	w3_d203e17434
hinach	w5_d203e17437
mittelst	w7_d203e17440
Ablegung	w9_d203e17443
des	w11_d203e17446
ih	w13_d203e17450
me	w1_d203e17455
deferirten	w3_d203e17458
Juraments	w5_d203e17461
liquidirte	w7_d203e17464
Gegen	w9_d203e17467
forderung	w1_d203e17473
obgedachte	w3_d203e17476
Schuld	w5_d203e17479
deren	w7_d203e17482
eingeklag	w9_d203e17485
ten	w1_d203e17490
33.	w3_d203e17493
fl.	w5_d203e17496
20.	w7_d203e17499
kr.	w9_d203e17502
gänzlichen	w11_d203e17505
compensiret	w13_d203e17509
ha	w15_d203e17512
be:	w1_d203e17517
Wannenhero	w3_d203e17520
auch	w5_d203e17523
auf	w7_d203e17526
ferneres	w9_d203e17529
Anlan	w11_d203e17532
gen	w1_d203e17537
des	w3_d203e17540
Reconvenienten	w5_d203e17543
ihme	w7_d203e17546
Hrn.	w9_d203e17549
von	w11_d203e17552
Wi	w13_d203e17556
mer	w1_d203e17562
die	w3_d203e17565
Extradirung	w5_d203e17568
dieser	w7_d203e17571
sich	w9_d203e17574
nunmehro	w11_d203e17577
si	w13_d203e17581
ne	w1_d203e17586
causa	w3_d203e17589
in	w5_d203e17592
seinen	w7_d203e17595
Handen	w9_d203e17598
befindlichen	w11_d203e17601
Ori	w13_d203e17605
ginal=schuld=obligation	w1_d203e17610
mit	w3_d203e17613
vorläuffiger	w5_d203e17616
Er	w7_d203e17619
innerung	w1_d203e17624
schon	w3_d203e17627
im	w5_d203e17630
Monat	w7_d203e17633
Septemb.	w9_d203e17636
dieses	w11_d203e17639
Jahrs	w1_d203e17645
auferleget	w3_d203e17648
worden.	w5_d203e17651
Zumalen	w7_d203e17654
aber	w9_d203e17657
dieser	w1_d203e17662
Extradirungs=auflag	w3_d203e17665
nicht	w5_d203e17668
statt	w7_d203e17671
ge	w9_d203e17674
than	w1_d203e17679
worden;	w3_d203e17682
als	w5_d203e17685
ist	w7_d203e17688
auf	w9_d203e17691
weiteres	w11_d203e17694
Jnsistiren	w13_d203e17698
in	w1_d203e17703
die	w3_d203e17706
Ausfertigung	w5_d203e17709
