<doc id="wr_1758-12-09" attrs="word" year="1758" month="12" day="09" corpus="2">
<head id="h2_d303e2449">
Berlin	w1_d303e2453
ihrem	w9_d303e13255
H.	w11_d303e13258
zu	w13_d303e13262
Erdberg,	w15_d303e13265
alt	w1_d303e13271
68.	w3_d303e13274
J.	w5_d303e13277
Niclas	w1_d303e13282
Weiß,	w3_d303e13285
Wirt,	w5_d303e13288
in	w7_d303e13291
s.	w9_d303e13294
H.	w11_d303e13297
im	w13_d303e13301
Lerchf.,	w15_d303e13304
70.	w17_d303e13307
J.	w19_d303e13310
</list>
<head id="h2_d303e13317">
Summa	w1_d303e13321
6.	w3_d303e13324
Person.,	w5_d303e13327
darunter	w7_d303e13330
0.	w9_d303e13333
Kind.	w11_d303e13336
</head>
<head id="h2_d303e13342">
EDICT.	w1_d303e13346
</head>
<p id="p4_d303e13349">
Von	w1_d303e13353
der	w3_d303e13356
Kaiserl.	w5_d303e13359
Königl.	w7_d303e13362
N.	w9_d303e13365
Oe.	w11_d303e13368
Vicedom	w13_d303e13372
amts=administrations=grund=buchs	w1_d303e13377
wegen,	w3_d303e13380
wird	w5_d303e13383
hiemit	w1_d303e13388
jedermänniglich	w3_d303e13391
kund	w5_d303e13394
und	w7_d303e13397
zu	w9_d303e13400
wissen	w11_d303e13403
ge	w13_d303e13407
macht,	w1_d303e13413
was	w3_d303e13416
gestalten	w5_d303e13419
weyland	w7_d303e13422
Anna	w9_d303e13425
Maria	w11_d303e13428
We	w13_d303e13432
nischin,	w1_d303e13437
anvor	w3_d303e13440
Zellmayrin	w5_d303e13443
Burgerl.	w7_d303e13446
Land=kutscher	w9_d303e13449
Wittib	w1_d303e13454
seel.	w3_d303e13457
nachgelassene	w5_d303e13460
Erben	w7_d303e13463
noch	w9_d303e13466
unterm	w11_d303e13469
2.	w1_d303e13474
September	w3_d303e13477
Anno	w5_d303e13480
1757.	w7_d303e13483
gehorsamst	w9_d303e13486
angezei	w11_d303e13489
get,	w1_d303e13495
daß	w3_d303e13498
nachdeme	w5_d303e13501
jetzt=ernannte	w7_d303e13504
Weischin	w9_d303e13507
anvor	w11_d303e13510
Zellmayerin	w1_d303e13515
als	w3_d303e13518
ihre	w5_d303e13521
respect.	w7_d303e13524
leibliche	w9_d303e13527
und	w11_d303e13530
Stief	w13_d303e13534
mutter	w1_d303e13539
den	w3_d303e13542
18.	w5_d303e13545
May	w7_d303e13548
1753.	w9_d303e13551
mit	w11_d303e13554
Tod	w13_d303e13558
abgegan	w15_d303e13561
gen,	w1_d303e13566
und	w3_d303e13569
derselben	w5_d303e13572
Verlassenschaft	w7_d303e13575
in	w9_d303e13578
denen	w11_d303e13581
an	w13_d303e13585
ihres	w1_d303e13591
Ehe=wirts	w3_d303e13594
Johann	w5_d303e13597
Wenisch	w7_d303e13600
seel.	w9_d303e13603
Gridæ-	w11_d303e13606
massa,	w1_d303e13611
gehabten	w3_d303e13614
vorzüglichen	w5_d303e13617
Heyrats=sprüchen	w7_d303e13620
bestanden	w1_d303e13625
ware,	w3_d303e13628
sie	w5_d303e13631
die	w7_d303e13634
Sache	w9_d303e13637
bey	w11_d303e13640
alhiesigWie	w13_d303e13644
nerischen	w1_d303e13649
Stadt=gericht	w3_d303e13652
anhängig	w5_d303e13655
gemacht,	w7_d303e13658
und	w9_d303e13661
sohin	w1_d303e13667
bewürket	w3_d303e13670
hätten,	w5_d303e13673
daß	w7_d303e13676
ihnen	w9_d303e13679
vermög	w11_d303e13682
der	w13_d303e13686
in	w15_d303e13689
Puncto	w1_d303e13694
gebettenen	w3_d303e13697
Einantwortung	w5_d303e13700
berührten	w7_d303e13703
Ver	w9_d303e13706
lassenschaft	w1_d303e13711
sub	w3_d303e13714
dato	w5_d303e13717
21.	w7_d303e13720
Martii	w9_d303e13723
1757.	w11_d303e13726
erledig	w13_d303e13730
ten	w1_d303e13735
Relationen	w3_d303e13738
unter	w5_d303e13741
andern	w7_d303e13744
auch	w9_d303e13747
der,	w11_d303e13750
zu	w13_d303e13754
der	w15_d303e13757
Kaiserl.	w1_d303e13763
Kön.	w3_d303e13766
Viced.	w5_d303e13769
Herrschaft	w7_d303e13772
Lachsenburgi	w9_d303e13775
schen	w1_d303e13780
Grund=buch	w3_d303e13783
dienstbar	w5_d303e13786
und	w7_d303e13789
unterthänige	w9_d303e13792
Johann	w1_d303e13797
Wenische	w3_d303e13800
Hof,	w5_d303e13803
samt	w7_d303e13806
zugehörigen	w9_d303e13809
Haus	w11_d303e13812
grund=stücken	w1_d303e13817
zu	w3_d303e13820
Klettering	w5_d303e13823
in	w7_d303e13826
soutum	w9_d303e13829
eigentum	w11_d303e13832
lich	w1_d303e13838
überlassen	w3_d303e13841
worden	w5_d303e13844
seye.	w7_d303e13847
</p>
<p id="p6_d303e13850">
Gleichwie	w1_d303e13854
aber	w3_d303e13857
auf	w5_d303e13860
diesen	w7_d303e13863
Hof,	w9_d303e13866
und	w11_d303e13869
Zugehörung	w13_d303e13873
sie	w1_d303e13878
wiederholte	w3_d303e13881
Erblasserin	w5_d303e13884
wegen	w7_d303e13887
gemeldt=ihren	w9_d303e13890
Heyrats=sprüchen	w1_d303e13895
mit	w3_d303e13898
ordentlichen	w5_d303e13901
Satz	w7_d303e13904
sich	w9_d303e13907
noch	w1_d303e13913
sub	w3_d303e13916
dato	w5_d303e13919
4.	w7_d303e13922
Julii	w9_d303e13925
1736.	w11_d303e13928
versichern	w13_d303e13932
lassen,	w15_d303e13935
also	w1_d303e13940
daß	w3_d303e13943
Herr	w5_d303e13946
Franz	w7_d303e13949
Christoph	w9_d303e13952
Castori	w11_d303e13955
weltlicher	w13_d303e13959
Priester	w1_d303e13964
sodann	w3_d303e13967
mit	w5_d303e13970
einer	w7_d303e13973
in	w9_d303e13976
Capital,	w11_d303e13979
Jnteresse	w13_d303e13983
und	w1_d303e13988
Erpensen	w3_d303e13991
auf	w5_d303e13994
gerichtlichen	w7_d303e13997
Ansatz	w9_d303e14000
den	w11_d303e14003
22.	w13_d303e14007
Junii.	w15_d303e14010
1736.	w1_d303e14016
wider	w3_d303e14019
sie	w5_d303e14022
mehrberührte	w7_d303e14025
Wenischin	w9_d303e14028
anvor	w11_d303e14031
Zellmayerin,	w1_d303e14036
eingeklagten	w3_d303e14039
5000.	w5_d303e14042
fl.	w7_d303e14045
Schuldforde	w9_d303e14048
derung	w1_d303e14053
auf	w3_d303e14056
eben	w5_d303e14059
derselben	w7_d303e14062
haftenden	w9_d303e14065
hie	w11_d303e14068
obigen	w13_d303e14072
Satz	w1_d303e14077
weiters	w3_d303e14080
vorgemerkt	w5_d303e14083
werden,	w7_d303e14086
hingegen	w9_d303e14089
sotha	w11_d303e14092
ner	w1_d303e14098
Original=satz=brief	w3_d303e14101
über	w5_d303e14104
die	w7_d303e14107
beschehene	w9_d303e14110
gänz	w11_d303e14113
liche	w1_d303e14118
Contentirung	w3_d303e14121
ersagten	w5_d303e14124
Herrn	w7_d303e14127
Castori,	w9_d303e14130
und	w11_d303e14133
dessen	w1_d303e14138
Ceßionarii,	w3_d303e14141
Wolfgang	w5_d303e14144
Wittmanns	w7_d303e14147
Mühler	w9_d303e14150
meisters,	w1_d303e14155
samt	w3_d303e14158
dem,	w5_d303e14161
bey	w7_d303e14164
dem	w9_d303e14167
Kaiserl	w11_d303e14170
Königl.	w13_d303e14174
N.	w15_d303e14177
</p>
<p id="p12_d303e14191">
De	w1_d303e14195
Regierung	w3_d303e14198
in	w5_d303e14201
Jnstitz=sachen	w7_d303e14204
Untermarschallen	w9_d303e14207
amt	w1_d303e14212
sub	w3_d303e14215
Dato	w5_d303e14218
16.	w7_d303e14221
Julii	w9_d303e14224
1736.	w11_d303e14227
gefertigten	w13_d303e14231
Exe	w15_d303e14234
cutions=schein	w1_d303e14239
würklich	w3_d303e14242
verloren	w5_d303e14245
gegangen	w7_d303e14248
seye,	w9_d303e14251
mit	w11_d303e14254
hin	w1_d303e14260
dann	w3_d303e14263
die	w5_d303e14266
Eingangs=berührte	w7_d303e14269
Wenische	w9_d303e14272
Erben	w11_d303e14275
gebetten,	w1_d303e14280
an	w3_d303e14283
die	w5_d303e14286
Amts=canzley	w7_d303e14289
wegen	w9_d303e14292
Ausferti	w11_d303e14295
gung	w1_d303e14300
deren	w3_d303e14303
erforderlichen	w5_d303e14306
Amortifations-edicten	w7_d303e14309
die	w1_d303e14314
Auflage	w3_d303e14317
ergehen	w5_d303e14320
zu	w7_d303e14323
lassen,	w9_d303e14326
in	w11_d303e14329
welches	w13_d303e14333
ihr	w15_d303e14336
Begeh	w17_d303e14339
ren	w1_d303e14345
dann	w3_d303e14348
auch	w5_d303e14351
gewilliget	w7_d303e14354
worden.	w9_d303e14357
</p>
<p id="p14_d303e14360">
Als	w1_d303e14364
werden	w3_d303e14367
alle	w5_d303e14370
diejenige,	w7_d303e14373
welche	w9_d303e14376
der	w11_d303e14379
Anna	w13_d303e14383
Ma	w15_d303e14386
rig	w1_d303e14391
Wenischin,	w3_d303e14394
anvor	w5_d303e14397
Zellmayerin	w7_d303e14400
sub	w9_d303e14403
Daro	w11_d303e14406
4.	w13_d303e14410
Ju	w15_d303e14413
lii	w1_d303e14418
1736.	w3_d303e14421
gefertigten	w5_d303e14424
obbeschriebenen	w7_d303e14427
Original=satz	w9_d303e14430
brief,	w1_d303e14436
wie	w3_d303e14439
auch	w5_d303e14442
ersagten	w7_d303e14445
Exccutions=schein	w9_d303e14448
bey	w11_d303e14451
Han	w13_d303e14455
den,	w1_d303e14460
oder	w3_d303e14463
sonst	w5_d303e14466
hievon	w7_d303e14469
einige	w9_d303e14472
Wissenschaft	w11_d303e14475
haben,	w13_d303e14479
mittelst	w1_d303e14484
Beybringung	w3_d303e14487
ihrer	w5_d303e14490
allenfalls	w7_d303e14493
habenden	w9_d303e14496
Be	w11_d303e14499
helfen	w1_d303e14504
bey	w3_d303e14507
der	w5_d303e14510
Kaiserl.	w7_d303e14513
Königl.	w9_d303e14516
N.	w11_d303e14519
Oe.	w13_d303e14523
Vicedow	w15_d303e14526
amts=aoministration	w1_d303e14532
alsogewiß	w3_d303e14535
einlegen,	w5_d303e14538
oder	w7_d303e14541
hie	w9_d303e14544
von	w1_d303e14549
Anzeige	w3_d303e14552
machen,	w5_d303e14555
wie	w7_d303e14558
im	w9_d303e14561
widrigen	w11_d303e14564
sothaner	w13_d303e14568
Satz	w1_d303e14573
nach	w3_d303e14576
erloschenen	w5_d303e14579
legaten	w7_d303e14582
Termen	w9_d303e14585
ex	w11_d303e14588
officio	w13_d303e14592
caßiret	w1_d303e14597
werden	w3_d303e14600
solle,	w5_d303e14603
und	w7_d303e14606
mithin	w9_d303e14609
von	w11_d303e14612
Dato	w13_d303e14616
über	w15_d303e14619
1.	w1_d303e14625
Jahr	w3_d303e14628
6.	w5_d303e14631
Wochen	w7_d303e14634
und	w9_d303e14637
3.	w11_d303e14640
Täg	w13_d303e14644
mit	w15_d303e14647
weiteren	w17_d303e14650
Ge	w19_d303e14653
wehrs=ertheilung	w1_d303e14658
vorgegangen	w3_d303e14661
werden	w5_d303e14664
wird.	w7_d303e14667
Actum	w9_d303e14670
Wien	w1_d303e14675
den	w3_d303e14678
11.	w5_d303e14681
April	w7_d303e14684
1758.	w9_d303e14687
</p>
<list id="l16_d303e14690">
St.	w1_d303e14694
Johannes	w3_d303e14697
in	w5_d303e14700
der	w7_d303e14703
Wüste,	w9_d303e14706
ist	w11_d303e14709
unter	w13_d303e14713
andern	w15_d303e14716
vie	w17_d303e14719
len	w1_d303e14724
Büchern	w3_d303e14727
Kupfer=stich	w5_d303e14730
und	w7_d303e14733
Land=karten	w9_d303e14736
nach	w11_d303e14739
folgendes	w1_d303e14744
zu	w3_d303e14747
haben:	w5_d303e14750
Etat	w1_d303e14756
nouvean	w3_d303e14759
de	w5_d303e14762
l'Armée	w7_d303e14765
combinée	w9_d303e14768
comme	w11_d303e14771
alle	w1_d303e14776
se	w3_d303e14779
trouve	w5_d303e14782
effectivement	w7_d303e14785
l'An.	w9_d303e14788
1758.	w11_d303e14791
avec	w13_d303e14795
les	w1_d303e14800
Distioctions	w3_d303e14803
de	w5_d303e14806
l'Unisorme	w7_d303e14809
de	w9_d303e14812
chaque	w11_d303e14815
Regi	w13_d303e14819
ment	w1_d303e14824
l'Exempl.	w3_d303e14827
pour	w5_d303e14830
24.	w7_d303e14833
x.	w9_d303e14836
On	w1_d303e14842
peut	w3_d303e14845
aussi	w5_d303e14848
avoir	w7_d303e14851
l'Etat	w9_d303e14854
nouvean	w11_d303e14857
de	w13_d303e14861
Roy	w15_d303e14864
de	w1_d303e14869
Prusse,	w3_d303e14872
de	w5_d303e14875
l'Angloise	w7_d303e14878
ou	w9_d303e14881
de	w11_d303e14884
la	w13_d303e14888
grande	w15_d303e14891
Breta-	w17_d303e14894
gnué,	w1_d303e14899
des	w3_d303e14902
Electorales	w5_d303e14905
de	w7_d303e14908
Hannovre,	w9_d303e14911
ou	w11_d303e14914
de	w13_d303e14918
Brun-	w15_d303e14921
füié-Lünebourg	w1_d303e14926
de	w3_d303e14929
l'An.	w5_d303e14932
1758.	w7_d303e14935
l'Exempl.	w9_d303e14938
pour	w11_d303e14941
24.	w1_d303e14947
x.	w3_d303e14950
Das	w1_d303e14955
Portrait	w3_d303e14958
Seiner	w5_d303e14961
Heiligkeit	w7_d303e14964
des	w9_d303e14967
jetzt=regieren.	w11_d303e14970
den	w1_d303e14975
Papstens	w3_d303e14978
Clementis	w5_d303e14981
XIII.	w7_d303e14984
nach	w9_d303e14987
dem	w11_d303e14990
Romani	w13_d303e14994
schen	w1_d303e14999
Original	w3_d303e15002
gestochen	w5_d303e15005
auf	w7_d303e15008
einem	w9_d303e15011
Medianhalb	w11_d303e15014
bogen	w1_d303e15020
p.	w3_d303e15023
10.	w5_d303e15026
kr.	w7_d303e15029
Das	w1_d303e15034
Portrait	w3_d303e15037
Sr.	w5_d303e15040
Excellenz	w7_d303e15043
des	w9_d303e15046
commandiren	w11_d303e15049
den	w1_d303e15054
Hrn.	w3_d303e15057
General=feld=marschall	w5_d303e15060
Grafen	w7_d303e15063
v.	w9_d303e15066
Dann	w11_d303e15069
te.	w1_d303e15074
NB.	w3_d303e15077
Weil	w5_d303e15080
von	w7_d303e15083
diesem	w9_d303e15086
Portrait	w11_d303e15089
die	w13_d303e15093
anderte	w15_d303e15096
Auflage	w1_d303e15102
auf	w3_d303e15105
einem	w5_d303e15108
Sub=regal=bogen	w7_d303e15111
gemacht	w9_d303e15114
wor	w11_d303e15117
den,	w1_d303e15122
wird	w3_d303e15125
für	w5_d303e15128
jetzo	w7_d303e15131
das	w9_d303e15134
Exempl.	w11_d303e15137
p.	w13_d303e15141
1.	w15_d303e15144
fl.	w17_d303e15147
25.	w19_d303e15150
kr.	w21_d303e15153
verkauft.	w1_d303e15158
Das	w1_d303e15163
Portrait	w3_d303e15166
des	w5_d303e15169
Hrn.	w7_d303e15172
Feld=marschall=leutenants	w9_d303e15175
8.	w1_d303e15181
Laudohn,	w3_d303e15184
auf	w5_d303e15187
einem	w7_d303e15190
Sub=regak=halb=bogen	w9_d303e15193
p.	w11_d303e15196
24.	w1_d303e15201
kr.	w3_d303e15204
Hrn.	w1_d303e15209
Belidors	w3_d303e15212
Jngenieur	w5_d303e15215
Wissenschaft	w7_d303e15218
bey	w9_d303e15221
auf	w11_d303e15224
zuführenden	w1_d303e15229
Festungs=werkern,	w3_d303e15232
und	w5_d303e15235
Burgerlichen	w7_d303e15238
Gebäuden	w1_d303e15244
mit	w3_d303e15247
einer	w5_d303e15250
Zuschrift	w7_d303e15253
an	w9_d303e15256
den	w11_d303e15259
König	w13_d303e15263
aus	w15_d303e15266
Frankreich,	w1_d303e15271
aus	w3_d303e15274
dem	w5_d303e15277
Französischen	w7_d303e15280
übersetzt	w9_d303e15283
1ter	w11_d303e15286
und	w1_d303e15291
2ter	w3_d303e15294
Theil	w5_d303e15297
mit	w7_d303e15300
58.	w9_d303e15303
Kupfer=tabellen,	w11_d303e15306
Groß	w13_d303e15310
</list>
<list id="l18_d303e15314">
Jn	w1_d303e15318
dem	w3_d303e15321
Prasserischen	w5_d303e15324
Buch	w7_d303e15327
und	w9_d303e15330
Kunstführe	w11_d303e15333
rey=gewölb	w1_d303e15338
im	w3_d303e15341
neuen	w5_d303e15344
Michaeler=haus	w7_d303e15347
zum	w9_d303e15350
Schild	w11_d303e15353
</list>
<p id="p20_d303e15357">
quarto,	w1_d303e15361
Nürnberg,	w3_d303e15364
1757.	w5_d303e15367
und	w7_d303e15370
1758.	w9_d303e15373
p.	w11_d303e15376
7.	w13_d303e15380
fl.	w15_d303e15383
30.	w17_d303e15386
kr.	w19_d303e15389
im	w1_d303e15394
Französischen	w3_d303e15397
Einband	w5_d303e15400
p.	w7_d303e15403
8.	w9_d303e15406
fl.	w11_d303e15409
30	w13_d303e15413
kr.,	w15_d303e15416
in	w17_d303e15419
2.	w19_d303e15422
Bän	w21_d303e15425
den	w1_d303e15430
aber	w3_d303e15433
v.	w5_d303e15436
9.	w7_d303e15439
fl.	w9_d303e15442
21.	w11_d303e15445
kr.	w13_d303e15449
</p>
<p id="p22_d303e15452">
Architectura	w1_d303e15456
Eydrausica,	w3_d303e15459
ober	w5_d303e15462
die	w7_d303e15465
Kunst	w9_d303e15468
das	w11_d303e15471
Wasser	w1_d303e15476
zu	w3_d303e15479
denen	w5_d303e15482
verschiedentlichen	w7_d303e15485
Nohtwendig	w9_d303e15488
keiten	w1_d303e15493
des	w3_d303e15496
menschlichen	w5_d303e15499
Lebens	w7_d303e15502
zu	w9_d303e15505
leiten,	w11_d303e15508
in	w13_d303e15512
die	w15_d303e15515
Höhe	w1_d303e15521
zu	w3_d303e15524
bringen,	w5_d303e15527
und	w7_d303e15530
vortheilhaftig	w9_d303e15533
anzuwenden,	w11_d303e15536
aufs	w1_d303e15541
gründlichste	w3_d303e15544
abgehandelt	w5_d303e15547
von	w7_d303e15550
Mr.	w9_d303e15553
Belidor,	w11_d303e15556
in	w1_d303e15561
12.	w3_d303e15564
Ausgaben	w5_d303e15567
abgetheilet,	w7_d303e15570
kolio	w9_d303e15573
Augspurg	w11_d303e15576
in	w13_d303e15580
2.	w1_d303e15585
Französischen	w3_d303e15588
Einbanden	w5_d303e15591
p.	w7_d303e15594
20.	w9_d303e15597
fl.	w11_d303e15600
</p>
<p id="p24_d303e15604">
Wir	w1_d303e15608
Endes	w3_d303e15611
gefertigte	w5_d303e15614
von	w7_d303e15617
einem	w9_d303e15620
löblichen	w11_d303e15623
Land	w13_d303e15627
marschallischen	w1_d303e15632
Gericht	w3_d303e15635
verordnete	w5_d303e15638
Commissarien	w7_d303e15641
fügen	w1_d303e15646
N.	w3_d303e15649
allen	w5_d303e15652
und	w7_d303e15655
jeden,	w9_d303e15658
so	w11_d303e15661
an	w13_d303e15665
weil.	w15_d303e15668
Johann	w17_d303e15671
Auenschild,	w1_d303e15677
frey=herrlich	w3_d303e15680
Mannagetischen	w5_d303e15683
Bedien	w7_d303e15686
ten	w1_d303e15691
seel.	w3_d303e15694
Verlassenschaft	w5_d303e15697
Erbschafts	w7_d303e15700
oder	w9_d303e15703
Schulden	w11_d303e15706
halber	w1_d303e15711
Sprüch	w3_d303e15714
und	w5_d303e15717
Anforderungen	w7_d303e15720
haben,	w9_d303e15723
hiemit	w11_d303e15726
zu	w1_d303e15731
wissen:	w3_d303e15734
welcher	w5_d303e15737
gestalten	w7_d303e15740
wir	w9_d303e15743
auf	w11_d303e15746
Anlangen	w13_d303e15750
des	w15_d303e15753
gerichtlich=verordneten	w1_d303e15759
Euratoris,	w3_d303e15762
Hrn.	w5_d303e15765
Jgnatz	w7_d303e15768
Schweiger,	w1_d303e15773
und	w3_d303e15776
hierüber	w5_d303e15779
an	w7_d303e15782
uns	w9_d303e15785
ergangene	w11_d303e15788
ge	w13_d303e15792
richtliche	w1_d303e15797
Auflag	w3_d303e15800
eine	w5_d303e15803
peremptorie	w7_d303e15806
clausulirte	w9_d303e15809
Con-	w11_d303e15812
vocations=tag=satzung	w1_d303e15817
aus	w3_d303e15820
den	w5_d303e15823
22.	w7_d303e15826
Decemb.	w9_d303e15829
dies	w11_d303e15832
JahrsNachmittag	w1_d303e15838
um	w3_d303e15841
2.	w5_d303e15844
Uhr,	w7_d303e15847
in	w9_d303e15850
meines	w11_d303e15853
Land	w13_d303e15857
schreibers	w1_d303e15862
in	w3_d303e15865
der	w5_d303e15868
Wollzeil	w7_d303e15871
im	w9_d303e15874
Zinngiesserischen	w11_d303e15877
Haus	w1_d303e15882
im	w3_d303e15885
2ten	w5_d303e15888
Stock	w7_d303e15891
habenden	w9_d303e15894
Wohnung	w11_d303e15897
zu	w13_d303e15901
er	w15_d303e15904
scheinen,	w1_d303e15909
pro	w3_d303e15912
primo,	w5_d303e15915
secundo,	w7_d303e15918
ar	w9_d303e15921
ultimo	w11_d303e15924
ter-	w13_d303e15928
mino	w1_d303e15934
bestimmet	w3_d303e15937
haben.	w5_d303e15940
</p>
<p id="p26_d303e15943">
Solchemnach	w1_d303e15947
werden	w3_d303e15950
all	w5_d303e15953
und	w7_d303e15956
jede,	w9_d303e15959
so	w11_d303e15962
an	w13_d303e15966
ob	w15_d303e15969
bemeldt=Hauenschildischer	w1_d303e15974
Verlassenschaft	w3_d303e15977
Sprüch	w5_d303e15980
und	w1_d303e15985
Anforderungen	w3_d303e15988
haben,	w5_d303e15991
an	w7_d303e15994
obgedachten	w9_d303e15997
Tag,	w11_d303e16000
Stund,	w1_d303e16006
und	w3_d303e16009
Ort	w5_d303e16012
also	w7_d303e16015
gewiß	w9_d303e16018
persönlich,	w11_d303e16021
oder	w13_d303e16025
durch	w1_d303e16030
genugsam	w3_d303e16033
Bevollmächtigte	w5_d303e16036
erscheinen,	w7_d303e16039
ihre	w1_d303e16044
Sprüch	w3_d303e16047
anmelden,	w5_d303e16050
und	w7_d303e16053
zugleich	w9_d303e16056
der	w11_d303e16059
Ordnung	w13_d303e16063
nach	w1_d303e16068
behörig	w3_d303e16071
liquidiren;	w5_d303e16074
als	w7_d303e16077
im	w9_d303e16080
widrigen	w11_d303e16083
die	w13_d303e16087
Ab	w15_d303e16090
handlung	w1_d303e16096
vorgenommen,	w3_d303e16099
hierüber	w5_d303e16102
ex	w7_d303e16105
officio	w9_d303e16108
rela-	w11_d303e16111
tioniret,	w1_d303e16116
denen	w3_d303e16119
Ausbleibenden	w5_d303e16122
aber	w7_d303e16125
das	w9_d303e16128
ewige	w11_d303e16131
Stillschweigen	w1_d303e16136
auferleget	w3_d303e16139
werden	w5_d303e16142
solle.	w7_d303e16145
Actum	w9_d303e16148
Wien	w1_d303e16153
den	w3_d303e16156
25.	w5_d303e16159
Septemb.	w7_d303e16162
1758.	w9_d303e16165
</p>
<p id="p28_d303e16168">
Auf	w1_d303e16172
Verordnung	w3_d303e16175
eines	w5_d303e16178
Löbl.	w7_d303e16181
StadtKloster	w9_d303e16184
neuburgischen	w1_d303e16189
Judicii	w3_d303e16192
Delegati	w5_d303e16195
sollen	w7_d303e16198
all	w9_d303e16201
diejenige,	w11_d303e16204
so	w1_d303e16209
an	w3_d303e16212
Herrn	w5_d303e16215
Christoph	w7_d303e16218
Küeffner	w9_d303e16221
seeligen	w11_d303e16224
Ver	w13_d303e16228
lassenschaft	w1_d303e16234
ex	w3_d303e16237
quocunque	w5_d303e16240
demum	w7_d303e16243
capite	w9_d303e16246
&	w11_d303e16249
causa	w13_d303e16253
einige	w1_d303e16258
Forderung	w3_d303e16261
zu	w5_d303e16264
machen	w7_d303e16267
vermeinen,	w9_d303e16270
auf	w11_d303e16273
den	w13_d303e16277
18.	w1_d303e16282
Decemb.	w3_d303e16285
dies	w5_d303e16288
Jahrs	w7_d303e16291
Nachmittag	w9_d303e16294
um	w11_d303e16297
2.	w13_d303e16301
Uhr	w15_d303e16304
zur	w1_d303e16309
ordentlichen	w3_d303e16312
Convocations	w5_d303e16315
und	w7_d303e16318
Liquidations	w9_d303e16321
tagsatzung	w1_d303e16327
in	w3_d303e16330
des	w5_d303e16333
Herrn	w7_d303e16336
Doctor	w9_d303e16339
Fritz,	w11_d303e16342
als	w13_d303e16346
ver	w15_d303e16349
ordneten	w1_d303e16354
Judicis	w3_d303e16357
Delegati	w5_d303e16360
im	w7_d303e16363
Fraßischen	w9_d303e16366
Haus,	w11_d303e16369
nächst	w1_d303e16374
St.	w3_d303e16377
Stephan	w5_d303e16380
im	w7_d303e16383
zweyten	w9_d303e16386
Stock	w11_d303e16389
habenden	w13_d303e16393
Wohnung	w1_d303e16398
erscheinen,	w3_d303e16401
und	w5_d303e16404
behörig	w7_d303e16407
liquidiren,	w9_d303e16410
wie	w1_d303e16416
im	w3_d303e16419
widrigen	w5_d303e16422
denen,	w7_d303e16425
so	w9_d303e16428
sich	w11_d303e16431
nicht	w13_d303e16435
melden,	w15_d303e16438
das	w1_d303e16443
ewige	w3_d303e16446
Stillschweigen	w5_d303e16449
auferleget,	w7_d303e16452
und	w9_d303e16455
die,	w11_d303e16458
so	w1_d303e16463
ihre	w3_d303e16466
Forderung	w5_d303e16469
nicht	w7_d303e16472
liquidiren,	w9_d303e16475
hiemit	w11_d303e16478
ab	w13_d303e16482
gewiesen	w1_d303e16487
seyn,	w3_d303e16490
somit	w5_d303e16493
die	w7_d303e16496
Küeffnerische	w9_d303e16499
Massa	w11_d303e16502
un	w13_d303e16506
ter	w1_d303e16512
diejenige,	w3_d303e16515
welche	w5_d303e16518
ihre	w7_d303e16521
Prätensiones	w9_d303e16524
liquidi	w11_d303e16527
ren	w1_d303e16532
werden,	w3_d303e16535
secundum	w5_d303e16538
prioritatis	w7_d303e16541
gradus	w9_d303e16544
nach	w11_d303e16547
denen	w1_d303e16552
Verlassenschafts=kräften	w3_d303e16555
vertheilet	w5_d303e16558
werden	w7_d303e16561
solle.	w1_d303e16566
Wien	w3_d303e16569
den	w5_d303e16572
30.	w7_d303e16575
Sept.	w9_d303e16578
1758.	w11_d303e16581
</p>
<head id="h2_d303e16681">
Paderborn	w1_d303e16685
25.	w3_d303e16688
Novemb.	w5_d303e16691
</head>
<p id="p4_d303e16694">
Der	w1_d303e16698
Hr.	w3_d303e16701
Marschall	w5_d303e16704
von	w7_d303e16707
Contades	w9_d303e16710
hat	w11_d303e16713
sich	w13_d303e16717
entschlossen,	w1_d303e16722
noch	w3_d303e16725
vorhero,	w5_d303e16728
ehe	w7_d303e16731
er	w9_d303e16734
nach	w11_d303e16737
Crevelt	w1_d303e16742
gehet,	w3_d303e16745
eine	w5_d303e16748
Reise	w7_d303e16751
nach	w9_d303e16754
Kanten	w11_d303e16757
längs	w13_d303e16761
dem	w1_d303e16767
Gestatte	w3_d303e16770
des	w5_d303e16773
Rheins	w7_d303e16776
zu	w9_d303e16779
machen.	w11_d303e16782
Vor	w13_d303e16786
gestern	w1_d303e16791
untersuchte	w3_d303e16794
er	w5_d303e16797
würklich	w7_d303e16800
diesen	w9_d303e16803
Fluß	w11_d303e16806
von	w1_d303e16811
Kanten	w3_d303e16814
an	w5_d303e16817
bis	w7_d303e16820
gegen	w9_d303e16823
den	w11_d303e16826
Canal	w13_d303e16830
von	w15_d303e16833
Cleve,	w1_d303e16838
und	w3_d303e16841
gestern	w5_d303e16844
gienge	w7_d303e16847
er	w9_d303e16850
bis	w11_d303e16853
Cranenburg.	w13_d303e16857
Da	w1_d303e16863
es	w3_d303e16866
ihm	w5_d303e16869
möglich	w7_d303e16872
schiene,	w9_d303e16875
daß	w11_d303e16878
die	w13_d303e16882
Hano	w15_d303e16885
veraner	w1_d303e16890
von	w3_d303e16893
dieser	w5_d303e16896
Seite	w7_d303e16899
einige	w9_d303e16902
kriegerische	w11_d303e16905
