<doc id="wr_1761-07-25" attrs="word" year="1761" month="07" day="25" corpus="2">
<head id="h2_d572e3011">
Umständliche	w1_d572e3015
Joh.	w3_d572e13959
Geiger,	w5_d572e13962
Schuhmach.,	w7_d572e13965
s.	w9_d572e13968
W.	w11_d572e13971
Justina,	w13_d572e13975
bey	w1_d572e13980
der	w3_d572e13983
gros.	w5_d572e13986
Bet.	w7_d572e13989
auf	w9_d572e13992
der	w11_d572e13995
neuen	w13_d572e13999
Wied.,	w15_d572e14002
57.	w17_d572e14005
J.	w19_d572e14008
Dem	w1_d572e14014
Mich.	w3_d572e14017
Baumgartner,	w5_d572e14020
Tischler=ges.,	w7_d572e14023
s.	w9_d572e14026
W.	w11_d572e14029
Magdal.,	w1_d572e14034
beyn	w3_d572e14037
3.	w5_d572e14040
Hussar.	w7_d572e14043
im	w9_d572e14046
Liechtenth.,	w11_d572e14049
74.	w13_d572e14053
J.	w15_d572e14056
Ant.	w1_d572e14061
Strasser,	w3_d572e14064
Schmid,	w5_d572e14067
im	w7_d572e14070
K.	w9_d572e14073
Zeug=H.	w11_d572e14076
in	w13_d572e14080
der	w15_d572e14083
Do	w17_d572e14086
rothe	w1_d572e14091
mühl	w3_d572e14094
zu	w5_d572e14097
Gumpendorf	w7_d572e14100
alt	w9_d572e14103
37.	w11_d572e14106
J.	w13_d572e14110
Der	w1_d572e14116
Rosina	w3_d572e14119
Spielbergerin,	w5_d572e14122
Wittwe,	w7_d572e14125
ihr	w9_d572e14128
T.	w11_d572e14131
Barb.,	w13_d572e14135
bern	w1_d572e14140
3.	w3_d572e14143
Has.	w5_d572e14146
bey	w7_d572e14149
St.	w9_d572e14152
Ulrich,	w11_d572e14155
alt	w13_d572e14159
19.	w15_d572e14162
J.	w17_d572e14165
Dem	w1_d572e14170
Joh.	w3_d572e14173
Fleischer,	w5_d572e14176
Kreutzelmach.,	w7_d572e14179
s.	w9_d572e14182
K.	w11_d572e14185
Mich.,	w13_d572e14189
beym	w1_d572e14194
braun.	w3_d572e14197
Hirsch.	w5_d572e14200
zu	w7_d572e14203
Matzleinstorf,	w9_d572e14206
alt	w11_d572e14209
4.	w13_d572e14213
J.	w15_d572e14216
Dem	w1_d572e14222
Mich	w3_d572e14225
Schreder,	w5_d572e14228
Eomödi=zettul=trag.,	w7_d572e14231
s.	w9_d572e14234
K.	w11_d572e14237
Jacob,	w1_d572e14242
im	w3_d572e14245
Weißgärberis.	w5_d572e14248
H.	w7_d572e14251
an	w9_d572e14254
der	w11_d572e14257
Wien,	w13_d572e14261
3.	w15_d572e14264
J.	w17_d572e14267
Dem	w1_d572e14272
Leop.	w3_d572e14275
Graßman,	w5_d572e14278
Taglohn.,	w7_d572e14281
s.	w9_d572e14284
K.	w11_d572e14287
Franz,	w13_d572e14291
beyn	w15_d572e14294
3.	w1_d572e14299
Rös.	w3_d572e14302
im	w5_d572e14305
Lerchenf.,	w7_d572e14308
alt	w9_d572e14311
4.	w11_d572e14314
J.	w13_d572e14318
</list>
<p id="p6_d572e14322">
Auf	w1_d572e14326
Verordnung	w3_d572e14329
eines	w5_d572e14332
Löbl.	w7_d572e14335
Landmarschalli	w9_d572e14338
chen	w1_d572e14343
Gerichts,	w3_d572e14346
werden	w5_d572e14349
den	w7_d572e14352
29.	w9_d572e14355
dies	w11_d572e14358
Monats	w13_d572e14362
Ju=t	w15_d572e14365
lii	w1_d572e14370
in	w3_d572e14373
dem	w5_d572e14376
sogenannten	w7_d572e14379
Gundelhof	w9_d572e14382
gegen	w11_d572e14385
dem	w13_d572e14389
alten	w1_d572e14395
Bauren=markt,	w3_d572e14398
in	w5_d572e14401
dem	w7_d572e14404
ersten	w9_d572e14407
Stock	w11_d572e14410
fruh	w13_d572e14414
um	w1_d572e14419
9.	w3_d572e14422
bis	w5_d572e14425
12.	w7_d572e14428
Uhr,	w9_d572e14431
Nachmittags	w11_d572e14434
von	w13_d572e14438
3.	w15_d572e14441
bis	w17_d572e14444
6	w19_d572e14447
Uhr,	w1_d572e14452
und	w3_d572e14455
die	w5_d572e14458
darauf	w7_d572e14461
folgende	w9_d572e14464
Täg	w11_d572e14467
verschiedene	w13_d572e14471
Verlassenschafts=effecten,	w1_d572e14476
als	w3_d572e14479
goldene	w5_d572e14482
Repetier	w7_d572e14485
uhren,	w1_d572e14491
Poreelaine	w3_d572e14494
in	w5_d572e14497
Gold	w7_d572e14500
gefast	w9_d572e14503
und	w11_d572e14506
andere	w13_d572e14510
Tabatiern,	w1_d572e14515
Gewehr,	w3_d572e14518
Galla	w5_d572e14521
und	w7_d572e14524
andere	w9_d572e14527
Leibs	w11_d572e14530
kleider,	w1_d572e14535
Porcelain=geschier,	w3_d572e14538
auch	w5_d572e14541
ein	w7_d572e14544
ganzer	w9_d572e14547
Holitscher	w1_d572e14552
service,	w3_d572e14555
Niederländer=spallier,	w5_d572e14558
grosse	w7_d572e14561
Spiegel,	w1_d572e14567
Bilder,	w3_d572e14570
und	w5_d572e14573
andere	w7_d572e14576
Haus	w9_d572e14579
mobilien,	w11_d572e14582
Zinn,	w1_d572e14587
Kupfer,	w3_d572e14590
Sessel,	w5_d572e14593
Kästen,	w7_d572e14596
Enzerstorfer	w9_d572e14599
1750ger=Wein=gewächs,	w1_d572e14604
Bibliothee,	w3_d572e14607
erzeig	w5_d572e14610
unterschiedliche	w1_d572e14615
Papier=sorten,	w3_d572e14618
Ries	w5_d572e14621
und	w7_d572e14624
Bal	w9_d572e14627
len=weis,	w1_d572e14633
Pferd,	w3_d572e14636
Wägen	w5_d572e14639
gegen	w7_d572e14642
sogleich	w9_d572e14645
baarer	w11_d572e14648
Bezahlung	w1_d572e14653
dem	w3_d572e14656
Meistbietenden	w5_d572e14659
hindann	w7_d572e14662
gelassen	w9_d572e14665
werden.	w1_d572e14670
</p>
<p id="p8_d572e14673">
Den	w1_d572e14677
25.	w3_d572e14680
Sept.	w5_d572e14683
a.	w7_d572e14686
c.	w9_d572e14689
wird	w11_d572e14692
die	w13_d572e14696
Deckerische	w15_d572e14699
Apo	w17_d572e14702
thecken,	w1_d572e14707
zum	w3_d572e14710
Salvator	w5_d572e14713
in	w7_d572e14716
der	w9_d572e14719
Kärntner=strassen,	w11_d572e14722
auf	w1_d572e14727
allhiesigem	w3_d572e14730
Raht=haus	w5_d572e14733
dem	w7_d572e14736
Meistbietenden	w9_d572e14739
verkauffet	w1_d572e14745
werden.	w3_d572e14748
</p>
<p id="p10_d572e14751">
Den	w1_d572e14755
28.	w3_d572e14758
dies	w5_d572e14761
Monats	w7_d572e14764
Julii	w9_d572e14767
fruh	w11_d572e14770
präcise	w13_d572e14774
um	w15_d572e14777
9.	w17_d572e14780
Uhr	w1_d572e14785
wird	w3_d572e14788
das	w5_d572e14791
Joseph	w7_d572e14794
Kaiserische	w9_d572e14797
klein	w11_d572e14800
Fleisch	w13_d572e14804
selcher=gewerb	w1_d572e14809
auf	w3_d572e14812
dem	w5_d572e14815
Löbl.	w7_d572e14818
Kaiserl.	w9_d572e14821
Königl	w11_d572e14824
Stadt	w13_d572e14828
und	w1_d572e14834
Land=gericht	w3_d572e14837
oder	w5_d572e14840
sogenannten	w7_d572e14843
Schrauen,	w9_d572e14846
offentlich	w1_d572e14851
ausgefeilet,	w3_d572e14854
und	w5_d572e14857
dem	w7_d572e14860
Meist=bietenden	w9_d572e14863
hindan	w1_d572e14868
gegeben	w3_d572e14871
werden,	w5_d572e14874
wer	w7_d572e14877
demnach	w9_d572e14880
solches	w11_d572e14883
an	w1_d572e14888
sich	w3_d572e14891
zu	w5_d572e14894
bringen	w7_d572e14897
vermeinet,	w9_d572e14900
hat	w11_d572e14903
sich	w13_d572e14907
derent	w15_d572e14910
wegen	w1_d572e14916
an	w3_d572e14919
Lobbestimmten	w5_d572e14922
Tag	w7_d572e14925
und	w9_d572e14928
Stund	w11_d572e14931
bey	w13_d572e14935
er	w15_d572e14938
sagt.	w1_d572e14943
Löbl.	w3_d572e14946
K.	w5_d572e14949
K.	w7_d572e14952
Stadt=gericht	w9_d572e14955
anzumelden.	w11_d572e14958
</p>
<p id="p12_d572e14962">
Es	w1_d572e14966
werden	w3_d572e14969
vermög	w5_d572e14972
Hochlöbl.	w7_d572e14975
Regierungs	w9_d572e14978
ver	w11_d572e14981
ordnung	w1_d572e14986
den	w3_d572e14989
27.	w5_d572e14992
dies	w7_d572e14995
Monats	w9_d572e14998
und	w11_d572e15001
folgende	w13_d572e15005
Täge	w15_d572e15008
in	w1_d572e15013
dem	w3_d572e15016
abgebrennten,	w5_d572e15019
oder	w7_d572e15022
sogenannten	w9_d572e15025
Lopresti	w11_d572e15028
schen	w1_d572e15034
Haus	w3_d572e15037
auf	w5_d572e15040
der	w7_d572e15043
Wieden	w9_d572e15046
ausser	w11_d572e15049
dem	w13_d572e15053
WW.	w15_d572e15056
EE.	w1_d572e15061
PP.	w3_d572e15064
Paulanern	w5_d572e15067
Kloster	w7_d572e15070
verschiedene	w9_d572e15073
Verlassen	w11_d572e15076
schafts=effecten,	w1_d572e15081
als	w3_d572e15084
etwas	w5_d572e15087
Silber,	w7_d572e15090
Perl,	w9_d572e15093
Manns	w11_d572e15096
kleider,	w1_d572e15101
schöne	w3_d572e15104
Wäsch,	w5_d572e15107
Tisch=zeug,	w7_d572e15110
Haus	w9_d572e15113
einrich	w11_d572e15116
tung	w1_d572e15122
Vormittag	w3_d572e15125
von	w5_d572e15128
9.	w7_d572e15131
bis	w9_d572e15134
12.	w11_d572e15137
und	w13_d572e15141
Nachmittag	w15_d572e15144
von	w1_d572e15149
3.	w3_d572e15152
bis	w5_d572e15155
6.	w7_d572e15158
Uhr	w9_d572e15161
dem	w11_d572e15164
Meist	w13_d572e15168
bietenden	w15_d572e15171
im	w17_d572e15174
2.	w19_d572e15177
Stock	w21_d572e15180
des	w1_d572e15185
ob	w3_d572e15188
benannten	w5_d572e15191
Hauses	w7_d572e15194
hindan	w9_d572e15197
gelassen.	w11_d572e15200
</p>
<p id="p14_d572e15203">
Von	w1_d572e15207
der	w3_d572e15210
Kaiserl.	w5_d572e15213
Königl.	w7_d572e15216
N.	w9_d572e15219
Oe.	w11_d572e15222
Justitz	w13_d572e15226
Banco	w15_d572e15229
Deputation	w1_d572e15234
wird	w3_d572e15237
hiemit	w5_d572e15240
all	w7_d572e15243
und	w9_d572e15246
jeden	w11_d572e15249
durch	w13_d572e15253
Ge	w15_d572e15256
genwärtiges	w1_d572e15261
kund	w3_d572e15264
und	w5_d572e15267
zu	w7_d572e15270
wissen	w9_d572e15273
gemachet:	w11_d572e15276
bey	w13_d572e15280
die	w15_d572e15283
ser	w1_d572e15289
Jnstitz=stelle	w3_d572e15292
habe	w5_d572e15295
Joseph	w7_d572e15298
Bernreuter	w9_d572e15301
Canonicus	w11_d572e15304
des	w1_d572e15309
Collegiat	w3_d572e15312
stifts	w5_d572e15315
zu	w7_d572e15318
Spital	w9_d572e15321
am	w11_d572e15324
Pürn	w13_d572e15328
mit	w15_d572e15331
mehre	w17_d572e15334
ren	w1_d572e15339
angebracht,	w3_d572e15342
wasmassen	w5_d572e15345
er	w7_d572e15348
in	w9_d572e15351
gemeiner	w11_d572e15354
Stadt	w13_d572e15358
Wien	w1_d572e15363
Banco	w3_d572e15366
haupt=cassam	w5_d572e15369
unterm	w7_d572e15372
24.	w9_d572e15375
Der.	w11_d572e15378
1759.	w13_d572e15382
ein	w1_d572e15388
Capital	w3_d572e15391
per	w5_d572e15394
1000.	w7_d572e15397
fl.	w9_d572e15400
auf	w11_d572e15403
seinen	w13_d572e15407
eigenen	w15_d572e15410
Namen	w17_d572e15413
gegen	w1_d572e15418
reichenden	w3_d572e15421
5.	w5_d572e15424
pro	w7_d572e15427
Cento	w9_d572e15430
eingeleget,	w11_d572e15433
und	w13_d572e15437
da	w15_d572e15440
für	w1_d572e15445
die	w3_d572e15448
gewöhnliche	w5_d572e15451
Obligation	w7_d572e15454
überkommen	w9_d572e15457
hätte,	w11_d572e15460
da	w1_d572e15465
ihme	w3_d572e15468
aber	w5_d572e15471
sothane	w7_d572e15474
Obligation	w9_d572e15477
de	w11_d572e15480
dato	w13_d572e15484
24.	w15_d572e15487
De	w17_d572e15490
cembris	w1_d572e15496
17.9.	w3_d572e15499
pr.	w5_d572e15502
1000.	w7_d572e15505
fl.	w9_d572e15508
in	w11_d572e15511
Verlust	w13_d572e15515
gerahten,	w15_d572e15518
und	w1_d572e15523
ungeachtet	w3_d572e15526
alles	w5_d572e15529
fleißigen	w7_d572e15532
Nachsuchen	w9_d572e15535
nicht	w11_d572e15538
</p>
<p id="p20_d572e15551">
ausfindig	w1_d572e15555
zu	w3_d572e15558
machen	w5_d572e15561
gewesen	w7_d572e15564
wäre;	w9_d572e15567
als	w11_d572e15570
hat	w13_d572e15574
der	w15_d572e15577
Jo	w17_d572e15580
seph	w1_d572e15585
Bernreuter	w3_d572e15588
gebetten,	w5_d572e15591
womit	w7_d572e15594
gegen	w9_d572e15597
Amortisi	w11_d572e15600
rung	w1_d572e15605
sothaner	w3_d572e15608
Obligation	w5_d572e15611
ein	w7_d572e15614
gewöhnliches	w9_d572e15617
Val	w11_d572e15620
val=edict	w1_d572e15626
ausgefertiget,	w3_d572e15629
und	w5_d572e15632
nach	w7_d572e15635
Exspirirung	w9_d572e15638
des	w11_d572e15641
sen	w1_d572e15646
ihme	w3_d572e15649
eine	w5_d572e15652
andere	w7_d572e15655
Obligation	w9_d572e15658
zugestellet	w11_d572e15661
wer	w13_d572e15665
den	w1_d572e15670
mögte.	w3_d572e15673
Gleichwie	w5_d572e15676
nun	w7_d572e15679
in	w9_d572e15682
solches	w11_d572e15685
des	w13_d572e15689
Sup	w15_d572e15692
plicantens	w1_d572e15697
billiges	w3_d572e15700
Anlangen	w5_d572e15703
von	w7_d572e15706
Rechts	w9_d572e15709
wegen	w11_d572e15712
sol	w13_d572e15716
chergestalten	w1_d572e15722
gewilliget	w3_d572e15725
worden,	w5_d572e15728
daß,	w7_d572e15731
wann	w9_d572e15734
bin	w11_d572e15737
nen	w1_d572e15742
einen	w3_d572e15745
Jahr,	w5_d572e15748
6.	w7_d572e15751
Wochen,	w9_d572e15754
und	w11_d572e15757
3.	w13_d572e15761
Tägen	w15_d572e15764
von	w17_d572e15767
Zeit	w1_d572e15772
der	w3_d572e15775
Affigirung	w5_d572e15778
dieses	w7_d572e15781
Edicts	w9_d572e15784
anzurechnen	w11_d572e15787
sich	w13_d572e15791
niemand	w1_d572e15796
zu	w3_d572e15799
obiger	w5_d572e15802
in	w7_d572e15805
Verstoß	w9_d572e15808
gerahtenen	w11_d572e15811
auf	w13_d572e15815
Ein	w15_d572e15818
gangs	w1_d572e15824
gemeldten	w3_d572e15827
Joseph	w5_d572e15830
Berureuter	w7_d572e15833
zu	w9_d572e15836
Spital	w11_d572e15839
am	w13_d572e15843
Pürn	w1_d572e15848
lautenden	w3_d572e15851
Stadt=Banco=obligation	w5_d572e15854
de	w7_d572e15857
dato	w9_d572e15860
24.	w1_d572e15865
Decemb.	w3_d572e15868
1759.	w5_d572e15871
pr	w7_d572e15874
1000.	w9_d572e15877
fl.	w11_d572e15880
bey	w13_d572e15884
dieser	w15_d572e15887
Kaiserl.	w17_d572e15890
Königl.	w1_d572e15895
Justitz=Bauco	w3_d572e15898
Deputation	w5_d572e15901
rechtlichen	w7_d572e15904
le	w9_d572e15907
gitimiren,	w1_d572e15913
oder	w3_d572e15916
solche	w5_d572e15919
in	w7_d572e15922
Originali	w9_d572e15925
produciren	w11_d572e15928
würde,	w1_d572e15933
selbe	w3_d572e15936
alsdann	w5_d572e15939
für	w7_d572e15942
null	w9_d572e15945
und	w11_d572e15948
nichtig	w13_d572e15952
gehal	w15_d572e15955
ten,	w1_d572e15960
folgsam	w3_d572e15963
nach	w5_d572e15966
Verfliessung	w7_d572e15969
bemeldten	w9_d572e15972
Termins	w11_d572e15975
dem	w1_d572e15980
Bernreuter	w3_d572e15983
eine	w5_d572e15986
neue	w7_d572e15989
derley	w9_d572e15992
Obligation	w11_d572e15995
auf	w13_d572e15999
vorberührte	w1_d572e16005
Summam	w3_d572e16008
ausgefertiget,	w5_d572e16011
und	w7_d572e16014
zu	w9_d572e16017
dem	w11_d572e16020
Ende	w1_d572e16025
das	w3_d572e16028
behörige	w5_d572e16031
erlassen	w7_d572e16034
werden	w9_d572e16037
solle.	w11_d572e16040
Solchem	w13_d572e16044
nach	w1_d572e16049
hat	w3_d572e16052
man	w5_d572e16055
ein	w7_d572e16058
solches	w9_d572e16061
jedermänniglich	w11_d572e16064
durch	w13_d572e16068
dieses	w1_d572e16073
offene	w3_d572e16076
Edict	w5_d572e16079
zur	w7_d572e16082
Nachricht	w9_d572e16085
hiemit	w11_d572e16088
erinneren	w13_d572e16092
wollen.	w1_d572e16098
</p>
<p id="p22_d572e16101">
Von	w1_d572e16105
der	w3_d572e16108
N.	w5_d572e16111
Oe.	w7_d572e16114
Regierung	w9_d572e16117
wegen,	w11_d572e16120
wird	w13_d572e16124
mit	w15_d572e16127
gegenwärtig=offenem	w1_d572e16132
Edict	w3_d572e16135
jedermänniglich,	w5_d572e16138
so	w7_d572e16141
wol	w1_d572e16146
An	w3_d572e16149
als	w5_d572e16152
Abwesenden,	w7_d572e16155
deme	w9_d572e16158
daran	w11_d572e16161
gelegen,	w13_d572e16165
kund	w1_d572e16171
und	w3_d572e16174
zu	w5_d572e16177
wissen	w7_d572e16180
gemacht:	w9_d572e16183
Es	w11_d572e16186
seye	w13_d572e16190
der	w15_d572e16193
Adam	w17_d572e16196
Gillig,	w1_d572e16201
in	w3_d572e16204
dem	w5_d572e16207
Versorgungs=haus	w7_d572e16210
am	w9_d572e16213
Alsterbach	w11_d572e16216
mit	w1_d572e16221
eines	w3_d572e16224
Codicills=Hinterlassung,	w5_d572e16227
mit	w7_d572e16230
Tod	w9_d572e16233
ab	w11_d572e16236
gegangen,	w1_d572e16241
und	w3_d572e16244
habe	w5_d572e16247
sich	w7_d572e16250
hinnach	w9_d572e16253
um	w11_d572e16256
desselben	w13_d572e16260
ab	w15_d572e16263
intestato	w1_d572e16269
ruckgebliebene	w3_d572e16272
Verlassenschaft	w5_d572e16275
der	w7_d572e16278
Zeit	w9_d572e16281
niemand	w1_d572e16286
angemeldet	w3_d572e16289
Wann	w5_d572e16292
nun	w7_d572e16295
Regierung	w9_d572e16298
um	w11_d572e16301
die	w1_d572e16306
etwa	w3_d572e16309
ein	w5_d572e16312
oder	w7_d572e16315
anderem	w9_d572e16318
bey	w11_d572e16321
dieser	w13_d572e16325
Verlassen	w15_d572e16328
schaft	w1_d572e16333
von	w3_d572e16336
Rechts	w5_d572e16339
wegen	w7_d572e16342
gebührend=nähere	w9_d572e16345
Erb	w11_d572e16348
sprüch	w1_d572e16354
in	w3_d572e16357
Erfahrung	w5_d572e16360
zu	w7_d572e16363
bringen,	w9_d572e16366
anbey	w11_d572e16369
das	w13_d572e16373
etwa	w15_d572e16376
vorhandene	w1_d572e16381
Æs	w3_d572e16384
alienum	w5_d572e16387
ausfindig	w7_d572e16390
zu	w9_d572e16393
machen	w11_d572e16396
folgsam	w1_d572e16401
zu	w3_d572e16404
Abhandlung	w5_d572e16407
solcher	w7_d572e16410
Verlassenschaft	w9_d572e16413
sicher	w1_d572e16418
vorschreiten	w3_d572e16421
zu	w5_d572e16424
können,	w7_d572e16427
eine	w9_d572e16430
Nohtdurft	w11_d572e16433
zu	w13_d572e16437
seyn	w1_d572e16443
befunden	w3_d572e16446
hat,	w5_d572e16449
alle	w7_d572e16452
hieran	w9_d572e16455
Theilnehmende	w11_d572e16458
sowol	w1_d572e16463
in	w3_d572e16466
als	w5_d572e16469
ausser	w7_d572e16472
Land	w9_d572e16475
befindliche	w11_d572e16478
Personen	w13_d572e16482
durch	w1_d572e16487
dieses	w3_d572e16490
offentliche	w5_d572e16493
Edict	w7_d572e16496
zu	w9_d572e16499
Anmeld=Legiti	w11_d572e16502
mir	w1_d572e16507
und	w3_d572e16510
Liquidirung	w5_d572e16513
ihrer	w7_d572e16516
an	w9_d572e16519
obbemeldte	w11_d572e16522
Ver	w13_d572e16526
lassenschaft	w1_d572e16532
ex	w3_d572e16535
quacunque	w5_d572e16538
causa	w7_d572e16541
vel	w9_d572e16544
titulo	w11_d572e16547
ha	w13_d572e16551
bende	w1_d572e16556
Sprüch	w3_d572e16559
und	w5_d572e16562
Forderungen	w7_d572e16565
gerichtlich	w9_d572e16568
vor	w11_d572e16571
zuladen,	w1_d572e16576
und	w3_d572e16579
einzuberuffen;	w5_d572e16582
zu	w7_d572e16585
welchem	w9_d572e16588
Ende	w11_d572e16591
dann	w1_d572e16596
denenselben	w3_d572e16599
der	w5_d572e16602
18.	w7_d572e16605
Tag	w9_d572e16608
des	w11_d572e16611
künftigen	w13_d572e16615
Mo	w15_d572e16618
nats	w1_d572e16624
Augusti	w3_d572e16627
1761.	w5_d572e16630
Nachmittags	w7_d572e16633
um	w9_d572e16636
4.	w11_d572e16639
Uhr	w13_d572e16643
zur	w15_d572e16646
gewöhnlichen	w1_d572e16651
Convocations	w3_d572e16654
und	w5_d572e16657
Anmeldungs	w7_d572e16660
tagsatzung	w1_d572e16665
zu	w3_d572e16668
all	w5_d572e16671
endlicher	w7_d572e16674
Frist	w9_d572e16677
anberaumet	w11_d572e16680
wor	w13_d572e16684
den.	w1_d572e16689
Solchemnach	w3_d572e16692
werden	w5_d572e16695
alle	w7_d572e16698
und	w9_d572e16701
jede,	w11_d572e16704
welche	w13_d572e16708
bey	w1_d572e16714
gedacht	w3_d572e16717
Adam	w5_d572e16720
Gillischer	w7_d572e16723
Verlassenschaft	w9_d572e16726
um	w11_d572e16729
rechtmäßiger	w1_d572e16734
Erbs	w3_d572e16737
und	w5_d572e16740
Schuld=forderung	w7_d572e16743
willen	w9_d572e16746
einige	w1_d572e16751
Sprüch	w3_d572e16754
haben,	w5_d572e16757
oder	w7_d572e16760
zu	w9_d572e16763
haben	w11_d572e16766
vermeinen,	w13_d572e16770
an	w1_d572e16775
obbestimmten	w3_d572e16778
Tag	w5_d572e16781
und	w7_d572e16784
Stund	w9_d572e16787
vor	w11_d572e16790
Regierung	w13_d572e16794
in	w1_d572e16800
der	w3_d572e16803
daselbst	w5_d572e16806
zu	w7_d572e16809
solchem	w9_d572e16812
Ende	w11_d572e16815
offen	w13_d572e16819
haltenden	w15_d572e16822
Commißions=stuben	w1_d572e16827
entweder	w3_d572e16830
selbst	w5_d572e16833
persönlich,	w7_d572e16836
</p>
<p id="p24_d572e16840">
oder	w1_d572e16844
durch	w3_d572e16847
genugsam	w5_d572e16850
bevollmächtigte	w7_d572e16853
Gewalttra	w9_d572e16856
gere	w1_d572e16861
also	w3_d572e16864
gewiß	w5_d572e16867
zu	w7_d572e16870
erscheinen,	w9_d572e16873
und	w11_d572e16876
ihre	w13_d572e16880
an	w15_d572e16883
solche	w17_d572e16886
Verlossenschaft	w1_d572e16891
habende	w3_d572e16894
Anforderungen	w5_d572e16897
anzumel	w7_d572e16900
den,	w1_d572e16906
rechtlich	w3_d572e16909
zu	w5_d572e16912
legitimiren,	w7_d572e16915
und	w9_d572e16918
zu	w11_d572e16921
liquidiren	w13_d572e16925
haben;	w1_d572e16930
als	w3_d572e16933
im	w5_d572e16936
widrigen	w7_d572e16939
die	w9_d572e16942
Abhandlung	w11_d572e16945
gleich	w13_d572e16949
wolen	w1_d572e16954
vorgenommen,	w3_d572e16957
und	w5_d572e16960
ungehindert	w7_d572e16963
deren	w9_d572e16966
et	w11_d572e16969
wa	w1_d572e16974
vorhandenen	w3_d572e16977
Erbs=prätendenten,	w5_d572e16980
oder	w7_d572e16983
Glau	w9_d572e16986
bigern,	w1_d572e16992
so	w3_d572e16995
sich	w5_d572e16998
mit	w7_d572e17001
ihren	w9_d572e17004
Erbs	w11_d572e17007
und	w13_d572e17011
Schuld	w15_d572e17014
forderungen	w1_d572e17019
in	w3_d572e17022
bestimmter	w5_d572e17025
Zeit	w7_d572e17028
nicht	w9_d572e17031
angemeldet,	w11_d572e17034
solche	w1_d572e17039
Verlassenschaft	w3_d572e17042
dem	w5_d572e17045
sich	w7_d572e17048
behörig	w9_d572e17051
Legitimir	w11_d572e17054
ten	w1_d572e17059
eingeantwortet,	w3_d572e17062
auch	w5_d572e17065
anfonsten	w7_d572e17068
ex	w9_d572e17071
officio	w11_d572e17074
vor	w13_d572e17078
gekehret	w1_d572e17084
werden	w3_d572e17087
solle,	w5_d572e17090
was	w7_d572e17093
Rechtens	w9_d572e17096
ist.	w11_d572e17099
Wor	w13_d572e17103
nach	w1_d572e17108
sich	w3_d572e17111
ein	w5_d572e17114
jeder	w7_d572e17117
zu	w9_d572e17120
richten	w11_d572e17123
wissen	w13_d572e17127
wird.	w15_d572e17130
</p>
<p id="p26_d572e17133">
Es	w1_d572e17137
wird	w3_d572e17140
hiemit	w5_d572e17143
kund	w7_d572e17146
und	w9_d572e17149
zu	w11_d572e17152
wissen	w13_d572e17156
gemacht,	w15_d572e17159
daß	w1_d572e17164
von	w3_d572e17167
der	w5_d572e17170
Herrschaft	w7_d572e17173
vesten	w9_d572e17176
Radaun	w11_d572e17179
das	w13_d572e17183
alda	w15_d572e17186
gelegene	w1_d572e17191
Baad=haus	w3_d572e17194
samt	w5_d572e17197
Zugehörungen	w7_d572e17200
alltäg	w9_d572e17203
lich	w1_d572e17209
in	w3_d572e17212
Bestand	w5_d572e17215
zu	w7_d572e17218
verlassen	w9_d572e17221
seye,	w11_d572e17224
wer	w13_d572e17228
demnach	w15_d572e17231
ein	w1_d572e17236
solches	w3_d572e17239
in	w5_d572e17242
Bestand	w7_d572e17245
zu	w9_d572e17248
nehmen	w11_d572e17251
ein	w13_d572e17255
Belieben	w15_d572e17258
traget,	w1_d572e17263
hat	w3_d572e17266
sich	w5_d572e17269
in	w7_d572e17272
obbesagt,	w9_d572e17275
herrschaftlicher	w11_d572e17278
Amts	w13_d572e17282
canzley	w1_d572e17287
anzumelden.	w3_d572e17290
</p>
<p id="p28_d572e17293">
Wir	w1_d572e17297
Endes	w3_d572e17300
Gefertigte	w5_d572e17303
von	w7_d572e17306
einem	w9_d572e17309
Löbl.	w11_d572e17312
Land	w13_d572e17316
marschallischen	w1_d572e17321
Gericht	w3_d572e17324
verordnete	w5_d572e17327
Commissarien	w7_d572e17330
fügen	w1_d572e17335
N.	w3_d572e17338
allen	w5_d572e17341
und	w7_d572e17344
jeden,	w9_d572e17347
so	w11_d572e17350
an	w13_d572e17354
weil.	w15_d572e17357
Herrn	w17_d572e17360
Andrä	w1_d572e17366
Grebinger,	w3_d572e17369
N.	w5_d572e17372
Oe.	w7_d572e17375
Landschafts	w9_d572e17378
Rast	w11_d572e17381
collegii	w1_d572e17386
Senioris	w3_d572e17389
seel.	w5_d572e17392
Verlassenschaft	w7_d572e17395
Sprüch,	w9_d572e17398
und	w1_d572e17403
Anforderungen	w3_d572e17406
haben,	w5_d572e17409
oder	w7_d572e17412
zu	w9_d572e17415
haben	w11_d572e17418
ver	w13_d572e17422
meinen,	w1_d572e17427
hiemit	w3_d572e17430
zu	w5_d572e17433
wissen;	w7_d572e17436
welchergestalten	w9_d572e17439
wir	w11_d572e17442
auf	w1_d572e17448
Anlangen	w3_d572e17451
des	w5_d572e17454
Herrn	w7_d572e17457
Carl	w9_d572e17460
Johann	w11_d572e17463
Grebin	w13_d572e17467
gers	w1_d572e17472
proprio,	w3_d572e17475
und	w5_d572e17478
Herrn	w7_d572e17481
Joseph	w9_d572e17484
Zellermayrs,	w11_d572e17487
tutorio	w1_d572e17492
nomine,	w3_d572e17495
dann	w5_d572e17498
hierüber	w7_d572e17501
an	w9_d572e17504
uns	w11_d572e17507
ergan	w13_d572e17511
gene	w1_d572e17516
