<doc id="wr_1756-08-11" attrs="word" year="1756" month="08" day="11" corpus="2">
<head id="h2_d64e2523">
Boston	w1_d64e2527
worinnen	w5_d64e13426
alle	w7_d64e13429
Sorten	w9_d64e13432
de	w11_d64e13435
ren	w1_d64e13440
schönst	w3_d64e13443
und	w5_d64e13446
raresten	w7_d64e13449
Zwibeln,	w9_d64e13452
oder	w11_d64e13455
Kiel	w13_d64e13459
gewächsen	w1_d64e13464
von	w3_d64e13467
Tulipan,	w5_d64e13470
Hyacinthen,	w7_d64e13473
Taceten,	w9_d64e13476
Jonquillen,	w1_d64e13481
Narcissen,	w3_d64e13484
Jris,	w5_d64e13487
Frittelarien,	w7_d64e13490
Crocus,	w1_d64e13496
Lilien,	w3_d64e13499
Annemonen,	w5_d64e13502
und	w7_d64e13505
Rauunculn,	w9_d64e13508
nach	w1_d64e13513
dero	w3_d64e13516
besondern	w5_d64e13519
Namen,	w7_d64e13522
und	w9_d64e13525
Preis	w11_d64e13528
orbent	w13_d64e13532
lich	w1_d64e13537
specificiret	w3_d64e13540
seynd.	w5_d64e13543
Weme	w7_d64e13546
nun	w9_d64e13549
von	w11_d64e13552
diesen	w13_d64e13556
raren	w1_d64e13561
Zwibel=werke,	w3_d64e13564
wie	w5_d64e13567
auch	w7_d64e13570
von	w9_d64e13573
denen	w11_d64e13576
al	w13_d64e13580
lerbesten	w1_d64e13586
ausländischen	w3_d64e13589
hoch	w5_d64e13592
und	w7_d64e13595
niedern	w9_d64e13598
Obst	w11_d64e13601
Bäumen,	w1_d64e13606
ingleichen	w3_d64e13609
Taxis=pyramyden,	w5_d64e13612
OrangenLorber	w1_d64e13617
und	w3_d64e13620
Myrhten=bäumen,	w5_d64e13623
auch	w7_d64e13626
allerhand	w1_d64e13631
frischen	w3_d64e13634
Garten	w5_d64e13637
und	w7_d64e13640
extra	w9_d64e13643
gros	w11_d64e13646
sen	w1_d64e13652
Engländischen	w3_d64e13655
Kauli=samen,	w5_d64e13658
und	w7_d64e13661
vielerley	w9_d64e13664
Sorten	w1_d64e13669
Pflanzen,	w3_d64e13672
etwas	w5_d64e13675
zu	w7_d64e13678
bestellen	w9_d64e13681
beliebig	w11_d64e13684
</p>
<p id="p6_d64e13687">
seyn	w1_d64e13691
möchte,	w3_d64e13694
der	w5_d64e13697
wird	w7_d64e13700
bey	w9_d64e13703
dem	w11_d64e13706
Verle	w13_d64e13710
ger	w1_d64e13715
des	w3_d64e13718
Wienerischen	w5_d64e13721
Diarii	w7_d64e13724
ob=besagten	w9_d64e13727
Ca	w11_d64e13730
talogum	w1_d64e13735
gratis	w3_d64e13738
abholen	w5_d64e13741
zu	w7_d64e13744
lassen	w9_d64e13747
belieben;	w11_d64e13750
wann	w1_d64e13756
aber	w3_d64e13759
jemand	w5_d64e13762
nicht	w7_d64e13765
gern	w9_d64e13768
a	w11_d64e13771
drittura	w13_d64e13775
von	w15_d64e13778
denen	w1_d64e13783
Herren	w3_d64e13786
Klefekern	w5_d64e13789
in	w7_d64e13792
Hamburg	w9_d64e13795
selbsten	w11_d64e13798
eine	w1_d64e13803
Bestellung	w3_d64e13806
machen	w5_d64e13809
möchte,	w7_d64e13812
so	w9_d64e13815
kan	w11_d64e13818
solches	w13_d64e13822
auch	w1_d64e13827
durch	w3_d64e13830
ihre	w5_d64e13833
alhiesige	w7_d64e13836
Correspondenten,	w9_d64e13839
wel	w11_d64e13842
che	w1_d64e13848
bey	w3_d64e13851
vorgedachteVerleger	w5_d64e13854
des	w7_d64e13857
Diarii	w9_d64e13860
zu	w11_d64e13863
erfragen	w1_d64e13868
seynd,	w3_d64e13871
gar	w5_d64e13874
füglich	w7_d64e13877
geschehen,	w9_d64e13880
sie	w11_d64e13883
wer	w13_d64e13887
den	w1_d64e13892
hierinfalls	w3_d64e13895
willig	w5_d64e13898
an	w7_d64e13901
Handen	w9_d64e13904
gehen,	w11_d64e13907
und	w13_d64e13911
alle	w1_d64e13916
weiters	w3_d64e13919
verlangende	w5_d64e13922
Auskunft	w7_d64e13925
geben.	w9_d64e13928
Da	w11_d64e13931
mit	w1_d64e13937
nun	w3_d64e13940
die	w5_d64e13943
Zeit	w7_d64e13946
wegen	w9_d64e13949
weiteren	w11_d64e13952
Trans	w13_d64e13956
ports	w1_d64e13961
nicht	w3_d64e13964
alzuweit	w5_d64e13967
verstreichen,	w7_d64e13970
und	w9_d64e13973
das	w11_d64e13976
Kielwerke	w1_d64e13981
noch	w3_d64e13984
in	w5_d64e13987
rechter	w7_d64e13990
Zeit	w9_d64e13993
geleget	w11_d64e13996
werden	w13_d64e14000
möchte,	w1_d64e14005
als	w3_d64e14008
werden	w5_d64e14011
die	w7_d64e14014
Herren	w9_d64e14017
Liebhaber	w11_d64e14020
zu	w13_d64e14024
gleich	w1_d64e14030
ersuchet,	w3_d64e14033
sich	w5_d64e14036
mit	w7_d64e14039
einer	w9_d64e14042
guten	w11_d64e14045
Bestel	w13_d64e14049
lung	w1_d64e14054
in	w3_d64e14057
Zeiten	w5_d64e14060
zu	w7_d64e14063
melden,	w9_d64e14066
und	w11_d64e14069
sich	w13_d64e14073
der	w15_d64e14076
al	w17_d64e14079
lerbesten	w1_d64e14084
Bedienung	w3_d64e14087
versichert	w5_d64e14090
zu	w7_d64e14093
halten.	w9_d64e14096
</p>
<head id="h2_d64e14102">
EDICT.	w1_d64e14106
</head>
<p id="p4_d64e14109">
Jch	w1_d64e14113
Johann	w3_d64e14116
Wilhelm,	w5_d64e14119
des	w7_d64e14122
Heil.	w9_d64e14125
Röm.	w11_d64e14128
Reichs	w1_d64e14133
Fürst	w3_d64e14136
Trautson,	w5_d64e14139
Graf	w7_d64e14142
zu	w9_d64e14145
Falckenstein,	w11_d64e14148
Freyherr	w1_d64e14153
zu	w3_d64e14156
Sprechen	w5_d64e14159
und	w7_d64e14162
Schroffenftein,	w9_d64e14165
Ritter	w1_d64e14171
des	w3_d64e14174
goldenen	w5_d64e14177
Vliesses,	w7_d64e14180
Jhrer	w9_d64e14183
Kaiserl.	w11_d64e14186
Königl.	w1_d64e14191
Majestät	w3_d64e14194
würklicher	w5_d64e14197
Geheimer	w7_d64e14200
Raht,	w9_d64e14203
Obrist=Hof=meister,	w1_d64e14208
und	w3_d64e14211
Land=marschall	w5_d64e14214
in	w7_d64e14217
Oesterreich	w1_d64e14222
unter	w3_d64e14225
der	w5_d64e14228
Enß:	w7_d64e14231
Entbiete	w9_d64e14234
N.	w11_d64e14237
al	w13_d64e14241
len	w1_d64e14247
und	w3_d64e14250
jeden,	w5_d64e14253
was	w7_d64e14256
Standes	w9_d64e14259
und	w11_d64e14262
Würde	w13_d64e14266
diese	w1_d64e14271
seynd,	w3_d64e14274
der	w5_d64e14277
Gebühr	w7_d64e14280
nach	w9_d64e14283
meinen	w11_d64e14286
respe	w13_d64e14290
ctive	w1_d64e14295
Dienst	w3_d64e14298
und	w5_d64e14301
guten	w7_d64e14304
Willen	w9_d64e14307
zuvor,	w11_d64e14310
und	w13_d64e14314
füg	w15_d64e14317
hiemit	w1_d64e14322
zu	w3_d64e14325
vernehmen:	w5_d64e14328
</p>
<p id="p6_d64e14331">
Es	w1_d64e14335
habe	w3_d64e14338
bey	w5_d64e14341
dem	w7_d64e14344
mir	w9_d64e14347
allergnädigst	w11_d64e14350
an	w13_d64e14354
vertrauten	w1_d64e14359
Land=marschall	w3_d64e14362
Gericht	w5_d64e14365
Frau	w7_d64e14368
Ma	w9_d64e14371
ria	w1_d64e14376
Josepha	w3_d64e14379
verwittibte	w5_d64e14382
Gräfin	w7_d64e14385
von	w9_d64e14388
Harrach	w11_d64e14391
wider	w1_d64e14397
die	w3_d64e14400
Frauen	w5_d64e14403
Ernestinam	w7_d64e14406
verwittibte	w9_d64e14409
Gräfin	w1_d64e14414
und	w3_d64e14417
geborne	w5_d64e14420
Freyin	w7_d64e14423
v	w9_d64e14426
Selb	w11_d64e14429
abermahlen	w13_d64e14433
schrifftlich	w1_d64e14438
angezeiget,	w3_d64e14441
walchergestalten	w5_d64e14444
die	w7_d64e14447
vorhin	w1_d64e14452
angeordnet	w3_d64e14455
geweste	w5_d64e14458
Licitations	w7_d64e14461
tag	w9_d64e14464
satzung	w1_d64e14470
der	w3_d64e14473
Herrschafft	w5_d64e14476
Wildberg	w7_d64e14479
samt	w9_d64e14482
Appertinentien	w1_d64e14487
in	w3_d64e14490
Ermanglung	w5_d64e14493
einiger	w7_d64e14496
1.	w9_d64e14499
citanten	w1_d64e14504
ihren	w3_d64e14507
Fortgang	w5_d64e14510
nicht	w7_d64e14513
hätte	w9_d64e14516
errei	w11_d64e14519
chen	w1_d64e14524
können;	w3_d64e14527
diesemnach	w5_d64e14530
widerhohlt	w7_d64e14533
geber	w9_d64e14536
ten,	w1_d64e14542
ich	w3_d64e14545
geruhete	w5_d64e14548
ein	w7_d64e14551
nochmahliges	w9_d64e14554
Licita-	w11_d64e14557
tions-Efict	w1_d64e14562
bey	w3_d64e14565
der	w5_d64e14568
Canzley	w7_d64e14571
ausfertigen	w9_d64e14574
zu	w11_d64e14577
lassen.	w1_d64e14582
</p>
<p id="p8_d64e14585">
Wann	w1_d64e14589
nun	w3_d64e14592
hierinnfalls	w5_d64e14595
gewilliget,	w7_d64e14598
und	w9_d64e14601
zur	w1_d64e14606
Licitations-tagsatzung	w3_d64e14609
der	w5_d64e14612
31.	w7_d64e14615
künfti	w9_d64e14618
gen	w1_d64e14623
Monats	w3_d64e14626
Augusti	w5_d64e14629
bestimmet	w7_d64e14632
worden	w9_d64e14635
ist.	w11_d64e14638
Als	w1_d64e14644
hat	w3_d64e14647
man	w5_d64e14650
ein	w7_d64e14653
solches	w9_d64e14656
hiemit	w11_d64e14659
zu	w13_d64e14663
demEnde	w15_d64e14666
</p>
<p id="p10_d64e14669">
jedermästigich	w1_d64e14673
kund	w3_d64e14676
machen	w5_d64e14679
wollen,	w7_d64e14682
damit	w9_d64e14685
der,	w11_d64e14688
oder	w1_d64e14693
diejenige,	w3_d64e14696
so	w5_d64e14699
obbemeldte	w7_d64e14702
Gräfl.	w9_d64e14705
Seibische	w11_d64e14708
</p>
<p id="p14_d64e14714">
Herrschafft	w1_d64e14718
Wildberg	w3_d64e14721
cum	w5_d64e14724
Appertinentiis	w7_d64e14727
käuflich	w1_d64e14732
an	w3_d64e14735
sich	w5_d64e14738
bringen	w7_d64e14741
Willens	w9_d64e14744
seynd,	w11_d64e14747
an	w13_d64e14751
obbe	w15_d64e14754
stimmten	w1_d64e14759
Tag	w3_d64e14762
früh	w5_d64e14765
um	w7_d64e14768
8.	w9_d64e14771
Uhr	w11_d64e14774
ad	w13_d64e14778
Licitandum,	w15_d64e14781
tractandum,	w1_d64e14787
&	w3_d64e14790
concludendum	w5_d64e14793
vor	w7_d64e14796
Ge	w9_d64e14799
richt	w1_d64e14804
zu	w3_d64e14807
erscheinen	w5_d64e14810
wissen	w7_d64e14813
werden.	w9_d64e14816
Wien,	w11_d64e14819
den	w1_d64e14824
13.	w3_d64e14827
Julii	w5_d64e14830
1756.	w7_d64e14833
</p>
<head id="h2_d64e14839">
AVERTISSEMENT.	w1_d64e14843
</head>
<p id="p4_d64e14846">
Es	w1_d64e14850
diener	w3_d64e14853
hiemit	w5_d64e14856
dem	w7_d64e14859
Publico	w9_d64e14862
zur	w11_d64e14865
Nach	w13_d64e14869
richt,	w1_d64e14874
daß	w3_d64e14877
sowol	w5_d64e14880
in	w7_d64e14883
dem	w9_d64e14886
Verlag	w11_d64e14889
des	w13_d64e14893
Wien	w15_d64e14896
nerischen	w1_d64e14901
Zeitungs=diarit	w3_d64e14904
in	w5_d64e14907
dem	w7_d64e14910
neuen	w9_d64e14913
Mi	w11_d64e14916
chaeler	w1_d64e14922
Haus	w3_d64e14925
nächst	w5_d64e14928
der	w7_d64e14931
Kaiserlichen	w9_d64e14934
Burg,	w11_d64e14937
als	w1_d64e14942
auch	w3_d64e14945
in	w5_d64e14948
St.	w7_d64e14951
Pölten	w9_d64e14954
bey	w11_d64e14957
dem	w13_d64e14961
Buchbin	w15_d64e14964
der	w1_d64e14969
Hrn.	w3_d64e14972
Fuhrmann,	w5_d64e14975
in	w7_d64e14978
Stain	w9_d64e14981
bey	w11_d64e14984
Herrn	w13_d64e14988
Johann	w1_d64e14993
Carl	w3_d64e14996
Kässer,	w5_d64e14999
und	w7_d64e15002
in	w9_d64e15005
Linz	w11_d64e15008
bey	w13_d64e15012
dem	w15_d64e15015
Buchdrucker	w1_d64e15021
Herrn	w3_d64e15024
Auinger	w5_d64e15027
das	w7_d64e15030
Tractatel	w9_d64e15033
über	w1_d64e15038
das	w3_d64e15041
auf	w5_d64e15044
der	w7_d64e15047
Gräflichgrundemanisch	w9_d64e15050
in	w1_d64e15055
Ober=österreich	w3_d64e15058
liegenden	w5_d64e15061
Herrschafft	w7_d64e15064
Waldenfels	w1_d64e15069
entspringende	w3_d64e15072
Gesund	w5_d64e15075
oder	w7_d64e15078
so	w9_d64e15081
genannte	w1_d64e15087
Riendl=wasser	w3_d64e15090
ohne	w5_d64e15093
Bezahlung	w7_d64e15096
zu	w9_d64e15099
erlangen	w1_d64e15104
seye,	w3_d64e15107
woraus	w5_d64e15110
zugleich	w7_d64e15113
erhellen	w9_d64e15116
wird	w11_d64e15119
bey	w1_d64e15124
weme	w3_d64e15127
dieses	w5_d64e15130
in	w7_d64e15133
verschiedenen	w9_d64e15136
hart	w11_d64e15139
näckigen	w1_d64e15144
Zuständen,	w3_d64e15147
und	w5_d64e15150
zwar	w7_d64e15153
unter	w9_d64e15156
andern	w11_d64e15159
in	w1_d64e15165
der	w3_d64e15168
fliesend	w5_d64e15171
und	w7_d64e15174
blinden	w9_d64e15177
goldenen	w11_d64e15180
Ader,	w13_d64e15184
in	w15_d64e15187
dem	w1_d64e15192
Blutgang	w3_d64e15195
und	w5_d64e15198
in	w7_d64e15201
Verhaltung	w9_d64e15204
des	w11_d64e15207
Ge	w13_d64e15211
blüts	w1_d64e15216
in	w3_d64e15219
der	w5_d64e15222
Ruhr,	w7_d64e15225
und	w9_d64e15228
in	w11_d64e15231
Hypocondrischen	w13_d64e15235
Berstopfungen	w1_d64e15240
sehr	w3_d64e15243
Verwunderungs=würdige	w5_d64e15246
Proben	w1_d64e15252
abgeleget,	w3_d64e15255
auch	w5_d64e15258
bey	w7_d64e15261
weme	w9_d64e15264
solches	w11_d64e15267
Baad	w1_d64e15272
und	w3_d64e15275
trinkbare	w5_d64e15278
Gesund=wasser	w7_d64e15281
in	w9_d64e15284
Wien,	w11_d64e15287
St.	w1_d64e15292
Pölten,	w3_d64e15295
Stain,	w5_d64e15298
und	w7_d64e15301
Linz	w9_d64e15304
alltäglich	w11_d64e15307
in	w13_d64e15311
einer	w1_d64e15316
Maas=flaschen	w3_d64e15319
um	w5_d64e15322
billigen	w7_d64e15325
Preis	w9_d64e15328
zu	w11_d64e15331
er	w13_d64e15335
langen	w1_d64e15341
seye.	w3_d64e15344
</p>
<p id="p6_d64e15347">
NB.	w1_d64e15351
Bey	w3_d64e15354
denen	w5_d64e15357
Heyingerischen	w7_d64e15360
Erben	w9_d64e15363
in	w11_d64e15366
der	w1_d64e15371
Römer=strassen	w3_d64e15374
seynd	w5_d64e15377
zu	w7_d64e15380
haben:	w9_d64e15383
An	w11_d64e15386
dachts=übung	w1_d64e15391
Marianischer	w3_d64e15394
Dienstbarkeit	w5_d64e15397
zu	w7_d64e15400
MARI	w1_d64e15406
A	w3_d64e15409
der	w5_d64e15412
schmerz=vollen	w7_d64e15415
Jungfrauen,	w9_d64e15418
Stifterin	w1_d64e15423
des	w3_d64e15426
Ordens	w5_d64e15429
ihrer	w7_d64e15432
Diener;	w9_d64e15435
wie	w11_d64e15438
auch	w13_d64e15442
zu	w1_d64e15447
denen	w3_d64e15450
Heiligen,	w5_d64e15453
und	w7_d64e15456
Seeligen	w9_d64e15459
aus	w11_d64e15462
diesem	w13_d64e15466
Orden.	w1_d64e15471
Mit	w3_d64e15474
zehen	w5_d64e15477
Kupfern	w7_d64e15480
geziert,	w9_d64e15483
das	w11_d64e15486
Stuck	w1_d64e15492
ungebundener	w3_d64e15495
à	w5_d64e15498
9.	w7_d64e15501
kr.	w9_d64e15504
</p>
<p id="p8_d64e15507">
Jtem	w1_d64e15511
ein	w3_d64e15514
Predig=buch,	w5_d64e15517
alwo	w7_d64e15520
verschiedene	w9_d64e15523
Predigen	w1_d64e15528
von	w3_d64e15531
Authore	w5_d64e15534
Fr.	w7_d64e15537
Patritio	w9_d64e15540
Ai-	w11_d64e15543
chingee,	w1_d64e15548
Can.	w3_d64e15551
Regul.	w5_d64e15554
S.	w7_d64e15557
Augustini,	w9_d64e15560
das	w11_d64e15563
Stuck	w1_d64e15569
ungebunden	w3_d64e15572
à	w5_d64e15575
12.	w7_d64e15578
kr.	w9_d64e15581
</p>
<p id="p10_d64e15584">
Den	w1_d64e15588
17.	w3_d64e15591
Augusti	w5_d64e15594
werden	w7_d64e15597
in	w9_d64e15600
dem	w11_d64e15603
Heyin	w13_d64e15607
gerischen	w1_d64e15612
Hauß	w3_d64e15615
in	w5_d64e15618
der	w7_d64e15621
Riemer=strassen	w9_d64e15624
zu	w11_d64e15627
ebe	w13_d64e15631
ner	w1_d64e15636
Erd	w3_d64e15639
verschiedene	w5_d64e15642
schöne	w7_d64e15645
Bücher	w9_d64e15648
licitando	w11_d64e15651
verkauffet	w1_d64e15657
werden.	w3_d64e15660
</p>
<p id="p12_d64e15664">
Den	w1_d64e15668
16.	w3_d64e15671
Augusti	w5_d64e15674
werden	w7_d64e15677
in	w9_d64e15680
der	w11_d64e15683
Woll=zeil	w13_d64e15687
in	w1_d64e15692
der	w3_d64e15695
goldenen	w5_d64e15698
Wein=trauben	w7_d64e15701
im	w9_d64e15704
ersten	w11_d64e15707
</p>
<p id="p14_d64e15710">
Stock	w1_d64e15714
zwey	w3_d64e15717
Pferd	w5_d64e15720
samt	w7_d64e15723
Wagen,	w9_d64e15726
Geschirr,	w11_d64e15729
und	w1_d64e15734
Stall=zugehörungen	w3_d64e15737
präcise	w5_d64e15740
um	w7_d64e15743
9	w9_d64e15746
Uhr	w11_d64e15749
frühe	w1_d64e15754
licitando	w3_d64e15757
verkauffet	w5_d64e15760
werden.	w7_d64e15763
</p>
<p id="p16_d64e15766">
Den	w1_d64e15770
19.	w3_d64e15773
dieses	w5_d64e15776
Monats	w7_d64e15779
Augusti	w9_d64e15782
und	w11_d64e15785
fol	w13_d64e15789
gende	w1_d64e15794
Täge,	w3_d64e15797
Vormittags	w5_d64e15800
von	w7_d64e15803
9	w9_d64e15806
bis	w11_d64e15809
12.,	w13_d64e15813
und	w1_d64e15818
Nachmittag	w3_d64e15821
von	w5_d64e15824
3.	w7_d64e15827
bis	w9_d64e15830
6	w11_d64e15833
Uhr	w13_d64e15837
werden	w15_d64e15840
auf	w1_d64e15846
Verordnung	w3_d64e15849
einer	w5_d64e15852
Löbl.	w7_d64e15855
Aniversität	w9_d64e15858
al	w11_d64e15861
hier	w1_d64e15866
in	w3_d64e15869
dem	w5_d64e15872
Rot=gässel,	w7_d64e15875
in	w9_d64e15878
Weißischen	w11_d64e15881
Haus,	w13_d64e15885
in	w1_d64e15890
ersten	w3_d64e15893
Stock	w5_d64e15896
nächst	w7_d64e15899
dem	w9_d64e15902
Fisch=hof	w11_d64e15905
verschie	w13_d64e15909
dene	w1_d64e15914
medicinische,	w3_d64e15917
und	w5_d64e15920
historische	w7_d64e15923
Bücher	w9_d64e15926
li	w11_d64e15929
citando	w1_d64e15935
an	w3_d64e15938
den	w5_d64e15941
Meistbietenden	w7_d64e15944
verkauffet	w9_d64e15947
werden,	w1_d64e15952
wo	w3_d64e15955
immittels	w5_d64e15958
der	w7_d64e15961
Catalogus	w9_d64e15964
li-	w11_d64e15967
brorum	w1_d64e15972
in	w3_d64e15975
dem	w5_d64e15978
Buch=handlungs=gewölb	w7_d64e15981
zum	w1_d64e15986
goldenen	w3_d64e15989
Vließ	w5_d64e15992
abgeholet	w7_d64e15995
werden	w9_d64e15998
kann.	w11_d64e16001
</p>
<list id="l18_d64e16004">
NB.	w1_d64e16008
Jn	w3_d64e16011
der	w5_d64e16014
Emerich	w7_d64e16017
Felix	w9_d64e16020
Baderischen	w11_d64e16023
Buchhandlung	w1_d64e16028
in	w3_d64e16031
der	w5_d64e16034
Bogner=gassen	w7_d64e16037
nebst	w9_d64e16040
dem	w1_d64e16045
Todten=kopf	w3_d64e16048
ist	w5_d64e16051
zu	w7_d64e16054
haben:	w9_d64e16057
Les	w1_d64e16063
Réveries	w3_d64e16066
ou	w5_d64e16069
Memoires	w7_d64e16072
sur	w9_d64e16075
l’Art	w11_d64e16078
de	w13_d64e16082
la	w1_d64e16087
Guerre	w3_d64e16090
de	w5_d64e16093
Maurice	w7_d64e16096
Comte	w9_d64e16099
de	w11_d64e16102
Saxe,	w13_d64e16106
Duc	w1_d64e16111
de	w3_d64e16114
Curlande	w5_d64e16117
&	w7_d64e16120
de	w9_d64e16123
Semigalle,	w11_d64e16126
Mare-	w13_d64e16130
chal-general	w1_d64e16135
des	w3_d64e16138
Armées	w5_d64e16141
de	w7_d64e16144
S.	w9_d64e16147
M.	w11_d64e16150
T.	w13_d64e16154
C.	w15_d64e16157
&c.	w1_d64e16163
Dediés	w3_d64e16166
à	w5_d64e16169
Mesfieurs	w7_d64e16172
les	w9_d64e16175
Ofsiciers	w11_d64e16178
ge-	w13_d64e16182
neraux	w1_d64e16187
pr.	w3_d64e16190
Mr.	w5_d64e16193
Bonneville,	w7_d64e16196
avec	w9_d64e16199
beau.	w11_d64e16202
coup	w1_d64e16207
des	w3_d64e16210
Planches	w5_d64e16213
en	w7_d64e16216
taille	w9_d64e16219
Douce	w11_d64e16222
fol.	w13_d64e16226
à	w1_d64e16231
la	w3_d64e16234
Haye.	w5_d64e16237
1756.	w7_d64e16240
pr.	w9_d64e16243
20.	w11_d64e16246
fl.	w13_d64e16250
Leben	w1_d64e16256
des	w3_d64e16259
Mastricher	w5_d64e16262
Mahler	w7_d64e16265
Michaels,	w9_d64e16268
welcher	w1_d64e16273
sowol	w3_d64e16276
seine	w5_d64e16279
besondere	w7_d64e16282
Reise,	w9_d64e16285
als	w11_d64e16288
merkwürdige	w1_d64e16293
Begebenheiten	w3_d64e16296
zum	w5_d64e16299
Vergnügen	w7_d64e16302
der	w1_d64e16307
Welt	w3_d64e16310
vor	w5_d64e16313
Augen	w7_d64e16316
leget.	w9_d64e16319
8vo.	w11_d64e16322
Dreßden.	w13_d64e16326
1756.	w1_d64e16332
42.	w3_d64e16335
kr.	w5_d64e16338
Uhligs	w1_d64e16343
(Adam	w3_d64e16346
Gottfried)	w5_d64e16349
Historisch=po	w7_d64e16352
litisch	w1_d64e16357
und	w3_d64e16360
d.	w5_d64e16363
g.	w7_d64e16366
neueste	w9_d64e16369
Briefe,	w11_d64e16372
worinnen	w13_d64e16376
die	w15_d64e16379
Angelegenheiten	w1_d64e16384
der	w3_d64e16387
gegenwärtigen	w5_d64e16390
Kriegs	w7_d64e16393
und	w1_d64e16399
Staats=händel,	w3_d64e16402
durch	w5_d64e16405
ausführliche	w7_d64e16408
Schriften	w1_d64e16413
und	w3_d64e16416
Aufsätze	w5_d64e16419
gründlich	w7_d64e16422
abgehan	w9_d64e16425
delt,	w1_d64e16430
auch	w3_d64e16433
sonst	w5_d64e16436
historische	w7_d64e16439
Merkwürdigkei	w9_d64e16442
ten	w1_d64e16447
mitgetheilet	w3_d64e16450
werden.	w5_d64e16453
8vo.	w7_d64e16456
Frankfurt.	w9_d64e16459
1756.	w1_d64e16465
1.	w3_d64e16468
fl	w5_d64e16471
8.	w7_d64e16474
kr.	w9_d64e16477
Die	w1_d64e16482
Zeichnungs	w3_d64e16485
und	w5_d64e16488
Mahler=kunst.	w7_d64e16491
8vo.	w9_d64e16494
Frankfurt.	w1_d64e16499
1756.	w3_d64e16502
17.	w5_d64e16505
kr.	w7_d64e16508
Essai	w1_d64e16513
sur	w3_d64e16516
les	w5_d64e16519
Usages	w7_d64e16522
des	w9_d64e16525
Montagnes,	w11_d64e16528
avec	w1_d64e16534
une	w3_d64e16537
Lettre	w5_d64e16540
sur	w7_d64e16543
le	w9_d64e16546
Nil;	w11_d64e16549
par	w13_d64e16553
E.	w15_d64e16556
Ber-	w17_d64e16559
trand.	w1_d64e16564
8vo.	w3_d64e16567
Zuric.	w5_d64e16570
1754.	w7_d64e16573
1.	w9_d64e16576
fl.	w11_d64e16579
30.	w13_d64e16583
x1.	w15_d64e16586
Dissertation	w1_d64e16591
qui	w3_d64e16594
a	w5_d64e16597
remporté	w7_d64e16600
le	w9_d64e16603
Priz	w11_d64e16606
de	w13_d64e16610
l'Academie	w1_d64e16615
Royale	w3_d64e16618
des	w5_d64e16621
Sciences	w7_d64e16624
&	w9_d64e16627
bel	w11_d64e16630
les	w1_d64e16636
Lettres	w3_d64e16639
sur	w5_d64e16642
les	w7_d64e16645
Anciens	w9_d64e16648
Hsbitens	w11_d64e16651
des	w13_d64e16655
Marches.	w1_d64e16660
Avec	w3_d64e16663
les	w5_d64e16666
Picces	w7_d64e16669
qui	w9_d64e16672
oft	w11_d64e16675
con-	w13_d64e16679
courru	w1_d64e16684
4to.	w3_d64e16687
Berlin.	w5_d64e16690
1753.	w7_d64e16693
36.	w9_d64e16696
kr.	w11_d64e16699
</list>
<list id="l24_d64e16714">
Histoire	w1_d64e16718
&	w3_d64e16721
Description	w5_d64e16724
generale	w7_d64e16727
de	w9_d64e16730
la	w1_d64e16735
Nouvelle	w3_d64e16738
France,	w5_d64e16741
avec	w7_d64e16744
le	w9_d64e16747
Journal	w11_d64e16750
Historique	w1_d64e16755
d'un	w3_d64e16758
Voyage	w5_d64e16761
fait	w7_d64e16764
par	w9_d64e16767
Ordre	w11_d64e16770
du	w1_d64e16776
Roy	w3_d64e16779
dans	w5_d64e16782
l'Amerique	w7_d64e16785
Septentriona-	w9_d64e16788
le	w1_d64e16793
par	w3_d64e16796
le	w5_d64e16799
P.	w7_d64e16802
de	w9_d64e16805
Charlevoix.	w11_d64e16808
Avec	w13_d64e16812
Quantité	w1_d64e16817
de	w3_d64e16820
Cartes,	w5_d64e16823
Plans	w7_d64e16826
&	w9_d64e16829
autres	w11_d64e16832
fi-	w13_d64e16836
gures	w1_d64e16841
en	w3_d64e16844
Taille	w5_d64e16847
douce.	w7_d64e16850
VI.	w9_d64e16853
Tomes.	w11_d64e16856
12mo,	w13_d64e16860
Paris	w1_d64e16866
1744.	w3_d64e16869
14.	w5_d64e16872
fl.	w7_d64e16875
La	w1_d64e16880
Science	w3_d64e16883
des	w5_d64e16886
Personnes	w7_d64e16889
de	w9_d64e16892
Cour,	w11_d64e16895
d'Epeé	w1_d64e16900
&	w3_d64e16903
de	w5_d64e16906
Robe,	w7_d64e16909
Comencée	w9_d64e16912
par	w11_d64e16915
Mr.	w13_d64e16919
de	w1_d64e16924
Chevigni,	w3_d64e16927
continuée	w5_d64e16930
par	w7_d64e16933
Mr.	w9_d64e16936
Limiers,	w11_d64e16939
Revue,	w1_d64e16945
corrigée	w3_d64e16948
&	w5_d64e16951
Considerablement	w7_d64e16954
augmentée	w1_d64e16959
par	w3_d64e16962
Mr.	w5_d64e16965
Pierre	w7_d64e16968
Massuet.	w9_d64e16971
IX.	w11_d64e16974
Tomes-	w1_d64e16979
avec	w3_d64e16982
fig.	w5_d64e16985
12mo.	w7_d64e16988
Amsterdam.	w9_d64e16991
1752.	w1_d64e16996
24.	w3_d64e16999
fl.	w5_d64e17002
Pratique	w1_d64e17008
de	w3_d64e17011
la	w5_d64e17014
Memoire	w7_d64e17017
Artificielle,	w9_d64e17020
pour	w1_d64e17025
apprendre	w3_d64e17028
