<doc id="edoc_wd_1762-07-14" attrs="word" year="1762" month="07" day="14" corpus="1">
<head id="hl1">
Petersburg	w39
ruckaelassene	w5366
in	w5367
dem	w5368
Markt	w5369
allda	w5370
auf	w5371
dem	w5372
Platz	w5373
liegende	w5374
Behzu=sung	w5375
<g/>
=
plus	w5377
offerenti	w5378
licitando	w5379
verkauft	w5380
<g/>
.
Wer	w5382
dannenhero	w5383
solche	w5384
Behausung	w5385
käuflich	w5386
an	w5387
sich	w5388
zu	w5389
bringen	w5390
gedenket	w5391
<g/>
,
kan	w5393
sich	w5394
den	w5395
14	w5396
<g/>
.
künftigen	w5398
Mo=nats	w5399
<g/>
=
Augusti	w5401
a	w5402
<g/>
.
c	w5404
<g/>
.
bey	w5406
hiesiger	w5407
Herrschafts	w5408
<g/>
=
canzley	w5410
Vormittag	w5411
anmelden	w5412
<g/>
,
und	w5414
der	w5415
vornehmenden	w5416
Li=citation	w5417
<g/>
=
gewöhnlicher	w5419
massen	w5420
beywohnen	w5421
<g/>
,
welches	w5423
zu	w5424
jedermanns	w5425
Nuchricht	w5426
nochmalen	w5427
erinnert	w5428
wird	w5429
<g/>
.
</p>
<head id="hl22">
Von	w5445
inländischen	w5446
gelehrten	w5447
Sachen	w5448
<g/>
.
</head>
<p id="p54">
Wir	w5450
müssen	w5451
auch	w5452
einmal	w5453
von	w5454
den	w5455
Bemü=hungen	w5456
<g/>
=
unserer	w5458
Gottesgelehrten	w5459
eine	w5460
Erwehnung	w5461
machen	w5462
<g/>
.
Es	w5464
ist	w5465
in	w5466
der	w5467
Lehrart	w5468
unserer	w5469
theologischen	w5470
Schulen	w5471
sehr	w5472
viel	w5473
ver=bessert	w5474
<g/>
=
worden	w5476
<g/>
,
seitdem	w5478
die	w5479
Auslegung	w5480
der	w5481
heiligen	w5482
Schrift	w5483
<g/>
,
die	w5485
Kirchenhistorie	w5486
und	w5487
Le=sung	w5488
<g/>
=
der	w5490
heiligen	w5491
Väter	w5492
wieder	w5493
die	w5494
Oberhand	w5495
gewonnen	w5496
<g/>
,
und	w5498
die	w5499
unnützen	w5500
scholastischen	w5501
Streitfragen	w5502
einer	w5503
gründlichern	w5504
Gelehrsam=keit	w5505
<g/>
=
haben	w5507
weichen	w5508
müssen	w5509
<g/>
.
Das	w5511
Reich	w5512
des	w5513
eiteln	w5514
Schulwitzes	w5515
hatte	w5516
nur	w5517
allzulange	w5518
ge=dauret	w5519
<g/>
=
<g/>
,
und	w5522
sogar	w5523
nach	w5524
der	w5525
Zerstörung	w5526
der	w5527
aristotelischen	w5528
Monarchie	w5529
in	w5530
der	w5531
Weltweis=heit	w5532
<g/>
=
<g/>
,
sein	w5535
Ansehen	w5536
in	w5537
der	w5538
Theologie	w5539
noch	w5540
im=mer	w5541
<g/>
=
zu	w5543
behaupten	w5544
gesucht	w5545
<g/>
;
bis	w5547
endlich	w5548
diese	w5549
von	w5550
den	w5551
Grillen	w5552
der	w5553
Vernünftler	w5554
gereiniget	w5555
<g/>
,
und	w5557
anstatt	w5558
derselben	w5559
die	w5560
dogmatischen	w5561
Fra=gen	w5562
<g/>
=
in	w5564
die	w5565
Schulen	w5566
eingeführet	w5567
worden	w5568
<g/>
:
Man	w5570
sieng	w5571
also	w5572
an	w5573
<g/>
,
den	w5575
reinen	w5576
Urquellen	w5577
sich	w5578
wieder	w5579
zu	w5580
nähern	w5581
<g/>
,
und	w5583
daraus	w5584
entstund	w5585
die	w5586
sogenannte	w5587
dogmatisch	w5588
<g/>
=
scholastische	w5590
Theolo=gie	w5591
<g/>
=
<g/>
.
Seitdem	w5594
haben	w5595
wir	w5596
zwar	w5597
weniger	w5598
neue	w5599
Bücher	w5600
<g/>
;
dafür	w5602
sind	w5603
aber	w5604
die	w5605
alten	w5606
<g/>
,
nämlich	w5608
die	w5609
Schriften	w5610
der	w5611
heil	w5612
<g/>
.
Väter	w5614
<g/>
,
die	w5616
Satzungen	w5617
der	w5618
Concilien	w5619
<g/>
,
und	w5621
die	w5622
Kirchengeschichte	w5623
älte=rer	w5624
<g/>
=
Zeiten	w5626
wieder	w5627
in	w5628
die	w5629
Hand	w5630
genommen	w5631
worden	w5632
<g/>
.
Bey	w5634
dem	w5635
blieb	w5636
es	w5637
nicht	w5638
<g/>
;
es	w5640
wur=den	w5641
<g/>
=
sogar	w5643
auf	w5644
den	w5645
Universitäten	w5646
zu	w5647
Wien	w5648
<g/>
,
Prag	w5650
und	w5651
Jnsbruck	w5652
<g/>
,
wie	w5654
auch	w5655
auf	w5656
den	w5657
hohen	w5658
Schulen	w5659
zu	w5660
Grätz	w5661
und	w5662
Ollmütz	w5663
eigene	w5664
neue	w5665
Lehrkanzeln	w5666
errichtet	w5667
<g/>
,
von	w5669
welchen	w5670
die	w5671
theolo=gische	w5672
<g/>
=
Wissenschaft	w5674
<g/>
,
so	w5676
wie	w5677
ste	w5678
von	w5679
ihren	w5680
ersten	w5681
Lehrern	w5682
<g/>
,
ehvor	w5684
noch	w5685
die	w5686
zanksüchtige	w5687
Schul=weisheit	w5688
<g/>
=
sich	w5690
mit	w5691
eingemenget	w5692
hatte	w5693
<g/>
,
abge=handelt	w5695
<g/>
=
worden	w5697
<g/>
,
nach	w5699
deutlichen	w5700
Begriffen	w5701
und	w5702
auf	w5703
eine	w5704
lautere	w5705
Art	w5706
gelehret	w5707
werden	w5708
soll	w5709
<g/>
.
Da	w5711
nun	w5712
unter	w5713
den	w5714
Kirchenvätern	w5715
der	w5716
große	w5717
Augustin	w5718
das	w5719
meiste	w5720
Licht	w5721
in	w5722
der	w5723
Gotteslehre	w5724
angezündet	w5725
<g/>
;
der	w5727
heil	w5728
<g/>
.
Thomas	w5730
aber	w5731
dieselbe	w5732
in	w5733
die	w5734
beste	w5735
systematische	w5736
Ordnung	w5737
gebracht	w5738
hat	w5739
<g/>
,
so	w5741
sind	w5742
auch	w5743
ihre	w5744
Grundsätze	w5745
und	w5746
Lehran	w5747
</p>
<p id="p55">
vor	w5748
andern	w5749
den	w5750
neuen	w5751
Lehrern	w5752
empfohlen	w5753
wer=den	w5754
<g/>
=
<g/>
,
damit	w5757
solchergestalt	w5758
die	w5759
alte	w5760
Theologie	w5761
wieder	w5762
auflebe	w5763
<g/>
,
und	w5765
öffentlich	w5766
gelehret	w5767
werde	w5768
<g/>
.
</p>
<p id="p56">
Zu	w5770
dieser	w5771
Theologie	w5772
der	w5773
Kirchenväter	w5774
haben	w5775
wir	w5776
im	w5777
vorigen	w5778
Jahre	w5779
von	w5780
einem	w5781
der	w5782
neuen	w5783
Professorn	w5784
zu	w5785
Jnsbruck	w5786
eine	w5787
Einleitung	w5788
unter	w5789
folgender	w5790
Aufschrift	w5791
im	w5792
Drucke	w5793
erhalten	w5794
<g/>
:
</p>
<p id="p57">
Introductio	w5796
ad	w5797
Theologiam	w5798
Patrum	w5799
<g/>
,
prae-cipue	w5801
<g/>
-
secundum	w5803
ductum	w5804
S	w5805
<g/>
.
Augustini	w5807
<g/>
,
edita	w5809
ab	w5810
Adriano	w5811
Rembter	w5812
in	w5813
Eccl	w5814
Wiltin	w5815
<g/>
.
Canon	w5817
<g/>
.
Pracmonst	w5819
<g/>
.
SS	w5821
<g/>
.
Th	w5823
<g/>
.
D	w5825
<g/>
.
<g/>
&
Prof	w5828
<g/>
.
P	w5830
<g/>
.
in	w5832
Vniuers	w5833
<g/>
.
Oenip	w5835
<g/>
.
A	w5837
<g/>
.
L	w5839
<g/>
.
R	w5841
<g/>
.
<g/>
&
B	w5844
<g/>
.
S	w5846
<g/>
.
<g/>
(
Academiae	w5849
litera-riae	w5850
<g/>
-
Roboretanae	w5852
E	w5853
Bavaricae	w5854
Focio	w5855
<g/>
.
<g/>
)
Augu-stae	w5858
<g/>
-
Vindel	w5860
<g/>
.
1761	w5862
<g/>
.
in	w5864
8vo	w5865
<g/>
.
excudebatChrist	w5867
<g/>
,
Deckart	w5869
<g/>
.
Jst	w5871
hier	w5872
zu	w5873
haben	w5874
bey	w5875
dem	w5876
Buch=händler	w5877
<g/>
=
Joh	w5879
<g/>
.
Paul	w5881
Kraus	w5882
<g/>
.
</p>
<p id="p58">
Der	w5884
Herr	w5885
Verfasser	w5886
ist	w5887
uns	w5888
schon	w5889
aus	w5890
an=dern	w5891
<g/>
=
gelehrten	w5893
zum	w5894
Theile	w5895
auch	w5896
historischen	w5897
Arbeiten	w5898
bekannt	w5899
<g/>
,
die	w5901
ihm	w5902
und	w5903
dem	w5904
Chorstif=te	w5905
<g/>
=
Wilten	w5907
viel	w5908
Ehre	w5909
machen	w5910
<g/>
.
Er	w5912
hatte	w5913
vor	w5914
zwey	w5915
Jahren	w5916
seine	w5917
schöne	w5918
Schreibart	w5919
und	w5920
große	w5921
Kenntnis	w5922
der	w5923
alten	w5924
lateinischen	w5925
Schrift=steller	w5926
<g/>
=
in	w5928
seinen	w5929
Veterum	w5930
de	w5931
re	w5932
rustica	w5933
Praeceptis	w5934
<g/>
,
welche	w5936
mit	w5937
sonderbarem	w5938
Beyfalle	w5939
aufgenom=men	w5940
<g/>
=
worden	w5942
<g/>
,
der	w5944
gelehrten	w5945
Welt	w5946
dargethan	w5947
<g/>
;
nun	w5949
zeiget	w5950
er	w5951
auch	w5952
<g/>
,
daß	w5954
er	w5955
in	w5956
den	w5957
Schriften	w5958
der	w5959
Kirchenväter	w5960
eben	w5961
sowol	w5962
bewandert	w5963
ist	w5964
<g/>
.
</p>
<p id="p59">
Das	w5966
Werk	w5967
ist	w5968
in	w5969
die	w5970
folgenden	w5971
Hauptstü=cke	w5972
<g/>
=
abgetheilet	w5974
<g/>
.
Jn	w5976
dem	w5977
Derkläret	w5978
der	w5979
Hr	w5980
<g/>
.
Verfasser	w5982
die	w5983
Eigenschaft	w5984
<g/>
,
den	w5986
Geist	w5987
<g/>
,
und	w5989
die	w5990
Lehrart	w5991
der	w5992
theologischen	w5993
Wissenschaft	w5994
<g/>
,
wie	w5996
diese	w5997
in	w5998
den	w5999
Kirchenvätern	w6000
zu	w6001
finden	w6002
ist	w6003
<g/>
;
auch	w6005
was	w6006
für	w6007
andere	w6008
Wissenschaften	w6009
dazu	w6010
dienlich	w6011
sind	w6012
<g/>
.
Er	w6014
macht	w6015
gleich	w6016
zu	w6017
Anfange	w6018
<g/>
,
damit	w6020
die	w6021
Aufschrift	w6022
des	w6023
Buches	w6024
niemand	w6025
be=fremdlich	w6026
<g/>
=
vorkomme	w6028
<g/>
,
die	w6030
Erinnerung	w6031
<g/>
,
daß	w6033
er	w6034
nicht	w6035
gedenke	w6036
ein	w6037
neues	w6038
theol	w6039
<g/>
.
Lehrgebäu=de	w6041
<g/>
=
zu	w6043
stiften	w6044
<g/>
,
sondern	w6046
allein	w6047
die	w6048
Lehrsätze	w6049
der	w6050
alten	w6051
Theologie	w6052
<g/>
,
nach	w6054
Anleitung	w6055
des	w6056
heiligen	w6057
Augustin	w6058
zu	w6059
sammeln	w6060
<g/>
,
und	w6062
in	w6063
eine	w6064
solche	w6065
Ordnung	w6066
zu	w6067
bringen	w6068
<g/>
,
die	w6070
den	w6071
heutigen	w6072
SchuSchulen	w6073
<g/>
=
</p>
<p id="p60">
len	w6076
geläufig	w6077
ist	w6078
<g/>
.
Die	w6080
ältern	w6081
Väter	w6082
<g/>
,
sagt	w6084
er	w6085
<g/>
,
haben	w6087
sich	w6088
an	w6089
eine	w6090
systematische	w6091
Eintheilung	w6092
nicht	w6093
gebunden	w6094
<g/>
,
sondern	w6096
die	w6097
theol	w6098
<g/>
.
Fragen	w6100
stückweise	w6101
<g/>
,
wie	w6103
es	w6104
die	w6105
Gelegenheit	w6106
mit	w6107
sich	w6108
bracht	w6109
<g/>
,
bald	w6111
kurz	w6112
<g/>
,
bald	w6114
ausführlicher	w6115
abge=handelt	w6116
<g/>
=
<g/>
.
Man	w6119
müsse	w6120
dieselben	w6121
theils	w6122
in	w6123
ih=ren	w6124
<g/>
=
Streit	w6126
<g/>
=
und	w6128
Schutzschriften	w6129
gegen	w6130
die	w6131
Glaubenswidersacher	w6132
<g/>
,
theils	w6134
in	w6135
ihren	w6136
Com=mentarien	w6137
<g/>
=
über	w6139
die	w6140
heil	w6141
<g/>
.
Schrift	w6143
<g/>
,
theils	w6145
in	w6146
ihren	w6147
Kanzelreden	w6148
<g/>
,
Sendschreiben	w6150
<g/>
,
und	w6152
der=gleichen	w6153
<g/>
=
Schriften	w6155
zusammen	w6156
suchen	w6157
<g/>
.
Das	w6159
II	w6160
<g/>
)
Hauptstuck	w6162
handelt	w6163
von	w6164
dem	w6165
geschriebe=nen	w6166
<g/>
=
Worte	w6168
Gottes	w6169
<g/>
;
es	w6171
werden	w6172
hier	w6173
verschie=dene	w6174
<g/>
=
Fragen	w6176
von	w6177
der	w6178
heil	w6179
Schrift	w6180
<g/>
;
ihren	w6182
Verfassern	w6183
<g/>
,
und	w6185
Uebersetzungen	w6186
<g/>
,
von	w6188
der	w6189
Ausgabe	w6190
der	w6191
<g/>
,
sogenanten	w6193
Vulgata	w6194
<g/>
,
von	w6196
der	w6197
Zahl	w6198
der	w6199
canonischen	w6200
Bücher	w6201
<g/>
,
von	w6203
den	w6204
unächten	w6205
Büchern	w6206
des	w6207
alten	w6208
und	w6209
neuen	w6210
Testa=ments	w6211
<g/>
=
<g/>
,
dogmatisch	w6214
und	w6215
critisch	w6216
mit	w6217
vieler	w6218
Ge=lehrsamkeit	w6219
<g/>
=
erörtert	w6221
<g/>
.
III	w6223
<g/>
)
Von	w6225
den	w6226
Tra=ditionen	w6227
<g/>
=
der	w6229
Kirche	w6230
<g/>
.
Auch	w6232
diese	w6233
Abhandlung	w6234
hat	w6235
sehr	w6236
vernünftige	w6237
und	w6238
nützliche	w6239
Anmer=kungen	w6240
<g/>
=
<g/>
.
IV	w6243
<g/>
)
Von	w6245
der	w6246
Kirche	w6247
<g/>
.
Darinn	w6249
wird	w6250
gezeiget	w6251
<g/>
,
daß	w6253
nur	w6254
eine	w6255
christliche	w6256
Kirche	w6257
seyn	w6258
könne	w6259
<g/>
,
und	w6261
diese	w6262
sichtbarlich	w6263
<g/>
,
heilig	w6265
<g/>
,
allge=mein	w6267
<g/>
=
<g/>
,
apostolisch	w6270
und	w6271
unfehlbar	w6272
seyn	w6273
müsse	w6274
<g/>
.
Jn	w6276
dem	w6277
V	w6278
<g/>
)
von	w6280
den	w6281
Kirchenversammlungen	w6282
behauptet	w6283
der	w6284
Hr	w6285
<g/>
.
Prof	w6287
<g/>
.
daß	w6289
dem	w6290
Pabsten	w6291
als	w6292
geistl	w6293
<g/>
.
Oberhaupte	w6295
<g/>
,
allein	w6297
zustehe	w6298
<g/>
,
diesel=ben	w6300
<g/>
=
zu	w6302
berufen	w6303
<g/>
,
dabey	w6305
in	w6306
Person	w6307
oder	w6308
durch	w6309
Legate	w6310
vorzustehen	w6311
<g/>
,
und	w6313
ihre	w6314
Entscheidungen	w6315
zu	w6316
bestätigen	w6317
<g/>
;
denn	w6319
dafür	w6320
wird	w6321
der	w6322
schließli=che	w6323
<g/>
=
Beytritt	w6325
des	w6326
Pabsten	w6327
ausgeleget	w6328
<g/>
.
Er	w6330
befestiget	w6331
hernach	w6332
den	w6333
richterlichen	w6334
Gewalt	w6335
eines	w6336
allgemeinen	w6337
Kirchenraths	w6338
in	w6339
der	w6340
Glau=bens	w6341
<g/>
=
<g/>
=
und	w6344
Sittenlehre	w6345
<g/>
;
untersuchet	w6347
<g/>
,
wer	w6349
da=bey	w6350
<g/>
=
Stimme	w6352
und	w6353
Sitz	w6354
haben	w6355
solle	w6356
<g/>
,
und	w6358
durchgeht	w6359
sodann	w6360
kürzlich	w6361
die	w6362
Reihe	w6363
der	w6364
Con=cilien	w6365
<g/>
=
<g/>
,
welche	w6368
für	w6369
oecumenisch	w6370
angenommen	w6371
worden	w6372
<g/>
.
Wir	w6374
bewundern	w6375
<g/>
,
daß	w6377
der	w6378
Hr	w6379
<g/>
.
Ca=nonicus	w6381
<g/>
=
nicht	w6383
das	w6384
Herz	w6385
hat	w6386
<g/>
,
das	w6388
von	w6389
Con=stanz	w6390
<g/>
=
mit	w6392
darunter	w6393
zu	w6394
zählen	w6395
<g/>
:
glaublich	w6397
<g/>
,
weil	w6399
der	w6400
Pabst	w6401
Martin	w6402
V	w6403
<g/>
.
die	w6405
4te	w6406
und	w6407
5te	w6408
Seßion	w6409
nicht	w6410
hat	w6411
bestätigen	w6412
wollen	w6413
<g/>
.
Wie	w6415
konnte	w6416
</p>
<p id="p61">
ihm	w6417
aber	w6418
dieses	w6419
zugemuthet	w6420
werden	w6421
<g/>
,
indem	w6423
in	w6424
selbigen	w6425
das	w6426
Concilium	w6427
über	w6428
den	w6429
Pabst	w6430
er=haben	w6431
<g/>
=
wird	w6433
<g/>
?
und	w6435
warum	w6436
soll	w6437
der	w6438
constanzi=sche	w6439
<g/>
=
Kirchenrath	w6441
nicht	w6442
dessen	w6443
ungeachtet	w6444
für	w6445
oecumenisch	w6446
geachtet	w6447
werden	w6448
<g/>
,
da	w6450
der	w6451
vorge=dachte	w6452
<g/>
=
Satz	w6454
keinen	w6455
Glaubensartickel	w6456
zum	w6457
Gegenstande	w6458
hat	w6459
<g/>
,
und	w6461
unser	w6462
Hr	w6463
<g/>
.
Verf	w6465
<g/>
.
selbst	w6467
sich	w6468
sorgfältig	w6469
hütet	w6470
<g/>
,
in	w6472
die	w6473
berührte	w6474
Frage	w6475
sich	w6476
einzulassen	w6477
<g/>
.
Nur	w6479
führet	w6480
er	w6481
aus	w6482
einem	w6483
zu	w6484
eben	w6485
derselben	w6486
Zeit	w6487
geschriebenen	w6488
Exem=plare	w6489
<g/>
=
der	w6491
Satzungen	w6492
des	w6493
gemeldten	w6494
Conci=lium	w6495
<g/>
=
<g/>
,
welches	w6498
in	w6499
der	w6500
Bibliothek	w6501
seines	w6502
Stif=tes	w6503
<g/>
=
noch	w6505
vor	w6506
wenig	w6507
Jahren	w6508
befindlich	w6509
war	w6510
<g/>
,
den	w6512
merkwürd	w6513
gen	w6514
Umstand	w6515
an	w6516
<g/>
,
daß	w6518
darinn	w6519
vor	w6520
der	w6521
4ten	w6522
Seßion	w6523
die	w6524
Aufsch	w6525
Propositiones	w6526
singuldres	w6527
Doctorum	w6528
Parisiensium	w6529
<g/>
,
und	w6531
nach	w6532
der	w6533
5ten	w6534
die	w6535
Worte	w6536
folgen	w6537
<g/>
:
Hac	w6539
pr	w6540
opositiones	w6541
non	w6542
sunt	w6543
admissae	w6544
a	w6545
SS	w6546
<g/>
.
Concilio	w6548
<g/>
.
Allein	w6550
die	w6551
Herren	w6552
Franzosen	w6553
werden	w6554
diese	w6555
Zusätze	w6556
<g/>
,
ohne	w6558
ihre	w6559
authenticität	w6560
genauer	w6561
zu	w6562
prüfen	w6563
<g/>
,
nicht	w6565
gelten	w6566
lassen	w6567
<g/>
.
VI	w6569
<g/>
)
Von	w6571
den	w6572
Kirchenvätern	w6573
<g/>
.
Der	w6575
Hr	w6576
<g/>
.
Prof	w6578
unterscheidet	w6579
die	w6580
Uebereinstimmung	w6581
aller	w6582
Väter	w6583
gar	w6584
sehr	w6585
von	w6586
den	w6587
Meinungen	w6588
<g/>
,
welche	w6590
einer	w6591
oder	w6592
nur	w6593
etliche	w6594
aus	w6595
ihnen	w6596
auch	w6597
in	w6598
dogmatischen	w6599
Fragen	w6600
gehabt	w6601
haben	w6602
<g/>
.
Er	w6604
zei=get	w6605
<g/>
=
<g/>
,
wie	w6608
behutsam	w6609
man	w6610
seyn	w6611
müsse	w6612
<g/>
,
denselben	w6614
hier=innen	w6615
<g/>
=
zu	w6617
folgen	w6618
<g/>
,
und	w6620
daß	w6621
sie	w6622
<g/>
,
obschon	w6624
sonst	w6625
ihre	w6626
Schriften	w6627
alle	w6628
Verehrung	w6629
verdienen	w6630
<g/>
,
dennoch	w6632
von	w6633
menschlichen	w6634
Schwachheiten	w6635
nicht	w6636
frey	w6637
gewesen	w6638
sinb	w6639
<g/>
.
Hingegegen	w6641
vertheidiget	w6642
er	w6643
ihr	w6644
Ansehen	w6645
gegen	w6646
die=jenige	w6647
<g/>
=
<g/>
,
welche	w6650
selbiges	w6651
zu	w6652
sehr	w6653
erniedrigen	w6654
wollen	w6655
<g/>
;
und	w6657
beschließet	w6658
es	w6659
mit	w6660
schönen	w6661
Anmerkungen	w6662
<g/>
,
wie	w6664
man	w6665
unächte	w6666
Schriften	w6667
der	w6668
Kirchenväter	w6669
und	w6670
die	w6671
wahren	w6672
erkennen	w6673
möge	w6674
<g/>
.
Ueberhaupt	w6676
finden	w6677
wir	w6678
in	w6679
dieser	w6680
Abhandlung	w6681
eine	w6682
sehr	w6683
vernünftige	w6684
Critik	w6685
und	w6686
gründliche	w6687
Gelehrsamkeit	w6688
<g/>
.
Zu	w6690
Ende	w6691
folget	w6692
noch	w6693
in	w6694
verschiedenen	w6695
Absätzen	w6696
eine	w6697
eben	w6698
sowol	w6699
überlegte	w6700
und	w6701
einsichtsvolle	w6702
Beurtheilung	w6703
der	w6704
Kirchenseribenten	w6705
aus	w6706
den	w6707
ersten	w6708
fünf	w6709
Jahrhunderten	w6710
<g/>
,
und	w6712
selbst	w6713
der	w6714
theol	w6715
<g/>
.
Lehren	w6717
des	w6718
heil	w6719
<g/>
.
Augustin	w6721
<g/>
,
welche	w6723
hier	w6724
in	w6725
be=sondere	w6726
<g/>
=
Sätze	w6728
nach	w6729
Verschiedenheit	w6730
der	w6731
Materien	w6732
zusammen	w6733
gefasset	w6734
sind	w6735
<g/>
,
und	w6737
untersuchet	w6738
werden	w6739
<g/>
.
</p>
<p id="p62">
Endlich	w6741
erzählet	w6742
der	w6743
Hr	w6744
<g/>
.
Verf	w6746
<g/>
.
VII	w6748
<g/>
)
die	w6750
Ketzereyen	w6751
von	w6752
einem	w6753
Jahrhunderte	w6754
zum	w6755
andern	w6756
<g/>
;
und	w6758
dieses	w6759
zwar	w6760
<g/>
,
da	w6762
er	w6763
auf	w6764
die	w6765
späteren	w6766
Zeiten	w6767
herabkömmt	w6768
<g/>
,
mit	w6770
einer	w6771
solchen	w6772
Mäßigung	w6773
<g/>
,
die	w6775
in	w6776
den	w6777
Schriften	w6778
der	w6779
Theologen	w6780
nicht	w6781
allzeit	w6782
angetroffen	w6783
wird	w6784
<g/>
.
</p>
<p id="p63">
Das	w6786
ist	w6787
nun	w6788
die	w6789
Einleitung	w6790
zur	w6791
Gökteslehre	w6792
der	w6793
Kirchenväter	w6794
<g/>
:
das	w6796
Werk	w6797
selbst	w6798
wird	w6799
in	w6800
mehr	w6801
Thei=len	w6802
<g/>
=
nachfolgen	w6804
<g/>
.
Wir	w6806
werden	w6807
nächstens	w6808
den	w6809
ersten	w6810
davon	w6811
anführen	w6812
<g/>
,
und	w6814
erfreuen	w6815
uns	w6816
indessen	w6817
mit	w6818
dem	w6819
gelehrten	w6820
Hrn	w6821
<g/>
.
Verfasser	w6823
<g/>
,
daß	w6825
er	w6826
eine	w6827
unsern	w6828
Schu=len	w6829
<g/>
=
so	w6831
nützliche	w6832
Arbeit	w6833
unternommen	w6834
hat	w6835
<g/>
.
</p>
<p id="p64">
Bey	w6837
Augustin	w6838
Bernardi	w6839
<g/>
,
Univerfitäts	w6841
<g/>
=
büchhänd=lern	w6843
<g/>
=
<g/>
,
der	w6846
obern	w6847
Jesuiten	w6848
pforten	w6849
gegenüber	w6850
ist	w6851
zu	w6852
haben	w6853
<g/>
:
</p>
<p id="p65">
Memoire	w6855
de	w6856
Mt	w6857
<g/>
.
O	w6859
<g/>
.
Z	w6861
<g/>
.
van	w6863
Haren	w6864
<g/>
,
concernant	w6866
la	w6867
cause	w6868
celebre	w6869
entre	w6870
lui	w6871
<g/>
&
Mrs	w6873
<g/>
&
Mesmes	w6875
de	w6876
Hogendorp	w6877
<g/>
&
Zandyle	w6879
<g/>
;
ses	w6881
Beaux	w6882
<g/>
-
fils	w6884
<g/>
&
ses	w6886
Filles	w6887
<g/>
,
au	w6889
sujet	w6890
de	w6891
l'Attentat	w6892
d'Inceste	w6893
dont	w6894
ils	w6895
l'ont	w6896
ecausé	w6897
<g/>
,
8	w6899
<g/>
.
Leeuwarde	w6901
<g/>
,
1762	w6903
<g/>
.
1	w6905
<g/>
.
fl	w6907
<g/>
.
</p>
<p id="p66">
Remarques	w6909
critiques	w6910
sur	w6911
la	w6912
Negociation	w6913
faite	w6914
pout	w6915
la	w6916
paix	w6917
en	w6918
1761	w6919
<g/>
.
entre	w6921
les	w6922
Cours	w6923
de	w6924
Lon-dres	w6925
<g/>
-
<g/>
&
Versailles	w6928
<g/>
,
avec	w6930
les	w6931
Pieces	w6932
authentiques	w6933
&e	w6934
Papiers	w6935
relatifs	w6936
a	w6937
la	w6938
Rupture	w6939
entre	w6940
l'Espagne	w6941
&e	w6942
l'Angleterre	w6943
<g/>
,
8vo	w6945
Aust	w6946
<g/>
.
1762	w6948
<g/>
.
1	w6950
<g/>
.
fl	w6952
<g/>
.
30	w6954
<g/>
.
kr	w6956
<g/>
.
</p>
<p id="p67">
Dictionaire	w6958
politique	w6959
<g/>
,
ou	w6961
Glossaire	w6962
alphabe-tique	w6963
<g/>
-
que	w6965
le	w6966
celebre	w6967
D	w6968
<g/>
.
J	w6970
<g/>
.
Volkena	w6972
<g/>
,
Professeur	w6974
d'Ekoquence	w6975
militaire	w6976
<g/>
=
politique	w6978
à	w6979
Berlin	w6980
<g/>
,
a	w6982
com-pose	w6983
<g/>
-
<g/>
,
trad	w6986
<g/>
.
de	w6988
l'Allemand	w6989
<g/>
,
avec	w6991
l'Anti	w6992
<g/>
-
Vollena	w6994
<g/>
,
ou	w6996
noces	w6997
sur	w6998
le	w6999
Sysleme	w7000
politique	w7001
<g/>
&
militaire	w7003
prussien	w7004
<g/>
,
8vo	w7006
Londres	w7007
1762	w7008
<g/>
.
1	w7010
<g/>
.
fl	w7012
<g/>
.
</p>
<p id="p68">
Joh	w7014
<g/>
.
Hübners	w7016
allgemeine	w7017
Geographie	w7018
aller	w7019
vier	w7020
Welt	w7021
<g/>
=
theile	w7023
<g/>
,
durch	w7025
und	w7026
durch	w7027
verbessert	w7028
<g/>
,
viel=fältig	w7030
<g/>
=
vermehret	w7032
<g/>
,
und	w7034
bis	w7035
auf	w7036
gegenwärtige	w7037
Zei=ten	w7038
<g/>
=
fortgesetzt	w7040
<g/>
,
3	w7042
<g/>
.
Theile	w7044
8vo	w7045
Dresden	w7046
<g/>
,
1762	w7048
<g/>
.
5	w7050
<g/>
.
fl	w7052
<g/>
.
30	w7054
<g/>
.
kr	w7056
<g/>
.
</p>
<p id="p69">
Das	w7058
Cabinet	w7059
der	w7060
Feen	w7061
<g/>
,
oder	w7063
gesammlete	w7064
Feen=mährchen	w7065
<g/>
=
in	w7067
9	w7068
<g/>
.
Theilen	w7070
<g/>
,
aus	w7072
dem	w7073
Französischen	w7074
übersetzet	w7075
<g/>
,
3ter	w7077
Theil	w7078
<g/>
,
mit	w7080
Kupf	w7081
<g/>
.
8vo	w7083
Nürnberg	w7084
<g/>
,
1762	w7086
<g/>
.
51	w7088
<g/>
.
kr	w7090
<g/>
.
Der	w7092
1te	w7093
und	w7094
2te	w7095
Theil	w7096
ist	w7097
auch	w7098
zu	w7099
haben	w7100
pr	w7101
<g/>
.
1	w7103
<g/>
.
fl	w7105
<g/>
.
8	w7107
<g/>
.
kr	w7109
<g/>
.
</p>
<p id="p70">
Denen	w7111
Herren	w7112
Pränumeranten	w7113
auf	w7114
die	w7115
Frank=furter	w7116
<g/>
=
Lesegeschichten	w7118
dienet	w7119
zur	w7120
Nachricht	w7121
<g/>
,
daß	w7123
der	w7124
14	w7125
<g/>
.
und	w7127
15te	w7128
Theil	w7129
davon	w7130
angelanget	w7131
