<doc id="wr_1761-12-16" attrs="word" year="1761" month="12" day="16" corpus="2">
<head id="h2_d613e3063">
Barcelona	w1_d613e3067
lites	w9_d613e13931
D.	w11_d613e13934
All	w13_d613e13938
mayr	w1_d613e13944
geziemend	w3_d613e13947
vorstellig	w5_d613e13950
gemacht:	w7_d613e13953
welcherge	w9_d613e13956
stalten	w1_d613e13961
der	w3_d613e13964
unterm	w5_d613e13967
6.	w7_d613e13970
Junii	w9_d613e13973
inlebenden	w11_d613e13976
Jahrs	w13_d613e13980
in	w1_d613e13985
Sachen	w3_d613e13988
geschöpfte	w5_d613e13991
Verlaß	w7_d613e13994
dahin	w9_d613e13997
ausgefallen	w11_d613e14000
seye,	w1_d613e14005
daß	w3_d613e14008
über	w5_d613e14011
die	w7_d613e14014
beschehene	w9_d613e14017
Aeusserung	w11_d613e14020
(wie	w13_d613e14024
daß	w1_d613e14030
ausser	w3_d613e14033
denen	w5_d613e14036
aus	w7_d613e14039
denen	w9_d613e14042
Volkmayrischen	w11_d613e14045
Bü	w13_d613e14049
chern	w1_d613e14054
gezogenen	w3_d613e14057
Activis	w5_d613e14060
kein	w7_d613e14063
anderer	w9_d613e14066
Massäactiv	w11_d613e14069
stand	w1_d613e14074
vorhanden	w3_d613e14077
seye,	w5_d613e14080
und	w7_d613e14083
der	w9_d613e14086
Curaror	w11_d613e14089
ad	w13_d613e14093
littes	w15_d613e14096
sowol,	w1_d613e14101
als	w3_d613e14104
auch	w5_d613e14107
der	w7_d613e14110
Curator	w9_d613e14113
Bonorum	w11_d613e14116
sothane	w13_d613e14120
Activa	w1_d613e14126
einzutreiben	w3_d613e14129
sich	w5_d613e14132
ausser	w7_d613e14135
Stand	w9_d613e14138
befindeten,	w11_d613e14141
einfolglichen	w1_d613e14146
bey	w3_d613e14149
so	w5_d613e14152
beschaffenen	w7_d613e14155
Umständen	w9_d613e14158
diese	w11_d613e14161
Concurs=handlung	w1_d613e14166
anwiederum	w3_d613e14169
ex	w5_d613e14172
officio	w7_d613e14175
aufzu	w9_d613e14178
heben	w1_d613e14183
wäre,	w3_d613e14186
erdeutete	w5_d613e14189
Activa	w7_d613e14192
aber	w9_d613e14195
des	w11_d613e14198
Cridatarii	w13_d613e14202
Ehe=consortin	w1_d613e14208
in	w3_d613e14211
Folge	w5_d613e14214
der	w7_d613e14217
von	w9_d613e14220
denen	w11_d613e14223
mehreren	w13_d613e14227
Volkmayrischen	w1_d613e14232
Creditoren	w3_d613e14235
derselben	w5_d613e14238
unter	w7_d613e14241
eigen	w9_d613e14244
händiger	w1_d613e14249
Fertigung	w3_d613e14252
bereirs	w5_d613e14255
zugestellt=schriftliche	w7_d613e14258
Erklärung	w1_d613e14263
à	w3_d613e14266
Conto	w5_d613e14269
ihrer	w7_d613e14272
weiblichen	w9_d613e14275
Sprüchen	w11_d613e14278
überlassen	w1_d613e14284
werden	w3_d613e14287
könnten)	w5_d613e14290
die	w7_d613e14293
sammentliche	w9_d613e14296
bey	w11_d613e14299
oberwehnter	w1_d613e14304
in	w3_d613e14307
Sachen	w5_d613e14310
fürgewesten	w7_d613e14313
Convocations	w9_d613e14316
tagsatzung	w1_d613e14321
erschienen=Volkmayrische	w3_d613e14324
Creditores	w5_d613e14327
wegen	w1_d613e14332
Beytrettung	w3_d613e14335
sothaner	w5_d613e14338
Erklärung	w7_d613e14341
nachma	w9_d613e14344
len	w1_d613e14350
per	w3_d613e14353
Edictum	w5_d613e14356
ad	w7_d613e14359
valvas	w9_d613e14362
einberuffen,	w11_d613e14365
und	w13_d613e14369
de	w15_d613e14372
nenselben	w1_d613e14377
die	w3_d613e14380
alsogewisse	w5_d613e14383
Erscheinung	w7_d613e14386
aufgetra	w9_d613e14389
gen,	w1_d613e14394
wie	w3_d613e14397
im	w5_d613e14400
widrigen	w7_d613e14403
die	w9_d613e14406
Ausbleibende	w11_d613e14409
für	w13_d613e14413
con	w15_d613e14416
sentirend	w1_d613e14421
gehalten	w3_d613e14424
werden	w5_d613e14427
sollen;	w7_d613e14430
hat	w9_d613e14433
dannenhe	w11_d613e14436
ro	w1_d613e14442
um	w3_d613e14445
Ausfertigung	w5_d613e14448
sothanen	w7_d613e14451
Valval=edicts	w9_d613e14454
ge	w11_d613e14457
betten;	w1_d613e14462
Wann	w3_d613e14465
nun	w5_d613e14468
Regierung	w7_d613e14471
zu	w9_d613e14474
sothanem	w11_d613e14477
En	w13_d613e14481
de	w1_d613e14486
auf	w3_d613e14489
den	w5_d613e14492
18.	w7_d613e14495
dies	w9_d613e14498
Monats	w11_d613e14501
Decemb.	w13_d613e14505
Nachmit	w15_d613e14508
tag	w1_d613e14513
præcisé	w3_d613e14516
um	w5_d613e14519
4.	w7_d613e14522
Uhr	w9_d613e14525
eine	w11_d613e14528
Anforderung	w13_d613e14532
anbe	w15_d613e14535
</p>
<p id="p14_d613e14538">
raumet	w1_d613e14542
hat;	w3_d613e14545
als	w5_d613e14548
wird	w7_d613e14551
denen	w9_d613e14554
Eingangsernannt	w11_d613e14557
Volkmayrischen	w1_d613e14562
Credits=partheyen,	w3_d613e14565
allenfalls	w5_d613e14568
de	w7_d613e14571
renselben	w1_d613e14576
Erben,	w3_d613e14579
Ceßionarien,	w5_d613e14582
oder	w7_d613e14585
sonst	w9_d613e14588
Theil	w11_d613e14591
nehmenden	w1_d613e14597
hiemit	w3_d613e14600
anbefohlen,	w5_d613e14603
daß	w7_d613e14606
selbe	w9_d613e14609
auf	w11_d613e14612
ob	w13_d613e14616
ersagten	w1_d613e14621
Tag	w3_d613e14624
und	w5_d613e14627
Stund	w7_d613e14630
vor	w9_d613e14633
Regierung	w11_d613e14636
in	w13_d613e14640
der	w15_d613e14643
daselbst	w1_d613e14648
hierwegen	w3_d613e14651
offen	w5_d613e14654
haltenden	w7_d613e14657
Commißions	w9_d613e14660
stuben	w1_d613e14665
entweder	w3_d613e14668
selbst	w5_d613e14671
persönlich,	w7_d613e14674
oder	w9_d613e14677
durch	w11_d613e14680
ge	w13_d613e14684
ung	w1_d613e14690
Bevollmächtigte	w3_d613e14693
alsogewiß	w5_d613e14696
erscheinen,	w7_d613e14699
wie	w9_d613e14702
im	w1_d613e14707
widrigen	w3_d613e14710
die	w5_d613e14713
Ausbleibende	w7_d613e14716
für	w9_d613e14719
Consentirende	w11_d613e14722
gehalten	w1_d613e14727
werden	w3_d613e14730
wurden.	w5_d613e14733
Wornach	w7_d613e14736
sich	w9_d613e14739
ein	w11_d613e14742
jeder	w13_d613e14746
zu	w1_d613e14751
richten,	w3_d613e14754
und	w5_d613e14757
vor	w7_d613e14760
Schaden	w9_d613e14763
zu	w11_d613e14766
hüten	w13_d613e14770
wissen	w15_d613e14773
wird.	w17_d613e14776
</p>
<p id="p16_d613e14779">
Es	w1_d613e14783
wird	w3_d613e14786
hiemit	w5_d613e14789
jedermänniglich	w7_d613e14792
kund	w9_d613e14795
und	w11_d613e14798
zu	w13_d613e14802
wissen	w1_d613e14807
gemacht,	w3_d613e14810
welchergestalten	w5_d613e14813
den	w7_d613e14816
22.	w9_d613e14819
dies	w11_d613e14822
lauffenden	w1_d613e14827
Monats	w3_d613e14830
Novemb.	w5_d613e14833
die	w7_d613e14836
in	w9_d613e14839
dem	w11_d613e14842
Kraut	w13_d613e14846
gässel	w1_d613e14852
in	w3_d613e14855
der	w5_d613e14858
Stadt	w7_d613e14861
alhier	w9_d613e14864
gelegen=Gräfl.	w11_d613e14867
Alt	w13_d613e14871
hannische	w1_d613e14876
Behausung	w3_d613e14879
offentlich	w5_d613e14882
wird	w7_d613e14885
feil	w9_d613e14888
geboten	w11_d613e14891
werden,	w1_d613e14896
wer	w3_d613e14899
nun	w5_d613e14902
sothane	w7_d613e14905
Behausung	w9_d613e14908
käuflichen	w11_d613e14911
an	w1_d613e14916
sich	w3_d613e14919
zu	w5_d613e14922
bringen	w7_d613e14925
gedenket,	w9_d613e14928
derselbe	w11_d613e14931
beliebe	w13_d613e14935
sich	w15_d613e14938
an	w1_d613e14944
obbestimmten	w3_d613e14947
Tag	w5_d613e14950
fruh	w7_d613e14953
um	w9_d613e14956
8.	w11_d613e14959
Uhr	w13_d613e14963
bey	w15_d613e14966
dem	w17_d613e14969
Löbl.	w1_d613e14974
Landmarschallischen	w3_d613e14977
Gericht	w5_d613e14980
ad	w7_d613e14983
licitandum	w9_d613e14986
anzumelden.	w1_d613e14991
</p>
<p id="p18_d613e14994">
Es	w1_d613e14998
ist	w3_d613e15001
zu	w5_d613e15004
Kritzendorf	w7_d613e15007
der	w9_d613e15010
Gstattnerische	w11_d613e15013
Hof	w13_d613e15017
mit	w1_d613e15022
einem	w3_d613e15025
Obst=garten,	w5_d613e15028
dann	w7_d613e15031
übrigen	w9_d613e15034
Zugehörun.	w11_d613e15037
gen,	w1_d613e15042
nebst	w3_d613e15045
verschiedenen	w5_d613e15048
Weingärten	w7_d613e15051
und	w9_d613e15054
2.	w11_d613e15057
Haus	w13_d613e15061
wäldern	w1_d613e15067
täglich	w3_d613e15070
zu	w5_d613e15073
verkauffen,	w7_d613e15076
wer	w9_d613e15079
also	w11_d613e15082
solchen	w13_d613e15086
an	w1_d613e15091
sich	w3_d613e15094
zu	w5_d613e15097
bringen	w7_d613e15100
gedenket,	w9_d613e15103
hat	w11_d613e15106
sich	w13_d613e15110
beym	w15_d613e15113
Hrn.	w17_d613e15116
Gstattner	w1_d613e15121
auf	w3_d613e15124
dem	w5_d613e15127
Traid=markt	w7_d613e15130
im	w9_d613e15133
untern	w11_d613e15136
Frey	w13_d613e15140
haus	w1_d613e15145
im	w3_d613e15148
ersten	w5_d613e15151
Stock	w7_d613e15154
anzumelden.	w9_d613e15157
</p>
<p id="p20_d613e15160">
Auf	w1_d613e15164
Verordnung	w3_d613e15167
einer	w5_d613e15170
Hochlöbl.	w7_d613e15173
Kaiserl.	w9_d613e15176
Kö	w11_d613e15179
nigl.	w1_d613e15184
in	w3_d613e15187
gräfl.	w5_d613e15190
Keryschen	w7_d613e15193
Schulden=sachen	w9_d613e15196
cum	w11_d613e15199
derogatione	w1_d613e15204
omnium	w3_d613e15207
Instantiarum	w5_d613e15210
allergnädigst	w7_d613e15213
angeordneten	w1_d613e15219
Hof=cemmißion,	w3_d613e15222
wird	w5_d613e15225
den	w7_d613e15228
18.	w9_d613e15231
dies	w11_d613e15234
Monats	w1_d613e15239
Decemb.	w3_d613e15242
fruh	w5_d613e15245
um	w7_d613e15248
8.	w9_d613e15251
Uhr	w11_d613e15254
in	w13_d613e15258
des	w15_d613e15261
Hrn.	w17_d613e15264
Hof=commißions=präsidis	w1_d613e15269
(pl.	w3_d613e15272
Tit.)	w5_d613e15275
Sr.	w7_d613e15278
Excell.	w9_d613e15281
des	w1_d613e15286
Herrn	w3_d613e15289
Anton	w5_d613e15292
Casimir	w7_d613e15295
Grafens	w9_d613e15298
von	w11_d613e15301
Hartig,	w13_d613e15305
Jhro	w1_d613e15311
Kaiserl.	w3_d613e15314
Königl	w5_d613e15317
Apostol.	w7_d613e15320
Majest.	w9_d613e15323
würklichen	w11_d613e15326
geheimen,	w1_d613e15331
und	w3_d613e15334
Dero	w5_d613e15337
Obristen	w7_d613e15340
Justitz=stelle	w9_d613e15343
Hof	w11_d613e15346
raht,	w1_d613e15351
in	w3_d613e15354
Dero	w5_d613e15357
eigenen	w7_d613e15360
Behausung	w9_d613e15363
habenden	w11_d613e15366
Woh	w13_d613e15370
nung	w1_d613e15375
in	w3_d613e15378
der	w5_d613e15381
oberen	w7_d613e15384
Bäcker=strassen	w9_d613e15387
das	w11_d613e15390
zu	w13_d613e15394
dem	w15_d613e15397
gräfl.	w1_d613e15403
Keryschen	w3_d613e15406
Kettenhof	w5_d613e15409
gehörig	w7_d613e15412
herrschaftliche	w9_d613e15415
Wirts=haus	w1_d613e15420
an	w3_d613e15423
der	w5_d613e15426
Zeil,	w7_d613e15429
nächst	w9_d613e15432
dem	w11_d613e15435
Markt	w13_d613e15439
Schwechat	w1_d613e15444
licitando	w3_d613e15447
im	w5_d613e15450
Bestand	w7_d613e15453
verlassen	w9_d613e15456
werden.	w11_d613e15459
Wer	w1_d613e15464
nun	w3_d613e15467
dieses	w5_d613e15470
Wirts=haus	w7_d613e15473
(dessen	w9_d613e15476
neuer	w11_d613e15479
Be	w13_d613e15483
stand	w1_d613e15489
sich	w3_d613e15492
auf	w5_d613e15495
Liechtmeß	w7_d613e15498
nächst	w9_d613e15501
künftigen	w11_d613e15504
Jahrs	w13_d613e15508
anfanget)	w1_d613e15513
im	w3_d613e15516
Bestand	w5_d613e15519
zu	w7_d613e15522
nehmen	w9_d613e15525
gedenket,	w11_d613e15528
hat	w13_d613e15532
in	w1_d613e15537
hoch=gedacht	w3_d613e15540
Sr.	w5_d613e15543
Excell.	w7_d613e15546
Behausung	w9_d613e15549
am	w11_d613e15552
be	w13_d613e15556
stimmten	w1_d613e15561
Tag	w3_d613e15564
und	w5_d613e15567
Stund	w7_d613e15570
zu	w9_d613e15573
erscheinen,	w11_d613e15576
und	w13_d613e15580
sich	w15_d613e15583
behörig	w1_d613e15589
anzumelden.	w3_d613e15592
</p>
<p id="p22_d613e15595">
Von	w1_d613e15599
des	w3_d613e15602
Fürstl.	w5_d613e15605
Stifts,	w7_d613e15608
und	w9_d613e15611
Jungfräulichen	w11_d613e15614
Klosters	w1_d613e15619
zur	w3_d613e15622
Himmel	w5_d613e15625
pforten	w7_d613e15628
Grund=buchs	w9_d613e15631
wegen,	w11_d613e15634
durch	w1_d613e15639
dieses	w3_d613e15642
offene	w5_d613e15645
Edict	w7_d613e15648
jedermänniglich	w9_d613e15651
anzu	w11_d613e15654
zeigen,	w1_d613e15660
es	w3_d613e15663
habe	w5_d613e15666
Paul	w7_d613e15669
Reßner,	w9_d613e15672
Bäckenmeister	w11_d613e15675
am	w13_d613e15679
Spörkenbüchel,	w1_d613e15684
als	w3_d613e15687
der	w5_d613e15690
minder=jährigen	w7_d613e15693
Anna	w9_d613e15696
Maria	w1_d613e15701
Mayrin,	w3_d613e15704
nach	w5_d613e15707
Absterben	w7_d613e15710
Elisabeth	w9_d613e15713
Mayrin,	w11_d613e15716
seel.	w1_d613e15721
per	w3_d613e15724
Testamentum	w5_d613e15727
instituirten	w7_d613e15730
Universaler	w9_d613e15733
bin	w1_d613e15739
</p>
<p id="p26_d613e15745">
bin,	w1_d613e15749
gerichtl.	w3_d613e15752
aufgestellter	w5_d613e15755
Gerhab,	w7_d613e15758
unterm	w9_d613e15761
23.	w11_d613e15764
Novemb.	w1_d613e15769
dies	w3_d613e15772
lauffenden	w5_d613e15775
1761.	w7_d613e15778
Jahrs	w9_d613e15781
schriftlich	w11_d613e15784
angezeiget	w1_d613e15789
und	w3_d613e15792
gebetten,	w5_d613e15795
daß	w7_d613e15798
nicht	w9_d613e15801
nur	w11_d613e15804
allein	w13_d613e15808
auf	w1_d613e15814
Absterben	w3_d613e15817
ihrer	w5_d613e15820
Mutter	w7_d613e15823
Elisabeth	w9_d613e15826
Mayrin,	w11_d613e15829
seel	w1_d613e15834
anvor	w3_d613e15837
verchlicht=gewesten	w5_d613e15840
Feschwengerin,	w7_d613e15843
als	w9_d613e15846
Johann	w1_d613e15851
Georg	w3_d613e15854
Mayr	w5_d613e15857
ihren	w7_d613e15860
Vattern	w9_d613e15863
seel.	w11_d613e15866
(be	w13_d613e15870
vor	w1_d613e15875
zur	w3_d613e15878
Mayrischen	w5_d613e15881
Verlassenschafts=abhandlung	w7_d613e15884
geschritten	w1_d613e15890
wurde)	w3_d613e15893
zu	w5_d613e15896
Einberuffung	w7_d613e15899
deren	w9_d613e15902
etwann	w11_d613e15905
vorhandenen	w1_d613e15910
Creditoren	w3_d613e15913
Convocations=edicten	w5_d613e15916
ausgefertiget	w1_d613e15921
werden	w3_d613e15924
möchten,	w5_d613e15927
und	w7_d613e15930
in	w9_d613e15933
dies	w11_d613e15936
Be	w13_d613e15940
gehren	w1_d613e15945
auch	w3_d613e15948
gewilliget	w5_d613e15951
worden;	w7_d613e15954
Solchemnach	w9_d613e15957
werden	w1_d613e15963
all=diejenige,	w3_d613e15966
welche	w5_d613e15969
an	w7_d613e15972
obbesagt	w9_d613e15975
Mayri	w11_d613e15978
schen	w1_d613e15983
Conleuten	w3_d613e15986
seel.	w5_d613e15989
Verlassenschaft	w7_d613e15992
einige	w9_d613e15995
Sprü	w11_d613e15998
che,	w1_d613e16003
sie	w3_d613e16006
mögen	w5_d613e16009
Namen	w7_d613e16012
haben,	w9_d613e16015
wie	w11_d613e16018
sie	w13_d613e16022
wollen,	w15_d613e16025
zu	w1_d613e16030
haben	w3_d613e16033
vermeinen,	w5_d613e16036
und	w7_d613e16039
zu	w9_d613e16042
dem	w11_d613e16045
Ende	w13_d613e16049
der	w15_d613e16052
13.	w17_d613e16055
Januarii	w1_d613e16061
künftig	w3_d613e16064
eintrettend	w5_d613e16067
1761sten	w7_d613e16070
Jahrs,	w9_d613e16073
Vormittag	w1_d613e16078
um	w3_d613e16081
9.	w5_d613e16084
Uhr	w7_d613e16087
pro	w9_d613e16090
1mo,	w11_d613e16093
2do,	w13_d613e16097
&	w15_d613e16100
3tio	w17_d613e16103
Termino	w1_d613e16108
zur	w3_d613e16111
Convocations=tagsatzung	w5_d613e16114
in	w7_d613e16117
der	w9_d613e16120
Kloster	w1_d613e16125
Himmelpfortischen	w3_d613e16128
Grund=stuben	w5_d613e16131
zu	w7_d613e16134
er	w9_d613e16137
scheinen	w1_d613e16143
anberaumet,	w3_d613e16146
als	w5_d613e16149
haben	w7_d613e16152
all	w9_d613e16155
und	w11_d613e16158
jede,	w13_d613e16162
die	w15_d613e16165
an	w1_d613e16170
obbesagt	w3_d613e16173
Johann	w5_d613e16176
Mayer,	w7_d613e16179
und	w9_d613e16182
Elisabeth	w11_d613e16185
May	w13_d613e16189
rin	w1_d613e16194
anvor	w3_d613e16197
verehlicht	w5_d613e16200
gewesten	w7_d613e16203
Fischwengerin,	w9_d613e16206
be	w11_d613e16209
haust	w1_d613e16214
gewest=Kloster	w3_d613e16217
Himmelpfortischen	w5_d613e16220
Unter	w7_d613e16223
thanen	w1_d613e16229
am	w3_d613e16232
Spörkenbüchl	w5_d613e16235
Verlassenschaft	w7_d613e16238
einige	w9_d613e16241
Spruch	w1_d613e16246
und	w3_d613e16249
Forderungen	w5_d613e16252
Jure	w7_d613e16255
crediti,	w9_d613e16258
hæredita-	w11_d613e16261
tis,	w1_d613e16266
aut	w3_d613e16269
alio	w5_d613e16272
quocunque	w7_d613e16275
modo	w9_d613e16278
zu	w11_d613e16281
haben	w13_d613e16285
glau	w15_d613e16288
ben,	w1_d613e16293
diese	w3_d613e16296
an	w5_d613e16299
obbestimmten	w7_d613e16302
Tag,	w9_d613e16305
Ort	w11_d613e16308
und	w13_d613e16312
Stund	w15_d613e16315
alsogewiß	w1_d613e16321
liquidiren,	w3_d613e16324
wie	w5_d613e16327
im	w7_d613e16330
widrigen	w9_d613e16333
sie	w11_d613e16336
mit	w13_d613e16340
solchen	w1_d613e16345
nicht	w3_d613e16348
mehr	w5_d613e16351
gehöret,	w7_d613e16354
sondern	w9_d613e16357
hiemit	w11_d613e16360
abge	w13_d613e16364
wiesen,	w1_d613e16369
und	w3_d613e16372
die	w5_d613e16375
Mayrische	w7_d613e16378
Verlassenschaft	w9_d613e16381
der	w11_d613e16384
Orduung	w1_d613e16389
nach	w3_d613e16392
abgehandelt	w5_d613e16395
werden	w7_d613e16398
solle.	w9_d613e16401
</p>
<head id="h2_d613e16408">
Land=marschall,	w1_d613e16412
rc.	w3_d613e16415
</head>
<p id="p4_d613e16418">
Entbiete	w1_d613e16422
Weil.	w3_d613e16425
Johann	w5_d613e16428
Michael	w7_d613e16431
Naitz,	w9_d613e16434
gewe	w11_d613e16437
sten	w1_d613e16442
K.	w3_d613e16445
K.	w5_d613e16448
Mercantil=rahts	w7_d613e16451
zu	w9_d613e16454
Triest,	w11_d613e16457
setl.	w13_d613e16461
hin	w15_d613e16464
terlassenen	w1_d613e16469
Erben,	w3_d613e16472
meinen	w5_d613e16475
guten	w7_d613e16478
Wilten	w9_d613e16481
zuvor,	w11_d613e16484
und	w1_d613e16490
füge	w3_d613e16493
euch	w5_d613e16496
hiemit	w7_d613e16499
zu	w9_d613e16502
vernehmen:	w11_d613e16505
Es	w13_d613e16509
habe	w15_d613e16512
bey	w1_d613e16517
dem	w3_d613e16520
mir	w5_d613e16523
allergnädigst	w7_d613e16526
anvertrauten	w9_d613e16529
N.	w11_d613e16532
Oe.	w13_d613e16536
Land	w1_d613e16541
marschallischen	w3_d613e16544
Gericht	w5_d613e16547
der	w7_d613e16550
Edel=gestrenge	w9_d613e16553
Hr.	w1_d613e16558
Amadeus	w3_d613e16561
von	w5_d613e16564
Brockbausen,	w7_d613e16567
als	w9_d613e16570
Gerichtl.	w11_d613e16573
ver	w13_d613e16577
ordneter	w1_d613e16583
Freyherrl.	w3_d613e16586
Kirchbergischer	w5_d613e16589
Testaments	w7_d613e16592
erecutor	w1_d613e16597
schriftlich	w3_d613e16600
vorgestellet,	w5_d613e16603
welchergestalten,	w7_d613e16606
nachdeme	w1_d613e16611
in	w3_d613e16614
dem	w5_d613e16617
zwischen	w7_d613e16620
vorgedachten	w9_d613e16623
Johann	w11_d613e16626
Michael	w1_d613e16631
Maitz	w3_d613e16634
seel.	w5_d613e16637
Klägern	w7_d613e16640
eines,	w9_d613e16643
dann	w11_d613e16646
dem	w13_d613e16650
Jo	w15_d613e16653
seph	w1_d613e16659
Landes,	w3_d613e16662
als	w5_d613e16665
damals	w7_d613e16668
gewesten	w9_d613e16671
Freyherrl.	w11_d613e16674
Kirch	w13_d613e16678
bergischen	w1_d613e16683
Testaments	w3_d613e16686
executorem	w5_d613e16689
beklagten,	w7_d613e16692
an	w9_d613e16695
deren	w1_d613e16700
Theils	w3_d613e16703
unterm	w5_d613e16706
31.	w7_d613e16709
Martii	w9_d613e16712
1757.	w11_d613e16715
publicirt	w13_d613e16719
und	w1_d613e16724
allethöchten	w3_d613e16727
Orts	w5_d613e16730
bestättigten	w7_d613e16733
Abschied,	w9_d613e16736
ih	w11_d613e16739
me	w1_d613e16745
Maitz	w3_d613e16748
der	w5_d613e16751
rechtliche	w7_d613e16754
Beweis	w9_d613e16757
dahin,	w11_d613e16760
daß	w13_d613e16764
er	w15_d613e16767
die	w1_d613e16772
Strittig	w3_d613e16775
der	w5_d613e16778
Frauen	w7_d613e16781
Mariä	w9_d613e16784
Francistä	w11_d613e16787
von	w13_d613e16791
Kirchberg,	w1_d613e16796
verehligt	w3_d613e16799
gewesten	w5_d613e16802
von	w7_d613e16805
Ghelen	w9_d613e16808
seel.	w11_d613e16811
an	w13_d613e16815
gehörig	w1_d613e16820
geweste	w3_d613e16823
Gemeiner	w5_d613e16826
Stadt	w7_d613e16829
Wien	w9_d613e16832
Ober	w11_d613e16835
cammer=amts=obligation	w1_d613e16841
pr.	w3_d613e16844
4500.	w5_d613e16847
fl.	w7_d613e16850
den	w9_d613e16853
20.	w11_d613e16856
Sept.	w1_d613e16861
1729.	w3_d613e16864
in	w5_d613e16867
dem	w7_d613e16870
allhiesigen	w9_d613e16873
Versatz	w11_d613e16876
und	w13_d613e16880
Frag	w15_d613e16883
amt	w1_d613e16888
würklich	w3_d613e16891
ausgelöset,	w5_d613e16894
und	w7_d613e16897
davor	w9_d613e16900
4696.	w11_d613e16903
fl.	w13_d613e16907
15.	w1_d613e16912
kr.	w3_d613e16915
aus	w5_d613e16918
eigenen	w7_d613e16921
oder	w9_d613e16924
hierzu	w11_d613e16927
entlehnten	w13_d613e16931
Mit	w15_d613e16934
selst	w1_d613e16940
bezahlet	w3_d613e16943
hatte,	w5_d613e16946
aufgetragen	w7_d613e16949
worden	w9_d613e16952
wäre,	w11_d613e16955
hätte	w1_d613e16960
nehr	w3_d613e16963
erwehnter	w5_d613e16966
Michael	w7_d613e16969
Maitz	w9_d613e16972
seel.	w11_d613e16975
jedan	w13_d613e16979
</p>
<p id="p6_d613e16982">
noch	w1_d613e16986
in	w3_d613e16989
ordine	w5_d613e16992
dieses	w7_d613e16995
ihme	w9_d613e16998
aufgetragenen	w11_d613e17001
Be	w13_d613e17005
weises	w1_d613e17010
nichtes	w3_d613e17013
fürgekehret,	w5_d613e17016
einfolglichen	w7_d613e17019
Ein	w9_d613e17022
gangs=ernannter	w1_d613e17027
Freyherrl.	w3_d613e17030
Kirchbergischer	w5_d613e17033
Testa	w7_d613e17036
ments=executor,	w1_d613e17042
Hr.	w3_d613e17045
von	w5_d613e17048
Brockhausen	w7_d613e17051
um	w9_d613e17054
Colla	w11_d613e17057
tionirung	w1_d613e17062
dessen,	w3_d613e17065
was	w5_d613e17068
einkommen,	w7_d613e17071
und	w9_d613e17074
zugleich	w11_d613e17077
weilen	w1_d613e17082
ihr	w3_d613e17085
Erben	w5_d613e17088
ihme	w7_d613e17091
nicht	w9_d613e17094
bekannt,	w11_d613e17097
noch	w13_d613e17101
eurer	w15_d613e17104
Aufenthalt	w1_d613e17109
wissend	w3_d613e17112
ist,	w5_d613e17115
sothane	w7_d613e17118
Verordnung	w9_d613e17121
euch	w11_d613e17124
intimiren	w1_d613e17130
lassen	w3_d613e17133
zu	w5_d613e17136
können,	w7_d613e17139
um	w9_d613e17142
Ausfertigung	w11_d613e17145
gegenwärtigen	w1_d613e17150
Jntimations=edicts	w3_d613e17153
gehorsamst	w5_d613e17156
ge	w7_d613e17159
betten.	w1_d613e17164
Wann	w3_d613e17167
nun	w5_d613e17170
hierinfalls	w7_d613e17173
verwilliget	w9_d613e17176
wor	w11_d613e17179
den	w1_d613e17184
ist.	w3_d613e17187
Als	w5_d613e17190
wird	w7_d613e17193
euch	w9_d613e17196
Johann	w11_d613e17199
Michael	w13_d613e17203
Maitzi	w15_d613e17206
schen	w1_d613e17212
Erben	w3_d613e17215
wiederholte,	w5_d613e17218
unterm	w7_d613e17221
4.	w9_d613e17224
Julii	w11_d613e17227
dies	w13_d613e17231
Jahrs	w1_d613e17236
ergangene	w3_d613e17239
30.	w5_d613e17242
tägige	w7_d613e17245
Nohtdurfthandlungs	w9_d613e17248
auflag	w1_d613e17253
hiemit	w3_d613e17256
edictaliter	w5_d613e17259
intimiret.	w7_d613e17262
Wien	w9_d613e17265
7.	w11_d613e17268
Novemb.	w1_d613e17273
1761.	w3_d613e17276
</p>
<p id="p8_d613e17279">
Den	w1_d613e17283
22.	w3_d613e17286
Decemb.	w5_d613e17289
dies	w7_d613e17292
Jahrs	w9_d613e17295
Nachmittag	w11_d613e17298
um	w13_d613e17302
2.	w1_d613e17307
Uhr	w3_d613e17310
wird	w5_d613e17313
bey	w7_d613e17316
einem	w9_d613e17319
Löbl.	w11_d613e17322
Consistorio	w13_d613e17326
Univer-	w15_d613e17329
sitatis	w1_d613e17334
in	w3_d613e17337
Judicialibus	w5_d613e17340
das	w7_d613e17343
Plierische	w9_d613e17346
in	w11_d613e17349
der	w13_d613e17353
Schu	w15_d613e17356
ler=ürasse	w1_d613e17362
gelegene	w3_d613e17365
Haus	w5_d613e17368
licitando	w7_d613e17371
dem	w9_d613e17374
Meistbie	w11_d613e17377
tenden	w1_d613e17382
verkauffet	w3_d613e17385
werden.	w5_d613e17388
</p>
<p id="p10_d613e17391">
Es	w1_d613e17395
wird	w3_d613e17398
auf	w5_d613e17401
Verordnung	w7_d613e17404
eines	w9_d613e17407
Hochlöbl.	w11_d613e17410
Land	w13_d613e17414
marschallischen	w1_d613e17419
Gerichts	w3_d613e17422
auf	w5_d613e17425
den	w7_d613e17428
29.	w9_d613e17431
und	w11_d613e17434
30	w13_d613e17438
dies	w15_d613e17441
Monats	w1_d613e17446
in	w3_d613e17449
dem	w5_d613e17452
