<doc id="edoc_wd_1727-11-12" attrs="word" year="1727" month="11" day="12" corpus="1">
<head id="hl1">
Peking	w54
Lust	w5346
<g/>
=
Gartner	w5348
<g/>
/
im	w5350
Gatter=burgischen	w5351
<g/>
=
H	w5353
<g/>
.
in	w5355
der	w5356
Leopoldstadt	w5357
<g/>
/
alt	w5359
63	w5360
<g/>
.
J	w5362
<g/>
.
Dorothe	w5364
Koberin	w5365
<g/>
/
lediges	w5367
Mensch	w5368
<g/>
/
beym	w5370
schwartzen	w5371
Stiefel	w5372
am	w5373
Thury	w5374
<g/>
/
alt	w5376
25	w5377
<g/>
.
J	w5379
<g/>
.
Dem	w5381
Georg	w5382
Grienn	w5383
<g/>
/
Tagw	w5385
<g/>
.
<g/>
/
s	w5388
<g/>
.
K	w5390
<g/>
.
An	w5392
<g/>
.
<g/>
/
beyn	w5395
schwar=tzen	w5396
<g/>
=
Thor	w5398
untern	w5399
Felbern	w5400
<g/>
/
alt	w5402
3	w5403
<g/>
.
J	w5405
<g/>
.
Mi	w5407
<g/>
.
Frey	w5409
<g/>
/
Tagw	w5411
<g/>
.
<g/>
/
bey	w5414
der	w5415
golden	w5416
Kugl	w5417
in	w5418
der	w5419
Jo=sephstadt	w5420
<g/>
=
<g/>
/
alt	w5423
60	w5424
<g/>
.
J	w5426
<g/>
.
</list>
<head id="hl26">
Den	w5428
9	w5429
<g/>
.
Novemb	w5431
<g/>
.
</head>
<head id="hl27">
Jn	w5433
der	w5434
Stadt	w5435
<g/>
.
</head>
<list id="">
Der	w5437
Wohl	w5438
<g/>
=
Ehrwürdige	w5440
Pater	w5441
Josephus	w5442
Antonius	w5443
von	w5444
Trivigliano	w5445
<g/>
,
Ord	w5447
<g/>
.
Capuc	w5449
<g/>
.
<g/>
,
und	w5452
Apostolischer	w5453
Missionarius	w5454
<g/>
,
im	w5456
Closter	w5457
am	w5458
Neuen	w5459
<g/>
=
Markt	w5461
<g/>
/
alt	w5463
64	w5464
<g/>
.
J	w5466
<g/>
.
</list>
<head id="hl28">
Vor	w5468
der	w5469
Stadt	w5470
<g/>
.
</head>
<list id="">
Dem	w5472
Joh	w5473
<g/>
.
Bapt	w5475
<g/>
.
Seiler	w5477
<g/>
/
B	w5479
<g/>
.
Cafee	w5481
<g/>
=
Siedern	w5483
<g/>
/
s	w5485
<g/>
.
K	w5487
<g/>
.
Johann	w5489
<g/>
/
bey	w5491
der	w5492
weissen	w5493
Schwan	w5494
in	w5495
der	w5496
Josephstadt	w5497
<g/>
/
alt	w5499
5	w5500
<g/>
.
J	w5502
<g/>
.
Gottfr	w5504
<g/>
.
Pfeiffer	w5506
<g/>
/
Glas	w5508
<g/>
=
Schneider	w5510
<g/>
/
bey	w5512
der	w5513
grün	w5514
Säulen	w5515
bey	w5516
Maria	w5517
<g/>
=
Hülf	w5519
<g/>
/
alt	w5521
32	w5522
<g/>
.
J	w5524
<g/>
.
Der	w5526
Eleon	w5527
<g/>
.
Hergetin	w5529
<g/>
/
Wittib	w5531
<g/>
/
ihr	w5533
T	w5534
<g/>
.
An	w5536
<g/>
.
<g/>
/
im	w5539
Mau=rerischen	w5540
<g/>
=
H	w5542
<g/>
.
im	w5544
Liechtenthal	w5545
<g/>
/
alt	w5547
17	w5548
<g/>
.
J	w5550
<g/>
.
Dem	w5552
Ant	w5553
<g/>
.
Grundaur	w5555
<g/>
/
Prätl	w5557
<g/>
=
Bratern	w5559
<g/>
/
s	w5561
<g/>
.
K	w5563
<g/>
.
An	w5565
<g/>
.
<g/>
/
im	w5568
Becklisch	w5569
<g/>
.
H	w5571
<g/>
.
bey	w5573
St	w5574
<g/>
.
Ulrich	w5576
<g/>
/
alt	w5578
2	w5579
<g/>
.
J	w5581
<g/>
.
Dem	w5583
Bened	w5584
<g/>
.
Neumayr	w5586
<g/>
/
Maurer	w5588
<g/>
=
Gesellen	w5590
<g/>
/
s	w5592
<g/>
.
K	w5594
<g/>
.
Elis	w5596
<g/>
.
<g/>
/
im	w5599
Schmidisch	w5600
<g/>
.
H	w5602
<g/>
.
in	w5604
der	w5605
Leopoldstadt	w5606
<g/>
/
alt	w5608
5	w5609
<g/>
.
Viertl	w5611
J	w5612
<g/>
.
Dem	w5614
Leop	w5615
<g/>
.
Loidhold	w5617
<g/>
/
Eisen	w5619
<g/>
=
Tandlern	w5621
<g/>
/
s	w5623
<g/>
.
K	w5625
<g/>
.
An	w5627
<g/>
.
<g/>
/
im	w5630
Widmayrisch	w5631
<g/>
.
H	w5633
<g/>
.
untern	w5635
Weiß	w5636
<g/>
=
Gärbern	w5638
<g/>
/
alt	w5640
1	w5641
<g/>
.
J	w5643
<g/>
.
Mich	w5645
<g/>
.
Woller	w5647
<g/>
/
Gutscher	w5649
<g/>
/
beym	w5651
schwartzen	w5652
Adler	w5653
in	w5654
der	w5655
Alster	w5656
<g/>
=
Gassen	w5658
<g/>
/
alt	w5660
36	w5661
<g/>
.
J	w5663
<g/>
.
</list>
<head id="hl29">
Den	w5665
10	w5666
<g/>
.
Novemb	w5668
<g/>
.
</head>
<head id="hl30">
Jn	w5670
der	w5671
Stadt	w5672
<g/>
.
</head>
<list id="">
Hr	w5674
<g/>
.
Joh	w5676
<g/>
.
Adam	w5678
Krieglacher	w5679
<g/>
/
N	w5681
<g/>
.
Oe	w5683
<g/>
.
Landschafts	w5685
<g/>
=
Buchhalterey	w5687
<g/>
=
Verwandter	w5689
<g/>
/
und	w5691
Burger	w5692
<g/>
/
in	w5694
s	w5695
<g/>
.
H	w5697
<g/>
.
in	w5699
der	w5700
Nagler	w5701
<g/>
=
Gassen	w5703
<g/>
/
alt	w5705
69	w5706
<g/>
.
J	w5708
<g/>
.
</list>
<head id="hl31">
Vor	w5710
der	w5711
Stadt	w5712
<g/>
.
</head>
<list id="">
<g/>
(
Tit	w5715
<g/>
.
<g/>
)
Hr	w5718
<g/>
.
Leop	w5720
<g/>
.
Baron	w5722
de	w5723
Severin	w5724
<g/>
,
&c	w5726
<g/>
.
beym	w5728
weissen	w5729
Rössel	w5730
in	w5731
der	w5732
Rossau	w5733
<g/>
/
alt	w5735
66	w5736
<g/>
.
J	w5738
<g/>
.
Dem	w5740
Hrn	w5741
<g/>
.
Joh	w5743
<g/>
.
Christoph	w5745
Kronowetter	w5746
Kais	w5747
<g/>
.
Versatz	w5749
<g/>
=
Amt	w5751
<g/>
=
Pfänder	w5753
<g/>
=
Verwahrer	w5755
<g/>
=
Gegenhandlern	w5757
<g/>
/
s	w5759
<g/>
.
K	w5761
<g/>
.
Jgn	w5763
<g/>
.
<g/>
/
beym	w5766
wilden	w5767
Mann	w5768
zu	w5769
Matzelsdorf	w5770
<g/>
/
alt	w5772
6	w5773
<g/>
.
J	w5775
<g/>
.
Dominc	w5777
<g/>
.
Kling	w5779
<g/>
/
Lust	w5781
<g/>
=
Gartner	w5783
im	w5784
Schmerlingisch	w5785
<g/>
.
Garten	w5787
in	w5788
der	w5789
Unger	w5790
<g/>
=
Gassen	w5792
<g/>
/
alt	w5794
30	w5795
<g/>
.
J	w5797
<g/>
.
Dem	w5799
Matthias	w5800
Strasser	w5801
<g/>
/
B	w5803
<g/>
.
Wirt	w5805
<g/>
/
s	w5807
<g/>
.
W	w5809
<g/>
.
Ther	w5811
<g/>
.
<g/>
/
in	w5814
s	w5815
H	w5816
<g/>
.
bey	w5818
Maria	w5819
<g/>
=
Hülf	w5821
<g/>
/
alt	w5823
36	w5824
<g/>
.
J	w5826
<g/>
.
Dem	w5828
Georg	w5829
Vitz	w5830
<g/>
/
Tapezierern	w5832
<g/>
/
s	w5834
<g/>
.
K	w5836
<g/>
.
Magd	w5838
<g/>
.
<g/>
/
im	w5841
Primisch	w5842
<g/>
.
H	w5844
<g/>
.
auf	w5846
der	w5847
Wendlstatt	w5848
<g/>
/
alt	w5850
3	w5851
<g/>
.
J	w5853
<g/>
.
Dem	w5855
Paul	w5856
Holtzleitinger	w5857
<g/>
/
Lackeyen	w5859
<g/>
/
s	w5861
<g/>
.
K	w5863
<g/>
.
Joseph	w5865
<g/>
/
beym	w5867
golden	w5868
Bern	w5869
in	w5870
der	w5871
Rossau	w5872
<g/>
/
alt	w5874
5	w5875
<g/>
.
J	w5877
<g/>
.
Christina	w5879
Heidnin	w5880
<g/>
/
Wittib	w5882
<g/>
/
im	w5884
Krapfenbacherisch	w5885
<g/>
.
H	w5887
<g/>
.
ausser	w5889
der	w5890
Rossau	w5891
<g/>
/
alt	w5893
44	w5894
<g/>
.
J	w5896
<g/>
.
Dem	w5898
Matthias	w5899
Schmid	w5900
<g/>
/
Guardi	w5902
<g/>
=
Soldaten	w5904
<g/>
/
beyn	w5906
2	w5907
<g/>
.
Schwerdtern	w5909
im	w5910
Liechtenthal	w5911
<g/>
/
s	w5913
<g/>
.
2	w5915
<g/>
.
K	w5917
<g/>
.
Rosal	w5919
<g/>
.
<g/>
/
alt	w5922
2	w5923
<g/>
.
J	w5925
<g/>
.
Und	w5927
Elis	w5928
<g/>
.
<g/>
/
alt	w5931
1	w5932
<g/>
.
J	w5934
<g/>
.
Dem	w5936
Georg	w5937
Betzeweil	w5938
<g/>
/
Zimmer	w5940
<g/>
=
Gesellen	w5942
<g/>
/
s	w5944
<g/>
.
K	w5946
<g/>
.
Ge=org	w5948
<g/>
=
<g/>
/
beyn	w5951
3	w5952
<g/>
.
Schwalben	w5954
im	w5955
Liechtenthal	w5956
<g/>
/
alt	w5958
9	w5959
<g/>
.
J	w5961
<g/>
.
Magd	w5963
<g/>
.
Heckin	w5965
<g/>
/
Wittib	w5967
<g/>
/
im	w5969
Bräumeisterisch	w5970
<g/>
.
H	w5972
<g/>
.
aussern	w5974
Klag	w5975
<g/>
=
Baum	w5977
<g/>
/
alt	w5979
90	w5980
<g/>
.
J	w5982
<g/>
.
Georg	w5984
Mongstl	w5985
<g/>
/
alt	w5987
55	w5988
<g/>
.
J	w5990
<g/>
.
Georg	w5992
Holzer	w5993
<g/>
/
alt	w5995
36	w5996
<g/>
.
J	w5998
<g/>
.
und	w6000
Barb	w6001
<g/>
.
Trumbäuerin	w6003
<g/>
/
alt	w6005
84	w6006
<g/>
.
J	w6008
<g/>
.
alle	w6010
3	w6011
<g/>
.
im	w6013
Kranken	w6014
<g/>
=
H	w6016
<g/>
.
</list>
<head id="hl32">
Den	w6018
11	w6019
<g/>
.
Novemb	w6021
<g/>
.
</head>
<head id="hl33">
Jn	w6023
der	w6024
Stadt	w6025
<g/>
.
</head>
<list id="">
Cath	w6027
<g/>
.
Staffelmayrin	w6029
<g/>
/
lediges	w6031
Mensch	w6032
<g/>
/
im	w6034
Wagnerisch	w6035
<g/>
.
H	w6037
<g/>
.
am	w6039
alten	w6040
Bauern	w6041
<g/>
=
Markt	w6043
<g/>
/
alt	w6045
20	w6046
<g/>
.
J	w6048
<g/>
.
</list>
<head id="hl34">
Vor	w6050
der	w6051
Stadt	w6052
<g/>
.
</head>
<list id="">
Joh	w6054
<g/>
.
Georg	w6056
Bisl	w6057
<g/>
/
B	w6059
<g/>
.
Oehlern	w6061
<g/>
/
in	w6063
s	w6064
<g/>
.
H	w6066
<g/>
.
auf	w6068
der	w6069
Wie=den	w6070
<g/>
=
<g/>
/
alt	w6073
55	w6074
<g/>
.
J	w6076
<g/>
.
Dominic	w6078
<g/>
.
Hagu	w6080
<g/>
/
gewester	w6082
Herrn	w6083
<g/>
=
Tafel	w6085
<g/>
=
Decker	w6087
<g/>
/
im	w6089
Wisendisch	w6090
<g/>
.
H	w6092
<g/>
.
in	w6094
der	w6095
Leopoldstadt	w6096
<g/>
/
alt	w6098
74	w6099
<g/>
.
J	w6101
<g/>
.
Dem	w6103
Mich	w6104
<g/>
.
Gartner	w6106
<g/>
/
Bestand	w6108
<g/>
=
Wirt	w6110
<g/>
/
s	w6112
<g/>
.
K	w6114
<g/>
.
Barb	w6116
<g/>
.
<g/>
/
beym	w6119
golden	w6120
Degen	w6121
bey	w6122
St	w6123
<g/>
.
Ulrich	w6125
<g/>
/
alt	w6127
2	w6128
<g/>
.
J	w6130
<g/>
.
Veit	w6132
Schlanghauffn	w6133
<g/>
/
Tischler	w6135
<g/>
/
beyn	w6137
Bauern	w6138
am	w6139
Neubau	w6140
<g/>
/
alt	w6142
56	w6143
<g/>
.
J	w6145
<g/>
.
Dem	w6147
Georg	w6148
Enikl	w6149
<g/>
/
Maurer	w6151
<g/>
=
Gesellen	w6153
<g/>
/
s	w6155
<g/>
.
T	w6157
<g/>
.
Sus	w6159
<g/>
.
<g/>
/
beym	w6162
Ritter	w6163
St	w6164
<g/>
.
Georg	w6166
bey	w6167
Maria	w6168
<g/>
=
Hülf	w6170
<g/>
/
alt	w6172
19	w6173
<g/>
.
J	w6175
<g/>
.
Dem	w6177
Niclas	w6178
Void	w6179
<g/>
/
Kutschern	w6181
<g/>
/
s	w6183
<g/>
.
K	w6185
<g/>
.
Joseph	w6187
<g/>
/
beym	w6189
wilden	w6190
Mann	w6191
auf	w6192
der	w6193
Laimgruben	w6194
<g/>
/
alt	w6196
6	w6197
<g/>
.
J	w6199
<g/>
.
Gregori	w6201
Wagner	w6202
<g/>
/
Faß	w6204
<g/>
=
Zieher	w6206
<g/>
/
in	w6208
Althanisch	w6209
<g/>
.
Gar=ten	w6211
<g/>
=
ausser	w6213
der	w6214
Rossau	w6215
<g/>
/
alt	w6217
65	w6218
<g/>
.
J	w6220
<g/>
.
Dem	w6222
Joh	w6223
<g/>
.
Steinegger	w6225
<g/>
/
Tagw	w6227
<g/>
.
<g/>
/
s	w6230
<g/>
.
K	w6232
<g/>
.
Matthias	w6234
<g/>
/
in	w6236
s	w6237
<g/>
.
H	w6239
<g/>
.
zu	w6241
Erdberg	w6242
<g/>
/
alt	w6244
2	w6245
<g/>
.
J	w6247
<g/>
.
Abrah	w6249
<g/>
.
Kobler	w6251
<g/>
/
Tagw	w6253
<g/>
.
<g/>
/
im	w6256
Primisch	w6257
<g/>
.
H	w6259
<g/>
.
auf	w6261
der	w6262
Wendlstatt	w6263
<g/>
/
alt	w6265
60	w6266
<g/>
.
J	w6268
<g/>
.
</list>
<head id="hl35">
Auszug	w6287
eines	w6288
Schreibens	w6289
<g/>
/
des	w6291
Herrn	w6292
Basteur	w6293
von	w6294
20sten	w6295
Augusti	w6296
1727	w6297
<g/>
.
an	w6299
dem	w6300
Herrn	w6301
Robert	w6302
Secretario	w6303
des	w6304
Engel=ländischen	w6305
<g/>
=
Bottschafters	w6307
an	w6308
dem	w6309
Fran=tzösischen	w6310
<g/>
=
Hofe	w6312
<g/>
.
</head>
<p id="p63">
Mein	w6314
Herr	w6315
</p>
<p id="p64">
WAnn	w6316
ich	w6317
nach	w6318
Paris	w6319
gehen	w6320
werde	w6321
<g/>
/
habe	w6323
ich	w6324
in	w6325
Willen	w6326
mir	w6327
die	w6328
Ehre	w6329
zu	w6330
geben	w6331
ihn	w6332
zu	w6333
besuchen	w6334
<g/>
/
um	w6336
ihme	w6337
aus	w6338
denen	w6339
Zeitungen	w6340
zu	w6341
beweisen	w6342
<g/>
/
daß	w6344
das	w6345
von	w6346
mir	w6347
vorgesagte	w6348
Ungewitter	w6349
sich	w6350
eben	w6351
zu	w6352
der	w6353
Zeit	w6354
in	w6355
Welschland	w6356
zugetragen	w6357
<g/>
/
wie	w6359
ich	w6360
es	w6361
ihme	w6362
in	w6363
meinem	w6364
den	w6365
ersteren	w6366
vergangenen	w6367
Aprils	w6368
an	w6369
ihme	w6370
abgelassen=nen	w6371
<g/>
=
Schreiben	w6373
<g/>
/
welches	w6375
weil	w6376
so	w6377
wol	w6378
derselbe	w6379
<g/>
/
als	w6381
ich	w6382
unsere	w6383
Pettschaften	w6384
darauf	w6385
gedrucket	w6386
<g/>
/=
wol	w6388
wird	w6389
aufbehalten	w6390
haben	w6391
<g/>
/
angemerket	w6393
<g/>
.
</p>
<p id="p65">
Die	w6395
Umstände	w6396
so	w6397
gemeiniglich	w6398
Ungewitter	w6399
pflegen	w6400
zu	w6401
verursachen	w6402
<g/>
/
scheinen	w6404
sich	w6405
alle	w6406
von	w6407
dem	w6408
21sten	w6409
Augusti	w6410
dieses	w6411
Jahres	w6412
an	w6413
<g/>
/
bis	w6415
den	w6416
20sten	w6417
April	w6418
des	w6419
künftigen	w6420
Jahres	w6421
1728	w6422
<g/>
.
<g/>
/
um	w6425
durch	w6426
Sturm	w6427
<g/>
/
und	w6429
Ungewittere	w6430
so	w6431
wol	w6432
zu	w6433
Wasser	w6434
als	w6435
zu	w6436
Land	w6437
<g/>
/
sonderlich	w6439
in	w6440
Jtalien	w6441
<g/>
/
grausame	w6443
Verherrungen	w6444
<g/>
/
und	w6446
Schaden	w6447
aus=zuüben	w6448
<g/>
=
<g/>
/
zu	w6451
vereinbaren	w6452
<g/>
.
Man	w6454
wird	w6455
sehen	w6456
ob	w6457
euere	w6458
sonst	w6459
so	w6460
unerschrockene	w6461
Matelots	w6462
<g/>
,
oder	w6464
Bots	w6465
<g/>
=
Knechte	w6467
dem	w6468
Wütten	w6469
des	w6470
letzteren	w6471
wie=verstehen	w6472
<g/>
=
werden	w6474
<g/>
:
ich	w6476
solte	w6477
solches	w6478
zwar	w6479
nicht	w6480
ehender	w6481
als	w6482
zwey	w6483
Tage	w6484
<g/>
/
wie	w6486
das	w6487
erste	w6488
<g/>
/
wel=ches	w6490
<g/>
=
von	w6492
den	w6493
21sten	w6494
bis	w6495
24sten	w6496
Augusti	w6497
fallen	w6498
wird	w6499
<g/>
/
vorhero	w6501
sagen	w6502
<g/>
;
nichts	w6504
destoweniger	w6505
be=richte	w6506
<g/>
=
ich	w6508
seine	w6509
Excellentz	w6510
<g/>
/
daß	w6512
solches	w6513
zu	w6514
Fol=ge	w6515
<g/>
=
meines	w6517
unfehlbaren	w6518
Sistematis	w6519
von	w6520
30sten	w6521
Augusti	w6522
an	w6523
bis	w6524
den	w6525
3ten	w6526
September	w6527
inclusivè	w6528
oder	w6529
an	w6530
statt	w6531
dessen	w6532
wenigstens	w6533
ein	w6534
unbeschreib=licher	w6535
<g/>
=
Sturm	w6537
einfallen	w6538
müsse	w6539
<g/>
.
Zwey	w6541
andere	w6542
haben	w6543
wir	w6544
zu	w6545
erwarten	w6546
von	w6547
13den	w6548
September	w6549
<g/>
/
bis	w6551
den	w6552
20sten	w6553
inclusivè	w6554
<g/>
;
und	w6556
von	w6557
den	w6558
21sten	w6559
Augusti	w6560
bis	w6561
den	w6562
22sten	w6563
November	w6564
wird	w6565
es	w6566
mehr	w6567
Sturm	w6568
als	w6569
Ungewitter	w6570
setzen	w6571
<g/>
/
deren	w6573
wenigstens	w6574
8	w6575
<g/>
.
<g/>
/
wofern	w6578
sie	w6579
sich	w6580
nicht	w6581
in	w6582
Regen	w6583
wie	w6584
es	w6585
öfters	w6586
geschiehet	w6587
<g/>
/
veränderen	w6589
<g/>
/
seyn	w6591
wer=den	w6592
<g/>
=
<g/>
.
Die	w6595
Sturm	w6596
<g/>
/
welche	w6598
von	w6599
heftigen	w6600
Win=den	w6601
<g/>
=
begleidet	w6603
werden	w6604
<g/>
/
setze	w6606
ich	w6607
unter	w6608
die	w6609
Zahl	w6610
deren	w6611
Ungewitteren	w6612
<g/>
.
</p>
<p id="p66">
Die	w6614
Gewalt	w6615
des	w6616
ersten	w6617
wird	w6618
vermutlich	w6619
noch	w6620
in	w6621
Welschland	w6622
ausbrechen	w6623
<g/>
;
den	w6625
meisten	w6626
Theil	w6627
deren	w6628
andern	w6629
wird	w6630
man	w6631
auch	w6632
in	w6633
Europa	w6634
ver=spühren	w6635
<g/>
=
<g/>
/
ich	w6638
sage	w6639
vermutlich	w6640
<g/>
/
und	w6642
nicht	w6643
für	w6644
eine	w6645
Wahrheit	w6646
<g/>
/
indeme	w6648
man	w6649
um	w6650
für	w6651
gewiß	w6652
zu	w6653
</p>
<p id="p67">
sagen	w6654
wo	w6655
<g/>
/
und	w6657
über	w6658
was	w6659
für	w6660
einem	w6661
Land	w6662
sich	w6663
solche	w6664
ausbreiten	w6665
werden	w6666
<g/>
/
weit	w6668
mehrere	w6669
Beob=achtungen	w6670
<g/>
=
machen	w6672
müste	w6673
<g/>
.
</p>
<p id="p68">
Ubrigens	w6675
wann	w6676
auch	w6677
das	w6678
schwäreste	w6679
dieses	w6680
Ungewitters	w6681
nur	w6682
500	w6683
<g/>
.
Meilen	w6685
von	w6686
Rom	w6687
aus=brechen	w6688
<g/>
=
solte	w6690
<g/>
/
würden	w6692
die	w6693
Gelehrten	w6694
mich	w6695
des=senthalben	w6696
<g/>
=
gleichwol	w6698
glükselig	w6699
schätzen	w6700
<g/>
/
daß	w6702
ich	w6703
es	w6704
<g/>
/
in	w6706
deme	w6707
die	w6708
Welt	w6709
in	w6710
ihrer	w6711
Ober	w6712
<g/>
=
Fläche	w6714
mit	w6715
samt	w6716
dem	w6717
Gewässer	w6718
9000	w6719
<g/>
.
und	w6721
nach	w6722
der	w6723
Mei=nung	w6724
<g/>
=
des	w6726
Herrn	w6727
Fevre	w6728
25696000	w6729
<g/>
.
viereckigte	w6731
Meilen	w6732
in	w6733
sich	w6734
begreift	w6735
<g/>
/
noch	w6737
so	w6738
nahe	w6739
getrof=fen	w6740
<g/>
=
habe	w6742
<g/>
.
</p>
<p id="p69">
Thales	w6744
ware	w6745
der	w6746
erste	w6747
so	w6748
640	w6749
<g/>
.
Jahr	w6751
vor	w6752
Christi	w6753
Geburt	w6754
die	w6755
Sonnen	w6756
<g/>
=
Finsternussen	w6758
vor=zusagen	w6759
<g/>
=
angefangen	w6761
<g/>
;
wurden	w6763
nun	w6764
die	w6765
jenige	w6766
zu	w6767
seiner	w6768
Zeit	w6769
nicht	w6770
vor	w6771
unverständig	w6772
gehalten	w6773
worden	w6774
seyn	w6775
<g/>
/
die	w6777
von	w6778
ihme	w6779
verlanget	w6780
hätten	w6781
<g/>
/
daß	w6783
er	w6784
ihnen	w6785
auch	w6786
alle	w6787
Umstände	w6788
<g/>
/
und	w6790
Beson=derheiten	w6791
<g/>
=
von	w6793
denenselben	w6794
ausführlich	w6795
erzehlen	w6796
solte	w6797
<g/>
;
gleichwie	w6799
sie	w6800
heutiges	w6801
Tages	w6802
die	w6803
Herren	w6804
Cassini	w6805
<g/>
,
und	w6807
Maraldi	w6808
<g/>
,
welche	w6810
Observatio-nes	w6811
<g/>
-
<g/>
,
oder	w6814
Beobachtungen	w6815
von	w6816
mehr	w6817
als	w6818
2000	w6819
<g/>
.
Jahren	w6821
haben	w6822
<g/>
/
beschreiben	w6824
<g/>
:
sie	w6826
haben	w6827
aber	w6828
auch	w6829
nicht	w6830
geringen	w6831
Vortheil	w6832
aus	w6833
ob	w6834
<g/>
=
ermeldeten	w6836
al=ten	w6837
<g/>
=
Astronomo	w6839
geschöpffet	w6840
<g/>
:
und	w6842
ich	w6843
habe	w6844
kei=nem	w6845
<g/>
=
<g/>
/
den	w6848
ich	w6849
mir	w6850
in	w6851
diesen	w6852
Sache	w6853
vor	w6854
die	w6855
Hand	w6856
nehmen	w6857
könte	w6858
<g/>
/
wol	w6860
aber	w6861
vor	w6862
<g/>
=
urtheilte	w6864
von	w6865
5000	w6866
<g/>
.
Jahren	w6868
zu	w6869
bekämpfen	w6870
<g/>
.
</p>
<p id="p70">
Nichts	w6872
destoweniger	w6873
forderet	w6874
man	w6875
von	w6876
mir	w6877
<g/>
/
daß	w6879
ich	w6880
nicht	w6881
allein	w6882
die	w6883
Zeit	w6884
<g/>
/
sondern	w6886
auch	w6887
das	w6888
Ort	w6889
<g/>
/
den	w6891
Anfang	w6892
<g/>
/
das	w6894
Mittlere	w6895
<g/>
/
das	w6897
Ende	w6898
<g/>
/
die	w6900
Gewalt	w6901
des	w6902
Windes	w6903
<g/>
/
die	w6905
Ausbreitung	w6906
<g/>
/
und	w6908
mehr	w6909
andere	w6910
dergleichen	w6911
Umstände	w6912
deren	w6913
Ungewitteren	w6914
vorsagen	w6915
solle	w6916
<g/>
;
allein	w6918
diese	w6919
seynd	w6920
Sachen	w6921
<g/>
/
welche	w6923
auf	w6924
ein	w6925
Haar	w6926
zu	w6927
wissen	w6928
weit	w6929
mehr	w6930
Mühe	w6931
als	w6932
die	w6933
Finsternussen	w6934
erforderen	w6935
<g/>
;
und	w6937
ist	w6938
dieses	w6939
eben	w6940
so	w6941
viel	w6942
<g/>
/
als	w6944
wann	w6945
man	w6946
haben	w6947
wolte	w6948
<g/>
/
daß	w6950
ich	w6951
allein	w6952
die	w6953
vollkommene	w6954
Wissenschaft	w6955
einer	w6956
Sachen	w6957
besitzen	w6958
solte	w6959
<g/>
;
zu	w6961
dessen	w6962
Erfahrenheit	w6963
noch	w6964
kein	w6965
Mensch	w6966
auf	w6967
der	w6968
gantzen	w6969
Welt	w6970
gelangen	w6971
können	w6972
<g/>
/
auch	w6974
keiner	w6975
gelangen	w6976
wird	w6977
<g/>
/
ausser	w6979
durch	w6980
meine	w6981
auf	w6982
gewisse	w6983
Art	w6984
angestellet	w6985
Beobachtungen	w6986
<g/>
/
welche	w6988
mir	w6989
<g/>
/
dem	w6991
Himmel	w6992
seye	w6993
Dank	w6994
<g/>
/
auch	w6996
endlich	w6997
zuge=troffen	w6998
<g/>
=
haben	w7000
<g/>
/
und	w7002
noch	w7003
allezeit	w7004
<g/>
/
so	w7006
ferne	w7007
es	w7008
GOtt	w7009
gefällig	w7010
<g/>
/
zutreffen	w7012
werden	w7013
<g/>
.
Wann	w7015
end=lichen	w7016
<g/>
=
auch	w7018
nicht	w7019
alle	w7020
diese	w7021
von	w7022
mit	w7023
vorgesagte	w7024
Ungewittere	w7025
in	w7026
unserem	w7027
Hemispherio	w7028
<g/>
,
son=deren	w7030
<g/>
=
nur	w7032
die	w7033
wenigste	w7034
<g/>
/
doch	w7036
dieselbe	w7037
zu	w7038
be=stimmeter	w7039
<g/>
=
Zeit	w7041
sich	w7042
ereignen	w7043
solten	w7044
<g/>
/
glaube	w7046
</p>
<p id="p71">
ich	w7049
<g/>
/
wird	w7051
man	w7052
dannoch	w7053
daraus	w7054
schliessen	w7055
können	w7056
<g/>
/
daß	w7058
disfals	w7059
meine	w7060
Regeln	w7061
<g/>
/
wann	w7063
nicht	w7064
annoch	w7065
aus	w7066
völliger	w7067
Gewisheit	w7068
<g/>
/
doch	w7070
wenigstens	w7071
aus	w7072
festen	w7073
Grund	w7074
<g/>
=
Sätzen	w7076
bestehen	w7077
müssen	w7078
folglich	w7079
auch	w7080
erkennen	w7081
<g/>
/
daß	w7083
es	w7084
nicht	w7085
unmöglich	w7086
<g/>
/
wie	w7088
man	w7089
bis	w7090
auf	w7091
heutigen	w7092
Ta=ge	w7093
<g/>
=
geglaubet	w7095
<g/>
/
eine	w7097
solche	w7098
Wissenschaft	w7099
<g/>
/
wel=che	w7101
<g/>
=
ohne	w7103
Widersprechen	w7104
die	w7105
schönste	w7106
unter	w7107
allen	w7108
Erfahrnussen	w7109
der	w7110
Natur	w7111
kan	w7112
genennet	w7113
werden	w7114
<g/>
/
zu	w7116
erfinden	w7117
<g/>
/
und	w7119
hervor	w7120
zu	w7121
bringen	w7122
seye	w7123
<g/>
.
</p>
<head id="hl36">
Auszug	w7125
eines	w7126
anderen	w7127
Schreiben	w7128
des	w7129
Herrn	w7130
Basteurs	w7131
an	w7132
dem	w7133
Dähni=nischen	w7134
<g/>
=
Residenten	w7136
zu	w7137
Paris	w7138
<g/>
.
</head>
<p id="p72">
Mein	w7140
Herr	w7141
<g/>
/
</p>
<p id="p73">
JCch	w7143
werde	w7144
euch	w7145
durch	w7146
Lesung	w7147
deren	w7148
Zeitun=gen	w7149
<g/>
=
<g/>
/
und	w7152
durch	w7153
den	w7154
Jnhalt	w7155
meines	w7156
Schrei=bens	w7157
<g/>
=
<g/>
/
