<doc id="wr_1763-08-10" attrs="word" year="1763" month="08" day="10" corpus="2">
<head id="h2_d782e3112">
Elvas,	w1_d782e3116
alt	w9_d782e13934
6.	w11_d782e13937
J.	w13_d782e13941
Den	w1_d782e13946
Jos.	w3_d782e13949
Wandel,	w5_d782e13952
Büchsenschift.=ges.,	w7_d782e13955
s.	w9_d782e13958
W.	w11_d782e13961
Su	w13_d782e13965
san,	w1_d782e13971
im	w3_d782e13974
Kurzis.	w5_d782e13977
H.	w7_d782e13980
in	w9_d782e13983
der	w11_d782e13986
Leopoldst.,	w13_d782e13990
alt	w15_d782e13993
40.	w17_d782e13996
J.	w19_d782e13999
</list>
<head id="h2_d782e14006">
Summa	w1_d782e14010
14.	w3_d782e14013
Person.,	w5_d782e14016
darunter	w7_d782e14019
7.	w9_d782e14022
Kind.	w11_d782e14025
</head>
<list id="l4_d782e14028">
Den	w1_d782e14032
31.	w3_d782e14035
dies	w5_d782e14038
Monats	w7_d782e14041
Augusti	w9_d782e14044
wird	w11_d782e14047
das	w13_d782e14051
Ma	w15_d782e14054
</list>
<p id="p6_d782e14058">
Den	w1_d782e14062
31.	w3_d782e14065
dies	w5_d782e14068
Monats	w7_d782e14071
Augusti	w9_d782e14074
wird	w11_d782e14077
das	w13_d782e14081
Ma	w15_d782e14084
thias	w1_d782e14089
Putzische	w3_d782e14092
Leinwat=drucker=geworb,	w5_d782e14095
welches	w7_d782e14098
ein	w1_d782e14103
Cammer=gut	w3_d782e14106
ist,	w5_d782e14109
vor	w7_d782e14112
einem	w9_d782e14115
allhiesigen	w11_d782e14118
Stadt	w13_d782e14122
raht	w1_d782e14128
fruhe	w3_d782e14131
um	w5_d782e14134
9.	w7_d782e14137
Uhr	w9_d782e14140
dem	w11_d782e14143
Meistbietenden	w13_d782e14147
hindan	w15_d782e14150
gelassen	w1_d782e14155
werden.	w3_d782e14158
</p>
<p id="p12_d782e14172">
Win	w1_d782e14176
Bordermeiber	w3_d782e14179
uumdd=oerwalter	w5_d782e14182
und	w7_d782e14185
Rass.	w9_d782e14188
der	w1_d782e14193
Stadt	w3_d782e14196
Wien,	w5_d782e14199
geben	w7_d782e14202
allen	w9_d782e14205
und	w11_d782e14208
jeden,	w13_d782e14212
denen	w15_d782e14215
hieran	w1_d782e14220
gelegen,	w3_d782e14223
durch	w5_d782e14226
dieses	w7_d782e14229
offene	w9_d782e14232
Edict	w11_d782e14235
zu	w13_d782e14239
ver	w15_d782e14242
nehmen.	w1_d782e14248
Es	w3_d782e14251
habe	w5_d782e14254
uns	w7_d782e14257
die	w9_d782e14260
Frau	w11_d782e14263
Regina	w13_d782e14267
Edle	w15_d782e14270
von	w17_d782e14273
Klerf	w1_d782e14278
als	w3_d782e14281
sich	w5_d782e14284
angebende	w7_d782e14287
Eigentumerin	w9_d782e14290
des	w11_d782e14293
soge	w13_d782e14297
nannten	w1_d782e14302
Dietrichischen	w3_d782e14305
Hauses	w5_d782e14308
am	w7_d782e14311
hohen	w9_d782e14314
Markt	w11_d782e14317
geziemend	w1_d782e14322
vorgestellet,	w3_d782e14325
wie	w5_d782e14328
daß	w7_d782e14331
es	w9_d782e14334
nunmehro	w11_d782e14337
an	w13_d782e14341
deme	w1_d782e14347
wäre,	w3_d782e14350
daß	w5_d782e14353
sie	w7_d782e14356
an	w9_d782e14359
die	w11_d782e14362
Gewöhr	w13_d782e14366
erstermelt	w15_d782e14369
Dietrichischen	w1_d782e14374
Hauses	w3_d782e14377
gebracht	w5_d782e14380
werden	w7_d782e14383
sollte,	w9_d782e14386
da	w11_d782e14389
mit	w1_d782e14394
sie	w3_d782e14397
also	w5_d782e14400
hierinfalls	w7_d782e14403
allweegs	w9_d782e14406
sicher	w11_d782e14409
gestellet,	w13_d782e14413
und	w1_d782e14418
nicht	w3_d782e14421
etwann	w5_d782e14424
künftighin	w7_d782e14427
von	w9_d782e14430
jemanden	w11_d782e14433
an	w13_d782e14437
dem	w15_d782e14440
Cigentum	w1_d782e14446
sothanen	w3_d782e14449
Hauses	w5_d782e14452
quocunque	w7_d782e14455
demum	w9_d782e14458
titulo	w1_d782e14463
angefochten	w3_d782e14466
werden	w5_d782e14469
möchte,	w7_d782e14472
hat	w9_d782e14475
selbe	w11_d782e14478
zu	w13_d782e14482
dem	w1_d782e14487
Ende	w3_d782e14490
um	w5_d782e14493
Affigirung	w7_d782e14496
eines	w9_d782e14499
gewönlichen	w11_d782e14502
Val	w13_d782e14506
val=edicts	w1_d782e14511
bey	w3_d782e14514
uns	w5_d782e14517
angelanget,	w7_d782e14520
und	w9_d782e14523
da	w11_d782e14526
wir	w13_d782e14530
die	w15_d782e14533
sem	w1_d782e14539
Petito	w3_d782e14542
auch	w5_d782e14545
deferiret;	w7_d782e14548
Als	w9_d782e14551
werden	w11_d782e14554
all	w13_d782e14558
und	w15_d782e14561
jede,	w1_d782e14566
so	w3_d782e14569
zu	w5_d782e14572
gedacht=Dietrichischen	w7_d782e14575
Hauses	w9_d782e14578
Eigen	w11_d782e14581
tum	w1_d782e14586
SchuldErbs	w3_d782e14589
oder	w5_d782e14592
was	w7_d782e14595
immer	w9_d782e14598
andere	w11_d782e14601
Sprü	w13_d782e14605
che	w1_d782e14610
und	w3_d782e14613
Forderungen	w5_d782e14616
zu	w7_d782e14619
haben	w9_d782e14622
vermeinen,	w11_d782e14625
von	w13_d782e14629
unten	w1_d782e14635
gesetztem	w3_d782e14638
Dato	w5_d782e14641
an,	w7_d782e14644
mit	w9_d782e14647
Anschliessung	w11_d782e14650
inste	w13_d782e14654
hender	w1_d782e14659
Schnitt=ferien	w3_d782e14662
inner	w5_d782e14665
6.	w7_d782e14668
Wochen	w9_d782e14671
und	w11_d782e14674
3.	w13_d782e14678
Tägen	w1_d782e14683
bey	w3_d782e14686
unser	w5_d782e14689
und	w7_d782e14692
Gemeiner	w9_d782e14695
Stadt	w11_d782e14698
Grund	w13_d782e14702
buch	w1_d782e14707
entweders	w3_d782e14710
persönlich	w5_d782e14713
selbsten,	w7_d782e14716
oder	w9_d782e14719
durch	w11_d782e14722
ge	w13_d782e14726
nugsam	w1_d782e14732
bevollmächtigte	w3_d782e14735
Gewalt=tragere	w5_d782e14738
alsoge	w7_d782e14741
wiß	w1_d782e14746
zu	w3_d782e14749
erscheinen,	w5_d782e14752
ihre	w7_d782e14755
SchuldErbs	w9_d782e14758
oder	w11_d782e14761
ande	w13_d782e14765
re	w1_d782e14770
Sprüche	w3_d782e14773
und	w5_d782e14776
Forderungen	w7_d782e14779
Rechts=beständig	w9_d782e14782
darzuthuen,	w1_d782e14787
zu	w3_d782e14790
liquidiren,	w5_d782e14793
und	w7_d782e14796
mit	w9_d782e14799
denen	w11_d782e14802
erfor	w13_d782e14806
derlichen	w1_d782e14812
Legitimationen	w3_d782e14815
zu	w5_d782e14818
begleiten	w7_d782e14821
haben,	w9_d782e14824
wie	w11_d782e14827
im	w1_d782e14832
widrigen	w3_d782e14835
nach	w5_d782e14838
Verstreichung	w7_d782e14841
sothanen	w9_d782e14844
Termins	w11_d782e14847
auf	w1_d782e14852
keine	w3_d782e14855
derley	w5_d782e14858
Sprüche	w7_d782e14861
mehr	w9_d782e14864
reflectiret,	w11_d782e14867
sondern	w13_d782e14871
Eingangs=ermelter	w1_d782e14876
Frauen	w3_d782e14879
von	w5_d782e14882
Klerf	w7_d782e14885
auf	w9_d782e14888
obge	w11_d782e14891
dacht	w1_d782e14897
Dietrichisches	w3_d782e14900
Haus	w5_d782e14903
ohne	w7_d782e14906
weitern	w9_d782e14909
die	w11_d782e14912
Ge	w13_d782e14916
wöhr	w1_d782e14921
ertheilet	w3_d782e14924
werden	w5_d782e14927
wurde.	w7_d782e14930
Actum	w9_d782e14933
Wien	w11_d782e14936
den	w13_d782e14940
23.	w1_d782e14945
Juli	w3_d782e14948
1763.	w5_d782e14951
</p>
<list id="l14_d782e14954">
Win	w1_d782e14958
Bordermeiber	w3_d782e14961
uumdd=oerwalter	w5_d782e14964
und	w7_d782e14967
Rass.	w9_d782e14970
</list>
<p id="p16_d782e14974">
Bey	w1_d782e14978
Jgnati	w3_d782e14981
Eggendorffer,	w5_d782e14984
Burgerl.	w7_d782e14987
Handelsmann	w9_d782e14990
|	w11_d782e14993
im	w1_d782e14998
Defranzischen	w3_d782e15001
Haus	w5_d782e15004
in	w7_d782e15007
der	w9_d782e15010
Kärntner=strasse,	w11_d782e15013
seynd	w1_d782e15018
frisch	w3_d782e15021
gesalzene	w5_d782e15024
neue	w7_d782e15027
Scombri	w9_d782e15030
oder	w11_d782e15033
sogenann	w13_d782e15037
te	w1_d782e15043
neue	w3_d782e15046
inländische	w5_d782e15049
Häringe	w7_d782e15052
angekommen,	w9_d782e15055
deren	w11_d782e15058
Qualität	w1_d782e15063
perfeet,	w3_d782e15066
und	w5_d782e15069
mehr	w7_d782e15072
wohl	w9_d782e15075
geschmackt	w11_d782e15078
als	w13_d782e15082
die	w1_d782e15087
holländischen	w3_d782e15090
ist,	w5_d782e15093
Sie	w7_d782e15096
werden	w9_d782e15099
alla	w11_d782e15102
minuta	w13_d782e15106
oder	w1_d782e15111
Stuck=weis	w3_d782e15114
beym	w5_d782e15117
grünen	w7_d782e15120
Cranz	w9_d782e15123
auf	w11_d782e15126
dem	w13_d782e15130
Graben	w1_d782e15136
verkauft.	w3_d782e15139
</p>
<list id="l18_d782e15142">
Jn	w1_d782e15146
dem	w3_d782e15149
Hris.	w5_d782e15152
Delichen	w7_d782e15155
Frehaus	w9_d782e15158
hinte	w11_d782e15161
</list>
<p id="p20_d782e15165">
Jn	w1_d782e15169
dem	w3_d782e15172
Hris.	w5_d782e15175
Delichen	w7_d782e15178
Frehaus	w9_d782e15181
hinte	w11_d782e15184
den	w1_d782e15189
Minoriten	w3_d782e15192
an	w5_d782e15195
der	w7_d782e15198
Schotten=bastey	w9_d782e15201
ist	w11_d782e15204
auf	w13_d782e15208
Michaeli	w1_d782e15213
der	w3_d782e15216
ganze	w5_d782e15219
erste	w7_d782e15222
Stock,	w9_d782e15225
mit	w11_d782e15228
Stallung,	w13_d782e15232
Wagen=stelle,	w1_d782e15238
Keller	w3_d782e15241
und	w5_d782e15244
Zugehör	w7_d782e15247
zu	w9_d782e15250
verlassen,	w11_d782e15253
und	w1_d782e15258
sich	w3_d782e15261
dessentwegen	w5_d782e15264
bey	w7_d782e15267
dem	w9_d782e15270
Haus	w11_d782e15273
inspector	w13_d782e15277
anzumelden.	w1_d782e15282
</p>
<list id="l22_d782e15285">
Den	w1_d782e15289
11.	w3_d782e15292
dies	w5_d782e15295
Monats	w7_d782e15298
August	w9_d782e15301
und	w11_d782e15304
hernach	w13_d782e15308
fol	w15_d782e15311
</list>
<p id="p24_d782e15316">
Den	w1_d782e15320
11.	w3_d782e15323
dies	w5_d782e15326
Monats	w7_d782e15329
August	w9_d782e15332
und	w11_d782e15335
hernach	w13_d782e15339
fol	w15_d782e15342
gende	w1_d782e15347
Täge	w3_d782e15350
werden	w5_d782e15353
auf	w7_d782e15356
der	w9_d782e15359
hohen	w11_d782e15362
Brucken	w13_d782e15366
im	w15_d782e15369
Fär	w17_d782e15372
berischen	w1_d782e15377
Haus	w3_d782e15380
im	w5_d782e15383
ersten	w7_d782e15386
Stock	w9_d782e15389
verschiedene	w11_d782e15392
Ver	w13_d782e15396
lassenschafts=effecten,	w1_d782e15402
als	w3_d782e15405
Gold,	w5_d782e15408
Silber,	w7_d782e15411
Galante	w9_d782e15414
rien,	w1_d782e15419
Porcellan,	w3_d782e15422
Mahlereyen,	w5_d782e15425
Berg	w7_d782e15428
stuffen	w9_d782e15431
und	w11_d782e15434
andere	w1_d782e15439
Schnecken,	w3_d782e15442
mit	w5_d782e15445
Gold	w7_d782e15448
und	w9_d782e15451
Silber	w11_d782e15454
gallonirt,	w13_d782e15458
auch	w1_d782e15463
glatte	w3_d782e15466
Manns=kleider,	w5_d782e15469
schöne	w7_d782e15472
Wäsch,	w9_d782e15475
Spie	w11_d782e15478
gel,	w1_d782e15484
Luster,	w3_d782e15487
Spallier,	w5_d782e15490
Kasten,	w7_d782e15493
Soffen,	w9_d782e15496
Sessel,	w11_d782e15499
</p>
<p id="p26_d782e15502">
Tisch,	w1_d782e15506
taffet	w3_d782e15509
und	w5_d782e15512
catouene	w7_d782e15515
Behter,	w9_d782e15518
dergleichen	w11_d782e15521
Rast=behter	w1_d782e15526
und	w3_d782e15529
Sessel,	w5_d782e15532
ein	w7_d782e15535
Flügel=instrument,	w9_d782e15538
dann	w1_d782e15543
andere	w3_d782e15546
Effecten,	w5_d782e15549
wie	w7_d782e15552
auch	w9_d782e15555
Zinn,	w11_d782e15558
Meßing	w13_d782e15562
und	w15_d782e15565
Kupfer,	w1_d782e15571
Vormittag	w3_d782e15574
von	w5_d782e15577
9.	w7_d782e15580
bis	w9_d782e15583
12.	w11_d782e15586
Nachmittag	w13_d782e15590
aber	w1_d782e15595
von	w3_d782e15598
3.	w5_d782e15601
bis	w7_d782e15604
6.	w9_d782e15607
Uhr	w11_d782e15610
dem	w13_d782e15614
Meistbietenden	w15_d782e15617
ge	w17_d782e15620
gen	w1_d782e15625
alsogleich	w3_d782e15628
baar	w5_d782e15631
leistender	w7_d782e15634
Bezahlung	w9_d782e15637
licitan	w11_d782e15640
do	w1_d782e15645
verkaufet	w3_d782e15648
werden.	w5_d782e15651
</p>
<list id="l28_d782e15654">
Wir	w1_d782e15658
Burgermeister=amts=verwalter	w3_d782e15661
und	w5_d782e15664
Raht	w7_d782e15667
</list>
<p id="p30_d782e15671">
Wir	w1_d782e15675
Burgermeister=amts=verwalter	w3_d782e15678
und	w5_d782e15681
Raht	w7_d782e15684
der	w1_d782e15689
Stadt	w3_d782e15692
Wien	w5_d782e15695
geben	w7_d782e15698
dem	w9_d782e15701
Caspar	w11_d782e15704
Jgl	w13_d782e15708
Burgerl.	w15_d782e15711
Wagnermeister	w1_d782e15716
allhier	w3_d782e15719
und	w5_d782e15722
dessen	w7_d782e15725
Ehewirtin	w9_d782e15728
Ju	w11_d782e15731
stina	w1_d782e15737
hiemit	w3_d782e15740
zu	w5_d782e15743
vernehmen:	w7_d782e15746
Es	w9_d782e15749
habe	w11_d782e15752
uns	w13_d782e15756
die	w15_d782e15759
Ma	w17_d782e15762
ria	w1_d782e15767
Anna	w3_d782e15770
Arbesserin	w5_d782e15773
Wittib	w7_d782e15776
cessionario	w9_d782e15779
nomine	w11_d782e15782
angezeiget,	w1_d782e15787
wie	w3_d782e15790
daß	w5_d782e15793
ihr	w7_d782e15796
die	w9_d782e15799
Johann	w11_d782e15802
Wichtische	w13_d782e15806
Erben,	w1_d782e15811
vermög	w3_d782e15814
producirter	w5_d782e15817
Ceßion,	w7_d782e15820
die	w9_d782e15823
ihnen	w11_d782e15826
Jglischen	w1_d782e15832
Con	w3_d782e15835
leuten	w5_d782e15838
vermög	w7_d782e15841
certiorirter	w9_d782e15844
Obliga	w11_d782e15847
tion	w1_d782e15852
d.	w3_d782e15855
d.	w5_d782e15858
8.	w7_d782e15861
Jenner	w9_d782e15864
1720.	w11_d782e15867
à	w13_d782e15871
6.	w15_d782e15874
pro	w17_d782e15877
Cento	w19_d782e15880
jähr	w21_d782e15883
lich	w1_d782e15888
lauffenden	w3_d782e15891
Jnteressen	w5_d782e15894
gegen	w7_d782e15897
viertel=jähriger	w9_d782e15900
Aufkündigung	w1_d782e15905
baar	w3_d782e15908
dargeliehene,	w5_d782e15911
und	w7_d782e15914
auf	w9_d782e15917
deren	w11_d782e15920
selben	w1_d782e15926
Behausung	w3_d782e15929
auf	w5_d782e15932
dem	w7_d782e15935
Salz=grieß	w9_d782e15938
2do	w11_d782e15941
loco	w13_d782e15945
Satz	w1_d782e15950
weis	w3_d782e15953
fürgemerkte	w5_d782e15956
3000.	w7_d782e15959
fl.	w9_d782e15962
samt	w11_d782e15965
denen	w13_d782e15969
von	w15_d782e15972
vielen	w1_d782e15977
Jahren	w3_d782e15980
her	w5_d782e15983
ausständigen	w7_d782e15986
Jnteressen	w9_d782e15989
cedirt	w11_d782e15992
hätten,	w1_d782e15997
und	w3_d782e16000
zumalen	w5_d782e16003
ihr	w7_d782e16006
zu	w9_d782e16009
Erhaltung	w11_d782e16012
einiger	w13_d782e16016
Jnteressen	w1_d782e16022
keine	w3_d782e16025
Hofnung	w5_d782e16028
anscheinete,	w7_d782e16031
und	w9_d782e16034
dahe	w11_d782e16037
ro	w1_d782e16042
sie	w3_d782e16045
sich	w5_d782e16048
bemüßiget	w7_d782e16051
sehete,	w9_d782e16054
ermeltes	w11_d782e16057
Satzca	w13_d782e16061
pital	w1_d782e16066
vorgesehener	w3_d782e16069
massen	w5_d782e16072
viertel=jährlich	w7_d782e16075
aufzu	w9_d782e16078
künden,	w1_d782e16083
dahingegen	w3_d782e16086
ihre	w5_d782e16089
Jglischen	w7_d782e16092
Con=leuten	w9_d782e16095
Aufenthalt	w1_d782e16101
dermalen	w3_d782e16104
unbekannt	w5_d782e16107
wäre,	w7_d782e16110
so	w9_d782e16113
hat	w11_d782e16116
sel	w13_d782e16120
be	w1_d782e16125
zu	w3_d782e16128
dessen	w5_d782e16131
Kundmachung	w7_d782e16134
um	w9_d782e16137
Affigirung	w11_d782e16140
eines	w13_d782e16144
Valval=edicts	w1_d782e16149
bey	w3_d782e16152
uns	w5_d782e16155
angelanget,	w7_d782e16158
in	w9_d782e16161
welches	w11_d782e16164
Gesuch	w1_d782e16169
wir	w3_d782e16172
auch	w5_d782e16175
zu	w7_d782e16178
gewilligen	w9_d782e16181
keinen	w11_d782e16184
Anstand	w13_d782e16188
ge	w15_d782e16191
funden.	w1_d782e16197
Dahero	w3_d782e16200
wird	w5_d782e16203
ihnen	w7_d782e16206
Jglischen	w9_d782e16209
Conleu	w11_d782e16212
ten	w1_d782e16217
sothane	w3_d782e16220
viertel=jährige	w5_d782e16223
Aufkundigung	w7_d782e16226
des	w9_d782e16229
auf	w11_d782e16232
ihrer	w1_d782e16237
Behausung	w3_d782e16240
am	w5_d782e16243
Salz=grieß	w7_d782e16246
haftendWich	w9_d782e16249
tischen	w1_d782e16254
Satz=capital	w3_d782e16257
pr.	w5_d782e16260
3000.	w7_d782e16263
fl.	w9_d782e16266
hiemit	w11_d782e16269
durch	w13_d782e16273
dieses	w1_d782e16279
offene	w3_d782e16282
Edict	w5_d782e16285
kund	w7_d782e16288
und	w9_d782e16291
zu	w11_d782e16294
wissen	w13_d782e16298
gemacht.	w15_d782e16301
Wien	w1_d782e16306
den	w3_d782e16309
19.	w5_d782e16312
May	w7_d782e16315
1763.	w9_d782e16318
</p>
<p id="p32_d782e16321">
Jn	w1_d782e16325
der	w3_d782e16328
Unger=Zasse	w5_d782e16331
unweit	w7_d782e16334
des	w9_d782e16337
Stuben=thor	w11_d782e16340
nächst	w1_d782e16345
dem	w3_d782e16348
goldenen	w5_d782e16351
Raben	w7_d782e16354
seynd	w9_d782e16357
die	w11_d782e16360
zum	w13_d782e16364
goldenen	w15_d782e16367
Dachl	w1_d782e16372
benahmste	w3_d782e16375
2.	w5_d782e16378
Häuser	w7_d782e16381
mit	w9_d782e16384
11.	w11_d782e16387
Zimmer	w13_d782e16391
im	w15_d782e16394
er	w17_d782e16397
sten	w1_d782e16403
Stock	w3_d782e16406
nebst	w5_d782e16409
3.	w7_d782e16412
Kucheln,	w9_d782e16415
Speis,	w11_d782e16418
Garten,	w13_d782e16422
Wein=keller	w1_d782e16427
zu	w3_d782e16430
mehr	w5_d782e16433
als	w7_d782e16436
1000.	w9_d782e16439
Emer,	w11_d782e16442
Stallung	w13_d782e16446
auf	w1_d782e16451
33.	w3_d782e16454
Pferd,	w5_d782e16457
auf	w7_d782e16460
30.	w9_d782e16463
Wägen	w11_d782e16466
eine	w13_d782e16470
Schupfen,	w15_d782e16473
nebst	w1_d782e16478
Heu	w3_d782e16481
und	w5_d782e16484
Haber=boden,	w7_d782e16487
zu	w9_d782e16490
verkauffen,	w11_d782e16493
wer	w1_d782e16499
sothane	w3_d782e16502
zusam	w5_d782e16505
gehörige	w7_d782e16508
2.	w9_d782e16511
Hauser	w11_d782e16514
an	w13_d782e16518
sich	w15_d782e16521
zu	w17_d782e16524
er	w19_d782e16527
kauffen	w1_d782e16532
Belieben	w3_d782e16535
traget,	w5_d782e16538
hat	w7_d782e16541
sich	w9_d782e16544
derentwillen	w11_d782e16547
bey	w13_d782e16551
dem	w1_d782e16556
darinn	w3_d782e16559
logixenden	w5_d782e16562
Haus=inhaber	w7_d782e16565
anzufragen.	w9_d782e16568
</p>
<list id="l34_d782e16571">
Jn	w1_d782e16575
der	w3_d782e16578
Unger=Zasse	w5_d782e16581
unweit	w7_d782e16584
des	w9_d782e16587
Stuben=thor	w11_d782e16590
</list>
<list id="l36_d782e16595">
Es	w1_d782e16599
ist	w3_d782e16602
allhier	w5_d782e16605
auf	w7_d782e16608
der	w9_d782e16611
Wieden	w11_d782e16614
neben	w13_d782e16618
denen	w15_d782e16621
Pp.	w17_d782e16624
</list>
<p id="p38_d782e16628">
Es	w1_d782e16632
ist	w3_d782e16635
allhier	w5_d782e16638
auf	w7_d782e16641
der	w9_d782e16644
Wieden	w11_d782e16647
neben	w13_d782e16651
denen	w15_d782e16654
Pp.	w17_d782e16657
Piarum	w1_d782e16662
Scholarum	w3_d782e16665
ausserhalb	w5_d782e16668
des	w7_d782e16671
Klag=baums	w9_d782e16674
die	w1_d782e16679
Behausung	w3_d782e16682
zum	w5_d782e16685
blechernen	w7_d782e16688
Thurn,	w9_d782e16691
worinn	w11_d782e16694
ein	w13_d782e16698
grosser	w1_d782e16704
Obst=garten	w3_d782e16707
samt	w5_d782e16710
denen	w7_d782e16713
hierzu	w9_d782e16716
benöhtig	w11_d782e16719
ten	w1_d782e16724
Zimmern,	w3_d782e16727
Lusthaus,	w5_d782e16730
wie	w7_d782e16733
auch	w9_d782e16736
Stallungen,	w11_d782e16739
Böden,	w1_d782e16744
guten	w3_d782e16747
Kellern,	w5_d782e16750
einem	w7_d782e16753
grossen	w9_d782e16756
Stadel,	w11_d782e16759
Schütt=böden,	w1_d782e16764
vielen	w3_d782e16767
Wohn	w5_d782e16770
und	w7_d782e16773
Zinnszim	w9_d782e16776
mern,	w1_d782e16782
einer	w3_d782e16785
aufgehenden	w5_d782e16788
Roß=schwemmung,	w7_d782e16791
nebst	w9_d782e16794
einem	w1_d782e16799
grossen	w3_d782e16802
Einkehr=wirtshaus	w5_d782e16805
befindlich,	w7_d782e16808
auch	w9_d782e16811
ein	w1_d782e16816
erträglicher	w3_d782e16819
Ziegel=ofen	w5_d782e16822
zu	w7_d782e16825
errichten	w9_d782e16828
</p>
<p id="p44_d782e16841">
wäre,	w1_d782e16845
bemelte	w3_d782e16848
Behausung	w5_d782e16851
zu	w7_d782e16854
einer	w9_d782e16857
bequemen	w11_d782e16860
Fa	w13_d782e16864
brique	w1_d782e16869
oder	w3_d782e16872
anderer	w5_d782e16875
besonderer	w7_d782e16878
Nutz=niessung	w9_d782e16881
gar	w11_d782e16884
füglich	w1_d782e16889
appliciret	w3_d782e16892
werden	w5_d782e16895
könnte,	w7_d782e16898
zu	w9_d782e16901
verkaufen,	w11_d782e16904
wer	w1_d782e16910
selbe	w3_d782e16913
an	w5_d782e16916
sich	w7_d782e16919
zu	w9_d782e16922
bringen	w11_d782e16925
Willens	w13_d782e16929
wäre,	w15_d782e16932
beliebe	w17_d782e16935
sich	w1_d782e16940
bey	w3_d782e16943
dem	w5_d782e16946
allda	w7_d782e16949
befindlichen	w9_d782e16952
Hausmeister	w11_d782e16955
um	w13_d782e16959
das	w1_d782e16964
weitere	w3_d782e16967
fürzukehren,	w5_d782e16970
anmelden.	w7_d782e16973
</p>
<p id="p46_d782e16976">
Von	w1_d782e16980
der	w3_d782e16983
Verwalter=amts=canzley	w5_d782e16986
des	w7_d782e16989
allhie	w9_d782e16992
sigen	w1_d782e16997
grossen	w3_d782e17000
Armen=hauses	w5_d782e17003
in	w7_d782e17006
der	w9_d782e17009
Alstergassen	w11_d782e17012
wird	w1_d782e17017
hiermit	w3_d782e17020
jedermämiglich	w5_d782e17023
kund	w7_d782e17026
und	w9_d782e17029
zu	w11_d782e17032
wis	w13_d782e17036
sen	w1_d782e17042
gemacht:	w3_d782e17045
Es	w5_d782e17048
seye	w7_d782e17051
die	w9_d782e17054
erdeuten	w11_d782e17057
grossen	w13_d782e17061
Armen	w15_d782e17064
haus	w1_d782e17069
angehörig	w3_d782e17072
Schwarzlisch	w5_d782e17075
oder	w7_d782e17078
Neubauerische	w9_d782e17081
Behausung	w1_d782e17086
ohnweit	w3_d782e17089
der	w5_d782e17092
sogenannten	w7_d782e17095
Adler=zeil	w9_d782e17098
licitando	w1_d782e17103
plus	w3_d782e17106
offerenti	w5_d782e17109
zu	w7_d782e17112
verkaufen	w9_d782e17115
verordnet,	w11_d782e17118
auch	w1_d782e17124
hierzu	w3_d782e17127
der	w5_d782e17130
23ste	w7_d782e17133
künftigen	w9_d782e17136
Monats	w11_d782e17139
Augusti	w13_d782e17143
fruh	w1_d782e17148
um	w3_d782e17151
8.	w5_d782e17154
Uhr	w7_d782e17157
in	w9_d782e17160
der	w11_d782e17163
Armen=hauses	w13_d782e17167
Verwal	w15_d782e17170
teramts=canzey	w1_d782e17175
zu	w3_d782e17178
erscheinen	w5_d782e17181
bestimmet	w7_d782e17184
worden	w9_d782e17187
Solchemnach	w1_d782e17192
werden	w3_d782e17195
alle	w5_d782e17198
und	w7_d782e17201
jede,	w9_d782e17204
so	w11_d782e17207
ermeld	w13_d782e17211
tes	w1_d782e17217
Haus	w3_d782e17220
käuflich	w5_d782e17223
an	w7_d782e17226
sich	w9_d782e17229
zu	w11_d782e17232
bringen	w13_d782e17236
gedenken,	w15_d782e17239
bey	w1_d782e17244
solch	w3_d782e17247
bestimmter	w5_d782e17250
Licitations=tagsatzung	w7_d782e17253
ent	w9_d782e17256
weder	w1_d782e17261
selbst	w3_d782e17264
persönlich,	w5_d782e17267
oder	w7_d782e17270
durch	w9_d782e17273
genugsam	w11_d782e17276
Be	w13_d782e17280
vollmächtigte	w1_d782e17285
zu	w3_d782e17288
erscheinen	w5_d782e17291
haben,	w7_d782e17294
wo	w9_d782e17297
sodann	w11_d782e17300
das	w13_d782e17304
Weitere,	w1_d782e17310
der	w3_d782e17313
Ordnung	w5_d782e17316
nach,	w7_d782e17319
fürgekehret	w9_d782e17322
werden	w11_d782e17325
soll	w13_d782e17329
</p>
<list id="l48_d782e17333">
Von	w1_d782e17337
der	w3_d782e17340
Verwalter=amts=canzley	w5_d782e17343
des	w7_d782e17346
allhie	w9_d782e17349
</list>
<list id="l50_d782e17353">
Bey	w1_d782e17357
Augustin	w3_d782e17360
Bernardi,	w5_d782e17363
Universitätsbuchhänd	w7_d782e17366
</list>
<list id="l52_d782e17370">
de	w1_d782e17374
Basse=Fontaine	w3_d782e17377
und	w5_d782e17380
königl.	w7_d782e17383
Hofpredigers,	w9_d782e17386
ge	w11_d782e17389
sammte	w1_d782e17394
Predigten,	w3_d782e17397
aus	w5_d782e17400
dem	w7_d782e17403
Französischen	w9_d782e17406
über	w11_d782e17409
setzt.	w1_d782e17414
Der	w3_d782e17417
Fastenpredigten	w5_d782e17420
1.	w7_d782e17423
2.	w9_d782e17426
3ter	w11_d782e17429
Theil,	w13_d782e17433
gr.	w15_d782e17436
8vo	w1_d782e17442
Augsp.	w3_d782e17445
1763.	w5_d782e17448
2.	w7_d782e17451
fl.	w9_d782e17454
15.	w11_d782e17457
kr.	w13_d782e17461
P.	w1_d782e17466
Gervasii	w3_d782e17469
Pulfers	w5_d782e17472
O.	w7_d782e17475
S.	w9_d782e17478
B.	w11_d782e17481
evangelischer	w13_d782e17485
Kauf	w15_d782e17488
