<doc id="wr_1761-03-14" attrs="word" year="1761" month="03" day="14" corpus="2">
<head id="h2_d535e2483">
Barcellona	w1_d535e2487
daß	w11_d535e13376
der	w1_d535e13382
oder	w3_d535e13385
diejenige,	w5_d535e13388
so	w7_d535e13391
obgedachte	w9_d535e13394
N.	w11_d535e13397
Oe	w13_d535e13401
Land	w15_d535e13404
schafts=obligation	w1_d535e13409
und	w3_d535e13412
Ceßion	w5_d535e13415
bereits	w7_d535e13418
in	w9_d535e13421
Handen	w11_d535e13424
haben,	w1_d535e13429
oder	w3_d535e13432
annoch	w5_d535e13435
überkommen	w7_d535e13438
möchten,	w9_d535e13441
wie	w11_d535e13444
auch	w1_d535e13449
diejenige,	w3_d535e13452
welche	w5_d535e13455
ansonsten	w7_d535e13458
einige	w9_d535e13461
Sprüch	w11_d535e13464
und	w1_d535e13470
Anforderungen	w3_d535e13473
hierauf	w5_d535e13476
zu	w7_d535e13479
haben	w9_d535e13482
vermeinen,	w11_d535e13485
sich	w1_d535e13490
innerhalb	w3_d535e13493
eines	w5_d535e13496
Jahrs,	w7_d535e13499
6.	w9_d535e13502
Wochen	w11_d535e13505
und	w13_d535e13509
3.	w15_d535e13512
Tägen	w1_d535e13517
bey	w3_d535e13520
diesem	w5_d535e13523
Gericht	w7_d535e13526
also	w9_d535e13529
gewiß	w11_d535e13532
behörig	w13_d535e13536
mel	w15_d535e13539
den,	w1_d535e13544
und	w3_d535e13547
hierzu	w5_d535e13550
legitimiren,	w7_d535e13553
wie	w9_d535e13556
im	w11_d535e13559
widrigen	w13_d535e13563
nach	w1_d535e13569
Verfliessung	w3_d535e13572
dieses	w5_d535e13575
Termins	w7_d535e13578
wiederholte	w9_d535e13581
Ob	w11_d535e13584
ligation	w1_d535e13589
samt	w3_d535e13592
Ceßion	w5_d535e13595
ausgefertiget	w7_d535e13598
werden	w9_d535e13601
solle.	w11_d535e13604
An	w1_d535e13609
dem	w3_d535e13612
beschiehet	w5_d535e13615
allerhöchst	w7_d535e13618
gedacht	w9_d535e13621
Jhrer	w11_d535e13624
Kais.	w13_d535e13628
Königl.	w1_d535e13633
Majest.	w3_d535e13636
unserer	w5_d535e13639
allergnädigsten	w7_d535e13642
Frauen	w9_d535e13645
</p>
<p id="p8_d535e13648">
ernstlicher	w1_d535e13652
Willen	w3_d535e13655
und	w5_d535e13658
Meinung.	w7_d535e13661
Wien	w9_d535e13664
den	w11_d535e13667
28	w13_d535e13671
Febr.	w1_d535e13676
1761.	w3_d535e13679
</p>
<p id="p10_d535e13682">
Auf	w1_d535e13686
den	w3_d535e13689
4.	w5_d535e13692
nächst	w7_d535e13695
künftigen	w9_d535e13698
Monats	w11_d535e13701
Aprilis	w13_d535e13705
werden	w1_d535e13710
auf	w3_d535e13713
dem	w5_d535e13716
Graben	w7_d535e13719
im	w9_d535e13722
Wöberischen	w11_d535e13725
Haus	w13_d535e13729
habenden	w1_d535e13734
Keller	w3_d535e13737
fruh	w5_d535e13740
um	w7_d535e13743
9.	w9_d535e13746
Uhr	w11_d535e13749
verschiedene	w13_d535e13753
alte	w15_d535e13756
Oesterreicher=weine	w1_d535e13762
plus	w3_d535e13765
offerenti	w5_d535e13768
verkauffet	w7_d535e13771
wer	w9_d535e13774
den;	w1_d535e13779
wem	w3_d535e13782
solche	w5_d535e13785
beliebig	w7_d535e13788
zu	w9_d535e13791
kauffen,	w11_d535e13794
kan	w13_d535e13798
sich	w15_d535e13801
am	w1_d535e13806
bestimmten	w3_d535e13809
Tag	w5_d535e13812
und	w7_d535e13815
Stund	w9_d535e13818
alda	w11_d535e13821
einfinden.	w13_d535e13825
</p>
<list id="l12_d535e13829">
Welt=kugel	w1_d535e13833
in	w3_d535e13836
dem	w5_d535e13839
Seitzer=hof	w7_d535e13842
ist	w9_d535e13845
zu	w11_d535e13848
haben:	w13_d535e13852
Hebdomada	w1_d535e13857
sancta	w3_d535e13860
clucidata,	w5_d535e13863
seu	w7_d535e13866
Officium	w9_d535e13869
hebdomadæ	w1_d535e13874
sanctæ	w3_d535e13877
secundum	w5_d535e13880
Missale	w7_d535e13883
&	w9_d535e13886
Brevia-	w11_d535e13889
rium	w1_d535e13895
Romanum	w3_d535e13898
Pii	w5_d535e13901
V.	w7_d535e13904
Pontis.	w9_d535e13907
M.	w11_d535e13910
jussu	w13_d535e13914
edi-	w15_d535e13917
tum	w1_d535e13922
Clementis	w3_d535e13925
VIII.	w5_d535e13928
&	w7_d535e13931
Urbani	w9_d535e13934
VIII.	w11_d535e13937
auctori-	w13_d535e13941
tate	w1_d535e13946
recognitum,	w3_d535e13949
variis	w5_d535e13952
expositionibus	w7_d535e13955
illustra-	w9_d535e13958
tum,	w1_d535e13963
accessit	w3_d535e13966
in	w5_d535e13969
fine	w7_d535e13972
cujusque	w9_d535e13975
dici	w11_d535e13978
ordine	w13_d535e13982
Al-	w15_d535e13985
phabetico	w1_d535e13991
brevis	w3_d535e13994
instructio	w5_d535e13997
circa	w7_d535e14000
sacras	w9_d535e14003
Ceremo	w11_d535e14006
nias	w1_d535e14011
eodem	w3_d535e14014
die	w5_d535e14017
observandas:	w7_d535e14020
imprimis	w9_d535e14023
Ministrit	w11_d535e14026
altaris	w1_d535e14031
utilis	w3_d535e14034
&	w5_d535e14037
necessaria,	w7_d535e14040
per	w9_d535e14043
P.	w11_d535e14046
Columb.	w13_d535e14050
Lux,	w15_d535e14053
Ord.	w1_d535e14058
S.	w3_d535e14061
Benedicti,	w5_d535e14064
2.	w7_d535e14067
partes	w9_d535e14070
8.	w11_d535e14073
Ginsburgi	w13_d535e14077
1760.	w15_d535e14080
à	w1_d535e14086
1.	w3_d535e14089
fl.	w5_d535e14092
S.	w1_d535e14097
Gregorii	w3_d535e14100
Papæ	w5_d535e14103
l.	w7_d535e14106
cognomento	w9_d535e14109
Magni	w11_d535e14112
XL.	w13_d535e14116
Homiliarum	w1_d535e14121
in	w3_d535e14124
Evangelici	w5_d535e14127
Libri	w7_d535e14130
II.	w9_d535e14133
secundum	w11_d535e14136
editionem	w1_d535e14141
operum	w3_d535e14144
illius	w5_d535e14147
a	w7_d535e14150
Monachis	w9_d535e14153
Benedicti-	w11_d535e14156
nis	w1_d535e14162
Congreg.	w3_d535e14165
S.	w5_d535e14168
Mauri	w7_d535e14171
in	w9_d535e14174
Gallia	w11_d535e14177
adornatum,	w13_d535e14181
maj	w15_d535e14184
8.	w1_d535e14189
Aug.	w3_d535e14192
Vind.	w5_d535e14195
1761.	w7_d535e14198
à	w9_d535e14201
1.	w11_d535e14204
fl.	w13_d535e14208
25.	w15_d535e14211
kr.	w17_d535e14214
</list>
<p id="p14_d535e14218">
Jn	w1_d535e14222
des	w3_d535e14225
Joseph	w5_d535e14228
Krüchtens	w7_d535e14231
Buch=gewölb	w9_d535e14234
bey	w11_d535e14237
der	w13_d535e14241
</p>
<p id="p16_d535e14244">
Wir	w1_d535e14248
Endes	w3_d535e14251
gefertigte	w5_d535e14254
von	w7_d535e14257
einem	w9_d535e14260
Löbl.	w11_d535e14263
Land	w13_d535e14267
marschallischen	w1_d535e14272
Gericht	w3_d535e14275
verordnete	w5_d535e14278
Commissarien	w7_d535e14281
fügen	w1_d535e14286
N.	w3_d535e14289
allen	w5_d535e14292
und	w7_d535e14295
jeden,	w9_d535e14298
so	w11_d535e14301
an	w13_d535e14305
weil.	w15_d535e14308
Herrn	w17_d535e14311
Max	w19_d535e14314
Schwarz,	w1_d535e14320
N.	w3_d535e14323
Oe.	w5_d535e14326
Landschafts=buchhalterey=offician	w7_d535e14329
tens	w1_d535e14334
seeligen	w3_d535e14337
Verlassenschafts=sprüch,	w5_d535e14340
und	w7_d535e14343
Anfor	w9_d535e14346
derungen	w1_d535e14351
haben,	w3_d535e14354
oder	w5_d535e14357
zu	w7_d535e14360
haben	w9_d535e14363
vermeinen,	w11_d535e14366
hie	w13_d535e14370
mit	w1_d535e14375
zu	w3_d535e14378
wissen:	w5_d535e14381
Welcher	w7_d535e14384
gestalten	w9_d535e14387
wir	w11_d535e14390
auf	w13_d535e14394
Anlan	w15_d535e14397
gen	w1_d535e14403
des	w3_d535e14406
Max	w5_d535e14409
Schwarzischen	w7_d535e14412
Curatoris,	w9_d535e14415
Herrn	w11_d535e14418
Do	w13_d535e14422
ctoris	w1_d535e14427
Haggenmüllers,	w3_d535e14430
und	w5_d535e14433
hierüber	w7_d535e14436
an	w9_d535e14439
uus	w11_d535e14442
er	w13_d535e14446
gangene	w1_d535e14451
gerichtliche	w3_d535e14454
Auflag	w5_d535e14457
eine	w7_d535e14460
peremptorie	w9_d535e14463
cläu	w11_d535e14466
sulirte	w1_d535e14471
Convocations	w3_d535e14474
tag=satzung	w5_d535e14477
auf	w7_d535e14480
den	w9_d535e14483
6.	w11_d535e14486
April	w13_d535e14490
des	w1_d535e14496
Jahrs	w3_d535e14499
Nachmittag	w5_d535e14502
um	w7_d535e14505
2.	w9_d535e14508
Uhr	w11_d535e14511
in	w13_d535e14515
mein	w15_d535e14518
Land	w17_d535e14521
schreibers	w1_d535e14526
in	w3_d535e14529
der	w5_d535e14532
Wallzeil	w7_d535e14535
im	w9_d535e14538
Hartenbergischen	w11_d535e14541
Haus	w1_d535e14546
in	w3_d535e14549
2ten	w5_d535e14552
Stock	w7_d535e14555
habenden	w9_d535e14558
Wohnung	w11_d535e14561
zu	w13_d535e14565
erschei	w15_d535e14568
nen	w1_d535e14573
pro	w3_d535e14576
1mo,	w5_d535e14579
2do,	w7_d535e14582
3tio,	w9_d535e14585
ac	w11_d535e14588
ultimo	w13_d535e14592
termino	w15_d535e14595
be	w17_d535e14598
stimmet	w1_d535e14604
haben.	w3_d535e14607
Solchemnach	w5_d535e14610
werden	w7_d535e14613
all	w9_d535e14616
und	w11_d535e14619
je	w13_d535e14623
de	w1_d535e14628
Jntereßirte,	w3_d535e14631
so	w5_d535e14634
an	w7_d535e14637
obgedacht=Schwarzische	w9_d535e14640
Verlassenschaft	w1_d535e14645
Sprüch	w3_d535e14648
und	w5_d535e14651
Anforderungen	w7_d535e14654
haben,	w9_d535e14657
oder	w1_d535e14662
zu	w3_d535e14665
haben	w5_d535e14668
vermeinen,	w7_d535e14671
am	w9_d535e14674
obgedachten	w11_d535e14677
Tag,	w13_d535e14681
Stund	w1_d535e14687
und	w3_d535e14690
Ort	w5_d535e14693
also	w7_d535e14696
gewiß	w9_d535e14699
persönlich,	w11_d535e14702
oder	w13_d535e14706
durch	w15_d535e14709
genugsam	w1_d535e14714
Gevollmächtigte	w3_d535e14717
erscheinen,	w5_d535e14720
ihre	w7_d535e14723
Sprüch	w9_d535e14726
anmelden,	w1_d535e14731
und	w3_d535e14734
zugleich	w5_d535e14737
behörig	w7_d535e14740
liquidiren,	w9_d535e14743
als	w11_d535e14746
im	w1_d535e14751
widrigen	w3_d535e14754
die	w5_d535e14757
Anwesende	w7_d535e14760
vernommen,	w9_d535e14763
die	w11_d535e14766
Ab	w13_d535e14770
handlung	w1_d535e14776
vorgenommen,	w3_d535e14779
hierüber	w5_d535e14782
relationiret,	w7_d535e14785
denen	w1_d535e14790
Ausbleibenden	w3_d535e14793
aber	w5_d535e14796
das	w7_d535e14799
ewige	w9_d535e14802
Stillschwei	w11_d535e14805
gen	w1_d535e14810
auferleget	w3_d535e14813
werden	w5_d535e14816
solle.	w7_d535e14819
Actum	w9_d535e14822
Wien	w11_d535e14825
den	w13_d535e14829
12.	w1_d535e14834
Januarii	w3_d535e14837
1761.	w5_d535e14840
Gabriel	w1_d535e14846
Jos.	w3_d535e14849
Stettner.	w5_d535e14852
Franz	w7_d535e14855
Bernh.	w9_d535e14858
Edl.	w11_d535e14861
v.	w13_d535e14865
Keeß,	w15_d535e14868
</p>
<p id="p22_d535e14887">
Es	w1_d535e14891
ist	w3_d535e14894
täglich	w5_d535e14897
zu	w7_d535e14900
verkauffen	w9_d535e14903
ein	w11_d535e14906
vier=sitziger	w13_d535e14910
Da	w15_d535e14913
mes=wagen	w1_d535e14918
nach	w3_d535e14921
der	w5_d535e14924
neuesten	w7_d535e14927
Französischen	w9_d535e14930
Mode	w11_d535e14933
mit	w1_d535e14938
Rot=carmoisin=farben	w3_d535e14941
plusch	w5_d535e14944
gefüttert,	w7_d535e14947
und	w9_d535e14950
gleichen	w1_d535e14956
Creppinen.	w3_d535e14959
Jtem	w5_d535e14962
2.	w7_d535e14965
Häng=leuchter	w9_d535e14968
auf	w11_d535e14971
die	w1_d535e14976
allerneueste	w3_d535e14979
Art	w5_d535e14982
von	w7_d535e14985
Berg=cristall	w9_d535e14988
mit	w11_d535e14991
porcel	w13_d535e14995
lainen	w1_d535e15000
Blumen	w3_d535e15003
gezietet,	w5_d535e15006
jede	w7_d535e15009
deren	w9_d535e15012
haltet	w11_d535e15015
9.	w13_d535e15019
Lich	w15_d535e15022
ter.	w1_d535e15027
Jtem	w3_d535e15030
2.	w5_d535e15033
Spiegel=wänd	w7_d535e15036
von	w9_d535e15039
einem	w11_d535e15042
ganz	w13_d535e15046
be	w15_d535e15049
sonderen	w1_d535e15055
neuen	w3_d535e15058
Geschmack	w5_d535e15061
von	w7_d535e15064
Lacque	w9_d535e15067
Martin,	w11_d535e15070
worauf	w1_d535e15075
spielende	w3_d535e15078
Kinder,	w5_d535e15081
und	w7_d535e15084
Blumen	w9_d535e15087
gemahlen	w11_d535e15090
seynd.	w1_d535e15095
Darzu	w3_d535e15098
gehören	w5_d535e15101
4.	w7_d535e15104
Arm=leuchter	w9_d535e15107
von	w11_d535e15110
grün	w13_d535e15114
gefirneistem	w1_d535e15119
Laub=werk,	w3_d535e15122
und	w5_d535e15125
porcellainen	w7_d535e15128
Blumen.	w9_d535e15131
Wer	w1_d535e15137
solche	w3_d535e15140
besehen	w5_d535e15143
oder	w7_d535e15146
kauffen	w9_d535e15149
will,	w11_d535e15152
kan	w13_d535e15156
sich	w15_d535e15159
bey	w17_d535e15162
dem	w1_d535e15167
Herrn	w3_d535e15170
Jnspector	w5_d535e15173
des	w7_d535e15176
Herrn	w9_d535e15179
Grafens	w11_d535e15182
Maxi	w13_d535e15186
milian	w1_d535e15191
Daun	w3_d535e15194
in	w5_d535e15197
der	w7_d535e15200
Teinfalt	w9_d535e15203
strassen,	w11_d535e15206
dem	w13_d535e15210
Fla	w15_d535e15213
schingischen	w1_d535e15218
Haus	w3_d535e15221
gegen	w5_d535e15224
über	w7_d535e15227
anfragen.	w9_d535e15230
</p>
<p id="p24_d535e15234">
Von	w1_d535e15238
der	w3_d535e15241
Herrschafr	w5_d535e15244
Streberstorf	w7_d535e15247
wird	w9_d535e15250
hiemit	w11_d535e15253
durch	w1_d535e15258
dieses	w3_d535e15261
offene	w5_d535e15264
Edict	w7_d535e15267
jedermänniglich	w9_d535e15270
zu	w11_d535e15273
ver	w13_d535e15277
nehmen	w1_d535e15282
gegeben:	w3_d535e15285
wasgestalten	w5_d535e15288
nach	w7_d535e15291
Absterben	w9_d535e15294
Franz	w1_d535e15300
Krammer,	w3_d535e15303
gewesten	w5_d535e15306
Pfleger	w7_d535e15309
zu	w9_d535e15312
Streber	w11_d535e15315
storf	w1_d535e15320
seel.	w3_d535e15323
alle	w5_d535e15326
und	w7_d535e15329
jede,	w9_d535e15332
so	w11_d535e15335
an	w13_d535e15339
dessen	w15_d535e15342
Verlassen.	w17_d535e15345
schaft	w1_d535e15350
einige	w3_d535e15353
Sprüche	w5_d535e15356
und	w7_d535e15359
Forderungen	w9_d535e15362
zu	w11_d535e15365
haben	w13_d535e15369
vermeinen,	w1_d535e15374
vorzuforderen,	w3_d535e15377
mit	w5_d535e15380
diesem	w7_d535e15383
zu	w9_d535e15386
liqui	w11_d535e15389
diren,	w1_d535e15395
und	w3_d535e15398
in	w5_d535e15401
Sachen	w7_d535e15404
weiters	w9_d535e15407
der	w11_d535e15410
Ordnung	w13_d535e15414
nach	w15_d535e15417
vorzugehen,	w1_d535e15422
eine	w3_d535e15425
Nohtwendigkeit	w5_d535e15428
zu	w7_d535e15431
seyn	w9_d535e15434
befun	w11_d535e15437
den	w1_d535e15442
worden;	w3_d535e15445
Wann	w5_d535e15448
nun	w7_d535e15451
zur	w9_d535e15454
Anmeld	w11_d535e15457
und	w13_d535e15461
Liqui	w15_d535e15464
dirung	w1_d535e15469
deren	w3_d535e15472
in	w5_d535e15475
Vorschein	w7_d535e15478
kommen	w9_d535e15481
mögenden	w11_d535e15484
For	w13_d535e15488
derungen	w1_d535e15494
der	w3_d535e15497
26.	w5_d535e15500
Martii	w7_d535e15503
dies	w9_d535e15506
lauffenden	w11_d535e15509
Jahrs,	w13_d535e15513
ungehindert	w1_d535e15518
der	w3_d535e15521
Oster=ferien	w5_d535e15524
pro	w7_d535e15527
1mo.	w9_d535e15530
2do.	w11_d535e15533
&	w13_d535e15537
3tio.	w1_d535e15542
Termino	w3_d535e15545
peremptorie	w5_d535e15548
vorgestellet	w7_d535e15551
worden,	w9_d535e15554
als	w1_d535e15559
werden	w3_d535e15562
alle	w5_d535e15565
und	w7_d535e15568
jede,	w9_d535e15571
welche	w11_d535e15574
an	w13_d535e15578
ersagt	w15_d535e15581
des	w17_d535e15584
Franz	w1_d535e15590
Krammers	w3_d535e15593
seel.	w5_d535e15596
Verlassenschaft	w7_d535e15599
ex	w9_d535e15602
quocun	w11_d535e15605
que	w1_d535e15610
demum	w3_d535e15613
Titulo	w5_d535e15616
einige	w7_d535e15619
Sprüch	w9_d535e15622
und	w11_d535e15625
Forderun	w13_d535e15629
gen	w1_d535e15634
zu	w3_d535e15637
machen	w5_d535e15640
vermeinen,	w7_d535e15643
den	w9_d535e15646
26.	w11_d535e15649
Martii	w13_d535e15653
dies	w15_d535e15656
Jahrs	w1_d535e15661
fruh	w3_d535e15664
um	w5_d535e15667
8.	w7_d535e15670
Uhr,	w9_d535e15673
ungehindert	w11_d535e15676
deren	w13_d535e15680
Oster	w15_d535e15683
ferien	w1_d535e15689
in	w3_d535e15692
der	w5_d535e15695
Herrschafts=canzley	w7_d535e15698
zu	w9_d535e15701
Streber	w11_d535e15704
storf	w1_d535e15709
also	w3_d535e15712
gewiß	w5_d535e15715
zu	w7_d535e15718
erscheinen,	w9_d535e15721
die	w11_d535e15724
habende	w13_d535e15728
For	w15_d535e15731
derungen	w1_d535e15736
anzumelden,	w3_d535e15739
und	w5_d535e15742
Rechts=erforderlich	w7_d535e15745
zu	w1_d535e15750
liquidiren	w3_d535e15753
haben;	w5_d535e15756
als	w7_d535e15759
im	w9_d535e15762
widrigen	w11_d535e15765
jene,	w13_d535e15769
wel	w15_d535e15772
che	w1_d535e15778
sich	w3_d535e15781
gar	w5_d535e15784
nicht	w7_d535e15787
anmelden,	w9_d535e15790
oder	w11_d535e15793
die	w13_d535e15797
anmeldende	w15_d535e15800
Forderungen	w1_d535e15805
behörig	w3_d535e15808
nicht	w5_d535e15811
liquidiren,	w7_d535e15814
von	w9_d535e15817
der	w11_d535e15820
Franz	w1_d535e15825
Krammerischen	w3_d535e15828
Verlassenschaft	w5_d535e15831
abgewiesen,	w7_d535e15834
und	w1_d535e15839
solchen	w3_d535e15842
das	w5_d535e15845
ewige	w7_d535e15848
Stillschweigen	w9_d535e15851
auferlegt	w11_d535e15854
seyn	w1_d535e15860
solle.	w3_d535e15863
</p>
<p id="p26_d535e15866">
Den	w1_d535e15870
27.	w3_d535e15873
Maxtii	w5_d535e15876
werden	w7_d535e15879
auf	w9_d535e15882
Verordnung	w11_d535e15885
einer	w13_d535e15889
Hochlöbl.	w1_d535e15894
Kaisebl.	w3_d535e15897
Königl.	w5_d535e15900
N.	w7_d535e15903
Ot.	w9_d535e15906
Justitzbaneo	w11_d535e15909
depntation	w1_d535e15914
in	w3_d535e15917
dem	w5_d535e15920
sogenannt=Leichsnerischen	w7_d535e15923
Haus	w9_d535e15926
in	w1_d535e15932
der	w3_d535e15935
Leopoldstadt	w5_d535e15938
am	w7_d535e15941
scharffen	w9_d535e15944
Eck	w11_d535e15947
verschiedene	w13_d535e15951
Türkisch	w1_d535e15956
und	w3_d535e15959
andere	w5_d535e15962
Glaß=waaren	w7_d535e15965
Vormittags	w9_d535e15968
von	w1_d535e15973
9.	w3_d535e15976
bis	w5_d535e15979
12.	w7_d535e15982
und	w9_d535e15985
Nachmittags	w11_d535e15988
von	w13_d535e15992
3.	w15_d535e15995
bis	w17_d535e15998
6.	w19_d535e16001
Uhr	w1_d535e16006
licitando	w3_d535e16009
dem	w5_d535e16012
Meistbietenden	w7_d535e16015
verkauft	w9_d535e16018
werden.	w11_d535e16021
</p>
<p id="p28_d535e16029">
Wir	w1_d535e16033
Burgermeister,	w3_d535e16036
Amts=verwalter	w5_d535e16039
und	w7_d535e16042
Raht	w9_d535e16045
der	w1_d535e16050
Stadt	w3_d535e16053
Wien,	w5_d535e16056
geben	w7_d535e16059
hiemit	w9_d535e16062
durch	w11_d535e16065
dieses	w13_d535e16069
of	w15_d535e16072
fene	w1_d535e16077
Edict	w3_d535e16080
jedermänniglich	w5_d535e16083
zu	w7_d535e16086
vernehmen,	w9_d535e16089
was	w11_d535e16092
gestalten	w1_d535e16098
wir	w3_d535e16101
über	w5_d535e16104
schriftlich	w7_d535e16107
beschehenes	w9_d535e16110
Anlan	w11_d535e16113
gen	w1_d535e16118
und	w3_d535e16121
Bitten	w5_d535e16124
des	w7_d535e16127
Stuschischen	w9_d535e16130
Herrn	w11_d535e16133
Curato-	w13_d535e16137
</p>
<p id="p30_d535e16140">
ris	w1_d535e16144
ad	w3_d535e16147
actum	w5_d535e16150
contra	w7_d535e16153
Frauen	w9_d535e16156
Eleonoram	w11_d535e16159
Stuschin,	w13_d535e16163
Wittib	w1_d535e16168
unterm	w3_d535e16171
7.	w5_d535e16174
Januarii	w7_d535e16177
dies	w9_d535e16180
Jahrs	w11_d535e16183
in	w13_d535e16187
ein	w15_d535e16190
ge	w17_d535e16193
wöhnliches	w1_d535e16198
Licitations=edict	w3_d535e16201
gewilliget,	w5_d535e16204
und	w7_d535e16207
ver	w9_d535e16210
ordnet	w1_d535e16216
haben,	w3_d535e16219
daß	w5_d535e16222
die	w7_d535e16225
Stuschische	w9_d535e16228
Behausung	w11_d535e16231
zu	w1_d535e16236
Döbling	w3_d535e16239
offentlich	w5_d535e16242
ausgefeilet,	w7_d535e16245
und	w9_d535e16248
dem	w11_d535e16251
Meist	w13_d535e16255
bietenden	w1_d535e16260
verkauffet	w3_d535e16263
werden	w5_d535e16266
solle;	w7_d535e16269
da	w9_d535e16272
nun	w11_d535e16275
hierzu	w13_d535e16279
der	w1_d535e16284
14.	w3_d535e16287
Monats=tag	w5_d535e16290
Martii	w7_d535e16293
lauffenden	w9_d535e16296
1761.	w11_d535e16299
Jahrs	w1_d535e16305
zur	w3_d535e16308
Tagsatzung	w5_d535e16311
bestimmet	w7_d535e16314
worden	w9_d535e16317
ist,	w11_d535e16320
als	w13_d535e16324
wird	w1_d535e16329
ein	w3_d535e16332
solches	w5_d535e16335
hiemit	w7_d535e16338
jedermann,	w9_d535e16341
wer	w11_d535e16344
etwann	w13_d535e16348
dieses	w1_d535e16353
Haus	w3_d535e16356
käuflichen	w5_d535e16359
an	w7_d535e16362
sich	w9_d535e16365
zu	w11_d535e16368
bringen	w13_d535e16372
gesin	w15_d535e16375
net	w1_d535e16380
ist,	w3_d535e16383
mit	w5_d535e16386
diesem	w7_d535e16389
Edict	w9_d535e16392
zu	w11_d535e16395
dem	w13_d535e16399
Ende	w15_d535e16402
kund,	w17_d535e16405
und	w1_d535e16411
zu	w3_d535e16414
wissen	w5_d535e16417
gemacht,	w7_d535e16420
damit	w9_d535e16423
ein	w11_d535e16426
sich	w13_d535e16430
hervor	w15_d535e16433
thuender	w1_d535e16438
Kauffer	w3_d535e16441
bey	w5_d535e16444
obbemeldt=bestimmten	w7_d535e16447
Li	w9_d535e16450
citations=tagsatzung	w1_d535e16455
fruh	w3_d535e16458
um	w5_d535e16461
9.	w7_d535e16464
Uhr,	w9_d535e16467
oder	w11_d535e16470
da	w13_d535e16474
wir	w1_d535e16479
selbigen	w3_d535e16482
Tags	w5_d535e16485
etwa	w7_d535e16488
anderer	w9_d535e16491
Geschäften	w11_d535e16494
hal	w13_d535e16498
ber	w1_d535e16504
nicht	w3_d535e16507
zu	w5_d535e16510
Raht	w7_d535e16513
sitzeten,	w9_d535e16516
den	w11_d535e16519
nächst	w13_d535e16523
darauf	w15_d535e16526
folgenden	w1_d535e16531
Rahts=tag	w3_d535e16534
vor	w5_d535e16537
uns	w7_d535e16540
erscheinen,	w9_d535e16543
und	w11_d535e16546
sich	w1_d535e16551
bey	w3_d535e16554
unser,	w5_d535e16557
und	w7_d535e16560
gemeiner	w9_d535e16563
Stadt	w11_d535e16566
Pupillen	w13_d535e16570
rait=cammer	w1_d535e16575
durch	w3_d535e16578
den	w5_d535e16581
daselbstigen	w7_d535e16584
Amtsschrei	w9_d535e16587
ber	w1_d535e16593
anmelden	w3_d535e16596
lassen	w5_d535e16599
möge,	w7_d535e16602
allwo	w9_d535e16605
sodann	w11_d535e16608
das	w13_d535e16612
Weiter=behörige	w1_d535e16617
tractiret	w3_d535e16620
werden	w5_d535e16623
solle.	w7_d535e16626
</p>
<p id="p32_d535e16629">
Es	w1_d535e16633
ist	w3_d535e16636
auf	w5_d535e16639
der	w7_d535e16642
Mauer,	w9_d535e16645
unweit	w11_d535e16648
Schönbrunn	w13_d535e16652
ein	w15_d535e16655
Herrschafts=haus	w1_d535e16660
mit	w3_d535e16663
Meublen,	w5_d535e16666
so	w7_d535e16669
auf	w9_d535e16672
einer	w11_d535e16675
sehr	w1_d535e16680
angenehmen	w3_d535e16683
Gegend	w5_d535e16686
und	w7_d535e16689
weitem	w9_d535e16692
Aussehen	w11_d535e16695
liget,	w1_d535e16701
diesen	w3_d535e16704
Sommer	w5_d535e16707
hindurch	w7_d535e16710
zu	w9_d535e16713
verlassen;	w11_d535e16716
wer	w1_d535e16721
solches	w3_d535e16724
bestehen	w5_d535e16727
will,	w7_d535e16730
hat	w9_d535e16733
sich	w11_d535e16736
in	w13_d535e16740
dem	w15_d535e16743
soge	w17_d535e16746
nannt=Baron	w1_d535e16751
Oettlischen	w3_d535e16754
Haus	w5_d535e16757
nächst	w7_d535e16760
dem	w9_d535e16763
Cärnt	w11_d535e16766
ner=thor	w1_d535e16771
im	w3_d535e16774
dritten	w5_d535e16777
Stock	w7_d535e16780
anzumelden.	w9_d535e16783
</p>
<p id="p34_d535e16786">
Von	w1_d535e16790
des	w3_d535e16793
Löbl.	w5_d535e16796
Kaiserl.	w7_d535e16799
Herren=stifts	w9_d535e16802
St.	w11_d535e16805
Do	w13_d535e16809
rothe	w1_d535e16814
Grund=buchs	w3_d535e16817
wegen,	w5_d535e16820
wird	w7_d535e16823
hiemit	w9_d535e16826
noch	w11_d535e16829
malen	w1_d535e16834
jedermänniglich	w3_d535e16837
zu	w5_d535e16840
vernehmen	w7_d535e16843
gegeben,	w9_d535e16846
was	w1_d535e16852
massen	w3_d535e16855
bey	w5_d535e16858
der	w7_d535e16861
den	w9_d535e16864
19.	w11_d535e16867
dies	w13_d535e16871
Monats	w15_d535e16874
und	w17_d535e16877
Jahrs	w1_d535e16882
um	w3_d535e16885
des	w5_d535e16888
Andrä	w7_d535e16891
Krieg	w9_d535e16894
seel.	w11_d535e16897
hinterlassene,	w13_d535e16901
in	w1_d535e16906
der	w3_d535e16909
Pflug=gassen	w5_d535e16912
am	w7_d535e16915
Frey=grund	w9_d535e16918
Thuri	w11_d535e16921
li	w13_d535e16925
gende,	w1_d535e16930
zur	w3_d535e16933
goldenen	w5_d535e16936
Sonn	w7_d535e16939
benamste	w9_d535e16942
Behausung	w11_d535e16945
angeordnet	w1_d535e16951
gewesten	w3_d535e16954
