<doc id="wr_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="2">
<head id="h2_d677e3437">
Warschau	w1_d677e3441
denselben	w13_d677e27509
war.	w15_d677e27512
Sein	w17_d677e27515
unabläßliches	w19_d677e27518
obwol	w21_d677e27521
unüberleg	w23_d677e27524
tes	w1_d677e27529
Bemühen	w3_d677e27532
in	w5_d677e27535
dergleichen	w7_d677e27538
dem	w9_d677e27541
Reiche	w11_d677e27544
schädlichen	w13_d677e27548
Neuerungen	w15_d677e27551
machten	w17_d677e27554
zuletzt	w19_d677e27557
die	w21_d677e27560
Gemüh	w23_d677e27563
ter	w1_d677e27568
der	w3_d677e27571
Rußischen	w5_d677e27574
Nation,	w7_d677e27577
und	w9_d677e27580
ihre	w11_d677e27583
Treue	w13_d677e27587
von	w15_d677e27590
dem	w17_d677e27593
Gehorsam	w19_d677e27596
gegen	w21_d677e27599
ihn	w23_d677e27602
dergestalt	w25_d677e27606
abwendig,	w27_d677e27609
daß	w1_d677e27615
kein	w3_d677e27618
einiger	w5_d677e27621
übrig	w7_d677e27624
blieb,	w9_d677e27627
der	w11_d677e27630
nicht	w13_d677e27634
mit	w15_d677e27637
lautch	w17_d677e27640
Stimme	w19_d677e27643
ohne	w21_d677e27646
alle	w23_d677e27649
Scheu	w25_d677e27653
und	w27_d677e27656
Erzittern	w29_d677e27659
seine	w1_d677e27664
Unzufriedenheit	w3_d677e27667
über	w5_d677e27670
ihn	w7_d677e27673
bezeigte,	w9_d677e27676
und	w11_d677e27679
nicht	w13_d677e27683
bereit	w15_d677e27686
war,	w17_d677e27689
an	w19_d677e27692
seiner	w21_d677e27695
Person	w23_d677e27698
selbst	w25_d677e27702
Rache	w27_d677e27705
auszuüben.	w1_d677e27710
Doch	w3_d677e27713
das	w5_d677e27716
Göttliche	w7_d677e27719
Gebot,	w9_d677e27722
welches	w11_d677e27725
in	w13_d677e27729
dem	w15_d677e27732
Herzen	w17_d677e27735
Unserer	w19_d677e27738
getreuen	w21_d677e27741
Untertha	w23_d677e27744
nen	w1_d677e27749
wohnet,	w3_d677e27752
und	w5_d677e27755
sie	w7_d677e27758
in	w9_d677e27761
der	w11_d677e27764
Ehrforcht	w13_d677e27768
gegen	w15_d677e27771
ihre	w17_d677e27774
Obrigkeit	w19_d677e27777
erhält,	w21_d677e27780
hat	w23_d677e27783
es	w25_d677e27787
nicht	w27_d677e27790
zu	w29_d677e27793
einem	w31_d677e27796
sol	w33_d677e27799
chen	w1_d677e27805
Unterfangen	w3_d677e27808
kommen	w5_d677e27811
lassen,	w7_d677e27814
sondern	w9_d677e27817
statt	w11_d677e27820
dessen	w13_d677e27824
ihnen	w15_d677e27827
die	w17_d677e27830
Hofnung	w19_d677e27833
eingeflösset,	w21_d677e27836
daß	w23_d677e27839
die	w25_d677e27843
Hand	w1_d677e27848
GOttes	w3_d677e27851
ihn	w5_d677e27854
selbst	w7_d677e27857
treffen,	w9_d677e27860
und	w11_d677e27863
durch	w13_d677e27867
seinen	w15_d677e27870
Fall	w17_d677e27873
das	w19_d677e27876
bedrängte	w21_d677e27879
und	w23_d677e27882
niedergeschlagene	w25_d677e27886
Volk	w1_d677e27891
wieder	w3_d677e27894
aufrichten	w5_d677e27897
werde.	w7_d677e27900
</p>
<p id="p30_d677e27913">
Bey	w1_d677e27917
allen	w3_d677e27920
diesen	w5_d677e27923
der	w7_d677e27926
ganzen	w9_d677e27929
unbartheyischen	w11_d677e27932
Welt	w13_d677e27936
vorgelegten	w15_d677e27939
Umständen	w17_d677e27942
muste	w19_d677e27945
unser	w21_d677e27948
Ge	w23_d677e27951
müht	w1_d677e27956
nohtwendig	w3_d677e27959
in	w5_d677e27962
der	w7_d677e27965
äussersten	w9_d677e27968
Unruhe	w11_d677e27971
schweben,	w13_d677e27975
da	w15_d677e27978
wir	w17_d677e27981
den	w19_d677e27984
Untergang	w21_d677e27987
des	w23_d677e27990
Vatterlandes	w25_d677e27994
vor	w1_d677e27999
Augen	w3_d677e28002
sahen,	w5_d677e28005
und	w7_d677e28008
Wir	w9_d677e28011
selbst	w11_d677e28014
samt	w13_d677e28018
unserem	w15_d677e28021
geliebtesten	w17_d677e28024
Sohne,	w19_d677e28027
und	w21_d677e28030
angebohrnen	w23_d677e28033
Thron	w25_d677e28037
erben	w1_d677e28043
des	w3_d677e28046
Rußischen	w5_d677e28049
Reichs	w7_d677e28052
von	w9_d677e28055
dem	w11_d677e28058
Kaiserl.	w13_d677e28062
Hause	w15_d677e28065
gleichsam	w17_d677e28068
ausgeschlossen,	w19_d677e28071
und	w21_d677e28074
verdrän	w23_d677e28077
get	w1_d677e28082
waren;	w3_d677e28085
so,	w5_d677e28088
daß	w7_d677e28091
auch	w9_d677e28094
bereits	w11_d677e28097
diejenigen,	w13_d677e28101
die	w15_d677e28104
Uns	w17_d677e28107
am	w19_d677e28110
eifrigsten	w21_d677e28113
zugethan	w23_d677e28116
waren,	w25_d677e28120
oder	w27_d677e28123
besser	w29_d677e28126
zu	w1_d677e28131
sagen,	w3_d677e28134
die	w5_d677e28137
sich	w7_d677e28140
die	w9_d677e28143
wenigste	w11_d677e28146
Mühe	w13_d677e28150
gaben	w15_d677e28153
ihre	w17_d677e28156
Zunelgung	w19_d677e28159
zu	w21_d677e28162
Uns	w23_d677e28165
zu	w25_d677e28169
verbergen	w27_d677e28172
(denn	w29_d677e28175
unter	w31_d677e28178
der	w1_d677e28183
ganzen	w3_d677e28186
Nation	w5_d677e28189
haben	w7_d677e28192
Wir	w9_d677e28195
keinen	w11_d677e28198
bemerkt,	w13_d677e28202
der	w15_d677e28205
Uns	w17_d677e28208
nicht	w19_d677e28211
wol	w21_d677e28214
gewollt,	w23_d677e28217
und	w25_d677e28221
sich	w27_d677e28224
nicht	w29_d677e28227
bestre	w31_d677e28230
bet	w1_d677e28236
hätte,	w3_d677e28239
Uns	w5_d677e28242
von	w7_d677e28245
seiner	w9_d677e28248
Ergebenheit	w11_d677e28251
zu	w13_d677e28255
überzeigen)	w15_d677e28258
wenn	w17_d677e28261
sie	w19_d677e28264
dem	w21_d677e28267
Wohlstande	w23_d677e28270
gemäß	w25_d677e28274
Uns	w27_d677e28277
als	w1_d677e28282
ihrer	w3_d677e28285
Kaiserin	w5_d677e28288
die	w7_d677e28291
schuldige	w9_d677e28294
Achtung	w11_d677e28297
erweisen	w13_d677e28301
wollten,	w15_d677e28304
in	w17_d677e28307
Gefahr	w19_d677e28310
stunden	w21_d677e28313
ihr	w23_d677e28316
Leben,	w25_d677e28320
oder	w27_d677e28323
wenigstens	w1_d677e28328
ihr	w3_d677e28331
Glück	w5_d677e28334
zu	w7_d677e28337
verscherzen.	w9_d677e28340
Endlich	w11_d677e28343
nahm	w13_d677e28347
sein	w15_d677e28350
Bestreben	w17_d677e28353
zu	w19_d677e28356
Unseren	w21_d677e28359
Verderben	w23_d677e28362
der	w25_d677e28366
gestalt	w1_d677e28371
zu,	w3_d677e28374
daß,	w5_d677e28377
wie	w7_d677e28380
ein	w9_d677e28383
wider	w11_d677e28386
Unsere	w13_d677e28390
Person	w15_d677e28393
von	w17_d677e28396
ihm	w19_d677e28399
abgezieltes	w21_d677e28402
Unternehmen	w23_d677e28405
unter	w25_d677e28409
dem	w27_d677e28412
Vol	w29_d677e28415
ke	w1_d677e28421
ruchbar	w3_d677e28424
wurde,	w5_d677e28427
und	w7_d677e28430
er,	w9_d677e28433
der	w11_d677e28436
gewesene	w13_d677e28440
Kaiser	w15_d677e28443
das	w17_d677e28446
allgemeine	w19_d677e28449
Murren	w21_d677e28452
darüber,	w23_d677e28455
zu	w25_d677e28459
dem	w27_d677e28462
er	w29_d677e28465
doch	w1_d677e28470
selbst	w3_d677e28473
die	w5_d677e28476
Ursach	w7_d677e28479
gegeben	w9_d677e28482
hatte,	w11_d677e28485
Uns	w13_d677e28489
zur	w15_d677e28492
Last	w17_d677e28495
legte,	w19_d677e28498
seine	w21_d677e28501
Anschläge	w23_d677e28504
wider	w25_d677e28508
Uns	w27_d677e28511
sich	w29_d677e28514
deut	w31_d677e28517
lich	w1_d677e28522
offenbahrten,	w3_d677e28525
welche	w5_d677e28528
dahin	w7_d677e28531
giengen,	w9_d677e28534
Uns	w11_d677e28537
völlig	w13_d677e28541
zu	w15_d677e28544
vertilgen,	w17_d677e28547
und	w19_d677e28550
des	w21_d677e28553
Lebens	w23_d677e28556
zu	w25_d677e28560
berauben.	w27_d677e28563
Da	w1_d677e28568
nun	w3_d677e28571
solches	w5_d677e28574
durch	w7_d677e28577
einige	w9_d677e28580
Unserer	w11_d677e28583
Getreuesten,	w13_d677e28587
die	w15_d677e28590
zu	w17_d677e28593
Rettung	w19_d677e28596
des	w21_d677e28599
Vatterlandes	w23_d677e28602
ihr	w25_d677e28606
eigenes	w27_d677e28609
Leben	w1_d677e28615
in	w3_d677e28618
die	w5_d677e28621
Schanze	w7_d677e28624
schlugen,	w9_d677e28627
Uns	w11_d677e28630
auf	w13_d677e28634
das	w15_d677e28637
eiligste	w17_d677e28640
hinterbracht	w19_d677e28643
ward:	w21_d677e28646
so	w23_d677e28649
trugen	w25_d677e28653
Wir	w27_d677e28656
weiter	w29_d677e28659
kein	w1_d677e28664
Bedenken	w3_d677e28667
in	w5_d677e28670
der	w7_d677e28673
festen	w9_d677e28676
Zuversicht	w11_d677e28679
auf	w13_d677e28683
den	w15_d677e28686
Beystand	w17_d677e28689
des	w19_d677e28692
Allerhöchsten	w21_d677e28695
Uns	w23_d677e28698
aller	w25_d677e28702
Gefahr	w27_d677e28705
so	w29_d677e28708
muthig	w1_d677e28713
entgegen	w3_d677e28716
zu	w5_d677e28719
stellen,	w7_d677e28722
als	w9_d677e28725
Unser	w11_d677e28728
geliebtes	w13_d677e28732
Vatterland	w15_d677e28735
für	w17_d677e28738
seine	w19_d677e28741
Zuneigung	w21_d677e28744
gegen	w23_d677e28747
Uns	w25_d677e28751
von	w27_d677e28754
Unserer	w1_d677e28759
Großmut	w3_d677e28762
nur	w5_d677e28765
verlangen	w7_d677e28768
konte.	w9_d677e28771
Nachdeme	w11_d677e28774
Wir	w13_d677e28778
also	w15_d677e28781
den	w17_d677e28784
allmächtigen	w19_d677e28787
GOtt	w21_d677e28790
um	w23_d677e28793
sei	w25_d677e28797
nen	w1_d677e28803
Schutz	w3_d677e28806
angeflehet,	w5_d677e28809
und	w7_d677e28812
zu	w9_d677e28815
seiner	w11_d677e28818
Göttlichen	w13_d677e28822
Gerechtigkeit	w15_d677e28825
Unsere	w17_d677e28828
Zuflucht	w19_d677e28831
genommen	w21_d677e28834
hat	w23_d677e28837
ten,	w1_d677e28842
entschlossen	w3_d677e28845
Wir	w5_d677e28848
Uns,	w7_d677e28851
entweder	w9_d677e28854
ein	w11_d677e28857
Opfer	w13_d677e28861
für	w15_d677e28864
das	w17_d677e28867
Vatterland	w19_d677e28870
zu	w21_d677e28873
werden,	w23_d677e28876
oder	w25_d677e28880
es	w27_d677e28883
von	w29_d677e28886
der	w31_d677e28889
innerlichen	w1_d677e28894
Zerrittung	w3_d677e28897
zu	w5_d677e28900
erreiten,	w7_d677e28903
und	w9_d677e28906
ein	w11_d677e28909
grausames	w13_d677e28913
Blut	w15_d677e28916
vergiessen	w17_d677e28919
von	w19_d677e28922
ihm	w21_d677e28925
abzuwenden.	w23_d677e28928
Kaum	w1_d677e28933
hatten	w3_d677e28936
Wir	w5_d677e28939
auch	w7_d677e28942
durch	w9_d677e28945
das	w11_d677e28948
auf	w13_d677e28952
GOtt	w15_d677e28955
gesetzte	w17_d677e28958
Vertrauen	w19_d677e28961
Uns	w21_d677e28964
dazu	w23_d677e28967
ausgerüstet,	w25_d677e28971
und	w27_d677e28974
Un	w29_d677e28977
sere	w1_d677e28983
Einwilligung	w3_d677e28986
deren	w5_d677e28989
von	w7_d677e28992
der	w9_d677e28995
Nation	w11_d677e28998
an	w13_d677e29002
Uns	w15_d677e29005
abgeordneten	w17_d677e29008
getreuen	w19_d677e29011
Unterthanen	w21_d677e29014
zu	w23_d677e29017
erkennen	w25_d677e29021
gegeben,	w1_d677e29026
so	w3_d677e29029
sahen	w5_d677e29032
Wir	w7_d677e29035
bereits	w9_d677e29038
das	w11_d677e29041
allgemeine	w13_d677e29045
Verlangen,	w15_d677e29048
Uns	w17_d677e29051
mit	w19_d677e29054
Treue	w21_d677e29057
und	w23_d677e29060
Unterthänigkeit	w25_d677e29064
zugethan	w1_d677e29069
zu	w3_d677e29072
seyn,	w5_d677e29075
welches	w7_d677e29078
auch	w9_d677e29081
alle	w11_d677e29084
und	w13_d677e29088
jede	w15_d677e29091
vom	w17_d677e29094
GeistlichMilitair	w19_d677e29097
und	w21_d677e29100
Civil=stande	w23_d677e29103
durch	w25_d677e29107
die	w1_d677e29112
willigste,	w3_d677e29115
und	w5_d677e29118
freudigste	w7_d677e29121
Eides=leistung	w9_d677e29124
bekräftiget.	w11_d677e29127
</p>
<p id="p32_d677e29130">
Nach	w1_d677e29134
Unserer	w3_d677e29137
angebohrnen	w5_d677e29140
Menschen=liebe,	w7_d677e29143
und	w9_d677e29146
zärtlichen	w11_d677e29149
Vorsorge	w13_d677e29153
für	w15_d677e29156
Unsere	w17_d677e29159
ge	w19_d677e29162
treue	w1_d677e29167
Unterthanen	w3_d677e29170
blieb	w5_d677e29173
Uns	w7_d677e29176
nun	w9_d677e29179
noch	w11_d677e29182
übrig,	w13_d677e29186
denen	w15_d677e29189
Entschliessungen	w17_d677e29192
vorzubeugen	w19_d677e29195
(zu	w21_d677e29198
welchem	w23_d677e29201
dieser	w1_d677e29206
gewesene	w3_d677e29209
Regent	w5_d677e29212
unüberlegter	w7_d677e29215
Weise,	w9_d677e29218
und	w11_d677e29221
im	w13_d677e29225
Vertrauen	w15_d677e29228
auf	w17_d677e29231
die	w19_d677e29234
vermeinte	w21_d677e29237
Stärke	w23_d677e29240
seiner	w25_d677e29244
Holsteinischen	w1_d677e29250
Trupen	w3_d677e29253
in	w5_d677e29256
Oranienbaum)	w7_d677e29259
alwo	w9_d677e29262
er	w11_d677e29265
damalen	w13_d677e29269
aus	w15_d677e29272
Liebe	w17_d677e29275
zu	w19_d677e29278
denselben,	w21_d677e29281
mit	w23_d677e29284
Hind	w25_d677e29288
ausetzung	w1_d677e29293
der	w3_d677e29296
nohtwendigsten	w5_d677e29299
Reichs=geschäfte,	w7_d677e29302
seine	w9_d677e29305
Zeit	w11_d677e29308
im	w13_d677e29312
Müßigang	w15_d677e29315
zubrachte,	w17_d677e29318
hätte	w19_d677e29321
schreiten,	w1_d677e29326
und	w3_d677e29329
dadurch	w5_d677e29332
ein	w7_d677e29335
Blut=vergiessen	w9_d677e29338
gegen	w11_d677e29341
sich	w13_d677e29345
erregen	w15_d677e29348
können,	w17_d677e29351
dem	w19_d677e29354
Unsere	w21_d677e29357
Garden,	w23_d677e29360
und	w25_d677e29364
übrige	w1_d677e29369
Regimenter	w3_d677e29372
aus	w5_d677e29375
Eifer	w7_d677e29378
für	w9_d677e29381
die	w11_d677e29384
Religion,	w13_d677e29388
für	w15_d677e29391
das	w17_d677e29394
Vatterland,	w19_d677e29397
für	w21_d677e29400
Uns,	w23_d677e29403
und	w25_d677e29407
Unsern	w27_d677e29410
Sohn,	w1_d677e29416
sich	w3_d677e29419
auszusetzen	w5_d677e29422
bereit	w7_d677e29425
waren,	w9_d677e29428
Wir	w11_d677e29431
sahen	w13_d677e29435
es	w15_d677e29438
also	w17_d677e29441
als	w19_d677e29444
eine	w21_d677e29447
von	w23_d677e29450
GOtt	w25_d677e29454
Uns	w27_d677e29457
gegen	w29_d677e29460
Unsere	w1_d677e29465
Unterthanen	w3_d677e29468
auferlegte	w5_d677e29471
Pflicht	w7_d677e29474
an,	w9_d677e29477
durch	w11_d677e29480
gute	w13_d677e29484
und	w15_d677e29487
heilsame	w17_d677e29490
Veranstaltungen,	w19_d677e29493
allem	w21_d677e29496
diesen	w1_d677e29501
unverzüglich	w3_d677e29504
zuvorzukommen;	w5_d677e29507
und	w7_d677e29510
nachdem	w9_d677e29513
wir	w11_d677e29516
Uns	w13_d677e29520
selbst	w15_d677e29523
an	w17_d677e29526
die	w19_d677e29529
Spitze	w21_d677e29532
der	w23_d677e29535
Garden,	w25_d677e29539
des	w1_d677e29544
Artillerie=corps,	w3_d677e29547
und	w5_d677e29550
der	w7_d677e29553
übrigen	w9_d677e29556
zu	w11_d677e29559
selbiger	w13_d677e29563
Zeit	w15_d677e29566
in	w17_d677e29569
der	w19_d677e29572
Residenz	w21_d677e29575
anwesenden	w23_d677e29578
Feld	w25_d677e29582
regimenter	w1_d677e29588
gestellet,	w3_d677e29591
brachen	w5_d677e29594
wir	w7_d677e29597
von	w9_d677e29600
Petersburg	w11_d677e29603
auf,	w13_d677e29607
um	w15_d677e29610
seine	w17_d677e29613
Absichten	w19_d677e29616
zu	w21_d677e29619
vereitlen,	w23_d677e29622
von	w25_d677e29626
deme	w1_d677e29631
Wir	w3_d677e29634
bereits	w5_d677e29637
zuverläßig	w7_d677e29640
unterrichtet	w9_d677e29643
waren.	w11_d677e29646
Kaum	w13_d677e29650
aber	w15_d677e29653
waren	w17_d677e29656
Wir	w19_d677e29659
aus	w21_d677e29662
der	w23_d677e29665
Stadt	w25_d677e29669
ge	w27_d677e29672
rücket,	w1_d677e29677
als	w3_d677e29680
er	w5_d677e29683
uns	w7_d677e29686
zwey	w9_d677e29689
Briefe	w11_d677e29692
nach	w13_d677e29696
einander	w15_d677e29699
zuschickte.	w17_d677e29702
Den	w19_d677e29705
ersten,	w21_d677e29708
worinnen	w23_d677e29711
er	w25_d677e29715
Uns	w27_d677e29718
ersuchte,	w1_d677e29723
ihn	w3_d677e29726
nach	w5_d677e29729
Hollstein,	w7_d677e29732
als	w9_d677e29735
seinem	w11_d677e29738
Vatterlande,	w13_d677e29742
abzulassen,	w15_d677e29745
überbrachte	w17_d677e29748
Unser	w19_d677e29751
Vi	w21_d677e29754
</p>
<p id="p38_d677e29768">
ce=cantzler,	w1_d677e29772
der	w3_d677e29775
Fürst	w5_d677e29778
Gollizin,	w7_d677e29781
und	w9_d677e29784
den	w11_d677e29787
zweyten	w13_d677e29791
der	w15_d677e29794
General=major	w17_d677e29797
Michaila	w19_d677e29800
Jsmailow,	w21_d677e29803
in	w1_d677e29808
diesem	w3_d677e29811
letzteren	w5_d677e29814
erbothe	w7_d677e29817
er	w9_d677e29820
sich	w11_d677e29823
freywillig	w13_d677e29827
seines	w15_d677e29830
Rechts	w17_d677e29833
auf	w19_d677e29836
die	w21_d677e29839
Crone	w23_d677e29842
sich	w25_d677e29846
zu	w27_d677e29849
begeben,	w29_d677e29852
und	w31_d677e29855
verlangte	w1_d677e29860
weiter	w3_d677e29863
nicht	w5_d677e29866
über	w7_d677e29869
Rußland	w9_d677e29872
zu	w11_d677e29875
herrschen,	w13_d677e29879
sondern	w15_d677e29882
bat	w17_d677e29885
Uns	w19_d677e29888
nur,	w21_d677e29891
daß	w23_d677e29894
Wir	w25_d677e29898
ihn	w27_d677e29901
mit	w29_d677e29904
der	w31_d677e29907
Elisabeth	w1_d677e29913
Woronzoff,	w3_d677e29916
und	w5_d677e29919
dem	w7_d677e29922
Gudowitsch	w9_d677e29925
nach	w11_d677e29928
Hollstein	w13_d677e29932
erlassen	w15_d677e29935
mögte.	w17_d677e29938
Beyde	w19_d677e29941
mit	w21_d677e29944
vielen	w23_d677e29947
schmeichelhaften	w1_d677e29952
Ausdrücken	w3_d677e29955
angefüllte	w5_d677e29958
Briefe	w7_d677e29961
erhielten	w9_d677e29964
Wir	w11_d677e29967
einige	w13_d677e29971
Stunden,	w15_d677e29974
nochdem	w17_d677e29977
er	w19_d677e29980
würk	w21_d677e29983
lich	w1_d677e29988
den	w3_d677e29991
Befehl	w5_d677e29994
gegeben	w7_d677e29997
hatte	w9_d677e30000
uns	w11_d677e30003
das	w13_d677e30007
Leben	w15_d677e30010
zu	w17_d677e30013
nehmen,	w19_d677e30016
welches	w21_d677e30019
Uns	w23_d677e30022
mit	w25_d677e30026
den	w27_d677e30029
kräftigsten	w29_d677e30032
Be	w31_d677e30035
theurungen	w1_d677e30040
von	w3_d677e30043
denjenigen	w5_d677e30046
selbst	w7_d677e30049
hinterbarcht	w9_d677e30052
worden,	w11_d677e30055
denen	w13_d677e30059
diese	w15_d677e30062
Mordthat	w17_d677e30065
an	w19_d677e30068
Uns	w21_d677e30071
auszuüben	w23_d677e30074
aufgetragen	w1_d677e30080
war.	w3_d677e30083
</p>
<p id="p40_d677e30086">
Diese	w1_d677e30090
freywillige,	w3_d677e30093
und	w5_d677e30096
eigenhändige	w7_d677e30099
Aeusserungen	w9_d677e30102
gegen	w11_d677e30105
Uns	w13_d677e30109
hatten	w15_d677e30112
Wir	w17_d677e30115
zwar	w19_d677e30118
in	w21_d677e30121
Hän	w23_d677e30124
den;	w1_d677e30129
er	w3_d677e30132
war	w5_d677e30135
aber	w7_d677e30138
noch	w9_d677e30141
im	w11_d677e30144
Stande	w13_d677e30148
mit	w15_d677e30151
seinen	w17_d677e30154
Hollsteinischen	w19_d677e30157
Trupen,	w21_d677e30160
und	w23_d677e30163
einigen	w25_d677e30167
bey	w27_d677e30170
ihm	w29_d677e30173
befindlichen	w1_d677e30178
kleinen	w3_d677e30181
Commandos	w5_d677e30184
von	w7_d677e30187
den	w9_d677e30190
Feld=regimentern,	w11_d677e30193
sich	w13_d677e30197
wieder	w15_d677e30200
Uns	w17_d677e30203
zu	w19_d677e30206
rüsten,	w21_d677e30209
und	w23_d677e30212
Uns	w1_d677e30218
manche	w3_d677e30221
Unserem	w5_d677e30224
Vatterlande	w7_d677e30227
nachtheilige	w9_d677e30230
Bedingungen	w11_d677e30233
abzuzwingen,	w13_d677e30237
zumalen	w15_d677e30240
er	w17_d677e30243
verschie	w19_d677e30246
dene	w1_d677e30251
Persohnen	w3_d677e30254
Unseres	w5_d677e30257
Hofes	w7_d677e30260
von	w9_d677e30263
beyderley	w11_d677e30266
Geschlecht	w13_d677e30270
in	w15_d677e30273
seiner	w17_d677e30276
Gewalt	w19_d677e30279
hatte,	w21_d677e30282
deren	w23_d677e30285
Unter	w25_d677e30289
gang	w1_d677e30294
Unserer	w3_d677e30297
Menschen=liebe	w5_d677e30300
niemahlen	w7_d677e30303
gestattet	w9_d677e30306
hätte;	w11_d677e30309
so,	w13_d677e30313
daß	w15_d677e30316
Wir	w17_d677e30319
Uns	w19_d677e30322
vielleicht	w21_d677e30325
würden	w23_d677e30328
haben	w1_d677e30333
bewegen	w3_d677e30336
lassen,	w5_d677e30339
durch	w7_d677e30342
einen	w9_d677e30345
einzugehenden	w11_d677e30348
Vergleich,	w13_d677e30352
ein	w15_d677e30355
Theil	w17_d677e30358
des	w19_d677e30361
vergangenen	w21_d677e30364
Ubels	w23_d677e30367
wieder	w1_d677e30373
hergestellet	w3_d677e30376
zu	w5_d677e30379
sehen,	w7_d677e30382
um	w9_d677e30385
nur	w11_d677e30388
die	w13_d677e30392
in	w15_d677e30395
seinen	w17_d677e30398
Händen	w19_d677e30401
befindliche	w21_d677e30404
Persohnen	w23_d677e30407
zu	w25_d677e30411
befreuen,	w27_d677e30414
deren	w1_d677e30419
er	w3_d677e30422
sich,	w5_d677e30425
nach	w7_d677e30428
erhaltener	w9_d677e30431
Nachricht	w11_d677e30434
von	w13_d677e30438
denen,	w15_d677e30441
was	w17_d677e30444
zu	w19_d677e30447
Errettung	w21_d677e30450
des	w23_d677e30453
Vatterlandes	w25_d677e30457
wi	w27_d677e30460
der	w1_d677e30465
ihn	w3_d677e30468
unternohmen	w5_d677e30471
worden,	w7_d677e30474
in	w9_d677e30477
dem	w11_d677e30480
Palast	w13_d677e30484
von	w15_d677e30487
Oranienbaum	w17_d677e30490
als	w19_d677e30493
Geiseln	w21_d677e30496
versicheret	w23_d677e30499
hatte.	w25_d677e30503
Wir	w1_d677e30508
wurden	w3_d677e30511
diesserwegen	w5_d677e30514
von	w7_d677e30517
allen	w9_d677e30520
damahls	w11_d677e30523
bey	w13_d677e30527
Unserer	w15_d677e30530
Persohn	w17_d677e30533
gegenwärtigen	w19_d677e30536
getreuen	w21_d677e30539
Unter	w23_d677e30542
thanen	w1_d677e30548
vornehmen	w3_d677e30551
Standes	w5_d677e30554
getrungen,	w7_d677e30557
an	w9_d677e30560
ihn	w11_d677e30563
zu	w13_d677e30567
schreiben,	w15_d677e30570
und	w17_d677e30573
ihm	w19_d677e30576
den	w21_d677e30579
Antrag	w23_d677e30582
zu	w25_d677e30586
thuen,	w27_d677e30589
daß,	w1_d677e30594
wofern	w3_d677e30597
er	w5_d677e30600
würklich	w7_d677e30603
so,	w9_d677e30606
wie	w11_d677e30609
er	w13_d677e30613
sich	w15_d677e30616
geäussert,	w17_d677e30619
gesinnet	w19_d677e30622
wäre,	w21_d677e30625
er	w23_d677e30628
Uns	w25_d677e30632
eine	w27_d677e30635
freywillige,	w29_d677e30638
und	w1_d677e30643
ungezwungene	w3_d677e30646
mit	w5_d677e30649
seiner	w7_d677e30652
eigenen	w9_d677e30655
Hand,	w11_d677e30658
und	w13_d677e30662
in	w15_d677e30665
der	w17_d677e30668
gehörigen	w19_d677e30671
Form	w21_d677e30674
geschriebene	w23_d677e30677
End	w25_d677e30681
sagung	w1_d677e30686
des	w3_d677e30689
Rußisch=kaiserl.	w5_d677e30692
Thrones	w7_d677e30695
zur	w9_d677e30698
allgemeinen	w11_d677e30701
Beruhigung	w13_d677e30705
zusenden	w15_d677e30708
solte.	w17_d677e30711
Wir	w19_d677e30714
fer	w21_d677e30717
tigten	w1_d677e30723
damit	w3_d677e30726
den	w5_d677e30729
General=major	w7_d677e30732
Jsmailoff	w9_d677e30735
an	w11_d677e30738
ihn	w13_d677e30742
ab,	w15_d677e30745
und	w17_d677e30748
erhielten	w19_d677e30751
in	w21_d677e30754
Folge	w23_d677e30757
desselben,	w25_d677e30761
als	w27_d677e30764
eine	w1_d677e30769
Antwort,	w3_d677e30772
nachstehende	w5_d677e30775
Schrift	w7_d677e30778
von	w9_d677e30781
seiner	w11_d677e30784
eigenen	w13_d677e30788
Hand:	w15_d677e30791
</p>
<p id="p42_d677e30794">
Während	w1_d677e30798
der	w3_d677e30801
kurzen	w5_d677e30804
Zeit	w7_d677e30807
meiner	w9_d677e30810
souverainen	w11_d677e30813
Beherrschung	w13_d677e30817
des	w15_d677e30820
Rußischen	w17_d677e30823
Reichs	w1_d677e30828
habe	w3_d677e30831
ich	w5_d677e30834
in	w7_d677e30837
der	w9_d677e30840
That	w11_d677e30843
erfahren,	w13_d677e30847
daß	w15_d677e30850
meine	w17_d677e30853
Kräfte	w19_d677e30856
für	w21_d677e30859
eine	w23_d677e30862
solche	w25_d677e30866
Last	w27_d677e30869
und	w29_d677e30872
Be	w31_d677e30875
schwerde	w1_d677e30880
nicht	w3_d677e30883
zu	w5_d677e30886
rechnen	w7_d677e30889
sind,	w9_d677e30892
und	w11_d677e30895
daß	w13_d677e30899
ich	w15_d677e30902
nicht	w17_d677e30905
im	w19_d677e30908
Stande	w21_d677e30911
bin,	w23_d677e30914
es	w25_d677e30918
seye	w27_d677e30921
auf	w29_d677e30924
was	w31_d677e30927
Wei	w33_d677e30930
se	w1_d677e30936
es	w3_d677e30939
wolle,	w5_d677e30942
und	w7_d677e30945
noch	w9_d677e30948
viel	w11_d677e30951
weniger	w13_d677e30955
mit	w15_d677e30958
unumschränkter	w17_d677e30961
Gewalt	w19_d677e30964
das	w21_d677e30967
Rußische	w23_d677e30970
Reich	w25_d677e30974
zu	w27_d677e30977
regieren.	w1_d677e30982
Jch	w3_d677e30985
habe	w5_d677e30988
auch	w7_d677e30991
selbst	w9_d677e30994
die	w11_d677e30997
Zerrüttung	w13_d677e31001
