<doc id="wr_1759-04-11" attrs="word" year="1759" month="04" day="11" corpus="2">
<head id="h2_d338e3632">
Coburg	w1_d338e3636
zugehörigen	w5_d338e14440
Behausung	w7_d338e14443
annoch	w9_d338e14446
ein	w1_d338e14451
auf	w3_d338e14454
den	w5_d338e14457
Hrn.	w7_d338e14460
Johann	w9_d338e14463
Christoph	w11_d338e14466
von	w13_d338e14470
Sack	w15_d338e14473
hen,	w1_d338e14478
gewest=Kaiserl.	w3_d338e14481
Obristens	w5_d338e14484
seel.	w7_d338e14487
lautender	w9_d338e14490
Gatz,	w1_d338e14495
wovon	w3_d338e14498
eine	w5_d338e14501
Copia	w7_d338e14504
d.	w9_d338e14507
d.	w11_d338e14510
17.	w13_d338e14514
Junii	w15_d338e14517
1712.	w17_d338e14520
bey	w1_d338e14526
Handen,	w3_d338e14529
vorgemerket	w5_d338e14532
ist,	w7_d338e14535
solcher	w9_d338e14538
Satz	w11_d338e14541
hinge	w13_d338e14545
gen	w1_d338e14550
nach	w3_d338e14553
diesfällig	w5_d338e14556
ad	w7_d338e14559
cassandum	w9_d338e14562
zuruck=gestellten	w11_d338e14565
Original=obligation	w1_d338e14570
d.	w3_d338e14573
d.	w5_d338e14576
17.	w7_d338e14579
ejusdem	w9_d338e14582
mensis	w11_d338e14585
&	w13_d338e14589
Anni	w1_d338e14594
indebite	w3_d338e14597
hafte,	w5_d338e14600
und	w7_d338e14603
das	w9_d338e14606
Original	w11_d338e14609
in	w13_d338e14613
Verstoß	w15_d338e14616
gerahten;	w1_d338e14622
gleichwie	w3_d338e14625
aber	w5_d338e14628
über	w7_d338e14631
all=angewendete	w9_d338e14634
Mühe	w1_d338e14639
sothaner	w3_d338e14642
Satz	w5_d338e14645
ungehindert	w7_d338e14648
all=fleißigen	w9_d338e14651
Nach	w11_d338e14654
forschens	w1_d338e14659
nicht	w3_d338e14662
ausfindig	w5_d338e14665
gemacht	w7_d338e14668
werden	w9_d338e14671
können,	w11_d338e14674
dahero	w1_d338e14679
dann	w3_d338e14682
vorgedachter	w5_d338e14685
Hr.	w7_d338e14688
Supplicant	w9_d338e14691
wegen	w11_d338e14694
ordentlicher	w1_d338e14700
Caßier	w3_d338e14703
und	w5_d338e14706
Annullirung	w7_d338e14709
mentionir	w9_d338e14712
ten	w1_d338e14717
Satzes	w3_d338e14720
um	w5_d338e14723
Ausfertigung	w7_d338e14726
eines	w9_d338e14729
Amortisations	w11_d338e14732
edicts	w1_d338e14737
gebetten,	w3_d338e14740
worinnen	w5_d338e14743
unterm	w7_d338e14746
17.	w9_d338e14749
Februarii	w11_d338e14752
dies	w1_d338e14757
Jahrs	w3_d338e14760
unter	w5_d338e14763
einstens	w7_d338e14766
gewilliget	w9_d338e14769
worden;	w11_d338e14772
dem	w13_d338e14776
nach	w1_d338e14782
all	w3_d338e14785
und	w5_d338e14788
jede,	w7_d338e14791
so	w9_d338e14794
vorbedeut	w11_d338e14797
verstorbenen	w13_d338e14801
Hrn.	w15_d338e14804
</p>
<p id="p10_d338e14807">
Johann	w1_d338e14811
Christoph	w3_d338e14814
von	w5_d338e14817
Sackhen,	w7_d338e14820
gewes	w9_d338e14823
Kaisell.	w11_d338e14826
Obristen	w1_d338e14831
in	w3_d338e14834
Verstoß	w5_d338e14837
gerahten=Original=satz=brief	w7_d338e14840
etwann	w1_d338e14845
in	w3_d338e14848
Handen	w5_d338e14851
haben,	w7_d338e14854
oder	w9_d338e14857
ansonst	w11_d338e14860
darauf	w13_d338e14864
einen	w1_d338e14870
rechtlichen	w3_d338e14873
Ausspruch	w5_d338e14876
zu	w7_d338e14879
haben	w9_d338e14882
vermeinen,	w11_d338e14885
sich	w1_d338e14890
von	w3_d338e14893
unten	w5_d338e14896
gesetztem	w7_d338e14899
Dato	w9_d338e14902
an	w11_d338e14905
binnen	w13_d338e14909
eines	w15_d338e14912
Jahrs,	w1_d338e14917
6.	w3_d338e14920
Wochen,	w5_d338e14923
und	w7_d338e14926
3.	w9_d338e14929
Tages=frist	w11_d338e14932
bey	w13_d338e14936
Ein	w15_d338e14939
gangs	w1_d338e14944
ersagten	w3_d338e14947
Hof	w5_d338e14950
und	w7_d338e14953
Grund=gericht	w9_d338e14956
alsogewis	w11_d338e14959
anzumelden	w1_d338e14965
haben	w3_d338e14968
werden,	w5_d338e14971
wie	w7_d338e14974
im	w9_d338e14977
widrigen	w11_d338e14980
nach	w13_d338e14984
Verfliessung	w1_d338e14989
vorgesagten	w3_d338e14992
Termins	w5_d338e14995
mehr	w7_d338e14998
ermelde	w9_d338e15001
ter	w1_d338e15006
Original=satz=brief	w3_d338e15009
ipso	w5_d338e15012
facto	w7_d338e15015
caßiret,	w9_d338e15018
annulli	w11_d338e15021
ret,	w1_d338e15026
auch	w3_d338e15029
darüber,	w5_d338e15032
was	w7_d338e15035
Rechtens	w9_d338e15038
ist,	w11_d338e15041
vorgekehret	w13_d338e15045
werden	w1_d338e15051
solle.	w3_d338e15054
Actum	w5_d338e15057
Wien	w7_d338e15060
den	w9_d338e15063
5.	w11_d338e15066
Martii	w13_d338e15070
1759.	w15_d338e15073
</p>
<p id="p12_d338e15077">
Auf	w1_d338e15081
künftigen	w3_d338e15084
St.	w5_d338e15087
Georgii	w7_d338e15090
ist	w9_d338e15093
in	w11_d338e15096
dem	w13_d338e15100
Kirch	w15_d338e15103
stetterischen	w1_d338e15108
Haus	w3_d338e15111
am	w5_d338e15114
alten	w7_d338e15117
Haar=markt	w9_d338e15120
neben	w11_d338e15123
dem	w1_d338e15128
schwarzen	w3_d338e15131
Bärn	w5_d338e15134
das	w7_d338e15137
Materialisten=gewölb,	w9_d338e15140
samt	w1_d338e15146
Zugehör,	w3_d338e15149
wie	w5_d338e15152
auch	w7_d338e15155
der	w9_d338e15158
vierte	w11_d338e15161
Stock	w13_d338e15165
auf	w15_d338e15168
die	w1_d338e15173
Haupt=strassen	w3_d338e15176
zusammen	w5_d338e15179
oder	w7_d338e15182
von	w9_d338e15185
besag	w11_d338e15188
tem	w1_d338e15193
Gewölb	w3_d338e15196
und	w5_d338e15199
dessen	w7_d338e15202
Zugehör	w9_d338e15205
abgesondert	w11_d338e15208
zu	w13_d338e15212
verlassen,	w1_d338e15217
und	w3_d338e15220
ist	w5_d338e15223
sich	w7_d338e15226
dessentwegen	w9_d338e15229
bey	w11_d338e15232
aldasi	w13_d338e15236
gem	w1_d338e15242
Haus=meister	w3_d338e15245
anzumelden.	w5_d338e15248
</p>
<list id="l14_d338e15251">
Jn	w1_d338e15255
Joseph	w3_d338e15258
Krichtens	w5_d338e15261
Buch=handlung	w7_d338e15264
unter	w9_d338e15267
</list>
<list id="l16_d338e15271">
denen	w1_d338e15275
Tuchlauben	w3_d338e15278
alhier	w5_d338e15281
ist	w7_d338e15284
zu	w9_d338e15287
haben:	w11_d338e15290
De	w1_d338e15295
Reaumont	w3_d338e15298
lehrreiches	w5_d338e15301
Magazin	w7_d338e15304
für	w9_d338e15307
Kin	w11_d338e15310
der,	w1_d338e15315
zu	w3_d338e15318
richtiger	w5_d338e15321
Bildung	w7_d338e15324
ihres	w9_d338e15327
Verstandes	w11_d338e15330
und	w13_d338e15334
Hertzens,	w1_d338e15340
für	w3_d338e15343
die	w5_d338e15346
Teutsche	w7_d338e15349
Jugend	w9_d338e15352
eingerichtet,	w11_d338e15355
und	w1_d338e15360
mit	w3_d338e15363
denen	w5_d338e15366
nöhtigsten	w7_d338e15369
Kupfern	w9_d338e15372
versehen,	w11_d338e15375
4.	w13_d338e15379
Theile	w1_d338e15384
8.	w3_d338e15387
Leipzig,	w5_d338e15390
1759.	w7_d338e15393
a	w9_d338e15396
1.	w11_d338e15399
Fl.	w13_d338e15403
30.	w15_d338e15406
Kr.	w17_d338e15409
Die	w1_d338e15414
Gedichte	w3_d338e15417
des	w5_d338e15420
Herrn	w7_d338e15423
von	w9_d338e15426
Haller.	w11_d338e15429
gros	w13_d338e15433
8.	w15_d338e15436
Zürich	w1_d338e15442
1759.	w3_d338e15445
a	w5_d338e15448
1.	w7_d338e15451
Fl.	w9_d338e15454
Schlesischer	w1_d338e15459
Atlas	w3_d338e15462
auf	w5_d338e15465
20.	w7_d338e15468
Karten,	w9_d338e15471
gros	w11_d338e15474
Impe-	w13_d338e15478
rial,	w1_d338e15483
nebst	w3_d338e15486
einer	w5_d338e15489
summarischen	w7_d338e15492
Beschreibung	w9_d338e15495
des	w11_d338e15498
ganzen	w1_d338e15503
Landes	w3_d338e15506
betreffend,	w5_d338e15509
à	w7_d338e15512
18.	w9_d338e15515
Fl.	w11_d338e15518
Ortelii	w1_d338e15524
Theatrum	w3_d338e15527
orbis	w5_d338e15530
Terrarum	w7_d338e15533
cum	w9_d338e15536
map-	w11_d338e15539
pis	w1_d338e15544
coloribus	w3_d338e15547
adumbratis	w5_d338e15550
fol.	w7_d338e15553
Atlantico	w9_d338e15556
Ant-	w11_d338e15559
werp.	w1_d338e15564
1592.	w3_d338e15567
gebunden	w5_d338e15570
à	w7_d338e15573
18.	w9_d338e15576
Fl.	w11_d338e15579
Atlas	w1_d338e15584
Homannianus	w3_d338e15587
von	w5_d338e15590
100.	w7_d338e15593
50.	w9_d338e15596
und	w11_d338e15599
36.	w13_d338e15603
Karten	w1_d338e15609
gebunden,	w3_d338e15612
ansonst	w5_d338e15615
sind	w7_d338e15618
auch	w9_d338e15621
nebst	w11_d338e15624
allen	w13_d338e15628
Homannischen,	w1_d338e15633
die	w3_d338e15636
zu	w5_d338e15639
jetzigen	w7_d338e15642
Kriegs=theatro	w9_d338e15645
dienende	w1_d338e15650
General-	w3_d338e15653
als	w5_d338e15656
Special-karten	w7_d338e15659
zu	w9_d338e15662
haben.	w11_d338e15665
</list>
<p id="p18_d338e15669">
Wir	w1_d338e15673
N.	w3_d338e15676
Burgermeister,	w5_d338e15679
Richter,	w7_d338e15682
und	w9_d338e15685
Raht	w11_d338e15688
beeder	w1_d338e15693
Landes=fürstl.	w3_d338e15696
Städten	w5_d338e15699
Crems,	w7_d338e15702
und	w9_d338e15705
Stein,	w11_d338e15708
fügen	w1_d338e15713
hiemit	w3_d338e15716
nochmalen	w5_d338e15719
vermög	w7_d338e15722
gegenwärtig	w9_d338e15725
of	w11_d338e15728
fentlichen	w1_d338e15734
Edicts	w3_d338e15737
jedermänniglich	w5_d338e15740
zum	w7_d338e15743
wissen	w9_d338e15746
an,	w11_d338e15749
welchermassen	w1_d338e15754
Wir	w3_d338e15757
zu	w5_d338e15760
Verkauffung	w7_d338e15763
des	w9_d338e15766
burgerl.	w11_d338e15769
Wirts	w1_d338e15774
und	w3_d338e15777
Gast=gebhauses	w5_d338e15780
zum	w7_d338e15783
goldenen	w9_d338e15786
Stern	w11_d338e15789
in	w1_d338e15794
Crems,	w3_d338e15797
samt	w5_d338e15800
der	w7_d338e15803
untereinstens	w9_d338e15806
darauf	w11_d338e15809
radicirt,	w13_d338e15813
auch	w1_d338e15819
in	w3_d338e15822
Exercitio	w5_d338e15825
und	w7_d338e15828
Ubung	w9_d338e15831
stehenden	w11_d338e15834
Fuhrwerks	w13_d338e15838
gerechtigkeit,	w1_d338e15843
dann	w3_d338e15846
denen	w5_d338e15849
vorfündigen	w7_d338e15852
10.	w9_d338e15855
Pfer	w11_d338e15858
den,	w1_d338e15863
Wägen,	w3_d338e15866
und	w5_d338e15869
anderen	w7_d338e15872
Fuhrwerks=requisiten	w9_d338e15875
wie	w1_d338e15880
auch	w3_d338e15883
Wein,	w5_d338e15886
und	w7_d338e15889
Fässern,	w9_d338e15892
Silber=geschmeid,	w11_d338e15895
Lein=gewand,	w1_d338e15901
Zinn,	w3_d338e15904
Kupfer,	w5_d338e15907
Meßing,	w7_d338e15910
und	w9_d338e15913
übriger	w1_d338e15918
Einrichtung,	w3_d338e15921
Mobilien,	w5_d338e15924
und	w7_d338e15927
Effecten	w9_d338e15930
an	w11_d338e15933
den	w1_d338e15938
Meistbietenden	w3_d338e15941
ein	w5_d338e15944
abermalige	w7_d338e15947
clausulirte	w9_d338e15950
Li-	w11_d338e15953
citations-tagsatzung	w1_d338e15958
auf	w3_d338e15961
den	w5_d338e15964
21sten	w7_d338e15967
nächstkünf	w9_d338e15970
tigen	w1_d338e15976
Monats	w3_d338e15979
April	w5_d338e15982
fruh	w7_d338e15985
um	w9_d338e15988
9.	w11_d338e15991
Uhr	w13_d338e15995
auf	w15_d338e15998
gemei	w17_d338e16001
ner	w1_d338e16006
Stadt	w3_d338e16009
Crems	w5_d338e16012
Raht=haus	w7_d338e16015
vor	w9_d338e16018
unseren	w11_d338e16021
in	w13_d338e16025
Sa	w15_d338e16028
</p>
<p id="p22_d338e16033">
chen	w1_d338e16037
veroedneten	w3_d338e16040
Commissarieil	w5_d338e16043
Herrn	w7_d338e16046
Sinon	w9_d338e16049
Aligner,	w1_d338e16054
dann	w3_d338e16057
Herrn	w5_d338e16060
Berthold	w7_d338e16063
Deyrhauf	w9_d338e16066
beeder	w11_d338e16069
des	w1_d338e16074
inneren	w3_d338e16077
Rahts	w5_d338e16080
alda	w7_d338e16083
zu	w9_d338e16086
erscheinen	w11_d338e16089
bestimmt,	w13_d338e16093
und	w1_d338e16099
angeordnet	w3_d338e16102
haben:	w5_d338e16105
und	w7_d338e16108
wie	w9_d338e16111
nun	w11_d338e16114
bey	w13_d338e16118
uus	w15_d338e16121
vorgekommen,	w1_d338e16126
divulgiret,	w3_d338e16129
und	w5_d338e16132
ausgesprenget	w7_d338e16135
wor	w9_d338e16138
den	w1_d338e16143
zu	w3_d338e16146
seyn,	w5_d338e16149
quaf	w7_d338e16152
vem	w9_d338e16155
eines	w11_d338e16158
theils	w13_d338e16162
der	w15_d338e16165
Erblas	w17_d338e16168
serin	w1_d338e16173
Susannä	w3_d338e16176
Hellin	w5_d338e16179
seel.	w7_d338e16182
Brudern	w9_d338e16185
Mathiä	w11_d338e16188
Thetter	w1_d338e16194
hierinfals	w3_d338e16197
das	w5_d338e16200
Einstand=recht,	w7_d338e16203
und	w9_d338e16206
solches	w11_d338e16209
dermassen	w1_d338e16214
zustunde,	w3_d338e16217
daß	w5_d338e16220
diesem	w7_d338e16223
um	w9_d338e16226
500.	w11_d338e16229
Fl.	w13_d338e16233
weniger	w1_d338e16238
als	w3_d338e16241
anderen	w5_d338e16244
Licitanten,	w7_d338e16247
und	w9_d338e16250
Kauffern	w11_d338e16253
zu	w1_d338e16258
geben	w3_d338e16261
bevorstund,	w5_d338e16264
anderen	w7_d338e16267
theils	w9_d338e16270
dieses	w11_d338e16273
Gast	w13_d338e16277
haus	w1_d338e16283
mittels	w3_d338e16286
eingerissener	w5_d338e16289
ansteckender	w7_d338e16292
Krankheit	w9_d338e16295
gänzlich	w1_d338e16300
ausgestorben	w3_d338e16303
seyn	w5_d338e16306
solle;	w7_d338e16309
Als	w9_d338e16312
declari-	w11_d338e16315
ren	w1_d338e16320
wir	w3_d338e16323
hiemit	w5_d338e16326
gegenwärtig,	w7_d338e16329
daß	w9_d338e16332
dieses	w11_d338e16335
eine	w13_d338e16339
grund=falsche,	w1_d338e16344
lediglich	w3_d338e16347
zu	w5_d338e16350
Jrrmach	w7_d338e16353
und	w9_d338e16356
Hin	w11_d338e16359
danhaltung	w1_d338e16365
anderer	w3_d338e16368
Kaufs=liebhabern	w5_d338e16371
erdichtete	w7_d338e16374
Vorspieglung.	w1_d338e16379
Blendwerk,	w3_d338e16382
und	w5_d338e16385
strafmäßige	w7_d338e16388
War	w9_d338e16391
losigkeit	w1_d338e16396
seye,	w3_d338e16399
woran	w5_d338e16402
sich	w7_d338e16405
nicht	w9_d338e16408
im	w11_d338e16411
mindesten	w13_d338e16415
zu	w15_d338e16418
kehren,	w1_d338e16423
welches	w3_d338e16426
man	w5_d338e16429
all=denenjenigen,	w7_d338e16432
so	w9_d338e16435
obiges	w11_d338e16438
Gast=gebhaus	w1_d338e16444
mit	w3_d338e16447
denen	w5_d338e16450
recensirten	w7_d338e16453
Appertinen-	w9_d338e16456
rien	w1_d338e16461
licitando	w3_d338e16464
an	w5_d338e16467
sich	w7_d338e16470
zu	w9_d338e16473
bringen,	w11_d338e16476
und	w13_d338e16480
zu	w15_d338e16483
dem	w17_d338e16486
Ende	w1_d338e16491
bey	w3_d338e16494
der,	w5_d338e16497
auf	w7_d338e16500
den	w9_d338e16503
21sten	w11_d338e16506
April	w13_d338e16510
bestimmten	w15_d338e16513
Licitations-tagsatzung	w1_d338e16518
zu	w3_d338e16521
erscheinen	w5_d338e16524
entschlossen,	w7_d338e16527
zu	w1_d338e16533
ihrer	w3_d338e16536
sicheren	w5_d338e16539
Cynosur	w7_d338e16542
und	w9_d338e16545
Verläßlichkeit	w11_d338e16548
von	w13_d338e16552
Amts	w1_d338e16557
wegen	w3_d338e16560
nicht	w5_d338e16563
verhalten	w7_d338e16566
wollen.	w9_d338e16569
Actum	w11_d338e16572
Erems	w1_d338e16577
den	w3_d338e16580
27.	w5_d338e16583
Martii	w7_d338e16586
1759.	w9_d338e16589
</p>
<p id="p24_d338e16593">
Es	w1_d338e16597
ist	w3_d338e16600
auf	w5_d338e16603
künftigen	w7_d338e16606
St.	w9_d338e16609
Michaelis	w11_d338e16612
das	w13_d338e16616
Zal	w15_d338e16619
heimische	w1_d338e16624
Bräu=haus	w3_d338e16627
auf	w5_d338e16630
der	w7_d338e16633
Schwechat	w9_d338e16636
in	w11_d338e16639
Be	w13_d338e16643
stand	w1_d338e16648
zu	w3_d338e16651
verlassen,	w5_d338e16654
oder	w7_d338e16657
auch	w9_d338e16660
allenfalls	w11_d338e16663
zu	w13_d338e16667
verkauf	w15_d338e16670
fen,	w1_d338e16676
wer	w3_d338e16679
zu	w5_d338e16682
solchem	w7_d338e16685
Belieben	w9_d338e16688
traget,	w11_d338e16691
der	w13_d338e16695
hat	w15_d338e16698
sich	w17_d338e16701
bey	w19_d338e16704
denen	w1_d338e16709
von	w3_d338e16712
Zalheimischen	w5_d338e16715
Herren	w7_d338e16718
Gebrüderen,	w9_d338e16721
als	w11_d338e16724
Administratoribus	w1_d338e16729
alhier,	w3_d338e16732
entweder	w5_d338e16735
auf	w7_d338e16738
dem	w9_d338e16741
Ho	w11_d338e16744
hen=markt	w1_d338e16749
im	w3_d338e16752
Fernerischen	w5_d338e16755
Haus	w7_d338e16758
im	w9_d338e16761
2.	w11_d338e16764
Stock,	w13_d338e16768
oder	w15_d338e16771
unterhalb	w1_d338e16777
des	w3_d338e16780
alten	w5_d338e16783
Fleisch=markts	w7_d338e16786
im	w9_d338e16789
Schmidi	w11_d338e16792
schen	w1_d338e16797
Haus	w3_d338e16800
im	w5_d338e16803
3.	w7_d338e16806
Stock	w9_d338e16809
anzumelden.	w11_d338e16812
</p>
<p id="p26_d338e16815">
Den	w1_d338e16819
18.	w3_d338e16822
April	w5_d338e16825
wird	w7_d338e16828
in	w9_d338e16831
der	w11_d338e16834
Weinburg=gassen,	w13_d338e16838
in	w1_d338e16843
dem	w3_d338e16846
klein	w5_d338e16849
Colloredischen	w7_d338e16852
Haus,	w9_d338e16855
die	w11_d338e16858
Biblio	w13_d338e16862
thee	w1_d338e16867
des	w3_d338e16870
verstorbenen	w5_d338e16873
Herrn	w7_d338e16876
Reichshofrahtsre	w9_d338e16879
ferendarii	w1_d338e16885
von	w3_d338e16888
Mohr,	w5_d338e16891
wie	w7_d338e16894
auch	w9_d338e16897
eine	w11_d338e16900
sehr	w13_d338e16904
beque	w15_d338e16907
me	w1_d338e16912
Drächstl=bank,	w3_d338e16915
verschiedene	w5_d338e16918
Mather=itische	w7_d338e16921
und	w1_d338e16926
Optische	w3_d338e16929
Jnstrumenta,	w5_d338e16932
einiges	w7_d338e16935
Gewehr,	w9_d338e16938
dann	w1_d338e16943
Collectionen	w3_d338e16946
von	w5_d338e16949
Gips,	w7_d338e16952
Glas,	w9_d338e16955
und	w11_d338e16958
Schwefel	w13_d338e16962
abgegossene	w1_d338e16968
Antiquitäten	w3_d338e16971
und	w5_d338e16974
Medaillen,	w7_d338e16977
auch	w9_d338e16980
Petrefacta	w1_d338e16985
und	w3_d338e16988
Mineralien	w5_d338e16991
verkauffet	w7_d338e16994
werden.	w9_d338e16997
Der	w1_d338e17002
Catalogus	w3_d338e17005
deren	w5_d338e17008
Büchern	w7_d338e17011
ist	w9_d338e17014
bey	w11_d338e17017
dem	w13_d338e17021
golde	w15_d338e17024
nen	w1_d338e17029
Vließ	w3_d338e17032
gratis	w5_d338e17035
zu	w7_d338e17038
bekommen.	w9_d338e17041
</p>
<head id="h2_d338e17047">
Landmarschall,	w1_d338e17051
rc.	w3_d338e17054
</head>
<p id="p4_d338e17057">
Welchergestalten	w1_d338e17061
allerhöchst=gedacht	w3_d338e17064
Jhre	w5_d338e17067
Kais.	w7_d338e17070
Königl.	w1_d338e17075
Apostol.	w3_d338e17078
Majestät	w5_d338e17081
rc.	w7_d338e17084
rc.	w9_d338e17087
über	w11_d338e17090
allerhöchst	w13_d338e17094
deroselben	w1_d338e17099
beschehenen	w3_d338e17102
allerunterthänigsten	w5_d338e17105
Vor	w7_d338e17108
trag	w1_d338e17114
in	w3_d338e17117
Betref	w5_d338e17120
der	w7_d338e17123
N.	w9_d338e17126
Oe.	w11_d338e17129
Land=tafel	w13_d338e17133
unter	w15_d338e17136
an	w17_d338e17139
deren	w1_d338e17144
annoch	w3_d338e17147
nachstehendes	w5_d338e17150
sub	w7_d338e17153
die	w9_d338e17156
15ten	w11_d338e17159
Febr.	w13_d338e17163
dies	w1_d338e17168
Jahrs	w3_d338e17171
allergnädigst	w5_d338e17174
zu	w7_d338e17177
resolviren	w9_d338e17180
geruhet	w11_d338e17183
ha	w13_d338e17187
ben,	w1_d338e17192
daß	w3_d338e17195
so	w5_d338e17198
viel	w7_d338e17201
das	w9_d338e17204
Præteritum	w11_d338e17207
betrift,	w13_d338e17211
denen	w15_d338e17214
Eltern,	w1_d338e17220
und	w3_d338e17223
Gerhaben	w5_d338e17226
unter	w7_d338e17229
einer	w9_d338e17232
gemessenen	w11_d338e17235
Straf	w1_d338e17240
auferleget,	w3_d338e17243
daß	w5_d338e17246
sie	w7_d338e17249
alles,	w9_d338e17252
was	w11_d338e17255
denen	w13_d338e17259
Mi-	w15_d338e17262
</p>
<p id="p6_d338e17265">
nurennibus	w1_d338e17269
durch	w3_d338e17272
Erbschaft,	w5_d338e17275
oder	w7_d338e17278
in	w9_d338e17281
ander	w11_d338e17284
Wege	w1_d338e17289
angefallen	w3_d338e17292
ist,	w5_d338e17295
getreulich	w7_d338e17298
anzeigen,	w9_d338e17301
in	w11_d338e17304
das	w13_d338e17308
künftige	w1_d338e17313
aber	w3_d338e17316
nicht	w5_d338e17319
nur	w7_d338e17322
jenes,	w9_d338e17325
was	w11_d338e17328
von	w13_d338e17332
der	w15_d338e17335
Mur	w17_d338e17338
ter,	w1_d338e17344
sondern	w3_d338e17347
auch	w5_d338e17350
was	w7_d338e17353
von	w9_d338e17356
einen	w11_d338e17359
Tertio	w13_d338e17363
denen	w15_d338e17366
Kindern	w1_d338e17371
anfallet,	w3_d338e17374
denen	w5_d338e17377
Vättern	w7_d338e17380
nicht	w9_d338e17383
eher	w11_d338e17386
ein	w13_d338e17390
geantwortet	w1_d338e17395
werden	w3_d338e17398
solle,	w5_d338e17401
bis	w7_d338e17404
diese	w9_d338e17407
nicht	w11_d338e17410
genug	w13_d338e17414
same	w1_d338e17419
Sicherheit	w3_d338e17422
geleistet	w5_d338e17425
haben;	w7_d338e17428
ferners,	w9_d338e17431
daß	w11_d338e17434
bey	w13_d338e17438
denen	w1_d338e17444
Fidei-Commiss-	w3_d338e17447
und	w5_d338e17450
Majorat-Herrschaften	w7_d338e17453
der	w1_d338e17458
ausfindig	w3_d338e17461
machende	w5_d338e17464
Betrag	w7_d338e17467
deren	w9_d338e17470
Waisen	w11_d338e17473
Depositen	w1_d338e17478
und	w3_d338e17481
Rechnungs=geldern	w5_d338e17484
alsogleich	w7_d338e17487
vor	w9_d338e17490
gemerket,	w1_d338e17495
als	w3_d338e17498
worzu	w5_d338e17501
allerhöchst	w7_d338e17504
gedacht	w9_d338e17507
Jhro	w11_d338e17510
Kaiserl.	w1_d338e17516
Königl.	w3_d338e17519
Apostol.	w5_d338e17522
Majestät	w7_d338e17525
den	w9_d338e17528
allerhoch	w11_d338e17531
sten	w1_d338e17536
Landes=fürstl.	w3_d338e17539
Consens	w5_d338e17542
hiemit	w7_d338e17545
überhaupt	w9_d338e17548
er	w11_d338e17551
theilen,	w1_d338e17556
jedoch	w3_d338e17559
diese	w5_d338e17562
Vormerkung	w7_d338e17565
denen	w9_d338e17568
Fidei-	w11_d338e17571
Commiss-anverwanten,	w1_d338e17576
und	w3_d338e17579
fals	w5_d338e17582
selbe	w7_d338e17585
minorenn	w9_d338e17588
oder	w1_d338e17594
abwesend,	w3_d338e17597
denen	w5_d338e17600
ihnen	w7_d338e17603
ex	w9_d338e17606
Officio	w11_d338e17609
zugeben	w13_d338e17613
den	w1_d338e17618
Curatoribus	w3_d338e17621
ex	w5_d338e17624
Officio	w7_d338e17627
angezeiget,	w9_d338e17630
und	w11_d338e17633
solche	w13_d338e17637
Vormerkung	w1_d338e17642
denenselben,	w3_d338e17645
fals	w5_d338e17648
sie	w7_d338e17651
einige	w9_d338e17654
Allodial-	w11_d338e17657
mittel	w1_d338e17662
zu	w3_d338e17665
Depurirung	w5_d338e17668
oberwehnter	w7_d338e17671
Gelder	w9_d338e17674
bey	w11_d338e17677
denen	w1_d338e17683
Jnhaberen	w3_d338e17686
den	w5_d338e17689
Fidei-Commisa-	w7_d338e17692
oder	w9_d338e17695
Majo-	w11_d338e17698
rat-herrschaften	w1_d338e17703
anzeigen	w3_d338e17706
könten,	w5_d338e17709
unpra	w7_d338e17712
judicit-	w9_d338e17715
lich	w1_d338e17720
seyn,	w3_d338e17723
zugleich	w5_d338e17726
aber	w7_d338e17729
von	w9_d338e17732
diesen	w11_d338e17735
Landmarschalli	w13_d338e17739
schen	w1_d338e17744
Gericht	w3_d338e17747
gewisse	w5_d338e17750
Fristen	w7_d338e17753
(inner	w9_d338e17756
welchen	w11_d338e17759
bey	w13_d338e17763
nicht	w1_d338e17769
ausfindig	w3_d338e17772
machenden	w5_d338e17775
Allodio	w7_d338e17778
die	w9_d338e17781
Depuri-	w11_d338e17784
rung	w1_d338e17789
zu	w3_d338e17792
geschehen	w5_d338e17795
hat)	w7_d338e17798
anberaumet,	w9_d338e17801
darauf	w11_d338e17804
fe	w13_d338e17808
stiglich	w1_d338e17813
gehalten,	w3_d338e17816
auch	w5_d338e17819
ein	w7_d338e17822
Curator	w9_d338e17825
wider	w11_d338e17828
die	w13_d338e17832
Mo-	w15_d338e17835
rosos	w1_d338e17840
aufgestellet,	w3_d338e17843
für	w5_d338e17846
das	w7_d338e17849
künftige	w9_d338e17852
aber	w11_d338e17855
die	w13_d338e17859
bey	w15_d338e17862
denen	w1_d338e17868
Majorats-	w3_d338e17871
und	w5_d338e17874
Fidei-Commiss-herrschaften	w7_d338e17877
einkommende	w1_d338e17882
Pupillen=deposiren,	w3_d338e17885
und	w5_d338e17888
Rechnungs	w7_d338e17891
gelder	w1_d338e17896
bey	w3_d338e17899
denen	w5_d338e17902
N.	w7_d338e17905
Oe.	w9_d338e17908
Herren	w11_d338e17911
Ständen	w13_d338e17915
oder	w15_d338e17918
sonsten	w1_d338e17923
mit	w3_d338e17926
behöriger	w5_d338e17929
Sicherheit	w7_d338e17932
angeleget,	w9_d338e17935
und	w11_d338e17938
daß	w1_d338e17944
dieses	w3_d338e17947
geschehen,	w5_d338e17950
diesem	w7_d338e17953
Land=marschallischen	w9_d338e17956
Gericht	w1_d338e17961
von	w3_d338e17964
drey	w5_d338e17967
zu	w7_d338e17970
