<doc id="wr_1763-03-09" attrs="word" year="1763" month="03" day="09" corpus="2">
<head id="h2_d741e3075">
Schluß	w1_d741e3079
Georg	w1_d741e13906
Ruprecht,	w3_d741e13909
Taglöhn.,	w5_d741e13912
beym	w7_d741e13915
rot.	w9_d741e13918
Krebs.	w11_d741e13921
am	w13_d741e13925
Neustift,	w1_d741e13930
alt	w3_d741e13933
49.	w5_d741e13936
Cathar.	w1_d741e13941
Huberin,	w3_d741e13944
Wittwe,	w5_d741e13947
beyn	w7_d741e13950
3.	w9_d741e13953
Lil.	w11_d741e13956
am	w13_d741e13960
Mag	w15_d741e13963
dal.=gr.,	w1_d741e13969
alt	w3_d741e13972
83.	w5_d741e13975
J.	w7_d741e13978
</list>
<head id="h2_d741e13986">
Summa	w1_d741e13990
13.	w3_d741e13993
Person,,	w5_d741e13996
darunter	w7_d741e13999
5.	w9_d741e14002
Kind.	w11_d741e14005
Den	w1_d741e14010
7.	w3_d741e14013
Martii.	w5_d741e14016
Jn	w1_d741e14021
der	w3_d741e14024
Stadt.	w5_d741e14027
Niemand.	w1_d741e14033
Vor	w1_d741e14038
der	w3_d741e14041
Stadt.	w5_d741e14044
</head>
<list id="l4_d741e14047">
Dem	w1_d741e14051
Hrn.	w3_d741e14054
Carl	w5_d741e14057
Joach.	w7_d741e14060
v.	w9_d741e14063
Göbel,	w11_d741e14066
gew.	w13_d741e14070
K.	w15_d741e14073
K.	w17_d741e14076
Ober	w19_d741e14079
leuten,	w1_d741e14084
s.	w3_d741e14087
Fr.	w5_d741e14090
Anna	w7_d741e14093
Barb.,	w9_d741e14096
im	w11_d741e14099
Baron	w13_d741e14103
Metzis.	w15_d741e14106
H.	w17_d741e14109
in	w1_d741e14114
der	w3_d741e14117
Leopoldst.,	w5_d741e14120
alt	w7_d741e14123
56.	w9_d741e14126
J.	w11_d741e14129
Dem	w1_d741e14135
Hrn.	w3_d741e14138
Mart.	w5_d741e14141
Engelmayr,	w7_d741e14144
Maut=einnehm.	w9_d741e14147
am	w11_d741e14150
Währinger=posto,	w1_d741e14155
s.	w3_d741e14158
S.	w5_d741e14161
Leop.,	w7_d741e14164
im	w9_d741e14167
Maut=H.	w11_d741e14170
alda	w13_d741e14174
alt	w1_d741e14179
28.	w3_d741e14182
J.	w5_d741e14185
Anna	w1_d741e14190
Maria	w3_d741e14193
Pirkmayrin,	w5_d741e14196
Wittwe,	w7_d741e14199
bey	w9_d741e14202
der	w11_d741e14205
Stadt	w13_d741e14209
Venedig	w1_d741e14215
zu	w3_d741e14218
Maria=hülf,	w5_d741e14221
alt	w7_d741e14224
76.	w9_d741e14227
J.	w11_d741e14230
Dem	w1_d741e14235
Joh.	w3_d741e14238
Georg	w5_d741e14241
Schmid,	w7_d741e14244
Herrschaftl.	w9_d741e14247
Lack.,	w11_d741e14250
s.	w13_d741e14254
W.	w1_d741e14259
Justina,	w3_d741e14262
im	w5_d741e14265
kl.	w7_d741e14268
Pißlis.	w9_d741e14271
H.	w11_d741e14274
auf	w13_d741e14278
der	w15_d741e14281
Wieden,	w17_d741e14284
alt	w1_d741e14289
40.	w3_d741e14292
J.	w5_d741e14295
Dem	w1_d741e14301
Franz	w3_d741e14304
Pointner,	w5_d741e14307
Hausmeist.,	w7_d741e14310
s.	w9_d741e14313
K.	w11_d741e14316
Franz	w13_d741e14320
bey	w15_d741e14323
dem	w1_d741e14328
rot.	w3_d741e14331
Ygel	w5_d741e14334
in	w7_d741e14337
der	w9_d741e14340
Josephst.,	w11_d741e14343
alt	w13_d741e14347
4.	w15_d741e14350
J.	w17_d741e14353
Dem	w1_d741e14358
Jgnatz	w3_d741e14361
Brager,	w5_d741e14364
Taglöhn.,	w7_d741e14367
s.	w9_d741e14370
K.	w11_d741e14373
Sophia,	w13_d741e14377
bey	w15_d741e14380
dem	w1_d741e14385
gold.	w3_d741e14388
A.	w5_d741e14391
B.	w7_d741e14394
C.	w9_d741e14397
zu	w11_d741e14400
Maria	w13_d741e14404
hülf,	w15_d741e14407
alt	w17_d741e14410
4.	w19_d741e14413
J.	w21_d741e14416
</list>
<head id="h2_d741e14423">
Summa	w1_d741e14427
8.	w3_d741e14430
Person.,	w5_d741e14433
darunter	w7_d741e14436
3.	w9_d741e14439
Kind.	w11_d741e14442
</head>
<p id="p4_d741e14445">
Von	w1_d741e14449
einem	w3_d741e14452
Löbl.	w5_d741e14455
N.	w7_d741e14458
Oe.	w9_d741e14461
Landschaftsober	w11_d741e14464
einnehmer=amt	w1_d741e14469
wird	w3_d741e14472
hiemit	w5_d741e14475
kund	w7_d741e14478
gemacht,	w9_d741e14481
daß	w11_d741e14484
an	w1_d741e14489
denen	w3_d741e14492
zu	w5_d741e14495
Bestreitung	w7_d741e14498
deren	w9_d741e14501
erforderlichen	w11_d741e14504
Un	w13_d741e14508
kösten	w1_d741e14514
bey	w3_d741e14517
fürgedauertem	w5_d741e14520
Krieg	w7_d741e14523
von	w9_d741e14526
1756.	w11_d741e14529
bis	w13_d741e14533
inclusive	w1_d741e14538
1759.	w3_d741e14541
im	w5_d741e14544
besagten	w7_d741e14547
Amte	w9_d741e14550
erlegte	w11_d741e14553
Anti	w13_d741e14557
cipation	w1_d741e14562
und	w3_d741e14565
Subsidien,	w5_d741e14568
alle	w7_d741e14571
von	w9_d741e14574
30.	w11_d741e14577
bis	w13_d741e14581
exelu	w15_d741e14584
sive	w1_d741e14589
100.	w3_d741e14592
fl.	w5_d741e14595
(wofür	w7_d741e14598
unterm	w9_d741e14601
30.	w11_d741e14604
und	w13_d741e14608
31.	w15_d741e14611
Decemb.	w17_d741e14614
eines	w1_d741e14620
jeglichen	w3_d741e14623
obiger	w5_d741e14626
Jahren	w7_d741e14629
datirte	w9_d741e14632
N.	w11_d741e14635
Oe.	w13_d741e14639
Land	w15_d741e14642
schafts=obligationen	w1_d741e14647
ertheilet	w3_d741e14650
worden	w5_d741e14653
seynd)	w7_d741e14656
der	w9_d741e14659
malen	w1_d741e14664
anwiederum	w3_d741e14667
von	w5_d741e14670
da	w7_d741e14673
aus	w9_d741e14676
zuruck	w11_d741e14679
bezahlet	w13_d741e14683
werden.	w1_d741e14688
Solchemnach	w3_d741e14691
werden	w5_d741e14694
all	w7_d741e14697
jene	w9_d741e14700
Partheyen,	w11_d741e14703
so	w1_d741e14709
derley	w3_d741e14712
N.	w5_d741e14715
Oest.	w7_d741e14718
Landschafts=obligationen	w9_d741e14721
in	w11_d741e14724
Händen	w1_d741e14729
haben,	w3_d741e14732
zu	w5_d741e14735
Abholung	w7_d741e14738
dieser	w9_d741e14741
ihrer	w11_d741e14744
Capita	w13_d741e14748
lien	w1_d741e14753
samt	w3_d741e14756
Jnteresse	w5_d741e14759
an	w7_d741e14762
denen	w9_d741e14765
gewöhnlichen	w11_d741e14768
Zah	w13_d741e14772
lungs=tägen	w1_d741e14777
in	w3_d741e14780
bemeldtem	w5_d741e14783
Amte	w7_d741e14786
sich	w9_d741e14789
einzufinden	w11_d741e14792
haben,	w1_d741e14798
als	w3_d741e14801
wie	w5_d741e14804
im	w7_d741e14807
widrigen	w9_d741e14810
respectu	w11_d741e14813
dieser	w13_d741e14817
Ca	w15_d741e14820
pitalien	w1_d741e14825
vom	w3_d741e14828
30.	w5_d741e14831
und	w7_d741e14834
31.	w9_d741e14837
Martii	w11_d741e14840
dieses	w13_d741e14844
1763sten	w15_d741e14847
Jahrs	w1_d741e14852
ein	w3_d741e14855
weiteres	w5_d741e14858
Jnteresse	w7_d741e14861
nicht	w9_d741e14864
mehr	w11_d741e14867
abgerei	w13_d741e14871
chet	w1_d741e14876
würde.	w3_d741e14879
</p>
<head id="h2_d741e14885">
AVERTISSEMENT.	w1_d741e14889
</head>
<p id="p4_d741e14892">
Von	w1_d741e14896
der	w3_d741e14899
K.	w5_d741e14902
K.	w7_d741e14905
N.	w9_d741e14908
Oe.	w11_d741e14911
Regierung	w13_d741e14915
wegen	w15_d741e14918
de	w17_d741e14921
nen	w1_d741e14926
von	w3_d741e14929
der	w5_d741e14932
von	w7_d741e14935
hier	w9_d741e14938
entwichenen	w11_d741e14941
Julie	w13_d741e14945
Choi	w15_d741e14948
sye	w1_d741e14953
ihren	w3_d741e14956
allhiesig	w5_d741e14959
ruckgelassenen	w7_d741e14962
sammentlichen	w9_d741e14965
Schuldnern	w1_d741e14971
hiemit	w3_d741e14974
kund	w5_d741e14977
zu	w7_d741e14980
machen,	w9_d741e14983
daß	w11_d741e14986
dieselbe	w13_d741e14990
auf	w1_d741e14995
beschehen	w3_d741e14998
gehorsamstes	w5_d741e15001
Anlangen	w7_d741e15004
des	w9_d741e15007
Martin	w11_d741e15010
Roullier	w1_d741e15015
Handelsmann	w3_d741e15018
zu	w5_d741e15021
Paris	w7_d741e15024
und	w9_d741e15027
Compagnie,	w11_d741e15030
zumalen	w1_d741e15035
derselbe	w3_d741e15038
an	w5_d741e15041
obgedachte	w7_d741e15044
Choisye	w9_d741e15047
eine	w11_d741e15050
be	w13_d741e15054
trächtliche	w1_d741e15060
Summam	w3_d741e15063
zu	w5_d741e15066
fordern	w7_d741e15069
hat,	w9_d741e15072
damit	w11_d741e15075
ih	w13_d741e15079
me	w1_d741e15084
zu	w3_d741e15087
seiner	w5_d741e15090
Entschädigung	w7_d741e15093
geholfen	w9_d741e15096
werden	w11_d741e15099
möch	w13_d741e15103
te,	w1_d741e15108
das	w3_d741e15111
obbesagter	w5_d741e15114
Choisye	w7_d741e15117
schuldige	w9_d741e15120
Quantum,	w11_d741e15123
und	w1_d741e15128
respective	w3_d741e15131
ihr	w5_d741e15134
zu	w7_d741e15137
guten	w9_d741e15140
kommende	w11_d741e15143
Activpo	w13_d741e15147
sten	w1_d741e15153
zu	w3_d741e15156
Handen	w5_d741e15159
des	w7_d741e15162
K.	w9_d741e15165
K.	w11_d741e15168
Stadt=gerichts	w13_d741e15172
all	w15_d741e15175
hier	w1_d741e15180
als	w3_d741e15183
derselben	w5_d741e15186
behörigen	w7_d741e15189
Jnstanz,	w9_d741e15192
woselbst	w11_d741e15195
ein	w13_d741e15199
ordentlicher	w1_d741e15204
Concurs	w3_d741e15207
angeordnet	w5_d741e15210
worden	w7_d741e15213
ist,	w9_d741e15216
zu	w11_d741e15219
erlegen	w1_d741e15224
wissen	w3_d741e15227
mögen.	w5_d741e15230
</p>
<list id="l6_d741e15233">
Jn	w1_d741e15237
Purkerstorf	w3_d741e15240
der	w5_d741e15243
ersten	w7_d741e15246
Post	w9_d741e15249
von	w11_d741e15252
Wien	w13_d741e15256
ist	w15_d741e15259
ei	w17_d741e15262
</list>
<p id="p8_d741e15266">
Jn	w1_d741e15270
Purkerstorf	w3_d741e15273
der	w5_d741e15276
ersten	w7_d741e15279
Post	w9_d741e15282
von	w11_d741e15285
Wien	w13_d741e15289
ist	w15_d741e15292
ei	w17_d741e15295
ne	w1_d741e15300
herrschaftliche	w3_d741e15303
Behausung,	w5_d741e15306
bestehend	w7_d741e15309
zu	w9_d741e15312
ebener	w11_d741e15315
Erden	w1_d741e15320
in	w3_d741e15323
3.	w5_d741e15326
aneinander	w7_d741e15329
hangenden	w9_d741e15332
Zimmern,	w11_d741e15335
Ku	w13_d741e15339
chel	w1_d741e15345
und	w3_d741e15348
2.	w5_d741e15351
Speis=zimmern,	w7_d741e15354
zwey	w9_d741e15357
Stallungen	w11_d741e15360
auf	w13_d741e15364
16.	w1_d741e15369
Pferde,	w3_d741e15372
Wagen=schupfen	w5_d741e15375
und	w7_d741e15378
Keller;	w9_d741e15381
im	w11_d741e15384
er	w13_d741e15388
sten	w1_d741e15393
Stock	w3_d741e15396
13.	w5_d741e15399
Zimmer,	w7_d741e15402
und	w9_d741e15405
im	w11_d741e15408
zweyten	w13_d741e15412
Stock	w15_d741e15415
10.	w17_d741e15418
Zimmer	w1_d741e15423
zu	w3_d741e15426
verlassen,	w5_d741e15429
besagte	w7_d741e15432
Zimmer	w9_d741e15435
und	w11_d741e15438
Gele	w13_d741e15442
genheit	w1_d741e15448
ist	w3_d741e15451
auch	w5_d741e15454
allenthalben	w7_d741e15457
auf	w9_d741e15460
den	w11_d741e15463
Winter	w13_d741e15467
mit	w15_d741e15470
Oefen	w1_d741e15475
versehen;	w3_d741e15478
an	w5_d741e15481
diesem	w7_d741e15484
Gebäu	w9_d741e15487
gleich	w11_d741e15490
an	w13_d741e15494
den	w15_d741e15497
Hof	w1_d741e15502
ist	w3_d741e15505
eine	w5_d741e15508
mit	w7_d741e15511
dreyen	w9_d741e15514
Aleen	w11_d741e15517
von	w13_d741e15521
Obst=bäumern	w15_d741e15524
aufgesetzte	w1_d741e15529
Wisen	w3_d741e15532
400.	w5_d741e15535
Klafter	w7_d741e15538
lang,	w9_d741e15541
bey	w11_d741e15544
dem	w13_d741e15548
Ein	w15_d741e15551
gang	w1_d741e15557
ein	w3_d741e15560
springendes	w5_d741e15563
Wasser;	w7_d741e15566
sothane	w9_d741e15569
Wisen	w11_d741e15572
ent	w13_d741e15576
haltet	w1_d741e15581
16.	w3_d741e15584
Joch	w5_d741e15587
oder	w7_d741e15590
Tagwerk,	w9_d741e15593
anbey	w11_d741e15596
ist	w13_d741e15600
auch	w15_d741e15603
ein	w17_d741e15606
wol	w1_d741e15611
gepflogener	w3_d741e15614
Kuchel=garten;	w5_d741e15617
ersagtes	w7_d741e15620
Haus	w9_d741e15623
ist	w1_d741e15628
allenfalls	w3_d741e15631
auch	w5_d741e15634
zu	w7_d741e15637
verkaufen.	w9_d741e15640
Wer	w11_d741e15643
nun	w13_d741e15647
zu	w15_d741e15650
ein	w17_d741e15653
</p>
<p id="p14_d741e15667">
oder	w1_d741e15671
andern	w3_d741e15674
Belieben	w5_d741e15677
traget,	w7_d741e15680
hat	w9_d741e15683
sich	w11_d741e15686
in	w13_d741e15690
Purker	w15_d741e15693
storf	w1_d741e15698
bey	w3_d741e15701
dem	w5_d741e15704
K.	w7_d741e15707
K.	w9_d741e15710
Schloß=forstner	w11_d741e15713
im	w13_d741e15717
Schloß	w15_d741e15720
anzumelden.	w1_d741e15725
NB.	w3_d741e15728
Es	w5_d741e15731
seynd	w7_d741e15734
auch	w9_d741e15737
zu	w11_d741e15740
diesem	w13_d741e15744
Haus	w15_d741e15747
noch	w1_d741e15753
50.	w3_d741e15756
Tagwerküberländ	w5_d741e15759
wisen	w7_d741e15762
zu	w9_d741e15765
haben.	w11_d741e15768
</p>
<list id="l16_d741e15771">
Ju	w1_d741e15775
dem	w3_d741e15778
Graf	w5_d741e15781
Ogilbischen	w7_d741e15784
sonst	w9_d741e15787
genannten	w11_d741e15790
Welis	w13_d741e15794
</list>
<p id="p18_d741e15798">
Ju	w1_d741e15802
dem	w3_d741e15805
Graf	w5_d741e15808
Ogilbischen	w7_d741e15811
sonst	w9_d741e15814
genannten	w11_d741e15817
Welis	w13_d741e15821
schen	w1_d741e15826
Haus,	w3_d741e15829
hinter	w5_d741e15832
dem	w7_d741e15835
Land=haus	w9_d741e15838
gegenüber	w11_d741e15841
der	w13_d741e15845
Löwel=bastey	w1_d741e15850
im	w3_d741e15853
Eck=haus	w5_d741e15856
gerade	w7_d741e15859
über	w9_d741e15862
des	w11_d741e15865
Klo	w13_d741e15869
sters	w1_d741e15875
derer	w3_d741e15878
WW.	w5_d741e15881
EE.	w7_d741e15884
PP.	w9_d741e15887
Minoriten	w11_d741e15890
ist	w13_d741e15894
der	w15_d741e15897
gan	w17_d741e15900
ze	w1_d741e15905
erste	w3_d741e15908
Stock	w5_d741e15911
mit	w7_d741e15914
aller	w9_d741e15917
Zugehör,	w11_d741e15920
auch	w13_d741e15924
Stallung	w15_d741e15927
auf	w1_d741e15932
6.	w3_d741e15935
auch	w5_d741e15938
9.	w7_d741e15941
Pferde	w9_d741e15944
samt	w11_d741e15947
Schupfen,	w13_d741e15951
auch	w15_d741e15954
auf	w17_d741e15957
2.	w19_d741e15960
oder	w1_d741e15965
3.	w3_d741e15968
Wagen	w5_d741e15971
Stellung,	w7_d741e15974
auf	w9_d741e15977
künftigen	w11_d741e15980
Georgi	w13_d741e15984
zu	w15_d741e15987
verlassen,	w1_d741e15993
wer	w3_d741e15996
solches	w5_d741e15999
zu	w7_d741e16002
miethen	w9_d741e16005
willens	w11_d741e16008
ist,	w13_d741e16012
kan	w1_d741e16017
sich	w3_d741e16020
in	w5_d741e16023
dem	w7_d741e16026
nämlichen	w9_d741e16029
Haus	w11_d741e16032
anmelden.	w13_d741e16036
</p>
<p id="p20_d741e16039">
Es	w1_d741e16043
dienet	w3_d741e16046
dem	w5_d741e16049
Publico	w7_d741e16052
zur	w9_d741e16055
Nachricht,	w11_d741e16058
daß	w13_d741e16062
den	w15_d741e16065
10.	w1_d741e16070
Martii	w3_d741e16073
a.	w5_d741e16076
e.	w7_d741e16079
Vormittag	w9_d741e16082
von	w11_d741e16085
9.	w13_d741e16089
bis	w15_d741e16092
12.	w17_d741e16095
und	w19_d741e16098
Nachmittag	w1_d741e16103
von	w3_d741e16106
3.	w5_d741e16109
bis	w7_d741e16112
6.	w9_d741e16115
Uhr	w11_d741e16118
ein	w13_d741e16122
schöner	w15_d741e16125
Vorraht	w17_d741e16128
von	w1_d741e16134
Juristischen,	w3_d741e16137
Historischen	w5_d741e16140
und	w7_d741e16143
Französischen	w9_d741e16146
Büchern	w1_d741e16151
auf	w3_d741e16154
dem	w5_d741e16157
alten	w7_d741e16160
Bauren=markt	w9_d741e16163
in	w11_d741e16166
dem	w13_d741e16170
Hochfürstl.	w1_d741e16175
Lichtensteinischen	w3_d741e16178
Haus	w5_d741e16181
im	w7_d741e16184
dritten	w9_d741e16187
Stock	w1_d741e16192
licitando	w3_d741e16195
solle	w5_d741e16198
verkauffet	w7_d741e16201
werden.	w9_d741e16204
Der	w11_d741e16207
Ca	w13_d741e16211
talogus	w1_d741e16217
ist	w3_d741e16220
in	w5_d741e16223
der	w7_d741e16226
Buchhandlung	w9_d741e16229
zum	w11_d741e16232
goldenen	w13_d741e16236
Vließ	w1_d741e16241
auf	w3_d741e16244
der	w5_d741e16247
hohen	w7_d741e16250
Brucken	w9_d741e16253
gratts	w11_d741e16256
zu	w13_d741e16260
bekommen.	w15_d741e16263
</p>
<p id="p22_d741e16266">
Bendes	w1_d741e16270
Hachgröst.	w3_d741e16273
Harschischen	w5_d741e16276
huclen	w7_d741e16279
Deles.	w9_d741e16282
der	w1_d741e16287
Herrschaft	w3_d741e16290
Margarethen	w5_d741e16293
am	w7_d741e16296
Moos	w9_d741e16299
wegen,	w11_d741e16302
de	w13_d741e16306
nen	w1_d741e16311
sammentlichen	w3_d741e16314
Crebitoren	w5_d741e16317
weil.	w7_d741e16320
Thomas	w9_d741e16323
Platt	w11_d741e16326
hofer,	w1_d741e16332
gewesten	w3_d741e16335
Fleischhackermeisters	w5_d741e16338
zu	w7_d741e16341
Marga	w9_d741e16344
rethen	w1_d741e16349
am	w3_d741e16352
Moos	w5_d741e16355
seel.	w7_d741e16358
hiemit	w9_d741e16361
anzufügen:	w11_d741e16364
Es	w13_d741e16368
seye	w15_d741e16371
auf	w1_d741e16376
Anlangen	w3_d741e16379
des	w5_d741e16382
von	w7_d741e16385
gleich=gedacht=Hochgräfl.	w9_d741e16388
Harrschischen	w1_d741e16393
Judicio	w3_d741e16396
Deleg.	w5_d741e16399
aufgestellten	w7_d741e16402
Curato-	w9_d741e16405
ris	w1_d741e16411
ad	w3_d741e16414
lites	w5_d741e16417
Hrn.	w7_d741e16420
Christoph	w9_d741e16423
Sonnleitner,	w11_d741e16426
J.	w13_d741e16430
U.	w15_d741e16433
D.	w17_d741e16436
Hof	w1_d741e16441
und	w3_d741e16444
Gerichts=advocatens	w5_d741e16447
zu	w7_d741e16450
Publicirung	w9_d741e16453
des	w1_d741e16458
Thomas	w3_d741e16461
Platthoferischen	w5_d741e16464
Cridä	w7_d741e16467
abschieds	w9_d741e16470
eine	w11_d741e16473
Tagsatzung	w1_d741e16478
auf	w3_d741e16481
den	w5_d741e16484
26.	w7_d741e16487
dies	w9_d741e16490
Monats	w11_d741e16493
Martii	w13_d741e16497
fruhe	w15_d741e16500
um	w1_d741e16506
8.	w3_d741e16509
Uhr	w5_d741e16512
anberaumet	w7_d741e16515
worden,	w9_d741e16518
welches	w11_d741e16521
ihnen	w13_d741e16525
Platthoferischen	w1_d741e16530
Creditoren	w3_d741e16533
zu	w5_d741e16536
dem	w7_d741e16539
Ende	w9_d741e16542
erinne	w11_d741e16545
ret	w1_d741e16550
wird,	w3_d741e16553
damit	w5_d741e16556
sie	w7_d741e16559
am	w9_d741e16562
obbestimmten	w11_d741e16565
Tag	w13_d741e16569
und	w15_d741e16572
Stund	w1_d741e16577
in	w3_d741e16580
des	w5_d741e16583
Judicis	w7_d741e16586
Deleg.	w9_d741e16589
Hrn.	w11_d741e16592
Jodoe	w13_d741e16596
Joseph	w15_d741e16599
Butt,	w1_d741e16605
J.	w3_d741e16608
U.	w5_d741e16611
D.	w7_d741e16614
auch	w9_d741e16617
Hof	w11_d741e16620
und	w13_d741e16624
Gerichts=advocatens	w15_d741e16627
im	w1_d741e16632
Passauer=hof	w3_d741e16635
im	w5_d741e16638
ersten	w7_d741e16641
Stock	w9_d741e16644
innenhabenden	w11_d741e16647
Wohnung	w1_d741e16652
alsogewiß	w3_d741e16655
zu	w5_d741e16658
erscheinen,	w7_d741e16661
und	w9_d741e16664
der	w11_d741e16667
Pu	w13_d741e16671
blicirung	w1_d741e16676
beyzuwohnen	w3_d741e16679
wissen,	w5_d741e16682
wie	w7_d741e16685
im	w9_d741e16688
widrigen	w11_d741e16691
auf	w1_d741e16697
Ausbleiben	w3_d741e16700
ein	w5_d741e16703
oder	w7_d741e16706
des	w9_d741e16709
anderen	w11_d741e16712
Theils	w13_d741e16716
der	w15_d741e16719
Abschied	w1_d741e16724
gleichwolen	w3_d741e16727
ex	w5_d741e16730
officio	w7_d741e16733
publiciret,	w9_d741e16736
und	w11_d741e16739
sonsten,	w1_d741e16744
was	w3_d741e16747
Rechtens	w5_d741e16750
ist,	w7_d741e16753
in	w9_d741e16756
Sachen	w11_d741e16759
fürgekehret	w13_d741e16763
werden	w1_d741e16768
solle.	w3_d741e16771
</p>
<list id="l24_d741e16775">
Bendes	w1_d741e16779
Hachgröst.	w3_d741e16782
Harschischen	w5_d741e16785
huclen	w7_d741e16788
Deles.	w9_d741e16791
</list>
<p id="p26_d741e16795">
gewölbe	w1_d741e16799
in	w3_d741e16802
dem	w5_d741e16805
neuen	w7_d741e16808
Michaeler=haus,	w9_d741e16811
zum	w11_d741e16814
Schild	w13_d741e16818
St.	w1_d741e16823
Johannes	w3_d741e16826
in	w5_d741e16829
der	w7_d741e16832
Wüsten,	w9_d741e16835
ist	w11_d741e16838
nebst	w13_d741e16842
vielen	w15_d741e16845
ande	w17_d741e16848
ren	w1_d741e16853
Büchern,	w3_d741e16856
Kupferstichen	w5_d741e16859
und	w7_d741e16862
Land=karten	w9_d741e16865
nach	w11_d741e16868
folgendes	w1_d741e16874
zu	w3_d741e16877
haben:	w5_d741e16880
</p>
<list id="l28_d741e16883">
Jn	w1_d741e16887
dem	w3_d741e16890
Prässerischen	w5_d741e16893
Buch	w7_d741e16896
und	w9_d741e16899
Kupferstich	w11_d741e16902
Verzeichnuß	w1_d741e16907
der	w3_d741e16910
geistlichen	w5_d741e16913
Ordens=personen	w7_d741e16916
in	w1_d741e16921
der	w3_d741e16924
streitenden	w5_d741e16927
Kirche,	w7_d741e16930
welche	w9_d741e16933
nach	w11_d741e16936
ihren	w13_d741e16940
ge	w15_d741e16943
wöhnlichen	w1_d741e16949
Ordens=habiten	w3_d741e16952
abgebildet,	w5_d741e16955
und	w7_d741e16958
nebst	w9_d741e16961
beygefügter	w1_d741e16966
kurzer	w3_d741e16969
Beschreibung	w5_d741e16972
aller	w7_d741e16975
dero	w9_d741e16978
Stif	w11_d741e16981
ter,	w1_d741e16986
in	w3_d741e16989
3.	w5_d741e16992
Theile	w7_d741e16995
abgetheilet	w9_d741e16998
sind;	w11_d741e17001
in	w13_d741e17005
dem	w15_d741e17008
ersten	w17_d741e17011
sind	w19_d741e17014
enthalten	w1_d741e17019
die	w3_d741e17022
Ordens=männer,	w5_d741e17025
in	w7_d741e17028
dem	w9_d741e17031
2ten	w11_d741e17034
die	w13_d741e17038
</list>
<p id="p30_d741e17042">
Muster	w1_d741e17046
eines	w3_d741e17049
heiligen	w5_d741e17052
Todes	w7_d741e17055
in	w9_d741e17058
einigen	w11_d741e17061
Erwe	w13_d741e17065
gungen	w1_d741e17070
vorgestellet	w3_d741e17073
von	w5_d741e17076
R.	w7_d741e17079
P.	w9_d741e17082
Bernardo	w11_d741e17085
Tribolet,	w13_d741e17089
aus	w1_d741e17094
der	w3_d741e17097
Gesellschaft	w5_d741e17100
JEsu.	w7_d741e17103
Aus	w9_d741e17106
dem	w11_d741e17109
Französis.	w13_d741e17113
übersetzt,	w1_d741e17119
8vo	w3_d741e17122
Wien,	w5_d741e17125
in	w7_d741e17128
Franzb.	w9_d741e17131
45.	w11_d741e17134
kr.	w13_d741e17138
</p>
<list id="l32_d741e17141">
GOtt	w1_d741e17145
geheiligte	w3_d741e17148
Jungfrauen,	w5_d741e17151
und	w7_d741e17154
im	w9_d741e17157
3ten	w11_d741e17160
Theil	w13_d741e17164
etliche	w1_d741e17169
Orden,	w3_d741e17172
welche	w5_d741e17175
im	w7_d741e17178
ersten	w9_d741e17181
und	w11_d741e17184
2ten	w13_d741e17188
Theil	w15_d741e17191
übergangen	w1_d741e17196
worden;	w3_d741e17199
desgleichen	w5_d741e17202
unterschiedliche	w7_d741e17205
Collegien	w1_d741e17211
für	w3_d741e17214
arme	w5_d741e17217
Schüler,	w7_d741e17220
und	w9_d741e17223
Versammlun	w11_d741e17226
gen	w1_d741e17231
derer	w3_d741e17234
Frauen,	w5_d741e17237
denen	w7_d741e17240
gewisse	w9_d741e17243
Lebens=regeln	w11_d741e17246
und	w1_d741e17251
Kleidungen,	w3_d741e17254
dadurch	w5_d741e17257
sie	w7_d741e17260
von	w9_d741e17263
einander	w11_d741e17266
un	w13_d741e17270
terschieden,	w1_d741e17275
vorgeschrieben	w3_d741e17278
worden.	w5_d741e17281
Sr.	w7_d741e17284
Päpstl.	w9_d741e17287
Heiligkeit	w1_d741e17293
Clementi	w3_d741e17296
XI.	w5_d741e17299
in	w7_d741e17302
lateinisch	w9_d741e17305
und	w11_d741e17308
ita	w13_d741e17312
liänischer	w1_d741e17317
Sprach	w3_d741e17320
übergeben	w5_d741e17323
von	w7_d741e17326
P.	w9_d741e17329
Philippo	w11_d741e17332
Bo-	w13_d741e17336
nanni	w1_d741e17341
S.	w3_d741e17344
J.	w5_d741e17347
Nunmehro	w7_d741e17350
nach	w9_d741e17353
dem	w11_d741e17356
Römischen	w13_d741e17360
Exemplar	w1_d741e17365
mit	w3_d741e17368
324.	w5_d741e17371
gleichmäßig	w7_d741e17374
schönen	w9_d741e17377
Kupfern	w11_d741e17380
ausgezieret,	w1_d741e17386
und	w3_d741e17389
in	w5_d741e17392
das	w7_d741e17395
Deutsche	w9_d741e17398
übersetzt,	w11_d741e17401
2te	w13_d741e17405
und	w1_d741e17410
verbesserte	w3_d741e17413
Auflag,	w5_d741e17416
4to	w7_d741e17419
Nürnberg,	w9_d741e17422
pr.	w11_d741e17425
7.	w13_d741e17429
fl.	w15_d741e17432
Es	w1_d741e17437
ist	w3_d741e17440
auch	w5_d741e17443
dieses	w7_d741e17446
Werk	w9_d741e17449
mit	w11_d741e17452
Farben	w13_d741e17456
illuminirt	w15_d741e17459
zu	w1_d741e17464
haben	w3_d741e17467
pr.	w5_d741e17470
13.	w7_d741e17473
fl.	w9_d741e17476
Verzeichnuß	w1_d741e17482
der	w3_d741e17485
