<doc id="wr_1758-01-28" attrs="word" year="1758" month="01" day="28" corpus="2">
<head id="h2_d214e2819">
Altona,	w1_d214e2823
Sa	w13_d214e13558
muel	w1_d214e13563
und	w3_d214e13566
Emanuel	w5_d214e13569
Oppenheimischen	w7_d214e13572
Verlas	w9_d214e13575
senschafts=massa	w1_d214e13581
obwaltenden	w3_d214e13584
Rechnungs	w5_d214e13587
Differenzen	w1_d214e13592
verordneten	w3_d214e13595
Kaiserl.	w5_d214e13598
Königl.	w7_d214e13601
Judicio	w1_d214e13606
Delegato	w3_d214e13609
wird	w5_d214e13612
hiemit	w7_d214e13615
jedermäniglich	w9_d214e13618
kund	w1_d214e13623
und	w3_d214e13626
zu	w5_d214e13629
wissen	w7_d214e13632
gemacht,	w9_d214e13635
welcher	w11_d214e13638
gestal	w13_d214e13642
ten	w1_d214e13648
der	w3_d214e13651
Samuel	w5_d214e13654
und	w7_d214e13657
Emanuel	w9_d214e13660
Oppenheimi	w11_d214e13663
scher	w1_d214e13668
Curator	w3_d214e13671
ad	w5_d214e13674
lites	w7_d214e13677
zufolge	w9_d214e13680
dem	w11_d214e13683
zwischen	w13_d214e13687
ihnen	w1_d214e13692
und	w3_d214e13695
dem	w5_d214e13698
Kaiserl.	w7_d214e13701
Königl.	w9_d214e13704
Hof	w11_d214e13707
und	w13_d214e13711
N.	w15_d214e13714
Oe.	w1_d214e13719
Herrn	w3_d214e13722
Cammer=procuratore	w5_d214e13725
in	w7_d214e13728
puncto	w9_d214e13731
zeyer	w1_d214e13737
in	w3_d214e13740
Verstoß	w5_d214e13743
gerahtenen	w7_d214e13746
Kriegs=zahl=amts	w9_d214e13749
quittungen	w1_d214e13754
pr.	w3_d214e13757
21000.	w5_d214e13760
Fl.	w7_d214e13763
und	w9_d214e13766
25000.	w11_d214e13769
Fl.	w13_d214e13773
untern	w1_d214e13778
18.	w3_d214e13781
November	w5_d214e13784
letzthin	w7_d214e13787
ergangenen	w9_d214e13790
Ver	w11_d214e13793
laß	w1_d214e13798
um	w3_d214e13801
die	w5_d214e13804
Ausfertigung	w7_d214e13807
des	w9_d214e13810
valval	w11_d214e13813
Edicts	w13_d214e13817
dahin,	w1_d214e13823
daß	w3_d214e13826
die	w5_d214e13829
Jnnhabere	w7_d214e13832
sowol	w9_d214e13835
der	w11_d214e13838
von	w13_d214e13842
denen	w1_d214e13847
der	w3_d214e13850
Samuel	w5_d214e13853
Oppenheim	w7_d214e13856
untern	w9_d214e13859
31.	w11_d214e13862
Je	w13_d214e13866
ner	w1_d214e13871
1696.	w3_d214e13874
nacher	w5_d214e13877
Ober=österreich	w7_d214e13880
asfignir-	w9_d214e13883
ten	w1_d214e13888
100000.	w3_d214e13891
verstossenen	w5_d214e13894
Kriegs=zahl	w7_d214e13897
amts	w9_d214e13900
Quittung	w1_d214e13906
per.	w3_d214e13909
21000.	w5_d214e13912
Fl.	w7_d214e13915
als	w9_d214e13918
auch	w11_d214e13921
der	w13_d214e13925
von	w15_d214e13928
denen	w1_d214e13933
im	w3_d214e13936
Königreich	w5_d214e13939
Böheim	w7_d214e13942
den	w9_d214e13945
29.	w11_d214e13948
Jener	w13_d214e13952
1700.	w1_d214e13957
angewiesenen	w3_d214e13960
150000.	w5_d214e13963
Fl.	w7_d214e13966
gleichfalls	w9_d214e13969
in	w1_d214e13974
Verstoß	w3_d214e13977
gerahtenen	w5_d214e13980
ebenmäßigen	w7_d214e13983
Kriegs	w9_d214e13986
zahl=amts=quittung	w1_d214e13992
pr.	w3_d214e13995
25000.	w5_d214e13998
Fl.	w7_d214e14001
inner	w9_d214e14004
Jahr	w1_d214e14009
6.	w3_d214e14012
Wochen,	w5_d214e14015
und	w7_d214e14018
3.	w9_d214e14021
Tagen,	w11_d214e14024
sich	w13_d214e14028
also	w15_d214e14031
gewis	w17_d214e14034
anmelden,	w1_d214e14039
und	w3_d214e14042
zu	w5_d214e14045
vorberührten	w7_d214e14048
beyden	w9_d214e14051
Quit	w11_d214e14054
tungen	w1_d214e14059
mittelst	w3_d214e14062
Producirung	w5_d214e14065
deren	w7_d214e14068
Origina	w9_d214e14071
lien	w1_d214e14077
</p>
<p id="p8_d214e14082">
lien	w1_d214e14086
rechtlich	w3_d214e14089
legitimiren,	w5_d214e14092
als	w7_d214e14095
im	w9_d214e14098
widrigen	w11_d214e14101
nach	w1_d214e14106
Exspirirung	w3_d214e14109
sothannen	w5_d214e14112
Termins	w7_d214e14115
selbe	w9_d214e14118
gänzlichen	w1_d214e14123
cassiret,	w3_d214e14126
und	w5_d214e14129
annulliret	w7_d214e14132
seyn	w9_d214e14135
sollen,	w11_d214e14138
bey	w1_d214e14144
diesem	w3_d214e14147
Kaiserl.	w5_d214e14150
Königl.	w7_d214e14153
Judicio	w9_d214e14156
Delegato	w11_d214e14159
gehorsamst	w1_d214e14164
angelanget	w3_d214e14167
habe;	w5_d214e14170
da	w7_d214e14173
nun	w9_d214e14176
in	w11_d214e14179
die	w13_d214e14183
ses	w1_d214e14188
des	w3_d214e14191
Herrn	w5_d214e14194
Curatoris	w7_d214e14197
Gesuch	w9_d214e14200
von	w11_d214e14203
Rechts	w13_d214e14207
wegen	w1_d214e14212
gewilliget	w3_d214e14215
worden,	w5_d214e14218
als	w7_d214e14221
wird	w9_d214e14224
denen	w11_d214e14227
et	w13_d214e14231
wannigen	w1_d214e14237
Jnnhabern	w3_d214e14240
vor=erwehnt=zweyer	w5_d214e14243
Kriegs=zahl=amts=quittungen	w1_d214e14248
per.	w3_d214e14251
21000.	w5_d214e14254
und	w1_d214e14259
25000.	w3_d214e14262
Fl.	w5_d214e14265
durch	w7_d214e14268
gegenwärtiges	w9_d214e14271
Edict	w11_d214e14274
anbefohlen,	w1_d214e14279
daß	w3_d214e14282
selbe	w5_d214e14285
längstens	w7_d214e14288
bis	w9_d214e14291
1.	w11_d214e14294
April	w13_d214e14298
dieses	w1_d214e14304
1758.	w3_d214e14307
Jahrs	w5_d214e14310
bey	w7_d214e14313
diesem	w9_d214e14316
sub	w11_d214e14319
præsidio	w13_d214e14323
ihrer	w1_d214e14328
Kaiserl.	w3_d214e14331
Königl.	w5_d214e14334
Majestät	w7_d214e14337
würcklichen	w9_d214e14340
geheimen	w1_d214e14345
Rahts	w3_d214e14348
Cammerern,	w5_d214e14351
und	w7_d214e14354
N.	w9_d214e14357
Oe.	w11_d214e14360
Regierung	w1_d214e14365
in	w3_d214e14368
Justiz=sachen	w5_d214e14371
vice-præsiden-	w7_d214e14374
tens	w1_d214e14380
Herrn	w3_d214e14383
Ferdinand	w5_d214e14386
Grafens	w7_d214e14389
v.	w9_d214e14392
Pergen	w11_d214e14395
ver	w13_d214e14399
ordneten	w1_d214e14404
Kaiserl.	w3_d214e14407
Königl.	w5_d214e14410
Jud.	w7_d214e14413
Deleg.	w9_d214e14416
sich	w11_d214e14419
also	w1_d214e14424
gewiß	w3_d214e14427
anmelden,	w5_d214e14430
und	w7_d214e14433
zu	w9_d214e14436
mehr	w11_d214e14439
erwehnten	w13_d214e14443
Kriegs=zahl=amts=quittungen	w1_d214e14448
mittels	w3_d214e14451
Pro-	w5_d214e14454
ducirung	w1_d214e14460
deren	w3_d214e14463
Originalien	w5_d214e14466
rechtlichen	w7_d214e14469
legi	w9_d214e14472
timiren,	w1_d214e14477
als	w3_d214e14480
im	w5_d214e14483
widrigen	w7_d214e14486
nach	w9_d214e14489
Exspirirung	w11_d214e14492
besagten	w1_d214e14497
Termins	w3_d214e14500
sothane	w5_d214e14503
Quittungen	w7_d214e14506
gänz	w9_d214e14509
lichen	w1_d214e14514
cassiret	w3_d214e14517
und	w5_d214e14520
annulliret	w7_d214e14523
seyn	w9_d214e14526
sollen.	w11_d214e14529
Wienn	w1_d214e14535
den	w3_d214e14538
17.	w5_d214e14541
December	w7_d214e14544
1756.	w9_d214e14547
</p>
<p id="p10_d214e14550">
Es	w1_d214e14554
wird	w3_d214e14557
dem	w5_d214e14560
Publico	w7_d214e14563
hiemit	w9_d214e14566
zu	w11_d214e14569
wissen	w13_d214e14573
ge	w15_d214e14576
macht,	w1_d214e14581
wie	w3_d214e14584
daß	w5_d214e14587
den	w7_d214e14590
27.	w9_d214e14593
Febr.	w11_d214e14596
dies	w13_d214e14600
lauffen	w15_d214e14603
den	w1_d214e14608
1758.	w3_d214e14611
Jahrs	w5_d214e14614
der	w7_d214e14617
Kramreiterische	w9_d214e14620
zu	w11_d214e14623
Pellendorf	w1_d214e14629
unweit	w3_d214e14632
Lanzendorf	w5_d214e14635
ligende	w7_d214e14638
gan	w9_d214e14641
und	w1_d214e14646
ein	w3_d214e14649
viertel	w5_d214e14652
Lehen=hof	w7_d214e14655
samt	w9_d214e14658
dem	w11_d214e14661
darzu	w13_d214e14665
gehörigen	w1_d214e14670
Haus,	w3_d214e14673
und	w5_d214e14676
Uberländ	w7_d214e14679
Grund=stücken	w9_d214e14682
licitando	w1_d214e14687
werde	w3_d214e14690
verkauft	w5_d214e14693
werden,	w7_d214e14696
wer	w9_d214e14699
nun	w11_d214e14702
also	w13_d214e14706
solche	w1_d214e14712
gute	w3_d214e14715
Wirtschaft	w5_d214e14718
käuflichen	w7_d214e14721
an	w9_d214e14724
sich	w11_d214e14727
zu	w13_d214e14731
bringen	w1_d214e14736
gedenket,	w3_d214e14739
wird	w5_d214e14742
auf	w7_d214e14745
obigen	w9_d214e14748
Tag	w11_d214e14751
früh	w13_d214e14755
um	w1_d214e14760
9.	w3_d214e14763
Uhr	w5_d214e14766
in	w7_d214e14769
der	w9_d214e14772
GrafGatterburgischen	w11_d214e14775
Herr	w13_d214e14779
schafts=canzley	w1_d214e14784
zu	w3_d214e14787
Zwölfäxring	w5_d214e14790
zu	w7_d214e14793
erscheinen	w9_d214e14796
sich	w1_d214e14802
belieben	w3_d214e14805
lassen.	w5_d214e14808
</p>
<p id="p12_d214e14812">
Auf	w1_d214e14816
Verordnung	w3_d214e14819
einer	w5_d214e14822
Hochlöbl.	w7_d214e14825
Kaiserl.	w9_d214e14828
Königl.	w1_d214e14833
N.	w3_d214e14836
Oe.	w5_d214e14839
Regierung	w7_d214e14842
in	w9_d214e14845
Justiz-sachen,	w11_d214e14848
werden	w1_d214e14853
den	w3_d214e14856
9ten	w5_d214e14859
zukünftigen	w7_d214e14862
Monats	w9_d214e14865
Febr.	w11_d214e14868
in	w1_d214e14874
der	w3_d214e14877
klein	w5_d214e14880
Dorothee=gassen	w7_d214e14883
im	w9_d214e14886
Baaderischen	w11_d214e14889
haus	w1_d214e14894
im	w3_d214e14897
1.	w5_d214e14900
Stock	w7_d214e14903
Jubellen,	w9_d214e14906
Gold,	w11_d214e14909
Silber,	w13_d214e14913
bordirt	w1_d214e14918
und	w3_d214e14921
andere	w5_d214e14924
Kleider,	w7_d214e14927
Porcelan,	w9_d214e14930
Wäsch	w11_d214e14933
Damast	w1_d214e14938
und	w3_d214e14941
andere	w5_d214e14944
Spallier,	w7_d214e14947
Kästen,	w9_d214e14950
in	w11_d214e14953
und	w1_d214e14959
ausländische	w3_d214e14962
Wein,	w5_d214e14965
Pferd	w7_d214e14968
und	w9_d214e14971
Wagen,	w11_d214e14974
Vormittag	w1_d214e14979
von	w3_d214e14982
9.	w5_d214e14985
bis	w7_d214e14988
12.	w9_d214e14991
und	w11_d214e14994
Nachmittag	w13_d214e14998
von	w1_d214e15003
3	w3_d214e15006
bis	w5_d214e15009
6	w7_d214e15012
Uhr	w9_d214e15015
dem	w11_d214e15018
Meist=bietenden	w13_d214e15022
hind	w15_d214e15025
an	w1_d214e15030
gegeben	w3_d214e15033
werden.	w5_d214e15036
</p>
<p id="p14_d214e15039">
Auf	w1_d214e15043
Verordnung	w3_d214e15046
eines	w5_d214e15049
Löblichen	w7_d214e15052
Stadt	w9_d214e15055
rahts	w1_d214e15060
alhier	w3_d214e15063
werden	w5_d214e15066
bey	w7_d214e15069
demselben	w9_d214e15072
den	w11_d214e15075
27.	w13_d214e15079
</p>
<p id="p16_d214e15082">
Febr.	w1_d214e15086
frühe	w3_d214e15089
um	w5_d214e15092
9.	w7_d214e15095
Uhr	w9_d214e15098
Weil.	w11_d214e15101
Herrn	w13_d214e15105
Ferbi	w15_d214e15108
nand	w1_d214e15113
Fischer,	w3_d214e15116
gewest	w5_d214e15119
gemeiner	w7_d214e15122
Stadtgrund	w9_d214e15125
buchs	w1_d214e15130
Registratoris	w3_d214e15133
seel.	w5_d214e15136
hinterlassen	w7_d214e15139
im	w9_d214e15142
Doctor	w1_d214e15148
Schmidischen	w3_d214e15151
Haus	w5_d214e15154
in	w7_d214e15157
der	w9_d214e15160
Römer	w11_d214e15163
strassen,	w1_d214e15168
und	w3_d214e15171
im	w5_d214e15174
Fischerischen	w7_d214e15177
Haus	w9_d214e15180
auf	w11_d214e15183
dem	w13_d214e15187
alten	w1_d214e15192
Fleisch=markt	w3_d214e15195
ligende	w5_d214e15198
Weine,	w7_d214e15201
Siefrin	w9_d214e15204
ger,	w1_d214e15209
Neustifter,	w3_d214e15212
und	w5_d214e15215
Schlammerstorfer	w7_d214e15218
Ge	w9_d214e15221
wächs,	w1_d214e15227
von	w3_d214e15230
Anno	w5_d214e15233
1746.	w7_d214e15236
752,	w9_d214e15239
753,	w11_d214e15242
7541	w13_d214e15246
755,	w1_d214e15251
756,	w3_d214e15254
und	w5_d214e15257
757.	w7_d214e15260
dann	w9_d214e15263
die	w11_d214e15266
schönste	w13_d214e15270
eiserne	w15_d214e15273
Band	w1_d214e15278
hierzu	w3_d214e15281
von	w5_d214e15284
45.	w7_d214e15287
42.	w9_d214e15290
40.	w11_d214e15293
39.	w13_d214e15297
38.	w15_d214e15300
33.	w17_d214e15303
32.	w1_d214e15308
30.	w3_d214e15311
29.	w5_d214e15314
27.	w7_d214e15317
15.	w9_d214e15320
13.	w11_d214e15323
12.	w13_d214e15327
10.	w15_d214e15330
und	w17_d214e15333
5.	w19_d214e15336
Eimer,	w1_d214e15342
offentlich	w3_d214e15345
ausgefeilet	w5_d214e15348
und	w7_d214e15351
dem	w9_d214e15354
Meist	w11_d214e15357
bietenden	w1_d214e15362
verkauft	w3_d214e15365
werden.	w5_d214e15368
</p>
<list id="l18_d214e15371">
Bey	w1_d214e15375
Johann	w3_d214e15378
Paul	w5_d214e15381
Kraus,	w7_d214e15384
Buch=händlern	w9_d214e15387
neben	w1_d214e15392
der	w3_d214e15395
Kaiserl.	w5_d214e15398
Burg	w7_d214e15401
seynd	w9_d214e15404
folgende	w11_d214e15407
Bü	w13_d214e15411
cher	w1_d214e15416
zu	w3_d214e15419
haben:	w5_d214e15422
Oeuvres	w1_d214e15428
de	w3_d214e15431
François	w5_d214e15434
de	w7_d214e15437
la	w9_d214e15440
Morhe	w11_d214e15443
le	w13_d214e15447
Vayer	w1_d214e15452
Conseiller	w3_d214e15455
d'Etat	w5_d214e15458
&	w7_d214e15461
c.	w9_d214e15464
nouvelle	w11_d214e15467
Edi-	w13_d214e15471
tion	w1_d214e15476
revuè	w3_d214e15479
&	w5_d214e15482
augmentée	w7_d214e15485
X.	w9_d214e15488
Volumes	w11_d214e15491
8vo	w1_d214e15496
grand	w3_d214e15499
Dresde	w5_d214e15502
1757.	w7_d214e15505
13.	w9_d214e15508
fl.	w11_d214e15511
Les	w1_d214e15517
Reveries	w3_d214e15520
ou	w5_d214e15523
Memoires	w7_d214e15526
sur	w9_d214e15529
l'Art	w11_d214e15532
de	w13_d214e15536
la	w1_d214e15541
Guerre	w3_d214e15544
de	w5_d214e15547
Maurice	w7_d214e15550
Comte	w9_d214e15553
de	w11_d214e15556
Saxe,	w13_d214e15560
Duc	w15_d214e15563
de	w1_d214e15568
Courlande	w3_d214e15571
&	w5_d214e15574
de	w7_d214e15577
Semigalle	w9_d214e15580
&c.	w11_d214e15583
&c.	w13_d214e15587
avec	w1_d214e15592
figur.	w3_d214e15595
4to	w5_d214e15598
à	w7_d214e15601
la	w9_d214e15604
Hay.	w11_d214e15607
1756.	w13_d214e15611
7.	w15_d214e15614
fl.	w17_d214e15617
30.	w19_d214e15620
kr.	w21_d214e15623
La	w1_d214e15629
Petite	w3_d214e15632
Guerre,	w5_d214e15635
ou	w7_d214e15638
Traité	w9_d214e15641
du	w11_d214e15644
service	w13_d214e15648
des	w1_d214e15653
Trouppes	w3_d214e15656
legeres	w5_d214e15659
en	w7_d214e15662
Campagne.	w9_d214e15665
Par	w11_d214e15668
Mr.	w1_d214e15673
de	w3_d214e15676
Grandmaison.	w5_d214e15679
8vo	w7_d214e15682
Frf.	w9_d214e15685
1758.	w11_d214e15688
45.	w1_d214e15693
kr.	w3_d214e15696
Des	w1_d214e15702
Hrn.	w3_d214e15705
Marquis	w5_d214e15708
von	w7_d214e15711
Santa	w9_d214e15714
Crutzmar	w11_d214e15717
zenado	w1_d214e15722
Gedanken	w3_d214e15725
von	w5_d214e15728
Kriegs	w7_d214e15731
und	w9_d214e15734
Staats	w11_d214e15737
geschäften,	w1_d214e15742
aus	w3_d214e15745
dem	w5_d214e15748
Französischen	w7_d214e15751
übersetzt.	w9_d214e15754
12.	w1_d214e15759
Theile	w3_d214e15762
8vo	w5_d214e15765
Wien	w7_d214e15768
1753.	w9_d214e15771
9.	w11_d214e15774
fl.	w13_d214e15778
</list>
<p id="p20_d214e15782">
Neuer	w1_d214e15786
Wirtschafts	w3_d214e15789
und	w5_d214e15792
Canzley=calender,	w7_d214e15795
zu	w1_d214e15800
Ehren	w3_d214e15803
St.	w5_d214e15806
Adalberti,	w7_d214e15809
nebst	w9_d214e15812
einem	w11_d214e15815
Alphabe	w13_d214e15819
tischen	w1_d214e15824
Register	w3_d214e15827
der	w5_d214e15830
hohen	w7_d214e15833
adelichen	w9_d214e15836
Standes	w11_d214e15839
geschlechter	w1_d214e15845
des	w3_d214e15848
Königreichs	w5_d214e15851
Böheim.	w7_d214e15854
</p>
<list id="l22_d214e15857">
Bey	w1_d214e15861
dem	w3_d214e15864
Verleger	w5_d214e15867
des	w7_d214e15870
Wienerischen	w9_d214e15873
Diarik	w11_d214e15876
ist	w1_d214e15881
zu	w3_d214e15884
haben:	w5_d214e15887
</list>
<p id="p24_d214e15892">
Den	w1_d214e15896
31ten	w3_d214e15899
dieses	w5_d214e15902
Monats	w7_d214e15905
Jan.	w9_d214e15908
Nachmit	w11_d214e15911
tags	w1_d214e15916
um	w3_d214e15919
2.	w5_d214e15922
Uhr	w7_d214e15925
wird	w9_d214e15928
in	w11_d214e15931
dem	w13_d214e15935
Dorothee=hof	w15_d214e15938
in	w17_d214e15941
der	w1_d214e15946
Wohnung	w3_d214e15949
des	w5_d214e15952
Herrn	w7_d214e15955
Fellner	w9_d214e15958
als	w11_d214e15961
Kloster	w13_d214e15965
Michael	w1_d214e15971
Bayerischen	w3_d214e15974
Grund=buch=handlers	w5_d214e15977
im	w7_d214e15980
2ten	w1_d214e15985
Stock	w3_d214e15988
die	w5_d214e15991
zu	w7_d214e15994
Währing	w9_d214e15997
nächst	w11_d214e16000
Wien	w13_d214e16004
ge	w15_d214e16007
legene	w1_d214e16012
Rebellische	w3_d214e16015
Behausung	w5_d214e16018
samt	w7_d214e16021
Garten,	w9_d214e16024
6.	w1_d214e16029
Zimmer	w3_d214e16032
in	w5_d214e16035
dem	w7_d214e16038
ersten	w9_d214e16041
Stock,	w11_d214e16044
dann	w13_d214e16048
8.	w15_d214e16051
Hol	w17_d214e16054
den=wohnungen,	w1_d214e16060
Mayr=hof,	w3_d214e16063
und	w5_d214e16066
19.	w7_d214e16069
Joch	w9_d214e16072
Aecker	w1_d214e16077
am	w3_d214e16080
Garten	w5_d214e16083
anligend,	w7_d214e16086
licitando	w9_d214e16089
ver	w11_d214e16092
kauffet	w1_d214e16097
werden.	w3_d214e16100
</p>
<head id="h4_d214e16117">
NOTIFICATION.	w1_d214e16121
</head>
<p id="p6_d214e16124">
Es	w1_d214e16128
ist	w3_d214e16131
den	w5_d214e16134
3ten	w7_d214e16137
Jan.	w9_d214e16140
1758.	w11_d214e16143
ein	w13_d214e16147
grün	w15_d214e16150
ge	w17_d214e16153
strickt=seidener	w1_d214e16158
Beutel	w3_d214e16161
mit	w5_d214e16164
15.	w7_d214e16167
Ducaten,	w9_d214e16170
nebst	w1_d214e16175
einem	w3_d214e16178
Petschaft	w5_d214e16181
(welches	w7_d214e16184
einen	w9_d214e16187
Anker	w11_d214e16190
mit	w1_d214e16196
5.	w3_d214e16199
Sternen	w5_d214e16202
umgeben,	w7_d214e16205
und	w9_d214e16208
in	w11_d214e16211
der	w13_d214e16215
Höhe	w15_d214e16218
einen	w1_d214e16223
offenen	w3_d214e16226
Helm	w5_d214e16229
mit	w7_d214e16232
einem	w9_d214e16235
Löwen	w11_d214e16238
und	w13_d214e16242
Schwert	w1_d214e16247
vorstellet)	w3_d214e16250
nicht	w5_d214e16253
minder	w7_d214e16256
ein	w9_d214e16259
Ringel,	w11_d214e16262
so	w1_d214e16267
in	w3_d214e16270
der	w5_d214e16273
Mitte	w7_d214e16276
einen	w9_d214e16279
Brillanten	w11_d214e16282
in	w13_d214e16286
der	w15_d214e16289
Grös	w17_d214e16292
se	w1_d214e16298
einer	w3_d214e16301
kleenen	w5_d214e16304
Erbse	w7_d214e16307
hat,	w9_d214e16310
und	w11_d214e16313
mit	w13_d214e16317
7.	w15_d214e16320
klei	w17_d214e16323
nen	w1_d214e16328
Diamanten	w3_d214e16331
umher	w5_d214e16334
besetzet	w7_d214e16337
ist,	w9_d214e16340
desglei	w11_d214e16343
chen	w1_d214e16348
ein	w3_d214e16351
Paar	w5_d214e16354
goldene	w7_d214e16357
Hemd=knöpfl,	w9_d214e16360
welche	w11_d214e16363
auch	w1_d214e16368
in	w3_d214e16371
der	w5_d214e16374
Mitten	w7_d214e16377
rote	w9_d214e16380
Böhmische	w11_d214e16383
Granaten	w13_d214e16387
haben,	w1_d214e16393
dann	w3_d214e16396
noch	w5_d214e16399
ein	w7_d214e16402
Paar	w9_d214e16405
sehr	w11_d214e16408
kostbare	w13_d214e16412
Ohr	w15_d214e16415
gehänge,	w1_d214e16420
jedes	w3_d214e16423
mit	w5_d214e16426
einem	w7_d214e16429
einfachen	w9_d214e16432
grossen	w11_d214e16435
Brillanten	w1_d214e16440
von	w3_d214e16443
alter	w5_d214e16446
Facon,	w7_d214e16449
verloren	w9_d214e16452
gegan	w11_d214e16455
gen,	w1_d214e16460
wer	w3_d214e16463
solches	w5_d214e16466
bekäme,	w7_d214e16469
der	w9_d214e16472
beliebe	w11_d214e16475
hievon	w13_d214e16479
in	w1_d214e16485
der	w3_d214e16488
Sacrystey	w5_d214e16491
der	w7_d214e16494
St.	w9_d214e16497
Stephans=kirch	w11_d214e16500
die	w1_d214e16505
Anzeige	w3_d214e16508
zu	w5_d214e16511
machen,	w7_d214e16514
wird	w9_d214e16517
alsogleich	w11_d214e16520
100.	w13_d214e16524
Ducaten	w1_d214e16529
Recompens	w3_d214e16532
darfür	w5_d214e16535
empfangen.	w7_d214e16538
Solten	w1_d214e16543
etwann	w3_d214e16546
die	w5_d214e16549
Brillanten	w7_d214e16552
aus	w9_d214e16555
denen	w11_d214e16558
Ohr	w1_d214e16564
gehängen	w3_d214e16567
heraus	w5_d214e16570
genommen,	w7_d214e16573
und	w9_d214e16576
al	w11_d214e16579
lenfalls	w1_d214e16584
zu	w3_d214e16587
einem	w5_d214e16590
Stein=schneider,	w7_d214e16593
um	w9_d214e16596
solche	w11_d214e16599
zu	w1_d214e16604
zerschneiden,	w3_d214e16607
oder	w5_d214e16610
aber	w7_d214e16613
zu	w9_d214e16616
einem	w11_d214e16619
Jubellier	w13_d214e16623
um	w1_d214e16628
anderes	w3_d214e16631
zu	w5_d214e16634
fassen,	w7_d214e16637
oder	w9_d214e16640
etwann	w11_d214e16643
in	w13_d214e16647
einen	w15_d214e16650
Ring	w1_d214e16656
zu	w3_d214e16659
versetzen	w5_d214e16662
gebrache	w7_d214e16665
werden,	w9_d214e16668
so	w11_d214e16671
wer	w13_d214e16675
den	w1_d214e16680
diese	w3_d214e16683
insonderheit	w5_d214e16686
ersuchet,	w7_d214e16689
gegen	w9_d214e16692
obiger	w11_d214e16695
Recompens	w1_d214e16700
die	w3_d214e16703
diesfällige	w5_d214e16706
Anzeige	w7_d214e16709
zu	w9_d214e16712
machen.	w11_d214e16715
</p>
<p id="p8_d214e16718">
Es	w1_d214e16722
ist	w3_d214e16725
auch	w5_d214e16728
auf	w7_d214e16731
künftiges	w9_d214e16734
Fruh=jahr	w11_d214e16737
zu	w13_d214e16741
Penzing	w1_d214e16746
ein	w3_d214e16749
Haus	w5_d214e16752
mit	w7_d214e16755
Garten,	w9_d214e16758
meublirt	w11_d214e16761
oden	w13_d214e16765
unmeublirter	w1_d214e16770
zu	w3_d214e16773
verkauffen,	w5_d214e16776
wer	w7_d214e16779
solches	w9_d214e16782
an	w11_d214e16785
sich	w1_d214e16791
zu	w3_d214e16794
bringen	w5_d214e16797
gedenket,	w7_d214e16800
kan	w9_d214e16803
sich	w11_d214e16806
bey	w13_d214e16810
dem	w15_d214e16813
Kaiserl.	w1_d214e16818
Holz=inspector	w3_d214e16821
Johann	w5_d214e16824
Michael	w7_d214e16827
Krammer	w1_d214e16832
zu	w3_d214e16835
Schönbrunn	w5_d214e16838
anmelden.	w7_d214e16841
</p>
<p id="p10_d214e16844">
Bey	w1_d214e16848
Johann	w3_d214e16851
Jacob	w5_d214e16854
Lidl	w7_d214e16857
Kupfer=stechern	w9_d214e16860
im	w1_d214e16865
Doctor	w3_d214e16868
Deimlischen	w5_d214e16871
Haus	w7_d214e16874
neben	w9_d214e16877
der	w11_d214e16880
Heil.	w13_d214e16884
Dreyfaltigkeit	w1_d214e16889
ist	w3_d214e16892
zu	w5_d214e16895
haben:	w7_d214e16898
Eine	w9_d214e16901
neue	w11_d214e16904
und	w13_d214e16908
accurate	w1_d214e16914
Land=karte	w3_d214e16917
des	w5_d214e16920
grossen	w7_d214e16923
Herzogtums	w9_d214e16926
Ober	w1_d214e16931
und	w3_d214e16934
Nieder=schlesien,	w5_d214e16937
der	w7_d214e16940
Grafschaft	w9_d214e16943
Glatz,	w1_d214e16948
und	w3_d214e16951
anderen	w5_d214e16954
angränzenden	w7_d214e16957
Ländern,	w9_d214e16960
worinnen	w1_d214e16965
nicht	w3_d214e16968
allein	w5_d214e16971
alle	w7_d214e16974
sich	w9_d214e16977
darinen	w11_d214e16980
befind	w13_d214e16984
liche	w1_d214e16990
17.	w3_d214e16993
Fürstentümer,	w5_d214e16996
und	w7_d214e16999
die	w9_d214e17002
6.	w11_d214e17005
freye	w13_d214e17009
Stan	w15_d214e17012
des=herrschaften,	w1_d214e17017
sondern	w3_d214e17020
auch	w5_d214e17023
alle	w7_d214e17026
Städte	w9_d214e17029
Markt=flecken,	w1_d214e17034
Schlösser,	w3_d214e17037
Dörfer,	w5_d214e17040
Post	w7_d214e17043
stationen,	w1_d214e17048
Berge,	w3_d214e17051
Wälder,	w5_d214e17054
Flüsse	w7_d214e17057
rc.	w9_d214e17060
genau	w11_d214e17063
verzeichnet,	w1_d214e17069
und	w3_d214e17072
mit	w5_d214e17075
denen	w7_d214e17078
benöhtigten	w9_d214e17081
Ein	w11_d214e17084
theilungen,	w1_d214e17089
Compaß,	w3_d214e17092
und	w5_d214e17095
verschiedenen	w7_d214e17098
Maß=stäben	w1_d214e17103
auf	w3_d214e17106
das	w5_d214e17109
vollkommeneste	w7_d214e17112
versehen	w9_d214e17115
Fein	w1_d214e17120
in	w3_d214e17123
Kupfer	w5_d214e17126
gestochen	w7_d214e17129
auf	w9_d214e17132
3.	w11_d214e17135
Regal=bögen,	w13_d214e17139
</p>
<p id="p12_d214e17143">
das	w1_d214e17147
Exemplar	w3_d214e17150
sauber	w5_d214e17153
