<doc id="wr_1759-05-02" attrs="word" year="1759" month="05" day="02" corpus="2">
<head id="h2_d344e3775">
Maynstrom	w1_d344e3779
</head>
<list id="l4_d344e14706">
Niclas	w1_d344e14710
Cronister,	w3_d344e14713
Burgerl.	w5_d344e14716
Lederer,	w7_d344e14719
in	w9_d344e14722
s.	w11_d344e14725
H.	w13_d344e14729
auf	w15_d344e14732
der	w1_d344e14737
Wied,	w3_d344e14740
alt	w5_d344e14743
Dem	w1_d344e14748
Jos.	w3_d344e14751
Hölzel,	w5_d344e14754
Burgerl.	w7_d344e14757
Tischl.,	w9_d344e14760
s.	w11_d344e14763
K.	w13_d344e14767
Jos.,	w15_d344e14770
bey	w17_d344e14773
dem	w1_d344e14779
schön.	w3_d344e14782
Gart.	w5_d344e14785
am	w7_d344e14788
Neustift,	w9_d344e14791
alt	w11_d344e14794
10.	w13_d344e14798
J.	w15_d344e14801
</list>
<list id="l6_d344e14805">
Dem	w1_d344e14809
Math.	w3_d344e14812
Schmid,	w5_d344e14815
Burgerl.	w7_d344e14818
Schuh=mach.,	w9_d344e14821
s.	w11_d344e14824
W.	w13_d344e14828
Barb.,	w1_d344e14833
im	w3_d344e14836
Maut=H.	w5_d344e14839
vorm	w7_d344e14842
Schotten=thor,	w9_d344e14845
61.	w11_d344e14848
J.	w13_d344e14852
Der	w1_d344e14857
Theres.	w3_d344e14860
Braunschmidin,	w5_d344e14863
Wittwe,	w7_d344e14866
ihr	w9_d344e14869
S.	w11_d344e14872
Wilh.	w13_d344e14876
in	w1_d344e14882
der	w3_d344e14885
Niederlags=schieß=stadt	w5_d344e14888
in	w7_d344e14891
der	w9_d344e14894
Wahringer	w11_d344e14897
gas.,	w1_d344e14902
alt	w3_d344e14905
15.	w5_d344e14908
J.	w7_d344e14911
Cathar.	w1_d344e14916
Schickin,	w3_d344e14919
Wittwe,	w5_d344e14922
im	w7_d344e14925
Maureris.	w9_d344e14928
H.	w11_d344e14931
auf	w13_d344e14935
der	w1_d344e14940
Landstr.,	w3_d344e14943
alt	w5_d344e14946
71.	w7_d344e14949
J.	w9_d344e14952
Dem	w1_d344e14958
Jacob	w3_d344e14961
Legl,	w5_d344e14964
Maurern,	w7_d344e14967
s.	w9_d344e14970
W.	w11_d344e14973
Magdal.,	w13_d344e14977
beym	w15_d344e14980
Rit.	w1_d344e14985
St.	w3_d344e14988
Georg	w5_d344e14991
in	w7_d344e14994
der	w9_d344e14997
Josephst.,	w11_d344e15000
alt	w13_d344e15004
35.	w15_d344e15007
J.	w17_d344e15010
Magdal.	w1_d344e15015
Janischin,	w3_d344e15018
Wittwe,	w5_d344e15021
beym	w7_d344e15024
Englis.	w9_d344e15027
Gruß	w11_d344e15030
in	w13_d344e15034
der	w1_d344e15039
Leopoldst.,	w3_d344e15042
alt	w5_d344e15045
72.	w7_d344e15048
J.	w9_d344e15051
Mart.	w1_d344e15057
Rab.	w3_d344e15060
Lehen=kutsch.	w5_d344e15063
kn.,	w7_d344e15066
bey	w9_d344e15069
der	w11_d344e15072
gold.	w13_d344e15076
Wen	w15_d344e15079
tr.	w1_d344e15084
in	w3_d344e15087
der	w5_d344e15090
Unger=gas.,	w7_d344e15093
alt	w9_d344e15096
70.	w11_d344e15099
Margar.	w1_d344e15104
Aiblin,	w3_d344e15107
Wittwe,	w5_d344e15110
beym	w7_d344e15113
gold.	w9_d344e15116
Einhorn	w11_d344e15119
auf	w13_d344e15123
der	w1_d344e15128
Laimgr.,	w3_d344e15131
alt	w5_d344e15134
59.	w7_d344e15137
J.	w9_d344e15140
Mich.	w1_d344e15146
Geiblinger,	w3_d344e15149
Tag=löhn.,	w5_d344e15152
im	w7_d344e15155
Schelsisch.	w9_d344e15158
H.	w11_d344e15161
zu	w13_d344e15165
Gumpendorf,	w1_d344e15170
alt	w3_d344e15173
51.	w5_d344e15176
J.	w7_d344e15179
</list>
<head id="h2_d344e15186">
Summa	w1_d344e15190
12.	w3_d344e15193
Person.	w5_d344e15196
darunter	w7_d344e15199
1.	w9_d344e15202
Kind.	w11_d344e15205
</head>
<head id="h2_d344e15211">
AVERTISSEMENT.	w1_d344e15215
</head>
<p id="p4_d344e15218">
Jn	w1_d344e15222
der	w3_d344e15225
Leopold=stadt	w5_d344e15228
bey	w7_d344e15231
der	w9_d344e15234
weissen	w11_d344e15237
Rosen	w13_d344e15241
seynd	w1_d344e15246
bey	w3_d344e15249
Claudio	w5_d344e15252
Borteaux	w7_d344e15255
einem	w9_d344e15258
Schweitzer,	w11_d344e15261
Electrisier=maschinen	w1_d344e15266
zu	w3_d344e15269
sehen,	w5_d344e15272
worauf	w7_d344e15275
er	w9_d344e15278
alle	w11_d344e15281
rperimenta	w1_d344e15287
in	w3_d344e15290
immer	w5_d344e15293
möglicher	w7_d344e15296
Vollkommen	w9_d344e15299
heit	w1_d344e15304
hervor	w3_d344e15307
bringen	w5_d344e15310
kan.	w7_d344e15313
Diese	w9_d344e15316
Maschinen,	w11_d344e15319
kaum	w1_d344e15324
2.	w3_d344e15327
Fuß	w5_d344e15330
lang,	w7_d344e15333
und	w9_d344e15336
1.	w11_d344e15339
Fuß	w13_d344e15343
breit,	w15_d344e15346
folglich	w17_d344e15349
sehr	w1_d344e15354
bequem	w3_d344e15357
von	w5_d344e15360
einem	w7_d344e15363
Ort	w9_d344e15366
zum	w11_d344e15369
andern	w13_d344e15373
zu	w15_d344e15376
brin	w17_d344e15379
gen	w1_d344e15385
sind,	w3_d344e15388
haben	w5_d344e15391
die	w7_d344e15394
Kraft	w9_d344e15397
Blitz,	w11_d344e15400
und	w13_d344e15404
Knall	w15_d344e15407
vorzustellen,	w1_d344e15412
ein	w3_d344e15415
Loch	w5_d344e15418
durch	w7_d344e15421
ein	w9_d344e15424
Spiel	w11_d344e15427
Karten	w13_d344e15431
zu	w1_d344e15436
schlagen,	w3_d344e15439
und	w5_d344e15442
ein	w7_d344e15445
angenehmes	w9_d344e15448
Glocken=spiel	w11_d344e15451
zu	w1_d344e15456
veranlassen,	w3_d344e15459
mehrer	w5_d344e15462
anderer	w7_d344e15465
zum	w9_d344e15468
Vergnügen	w11_d344e15471
gereichender	w1_d344e15477
Experimenten	w3_d344e15480
zu	w5_d344e15483
geschweigen.	w7_d344e15486
erbietet	w1_d344e15491
sich	w3_d344e15494
der	w5_d344e15497
Besitzer	w7_d344e15500
alle	w9_d344e15503
vorbenannte	w11_d344e15506
und	w13_d344e15510
andere	w1_d344e15515
Experimenten	w3_d344e15518
gegen	w5_d344e15521
billiger	w7_d344e15524
Erkänntlich	w9_d344e15527
keit,	w1_d344e15532
sowol	w3_d344e15535
in	w5_d344e15538
seiner	w7_d344e15541
obigen	w9_d344e15544
Wohnung	w11_d344e15547
als	w13_d344e15551
in	w15_d344e15554
ei	w17_d344e15557
nes	w1_d344e15563
jeden	w3_d344e15566
Behausung	w5_d344e15569
zu	w7_d344e15572
veranstalten,	w9_d344e15575
und	w11_d344e15578
diese	w13_d344e15582
von	w1_d344e15587
ihme	w3_d344e15590
selbsten	w5_d344e15593
erfundene,	w7_d344e15596
und	w9_d344e15599
verfertigte,	w11_d344e15602
auch	w1_d344e15607
allzeit	w3_d344e15610
vorrätige	w5_d344e15613
Maschinen	w7_d344e15616
nebst	w9_d344e15619
denen	w11_d344e15622
Electrisir=kugeln	w1_d344e15627
jedem	w3_d344e15630
Liebhaber	w5_d344e15633
um	w7_d344e15636
einen	w9_d344e15639
leid	w11_d344e15642
lichen	w1_d344e15648
Preis	w3_d344e15651
zu	w5_d344e15654
überlassen.	w7_d344e15657
</p>
<p id="p6_d344e15660">
NB.	w1_d344e15664
Anjetzo	w3_d344e15667
aber	w5_d344e15670
seynd	w7_d344e15673
die	w9_d344e15676
Mathematische	w11_d344e15679
Kunst=stücke,	w1_d344e15684
wie	w3_d344e15687
auch	w5_d344e15690
der	w7_d344e15693
Leopart	w9_d344e15696
ein	w11_d344e15699
jeglicher	w13_d344e15703
à	w1_d344e15708
parte	w3_d344e15711
bey	w5_d344e15714
dem	w7_d344e15717
obbemeldten	w9_d344e15720
Künstler	w11_d344e15723
zu	w13_d344e15727
ver	w15_d344e15730
kauffen.	w1_d344e15736
</p>
<p id="p8_d344e15739">
Es	w1_d344e15743
ist	w3_d344e15746
auf	w5_d344e15749
zukünftigen	w7_d344e15752
Georgi	w9_d344e15755
unweit	w11_d344e15758
von	w13_d344e15762
hier	w15_d344e15765
hinter	w1_d344e15770
dem	w3_d344e15773
sogenanten	w5_d344e15776
Wiener=berg,	w7_d344e15779
ein	w9_d344e15782
Haus	w11_d344e15785
sammt	w1_d344e15790
einem	w3_d344e15793
Lust	w5_d344e15796
und	w7_d344e15799
Zier=garten,	w9_d344e15802
nebst	w11_d344e15805
einer	w1_d344e15811
sehr	w3_d344e15814
schönen	w5_d344e15817
Orangerie	w7_d344e15820
zu	w9_d344e15823
verkauffen,	w11_d344e15826
oder	w1_d344e15831
zu	w3_d344e15834
verlassen.	w5_d344e15837
Wer	w7_d344e15840
nun	w9_d344e15843
ein	w11_d344e15846
solches	w13_d344e15850
käuflichen	w15_d344e15853
an	w1_d344e15858
sich	w3_d344e15861
zu	w5_d344e15864
bringen,	w7_d344e15867
oder	w9_d344e15870
zu	w11_d344e15873
bestehen	w13_d344e15877
Belieben	w15_d344e15880
tra	w17_d344e15883
get,	w1_d344e15888
der	w3_d344e15891
kan	w5_d344e15894
sich	w7_d344e15897
alhier	w9_d344e15900
in	w11_d344e15903
dem	w13_d344e15907
Neuberger=hof	w15_d344e15910
bey	w1_d344e15916
der	w3_d344e15919
Haus=meisterin	w5_d344e15922
anmelden,	w7_d344e15925
wobey	w9_d344e15928
noch	w11_d344e15931
insonderheit	w1_d344e15936
anzuerinneren	w3_d344e15939
ist,	w5_d344e15942
daß	w7_d344e15945
die	w9_d344e15948
Orangen	w11_d344e15951
auch	w1_d344e15956
allein	w3_d344e15959
um	w5_d344e15962
einen	w7_d344e15965
sehr	w9_d344e15968
leidentlichen	w11_d344e15971
Preiß	w13_d344e15975
zu	w1_d344e15980
verkauffen	w3_d344e15983
seye.	w5_d344e15986
</p>
<p id="p14_d344e16000">
Von	w1_d344e16004
des	w3_d344e16007
hoch	w5_d344e16010
und	w7_d344e16013
wol=gebornen	w9_d344e16016
Hrn.	w11_d344e16019
Hrn.	w13_d344e16023
Ca	w15_d344e16026
roli	w1_d344e16031
Friderici	w3_d344e16034
des	w5_d344e16037
Heil.	w7_d344e16040
Römischen	w9_d344e16043
Reichs=grafen,	w11_d344e16046
und	w1_d344e16051
Hrn.	w3_d344e16054
v.	w5_d344e16057
Gatterburg,	w7_d344e16060
Frey=herr	w9_d344e16063
auf	w11_d344e16066
Rütz,	w13_d344e16070
Herrn	w15_d344e16073
deren	w1_d344e16079
Herrschaften	w3_d344e16082
Rötz,	w5_d344e16085
Zwölffaxing,	w7_d344e16088
und	w9_d344e16091
Pellen	w11_d344e16094
dorf	w1_d344e16099
rc.	w3_d344e16102
Judicii	w5_d344e16105
delegati	w7_d344e16108
wegen	w9_d344e16111
wird	w11_d344e16114
hiemit	w13_d344e16118
jeder	w15_d344e16121
männiglich	w1_d344e16126
zu	w3_d344e16129
vernehmen	w5_d344e16132
gegeben,	w7_d344e16135
welcher	w9_d344e16138
gestal	w11_d344e16141
ten	w1_d344e16146
auf	w3_d344e16149
Anlangen	w5_d344e16152
der	w7_d344e16155
Frauen	w9_d344e16158
Mariä	w11_d344e16161
Elisabethä	w13_d344e16165
Oberhammerin	w1_d344e16171
Wittib	w3_d344e16174
hæteditario	w5_d344e16177
nomine	w7_d344e16180
wider	w9_d344e16183
die	w1_d344e16188
Frau	w3_d344e16191
Ernestinam	w5_d344e16194
verwittibt	w7_d344e16197
und	w9_d344e16200
geborne	w11_d344e16203
des	w13_d344e16207
Heil.	w1_d344e16212
Röm	w3_d344e16215
Reichs=gräfin	w5_d344e16218
von	w7_d344e16221
Selb	w9_d344e16224
wegen	w11_d344e16227
schuldi	w13_d344e16231
gen	w1_d344e16236
auf	w3_d344e16239
denen	w5_d344e16242
Uber=länd=weingärten	w7_d344e16245
zu	w9_d344e16248
Pulkau,	w11_d344e16251
benanntlichen	w1_d344e16257
einem	w3_d344e16260
Viextel,	w5_d344e16263
einen	w7_d344e16266
Achtel	w9_d344e16269
in	w11_d344e16272
Oher	w13_d344e16276
land=strasse,	w1_d344e16281
zweyen	w3_d344e16284
Vierteln	w5_d344e16287
in	w7_d344e16290
Unter=holz,	w9_d344e16293
ei	w11_d344e16296
nem	w1_d344e16301
Viertel	w3_d344e16304
in	w5_d344e16307
Ober=haselbarz,	w7_d344e16310
und	w9_d344e16313
einem	w11_d344e16316
Viertel	w13_d344e16320
alda	w1_d344e16325
Satz=weis	w3_d344e16328
vorgemerkten	w5_d344e16331
ein	w7_d344e16334
tausend	w9_d344e16337
Gulden	w11_d344e16340
cum	w1_d344e16346
sua	w3_d344e16349
causa	w5_d344e16352
in	w7_d344e16355
die	w9_d344e16358
gerichtliche	w11_d344e16361
Feilbiet	w1_d344e16366
und	w3_d344e16369
Licitirung	w1_d344e16374
deren	w3_d344e16377
von	w5_d344e16380
der	w7_d344e16383
Gräflichen	w9_d344e16386
Frauen	w11_d344e16389
beklag	w13_d344e16393
ten	w1_d344e16398
verpfändeten	w3_d344e16401
der	w5_d344e16404
hochgräflichGatterburgi	w7_d344e16407
schen	w1_d344e16413
Herrschaft	w3_d344e16416
Rötz	w5_d344e16419
unterthänigen	w7_d344e16422
zu	w9_d344e16425
Pulkau	w11_d344e16428
ge	w13_d344e16432
legenen	w1_d344e16437
Uber=länd=wein=gärten	w3_d344e16440
gewilliget,	w5_d344e16443
und	w7_d344e16446
ver	w9_d344e16449
anfasset	w1_d344e16454
worden,	w3_d344e16457
daß	w5_d344e16460
sothane	w7_d344e16463
Uberländweingär	w9_d344e16466
ten	w1_d344e16471
zu	w3_d344e16474
Pulkau	w5_d344e16477
offentlich	w7_d344e16480
ausgefeilet,	w9_d344e16483
und	w11_d344e16486
an	w13_d344e16490
den	w15_d344e16493
Meit=bietenden	w1_d344e16499
verkauffet,	w3_d344e16502
zu	w5_d344e16505
solchem	w7_d344e16508
Ziel	w9_d344e16511
und	w11_d344e16514
Ende	w1_d344e16519
eine	w3_d344e16522
Tag=satzung	w5_d344e16525
angeordnet,	w7_d344e16528
und	w9_d344e16531
immittelst	w11_d344e16534
ein	w1_d344e16539
gewöhnliches	w3_d344e16542
Edtet	w5_d344e16545
ausgeschrieben	w7_d344e16548
werden	w9_d344e16551
solle.	w1_d344e16556
Wie	w3_d344e16559
zumalen	w5_d344e16562
nun	w7_d344e16565
zu	w9_d344e16568
vornehm	w11_d344e16571
und	w13_d344e16575
Voll	w15_d344e16578
ziehung	w1_d344e16584
der	w3_d344e16587
solcher	w5_d344e16590
gestalten	w7_d344e16593
verwilligten,	w9_d344e16596
und	w11_d344e16599
ver	w13_d344e16603
anlasten	w1_d344e16608
Licitation	w3_d344e16611
der	w5_d344e16614
Achtzehende	w7_d344e16617
künftigen	w9_d344e16620
Mo	w11_d344e16623
nats	w1_d344e16628
May	w3_d344e16631
fruhe	w5_d344e16634
um	w7_d344e16637
8.	w9_d344e16640
Uhr	w11_d344e16643
in	w13_d344e16647
der	w15_d344e16650
hochgräflich	w17_d344e16653
Gatterburgischen	w1_d344e16658
Herrschafts=canzley	w3_d344e16661
zu	w5_d344e16664
Rötz	w7_d344e16667
zu	w9_d344e16670
erscheinen	w1_d344e16676
bestimmet	w3_d344e16679
worden;	w5_d344e16682
als	w7_d344e16685
werden	w9_d344e16688
alle	w11_d344e16691
und	w13_d344e16695
jede,	w1_d344e16700
welche	w3_d344e16703
oben=erdeutet=gräflich=Selbische	w5_d344e16706
Uber	w7_d344e16709
länd=wein=gärten	w1_d344e16714
zu	w3_d344e16717
Pulkau,	w5_d344e16720
käuflichen	w7_d344e16723
an	w9_d344e16726
sich	w11_d344e16729
zu	w13_d344e16733
bringen	w1_d344e16738
gesinnet	w3_d344e16741
seynd,	w5_d344e16744
ad	w7_d344e16747
tractandum	w9_d344e16750
&	w11_d344e16753
con-	w13_d344e16757
cludendum	w1_d344e16763
an	w3_d344e16766
oben=bemeldetem	w5_d344e16769
Tag,	w7_d344e16772
Stund	w9_d344e16775
und	w11_d344e16778
Ort	w1_d344e16783
entweder	w3_d344e16786
in	w5_d344e16789
Persona,	w7_d344e16792
oder	w9_d344e16795
durch	w11_d344e16798
genugsam	w13_d344e16802
Gevollmächtigte	w1_d344e16807
sich	w3_d344e16810
unausbleiblich	w5_d344e16813
einzufinden,	w7_d344e16816
und	w1_d344e16821
anzumelden	w3_d344e16824
haben;	w5_d344e16827
wo	w7_d344e16830
sodann	w9_d344e16833
mit	w11_d344e16836
dem	w13_d344e16840
meist	w15_d344e16843
bietenden,	w1_d344e16849
der	w3_d344e16852
Herrschaft	w5_d344e16855
anstandigen	w7_d344e16858
Kauffer	w9_d344e16861
der	w11_d344e16864
Kauf	w1_d344e16869
geschlossen	w3_d344e16872
werden	w5_d344e16875
solle.	w7_d344e16878
Actum	w9_d344e16881
Wien	w11_d344e16884
den	w13_d344e16888
7.	w1_d344e16893
Aprilis	w3_d344e16896
1759.	w5_d344e16899
</p>
<p id="p16_d344e16902">
Auf	w1_d344e16906
Verordnung	w3_d344e16909
einer	w5_d344e16912
Hochlöbl.	w7_d344e16915
N.	w9_d344e16918
Oe.	w11_d344e16921
Regie	w13_d344e16925
rung	w1_d344e16930
werden	w3_d344e16933
in	w5_d344e16936
dem	w7_d344e16939
Kirchnerischen	w9_d344e16942
Haus	w11_d344e16945
auf	w13_d344e16949
der	w15_d344e16952
hohen	w1_d344e16957
Brucken	w3_d344e16960
im	w5_d344e16963
anderten	w7_d344e16966
Stock	w9_d344e16969
verschiedene	w11_d344e16972
in	w13_d344e16976
Silber	w1_d344e16982
Mahlereyen,	w3_d344e16985
Kleidern,	w5_d344e16988
Wäsch,	w7_d344e16991
und	w9_d344e16994
ande	w11_d344e16997
ren	w1_d344e17002
Zimmer=mobilien,	w3_d344e17005
bestehende	w5_d344e17008
Verlassenschafts	w7_d344e17011
effecten,	w1_d344e17016
wie	w3_d344e17019
auch	w5_d344e17022
einige	w7_d344e17025
Bücher	w9_d344e17028
den	w11_d344e17031
7.	w13_d344e17035
May	w15_d344e17038
fru	w17_d344e17041
he	w1_d344e17046
von	w3_d344e17049
9.	w5_d344e17052
bis	w7_d344e17055
12.	w9_d344e17058
und	w11_d344e17061
Nachmittag	w13_d344e17065
von	w15_d344e17068
3.	w17_d344e17071
bis	w19_d344e17074
6.	w21_d344e17077
Uhr	w1_d344e17083
dem	w3_d344e17086
Meist=bietenden	w5_d344e17089
käuflichen	w7_d344e17092
hindann	w9_d344e17095
gege	w11_d344e17098
ben	w1_d344e17103
werden.	w3_d344e17106
</p>
<p id="p18_d344e17109">
Jch	w1_d344e17113
Johann	w3_d344e17116
Wilhelm	w5_d344e17119
des	w7_d344e17122
Heil.	w9_d344e17125
Röm.	w11_d344e17128
Reichs	w13_d344e17132
Fürst	w1_d344e17137
Trautsohn,	w3_d344e17140
Graf	w5_d344e17143
zu	w7_d344e17146
Falkenstein,	w9_d344e17149
Ritter	w11_d344e17152
des	w13_d344e17156
goldenen	w1_d344e17161
Vliesses	w3_d344e17164
Jhrer	w5_d344e17167
Kaiserl.	w7_d344e17170
Königl.	w9_d344e17173
Majestät	w11_d344e17176
würklich=geheimer	w1_d344e17182
Raht,	w3_d344e17185
Obrist=hof=meister,	w5_d344e17188
und	w7_d344e17191
Land=marschall	w1_d344e17196
in	w3_d344e17199
Oesterreich	w5_d344e17202
unter	w7_d344e17205
der	w9_d344e17208
Eiis:	w11_d344e17211
Ent	w13_d344e17215
biete	w1_d344e17220
N.	w3_d344e17223
allen	w5_d344e17226
und	w7_d344e17229
jeden,	w9_d344e17232
was	w11_d344e17235
Standes	w13_d344e17239
und	w15_d344e17242
Wür	w17_d344e17245
</p>
<p id="p20_d344e17248">
de	w1_d344e17252
die	w3_d344e17255
seynd,	w5_d344e17258
der	w7_d344e17261
Gebühr	w9_d344e17264
nach	w11_d344e17267
meinen	w13_d344e17271
respective	w15_d344e17274
Dienst	w1_d344e17279
in	w3_d344e17282
guten	w5_d344e17285
Willen	w7_d344e17288
zuvor,	w9_d344e17291
und	w11_d344e17294
füge	w13_d344e17298
hiemit	w15_d344e17301
zu	w1_d344e17306
vernehmen.	w3_d344e17309
Es	w5_d344e17312
habe	w7_d344e17315
bey	w9_d344e17318
dem	w11_d344e17321
mir	w13_d344e17325
allergnädigst	w15_d344e17328
anvertrauten	w1_d344e17334
N	w3_d344e17337
Oe.	w5_d344e17340
Land	w7_d344e17343
marschallischen	w9_d344e17346
Gericht	w11_d344e17349
der	w1_d344e17354
gerichtl.	w3_d344e17357
aufgestellte	w5_d344e17360
Franz	w7_d344e17363
Joseph	w9_d344e17366
Schneewei	w11_d344e17369
sische	w1_d344e17374
Curator	w3_d344e17377
ad	w5_d344e17380
lites	w7_d344e17383
Doctor	w9_d344e17386
Huber	w11_d344e17389
schriftlich	w13_d344e17393
vorgestellet,	w1_d344e17398
welchergestalten	w3_d344e17401
bey	w5_d344e17404
vorgewester	w7_d344e17407
Licita	w9_d344e17410
tions=tagsatzung	w1_d344e17416
veraulast	w3_d344e17419
worden	w5_d344e17422
wäre,	w7_d344e17425
daß	w9_d344e17428
zu	w11_d344e17431
Li	w13_d344e17435
citirung	w1_d344e17440
des	w3_d344e17443
in	w5_d344e17446
die	w7_d344e17449
Schneeweisische	w9_d344e17452
Massam	w11_d344e17455
geho	w13_d344e17459
rigen	w1_d344e17464
Frey=hofs	w3_d344e17467
ein	w5_d344e17470
nochmaliges	w7_d344e17473
Licitattons=edirt	w9_d344e17476
bey	w1_d344e17481
der	w3_d344e17484
Canzley	w5_d344e17487
ausgefertiget,	w7_d344e17490
und	w9_d344e17493
bey	w11_d344e17496
der	w13_d344e17500
verhin	w15_d344e17503
angeordnet	w1_d344e17509
gewesten	w3_d344e17512
Tag=satzung	w5_d344e17515
die	w7_d344e17518
Schneewein	w9_d344e17521
sche	w1_d344e17526
Wittib	w3_d344e17529
für	w5_d344e17532
ermeldeten	w7_d344e17535
Frey=hof,	w9_d344e17538
samt	w11_d344e17541
darzu	w13_d344e17545
gehörigen	w1_d344e17550
Grund=stücken	w3_d344e17553
4000.	w5_d344e17556
fl.	w7_d344e17559
zu	w9_d344e17562
geben	w11_d344e17565
cem	w13_d344e17569
mißionaliter	w1_d344e17574
sich	w3_d344e17577
erkläret,	w5_d344e17580
auch	w7_d344e17583
daß	w9_d344e17586
sie	w11_d344e17589
bey	w13_d344e17593
diesem	w15_d344e17596
Anbot	w1_d344e17602
allezeit	w3_d344e17605
verbleiben,	w5_d344e17608
und	w7_d344e17611
den	w9_d344e17614
Hof	w11_d344e17617
um	w13_d344e17621
die	w15_d344e17624
sen	w1_d344e17629
Kauf=schilling	w3_d344e17632
annehmen	w5_d344e17635
wolle,	w7_d344e17638
bey	w9_d344e17641
welcher	w11_d344e17644
Tag=satzung	w1_d344e17649
die	w3_d344e17652
Schneeweisische	w5_d344e17655
Creditores	w7_d344e17658
erschei	w9_d344e17661
nen,	w1_d344e17666
und	w3_d344e17669
allenfalls	w5_d344e17672
das	w7_d344e17675
Jus	w9_d344e17678
offerendi	w11_d344e17681
also	w13_d344e17685
gewiß	w15_d344e17688
exereiren,	w1_d344e17694
und	w3_d344e17697
um	w5_d344e17700
diesen	w7_d344e17703
Hof	w9_d344e17706
einen	w11_d344e17709
höheren	w13_d344e17713
A.	w15_d344e17716
bot	w1_d344e17721
machen,	w3_d344e17724
als	w5_d344e17727
im	w7_d344e17730
widrigen	w9_d344e17733
dieser	w11_d344e17736
ihr	w13_d344e17740
Wittib	w15_d344e17743
um	w17_d344e17746
den	w1_d344e17751
anerbottenen	w3_d344e17754
Kauf=schilling	w5_d344e17757
pr.	w7_d344e17760
4000	w9_d344e17763
fl.	w11_d344e17766
eim	w13_d344e17770
geantwortet	w1_d344e17775
werden	w3_d344e17778
solle:	w5_d344e17781
dännenhero	w7_d344e17784
wiederhol	w9_d344e17787
ter	w1_d344e17793
Curator	w3_d344e17796
gehorsamst	w5_d344e17799
gebetten:	w7_d344e17802
Jch	w9_d344e17805
geruhete	w11_d344e17808
ein	w13_d344e17812
nochmaliges	w1_d344e17817
Licitations=edict	w3_d344e17820
bey	w5_d344e17823
der	w7_d344e17826
Canzley	w9_d344e17829
aur	w11_d344e17832
fertigen	w1_d344e17837
zu	w3_d344e17840
lassen.	w5_d344e17843
Wann	w7_d344e17846
nun	w9_d344e17849
hierinfalls	w11_d344e17852
bewilli	w13_d344e17856
get,	w1_d344e17861
und	w3_d344e17864
zur	w5_d344e17867
Licitations	w7_d344e17870
tag=satzung	w9_d344e17873
der	w11_d344e17876
7te	w13_d344e17880
künf	w15_d344e17883
tigen	w1_d344e17889
Monats	w3_d344e17892
May	w5_d344e17895
bestimmet	w7_d344e17898
worden	w9_d344e17901
ist.	w11_d344e17904
Als	w13_d344e17908
hat	w1_d344e17913
man	w3_d344e17916
ein	w5_d344e17919
solches	w7_d344e17922
zu	w9_d344e17925
dem	w11_d344e17928
Ende	w13_d344e17932
hiemit	w15_d344e17935
jederman	w17_d344e17938
niglichen	w1_d344e17943
nochmalen	w3_d344e17946
kund	w5_d344e17949
machen	w7_d344e17952
wollen,	w9_d344e17955
damit	w11_d344e17958
der,	w1_d344e17963
oder	w3_d344e17966
die	w5_d344e17969
jenige,	w7_d344e17972
so	w9_d344e17975
ob=bemeldeten	w11_d344e17978
Schneewei	w13_d344e17982
sischen	w1_d344e17988
Frey=hof,	w3_d344e17991
samt	w5_d344e17994
Appertinentien	w7_d344e17997
käuflich	w9_d344e18000
an	w11_d344e18003
sich	w1_d344e18008
zu	w3_d344e18011
bringen	w5_d344e18014
willens	w7_d344e18017
seynd,	w9_d344e18020
am	w11_d344e18023
bestimmten	w13_d344e18027
Tag	w15_d344e18030
fruhe	w1_d344e18035
um	w3_d344e18038
8.	w5_d344e18041
Uhr	w7_d344e18044
ad	w9_d344e18047
licitandum,	w11_d344e18050
tractandum,	w13_d344e18054
&	w15_d344e18057
concludendum,	w1_d344e18062
und	w3_d344e18065
zwar	w5_d344e18068
die	w7_d344e18071
Schneeweisische	w9_d344e18074
Cre	w11_d344e18077
ditores	w1_d344e18083
dabey	w3_d344e18086
zu	w5_d344e18089
erscheinen,	w7_d344e18092
und	w9_d344e18095
allenfalls	w11_d344e18098
das	w13_d344e18102
Jus	w15_d344e18105
offerendi	w1_d344e18110
also	w3_d344e18113
gewiß	w5_d344e18116
zu	w7_d344e18119
exerciren,	w9_d344e18122
und	w11_d344e18125
um	w13_d344e18129
diesen	w15_d344e18132
Frey=hof	w1_d344e18137
einen	w3_d344e18140
höheren	w5_d344e18143
Anbot	w7_d344e18146
zu	w9_d344e18149
machen	w11_d344e18152
haben,	w13_d344e18156
als	w1_d344e18161
im	w3_d344e18164
widrigen	w5_d344e18167
dieser	w7_d344e18170
Hof	w9_d344e18173
ihr	w11_d344e18176
Wittib	w13_d344e18180
um	w15_d344e18183
den	w17_d344e18186
all	w19_d344e18189
erbottenen	w1_d344e18195
Kauf=schilling	w3_d344e18198
pr.	w5_d344e18201
4000.	w7_d344e18204
fl.	w9_d344e18207
eingeantwor	w11_d344e18210
tet	w1_d344e18215
werden	w3_d344e18218
solle.	w5_d344e18221
Wien	w7_d344e18224
den	w9_d344e18227
7.	w11_d344e18230
Aprilis	w13_d344e18234
1759.	w15_d344e18237
</p>
<p id="p22_d344e18240">
Dies	w1_d344e18244
lauffenden	w3_d344e18247
Monat	w5_d344e18250
May,	w7_d344e18253
als	w9_d344e18256
den	w11_d344e18259
3.	w13_d344e18263
