<doc id="wr_1757-06-29" attrs="word" year="1757" month="06" day="29" corpus="2">
<head id="h2_d156e3893">
Stokholm	w1_d156e3897
Ochs.	w3_d156e14663
am	w5_d156e14666
Neustift,	w7_d156e14669
alt	w9_d156e14672
66.	w11_d156e14675
J.	w13_d156e14679
Dem	w1_d156e14684
Christian	w3_d156e14687
Bäcker,	w5_d156e14690
Botais.	w7_d156e14693
Sold.,	w9_d156e14696
s.	w11_d156e14699
K.	w13_d156e14703
Franz	w15_d156e14706
in	w1_d156e14712
der	w3_d156e14715
Casarm	w5_d156e14718
in	w7_d156e14721
der	w9_d156e14724
Alster=gas.,	w11_d156e14727
alt	w13_d156e14731
2.	w15_d156e14734
J.	w17_d156e14737
Ant.	w1_d156e14742
Krammer,	w3_d156e14745
Fleisch=hacker=kn.,	w5_d156e14748
im	w7_d156e14751
Langil.	w9_d156e14754
h.	w11_d156e14757
untern	w1_d156e14762
Weiß=gärb.,	w3_d156e14765
alt	w5_d156e14768
25.	w7_d156e14771
J.	w9_d156e14774
Steph.	w1_d156e14779
Huber,	w3_d156e14782
Holz=scheib.,	w5_d156e14785
bey	w7_d156e14788
denen	w9_d156e14791
2.	w11_d156e14794
Löw.	w13_d156e14798
in	w15_d156e14801
der	w1_d156e14807
Rossau,	w3_d156e14810
alt	w5_d156e14813
57.	w7_d156e14816
J.	w9_d156e14819
Dem	w1_d156e14824
Phil.	w3_d156e14827
Artman,	w5_d156e14830
Trag.,	w7_d156e14833
s.	w9_d156e14836
W.	w11_d156e14839
Susan.	w13_d156e14843
bey	w15_d156e14846
den	w17_d156e14849
rot.	w1_d156e14854
Löw.	w3_d156e14857
zu	w5_d156e14860
Margar.,	w7_d156e14863
alt	w9_d156e14866
50.	w11_d156e14869
J.	w13_d156e14873
</list>
<head id="h2_d156e14880">
Summa	w1_d156e14884
9.	w3_d156e14887
Person.	w5_d156e14890
darunter	w7_d156e14893
3.	w9_d156e14896
Kinder.	w11_d156e14899
Den	w1_d156e14904
28.	w3_d156e14907
Junii.	w5_d156e14910
Jn	w1_d156e14915
der	w3_d156e14918
Stadt.	w5_d156e14921
</head>
<list id="l4_d156e14924">
Der	w1_d156e14928
Wol=edel=gestr.,	w3_d156e14931
und	w5_d156e14934
Doch=gelehrte	w7_d156e14937
Hr.	w9_d156e14940
Jos.	w11_d156e14943
Ant.	w1_d156e14948
Visconti,	w3_d156e14951
Phil.	w5_d156e14954
&	w7_d156e14957
Med	w9_d156e14960
Doct.	w11_d156e14963
im	w13_d156e14967
Pfeiffe	w15_d156e14970
ris.	w1_d156e14975
H.	w3_d156e14978
untern	w5_d156e14981
Tuch=laub,	w7_d156e14984
alt	w9_d156e14987
34.	w11_d156e14990
J.	w13_d156e14994
Hr.	w1_d156e15000
Jacob	w3_d156e15003
Pidanko,	w5_d156e15006
Burgerl.	w7_d156e15009
Handels=m.,	w9_d156e15012
im	w11_d156e15015
Muffatis.	w1_d156e15020
H.	w3_d156e15023
in	w5_d156e15026
der	w7_d156e15029
Weihburg=gas.,	w9_d156e15032
alt	w11_d156e15035
47.	w13_d156e15039
J.	w15_d156e15042
</list>
<list id="l6_d156e15046">
Vor	w1_d156e15050
der	w3_d156e15053
Stadt.	w5_d156e15056
Jos.,	w1_d156e15061
berm	w3_d156e15064
gold.	w5_d156e15067
Deg.	w7_d156e15070
bey	w9_d156e15073
St.	w11_d156e15076
Ulrich,	w13_d156e15080
alt	w15_d156e15083
7.	w17_d156e15086
J.	w19_d156e15089
Hungarts.	w1_d156e15094
Kron	w3_d156e15097
im	w5_d156e15100
Liechtenth.,	w7_d156e15103
alt	w9_d156e15106
3.	w11_d156e15109
J.	w13_d156e15113
</list>
<list id="l8_d156e15117">
Dem	w1_d156e15121
Joh.	w3_d156e15124
Wiest,	w5_d156e15127
Burgerl.	w7_d156e15130
Schub=mach,	w9_d156e15133
s.	w11_d156e15136
K.	w13_d156e15140
Dem	w1_d156e15145
Joh.	w3_d156e15148
Ziegler,	w5_d156e15151
Schneid.,	w7_d156e15154
s.	w9_d156e15157
K.	w11_d156e15160
Theres.,	w13_d156e15164
bey	w15_d156e15167
der	w17_d156e15170
Eleon.	w1_d156e15175
Schornin,	w3_d156e15178
Wittwe,	w5_d156e15181
bey	w7_d156e15184
der	w9_d156e15187
Polder=staud.	w11_d156e15190
bey	w1_d156e15196
St.	w3_d156e15199
Ulrich,	w5_d156e15202
alt	w7_d156e15205
54.	w9_d156e15208
J.	w11_d156e15211
Bard.	w1_d156e15216
Aschingerin,	w3_d156e15219
Wittwe,	w5_d156e15222
beym	w7_d156e15225
gold.	w9_d156e15228
Aler	w11_d156e15231
in	w13_d156e15235
Lerchenf.	w1_d156e15240
alt	w3_d156e15243
75.	w5_d156e15246
J.	w7_d156e15249
</list>
<head id="h2_d156e15256">
Summa	w1_d156e15260
6.	w3_d156e15263
Person.,	w5_d156e15266
darunter	w7_d156e15269
2.	w9_d156e15272
Kinder.	w11_d156e15275
</head>
<head id="h2_d156e15281">
EDICT.	w1_d156e15285
</head>
<p id="p4_d156e15288">
Von	w1_d156e15292
der	w3_d156e15295
Röm.	w5_d156e15298
Kaiserl.	w7_d156e15301
Königl.	w9_d156e15304
Majestät	w11_d156e15307
N.	w1_d156e15312
Oe.	w3_d156e15315
Regierung	w5_d156e15318
in	w7_d156e15321
Justiz=sachen	w9_d156e15324
wegen,	w11_d156e15327
wird	w1_d156e15332
durch	w3_d156e15335
gegenwärtig	w5_d156e15338
offentliches	w7_d156e15341
Edict	w9_d156e15344
allen,	w1_d156e15350
und	w3_d156e15353
jeden	w5_d156e15356
kund	w7_d156e15359
und	w9_d156e15362
zu	w11_d156e15365
wissen	w13_d156e15369
gemacht;	w15_d156e15372
was	w1_d156e15377
gestalten	w3_d156e15380
Sie	w5_d156e15383
Regierung	w7_d156e15386
in	w9_d156e15389
Justiz	w11_d156e15392
sachen	w1_d156e15397
über	w3_d156e15400
genugsam	w5_d156e15403
dargethane	w7_d156e15406
glaubare	w9_d156e15409
Anzeige	w1_d156e15414
die	w3_d156e15417
Mariam	w5_d156e15420
Annam	w7_d156e15423
Franciscam	w9_d156e15426
Stickerin,	w1_d156e15432
geborne	w3_d156e15435
Pacherin,	w5_d156e15438
ihrer	w7_d156e15441
üblen	w9_d156e15444
Wirtschaft	w1_d156e15449
halber	w3_d156e15452
pro	w5_d156e15455
prodiga	w7_d156e15458
erkläret,	w9_d156e15461
auch	w1_d156e15466
zugleich	w3_d156e15469
verordnet,	w5_d156e15472
daß	w7_d156e15475
diese	w9_d156e15478
Gericht	w11_d156e15481
liche	w1_d156e15486
Erklärung	w3_d156e15489
zur	w5_d156e15492
jedermans	w7_d156e15495
Wahrnung	w9_d156e15498
per	w1_d156e15504
Edicta	w3_d156e15507
ad	w5_d156e15510
Valvas	w7_d156e15513
kund	w9_d156e15516
gemachet,	w11_d156e15519
ein	w13_d156e15523
soglichen	w1_d156e15528
sie	w3_d156e15531
Maria	w5_d156e15534
Anna	w7_d156e15537
Francisca	w9_d156e15540
Stickerin.	w11_d156e15543
</p>
<p id="p8_d156e15548">
pro	w1_d156e15552
prodiga	w3_d156e15555
gehalten,	w5_d156e15558
und	w7_d156e15561
derselben	w9_d156e15564
auf	w11_d156e15567
ihr	w1_d156e15572
ausstellendes	w3_d156e15575
Obligo	w5_d156e15578
fernershin	w7_d156e15581
nichts	w9_d156e15584
mehr	w1_d156e15589
Creditirt,	w3_d156e15592
und	w5_d156e15595
anvertraut;	w7_d156e15598
widri	w9_d156e15601
genfalls	w1_d156e15607
diejenige,	w3_d156e15610
so	w5_d156e15613
ihr	w7_d156e15616
Stickerin	w9_d156e15619
in	w11_d156e15622
Geld,	w13_d156e15626
oder	w1_d156e15631
Gelds=wert	w3_d156e15634
etwas	w5_d156e15637
creditiren,	w7_d156e15640
oder	w9_d156e15643
anvertrauen	w1_d156e15648
wurden,	w3_d156e15651
ipso	w5_d156e15654
facto	w7_d156e15657
ihres	w9_d156e15660
Cre-	w11_d156e15663
diti	w1_d156e15668
verlustiget,	w3_d156e15671
denenselben	w5_d156e15674
auch	w7_d156e15677
bey	w9_d156e15680
Ge	w11_d156e15683
richt	w1_d156e15689
keine	w3_d156e15692
Execution	w5_d156e15695
ertheilet,	w7_d156e15698
sondern	w9_d156e15701
sie	w11_d156e15704
mit	w13_d156e15708
ihren	w1_d156e15713
Schaden	w3_d156e15716
abgewiesen	w5_d156e15719
werden	w7_d156e15722
sollen.	w9_d156e15725
</p>
<p id="p10_d156e15728">
Als	w1_d156e15732
wird	w3_d156e15735
allen	w5_d156e15738
und	w7_d156e15741
jeden,	w9_d156e15744
besonders	w11_d156e15747
aber	w13_d156e15751
de	w15_d156e15754
ren	w1_d156e15759
jenigen,	w3_d156e15762
welche	w5_d156e15765
öfters	w7_d156e15768
in	w9_d156e15771
verschiedene	w11_d156e15774
Ne	w13_d156e15778
30tia	w1_d156e15783
sich	w3_d156e15786
einzulassen	w5_d156e15789
pflegen,	w7_d156e15792
solches	w9_d156e15795
zu	w11_d156e15798
dem	w13_d156e15802
Ende	w1_d156e15808
bedeutet,	w3_d156e15811
auf	w5_d156e15814
daß	w7_d156e15817
dieselbe	w9_d156e15820
hierinfalls	w11_d156e15823
sich	w1_d156e15828
künftighin	w3_d156e15831
vor	w5_d156e15834
allen	w7_d156e15837
Schaden,	w9_d156e15840
Nachtheil	w11_d156e15843
zu	w1_d156e15848
hüten	w3_d156e15851
wissen	w5_d156e15854
mögen,	w7_d156e15857
und	w9_d156e15860
sollen.	w11_d156e15863
Wien,	w13_d156e15867
den	w1_d156e15872
21.	w3_d156e15875
May	w5_d156e15878
1757.	w7_d156e15881
</p>
<p id="p12_d156e15885">
Es	w1_d156e15889
wird	w3_d156e15892
hiemit	w5_d156e15895
jedermänniglich	w7_d156e15898
kund	w9_d156e15901
und	w11_d156e15904
zu	w1_d156e15909
wissen	w3_d156e15912
gemachet,	w5_d156e15915
daß	w7_d156e15918
den	w9_d156e15921
9ten	w11_d156e15924
künftigen	w13_d156e15928
Monats	w1_d156e15933
Julii	w3_d156e15936
das	w5_d156e15939
Gräflich=Auerspergische	w7_d156e15942
in	w1_d156e15948
der	w3_d156e15951
klein	w5_d156e15954
Dorotheä=gassen	w7_d156e15957
gelegene,	w9_d156e15960
um	w11_d156e15963
40000.	w1_d156e15968
fl.	w3_d156e15971
Gerichtlich	w5_d156e15974
geschäzte	w7_d156e15977
Haus	w9_d156e15980
bey	w11_d156e15983
dem	w13_d156e15987
Löbl.	w1_d156e15992
Land=marschallischen	w3_d156e15995
Gericht	w5_d156e15998
licitando	w7_d156e16001
an	w1_d156e16006
den	w3_d156e16009
Meist=bietenden	w5_d156e16012
werde	w7_d156e16015
verkauffet	w9_d156e16018
werden,	w1_d156e16024
wer	w3_d156e16027
also	w5_d156e16030
sothane	w7_d156e16033
Behausung	w9_d156e16036
käuf	w11_d156e16039
flichen	w1_d156e16044
an	w3_d156e16047
sich	w5_d156e16050
zu	w7_d156e16053
dringen	w9_d156e16056
gedenket,	w11_d156e16059
derselbe	w13_d156e16063
kan	w1_d156e16068
sich	w3_d156e16071
an	w5_d156e16074
obbestimmten	w7_d156e16077
Tag	w9_d156e16080
bey	w11_d156e16083
ersagt	w13_d156e16087
Löbl.	w15_d156e16090
Landemarschallischen	w1_d156e16095
Gericht	w3_d156e16098
fruhe	w5_d156e16101
um	w7_d156e16104
8.	w9_d156e16107
Uhr	w11_d156e16110
behörig	w1_d156e16116
anmelden.	w3_d156e16119
</p>
<head id="h2_d156e16125">
EDICT.	w1_d156e16129
</head>
<p id="p4_d156e16132">
Von	w1_d156e16136
der	w3_d156e16139
durch	w5_d156e16142
die	w7_d156e16145
Hochlöbl.	w9_d156e16148
N.	w11_d156e16151
Oe.	w13_d156e16155
drey	w15_d156e16158
Herren	w1_d156e16163
Herren	w3_d156e16166
Stände	w5_d156e16169
deren	w7_d156e16172
vorhin	w9_d156e16175
Vicedo	w11_d156e16178
mischen	w1_d156e16183
nunmehro	w3_d156e16186
aber	w5_d156e16189
Ständischen	w7_d156e16192
Stück,	w9_d156e16195
und	w1_d156e16201
Gülten	w3_d156e16204
aufgestelten	w5_d156e16207
Verwaltung	w7_d156e16210
wegen;	w9_d156e16213
wird	w1_d156e16218
hiemit	w3_d156e16221
jedermänniglich	w5_d156e16224
kund	w7_d156e16227
und	w9_d156e16230
zu	w11_d156e16233
wissen	w1_d156e16238
gemacht,	w3_d156e16241
welcher	w5_d156e16244
gestalten,	w7_d156e16247
nachde	w9_d156e16250
me	w1_d156e16255
die	w3_d156e16258
auf	w5_d156e16261
den	w7_d156e16264
24.	w9_d156e16267
abgewichenen	w11_d156e16270
Monats	w13_d156e16274
May	w1_d156e16280
angeordnet	w3_d156e16283
geweste	w5_d156e16286
Licitation	w7_d156e16289
aus	w9_d156e16292
erheb	w11_d156e16295
lichen	w1_d156e16300
Ursachen	w3_d156e16303
nicht	w5_d156e16306
vor	w7_d156e16309
sich	w9_d156e16312
gegangen,	w11_d156e16315
aber	w13_d156e16319
malen	w1_d156e16324
das	w3_d156e16327
Dorf	w5_d156e16330
Langenlebarn	w7_d156e16333
Ober=aigen	w9_d156e16336
mit	w1_d156e16341
aller	w3_d156e16344
Jurisdiction	w5_d156e16347
V.	w7_d156e16350
O.	w9_d156e16353
W.	w11_d156e16356
W.	w13_d156e16360
4.	w15_d156e16363
Haus,	w1_d156e16369
und	w3_d156e16372
1.	w5_d156e16375
Brandstädtl	w7_d156e16378
zu	w9_d156e16381
Hierin	w11_d156e16384
mit	w13_d156e16388
der	w1_d156e16393
Urbar=steuer	w3_d156e16396
und	w5_d156e16399
Robbat	w7_d156e16402
V.	w9_d156e16405
O.	w11_d156e16408
W.	w13_d156e16412
W.	w15_d156e16415
10.	w1_d156e16420
Holden,	w3_d156e16423
und	w5_d156e16426
1.	w7_d156e16429
Brandstädtl	w9_d156e16432
zu	w11_d156e16435
Götzes	w13_d156e16439
berg	w1_d156e16444
mit	w3_d156e16447
der	w5_d156e16450
Urbar=steuer	w7_d156e16453
und	w9_d156e16456
Robbat	w11_d156e16459
V.	w13_d156e16463
O.	w1_d156e16469
W.	w3_d156e16472
W.	w5_d156e16475
1.	w7_d156e16478
Hold	w9_d156e16481
zu	w11_d156e16484
Groß	w13_d156e16488
bey	w15_d156e16491
Külb	w17_d156e16494
mit	w19_d156e16497
der	w1_d156e16502
Urbar=steuer,	w3_d156e16505
und	w5_d156e16508
Robbat	w7_d156e16511
V.	w9_d156e16514
O.	w11_d156e16517
M.	w13_d156e16521
W.	w15_d156e16524
das	w1_d156e16529
Grund=buch	w3_d156e16532
zu	w5_d156e16535
Gumpolds=kirchen	w7_d156e16538
V.	w9_d156e16541
U.	w1_d156e16546
W.	w3_d156e16549
W.	w5_d156e16552
3.	w7_d156e16555
Holder	w9_d156e16558
in	w11_d156e16561
der	w13_d156e16565
Schläden	w15_d156e16568
bey	w17_d156e16571
Pranberg	w1_d156e16577
mit	w3_d156e16580
der	w5_d156e16583
Urbar=steuer	w7_d156e16586
und	w9_d156e16589
Robbar.	w11_d156e16592
</p>
<p id="p6_d156e16595">
V.	w1_d156e16599
U.	w3_d156e16602
W.	w5_d156e16605
W.	w7_d156e16608
16.	w9_d156e16611
Holden	w11_d156e16614
zu	w13_d156e16618
Bottenstein	w15_d156e16621
mit	w17_d156e16624
der	w1_d156e16629
Urbar=steuer	w3_d156e16632
V.	w5_d156e16635
U.	w7_d156e16638
W.	w9_d156e16641
W.	w11_d156e16644
2.	w13_d156e16648
Haus	w15_d156e16651
zu	w17_d156e16654
Ober=hollabrunn	w1_d156e16659
mit	w3_d156e16662
der	w5_d156e16665
Urbar=steuer,	w7_d156e16668
und	w9_d156e16671
Robhat	w1_d156e16677
V.	w3_d156e16680
U.	w5_d156e16683
M.	w7_d156e16686
B.	w9_d156e16689
38.	w11_d156e16692
Holden	w13_d156e16696
zu	w15_d156e16699
Günzers	w17_d156e16702
dorf	w1_d156e16707
mit	w3_d156e16710
der	w5_d156e16713
Urbar=steuer,	w7_d156e16716
und	w9_d156e16719
Robbat	w11_d156e16722
V.	w13_d156e16726
U.	w1_d156e16731
M.	w3_d156e16734
B.	w5_d156e16737
10.	w7_d156e16740
Holden	w9_d156e16743
zu	w11_d156e16746
Poystorf	w13_d156e16750
mit	w15_d156e16753
der	w17_d156e16756
Urbar=Steuer,	w1_d156e16761
und	w3_d156e16764
Robbat	w5_d156e16767
V.	w7_d156e16770
U.	w9_d156e16773
M.	w11_d156e16776
B.	w13_d156e16780
4.	w1_d156e16786
Haus	w3_d156e16789
zu	w5_d156e16792
Rötz	w7_d156e16795
mit	w9_d156e16798
der	w11_d156e16801
Urbar=steuer,	w13_d156e16805
und	w15_d156e16808
Robbat	w1_d156e16813
V.	w3_d156e16816
U.	w5_d156e16819
M.	w7_d156e16822
B.	w9_d156e16825
14.	w11_d156e16828
Holden	w13_d156e16832
zu	w15_d156e16835
Otten	w17_d156e16838
thall	w1_d156e16843
mit	w3_d156e16846
der	w5_d156e16849
Urbar=steuer,	w7_d156e16852
und	w9_d156e16855
Robbat	w11_d156e16858
V.	w13_d156e16862
U.	w1_d156e16867
M.	w3_d156e16870
B.	w5_d156e16873
12.	w7_d156e16876
Holden	w9_d156e16879
zu	w11_d156e16882
Tabernastorf	w13_d156e16886
mit	w15_d156e16889
der	w17_d156e16892
Urbar=steuer,	w1_d156e16898
und	w3_d156e16901
Robbat	w5_d156e16904
V.	w7_d156e16907
U.	w9_d156e16910
M.	w11_d156e16913
B.	w13_d156e16917
3.	w15_d156e16920
Holden	w1_d156e16925
zu	w3_d156e16928
Walters=kirchen	w5_d156e16931
mit	w7_d156e16934
der	w9_d156e16937
Urbar	w11_d156e16940
steuer,	w1_d156e16945
und	w3_d156e16948
Robbat	w5_d156e16951
V.	w7_d156e16954
U.	w9_d156e16957
M.	w11_d156e16960
B.	w13_d156e16964
3.	w15_d156e16967
Holden	w17_d156e16970
zu	w1_d156e16975
Kressenbrunn	w3_d156e16978
mit	w5_d156e16981
der	w7_d156e16984
Urbar=steuer,	w9_d156e16987
und	w11_d156e16990
Robbat	w1_d156e16996
V.	w3_d156e16999
U.	w5_d156e17002
M.	w7_d156e17005
B.	w9_d156e17008
den	w11_d156e17011
13.	w13_d156e17015
zukünftigen	w15_d156e17018
Monats	w1_d156e17023
Julii	w3_d156e17026
1757.	w5_d156e17029
Vormittag	w7_d156e17032
um	w9_d156e17035
9.	w11_d156e17038
Uhr	w13_d156e17042
bey	w1_d156e17047
der	w3_d156e17050
Hochlöbl.	w5_d156e17053
N.	w7_d156e17056
Oe.	w9_d156e17059
Ständischen	w11_d156e17062
Depu	w13_d156e17066
tation	w1_d156e17071
im	w3_d156e17074
Land=haus	w5_d156e17077
Licitando	w7_d156e17080
verkauffet	w9_d156e17083
werden.	w1_d156e17089
</p>
<p id="p8_d156e17092">
Dannenhero	w1_d156e17096
all	w3_d156e17099
diejenige,	w5_d156e17102
welche	w7_d156e17105
obbe	w9_d156e17108
sagte	w1_d156e17113
Holden	w3_d156e17116
zu	w5_d156e17119
erkauffen	w7_d156e17122
gedenken,	w9_d156e17125
an	w11_d156e17128
be	w13_d156e17132
stimmten	w1_d156e17137
Tag,	w3_d156e17140
Stund	w5_d156e17143
und	w7_d156e17146
Ort	w9_d156e17149
in	w11_d156e17152
Person,	w13_d156e17156
oder	w1_d156e17162
durch	w3_d156e17165
Gevollmächtigte	w5_d156e17168
zu	w7_d156e17171
erscheinen	w9_d156e17174
be	w11_d156e17177
lieben	w1_d156e17182
werden.	w3_d156e17185
Wien	w5_d156e17188
im	w7_d156e17191
Land=haus	w9_d156e17194
in	w11_d156e17197
der	w13_d156e17201
Ständischen	w1_d156e17206
Verwaltung	w3_d156e17209
den	w5_d156e17212
11.	w7_d156e17215
Junii	w9_d156e17218
1757.	w1_d156e17223
</p>
<p id="p10_d156e17226">
NB.	w1_d156e17230
Es	w3_d156e17233
wird	w5_d156e17236
hiemit	w7_d156e17239
jedermänniglich	w9_d156e17242
kund	w11_d156e17245
und	w1_d156e17250
zu	w3_d156e17253
wissen	w5_d156e17256
gemachet,	w7_d156e17259
daß	w9_d156e17262
den	w11_d156e17265
30.	w13_d156e17269
dies	w15_d156e17272
lauffenden	w1_d156e17277
Monats	w3_d156e17280
Junii	w5_d156e17283
die	w7_d156e17286
am	w9_d156e17289
grünen	w11_d156e17292
Anger	w13_d156e17296
in	w1_d156e17302
der	w3_d156e17305
Stadt	w5_d156e17308
alhier	w7_d156e17311
ligend	w9_d156e17314
Gräflich	w11_d156e17317
Leopold	w13_d156e17321
Kuefsteinische	w1_d156e17326
Behausung	w3_d156e17329
bey	w5_d156e17332
dem	w7_d156e17335
Löbl.	w9_d156e17338
Land	w11_d156e17341
marschallischen	w1_d156e17346
Gericht	w3_d156e17349
licitando	w5_d156e17352
an	w7_d156e17355
den	w9_d156e17358
Meist=biettenden	w1_d156e17363
werde	w3_d156e17366
verkauffet	w5_d156e17369
werden,	w7_d156e17372
wer	w1_d156e17378
also	w3_d156e17381
sothane	w5_d156e17384
Behausung	w7_d156e17387
käuflichen	w9_d156e17390
an	w11_d156e17393
sich	w1_d156e17398
zu	w3_d156e17401
bringen	w5_d156e17404
gedenket,	w7_d156e17407
derselbe	w9_d156e17410
kan	w11_d156e17413
sich	w13_d156e17417
an	w1_d156e17422
obbestimmten	w3_d156e17425
Tag	w5_d156e17428
bey	w7_d156e17431
ersagt	w9_d156e17434
Löbl.	w11_d156e17437
Land	w13_d156e17441
marschallischen	w1_d156e17446
Gericht	w3_d156e17449
fruhe	w5_d156e17452
um	w7_d156e17455
8.	w9_d156e17458
Uhr	w11_d156e17461
behörig	w1_d156e17467
anmelden.	w3_d156e17470
</p>
<p id="p12_d156e17474">
Den	w1_d156e17478
30.	w3_d156e17481
dieses	w5_d156e17484
Monats	w7_d156e17487
Junii	w9_d156e17490
werden	w11_d156e17493
in	w13_d156e17497
dem	w1_d156e17502
Lands=fürstl.	w3_d156e17505
Markt	w5_d156e17508
Berchtoldstorf	w7_d156e17511
(ins	w9_d156e17514
gemein	w1_d156e17519
Peterstorf)	w3_d156e17522
weyl.	w5_d156e17525
Hrn.	w7_d156e17528
Dr.	w9_d156e17531
von	w11_d156e17534
Freyenberg	w1_d156e17540
seel.	w3_d156e17543
alda	w5_d156e17546
zuruck	w7_d156e17549
gelassen,	w9_d156e17552
auf	w11_d156e17555
der	w13_d156e17559
Hoch=strassen	w1_d156e17564
ligende	w3_d156e17567
drey	w5_d156e17570
zusammen	w7_d156e17573
gebaute	w9_d156e17576
Häuser,	w1_d156e17581
so	w3_d156e17584
sehr	w5_d156e17587
bequemlich,	w7_d156e17590
und	w9_d156e17593
allerdings	w11_d156e17596
bey	w1_d156e17601
guten	w3_d156e17604
Bau,	w5_d156e17607
auch	w7_d156e17610
mit	w9_d156e17613
grossen	w11_d156e17616
Keller,	w13_d156e17620
Stadel,	w1_d156e17626
Boden,	w3_d156e17629
Stallung,	w5_d156e17632
und	w7_d156e17635
Wein=preß,	w9_d156e17638
desgleichen	w1_d156e17643
auch	w3_d156e17646
mit	w5_d156e17649
einer	w7_d156e17652
eigenen	w9_d156e17655
Hauß	w11_d156e17658
capellen	w1_d156e17663
versehen,	w3_d156e17666
samt	w5_d156e17669
dem	w7_d156e17672
dazu	w9_d156e17675
gehörigen	w11_d156e17678
grossen	w1_d156e17683
und	w3_d156e17686
einen	w5_d156e17689
kleinen	w7_d156e17692
Garten,	w9_d156e17695
wie	w11_d156e17698
auf	w13_d156e17702
</p>
<p id="p16_d156e17707">
in	w1_d156e17711
dem	w3_d156e17714
ersteren	w5_d156e17717
befindlichen	w7_d156e17720
schönen	w9_d156e17723
Lus=hauß	w11_d156e17726
(so	w1_d156e17731
wegen	w3_d156e17734
des	w5_d156e17737
allseitigen	w7_d156e17740
weiten	w9_d156e17743
Prospects	w11_d156e17746
besonders	w1_d156e17751
angenehm)	w3_d156e17754
dann	w5_d156e17757
der	w7_d156e17760
eben	w9_d156e17763
alda	w11_d156e17766
befindlich=ganz	w1_d156e17772
neu	w3_d156e17775
erbauten	w5_d156e17778
kleinen	w7_d156e17781
Eremi-	w9_d156e17784
tage,	w1_d156e17789
desgleichen	w3_d156e17792
5.	w5_d156e17795
Wein=gärten,	w7_d156e17798
und	w9_d156e17801
5.	w11_d156e17804
Aecker,	w1_d156e17809
nicht	w3_d156e17812
minder	w5_d156e17815
2.	w7_d156e17818
Wiesen	w9_d156e17821
und	w11_d156e17824
einen	w13_d156e17828
Kraut=garten	w1_d156e17833
früh	w3_d156e17836
von	w5_d156e17839
8.	w7_d156e17842
bis	w9_d156e17845
11.	w11_d156e17848
und	w13_d156e17852
Nach	w15_d156e17855
mittag	w1_d156e17861
von	w3_d156e17864
1.	w5_d156e17867
bis	w7_d156e17870
4.	w9_d156e17873
Uhr	w11_d156e17876
licitando	w13_d156e17880
dem	w15_d156e17883
Meist	w17_d156e17886
biettenden	w1_d156e17891
gegen	w3_d156e17894
barer	w5_d156e17897
Bezahlung	w7_d156e17900
käuflichen	w9_d156e17903
hindan	w1_d156e17908
gelassen	w3_d156e17911
werden.	w5_d156e17914
</p>
<p id="p18_d156e17917">
Es	w1_d156e17921
wird	w3_d156e17924
hiemit	w5_d156e17927
jedermänniglich	w7_d156e17930
kund	w9_d156e17933
und	w11_d156e17936
zu	w1_d156e17941
wissen	w3_d156e17944
gemacht,	w5_d156e17947
daß	w7_d156e17950
den	w9_d156e17953
11ten	w11_d156e17956
künf.	w13_d156e17960
tigen	w1_d156e17965
Monats	w3_d156e17968
Julii	w5_d156e17971
die	w7_d156e17974
unweit	w9_d156e17977
des	w11_d156e17980
roten	w13_d156e17984
Thurns	w1_d156e17990
gelegene,	w3_d156e17993
zum	w5_d156e17996
schwarzen	w7_d156e17999
Adler	w9_d156e18002
genann	w11_d156e18005
te	w1_d156e18010
Behausung	w3_d156e18013
auf	w5_d156e18016
dem	w7_d156e18019
Raht=haus	w9_d156e18022
alhier	w11_d156e18025
li	w13_d156e18029
citando	w1_d156e18034
an	w3_d156e18037
dem	w5_d156e18040
Meist=bietenden	w7_d156e18043
werde	w9_d156e18046
ver	w11_d156e18049
kauffet	w1_d156e18054
werden;	w3_d156e18057
wer	w5_d156e18060
also	w7_d156e18063
diese	w9_d156e18066
Behausung	w11_d156e18069
käuflichen	w1_d156e18075
an	w3_d156e18078
sich	w5_d156e18081
zu	w7_d156e18084
bringen	w9_d156e18087
gedenket,	w11_d156e18090
der	w13_d156e18094
selbe	w1_d156e18099
kan	w3_d156e18102
sich	w5_d156e18105
an	w7_d156e18108
ob=bestimmten	w9_d156e18111
Tag	w11_d156e18114
auf	w13_d156e18118
dem	w15_d156e18121
alhiesigen	w1_d156e18126
Raht=haus	w3_d156e18129
Fruhe	w5_d156e18132
um	w7_d156e18135
8.	w9_d156e18138
Uhr	w11_d156e18141
be	w13_d156e18145
hörig	w1_d156e18150
anmelden.	w3_d156e18153
</p>
<p id="p20_d156e18156">
Es	w1_d156e18160
wird	w3_d156e18163
hiemit	w5_d156e18166
jedermänniglich	w7_d156e18169
kund	w9_d156e18172
und	w11_d156e18175
zu	w1_d156e18180
wissen	w3_d156e18183
gemacht,	w5_d156e18186
daß	w7_d156e18189
den	w9_d156e18192
4ten	w11_d156e18195
künfti	w13_d156e18199
gen	w1_d156e18204
Monats	w3_d156e18207
Julii	w5_d156e18210
die	w7_d156e18213
in	w9_d156e18216
der	w11_d156e18219
Rossau	w13_d156e18223
im	w15_d156e18226
obe	w17_d156e18229
ren	w1_d156e18235
Wert	w3_d156e18238
gelegene	w5_d156e18241
Gräfliche	w7_d156e18244
Selbische	w9_d156e18247
Be	w11_d156e18250
