<doc id="wr_1760-04-05" attrs="word" year="1760" month="04" day="05" corpus="2">
<head id="h2_d438e2535">
Frankfort	w1_d438e2539
und	w5_d438e13389
glatte	w7_d438e13392
Manns=kleider,	w9_d438e13395
Weiß	w1_d438e13400
und	w3_d438e13403
Tisch=zeug,	w5_d438e13406
Spiegel,	w7_d438e13409
Kästen,	w9_d438e13412
Sessel,	w11_d438e13415
Soffen,	w1_d438e13420
Uhren,	w3_d438e13423
Spallier,	w5_d438e13426
Tisch,	w7_d438e13429
schöne	w9_d438e13432
Mahle	w11_d438e13435
reyen,	w1_d438e13441
Gewehr,	w3_d438e13444
Luster,	w5_d438e13447
Borcellan,	w7_d438e13450
Behter,	w9_d438e13453
Zinn,	w1_d438e13458
Meßing	w3_d438e13461
und	w5_d438e13464
Kupfer,	w7_d438e13467
dann	w9_d438e13470
alter	w11_d438e13473
Oesterrei	w13_d438e13477
cherTockeyerOedenburgerRusterMonte	w1_d438e13482
policiauo	w1_d438e13487
und	w3_d438e13490
Sicillianer=Wein,	w5_d438e13493
Vormittags	w7_d438e13496
von	w1_d438e13502
9.	w3_d438e13505
bis	w5_d438e13508
12.,	w7_d438e13511
Nachmittags	w9_d438e13514
aber	w11_d438e13517
von	w13_d438e13521
3.	w15_d438e13524
bis	w17_d438e13527
6.	w19_d438e13530
Uhr	w1_d438e13535
dem	w3_d438e13538
Meist	w5_d438e13541
bietenden	w7_d438e13544
gegen	w9_d438e13547
alsogleich	w11_d438e13550
baar	w13_d438e13554
lei	w15_d438e13557
stender	w1_d438e13562
Bezahlung	w3_d438e13565
licitando	w5_d438e13568
verkauffet,	w7_d438e13571
und	w9_d438e13574
hier	w11_d438e13577
mit	w1_d438e13582
die	w3_d438e13585
nachfolgende	w5_d438e13588
Täge	w7_d438e13591
contiuuiret	w9_d438e13594
werden.	w11_d438e13597
</p>
<p id="p8_d438e13600">
Von	w1_d438e13604
N.	w3_d438e13607
Burger=meister,	w5_d438e13610
Stadt=richter	w7_d438e13613
und	w9_d438e13616
Rath	w1_d438e13621
der	w3_d438e13624
Landes=fürstl.	w5_d438e13627
Stadt	w7_d438e13630
Rötz,	w9_d438e13633
wirdet	w11_d438e13636
hie	w13_d438e13640
mit	w1_d438e13645
jedermänniglichen	w3_d438e13648
kund	w5_d438e13651
und	w7_d438e13654
zu	w9_d438e13657
wissen	w11_d438e13660
gemacht:	w13_d438e13664
welchergestalten	w1_d438e13670
die	w3_d438e13673
Jgnatz	w5_d438e13676
Teyberische	w7_d438e13679
Burgerl.	w9_d438e13682
Behausung	w1_d438e13687
(so	w3_d438e13690
mit	w5_d438e13693
wohlgebaueten	w7_d438e13696
und	w9_d438e13699
zu	w11_d438e13702
aller	w13_d438e13706
Wurtschaft	w1_d438e13711
tauglichen	w3_d438e13714
Zimmern,	w5_d438e13717
und	w7_d438e13720
Gewölbern,	w9_d438e13723
dann	w1_d438e13728
einem	w3_d438e13731
schönen	w5_d438e13734
Keller	w7_d438e13737
und	w9_d438e13740
Stadl	w11_d438e13743
versehen	w13_d438e13747
ist)	w1_d438e13753
samt	w3_d438e13756
Seiffensieders=gewerb,	w5_d438e13759
alhier	w7_d438e13762
auf	w9_d438e13765
den	w11_d438e13768
11.	w1_d438e13773
künftigen	w3_d438e13776
Monats	w5_d438e13779
Aprilis	w7_d438e13782
licitando,	w9_d438e13785
oder	w11_d438e13788
dem	w1_d438e13793
Meistbietenden	w3_d438e13796
verkauffet	w5_d438e13799
werden	w7_d438e13802
wird.	w9_d438e13805
</p>
<p id="p10_d438e13808">
Welcher	w1_d438e13812
demnach	w3_d438e13815
Belieben	w5_d438e13818
traget,	w7_d438e13821
ein	w9_d438e13824
solches	w11_d438e13827
dieser	w1_d438e13832
gestalten	w3_d438e13835
an	w5_d438e13838
sich	w7_d438e13841
zu	w9_d438e13844
bringen,	w11_d438e13847
sich	w13_d438e13851
am	w15_d438e13854
bemeld	w17_d438e13857
ten	w1_d438e13862
11.	w3_d438e13865
Apri	w5_d438e13868
um	w7_d438e13871
9.	w9_d438e13874
Uhr	w11_d438e13877
fruhe	w13_d438e13881
auf	w15_d438e13884
dem	w17_d438e13887
alhiesi	w19_d438e13890
</p>
<p id="p12_d438e13894">
gen	w1_d438e13898
Rath=haus	w3_d438e13901
zu	w5_d438e13904
melden	w7_d438e13907
wissen	w9_d438e13910
wird.	w11_d438e13913
Actum	w13_d438e13917
Landes=fürstl.	w1_d438e13922
Stadt	w3_d438e13925
Rötz	w5_d438e13928
den	w7_d438e13931
22.	w9_d438e13934
Febr.	w11_d438e13937
1760.	w13_d438e13941
</p>
<p id="p14_d438e13944">
Den	w1_d438e13948
14.	w3_d438e13951
April	w5_d438e13954
und	w7_d438e13957
folgende	w9_d438e13960
Täge	w11_d438e13963
werden	w13_d438e13967
bey	w15_d438e13970
dem	w1_d438e13975
Kärntner=thor	w3_d438e13978
im	w5_d438e13981
goldenen	w7_d438e13984
Pfauen	w9_d438e13987
im	w11_d438e13990
Wirts	w13_d438e13994
hause,	w1_d438e13999
im	w3_d438e14002
4.	w5_d438e14005
Stock	w7_d438e14008
verschiedene	w9_d438e14011
Effecten,	w11_d438e14014
als	w13_d438e14018
Silber,	w1_d438e14024
Spiegel,	w3_d438e14027
Kästen,	w5_d438e14030
Manns	w7_d438e14033
und	w9_d438e14036
Frauen	w11_d438e14039
kleider,	w1_d438e14044
ein	w3_d438e14047
neu	w5_d438e14050
schwarzer	w7_d438e14053
krotiturener	w9_d438e14056
Mantl,	w11_d438e14059
gespitzte	w1_d438e14064
Hauben,	w3_d438e14067
und	w5_d438e14070
anderes	w7_d438e14073
Weiszeug,	w9_d438e14076
Bilder,	w11_d438e14079
Sessel,	w1_d438e14084
Tische,	w3_d438e14087
Beht=gewand,	w5_d438e14090
Kupfer,	w7_d438e14093
Zinn,	w9_d438e14096
Meßing,	w1_d438e14102
Eisenwerk,	w3_d438e14105
und	w5_d438e14108
andere	w7_d438e14111
Gerähtschaften	w9_d438e14114
Vormittag	w1_d438e14119
von	w3_d438e14122
9.	w5_d438e14125
bis	w7_d438e14128
12.	w9_d438e14131
Uhr,	w11_d438e14134
Nachmittag	w13_d438e14138
von	w15_d438e14141
3.	w1_d438e14146
bis	w3_d438e14149
6.	w5_d438e14152
Uhr	w7_d438e14155
licitando	w9_d438e14158
dem	w11_d438e14161
Meist=bietenden	w13_d438e14165
ver	w15_d438e14168
kauft	w1_d438e14173
werden.	w3_d438e14176
</p>
<p id="p16_d438e14179">
Dem	w1_d438e14183
Publico	w3_d438e14186
wird	w5_d438e14189
hiemit	w7_d438e14192
erinneret,	w9_d438e14195
daß	w11_d438e14198
bey	w13_d438e14202
dem	w1_d438e14207
Kaiserl.	w3_d438e14210
Königl.	w5_d438e14213
N.	w7_d438e14216
Oe.	w9_d438e14219
Reg.	w11_d438e14222
und	w13_d438e14226
Commer	w15_d438e14229
cien=rath	w1_d438e14234
Herrn	w3_d438e14237
Joseph	w5_d438e14240
Edlen	w7_d438e14243
von	w9_d438e14246
Pilewitz	w11_d438e14249
in	w13_d438e14253
der	w1_d438e14259
Waldseil	w3_d438e14262
im	w5_d438e14265
Graf	w7_d438e14268
Bergischen	w9_d438e14271
Haus	w11_d438e14274
wohn	w13_d438e14278
haft,	w1_d438e14283
anheuer	w3_d438e14286
wiederum	w5_d438e14289
der	w7_d438e14292
Seiden=wurm	w9_d438e14295
saamen,	w11_d438e14298
gratis	w1_d438e14303
zu	w3_d438e14306
bekommen	w5_d438e14309
seye;	w7_d438e14312
dahero	w9_d438e14315
sich	w11_d438e14318
die	w13_d438e14322
mit	w15_d438e14325
der	w17_d438e14328
Seiden=ziehung	w1_d438e14333
erlustigende	w3_d438e14336
Partheyen,	w5_d438e14339
bey	w7_d438e14342
sel	w9_d438e14345
bem	w1_d438e14351
anzumelden	w3_d438e14354
wissen	w5_d438e14357
werden.	w7_d438e14360
</p>
<p id="p18_d438e14363">
Von	w1_d438e14367
der	w3_d438e14370
N.	w5_d438e14373
Oe.	w7_d438e14376
Regierung	w9_d438e14379
wegen	w11_d438e14382
wird	w13_d438e14386
mit	w15_d438e14389
gegenwärtig	w1_d438e14394
offenem	w3_d438e14397
Edict	w5_d438e14400
jedermänniglich,	w7_d438e14403
so	w9_d438e14406
wohl	w1_d438e14411
An	w3_d438e14414
als	w5_d438e14417
Abwesenden	w7_d438e14420
kund	w9_d438e14423
und	w11_d438e14426
zu	w13_d438e14430
wissen	w15_d438e14433
ge	w17_d438e14436
macht,	w1_d438e14442
welcher	w3_d438e14445
gestalten	w5_d438e14448
über	w7_d438e14451
des	w9_d438e14454
abgeleibten	w11_d438e14457
An	w13_d438e14461
ton	w1_d438e14466
Ullrichs,	w3_d438e14469
Kaiserl.	w5_d438e14472
Königl.	w7_d438e14475
Arciers	w9_d438e14478
ruckgeblie	w11_d438e14481
bene,	w1_d438e14486
und	w3_d438e14489
in	w5_d438e14492
Verfall	w7_d438e14495
gerahtene	w9_d438e14498
Verlassenschaft	w11_d438e14501
ein	w1_d438e14506
ordentlicher	w3_d438e14509
Concurs	w5_d438e14512
angeordnet,	w7_d438e14515
und	w9_d438e14518
dessel	w11_d438e14521
ben	w1_d438e14527
sammentliche	w3_d438e14530
Glaubigere	w5_d438e14533
zu	w7_d438e14536
Anmeld	w9_d438e14539
und	w11_d438e14542
Li	w13_d438e14546
quidirung	w1_d438e14551
ihrer	w3_d438e14554
an	w5_d438e14557
erst=bemeldten	w7_d438e14560
Anton	w9_d438e14563
Ullrich	w11_d438e14566
zu	w1_d438e14571
stellen	w3_d438e14574
habender	w5_d438e14577
Sprüch	w7_d438e14580
und	w9_d438e14583
Forderungen	w11_d438e14586
auf	w13_d438e14590
den	w1_d438e14595
30.	w3_d438e14598
April	w5_d438e14601
dies	w7_d438e14604
lauffend	w9_d438e14607
1760sten	w11_d438e14610
Jahrs	w13_d438e14614
Nach	w15_d438e14617
mittag	w1_d438e14623
um	w3_d438e14626
4.	w5_d438e14629
Uhr	w7_d438e14632
vor	w9_d438e14635
Regierung	w11_d438e14638
zur	w13_d438e14642
gewöhnli	w15_d438e14645
chen	w1_d438e14650
Tagsatzung	w3_d438e14653
für	w5_d438e14656
die	w7_d438e14659
erstandert	w9_d438e14662
und	w11_d438e14665
dritte	w13_d438e14669
auch	w1_d438e14674
all	w3_d438e14677
endliche	w5_d438e14680
Frist	w7_d438e14683
sub	w9_d438e14686
clausula	w11_d438e14689
præclusi	w13_d438e14693
zu	w15_d438e14696
er	w17_d438e14699
scheinen,	w1_d438e14704
anberaumet	w3_d438e14707
worden;	w5_d438e14710
Als	w7_d438e14713
werden	w9_d438e14716
all	w11_d438e14719
und	w1_d438e14725
jede	w3_d438e14728
Gläubigere	w5_d438e14731
entweder	w7_d438e14734
selbst	w9_d438e14737
persönlich,	w11_d438e14740
oder	w1_d438e14745
durch	w3_d438e14748
hierzu	w5_d438e14751
genugsam	w7_d438e14754
gevollmächtigte	w9_d438e14757
Ge	w11_d438e14760
walt=tragere	w1_d438e14765
erscheinen,	w3_d438e14768
und	w5_d438e14771
ihre	w7_d438e14774
anmeldende	w9_d438e14777
An	w11_d438e14780
forderungen	w1_d438e14785
in	w3_d438e14788
begiaubten	w5_d438e14791
Abschriften	w7_d438e14794
also	w9_d438e14797
gewiß	w11_d438e14800
einlegen,	w1_d438e14806
wie	w3_d438e14809
im	w5_d438e14812
widrigen	w7_d438e14815
der	w9_d438e14818
Ausbleibende	w11_d438e14821
von	w13_d438e14825
gegenwärtiger	w1_d438e14830
Concurs=massa	w3_d438e14833
gänzlich	w5_d438e14836
ausge	w7_d438e14839
schlossen	w1_d438e14844
seyn,	w3_d438e14847
und	w5_d438e14850
ihme	w7_d438e14853
diesfalls	w9_d438e14856
das	w11_d438e14859
ewige	w13_d438e14863
Stillschweigen	w1_d438e14868
auferleget	w3_d438e14871
werden	w5_d438e14874
solle,	w7_d438e14877
wornach	w9_d438e14880
sich	w1_d438e14886
ein	w3_d438e14889
jeder	w5_d438e14892
zu	w7_d438e14895
richten,	w9_d438e14898
und	w11_d438e14901
vor	w13_d438e14905
Schaden	w15_d438e14908
zu	w17_d438e14911
hütten	w1_d438e14916
wissen	w3_d438e14919
wird.	w5_d438e14922
So	w7_d438e14925
beschehen	w9_d438e14928
Wienn	w11_d438e14931
den	w13_d438e14935
15ten	w1_d438e14940
Febr.	w3_d438e14943
1760.	w5_d438e14946
</p>
<p id="p20_d438e14949">
Wir	w1_d438e14953
Burger=meister	w3_d438e14956
Amts=verwalter,	w5_d438e14959
und	w7_d438e14962
Raht	w9_d438e14965
der	w1_d438e14970
Stadt	w3_d438e14973
Wien,	w5_d438e14976
geben	w7_d438e14979
allen	w9_d438e14982
und	w11_d438e14985
jeden	w13_d438e14989
Credi	w15_d438e14992
toren,	w1_d438e14997
und	w3_d438e15000
ab	w5_d438e15003
intestato	w7_d438e15006
kommenden	w9_d438e15009
Erben,	w11_d438e15012
so	w13_d438e15016
zu	w1_d438e15022
weyl.	w3_d438e15025
Christina	w5_d438e15028
Mayrin,	w7_d438e15031
gewest	w9_d438e15034
Burgerliche	w11_d438e15037
Störckmacherin	w1_d438e15042
in	w3_d438e15045
Saudiuischen	w5_d438e15048
Haus	w7_d438e15051
auf	w9_d438e15054
der	w11_d438e15057
Wieden,	w1_d438e15062
alhier	w3_d438e15065
intestato	w5_d438e15068
seel.	w7_d438e15071
Verlassenschaft	w9_d438e15074
Sprüch	w1_d438e15079
und	w3_d438e15082
Anforderung	w5_d438e15085
haben,	w7_d438e15088
oder	w9_d438e15091
zu	w11_d438e15094
haben	w13_d438e15098
</p>
<p id="p26_d438e15112">
nermeinen,	w1_d438e15116
es	w3_d438e15119
seye	w5_d438e15122
um	w7_d438e15125
Erbschaft,	w9_d438e15128
Geld,	w11_d438e15131
Schul	w13_d438e15135
den	w1_d438e15140
oder	w3_d438e15143
anderes,	w5_d438e15146
wie	w7_d438e15149
das	w9_d438e15152
immer	w11_d438e15155
genennet	w13_d438e15159
wer	w15_d438e15162
den	w1_d438e15167
kan	w3_d438e15170
oder	w5_d438e15173
mag,	w7_d438e15176
hiemit	w9_d438e15179
zu	w11_d438e15182
vernehmen;	w13_d438e15186
daß	w15_d438e15189
wir	w1_d438e15195
entschlossen	w3_d438e15198
seynd,	w5_d438e15201
jetztberührte	w7_d438e15204
Sprüch	w9_d438e15207
auf	w11_d438e15210
den	w1_d438e15215
3.	w3_d438e15218
Monats	w5_d438e15221
tag	w7_d438e15224
May	w9_d438e15227
lauffend	w11_d438e15230
1760.	w13_d438e15234
Jahrs	w15_d438e15237
auf	w1_d438e15242
unser,	w3_d438e15245
und	w5_d438e15248
gemeiner	w7_d438e15251
Stadt	w9_d438e15254
Raht	w11_d438e15257
haus	w13_d438e15261
sol	w15_d438e15264
cher	w1_d438e15269
gestalten	w3_d438e15272
zu	w5_d438e15275
horen,	w7_d438e15278
zu	w9_d438e15281
vernehmen,	w11_d438e15284
und	w13_d438e15288
was	w15_d438e15291
sich	w1_d438e15297
hierauf	w3_d438e15300
gebühret	w5_d438e15303
zu	w7_d438e15306
handien,	w9_d438e15309
daß	w11_d438e15312
anstatt	w13_d438e15316
de	w15_d438e15319
ren	w1_d438e15324
sonst	w3_d438e15327
gebräuchigen	w5_d438e15330
dreyen	w7_d438e15333
Edicten,	w9_d438e15336
zur	w11_d438e15339
Ab	w13_d438e15343
schneidung	w1_d438e15348
aller	w3_d438e15351
Weitläuftigkeiten,	w5_d438e15354
diese	w7_d438e15357
Sach	w9_d438e15360
auf	w1_d438e15365
einmal	w3_d438e15368
hindann	w5_d438e15371
gelegt,	w7_d438e15374
und	w9_d438e15377
hernach	w11_d438e15380
keiner	w13_d438e15384
mehr	w1_d438e15390
gehöret	w3_d438e15393
werden	w5_d438e15396
solle;	w7_d438e15399
erfordern	w9_d438e15402
und	w11_d438e15405
citiren	w13_d438e15409
demnach	w1_d438e15414
alle	w3_d438e15417
Jntereßirte,	w5_d438e15420
sonderlich	w7_d438e15423
die	w9_d438e15426
ab	w11_d438e15429
inte	w13_d438e15433
stato	w1_d438e15438
kommende	w3_d438e15441
Erben,	w5_d438e15444
hiemit	w7_d438e15447
peremptorie,	w9_d438e15450
und	w11_d438e15453
sub	w1_d438e15458
pona	w3_d438e15461
præcsusi,	w5_d438e15464
daß	w7_d438e15467
sie	w9_d438e15470
entweders	w11_d438e15473
selbst	w13_d438e15477
per	w15_d438e15480
sönlich,	w1_d438e15486
oder	w3_d438e15489
aber	w5_d438e15492
durch	w7_d438e15495
hierzu	w9_d438e15498
genugsaum	w11_d438e15501
be	w13_d438e15505
vollmächtigte	w1_d438e15510
Gewalt=tragere	w3_d438e15513
auf	w5_d438e15516
obbemeldten	w7_d438e15519
Tag	w9_d438e15522
fruh	w1_d438e15527
um	w3_d438e15530
8.	w5_d438e15533
Uhr,	w7_d438e15536
oder	w9_d438e15539
da	w11_d438e15542
wir	w13_d438e15546
selbigen	w15_d438e15549
Tags	w17_d438e15552
et	w19_d438e15555
wann	w1_d438e15560
anderer	w3_d438e15563
Geschäften	w5_d438e15566
halber	w7_d438e15569
nicht	w9_d438e15572
zu	w11_d438e15575
Raht	w13_d438e15579
sitzeten,	w1_d438e15585
den	w3_d438e15588
nächst	w5_d438e15591
darauf	w7_d438e15594
folgenden	w9_d438e15597
Rahts=tag	w11_d438e15600
vor	w13_d438e15604
uns	w1_d438e15609
erscheinen,	w3_d438e15612
alda	w5_d438e15615
ihre	w7_d438e15618
Forderungen	w9_d438e15621
schrift	w11_d438e15624
oder	w1_d438e15629
mündlich	w3_d438e15632
anbringen,	w5_d438e15635
sich	w7_d438e15638
legitimiren,	w9_d438e15641
und	w11_d438e15644
nicht	w1_d438e15649
ausbleiben,	w3_d438e15652
und	w5_d438e15655
zwar	w7_d438e15658
mit	w9_d438e15661
dieser	w11_d438e15664
nochmalig	w13_d438e15668
gemessenen	w1_d438e15674
Commination,	w3_d438e15677
daß	w5_d438e15680
es	w7_d438e15683
erscheine	w9_d438e15686
dar	w11_d438e15689
bey	w1_d438e15694
ein	w3_d438e15697
Theil	w5_d438e15700
oder	w7_d438e15703
nicht,	w9_d438e15706
der	w11_d438e15709
Anwesende	w13_d438e15713
mit	w15_d438e15716
seiner	w1_d438e15721
Nohtdurft	w3_d438e15724
nichts	w5_d438e15727
destoweniger	w7_d438e15730
angehöret,	w9_d438e15733
und	w1_d438e15738
darüber	w3_d438e15741
was	w5_d438e15744
Rechtens	w7_d438e15747
ist	w9_d438e15750
erkennet,	w11_d438e15753
der	w13_d438e15757
Aus	w15_d438e15760
bleibende	w1_d438e15766
hingegen	w3_d438e15769
nicht	w5_d438e15772
mehr	w7_d438e15775
gehöret,	w9_d438e15778
sondern	w11_d438e15781
gänzlichen	w1_d438e15786
ausgeschlossen	w3_d438e15789
werden	w5_d438e15792
solle;	w7_d438e15795
wornach	w9_d438e15798
sich	w1_d438e15803
ein	w3_d438e15806
jeder	w5_d438e15809
zu	w7_d438e15812
richten,	w9_d438e15815
und	w11_d438e15818
vor	w13_d438e15822
Schaden	w15_d438e15825
zu	w17_d438e15828
hütten	w19_d438e15831
wissen	w1_d438e15836
wird.	w3_d438e15839
Actum	w5_d438e15842
Wien	w7_d438e15845
den	w9_d438e15848
7.	w11_d438e15851
Martii	w13_d438e15855
1760.	w15_d438e15858
</p>
<p id="p28_d438e15861">
Auf	w1_d438e15865
Anordnung	w3_d438e15868
eines	w5_d438e15871
alhiesigen	w7_d438e15874
Löbl.	w9_d438e15877
Stadt	w11_d438e15880
rahts,	w1_d438e15885
werden	w3_d438e15888
auf	w5_d438e15891
den	w7_d438e15894
9.	w9_d438e15897
nächstkünftigen	w11_d438e15900
Monats	w13_d438e15904
April,	w1_d438e15909
und	w3_d438e15912
die	w5_d438e15915
darauf	w7_d438e15918
folgende	w9_d438e15921
Täge	w11_d438e15924
in	w13_d438e15928
dem	w15_d438e15931
neuen	w1_d438e15937
Michaeler	w3_d438e15940
haus	w5_d438e15943
im	w7_d438e15946
3ten	w9_d438e15949
Stock	w11_d438e15952
unterschied.	w13_d438e15956
liche	w1_d438e15961
Verlassenschafts=effecten,	w3_d438e15964
als	w5_d438e15967
Manns=kleider,	w7_d438e15970
verschiedene	w1_d438e15975
Mahlereyen	w3_d438e15978
von	w5_d438e15981
besten	w7_d438e15984
Meistern,	w9_d438e15987
Tisch,	w1_d438e15992
Kästen,	w3_d438e15995
Sophen,	w5_d438e15998
Spiegeln,	w7_d438e16001
Billard,	w9_d438e16004
dann	w11_d438e16007
verschiedene	w1_d438e16013
Antiquen,	w3_d438e16016
wie	w5_d438e16019
auch	w7_d438e16022
ein	w9_d438e16025
Stadtschwim	w11_d438e16028
mer	w1_d438e16033
und	w3_d438e16036
4.	w5_d438e16039
sitziger	w7_d438e16042
Wagen,	w9_d438e16045
Vormittag	w11_d438e16048
von	w13_d438e16052
9.	w15_d438e16055
bis	w17_d438e16058
12,	w1_d438e16063
und	w3_d438e16066
Nachmittag	w5_d438e16069
von	w7_d438e16072
3.	w9_d438e16075
bis	w11_d438e16078
6.	w13_d438e16082
Uhr	w15_d438e16085
dem	w17_d438e16088
Meist=bietenden	w1_d438e16093
licitando	w3_d438e16096
verkauffet	w5_d438e16099
werden.	w7_d438e16102
</p>
<p id="p30_d438e16105">
Den	w1_d438e16109
23.	w3_d438e16112
Junii	w5_d438e16115
dieses	w7_d438e16118
Jahrs	w9_d438e16121
fruh	w11_d438e16124
um	w13_d438e16128
9.	w15_d438e16131
Uhr	w17_d438e16134
ha	w19_d438e16137
hew	w1_d438e16142
all	w3_d438e16145
und	w5_d438e16148
jede,	w7_d438e16151
welche	w9_d438e16154
an	w11_d438e16157
weil.	w13_d438e16161
Herrn	w15_d438e16164
Ferdinand	w17_d438e16167
Hönig,	w1_d438e16172
gewest	w3_d438e16175
Kais.	w5_d438e16178
Kön.	w7_d438e16181
Hof	w9_d438e16184
kriegs=agentens	w11_d438e16187
seel.	w1_d438e16193
Verlassenschaft	w3_d438e16196
einige	w5_d438e16199
Sprüch	w7_d438e16202
und	w9_d438e16205
Anfor	w11_d438e16208
nernngen	w1_d438e16213
ex	w3_d438e16216
quacunque	w5_d438e16219
caula	w7_d438e16222
zu	w9_d438e16225
machen	w11_d438e16228
ver	w13_d438e16232
meinen,	w1_d438e16237
in	w3_d438e16240
der	w5_d438e16243
Canzley	w7_d438e16246
des	w9_d438e16249
Hochlöbl.	w11_d438e16252
Kaiserl.	w13_d438e16256
Königl.	w1_d438e16261
Judicii	w3_d438e16264
delegati	w5_d438e16267
mixti	w7_d438e16270
in	w9_d438e16273
militaribus	w11_d438e16276
auf	w13_d438e16280
der	w1_d438e16286
Saillerstatt	w3_d438e16289
in	w5_d438e16292
der	w7_d438e16295
Hollerstauden	w9_d438e16298
im	w11_d438e16301
ersten	w13_d438e16305
Stock	w1_d438e16310
sub	w3_d438e16313
clausula	w5_d438e16316
præcluß	w7_d438e16319
zu	w9_d438e16322
erscheinen,	w11_d438e16325
und	w13_d438e16329
zu	w1_d438e16334
liquidiren.	w3_d438e16337
</p>
<p id="p32_d438e16340">
Von	w1_d438e16344
der	w3_d438e16347
N.	w5_d438e16350
Oe.	w7_d438e16353
Regierung	w9_d438e16356
wegen,	w11_d438e16359
wird	w13_d438e16363
mit	w15_d438e16366
gegenwärtig=offenem	w1_d438e16371
Edict	w3_d438e16374
jedermänniglich	w5_d438e16377
so	w7_d438e16380
mol	w1_d438e16385
An	w3_d438e16388
als	w5_d438e16391
Abwesenden,	w7_d438e16394
deme	w9_d438e16397
daran	w11_d438e16400
gelegen,	w13_d438e16404
kund	w1_d438e16410
und	w3_d438e16413
zu	w5_d438e16416
wissen	w7_d438e16419
gemacht:	w9_d438e16422
Es	w11_d438e16425
habe	w13_d438e16429
Regierung	w15_d438e16432
aus	w1_d438e16437
Nohtdurft	w3_d438e16440
zu	w5_d438e16443
seyn	w7_d438e16446
befunden,	w9_d438e16449
über	w11_d438e16452
das	w13_d438e16456
vor	w15_d438e16459
</p>
<p id="p34_d438e16462">
dem	w1_d438e16466
Schulden	w3_d438e16469
halber	w5_d438e16472
von	w7_d438e16475
hier	w9_d438e16478
entwichenen	w11_d438e16481
Herrn	w13_d438e16485
Caspar	w1_d438e16490
von	w3_d438e16493
Eckler,	w5_d438e16496
ruckgelassenes	w7_d438e16499
Vermögen	w9_d438e16502
ei	w11_d438e16505
nen	w1_d438e16510
ordentlichen	w3_d438e16513
Concurs	w5_d438e16516
anzuordnen,	w7_d438e16519
und	w9_d438e16522
des	w11_d438e16525
selben	w1_d438e16531
sammentliche	w3_d438e16534
sowol	w5_d438e16537
in	w7_d438e16540
als	w9_d438e16543
ausser	w11_d438e16546
Land	w13_d438e16550
be	w15_d438e16553
findliche	w1_d438e16558
Glaubige	w3_d438e16561
zu	w5_d438e16564
Anmeld	w7_d438e16567
und	w9_d438e16570
Liquidirung	w11_d438e16573
ihrer	w1_d438e16578
an	w3_d438e16581
erst=bemeldten	w5_d438e16584
Herrn	w7_d438e16587
von	w9_d438e16590
Eckler	w11_d438e16593
zu	w13_d438e16597
stel	w15_d438e16600
len	w1_d438e16605
habender	w3_d438e16608
Sprüch	w5_d438e16611
und	w7_d438e16614
Forderungen	w9_d438e16617
einzuberuf	w11_d438e16620
fen:	w1_d438e16626
zu	w3_d438e16629
welchem	w5_d438e16632
Ende	w7_d438e16635
denenselben	w9_d438e16638
der	w11_d438e16641
22	w13_d438e16645
Tag	w15_d438e16648
de	w17_d438e16651
künftigen	w1_d438e16656
Monats	w3_d438e16659
May	w5_d438e16662
Nachmittags	w7_d438e16665
um	w9_d438e16668
3.	w11_d438e16671
Uhr	w13_d438e16675
zur	w1_d438e16680
gewöhnlichen	w3_d438e16683
Tagsatzung	w5_d438e16686
für	w7_d438e16689
die	w9_d438e16692
erstandert	w11_d438e16695
und	w1_d438e16700
dritte,	w3_d438e16703
auch	w5_d438e16706
all=endliche	w7_d438e16709
Frist	w9_d438e16712
sub	w11_d438e16715
clausula	w13_d438e16719
præclusi	w1_d438e16725
anberaumet	w3_d438e16728
worden.	w5_d438e16731
Solchemnach	w7_d438e16734
wer	w9_d438e16737
den	w1_d438e16742
all	w3_d438e16745
und	w5_d438e16748
jede,	w7_d438e16751
welche	w9_d438e16754
an	w11_d438e16757
gedachten	w13_d438e16761
Herrn	w15_d438e16764
Caspar	w1_d438e16769
von	w3_d438e16772
Eckler,	w5_d438e16775
ex	w7_d438e16778
quacunque	w9_d438e16781
cansa	w11_d438e16784
vel	w13_d438e16788
titulo	w1_d438e16793
Sprüch	w3_d438e16796
und	w5_d438e16799
Anforderungen	w7_d438e16802
haben,	w9_d438e16805
oder	w11_d438e16808
zu	w1_d438e16814
haben	w3_d438e16817
vermeinen,	w5_d438e16820
an	w7_d438e16823
obbestimmten	w9_d438e16826
Tag	w11_d438e16829
und	w13_d438e16833
Stund	w1_d438e16838
vor	w3_d438e16841
Regierung	w5_d438e16844
in	w7_d438e16847
der	w9_d438e16850
daselbst	w11_d438e16853
zu	w13_d438e16857
solchem	w15_d438e16860
Ende	w1_d438e16865
offen	w3_d438e16868
haltenden	w5_d438e16871
Commißions=stuben	w7_d438e16874
entwe	w9_d438e16877
der	w1_d438e16882
selbst	w3_d438e16885
persönlich,	w5_d438e16888
oder	w7_d438e16891
durch	w9_d438e16894
hierzu	w11_d438e16897
genugsam	w13_d438e16901
gevollmächtigte	w1_d438e16907
Gewalt=tragere	w3_d438e16910
also	w5_d438e16913
gewiß	w7_d438e16916
zu	w9_d438e16919
er	w11_d438e16922
scheinen,	w1_d438e16927
und	w3_d438e16930
ihre	w5_d438e16933
an	w7_d438e16936
solche	w9_d438e16939
Crida=massa	w11_d438e16942
haben	w13_d438e16946
