<doc id="wr_1762-02-03" attrs="word" year="1762" month="02" day="03" corpus="2">
<head id="h2_d627e3760">
Madrit,	w1_d627e3764
Löbl.	w11_d627e14599
Land	w13_d627e14603
marschallischen	w1_d627e14608
Gericht	w3_d627e14611
verordnete	w5_d627e14614
Commissarien,	w7_d627e14617
geben	w1_d627e14622
hiemit	w3_d627e14625
all	w5_d627e14628
und	w7_d627e14631
jeden,	w9_d627e14634
welche	w11_d627e14637
an	w13_d627e14641
Frauen	w15_d627e14644
Jsabellam	w1_d627e14650
Gräfin	w3_d627e14653
von	w5_d627e14656
Starhemberg,	w7_d627e14659
geborner	w9_d627e14662
Gräfin	w1_d627e14667
von	w3_d627e14670
Weissenwolf,	w5_d627e14673
Sprüch	w7_d627e14676
und	w9_d627e14679
Anforde	w11_d627e14682
rungen	w1_d627e14687
zu	w3_d627e14690
haben	w5_d627e14693
vermeinen:	w7_d627e14696
daß	w9_d627e14699
wir	w11_d627e14702
zufolge	w13_d627e14706
der	w15_d627e14709
an	w1_d627e14714
uns	w3_d627e14717
ergangenen	w5_d627e14720
gerichtlichen	w7_d627e14723
Auflag	w9_d627e14726
zu	w11_d627e14729
Anhö	w13_d627e14733
rung	w1_d627e14739
deren	w3_d627e14742
Sprüchen	w5_d627e14745
und	w7_d627e14748
Forderungen	w9_d627e14751
eine	w11_d627e14754
per-	w13_d627e14758
emptorie	w1_d627e14763
clausulirte	w3_d627e14766
Convocations=tagsatzung	w5_d627e14769
auf	w7_d627e14772
den	w1_d627e14777
15.	w3_d627e14780
Monats	w5_d627e14783
Martii	w7_d627e14786
dies	w9_d627e14789
Jahrs	w11_d627e14792
Nachmittags	w13_d627e14796
um	w1_d627e14801
3.	w3_d627e14804
Uhr	w5_d627e14807
in	w7_d627e14810
meiner	w9_d627e14813
in	w11_d627e14816
dem	w13_d627e14820
Cronenbergischen	w15_d627e14823
Haus	w1_d627e14829
in	w3_d627e14832
der	w5_d627e14835
Corrent=gassen	w7_d627e14838
neben	w9_d627e14841
dem	w11_d627e14844
sogenann	w13_d627e14848
ten	w1_d627e14853
Ofenloch	w3_d627e14856
ersten	w5_d627e14859
Stock	w7_d627e14862
habender	w9_d627e14865
Wohnung	w11_d627e14868
pro	w1_d627e14873
1mo.	w3_d627e14876
2do.	w5_d627e14879
&	w7_d627e14882
3tio-Termino	w9_d627e14885
zu	w11_d627e14888
erscheinen	w13_d627e14892
bestimmet,	w1_d627e14897
wobey	w3_d627e14900
sie	w5_d627e14903
ihre	w7_d627e14906
Sprüch	w9_d627e14909
und	w11_d627e14912
Anfor	w13_d627e14916
derungen	w1_d627e14922
anzumelden,	w3_d627e14925
alle	w5_d627e14928
in	w7_d627e14931
Handen	w9_d627e14934
habende	w11_d627e14937
Liquidations	w1_d627e14942
und	w3_d627e14945
Legitimations=documenta	w5_d627e14948
mit	w7_d627e14951
zu	w1_d627e14956
bringen,	w3_d627e14959
und	w5_d627e14962
commißionaliter	w7_d627e14965
einzulegen	w9_d627e14968
ha	w11_d627e14971
ben.	w1_d627e14976
Als	w3_d627e14979
im	w5_d627e14982
widrigen	w7_d627e14985
die	w9_d627e14988
Anwesende	w11_d627e14991
in	w13_d627e14995
contu-	w15_d627e14998
maciam	w1_d627e15004
angehöret,	w3_d627e15007
und	w5_d627e15010
hierüber	w7_d627e15013
ex	w9_d627e15016
officio	w11_d627e15019
re	w13_d627e15023
lationiret,	w1_d627e15028
denen	w3_d627e15031
Ausbleibenden	w5_d627e15034
aber	w7_d627e15037
das	w9_d627e15040
ewige	w11_d627e15043
Stillschweigen	w1_d627e15048
auferleget	w3_d627e15051
werden	w5_d627e15054
solle.	w7_d627e15057
</p>
<p id="p22_d627e15102">
Von	w1_d627e15106
dem	w3_d627e15109
Kaiserl.	w5_d627e15112
Königl.	w7_d627e15115
Stadt	w9_d627e15118
und	w11_d627e15121
Land	w13_d627e15125
gericht	w1_d627e15130
Wien,	w3_d627e15133
wird	w5_d627e15136
des	w7_d627e15139
Anton	w9_d627e15142
Krieger,	w11_d627e15145
Bur	w13_d627e15149
gerl.	w1_d627e15154
Drärler=meisters	w3_d627e15157
sammentl	w5_d627e15160
Creditoren	w7_d627e15163
hier	w9_d627e15166
mit	w1_d627e15172
angefüget:	w3_d627e15175
wasgestalten	w5_d627e15178
der	w7_d627e15181
in	w9_d627e15184
der	w11_d627e15187
diesfälli	w13_d627e15191
gen	w1_d627e15196
Concurs	w3_d627e15199
sach	w5_d627e15202
aufgestellte	w7_d627e15205
Curator	w9_d627e15208
ad	w11_d627e15211
lites	w13_d627e15215
Franz	w1_d627e15220
Xaverius	w3_d627e15223
Leonhard	w5_d627e15226
Höga,	w7_d627e15229
J.	w9_d627e15232
U.	w11_d627e15235
D.	w13_d627e15239
wie	w15_d627e15242
auch	w1_d627e15247
K.	w3_d627e15250
K.	w5_d627e15253
Hof	w7_d627e15256
und	w9_d627e15259
Kriegs=rahts	w11_d627e15262
und	w13_d627e15266
Ge	w15_d627e15269
</p>
<p id="p24_d627e15273">
richts=advocat	w1_d627e15277
allda	w3_d627e15280
vorstellig	w5_d627e15283
gemacht,	w7_d627e15286
wie	w9_d627e15289
daß	w11_d627e15292
er	w1_d627e15297
in	w3_d627e15300
Beförderung	w5_d627e15303
der	w7_d627e15306
gegenwärtigen	w9_d627e15309
Cridä	w11_d627e15312
sach	w13_d627e15316
von	w1_d627e15321
darumen	w3_d627e15324
bis	w5_d627e15327
anhero	w7_d627e15330
gehemmet	w9_d627e15333
werde,	w11_d627e15336
all	w13_d627e15340
dieweilen	w1_d627e15346
bey	w3_d627e15349
der	w5_d627e15352
über	w7_d627e15355
Kriegerische	w9_d627e15358
Vermögen	w11_d627e15361
an	w13_d627e15365
geordnete,	w1_d627e15370
und	w3_d627e15373
auf	w5_d627e15376
den	w7_d627e15379
23.	w9_d627e15382
Decemb.	w11_d627e15385
des	w13_d627e15389
letzt	w15_d627e15392
abgeruckten	w1_d627e15397
1761.	w3_d627e15400
Jahrs	w5_d627e15403
bestimmten	w7_d627e15406
Eonvoca	w9_d627e15409
tions=tagsatzung	w1_d627e15414
kein	w3_d627e15417
einziger	w5_d627e15420
Creditor	w7_d627e15423
mit	w9_d627e15426
seiner	w11_d627e15429
Forderung	w1_d627e15435
angemeldet,	w3_d627e15438
auch	w5_d627e15441
ihme	w7_d627e15444
Herrn	w9_d627e15447
Curatori	w11_d627e15450
weder	w1_d627e15455
einer	w3_d627e15458
bekant,	w5_d627e15461
noch	w7_d627e15464
viel	w9_d627e15467
weniger	w11_d627e15470
deren	w13_d627e15474
For	w15_d627e15477
derungen	w1_d627e15482
wissend	w3_d627e15485
seye,	w5_d627e15488
als	w7_d627e15491
hatte	w9_d627e15494
selber,	w11_d627e15497
damit	w13_d627e15501
diese	w1_d627e15506
Cridä=sach	w3_d627e15509
zu	w5_d627e15512
Ende	w7_d627e15515
gebracht	w9_d627e15518
werde,	w11_d627e15521
wei	w13_d627e15525
tershin	w1_d627e15531
gebetten,	w3_d627e15534
daß	w5_d627e15537
ein	w7_d627e15540
abermaliges	w9_d627e15543
Valval	w11_d627e15546
edict	w1_d627e15551
affigiret	w3_d627e15554
werden	w5_d627e15557
möchte,	w7_d627e15560
wobey	w9_d627e15563
alle	w11_d627e15566
und	w13_d627e15570
jede	w1_d627e15575
Kriegerische	w3_d627e15578
Glaubigere	w5_d627e15581
ihre	w7_d627e15584
zu	w9_d627e15587
stellen	w11_d627e15590
ha	w13_d627e15594
bende	w1_d627e15599
Anforderungen	w3_d627e15602
also	w5_d627e15605
gewiß	w7_d627e15608
gerichtl.	w9_d627e15611
anzu	w11_d627e15614
melden	w1_d627e15620
gehalten	w3_d627e15623
seyn	w5_d627e15626
sollten;	w7_d627e15629
wie	w9_d627e15632
im	w11_d627e15635
widrigen	w13_d627e15639
die	w1_d627e15644
diesfalls	w3_d627e15647
sich	w5_d627e15650
nicht	w7_d627e15653
Angemeldte	w9_d627e15656
von	w11_d627e15659
der	w13_d627e15663
Krie	w15_d627e15666
gerischen	w1_d627e15671
Cridä=massa	w3_d627e15674
ihrer	w5_d627e15677
Prätension	w7_d627e15680
halber	w9_d627e15683
gänzlichen	w1_d627e15688
ausgeschlossen,	w3_d627e15691
und	w5_d627e15694
denenselben	w7_d627e15697
das	w9_d627e15700
ewige	w1_d627e15706
Stillschweigen	w3_d627e15709
auferleget	w5_d627e15712
werden	w7_d627e15715
solle;	w9_d627e15718
gleichwie	w1_d627e15723
nun	w3_d627e15726
dem	w5_d627e15729
diesfälligen	w7_d627e15732
Petito	w9_d627e15735
von	w11_d627e15738
Ge	w13_d627e15742
richts=wegen	w1_d627e15747
allerdings	w3_d627e15750
willfahret	w5_d627e15753
worden	w7_d627e15756
ist.	w9_d627e15759
Diesemnach	w1_d627e15764
wirdet	w3_d627e15767
denen	w5_d627e15770
Eingangs	w7_d627e15773
erwehntge	w9_d627e15776
samt=Anton	w1_d627e15782
Kriegerischen	w3_d627e15785
Credits=partheyen	w5_d627e15788
zu	w7_d627e15791
besagtem	w1_d627e15796
Ende	w3_d627e15799
eine	w5_d627e15802
mit	w7_d627e15805
all	w9_d627e15808
vorberührtem	w11_d627e15811
Anhang	w13_d627e15815
clausulirte	w1_d627e15820
Tagsatzung	w3_d627e15823
auf	w5_d627e15826
den	w7_d627e15829
20.	w9_d627e15832
dies	w11_d627e15835
Monats	w13_d627e15839
Febr.	w1_d627e15844
fruh	w3_d627e15847
um	w5_d627e15850
8.	w7_d627e15853
Uhr	w9_d627e15856
auf	w11_d627e15859
dem	w13_d627e15863
K.	w15_d627e15866
K.	w17_d627e15869
Stadt	w19_d627e15872
gericht	w1_d627e15878
unausbleiblich	w3_d627e15881
zu	w5_d627e15884
erscheinen,	w7_d627e15887
in	w9_d627e15890
Kraft	w11_d627e15893
des	w1_d627e15898
gegenwärtig=offenen	w3_d627e15901
Edicts	w5_d627e15904
hiemit	w7_d627e15907
bestimmet;	w9_d627e15910
wornach	w1_d627e15915
sie	w3_d627e15918
sich	w5_d627e15921
in	w7_d627e15924
allweeg	w9_d627e15927
zu	w11_d627e15930
richten	w13_d627e15934
haben,	w15_d627e15937
und	w17_d627e15940
ihrem	w1_d627e15945
Recht	w3_d627e15948
annoch	w5_d627e15951
in	w7_d627e15954
rechter	w9_d627e15957
Zeit	w11_d627e15960
und	w13_d627e15964
Weil	w15_d627e15967
gebührend	w1_d627e15973
zu	w3_d627e15976
invigiliren	w5_d627e15979
wissen	w7_d627e15982
werden.	w9_d627e15985
</p>
<p id="p26_d627e15988">
Von	w1_d627e15992
der	w3_d627e15995
K.	w5_d627e15998
K.	w7_d627e16001
N.	w9_d627e16004
Oe.	w11_d627e16007
Justizbancobeyu	w13_d627e16011
tation,	w1_d627e16016
wird	w3_d627e16019
hiemit	w5_d627e16022
allen	w7_d627e16025
und	w9_d627e16028
jeden	w11_d627e16031
durch	w13_d627e16035
gegen	w15_d627e16038
wärtiges	w1_d627e16043
Edict	w3_d627e16046
kund	w5_d627e16049
und	w7_d627e16052
zu	w9_d627e16055
wissen	w11_d627e16058
gemachet:	w13_d627e16062
Bey	w1_d627e16068
dieser	w3_d627e16071
Justitz=stelle	w5_d627e16074
habe	w7_d627e16077
Philipp	w9_d627e16080
Lambacher,	w11_d627e16083
Theatral=directions	w1_d627e16088
commissarius	w3_d627e16091
mit	w5_d627e16094
mehrerem	w7_d627e16097
angebracht,	w1_d627e16102
wasmassen	w3_d627e16105
bey	w5_d627e16108
der	w7_d627e16111
den	w9_d627e16114
3.	w11_d627e16117
Novembris	w13_d627e16121
jüngst	w1_d627e16126
abgewichenen	w3_d627e16129
1761.	w5_d627e16132
Jahrs	w7_d627e16135
sich	w9_d627e16138
ergebenen	w11_d627e16141
unglücklichen	w1_d627e16147
Abbrennung	w3_d627e16150
des	w5_d627e16153
Teutschen	w7_d627e16156
Thea	w9_d627e16159
ters,	w1_d627e16164
die	w3_d627e16167
in	w5_d627e16170
Handen	w7_d627e16173
des	w9_d627e16176
allda	w11_d627e16179
mit	w13_d627e16183
verbrunnenen	w15_d627e16186
Caßiers	w1_d627e16191
Anton	w3_d627e16194
Reyberger	w5_d627e16197
befindlich	w7_d627e16200
geweste	w9_d627e16203
nach	w11_d627e16206
specificirte,	w1_d627e16211
auf	w3_d627e16214
das	w5_d627e16217
K.	w7_d627e16220
K.	w9_d627e16223
Universalcammeral	w11_d627e16226
zahl=amt	w1_d627e16232
lautende	w3_d627e16235
Stadt	w5_d627e16238
Wienerische	w7_d627e16241
Banco	w9_d627e16244
obligationes,	w1_d627e16249
wovon	w3_d627e16252
sechs	w5_d627e16255
Stuck	w7_d627e16258
d.	w9_d627e16261
d.	w11_d627e16264
13.	w13_d627e16268
April	w15_d627e16271
1761.	w1_d627e16276
und	w3_d627e16279
zwar	w5_d627e16282
von	w7_d627e16285
diesen	w9_d627e16288
vier	w11_d627e16291
mit	w13_d627e16295
Num.	w15_d627e16298
102.	w17_d627e16301
105.	w1_d627e16306
106.	w3_d627e16309
und	w5_d627e16312
107.	w7_d627e16315
jede	w9_d627e16318
pr.	w11_d627e16321
200.	w13_d627e16325
fl.	w15_d627e16328
dann	w17_d627e16331
zwey	w19_d627e16334
mit	w1_d627e16340
Num.	w3_d627e16343
116.	w5_d627e16346
und	w7_d627e16349
117.	w9_d627e16352
pr.	w11_d627e16355
100.	w13_d627e16359
fl.	w15_d627e16362
ferners	w17_d627e16365
22.	w1_d627e16370
Stück	w3_d627e16373
d.	w5_d627e16376
d.	w7_d627e16379
26.	w9_d627e16382
Octob.	w11_d627e16385
1761.,	w13_d627e16389
wovon	w15_d627e16392
vier	w17_d627e16395
pr.	w1_d627e16400
400.	w3_d627e16403
fl.,	w5_d627e16406
vier	w7_d627e16409
pr.	w9_d627e16412
300.	w11_d627e16415
fl.,	w13_d627e16419
acht	w15_d627e16422
pr.	w17_d627e16425
200.	w19_d627e16428
fl.	w1_d627e16433
und	w3_d627e16436
sechs	w5_d627e16439
pr.	w7_d627e16442
100.	w9_d627e16445
fl.	w11_d627e16448
samt	w13_d627e16452
denen	w15_d627e16455
darzu	w17_d627e16458
gehö	w19_d627e16461
rigen	w1_d627e16467
Ceßionen	w3_d627e16470
mutmaßlich	w5_d627e16473
ebenfalls	w7_d627e16476
im	w9_d627e16479
Rauch	w11_d627e16482
aufgegangen	w1_d627e16487
wären.	w3_d627e16490
Zumalen	w5_d627e16493
aber	w7_d627e16496
ehe	w9_d627e16499
und	w11_d627e16502
be	w13_d627e16506
vor	w1_d627e16511
um	w3_d627e16514
Ausfertigung	w5_d627e16517
soviel	w7_d627e16520
anderer	w9_d627e16523
Obligatio	w11_d627e16526
nen	w1_d627e16531
gehöriger	w3_d627e16534
Orten	w5_d627e16537
angelanget	w7_d627e16540
würde,	w9_d627e16543
die	w11_d627e16546
hier	w13_d627e16550
oben	w1_d627e16556
specificirte	w3_d627e16559
Obligationes	w5_d627e16562
ordentlich	w7_d627e16565
amorti	w9_d627e16568
siren	w1_d627e16573
zu	w3_d627e16576
lassen,	w5_d627e16579
erforderlich	w7_d627e16582
seyn	w9_d627e16585
wollte.	w11_d627e16588
Als	w13_d627e16592
</p>
<p id="p32_d627e16605">
hat	w1_d627e16609
derselbe	w3_d627e16612
wegen	w5_d627e16615
Ausfertig	w7_d627e16618
und	w9_d627e16621
Aflgirung	w11_d627e16624
des	w13_d627e16628
diesfälligen	w1_d627e16633
gewöhnlichen	w3_d627e16636
Galder,	w5_d627e16639
ediets	w7_d627e16642
um	w9_d627e16645
die	w11_d627e16648
Auflage	w1_d627e16653
an	w3_d627e16656
seine	w5_d627e16659
Behörde	w7_d627e16662
geeiten	w9_d627e16665
Gleichwie	w1_d627e16671
de	w1_d627e16676
Wgen	w3_d627e16679
Aoden	w5_d627e16682
nun	w1_d627e16687
in	w3_d627e16690
solches	w5_d627e16693
des	w7_d627e16696
Supplicun	w9_d627e16699
gewilliget	w1_d627e16704
gen	w1_d627e16710
von	w3_d627e16713
Rechtswegen	w5_d627e16716
solcher	w7_d627e16719
worden,	w1_d627e16724
daß,	w3_d627e16727
wann	w5_d627e16730
binnen	w7_d627e16733
einten	w9_d627e16736
sechs	w1_d627e16741
Wochen	w1_d627e16746
und	w3_d627e16749
drey	w5_d627e16752
Tägen	w7_d627e16755
von	w9_d627e16758
Zeit	w11_d627e16761
derirung	w13_d627e16765
zu	w1_d627e16771
obigen	w3_d627e16774
dieses	w1_d627e16779
Edicts	w3_d627e16782
anzurechnen	w5_d627e16785
sich	w7_d627e16788
nieman	w9_d627e16791
vermutlich	w1_d627e16796
verbrunnenen,	w3_d627e16799
auf	w5_d627e16802
das	w7_d627e16805
K.	w9_d627e16808
K.	w11_d627e16811
Uni	w13_d627e16815
gersal=cammeral=zahl=amt	w1_d627e16820
lautenden	w3_d627e16823
Stadt	w5_d627e16826
Wienerischen	w1_d627e16832
Banco=obligationen,	w3_d627e16835
wovon	w5_d627e16838
sechs	w7_d627e16841
Stuck	w1_d627e16846
d.	w3_d627e16849
d.	w5_d627e16852
13.	w7_d627e16855
April	w9_d627e16858
1761.	w11_d627e16861
zusammen	w13_d627e16865
pr.	w15_d627e16868
1000.	w17_d627e16871
fl.	w1_d627e16876
und	w3_d627e16879
22.	w5_d627e16882
d.	w7_d627e16885
d.	w9_d627e16888
26.	w11_d627e16891
Octob.	w13_d627e16895
dicti	w15_d627e16898
anni	w17_d627e16901
zusammen	w19_d627e16904
pr.	w1_d627e16909
5000.	w3_d627e16912
fl.	w5_d627e16915
rechtlich	w7_d627e16918
legitimiren,	w9_d627e16921
oder	w11_d627e16924
solche	w13_d627e16928
samt	w1_d627e16934
denen	w3_d627e16937
Ceßionen	w5_d627e16940
bey	w7_d627e16943
dieser	w9_d627e16946
K.	w11_d627e16949
K.	w13_d627e16953
N.	w15_d627e16956
Oe	w17_d627e16959
Justitz=banco=deputation	w1_d627e16964
in	w3_d627e16967
Originali	w5_d627e16970
produci	w7_d627e16973
ren	w1_d627e16978
wurbe,	w3_d627e16981
selbe	w5_d627e16984
alsdann	w7_d627e16987
für	w9_d627e16990
null	w11_d627e16993
und	w13_d627e16997
nichtig	w15_d627e17000
gehalten,	w1_d627e17005
folgsam	w3_d627e17008
nach	w5_d627e17011
Verfliessung	w7_d627e17014
bemeldten	w9_d627e17017
Termins	w1_d627e17023
der	w3_d627e17026
K.	w5_d627e17029
K.	w7_d627e17032
Theatral=direction	w9_d627e17035
neue	w11_d627e17038
der	w13_d627e17042
ley	w1_d627e17047
Obligationes	w3_d627e17050
auf	w5_d627e17053
vorberuhrte	w7_d627e17056
Summen	w9_d627e17059
nebst	w11_d627e17062
denen	w1_d627e17067
darzu	w3_d627e17070
gehörigen	w5_d627e17073
Ceßionen	w7_d627e17076
ausgefertiget,	w9_d627e17079
und	w1_d627e17084
zu	w3_d627e17087
dem	w5_d627e17090
Ende	w7_d627e17093
das	w9_d627e17096
Erforderliche	w11_d627e17099
an	w13_d627e17103
seine	w15_d627e17106
Ge	w17_d627e17109
hörde	w1_d627e17115
erlassen	w3_d627e17118
werden	w5_d627e17121
solle.	w7_d627e17124
Solchemnach	w1_d627e17129
hat	w3_d627e17132
man	w1_d627e17137
ein	w3_d627e17140
solches	w5_d627e17143
jedermänniglich	w7_d627e17146
durch	w9_d627e17149
dieses	w11_d627e17152
of	w13_d627e17156
gene	w1_d627e17161
Edict	w3_d627e17164
zur	w5_d627e17167
Nachricht	w7_d627e17170
hiemit	w9_d627e17173
erinneren	w11_d627e17176
wollen.	w13_d627e17180
</p>
<p id="p34_d627e17186">
Den	w1_d627e17190
4.	w3_d627e17193
Febr.	w5_d627e17196
dies	w7_d627e17199
Jahrs	w9_d627e17202
werden	w11_d627e17205
in	w13_d627e17209
dem	w15_d627e17212
Wal	w17_d627e17215
terischen	w1_d627e17220
Haus	w3_d627e17223
in	w5_d627e17226
der	w7_d627e17229
Ungar=gassen	w9_d627e17232
von	w11_d627e17235
9.	w13_d627e17239
bis	w15_d627e17242
12.	w1_d627e17247
und	w3_d627e17250
Nachmittags	w5_d627e17253
von	w7_d627e17256
3.	w9_d627e17259
bis	w11_d627e17262
6.	w13_d627e17266
Uhr	w15_d627e17269
verschie	w17_d627e17272
dene	w1_d627e17278
Oesterreicher	w3_d627e17281
/	w5_d627e17284
wein	w7_d627e17287
samt	w9_d627e17290
Vässern,	w11_d627e17293
auch	w13_d627e17297
leere	w15_d627e17300
Vässer	w1_d627e17305
dem	w3_d627e17308
Meistbietenden	w5_d627e17311
gegen	w7_d627e17314
baarer	w9_d627e17317
Bezah	w11_d627e17320
lung	w1_d627e17325
hindann	w3_d627e17328
gelassen;	w5_d627e17331
auch	w7_d627e17334
ist	w9_d627e17337
in	w11_d627e17340
dasiger	w13_d627e17344
Behau	w15_d627e17347
jung	w1_d627e17352
eine	w3_d627e17355
herrschaftlich=mobilirte	w5_d627e17358
Sonnnerwoh	w7_d627e17361
nung,	w1_d627e17367
wobey	w3_d627e17370
ein	w5_d627e17373
schöner	w7_d627e17376
Garten,	w9_d627e17379
nebst	w11_d627e17382
Stallung,	w13_d627e17386
Wagen=schupfen	w1_d627e17391
und	w3_d627e17394
Heuböden,	w5_d627e17397
alltäglich	w7_d627e17400
zuver	w9_d627e17403
lassen,	w1_d627e17408
wessentwegen	w3_d627e17411
sich	w5_d627e17414
bey	w7_d627e17417
Johaten	w9_d627e17420
ichetl	w11_d627e17423
Schenacker	w1_d627e17428
zum	w3_d627e17431
roten	w5_d627e17434
Mänul	w7_d627e17437
auf	w9_d627e17440
der	w11_d627e17443
Fretzung	w13_d627e17447
im	w15_d627e17450
Gewürz=gewölb	w1_d627e17456
anzumelden	w3_d627e17459
ist.	w5_d627e17462
</p>
<p id="p36_d627e17466">
Nächst	w1_d627e17470
kommenden	w3_d627e17473
Donnerstag,	w5_d627e17476
als	w7_d627e17479
den	w9_d627e17482
4.	w11_d627e17485
Fe	w13_d627e17489
bruarii	w1_d627e17494
fruhe	w3_d627e17497
von	w5_d627e17500
9.	w7_d627e17503
bis	w9_d627e17506
12.	w11_d627e17509
und	w13_d627e17513
Nachmittags	w15_d627e17516
von	w1_d627e17521
3.	w3_d627e17524
bis	w5_d627e17527
6.	w7_d627e17530
Uhr	w9_d627e17533
werden	w11_d627e17536
auf	w13_d627e17540
Verordnung	w15_d627e17543
einer	w17_d627e17546
Löbl.	w1_d627e17552
Universität	w3_d627e17555
in	w5_d627e17558
dem	w7_d627e17561
alten	w9_d627e17564
Universitäts	w11_d627e17567
haus	w13_d627e17571
ersten	w1_d627e17576
Stocks	w3_d627e17579
verschiedene	w5_d627e17582
Verlassenschafts	w7_d627e17585
efferten	w9_d627e17588
bestehend,	w1_d627e17593
in	w3_d627e17596
etwas	w5_d627e17599
Geschmuck,	w7_d627e17602
Galauterien,	w9_d627e17605
Perln,	w1_d627e17610
Frauen=kleidern	w3_d627e17613
und	w5_d627e17616
Spitzen	w7_d627e17619
licitando	w9_d627e17622
ver	w11_d627e17625
kauffet	w1_d627e17631
werden.	w3_d627e17634
</p>
<p id="p38_d627e17637">
Von	w1_d627e17641
der	w3_d627e17644
Röm.	w5_d627e17647
K.	w7_d627e17650
K.	w9_d627e17653
N.	w11_d627e17656
Oc.	w13_d627e17660
Regierung	w15_d627e17663
we	w17_d627e17666
gen	w1_d627e17671
rc.	w3_d627e17674
denen	w5_d627e17677
in	w7_d627e17680
dem	w9_d627e17683
untern	w11_d627e17686
15.	w13_d627e17690
Julii	w15_d627e17693
1756.	w17_d627e17696
publicirt	w1_d627e17701
Probst	w3_d627e17704
Pallingenischen	w5_d627e17707
Cridä=abschied	w7_d627e17710
in	w1_d627e17716
Classe	w3_d627e17719
3tia	w5_d627e17722
einkommenden	w7_d627e17725
Credits=partheyen	w9_d627e17728
benanntlichen:	w1_d627e17733
dem	w3_d627e17736
Joh.	w5_d627e17739
Adam	w7_d627e17742
Leyrer,	w9_d627e17745
proprio	w11_d627e17748
&	w1_d627e17753
mandatario	w3_d627e17756
nomine	w5_d627e17759
deren	w7_d627e17762
Gregori	w9_d627e17765
Leyrerischen	w11_d627e17768
Mit=erben,	w1_d627e17773
dem	w3_d627e17776
Anton	w5_d627e17779
Mayr,	w7_d627e17782
Bilderhand	w9_d627e17785
ler	w1_d627e17791
von	w3_d627e17794
Torgen,	w5_d627e17797
gleichfalls	w7_d627e17800
proprio	w9_d627e17803
&	w11_d627e17806
manda-	w13_d627e17810
tario	w1_d627e17815
nomine	w3_d627e17818
des	w5_d627e17821
Balthasar	w7_d627e17824
Pöchler,	w9_d627e17827
denen	w11_d627e17830
Hart	w13_d627e17834
mannischen	w1_d627e17839
Erben	w3_d627e17842
und	w5_d627e17845
Vormundschaft	w7_d627e17848
der	w9_d627e17851
The	w11_d627e17854
resia	w1_d627e17859
Baldauffin,	w3_d627e17862
des	w5_d627e17865
Joh.	w7_d627e17868
Anton	w9_d627e17871
Baldauf,	w11_d627e17874
ge	w13_d627e17878
misten	w1_d627e17884
Probstey=administratoris	w3_d627e17887
Wittib.	w5_d627e17890
anzuzei	w7_d627e17893
</p>
<p id="p40_d627e17896">
gen;	w1_d627e17900
Es	w3_d627e17903
seye	w5_d627e17906
obbesagt	w7_d627e17909
unterm	w9_d627e17912
15.	w11_d627e17915
Julii	w13_d627e17919
1756.	w15_d627e17922
bey	w1_d627e17927
Jhr	w3_d627e17930
Regierung	w5_d627e17933
publicirt	w7_d627e17936
Probst	w9_d627e17939
Pallingeni	w11_d627e17942
schen	w1_d627e17947
Cridä	w3_d627e17950
der	w5_d627e17953
Joh.	w7_d627e17956
Adam	w9_d627e17959
Leyrer,	w11_d627e17962
proprio	w13_d627e17966
&	w15_d627e17969
mandatario	w1_d627e17975
nomine	w3_d627e17978
der	w5_d627e17981
Leyrerischen	w7_d627e17984
Mit=erben	w9_d627e17987
mit	w1_d627e17992
denen	w3_d627e17995
auf	w5_d627e17998
eine	w7_d627e18001
Obligation	w9_d627e18004
d.	w11_d627e18007
d.	w13_d627e18011
13.	w15_d627e18014
Febr.	w17_d627e18017
1735.	w1_d627e18022
angemeldeten	w3_d627e18025
150.	w5_d627e18028
fl.	w7_d627e18031
samt	w9_d627e18034
à	w11_d627e18037
5.	w13_d627e18041
pro	w15_d627e18044
Cento	w17_d627e18047
erweislich	w1_d627e18052
ausständigen	w3_d627e18055
Jnteresse	w5_d627e18058
gegen	w7_d627e18061
Prolu	w9_d627e18064
cirung	w1_d627e18070
des	w3_d627e18073
Originals	w5_d627e18076
um	w7_d627e18079
behöriger	w9_d627e18082
Erbslegi	w11_d627e18085
timation,	w1_d627e18090
dann	w3_d627e18093
Ablegung	w5_d627e18096
eines	w7_d627e18099
Cörperlichen	w9_d627e18102
Ei	w11_d627e18105
des,	w1_d627e18110
daß	w3_d627e18113
weder	w5_d627e18116
er,	w7_d627e18119
noch	w9_d627e18122
seines	w11_d627e18125
Wissens	w13_d627e18129
sein	w15_d627e18132
Vatter	w1_d627e18137
solche	w3_d627e18140
versprochene	w5_d627e18143
150.	w7_d627e18146
fl.	w9_d627e18149
Capital	w11_d627e18152
von	w13_d627e18156
dem	w1_d627e18162
Cridatario	w3_d627e18165
weder	w5_d627e18168
ganz,	w7_d627e18171
noch	w9_d627e18174
zum	w11_d627e18177
Theil	w13_d627e18181
em	w15_d627e18184
pfangen,	w1_d627e18189
auch	w3_d627e18192
hierumen	w5_d627e18195
nicht	w7_d627e18198
bedecket,	w9_d627e18201
sondern	w11_d627e18204
solche	w1_d627e18209
noch	w3_d627e18212
aufrecht	w5_d627e18215
zu	w7_d627e18218
fordern	w9_d627e18221
habe;	w11_d627e18224
der	w13_d627e18228
Anton	w15_d627e18231
Mayr,	w1_d627e18236
Bilder=handler	w3_d627e18239
zu	w5_d627e18242
