<doc id="edoc_wd_1771-03-27" attrs="word" year="1771" month="03" day="27" corpus="1">
<head id="hl1">
Cadix	w33
nen	w12480
<g/>
,
wie	w12482
im	w12483
widrigen	w12484
von	w12485
den	w12486
Anwesenden	w12487
die	w12488
Nothdurften	w12489
in	w12490
Contumaciam	w12491
vernommen	w12492
<g/>
,
und	w12494
was	w12495
Rechtens	w12496
ist	w12497
<g/>
,
ex	w12499
officio	w12500
erkennet	w12501
werden	w12502
solle	w12503
<g/>
.
</p>
<p id="p140">
Es	w12505
ist	w12506
die	w12507
zu	w12508
Maria	w12509
Hietzing	w12510
liegend	w12511
sogenannte	w12512
Muttetische	w12513
Behausung	w12514
<g/>
,
sammt	w12516
dabey	w12517
befindli=chen	w12518
<g/>
=
Garten	w12520
<g/>
,
Pferdstallungen	w12522
<g/>
,
Wagenschupfen	w12524
<g/>
,
Keller	w12526
<g/>
,
und	w12528
übrigen	w12529
Zugehörde	w12530
<g/>
,
alltäglich	w12532
auf	w12533
herannahende	w12534
Sommerszeit	w12535
zu	w12536
verlassen	w12537
<g/>
;
Wer	w12539
demnach	w12540
solches	w12541
in	w12542
Bestand	w12543
zu	w12544
nehmen	w12545
ein	w12546
Be=lieben	w12547
<g/>
=
traget	w12549
<g/>
,
hat	w12551
sich	w12552
hierwegen	w12553
des	w12554
mehreren	w12555
in	w12556
der	w12557
Kärntnerstrasse	w12558
nächst	w12559
dem	w12560
goldenen	w12561
Greifen	w12562
im	w12563
Mayrischen	w12564
Haus	w12565
sub	w12566
Nro	w12567
<g/>
.
993	w12569
<g/>
.
im	w12571
2ten	w12572
Stock	w12573
bey	w12574
Hrn	w12575
<g/>
.
Johann	w12577
Hofstätter	w12578
<g/>
,
als	w12580
gerichtl	w12581
<g/>
.
ver=ordnet	w12583
<g/>
=
Mütetischen	w12585
Curat	w12586
<g/>
.
bonorum	w12588
<g/>
,
zu	w12590
erkun=digen	w12591
<g/>
=
<g/>
.
</p>
<p id="p141">
Es	w12594
ist	w12595
ein	w12596
von	w12597
bestem	w12598
Bau	w12599
und	w12600
schönster	w12601
Aus=sicht	w12602
<g/>
=
ganz	w12604
neu	w12605
zugerichteter	w12606
Freyhof	w12607
zu	w12608
Brunn	w12609
am	w12610
Gebürg	w12611
an	w12612
der	w12613
Baaduerstrassen	w12614
alltäglich	w12615
zu	w12616
ver=kauffen	w12617
<g/>
=
<g/>
,
welcher	w12620
bestehet	w12621
in	w12622
16	w12623
Zimmern	w12624
<g/>
,
die	w12626
mit	w12627
Tapetten	w12628
<g/>
,
Bethern	w12630
<g/>
,
Tischen	w12632
<g/>
,
Sesseln	w12634
<g/>
,
So=phen	w12636
<g/>
=
<g/>
,
Kästen	w12639
<g/>
,
Spiegeln	w12641
<g/>
,
und	w12643
Hängleuchtern	w12644
<g/>
,
und	w12646
mit	w12647
allen	w12648
übrigen	w12649
Hausgeräthe	w12650
<g/>
,
nach	w12652
den	w12653
neuesten	w12654
und	w12655
besten	w12656
Geschmack	w12657
auf	w12658
das	w12659
Niedlichste	w12660
eingerichtet	w12661
<g/>
,
dann	w12663
befindet	w12664
sich	w12665
hierbey	w12666
nebst	w12667
zwey	w12668
großen	w12669
Höfen	w12670
<g/>
,
eine	w12672
sehr	w12673
schöne	w12674
Kuchel	w12675
<g/>
,
ein	w12677
der=gleichen	w12678
<g/>
=
Speisgewölb	w12680
<g/>
,
ein	w12682
Stall	w12683
auf	w12684
6	w12685
<g/>
.
Pferde	w12687
<g/>
,
dann	w12689
ein	w12690
deto	w12691
auf	w12692
5	w12693
Stück	w12694
Kühe	w12695
<g/>
,
ein	w12697
ganz	w12698
neue	w12699
Wagenschupfen	w12700
auf	w12701
vier	w12702
Wägen	w12703
samt	w12704
Heustadel	w12705
<g/>
,
ein	w12707
Keller	w12708
auf	w12709
1000	w12710
Eimer	w12711
Weine	w12712
<g/>
,
eine	w12714
große	w12715
Preß	w12716
samt	w12717
vielen	w12718
und	w12719
großen	w12720
Schüttböden	w12721
<g/>
,
wel=che	w12723
<g/>
=
alle	w12725
durchaus	w12726
gepflastert	w12727
sind	w12728
<g/>
,
einer	w12730
Eißgru=ben	w12731
<g/>
=
samt	w12733
andern	w12734
Gewölbern	w12735
<g/>
,
einem	w12737
Garten	w12738
<g/>
,
wel=cher	w12740
<g/>
=
durchaus	w12742
mit	w12743
Mauer	w12744
umfangen	w12745
ist	w12746
<g/>
,
dann	w12748
ge=hören	w12749
<g/>
=
darzu	w12751
57	w12752
Weingärten	w12753
<g/>
,
12	w12755
Tagwerk	w12756
Wald=wiesen	w12757
<g/>
=
<g/>
,
ein	w12760
eines	w12761
Grundbüchel	w12762
<g/>
,
zwey	w12764
Weinzierl=wohnungen	w12765
<g/>
=
<g/>
,
welche	w12768
können	w12769
vermiethet	w12770
werden	w12771
<g/>
.
Dieser	w12773
Ort	w12774
ist	w12775
wegen	w12776
Reine	w12777
des	w12778
Lufts	w12779
sehr	w12780
be=rühmt	w12781
<g/>
=
<g/>
;
und	w12784
ist	w12785
sich	w12786
deshalben	w12787
sowohl	w12788
wegen	w12789
Kauf	w12790
als	w12791
selben	w12792
anzusehen	w12793
bey	w12794
dem	w12795
Verleger	w12796
des	w12797
wien	w12798
<g/>
.
Diarii	w12800
anzumelden	w12801
<g/>
.
</p>
<p id="p142">
Von	w12803
des	w12804
kais	w12805
<g/>
.
kön	w12807
<g/>
.
N	w12809
<g/>
.
Oe	w12811
<g/>
.
Mercantil	w12813
<g/>
=
und	w12815
Wechselgerichts	w12816
wegen	w12817
dem	w12818
Franz	w12819
Kett	w12820
von	w12821
Grätz	w12822
durch	w12823
gegenwärtig	w12824
ordentliches	w12825
Edictum	w12826
hiemit	w12827
anzufügen	w12828
<g/>
;
Es	w12830
habe	w12831
bey	w12832
diesem	w12833
k	w12834
<g/>
.
k	w12836
<g/>
.
N	w12838
<g/>
.
Oe	w12840
<g/>
.
Mer=cantil	w12842
<g/>
=
<g/>
=
und	w12845
Wechselgericht	w12846
der	w12847
Thomas	w12848
Schal=linger	w12849
<g/>
=
burgerl	w12851
<g/>
.
Coffeesieder	w12853
wider	w12854
ihn	w12855
um	w12856
die	w12857
ge=richtliche	w12858
<g/>
=
Einantwortung	w12860
deren	w12861
pro	w12862
pignore	w12863
in	w12864
Handen	w12865
habend	w12866
<g/>
,
unterm	w12868
26	w12869
<g/>
.
abgeruckten	w12871
Mo=nats	w12872
<g/>
=
Febr	w12874
<g/>
.
auf	w12876
220	w12877
<g/>
.
fl	w12879
<g/>
.
gerichtl	w12881
<g/>
.
geschätzten	w12883
Prä=tiosen	w12884
<g/>
=
<g/>
,
dann	w12887
Ausfertigung	w12888
deren	w12889
nöthigen	w12890
Val=valedicten	w12891
<g/>
=
untern	w12893
heutigen	w12894
Dato	w12895
gehorsamst	w12896
ge=betten	w12897
<g/>
=
<g/>
.
Da	w12900
nun	w12901
hierüber	w12902
der	w12903
Rathschlag	w12904
dahin	w12905
<g/>
(
die	w12907
Auslösung	w12908
in	w12909
bemeldt	w12910
geschätzter	w12911
Effecten	w12912
inner	w12913
3	w12914
<g/>
.
Tägen	w12916
aufzulegen	w12917
<g/>
,
sonst	w12919
seye	w12920
in	w12921
die	w12922
Ein=antwortung	w12923
<g/>
=
gewilliget	w12925
<g/>
,
wofern	w12927
nichts	w12928
einkom einkommen	w12929
<g/>
=
</p>
<p id="p143">
men	w12931
<g/>
,
und	w12933
solle	w12934
diese	w12935
Verordnung	w12936
dem	w12937
Beklag=ten	w12938
<g/>
=
per	w12940
Edicta	w12941
ad	w12942
Valvas	w12943
behörig	w12944
kund	w12945
gemacht	w12946
werden	w12947
<g/>
)
nichts	w12949
ergangen	w12950
<g/>
.
Als	w12952
wird	w12953
ihme	w12954
Franz	w12955
Kett	w12956
solche	w12957
unter	w12958
heutigem	w12959
Dato	w12960
ergangene	w12961
3	w12962
<g/>
.
tägige	w12964
Auslösungsauflage	w12965
seines	w12966
nicht	w12967
wissentli=chen	w12968
<g/>
=
Aufenthalts	w12970
wegen	w12971
durch	w12972
gegenwärtiges	w12973
Edictum	w12974
hiemit	w12975
intimiret	w12976
und	w12977
zu	w12978
wissen	w12979
gemacht	w12980
<g/>
.
</p>
<p id="p144">
Es	w12982
sind	w12983
in	w12984
pfannischen	w12985
Haus	w12986
nächst	w12987
der	w12988
schö=nen	w12989
<g/>
=
Latern	w12991
und	w12992
heil	w12993
<g/>
.
Kreuzerhof	w12995
auf	w12996
künftige	w12997
Georgi	w12998
zwey	w12999
kleine	w13000
Wohnungen	w13001
<g/>
,
jede	w13003
von	w13004
drey	w13005
Zimmer	w13006
<g/>
,
Kuchel	w13008
<g/>
,
Boden	w13010
<g/>
,
Holzgewölb	w13012
und	w13013
Kel=ler	w13014
<g/>
=
zu	w13016
verlassen	w13017
<g/>
,
und	w13019
hat	w13020
man	w13021
sich	w13022
dieserwegen	w13023
bey	w13024
dem	w13025
Hausmeister	w13026
allda	w13027
anzumelden	w13028
<g/>
.
</p>
<p id="p145">
Von	w13030
der	w13031
Freyherrl	w13032
<g/>
.
Tintischen	w13034
Amtskanzley	w13035
der	w13036
Herrschaft	w13037
Schalaburg	w13038
bey	w13039
Mölk	w13040
wird	w13041
hiemit	w13042
je=dermann	w13043
<g/>
=
kund	w13045
und	w13046
zu	w13047
wissen	w13048
gemacht	w13049
<g/>
:
Es	w13051
habe	w13052
Franz	w13053
Meisch	w13054
<g/>
,
burgerl	w13056
<g/>
.
Handelsmann	w13058
und	w13059
Witt=wer	w13060
<g/>
=
in	w13062
dem	w13063
zur	w13064
allhiesig	w13065
Freyherrl	w13066
<g/>
.
Herrschaft	w13068
un=terthänigen	w13069
<g/>
=
Markt	w13071
Loßdorf	w13072
<g/>
,
geziemend	w13074
angezei=get	w13075
<g/>
=
<g/>
,
wasgestalten	w13078
selber	w13079
seine	w13080
Handlung	w13081
ferners=hin	w13082
<g/>
=
nicht	w13084
mehr	w13085
fortzuführen	w13086
<g/>
,
sondern	w13088
diese	w13089
samt	w13090
seiner	w13091
Behausung	w13092
in	w13093
gedachtem	w13094
Markt	w13095
Loßdorf	w13096
<g/>
,
wie	w13098
auch	w13099
alle	w13100
seine	w13101
besitzende	w13102
Ueberländ	w13103
Grundstü=cke	w13104
<g/>
=
<g/>
,
als	w13107
12	w13108
<g/>
.
Joch	w13110
Aecker	w13111
<g/>
,
1	w13113
<g/>
.
Tagwerkwiesen	w13115
<g/>
,
4	w13117
<g/>
.
Viertl	w13119
Weingärten	w13120
<g/>
,
und	w13122
verschiedene	w13123
Krautgär=ten	w13124
<g/>
=
<g/>
,
nicht	w13127
minder	w13128
sämmtliche	w13129
Fahrnissen	w13130
<g/>
,
als	w13132
Rindvieh	w13133
<g/>
,
Pferd	w13135
<g/>
,
Fässer	w13137
<g/>
,
Leinwäsch	w13139
<g/>
,
Bether	w13141
<g/>
,
Zinn	w13143
<g/>
,
Kupfer	w13145
und	w13146
dergleichen	w13147
Hauseinrichtung	w13148
mehr	w13149
<g/>
,
durch	w13151
offentliche	w13152
Licitation	w13153
verkaufen	w13154
zu	w13155
lassen	w13156
gesinnet	w13157
seye	w13158
<g/>
,
dahero	w13160
diese	w13161
seine	w13162
Jntention	w13163
durch	w13164
offentliche	w13165
Zeitung	w13166
kund	w13167
zu	w13168
machen	w13169
<g/>
,
und	w13171
hiezu	w13172
ordentliche	w13173
Täge	w13174
zu	w13175
bestimmen	w13176
gehorsamst	w13177
gebetten	w13178
habe	w13179
<g/>
.
Zumalen	w13181
nun	w13182
in	w13183
dies	w13184
sein	w13185
Be=gehren	w13186
<g/>
=
gewilliget	w13188
<g/>
,
und	w13190
zur	w13191
offentlichen	w13192
Licitation	w13193
der	w13194
17	w13195
<g/>
.
18	w13197
<g/>
.
und	w13199
19	w13200
<g/>
.
künftigen	w13202
Monats	w13203
April	w13204
be=stimmet	w13205
<g/>
=
worden	w13207
<g/>
.
Als	w13209
wird	w13210
dies	w13211
zu	w13212
dem	w13213
Ende	w13214
hiemit	w13215
anerinneret	w13216
<g/>
,
damit	w13218
alle	w13219
jene	w13220
<g/>
,
welche	w13222
et=was	w13223
<g/>
=
entweder	w13225
von	w13226
denen	w13227
vorhandenen	w13228
Fahrnissen	w13229
<g/>
,
oder	w13231
Ueberländ	w13232
Grundstücken	w13233
<g/>
,
hauptsächlich	w13235
aber	w13236
die	w13237
<g/>
,
welche	w13239
eine	w13240
Handlung	w13241
zu	w13242
erkaufen	w13243
willens	w13244
sind	w13245
<g/>
,
an	w13247
obbestimmten	w13248
Tägen	w13249
in	w13250
der	w13251
Metschischen	w13252
Behausung	w13253
zu	w13254
Loßdorf	w13255
zu	w13256
erscheinen	w13257
wissen	w13258
mö=gen	w13259
<g/>
=
<g/>
.
Man	w13262
versichert	w13263
zugleich	w13264
<g/>
,
daß	w13266
diese	w13267
Behau=sung	w13268
<g/>
=
von	w13270
besonderer	w13271
Bequemlichkeit	w13272
<g/>
,
und	w13274
durch=aus	w13275
<g/>
=
gutem	w13277
Bau	w13278
seye	w13279
<g/>
,
und	w13281
da	w13282
selbe	w13283
auf	w13284
der	w13285
Haupt=poststrasse	w13286
<g/>
=
situiret	w13288
<g/>
,
so	w13290
ist	w13291
dies	w13292
nebst	w13293
der	w13294
ohnedem	w13295
guten	w13296
Revier	w13297
für	w13298
eine	w13299
Handlung	w13300
ein	w13301
besonderer	w13302
Vortheil	w13303
<g/>
,
den	w13305
sich	w13306
ein	w13307
erfahrnes	w13308
Subjectum	w13309
ab=sonderlich	w13310
<g/>
=
zu	w13312
Nutzen	w13313
machen	w13314
kann	w13315
<g/>
.
</p>
<p id="p146">
Wir	w13317
Burgermeister	w13318
und	w13319
Rath	w13320
der	w13321
Stadt	w13322
Wien	w13323
geben	w13324
hiemit	w13325
jedermann	w13326
zu	w13327
vernehmen	w13328
<g/>
:
Es	w13330
seye	w13331
die	w13332
Elisabeth	w13333
Mansin	w13334
<g/>
,
gewest	w13336
ledigen	w13337
Standes	w13338
allhier	w13339
mit	w13340
Tod	w13341
abgegangen	w13342
<g/>
,
und	w13344
daher	w13345
um	w13346
mit	w13347
der	w13348
künftigen	w13349
Verlassenschaftsabhandlung	w13350
sicher	w13351
fürgehen	w13352
zu	w13353
können	w13354
<g/>
,
für	w13356
nothwendig	w13357
befunden	w13358
</p>
<p id="p147">
worden	w13361
<g/>
,
diejenigen	w13363
vorzuladen	w13364
und	w13365
anzuhören	w13366
<g/>
,
welche	w13368
an	w13369
diese	w13370
Verlassenschaft	w13371
einige	w13372
Ansprüche	w13373
und	w13374
Forderungen	w13375
haben	w13376
möchten	w13377
<g/>
.
Da	w13379
wir	w13380
nun	w13381
entschlossen	w13382
sind	w13383
<g/>
,
eben	w13385
diese	w13386
Sprüche	w13387
und	w13388
Forde=rungen	w13389
<g/>
=
an	w13391
dem	w13392
eigens	w13393
<g/>
,
und	w13395
zwar	w13396
für	w13397
das	w13398
erste	w13399
<g/>
=
und	w13401
letztemal	w13402
hiezu	w13403
bestimmten	w13404
Tag	w13405
<g/>
,
nämlich	w13407
den	w13408
19	w13409
<g/>
.
des	w13411
Monats	w13412
April	w13413
dies	w13414
Jahrs	w13415
<g/>
,
oder	w13417
da	w13418
wir	w13419
diesen	w13420
Tag	w13421
anderer	w13422
Verhindernissen	w13423
wegen	w13424
nicht	w13425
zu	w13426
Rath	w13427
sässen	w13428
<g/>
,
den	w13430
nächst	w13431
darauf	w13432
folgenden	w13433
Raths=tag	w13434
<g/>
=
frühe	w13436
um	w13437
8	w13438
Uhr	w13439
zu	w13440
hören	w13441
<g/>
,
und	w13443
zu	w13444
verneh=men	w13445
<g/>
=
<g/>
.
So	w13448
haben	w13449
alle	w13450
jene	w13451
<g/>
,
welche	w13453
an	w13454
der	w13455
Elisa=beth	w13456
<g/>
=
Mansin	w13458
seel	w13459
<g/>
.
Verlassenschaft	w13461
eine	w13462
rechtmäßi=ge	w13463
<g/>
=
Forderung	w13465
<g/>
,
es	w13467
sey	w13468
um	w13469
Erbschaft	w13470
<g/>
,
Schuld	w13472
<g/>
,
oder	w13474
anderer	w13475
Ursachen	w13476
willen	w13477
<g/>
,
zu	w13479
haben	w13480
glauben	w13481
<g/>
,
den	w13483
bestimmten	w13484
Tag	w13485
selbst	w13486
personlich	w13487
<g/>
,
oder	w13489
durch	w13490
einen	w13491
hinlänglich	w13492
versehenen	w13493
Gewalttrager	w13494
so	w13495
ge=wiß	w13496
<g/>
=
vor	w13498
uns	w13499
zu	w13500
erscheinen	w13501
<g/>
,
sich	w13503
behörig	w13504
zu	w13505
legiti=miren	w13506
<g/>
=
<g/>
,
und	w13509
ihre	w13510
Ansprüche	w13511
und	w13512
Forderungen	w13513
dar=zuthun	w13514
<g/>
=
<g/>
,
als	w13517
im	w13518
widrigen	w13519
Falle	w13520
auf	w13521
die	w13522
ausbleiben=den	w13523
<g/>
=
oder	w13525
nicht	w13526
behörig	w13527
liquidirenden	w13528
Erben	w13529
<g/>
,
Glau=biger	w13531
<g/>
=
<g/>
,
und	w13534
Prätendenten	w13535
keine	w13536
Rucksicht	w13537
genom=men	w13538
<g/>
=
<g/>
,
mit	w13541
der	w13542
Abhandlung	w13543
und	w13544
Vertheilung	w13545
des	w13546
Verlassenschaftsguts	w13547
von	w13548
Amts	w13549
wegen	w13550
vorgegan=gen	w13551
<g/>
=
<g/>
,
und	w13554
dasselbe	w13555
den	w13556
etwa	w13557
vorkommenden	w13558
Erben	w13559
unbedenklich	w13560
überlassen	w13561
werden	w13562
würde	w13563
<g/>
.
</p>
<p id="p148">
Es	w13565
ist	w13566
das	w13567
zu	w13568
Weidling	w13569
nächst	w13570
Klosterneuburg	w13571
liegend	w13572
vorhin	w13573
Baron	w13574
Mannagethische	w13575
Haus	w13576
<g/>
,
bey	w13578
besten	w13579
Bau	w13580
und	w13581
Wirthschaft	w13582
<g/>
;
deren	w13584
das	w13585
erstere	w13586
mit	w13587
18	w13588
<g/>
.
Stück	w13590
so	w13591
regulair	w13592
als	w13593
sehr	w13594
wohl	w13595
condi=tionirt	w13596
<g/>
=
<g/>
,
und	w13599
nicht	w13600
nur	w13601
sauberen	w13602
und	w13603
schönen	w13604
<g/>
,
sondern	w13606
auch	w13607
überflüßig	w13608
eingerichteten	w13609
Zimmern	w13610
im	w13611
ergötzlichen	w13612
Aussehen	w13613
<g/>
,
dann	w13615
mit	w13616
Stallung	w13617
und	w13618
dreyen	w13619
Kellern	w13620
<g/>
,
deren	w13622
einer	w13623
auf	w13624
2000	w13625
<g/>
.
der	w13627
zweyte	w13628
auf	w13629
1000	w13630
<g/>
.
und	w13632
der	w13633
dritte	w13634
auf	w13635
200	w13636
<g/>
.
Em=mer	w13638
<g/>
=
ist	w13640
<g/>
,
wie	w13642
auch	w13643
einer	w13644
mit	w13645
schönen	w13646
Zinn	w13647
<g/>
,
und	w13649
sonstigen	w13650
Küchengeschier	w13651
eingerichteten	w13652
Kü=che	w13653
<g/>
=
versehen	w13655
ist	w13656
<g/>
:
dahingegen	w13658
die	w13659
letztern	w13660
in	w13661
ei=nem	w13662
<g/>
=
großen	w13664
Obst	w13665
<g/>
=
und	w13667
Küchengarten	w13668
an	w13669
dem	w13670
Hause	w13671
<g/>
,
dann	w13673
abermahlen	w13674
in	w13675
zweyen	w13676
vielen	w13677
Frucht=bringenden	w13678
<g/>
=
Obst	w13680
und	w13681
Grasgärten	w13682
<g/>
,
wie	w13684
auch	w13685
in	w13686
beyläufig	w13687
7	w13688
<g/>
.
Tagwerk	w13690
Wiesen	w13691
<g/>
,
und	w13693
in	w13694
9	w13695
<g/>
.
4tel	w13697
und	w13698
1	w13699
<g/>
-
2	w13701
<g/>
.
8tel	w13703
Weingärten	w13704
in	w13705
sehr	w13706
guter	w13707
Lage	w13708
be=stehet	w13709
<g/>
=
<g/>
,
alltäglichen	w13712
zu	w13713
verkaufen	w13714
<g/>
.
Wer	w13716
nun	w13717
zu	w13718
sothanen	w13719
Ankauf	w13720
ein	w13721
Belieben	w13722
haben	w13723
mag	w13724
<g/>
,
je=ner	w13726
<g/>
=
hat	w13728
sich	w13729
auf	w13730
der	w13731
Hohenbrücke	w13732
in	w13733
dem	w13734
gegen	w13735
über	w13736
des	w13737
Lammelwirtshauses	w13738
gelagert	w13739
von	w13740
Aichi=schen	w13741
<g/>
=
Hause	w13743
im	w13744
2ten	w13745
Stock	w13746
anzumelden	w13747
<g/>
.
</p>
<p id="p149">
Ein	w13749
viersitziges	w13750
halbgedecktes	w13751
zum	w13752
Packen	w13753
sehr	w13754
bequemes	w13755
ein	w13756
wenig	w13757
überführtes	w13758
Reißkalesch	w13759
ist	w13760
um	w13761
billigen	w13762
Preiß	w13763
zu	w13764
haben	w13765
<g/>
,
weswegen	w13767
man	w13768
sich	w13769
in	w13770
der	w13771
k	w13772
<g/>
.
k	w13774
<g/>
.
privil	w13776
<g/>
.
Baron	w13778
de	w13779
Loprestischen	w13780
Lee=derfabrique	w13781
<g/>
=
an	w13783
der	w13784
Wien	w13785
anfragen	w13786
kann	w13787
<g/>
.
</p>
<p id="p150">
Das	w13789
zu	w13790
Herrnals	w13791
befindliche	w13792
v	w13793
<g/>
.
Pieringerische	w13795
Haus	w13796
sammt	w13797
Garten	w13798
ist	w13799
zu	w13800
verkaufen	w13801
<g/>
;
wer	w13803
hieran	w13804
Belieben	w13805
traget	w13806
<g/>
,
hat	w13808
sich	w13809
im	w13810
Jacobergäßel	w13811
in	w13812
dem	w13813
</p>
<p id="p151">
Crainerischen	w13814
Stiftungshaus	w13815
im	w13816
3ten	w13817
Stock	w13818
auf	w13819
der	w13820
vordern	w13821
Stiegen	w13822
anzumelden	w13823
<g/>
.
</p>
<p id="p152">
Es	w13825
ist	w13826
in	w13827
einer	w13828
gesund	w13829
<g/>
=
und	w13831
angenehmen	w13832
Si=tuation	w13833
<g/>
=
ein	w13835
nach	w13836
neuem	w13837
Gut	w13838
erbaut	w13839
<g/>
=
alltäglich	w13841
zu	w13842
bewohnen	w13843
herrschaftliches	w13844
Gebäu	w13845
samt	w13846
guten	w13847
Obst	w13848
<g/>
=
und	w13850
Zierbäumer	w13851
besetzten	w13852
Garten	w13853
zu	w13854
verkau=fen	w13855
<g/>
=
<g/>
,
worüber	w13858
sich	w13859
des	w13860
Weitheren	w13861
bey	w13862
den	w13863
Verle=gern	w13864
<g/>
=
des	w13866
wienerischen	w13867
Diariums	w13868
zu	w13869
erkundigen	w13870
<g/>
.
</p>
<p id="p153">
Es	w13872
hat	w13873
der	w13874
aus	w13875
den	w13876
k	w13877
<g/>
.
k	w13879
<g/>
.
Kriegsdiensten	w13881
weg=gekommene	w13882
<g/>
=
Moschinski	w13884
sowohl	w13885
als	w13886
dessen	w13887
Ehe=gattin	w13888
<g/>
=
schon	w13890
vor	w13891
mehr	w13892
als	w13893
einem	w13894
Jahre	w13895
bey	w13896
ei=nem	w13897
<g/>
=
sicheren	w13899
Soldatenweibe	w13900
von	w13901
dem	w13902
k	w13903
<g/>
.
k	w13905
<g/>
.
Fürst	w13907
Poniatowskischen	w13908
Regiment	w13909
ein	w13910
und	w13911
andere	w13912
Klei=dungsstücke	w13913
<g/>
=
gegen	w13915
baar	w13916
darauf	w13917
empfangene	w13918
32	w13919
<g/>
.
fl	w13921
<g/>
.
in	w13923
Versatz	w13924
gegeben	w13925
<g/>
.
Ungeachtet	w13927
man	w13928
dersel=ben	w13929
<g/>
=
<g/>
,
so	w13932
lang	w13933
ihr	w13934
Aufenthalt	w13935
bekannt	w13936
war	w13937
<g/>
,
öfters	w13939
zugeschrieben	w13940
hatte	w13941
<g/>
,
sothane	w13943
Kleidungstücke	w13944
aus=zulösen	w13945
<g/>
=
<g/>
,
so	w13948
ist	w13949
solches	w13950
dennoch	w13951
niemals	w13952
erfolget	w13953
<g/>
.
Da	w13955
nun	w13956
besagte	w13957
Conpersonen	w13958
den	w13959
Ort	w13960
ihres	w13961
vori=gen	w13962
<g/>
=
Aufenthalts	w13964
verlassen	w13965
haben	w13966
<g/>
,
und	w13968
man	w13969
nicht	w13970
wissen	w13971
kann	w13972
wo	w13973
sie	w13974
sich	w13975
dermals	w13976
befinden	w13977
<g/>
:
so	w13979
wird	w13980
denselben	w13981
ein	w13982
peremptorischer	w13983
Termin	w13984
von	w13985
3	w13986
<g/>
.
Mo=nante	w13988
<g/>
=
hierdurch	w13990
anberaumet	w13991
und	w13992
festgesetzet	w13993
<g/>
,
bin=nen	w13995
<g/>
=
welcher	w13997
Zeitfrist	w13998
sie	w13999
die	w14000
oberwehnte	w14001
Klei=dungssachen	w14002
<g/>
=
einzulassen	w14004
haben	w14005
<g/>
,
widrigenfalles	w14007
man	w14008
nach	w14009
dem	w14010
<g/>
,
was	w14012
Rechtens	w14013
ist	w14014
verfahren	w14015
wird	w14016
<g/>
.
Gegeben	w14018
bey	w14019
des	w14020
obermeldten	w14021
Regimentsgericht	w14022
Linz	w14023
den	w14024
20	w14025
<g/>
.
Hornung	w14027
1771	w14028
<g/>
.
</p>
<p id="p154">
Von	w14030
der	w14031
zum	w14032
löblichen	w14033
Stift	w14034
heiligen	w14035
Kreutz	w14036
eingestifteten	w14037
Herrschaft	w14038
Tromau	w14039
wirdet	w14040
hiemit	w14041
jedermänniglich	w14042
kund	w14043
und	w14044
zu	w14045
wissen	w14046
gemacht	w14047
<g/>
:
welchergestalten	w14049
die	w14050
in	w14051
dem	w14052
Dorf	w14053
Münchendorf	w14054
an	w14055
der	w14056
Oedenburger	w14057
Poststraß	w14058
nächst	w14059
Wien	w14060
gele=gene	w14061
<g/>
=
Leonhard	w14063
Marenzellerische	w14064
Halblehen	w14065
Be=hausung	w14066
<g/>
=
Nro	w14068
55	w14069
<g/>
.
samt	w14071
darzu	w14072
gehörigen	w14073
21	w14074
1halb	w14075
Joch	w14076
Hausacker	w14077
<g/>
,
5	w14079
halbes	w14080
Tagwerk	w14081
Wiesen	w14082
<g/>
,
ein	w14084
8tel	w14085
Haus	w14086
<g/>
=
und	w14088
Krengarten	w14089
<g/>
,
1halbs	w14091
Joch	w14092
Aulüß	w14093
<g/>
,
und	w14095
ein	w14096
8tel	w14097
Krautgarten	w14098
mit	w14099
3	w14100
saubern	w14101
Wohn=zimmern	w14102
<g/>
=
<g/>
,
einer	w14105
Speiß	w14106
und	w14107
einer	w14108
Kammer	w14109
<g/>
,
einem	w14111
gut	w14112
gebauten	w14113
Keller	w14114
auf	w14115
120	w14116
Eimer	w14117
Weine	w14118
<g/>
,
ei=nem	w14120
<g/>
=
stark	w14122
gebauten	w14123
Schittboden	w14124
für	w14125
1500	w14126
Metzen	w14127
Körner	w14128
<g/>
,
Stallung	w14130
für	w14131
8	w14132
Pferde	w14133
und	w14134
12	w14135
Stück	w14136
Hornvieh	w14137
<g/>
,
einem	w14139
gut	w14140
gebauten	w14141
Stadel	w14142
mit	w14143
zwey	w14144
Thenen	w14145
<g/>
,
eine	w14147
Wagen	w14148
<g/>
=
und	w14150
einer	w14151
Holzschupfen	w14152
<g/>
,
wie	w14154
auch	w14155
viele	w14156
Ueberländgrundstücken	w14157
<g/>
,
als	w14159
Aecker	w14160
<g/>
,
Weingärten	w14162
und	w14163
Wiesen	w14164
<g/>
,
alle	w14166
samt	w14167
denen	w14168
Haus=gründen	w14169
<g/>
=
<g/>
,
in	w14172
besten	w14173
Grund	w14174
gelegen	w14175
<g/>
,
die	w14177
angebauten	w14178
Felder	w14179
mit	w14180
Winter	w14181
<g/>
=
und	w14183
Sommerfrüchten	w14184
<g/>
,
28	w14186
Eimer	w14187
Weine	w14188
<g/>
,
Pfaffstettner	w14190
Gewächs	w14191
<g/>
,
von	w14193
3erley	w14194
Gattungen	w14195
und	w14196
Jahren	w14197
<g/>
,
in	w14199
3	w14200
eisernen	w14201
Fäßern	w14202
