<doc id="wr_1757-04-13" attrs="word" year="1757" month="04" day="13" corpus="2">
<head id="h2_d134e3550">
Genua,	w1_d134e3554
nen	w1_d134e14431
sich	w3_d134e14434
zu	w5_d134e14437
flüchten,	w7_d134e14440
und	w9_d134e14443
ihre	w11_d134e14446
Häuser	w13_d134e14450
in	w15_d134e14453
Stich	w17_d134e14456
zu	w1_d134e14462
lassen;	w3_d134e14465
und	w5_d134e14468
daß	w7_d134e14471
der	w9_d134e14474
König	w11_d134e14477
von	w13_d134e14481
Preussen	w15_d134e14484
6.	w1_d134e14489
Regierungs=rähten	w3_d134e14492
zu	w5_d134e14495
Cleve	w7_d134e14498
die	w9_d134e14501
Vollmacht	w11_d134e14504
gegeben,	w1_d134e14509
mit	w3_d134e14512
denen	w5_d134e14515
anruckenden	w7_d134e14518
Französi	w9_d134e14521
schen	w1_d134e14526
Völkern,	w3_d134e14529
so	w5_d134e14532
gut	w7_d134e14535
als	w9_d134e14538
es	w11_d134e14541
immer	w13_d134e14545
möglich	w15_d134e14548
seyn	w1_d134e14554
wurde	w3_d134e14557
zu	w5_d134e14560
tractiren.	w7_d134e14563
</p>
<p id="p28_d134e14566">
Von	w1_d134e14570
Ruremonde:	w3_d134e14573
Daß	w5_d134e14576
der	w7_d134e14579
Französische	w9_d134e14582
General	w1_d134e14587
Prinz	w3_d134e14590
von	w5_d134e14593
Soubise	w7_d134e14596
den	w9_d134e14599
28ten	w11_d134e14602
Mart.	w13_d134e14606
Nachmittag	w1_d134e14611
von	w3_d134e14614
Maseick	w5_d134e14617
alda	w7_d134e14620
eingetroffen,	w9_d134e14623
und	w1_d134e14629
bey	w3_d134e14632
dem	w5_d134e14635
Commandanten	w7_d134e14638
von	w9_d134e14641
Müller	w11_d134e14644
ab	w13_d134e14648
gestiegen,	w1_d134e14653
in	w3_d134e14656
einer	w5_d134e14659
Stund	w7_d134e14662
darauf	w9_d134e14665
aber	w11_d134e14668
von	w13_d134e14672
dannen	w1_d134e14677
wieder	w3_d134e14680
nacher	w5_d134e14683
Massig	w7_d134e14686
zuruck	w9_d134e14689
gekehret	w11_d134e14692
seye,	w1_d134e14697
nachdeme	w3_d134e14700
er	w5_d134e14703
für	w7_d134e14706
400.	w9_d134e14709
Französische	w11_d134e14712
Hus	w13_d134e14716
saren,	w1_d134e14722
und	w3_d134e14725
100.	w5_d134e14728
Mann	w7_d134e14731
des	w9_d134e14734
Kaiserl.	w11_d134e14737
Königl.	w13_d134e14741
Regimentes	w1_d134e14746
Ligne	w3_d134e14749
einen	w5_d134e14752
offentlichen	w7_d134e14755
Befehl	w9_d134e14758
unterschrieben,	w1_d134e14763
kraft	w3_d134e14766
welchem	w5_d134e14769
diese	w7_d134e14772
noch	w9_d134e14775
sel	w11_d134e14778
bigen	w1_d134e14783
Abend	w3_d134e14786
die	w5_d134e14789
Vogtey	w7_d134e14792
von	w9_d134e14795
Kessel	w11_d134e14798
in	w13_d134e14802
dem	w15_d134e14805
Preußischen	w1_d134e14811
Geldern	w3_d134e14814
zu	w5_d134e14817
occupiren	w7_d134e14820
beordret	w9_d134e14823
worden.	w1_d134e14828
Dieser	w3_d134e14831
offene	w5_d134e14834
Befehl	w7_d134e14837
ware	w9_d134e14840
folgenden	w11_d134e14843
Jnhalts:	w1_d134e14848
</p>
<p id="p30_d134e14851">
Wir	w1_d134e14855
Carl	w3_d134e14858
von	w5_d134e14861
Rohan,	w7_d134e14864
Fürst	w9_d134e14867
von	w11_d134e14870
Sou	w13_d134e14874
bise,	w1_d134e14879
Epinoy,	w3_d134e14882
und	w5_d134e14885
Meaubuisson,	w7_d134e14888
Herzog	w9_d134e14891
von	w11_d134e14894
Rohan=Rohan,	w1_d134e14899
Pair	w3_d134e14902
von	w5_d134e14905
Frankreich,	w7_d134e14908
Vicom	w9_d134e14911
te	w1_d134e14917
Gard,	w3_d134e14920
erster	w5_d134e14923
Herzog,	w7_d134e14926
und	w9_d134e14929
Erb=Contestable	w11_d134e14932
von	w1_d134e14937
Flandern,	w3_d134e14940
Senechal	w5_d134e14943
von	w7_d134e14946
Haynaut,	w9_d134e14949
Ca	w11_d134e14952
pitain	w1_d134e14957
Leutenant	w3_d134e14960
deren	w5_d134e14963
Gens=d'armes	w7_d134e14966
der	w9_d134e14969
Kö	w11_d134e14972
nigl.	w1_d134e14977
Leib=wache,	w3_d134e14980
Gouverneur	w5_d134e14983
und	w7_d134e14986
General	w9_d134e14989
Leutenant	w1_d134e14995
Seiner	w3_d134e14998
Allerchristlichsten	w5_d134e15001
Majestät	w7_d134e15004
in	w1_d134e15009
denen	w3_d134e15012
Provinzen	w5_d134e15015
von	w7_d134e15018
Flandern	w9_d134e15021
und	w11_d134e15024
Hay	w13_d134e15028
naut,	w1_d134e15033
Gouverneur	w3_d134e15036
der	w5_d134e15039
Stadt	w7_d134e15042
und	w9_d134e15045
Citadell	w11_d134e15048
von	w1_d134e15053
Lille	w3_d134e15056
rc.	w5_d134e15059
General	w7_d134e15062
Leutenant	w9_d134e15065
der	w11_d134e15068
Königl.	w13_d134e15072
Französischen	w1_d134e15078
Armee,	w3_d134e15081
und	w5_d134e15084
Commandierender	w7_d134e15087
General	w1_d134e15092
deren	w3_d134e15095
Oesterreichischen,	w5_d134e15098
und	w7_d134e15101
Franzö	w9_d134e15104
sischen	w1_d134e15109
Hülfs=trupen	w3_d134e15112
rc.	w5_d134e15115
geben	w7_d134e15118
hiemit	w9_d134e15121
zu	w11_d134e15124
ver	w13_d134e15128
nehmen,	w1_d134e15133
daß	w3_d134e15136
Vorweiser	w5_d134e15139
dessen	w7_d134e15142
ein	w9_d134e15145
Haupt	w11_d134e15148
mann,	w1_d134e15154
mit	w3_d134e15157
100.	w5_d134e15160
Mann	w7_d134e15163
des	w9_d134e15166
Regiments	w11_d134e15169
Ligne	w13_d134e15173
</p>
<p id="p34_d134e15178">
Vallonischer	w1_d134e15182
Jnfanterie,	w3_d134e15185
Befehl	w5_d134e15188
habe	w7_d134e15191
in	w9_d134e15194
das	w11_d134e15197
Dorf	w1_d134e15202
Kessel,	w3_d134e15205
Preußischen	w5_d134e15208
Gebietes	w7_d134e15211
sich	w9_d134e15214
zu	w11_d134e15217
verfügen,	w1_d134e15222
und	w3_d134e15225
daselbst	w5_d134e15228
das	w7_d134e15231
jenige	w9_d134e15234
zu	w11_d134e15237
vollzie	w13_d134e15241
hen,	w1_d134e15247
was	w3_d134e15250
ihme	w5_d134e15253
von	w7_d134e15256
dem	w9_d134e15259
Commendanten	w11_d134e15262
von	w13_d134e15266
Ruremonde	w1_d134e15271
Herrn	w3_d134e15274
von	w5_d134e15277
Müller	w7_d134e15280
aufgetragen	w9_d134e15283
worden;	w1_d134e15288
wobey	w3_d134e15291
jedoch	w5_d134e15294
diese	w7_d134e15297
Trupen	w9_d134e15300
alle	w11_d134e15303
gute	w13_d134e15307
Manns=zucht	w1_d134e15312
halten	w3_d134e15315
werden.	w5_d134e15318
Ruremonde	w1_d134e15324
28ten	w3_d134e15327
Martii	w5_d134e15330
1757	w7_d134e15333
</p>
<head id="h2_d134e15339">
Lista	w1_d134e15343
deren	w3_d134e15346
Verstordenen	w5_d134e15349
zu	w7_d134e15352
Wien	w9_d134e15355
in	w1_d134e15360
und	w3_d134e15363
vor	w5_d134e15366
der	w7_d134e15369
Stadt.	w9_d134e15372
Den	w1_d134e15377
9.	w3_d134e15380
April.	w5_d134e15383
Jn	w1_d134e15389
der	w3_d134e15392
Stadt.	w5_d134e15395
</head>
<list id="l4_d134e15398">
Der	w1_d134e15402
Wol	w3_d134e15405
ehrw.	w5_d134e15408
P.	w7_d134e15411
Mauritius	w9_d134e15414
Gagberger,	w11_d134e15417
Ordin.	w13_d134e15421
St.	w1_d134e15426
Franc.	w3_d134e15429
Convent.	w5_d134e15432
im	w7_d134e15435
Ksoster	w9_d134e15438
unterm	w11_d134e15441
Land	w13_d134e15445
H.	w15_d134e15448
alt	w1_d134e15453
73.	w3_d134e15456
J.	w5_d134e15459
Fr.	w1_d134e15465
Anna	w3_d134e15468
Elisab.	w5_d134e15471
Romanin,	w7_d134e15474
Wittwe,	w9_d134e15477
im	w11_d134e15480
Haueris.	w13_d134e15484
H.	w1_d134e15489
in	w3_d134e15492
der	w5_d134e15495
Kärntnerstr.,	w7_d134e15498
alt	w9_d134e15501
67.	w11_d134e15504
J.	w13_d134e15508
Jos.	w1_d134e15513
Giegl,	w3_d134e15516
gew.	w5_d134e15519
Handels=dien.,	w7_d134e15522
im	w9_d134e15525
Maureris.	w11_d134e15528
d.	w13_d134e15532
im	w1_d134e15537
Berg=hof,	w3_d134e15540
alt	w5_d134e15543
49.	w7_d134e15546
J.	w9_d134e15549
</list>
<head id="h2_d134e15556">
Vor	w1_d134e15560
der	w3_d134e15563
Stadt.	w5_d134e15566
</head>
<list id="l4_d134e15569">
Dem	w1_d134e15573
Joh.	w3_d134e15576
Cruse,	w5_d134e15579
s.	w7_d134e15582
K.	w9_d134e15585
Friev.	w11_d134e15588
beym	w13_d134e15592
gold.	w15_d134e15595
Engel	w17_d134e15598
in	w19_d134e15601
der	w1_d134e15606
Rossau,	w3_d134e15609
alt	w5_d134e15612
2.	w7_d134e15615
1.	w9_d134e15618
h.	w11_d134e15621
J.	w13_d134e15625
Dem	w1_d134e15630
Bonifaci	w3_d134e15633
Hießberger,	w5_d134e15636
Bäck.,	w7_d134e15639
s.	w9_d134e15642
K.	w11_d134e15645
Franz,	w13_d134e15649
bey	w15_d134e15652
der	w1_d134e15658
rot.	w3_d134e15661
Bretz	w5_d134e15664
in	w7_d134e15667
der	w9_d134e15670
Josephst.,	w11_d134e15673
alt	w13_d134e15677
2.	w15_d134e15680
J.	w17_d134e15683
Dem	w1_d134e15688
Domin.	w3_d134e15691
Breikner,	w5_d134e15694
Burgerl.	w7_d134e15697
Fell=färd.,	w9_d134e15700
s.	w11_d134e15703
K.	w13_d134e15707
Margar.,	w1_d134e15712
bey	w3_d134e15715
der	w5_d134e15718
Hungaris.	w7_d134e15721
Kron	w9_d134e15724
am	w11_d134e15727
Neubau,	w13_d134e15731
alt	w1_d134e15736
7.	w3_d134e15739
J.	w5_d134e15742
Dem	w1_d134e15748
Carl	w3_d134e15751
Mayr	w5_d134e15754
Bestand	w7_d134e15757
wirt.,	w9_d134e15760
s.	w11_d134e15763
K.	w13_d134e15767
Jarod,	w15_d134e15770
bey	w17_d134e15773
denen	w1_d134e15778
3.	w3_d134e15781
König.	w5_d134e15784
bey	w7_d134e15787
Maria	w9_d134e15790
hülf,	w11_d134e15793
alt	w13_d134e15797
7.	w15_d134e15800
J.	w17_d134e15803
Dem	w1_d134e15808
Niclas	w3_d134e15811
Aigenhauser,	w5_d134e15814
Schneid.,	w7_d134e15817
s.	w9_d134e15820
W	w11_d134e15823
Clara,	w13_d134e15827
beym	w1_d134e15832
schwarz	w3_d134e15835
Eleph.	w5_d134e15838
im	w7_d134e15841
Liechtenth.,	w9_d134e15844
alt	w11_d134e15847
51.	w13_d134e15851
J.	w15_d134e15854
Jos.	w1_d134e15860
Lackner,	w3_d134e15863
Proviant=kn.,	w5_d134e15866
derm	w7_d134e15869
grün	w9_d134e15872
Baum	w11_d134e15875
in	w13_d134e15879
der	w1_d134e15884
Leopoldst.,	w3_d134e15887
alt	w5_d134e15890
40.	w7_d134e15893
J.	w9_d134e15896
Dem	w1_d134e15901
Conrad	w3_d134e15904
Sumer,	w5_d134e15907
Lack.,	w7_d134e15910
s.	w9_d134e15913
K.	w11_d134e15916
Franz,	w13_d134e15920
beym	w15_d134e15923
rot.	w17_d134e15926
Hitsch.	w1_d134e15931
in	w3_d134e15934
der	w5_d134e15937
Leopoldst,	w7_d134e15940
alt	w9_d134e15943
2.	w11_d134e15946
J.	w13_d134e15950
Dem	w1_d134e15956
Joh.	w3_d134e15959
Koller,	w5_d134e15962
Kirchen=samml.,	w7_d134e15965
s.	w9_d134e15968
K.	w11_d134e15971
Nepom.,	w13_d134e15975
bey	w1_d134e15980
der	w3_d134e15983
H.	w5_d134e15986
Dreyfaltigk.	w7_d134e15989
auf	w9_d134e15992
der	w11_d134e15995
Wind=mühl,	w13_d134e15999
alt	w15_d134e16002
5.	w1_d134e16007
v.	w3_d134e16010
J.	w5_d134e16013
Dem	w1_d134e16018
Jos.	w3_d134e16021
Gebhard,	w5_d134e16024
Proviant=kn.,	w7_d134e16027
s.	w9_d134e16030
K.	w11_d134e16033
Reinhard.	w13_d134e16037
bem	w1_d134e16043
Ruß=daum	w3_d134e16046
auf	w5_d134e16049
der	w7_d134e16052
Wied.,	w9_d134e16055
alt	w11_d134e16058
4.	w13_d134e16062
J.	w15_d134e16065
Cathar.	w1_d134e16070
Hollin,	w3_d134e16073
Wittwe,	w5_d134e16076
im	w7_d134e16079
Kriegleris.	w9_d134e16082
H.	w11_d134e16085
zu	w13_d134e16089
Erd	w15_d134e16092
berg,	w1_d134e16097
alt	w3_d134e16100
57.	w5_d134e16103
J.	w7_d134e16106
Math.	w1_d134e16111
Spött,	w3_d134e16114
Tagw.,	w5_d134e16117
beym	w7_d134e16120
braun.	w9_d134e16123
Hirschen	w11_d134e16126
zu	w13_d134e16130
Mätzleinstorf,	w1_d134e16136
alt	w3_d134e16139
49.	w5_d134e16142
J.	w7_d134e16145
Joh.	w1_d134e16150
Seifferl,	w3_d134e16153
Tagw.,	w5_d134e16156
bey	w7_d134e16159
Conn,	w9_d134e16162
und	w11_d134e16165
Mond	w13_d134e16169
bey	w15_d134e16172
St.	w1_d134e16177
Ulrich,	w3_d134e16180
alt	w5_d134e16183
70.	w7_d134e16186
J.	w9_d134e16189
Jos.	w1_d134e16194
Klag,	w3_d134e16197
Tagw.,	w5_d134e16200
deym	w7_d134e16203
rot.	w9_d134e16206
Kreutz	w11_d134e16209
am	w13_d134e16213
Himmel	w15_d134e16216
pfort	w1_d134e16222
gr.,	w3_d134e16225
alt	w5_d134e16228
51.	w7_d134e16231
J.	w9_d134e16234
Ant.	w1_d134e16239
Santner,	w3_d134e16242
Tagw.,	w5_d134e16245
beym	w7_d134e16248
gold.	w9_d134e16251
Schlös.	w11_d134e16254
in	w13_d134e16258
de	w15_d134e16261
|	w17_d134e16264
|	w19_d134e16267
Josephst.,	w1_d134e16272
alt	w3_d134e16275
49	w5_d134e16278
J.	w7_d134e16281
</list>
<head id="h2_d134e16288">
Summa	w1_d134e16292
17.	w3_d134e16295
Person.,	w5_d134e16298
darunter	w7_d134e16301
7.	w9_d134e16304
Kinder.	w11_d134e16307
Den	w1_d134e16312
10.	w3_d134e16315
und	w5_d134e16318
11.	w7_d134e16321
April.	w9_d134e16324
Jn	w1_d134e16329
der	w3_d134e16332
Stadt.	w5_d134e16335
</head>
<list id="l4_d134e16338">
Fr.	w1_d134e16342
Theres.	w3_d134e16345
Schieblin,	w5_d134e16348
Wittor,	w7_d134e16351
im	w9_d134e16354
Blnmenthalis.	w11_d134e16357
H.	w1_d134e16362
am	w3_d134e16365
Hof,	w5_d134e16368
alt	w7_d134e16371
70.	w9_d134e16374
J.	w11_d134e16377
</list>
<list id="l6_d134e16381">
Dem	w1_d134e16385
Hrn.	w3_d134e16388
Heinr.	w5_d134e16391
Kotzy,	w7_d134e16394
gem.	w9_d134e16397
Stadt=sequest.,	w11_d134e16400
s.	w13_d134e16404
K.	w15_d134e16407
Cathar.,	w1_d134e16412
im	w3_d134e16415
Maria=zeller=hof,	w5_d134e16418
alt	w7_d134e16421
4.	w9_d134e16424
1.	w11_d134e16427
h.	w13_d134e16431
J.	w15_d134e16434
Hr.	w1_d134e16439
Joh.	w3_d134e16442
Mich.	w5_d134e16445
Leßner,	w7_d134e16448
K.	w9_d134e16451
K.	w11_d134e16454
Tafel=deck,	w13_d134e16458
bey	w15_d134e16461
der	w17_d134e16464
Flucht	w1_d134e16470
in	w3_d134e16473
Egypt.	w5_d134e16476
am	w7_d134e16479
Juden=platz,	w9_d134e16482
alt	w11_d134e16485
74.	w13_d134e16489
J.	w15_d134e16492
Cathar.	w1_d134e16497
Feringerin,	w3_d134e16500
Wittwe	w5_d134e16503
im	w7_d134e16506
Latzen	w9_d134e16509
hof,	w11_d134e16512
84.	w13_d134e16516
J.	w15_d134e16519
Sebast	w1_d134e16524
ritz	w3_d134e16527
um,	w5_d134e16530
gew.	w7_d134e16533
Weg=reparations	w9_d134e16536
aufseh.,	w11_d134e16539
im	w1_d134e16544
Steinmetzis.	w3_d134e16547
H.	w5_d134e16550
am	w7_d134e16553
Pet	w9_d134e16556
alt	w11_d134e16559
57.	w13_d134e16563
J.	w15_d134e16566
Georg	w1_d134e16572
Peck,	w3_d134e16575
Harrachis.	w5_d134e16578
Capotal,	w7_d134e16581
in	w9_d134e16584
der	w11_d134e16587
Casarm,	w13_d134e16591
alt	w1_d134e16596
38.	w3_d134e16599
J.	w5_d134e16602
Sigm.	w1_d134e16607
Tiersche,	w3_d134e16610
gew.	w5_d134e16613
Lack.,	w7_d134e16616
im	w9_d134e16619
Rosenbergisch.	w11_d134e16622
H.	w13_d134e16626
beyn	w1_d134e16631
Augustin.,	w3_d134e16634
alt	w5_d134e16637
58.	w7_d134e16640
J.	w9_d134e16643
</list>
<head id="h2_d134e16651">
Vor	w1_d134e16655
der	w3_d134e16658
Stadt.	w5_d134e16661
</head>
<list id="l4_d134e16664">
Dem	w1_d134e16668
Ant.	w3_d134e16671
Kludwig,	w5_d134e16674
Burgerl.	w7_d134e16677
Bild=hauern,	w9_d134e16680
s.	w11_d134e16683
W.	w13_d134e16687
Cathar,	w1_d134e16692
beym	w3_d134e16695
gold.	w5_d134e16698
Engel	w7_d134e16701
bey	w9_d134e16704
Maria=hülf,	w11_d134e16707
alt	w13_d134e16711
30.	w1_d134e16716
J.	w3_d134e16719
Dem	w1_d134e16725
Daniel	w3_d134e16728
Abel,	w5_d134e16731
Burgerl.	w7_d134e16734
Tuch=mach.,	w9_d134e16737
s.	w11_d134e16740
K.	w13_d134e16744
Christina,	w1_d134e16749
beym	w3_d134e16752
gold.	w5_d134e16755
Engel	w7_d134e16758
im	w9_d134e16761
Liechtenth.	w11_d134e16764
1.	w13_d134e16768
J.	w15_d134e16771
Dem	w1_d134e16776
Joh	w3_d134e16779
Höllmüllner,	w5_d134e16782
Burgerl.	w7_d134e16785
Bier	w9_d134e16788
leut=ged.,	w11_d134e16791
s.	w1_d134e16796
K.	w3_d134e16799
Barb.,	w5_d134e16802
bey	w7_d134e16805
der	w9_d134e16808
gold.	w11_d134e16811
Ros.	w13_d134e16815
in	w15_d134e16818
der	w17_d134e16821
Leopoldst.	w19_d134e16824
alt	w1_d134e16830
5.	w3_d134e16833
v.	w5_d134e16836
J.	w7_d134e16839
Jos.	w1_d134e16844
Zoller,	w3_d134e16847
in	w5_d134e16850
der	w7_d134e16853
K.	w9_d134e16856
K.	w11_d134e16859
Jngent	w13_d134e16863
ur=schul,	w15_d134e16866
10.	w17_d134e16869
J.	w19_d134e16872
Dem	w1_d134e16877
Andre	w3_d134e16880
Springer	w5_d134e16883
Schlos.,	w7_d134e16886
s.	w9_d134e16889
W.	w11_d134e16892
Magdal.,	w13_d134e16896
berm	w1_d134e16901
schwarz.	w3_d134e16904
Adl.	w5_d134e16907
bey	w7_d134e16910
Maria	w9_d134e16913
hülf,	w11_d134e16916
alt	w13_d134e16920
64.	w15_d134e16923
J.	w17_d134e16926
Dem	w1_d134e16932
Joh.	w3_d134e16935
Hofinger,	w5_d134e16938
Schuh=mach.,	w7_d134e16941
s.	w9_d134e16944
K.	w11_d134e16947
Eva,	w13_d134e16951
bey	w15_d134e16954
denen	w1_d134e16959
3.	w3_d134e16962
Kron.	w5_d134e16965
am	w7_d134e16968
Thuro,	w9_d134e16971
alt	w11_d134e16974
2	w13_d134e16978
J.	w15_d134e16981
Thom.	w1_d134e16986
Lagler	w3_d134e16989
Lack.,	w5_d134e16992
beym	w7_d134e16995
gold	w9_d134e16998
Greif.	w11_d134e17001
im	w13_d134e17005
Liech	w15_d134e17008
tenth.,	w1_d134e17013
alt	w3_d134e17016
42.	w5_d134e17019
J.	w7_d134e17022
Dem	w1_d134e17028
Joh.	w3_d134e17031
Schinbäck,	w5_d134e17034
Lack.,	w7_d134e17037
s.	w9_d134e17040
K.	w11_d134e17043
Francisca,	w13_d134e17047
im	w15_d134e17050
erst=bemeldt.	w1_d134e17055
H.,	w3_d134e17058
alt	w5_d134e17061
5.	w7_d134e17064
J.	w9_d134e17067
Dem	w1_d134e17072
Phil.	w3_d134e17075
Wiser,	w5_d134e17078
Bich	w7_d134e17081
mayrn,	w9_d134e17084
s.	w11_d134e17087
K.	w13_d134e17091
Anna,	w15_d134e17094
beym	w17_d134e17097
gold.	w1_d134e17102
Stuck	w3_d134e17105
auf	w5_d134e17108
der	w7_d134e17111
Landstr.,	w9_d134e17114
alt	w11_d134e17117
1.	w13_d134e17121
J.	w15_d134e17124
</list>
<head id="h2_d134e17131">
Summa	w1_d134e17135
16.	w3_d134e17138
Person.	w5_d134e17141
darunter	w7_d134e17144
7.	w9_d134e17147
Kinder.	w11_d134e17150
Den	w1_d134e17155
12.	w3_d134e17158
April.	w5_d134e17161
Jn	w1_d134e17166
der	w3_d134e17169
Stadt.	w5_d134e17172
</head>
<list id="l4_d134e17175">
Die	w1_d134e17179
Wol=ebel=geb.	w3_d134e17182
Fr.	w5_d134e17185
Anna	w7_d134e17188
Theres.	w9_d134e17191
Weltlschhof	w11_d134e17194
fer,	w1_d134e17199
geb.	w3_d134e17202
Arbel,	w5_d134e17205
Wittwe,	w7_d134e17208
in	w9_d134e17211
ihrem	w11_d134e17214
H.	w13_d134e17218
am	w15_d134e17221
alten	w17_d134e17224
Kärntner	w1_d134e17229
thor,	w3_d134e17232
alt	w5_d134e17235
57.	w7_d134e17238
J.	w9_d134e17241
Die	w1_d134e17247
Ehrw.	w3_d134e17250
Fr.	w5_d134e17253
Maria	w7_d134e17256
Eudoxia,	w9_d134e17259
Professa,	w11_d134e17262
im	w13_d134e17266
Klost.	w15_d134e17269
Maria	w1_d134e17274
Zuflucht	w3_d134e17277
der	w5_d134e17280
Sünder,	w7_d134e17283
alt	w9_d134e17286
28.	w11_d134e17289
J.	w13_d134e17293
Fr.	w1_d134e17298
Anna	w3_d134e17301
Maria	w5_d134e17304
Fischerin,	w7_d134e17307
Burgerl.	w9_d134e17310
Wittwe,	w11_d134e17313
im	w13_d134e17317
Wallerss.	w1_d134e17322
H.	w3_d134e17325
am	w5_d134e17328
Kärntner=thor,	w7_d134e17331
alt	w9_d134e17334
69.	w11_d134e17337
J.	w13_d134e17341
Dem	w1_d134e17347
Mich.:op.,	w3_d134e17350
Gewölb=wacht.,	w5_d134e17353
s.	w7_d134e17356
W.	w9_d134e17359
Magdal=,	w11_d134e17362
im	w1_d134e17367
gros.	w3_d134e17370
Ofen	w5_d134e17373
loch,	w7_d134e17376
alt	w9_d134e17379
65.	w11_d134e17382
J.	w13_d134e17386
</list>
<head id="h2_d134e17393">
Vo	w1_d134e17397
der	w3_d134e17400
Stadt.	w5_d134e17403
</head>
<list id="l4_d134e17406">
Dem	w1_d134e17410
(Tit)	w3_d134e17413
Hrn.	w5_d134e17416
Phil.	w7_d134e17419
v.	w9_d134e17422
Mayerberg,	w11_d134e17425
s.	w13_d134e17429
S.	w15_d134e17432
Joh.,	w17_d134e17435
beym	w1_d134e17440
gold.	w3_d134e17443
Rös.	w5_d134e17446
im	w7_d134e17449
Lerchenf.,	w9_d134e17452
alt	w11_d134e17455
5	w13_d134e17459
J.	w15_d134e17462
Dem	w1_d134e17467
Jgnatz	w3_d134e17470
Daffinger,	w5_d134e17473
s.	w7_d134e17476
K.	w9_d134e17479
Anna,	w11_d134e17482
in	w13_d134e17486
s.	w15_d134e17489
H.	w17_d134e17492
im	w19_d134e17495
Liechtenth.,	w1_d134e17501
alt	w3_d134e17504
3.	w5_d134e17507
J.	w7_d134e17510
Dem	w1_d134e17515
Jos.	w3_d134e17518
Withelm,	w5_d134e17521
Burgerl.	w7_d134e17524
Schuh=mach.,	w9_d134e17527
s.	w11_d134e17530
W.	w13_d134e17534
Cathar.,	w1_d134e17539
im	w3_d134e17542
Maurer=meisteris.	w5_d134e17545
H.	w7_d134e17548
in	w9_d134e17551
der	w11_d134e17554
Leop.,	w13_d134e17558
alt	w1_d134e17563
40.	w3_d134e17566
J.	w5_d134e17569
Dem	w1_d134e17575
Franz	w3_d134e17578
Wimmer,	w5_d134e17581
Stuckador.,	w7_d134e17584
s.	w9_d134e17587
K.	w11_d134e17590
Johanna,	w13_d134e17594
beom	w1_d134e17599
gold	w3_d134e17602
Strauf.	w5_d134e17605
in	w7_d134e17608
der	w9_d134e17611
Leopoldst.,	w11_d134e17614
alt	w13_d134e17618
6.	w15_d134e17621
v.	w17_d134e17624
J.	w19_d134e17627
Der	w1_d134e17632
Eva	w3_d134e17635
Willingerin,	w5_d134e17638
Wittwe,	w7_d134e17641
ihr	w9_d134e17644
K.	w11_d134e17647
Jos.,	w13_d134e17651
beym	w15_d134e17654
Blumen=kranz	w1_d134e17659
oderm	w3_d134e17662
Meustift,	w5_d134e17665
alt	w7_d134e17668
3.	w9_d134e17671
J.	w11_d134e17674
Dem	w1_d134e17680
Adam	w3_d134e17683
Knoll,	w5_d134e17686
Schuh=mach.,	w7_d134e17689
s.	w9_d134e17692
W.	w11_d134e17695
Cathar.	w13_d134e17699
beym	w1_d134e17704
bl.	w3_d134e17707
Einhorn	w5_d134e17710
am	w7_d134e17713
Neustift,	w9_d134e17716
alt	w11_d134e17719
90.	w13_d134e17723
J.	w15_d134e17726
</list>
<list id="l10_d134e17740">
Phll.	w1_d134e17744
Adelhofer,	w3_d134e17747
Lack,	w5_d134e17750
im	w7_d134e17753
Stickeris.	w9_d134e17756
H.	w11_d134e17759
auf	w13_d134e17763
der	w15_d134e17766
Land	w17_d134e17769
stras.,	w1_d134e17774
alt	w3_d134e17777
28.	w5_d134e17780
J.	w7_d134e17783
Georg	w1_d134e17788
Fink,	w3_d134e17791
Schuh=mach.,	w5_d134e17794
bey	w7_d134e17797
denen	w9_d134e17800
2.	w11_d134e17803
Saul.	w13_d134e17807
bey	w15_d134e17810
Maria=hülf,	w1_d134e17816
alt	w3_d134e17819
55.	w5_d134e17822
J.	w7_d134e17825
Dem	w1_d134e17830
Andre	w3_d134e17833
Koller,	w5_d134e17836
Lack.,	w7_d134e17839
s.	w9_d134e17842
W.	w11_d134e17845
Francisca,	w13_d134e17849
beym	w15_d134e17852
weis.	w1_d134e17857
Phasan	w3_d134e17860
am	w5_d134e17863
Neustift,	w7_d134e17866
alt	w9_d134e17869
33.	w11_d134e17872
J.	w13_d134e17876
Dem	w1_d134e17881
Jäcob	w3_d134e17884
Himmer,	w5_d134e17887
Tagw,	w7_d134e17890
s.	w9_d134e17893
W.	w11_d134e17896
Theres.,	w13_d134e17900
im	w15_d134e17903
Mägerlis.	w1_d134e17909
H.	w3_d134e17912
auf	w5_d134e17915
der	w7_d134e17918
Landstr.,	w9_d134e17921
alt	w11_d134e17924
28.	w13_d134e17928
J.	w15_d134e17931
Ant.	w1_d134e17936
Ehrenstorfer,	w3_d134e17939
Tagw.,	w5_d134e17942
beym	w7_d134e17945
schwarz.	w9_d134e17948
Bärn	w11_d134e17951
in	w13_d134e17955
der	w1_d134e17960
Rossau,	w3_d134e17963
alt	w5_d134e17966
68.	w7_d134e17969
J.	w9_d134e17972
Dem	w1_d134e17977
Jos.	w3_d134e17980
Valentin,	w5_d134e17983
Tagw.,	w7_d134e17986
s.	w9_d134e17989
K.	w11_d134e17992
Carl,	w13_d134e17996
bey	w15_d134e17999
dem	w17_d134e18002
Palm=baum	w1_d134e18008
bey	w3_d134e18011
Maria=hülf,	w5_d134e18014
alt	w7_d134e18017
