<doc id="edoc_wd_1726-09-18" attrs="word" year="1726" month="09" day="18" corpus="1">
<head id="hl1">
Smirna	w54
Erfahrnuß	w5262
gebracht	w5263
werden	w5264
<g/>
/
solchen	w5266
anzuhalten	w5267
<g/>
/
und	w5269
sodann	w5270
an	w5271
obgedachten	w5272
Thomas	w5273
Hueber	w5274
die	w5275
Nachricht	w5276
davon	w5277
zu	w5278
ertheilen	w5279
<g/>
:
er	w5281
wird	w5282
nicht	w5283
allein	w5284
alsogleich	w5285
die	w5286
angewendete	w5287
Unkosten	w5288
er=setzen	w5289
<g/>
=
<g/>
/
sondern	w5292
auch	w5293
eine	w5294
dankhare	w5295
Erkant=lichkeit	w5296
<g/>
=
darfür	w5298
abstatten	w5299
<g/>
.
</p>
<head id="hl20">
Lista	w5301
deren	w5302
Verstorbenen	w5303
zu	w5304
Wien	w5305
<g/>
/
in	w5307
und	w5308
vor	w5309
der	w5310
Stadt	w5311
<g/>
.
</head>
<head id="hl21">
Den	w5313
14	w5314
<g/>
.
September	w5316
1726	w5317
<g/>
.
</head>
<head id="hl22">
Jn	w5319
der	w5320
Stadt	w5321
<g/>
.
</head>
<list id="">
Hr	w5323
<g/>
.
Adam	w5325
Geitl	w5326
<g/>
/
im	w5328
Helmisch	w5329
<g/>
.
H	w5331
<g/>
.
auf	w5333
der	w5334
Stuben	w5335
<g/>
=
Thor	w5337
<g/>
=
Pastey	w5339
<g/>
/
alt	w5341
77	w5342
<g/>
.
J	w5344
<g/>
.
Dem	w5346
Niclas	w5347
Eisenreich	w5348
<g/>
/
B	w5350
<g/>
.
Schneidern	w5352
<g/>
/
s	w5354
<g/>
.
W	w5356
<g/>
.
Sus	w5358
<g/>
.
<g/>
/
im	w5361
Bartzmayrischen	w5362
H	w5363
<g/>
.
im	w5365
Tieffen	w5366
<g/>
=
Graben	w5368
<g/>
/
alt	w5370
43	w5371
<g/>
.
J	w5373
<g/>
.
</list>
<head id="hl23">
Vor	w5375
der	w5376
Stadt	w5377
<g/>
.
</head>
<list id="">
Gotth	w5379
<g/>
.
Escherman	w5381
<g/>
/
Stadt	w5383
<g/>
=
Musicus	w5385
<g/>
/
im	w5387
Kupfer=schmidischen	w5388
<g/>
=
H	w5390
<g/>
.
in	w5392
der	w5393
Leopoldstadt	w5394
<g/>
/
alt	w5396
82	w5397
<g/>
.
J	w5399
<g/>
.
Dem	w5401
Joh	w5402
<g/>
.
Bodenaker	w5404
<g/>
/
Gold	w5406
<g/>
=
Schmid	w5408
<g/>
/
s	w5410
<g/>
.
K	w5412
<g/>
.
Barb	w5414
<g/>
.
<g/>
/
im	w5417
Brünlisch	w5418
<g/>
.
H	w5420
<g/>
.
am	w5422
Neubau	w5423
<g/>
/
alt	w5425
2	w5426
<g/>
.
J	w5428
<g/>
.
Dem	w5430
Joh	w5431
<g/>
.
Hegenauer	w5433
<g/>
/
Bild	w5435
<g/>
=
Hauern	w5437
<g/>
/
s	w5439
<g/>
.
K	w5441
<g/>
.
Paul	w5443
<g/>
/
im	w5445
Baderisch	w5446
<g/>
.
H	w5448
<g/>
.
bey	w5450
Maria	w5451
Hülf	w5452
<g/>
/
alt	w5454
5	w5455
<g/>
.
Viertl	w5457
J	w5458
<g/>
.
Dem	w5460
Joh	w5461
<g/>
.
Jung	w5463
<g/>
/
Messer	w5465
<g/>
=
Schmid	w5467
<g/>
/
s	w5469
<g/>
.
K	w5471
<g/>
.
Gottfr	w5473
<g/>
.
<g/>
/
beyn	w5476
6	w5477
<g/>
.
Schimeln	w5479
bey	w5480
St	w5481
<g/>
.
Ulrich	w5483
<g/>
/
alt	w5485
2	w5486
<g/>
.
J	w5488
<g/>
.
Dem	w5490
Jos	w5491
<g/>
.
Kräftl	w5493
<g/>
/
Tischlern	w5495
<g/>
/
s	w5497
<g/>
.
K	w5499
<g/>
.
Polixena	w5501
<g/>
/
bey	w5503
der	w5504
golden	w5505
Kandl	w5506
in	w5507
der	w5508
Josephstadt	w5509
<g/>
/
alt	w5511
1	w5512
<g/>
.
J	w5514
<g/>
.
Dem	w5516
Jos	w5517
<g/>
.
Greisl	w5519
<g/>
/
Schlossern	w5521
<g/>
/
s	w5523
<g/>
.
K	w5525
<g/>
.
Frantz	w5527
<g/>
/
bey	w5529
der	w5530
Schwabisch	w5531
<g/>
.
Jungfrau	w5533
am	w5534
Neubau	w5535
<g/>
/
alt	w5537
5	w5538
<g/>
.
Viertl	w5540
J	w5541
<g/>
.
Dem	w5543
Georg	w5544
Fengl	w5545
<g/>
/
Bier	w5547
<g/>
=
Leutgeben	w5549
<g/>
/
s	w5551
<g/>
.
K	w5553
<g/>
.
An	w5555
<g/>
.
<g/>
/
beym	w5558
schwartzen	w5559
Adler	w5560
bey	w5561
St	w5562
<g/>
.
Ulrich	w5564
<g/>
/
alt	w5566
6	w5567
<g/>
.
Viertl	w5569
J	w5570
<g/>
.
Dem	w5572
Mich	w5573
<g/>
.
Weinmayr	w5575
<g/>
/
Heiduken	w5577
<g/>
/
s	w5579
<g/>
.
K	w5581
<g/>
.
An	w5583
<g/>
.
<g/>
/
im	w5586
Kaplmacherisch	w5587
<g/>
.
H	w5589
<g/>
.
aussern	w5591
Klag	w5592
<g/>
=
Baum	w5594
<g/>
/
alt	w5596
4	w5597
<g/>
.
J	w5599
<g/>
.
Dem	w5601
Lorentz	w5602
Streng	w5603
<g/>
/
Hauern	w5605
<g/>
/
s	w5607
<g/>
.
W	w5609
<g/>
.
Barb	w5611
<g/>
.
<g/>
/
beym	w5614
blauen	w5615
Klee	w5616
<g/>
=
Blat	w5618
im	w5619
Lerchfeld	w5620
<g/>
/
alt	w5622
40	w5623
<g/>
.
J	w5625
<g/>
.
Christoph	w5627
Bär	w5628
<g/>
/
abgedankter	w5630
Soldat	w5631
<g/>
/
bey	w5633
der	w5634
golden	w5635
Kugl	w5636
auf	w5637
der	w5638
Wieden	w5639
<g/>
/
alt	w5641
50	w5642
<g/>
.
J	w5644
<g/>
.
Dem	w5646
Casp	w5647
<g/>
.
Winer	w5649
<g/>
/
Tagw	w5651
<g/>
.
<g/>
/
s	w5654
<g/>
.
K	w5656
<g/>
.
Helena	w5658
<g/>
/
beym	w5660
gol=den	w5661
<g/>
=
Adler	w5663
am	w5664
Neubau	w5665
<g/>
/
alt	w5667
5	w5668
<g/>
.
J	w5670
<g/>
.
</list>
<head id="hl24">
Den	w5672
15	w5673
<g/>
.
Septemb	w5675
<g/>
.
</head>
<head id="hl25">
Jn	w5677
der	w5678
Stadt	w5679
<g/>
.
</head>
<list id="">
Dem	w5681
Franz	w5682
Carl	w5683
Apl	w5684
<g/>
/
B	w5686
<g/>
.
Fleisch	w5688
<g/>
=
Hakern	w5690
<g/>
/
s	w5692
<g/>
.
K	w5694
<g/>
.
Ferd	w5696
<g/>
.
<g/>
/
in	w5699
s	w5700
<g/>
.
H	w5702
<g/>
.
bey	w5704
der	w5705
schön	w5706
Lantern	w5707
<g/>
/
alt	w5709
6	w5710
<g/>
.
J	w5712
<g/>
.
Dem	w5714
Mathias	w5715
Stokhamer	w5716
<g/>
/
B	w5718
<g/>
.
Conduct	w5720
-Ansagern	w5721
<g/>
/
s	w5723
<g/>
.
K	w5725
<g/>
.
Joseph	w5727
<g/>
/
im	w5729
Rosausleiherisch	w5730
<g/>
.
H	w5732
<g/>
.
in	w5734
der	w5735
Rie=merstraß	w5736
<g/>
=
<g/>
/
alt	w5739
3	w5740
<g/>
.
J	w5742
<g/>
.
</list>
<head id="hl26">
Vor	w5744
der	w5745
Stadt	w5746
<g/>
.
</head>
<list id="">
Der	w5748
Cath	w5749
<g/>
.
Hausbekin	w5751
<g/>
/
Wittib	w5753
<g/>
/
ihr	w5755
K	w5756
<g/>
.
Cath	w5758
<g/>
.
<g/>
/
bey	w5761
der	w5762
golden	w5763
Schalen	w5764
am	w5765
Spitlberg	w5766
<g/>
/
alt	w5768
5	w5769
<g/>
.
J	w5771
<g/>
.
Lor	w5773
<g/>
.
Ritter	w5775
<g/>
/
Schlosser	w5777
<g/>
/
bey	w5779
der	w5780
weissen	w5781
Rosen	w5782
am	w5783
Neu=stift	w5784
<g/>
=
<g/>
/
alt	w5787
35	w5788
<g/>
.
J	w5790
<g/>
.
Dem	w5792
Jos	w5793
<g/>
.
Klingler	w5795
<g/>
/
Schuh	w5797
<g/>
=
Machern	w5799
<g/>
/
s	w5801
<g/>
.
W	w5803
<g/>
.
Sabina	w5805
<g/>
/
beym	w5807
golden	w5808
Satl	w5809
bey	w5810
St	w5811
<g/>
.
Ulrich	w5813
<g/>
/
alt	w5815
34	w5816
<g/>
.
J	w5818
<g/>
.
Dem	w5820
Ferd	w5821
<g/>
.
Thronmüllner	w5823
<g/>
/
Brod	w5825
<g/>
=
Sitzern	w5827
<g/>
/
s	w5829
<g/>
.
K	w5831
<g/>
.
Jo=seph	w5833
<g/>
=
<g/>
/
beym	w5836
golden	w5837
Hirschen	w5838
bey	w5839
Maria	w5840
Hilf	w5841
<g/>
/
alt	w5843
6	w5844
<g/>
.
Viertl	w5846
J	w5847
<g/>
.
Jos	w5849
<g/>
.
Obenaus	w5851
<g/>
/
Kampel	w5853
<g/>
=
Macher	w5855
<g/>
=
Gesell	w5857
<g/>
/
beym	w5859
golden	w5860
Hirschen	w5861
in	w5862
der	w5863
Josephstadt	w5864
<g/>
/
alt	w5866
20	w5867
<g/>
.
J	w5869
<g/>
.
Elis	w5871
<g/>
.
Schauflin	w5873
<g/>
/
armes	w5875
Menschl	w5876
<g/>
/
im	w5878
Weissenwolfisch	w5879
<g/>
.
H	w5881
<g/>
.
in	w5883
der	w5884
Leopoldstadt	w5885
<g/>
/
alt	w5887
13	w5888
<g/>
.
J	w5890
<g/>
.
Matthias	w5892
Fischer	w5893
<g/>
/
alt	w5895
50	w5896
<g/>
.
J	w5898
<g/>
.
Sus	w5900
<g/>
.
Ulrichin	w5902
<g/>
/
alt	w5904
71	w5905
<g/>
.
J	w5907
<g/>
.
beede	w5909
im	w5910
Kranken	w5911
<g/>
=
H	w5913
<g/>
.
</list>
<head id="hl27">
Den	w5915
16	w5916
<g/>
.
Septemb	w5918
<g/>
.
</head>
<head id="hl28">
Jn	w5920
der	w5921
Stadt	w5922
<g/>
.
</head>
<list id="">
Hr	w5924
<g/>
.
Wentzl	w5926
Leop	w5927
<g/>
.
Grätzl	w5929
<g/>
/
K	w5931
<g/>
.
Illuminations	w5933
-Wein	w5934
<g/>
=
Aus=schlags	w5936
<g/>
=
<g/>
=
Einnehmer	w5939
<g/>
/
im	w5941
Graf	w5942
Pergerisch	w5943
<g/>
.
H	w5945
<g/>
.
in	w5947
der	w5948
Wollzeil	w5949
<g/>
/
alt	w5951
55	w5952
<g/>
.
J	w5954
<g/>
.
Joach	w5956
<g/>
.
Cornelissen	w5958
<g/>
/
B	w5960
<g/>
.
Gold	w5962
<g/>
=
Arbeitern	w5964
<g/>
/
in	w5966
s	w5967
<g/>
.
H	w5969
<g/>
.
am	w5971
Hof	w5972
<g/>
/
alt	w5974
68	w5975
<g/>
.
J	w5977
<g/>
.
Dem	w5979
Joh	w5980
<g/>
.
Bapt	w5982
<g/>
.
Wetzstein	w5984
<g/>
/
B	w5986
<g/>
.
Parocken	w5988
<g/>
=
Machern	w5990
<g/>
/
s	w5992
<g/>
.
K	w5994
<g/>
.
Mar	w5996
<g/>
.
<g/>
/
im	w5999
Wagnerisch	w6000
<g/>
.
H	w6002
<g/>
.
in	w6004
der	w6005
Renn	w6006
<g/>
=
Gas=sen	w6008
<g/>
=
<g/>
/
alt	w6011
6	w6012
<g/>
.
Viertl	w6014
J	w6015
<g/>
.
</list>
<head id="hl29">
Vor	w6017
der	w6018
Stadt	w6019
<g/>
.
</head>
<list id="">
Dem	w6021
Carl	w6022
Rausch	w6023
<g/>
/
gewesten	w6025
Pflegern	w6026
<g/>
/
s	w6028
<g/>
.
K	w6030
<g/>
.
Joseph	w6032
<g/>
/
beym	w6034
grün	w6035
Adler	w6036
bey	w6037
Maria	w6038
Hülf	w6039
<g/>
/
alt	w6041
7	w6042
<g/>
.
J	w6044
<g/>
.
Dem	w6046
Peter	w6047
Paul	w6048
Huter	w6049
<g/>
/
D	w6051
<g/>
.
Schif	w6053
<g/>
=
Meistern	w6055
<g/>
/
s	w6057
<g/>
.
K	w6059
<g/>
.
He=lena	w6061
<g/>
=
<g/>
/
bey	w6064
der	w6065
golden	w6066
Cron	w6067
in	w6068
der	w6069
Leopoldstadt	w6070
<g/>
/
alt	w6072
4	w6073
<g/>
.
J	w6075
<g/>
.
Joh	w6077
<g/>
.
Georg	w6079
Unger	w6080
<g/>
/
Herrn	w6082
<g/>
=
Jäger	w6084
<g/>
/
bey	w6086
3	w6087
weissen	w6088
Tauben	w6089
im	w6090
Liechtenthal	w6091
<g/>
/
alt	w6093
40	w6094
<g/>
.
J	w6096
<g/>
.
Dem	w6098
Jos	w6099
<g/>
.
Rehbach	w6101
<g/>
/
Schnür	w6103
<g/>
=
Machern	w6105
<g/>
/
s	w6107
<g/>
.
W	w6109
<g/>
.
Eleon	w6111
<g/>
.
im	w6113
Sperl	w6114
<g/>
=
Wirts	w6116
<g/>
=
H	w6118
<g/>
.
bey	w6120
St	w6121
<g/>
.
Ulrich	w6123
<g/>
/
alt	w6125
28	w6126
<g/>
.
J	w6128
<g/>
.
Gertr	w6130
<g/>
.
Büchlerin	w6132
<g/>
/
Wittib	w6134
<g/>
/
im	w6136
Dorothe	w6137
<g/>
=
Bekisch	w6139
<g/>
.
H	w6141
<g/>
.
im	w6143
Lerchfeld	w6144
<g/>
/
alt	w6146
66	w6147
<g/>
.
J	w6149
<g/>
.
Dem	w6151
Matthias	w6152
Wisinger	w6153
<g/>
/
Vorreitern	w6155
<g/>
/
s	w6157
<g/>
.
K	w6159
<g/>
.
Albert	w6161
<g/>
/
im	w6163
Contumatz	w6164
<g/>
/
alt	w6166
3	w6167
<g/>
.
J	w6169
<g/>
.
Dem	w6171
Adam	w6172
Gruber	w6173
<g/>
/
Hauern	w6175
<g/>
/
s	w6177
<g/>
.
W	w6179
<g/>
.
Soph	w6181
<g/>
.
<g/>
/
in	w6184
s	w6185
<g/>
.
H	w6187
<g/>
.
zu	w6189
Matzelsdorf	w6190
<g/>
/
alt	w6192
58	w6193
<g/>
.
J	w6195
<g/>
.
Peter	w6197
Zinaty	w6198
<g/>
/
im	w6200
Kranken	w6201
<g/>
=
H	w6203
<g/>
.
<g/>
/
alt	w6206
66	w6207
<g/>
.
J	w6209
<g/>
.
</list>
<head id="hl30">
Den	w6211
17	w6212
<g/>
.
Septemb	w6214
<g/>
.
</head>
<head id="hl31">
Jn	w6216
der	w6217
Stadt	w6218
<g/>
.
</head>
<list id="">
Dem	w6220
Mathias	w6221
Wohlinger	w6222
<g/>
/
B	w6224
<g/>
.
Schul	w6226
<g/>
=
Meistern	w6228
<g/>
/
s	w6230
<g/>
.
T	w6232
<g/>
.
M	w6234
<g/>
.
An	w6236
<g/>
.
<g/>
/
beym	w6239
grossen	w6240
Jordan	w6241
am	w6242
Juden	w6243
<g/>
=
Platz	w6245
<g/>
/
alt	w6247
12	w6248
<g/>
.
J	w6250
<g/>
.
</list>
<head id="hl32">
Vor	w6252
der	w6253
Stadt	w6254
<g/>
.
</head>
<list id="">
Der	w6256
Ther	w6257
<g/>
.
Grueberin	w6259
<g/>
/
Wittib	w6261
<g/>
/
ihr	w6263
K	w6264
<g/>
.
Egydi	w6266
<g/>
/
im	w6268
Hamerschmidisch	w6269
<g/>
.
H	w6271
<g/>
.
auf	w6273
der	w6274
Landstraß	w6275
<g/>
/
alt	w6277
7	w6278
<g/>
.
J	w6280
<g/>
.
Thom	w6282
<g/>
.
Stirschneider	w6284
<g/>
/
Geiger	w6286
<g/>
/
beym	w6288
roten	w6289
Creutz	w6290
im	w6291
Lerchfeld	w6292
<g/>
/
alt	w6294
53	w6295
<g/>
.
J	w6297
<g/>
.
Dominic	w6299
Rädleker	w6300
<g/>
/
Gold	w6302
<g/>
=
Schmids	w6304
<g/>
=
Lehr	w6306
<g/>
=
Jung	w6308
<g/>
/
wel=wer	w6310
<g/>
=
vorgestern	w6312
von	w6313
einem	w6314
Wagen	w6315
nidergeführt	w6316
wor=den	w6317
<g/>
=
<g/>
/
gestern	w6320
im	w6321
Bislisch	w6322
<g/>
.
H	w6324
<g/>
.
auf	w6326
der	w6327
Wieden	w6328
darauf	w6329
gestorben	w6330
<g/>
/
und	w6332
alda	w6333
vom	w6334
Kais	w6335
<g/>
.
Stadt	w6337
<g/>
=
Gericht	w6339
be=schaut	w6340
<g/>
=
<g/>
/
alt	w6343
14	w6344
<g/>
.
J	w6346
<g/>
.
</list>
<head id="hl33">
Achtes	w6365
Kräntzel	w6366
<g/>
=
Schiessen	w6368
in	w6369
der	w6370
Kaiserl	w6371
<g/>
.
Favorita	w6373
<g/>
,
den	w6375
11	w6376
<g/>
.
Septemb	w6378
<g/>
.
1726	w6380
<g/>
.
welches	w6382
daselbst	w6383
mit	w6384
einander	w6385
gegeben	w6386
</head>
<p id="p106">
Jhrer	w6387
Röm	w6388
<g/>
.
Kaiserl	w6390
<g/>
.
Majestät	w6392
würkl	w6393
<g/>
.
Cammerer	w6395
und	w6396
Obrist	w6397
Hof	w6398
<g/>
=
Falken	w6400
Meister	w6401
<g/>
(
Tit	w6403
<g/>
.
<g/>
)
Herr	w6406
Johann	w6407
Albrecht	w6408
Herr	w6409
von	w6410
S	w6411
<g/>
.
Julian	w6413
<g/>
,
Graf	w6415
von	w6416
und	w6417
zu	w6418
Walsee	w6419
<g/>
/
Herr	w6421
deren	w6422
Herrschaften	w6423
Hof	w6424
<g/>
=
an	w6426
der	w6427
March	w6428
<g/>
/
und	w6430
Vesten	w6431
Stapffenreith	w6432
<g/>
.
Dann	w6434
auch	w6435
ob	w6436
<g/>
=
allerhöchst	w6438
besagt	w6439
<g/>
=
Jhrer	w6441
Majestät	w6442
würkl	w6443
<g/>
.
Cammerer	w6445
<g/>
/
Feld	w6447
<g/>
=
Marschall	w6449
<g/>
=
Leutenant	w6451
<g/>
/
Obri=ster	w6453
<g/>
=
über	w6455
ein	w6456
Regiment	w6457
zu	w6458
Fuß	w6459
<g/>
/
und	w6461
Gubernator	w6462
des	w6463
Königl	w6464
<g/>
.
Castells	w6466
zu	w6467
Palermo	w6468
in	w6469
Sicilien	w6470
<g/>
(
Tit	w6472
<g/>
)
<g/>
/
Herr	w6475
Ottocar	w6476
des	w6477
H	w6478
<g/>
.
R	w6480
<g/>
.
Reichs	w6482
Graf	w6483
und	w6484
Herr	w6485
von	w6486
Stahremberg	w6487
<g/>
/
Herr	w6489
der	w6490
Herrschaft	w6491
Enzerstorf	w6492
im	w6493
Langenthall	w6494
<g/>
/
ꝛc	w6496
<g/>
.
</p>
<p id="p107">
Dabey	w6498
gewonnen	w6499
wie	w6500
folget	w6501
<g/>
:
nehmlich	w6503
</p>
<p id="p108">
Ritter RitterHauptFahn	w6504
<g/>
=
</p>
<p id="p109">
HauptFahn	w6506
und	w6507
Beutel	w6508
<g/>
/
weilen	w6510
heut	w6511
kein	w6512
Ritter	w6513
gewesen	w6514
<g/>
/
anheim	w6516
gefallen	w6517
<g/>
/
auf	w6519
ein	w6520
anderesmal	w6521
aus=zustechen	w6522
<g/>
=
<g/>
.
</p>
<p id="p110">
Ersten	w6525
Krantz	w6526
<g/>
/
</p>
<p id="p111">
Samt	w6528
Haupt	w6529
<g/>
=
Fahn	w6531
und	w6532
Preis	w6533
<g/>
/
einen	w6535
sehr	w6536
schönen	w6537
Jndianisch	w6538
<g/>
=
lakirten	w6540
Schreib	w6541
<g/>
=
Zeug	w6543
<g/>
/
das	w6545
Dinten	w6546
<g/>
=
Faß	w6548
<g/>
=
<g/>
/
Strähe	w6551
<g/>
=
Büchse	w6553
<g/>
/
Glöklein	w6555
<g/>
/
Blend	w6557
<g/>
=
Leuchter	w6559
<g/>
/
auch	w6561
sonst	w6562
alle	w6563
übrige	w6564
Einrichtung	w6565
von	w6566
feiner	w6567
Silber	w6568
<g/>
=
Arbeit	w6570
<g/>
.
</p>
<p id="p112">
Jhre	w6572
Durchl	w6573
<g/>
.
Ertz	w6575
<g/>
=
Hertzogin	w6577
M	w6578
<g/>
.
Magdalena	w6580
<g/>
.
</p>
<p id="p113">
Anderten	w6582
Krantz	w6583
<g/>
/
</p>
<p id="p114">
Sammt	w6585
deto	w6586
Haupt	w6587
<g/>
=
Fahn	w6589
<g/>
:
ein	w6591
gleiches	w6592
Paar	w6593
silber=ne	w6594
<g/>
=
Tafel	w6596
<g/>
=
Leuchter	w6598
<g/>
/
anstatt	w6600
deren	w6601
ordinari	w6602
Füssen	w6603
stun=den	w6604
<g/>
=
zwey	w6606
silberne	w6607
Figuren	w6608
mit	w6609
Fratzen	w6610
<g/>
=
Gesichtern	w6612
<g/>
/
an	w6614
der	w6615
Seite	w6616
mit	w6617
silbernen	w6618
Butz	w6619
<g/>
=
Schären	w6621
bewaffnet	w6622
<g/>
/
und	w6624
beyde	w6625
Arm	w6626
in	w6627
die	w6628
Höhe	w6629
strekend	w6630
<g/>
/
auf	w6632
jeder	w6633
Bra=tzen	w6634
<g/>
=
ein	w6636
besonders	w6637
Licht	w6638
zu	w6639
tragen	w6640
<g/>
.
</p>
<p id="p115">
Hr	w6642
<g/>
.
Rudolph	w6644
Joseph	w6645
<g/>
.
Graf	w6647
von	w6648
Korzensky	w6649
ꝛc	w6650
<g/>
.
</p>
<p id="p116">
Bestes	w6652
<g/>
/
</p>
<p id="p117">
Samt	w6654
Haupt	w6655
<g/>
=
Fahn	w6657
<g/>
/
einen	w6659
kostbaren	w6660
ansehentlich=grossen	w6661
<g/>
=
Tafel	w6663
<g/>
=
Auf	w6665
<g/>
=
satz	w6667
zum	w6668
Tokayer	w6669
<g/>
=
Wein	w6671
<g/>
/
die	w6673
völli=ge	w6674
<g/>
=
Fassung	w6676
von	w6677
grossen	w6678
Wehrt	w6679
<g/>
/
aus	w6681
Massiv	w6682
-Silber	w6683
<g/>
/
unten	w6685
am	w6686
Fuß	w6687
etwelche	w6688
Porcelainene	w6689
Monstra	w6690
<g/>
,
auch	w6692
übersich	w6693
anstatt	w6694
des	w6695
Kühl	w6696
<g/>
=
Kessels	w6698
eine	w6699
sehr	w6700
kostbare	w6701
Schalen	w6702
von	w6703
alt	w6704
<g/>
=
Japonischem	w6706
Porcelaine	w6707
<g/>
,
darin	w6709
ein	w6710
schön	w6711
geschnittene	w6712
Flasche	w6713
<g/>
/
unter	w6715
sich	w6716
herum	w6717
6	w6718
<g/>
.
detto	w6720
Stingel	w6721
<g/>
=
Gläsel	w6723
stehend	w6724
<g/>
.
</p>
<p id="p118">
Hr	w6726
<g/>
.
Obrist	w6728
<g/>
=
Jäger	w6730
<g/>
=
und	w6732
Schützen	w6733
<g/>
=
Meister	w6735
Graf	w6736
zu	w6737
Hardegg	w6738
<g/>
/
ꝛc	w6740
<g/>
.
</p>
<p id="p119">
2ten	w6742
Fahn	w6743
und	w6744
Beutel	w6745
<g/>
.
</p>
<p id="p120">
Jhre	w6747
Majestät	w6748
die	w6749
Regierende	w6750
Römische	w6751
Kaise=rin	w6752
<g/>
=
<g/>
/
Unsere	w6755
Allergnädigste	w6756
Frau	w6757
Frau	w6758
<g/>
.
</p>
<p id="p121">
3ten	w6760
Fahn	w6761
und	w6762
Beutel	w6763
<g/>
.
</p>
<p id="p122">
Hr	w6765
<g/>
.
Carl	w6767
Anton	w6768
Graf	w6769
<g/>
.
Harrach	w6771
<g/>
/
ꝛc	w6773
<g/>
.
</p>
<p id="p123">
4ten	w6775
Fahn	w6776
und	w6777
Beutel	w6778
<g/>
.
</p>
<p id="p124">
Se	w6780
<g/>
.
Fürstl	w6782
<g/>
.
Gnaden	w6784
von	w6785
Schwarzenberg	w6786
<g/>
/
ꝛc	w6788
<g/>
.
</p>
<p id="p125">
5ten	w6790
Fahn	w6791
und	w6792
Beutel	w6793
</p>
<p id="p126">
Se	w6794
<g/>
.
Excell	w6796
<g/>
.
Herr	w6798
Vice	w6799
Statthalter	w6800
und	w6801
Schützen	w6802
<g/>
=
Meister	w6804
Frey	w6805
<g/>
=
Herr	w6807
von	w6808
Kriechbaum	w6809
<g/>
/
ꝛc	w6811
<g/>
.
</p>
<p id="p127">
6ten	w6813
Fahn	w6814
und	w6815
Beutel	w6816
<g/>
.
</p>
<p id="p128">
Se	w6818
<g/>
.
Excell	w6820
<g/>
.
Hr	w6822
<g/>
.
Graf	w6824
von	w6825
Salm	w6826
<g/>
/
ꝛc	w6828
<g/>
.
</p>
<p id="p129">
7ten	w6830
Fahn	w6831
und	w6832
Beutel	w6833
<g/>
.
</p>
<p id="p130">
Jhre	w6835
Durchl	w6836
<g/>
.
Hr	w6838
<g/>
.
Erb	w6840
<g/>
=
Printz	w6842
von	w6843
Lothringen	w6844
<g/>
/
ꝛc	w6846
<g/>
.
</p>
<p id="p131">
8ten	w6848
Fahn	w6849
und	w6850
Beutel	w6851
</p>
<p id="p132">
Hr	w6852
<g/>
.
Joh	w6854
<g/>
.
Wilhelm	w6856
Graf	w6857
von	w6858
Sintzendorf	w6859
<g/>
/
ꝛc	w6861
<g/>
.
</p>
<p id="p133">
9ten	w6863
Fahn	w6864
und	w6865
Beutel	w6866
<g/>
.
</p>
<p id="p134">
Jhre	w6868
Majestät	w6869
die	w6870
Kaiserin	w6871
<g/>
/
ꝛc	w6873
<g/>
.
</p>
<p id="p135">
10ten	w6875
Fahn	w6876
und	w6877
Beutel	w6878
<g/>
.
</p>
<p id="p136">
Se	w6880
<g/>
.
Excell	w6882
<g/>
.
Hr	w6884
<g/>
.
Graf	w6886
von	w6887
Salm	w6888
<g/>
/
ꝛc	w6890
<g/>
.
</p>
<p id="p137">
11ten	w6892
Fahn	w6893
und	w6894
Beutel	w6895
<g/>
.
</p>
<p id="p138">
Hr	w6897
<g/>
.
Carl	w6899
Anton	w6900
Graf	w6901
von	w6902
Harrach	w6903
ꝛc	w6904
<g/>
.
</p>
<p id="p139">
12ten	w6906
Fahn	w6907
und	w6908
Beutel	w6909
<g/>
.
</p>
<p id="p140">
Jhre	w6911
Durchl	w6912
<g/>
.
Ertz	w6914
<g/>
=
Hertzogin	w6916
M	w6917
<g/>
.
Magdalena	w6919
<g/>
/
</p>
<p id="p141">
13ten	w6921
Beutel	w6922
ohne	w6923
Fahn	w6924
<g/>
.
</p>
<p id="p142">
Se	w6926
<g/>
.
Excell	w6928
<g/>
.
Hr	w6930
<g/>
.
Vice	w6932
-Statthalter	w6933
<g/>
/
ꝛc	w6935
<g/>
.
</p>
<p id="p143">
14ten	w6937
Beutel	w6938
<g/>
.
</p>
<p id="p144">
Se	w6940
<g/>
.
Excell	w6942
<g/>
.
Hr	w6944
<g/>
.
Gund	w6946
<g/>
.
Graf	w6948
von	w6949
Althann	w6950
<g/>
/
ꝛc	w6952
<g/>
.
</p>
<p id="p145">
15ten	w6954
Beutel	w6955
<g/>
.
</p>
<p id="p146">
Hr	w6957
<g/>
.
Obrist	w6959
<g/>
=
Hof	w6961
<g/>
=
Kuchel	w6963
<g/>
=
Meister	w6965
Felix	w6966
Ernst	w6967
Graf	w6968
von	w6969
Mollart	w6970
<g/>
/
ꝛc	w6972
<g/>
.
</p>
<p id="p147">
16ten	w6974
Beutel	w6975
<g/>
.
</p>
<p id="p148">
Hr	w6977
<g/>
.
Obrist	w6979
Jäger	w6980
<g/>
=
und	w6982
Schützen	w6983
<g/>
=
Meister	w6985
Graf	w6986
zu	w6987
Hardegg	w6988
<g/>
/
ꝛc	w6990
<g/>
.
</p>
<p id="p149">
17ten	w6992
Beutel	w6993
<g/>
.
</p>
<p id="p150">
Se	w6995
<g/>
.
Excell	w6997
<g/>
.
