<doc id="wr_1763-11-16" attrs="word" year="1763" month="11" day="16" corpus="2">
<head id="h2_d809e3094">
Dublin	w1_d809e3098
alt	w13_d809e13919
1.	w15_d809e13922
J	w17_d809e13925
Dem	w1_d809e13930
Jos.	w3_d809e13933
Steinleitner,	w5_d809e13936
Fuhr	w7_d809e13939
kn.,	w9_d809e13942
s.	w11_d809e13945
K.	w13_d809e13949
Anna,	w15_d809e13952
bey	w17_d809e13955
dem	w1_d809e13960
schwarz.	w3_d809e13963
Mohr.	w5_d809e13966
zu	w7_d809e13969
Matzleinst.,	w9_d809e13972
alt	w11_d809e13975
3	w13_d809e13979
J.	w15_d809e13982
Dem	w1_d809e13987
Ant.	w3_d809e13990
Untermüllner,	w5_d809e13993
Brubersch.	w7_d809e13996
ansag.,	w9_d809e13999
s.	w11_d809e14002
K.	w13_d809e14006
Ursula,	w1_d809e14012
beym	w3_d809e14015
gold.	w5_d809e14018
Reichs=apf.	w7_d809e14021
zu	w9_d809e14024
Maria=hülf,	w11_d809e14027
alt	w1_d809e14032
6.	w3_d809e14035
v.	w5_d809e14038
J.	w7_d809e14041
Dem	w1_d809e14046
Jos.	w3_d809e14049
Ecker,	w5_d809e14052
Lack.,	w7_d809e14055
s.	w9_d809e14058
K.	w11_d809e14061
Joh.,	w13_d809e14065
beym	w15_d809e14068
gr.	w17_d809e14071
Däch.	w19_d809e14074
auf	w1_d809e14079
der	w3_d809e14082
neuen	w5_d809e14085
Wied.,	w7_d809e14088
alt	w9_d809e14091
5.	w11_d809e14094
J.	w13_d809e14098
Dem	w1_d809e14104
Math	w3_d809e14107
Gangelbauer,	w5_d809e14110
Schuhmach,	w7_d809e14113
s.	w9_d809e14116
K.	w11_d809e14119
Ca	w13_d809e14123
thar.,	w1_d809e14128
beym	w3_d809e14131
schwar.	w5_d809e14134
Ros.	w7_d809e14137
im	w9_d809e14140
Lerchf.,	w11_d809e14143
alt	w13_d809e14147
3.	w15_d809e14150
J.	w17_d809e14153
Dem	w1_d809e14158
Mich.	w3_d809e14161
Weis,	w5_d809e14164
Burgerl.	w7_d809e14167
Strümpfwürk.,	w9_d809e14170
s.	w11_d809e14173
K.	w13_d809e14177
Mich.,	w1_d809e14182
bey	w3_d809e14185
der	w5_d809e14188
weis.	w7_d809e14191
Schwan.	w9_d809e14194
zu	w11_d809e14197
Maria=hülf	w13_d809e14201
alt	w1_d809e14207
7.	w3_d809e14210
J.	w5_d809e14213
Dem	w1_d809e14218
Franz	w3_d809e14221
König,	w5_d809e14224
Schneid.,	w7_d809e14227
s.	w9_d809e14230
W.	w11_d809e14233
Regina,	w13_d809e14237
beym	w15_d809e14240
Absplon	w1_d809e14245
am	w3_d809e14248
Neubau,	w5_d809e14251
alt	w7_d809e14254
32.	w9_d809e14257
J.	w11_d809e14260
Lor.	w1_d809e14265
Wolf,	w3_d809e14268
Musicant,	w5_d809e14271
beyn	w7_d809e14274
2.	w9_d809e14277
gold.	w11_d809e14280
Schlüs.	w13_d809e14284
im	w15_d809e14287
Liechtenth.,	w1_d809e14293
alt	w3_d809e14296
86.	w5_d809e14299
J.	w7_d809e14302
Mart.	w1_d809e14307
Salcher,	w3_d809e14310
Kutsch.,	w5_d809e14313
in	w7_d809e14316
Kaufmannis.	w9_d809e14319
H.	w11_d809e14322
auf	w13_d809e14326
der	w1_d809e14331
Wied.,	w3_d809e14334
alt	w5_d809e14337
61.	w7_d809e14340
J.	w9_d809e14343
</list>
<head id="h2_d809e14350">
Samma	w1_d809e14354
17.	w3_d809e14357
Person.	w5_d809e14360
darunter	w7_d809e14363
9.	w9_d809e14366
Kind.	w11_d809e14369
</head>
<list id="l4_d809e14372">
Bey	w1_d809e14376
Augustin	w3_d809e14379
Bernardi,	w5_d809e14382
Universitäts=buchhänd	w7_d809e14385
</list>
<list id="l6_d809e14389">
Bey	w1_d809e14393
Augustin	w3_d809e14396
Bernardi,	w5_d809e14399
Universitäts=buchhänd	w7_d809e14402
leyn,	w1_d809e14407
der	w3_d809e14410
obern	w5_d809e14413
Jesuiten=pforten	w7_d809e14416
gegenüber	w9_d809e14419
ist	w11_d809e14422
zu	w1_d809e14427
haben:	w3_d809e14430
Felicis	w1_d809e14436
Ant.	w3_d809e14439
L.	w5_d809e14442
B.	w7_d809e14445
de	w9_d809e14448
Weittenau	w11_d809e14451
Centuria	w13_d809e14455
con-	w15_d809e14458
siliorum	w1_d809e14463
criminalium	w3_d809e14466
in	w5_d809e14469
supremo	w7_d809e14472
Dicasterio	w9_d809e14475
Neo	w11_d809e14478
burgico	w1_d809e14483
approbatorum,	w3_d809e14486
in	w5_d809e14489
qua	w7_d809e14492
materiæ	w9_d809e14495
selectiss.	w11_d809e14498
ex	w1_d809e14503
jure	w3_d809e14506
criminali	w5_d809e14509
per	w7_d809e14512
deductionem	w9_d809e14515
rationum	w11_d809e14518
du-	w13_d809e14522
bitandi	w1_d809e14528
&	w3_d809e14531
decidendi,	w5_d809e14534
una	w7_d809e14537
cum	w9_d809e14540
refutatione	w11_d809e14543
con-	w13_d809e14547
trarior	w1_d809e14552
proponuntur	w3_d809e14555
&	w5_d809e14558
solvuntur,	w7_d809e14561
fol.	w9_d809e14564
Aug.	w11_d809e14567
Vind,	w13_d809e14571
1763.	w1_d809e14576
4.	w3_d809e14579
fl.	w5_d809e14582
</list>
<list id="l8_d809e14586">
Mn	w1_d809e14590
8.	w1_d809e14595
Jut.	w3_d809e14598
Augusia	w5_d809e14601
Hhvon.	w7_d809e14604
Tolse.	w9_d809e14607
d.	w11_d809e14610
Dei	w1_d809e14615
&	w3_d809e14618
libero	w5_d809e14621
arbitrio	w7_d809e14624
hominis	w9_d809e14627
&	w11_d809e14630
prædestinatio-	w13_d809e14634
ne	w1_d809e14640
Sanctorum	w3_d809e14643
Opeta	w5_d809e14646
selecta,	w7_d809e14649
Editionem	w9_d809e14652
emen-	w11_d809e14655
datiss.	w1_d809e14660
&	w3_d809e14663
variis	w5_d809e14666
lectionibus	w7_d809e14669
undique	w9_d809e14672
collectis,	w11_d809e14675
præcipue	w1_d809e14680
vero	w3_d809e14683
ex	w5_d809e14686
Codd.	w7_d809e14689
MSS.	w9_d809e14692
Vaticanis	w11_d809e14695
ador-	w13_d809e14699
natam	w1_d809e14704
curavit	w3_d809e14707
Petr.	w5_d809e14710
Franc.	w7_d809e14713
Fogginius,	w9_d809e14716
II.	w11_d809e14719
Tomi,	w13_d809e14723
8vo	w1_d809e14729
Aug.	w3_d809e14732
Vind	w5_d809e14735
1764.	w7_d809e14738
1.	w9_d809e14741
fl.	w11_d809e14744
15.	w13_d809e14748
kr.	w15_d809e14751
.Jo.	w1_d809e14756
Dom.	w3_d809e14759
Mansi	w5_d809e14762
Epitome	w7_d809e14765
doctrinæ	w9_d809e14768
moralis	w11_d809e14771
&	w13_d809e14775
canonicæ	w1_d809e14780
ex	w3_d809e14783
Constitutionibus	w5_d809e14786
S.	w7_d809e14789
P.	w9_d809e14792
Benedicti	w11_d809e14795
XIV.	w1_d809e14800
P.	w3_d809e14803
M.	w5_d809e14806
excerptæ,	w7_d809e14809
8vo	w9_d809e14812
Aug.	w11_d809e14815
Vind.	w13_d809e14819
1763.	w15_d809e14822
24.	w1_d809e14828
kr.	w3_d809e14831
Cabinet	w1_d809e14836
der	w3_d809e14839
Feen,	w5_d809e14842
oder	w7_d809e14845
gesammlete	w9_d809e14848
Feen	w11_d809e14851
mähr	w13_d809e14855
chen,	w1_d809e14860
aus	w3_d809e14863
dem	w5_d809e14866
Französischen	w7_d809e14869
übersetzt,	w9_d809e14872
6ter	w11_d809e14875
Th.	w13_d809e14879
mit	w1_d809e14884
Kupf	w3_d809e14887
8vo	w5_d809e14890
Nürnb.	w7_d809e14893
1763.	w9_d809e14896
51.	w11_d809e14899
kr.	w13_d809e14903
alle	w15_d809e14906
6.	w17_d809e14909
Thei	w19_d809e14912
dle	w1_d809e14918
4.	w3_d809e14921
fl.	w5_d809e14924
36.	w7_d809e14927
kr.	w9_d809e14930
Sammlung	w1_d809e14935
auserlesener	w3_d809e14938
Romanen	w5_d809e14941
und	w7_d809e14944
Crzäh	w9_d809e14947
lungen,	w1_d809e14952
aus	w3_d809e14955
dem	w5_d809e14958
Französischen,	w7_d809e14961
mit	w9_d809e14964
Kupf.	w11_d809e14967
8vo	w13_d809e14971
Stutgard,	w1_d809e14976
1763.	w3_d809e14979
1.	w5_d809e14982
fl.	w7_d809e14985
30.	w9_d809e14988
kr.	w11_d809e14991
Sammlung,	w1_d809e14997
nach	w3_d809e15000
der	w5_d809e15003
Mode	w7_d809e15006
Magazin	w9_d809e15009
von	w11_d809e15012
Ein	w13_d809e15016
fällen,	w1_d809e15021
8do	w3_d809e15024
Breslau	w5_d809e15027
1763.	w7_d809e15030
17	w9_d809e15033
kr.	w11_d809e15036
Asiatische	w1_d809e15041
Briefe	w3_d809e15044
im	w5_d809e15047
deutschen	w7_d809e15050
Kleide,	w9_d809e15053
8vo	w11_d809e15056
Frf.	w13_d809e15060
und	w1_d809e15065
Leipz.	w3_d809e15068
1763.	w5_d809e15071
21.	w7_d809e15074
kr.	w9_d809e15077
</list>
<list id="l10_d809e15081">
Bondes	w1_d809e15085
Kasterl.	w3_d809e15088
Köligl.	w5_d809e15091
Juesel	w7_d809e15094
Deises.	w9_d809e15097
Mltt	w11_d809e15100
</list>
<p id="p12_d809e15105">
Bondes	w1_d809e15109
Kasterl.	w3_d809e15112
Köligl.	w5_d809e15115
Juesel	w7_d809e15118
Deises.	w9_d809e15121
Mltt	w11_d809e15124
in	w1_d809e15129
Militaribus	w3_d809e15132
im	w5_d809e15135
Erzherzogtum	w7_d809e15138
Oesterreich	w9_d809e15141
unter	w11_d809e15144
und	w1_d809e15149
ob	w3_d809e15152
der	w5_d809e15155
Enns	w7_d809e15158
wegen,	w9_d809e15161
wird	w11_d809e15164
hiemit	w13_d809e15168
durch	w15_d809e15171
dieses	w17_d809e15174
offentliche	w1_d809e15180
Edict	w3_d809e15183
jedermänniglich,	w5_d809e15186
deme	w7_d809e15189
daran	w9_d809e15192
ge	w11_d809e15195
legen,	w1_d809e15200
kund	w3_d809e15203
und	w5_d809e15206
zu	w7_d809e15209
wissen	w9_d809e15212
gemacht.	w11_d809e15215
Wasgestalten	w13_d809e15219
auf	w1_d809e15224
des	w3_d809e15227
Joseph	w5_d809e15230
Hyacinth	w7_d809e15233
Froidevaux,	w9_d809e15236
J.	w11_d809e15239
U.	w13_d809e15243
D.	w15_d809e15246
auch	w17_d809e15249
Hof	w1_d809e15254
und	w3_d809e15257
Gerichts=advocatens,	w5_d809e15260
als	w7_d809e15263
zu	w9_d809e15266
Vertrett	w11_d809e15269
und	w13_d809e15273
Richtigstellung	w1_d809e15279
der	w3_d809e15282
von	w5_d809e15285
dem	w7_d809e15288
jüngsthin	w9_d809e15291
allhier	w11_d809e15294
ver	w13_d809e15298
storbenen	w1_d809e15303
Johann	w3_d809e15306
Michael	w5_d809e15309
Koller,	w7_d809e15312
gewest	w9_d809e15315
Kaiserl.	w11_d809e15318
Königl.	w1_d809e15323
Militar=invaliden=buchhalterey	w3_d809e15326
rait	w5_d809e15329
offi	w7_d809e15332
ciern	w1_d809e15337
seel.	w3_d809e15340
ruckgebliebenen	w5_d809e15343
Verlassenschaft	w7_d809e15346
gerichtl.	w9_d809e15349
verordneten	w1_d809e15355
Curatoris	w3_d809e15358
gehorsamstes	w5_d809e15361
Anlangen	w7_d809e15364
ver	w9_d809e15367
williget	w1_d809e15372
worde,	w3_d809e15375
daß	w5_d809e15378
alle	w7_d809e15381
die	w9_d809e15384
jenige,	w11_d809e15387
welche	w13_d809e15391
an	w15_d809e15394
erster	w17_d809e15397
sagtem	w1_d809e15402
Raitofficier	w3_d809e15405
Kollerische	w5_d809e15408
Verlassenschaft	w7_d809e15411
einige	w9_d809e15414
Sprüche,	w1_d809e15419
und	w3_d809e15422
Anforderungen	w5_d809e15425
haben,	w7_d809e15428
oder	w9_d809e15431
zu	w11_d809e15434
ma	w13_d809e15438
chen	w1_d809e15444
vermeinen	w3_d809e15447
durch	w5_d809e15450
Ausfertigung	w7_d809e15453
gewönlicher	w9_d809e15456
Convocations=edicten	w1_d809e15461
peremptorie	w3_d809e15464
sub	w5_d809e15467
clausula	w7_d809e15470
præclusi	w1_d809e15475
einberuffen	w3_d809e15478
werden	w5_d809e15481
sollen.	w7_d809e15484
Wann	w9_d809e15487
nun	w11_d809e15490
zu	w1_d809e15495
dem	w3_d809e15498
Ende	w5_d809e15501
der	w7_d809e15504
30.	w9_d809e15507
künftigen	w11_d809e15510
Monats	w13_d809e15514
Decembris	w15_d809e15517
fruhe	w1_d809e15523
um	w3_d809e15526
9.	w5_d809e15529
Uhr	w7_d809e15532
bey	w9_d809e15535
dieses	w11_d809e15538
Kaiserl.	w13_d809e15542
Königl.	w15_d809e15545
Ju	w17_d809e15548
dicii	w1_d809e15553
Deleg.	w3_d809e15556
mixti	w5_d809e15559
in	w7_d809e15562
miliraribus	w9_d809e15565
auf	w11_d809e15568
der	w13_d809e15572
Seiler	w15_d809e15575
stadt	w1_d809e15580
in	w3_d809e15583
der	w5_d809e15586
sogenannten	w7_d809e15589
Hollerstauden	w9_d809e15592
im	w11_d809e15595
ersten	w13_d809e15599
Stock	w1_d809e15604
befindlichen	w3_d809e15607
Canzley	w5_d809e15610
pro	w7_d809e15613
1mo,	w9_d809e15616
2do,	w11_d809e15619
&	w13_d809e15623
3tio	w15_d809e15626
termino	w1_d809e15632
zu	w3_d809e15635
erscheinen	w5_d809e15638
bestimmet	w7_d809e15641
worden	w9_d809e15644
ist;	w11_d809e15647
Sol	w13_d809e15651
chemnach	w1_d809e15656
werden	w3_d809e15659
alle	w5_d809e15662
und	w7_d809e15665
jede	w9_d809e15668
Rait=officier	w11_d809e15671
Kol	w13_d809e15675
lerische	w1_d809e15680
Glaubigere	w3_d809e15683
am	w5_d809e15686
obbestimmten	w7_d809e15689
Tag	w9_d809e15692
und	w11_d809e15695
Stund	w1_d809e15700
entweder	w3_d809e15703
selbst	w5_d809e15706
persönlich,	w7_d809e15709
oder	w9_d809e15712
durch	w11_d809e15715
einen	w13_d809e15719
genugsam	w1_d809e15725
instruirten	w3_d809e15728
Bevollmächtigten	w5_d809e15731
alsogewiß	w7_d809e15734
zu	w1_d809e15739
erscheinen,	w3_d809e15742
und	w5_d809e15745
ihre	w7_d809e15748
etwann	w9_d809e15751
habende	w11_d809e15754
Sprüche	w13_d809e15758
und	w1_d809e15763
Anforderungen	w3_d809e15766
Rechts=beständig	w5_d809e15769
zu	w7_d809e15772
liquidi	w9_d809e15775
ren,	w1_d809e15780
auch	w3_d809e15783
respective	w5_d809e15786
sich	w7_d809e15789
zu	w9_d809e15792
legitimiren	w11_d809e15795
haben,	w13_d809e15799
wie	w15_d809e15802
im	w1_d809e15808
widrigen	w3_d809e15811
auf	w5_d809e15814
derenselben	w7_d809e15817
Ausbleiben	w9_d809e15820
des	w11_d809e15823
mehr	w13_d809e15827
berührten	w1_d809e15832
Rait	w3_d809e15835
officiers	w5_d809e15838
Johann	w7_d809e15841
Michael	w9_d809e15844
Kollers	w11_d809e15847
seel.	w1_d809e15852
Verlassenschaft	w3_d809e15855
ex	w5_d809e15858
officio	w7_d809e15861
abgehandelt,	w9_d809e15864
auch	w11_d809e15867
was	w1_d809e15872
Rechtens	w3_d809e15875
ist,	w5_d809e15878
vorgekehret	w7_d809e15881
werden	w9_d809e15884
solle.	w11_d809e15887
Wor	w13_d809e15891
</p>
<p id="p18_d809e15904">
nach	w1_d809e15908
sich	w3_d809e15911
also	w5_d809e15914
ein	w7_d809e15917
jeder	w9_d809e15920
Jntereßirter	w11_d809e15923
zu	w13_d809e15927
richten,	w15_d809e15930
und	w17_d809e15933
seinem	w1_d809e15938
Recht	w3_d809e15941
bestens	w5_d809e15944
zu	w7_d809e15947
invigiliren	w9_d809e15950
wissen	w11_d809e15953
wird.	w13_d809e15957
</p>
<head id="h2_d809e15963">
Landmorschal	w1_d809e15967
2e.	w3_d809e15970
</head>
<p id="p4_d809e15973">
Entbiete	w1_d809e15977
dem	w3_d809e15980
Johann	w5_d809e15983
Georg	w7_d809e15986
Sorgo,	w9_d809e15989
oder	w11_d809e15992
al	w13_d809e15996
lenfalls	w1_d809e16001
dessen	w3_d809e16004
Erben	w5_d809e16007
meinen	w7_d809e16010
guten	w9_d809e16013
Willen	w11_d809e16016
zuvor,	w13_d809e16020
und	w1_d809e16025
füge	w3_d809e16028
hiemit	w5_d809e16031
zu	w7_d809e16034
vernehmen:	w9_d809e16037
</p>
<p id="p6_d809e16040">
Demnach	w1_d809e16044
die	w3_d809e16047
auf	w5_d809e16050
Anlangen	w7_d809e16053
deren	w9_d809e16056
Herren	w11_d809e16059
Fer	w13_d809e16063
dinand	w1_d809e16068
und	w3_d809e16071
Christoph	w5_d809e16074
Freyherren	w7_d809e16077
von	w9_d809e16080
Gudenuß	w11_d809e16083
zu	w1_d809e16088
Ablegung	w3_d809e16091
des	w5_d809e16094
euch	w7_d809e16097
in	w9_d809e16100
dem	w11_d809e16103
Freyherrl.	w13_d809e16107
Franz	w15_d809e16110
Anton	w1_d809e16116
Gudenusischen	w3_d809e16119
Relations=ausschlag	w5_d809e16122
d.	w7_d809e16125
d.	w9_d809e16128
6	w1_d809e16133
Julii	w3_d809e16136
1756.	w5_d809e16139
zu	w7_d809e16142
Liquidirung	w9_d809e16145
deren	w11_d809e16148
allda	w13_d809e16152
ange	w15_d809e16155
meldeten	w1_d809e16160
2100.	w3_d809e16163
fl.	w5_d809e16166
cum	w7_d809e16169
sua	w9_d809e16172
causa	w11_d809e16175
aufgetragenen	w13_d809e16179
Juramenti	w1_d809e16184
suppletorii	w3_d809e16187
den	w5_d809e16190
24.	w7_d809e16193
Sept.	w9_d809e16196
letzthin	w11_d809e16199
für	w13_d809e16203
gewest,	w1_d809e16209
und	w3_d809e16212
per	w5_d809e16215
Edictum	w7_d809e16218
ad	w9_d809e16221
valvas	w11_d809e16224
intimirte	w13_d809e16228
Tagsatzung	w1_d809e16233
eures	w3_d809e16236
Ausbleibens	w5_d809e16239
halber	w7_d809e16242
frustriret,	w9_d809e16245
sofort	w1_d809e16250
solche	w3_d809e16253
auf	w5_d809e16256
den	w7_d809e16259
20.	w9_d809e16262
künftigen	w11_d809e16265
Monats	w13_d809e16269
De	w15_d809e16272
cembr.	w1_d809e16277
mit	w3_d809e16280
dem	w5_d809e16283
Anhang,	w7_d809e16286
als	w9_d809e16289
im	w11_d809e16292
widrigen	w13_d809e16296
bemeld	w15_d809e16299
tes	w1_d809e16305
Jurament	w3_d809e16308
pro	w5_d809e16311
non	w7_d809e16314
præstito	w9_d809e16317
gehalten	w11_d809e16320
werden	w13_d809e16324
solle,	w1_d809e16329
erstrecket	w3_d809e16332
werden.	w5_d809e16335
Als	w7_d809e16338
ist	w9_d809e16341
im	w11_d809e16344
Namen	w13_d809e16348
Jh	w15_d809e16351
rer	w1_d809e16356
Kais.	w3_d809e16359
Kön.	w5_d809e16362
Majestät	w7_d809e16365
unserer	w9_d809e16368
allergnädigsten	w11_d809e16371
Frauen	w1_d809e16376
rc.	w3_d809e16379
mein	w5_d809e16382
Befehl,	w7_d809e16385
daß	w9_d809e16388
ihr,	w11_d809e16391
oder	w13_d809e16395
allenfalls	w15_d809e16398
eure	w1_d809e16404
Erben	w3_d809e16407
zu	w5_d809e16410
Ablegung	w7_d809e16413
des	w9_d809e16416
euch	w11_d809e16419
in	w13_d809e16423
dem	w15_d809e16426
Frey	w17_d809e16429
herrl.	w1_d809e16434
Franz	w3_d809e16437
Anton	w5_d809e16440
Gudenusischen	w7_d809e16443
Relations=aus	w9_d809e16446
schlag	w1_d809e16451
deferirten	w3_d809e16454
Juramenti	w5_d809e16457
an	w7_d809e16460
obbestimmtem	w9_d809e16463
Tag	w11_d809e16466
fruh	w1_d809e16471
um	w3_d809e16474
8.	w5_d809e16477
Uhr	w7_d809e16480
für	w9_d809e16483
Gericht	w11_d809e16486
also	w13_d809e16490
gewiß	w15_d809e16493
erschei	w17_d809e16496
net,	w1_d809e16502
als	w3_d809e16505
im	w5_d809e16508
widrigen	w7_d809e16511
und	w9_d809e16514
auf	w11_d809e16517
euer	w13_d809e16521
ferneres	w15_d809e16524
Aus	w17_d809e16527
bleiben	w1_d809e16532
selbes	w3_d809e16535
pro	w5_d809e16538
non	w7_d809e16541
præstito	w9_d809e16544
gehalten,	w11_d809e16547
und	w13_d809e16551
euch	w1_d809e16556
das	w3_d809e16559
ewige	w5_d809e16562
Stillschweigen	w7_d809e16565
auserleget	w9_d809e16568
werden	w11_d809e16571
solle.	w1_d809e16576
An	w3_d809e16579
deme	w5_d809e16582
geschiehet	w7_d809e16585
allerhöchst=besagt	w9_d809e16588
J	w11_d809e16591
rer	w1_d809e16597
Kais.	w3_d809e16600
Kon.	w5_d809e16603
Majestät	w7_d809e16606
gnädigster	w9_d809e16609
Willen	w11_d809e16612
und	w13_d809e16616
Meinung.	w1_d809e16621
</p>
<p id="p8_d809e16624">
Von	w1_d809e16628
des	w3_d809e16631
Kais.	w5_d809e16634
Kön.	w7_d809e16637
Judicii	w9_d809e16640
delegati	w11_d809e16643
mixti	w13_d809e16647
in	w15_d809e16650
militaribus	w1_d809e16655
im	w3_d809e16658
Erzherzogthum	w5_d809e16661
Oesterreich	w7_d809e16664
unter	w9_d809e16667
und	w1_d809e16672
ob	w3_d809e16675
der	w5_d809e16678
Enns	w7_d809e16681
wegen,	w9_d809e16684
wird	w11_d809e16687
hiemit	w13_d809e16691
durch	w15_d809e16694
die	w17_d809e16697
ses	w1_d809e16703
öffentliche	w3_d809e16706
Edict	w5_d809e16709
jedermänniglich	w7_d809e16712
deme	w9_d809e16715
daran	w11_d809e16718
gelegen,	w1_d809e16723
kund	w3_d809e16726
und	w5_d809e16729
zu	w7_d809e16732
wissen	w9_d809e16735
gemacht:	w11_d809e16738
wasge	w13_d809e16742
stalten	w1_d809e16747
auf	w3_d809e16750
des	w5_d809e16753
Josephl	w7_d809e16756
Hoaeinth	w9_d809e16759
Froidevaux,	w11_d809e16762
beeder	w13_d809e16766
Rechten	w1_d809e16771
Doct.	w3_d809e16774
auch	w5_d809e16777
Hof	w7_d809e16780
und	w9_d809e16783
Gerichts=adus	w11_d809e16786
catens,	w1_d809e16792
als	w3_d809e16795
zu	w5_d809e16798
Vertrett	w7_d809e16801
und	w9_d809e16804
Richtigstellung	w11_d809e16807
der	w13_d809e16811
von	w1_d809e16816
der	w3_d809e16819
vor	w5_d809e16822
einigen	w7_d809e16825
Monaten	w9_d809e16828
zu	w11_d809e16831
Wienerisch	w13_d809e16835
Neustadt	w1_d809e16840
ab	w3_d809e16843
intestato	w5_d809e16846
verstorbenen	w7_d809e16849
verwittibten	w9_d809e16852
Obrist=leutenants=frauen	w1_d809e16857
Francisca	w3_d809e16860
Freyin	w5_d809e16863
von	w7_d809e16866
Besange,	w1_d809e16872
geb.	w3_d809e16875
Gräfin	w5_d809e16878
v.	w7_d809e16881
Auersberg,	w9_d809e16884
seel.	w11_d809e16887
ruck	w13_d809e16891
gebliebenen	w1_d809e16896
Verlassenschaft	w3_d809e16899
gerichtlich	w5_d809e16902
verordne	w7_d809e16905
ten	w1_d809e16910
Curatoris	w3_d809e16913
gehorsamstes	w5_d809e16916
Anlangen	w7_d809e16919
gewilliget	w9_d809e16922
worden,	w1_d809e16927
daß	w3_d809e16930
alle	w5_d809e16933
diejenige,	w7_d809e16936
welche	w9_d809e16939
an	w11_d809e16942
besagte	w13_d809e16946
Ba	w15_d809e16949
rone	w1_d809e16955
se	w3_d809e16958
v.	w5_d809e16961
Besangische	w7_d809e16964
Verlassenschaft	w9_d809e16967
titulo	w11_d809e16970
hæ-	w13_d809e16974
reditatis,	w1_d809e16979
crediti,	w3_d809e16982
aut	w5_d809e16985
alio	w7_d809e16988
quocunque,	w9_d809e16991
einige	w11_d809e16994
Sprüche	w1_d809e16999
und	w3_d809e17002
Anforderungen	w5_d809e17005
haben,	w7_d809e17008
oder	w9_d809e17011
zu	w11_d809e17014
ma	w13_d809e17018
chen	w1_d809e17023
vermeinen,	w3_d809e17026
durch	w5_d809e17029
Ausfertigung	w7_d809e17032
gewöhnlicher	w9_d809e17035
Convocations=edicten	w1_d809e17041
peremptorie	w3_d809e17044
sub	w5_d809e17047
clausula	w7_d809e17050
præclusi	w1_d809e17055
einberufen	w3_d809e17058
werden	w5_d809e17061
sollen.	w7_d809e17064
Wann	w9_d809e17067
nun	w11_d809e17070
zu	w1_d809e17075
diesem	w3_d809e17078
Ende	w5_d809e17081
der	w7_d809e17084
29.	w9_d809e17087
künftigen	w11_d809e17090
Monats	w13_d809e17094
Dec.	w15_d809e17097
fruh	w1_d809e17102
um	w3_d809e17105
9.	w5_d809e17108
Uhr	w7_d809e17111
bey	w9_d809e17114
dieses	w11_d809e17117
K.	w13_d809e17121
K.	w15_d809e17124
Jud.	w17_d809e17127
deleg.	w19_d809e17130
mix-	w21_d809e17133
ti	w1_d809e17139
in	w3_d809e17142
Milit.	w5_d809e17145
auf	w7_d809e17148
der	w9_d809e17151
Sailerstadt	w11_d809e17154
im	w13_d809e17158
ersten	w15_d809e17161
Stock	w17_d809e17164
befindlichen	w1_d809e17169
Canzley	w3_d809e17172
pro	w5_d809e17175
1mo,	w7_d809e17178
2do,	w9_d809e17181
&	w11_d809e17184
3tio	w13_d809e17188
Tet-	w15_d809e17191
mino	w1_d809e17196
zu	w3_d809e17199
erscheinen	w5_d809e17202
bestimmet	w7_d809e17205
worden	w9_d809e17208
ist;	w11_d809e17211
Sol	w13_d809e17215
</p>
<p id="p10_d809e17218">
chemnach	w1_d809e17222
werden	w3_d809e17225
alle	w5_d809e17228
und	w7_d809e17231
jede	w9_d809e17234
Baron	w11_d809e17237
Befangei	w13_d809e17241
sche	w1_d809e17246
Erbs=interessenten	w3_d809e17249
und	w5_d809e17252
Glaubiger	w7_d809e17255
an	w9_d809e17258
obbe	w11_d809e17261
stimmtem	w1_d809e17266
Tag	w3_d809e17269
und	w5_d809e17272
Stund	w7_d809e17275
entweder	w9_d809e17278
selbst	w11_d809e17281
per	w13_d809e17285
sönlich,	w1_d809e17291
oder	w3_d809e17294
durch	w5_d809e17297
genugsam	w7_d809e17300
instruirte	w9_d809e17303
Bevoll	w11_d809e17306
mächtigte	w1_d809e17311
also	w3_d809e17314
gewiß	w5_d809e17317
zu	w7_d809e17320
erscheinen,	w9_d809e17323
und	w11_d809e17326
ihre	w13_d809e17330
etwa	w1_d809e17335
habende	w3_d809e17338
Sprüche,	w5_d809e17341
oder	w7_d809e17344
andere,	w9_d809e17347
wie	w11_d809e17350
immen	w13_d809e17354
Namen	w1_d809e17359
haben	w3_d809e17362
mögende,	w5_d809e17365
und	w7_d809e17368
an	w9_d809e17371
diese	w11_d809e17374
Verlassen	w13_d809e17378
schaft	w1_d809e17384
zu	w3_d809e17387
stellen	w5_d809e17390
vermeinende	w7_d809e17393
Prätensiones	w9_d809e17396
anzu	w11_d809e17399
melden,	w1_d809e17404
und	w3_d809e17407
Rechts=beständig	w5_d809e17410
zu	w7_d809e17413
liquidiren,	w9_d809e17416
auch	w1_d809e17421
resp.	w3_d809e17424
sich	w5_d809e17427
zu	w7_d809e17430
legitimiren	w9_d809e17433
haben,	w11_d809e17436
wie	w13_d809e17440
im	w15_d809e17443
wi	w17_d809e17446
drigen	w1_d809e17451
auf	w3_d809e17454
derenselben	w5_d809e17457
Ausbleiben	w7_d809e17460
mehrgedachter	w9_d809e17463
Frauen	w1_d809e17469
Obrist=leut.	w3_d809e17472
Freyin	w5_d809e17475
von	w7_d809e17478
Besange	w9_d809e17481
seel.	w11_d809e17484
Verlassenschaft	w1_d809e17489
