<doc id="edoc_wd_1726-09-11" attrs="word" year="1726" month="09" day="11" corpus="1">
<head id="hl1">
St	w54
wegen	w5366
des	w5367
den	w5368
8	w5369
<g/>
.
Augusti	w5371
geschehenen	w5372
Tod	w5373
<g/>
=
Falls	w5375
der	w5376
Her=tzogin	w5377
<g/>
=
von	w5379
Orleans	w5380
<g/>
,
die	w5382
Trauer	w5383
auf	w5384
6	w5385
<g/>
.
Wo=chen	w5387
<g/>
=
angeleget	w5389
<g/>
.
</p>
<p id="p68">
Eodem	w5391
nach	w5392
<g/>
=
Mittag	w5394
begaben	w5395
Sich	w5396
Jhre	w5397
Kaiserl	w5398
<g/>
.
Majest	w5400
<g/>
.
die	w5402
Verwittibte	w5403
Röm	w5404
<g/>
.
Kai=serin	w5406
<g/>
=
Amalia	w5408
Wilhelmina	w5409
<g/>
,
aus	w5411
dero	w5412
ge=stiften	w5413
<g/>
=
Frauen	w5415
<g/>
=
Closter	w5417
am	w5418
Renn	w5419
<g/>
=
Weg	w5421
in	w5422
die	w5423
Kaiserl	w5424
<g/>
.
Burg	w5426
herein	w5427
<g/>
/
alwo	w5429
Selbe	w5430
sich	w5431
ge=gen	w5432
<g/>
=
8	w5434
<g/>
.
Täg	w5436
aufhalten	w5437
werden	w5438
<g/>
;
zu	w5440
Abends	w5441
aber	w5442
gaben	w5443
Jhre	w5444
Majestät	w5445
beeden	w5446
Regieren=den	w5447
<g/>
=
Kaiserl	w5449
<g/>
.
Majestäten	w5451
eine	w5452
Visite	w5453
in	w5454
der	w5455
Favorita	w5456
<g/>
.
</p>
<p id="p69">
Montag	w5458
<g/>
/
den	w5460
9	w5461
<g/>
.
Dito	w5463
<g/>
/
erhuben	w5465
sich	w5466
bee=de	w5467
<g/>
=
Regierende	w5469
Kaiserl	w5470
<g/>
.
Majestäten	w5472
in	w5473
Be=gleitung	w5474
<g/>
=
der	w5476
Durchl	w5477
<g/>
.
Ertz	w5479
<g/>
=
Hertzogin	w5481
Maria	w5482
Magdalena	w5483
nacher	w5484
Eberstorf	w5485
<g/>
/
und	w5487
erlustig=ten	w5488
<g/>
=
sich	w5490
in	w5491
dasigen	w5492
schönen	w5493
Auen	w5494
mit	w5495
Hir=schen	w5496
<g/>
=
<g/>
=
Schiessen	w5499
<g/>
/
speiseten	w5501
zu	w5502
Mittag	w5503
in	w5504
sel=bigen	w5505
<g/>
=
Lust	w5507
<g/>
=
Schloß	w5509
<g/>
/
und	w5511
kehreten	w5512
Abends	w5513
wieder	w5514
in	w5515
die	w5516
Favorita	w5517
zuruk	w5518
<g/>
.
</p>
<p id="p70">
Dienstag	w5520
<g/>
/
den	w5522
10	w5523
<g/>
.
Dito	w5525
<g/>
/
begabe	w5527
Sich	w5528
der	w5529
Kaiserl	w5530
<g/>
.
Hof	w5532
in	w5533
der	w5534
Gegend	w5535
Ottakring	w5536
<g/>
/
und	w5538
erlustigte	w5539
Sich	w5540
abermal	w5541
mit	w5542
einer	w5543
Hir Hirschen	w5544
<g/>
=
</p>
<p id="p71">
schen	w5546
<g/>
=
Fürst	w5548
<g/>
.
Nach	w5550
<g/>
=
Mittag	w5552
aber	w5553
wurde	w5554
in	w5555
der	w5556
Favorita	w5557
in	w5558
Allerhöchster	w5559
Gegenwart	w5560
Jhrer	w5561
Kaiserl	w5562
<g/>
.
Cathol	w5564
<g/>
.
Majestät	w5566
geheime	w5567
Confe-renz	w5568
<g/>
-
gehalten	w5570
<g/>
.
</p>
<p id="p72">
Von	w5572
dem	w5573
Gnaden	w5574
<g/>
=
reichen	w5576
Ort	w5577
Maria	w5578
<g/>
=
Zell	w5580
in	w5581
Steyermarkt	w5582
hatte	w5583
man	w5584
die	w5585
Nachricht	w5586
empfangen	w5587
<g/>
/
wie	w5589
daß	w5590
am	w5591
Sonntag	w5592
<g/>
/
den	w5594
1	w5595
<g/>
.
dieses	w5597
Monats	w5598
<g/>
/
als	w5600
am	w5601
H	w5602
<g/>
.
Schutz	w5604
<g/>
=
Engel	w5606
<g/>
=
Fest	w5608
<g/>
/
nach	w5610
50	w5611
<g/>
.
jährigen	w5613
Prie=tertum	w5614
<g/>
=
seine	w5616
zweyte	w5617
Primiz	w5618
der	w5619
W	w5620
<g/>
.
E	w5622
<g/>
.
P	w5624
<g/>
.
Cælestinus Caelestinus	w5626
Haussner	w5627
<g/>
,
Ord	w5629
<g/>
.
S	w5631
<g/>
.
Benedicti	w5633
<g/>
,
des	w5635
Löbl	w5636
<g/>
.
freyen	w5638
Stifts	w5639
zu	w5640
St	w5641
<g/>
.
Lambrecht	w5643
in	w5644
Steyermarkt	w5645
Professus	w5646
<g/>
,
Pœniten- tiarius Poenitentiarius	w5648
<g/>
-
in	w5650
Cellis	w5651
<g/>
,
geboren	w5653
zu	w5654
Grätz	w5655
den	w5656
22	w5657
<g/>
.
Oct	w5659
<g/>
.
1650	w5661
<g/>
.
mit	w5663
grosser	w5664
Feyerlichkeit	w5665
gehalten	w5666
<g/>
:
</p>
<head id="hl20">
Patent	w5692
<g/>
/
die	w5694
Stadt	w5695
<g/>
=
Säuberung	w5697
betreffend	w5698
<g/>
.
</head>
<p id="p73">
VOn	w5700
Burger	w5701
<g/>
=
Meister	w5703
<g/>
/
und	w5705
Raht	w5706
der	w5707
Stadt	w5708
Wien	w5709
<g/>
/
wegen	w5711
<g/>
;
wird	w5713
hiemit	w5714
jedermännig=lich	w5715
<g/>
=
kund	w5717
und	w5718
zu	w5719
wissen	w5720
gemacht	w5721
<g/>
/
welcher	w5723
<g/>
=
ge=stalten	w5725
<g/>
=
Jhre	w5727
Kaiserlich	w5728
<g/>
=
und	w5730
Königlich	w5731
<g/>
=
Catholi=sche	w5733
<g/>
=
Majestät	w5735
<g/>
/
Unser	w5737
Allergnädigster	w5738
Erb	w5739
<g/>
=
Lands	w5741
<g/>
=
Fürst	w5743
<g/>
/
und	w5745
Herr	w5746
Herr	w5747
<g/>
/
ꝛc	w5749
ꝛc	w5750
<g/>
.
unter	w5752
dem	w5753
28	w5754
<g/>
.
Februarii	w5756
inlebenden	w5757
Jahrs	w5758
von	w5759
wegen	w5760
der	w5761
für=hin	w5762
<g/>
=
vorkehrenden	w5764
Stadt	w5765
<g/>
=
Säuberung	w5767
unter	w5768
an=deren	w5769
<g/>
=
Allergnädigst	w5771
resolviret	w5772
<g/>
/
und	w5774
durch	w5775
die	w5776
Hochlöbl	w5777
<g/>
.
N	w5779
<g/>
.
Oe	w5781
<g/>
.
Regierung	w5783
den	w5784
8	w5785
<g/>
.
Martii	w5787
darauf	w5788
uns	w5789
anbefehlen	w5790
lassen	w5791
<g/>
/
dahin	w5793
das	w5794
künf=tige	w5795
<g/>
=
so	w5797
wol	w5798
alle	w5799
Clöster	w5800
<g/>
/
als	w5802
respectivè	w5803
Haus	w5804
<g/>
=
Herren	w5806
<g/>
/
und	w5808
Administratores	w5809
<g/>
,
alle	w5811
Wochen	w5812
wenigstens	w5813
einmal	w5814
die	w5815
Gässen	w5816
vor	w5817
ihren	w5818
Clo=stern	w5819
<g/>
=
und	w5821
Häusern	w5822
bey	w5823
12	w5824
<g/>
.
Reichs	w5826
<g/>
=
Thaler	w5828
Straf	w5829
kehren	w5830
und	w5831
säuberen	w5832
<g/>
/
das	w5834
Gekehrte	w5835
auf	w5836
einen	w5837
Hauffen	w5838
zur	w5839
Ausfuhr	w5840
durch	w5841
die	w5842
von	w5843
Gemeiner	w5844
Stadt	w5845
Unter	w5846
<g/>
=
Cammer	w5848
<g/>
=
Amt	w5850
bestellte	w5851
Wägen	w5852
<g/>
/
zu=sammen	w5854
<g/>
=
richten	w5856
<g/>
;
ingleichen	w5858
das	w5859
von	w5860
denen	w5861
Brün=nen	w5862
<g/>
=
abfallende	w5864
Wasser	w5865
<g/>
/
so	w5867
viel	w5868
möglich	w5869
<g/>
/
in	w5871
die	w5872
Haupt	w5873
<g/>
=
Canal	w5875
aus	w5876
denen	w5877
Clöstern	w5878
und	w5879
Häusern	w5880
bey	w5881
vorgemeldter	w5882
12	w5883
Reichs	w5884
<g/>
=
Thaler	w5886
Straf	w5887
ein=geführet	w5888
<g/>
=
<g/>
/
auch	w5891
zu	w5892
Winters	w5893
<g/>
=
Zeit	w5895
das	w5896
Eis	w5897
aus	w5898
denen	w5899
Gässen	w5900
von	w5901
jeden	w5902
Haus	w5903
<g/>
=
Herren	w5905
aufge=hakt	w5906
<g/>
=
<g/>
/
und	w5909
der	w5910
in	w5911
dem	w5912
Hof	w5913
ligende	w5914
Schnee	w5915
von	w5916
denen	w5917
Haus	w5918
<g/>
=
Herren	w5920
aus	w5921
geführet	w5922
<g/>
/
und	w5924
zu	w5925
jeder=manns	w5926
<g/>
=
Wissen	w5928
und	w5929
Befolgung	w5930
durch	w5931
einen	w5932
of=fentlichen	w5933
<g/>
=
Ruf	w5935
publiciret	w5936
werden	w5937
solle	w5938
<g/>
.
</p>
<p id="p74">
Als	w5940
hat	w5941
man	w5942
allen	w5943
Clöstern	w5944
<g/>
/
respectivè	w5946
Her=ren	w5947
<g/>
=
Haus	w5949
<g/>
=
Jnhabern	w5951
<g/>
/
und	w5953
Administratoribus	w5954
vorberührt	w5955
Allergnädigste	w5956
Kaiserl	w5957
<g/>
.
Resolution	w5959
<g/>
,
und	w5961
darauf	w5962
von	w5963
Hochlöbl	w5964
<g/>
.
N	w5966
<g/>
.
Oe	w5968
<g/>
.
Regierung	w5970
an	w5971
uns	w5972
erlassenen	w5973
Befehl	w5974
zum	w5975
Wissen	w5976
erinnern	w5977
wollen	w5978
<g/>
/
daß	w5980
weilen	w5981
diese	w5982
Stadt	w5983
<g/>
=
Säuberung	w5985
auf	w5986
einen	w5987
Tag	w5988
durch	w5989
die	w5990
gantze	w5991
Stadt	w5992
nicht	w5993
wol	w5994
mag	w5995
fürgenommen	w5996
werden	w5997
<g/>
/
solche	w5999
in	w6000
denen	w6001
nachgesezten	w6002
vier	w6003
Tägen	w6004
<g/>
/
als	w6006
von	w6007
dem	w6008
Wim=der	w6009
<g/>
=
Viertel	w6011
den	w6012
Montag	w6013
<g/>
/
von	w6015
dem	w6016
Schotten	w6017
<g/>
=
Viertel	w6019
den	w6020
Erchtag	w6021
<g/>
/
von	w6023
dem	w6024
Kärntner	w6025
<g/>
=
Vier=tel	w6027
<g/>
=
den	w6029
Pfingstag	w6030
<g/>
/
und	w6032
von	w6033
dem	w6034
Stuben	w6035
<g/>
=
Vier=tel	w6037
<g/>
=
den	w6039
Freytag	w6040
<g/>
/
und	w6042
<g/>
/
wann	w6044
in	w6045
diesen	w6046
Tägen	w6047
ein	w6048
Feyertag	w6049
einstellete	w6050
<g/>
/
gleich	w6052
den	w6053
darauf	w6054
fol=genden	w6055
<g/>
=
Tag	w6057
alle	w6058
Wochen	w6059
bey	w6060
der	w6061
von	w6062
hochge=dachter	w6063
<g/>
=
N	w6065
<g/>
.
Oe	w6067
<g/>
.
Regierung	w6069
ausgestellten	w6070
Straf	w6071
deren	w6072
12	w6073
<g/>
.
Reichs	w6075
<g/>
=
Thaler	w6077
von	w6078
denen	w6079
samment=lichen	w6080
<g/>
=
Clöstern	w6082
<g/>
/
und	w6084
Häusern	w6085
<g/>
/
also	w6087
gewiß	w6088
ge=kehret	w6089
<g/>
=
<g/>
/
und	w6092
das	w6093
Gekehrte	w6094
zusammen	w6095
gerichtet	w6096
</p>
<p id="p75">
werden	w6097
<g/>
/
als	w6099
im	w6100
widrigen	w6101
<g/>
/
wo	w6103
die	w6104
Ubergeher	w6105
ein	w6106
oder	w6107
anderen	w6108
nach	w6109
Allerhöchst	w6110
Sr	w6111
<g/>
.
Kaiserli=chen	w6113
<g/>
=
Majestät	w6115
Allergnädigst	w6116
erlassenen	w6117
Resolu-tion	w6118
<g/>
-
zuwider	w6120
<g/>
=
handlenden	w6122
betretten	w6123
wurden	w6124
<g/>
/
der	w6126
<g/>
/
oder	w6128
dieselbe	w6129
zu	w6130
Erlegung	w6131
mehr	w6132
<g/>
=
erholter	w6134
Straf	w6135
deren	w6136
12	w6137
<g/>
.
Reichs	w6139
<g/>
=
Thaler	w6141
unnachläßlich	w6142
angehalten	w6143
werden	w6144
sollen	w6145
<g/>
.
Actum	w6147
Wien	w6148
den	w6149
15	w6150
<g/>
.
Julii	w6152
1726	w6153
<g/>
.
</p>
<head id="hl21">
Frankfurt	w6155
22	w6156
<g/>
.
Augusti	w6158
<g/>
.
</head>
<p id="p76">
Gestern	w6160
Abends	w6161
gegen	w6162
6	w6163
<g/>
.
Uhr	w6165
entstunde	w6166
alhier	w6167
auf	w6168
der	w6169
Aller	w6170
<g/>
=
Heiligen	w6172
<g/>
=
Gaß	w6174
wie=derum	w6175
<g/>
=
ein	w6177
sehr	w6178
entsetzlicher	w6179
Brand	w6180
<g/>
/
wor=durch	w6182
<g/>
=
in	w6184
wenig	w6185
Stunden	w6186
3	w6187
<g/>
.
Häuser	w6189
in	w6190
die	w6191
Asche	w6192
geleget	w6193
<g/>
/
durch	w6195
die	w6196
gute	w6197
Anstalten	w6198
<g/>
/
und	w6200
starke	w6201
Gegenwehr	w6202
aber	w6203
grösseres	w6204
Un=heil	w6205
<g/>
=
verhindert	w6207
<g/>
/
und	w6209
abgewendet	w6210
worden	w6211
<g/>
.
</p>
<head id="hl22">
Haag	w6213
27	w6214
<g/>
.
Augusti	w6216
<g/>
.
</head>
<p id="p77">
Die	w6218
alhier	w6219
befindliche	w6220
Kaiserliche	w6221
<g/>
/
Pohl=nische	w6223
<g/>
=
<g/>
/
und	w6226
Russische	w6227
Ministern	w6228
haben	w6229
in	w6230
die=sen	w6231
<g/>
=
Tagen	w6233
verschiedene	w6234
Conferenzien	w6235
mit=einander	w6236
<g/>
=
gehalten	w6238
<g/>
/
und	w6240
der	w6241
Letztere	w6242
hat	w6243
ei=nen	w6244
<g/>
=
Expressen	w6246
nach	w6247
Petersburg	w6248
an	w6249
seinen	w6250
Hof	w6251
abgefertiget	w6252
<g/>
.
</p>
<p id="p78">
Dieser	w6254
Tagen	w6255
seynd	w6256
der	w6257
Hertzog	w6258
<g/>
/
und	w6260
Her=tzogin	w6261
<g/>
=
von	w6263
Richmond	w6264
von	w6265
Londen	w6266
hier	w6267
an=gekommen	w6268
<g/>
=
<g/>
/
von	w6271
wannen	w6272
auch	w6273
der	w6274
General	w6275
<g/>
=
Feld	w6277
<g/>
=
Marschall	w6279
<g/>
/
Graf	w6281
von	w6282
Schulenburg	w6283
<g/>
/
hierselbst	w6285
zuruk	w6286
gelanget	w6287
<g/>
/
bey	w6289
welchem	w6290
un=terschiedliche	w6291
<g/>
=
fremde	w6293
Ministri	w6294
gewesen	w6295
<g/>
.
</p>
<p id="p79">
Die	w6297
General	w6298
<g/>
=
Staaten	w6300
berahtschlagen	w6301
täg=lich	w6302
<g/>
=
über	w6304
die	w6305
Vermehrung	w6306
ihrer	w6307
Macht	w6308
<g/>
/
sowol	w6310
zu	w6311
Wasser	w6312
<g/>
/
als	w6314
zu	w6315
Lande	w6316
<g/>
;
und	w6318
hat	w6319
der	w6320
General	w6321
<g/>
.
Schatz	w6323
<g/>
=
Meister	w6325
desfals	w6326
einen	w6327
Ent=wurf	w6328
<g/>
=
übergeben	w6330
<g/>
.
Man	w6332
sagt	w6333
auch	w6334
<g/>
/
daß	w6336
alle	w6337
Festungen	w6338
von	w6339
der	w6340
alten	w6341
Barriere	w6342
in	w6343
Wehr	w6344
<g/>
=
Stand	w6346
gesetzet	w6347
werden	w6348
sollen	w6349
<g/>
.
</p>
<head id="hl23">
Regenspurg	w6351
70	w6352
<g/>
.
Augusti	w6354
<g/>
.
</head>
<p id="p80">
Aus	w6356
dem	w6357
Ost	w6358
<g/>
=
Frießländischen	w6360
vernimmt	w6361
man	w6362
mit	w6363
vielen	w6364
Verwundern	w6365
<g/>
/
daß	w6367
die	w6368
soge=nannten	w6369
<g/>
=
Renitenten	w6371
<g/>
/
oder	w6373
Widrig	w6374
<g/>
=
Gesinne=ten	w6376
<g/>
=
<g/>
/
Sr	w6379
<g/>
.
Hochfürstl	w6381
<g/>
.
Durchl	w6383
<g/>
.
Truppen	w6385
ange=griffen	w6386
<g/>
=
<g/>
/
solche	w6389
von	w6390
ihren	w6391
Posten	w6392
vertrieben	w6393
<g/>
/
und	w6395
verschiedene	w6396
Flecken	w6397
und	w6398
Oerter	w6399
geplün=dert	w6400
<g/>
=
<g/>
/
und	w6403
verheeret	w6404
<g/>
;
welches	w6406
durch	w6407
die	w6408
hie=sig	w6409
<g/>
=
<g/>
=
Ost	w6412
<g/>
=
Frießländische	w6414
Gesandschaft	w6415
dem	w6416
Reichs	w6417
<g/>
=
Convent	w6419
kund	w6420
gemacht	w6421
worden	w6422
<g/>
.
</p>
<head id="hl24">
NB	w6426
<g/>
.
</head>
<p id="p81">
Es	w6428
wird	w6429
jedermänniglich	w6430
zu	w6431
wissen	w6432
ge=macht	w6433
<g/>
=
<g/>
/
daß	w6436
Christian	w6437
Ziegler	w6438
wiederum	w6439
mit	w6440
gut	w6441
<g/>
=
und	w6443
gerechten	w6444
schwartzen	w6445
Kerschen	w6446
<g/>
=
Geist	w6448
in	w6449
Wien	w6450
angekommen	w6451
seye	w6452
<g/>
/
etliche	w6454
Jahr	w6455
der	w6456
hat	w6457
er	w6458
sich	w6459
im	w6460
Fisch	w6461
<g/>
=
Hof	w6463
im	w6464
Bier	w6465
<g/>
=
Häusel	w6467
aufgehalten	w6468
<g/>
/
anjetzo	w6470
aber	w6471
auf	w6472
dem	w6473
Hohen	w6474
<g/>
=
Markt	w6476
neben	w6477
dem	w6478
roten	w6479
Krebsen	w6480
neben	w6481
der	w6482
Apotheken	w6483
im	w6484
Bier	w6485
<g/>
=
Häusel	w6487
<g/>
:
es	w6489
ist	w6490
ein	w6491
sehr	w6492
gesundes	w6493
Trank	w6494
<g/>
/
und	w6496
dienet	w6497
der	w6498
Gesundheit	w6499
besser	w6500
als	w6501
Rosoli	w6502
<g/>
/
und	w6504
andere	w6505
gebrennte	w6506
Wasser	w6507
<g/>
.
Es	w6509
verursachet	w6510
keinen	w6511
so	w6512
üblen	w6513
Geruch	w6514
<g/>
/
als	w6516
wie	w6517
der	w6518
Rosoli	w6519
oder	w6520
Brand	w6521
<g/>
=
Wein	w6523
<g/>
.
</p>
<head id="hl25">
Lista	w6525
deren	w6526
Verstorbenen	w6527
zu	w6528
Wien	w6529
<g/>
/
in	w6531
und	w6532
vor	w6533
der	w6534
Stadt	w6535
<g/>
.
</head>
<head id="hl26">
Den	w6537
7	w6538
<g/>
.
September	w6540
1726	w6541
<g/>
.
</head>
<head id="hl27">
Jn	w6543
der	w6544
Stadt	w6545
niemand	w6546
<g/>
.
</head>
<head id="hl28">
Vor	w6548
der	w6549
Stadt	w6550
<g/>
.
</head>
<list id="">
Dem	w6552
Matthias	w6553
Bruner	w6554
<g/>
/
Cammer	w6556
<g/>
=
Dienern	w6558
<g/>
/
s	w6560
<g/>
.
W	w6562
<g/>
.
Cath	w6564
<g/>
.
<g/>
/
im	w6567
Lambergis	w6568
<g/>
.
Garten	w6570
im	w6571
Lerchfeld	w6572
<g/>
/
alt	w6574
22	w6575
<g/>
.
J	w6577
<g/>
.
Dem	w6579
Joh	w6580
<g/>
.
Obinger	w6582
<g/>
/
Tischlern	w6584
<g/>
/
s	w6586
<g/>
.
K	w6588
<g/>
.
Cath	w6590
<g/>
.
<g/>
/
beym	w6593
golden	w6594
A	w6595
<g/>
.
B	w6597
<g/>
.
C	w6599
<g/>
.
bey	w6601
Maria	w6602
Hülf	w6603
alt	w6604
4	w6605
<g/>
.
und	w6607
1	w6608
<g/>
.
halb	w6610
J	w6611
<g/>
.
Dem	w6613
Joh	w6614
<g/>
.
Ehlich	w6616
<g/>
/
Lackey	w6618
<g/>
/
s	w6620
<g/>
.
K	w6622
<g/>
.
Johann	w6624
<g/>
/
beyn	w6626
drey	w6627
Tauben	w6628
im	w6629
Lerchfeld	w6630
<g/>
/
alt	w6632
2	w6633
<g/>
.
J	w6635
<g/>
.
Dem	w6637
Paul	w6638
Wagner	w6639
<g/>
/
Schuh	w6641
<g/>
=
Machern	w6643
<g/>
/
s	w6645
<g/>
.
K	w6647
<g/>
.
Eva	w6649
<g/>
/
beym	w6651
golden	w6652
Anker	w6653
bey	w6654
Maria	w6655
Hilf	w6656
<g/>
/
alt	w6658
2	w6659
<g/>
.
und	w6661
1	w6662
<g/>
.
halb	w6664
J	w6665
<g/>
.
Dem	w6667
Simon	w6668
Paul	w6669
<g/>
/
Schuh	w6671
<g/>
=
Machern	w6673
<g/>
/
s	w6675
<g/>
.
K	w6677
<g/>
.
Johann	w6679
<g/>
/
bey	w6681
der	w6682
goldenWein	w6683
<g/>
=
Trauben	w6685
bey	w6686
Maria	w6687
Hilf	w6688
<g/>
/
alt	w6690
4	w6691
<g/>
.
J	w6693
<g/>
.
Dem	w6695
Georg	w6696
Hueter	w6697
<g/>
/
Tragern	w6699
<g/>
/
s	w6701
<g/>
.
K	w6703
<g/>
.
Lor	w6705
<g/>
.
<g/>
/
beyn	w6708
3	w6709
<g/>
.
weissen	w6711
Lilien	w6712
zu	w6713
Matzelsdorf	w6714
<g/>
/
alt	w6716
2	w6717
<g/>
.
J	w6719
<g/>
.
Dem	w6721
Joh	w6722
<g/>
.
Wurtzinger	w6724
<g/>
/
Tagw	w6726
<g/>
.
s	w6728
<g/>
.
K	w6730
<g/>
.
Justina	w6732
<g/>
/
im	w6734
Schmidisch	w6735
<g/>
.
H	w6737
<g/>
.
zu	w6739
Erdberg	w6740
<g/>
/
alt	w6742
7	w6743
<g/>
.
Viertl	w6745
J	w6746
<g/>
.
Der	w6748
Sus	w6749
<g/>
.
Baumgartnerin	w6751
<g/>
/
Wittib	w6753
<g/>
/
ihr	w6755
K	w6756
<g/>
.
Johann	w6758
<g/>
/
im	w6760
Stultzisch	w6761
<g/>
.
H	w6763
<g/>
.
zu	w6765
Matzelsdorf	w6766
<g/>
/
alt	w6768
2	w6769
<g/>
.
J	w6771
<g/>
.
</list>
<head id="hl29">
Den	w6773
8	w6774
<g/>
.
Septemb	w6776
<g/>
.
</head>
<head id="hl30">
Jn	w6778
der	w6779
Stadt	w6780
<g/>
.
</head>
<list id="">
Georg	w6782
Schiell	w6783
<g/>
/
B	w6785
<g/>
.
Bier	w6787
<g/>
=
Leutgeb	w6789
<g/>
/
beym	w6791
Küssen	w6792
<g/>
=
Pfen=ning	w6794
<g/>
=
am	w6796
roten	w6797
Thurn	w6798
<g/>
/
alt	w6800
37	w6801
<g/>
.
J	w6803
<g/>
.
Der	w6805
Elis	w6806
<g/>
.
Mentzin	w6808
<g/>
/
Wittib	w6810
<g/>
/
ihr	w6812
K	w6813
<g/>
.
Eleon	w6815
<g/>
.
<g/>
/
im	w6818
de	w6819
Paulisch	w6820
<g/>
.
H	w6822
<g/>
.
in	w6824
der	w6825
Kärntnerstraß	w6826
<g/>
/
alt	w6828
3	w6829
<g/>
.
J	w6831
<g/>
.
Gertr	w6833
<g/>
.
Herberin	w6835
<g/>
/
Wittib	w6837
<g/>
/
im	w6839
Roß	w6840
<g/>
=
Ausleiherisch	w6842
<g/>
.
H	w6844
<g/>
.
im	w6846
Jacober	w6847
<g/>
=
Gässel	w6849
<g/>
/
alt	w6851
75	w6852
<g/>
.
J	w6854
<g/>
.
</list>
<head id="hl31">
Vor	w6856
der	w6857
Stadt	w6858
<g/>
.
</head>
<list id="">
Dem	w6860
Christoph	w6861
Duterstat	w6862
<g/>
/
Schnür	w6864
<g/>
=
Machern	w6866
<g/>
/
s	w6868
<g/>
.
K	w6870
<g/>
.
Cath	w6872
<g/>
.
<g/>
/
beyn	w6875
3	w6876
<g/>
.
Königen	w6878
am	w6879
Neubau	w6880
<g/>
/
alt	w6882
6	w6883
<g/>
.
Viertl	w6885
J	w6886
<g/>
.
Dem	w6888
Peter	w6889
Frank	w6890
<g/>
/
Schuh	w6892
<g/>
=
Machern	w6894
<g/>
/
s	w6896
<g/>
.
K	w6898
<g/>
.
Maria	w6900
<g/>
/
im	w6902
Steinmetzis	w6903
<g/>
.
H	w6905
<g/>
.
ausserm	w6907
Neubau	w6908
<g/>
/
alt	w6910
7	w6911
<g/>
.
Viertl	w6913
<g/>
.
Dem	w6915
Joh	w6916
<g/>
.
Agen	w6918
<g/>
/
Schuh	w6920
<g/>
=
Machern	w6922
<g/>
/
s	w6924
<g/>
.
K	w6926
<g/>
.
Barb	w6928
<g/>
.
<g/>
/
im	w6931
erst	w6932
<g/>
=
bemeldten	w6934
H	w6935
<g/>
.
<g/>
/
alt	w6938
6	w6939
<g/>
.
Viertl	w6941
J	w6942
<g/>
.
Dem	w6944
Mathias	w6945
Weik	w6946
<g/>
/
Schuh	w6948
<g/>
=
Machern	w6950
<g/>
/
s	w6952
<g/>
.
K	w6954
<g/>
.
Ther	w6956
<g/>
.
<g/>
/
bey	w6959
der	w6960
golden	w6961
Kugl	w6962
in	w6963
Liechtenthal	w6964
<g/>
/
alt	w6966
6	w6967
<g/>
.
J	w6969
<g/>
.
</list>
<list id="">
Dem	w6971
Georg	w6972
Dietz	w6973
<g/>
/
Vorreitern	w6975
<g/>
/
s	w6977
<g/>
.
K	w6979
<g/>
.
Magd	w6981
<g/>
.
<g/>
/
beym	w6984
weissen	w6985
Rössel	w6986
zu	w6987
Margrethen	w6988
<g/>
/
alt	w6990
5	w6991
<g/>
.
Viertl	w6993
J	w6994
<g/>
.
Dorothe	w6996
Kranin	w6997
<g/>
/
lediges	w6999
Mensch	w7000
<g/>
/
beym	w7002
roten	w7003
Krebsen	w7004
ausserm	w7005
Neubau	w7006
<g/>
/
alt	w7008
52	w7009
<g/>
.
J	w7011
<g/>
.
</list>
<head id="hl32">
Den	w7013
9	w7014
<g/>
.
Septemb	w7016
<g/>
.
</head>
<head id="hl33">
Jn	w7018
der	w7019
Stadt	w7020
<g/>
.
</head>
<list id="">
Herr	w7022
Georg	w7023
Nek	w7024
<g/>
/
sub	w7026
Cantor	w7027
<g/>
-
und	w7029
Bassist	w7030
bey	w7031
St	w7032
<g/>
.
Stephan	w7034
<g/>
/
in	w7036
s	w7037
<g/>
.
Quartier	w7039
alda	w7040
<g/>
/
alt	w7042
74	w7043
<g/>
.
J	w7045
<g/>
.
Dem	w7047
Hern	w7048
Jos	w7049
<g/>
.
Mitterstiller	w7051
<g/>
/
Printz	w7053
Eugenisch	w7054
<g/>
.
Gua=darobba	w7056
<g/>
=
<g/>
/
s	w7059
<g/>
.
K	w7061
<g/>
.
Sophia	w7063
<g/>
/
auf	w7065
der	w7066
Mehl	w7067
<g/>
=
Gruben	w7069
<g/>
/
alt	w7071
5	w7072
<g/>
.
Viertl	w7074
J	w7075
<g/>
.
Niclas	w7077
Meidinger	w7078
<g/>
/
Guardi	w7080
<g/>
=
Soldat	w7082
<g/>
/
auf	w7084
der	w7085
Schotten	w7086
<g/>
=
Pastey	w7088
<g/>
/
alt	w7090
28	w7091
<g/>
.
J	w7093
<g/>
.
</list>
<head id="hl34">
Vor	w7095
der	w7096
Stadt	w7097
<g/>
.
</head>
<list id="">
Mathias	w7099
Löw	w7100
<g/>
/
B	w7102
<g/>
.
Lederer	w7104
<g/>
/
in	w7106
s	w7107
<g/>
.
H	w7109
<g/>
.
in	w7111
der	w7112
Leopold=stad	w7113
<g/>
=
<g/>
/
alt	w7116
51	w7117
<g/>
.
J	w7119
<g/>
.
Dem	w7121
Thom	w7122
<g/>
.
Hillebrand	w7124
<g/>
/
Bestand	w7126
<g/>
=
Wirt	w7128
<g/>
/
s	w7130
<g/>
.
K	w7132
<g/>
.
Conrad	w7134
<g/>
/
bey	w7136
der	w7137
Heil	w7138
<g/>
.
Dreyfaltigkeit	w7140
ausser	w7141
Maria	w7142
Hilf	w7143
<g/>
