<doc id="wr_1763-06-01" attrs="word" year="1763" month="06" day="01" corpus="2">
<head id="h2_d763e3650">
Genua	w1_d763e3654
Keller	w3_d763e26732
zu	w5_d763e26735
verlassen,	w7_d763e26738
wer	w9_d763e26741
solches	w11_d763e26744
bestehen	w13_d763e26748
will	w15_d763e26751
kan	w1_d763e26756
sich	w3_d763e26759
gegenüber	w5_d763e26762
im	w7_d763e26765
Geschwandnerischen	w9_d763e26768
Haus	w11_d763e26771
bey	w1_d763e26777
dem	w3_d763e26780
Hausmeister	w5_d763e26783
anfragen.	w7_d763e26786
</p>
<list id="l52_d763e26789">
Wir	w1_d763e26793
Burgermeister=amts=verwalter	w3_d763e26796
und	w5_d763e26799
Raht	w7_d763e26802
</list>
<p id="p54_d763e26806">
Wir	w1_d763e26810
Burgermeister=amts=verwalter	w3_d763e26813
und	w5_d763e26816
Raht	w7_d763e26819
der	w1_d763e26824
Stadt	w3_d763e26827
Wien	w5_d763e26830
geben	w7_d763e26833
allen	w9_d763e26836
und	w11_d763e26839
jeden,	w13_d763e26843
so	w15_d763e26846
an	w17_d763e26849
weil.	w19_d763e26852
Hrn.	w1_d763e26857
Joseph	w3_d763e26860
Hirschegger,	w5_d763e26863
gewesten	w7_d763e26866
Gemeiner	w9_d763e26869
Stadt	w1_d763e26875
Wien	w3_d763e26878
Ober=cammer=amts=caßier	w5_d763e26881
allhier	w7_d763e26884
seel.	w1_d763e26889
Verlassenschaft	w3_d763e26892
Sprüch	w5_d763e26895
und	w7_d763e26898
Anforderungen	w9_d763e26901
haben	w1_d763e26906
oder	w3_d763e26909
zu	w5_d763e26912
haben	w7_d763e26915
vermeinen;	w9_d763e26918
Es	w11_d763e26921
seye	w13_d763e26925
um	w15_d763e26928
Erb	w17_d763e26931
schaftz,	w1_d763e26936
Geld,	w3_d763e26939
Schulden,	w5_d763e26942
oder	w7_d763e26945
anderes,	w9_d763e26948
wie	w11_d763e26951
das	w13_d763e26955
im	w15_d763e26958
mer	w1_d763e26964
genennet	w3_d763e26967
werden	w5_d763e26970
kan	w7_d763e26973
oder	w9_d763e26976
mag,	w11_d763e26979
hiemit	w13_d763e26983
zu	w15_d763e26986
vernehmen:	w1_d763e26991
daß	w3_d763e26994
wir	w5_d763e26997
entschlossen	w7_d763e27000
seynd,	w9_d763e27003
jetztberühr	w11_d763e27006
te	w1_d763e27011
Sprüch	w3_d763e27014
auf	w5_d763e27017
den	w7_d763e27020
22.	w9_d763e27023
Monats=tag	w11_d763e27026
Junii	w13_d763e27030
laufen	w15_d763e27033
den	w1_d763e27038
1763sten	w3_d763e27041
Jahrs	w5_d763e27044
auf	w7_d763e27047
unser	w9_d763e27050
und	w11_d763e27053
Gemeiner	w13_d763e27057
Stadt=raht	w1_d763e27063
haus	w3_d763e27066
solchergestalten	w5_d763e27069
zu	w7_d763e27072
hören	w9_d763e27075
zu	w11_d763e27078
ver	w13_d763e27082
nehmen,	w1_d763e27087
und	w3_d763e27090
was	w5_d763e27093
sich	w7_d763e27096
hierauf	w9_d763e27099
gebühret,	w11_d763e27102
zu	w13_d763e27106
handeln,	w15_d763e27109
daß	w1_d763e27114
anstatt	w3_d763e27117
deren	w5_d763e27120
sonst	w7_d763e27123
gebräuchigen	w9_d763e27126
dreyen	w11_d763e27129
Edicten	w13_d763e27133
zu	w1_d763e27138
Abschneidung	w3_d763e27141
aller	w5_d763e27144
Weitläuftigkeiten	w7_d763e27147
diese	w9_d763e27150
Sack	w11_d763e27153
auf	w1_d763e27159
einmal	w3_d763e27162
hindan	w5_d763e27165
geleget	w7_d763e27168
werden	w9_d763e27171
solle:	w11_d763e27174
Erforde	w13_d763e27178
ren	w1_d763e27183
und	w3_d763e27186
citiren	w5_d763e27189
demnach	w7_d763e27192
alle	w9_d763e27195
Jntereßirte	w11_d763e27198
hiemit	w13_d763e27202
superperemptorie	w1_d763e27207
und	w3_d763e27210
sub	w5_d763e27213
omni	w7_d763e27216
clausula,	w9_d763e27219
daß	w11_d763e27222
sie	w13_d763e27226
entweders	w1_d763e27231
selbst	w3_d763e27234
persönlich,	w5_d763e27237
oder	w7_d763e27240
aber	w9_d763e27243
durch	w11_d763e27246
hiezu	w13_d763e27250
genugsam	w1_d763e27256
bevollmächtigte	w3_d763e27259
Gewalttragere	w5_d763e27262
auf	w7_d763e27265
ob	w9_d763e27268
bemelten	w1_d763e27273
Tag	w3_d763e27276
fruhe	w5_d763e27279
um	w7_d763e27282
8.	w9_d763e27285
Uhr,	w11_d763e27288
oder	w13_d763e27292
da	w15_d763e27295
wir	w17_d763e27298
selbi	w19_d763e27301
gen	w1_d763e27306
Tags	w3_d763e27309
etwann	w5_d763e27312
anderer	w7_d763e27315
Geschäften	w9_d763e27318
halber	w11_d763e27321
nicht	w13_d763e27325
zu	w1_d763e27330
Raht	w3_d763e27333
sitzeten,	w5_d763e27336
denn	w7_d763e27339
nächst	w9_d763e27342
darauf	w11_d763e27345
folgenden	w13_d763e27349
Rahts=tag	w1_d763e27355
vor	w3_d763e27358
uns	w5_d763e27361
erscheinen,	w7_d763e27364
allda	w9_d763e27367
ihre	w11_d763e27370
Forde	w13_d763e27374
</p>
<p id="p56_d763e27377">
rungen	w1_d763e27381
schrift	w3_d763e27384
oder	w5_d763e27387
mändlich	w7_d763e27390
anbringen,	w9_d763e27393
rechts	w11_d763e27396
beständig	w1_d763e27401
liquidiren,	w3_d763e27404
und	w5_d763e27407
nicht	w7_d763e27410
ausbeiben,	w9_d763e27413
und	w11_d763e27416
zwaj	w13_d763e27420
mit	w1_d763e27425
dieser	w3_d763e27428
Commination;	w5_d763e27431
daß,	w7_d763e27434
es	w9_d763e27437
erscheine	w11_d763e27440
darbey	w13_d763e27444
ein	w1_d763e27450
Theil	w3_d763e27453
oder	w5_d763e27456
nicht,	w7_d763e27459
der	w9_d763e27462
Anwesende	w11_d763e27465
mit	w13_d763e27469
seiner	w15_d763e27472
Nohtdurft	w1_d763e27477
nichtsdestoweniger	w3_d763e27480
angehöret,	w5_d763e27483
und	w7_d763e27486
darü	w9_d763e27489
ber,	w1_d763e27494
was	w3_d763e27497
Rechtens	w5_d763e27500
ist,	w7_d763e27503
erkennet,	w9_d763e27506
auch	w11_d763e27509
mit	w13_d763e27513
der	w15_d763e27516
Ver	w17_d763e27519
lassenschafts=abhandlung	w1_d763e27524
fürgegangen	w3_d763e27527
werden	w5_d763e27530
solle.	w7_d763e27533
Wornach	w1_d763e27539
sich	w3_d763e27542
ein	w5_d763e27545
jeder	w7_d763e27548
zu	w9_d763e27551
richten,	w11_d763e27554
und	w13_d763e27558
vor	w15_d763e27561
Scha	w17_d763e27564
den	w1_d763e27569
zu	w3_d763e27572
hüten	w5_d763e27575
wissen	w7_d763e27578
wird.	w9_d763e27581
</p>
<p id="p58_d763e27584">
Esist	w1_d763e27588
in	w3_d763e27591
der	w5_d763e27594
Lasdesfürstl.	w7_d763e27597
Cränitz=siadt	w9_d763e27600
Häif	w11_d763e27603
burg	w1_d763e27608
in	w3_d763e27611
Oesterreich	w5_d763e27614
auf	w7_d763e27617
dem	w9_d763e27620
Platz	w11_d763e27623
nächst	w13_d763e27627
der	w15_d763e27630
Pfarr	w17_d763e27633
kirchen	w1_d763e27638
eine	w3_d763e27641
Behausung	w5_d763e27644
mit	w7_d763e27647
einem	w9_d763e27650
Ziegel=dach,	w11_d763e27653
so	w1_d763e27659
allerdings	w3_d763e27662
bey	w5_d763e27665
guten	w7_d763e27668
Bau,	w9_d763e27671
alltäglich	w11_d763e27674
zu	w13_d763e27678
verkau	w15_d763e27681
fen.	w1_d763e27686
Diese	w3_d763e27689
Behausung	w5_d763e27692
hat	w7_d763e27695
einen	w9_d763e27698
guten	w11_d763e27701
Keller	w13_d763e27705
auf	w15_d763e27708
200.	w1_d763e27713
Emmer,	w3_d763e27716
eine	w5_d763e27719
doppelte	w7_d763e27722
Einfahrt,	w9_d763e27725
eine	w11_d763e27728
gewölb	w13_d763e27732
te	w1_d763e27737
Stallung	w3_d763e27740
auf	w5_d763e27743
6.	w7_d763e27746
Pferde,	w9_d763e27749
3.	w11_d763e27752
Wagen	w13_d763e27756
Stellungen.	w15_d763e27759
Zu	w1_d763e27765
ebener	w3_d763e27768
Erden	w5_d763e27771
befinden	w7_d763e27774
sich	w9_d763e27777
2.	w11_d763e27780
Zimmer,	w13_d763e27784
3.	w15_d763e27787
grosse	w17_d763e27790
Gewölber,	w1_d763e27795
eine	w3_d763e27798
grosse	w5_d763e27801
Speis=kuchen,	w7_d763e27804
und	w9_d763e27807
insbe	w11_d763e27810
sondere	w1_d763e27815
eine	w3_d763e27818
Wasch=kuchen	w5_d763e27821
mit	w7_d763e27824
eingemauerten	w9_d763e27827
Wasch=kesseln.	w1_d763e27832
Jm	w3_d763e27835
ersten	w5_d763e27838
Stock	w7_d763e27841
ist	w9_d763e27844
ein	w11_d763e27847
Saal,	w13_d763e27851
7.	w15_d763e27854
Zim	w17_d763e27857
mer,	w1_d763e27863
dann	w3_d763e27866
eine	w5_d763e27869
grosse	w7_d763e27872
Kuchen,	w9_d763e27875
darob	w11_d763e27878
befindet	w13_d763e27882
sich	w15_d763e27885
ein	w17_d763e27888
Schütt=boden	w1_d763e27893
auf	w3_d763e27896
mehrere	w5_d763e27899
1000.	w7_d763e27902
Mätzen	w9_d763e27905
Körner.	w11_d763e27908
Nebst	w1_d763e27913
deme	w3_d763e27916
gehöret	w5_d763e27919
zu	w7_d763e27922
dieser	w9_d763e27925
Behrusung	w11_d763e27928
ein	w13_d763e27932
etwel	w15_d763e27935
che	w1_d763e27940
Schritt	w3_d763e27943
davon	w5_d763e27946
entlegenes	w7_d763e27949
Haus	w9_d763e27952
gärtel	w11_d763e27955
Wann	w13_d763e27959
nun	w1_d763e27965
etwann	w3_d763e27968
einem	w5_d763e27971
Hrn.	w7_d763e27974
Officier,	w9_d763e27977
oder	w11_d763e27980
sonst	w13_d763e27984
jen	w15_d763e27987
an	w17_d763e27990
den,	w1_d763e27995
dersich	w3_d763e27998
in	w5_d763e28001
die	w7_d763e28004
Ruhe	w9_d763e28007
zu	w11_d763e28010
begeben,	w13_d763e28014
und	w15_d763e28017
dieses	w17_d763e28020
Haus	w19_d763e28023
samt	w1_d763e28028
Gärtel	w3_d763e28031
an	w5_d763e28034
sich	w7_d763e28037
zu	w9_d763e28040
bringen	w11_d763e28043
gefällig,	w13_d763e28047
der	w15_d763e28050
beliebe	w17_d763e28053
sich	w1_d763e28058
zu	w3_d763e28061
Hainburg	w5_d763e28064
bey	w7_d763e28067
Hrn.	w9_d763e28070
Sumer,	w11_d763e28073
Burgerl.	w13_d763e28077
Lebzelter,	w1_d763e28083
oder	w3_d763e28086
allhier	w5_d763e28089
zu	w7_d763e28092
Wien	w9_d763e28095
in	w11_d763e28098
der	w13_d763e28102
Singer=straße	w15_d763e28105
in	w1_d763e28110
dem	w3_d763e28113
Jäger=amt,	w5_d763e28116
im	w7_d763e28119
dritten	w9_d763e28122
Stock	w11_d763e28125
anzumel	w13_d763e28129
den.	w1_d763e28134
</p>
<list id="l60_d763e28138">
Esist	w1_d763e28142
in	w3_d763e28145
der	w5_d763e28148
Lasdesfürstl.	w7_d763e28151
Cränitz=siadt	w9_d763e28154
Häif	w11_d763e28157
</list>
<p id="p62_d763e28161">
Von	w1_d763e28165
der	w3_d763e28168
Hochgräfl.	w5_d763e28171
Walseggischen	w7_d763e28174
Judicii	w9_d763e28177
Deleg.	w11_d763e28180
der	w1_d763e28185
Herrschaft	w3_d763e28188
Tribuswinkel	w5_d763e28191
wegen,	w7_d763e28194
wird	w9_d763e28197
hiemit	w11_d763e28200
jedermann	w1_d763e28205
kund	w3_d763e28208
und	w5_d763e28211
zu	w7_d763e28214
wissen	w9_d763e28217
gemacht:	w11_d763e28220
Es	w13_d763e28224
seye	w15_d763e28227
bey	w1_d763e28233
der	w3_d763e28236
den	w5_d763e28239
14.	w7_d763e28242
dies	w9_d763e28245
Monats	w11_d763e28248
May	w13_d763e28252
auf	w15_d763e28255
Anlangen	w17_d763e28258
des	w1_d763e28263
Cortesischen	w3_d763e28266
Verlassenschafts	w5_d763e28269
Curatoris	w7_d763e28272
Hrn.	w9_d763e28275
Franz	w1_d763e28280
Xavert	w3_d763e28283
Leonhard	w5_d763e28286
Högg,	w7_d763e28289
J.	w9_d763e28292
U.	w11_d763e28295
D.	w13_d763e28299
auch	w15_d763e28302
K.	w17_d763e28305
K.	w19_d763e28308
Hofkriegsrahts	w1_d763e28313
und	w3_d763e28316
Gerichts=advocatens	w5_d763e28319
ange	w7_d763e28322
ordnet	w1_d763e28328
gewesten	w3_d763e28331
Tagsatzung	w5_d763e28334
unter	w7_d763e28337
anderen	w9_d763e28340
veran	w11_d763e28343
lasset	w1_d763e28348
worden;	w3_d763e28351
daß	w5_d763e28354
die	w7_d763e28357
Cortesisch	w9_d763e28360
u	w11_d763e28363
Tribuswinkel	w13_d763e28367
gelegene	w1_d763e28372
Mühl	w3_d763e28375
samt	w5_d763e28378
Zugehörde	w7_d763e28381
licitando	w9_d763e28384
verkau	w11_d763e28387
fet	w1_d763e28392
werden	w3_d763e28395
solle.	w5_d763e28398
Diesemnach	w7_d763e28401
werden	w9_d763e28404
diejenige,	w11_d763e28407
so	w1_d763e28413
gleich	w3_d763e28416
gedachte	w5_d763e28419
Mühl	w7_d763e28422
samt	w9_d763e28425
Zugehörde,	w11_d763e28428
etwann	w13_d763e28432
käuflich	w1_d763e28437
zu	w3_d763e28440
übernehmen	w5_d763e28443
gesinnet,	w7_d763e28446
den	w9_d763e28449
23.	w11_d763e28452
künftigen	w13_d763e28456
Monats	w1_d763e28461
Julii	w3_d763e28464
fruhe	w5_d763e28467
um	w7_d763e28470
9.	w9_d763e28473
Uhr	w11_d763e28476
in	w13_d763e28480
der	w15_d763e28483
Herrschafts	w17_d763e28486
canzley	w1_d763e28491
zu	w3_d763e28494
Tribuswinkel	w5_d763e28497
zu	w7_d763e28500
erscheinen	w9_d763e28503
belieben,	w11_d763e28506
wo	w1_d763e28512
sodann	w3_d763e28515
mit	w5_d763e28518
dem	w7_d763e28521
Meistbietenden	w9_d763e28524
das	w11_d763e28527
Behörige	w13_d763e28531
tractiret	w1_d763e28536
werden	w3_d763e28539
solle.	w5_d763e28542
</p>
<list id="l64_d763e28545">
Von	w1_d763e28549
der	w3_d763e28552
Hochgräfl.	w5_d763e28555
Walseggischen	w7_d763e28558
Judicii	w9_d763e28561
Deleg.	w11_d763e28564
</list>
<list id="l66_d763e28568">
Den	w1_d763e28572
8.	w3_d763e28575
und	w5_d763e28578
9.	w7_d763e28581
Joni	w9_d763e28584
1763.	w11_d763e28587
Wermitigs	w13_d763e28591
voen	w15_d763e28594
9.	w17_d763e28597
</list>
<p id="p68_d763e28601">
Den	w1_d763e28605
8.	w3_d763e28608
und	w5_d763e28611
9.	w7_d763e28614
Joni	w9_d763e28617
1763.	w11_d763e28620
Wermitigs	w13_d763e28624
voen	w15_d763e28627
9.	w17_d763e28630
bis	w1_d763e28635
12.	w3_d763e28638
und	w5_d763e28641
Nachmittag	w7_d763e28644
von	w9_d763e28647
3.	w11_d763e28650
bis	w13_d763e28654
6.	w15_d763e28657
Uhr	w17_d763e28660
werden	w19_d763e28663
in	w1_d763e28668
dem	w3_d763e28671
Jacober=haus	w5_d763e28674
auf	w7_d763e28677
der	w9_d763e28680
Sailer=stadt	w11_d763e28683
nächst	w13_d763e28687
den	w1_d763e28693
Versatz=amt	w3_d763e28696
über	w5_d763e28699
die	w7_d763e28702
Haupt=stiegen	w9_d763e28705
im	w11_d763e28708
3ten	w13_d763e28712
Stock	w1_d763e28717
verschiedene	w3_d763e28720
Verlassenschaft=effecten,	w5_d763e28723
als	w7_d763e28726
Kleider,	w1_d763e28731
Wäsch,	w3_d763e28734
rc.	w5_d763e28737
dann	w7_d763e28740
verschiedene	w9_d763e28743
gute	w11_d763e28746
Mahle	w13_d763e28750
renen	w1_d763e28755
und	w3_d763e28758
Französische	w5_d763e28761
Kupfer=stiche	w7_d763e28764
licitando	w9_d763e28767
plus	w11_d763e28770
offerenti	w1_d763e28776
verkaufet	w3_d763e28779
werden.	w5_d763e28782
</p>
<p id="p72_d763e28788">
Von	w1_d763e28792
des	w3_d763e28795
Löbl.	w5_d763e28798
Stift	w7_d763e28801
und	w9_d763e28804
würdigen	w11_d763e28807
unser	w13_d763e28811
lie	w15_d763e28814
ben	w1_d763e28819
Frauen	w3_d763e28822
Gottes=haus	w5_d763e28825
zu	w7_d763e28828
den	w9_d763e28831
Schotten	w11_d763e28834
in	w13_d763e28838
Wien	w15_d763e28841
bestellten	w1_d763e28846
Grund=gerichts	w3_d763e28849
wegen,	w5_d763e28852
wird	w7_d763e28855
hiemit	w9_d763e28858
je	w11_d763e28861
dermänniglich	w1_d763e28867
zu	w3_d763e28870
vernehmen	w5_d763e28873
gegeben:	w7_d763e28876
Es	w9_d763e28879
habe	w11_d763e28882
Hr.	w13_d763e28886
Advocatus	w1_d763e28891
adjunctus	w3_d763e28894
c.	w5_d763e28897
p.	w7_d763e28900
als	w9_d763e28903
Vertretter	w11_d763e28906
des	w13_d763e28910
all	w15_d763e28913
hiesigen	w1_d763e28918
Versatz=amts,	w3_d763e28921
wider	w5_d763e28924
(Titl.)	w7_d763e28927
Frau	w9_d763e28930
Mariam	w11_d763e28933
Theresiam	w1_d763e28938
Freyin	w3_d763e28941
Dominique,	w5_d763e28944
geb.	w7_d763e28947
Gräfin	w9_d763e28950
von	w11_d763e28953
Goll	w1_d763e28959
über	w3_d763e28962
die	w5_d763e28965
wegen	w7_d763e28968
denen	w9_d763e28971
in	w11_d763e28974
der	w13_d763e28978
Weyhburggas	w15_d763e28981
sen	w1_d763e28986
gelegenen	w3_d763e28989
zweyen	w5_d763e28992
Gräfl.	w7_d763e28995
v.	w9_d763e28998
Gollischen	w11_d763e29001
Behau	w13_d763e29005
fungen	w1_d763e29010
in	w3_d763e29013
Ermanglung	w5_d763e29016
einiger	w7_d763e29019
Kaufer,	w9_d763e29022
bey	w11_d763e29025
der	w13_d763e29029
den	w1_d763e29034
11.	w3_d763e29037
Decemb.	w5_d763e29040
vorigen	w7_d763e29043
Jahrs	w9_d763e29046
bestimmt	w11_d763e29049
gewesten	w13_d763e29053
aber	w1_d763e29059
fruchtlos	w3_d763e29062
verstrichenen	w5_d763e29065
Licitations=tagsatzung	w7_d763e29068
um	w1_d763e29073
Ausfertigung	w3_d763e29076
eines	w5_d763e29079
weiteren	w7_d763e29082
Licitations=edicts	w9_d763e29085
unterm	w1_d763e29090
16.	w3_d763e29093
April	w5_d763e29096
a.	w7_d763e29099
c.	w9_d763e29102
gebetten,	w11_d763e29105
worein	w13_d763e29109
unterein	w15_d763e29112
stens	w1_d763e29117
auch	w3_d763e29120
gewilliget,	w5_d763e29123
worden;	w7_d763e29126
als	w9_d763e29129
wird	w11_d763e29132
zu	w13_d763e29136
sol	w15_d763e29139
chem	w1_d763e29145
Ende	w3_d763e29148
dann	w5_d763e29151
auch	w7_d763e29154
hiemit	w9_d763e29157
der	w11_d763e29160
4te	w13_d763e29164
künftigen	w15_d763e29167
Mo	w17_d763e29170
nats	w1_d763e29175
Junii	w3_d763e29178
Vormittag	w5_d763e29181
um	w7_d763e29184
9.	w9_d763e29187
Uhr	w11_d763e29190
für	w13_d763e29194
diesseitig	w15_d763e29197
bestellte	w1_d763e29202
Grund=gericht	w3_d763e29205
zu	w5_d763e29208
erscheinen	w7_d763e29211
zu	w9_d763e29214
dergestal	w11_d763e29217
ten	w1_d763e29222
peremptorie	w3_d763e29225
clausulirten	w5_d763e29228
Licitationstagsa	w7_d763e29231
tzung	w1_d763e29237
bestimmet,	w3_d763e29240
und	w5_d763e29243
per	w7_d763e29246
Edictum	w9_d763e29249
ad	w11_d763e29252
valvas	w13_d763e29256
inti-	w15_d763e29259
miret	w1_d763e29264
wird,	w3_d763e29267
daß	w5_d763e29270
allda	w7_d763e29273
mit	w9_d763e29276
dem	w11_d763e29279
vorkommend	w13_d763e29283
Meist	w15_d763e29286
bietenden	w1_d763e29291
der	w3_d763e29294
Kauf	w5_d763e29297
um	w7_d763e29300
ersagt	w9_d763e29303
Gräfl.	w11_d763e29306
Gollischen	w13_d763e29310
Häusern	w1_d763e29315
ex	w3_d763e29318
officio	w5_d763e29321
geschlossen,	w7_d763e29324
und	w9_d763e29327
gegen	w11_d763e29330
baaren	w13_d763e29334
Erlag	w1_d763e29340
des	w3_d763e29343
tractirenden	w5_d763e29346
Kauf=schillings	w7_d763e29349
käuflich	w9_d763e29352
überlassen	w1_d763e29357
werden	w3_d763e29360
sollen.	w5_d763e29363
Demnach	w7_d763e29366
all	w9_d763e29369
diejenige,	w11_d763e29372
welche	w1_d763e29377
berührte	w3_d763e29380
Häuser	w5_d763e29383
käuflich	w7_d763e29386
an	w9_d763e29389
sich	w11_d763e29392
zu	w13_d763e29396
brin	w15_d763e29399
gen	w1_d763e29404
gedenken,	w3_d763e29407
an	w5_d763e29410
obbestimmtem	w7_d763e29413
Tag	w9_d763e29416
und	w11_d763e29419
Stund	w13_d763e29423
zu	w1_d763e29429
erscheinen,	w3_d763e29432
und	w5_d763e29435
sich	w7_d763e29438
hiernach	w9_d763e29441
zu	w11_d763e29444
richten	w13_d763e29448
wissen	w15_d763e29451
werden.	w1_d763e29456
</p>
<list id="l74_d763e29459">
Von	w1_d763e29463
des	w3_d763e29466
Löbl.	w5_d763e29469
Stift	w7_d763e29472
und	w9_d763e29475
würdigen	w11_d763e29478
unser	w13_d763e29482
lie	w15_d763e29485
</list>
<list id="l76_d763e29489">
Von	w1_d763e29493
dem	w3_d763e29496
Grundbuch	w5_d763e29499
des	w7_d763e29502
Kais.	w9_d763e29505
Conviets	w11_d763e29508
ad	w13_d763e29512
</list>
<p id="p78_d763e29516">
Von	w1_d763e29520
dem	w3_d763e29523
Grundbuch	w5_d763e29526
des	w7_d763e29529
Kais.	w9_d763e29532
Conviets	w11_d763e29535
ad	w13_d763e29539
S.	w1_d763e29544
Barbaram	w3_d763e29547
allhier	w5_d763e29550
als	w7_d763e29553
Herrschaft	w9_d763e29556
Azgerstorf	w11_d763e29559
we	w13_d763e29563
gen,	w1_d763e29568
wird	w3_d763e29571
jedermänniglich	w5_d763e29574
kund	w7_d763e29577
und	w9_d763e29580
zu	w11_d763e29583
wissen	w13_d763e29587
gemacht,	w1_d763e29593
daß	w3_d763e29596
die	w5_d763e29599
Anna	w7_d763e29602
Maria	w9_d763e29605
Rohrerin	w11_d763e29608
behau	w13_d763e29612
ste	w1_d763e29617
Unterthanin	w3_d763e29620
und	w5_d763e29623
Wittib	w7_d763e29626
zu	w9_d763e29629
Azgerstorf	w11_d763e29632
wegen	w13_d763e29636
eingeklagt	w1_d763e29641
und	w3_d763e29644
auf	w5_d763e29647
des	w7_d763e29650
Thomas	w9_d763e29653
Caspar	w11_d763e29656
eigen	w13_d763e29660
thümlich	w1_d763e29665
zu	w3_d763e29668
Azgerstorf	w5_d763e29671
gelegen	w7_d763e29674
und	w9_d763e29677
diesseitigen	w11_d763e29680
Grundbuch	w1_d763e29686
unterthänig	w3_d763e29689
dienstbaren	w5_d763e29692
Behausung	w7_d763e29695
haftenden	w1_d763e29700
Satz=capital	w3_d763e29703
die	w5_d763e29706
öffentliche	w7_d763e29709
Ausfeilung	w9_d763e29712
und	w1_d763e29717
gerichtlichen	w3_d763e29720
Verkauf	w5_d763e29723
ermeldter	w7_d763e29726
Behausung	w9_d763e29729
in	w1_d763e29734
ordine	w3_d763e29737
Execationis	w5_d763e29740
den	w7_d763e29743
8ten	w9_d763e29746
Junii	w11_d763e29749
1762.	w13_d763e29753
be	w15_d763e29756
würket.	w1_d763e29762
Wie	w3_d763e29765
zumalen	w5_d763e29768
aber	w7_d763e29771
bey	w9_d763e29774
der	w11_d763e29777
den	w13_d763e29781
20sten	w15_d763e29784
Aug.	w1_d763e29789
vorigen	w3_d763e29792
Jahrs	w5_d763e29795
allschon	w7_d763e29798
angeordnet	w9_d763e29801
gewesten	w11_d763e29804
ersten	w1_d763e29809
Licitations=tagsatzung	w3_d763e29812
sich	w5_d763e29815
kein	w7_d763e29818
Käufer	w9_d763e29821
her	w11_d763e29824
vorgethan;	w1_d763e29829
als	w3_d763e29832
wird	w5_d763e29835
zu	w7_d763e29838
dem	w9_d763e29841
Ende	w11_d763e29844
eine	w13_d763e29848
anderwei	w15_d763e29851
tige	w1_d763e29857
Licitations	w3_d763e29860
Tagsatzung	w5_d763e29863
auf	w7_d763e29866
den	w9_d763e29869
7.	w11_d763e29872
künftigen	w13_d763e29876
Monats	w1_d763e29881
Junii	w3_d763e29884
fruhe	w5_d763e29887
um	w7_d763e29890
9.	w9_d763e29893
Uhr	w11_d763e29896
angeordnet.	w13_d763e29900
Sol	w15_d763e29903
chemnach	w1_d763e29908
haben	w3_d763e29911
alle	w5_d763e29914
und	w7_d763e29917
jede,	w9_d763e29920
welche	w11_d763e29923
besagte	w13_d763e29927
Tho	w15_d763e29930
mas	w1_d763e29935
Casparische	w3_d763e29938
Behausung	w5_d763e29941
samt	w7_d763e29944
dem	w9_d763e29947
hierauf	w11_d763e29950
haftenden	w1_d763e29956
Schuster=gewerb	w3_d763e29959
käuflich	w5_d763e29962
an	w7_d763e29965
sich	w9_d763e29968
zu	w11_d763e29971
brin	w13_d763e29975
gen	w1_d763e29980
willens,	w3_d763e29983
an	w5_d763e29986
obbemeldtem	w7_d763e29989
Tag	w9_d763e29992
und	w11_d763e29995
Stund	w13_d763e29999
entweder	w1_d763e30004
selbst,	w3_d763e30007
oder	w5_d763e30010
durch	w7_d763e30013
genugsam	w9_d763e30016
Bevollmäch	w11_d763e30019
tigte	w1_d763e30024
allhier	w3_d763e30027
in	w5_d763e30030
der	w7_d763e30033
Grund=stuben	w9_d763e30036
zu	w11_d763e30039
erscheinen,	w13_d763e30043
und	w1_d763e30049
sich	w3_d763e30052
behörig	w5_d763e30055
anzumelden,	w7_d763e30058
allermassen	w9_d763e30061
mit	w11_d763e30064
dem	w13_d763e30068
vorkommend	w1_d763e30073
Meistbietenden	w3_d763e30076
der	w5_d763e30079
Kauf	w7_d763e30082
gegen	w9_d763e30085
gleich	w11_d763e30088
baaren	w1_d763e30093
Erlag	w3_d763e30096
des	w5_d763e30099
pactirten	w7_d763e30102
Kauf=schillings	w9_d763e30105
ex	w11_d763e30108
officio	w1_d763e30113
geschlossen	w3_d763e30116
werden	w5_d763e30119
solle.	w7_d763e30122
</p>
<head id="h2_d763e30128">
Num.	w1_d763e30132
44.	w3_d763e30135
1763.	w5_d763e30138
</head>
<list id="l4_d763e30141">
Von	w1_d763e30145
der	w3_d763e30148
Nieder=öserreichischen	w5_d763e30151
Regieruns	w7_d763e30154
</list>
<p id="p6_d763e30158">
Von	w1_d763e30162
der	w3_d763e30165
Nieder=öserreichischen	w5_d763e30168
Regieruns	w7_d763e30171
wegen,	w1_d763e30176
wird	w3_d763e30179
mit	w5_d763e30182
gegenwärtig	w7_d763e30185
offenem	w9_d763e30188
Edict	w11_d763e30191
jedermänniglich,	w1_d763e30196
sowol	w3_d763e30199
An=als	w5_d763e30202
Abwesenden,	w7_d763e30205
deme	w9_d763e30208
daran	w1_d763e30214
gelegen,	w3_d763e30217
kund	w5_d763e30220
und	w7_d763e30223
zu	w9_d763e30226
wissen	w11_d763e30229
gemacht:	w13_d763e30233
Es	w15_d763e30236
habe	w1_d763e30241
Regierung	w3_d763e30244
nach	w5_d763e30247
erfolgt=tödtlichen	w7_d763e30250
Hintritt	w9_d763e30253
des	w1_d763e30258
weil.	w3_d763e30261
Hrn.	w5_d763e30264
August	w7_d763e30267
Otto	w9_d763e30270
Freyherrn	w11_d763e30273
von	w13_d763e30277
