<doc id="wr_1760-04-02" attrs="word" year="1760" month="04" day="02" corpus="2">
<head id="h2_d437e3044">
Civitavechia	w1_d437e3048
1.	w19_d437e13879
25.	w21_d437e13882
kr.	w23_d437e13885
</p>
<list id="l8_d437e13888">
Jn	w1_d437e13892
des	w3_d437e13895
Hermann	w5_d437e13898
Joseph	w7_d437e13901
Krüchtens,	w9_d437e13904
Buchge	w11_d437e13907
wold	w1_d437e13912
bey	w3_d437e13915
der	w5_d437e13918
Welt=kugel	w7_d437e13921
im	w9_d437e13924
Seitzer=hof,	w11_d437e13927
ist	w13_d437e13931
nach	w15_d437e13934
</list>
<p id="p10_d437e13938">
Schauplatz	w1_d437e13942
des	w3_d437e13945
gegenwärtigen	w5_d437e13948
Kriegsn	w7_d437e13951
durch	w9_d437e13954
accurate	w1_d437e13959
Plaus	w3_d437e13962
von	w5_d437e13965
denen	w7_d437e13968
wichtigsten	w9_d437e13971
Battallien,	w11_d437e13974
und	w1_d437e13979
Belagerungen,	w3_d437e13982
dritter	w5_d437e13985
Theil	w7_d437e13988
in	w9_d437e13991
20.	w11_d437e13994
illumi	w13_d437e13998
nirten	w1_d437e14004
Blättern	w3_d437e14007
vom	w5_d437e14010
Jahr	w7_d437e14013
1759.	w9_d437e14016
pr.	w11_d437e14019
3.	w13_d437e14023
fl.	w15_d437e14026
Historie	w1_d437e14031
des	w3_d437e14034
Kriegs	w5_d437e14037
zwischen	w7_d437e14040
denen	w9_d437e14043
Preussen,	w11_d437e14046
</p>
<p id="p12_d437e14050">
Gespräch	w1_d437e14054
im	w3_d437e14057
Reich	w5_d437e14060
der	w7_d437e14063
Todten	w9_d437e14066
zwischen	w11_d437e14069
dem	w13_d437e14073
fürtreflichen	w1_d437e14078
Helden	w3_d437e14081
August	w5_d437e14084
Wilhelm	w7_d437e14087
Prinzen	w9_d437e14090
von	w1_d437e14095
Preussen,	w3_d437e14098
und	w5_d437e14101
der	w7_d437e14104
mit	w9_d437e14107
ausnehmend	w11_d437e14110
edlen	w13_d437e14114
Eigenschaften	w1_d437e14120
begabten	w3_d437e14123
Fürstin	w5_d437e14126
Anna,	w7_d437e14129
verwittibten	w9_d437e14132
Erb=statthalterin	w1_d437e14137
der	w3_d437e14140
vereinigten	w5_d437e14143
Niederlanden,	w7_d437e14146
27.	w1_d437e14151
und	w3_d437e14154
28stes	w5_d437e14157
Stück,	w7_d437e14160
in	w9_d437e14163
welchen	w11_d437e14166
die	w13_d437e14170
Historie	w15_d437e14173
des	w1_d437e14178
gegenwärtigen	w3_d437e14181
Kriegs,	w5_d437e14184
und	w7_d437e14187
was	w9_d437e14190
wehrend	w11_d437e14193
des	w13_d437e14197
Monats	w1_d437e14203
October	w3_d437e14206
und	w5_d437e14209
November	w7_d437e14212
1759.	w9_d437e14215
vorgefal	w11_d437e14218
len,	w1_d437e14223
nebst	w3_d437e14226
der	w5_d437e14229
illuminirten	w7_d437e14232
Plans	w9_d437e14235
von	w11_d437e14238
der	w13_d437e14242
bey	w15_d437e14245
Peetsch	w1_d437e14250
zwischen	w3_d437e14253
dem	w5_d437e14256
Kaiserl.	w7_d437e14259
Königl.	w9_d437e14262
Ahrember	w11_d437e14265
gisch,	w1_d437e14270
und	w3_d437e14273
Königl.	w5_d437e14276
Preußisch=Finkischen,	w7_d437e14279
dann	w9_d437e14282
zwischen	w1_d437e14288
dem	w3_d437e14291
Kaiserl.	w5_d437e14294
Königl.	w7_d437e14297
Sinderischen	w9_d437e14300
und	w11_d437e14303
dem	w1_d437e14308
Königl.	w3_d437e14311
Preußisch=Finkischen	w5_d437e14314
Corpo	w7_d437e14317
bey	w9_d437e14320
Maxen	w1_d437e14325
vorgefallenen	w3_d437e14328
Actionen,	w5_d437e14331
in	w7_d437e14334
4to	w9_d437e14337
1760.	w11_d437e14340
pr.	w1_d437e14345
30.	w3_d437e14348
kr.	w5_d437e14351
</p>
<p id="p14_d437e14354">
Wir	w1_d437e14358
endes	w3_d437e14361
gefertigte	w5_d437e14364
von	w7_d437e14367
dem	w9_d437e14370
Löbl.	w11_d437e14373
Landmar	w13_d437e14377
schallischen	w1_d437e14382
Gericht	w3_d437e14385
verordnete	w5_d437e14388
Commißarii,	w7_d437e14391
ge	w9_d437e14394
ben	w1_d437e14399
hiemit	w3_d437e14402
all	w5_d437e14405
und	w7_d437e14408
jeden,	w9_d437e14411
welche	w11_d437e14414
an	w13_d437e14418
den	w15_d437e14421
Herrn	w17_d437e14424
Albert	w1_d437e14430
Freyherrn	w3_d437e14433
von	w5_d437e14436
Gudenus	w7_d437e14439
Sprüch	w9_d437e14442
und	w11_d437e14445
An	w13_d437e14449
forderungen	w1_d437e14454
haben,	w3_d437e14457
zu	w5_d437e14460
vernehmen:	w7_d437e14463
wie	w9_d437e14466
daß	w11_d437e14469
wir	w13_d437e14473
zufolge	w1_d437e14478
der,	w3_d437e14481
an	w5_d437e14484
uns	w7_d437e14487
ergangenen	w9_d437e14490
gerichtlichen	w11_d437e14493
Auflag	w1_d437e14498
zur	w3_d437e14501
Anmeld	w5_d437e14504
und	w7_d437e14507
Liquidirung	w9_d437e14510
derenselben	w11_d437e14513
Sprüchen	w1_d437e14519
ein	w3_d437e14522
superperemptorie	w5_d437e14525
clausulirte	w7_d437e14528
Con	w9_d437e14531
vocations	w1_d437e14536
und	w3_d437e14539
zugleich	w5_d437e14542
Liquidations=tagsatzung	w7_d437e14545
auf	w9_d437e14548
den	w1_d437e14553
19.	w3_d437e14556
künftigen	w5_d437e14559
Monats	w7_d437e14562
Junii,	w9_d437e14565
Nachmittag	w11_d437e14568
um	w1_d437e14573
3.	w3_d437e14576
Uhr	w5_d437e14579
in	w7_d437e14582
mein	w9_d437e14585
Freyherrn	w11_d437e14588
von	w13_d437e14592
Althenn,	w15_d437e14595
in	w17_d437e14598
dem	w1_d437e14604
Graf	w3_d437e14607
Pergischen	w5_d437e14610
Haus	w7_d437e14613
am	w9_d437e14616
hohen	w11_d437e14619
Markt	w13_d437e14623
im	w15_d437e14626
anderten	w1_d437e14631
Stock	w3_d437e14634
habenden	w5_d437e14637
Wohn=zimmern	w7_d437e14640
super-	w9_d437e14643
peremptorie	w1_d437e14648
zu	w3_d437e14651
erscheinen	w5_d437e14654
pro	w7_d437e14657
primo,	w9_d437e14660
seoundo,	w11_d437e14663
&	w1_d437e14668
tertio	w3_d437e14671
termino	w5_d437e14674
bestimmet	w7_d437e14677
haben.	w9_d437e14680
Werden	w11_d437e14683
dem	w13_d437e14687
nach	w1_d437e14693
alle	w3_d437e14696
und	w5_d437e14699
jede,	w7_d437e14702
an	w9_d437e14705
gemeldten	w11_d437e14708
Tag,	w13_d437e14712
Stund	w15_d437e14715
und	w1_d437e14720
Ort	w3_d437e14723
alsogewiß	w5_d437e14726
zu	w7_d437e14729
erscheinen,	w9_d437e14732
ihre	w11_d437e14735
habende	w13_d437e14739
Sprüche	w1_d437e14744
anzumelden,	w3_d437e14747
zugleich	w5_d437e14750
satzsam	w7_d437e14753
und	w9_d437e14756
Rechts	w11_d437e14759
beständig	w1_d437e14764
zu	w3_d437e14767
liquidiren	w5_d437e14770
haben,	w7_d437e14773
als	w9_d437e14776
im	w11_d437e14779
widrigen	w13_d437e14783
die	w1_d437e14789
Anwesende	w3_d437e14792
claßificiret,	w5_d437e14795
hierüber	w7_d437e14798
ex	w9_d437e14801
officio	w11_d437e14804
relationiret,	w1_d437e14809
und	w3_d437e14812
die	w5_d437e14815
Repartition	w7_d437e14818
verfasset,	w9_d437e14821
denen	w11_d437e14824
Ausbleibenden	w1_d437e14829
aber	w3_d437e14832
das	w5_d437e14835
ewige	w7_d437e14838
Stillschweigen	w9_d437e14841
aufer	w11_d437e14844
leget	w1_d437e14849
werden	w3_d437e14852
solle.	w5_d437e14855
Actum	w7_d437e14858
Wien	w9_d437e14861
den	w11_d437e14864
4.	w13_d437e14868
Mart.	w15_d437e14871
1760.	w17_d437e14874
Philipp	w1_d437e14880
Dillherr	w3_d437e14883
Freyherr	w5_d437e14886
von	w7_d437e14889
Althenn.	w1_d437e14894
Gabriel	w1_d437e14899
Joseph	w3_d437e14902
von	w5_d437e14905
Stettner.	w7_d437e14908
</p>
<p id="p16_d437e14911">
Den	w1_d437e14915
10.	w3_d437e14918
dieses	w5_d437e14921
Monats	w7_d437e14924
Aprilis	w9_d437e14927
werden	w11_d437e14930
unweit	w13_d437e14934
des	w1_d437e14939
alten	w3_d437e14942
Bauren	w5_d437e14945
markt	w7_d437e14948
in	w9_d437e14951
der	w11_d437e14954
sogenannten	w13_d437e14958
klei	w15_d437e14961
nen	w1_d437e14966
Lands=cron	w3_d437e14969
im	w5_d437e14972
anderten	w7_d437e14975
Stock	w9_d437e14978
verschiedene	w11_d437e14981
</p>
<p id="p22_d437e14994">
Verlassenschafts=effecten,	w1_d437e14998
als	w3_d437e15001
etwas	w5_d437e15004
Silber,	w7_d437e15007
Gal	w9_d437e15010
lanterien,	w1_d437e15015
bordirt	w3_d437e15018
und	w5_d437e15021
glatte	w7_d437e15024
Manns=kleider,	w9_d437e15027
Weiß	w1_d437e15032
und	w3_d437e15035
Tisch=zeug,	w5_d437e15038
Spiegel,	w7_d437e15041
Kästen,	w9_d437e15044
Sessel,	w11_d437e15047
Soffen,	w1_d437e15053
Uhren,	w3_d437e15056
Spallier,	w5_d437e15059
Tisch,	w7_d437e15062
schöne	w9_d437e15065
Mahle	w11_d437e15068
reyen,	w1_d437e15073
Gewehr,	w3_d437e15076
Luster,	w5_d437e15079
Borcellan,	w7_d437e15082
Behter,	w9_d437e15085
Zinn,	w1_d437e15090
Meßing	w3_d437e15093
und	w5_d437e15096
Kupfer,	w7_d437e15099
dann	w9_d437e15102
alter	w11_d437e15105
Oesterrei	w13_d437e15109
cherTockeyerOedenburgerRusterMonte	w1_d437e15114
policiano	w1_d437e15120
und	w3_d437e15123
Sicillianer	w5_d437e15126
Wein,	w7_d437e15129
Vormittags	w9_d437e15132
von	w1_d437e15137
9.	w3_d437e15140
bis	w5_d437e15143
12.,	w7_d437e15146
Nachmittags	w9_d437e15149
aber	w11_d437e15152
von	w13_d437e15156
3.	w15_d437e15159
bis	w17_d437e15162
6.	w19_d437e15165
Uhr	w1_d437e15170
dem	w3_d437e15173
Meist=bietenden	w5_d437e15176
gegen	w7_d437e15179
alsogleich	w9_d437e15182
baar	w11_d437e15185
lei	w13_d437e15189
stender	w1_d437e15194
Bezahlung	w3_d437e15197
licitando	w5_d437e15200
verkauffet,	w7_d437e15203
und	w9_d437e15206
hier	w11_d437e15209
mit	w1_d437e15215
die	w3_d437e15218
nachfolgende	w5_d437e15221
Täge	w7_d437e15224
continuiret	w9_d437e15227
werden.	w11_d437e15230
</p>
<p id="p24_d437e15234">
Von	w1_d437e15238
der	w3_d437e15241
N.	w5_d437e15244
Oe.	w7_d437e15247
Regierung	w9_d437e15250
wegen	w11_d437e15253
wird	w13_d437e15257
mit	w15_d437e15260
gegenwärtig	w1_d437e15265
offenen	w3_d437e15268
Edict	w5_d437e15271
jedermänniglich	w7_d437e15274
sowol	w9_d437e15277
An	w1_d437e15282
als	w3_d437e15285
Abwesenden,	w5_d437e15288
deme	w7_d437e15291
daran	w9_d437e15294
gelegen,	w11_d437e15297
kund	w13_d437e15301
und	w1_d437e15307
zu	w3_d437e15310
wissen	w5_d437e15313
gemacht.	w7_d437e15316
</p>
<p id="p26_d437e15319">
Es	w1_d437e15323
habe	w3_d437e15326
Regierung	w5_d437e15329
eine	w7_d437e15332
Nothdurft	w9_d437e15335
zu	w11_d437e15338
seyn	w13_d437e15342
befunden,	w1_d437e15347
über	w3_d437e15350
des	w5_d437e15353
abgelebten	w7_d437e15356
Joseph	w9_d437e15359
Eysen	w11_d437e15362
kohl,	w1_d437e15367
gewest	w3_d437e15370
Kaiserl.	w5_d437e15373
Königl.	w7_d437e15376
Caßirs	w9_d437e15379
ruckgeblie	w11_d437e15382
bene,	w1_d437e15388
und	w3_d437e15391
in	w5_d437e15394
Verfall	w7_d437e15397
gerathene	w9_d437e15400
Verlassenschaft	w11_d437e15403
einen	w1_d437e15408
ordentlichen	w3_d437e15411
Concurs	w5_d437e15414
anzuordnen,	w7_d437e15417
und	w9_d437e15420
des	w11_d437e15423
selben	w1_d437e15428
sammentliche	w3_d437e15431
sowol	w5_d437e15434
in	w7_d437e15437
als	w9_d437e15440
ausser	w11_d437e15443
Land	w13_d437e15447
befindliche	w1_d437e15452
Glaubigere	w3_d437e15455
zu	w5_d437e15458
Anmeld	w7_d437e15461
und	w9_d437e15464
Liquidi	w11_d437e15467
rung	w1_d437e15473
ihrer	w3_d437e15476
an	w5_d437e15479
erst=bemeldten	w7_d437e15482
Joseph	w9_d437e15485
Eysenkohl,	w11_d437e15488
zu	w1_d437e15493
stellen	w3_d437e15496
habender	w5_d437e15499
Sprüch	w7_d437e15502
und	w9_d437e15505
Forderungen	w11_d437e15508
einzuberuffen;	w1_d437e15513
zu	w3_d437e15516
welchem	w5_d437e15519
Ende	w7_d437e15522
denenselben	w9_d437e15525
der	w11_d437e15528
26ste	w1_d437e15533
Tag	w3_d437e15536
des	w5_d437e15539
zukünftigen	w7_d437e15542
Monats	w9_d437e15545
Aprilis	w11_d437e15548
Nach	w13_d437e15552
mittags	w1_d437e15558
um	w3_d437e15561
4.	w5_d437e15564
Uhr	w7_d437e15567
zur	w9_d437e15570
gewöhnlichen	w11_d437e15573
Tagsatzung	w13_d437e15577
für	w1_d437e15582
die	w3_d437e15585
erst	w5_d437e15588
anderte	w7_d437e15591
und	w9_d437e15594
dritte,	w11_d437e15597
auch	w13_d437e15601
all	w15_d437e15604
endliche	w17_d437e15607
Frist	w1_d437e15612
sub	w3_d437e15615
ciansula	w5_d437e15618
præclusi	w7_d437e15621
anberaumet	w9_d437e15624
worden.	w11_d437e15627
</p>
<p id="p28_d437e15630">
Solchemnach	w1_d437e15634
werden	w3_d437e15637
all	w5_d437e15640
und	w7_d437e15643
jede,	w9_d437e15646
welche	w11_d437e15649
an	w13_d437e15653
gedachten	w1_d437e15658
Joseph	w3_d437e15661
Eysenkohls	w5_d437e15664
ruckgebliebene	w7_d437e15667
Ver	w9_d437e15670
lassenschafts=massam	w1_d437e15675
ex	w3_d437e15678
quacuaque	w5_d437e15681
causa	w7_d437e15684
vel	w9_d437e15687
titulo	w1_d437e15693
Sprüch	w3_d437e15696
und	w5_d437e15699
Anforderungen	w7_d437e15702
haben,	w9_d437e15705
oder	w11_d437e15708
zu	w1_d437e15713
haben	w3_d437e15716
vermeinen,	w5_d437e15719
an	w7_d437e15722
obbestimten	w9_d437e15725
Tag	w11_d437e15728
und	w13_d437e15732
Stund	w1_d437e15737
vor	w3_d437e15740
Regierung	w5_d437e15743
in	w7_d437e15746
der	w9_d437e15749
daselbst	w11_d437e15752
zu	w13_d437e15756
solchem	w15_d437e15759
Ende	w1_d437e15764
offen	w3_d437e15767
haltenden	w5_d437e15770
Commißions=stuben,	w7_d437e15773
entweder	w9_d437e15776
selbst	w1_d437e15782
Persöhnlich,	w3_d437e15785
oder	w5_d437e15788
durch	w7_d437e15791
hiezu	w9_d437e15794
genugsam	w11_d437e15797
gevollmächtigte	w1_d437e15802
Gewalt=tragere	w3_d437e15805
also	w5_d437e15808
gewiß	w7_d437e15811
zu	w9_d437e15814
er	w11_d437e15817
scheinen,	w1_d437e15822
und	w3_d437e15825
ihre	w5_d437e15828
an	w7_d437e15831
solche	w9_d437e15834
Crida-massa	w11_d437e15837
habende	w13_d437e15841
Anforderungen	w1_d437e15846
anzumelden,	w3_d437e15849
auch	w5_d437e15852
zu	w7_d437e15855
Herstellung	w9_d437e15858
des	w1_d437e15864
erforderlich	w3_d437e15867
rechtlichen	w5_d437e15870
Beweistum	w7_d437e15873
ihre	w9_d437e15876
Schuld	w1_d437e15881
und	w3_d437e15884
Satz=brief,	w5_d437e15887
oder	w7_d437e15890
ansonst	w9_d437e15893
habende	w11_d437e15896
Liquidations	w1_d437e15901
urkunden,	w3_d437e15904
und	w5_d437e15907
rechtliche	w7_d437e15910
Behelff	w9_d437e15913
in	w11_d437e15916
beglaubten	w1_d437e15921
Abschriften	w3_d437e15924
einzulegen	w5_d437e15927
haben,	w7_d437e15930
wie	w9_d437e15933
im	w11_d437e15936
widrigen	w1_d437e15942
der	w3_d437e15945
Ausbleibende	w5_d437e15948
von	w7_d437e15951
gegenwärtiger	w9_d437e15954
Concurs-massa	w1_d437e15959
gänzlich	w3_d437e15962
ausgeschlossen	w5_d437e15965
seyn,	w7_d437e15968
und	w9_d437e15971
ihme	w1_d437e15976
diesfalls	w3_d437e15979
das	w5_d437e15982
ewige	w7_d437e15985
Stillschweigen	w9_d437e15988
auferle	w11_d437e15991
get,	w1_d437e15996
der	w3_d437e15999
nicht	w5_d437e16002
liquidirende	w7_d437e16005
aber	w9_d437e16008
in	w11_d437e16011
der	w13_d437e16015
künftigen	w15_d437e16018
Cussification	w1_d437e16024
mit	w3_d437e16027
seiner	w5_d437e16030
unerwiesenen	w7_d437e16033
Anforde	w9_d437e16036
rung	w1_d437e16041
abgewiesen	w3_d437e16044
werden	w5_d437e16047
solle;	w7_d437e16050
wornach	w9_d437e16053
sich	w11_d437e16056
ein	w13_d437e16060
jeder	w1_d437e16065
zu	w3_d437e16068
richten,	w5_d437e16071
und	w7_d437e16074
für	w9_d437e16077
Schaden	w11_d437e16080
zu	w13_d437e16084
hütten	w15_d437e16087
wissen	w1_d437e16092
wird.	w3_d437e16095
</p>
<p id="p30_d437e16098">
Auf	w1_d437e16102
Anordnung	w3_d437e16105
eines	w5_d437e16108
alhiesigen	w7_d437e16111
Löbl.	w9_d437e16114
Stadt	w11_d437e16117
rahts,	w1_d437e16122
werden	w3_d437e16125
auf	w5_d437e16128
den	w7_d437e16131
9.	w9_d437e16134
nächstkünftigen	w11_d437e16137
Monats	w13_d437e16141
April,	w1_d437e16146
und	w3_d437e16149
die	w5_d437e16152
darauf	w7_d437e16155
folgende	w9_d437e16158
Täge	w11_d437e16161
in	w13_d437e16165
dem	w15_d437e16168
zeler=haus	w1_d437e16174
im	w3_d437e16177
3ten	w5_d437e16180
Stock	w7_d437e16183
unterschied	w9_d437e16186
nellen	w1_d437e16191
Mi	w3_d437e16194
</p>
<p id="p32_d437e16197">
liche	w1_d437e16201
Verlassenschafts=effecten,	w3_d437e16204
als	w5_d437e16207
Manns=kleider	w7_d437e16210
verschiedene	w1_d437e16215
Mahlereyen	w3_d437e16218
von	w5_d437e16221
besten	w7_d437e16224
Meistern	w9_d437e16227
Tisch,	w1_d437e16232
Kästen,	w3_d437e16235
Sophen,	w5_d437e16238
Spiegeln,	w7_d437e16241
Billard,	w9_d437e16244
dann	w11_d437e16247
verschiedene	w1_d437e16253
Antiquen,	w3_d437e16256
wie	w5_d437e16259
auch	w7_d437e16262
ein	w9_d437e16265
Stadt=schwim	w11_d437e16268
mer	w1_d437e16273
und	w3_d437e16276
4.	w5_d437e16279
sitziger	w7_d437e16282
Wagen,	w9_d437e16285
Vormittag	w11_d437e16288
von	w13_d437e16292
9.	w15_d437e16295
bis	w17_d437e16298
12,	w1_d437e16303
und	w3_d437e16306
Nachmittag	w5_d437e16309
von	w7_d437e16312
3.	w9_d437e16315
bis	w11_d437e16318
6.	w13_d437e16322
Uhr	w15_d437e16325
den	w17_d437e16328
Meist=bietenden	w1_d437e16333
licitands	w3_d437e16336
verkauffet	w5_d437e16339
werden.	w7_d437e16342
</p>
<p id="p34_d437e16345">
Von	w1_d437e16349
der	w3_d437e16352
Kaiserl.	w5_d437e16355
Königl.	w7_d437e16358
N.	w9_d437e16361
Oe.	w11_d437e16364
Justitz	w13_d437e16368
banco	w15_d437e16371
deputation,	w1_d437e16376
wird	w3_d437e16379
hiemit	w5_d437e16382
all	w7_d437e16385
und	w9_d437e16388
jeden	w11_d437e16391
durch	w13_d437e16395
ge	w15_d437e16398
genwärtiges	w1_d437e16403
Edict	w3_d437e16406
kund	w5_d437e16409
und	w7_d437e16412
zu	w9_d437e16415
wissen	w11_d437e16418
gemacht,	w13_d437e16422
bey	w1_d437e16428
dieser	w3_d437e16431
Justitz=stelle	w5_d437e16434
habe	w7_d437e16437
Herr	w9_d437e16440
Gabriel	w11_d437e16443
Graf	w13_d437e16447
von	w1_d437e16452
Keglevich,	w3_d437e16455
Kaiserl.	w5_d437e16458
Königl.	w7_d437e16461
Generalfeld	w9_d437e16464
wacht	w1_d437e16469
meister	w3_d437e16472
mit	w5_d437e16475
mehreren	w7_d437e16478
angebracht,	w9_d437e16481
wasmas	w11_d437e16484
sen	w1_d437e16489
demselben	w3_d437e16492
eine	w5_d437e16495
Kaiserl.	w7_d437e16498
Königl.	w9_d437e16501
Univerfalca	w11_d437e16504
meral=zahl=amts=obligation	w1_d437e16510
dd.	w3_d437e16513
20.	w5_d437e16516
May	w7_d437e16519
1758.	w9_d437e16522
auf	w1_d437e16527
seinen	w3_d437e16530
Namen	w5_d437e16533
lautend	w7_d437e16536
pr.	w9_d437e16539
530.	w11_d437e16542
fl.	w13_d437e16546
in	w15_d437e16549
Ver	w17_d437e16552
lust	w1_d437e16557
gerahten	w3_d437e16560
wäre;	w5_d437e16563
damit	w7_d437e16566
also	w9_d437e16569
erwehnte	w11_d437e16572
Obliga	w13_d437e16576
tion	w1_d437e16581
durch	w3_d437e16584
Affigirung	w5_d437e16587
eines	w7_d437e16590
gewöhnlichen	w9_d437e16593
Valval	w11_d437e16596
edicts	w1_d437e16602
der	w3_d437e16605
Ordnung	w5_d437e16608
nach	w7_d437e16611
amortisiret,	w9_d437e16614
und	w11_d437e16617
ihme	w13_d437e16621
Herrn	w1_d437e16626
Grafen	w3_d437e16629
von	w5_d437e16632
Keglevich,	w7_d437e16635
eine	w9_d437e16638
andere	w11_d437e16641
der	w13_d437e16645
gleichen	w1_d437e16650
ausgestellet	w3_d437e16653
werden	w5_d437e16656
möchte;	w7_d437e16659
als	w9_d437e16662
hat	w11_d437e16665
sel	w13_d437e16669
ber	w1_d437e16674
wegen	w3_d437e16677
dessen	w5_d437e16680
Ausfertigung	w7_d437e16683
um	w9_d437e16686
die	w11_d437e16689
Auflag	w13_d437e16693
an	w1_d437e16699
seine	w3_d437e16702
Behörde	w5_d437e16705
gebetten.	w7_d437e16708
Gleichwie	w9_d437e16711
nun	w11_d437e16714
in	w13_d437e16718
solches	w1_d437e16723
des	w3_d437e16726
Herrn	w5_d437e16729
Supplieanten	w7_d437e16732
billiges	w9_d437e16735
Anlangen	w11_d437e16738
von	w1_d437e16743
Rechts	w3_d437e16746
wegen	w5_d437e16749
solcher	w7_d437e16752
gestalten	w9_d437e16755
gewilliget	w11_d437e16758
wor	w13_d437e16762
den,	w1_d437e16767
daß,	w3_d437e16770
wann	w5_d437e16773
binnen	w7_d437e16776
einem	w9_d437e16779
Jahr	w11_d437e16782
6.	w13_d437e16786
Wochen	w15_d437e16789
und	w1_d437e16795
3.	w3_d437e16798
Täg	w5_d437e16801
von	w7_d437e16804
Zeit	w9_d437e16807
der	w11_d437e16810
Affigirung	w13_d437e16814
dieses	w15_d437e16817
Edictt	w17_d437e16820
anzurechnen	w1_d437e16825
sich	w3_d437e16828
niemand	w5_d437e16831
zu	w7_d437e16834
obiger	w9_d437e16837
in	w11_d437e16840
Verlust	w13_d437e16844
gerahtenen	w1_d437e16849
Obligation	w3_d437e16852
legitimiren,	w5_d437e16855
oder	w7_d437e16858
solche	w9_d437e16861
in	w1_d437e16866
Originali	w3_d437e16869
produciren	w5_d437e16872
wurde,	w7_d437e16875
selbe	w9_d437e16878
alsdann	w11_d437e16881
für	w1_d437e16887
null	w3_d437e16890
und	w5_d437e16893
nichtig	w7_d437e16896
gehalten,	w9_d437e16899
folgsam	w11_d437e16902
nach	w13_d437e16906
Ver	w15_d437e16909
fliestung	w1_d437e16914
besagten	w3_d437e16917
Termins	w5_d437e16920
dem	w7_d437e16923
Herrn	w9_d437e16926
Grafen	w11_d437e16929
von	w1_d437e16934
Keglerich	w3_d437e16937
ein	w5_d437e16940
neue	w7_d437e16943
derley	w9_d437e16946
Obligation	w11_d437e16949
auf	w13_d437e16953
obberührte	w1_d437e16958
Summa	w3_d437e16961
ausgefertiget,	w5_d437e16964
und	w7_d437e16967
zugestel	w9_d437e16970
let	w1_d437e16976
werden	w3_d437e16979
solle.	w5_d437e16982
Welches	w7_d437e16985
man	w9_d437e16988
jedermänniglich	w11_d437e16991
durch	w1_d437e16996
dieses	w3_d437e16999
offene	w5_d437e17002
Edict	w7_d437e17005
zur	w9_d437e17008
Nachricht	w11_d437e17011
hiemit	w13_d437e17015
erinneren	w1_d437e17020
wollen.	w3_d437e17023
</p>
<list id="l36_d437e17027">
NB.	w1_d437e17031
Bey	w3_d437e17034
diesem	w5_d437e17037
eintrettenden	w7_d437e17040
2ten	w9_d437e17043
Jah	w11_d437e17046
res=quartal	w1_d437e17051
werden	w3_d437e17054
abermalen	w5_d437e17057
die	w7_d437e17060
Lieb	w9_d437e17063
haber	w1_d437e17068
dieses	w3_d437e17071
Wienerischen	w5_d437e17074
Diarii,	w7_d437e17077
wie	w9_d437e17080
auch	w11_d437e17083
des	w1_d437e17089
Post=täglichen	w3_d437e17092
Frag	w5_d437e17095
und	w7_d437e17098
Kund	w9_d437e17101
schafts=bogens,	w1_d437e17106
nach	w3_d437e17109
Standes=würden,	w5_d437e17112
um	w1_d437e17117
deren	w3_d437e17120
gewöhnliche	w5_d437e17123
vorhineinBezah	w7_d437e17126
lung	w1_d437e17131
ersuchet.	w3_d437e17134
Und	w5_d437e17137
wann	w7_d437e17140
jemand	w9_d437e17143
das	w11_d437e17146
Diarium	w1_d437e17152
Bestallungs=weise	w3_d437e17155
nehmen	w5_d437e17158
will	w7_d437e17161
so	w1_d437e17166
haben	w3_d437e17169
sich	w5_d437e17172
die	w7_d437e17175
hier	w9_d437e17178
in	w11_d437e17181
Wien	w13_d437e17185
anwesen	w15_d437e17188
de	w1_d437e17193
in	w3_d437e17196
der	w5_d437e17199
diesfälligen	w7_d437e17202
Schreib=stuben	w9_d437e17205
in	w11_d437e17208
dem	w1_d437e17213
neuen	w3_d437e17216
Michaeler=haus,	w5_d437e17219
die	w7_d437e17222
aus	w9_d437e17225
wärtige	w1_d437e17231
Liebhabere	w3_d437e17234
aber	w5_d437e17237
in	w7_d437e17240
dem	w9_d437e17243
Obrist	w11_d437e17246
Post=amt	w1_d437e17251
diesfalls	w3_d437e17254
anzumelden.	w5_d437e17257
</list>
<head id="h2_d437e17356">
Paris	w1_d437e17360
15.	w3_d437e17363
März.	w5_d437e17366
</head>
<p id="p4_d437e17369">
Om	w1_d437e17373
9ten	w3_d437e17376
seynd	w5_d437e17379
die	w7_d437e17382
Herren	w9_d437e17385
Erz=bischöffe	w11_d437e17388
von	w1_d437e17393
Narbonne,	w3_d437e17396
Auch	w5_d437e17399
und	w7_d437e17402
Bourdeaux,	w9_d437e17405
und	w1_d437e17410
die	w3_d437e17413
Herren	w5_d437e17416
Bischöffe	w7_d437e17419
von	w9_d437e17422
Grenoble,	w11_d437e17425
Auxerre	w1_d437e17431
und	w3_d437e17434
Puy,	w5_d437e17437
als	w7_d437e17440
die	w9_d437e17443
Präsidenten	w11_d437e17446
der	w13_d437e17450
General=versammlung	w1_d437e17455
der	w3_d437e17458
Französischen	w5_d437e17461
Clerisey,	w1_d437e17466
mit	w3_d437e17469
denen	w5_d437e17472
andern	w7_d437e17475
Herren	w9_d437e17478
Präla	w11_d437e17481
ten	w1_d437e17486
und	w3_d437e17489
Deputirten	w5_d437e17492
der	w7_d437e17495
zweyten	w9_d437e17498
Ordnung	w11_d437e17501
von	w1_d437e17507
gedachter	w3_d437e17510
Versammlung	w5_d437e17513
nach	w7_d437e17516
Versail	w9_d437e17519
