<doc id="wr_1759-05-16" attrs="word" year="1759" month="05" day="16" corpus="2">
<head id="h2_d348e3882">
Danzig	w1_d348e3886
J.	w7_d348e14826
</list>
<head id="h2_d348e14833">
Summa	w1_d348e14837
5.	w3_d348e14840
Person.	w5_d348e14843
darunter	w7_d348e14846
1.	w9_d348e14849
Kind.	w11_d348e14852
Den	w1_d348e14857
14.	w3_d348e14860
May.	w5_d348e14863
Jn	w1_d348e14868
der	w3_d348e14871
Stadt.	w5_d348e14874
</head>
<list id="l4_d348e14877">
Dem	w1_d348e14881
Wol=edlen	w3_d348e14884
Hrn.	w5_d348e14887
Joh.	w7_d348e14890
Math.	w9_d348e14893
Hofman,	w11_d348e14896
K.	w13_d348e14900
K.	w15_d348e14903
Leuten,	w1_d348e14908
s.	w3_d348e14911
Fr.	w5_d348e14914
Sophia,	w7_d348e14917
beyn	w9_d348e14920
7.	w11_d348e14923
Chur	w13_d348e14927
fürsten	w15_d348e14930
am	w17_d348e14933
rot.	w1_d348e14938
Thurn,	w3_d348e14941
alt	w5_d348e14944
56.	w7_d348e14947
J.	w9_d348e14950
Fr.	w1_d348e14956
Francisca	w3_d348e14959
Schweighoferin,	w5_d348e14962
Burgerl.	w7_d348e14965
Wittwe,	w9_d348e14968
in	w1_d348e14973
ihrem	w3_d348e14976
H.	w5_d348e14979
im	w7_d348e14982
Schulter=gäs.,	w9_d348e14985
alt	w11_d348e14988
70.	w13_d348e14992
J.	w15_d348e14995
Jungf.	w1_d348e15000
Theres.	w3_d348e15003
Hergerin,	w5_d348e15006
im	w7_d348e15009
Himmel=pfort=H.	w9_d348e15012
in	w11_d348e15015
der	w1_d348e15020
Himmel=pfort=gas.,	w3_d348e15023
alt	w5_d348e15026
49.	w7_d348e15029
J.	w9_d348e15032
Dem	w1_d348e15038
Jos.	w3_d348e15041
Baumgartner,	w5_d348e15044
Lack.,	w7_d348e15047
s.	w9_d348e15050
W.	w11_d348e15053
Anna,	w13_d348e15057
im	w15_d348e15060
Matzis.	w1_d348e15065
H.	w3_d348e15068
am	w5_d348e15071
Pet.,	w7_d348e15074
alt	w9_d348e15077
64.	w11_d348e15080
J.	w13_d348e15084
</list>
<head id="h2_d348e15091">
Vor	w1_d348e15095
der	w3_d348e15098
Stadt.	w5_d348e15101
</head>
<list id="l4_d348e15104">
Dem	w1_d348e15108
Wol=edel=gestr.	w3_d348e15111
Hrn.	w5_d348e15114
Joh	w7_d348e15117
Jacob	w9_d348e15120
Scheiblauer,	w11_d348e15123
des	w1_d348e15128
inneren	w3_d348e15131
Stadt=rahts,	w5_d348e15134
s.	w7_d348e15137
Fr.	w9_d348e15140
Anna	w11_d348e15143
Theres.	w13_d348e15147
in	w15_d348e15150
ihrem	w1_d348e15155
H.	w3_d348e15158
am	w5_d348e15161
Spitalberg,	w7_d348e15164
alt	w9_d348e15167
60.	w11_d348e15170
J.	w13_d348e15174
Dem	w1_d348e15180
Jac.	w3_d348e15183
Vogel,	w5_d348e15186
Burgerl.	w7_d348e15189
Bild=hauern,	w9_d348e15192
s.	w11_d348e15195
W.	w13_d348e15199
An	w15_d348e15202
na,	w1_d348e15207
in	w3_d348e15210
s.	w5_d348e15213
H.	w7_d348e15216
bey	w9_d348e15219
Maria=hülf,	w11_d348e15222
alt	w13_d348e15226
28.	w15_d348e15229
J.	w17_d348e15232
Ant.	w1_d348e15237
Hack,	w3_d348e15240
Schuh=mach.,	w5_d348e15243
bey	w7_d348e15246
St.	w9_d348e15249
Florian	w11_d348e15252
am	w13_d348e15256
Neu	w15_d348e15259
bau,	w1_d348e15264
alt	w3_d348e15267
68.	w5_d348e15270
J.	w7_d348e15273
Dem	w1_d348e15279
Reichard	w3_d348e15282
Fritzl,	w5_d348e15285
K.	w7_d348e15288
K.	w9_d348e15291
Schuldencas.canzley	w11_d348e15294
haitz,	w1_d348e15299
s.	w3_d348e15302
W.	w5_d348e15305
Theres.,	w7_d348e15308
im	w9_d348e15311
Hof=riemerisch.	w11_d348e15314
H.	w13_d348e15318
auf	w15_d348e15321
der	w1_d348e15326
Landstr.,	w3_d348e15329
alt	w5_d348e15332
28.	w7_d348e15335
J.	w9_d348e15338
Dem	w1_d348e15343
Phil.	w3_d348e15346
Scheidel,	w5_d348e15349
Leinweb.=ges.,	w7_d348e15352
s.	w9_d348e15355
W.	w11_d348e15358
Elisab.	w13_d348e15362
beym	w1_d348e15368
rot.	w3_d348e15371
Rös	w5_d348e15374
in	w7_d348e15377
der	w9_d348e15380
Leopoldst.,	w11_d348e15383
alt	w13_d348e15387
53.	w15_d348e15390
J.	w17_d348e15393
Dem	w1_d348e15398
Andre	w3_d348e15401
Pareis,	w5_d348e15404
Holz=hack.,	w7_d348e15407
s.	w9_d348e15410
W.	w11_d348e15413
Anna,	w13_d348e15417
im	w15_d348e15420
Maurer=meisteris.	w1_d348e15425
H.	w3_d348e15428
am	w5_d348e15431
Himmel=pfort=gr.,	w7_d348e15434
45.	w9_d348e15437
J.	w11_d348e15440
</list>
<head id="h2_d348e15448">
Summa	w1_d348e15452
10.	w3_d348e15455
Person,	w5_d348e15458
darunter	w7_d348e15461
0.	w9_d348e15464
Kind.	w11_d348e15467
Den	w1_d348e15472
15.	w3_d348e15475
May.	w5_d348e15478
Jn	w1_d348e15483
der	w3_d348e15486
Stadt.	w5_d348e15489
</head>
<list id="l4_d348e15492">
Fr.	w1_d348e15496
Francisca	w3_d348e15499
Merkin,	w5_d348e15502
Wittwe,	w7_d348e15505
beym	w9_d348e15508
Jordan	w11_d348e15511
am	w13_d348e15515
Juden=platz,	w1_d348e15520
alt	w3_d348e15523
70.	w5_d348e15526
J.	w7_d348e15529
Dem	w1_d348e15534
Adam	w3_d348e15537
Götz,	w5_d348e15540
Burgerl.	w7_d348e15543
Schneid.,	w9_d348e15546
s.	w11_d348e15549
T.	w13_d348e15553
Theres.	w15_d348e15556
beym	w1_d348e15562
Steinl	w3_d348e15565
beyn	w5_d348e15568
obern	w7_d348e15571
Jesuit.,	w9_d348e15574
alt	w11_d348e15577
14.	w13_d348e15581
J.	w15_d348e15584
Franz	w1_d348e15589
Führer,	w3_d348e15592
ohne	w5_d348e15595
Condit.,	w7_d348e15598
beym	w9_d348e15601
Aug	w11_d348e15604
GOttes	w13_d348e15608
am	w15_d348e15611
Pet.,	w1_d348e15616
alt	w3_d348e15619
60.	w5_d348e15622
J.	w7_d348e15625
</list>
<head id="h2_d348e15632">
Vor	w1_d348e15636
der	w3_d348e15639
Stadt.	w5_d348e15642
</head>
<list id="l4_d348e15645">
Anna	w1_d348e15649
Tostlin,	w3_d348e15652
Burgerl.	w5_d348e15655
Wittwe,	w7_d348e15658
im	w9_d348e15661
Steinmetzis.	w11_d348e15664
H.	w1_d348e15669
zu	w3_d348e15672
Gumpendorf,	w5_d348e15675
alt	w7_d348e15678
78.	w9_d348e15681
J.	w11_d348e15684
</list>
<list id="l10_d348e15698">
Dem	w1_d348e15702
Bernh.	w3_d348e15705
Klempp,	w5_d348e15708
Musico,	w7_d348e15711
s.	w9_d348e15714
S.	w11_d348e15717
Mich.,	w13_d348e15721
bey	w15_d348e15724
dem	w17_d348e15727
Rauchfang=kehr.	w1_d348e15732
bey	w3_d348e15735
Maria=hülf,	w5_d348e15738
alt	w7_d348e15741
11.	w9_d348e15744
Jacob	w1_d348e15749
Sperling,	w3_d348e15752
Tafel=deck.,	w5_d348e15755
bey	w7_d348e15758
der	w9_d348e15761
gold.	w11_d348e15764
Ros.	w13_d348e15768
auf	w15_d348e15771
der	w1_d348e15777
Laimgr.,	w3_d348e15780
alt	w5_d348e15783
75.	w7_d348e15786
J.	w9_d348e15789
Dem	w1_d348e15794
Albert	w3_d348e15797
Sigura,	w5_d348e15800
Gartn.,	w7_d348e15803
s.	w9_d348e15806
W.	w11_d348e15809
Eva,	w13_d348e15813
beyn	w15_d348e15816
2.	w17_d348e15819
Alstern	w1_d348e15824
auf	w3_d348e15827
der	w5_d348e15830
Wind=mühl,	w7_d348e15833
alt	w9_d348e15836
32.	w11_d348e15839
J.	w13_d348e15843
Mich.	w1_d348e15848
Resch,	w3_d348e15851
Maurer,	w5_d348e15854
beyn	w7_d348e15857
12.	w9_d348e15860
Himmels=zeich	w11_d348e15863
ob.	w13_d348e15867
dem	w1_d348e15873
Neustift,	w3_d348e15876
alt	w5_d348e15879
69.	w7_d348e15882
J.	w9_d348e15885
Cathar.	w1_d348e15890
Beichbuchnerin,	w3_d348e15893
Wittwe,	w5_d348e15896
bey	w7_d348e15899
der	w9_d348e15902
goldenen	w11_d348e15905
Gans	w1_d348e15910
bey	w3_d348e15913
Maria=hülf,	w5_d348e15916
alt	w7_d348e15919
26.	w9_d348e15922
J.	w11_d348e15925
Mart.	w1_d348e15930
Ludwig,	w3_d348e15933
Krebsen=handl.,	w5_d348e15936
bey	w7_d348e15939
der	w9_d348e15942
unbefleckt.	w11_d348e15945
Empfängnuß	w1_d348e15951
im	w3_d348e15954
Lerchenf.,	w5_d348e15957
alt	w7_d348e15960
35.J	w9_d348e15963
Dem	w1_d348e15968
Jos.	w3_d348e15971
Berger,	w5_d348e15974
Tag=löhn.,	w7_d348e15977
s.	w9_d348e15980
W.	w11_d348e15983
Barb.,	w13_d348e15987
beym	w15_d348e15990
gold.	w1_d348e15995
Kegel	w3_d348e15998
am	w5_d348e16001
Neubau,	w7_d348e16004
alt	w9_d348e16007
48.	w11_d348e16010
J.	w13_d348e16014
</list>
<head id="h2_d348e16021">
Summa	w1_d348e16025
11.	w3_d348e16028
Person.	w5_d348e16031
/	w7_d348e16034
darunter	w9_d348e16037
1.	w11_d348e16040
Kind.	w13_d348e16044
D	w1_d348e16049
</head>
<p id="p4_d348e16052">
Hiemit	w1_d348e16056
wird	w3_d348e16059
jedermänniglich	w5_d348e16062
bevorah	w7_d348e16065
all	w9_d348e16068
und	w11_d348e16071
jeden	w1_d348e16076
Löbl.	w3_d348e16079
Landes=mit=gliedern	w5_d348e16082
Geist	w7_d348e16085
und	w9_d348e16088
Welt	w11_d348e16091
lichen	w1_d348e16096
Standes	w3_d348e16099
zu	w5_d348e16102
vernehmen	w7_d348e16105
gegeben,	w9_d348e16108
welcher	w11_d348e16111
gestalten	w1_d348e16117
die	w3_d348e16120
Hochlöbl.	w5_d348e16123
N.	w7_d348e16126
Oe.	w9_d348e16129
drey	w11_d348e16132
obere	w13_d348e16136
Herren	w15_d348e16139
Land=stände	w1_d348e16144
die	w3_d348e16147
mit	w5_d348e16150
allen	w7_d348e16153
gerechtsamen	w9_d348e16156
erkauft	w11_d348e16159
Pfarrliche	w1_d348e16164
in	w3_d348e16167
dreyen	w5_d348e16170
Vierteln	w7_d348e16173
des	w9_d348e16176
Landes,	w11_d348e16179
näm	w13_d348e16183
lichen	w1_d348e16188
O.	w3_d348e16191
und	w5_d348e16194
U.	w7_d348e16197
W.	w9_d348e16200
W.	w11_d348e16203
wie	w13_d348e16207
auch	w15_d348e16210
U.	w17_d348e16213
M.	w19_d348e16216
B.	w21_d348e16219
gelegene	w1_d348e16225
Häuser,	w3_d348e16228
und	w5_d348e16231
Grund=holden	w7_d348e16234
mit	w9_d348e16237
dem	w11_d348e16240
Genuß	w1_d348e16245
à	w3_d348e16248
1ma.	w5_d348e16251
Novemb.	w7_d348e16254
1758.	w9_d348e16257
als	w11_d348e16260
von	w13_d348e16264
dem	w15_d348e16267
Tag	w17_d348e16270
des	w1_d348e16275
eigenen	w3_d348e16278
Ankaufs,	w5_d348e16281
nebst	w7_d348e16284
denen	w9_d348e16287
um	w11_d348e16290
ein	w13_d348e16294
Drit	w15_d348e16297
tel	w1_d348e16302
selbst	w3_d348e16305
übernommenen	w5_d348e16308
Ausständen,	w7_d348e16311
wiederum	w9_d348e16314
an	w1_d348e16320
die	w3_d348e16323
Particularen	w5_d348e16326
weiters,	w7_d348e16329
und	w9_d348e16332
zwar	w11_d348e16335
ohne	w13_d348e16339
al	w15_d348e16342
ler	w1_d348e16347
Licitirung,	w3_d348e16350
wie	w5_d348e16353
auch	w7_d348e16356
respectivè	w9_d348e16359
ohne	w11_d348e16362
weiters	w13_d348e16366
bewürkend=allerhöchsten	w1_d348e16371
Consens,	w3_d348e16374
mittelst	w5_d348e16377
Er	w7_d348e16380
theilung	w1_d348e16385
eines	w3_d348e16388
ordentlichen	w5_d348e16391
Kauf	w7_d348e16394
und	w9_d348e16397
Scherm	w11_d348e16400
briefs	w1_d348e16406
verkäuflich	w3_d348e16409
hindann	w5_d348e16412
zu	w7_d348e16415
lassen	w9_d348e16418
gesonnen	w11_d348e16421
seyen.	w13_d348e16425
Dahero	w1_d348e16430
alle	w3_d348e16433
diejenige,	w5_d348e16436
welchen	w7_d348e16439
hievon	w9_d348e16442
eatione	w11_d348e16445
Tetritorii,	w1_d348e16450
Jurisdictionis,	w3_d348e16453
Consol	w5_d348e16456
dationis,	w7_d348e16459
oder	w9_d348e16462
Nachbarschaft	w1_d348e16467
etwas	w3_d348e16470
conveniren	w5_d348e16473
dörfte,	w7_d348e16476
und	w9_d348e16479
so	w11_d348e16482
hin	w1_d348e16488
käuflich	w3_d348e16491
an	w5_d348e16494
sich	w7_d348e16497
zu	w9_d348e16500
bringen	w11_d348e16503
willens	w13_d348e16507
wären,	w15_d348e16510
sich	w1_d348e16515
bey	w3_d348e16518
der	w5_d348e16521
von	w7_d348e16524
denen	w9_d348e16527
Löbl.	w11_d348e16530
N.	w13_d348e16534
Oe.	w15_d348e16537
drey	w17_d348e16540
obe	w19_d348e16543
ren	w1_d348e16548
Herren	w3_d348e16551
Ständen	w5_d348e16554
über	w7_d348e16557
die	w9_d348e16560
käuflich	w11_d348e16563
übernom	w13_d348e16567
mene	w1_d348e16572
Vieedomische	w3_d348e16575
nachhin	w5_d348e16578
Ständische	w7_d348e16581
Stück,	w9_d348e16584
und	w1_d348e16590
Gülten	w3_d348e16593
angestellten	w5_d348e16596
Ständischen	w7_d348e16599
Verwaltung	w9_d348e16602
alhier	w1_d348e16607
im	w3_d348e16610
Land=haus	w5_d348e16613
um	w7_d348e16616
die	w9_d348e16619
diesfällige	w11_d348e16622
Anschläg	w13_d348e16626
täglich	w1_d348e16631
melden	w3_d348e16634
können,	w5_d348e16637
und	w7_d348e16640
allda	w9_d348e16643
den	w11_d348e16646
Kaufschil	w13_d348e16650
lings=wehrt,	w1_d348e16655
wie	w3_d348e16658
auch,	w5_d348e16661
was	w7_d348e16664
deme	w9_d348e16667
sonsten	w11_d348e16670
noch	w13_d348e16674
anhäugig	w1_d348e16680
zu	w3_d348e16683
erfahren	w5_d348e16686
haben	w7_d348e16689
werden.	w9_d348e16692
Wien	w11_d348e16695
im	w13_d348e16699
Land=haus	w1_d348e16704
den	w3_d348e16707
10.	w5_d348e16710
May	w7_d348e16713
1759.	w9_d348e16716
</p>
<p id="p6_d348e16719">
Es	w1_d348e16723
ist	w3_d348e16726
ein	w5_d348e16729
schönes	w7_d348e16732
Pohlnisches	w9_d348e16735
Reit=pferd	w11_d348e16738
zu	w13_d348e16742
verkauffen,	w1_d348e16747
wer	w3_d348e16750
solches	w5_d348e16753
kauffen	w7_d348e16756
wolte,	w9_d348e16759
beliebe	w11_d348e16762
sich	w1_d348e16767
in	w3_d348e16770
dem	w5_d348e16773
klein	w7_d348e16776
Kinskischen	w9_d348e16779
Haus	w11_d348e16782
in	w13_d348e16786
der	w15_d348e16789
Her	w17_d348e16792
ken=gassen	w1_d348e16798
bey	w3_d348e16801
dem	w5_d348e16804
Haus=meister	w7_d348e16807
anzumelden.	w9_d348e16810
</p>
<head id="h2_d348e16816">
Landmarschall.	w1_d348e16820
</head>
<p id="p4_d348e16823">
Entbiete	w1_d348e16827
N.	w3_d348e16830
allen	w5_d348e16833
und	w7_d348e16836
jeden,	w9_d348e16839
was	w11_d348e16842
Standes	w13_d348e16846
und	w15_d348e16849
Würden	w1_d348e16854
die	w3_d348e16857
seynd,	w5_d348e16860
der	w7_d348e16863
Gebühr	w9_d348e16866
nach,	w11_d348e16869
meinem	w13_d348e16873
re	w15_d348e16876
spective	w1_d348e16881
Dienst	w3_d348e16884
im	w5_d348e16887
guten	w7_d348e16890
Willen	w9_d348e16893
zuvor,	w11_d348e16896
und	w13_d348e16900
füge	w15_d348e16903
hiemit	w1_d348e16909
zu	w3_d348e16912
vernehmen:	w5_d348e16915
Es	w7_d348e16918
habe	w9_d348e16921
bey	w11_d348e16924
dem	w13_d348e16928
mir	w15_d348e16931
aller	w17_d348e16934
gnädigst	w1_d348e16939
anvertrauten	w3_d348e16942
N.	w5_d348e16945
Oe.	w7_d348e16948
Land=marschallischen	w9_d348e16951
Gericht	w1_d348e16956
der	w3_d348e16959
Franz	w5_d348e16962
Bernhard	w7_d348e16965
edler	w9_d348e16968
v.	w11_d348e16971
Keeß	w13_d348e16975
alt	w15_d348e16978
ver	w17_d348e16981
ordneter	w1_d348e16986
Wilhelm	w3_d348e16989
Eberz	w5_d348e16992
Freundspergischer	w7_d348e16995
Cura	w9_d348e16998
ter	w1_d348e17004
schriftlich	w3_d348e17007
vorgestellet;	w5_d348e17010
welcher=gestalten	w7_d348e17013
ver	w9_d348e17016
</p>
<p id="p6_d348e17019">
mög	w1_d348e17023
producirten	w3_d348e17026
Weisbotten	w5_d348e17029
amts	w7_d348e17032
extracts	w9_d348e17035
alda	w11_d348e17038
sub	w1_d348e17043
No.	w3_d348e17046
2do.	w5_d348e17049
den	w7_d348e17052
31.	w9_d348e17055
Martii	w11_d348e17058
1732.	w13_d348e17062
dann	w15_d348e17065
sub	w17_d348e17068
No.	w19_d348e17071
19.	w1_d348e17076
den	w3_d348e17079
20.	w5_d348e17082
Junii	w7_d348e17085
1743.	w9_d348e17088
deren	w11_d348e17091
Schwarzlischen	w13_d348e17095
Pu	w15_d348e17098
pillen	w1_d348e17104
Gerhab	w3_d348e17107
und	w5_d348e17110
Mandatarius	w7_d348e17113
Johann	w9_d348e17116
Michael	w11_d348e17119
Stummer	w1_d348e17124
J.	w3_d348e17127
U.	w5_d348e17130
D.	w7_d348e17133
wider	w9_d348e17136
den	w11_d348e17139
Johann	w13_d348e17143
Leopold	w15_d348e17146
v.	w17_d348e17149
Freundsperg	w1_d348e17154
wegen	w3_d348e17157
einer	w5_d348e17160
Residnalwechselforde	w7_d348e17163
rung	w1_d348e17168
pr.	w3_d348e17171
1208.	w5_d348e17174
fl.	w7_d348e17177
vum	w9_d348e17180
ina	w11_d348e17183
causa	w13_d348e17187
sub	w15_d348e17190
No.	w17_d348e17193
3tio.	w19_d348e17196
den	w21_d348e17199
28.	w1_d348e17205
Febr.	w3_d348e17208
1733.	w5_d348e17211
der	w7_d348e17214
Benedict	w9_d348e17217
Pallazzi	w11_d348e17220
wider	w13_d348e17224
den	w15_d348e17227
riderich	w1_d348e17232
v.	w3_d348e17235
Eberz	w5_d348e17238
wegen	w7_d348e17241
600.	w9_d348e17244
fl.	w11_d348e17247
sub	w13_d348e17251
No.	w15_d348e17254
4to	w17_d348e17257
den	w19_d348e17260
24.	w1_d348e17265
Jan.	w3_d348e17268
1734.	w5_d348e17271
der	w7_d348e17274
N.	w9_d348e17277
Hirsch	w11_d348e17280
Prespurger	w13_d348e17284
=ind	w15_d348e17287
contra	w17_d348e17290
cundem	w1_d348e17295
wegen	w3_d348e17298
400.	w5_d348e17301
fl	w7_d348e17304
sub	w9_d348e17307
No.	w11_d348e17310
5to	w13_d348e17314
codem;	w15_d348e17317
idem	w17_d348e17320
contra	w1_d348e17326
cundem	w3_d348e17329
wegen	w5_d348e17332
100.	w7_d348e17335
fl.	w9_d348e17338
subNo.	w11_d348e17341
6to	w13_d348e17345
eodem;	w15_d348e17348
idem	w1_d348e17353
contra	w3_d348e17356
eundem	w5_d348e17359
wegen	w7_d348e17362
62.	w9_d348e17365
fl.	w11_d348e17368
sub	w13_d348e17372
No.	w15_d348e17375
vmo.	w17_d348e17378
den	w1_d348e17383
21.	w3_d348e17386
Julii	w5_d348e17389
1735.	w7_d348e17392
die	w9_d348e17395
Anna	w11_d348e17398
Maria	w13_d348e17402
Rotterin	w15_d348e17405
wi	w17_d348e17408
der	w1_d348e17413
Friderich	w3_d348e17416
v.	w5_d348e17419
Eberz,	w7_d348e17422
und	w9_d348e17425
Leopold	w11_d348e17428
v.	w13_d348e17432
Freund	w15_d348e17435
sperg,	w1_d348e17441
als	w3_d348e17444
mn	w5_d348e17447
solidum	w7_d348e17450
Correos	w9_d348e17453
debendi	w11_d348e17456
wegen	w13_d348e17460
796.	w15_d348e17463
fl.	w1_d348e17468
30.	w3_d348e17471
Kr.	w5_d348e17474
sub	w7_d348e17477
No.	w9_d348e17480
9n0,	w11_d348e17483
den	w13_d348e17487
7.	w15_d348e17490
Jenner	w17_d348e17493
1736.	w19_d348e17496
der	w21_d348e17499
Adam	w1_d348e17504
Alvera	w3_d348e17507
Notarius	w5_d348e17510
publicus	w7_d348e17513
wider	w9_d348e17516
Annam	w11_d348e17519
Mariam	w1_d348e17524
Rotterin	w3_d348e17527
wegen	w5_d348e17530
120.	w7_d348e17533
fl.	w9_d348e17536
sub	w11_d348e17539
No.	w13_d348e17543
10mo.	w15_d348e17546
den	w1_d348e17552
9.	w3_d348e17555
Jenner	w5_d348e17558
1736.	w7_d348e17561
Hr.	w9_d348e17564
Johann	w11_d348e17567
Reimund	w13_d348e17571
v.	w15_d348e17574
Al	w17_d348e17577
brechtsburg	w1_d348e17582
contra	w3_d348e17585
candem	w5_d348e17588
wegen	w7_d348e17591
140.	w9_d348e17594
fl.	w11_d348e17597
32.	w13_d348e17601
Kr.	w15_d348e17604
sub	w1_d348e17609
No.	w3_d348e17612
11mo	w5_d348e17615
den	w7_d348e17618
10.	w9_d348e17621
Julii	w11_d348e17624
1736.	w13_d348e17628
die	w15_d348e17631
Anna	w17_d348e17634
ria	w1_d348e17639
Rotterin	w3_d348e17642
coner=Franz	w5_d348e17645
Gubian	w7_d348e17648
wegen	w9_d348e17651
220.	w11_d348e17654
fl.	w13_d348e17658
sub	w15_d348e17661
No	w1_d348e17667
12mo.	w3_d348e17670
den	w5_d348e17673
1.	w7_d348e17676
Novemb.	w9_d348e17679
1736.	w11_d348e17682
der	w13_d348e17686
Anton	w15_d348e17689
Jor	w17_d348e17692
dan	w1_d348e17697
wider	w3_d348e17700
die	w5_d348e17703
Marium	w7_d348e17706
Annam	w9_d348e17709
Rotterin	w11_d348e17712
weren	w13_d348e17716
300.	w1_d348e17721
fl.	w3_d348e17724
sub	w5_d348e17727
No.	w7_d348e17730
10	w9_d348e17733
den	w11_d348e17736
10.	w13_d348e17740
Jenner	w15_d348e17743
1737.	w17_d348e17746
der	w19_d348e17749
Jo	w21_d348e17752
seph	w1_d348e17757
Mathias	w3_d348e17760
Domali	w5_d348e17763
contra	w7_d348e17766
candem	w9_d348e17769
wegé	w11_d348e17772
170.	w13_d348e17776
fl.	w15_d348e17779
sub	w1_d348e17785
No.	w3_d348e17788
14	w5_d348e17791
den	w7_d348e17794
1.	w9_d348e17797
April.	w11_d348e17800
1740.	w13_d348e17804
der	w15_d348e17807
Audreas	w17_d348e17810
Fink	w19_d348e17813
contra	w1_d348e17818
candem	w3_d348e17821
wegen	w5_d348e17824
300.	w7_d348e17827
fl.	w9_d348e17830
sub	w11_d348e17833
No.	w13_d348e17837
15.	w15_d348e17840
del	w17_d348e17843
24.	w19_d348e17846
Jen.	w1_d348e17851
1741.	w3_d348e17854
der	w5_d348e17857
Michael	w7_d348e17860
Salvm	w9_d348e17863
Jnd	w11_d348e17866
wider	w13_d348e17870
Friderich	w15_d348e17873
v.	w1_d348e17878
Eberz	w3_d348e17881
wegen	w5_d348e17884
1245.	w7_d348e17887
fl	w9_d348e17890
sub	w11_d348e17893
No.	w13_d348e17897
16.	w15_d348e17900
den	w17_d348e17903
22.	w19_d348e17906
Sep.	w21_d348e17909
1748.	w1_d348e17915
der	w3_d348e17918
Franz	w5_d348e17921
Jetzlauer	w7_d348e17924
wider	w9_d348e17927
den	w11_d348e17930
Michael	w13_d348e17934
Sa	w15_d348e17937
lomon	w1_d348e17942
Juden	w3_d348e17945
wegen	w5_d348e17948
600.	w7_d348e17951
fl.	w9_d348e17954
suh	w11_d348e17957
No.	w13_d348e17961
17.	w15_d348e17964
den	w17_d348e17967
29.	w19_d348e17970
Junii	w1_d348e17975
1742.	w3_d348e17978
der	w5_d348e17981
Christian	w7_d348e17984
Joseph	w9_d348e17987
Petrzick	w11_d348e17990
wider	w13_d348e17994
den	w1_d348e17999
Friderich	w3_d348e18002
v.	w5_d348e18005
Eberz	w7_d348e18008
wegen	w9_d348e18011
120.	w11_d348e18014
fl.	w13_d348e18018
sub	w15_d348e18021
Nr.	w17_d348e18024
IB.	w19_d348e18027
den	w1_d348e18033
12.	w3_d348e18036
Febr.	w5_d348e18039
1743.	w7_d348e18042
der	w9_d348e18045
Franz	w11_d348e18048
Jgnatz	w13_d348e18052
Merdt	w15_d348e18055
la	w17_d348e18058
ger	w1_d348e18063
wider	w3_d348e18066
den	w5_d348e18069
Leopold	w7_d348e18072
v.	w9_d348e18075
Freundsperg	w11_d348e18078
weyen	w13_d348e18082
1800.	w15_d348e18085
fl.	w1_d348e18090
sub	w3_d348e18093
No.	w5_d348e18096
20.	w7_d348e18099
den	w9_d348e18102
5.	w11_d348e18105
Ang.	w13_d348e18109
1743.	w15_d348e18112
der	w17_d348e18115
Baptist	w19_d348e18118
Cart	w21_d348e18121
Presbyter	w1_d348e18126
wider	w3_d348e18129
den	w5_d348e18132
Friderich	w7_d348e18135
v.	w9_d348e18138
Eber	w11_d348e18141
wegen	w13_d348e18145
36.	w15_d348e18148
ride	w1_d348e18154
fl.	w1_d348e18159
sub	w3_d348e18162
No.	w5_d348e18165
21.	w7_d348e18168
den	w9_d348e18171
31.	w11_d348e18174
Aug.	w13_d348e18178
1743.	w15_d348e18181
de	w17_d348e18184
rich	w1_d348e18189
Specht	w3_d348e18192
contra	w5_d348e18195
cundé	w7_d348e18198
wegen	w9_d348e18201
60.	w11_d348e18204
fl.	w13_d348e18208
auf	w15_d348e18211
das	w17_d348e18214
Gut	w19_d348e18217
Gutenbrünn=bey	w1_d348e18222
Baden	w3_d348e18225
samt	w5_d348e18228
Appertineutien,	w7_d348e18231
auch	w9_d348e18234
usus	w1_d348e18240
fructus,	w3_d348e18243
und	w5_d348e18246
die	w7_d348e18249
Jnteresse	w9_d348e18252
pr.	w11_d348e18255
15000.	w13_d348e18259
fl.	w15_d348e18262
Ber	w17_d348e18265
auf	w1_d348e18270
haftenden	w3_d348e18273
Fidei	w5_d348e18276
commiss-substitutins	w7_d348e18279
quan-	w9_d348e18282
ti	w1_d348e18287
hatten	w3_d348e18290
inhibiren,	w5_d348e18293
und	w7_d348e18296
Ansatz	w9_d348e18299
führen	w11_d348e18302
lassen,	w13_d348e18306
au	w15_d348e18309
diese	w1_d348e18314
Jnhibitions	w3_d348e18317
und	w5_d348e18320
Erecutions=posten	w7_d348e18323
aber	w9_d348e18326
in	w11_d348e18329
dedite	w1_d348e18335
hafteten,	w3_d348e18338
sintemalen	w5_d348e18341
weder	w7_d348e18344
der	w9_d348e18347
Leopold	w11_d348e18350
v.	w13_d348e18354
Freundsperg,	w1_d348e18359
noch	w3_d348e18362
der	w5_d348e18365
Friderich	w7_d348e18368
v.	w9_d348e18371
Eberz	w11_d348e18374
auf	w13_d348e18378
diese	w15_d348e18381
1500	w1_d348e18386
fl.	w3_d348e18389
und	w5_d348e18392
hievon	w7_d348e18395
abgefallene	w9_d348e18398
Jnteressen	w11_d348e18401
nicht	w13_d348e18405
das	w1_d348e18410
mindeste	w3_d348e18413
Recht	w5_d348e18416
gehabt	w7_d348e18419
haben,	w9_d348e18422
sondern	w11_d348e18425
dieses	w13_d348e18429
