<doc id="edoc_wd_1781-12-29" attrs="word" year="1781" month="12" day="29" corpus="1">
<p id="p4">
Tausend	w24
<g/>
.
s	w5432
K	w5433
<g/>
.
Theres	w5435
<g/>
.
Nr	w5437
<g/>
.
293	w5439
in	w5440
d	w5441
<g/>
.
Leopoldst	w5443
alt	w5444
9	w5445
J	w5446
<g/>
.
</list>
<p id="p46">
Dem	w5448
Fried	w5449
<g/>
.
Heninger	w5451
<g/>
,
bürgl	w5453
<g/>
.
Schneiderm	w5455
<g/>
.
s	w5457
<g/>
.
K	w5459
<g/>
.
Anna	w5461
<g/>
,
Nr	w5463
99	w5464
<g/>
.
zu	w5466
Mariah	w5467
<g/>
.
alt	w5469
2	w5470
J	w5471
<g/>
.
</p>
<list id="">
Dem	w5473
Georg	w5474
Simperer	w5475
<g/>
,
Hausinnh	w5477
<g/>
.
s	w5479
<g/>
.
K	w5481
<g/>
.
Joh	w5483
<g/>
.
N	w5485
<g/>
.
37	w5487
<g/>
.
am	w5489
Himmelpfortg	w5490
<g/>
.
alt	w5492
4	w5493
J	w5494
<g/>
.
Dem	w5496
Joh	w5497
<g/>
.
Fuhrman	w5499
<g/>
,
k	w5501
<g/>
.
k	w5503
<g/>
.
Postill	w5505
s	w5506
<g/>
.
K	w5508
<g/>
.
Josepha	w5510
<g/>
,
Nr	w5512
<g/>
.
1	w5514
<g/>
.
auf	w5516
d	w5517
<g/>
.
Laimgr	w5519
alt	w5520
7	w5521
<g/>
.
J	w5523
<g/>
.
Dem	w5525
Andr	w5526
<g/>
.
Franz	w5528
<g/>
,
Bedient	w5530
<g/>
.
s	w5532
<g/>
.
W	w5534
<g/>
.
Kunigunda	w5536
<g/>
,
Nr	w5538
<g/>
.
86	w5540
<g/>
.
am	w5542
Neudeckerg	w5543
<g/>
.
alt	w5545
32	w5546
J	w5547
<g/>
.
Dem	w5549
Joh	w5550
<g/>
.
Thaus	w5552
<g/>
,
Eisentandl	w5554
<g/>
.
s	w5556
<g/>
.
K	w5558
<g/>
.
Jgnatz	w5560
<g/>
,
N	w5562
<g/>
.
312	w5564
<g/>
.
auf	w5566
d	w5567
<g/>
.
Wied	w5569
<g/>
.
alt	w5571
2	w5572
J	w5573
<g/>
.
Andr	w5575
<g/>
.
Wolf	w5577
<g/>
,
Schusterlehrj	w5579
<g/>
.
N	w5581
<g/>
.
300	w5583
<g/>
.
an	w5585
d	w5586
<g/>
.
Wien	w5588
<g/>
,
alt	w5590
20	w5591
J	w5592
<g/>
.
Mart	w5594
Hund	w5595
<g/>
,
Leinwathdruckergs	w5597
<g/>
.
Nr	w5599
<g/>
.
1	w5601
<g/>
.
am	w5603
Hundelb	w5604
<g/>
.
alt	w5606
22	w5607
J	w5608
<g/>
.
Anna	w5610
Rautnerin	w5611
<g/>
,
Hutzuricht	w5613
<g/>
.
Wit	w5615
<g/>
,
Nr	w5617
<g/>
.
7	w5619
<g/>
.
zu	w5621
Margar	w5622
<g/>
.
alt	w5624
80	w5625
J	w5626
<g/>
.
Joh	w5628
<g/>
.
Bubenhofer	w5630
<g/>
,
Schneid	w5632
<g/>
.
N	w5634
<g/>
.
31	w5636
<g/>
.
in	w5638
d	w5639
<g/>
.
Josephst	w5641
<g/>
.
alt	w5643
60	w5644
J	w5645
<g/>
.
Jos	w5647
Bichler	w5648
<g/>
,
Blaichkn	w5650
alt	w5651
34	w5652
J	w5653
<g/>
.
beyn	w5655
Barmherz	w5656
<g/>
.
Joh	w5658
<g/>
.
Breitter	w5660
<g/>
,
alt	w5662
35	w5663
J	w5664
<g/>
.
Joh	w5666
Rosendorfer	w5667
<g/>
,
alt	w5669
23	w5670
J	w5671
<g/>
.
beede	w5673
Kanon	w5674
<g/>
.
Paul	w5676
Ehrlich	w5677
<g/>
,
Gmr	w5679
<g/>
.
alt	w5681
28	w5682
J	w5683
<g/>
.
alle	w5685
3	w5686
im	w5687
Militärsp	w5688
<g/>
.
Anna	w5690
Blaicherin	w5691
<g/>
,
Wit	w5693
<g/>
.
alt	w5695
80	w5696
J	w5697
<g/>
.
im	w5699
Kassapau=perumsp	w5700
<g/>
=
<g/>
.
Gabriel	w5703
Füchtl	w5704
<g/>
,
Tagl	w5706
<g/>
.
alt	w5708
81	w5709
J	w5710
<g/>
.
im	w5712
Kontumazh	w5713
<g/>
.
Simon	w5715
Rauch	w5716
<g/>
,
Fleischhackerkn	w5718
<g/>
.
alt	w5720
26	w5721
J	w5722
<g/>
.
Theres	w5724
<g/>
.
Hallmerin	w5726
<g/>
,
led	w5728
<g/>
.
v	w5730
<g/>
.
k	w5732
<g/>
.
k	w5734
<g/>
.
Stadtger	w5736
<g/>
.
a	w5738
28	w5739
J	w5740
<g/>
.
Elis	w5742
<g/>
.
Millnerin	w5744
<g/>
,
Wit	w5746
<g/>
.
a	w5748
73	w5749
J	w5750
<g/>
.
alle	w5752
3	w5753
im	w5754
Bäckenh	w5755
<g/>
.
Summa	w5757
21	w5758
<g/>
.
Personen	w5760
<g/>
,
darunter	w5762
7	w5763
<g/>
.
Kind	w5765
<g/>
.
</list>
<p id="p47">
Bey	w5767
nunmehr	w5768
eintrettenden	w5769
ersten	w5770
Jahresquartal	w5771
werden	w5772
abermal	w5773
die	w5774
Liebhaber	w5775
der	w5776
Wienerzeitung	w5777
<g/>
,
wie	w5779
auch	w5780
des	w5781
posttägigen	w5782
Frag	w5783
<g/>
=
und	w5785
Kund=schaftbogens	w5786
<g/>
=
um	w5788
deren	w5789
gewöhn=liche	w5790
<g/>
=
Vorhineinbezahlung	w5792
er=sucht	w5793
<g/>
=
<g/>
;
auch	w5796
werden	w5797
wieder	w5798
neue	w5799
Billets	w5800
gegen	w5801
Aushändi=gung	w5802
<g/>
=
der	w5804
alten	w5805
ausgegeben	w5806
<g/>
,
Wenn	w5808
jemand	w5809
die	w5810
Zeitung	w5811
be=stallungsweise	w5812
<g/>
=
nehmen	w5814
will	w5815
<g/>
,
so	w5817
haben	w5818
sich	w5819
die	w5820
hier	w5821
in	w5822
Wien	w5823
An=wesende	w5824
<g/>
=
im	w5826
Zeitungskomtoir	w5827
in	w5828
der	w5829
Singerstrasse	w5830
in	w5831
dem	w5832
von	w5833
Mannerischen	w5834
Hause	w5835
N	w5836
ro	w5837
<g/>
.
931	w5839
<g/>
.
die	w5841
auswärtigen	w5842
Liebhaber	w5843
aber	w5844
in	w5845
dem	w5846
hiesigen	w5847
k	w5848
<g/>
.
k	w5850
<g/>
.
Oberst=postamte	w5852
<g/>
=
dießfalls	w5854
anzumelden	w5855
<g/>
.
</p>
<p id="p48">
Verlegt	w5857
bey	w5858
den	w5859
Edlen	w5860
v	w5861
<g/>
.
Ghelenschen	w5863
Erben	w5864
<g/>
,
in	w5866
der	w5867
Singerstrasse	w5868
Nro	w5869
<g/>
.
913	w5871
</p>
<head id="hl20">
Londen	w5887
den	w5888
11	w5889
<g/>
.
Christmonat	w5891
<g/>
.
</head>
<p id="p49">
Am	w5893
Freytage	w5894
Morgens	w5895
hatte	w5896
Admiral	w5897
Rodney	w5898
mit	w5899
dem	w5900
König	w5901
in	w5902
der	w5903
Königin	w5904
Pallast	w5905
eine	w5906
Privatunterredung	w5907
<g/>
,
und	w5909
reisete	w5910
des	w5911
Nachmittags	w5912
nach	w5913
Portsmouth	w5914
ab	w5915
<g/>
,
um	w5917
das	w5918
Kommando	w5919
der	w5920
nach	w5921
West=indien	w5922
<g/>
=
bestimmten	w5924
Flotte	w5925
zu	w5926
übernehmen	w5927
<g/>
.
Er	w5929
hat	w5930
Befehl	w5931
ohne	w5932
Zeitverlust	w5933
unter	w5934
Segel	w5935
zu	w5936
gehen	w5937
<g/>
.
General	w5939
Vaughan	w5940
be=gleitet	w5941
<g/>
=
den	w5943
Admiral	w5944
<g/>
,
und	w5946
er	w5947
wird	w5948
<g/>
,
so=bald	w5950
<g/>
=
er	w5952
in	w5953
Westindien	w5954
angekommen	w5955
<g/>
,
das	w5957
Kommando	w5958
aller	w5959
Truppen	w5960
Sr	w5961
<g/>
.
Majestät	w5963
in	w5964
diesem	w5965
Welttheile	w5966
wieder	w5967
übernehmen	w5968
<g/>
.
Rodney	w5970
wird	w5971
nur	w5972
8	w5973
Linienschiffe	w5974
mit=nehmen	w5975
<g/>
=
<g/>
,
nemlich	w5978
1	w5979
von	w5980
90	w5981
<g/>
,
4	w5983
von	w5984
75	w5985
<g/>
,
und	w5987
3	w5988
von	w5989
64	w5990
Kanonen	w5991
<g/>
.
Man	w5993
hat	w5994
ei=ne	w5995
<g/>
=
grosse	w5997
Menge	w5998
Schiffsmunition	w5999
<g/>
,
sowohl	w6001
auf	w6002
diese	w6003
Linienschiffe	w6004
<g/>
,
als	w6006
auch	w6007
auf	w6008
die	w6009
Kauffartheyschiffe	w6010
<g/>
,
welche	w6012
mit	w6013
dahin	w6014
ab=segeln	w6015
<g/>
=
<g/>
,
gebracht	w6018
<g/>
.
Der	w6020
Admiral	w6021
hatte	w6022
den	w6023
10	w6024
<g/>
.
seine	w6026
Flagge	w6027
auf	w6028
den	w6029
Arrogant	w6030
von	w6031
74	w6032
Kanonen	w6033
aufgesteckt	w6034
<g/>
.
Admiral	w6036
Kempenfelds	w6037
Escadre	w6038
besteht	w6039
aus	w6040
15	w6041
Ka=pitalschiffen	w6042
<g/>
=
<g/>
;
ihre	w6045
Bestimmung	w6046
soll	w6047
<g/>
,
wie	w6049
man	w6050
nun	w6051
versichert	w6052
<g/>
,
seyn	w6054
<g/>
,
das	w6056
Auslauf=fen	w6057
<g/>
=
der	w6059
Brester	w6060
Flotte	w6061
zu	w6062
verhindern	w6063
<g/>
.
Ein	w6065
Expresser	w6066
<g/>
,
welcher	w6068
gestern	w6069
von	w6070
Tor=bay	w6071
<g/>
=
hier	w6073
angekommen	w6074
<g/>
,
überbringt	w6076
die	w6077
Nachricht	w6078
<g/>
,
daß	w6080
eines	w6081
von	w6082
den	w6083
Schiffen	w6084
dieser	w6085
Flotte	w6086
ein	w6087
französisches	w6088
Schiff	w6089
<g/>
,
wel=ches	w6091
<g/>
=
die	w6093
Flotte	w6094
regnosciren	w6095
wollen	w6096
<g/>
,
ero=bert	w6098
<g/>
=
und	w6100
nach	w6101
Torbay	w6102
gesand	w6103
<g/>
.
</p>
<p id="p50">
Der	w6105
amerikanische	w6106
Krieg	w6107
soll	w6108
unserer	w6109
Seits	w6110
mit	w6111
aller	w6112
Macht	w6113
fortgesetzt	w6114
werden	w6115
<g/>
.
Man	w6117
wärmet	w6118
bey	w6119
dieser	w6120
Gelegenheit	w6121
das	w6122
alte	w6123
Gerücht	w6124
wieder	w6125
auf	w6126
<g/>
,
daß	w6128
<g/>
,
um	w6130
die=ses	w6131
<g/>
=
System	w6133
zu	w6134
erleichtern	w6135
<g/>
,
unser	w6137
Mini=sterium	w6138
<g/>
=
Rußland	w6140
die	w6141
Eröffnung	w6142
gethan	w6143
<g/>
,
uns	w6145
40000	w6146
Mann	w6147
Truppen	w6148
<g/>
,
und	w6150
eine	w6151
Verstärkung	w6152
an	w6153
Schiffen	w6154
zukommen	w6155
zu	w6156
lassen	w6157
<g/>
,
dagegen	w6159
will	w6160
man	w6161
demselben	w6162
die	w6163
schon	w6164
von	w6165
geraumer	w6166
Zeit	w6167
gethanene	w6168
For=derungen	w6169
<g/>
=
<g/>
,
unter	w6172
andern	w6173
die	w6174
Abtrettung	w6175
der	w6176
Jnsel	w6177
Minorka	w6178
zustehen	w6179
<g/>
.
Die	w6181
rus=sische	w6182
<g/>
=
Truppen	w6184
sollen	w6185
von	w6186
England	w6187
be=zahlt	w6188
<g/>
=
werden	w6190
<g/>
,
und	w6192
ein	w6193
jeder	w6194
Offizier	w6195
und	w6196
</p>
<p id="p51">
Gemeiner	w6197
<g/>
,
welcher	w6199
den	w6200
Krieg	w6201
überlebt	w6202
<g/>
,
soll	w6204
<g/>
,
im	w6206
Fall	w6207
Amerika	w6208
bezwungen	w6209
wird	w6210
<g/>
,
zur	w6212
Belohnung	w6213
<g/>
,
ein	w6215
Stück	w6216
Land	w6217
<g/>
,
nach	w6219
Proportion	w6220
des	w6221
Rangs	w6222
erhalten	w6223
<g/>
.
</p>
<p id="p52">
Der	w6225
Gouverneur	w6226
von	w6227
Jamaika	w6228
<g/>
,
Camp=bell	w6230
<g/>
=
<g/>
,
hat	w6233
eine	w6234
Expedition	w6235
gegen	w6236
die	w6237
spa=nische	w6238
<g/>
=
Besitzung	w6240
St	w6241
<g/>
.
Pedro	w6243
<g/>
,
an	w6245
dem	w6246
Ufer	w6247
von	w6248
Musqueto	w6249
<g/>
,
unweit	w6251
des	w6252
Forts	w6253
Omoa	w6254
<g/>
,
unternommen	w6256
<g/>
.
Er	w6258
hatte	w6259
in	w6260
Erfahrung	w6261
gebracht	w6262
<g/>
,
daß	w6264
sich	w6265
daselbst	w6266
ein	w6267
grosses	w6268
Magazin	w6269
von	w6270
Kriegsmunition	w6271
<g/>
,
Lebens=mittel	w6273
<g/>
=
<g/>
,
und	w6276
ein	w6277
grosser	w6278
Schatz	w6279
befände	w6280
<g/>
.
Zu	w6282
dem	w6283
Ende	w6284
schikte	w6285
er	w6286
ein	w6287
hinlängliches	w6288
Detachement	w6289
unter	w6290
dem	w6291
Befehl	w6292
des	w6293
Ka=pitains	w6294
<g/>
=
Brown	w6296
von	w6297
dem	w6298
60	w6299
<g/>
.
Regimente	w6301
dahin	w6302
ab	w6303
<g/>
.
Die	w6305
Spanier	w6306
erhielten	w6307
aber	w6308
noch	w6309
so	w6310
zeitliche	w6311
Nachricht	w6312
<g/>
,
daß	w6314
sie	w6315
den	w6316
Schatz	w6317
wegbringen	w6318
konnten	w6319
<g/>
.
Jn	w6321
dem	w6322
übrigen	w6323
aber	w6324
wurde	w6325
die	w6326
Absicht	w6327
erreicht	w6328
<g/>
.
Ein	w6330
grosses	w6331
Pulvermagazin	w6332
<g/>
,
Waffen	w6334
ꝛc	w6335
<g/>
.
fielen	w6337
unsern	w6338
Truppen	w6339
in	w6340
die	w6341
Hände	w6342
<g/>
,
und	w6344
das	w6345
Fort	w6346
<g/>
,
und	w6348
die	w6349
Baracken	w6350
wurden	w6351
so	w6352
zu	w6353
Grund	w6354
gerichtet	w6355
<g/>
,
daß	w6357
die	w6358
Spanier	w6359
keinen	w6360
Nutzen	w6361
mehr	w6362
davon	w6363
haben	w6364
kön=nen	w6365
<g/>
=
<g/>
.
Kapitain	w6368
Brown	w6369
ist	w6370
hierauf	w6371
<g/>
,
ohne	w6373
einen	w6374
Mann	w6375
zu	w6376
verliehren	w6377
<g/>
,
nach	w6379
Jamai=ka	w6380
<g/>
=
zurückgekehrt	w6382
<g/>
.
</p>
<p id="p53">
Die	w6384
Admiralität	w6385
hat	w6386
von	w6387
dem	w6388
Lieut	w6389
<g/>
.
Parker	w6391
<g/>
,
Befehlshaber	w6393
des	w6394
bewaffneten	w6395
königl	w6396
<g/>
.
Schiffs	w6398
<g/>
,
das	w6400
Fort	w6401
St	w6402
<g/>
.
Philipp	w6404
<g/>
,
Depeschen	w6406
erhalten	w6407
<g/>
,
sie	w6409
enthalten	w6410
<g/>
,
er	w6412
habe	w6413
ein	w6414
Korps	w6415
korsikanische	w6416
Rekrouten	w6417
<g/>
,
unter	w6419
dem	w6420
Feuer	w6421
der	w6422
feindlichen	w6423
Batte=rien	w6424
<g/>
=
<g/>
,
so	w6427
ihm	w6428
jedoch	w6429
keinen	w6430
Schaden	w6431
ge=than	w6432
<g/>
=
<g/>
,
in	w6435
den	w6436
Haven	w6437
von	w6438
Mahon	w6439
gebracht	w6440
<g/>
;
zugleich	w6442
hat	w6443
er	w6444
30	w6445
Fässer	w6446
Wein	w6447
<g/>
,
8	w6449
mit	w6450
Oehl	w6451
<g/>
,
und	w6453
eine	w6454
Menge	w6455
Früchte	w6456
<g/>
,
für	w6458
die	w6459
Garnison	w6460
an	w6461
das	w6462
Land	w6463
gebracht	w6464
<g/>
.
Gene=ral	w6466
<g/>
=
Murray	w6468
habe	w6469
ihm	w6470
90	w6471
gefangene	w6472
Spa=nier	w6473
<g/>
=
<g/>
,
welche	w6476
er	w6477
bey	w6478
einem	w6479
Ausfall	w6480
ge=macht	w6481
<g/>
=
<g/>
,
an	w6484
Bord	w6485
gegeben	w6486
<g/>
,
um	w6488
dieselbe	w6489
dem	w6490
spanischen	w6491
Konsul	w6492
zu	w6493
Livorno	w6494
zu	w6495
überliefern	w6496
<g/>
.
Lieutenant	w6498
Parker	w6499
wäre	w6500
den	w6501
22	w6502
<g/>
.
Wintermonats	w6504
von	w6505
Minorka	w6506
abgese=gelt	w6507
<g/>
=
<g/>
,
wo	w6510
sich	w6511
die	w6512
Garnison	w6513
in	w6514
dem	w6515
besten	w6516
Zustande	w6517
befand	w6518
<g/>
.
</p>
<p id="p54">
Als	w6520
die	w6521
Sheriffs	w6522
sich	w6523
bey	w6524
St	w6525
<g/>
.
Maje=stät	w6527
<g/>
=
erkundigen	w6529
<g/>
,
wenn	w6531
es	w6532
Höchstden=selben	w6533
<g/>
=
gefallen	w6535
würde	w6536
<g/>
,
ihre	w6538
unterthänig=ste	w6539
<g/>
=
Addresse	w6541
von	w6542
dem	w6543
Throne	w6544
gnädigst	w6545
anzunehmen	w6546
<g/>
;
antworteten	w6548
Se	w6549
<g/>
.
Majestät	w6551
auf	w6552
der	w6553
Stelle	w6554
<g/>
:
<g/>
„
Jch	w6557
werde	w6558
erst	w6559
unter=suchen	w6560
<g/>
=
<g/>
,
auf	w6563
was	w6564
für	w6565
eine	w6566
Ant	w6567
<g/>
,
und	w6569
wenn	w6570
Jch	w6571
diese	w6572
Addresse	w6573
annehmen	w6574
will	w6575
<g/>
,
und	w6577
will	w6578
Jhnen	w6579
sodann	w6580
solches	w6581
bekannt	w6582
ma=chen	w6583
<g/>
=
<g/>
.
<g/>
„
</p>
<p id="p55">
Verschiedene	w6587
Gentelmens	w6588
in	w6589
der	w6590
City	w6591
haben	w6592
eine	w6593
Gegenpetition	w6594
gegen	w6595
die	w6596
Re=monstration	w6597
<g/>
=
<g/>
,
und	w6600
Addresse	w6601
der	w6602
City	w6603
un=terzeichnet	w6604
<g/>
=
<g/>
,
welche	w6607
dieselbe	w6608
sogleich	w6609
<g/>
,
nach=dem	w6611
<g/>
=
die	w6613
City	w6614
die	w6615
ihrige	w6616
übergeben	w6617
<g/>
,
Sr	w6619
<g/>
.
Majestät	w6621
ebenfals	w6622
einhändigen	w6623
wollen	w6624
<g/>
.
</p>
<p id="p56">
Am	w6626
4	w6627
<g/>
.
faßte	w6629
das	w6630
Unterhaus	w6631
verschie=dene	w6632
<g/>
=
Schlüsse	w6634
in	w6635
Betref	w6636
der	w6637
Jnstruktion	w6638
für	w6639
die	w6640
errichte	w6641
Kommitte	w6642
zu	w6643
den	w6644
ostin=dischen	w6645
<g/>
=
Angelegenheiten	w6647
<g/>
.
Herr	w6649
Burke	w6650
brachte	w6651
sodann	w6652
seinen	w6653
Vorschlag	w6654
<g/>
,
in	w6656
Be=tref	w6657
<g/>
=
des	w6659
Betragens	w6660
des	w6661
Admiral	w6662
Rodneys	w6663
<g/>
,
und	w6665
General	w6666
Vaughan	w6667
<g/>
,
bey	w6669
der	w6670
Erobe=rung	w6671
<g/>
=
von	w6673
St	w6674
<g/>
.
Eustach	w6676
<g/>
,
vor	w6678
<g/>
.
Er	w6680
enthielt	w6681
<g/>
,
die	w6683
Kammer	w6684
sollte	w6685
sich	w6686
in	w6687
eine	w6688
Comitte	w6689
for=miren	w6690
<g/>
=
<g/>
,
um	w6693
eine	w6694
Untersuchung	w6695
anzustellen	w6696
<g/>
,
in	w6698
Betref	w6699
der	w6700
Konfiskation	w6701
der	w6702
Effekten	w6703
<g/>
,
Waaren	w6705
ꝛc	w6706
<g/>
.
der	w6708
neuen	w6709
Unterthanen	w6710
Sr	w6711
<g/>
.
Majestät	w6713
<g/>
,
und	w6715
der	w6716
Engländer	w6717
auf	w6718
der	w6719
Jn=sel	w6720
<g/>
=
St	w6722
<g/>
.
Eustach	w6724
<g/>
;
und	w6726
sodann	w6727
über	w6728
den	w6729
Verkauf	w6730
<g/>
,
Austheilung	w6732
<g/>
,
und	w6734
Trasporti=rung	w6735
<g/>
=
ersagter	w6737
Effekten	w6738
<g/>
,
Waaren	w6740
ꝛc	w6741
<g/>
.
nach	w6743
den	w6744
französischen	w6745
Jnseln	w6746
<g/>
,
und	w6748
andern	w6749
Herrschaften	w6750
der	w6751
Feinden	w6752
Sr	w6753
<g/>
.
Ma=jestät	w6755
<g/>
=
<g/>
.
Um	w6758
seinen	w6759
Vorschlag	w6760
zu	w6761
begün=stigen	w6762
<g/>
=
<g/>
,
hielt	w6765
er	w6766
eine	w6767
Rede	w6768
von	w6769
3	w6770
Stun=den	w6771
<g/>
=
<g/>
.
Admiral	w6774
Rodney	w6775
<g/>
,
und	w6777
General	w6778
Vaughan	w6779
suchten	w6780
sich	w6781
zu	w6782
rechtfertigen	w6783
<g/>
,
es	w6785
entstunden	w6786
zwischen	w6787
beyden	w6788
Theilen	w6789
heftige	w6790
Wortwechsel	w6791
<g/>
;
und	w6793
endlich	w6794
wurde	w6795
der	w6796
Vorschlag	w6797
mit	w6798
163	w6799
gegen	w6800
89	w6801
Stim=nen	w6802
<g/>
=
verworfen	w6804
<g/>
.
Den	w6806
5	w6807
<g/>
.
kam	w6809
in	w6810
Vor=schlag	w6811
<g/>
=
<g/>
,
dem	w6814
König	w6815
für	w6816
das	w6817
künftige	w6818
Jahr	w6819
100000	w6820
Matrosen	w6821
<g/>
,
21305	w6823
Seesoldaten	w6824
mit	w6825
darunter	w6826
begriffen	w6827
<g/>
,
und	w6829
also	w6830
10000	w6831
mehr	w6832
als	w6833
in	w6834
dem	w6835
gegenwärtigen	w6836
<g/>
,
zuzu=stehen	w6838
<g/>
=
<g/>
;
welcher	w6841
mit	w6842
einer	w6843
Mehrheit	w6844
von	w6845
143	w6846
gegen	w6847
75	w6848
Stimmen	w6849
durchgieng	w6850
<g/>
.
Den	w6852
6	w6853
<g/>
.
wurde	w6855
dem	w6856
Hause	w6857
Bericht	w6858
davon	w6859
er=stattet	w6860
<g/>
=
<g/>
,
und	w6863
daß	w6864
jedem	w6865
Mann	w6866
derselben	w6867
4	w6868
Pf	w6869
<g/>
.
St	w6871
<g/>
.
monatlich	w6873
zugestanden	w6874
werden	w6875
</p>
<p id="p57">
sollten	w6876
<g/>
.
Gestern	w6878
ist	w6879
in	w6880
beyden	w6881
Häusern	w6882
nichts	w6883
wichtiges	w6884
vorgekommen	w6885
<g/>
.
</p>
<p id="p58">
Man	w6887
sagt	w6888
<g/>
,
General	w6890
Clinton	w6891
werde	w6892
zu=rückberuffen	w6893
<g/>
=
werden	w6895
<g/>
.
Lord	w6897
Cornwallis	w6898
wird	w6899
mit	w6900
verschiedenen	w6901
Offiziers	w6902
von	w6903
sei=ner	w6904
<g/>
=
unglücklichen	w6906
Armee	w6907
alle	w6908
Augenblick	w6909
hier	w6910
erwartet	w6911
<g/>
.
</p>
<p id="p59">
Aufgebrachte	w6913
Prisen	w6914
<g/>
;
ein	w6916
französischer	w6917
Kapper	w6918
in	w6919
Londonderey	w6920
<g/>
;
1	w6922
schwedisches	w6923
Schiff	w6924
mit	w6925
Masten	w6926
<g/>
,
Hanf	w6928
<g/>
,
Eisen	w6930
<g/>
,
Theer	w6932
in	w6933
Leeth	w6934
<g/>
,
die	w6936
Ladung	w6937
gehörte	w6938
einem	w6939
hol=ländischen	w6940
<g/>
=
Schiffe	w6942
<g/>
,
welches	w6944
in	w6945
Norwegen	w6946
überwintern	w6947
wollte	w6948
<g/>
;
es	w6950
kam	w6951
von	w6952
Bergen	w6953
<g/>
,
und	w6955
gieng	w6956
nach	w6957
Rotterdam	w6958
<g/>
;
1	w6960
holländi=sches	w6961
<g/>
=
Schiff	w6963
von	w6964
Amsterdam	w6965
nach	w6966
Boston	w6967
mit	w6968
Kaufmannsgüter	w6969
ꝛc	w6970
<g/>
.
in	w6972
Falmouth	w6973
<g/>
;
1	w6975
spanisches	w6976
Paquetboot	w6977
von	w6978
Cadix	w6979
nach	w6980
Bordeaux	w6981
in	w6982
Penzance	w6983
<g/>
.
Der	w6985
Kapitain	w6986
Mackride	w6987
auf	w6988
der	w6989
Fregatte	w6990
Artois	w6991
von	w6992
40	w6993
Kanonen	w6994
<g/>
,
hat	w6996
unter	w6997
dem	w6998
4	w6999
<g/>
.
dieses	w7001
aus	w7002
dem	w7003
Humberfluß	w7004
der	w7005
Admiralität	w7006
gemel=det	w7007
<g/>
=
<g/>
,
daß	w7010
er	w7011
den	w7012
3	w7013
<g/>
.
dieses	w7015
2	w7016
Kaper	w7017
von	w7018
Amsterdam	w7019
<g/>
,
Herkules	w7021
und	w7022
Mars	w7023
<g/>
,
Kapit	w7025
<g/>
.
Hogenboom	w7027
<g/>
,
Vater	w7029
und	w7030
Sohn	w7031
<g/>
,
erobert	w7033
<g/>
.
Diese	w7035
beyde	w7036
holländische	w7037
Kaper	w7038
waren	w7039
den	w7040
30	w7041
<g/>
.
Wintermonat	w7043
aus	w7044
den	w7045
Texel	w7046
gelau=fen	w7047
<g/>
=
<g/>
,
und	w7050
hatten	w7051
weiter	w7052
nichts	w7053
als	w7054
ein	w7055
Fischerboot	w7056
erobert	w7057
<g/>
.
Ein	w7059
amerikanisches	w7060
Schiff	w7061
<g/>
,
der	w7063
General	w7064
Washington	w7065
<g/>
,
von	w7067
28	w7068
Kanonen	w7069
in	w7070
Halifax	w7071
<g/>
;
ein	w7073
französisches	w7074
Schiff	w7075
von	w7076
Port	w7077
au	w7078
Prince	w7079
mit	w7080
rohen	w7081
und	w7082
geläutertem	w7083
Zucker	w7084
<g/>
,
Syrop	w7086
<g/>
,
Rum	w7088
<g/>
,
Ta=back	w7090
<g/>
=
<g/>
,
welche	w7093
Ladung	w7094
<g/>
,
ohne	w7096
das	w7097
Schiff	w7098
<g/>
,
so	w7100
3000	w7101
Pf	w7102
<g/>
.
St	w7104
<g/>
.
werth	w7106
<g/>
,
auf	w7108
25000	w7109
Pf	w7110
<g/>
.
Sterl	w7112
<g/>
.
gerechnet	w7114
wird	w7115
<g/>
,
in	w7117
Penzance	w7118
<g/>
;
eine	w7120
französische	w7121
Snan	w7122
von	w7123
28	w7124
Kanonen	w7125
<g/>
,
Royal	w7127
Louis	w7128
genannt	w7129
<g/>
,
an	w7131
der	w7132
Küste	w7133
von	w7134
Jrrland	w7135
<g/>
;
mit	w7137
heut	w7138
aus	w7139
Newfound=land	w7140
<g/>
=
eingegangenen	w7142
Depeschen	w7143
<g/>
,
hat	w7145
man	w7146
Nachricht	w7147
erhalten	w7148
<g/>
,
daß	w7150
die	w7151
königliche	w7152
Kreuzer	w7153
6	w7154
grosse	w7155
amerikanische	w7156
Kapers	w7157
in	w7158
St	w7159
<g/>
.
John	w7161
eingebracht	w7162
<g/>
.
</p>
<head id="hl21">
Londen	w7164
<g/>
,
den	w7166
12	w7167
<g/>
.
Christmonat	w7169
<g/>
.
</head>
<p id="p60">
Seit	w7171
einigen	w7172
Tagen	w7173
spricht	w7174
man	w7175
stark	w7176
von	w7177
einem	w7178
Wechsel	w7179
in	w7180
dem	w7181
Ministerio	w7182
<g/>
.
Sollte	w7184
er	w7185
eigentlich	w7186
vor	w7187
sich	w7188
gehen	w7189
<g/>
,
so	w7191
wird	w7192
doch	w7193
in	w7194
dem	w7195
angenommenen	w7196
Sy=sten	w7197
<g/>
=
<g/>
,
den	w7200
Krieg	w7201
auf	w7202
künftiges	w7203
Jahr	w7204
mit	w7205
allem	w7206
Nachdrucke	w7207
fortzusetzen	w7208
<g/>
,
keine	w7210
Ab=änderung	w7211
<g/>
=
geschehen	w7213
<g/>
.
Einige	w7215
erhabene	w7216
Personen	w7217
