<doc id="wr_1759-03-10" attrs="word" year="1759" month="03" day="10" corpus="2">
<head id="h2_d329e3434">
Münden	w1_d329e3438
Wol=geborne	w1_d329e14261
Herr	w3_d329e14264
Christoph	w5_d329e14267
Leopold	w7_d329e14270
Graf	w9_d329e14273
von	w11_d329e14276
Schallenberg	w1_d329e14282
schriftlich	w3_d329e14285
angezeiget,	w5_d329e14288
welchergestal	w7_d329e14291
ren	w1_d329e14296
vermög	w3_d329e14299
producirten	w5_d329e14302
Weisbottenamtsex	w7_d329e14305
tracts	w1_d329e14310
alda	w3_d329e14313
sub	w5_d329e14316
Num.	w7_d329e14319
1.	w9_d329e14322
den	w11_d329e14325
24.	w13_d329e14329
Martii	w15_d329e14332
1673.	w17_d329e14335
Herr	w1_d329e14340
Johann	w3_d329e14343
Christoph	w5_d329e14346
von	w7_d329e14349
Rothall	w9_d329e14352
contra	w11_d329e14355
Hrn.	w13_d329e14359
Christoph	w1_d329e14365
Grafen	w3_d329e14368
von	w5_d329e14371
Schallenberg	w7_d329e14374
Erben	w9_d329e14377
we	w11_d329e14380
gen	w1_d329e14385
3000.	w3_d329e14388
fl.	w5_d329e14391
auf	w7_d329e14394
die	w9_d329e14397
Herrschaft	w11_d329e14400
Rosenau	w13_d329e14404
samt	w15_d329e14407
aller	w1_d329e14412
Zugehör,	w3_d329e14415
als	w5_d329e14418
Tätz,	w7_d329e14421
Ungeld,	w9_d329e14424
und	w11_d329e14427
derglei	w13_d329e14431
</p>
<p id="p8_d329e14434">
chen	w1_d329e14438
inhibiret	w3_d329e14441
hätte:	w5_d329e14444
zumalen	w7_d329e14447
aber	w9_d329e14450
dieses	w11_d329e14453
Capi	w13_d329e14457
tal	w1_d329e14462
schon	w3_d329e14465
vor	w5_d329e14468
vielen	w7_d329e14471
Jahren,	w9_d329e14474
und	w11_d329e14477
zwar	w13_d329e14481
annoch	w15_d329e14484
von	w1_d329e14489
seinem	w3_d329e14492
Vattern	w5_d329e14495
seel.	w7_d329e14498
um	w9_d329e14501
so	w11_d329e14504
glaublicher	w13_d329e14508
ab	w15_d329e14511
gestossen	w1_d329e14517
wäre,	w3_d329e14520
als	w5_d329e14523
weder	w7_d329e14526
sein	w9_d329e14529
gerichtlichauf	w11_d329e14532
gestellt=geweste	w1_d329e14537
Vormünder,	w3_d329e14540
viel	w5_d329e14543
weniger	w7_d329e14546
er	w9_d329e14549
hievon	w1_d329e14554
ein	w3_d329e14557
Jnteresse	w5_d329e14560
abgeführet,	w7_d329e14563
noch	w9_d329e14566
auch	w11_d329e14569
von	w13_d329e14573
der	w1_d329e14578
Gräfl.	w3_d329e14581
Rothallischen	w5_d329e14584
Familie	w7_d329e14587
jemal	w9_d329e14590
etwas	w11_d329e14593
an	w13_d329e14597
verlanget,	w1_d329e14603
und	w3_d329e14606
angefangen	w5_d329e14609
worden	w7_d329e14612
wäre;	w9_d329e14615
folg	w11_d329e14618
bar	w1_d329e14623
diese	w3_d329e14626
Schuld	w5_d329e14629
absque	w7_d329e14632
causa	w9_d329e14635
annoch	w11_d329e14638
auf	w13_d329e14642
seine	w15_d329e14645
Herrschaft	w1_d329e14650
Rosenau	w3_d329e14653
haftete,	w5_d329e14656
solchemnach	w7_d329e14659
gebet	w9_d329e14662
ten,	w1_d329e14667
ich	w3_d329e14670
geruhete	w5_d329e14673
sothane	w7_d329e14676
Post	w9_d329e14679
bey	w11_d329e14682
dem	w13_d329e14686
Weis	w15_d329e14689
botten=amt	w1_d329e14695
hinwiederumen	w3_d329e14698
ex	w5_d329e14701
officio	w7_d329e14704
caßiren	w9_d329e14707
lassen;	w1_d329e14712
wann	w3_d329e14715
Fiat	w5_d329e14718
mit	w7_d329e14721
Vorwissen	w9_d329e14724
verwil	w11_d329e14727
liget	w1_d329e14732
worden,	w3_d329e14735
von	w5_d329e14738
euch,	w7_d329e14741
und	w9_d329e14744
euren	w11_d329e14747
Erben	w13_d329e14751
aber	w15_d329e14754
niemand	w1_d329e14759
wissend,	w3_d329e14762
noch	w5_d329e14765
zu	w7_d329e14768
erfragen	w9_d329e14771
ist,	w11_d329e14774
als	w13_d329e14778
wird	w15_d329e14781
euch	w1_d329e14787
sothane	w3_d329e14790
ergangene	w5_d329e14793
Caßirungsvorwissens	w7_d329e14796
verordnung	w1_d329e14801
hiemit	w3_d329e14804
edictaliter	w5_d329e14807
intimiret.	w7_d329e14810
Wien	w9_d329e14813
den	w1_d329e14818
14.	w3_d329e14821
Decembris	w5_d329e14824
1758.	w7_d329e14827
</p>
<p id="p10_d329e14830">
Jch	w1_d329e14834
Johann	w3_d329e14837
Willhelm	w5_d329e14840
des	w7_d329e14843
Heil.	w9_d329e14846
Röm.	w11_d329e14849
Reichs	w13_d329e14853
fürst	w1_d329e14858
Trautson,	w3_d329e14861
Graf	w5_d329e14864
zu	w7_d329e14867
Falkenstein,	w9_d329e14870
Ritter	w11_d329e14873
des	w13_d329e14877
goldenen	w1_d329e14882
Vliesses,	w3_d329e14885
Jhrer	w5_d329e14888
Kaiserl.	w7_d329e14891
Königl.	w9_d329e14894
Apo	w11_d329e14897
stolischen	w1_d329e14903
Majestät	w3_d329e14906
würklich	w5_d329e14909
geheimer	w7_d329e14912
Raht,	w9_d329e14915
Ob	w11_d329e14918
rister	w1_d329e14923
Hof=meister,	w3_d329e14926
und	w5_d329e14929
Land=marschall	w7_d329e14932
in	w9_d329e14935
Oester	w11_d329e14938
reich	w1_d329e14943
unter	w3_d329e14946
der	w5_d329e14949
Enns.	w7_d329e14952
Entbiete	w9_d329e14955
N.	w11_d329e14958
allen	w13_d329e14962
und	w15_d329e14965
je	w17_d329e14968
den,	w1_d329e14973
was	w3_d329e14976
Standes	w5_d329e14979
und	w7_d329e14982
Würden	w9_d329e14985
die	w11_d329e14988
seynd,	w13_d329e14992
der	w15_d329e14995
Gebühr	w1_d329e15001
nach,	w3_d329e15004
meinen	w5_d329e15007
respective	w7_d329e15010
Dienst	w9_d329e15013
in	w11_d329e15016
guten	w13_d329e15020
Willen	w1_d329e15025
zuvor,	w3_d329e15028
und	w5_d329e15031
füge	w7_d329e15034
hiemit	w9_d329e15037
zu	w11_d329e15040
vernehmen.	w13_d329e15044
</p>
<p id="p12_d329e15048">
Es	w1_d329e15052
habe	w3_d329e15055
bey	w5_d329e15058
dem	w7_d329e15061
mir	w9_d329e15064
allergnädigst	w11_d329e15067
anvertrau	w13_d329e15071
ten	w1_d329e15076
N.	w3_d329e15079
Oe.	w5_d329e15082
Land=marschallischen	w7_d329e15085
Gericht,	w9_d329e15088
der	w11_d329e15091
Christian	w1_d329e15096
Gottlieb	w3_d329e15099
Dondorf	w5_d329e15102
Kaiserl.	w7_d329e15105
Königl.	w9_d329e15108
Hof	w11_d329e15111
fourier,	w1_d329e15117
als	w3_d329e15120
gerichtl.	w5_d329e15123
verordneter	w7_d329e15126
Franz	w9_d329e15129
Götzisischer	w11_d329e15132
Pupillen=gerhab,	w1_d329e15137
und	w3_d329e15140
respective	w5_d329e15143
Sequester,	w7_d329e15146
aber	w9_d329e15149
malen	w1_d329e15154
schriftlich	w3_d329e15157
angezeiget,	w5_d329e15160
welcher	w7_d329e15163
Gestalten	w9_d329e15166
die	w11_d329e15169
vorhin	w1_d329e15174
angeordnet	w3_d329e15177
geweste	w5_d329e15180
Licitations=tagsatzung	w7_d329e15183
des	w1_d329e15189
in	w3_d329e15192
die	w5_d329e15195
Götzische	w7_d329e15198
Massam	w9_d329e15201
gehörig,	w11_d329e15204
zu	w13_d329e15208
Gun	w15_d329e15211
dramstorf	w1_d329e15216
befindlichen	w3_d329e15219
sogenannten	w5_d329e15222
Traun=hofes	w7_d329e15225
cum	w1_d329e15230
Appertinentiis	w3_d329e15233
in	w5_d329e15236
Ermanglung	w7_d329e15239
einiger	w9_d329e15242
Kauf	w11_d329e15245
feren	w1_d329e15250
ihren	w3_d329e15253
Fortgang	w5_d329e15256
nicht	w7_d329e15259
hätte	w9_d329e15262
erreichen	w11_d329e15265
kön	w13_d329e15269
nen;	w1_d329e15275
diesemnach	w3_d329e15278
gehorsamst	w5_d329e15281
gebetten,	w7_d329e15284
ich	w9_d329e15287
geru	w11_d329e15290
hete	w1_d329e15295
ein	w3_d329e15298
nochmaliges	w5_d329e15301
Licitations=edict	w7_d329e15304
bey	w9_d329e15307
der	w11_d329e15310
Canzley	w1_d329e15315
ausfertigen	w3_d329e15318
zu	w5_d329e15321
lassen.	w7_d329e15324
</p>
<p id="p14_d329e15327">
Wann	w1_d329e15331
nun	w3_d329e15334
hierinfals	w5_d329e15337
verwilliget,	w7_d329e15340
und	w9_d329e15343
zur	w11_d329e15346
end	w13_d329e15350
lichen	w1_d329e15355
Licitations=tagsatzung	w3_d329e15358
der	w5_d329e15361
3.	w7_d329e15364
künftigen	w9_d329e15367
Mo	w11_d329e15370
nats	w1_d329e15375
April	w3_d329e15378
bestimmet	w5_d329e15381
worden	w7_d329e15384
ist.	w9_d329e15387
</p>
<p id="p16_d329e15390">
Als	w1_d329e15394
hat	w3_d329e15397
man	w5_d329e15400
ein	w7_d329e15403
solches	w9_d329e15406
hiemit	w11_d329e15409
zu	w13_d329e15413
dem	w15_d329e15416
Ende	w17_d329e15419
jedermänniglichen	w1_d329e15424
nochmalen	w3_d329e15427
kund	w5_d329e15430
machen	w7_d329e15433
wollen,	w9_d329e15436
damit	w1_d329e15441
der	w3_d329e15444
oder	w5_d329e15447
diejenige,	w7_d329e15450
so	w9_d329e15453
obbemeldt	w11_d329e15456
Gözisch	w13_d329e15460
sogenannten	w1_d329e15466
zu	w3_d329e15469
Gundramstorf	w5_d329e15472
befindlichen	w7_d329e15475
Traun	w9_d329e15478
hof	w1_d329e15483
cum	w3_d329e15486
Appertinentiis	w5_d329e15489
käuflichen	w7_d329e15492
an	w9_d329e15495
sich	w11_d329e15498
zu	w13_d329e15502
brin	w15_d329e15505
gen	w1_d329e15510
willens	w3_d329e15513
seynd,	w5_d329e15516
an	w7_d329e15519
obbestimmten	w9_d329e15522
Tag	w11_d329e15525
fruhe	w13_d329e15529
um	w1_d329e15534
8.	w3_d329e15537
Uhr	w5_d329e15540
ad	w7_d329e15543
licitandum	w9_d329e15546
tractandum,	w11_d329e15549
&	w13_d329e15553
con-	w15_d329e15556
cludendum	w1_d329e15562
vor	w3_d329e15565
Gericht	w5_d329e15568
zu	w7_d329e15571
erscheinen	w9_d329e15574
wissen	w11_d329e15577
mö	w13_d329e15581
gen,	w1_d329e15586
Wien	w3_d329e15589
den	w5_d329e15592
5.	w7_d329e15595
Martii	w9_d329e15598
1759.	w11_d329e15601
</p>
<p id="p18_d329e15604">
Bey	w1_d329e15608
Augustin	w3_d329e15611
Schatten	w5_d329e15614
Burgerl.	w7_d329e15617
Buchbinder	w9_d329e15620
in	w1_d329e15625
der	w3_d329e15628
unteren	w5_d329e15631
Bäcken=strassen,	w7_d329e15634
im	w9_d329e15637
Hiermannischen	w11_d329e15640
Haus,	w1_d329e15645
sind	w3_d329e15648
zu	w5_d329e15651
haben	w7_d329e15654
Extra	w9_d329e15657
feine	w11_d329e15660
Souvenir,	w13_d329e15664
in	w15_d329e15667
</p>
<p id="p24_d329e15681">
Carmesin	w1_d329e15685
mit	w3_d329e15688
Karten	w5_d329e15691
und	w7_d329e15694
Bleystesten,	w9_d329e15697
eins	w11_d329e15700
per	w13_d329e15704
1.	w1_d329e15709
fl.	w3_d329e15712
8.	w5_d329e15715
kr.,	w7_d329e15718
deto	w9_d329e15721
mit	w11_d329e15724
Karten	w13_d329e15728
zum	w15_d329e15731
auslöschen	w17_d329e15734
das	w1_d329e15739
Stuck	w3_d329e15742
per	w5_d329e15745
1.	w7_d329e15748
fl.	w9_d329e15751
16.	w11_d329e15754
kr.	w13_d329e15758
</p>
<p id="p26_d329e15761">
Den	w1_d329e15765
12.	w3_d329e15768
künftigen	w5_d329e15771
Monats	w7_d329e15774
Martii	w9_d329e15777
fruh	w11_d329e15780
um	w13_d329e15784
9.	w15_d329e15787
Uhr	w1_d329e15792
werden	w3_d329e15795
in	w5_d329e15798
dem	w7_d329e15801
sogenannten	w9_d329e15804
blauen	w11_d329e15807
oder	w1_d329e15812
Carmeliter=haus	w1_d329e15818
in	w3_d329e15821
der	w5_d329e15824
Koht=gassen,	w7_d329e15827
nächst	w9_d329e15830
de	w11_d329e15833
nen	w1_d329e15838
Casarmen	w3_d329e15841
am	w5_d329e15844
Getreid=markt	w7_d329e15847
einige	w9_d329e15850
Manns	w11_d329e15853
kleider,	w1_d329e15858
Wäsch,	w3_d329e15861
ein	w5_d329e15864
silberner	w7_d329e15867
Degen,	w9_d329e15870
und	w11_d329e15873
an	w13_d329e15877
dere	w1_d329e15882
Kleinigkeiten	w3_d329e15885
dem	w5_d329e15888
Meistbietenden	w7_d329e15891
gegen	w9_d329e15894
baa	w11_d329e15897
rer	w1_d329e15903
Bezahlung	w3_d329e15906
verkauffet	w5_d329e15909
werden,	w7_d329e15912
so	w9_d329e15915
denen,	w11_d329e15918
wel	w13_d329e15922
che	w1_d329e15927
hiervon	w3_d329e15930
etwas	w5_d329e15933
erkauffen	w7_d329e15936
wollen,	w9_d329e15939
hiemit	w11_d329e15942
zur	w13_d329e15946
Nachricht	w1_d329e15951
erinneret	w3_d329e15954
wird.	w5_d329e15957
</p>
<p id="p28_d329e15960">
Es	w1_d329e15964
ist	w3_d329e15967
ein	w5_d329e15970
Billiard,	w7_d329e15973
nebst	w9_d329e15976
aller	w11_d329e15979
Zugehör	w13_d329e15983
und	w15_d329e15986
Beleuchtung;	w1_d329e15991
wie	w3_d329e15994
auch	w5_d329e15997
3.	w7_d329e16000
Faß,	w9_d329e16003
jedes	w11_d329e16006
bey	w13_d329e16010
20.	w15_d329e16013
Emer	w1_d329e16018
des	w3_d329e16021
allerbesten	w5_d329e16024
NußbergerOesterreicher	w7_d329e16027
wein	w1_d329e16033
von	w3_d329e16036
Anno	w5_d329e16039
1745.	w7_d329e16042
1746.	w9_d329e16045
1747.	w11_d329e16048
zu	w13_d329e16052
verkauf	w15_d329e16055
fen,	w1_d329e16060
und	w3_d329e16063
ist	w5_d329e16066
sich	w7_d329e16069
diesfalls	w9_d329e16072
auf	w11_d329e16075
dem	w13_d329e16079
alten	w15_d329e16082
Fleisch	w17_d329e16085
markt,	w1_d329e16090
in	w3_d329e16093
dem	w5_d329e16096
Zwölferischen	w7_d329e16099
Haus	w9_d329e16102
bey	w11_d329e16105
dasigen	w13_d329e16109
Haus=meister	w1_d329e16114
anzumelden.	w3_d329e16117
</p>
<p id="p30_d329e16120">
Auf	w1_d329e16124
Verordnung	w3_d329e16127
einer	w5_d329e16130
Hochlöbl.	w7_d329e16133
N.	w9_d329e16136
Oe.	w11_d329e16139
Re	w13_d329e16143
gierung	w1_d329e16148
in	w3_d329e16151
Justitz=sachen	w5_d329e16154
werden	w7_d329e16157
den	w9_d329e16160
14.	w11_d329e16163
Martii	w13_d329e16167
Vormittag	w1_d329e16172
von	w3_d329e16175
9.	w5_d329e16178
bis	w7_d329e16181
12.,	w9_d329e16184
dann	w11_d329e16187
Nachmittag	w13_d329e16191
von	w1_d329e16197
3.	w3_d329e16200
bis	w5_d329e16203
6.	w7_d329e16206
Uhr,	w9_d329e16209
in	w11_d329e16212
der	w13_d329e16216
Obern	w15_d329e16219
Bäcker=strassen	w17_d329e16222
in	w1_d329e16227
Fabischen	w3_d329e16230
Haus	w5_d329e16233
im	w7_d329e16236
ersten	w9_d329e16239
Stock,	w11_d329e16242
verschiedene	w13_d329e16246
Verlassenschafts=effecten,	w1_d329e16251
als	w3_d329e16254
ein	w5_d329e16257
goldenes	w7_d329e16260
Creutz,	w9_d329e16263
Sack=uhr,	w1_d329e16268
und	w3_d329e16271
deto	w5_d329e16274
Tabatiere,	w7_d329e16277
Tafel=silber,	w9_d329e16280
Manns=kleider,	w1_d329e16286
Weiß=zeug,	w3_d329e16289
Gewehr,	w5_d329e16292
dann	w7_d329e16295
Spa	w9_d329e16298
lier,	w1_d329e16303
und	w3_d329e16306
andere	w5_d329e16309
Zimmer=mobilien,	w7_d329e16312
wie	w9_d329e16315
auch	w11_d329e16318
Wägen,	w1_d329e16323
Reit=zeig,	w3_d329e16326
und	w5_d329e16329
Pferd=geschirr,	w7_d329e16332
licitan	w9_d329e16335
do	w1_d329e16340
dem	w3_d329e16343
Meist=bietenden,	w5_d329e16346
und	w7_d329e16349
baar	w9_d329e16352
bezahlenden	w11_d329e16355
hindann	w1_d329e16361
gegeben.	w3_d329e16364
</p>
<p id="p32_d329e16367">
Es	w1_d329e16371
ist	w3_d329e16374
zu	w5_d329e16377
Laybach	w7_d329e16380
bey	w9_d329e16383
dem	w11_d329e16386
in	w13_d329e16390
Paul	w15_d329e16393
Riclas	w17_d329e16396
Graf	w1_d329e16401
von	w3_d329e16404
Bucellenischen,	w5_d329e16407
das	w7_d329e16410
Stahl	w9_d329e16413
Eisen=berg,	w11_d329e16416
und	w1_d329e16421
Hammer=werk	w3_d329e16424
Sava	w5_d329e16427
betreffenden	w7_d329e16430
Angelegen	w9_d329e16433
heiten	w1_d329e16439
Allergnädigst	w3_d329e16442
angeordneten	w5_d329e16445
Hochlöbl.	w7_d329e16448
Ju-	w9_d329e16451
dicio	w1_d329e16456
Delegato	w3_d329e16459
in	w5_d329e16462
Crain	w7_d329e16465
durch	w9_d329e16468
Affigirung	w11_d329e16471
eines	w13_d329e16475
Patents	w1_d329e16480
publicirt	w3_d329e16483
worden,	w5_d329e16486
daß	w7_d329e16489
das	w9_d329e16492
erträglich	w11_d329e16495
und	w13_d329e16499
reiche	w1_d329e16504
Paul	w3_d329e16507
Nielas	w5_d329e16510
Graf	w7_d329e16513
von	w9_d329e16516
Buccellenische	w11_d329e16519
Stahl=eisen=berg,	w1_d329e16525
und	w3_d329e16528
Hammer=werk	w5_d329e16531
Sava,	w7_d329e16534
und	w9_d329e16537
was	w1_d329e16542
deme	w3_d329e16545
mehrers	w5_d329e16548
anhangig,	w7_d329e16551
den	w9_d329e16554
6.	w11_d329e16557
kommenden	w13_d329e16561
Monats	w1_d329e16566
Augusti	w3_d329e16569
wehrenden	w5_d329e16572
Jahrs	w7_d329e16575
in	w9_d329e16578
dem	w11_d329e16581
Haus	w13_d329e16585
des	w1_d329e16590
hochgebornen	w3_d329e16593
Herrn	w5_d329e16596
Herrn	w7_d329e16599
Franz	w9_d329e16602
Adam	w11_d329e16605
des	w13_d329e16609
Heil.	w1_d329e16615
Röm.	w3_d329e16618
Reichs	w5_d329e16621
Grafen	w7_d329e16624
von	w9_d329e16627
Lamberg	w11_d329e16630
Jhrer	w13_d329e16634
Kaiserl.	w1_d329e16639
Königl.	w3_d329e16642
Apostolischen	w5_d329e16645
Majestät	w7_d329e16648
würkli	w9_d329e16651
chen	w1_d329e16656
Cammer=herrn,	w3_d329e16659
als	w5_d329e16662
in	w7_d329e16665
Sachen	w9_d329e16668
allergnädigst	w11_d329e16671
aufgestelten	w1_d329e16676
Præsidi	w3_d329e16679
plus	w5_d329e16682
offerenti	w7_d329e16685
licitando	w9_d329e16688
eigen	w1_d329e16694
hindann	w3_d329e16697
gegeben	w5_d329e16700
werden	w7_d329e16703
solle.	w9_d329e16706
Als	w11_d329e16709
wirdet	w13_d329e16713
auch	w1_d329e16718
allen	w3_d329e16721
und	w5_d329e16724
jeden	w7_d329e16727
Liebhabern	w9_d329e16730
anmit	w11_d329e16733
kund	w13_d329e16737
ge	w15_d329e16740
macht,	w1_d329e16745
daß,	w3_d329e16748
wer	w5_d329e16751
solches	w7_d329e16754
an	w9_d329e16757
sich	w11_d329e16760
zu	w13_d329e16764
bringen	w15_d329e16767
den	w17_d329e16770
fet,	w1_d329e16775
er	w3_d329e16778
zur	w5_d329e16781
Uberkommung	w7_d329e16784
zulänglicher	w9_d329e16787
Jnforma	w11_d329e16790
tion	w1_d329e16796
respeetn	w3_d329e16799
des	w5_d329e16802
Werts,	w7_d329e16805
an	w9_d329e16808
den	w11_d329e16811
Herrn	w13_d329e16815
Franz	w15_d329e16818
von	w1_d329e16823
Frankenfeld	w3_d329e16826
U.	w5_d329e16829
J.	w7_d329e16832
D.	w9_d329e16835
als	w11_d329e16838
bey	w13_d329e16842
der	w15_d329e16845
Hofcom	w17_d329e16848
mißion	w1_d329e16853
Actuatio	w3_d329e16856
angewisen	w5_d329e16859
werde.	w7_d329e16862
Laybach	w9_d329e16865
den	w11_d329e16868
3.	w1_d329e16873
Martii	w3_d329e16876
1759.	w5_d329e16879
</p>
<head id="h2_d329e16886">
EDICT.	w1_d329e16890
</head>
<p id="p4_d329e16893">
Wir	w1_d329e16897
Endes	w3_d329e16900
Unterschriebene	w5_d329e16903
von	w7_d329e16906
einem	w9_d329e16909
Löbl.	w11_d329e16912
Land=marschallischen	w1_d329e16917
Gericht	w3_d329e16920
verordnete	w5_d329e16923
Commis	w7_d329e16926
sarii	w1_d329e16931
geben	w3_d329e16934
hiemit	w5_d329e16937
allen	w7_d329e16940
und	w9_d329e16943
jeden,	w11_d329e16946
so	w13_d329e16950
an	w15_d329e16953
den	w17_d329e16956
Herrn	w1_d329e16962
Ferdinand	w3_d329e16965
Grafen	w5_d329e16968
von	w7_d329e16971
Kuefstein,	w9_d329e16974
Sprüch	w11_d329e16977
und	w1_d329e16982
Anforderung	w3_d329e16985
haben,	w5_d329e16988
oder	w7_d329e16991
zu	w9_d329e16994
machen	w11_d329e16997
ver	w13_d329e17001
meinen,	w1_d329e17006
und	w3_d329e17009
sich	w5_d329e17012
etwann	w7_d329e17015
bey	w9_d329e17018
der	w11_d329e17021
erstlich	w13_d329e17025
vorgewe	w15_d329e17028
sten	w1_d329e17033
Convocations=tagsatzung	w3_d329e17036
nicht	w5_d329e17039
angemeldet	w7_d329e17042
haben,	w1_d329e17048
zu	w3_d329e17051
wissen;	w5_d329e17054
wasgestalten	w7_d329e17057
der	w9_d329e17060
gerichtlich	w11_d329e17063
ernannte	w1_d329e17068
Herr	w3_d329e17071
Curator	w5_d329e17074
des	w7_d329e17077
obbemeldeten	w9_d329e17080
Herrn	w11_d329e17083
Grafens	w1_d329e17088
Ferdinand	w3_d329e17091
von	w5_d329e17094
Kuefstein	w7_d329e17097
(Tit.)	w9_d329e17100
Herr	w11_d329e17103
Christoph	w1_d329e17108
Graf	w3_d329e17111
von	w5_d329e17114
Cavriani,	w7_d329e17117
abermalen	w9_d329e17120
des	w11_d329e17123
mehreren	w1_d329e17129
angezeiget:	w3_d329e17132
Wie	w5_d329e17135
daß	w7_d329e17138
zwar	w9_d329e17141
die	w11_d329e17144
erste	w13_d329e17148
Convocations=tagsatzung	w1_d329e17153
ihren	w3_d329e17156
Fortgang	w5_d329e17159
errei	w7_d329e17162
chet,	w1_d329e17167
wie	w3_d329e17170
nun	w5_d329e17173
aber	w7_d329e17176
etwann	w9_d329e17179
bey	w11_d329e17182
solcher	w13_d329e17186
alle	w15_d329e17189
Cre	w17_d329e17192
dits=partheyen	w1_d329e17197
(ungehindert	w3_d329e17200
solche	w5_d329e17203
in	w7_d329e17206
die	w9_d329e17209
Zeitung	w11_d329e17212
eingedruckt	w1_d329e17218
gewesen)	w3_d329e17221
nicht	w5_d329e17224
erschienen	w7_d329e17227
seyn	w9_d329e17230
dörf	w11_d329e17233
ten,	w1_d329e17238
ihme	w3_d329e17241
aber	w5_d329e17244
doch	w7_d329e17247
daran	w9_d329e17250
gelegen	w11_d329e17253
seyn	w13_d329e17257
wolte,	w15_d329e17260
den	w1_d329e17265
gesamten	w3_d329e17268
Statum	w5_d329e17271
passivum	w7_d329e17274
eigentlich	w9_d329e17277
zu	w11_d329e17280
wissen,	w1_d329e17285
als	w3_d329e17288
hat	w5_d329e17291
selber	w7_d329e17294
gebetten	w9_d329e17297
in	w11_d329e17300
Ausfertigung	w13_d329e17304
eines	w1_d329e17310
nochmaligen	w3_d329e17313
sub	w5_d329e17316
2do.	w7_d329e17319
&	w9_d329e17322
3tio.	w11_d329e17325
Termino	w13_d329e17329
clau.	w15_d329e17332
sulirt	w1_d329e17337
superperemptorischen	w3_d329e17340
Convocations=edicts	w5_d329e17343
zu	w7_d329e17346
gewilligen,	w1_d329e17351
und	w3_d329e17354
denen	w5_d329e17357
Gräfl.	w7_d329e17360
Kuefsteinischen	w9_d329e17363
Cre	w11_d329e17366
ditoren	w1_d329e17371
(so	w3_d329e17374
sich	w5_d329e17377
uoch	w7_d329e17380
nicht	w9_d329e17383
angemeldet)	w11_d329e17386
die	w13_d329e17390
also	w15_d329e17393
gewisse	w1_d329e17399
Erschein	w3_d329e17402
und	w5_d329e17405
Liquidirung	w7_d329e17408
aufzulegen,	w9_d329e17411
wie	w11_d329e17414
im	w1_d329e17419
widrigen	w3_d329e17422
denenselben	w5_d329e17425
das	w7_d329e17428
ewige	w9_d329e17431
Stillschwei	w11_d329e17434
gen	w1_d329e17439
euferleget,	w3_d329e17442
und	w5_d329e17445
sie	w7_d329e17448
von	w9_d329e17451
dieser	w11_d329e17454
Crida	w13_d329e17458
ausge	w15_d329e17461
schlossen	w1_d329e17466
seyn	w3_d329e17469
sollen.	w5_d329e17472
</p>
<p id="p6_d329e17475">
Gleichwie	w1_d329e17479
nun	w3_d329e17482
hierüber	w5_d329e17485
in	w7_d329e17488
dieses	w9_d329e17491
Begehren	w11_d329e17494
ge	w13_d329e17498
richtlich	w1_d329e17503
gewilliget	w3_d329e17506
worden,	w5_d329e17509
als	w7_d329e17512
haben	w9_d329e17515
wir	w11_d329e17518
zu	w13_d329e17522
Folge	w1_d329e17527
der	w3_d329e17530
an	w5_d329e17533
uns	w7_d329e17536
ergangenen	w9_d329e17539
Auflag	w11_d329e17542
den	w13_d329e17546
15ten	w15_d329e17549
Martii	w1_d329e17555
1759.	w3_d329e17558
Nachmittag	w5_d329e17561
um	w7_d329e17564
3.	w9_d329e17567
Uhr	w11_d329e17570
in	w13_d329e17574
mein	w15_d329e17577
Rudolph	w1_d329e17582
Frey=herrn	w3_d329e17585
von	w5_d329e17588
Ludwigstorf	w7_d329e17591
in	w9_d329e17594
dem	w11_d329e17597
Rit	w13_d329e17601
terischen	w1_d329e17606
Haus	w3_d329e17609
in	w5_d329e17612
der	w7_d329e17615
obern	w9_d329e17618
Breuner=strassen	w11_d329e17621
im	w13_d329e17625
2ten	w1_d329e17630
Stock	w3_d329e17633
habenden	w5_d329e17636
Wohn=zimmern	w7_d329e17639
zu	w9_d329e17642
erschei	w11_d329e17645
nen,	w1_d329e17651
zur	w3_d329e17654
Anmeld	w5_d329e17657
und	w7_d329e17660
Liquidirungs=tagsatzung	w9_d329e17663
pro	w1_d329e17668
2do.	w3_d329e17671
&	w5_d329e17674
3tio.	w7_d329e17677
Termino	w9_d329e17680
sub	w11_d329e17683
clausula	w13_d329e17687
præclusi	w15_d329e17690
bestimmet.	w1_d329e17695
Solchemnach	w1_d329e17700
werden	w3_d329e17703
sich	w5_d329e17706
all	w7_d329e17709
und	w9_d329e17712
jede,	w1_d329e17718
so	w3_d329e17721
an	w5_d329e17724
Eingangs	w1_d329e17729
gedachten	w3_d329e17732
Herrn	w5_d329e17735
Ferdi	w7_d329e17738
nand	w1_d329e17743
Grafen	w3_d329e17746
von	w5_d329e17749
Kuefstein	w7_d329e17752
einige	w9_d329e17755
Sprüch	w11_d329e17758
und	w13_d329e17762
Anforderung	w1_d329e17767
haben,	w3_d329e17770
und	w5_d329e17773
sich	w7_d329e17776
bey	w9_d329e17779
der	w11_d329e17782
ersten	w13_d329e17786
Con	w15_d329e17789
vocations=tagsatzung	w1_d329e17795
nicht	w3_d329e17798
angemeldet,	w5_d329e17801
an	w7_d329e17804
be	w9_d329e17807
Ort,	w1_d329e17812
Tag	w3_d329e17815
und	w5_d329e17818
Stund	w7_d329e17821
also	w9_d329e17824
