<doc id="edoc_wd_1772-06-24" attrs="word" year="1772" month="06" day="24" corpus="1">
<head id="hl1">
London	w28
<g/>
,
gmr	w5426
<g/>
.
Sold	w5428
<g/>
.
alt	w5430
29	w5431
<g/>
.
J	w5433
<g/>
.
Georg	w5435
Orth	w5436
<g/>
,
gmr	w5438
<g/>
.
Sold	w5440
<g/>
.
alt	w5442
32	w5443
<g/>
.
J	w5445
<g/>
.
Heinr	w5447
<g/>
.
Gruber	w5449
<g/>
,
gmr	w5451
<g/>
.
Sold	w5453
<g/>
.
alt	w5455
21	w5456
<g/>
.
J	w5458
<g/>
.
im	w5460
Militär=Krankenh	w5461
<g/>
=
<g/>
.
zu	w5464
Gumpend	w5465
<g/>
.
</list>
<p id="p50">
Summa	w5467
24	w5468
<g/>
.
Person	w5470
<g/>
,
darunter	w5472
3	w5473
<g/>
.
Kind	w5475
<g/>
.
</p>
<head id="hl17">
Den	w5477
20	w5478
<g/>
.
Brachm	w5480
<g/>
.
Jn	w5482
der	w5483
Stadt	w5484
<g/>
.
</head>
<list id="li10">
Der	w5486
hochedl	w5487
<g/>
.
Hr	w5489
<g/>
.
Gabr	w5491
<g/>
.
Jos	w5493
<g/>
.
v	w5495
<g/>
.
Stettner	w5497
<g/>
,
des	w5499
H	w5500
<g/>
.
R	w5502
<g/>
.
R	w5504
<g/>
.
Ritter	w5506
<g/>
,
k	w5508
<g/>
.
k	w5510
<g/>
.
wirkl	w5512
<g/>
.
Hofrath	w5514
bey	w5515
der	w5516
Obrist	w5517
<g/>
.
Justizstelle	w5519
<g/>
,
in	w5521
eig	w5522
<g/>
.
Behaus	w5524
<g/>
.
in	w5526
d	w5527
<g/>
.
Waldz	w5529
<g/>
.
alt	w5531
60	w5532
<g/>
.
J	w5534
<g/>
.
Hr	w5536
<g/>
.
Jos	w5538
<g/>
.
Heinr	w5540
<g/>
.
Ameisser	w5542
<g/>
,
burgl	w5544
<g/>
.
Handelsm	w5546
<g/>
.
b	w5548
<g/>
.
braun	w5550
Hirsch	w5551
<g/>
.
am	w5553
roth	w5554
<g/>
.
Thurm	w5556
<g/>
,
alt	w5558
45	w5559
<g/>
.
J	w5561
<g/>
.
Hr	w5563
<g/>
.
Joh	w5565
<g/>
.
Raber	w5567
<g/>
,
Theol	w5569
<g/>
.
im	w5571
Seminario	w5572
<g/>
,
alt	w5574
22	w5575
<g/>
.
J	w5577
<g/>
.
Cath	w5579
<g/>
.
Lechnerin	w5581
<g/>
,
Heyduck	w5583
<g/>
.
Wit	w5585
<g/>
.
im	w5587
gr	w5588
<g/>
.
Fderlhof	w5590
<g/>
,
am	w5592
Lichtenste	w5593
<g/>
,
alt	w5595
73	w5596
<g/>
.
J	w5598
<g/>
.
</list>
<head id="hl18">
Vor	w5600
der	w5601
Stadt	w5602
<g/>
.
</head>
<list id="li11">
Dem	w5604
Flor	w5605
<g/>
.
Böcker	w5607
<g/>
,
burgl	w5609
<g/>
.
Tischlerm	w5611
<g/>
.
s	w5613
<g/>
.
W	w5615
<g/>
.
Sabina	w5617
<g/>
,
zur	w5619
gold	w5620
<g/>
.
Weintraube	w5622
zu	w5623
Mariah	w5624
<g/>
.
alt	w5626
54	w5627
<g/>
.
J	w5629
<g/>
.
Dem	w5631
Phil	w5632
<g/>
.
Jungbauer	w5634
<g/>
,
Schriftgiessergs	w5636
<g/>
.
s	w5638
<g/>
.
Weib	w5640
Francisca	w5641
<g/>
,
b	w5643
<g/>
.
Weinstock	w5645
im	w5646
Lerchenf	w5647
<g/>
.
alt	w5649
28	w5650
<g/>
.
J	w5652
<g/>
.
Dem	w5654
Daniel	w5655
Beyer	w5656
<g/>
,
Zuckerback	w5658
<g/>
.
s	w5660
<g/>
.
K	w5662
<g/>
.
Daniel	w5664
<g/>
,
b	w5666
<g/>
.
blauen	w5668
Stiefel	w5669
auf	w5670
der	w5671
neuen	w5672
Wied	w5673
<g/>
.
alt	w5675
2	w5676
J	w5677
<g/>
.
Andre	w5679
Eckstein	w5680
<g/>
,
gew	w5682
<g/>
.
Fleischhack	w5684
<g/>
.
zu	w5686
Albrechtsberg	w5687
bey	w5688
St	w5689
Pölt	w5690
<g/>
.
b	w5692
<g/>
.
Mohren	w5694
zu	w5695
Mariah	w5696
<g/>
.
alt	w5698
102	w5699
<g/>
.
J	w5701
<g/>
.
Barb	w5703
<g/>
.
Holtzingerin	w5705
<g/>
,
Weinhandl	w5707
<g/>
.
Wit	w5709
<g/>
.
zur	w5711
Stadt	w5712
Wien	w5713
am	w5714
Himmelpfgr	w5715
<g/>
.
alt	w5717
71	w5718
<g/>
.
J	w5720
<g/>
.
Franz	w5722
Bescheli	w5723
<g/>
,
Formreisser	w5725
<g/>
,
b	w5727
<g/>
.
weiss	w5729
<g/>
.
Rössel	w5731
am	w5732
Spitlberg	w5733
<g/>
,
alt	w5735
72	w5736
<g/>
.
J	w5738
<g/>
.
Dem	w5740
Andre	w5741
Bindt	w5742
<g/>
,
Münzarbeit	w5744
s	w5745
<g/>
.
K	w5747
<g/>
.
Barb	w5749
<g/>
.
b	w5751
<g/>
.
3	w5753
<g/>
.
Königen	w5755
im	w5756
Lerchenf	w5757
<g/>
.
alt	w5759
3	w5760
<g/>
.
J	w5762
<g/>
.
Pet	w5764
<g/>
.
Seinlein	w5766
<g/>
,
Tabackkram	w5768
<g/>
.
b	w5770
<g/>
.
gold	w5772
<g/>
.
Hauer	w5774
zu	w5775
Margar	w5776
<g/>
.
alt	w5778
39	w5779
<g/>
.
J	w5781
<g/>
.
Rebekka	w5783
Branöckerin	w5784
<g/>
,
led	w5786
<g/>
.
Dienstm	w5788
<g/>
.
b	w5790
<g/>
.
roth	w5792
<g/>
.
Röss	w5794
<g/>
.
in	w5796
der	w5797
Leopst	w5798
<g/>
.
alt	w5800
36	w5801
<g/>
.
J	w5803
<g/>
.
Math	w5805
<g/>
.
Schneider	w5807
<g/>
,
vac	w5809
<g/>
.
Kutsch	w5811
<g/>
.
alt	w5813
54	w5814
<g/>
.
J	w5816
<g/>
.
r	w5818
<g/>
.
Kreppehofer	w5820
<g/>
,
reis	w5822
<g/>
.
Deckenmachgs	w5824
<g/>
.
alt	w5826
29	w5827
<g/>
.
J	w5829
<g/>
.
beede	w5831
b	w5832
<g/>
.
Barmh	w5834
<g/>
.
Mart	w5836
<g/>
.
Darmstatt	w5838
<g/>
,
Schuhkn	w5840
<g/>
.
alt	w5842
28	w5843
<g/>
.
J	w5845
<g/>
.
Anna	w5847
Sab	w5848
<g/>
.
Renerin	w5850
<g/>
,
led	w5852
<g/>
.
Dienstm	w5854
<g/>
.
alt	w5856
24	w5857
<g/>
.
J	w5859
<g/>
.
bee=de	w5861
<g/>
=
im	w5863
Bäckenh	w5864
<g/>
.
Georg	w5866
Beham	w5867
<g/>
,
Tagl	w5869
<g/>
.
alt	w5871
42	w5872
<g/>
.
J	w5874
<g/>
.
Jos	w5876
<g/>
.
Frey	w5878
<g/>
,
Bräukn	w5880
<g/>
.
alt	w5882
27	w5883
J	w5884
<g/>
.
Ant	w5886
<g/>
.
Piß	w5888
<g/>
,
Tagl	w5890
<g/>
.
alt	w5892
62	w5893
<g/>
.
J	w5895
<g/>
.
alle	w5897
3	w5898
<g/>
.
im	w5900
Mil	w5901
<g/>
.
Zimm	w5903
<g/>
.
am	w5905
Bäckenh	w5906
<g/>
.
M	w5908
<g/>
.
Anna	w5910
Kastnerin	w5911
<g/>
,
led	w5913
<g/>
.
Krankenwart	w5915
<g/>
.
alt	w5917
36	w5918
<g/>
.
J	w5920
<g/>
.
Elis	w5922
<g/>
.
Pfeifferin	w5924
<g/>
,
reis	w5926
<g/>
.
verh	w5928
<g/>
.
Tagl	w5930
<g/>
.
alt	w5932
53	w5933
<g/>
.
J	w5935
<g/>
.
Melch	w5937
<g/>
.
Huber	w5939
<g/>
,
armer	w5941
Knab	w5942
<g/>
,
alt	w5944
13	w5945
<g/>
.
J	w5947
<g/>
.
Bernh	w5949
<g/>
.
Zellner	w5951
<g/>
,
reis	w5953
<g/>
.
abged	w5955
<g/>
.
Sold	w5957
<g/>
.
alt	w5959
31	w5960
<g/>
.
J	w5962
<g/>
.
Jgn	w5964
<g/>
.
Peyer	w5966
<g/>
,
reis	w5968
<g/>
.
Web	w5970
<g/>
.
alt	w5972
19	w5973
<g/>
.
J	w5975
<g/>
.
alle	w5977
5	w5978
<g/>
.
im	w5980
Cont	w5981
<g/>
.
Conr	w5983
<g/>
.
Poppel	w5985
<g/>
,
burgl	w5987
<g/>
.
Schusterm	w5989
<g/>
.
alt	w5991
62	w5992
<g/>
.
J	w5994
<g/>
.
M	w5996
<g/>
.
Anna	w5998
<g/>
,
verh	w6000
<g/>
.
Landkram	w6002
<g/>
.
alt	w6004
59	w6005
<g/>
.
J	w6007
<g/>
.
Joh	w6009
<g/>
.
Mayrhofer	w6011
<g/>
,
Tagl	w6013
<g/>
.
alt	w6015
26	w6016
<g/>
.
J	w6018
<g/>
.
Barb	w6020
<g/>
.
Worneckin	w6022
<g/>
,
led	w6024
<g/>
.
M	w6026
<g/>
.
alt	w6028
46	w6029
<g/>
.
J	w6031
<g/>
.
Elis	w6033
<g/>
.
Kriechbaumin	w6035
<g/>
,
verh	w6037
<g/>
.
Zeugmach	w6039
<g/>
.
alt	w6041
48	w6042
<g/>
.
J	w6044
<g/>
.
Wolfg	w6046
<g/>
.
Bauer	w6048
<g/>
,
reis	w6050
<g/>
.
Zimmergs	w6052
<g/>
.
alt	w6054
54	w6055
<g/>
.
J	w6057
<g/>
.
alle	w6059
6	w6060
<g/>
.
im	w6062
Krankenh	w6063
<g/>
.
am	w6065
Alsterb	w6066
<g/>
.
Erh	w6068
<g/>
.
Jensong	w6070
<g/>
,
alt	w6072
22	w6073
<g/>
.
J	w6075
<g/>
.
Frid	w6077
<g/>
.
Bayer	w6079
<g/>
,
alt	w6081
33	w6082
<g/>
.
J	w6084
<g/>
.
beede	w6086
gem	w6087
<g/>
.
Sold	w6089
<g/>
.
Andre	w6091
Bechar	w6092
<g/>
,
kroat	w6094
<g/>
.
Knab	w6096
<g/>
,
alt	w6098
19	w6099
<g/>
.
J	w6101
<g/>
.
alle	w6103
3	w6104
<g/>
.
im	w6106
mil	w6107
<g/>
.
Krankenh	w6109
<g/>
.
zu	w6111
Gumpend	w6112
<g/>
.
Franz	w6114
Lutz	w6115
<g/>
,
Posamentiergs	w6117
<g/>
.
alt	w6119
25	w6120
<g/>
.
J	w6122
<g/>
.
in	w6124
St	w6125
<g/>
.
Marx	w6127
<g/>
.
</list>
<p id="p51">
Summa	w6129
35	w6130
<g/>
.
Personen	w6132
darunter	w6133
2	w6134
<g/>
.
Kind	w6136
<g/>
.
</p>
<p id="p52">
Es	w6148
wird	w6149
hiemit	w6150
jedermann	w6151
kund	w6152
gemacht	w6153
<g/>
,
daß	w6155
auf	w6156
den	w6157
königl	w6158
<g/>
.
Schloßgrund	w6160
bey	w6161
Preßburg	w6162
die	w6163
verwittibte	w6164
Apotheckerin	w6165
Anna	w6166
Maria	w6167
Schobertin	w6168
sich	w6169
entschlossen	w6170
<g/>
,
ihre	w6172
defacto	w6173
gut	w6174
eingerichtete	w6175
Apothecken	w6176
mit	w6177
allen	w6178
Requisiten	w6179
<g/>
,
und	w6181
sammt	w6182
dem	w6183
dazu	w6184
gehörigen	w6185
Haus	w6186
verkäuflich	w6187
hindan	w6188
zu	w6189
ge=ben	w6190
<g/>
=
<g/>
.
Wer	w6193
demnach	w6194
dazu	w6195
ein	w6196
Belieben	w6197
tragete	w6198
<g/>
,
kann	w6200
sich	w6201
zu	w6202
obgedachter	w6203
Wittib	w6204
von	w6205
darumen	w6206
wenden	w6207
<g/>
,
und	w6209
das	w6210
fernere	w6211
abhandeln	w6212
<g/>
.
</p>
<p id="p53">
Wir	w6214
Bürgermeister	w6215
und	w6216
Rath	w6217
der	w6218
Stadt	w6219
Wien	w6220
geben	w6221
hiemit	w6222
jedermann	w6223
zu	w6224
vernehmen	w6225
<g/>
:
es	w6227
seye	w6228
über	w6229
die	w6230
schon	w6231
ehedessen	w6232
angeordnete	w6233
Licitations=tagsatzung	w6234
<g/>
=
verwilliget	w6236
worden	w6237
<g/>
,
den	w6239
Reitterischen	w6240
burgerl	w6241
<g/>
.
Häringerhandel	w6243
abermal	w6244
offentlich	w6245
aus=zufeilen	w6246
<g/>
=
<g/>
,
und	w6249
an	w6250
den	w6251
Meistbietenden	w6252
zu	w6253
verkaufen	w6254
<g/>
.
Da	w6256
nun	w6257
zu	w6258
diesem	w6259
Ende	w6260
der	w6261
13	w6262
<g/>
.
Julii	w6264
dieß	w6265
Jahrs	w6266
bestimmet	w6267
ist	w6268
<g/>
.
So	w6270
haben	w6271
diejenige	w6272
<g/>
,
wel=che	w6274
<g/>
=
den	w6276
gedachten	w6277
Häringerhandel	w6278
zu	w6279
kaufen	w6280
Willens	w6281
sind	w6282
<g/>
,
an	w6284
dem	w6285
bestimmten	w6286
Tage	w6287
<g/>
,
oder	w6289
da	w6290
wir	w6291
anderer	w6292
Verhindernissen	w6293
halber	w6294
diesen	w6295
Tag	w6296
nicht	w6297
z	w6298
u	w6299
Rath	w6300
sässen	w6301
<g/>
,
den	w6303
nächst	w6304
darauf	w6305
fol=genden	w6306
<g/>
=
Rathstag	w6308
fruh	w6309
um	w6310
8	w6311
<g/>
.
Uhr	w6313
vor	w6314
uns	w6315
zu	w6316
erscheinen	w6317
<g/>
,
und	w6319
sich	w6320
durch	w6321
unseren	w6322
und	w6323
gmr	w6324
<g/>
.
Stadt	w6326
geschworren	w6327
Rathsdiener	w6328
anmelden	w6329
zu	w6330
lassen	w6331
<g/>
,
folglich	w6333
der	w6334
weiteren	w6335
Behandlung	w6336
abzuwarten	w6337
<g/>
.
</p>
<p id="p54">
Von	w6339
des	w6340
fürstl	w6341
<g/>
.
Stifts	w6343
und	w6344
Jungfrauenklosters	w6345
zur	w6346
Himmelpforten	w6347
Grundbuchswegen	w6348
wird	w6349
hie=mit	w6350
<g/>
=
jedermänniglich	w6352
kund	w6353
u	w6354
nd	w6355
zu	w6356
wissen	w6357
gemacht	w6358
<g/>
.
Es	w6360
habe	w6361
sich	w6362
bey	w6363
der	w6364
zu	w6365
Verkaufung	w6366
des	w6367
in	w6368
die	w6369
Elisabeth	w6370
Zöchische	w6371
Verlassenschaft	w6372
gehörigen	w6373
Hauses	w6374
sammt	w6375
hierzu	w6376
gehörigen	w6377
Obstgarten	w6378
zu	w6379
Pötzleinstorf	w6380
<g/>
,
wie	w6382
auch	w6383
5	w6384
<g/>
.
Viertel	w6386
Ueberländ=Weingarten	w6387
<g/>
=
<g/>
,
einer	w6390
Wießgestätten	w6391
in	w6392
Wagnern	w6393
<g/>
,
dann	w6395
1	w6396
ein	w6397
halb	w6398
achtel	w6399
Weingarten	w6400
in	w6401
Sommer=Dirwahring	w6402
<g/>
=
<g/>
,
und	w6405
verschiedener	w6406
Wirthschafts=fahrnissen	w6407
<g/>
=
auf	w6409
den	w6410
16	w6411
<g/>
.
dieß	w6413
Monats	w6414
Junii	w6415
ange=ordnet	w6416
<g/>
=
gewesenen	w6418
2ten	w6419
Licitation	w6420
tagsatzung	w6421
nur	w6422
ein	w6423
einziger	w6424
Kaufer	w6425
hervorgethan	w6426
<g/>
,
welcher	w6428
um	w6429
die	w6430
gesammt	w6431
gericht	w6432
l	w6433
<g/>
.
inventirte	w6435
Wirthschaft	w6436
den	w6437
Schätzungswerth	w6438
pr	w6439
<g/>
.
1241	w6441
<g/>
.
fl	w6443
<g/>
.
30	w6445
<g/>
.
kr	w6447
<g/>
.
angebotten	w6449
<g/>
,
mithin	w6451
seye	w6452
veranlaßt	w6453
worden	w6454
<g/>
,
eine	w6456
nochmahlig	w6457
3te	w6458
und	w6459
zwar	w6460
dergestalt	w6461
clausulirte	w6462
Tagsatzung	w6463
anzuordnen	w6464
<g/>
,
daß	w6466
<g/>
,
wenn	w6468
sich	w6469
bey	w6470
solcher	w6471
künfti=gen	w6472
<g/>
=
Licitation	w6474
keine	w6475
mehrere	w6476
<g/>
,
und	w6478
bessere	w6479
Be=dingniß	w6480
<g/>
=
anbietende	w6482
Käufer	w6483
hervorthun	w6484
sollten	w6485
<g/>
,
berührt	w6487
Elisabeth	w6488
Zöchische	w6489
Wirthschaft	w6490
dem	w6491
her=vorgekommenen	w6492
<g/>
=
Kaufer	w6494
um	w6495
das	w6496
angebottene	w6497
Schätzungsquantum	w6498
überlassen	w6499
werden	w6500
solle	w6501
<g/>
.
Da	w6503
man	w6504
nun	w6505
zu	w6506
Fürnehmung	w6507
dieser	w6508
Licitation	w6509
den	w6510
4	w6511
<g/>
.
künftigen	w6513
Monats	w6514
Julii	w6515
fruh	w6516
um	w6517
8	w6518
<g/>
.
Uhr	w6520
be=stimmet	w6521
<g/>
=
hat	w6523
<g/>
;
als	w6525
werden	w6526
alle	w6527
diejenige	w6528
<g/>
,
welche	w6530
gedachte	w6531
Behausung	w6532
<g/>
,
Ueberländgründe	w6534
<g/>
,
und	w6536
übrig	w6537
gesammte	w6538
Wirthschaft	w6539
käuflich	w6540
gegen	w6541
alsogleich	w6542
</p>
<p id="p55">
baarer	w6543
Bezahlung	w6544
an	w6545
sich	w6546
zu	w6547
bringen	w6548
<g/>
,
und	w6550
resp	w6551
<g/>
.
hievor	w6553
ein	w6554
mehreres	w6555
als	w6556
die	w6557
bereits	w6558
angebottene	w6559
1241	w6560
<g/>
.
fl	w6562
<g/>
.
30	w6564
<g/>
.
kr	w6566
<g/>
.
zu	w6568
geben	w6569
gedenken	w6570
<g/>
,
auf	w6572
obbe=stimmt	w6573
<g/>
=
4	w6575
<g/>
.
Monats	w6577
Julii	w6578
dieß	w6579
Jahrs	w6580
fruhe	w6581
um	w6582
8	w6583
<g/>
.
Uhr	w6585
für	w6586
dieses	w6587
Grundbuch	w6588
ad	w6589
tractandum	w6590
<g/>
&
concludendum	w6592
alsogewiß	w6593
zu	w6594
erscheinen	w6595
haben	w6596
<g/>
,
wie	w6598
im	w6599
widrigen	w6600
sothane	w6601
Wirthschaft	w6602
obbemelt=sich	w6603
<g/>
=
hervorgethanen	w6605
Kaufer	w6606
um	w6607
das	w6608
angebottene	w6609
Schätzungsquantum	w6610
ohne	w6611
weiteren	w6612
käuflich	w6613
über=lassen	w6614
<g/>
=
werden	w6616
würde	w6617
<g/>
.
</p>
<p id="p56">
Wir	w6619
Bürgermeister	w6620
und	w6621
Rath	w6622
der	w6623
Stadt	w6624
Wien	w6625
geben	w6626
hiemit	w6627
jedermann	w6628
zu	w6629
vernehmen	w6630
<g/>
,
es	w6632
seye	w6633
über	w6634
die	w6635
schon	w6636
ehedessen	w6637
angeordneten	w6638
Licitations=tagsatzungen	w6639
<g/>
=
verwilliget	w6641
worden	w6642
<g/>
,
das	w6644
weyl	w6645
<g/>
.
Joh	w6647
<g/>
.
Georg	w6649
Eiber	w6650
gewest	w6651
burgerl	w6652
<g/>
.
Schneidermeisters	w6654
seel	w6655
<g/>
.
gehörige	w6657
<g/>
,
auf	w6659
der	w6660
Schottenpastey	w6661
liegende	w6662
Haus	w6663
abermal	w6664
o	w6665
ffentlich	w6666
auszufeilen	w6667
<g/>
,
und	w6669
an	w6670
den	w6671
Meistbietenden	w6672
zu	w6673
verkaufen	w6674
<g/>
.
Da	w6676
nun	w6677
zu	w6678
diesem	w6679
Ende	w6680
der	w6681
15	w6682
<g/>
.
Julii	w6684
dieß	w6685
Jahrs	w6686
bestimmet	w6687
ist	w6688
<g/>
,
so	w6690
haben	w6691
diejenigen	w6692
<g/>
,
welche	w6694
das	w6695
gedachte	w6696
Haus	w6697
zu	w6698
kaufen	w6699
Willens	w6700
sind	w6701
<g/>
,
an	w6703
dem	w6704
bestimmten	w6705
Ta=ge	w6706
<g/>
=
<g/>
,
oder	w6709
d	w6710
a	w6711
wir	w6712
anderer	w6713
Verhindernissen	w6714
halber	w6715
diesen	w6716
Tag	w6717
nicht	w6718
zu	w6719
Rath	w6720
sässen	w6721
<g/>
,
den	w6723
nächst	w6724
dar=auf	w6725
<g/>
=
folgenden	w6727
Rathstag	w6728
fruh	w6729
um	w6730
8	w6731
<g/>
.
Uhr	w6733
vor	w6734
uns	w6735
zu	w6736
erscheinen	w6737
<g/>
,
und	w6739
sich	w6740
bey	w6741
unserer	w6742
<g/>
,
und	w6744
gmr	w6745
<g/>
.
Stadt	w6747
Pupillenraitkammer	w6748
durch	w6749
den	w6750
Amtsschrei=ber	w6751
<g/>
=
anmelden	w6753
zu	w6754
lassen	w6755
<g/>
,
folglich	w6757
der	w6758
weiteren	w6759
Behandlung	w6760
abzuwarten	w6761
<g/>
.
</p>
<p id="p57">
Wir	w6763
Burgermeister	w6764
und	w6765
Rath	w6766
der	w6767
Stadt	w6768
Wien	w6769
geben	w6770
hiemit	w6771
jedermanujedermann	w6772
zu	w6773
vernehmen	w6774
<g/>
.
Es	w6776
seye	w6777
über	w6778
die	w6779
schon	w6780
ehedessen	w6781
angeordneten	w6782
Licitaions=tagsatzung	w6783
<g/>
=
verwilliget	w6785
worden	w6786
<g/>
,
das	w6788
weyl	w6789
<g/>
.
Joh	w6791
<g/>
.
Michael	w6793
Merkl	w6794
<g/>
,
gewesten	w6796
burgerl	w6797
<g/>
.
Fleischhacker=meister	w6799
<g/>
=
seel	w6801
<g/>
.
gehörige	w6803
in	w6804
der	w6805
Leopoldstadt	w6806
liegende	w6807
Haus	w6808
abermal	w6809
offentlich	w6810
auszufeilen	w6811
<g/>
,
und	w6813
an	w6814
dem	w6815
Meistbietenden	w6816
zu	w6817
verkaufen	w6818
<g/>
.
Da	w6820
nun	w6821
zu	w6822
die=sem	w6823
<g/>
=
Ende	w6825
der	w6826
15	w6827
Julii	w6828
dieß	w6829
Jahrs	w6830
bestimmet	w6831
ist	w6832
<g/>
,
so	w6834
haben	w6835
diejenigen	w6836
<g/>
,
welche	w6838
das	w6839
gedachte	w6840
Haus	w6841
zu	w6842
kaufen	w6843
Willens	w6844
sind	w6845
<g/>
,
an	w6847
dem	w6848
bestimmten	w6849
Tag	w6850
<g/>
,
oder	w6852
da	w6853
wir	w6854
anderer	w6855
Verhindernissen	w6856
halber	w6857
die=sen	w6858
<g/>
=
Tag	w6860
nicht	w6861
in	w6862
Rath	w6863
sässen	w6864
<g/>
,
den	w6866
nächst	w6867
darauf	w6868
folgenden	w6869
Rathstag	w6870
fruh	w6871
um	w6872
8	w6873
<g/>
.
Uhr	w6875
vor	w6876
uns	w6877
zu	w6878
erscheinen	w6879
<g/>
,
und	w6881
sich	w6882
bey	w6883
unseren	w6884
<g/>
,
und	w6886
gemeiner	w6887
Stadt	w6888
Grundbuch	w6889
durch	w6890
den	w6891
Amtschreiber	w6892
anmel=den	w6893
<g/>
=
zu	w6895
lassen	w6896
<g/>
,
folglich	w6898
der	w6899
weiteren	w6900
Behandlung	w6901
abzuwarten	w6902
<g/>
.
</p>
<p id="p58">
Bey	w6904
Augustin	w6905
Bernardi	w6906
<g/>
,
Universitätsbuchhänd=ler	w6908
<g/>
=
gegen	w6910
der	w6911
Jesuiterpforten	w6912
über	w6913
ist	w6914
zu	w6915
haben	w6916
<g/>
.
</p>
<p id="p59">
Wurz	w6918
<g/>
(
Jgn	w6920
<g/>
.
S	w6922
<g/>
.
J	w6924
<g/>
.
<g/>
)
Predig	w6927
von	w6928
dem	w6929
Leiden	w6930
Je=su	w6931
<g/>
=
Christi	w6933
<g/>
,
gr	w6935
<g/>
.
8	w6937
<g/>
.
Wien	w6939
1772	w6940
<g/>
.
geb	w6942
<g/>
.
12	w6944
<g/>
.
kr	w6946
<g/>
.
</p>
<p id="p60">
P	w6948
<g/>
.
Ambr	w6950
Schultheis	w6951
sittliche	w6952
Reden	w6953
1ter	w6954
Thl	w6955
<g/>
.
von	w6957
den	w6958
bösen	w6959
Tod	w6960
des	w6961
Sünders	w6962
<g/>
,
2ter	w6964
Thl	w6965
<g/>
.
von	w6967
der	w6968
</p>
<p id="p61">
höchstnothwendigen	w6971
Sorgfalt	w6972
des	w6973
ewigen	w6974
Heils	w6975
<g/>
,
8	w6977
<g/>
.
Augsb	w6979
<g/>
.
1772	w6981
<g/>
.
54	w6983
<g/>
.
</p>
<p id="p62">
Schmids	w6985
<g/>
(
Franc	w6987
<g/>
.
Xav	w6989
<g/>
.
<g/>
)
sittliche	w6992
Gleichnisse	w6993
über	w6994
verschiedene	w6995
Gegenstände	w6996
<g/>
,
aus	w6998
den	w6999
berühmtesten	w7000
Schriften	w7001
gesammlet	w7002
<g/>
,
und	w7004
in	w7005
eine	w7006
alphabetische	w7007
Ordnung	w7008
gebracht	w7009
<g/>
,
8	w7011
<g/>
.
Augsb	w7013
<g/>
.
54	w7015
<g/>
.
kr	w7017
<g/>
.
</p>
<p id="p63">
Sermons	w7019
pour	w7020
le	w7021
Careme	w7022
<g/>
,
prechés	w7024
devant	w7025
le	w7026
Roi	w7027
par	w7028
Mr	w7029
<g/>
.
le	w7031
Boux	w7032
<g/>
,
Evéque	w7034
de	w7035
Perigueux	w7036
<g/>
,
2	w7038
<g/>
.
Tom	w7040
<g/>
.
gr	w7042
<g/>
.
12	w7044
<g/>
.
Rouen	w7046
1766	w7047
2	w7048
<g/>
.
fl	w7050
<g/>
.
</p>
<p id="p64">
Bulsers	w7052
<g/>
(
Gervas	w7054
<g/>
.
O	w7056
<g/>
.
S	w7058
<g/>
.
B	w7060
<g/>
.
<g/>
)
apostol	w7063
<g/>
.
Glaubens=und	w7065
<g/>
=
Sittenlehre	w7067
<g/>
,
d	w7069
<g/>
.
i	w7071
<g/>
.
Sendschreiben	w7073
der	w7074
heil	w7075
<g/>
.
Apo=stel	w7077
<g/>
=
<g/>
,
Pauli	w7080
<g/>
,
Petri	w7082
<g/>
,
Jakobi	w7084
<g/>
,
Johannis	w7086
und	w7087
Judas	w7088
Thadäi	w7089
<g/>
,
wie	w7091
sie	w7092
nach	w7093
der	w7094
Ordnung	w7095
in	w7096
heil	w7097
<g/>
.
Schrift	w7099
angesetzt	w7100
sind	w7101
<g/>
,
mit	w7103
einer	w7104
vollkommenen	w7105
Erklärung	w7106
<g/>
,
2	w7108
<g/>
.
Bände	w7110
<g/>
,
8	w7112
<g/>
.
Augsb	w7114
1	w7115
<g/>
.
fl	w7117
<g/>
.
45	w7119
<g/>
.
kr	w7121
<g/>
.
</p>
<p id="p65">
Avrillon	w7123
<g/>
(
Eliä	w7125
O	w7126
<g/>
.
S	w7128
Fr	w7129
<g/>
.
<g/>
)
anmuthige	w7132
Gedanken	w7133
über	w7134
die	w7135
Liebe	w7136
Gottes	w7137
auf	w7138
jeden	w7139
Tag	w7140
des	w7141
Monats	w7142
<g/>
,
8	w7144
<g/>
.
Augsb	w7146
<g/>
.
1772	w7148
<g/>
.
18	w7150
<g/>
.
kr	w7152
<g/>
.
</p>
<p id="p66">
Krebels	w7154
<g/>
(
Gottl	w7156
<g/>
.
Fr	w7158
<g/>
.
<g/>
)
europäisches	w7161
genealogi=sches	w7162
<g/>
=
Handbuch	w7164
<g/>
,
in	w7166
welchen	w7167
die	w7168
neuesten	w7169
Nach=richten	w7170
<g/>
=
von	w7172
allen	w7173
Häusern	w7174
itztlebender	w7175
europäischen	w7176
Kaiser	w7177
<g/>
,
Könige	w7179
<g/>
,
Fürsten	w7181
<g/>
,
Grafen	w7183
ꝛc	w7184
<g/>
.
nebst	w7186
einer	w7187
be=sonderen	w7188
<g/>
=
Nachricht	w7190
<g/>
,
gr	w7192
<g/>
.
8	w7194
<g/>
.
Leipz	w7196
<g/>
.
2	w7198
<g/>
.
fl	w7200
<g/>
.
30	w7202
<g/>
.
kr	w7204
<g/>
.
</p>
<p id="p67">
Sammlung	w7206
griechischer	w7207
Stellen	w7208
zum	w7209
