<doc id="wr_1760-05-10" attrs="word" year="1760" month="05" day="10" corpus="2">
<head id="h2_d448e2992">
Konitz	w1_d448e2996
bestimmet	w3_d448e13894
worden	w5_d448e13897
ist.	w7_d448e13900
Als	w9_d448e13903
hat	w11_d448e13906
man	w13_d448e13910
ein	w15_d448e13913
solches	w1_d448e13919
hiemit	w3_d448e13922
zu	w5_d448e13925
dem	w7_d448e13928
Ende	w9_d448e13931
jedermänniglichen	w11_d448e13934
nochmalen	w1_d448e13939
kund	w3_d448e13942
machen	w5_d448e13945
wollen,	w7_d448e13948
damit	w9_d448e13951
der	w11_d448e13954
oder	w13_d448e13958
diejenige,	w1_d448e13963
so	w3_d448e13966
ob=specificirte	w5_d448e13969
Corporn	w7_d448e13972
käuflich	w9_d448e13975
an	w11_d448e13978
sich	w1_d448e13983
zu	w3_d448e13986
bringen	w5_d448e13989
Willens	w7_d448e13992
seynd,	w9_d448e13995
an	w11_d448e13998
obbestimmten	w13_d448e14002
Lag	w1_d448e14008
fruh	w3_d448e14011
um	w5_d448e14014
8.	w7_d448e14017
Uhr	w9_d448e14020
ad	w11_d448e14023
licitandum,	w13_d448e14027
tractandum	w15_d448e14030
&	w1_d448e14035
concludendum	w3_d448e14038
vor	w5_d448e14041
Gericht	w7_d448e14044
zu	w9_d448e14047
erscheinen	w11_d448e14050
wis	w13_d448e14054
sen	w1_d448e14059
werden.	w3_d448e14062
Wien	w5_d448e14065
den	w7_d448e14068
30.	w9_d448e14071
April	w11_d448e14074
1760.	w13_d448e14078
</p>
<p id="p10_d448e14081">
NB.	w1_d448e14085
Es	w3_d448e14088
wird	w5_d448e14091
allen,	w7_d448e14094
absonderlich	w9_d448e14097
aber	w11_d448e14100
denen	w13_d448e14104
Herren	w1_d448e14109
Liebhabern	w3_d448e14112
der	w5_d448e14115
Rechen=kunst	w7_d448e14118
zu	w9_d448e14121
wissen	w11_d448e14124
ge	w13_d448e14128
mach	w1_d448e14133
st,	w1_d448e14139
wie	w3_d448e14142
daß	w5_d448e14145
der	w7_d448e14148
das	w9_d448e14151
fünftemal	w11_d448e14154
aufgelegte,	w13_d448e14158
hin	w15_d448e14161
und	w1_d448e14166
wieder	w3_d448e14169
corrigirte,	w5_d448e14172
mit	w7_d448e14175
einem	w9_d448e14178
sehr	w11_d448e14181
nutzlichen	w13_d448e14185
Beytrag	w1_d448e14190
ergrösserte	w3_d448e14193
Haupt=schlüssel,	w5_d448e14196
das	w7_d448e14199
ist:	w9_d448e14202
fandanieutalischer	w1_d448e14207
Begrif	w3_d448e14210
der	w5_d448e14213
Welschen	w7_d448e14216
Practie,	w9_d448e14219
und	w1_d448e14225
dazu	w3_d448e14228
nohtwendigen	w5_d448e14231
Teutschen	w7_d448e14234
Rechen=kunst,	w9_d448e14237
Kerimen	w1_d448e14242
auf	w3_d448e14245
dee	w5_d448e14248
kürzest=verfaste	w7_d448e14251
Welsche	w9_d448e14254
Manicz	w11_d448e14257
de	w1_d448e14262
5.	w3_d448e14265
Species	w5_d448e14268
in	w7_d448e14271
Gemein,	w9_d448e14274
Münz,	w11_d448e14277
und	w13_d448e14281
Brü	w15_d448e14284
chen,	w1_d448e14289
die	w3_d448e14292
vortheilhafte	w5_d448e14295
Multiplications,	w7_d448e14298
Divi	w9_d448e14301
stione,	w1_d448e14307
Abbreviations,	w3_d448e14310
und	w5_d448e14313
Theil	w7_d448e14316
eines	w9_d448e14319
Guldens	w11_d448e14322
</p>
<p id="p12_d448e14326">
praetie,	w1_d448e14330
die	w3_d448e14333
denen	w5_d448e14336
Kauf=leuten	w7_d448e14339
höchstdienlich	w9_d448e14342
leicht	w1_d448e14347
und	w3_d448e14350
geschwindeste	w5_d448e14353
(im	w7_d448e14356
Druck	w9_d448e14359
noch	w11_d448e14362
niemal	w13_d448e14366
gesehene)	w1_d448e14371
Groschen=practie,	w3_d448e14374
der	w5_d448e14377
Algorithmus,	w7_d448e14380
die	w1_d448e14386
Regula	w3_d448e14389
de	w5_d448e14392
Tri,	w7_d448e14395
Regula	w9_d448e14398
Conversa,	w11_d448e14401
Regula	w13_d448e14405
Societatis,	w1_d448e14410
oder	w3_d448e14413
Crida=rechnung	w5_d448e14416
in	w7_d448e14419
Ganzen	w9_d448e14422
wie	w1_d448e14427
auch	w3_d448e14430
Brüchen,	w5_d448e14433
die	w7_d448e14436
Jnteresse=rechnung	w9_d448e14439
mit	w11_d448e14442
kurz	w1_d448e14447
und	w3_d448e14450
leichtester	w5_d448e14453
Art,	w7_d448e14456
nebst	w9_d448e14459
vielen	w11_d448e14462
specialen	w13_d448e14466
Vortheilen,	w1_d448e14472
die	w3_d448e14475
Schuß=rechnung,	w5_d448e14478
Schätzung	w7_d448e14481
deren	w1_d448e14486
Gurern,	w3_d448e14489
Grund=stücker,	w5_d448e14492
und	w7_d448e14495
Häuser,	w9_d448e14498
nebst	w1_d448e14503
allerseits	w3_d448e14506
beygefügten	w5_d448e14509
General	w7_d448e14512
und	w9_d448e14515
Special	w11_d448e14518
un	w13_d448e14522
terrichten	w1_d448e14527
und	w3_d448e14530
Proben,	w5_d448e14533
sodann	w7_d448e14536
ingeniosæ	w9_d448e14539
Variatones	w11_d448e14542
vorgestellet	w1_d448e14548
werden,	w3_d448e14551
durch	w5_d448e14554
Norbert	w7_d448e14557
Johann	w9_d448e14560
Schel	w11_d448e14563
liesnigg.	w1_d448e14568
Zu	w3_d448e14571
bekommen	w5_d448e14574
unter	w7_d448e14577
dem	w9_d448e14580
alten	w11_d448e14583
Fleisch	w13_d448e14587
markt	w1_d448e14592
im	w3_d448e14595
sauer=kräutlerischen	w5_d448e14598
Haus	w7_d448e14601
neben	w9_d448e14604
denen	w11_d448e14607
12.	w1_d448e14612
Apostein	w3_d448e14615
im	w5_d448e14618
zweyten	w7_d448e14621
Stock	w9_d448e14624
im	w11_d448e14627
Hof.	w13_d448e14631
Einge	w15_d448e14634
bundener	w1_d448e14640
pr.	w3_d448e14643
1.	w5_d448e14646
fl.	w7_d448e14649
</p>
<p id="p14_d448e14652">
Von	w1_d448e14656
dem	w3_d448e14659
Löbl.	w5_d448e14662
Grund=gericht	w7_d448e14665
zun	w9_d448e14668
Schotten	w11_d448e14671
wegen:	w1_d448e14676
wird	w3_d448e14679
hiemit	w5_d448e14682
jedermänniglich	w7_d448e14685
zu	w9_d448e14688
verneh	w11_d448e14691
men	w1_d448e14696
gegeben:	w3_d448e14699
Es	w5_d448e14702
habe	w7_d448e14705
bey	w9_d448e14708
dem	w11_d448e14711
diesseitig	w13_d448e14715
bestell	w15_d448e14718
ten	w1_d448e14724
Grund=gericht	w3_d448e14727
der	w5_d448e14730
Herr	w7_d448e14733
Advocatus	w9_d448e14736
causa	w11_d448e14739
rum	w1_d448e14744
piarum	w3_d448e14747
Leopold	w5_d448e14750
Franz	w7_d448e14753
Werrer,	w9_d448e14756
wider	w11_d448e14759
den	w13_d448e14763
Gräfl.	w1_d448e14768
Kuefstcinischen	w3_d448e14771
(Titl.)	w5_d448e14774
Herrn	w7_d448e14777
Curatorem	w9_d448e14780
Bonorum	w1_d448e14785
wegen	w3_d448e14788
auf	w5_d448e14791
dasigem	w7_d448e14794
Haus	w9_d448e14797
und	w11_d448e14800
Garten	w13_d448e14804
gelegen	w1_d448e14810
vor	w3_d448e14813
dem	w5_d448e14816
Schotten=thor	w7_d448e14819
in	w9_d448e14822
der	w11_d448e14825
Schotten	w13_d448e14829
point	w1_d448e14834
versicherten	w3_d448e14837
Satz=capital	w5_d448e14840
pr.	w7_d448e14843
10000.	w9_d448e14846
fl.	w11_d448e14849
über	w1_d448e14854
die	w3_d448e14857
allerhöchsten	w5_d448e14860
Orts	w7_d448e14863
ergangenen	w9_d448e14866
Resolu	w11_d448e14869
tion	w1_d448e14874
nun	w3_d448e14877
ein	w5_d448e14880
weiteres	w7_d448e14883
Licitations=edict	w9_d448e14886
angelan	w11_d448e14889
get,	w1_d448e14895
da	w3_d448e14898
nun	w5_d448e14901
hierein	w7_d448e14904
verwilliget	w9_d448e14907
worden;	w11_d448e14910
dahero	w13_d448e14914
dann	w1_d448e14919
zu	w3_d448e14922
solchem	w5_d448e14925
Ende	w7_d448e14928
der	w9_d448e14931
21.	w11_d448e14934
dies	w13_d448e14938
Monats	w15_d448e14941
May	w17_d448e14944
Vormittag	w1_d448e14949
um	w3_d448e14952
9.	w5_d448e14955
Uhr	w7_d448e14958
vor	w9_d448e14961
diesseitig	w11_d448e14964
bestellten	w13_d448e14968
Grund=gericht	w1_d448e14973
zu	w3_d448e14976
erscheinen,	w5_d448e14979
zu	w7_d448e14982
dergestalt	w9_d448e14985
clan	w11_d448e14988
sulirten	w1_d448e14994
Licitations=tagsatzung	w3_d448e14997
bestimmet	w5_d448e15000
wird,	w7_d448e15003
daß	w1_d448e15008
alda	w3_d448e15011
mit	w5_d448e15014
dem	w7_d448e15017
Meistbietenden	w9_d448e15020
der	w11_d448e15023
Kauf	w13_d448e15027
um	w15_d448e15030
ersagt=Hochgräfl.	w1_d448e15035
Kuefsteinischen	w3_d448e15038
Haus	w5_d448e15041
und	w7_d448e15044
so	w9_d448e15047
genannten	w1_d448e15052
Strudelhof	w3_d448e15055
geschlossen	w5_d448e15058
werden	w7_d448e15061
solle.	w9_d448e15064
Actum	w1_d448e15070
Wien	w3_d448e15073
im	w5_d448e15076
Schottenhof	w7_d448e15079
den	w9_d448e15082
26.	w11_d448e15085
April	w13_d448e15089
1760.	w15_d448e15092
</p>
<p id="p16_d448e15095">
Den	w1_d448e15099
12.	w3_d448e15102
May	w5_d448e15105
und	w7_d448e15108
folgende	w9_d448e15111
Täge	w11_d448e15114
im	w13_d448e15118
Berg	w15_d448e15121
hof	w17_d448e15124
unweit	w1_d448e15129
des	w3_d448e15132
Hohenmarkts	w5_d448e15135
in	w7_d448e15138
dem	w9_d448e15141
Widemanischen	w11_d448e15144
Haus	w1_d448e15149
seynd	w3_d448e15152
im	w5_d448e15155
ersten	w7_d448e15158
Stock	w9_d448e15161
verschiedene	w11_d448e15164
Verlassen	w13_d448e15168
schafts=effecten,	w1_d448e15174
als	w3_d448e15177
Gold,	w5_d448e15180
Silber,	w7_d448e15183
Manns=kleider,	w9_d448e15186
Wäsch,	w1_d448e15191
Spiegel,	w3_d448e15194
Spallier,	w5_d448e15197
Uhren,	w7_d448e15200
Sessel,	w9_d448e15203
Bilder,	w11_d448e15206
und	w1_d448e15211
andere	w3_d448e15214
Einrichtung,	w5_d448e15217
wie	w7_d448e15220
auch	w9_d448e15223
gute	w11_d448e15226
Oesterrei	w13_d448e15230
cher	w1_d448e15235
Weine,	w3_d448e15238
samt	w5_d448e15241
Fässern	w7_d448e15244
Vormittag	w9_d448e15247
von	w11_d448e15250
9.	w13_d448e15254
bis	w15_d448e15257
12.,	w1_d448e15263
und	w3_d448e15266
Nachmittag	w5_d448e15269
von	w7_d448e15272
3.	w9_d448e15275
bis	w11_d448e15278
6.	w13_d448e15282
Uhr	w15_d448e15285
licitando	w17_d448e15288
zu	w1_d448e15293
verkauffen.	w3_d448e15296
</p>
<p id="p18_d448e15299">
Von	w1_d448e15303
eines	w3_d448e15306
Hochwürdigen	w5_d448e15309
Metrovolitanischen	w7_d448e15312
Bom=capituls	w1_d448e15317
bey	w3_d448e15320
St.	w5_d448e15323
Stephan	w7_d448e15326
alhier	w9_d448e15329
wegen	w11_d448e15332
wird	w1_d448e15337
hiemit	w3_d448e15340
jedermänniglich	w5_d448e15343
kund	w7_d448e15346
und	w9_d448e15349
zu	w11_d448e15352
wissen	w13_d448e15356
gemacht:	w1_d448e15362
Es	w3_d448e15365
seye	w5_d448e15368
auf	w7_d448e15371
Anlangen	w9_d448e15374
Herrn	w11_d448e15377
Martin	w13_d448e15381
Anton	w1_d448e15386
Prokesch,	w3_d448e15389
gewest	w5_d448e15392
Kaiserl.	w7_d448e15395
Königl.	w9_d448e15398
Haupt	w11_d448e15401
manns,	w1_d448e15406
wider	w3_d448e15409
Herrn	w5_d448e15412
Johann	w7_d448e15415
Baptist	w9_d448e15418
Bauer,	w11_d448e15421
J.	w1_d448e15426
U.	w3_d448e15429
Doctorem,	w5_d448e15432
als	w7_d448e15435
gerichtlich	w9_d448e15438
verordneten	w11_d448e15441
Lie	w13_d448e15445
berischen	w1_d448e15451
Gerhaben	w3_d448e15454
in	w5_d448e15457
puncto	w7_d448e15460
eingeklagt	w9_d448e15463
schuldi	w11_d448e15466
gen	w1_d448e15471
Satz=capitals	w3_d448e15474
pr.	w5_d448e15477
2000.	w7_d448e15480
fl.	w9_d448e15483
nna	w11_d448e15486
cum	w13_d448e15490
sua	w15_d448e15493
causa	w1_d448e15498
unterm	w3_d448e15501
26.	w5_d448e15504
lauffenden	w7_d448e15507
Monats	w9_d448e15510
und	w11_d448e15513
Jahrs	w13_d448e15517
in	w1_d448e15522
die	w3_d448e15525
nochmalige	w5_d448e15528
Licitirung	w7_d448e15531
der	w9_d448e15534
denen	w11_d448e15537
Lieberi	w13_d448e15541
</p>
<p id="p24_d448e15555">
schen	w1_d448e15559
Pupillen	w3_d448e15562
angehörigen,	w5_d448e15565
zum	w7_d448e15568
goldenen	w9_d448e15571
Wa	w11_d448e15574
gen	w1_d448e15579
genannten	w3_d448e15582
Behausung	w5_d448e15585
zu	w7_d448e15588
Maria	w9_d448e15591
Hülf	w11_d448e15594
abso	w13_d448e15598
lute	w1_d448e15603
gewilliget,	w3_d448e15606
und	w5_d448e15609
hierzu	w7_d448e15612
der	w9_d448e15615
12.	w11_d448e15618
dies	w13_d448e15622
Monats	w15_d448e15625
May	w1_d448e15631
fruh	w3_d448e15634
um	w5_d448e15637
9.	w7_d448e15640
Uhr	w9_d448e15643
in	w11_d448e15646
der	w13_d448e15650
Dom=capitlischen	w15_d448e15653
Hofmeister=amts=canzley	w1_d448e15658
nächst	w3_d448e15661
St.	w5_d448e15664
Stephan	w7_d448e15667
im	w1_d448e15672
Zwettl=hof	w3_d448e15675
zu	w5_d448e15678
erscheinen	w7_d448e15681
bestimmet	w9_d448e15684
worden,	w11_d448e15687
dannenhero	w1_d448e15692
diejenige,	w3_d448e15695
welche	w5_d448e15698
obbemeldts	w7_d448e15701
Behau	w9_d448e15704
sung	w1_d448e15710
käuflich	w3_d448e15713
an	w5_d448e15716
sich	w7_d448e15719
zu	w9_d448e15722
bringen	w11_d448e15725
gedenken,	w13_d448e15729
an	w15_d448e15732
gleich	w1_d448e15737
besagtem	w3_d448e15740
Tag,	w5_d448e15743
Stund	w7_d448e15746
und	w9_d448e15749
Ort	w11_d448e15752
entweder	w13_d448e15756
persönlich,	w1_d448e15761
oder	w3_d448e15764
durch	w5_d448e15767
hinlänglich	w7_d448e15770
ad	w9_d448e15773
tractandum	w11_d448e15776
&	w1_d448e15781
concludendum	w3_d448e15784
Bevollmächtigte	w5_d448e15787
zu	w7_d448e15790
erscheinen	w9_d448e15793
haben	w1_d448e15799
werden;	w3_d448e15802
wo	w5_d448e15805
sodann	w7_d448e15808
mit	w9_d448e15811
dem	w11_d448e15814
Meistbieten	w13_d448e15818
den	w1_d448e15823
der	w3_d448e15826
Kauf	w5_d448e15829
hierumen	w7_d448e15832
geschlossen,	w9_d448e15835
und	w11_d448e15838
das	w13_d448e15842
Wei	w15_d448e15845
tere	w1_d448e15850
rechtlicher	w3_d448e15853
Ordnung	w5_d448e15856
nach	w7_d448e15859
vorgekehret	w9_d448e15862
werden	w11_d448e15865
solle.	w1_d448e15870
Wien	w3_d448e15873
den	w5_d448e15876
26.	w7_d448e15879
Aprilis	w9_d448e15882
1760.	w11_d448e15885
</p>
<p id="p26_d448e15888">
Unter	w1_d448e15892
der	w3_d448e15895
Stift	w5_d448e15898
Mölkerischen	w7_d448e15901
Herrschaft	w9_d448e15904
und	w11_d448e15907
Markt	w1_d448e15912
zu	w3_d448e15915
Traiskirchen	w5_d448e15918
wird	w7_d448e15921
ein	w9_d448e15924
wol	w11_d448e15927
erbaute	w13_d448e15931
Be	w15_d448e15934
hausung	w1_d448e15939
und	w3_d448e15942
Mühl	w5_d448e15945
offentlich	w7_d448e15948
feil	w9_d448e15951
gebotten;	w11_d448e15954
wer	w13_d448e15958
nun	w1_d448e15964
diese	w3_d448e15967
käuflich	w5_d448e15970
an	w7_d448e15973
sich	w9_d448e15976
bringen	w11_d448e15979
will,	w13_d448e15983
hat	w15_d448e15986
sich	w17_d448e15989
in	w1_d448e15994
dem	w3_d448e15997
sogenannten	w5_d448e16000
grossen	w7_d448e16003
Mölker=hof	w9_d448e16006
in	w11_d448e16009
Wien,	w13_d448e16013
und	w1_d448e16018
alda	w3_d448e16021
befindlichen	w5_d448e16024
Amts=canzley	w7_d448e16027
anzumelden,	w9_d448e16030
worüber	w1_d448e16035
jedermann	w3_d448e16038
die	w5_d448e16041
weitere	w7_d448e16044
Auskunft	w9_d448e16047
wird	w11_d448e16050
ertheilet	w1_d448e16056
werden.	w3_d448e16059
</p>
<p id="p28_d448e16062">
Von	w1_d448e16066
der	w3_d448e16069
Kaiserl.	w5_d448e16072
Königl.	w7_d448e16075
Herrschaft	w9_d448e16078
Eberstorf	w11_d448e16081
an	w1_d448e16086
der	w3_d448e16089
Donau	w5_d448e16092
wegen,	w7_d448e16095
wird	w9_d448e16098
hiemit	w11_d448e16101
jedermänni	w13_d448e16105
glich	w1_d448e16110
kund	w3_d448e16113
und	w5_d448e16116
zu	w7_d448e16119
wissen	w9_d448e16122
gemacht,	w11_d448e16125
welchergestal	w13_d448e16129
ten	w1_d448e16135
des	w3_d448e16138
Benedict	w5_d448e16141
Hans,	w7_d448e16144
Burgerl.	w9_d448e16147
Hafnermei	w11_d448e16150
sters	w1_d448e16155
zu	w3_d448e16158
Schwechat	w5_d448e16161
Klein=haus,	w7_d448e16164
samt	w9_d448e16167
dem	w11_d448e16170
Haf	w13_d448e16174
ner=gewerb	w1_d448e16179
plus	w3_d448e16182
offerenti	w5_d448e16185
zu	w7_d448e16188
verkauffen	w9_d448e16191
stehet;	w11_d448e16194
wer	w1_d448e16199
demnach	w3_d448e16202
sothane	w5_d448e16205
Behausung	w7_d448e16208
käuflich	w9_d448e16211
an	w11_d448e16214
sich	w13_d448e16218
zu	w1_d448e16224
bringen	w3_d448e16227
gedenket,	w5_d448e16230
hat	w7_d448e16233
sich	w9_d448e16236
den	w11_d448e16239
31.	w13_d448e16243
dies	w15_d448e16246
Mo	w17_d448e16249
nats	w1_d448e16254
May	w3_d448e16257
in	w5_d448e16260
der	w7_d448e16263
Kaiserl.	w9_d448e16266
Amts=canzley	w11_d448e16269
zu	w13_d448e16273
be	w15_d448e16276
sagtem	w1_d448e16281
Eberstorf	w3_d448e16284
an	w5_d448e16287
der	w7_d448e16290
Donau	w9_d448e16293
fruh	w11_d448e16296
um	w13_d448e16300
9.	w15_d448e16303
Uhr	w17_d448e16306
bey	w1_d448e16311
der	w3_d448e16314
diesfalls	w5_d448e16317
anberaumten	w7_d448e16320
Licitations=tag	w9_d448e16323
satzung	w1_d448e16329
anzumelden.	w3_d448e16332
Schloß	w5_d448e16335
Eberstorf	w7_d448e16338
den	w9_d448e16341
2.	w11_d448e16344
May	w1_d448e16349
1760.	w3_d448e16352
</p>
<p id="p30_d448e16355">
Von	w1_d448e16359
dem	w3_d448e16362
Löbl.	w5_d448e16365
Stift	w7_d448e16368
und	w9_d448e16371
Closter	w11_d448e16374
unser	w13_d448e16378
Lieben	w15_d448e16381
Frauen	w1_d448e16386
zun	w3_d448e16389
Schotten	w5_d448e16392
alhier	w7_d448e16395
bestelten	w9_d448e16398
Grund	w11_d448e16401
gericht	w1_d448e16406
wegen:	w3_d448e16409
fügen	w5_d448e16412
hiemit	w7_d448e16415
jedermänniglichen	w9_d448e16418
zu	w11_d448e16421
vernehmen;	w1_d448e16427
was	w3_d448e16430
massen	w5_d448e16433
auf	w7_d448e16436
des	w9_d448e16439
Herrn	w11_d448e16442
Advo-	w13_d448e16446
cati	w1_d448e16451
Causarum	w3_d448e16454
piarum	w5_d448e16457
Leopold	w7_d448e16460
Franz	w9_d448e16463
Werrer.	w11_d448e16466
U.	w1_d448e16471
D.,	w3_d448e16474
wider	w5_d448e16477
die	w7_d448e16480
Frau	w9_d448e16483
Anna	w11_d448e16486
Maria	w13_d448e16490
Salzerin	w15_d448e16493
beschehene	w1_d448e16498
Anlangen,	w3_d448e16501
wegen	w5_d448e16504
eingeklagt	w7_d448e16507
schuldi	w9_d448e16510
gen	w1_d448e16516
Capitals=rest	w3_d448e16519
pr.	w5_d448e16522
700.	w7_d448e16525
fl.	w9_d448e16528
cum	w11_d448e16531
interes.	w13_d448e16535
in	w15_d448e16538
die	w17_d448e16541
Licitirung	w1_d448e16546
der	w3_d448e16549
gerichtlich	w5_d448e16552
in	w7_d448e16555
dem	w9_d448e16558
Kraut=gässel	w11_d448e16561
ligend,	w1_d448e16566
und	w3_d448e16569
zum	w5_d448e16572
7.	w7_d448e16575
Körben	w9_d448e16578
sogenannte	w11_d448e16581
Behausung	w13_d448e16585
verwilliget	w1_d448e16590
worden	w3_d448e16593
seye;	w5_d448e16596
zu	w7_d448e16599
welchen	w9_d448e16602
Ende	w11_d448e16605
dann	w13_d448e16609
auch	w1_d448e16615
hiemit	w3_d448e16618
der	w5_d448e16621
7.	w7_d448e16624
künftigen	w9_d448e16627
Monats	w11_d448e16630
Junii	w13_d448e16634
dies	w15_d448e16637
Jahrs	w1_d448e16642
Vormittag	w3_d448e16645
um	w5_d448e16648
9.	w7_d448e16651
Uhr	w9_d448e16654
vor	w11_d448e16657
disseitig	w13_d448e16661
bestel	w15_d448e16664
te	w1_d448e16669
Grund=gericht	w3_d448e16672
zur	w5_d448e16675
clausulirten	w7_d448e16678
Licitationstag	w9_d448e16681
satzung	w1_d448e16686
dergestalt	w3_d448e16689
bestimmet,	w5_d448e16692
daß	w7_d448e16695
mit	w9_d448e16698
dem	w11_d448e16701
vor	w13_d448e16705
kommende	w1_d448e16711
Meistbietenden	w3_d448e16714
der	w5_d448e16717
Kauf	w7_d448e16720
um	w9_d448e16723
bemeldt	w11_d448e16726
Salzerisches	w1_d448e16731
Haus	w3_d448e16734
geschlossen	w5_d448e16737
werden	w7_d448e16740
solle.	w9_d448e16743
</p>
<p id="p32_d448e16746">
Wir	w1_d448e16750
Burgermeister=amts=verwalter,	w3_d448e16753
und	w5_d448e16756
Raht	w7_d448e16759
der	w1_d448e16764
Stadt	w3_d448e16767
Wien,	w5_d448e16770
geben	w7_d448e16773
hiemit	w9_d448e16776
durch	w11_d448e16779
dieses	w13_d448e16783
offe	w15_d448e16786
ne	w1_d448e16791
Edict	w3_d448e16794
jedermänniglich	w5_d448e16797
zu	w7_d448e16800
vernehmen,	w9_d448e16803
was	w11_d448e16806
ge	w13_d448e16810
</p>
<p id="p34_d448e16813">
stalten	w1_d448e16817
wir	w3_d448e16820
über	w5_d448e16823
beschehen	w7_d448e16826
schriftliches	w9_d448e16829
Anlangen	w11_d448e16832
und	w1_d448e16837
gehorsamstes	w3_d448e16840
Bitten	w5_d448e16843
Antoni	w7_d448e16846
Zirnhoffers	w9_d448e16849
Bur	w11_d448e16852
gerlichen	w1_d448e16857
Schustermeisters,	w3_d448e16860
contra	w5_d448e16863
Johann	w7_d448e16866
Michael	w9_d448e16869
Pirschl,	w1_d448e16875
und	w3_d448e16878
Clara	w5_d448e16881
dessen	w7_d448e16884
Ehewirtin	w9_d448e16887
unterm	w11_d448e16890
21.	w13_d448e16894
clapsi	w1_d448e16899
in	w3_d448e16902
ein	w5_d448e16905
gewöhnliches	w7_d448e16908
Licitations=edict	w9_d448e16911
gewil	w11_d448e16914
liget	w1_d448e16919
und	w3_d448e16922
verordnet	w5_d448e16925
haben,	w7_d448e16928
daß	w9_d448e16931
die	w11_d448e16934
Pirschlische	w13_d448e16938
Behausung	w1_d448e16943
auf	w3_d448e16946
der	w5_d448e16949
Kärntner=thor=pastey	w7_d448e16952
offentlich	w9_d448e16955
ausgefeillet,	w1_d448e16961
und	w3_d448e16964
dem	w5_d448e16967
Meist=bietenden	w7_d448e16970
verkauffet	w9_d448e16973
werden	w1_d448e16978
solle;	w3_d448e16981
da	w5_d448e16984
nun	w7_d448e16987
hierzu	w9_d448e16990
der	w11_d448e16993
7.	w13_d448e16997
Monats=tag	w15_d448e17000
Junii	w1_d448e17005
laussend	w3_d448e17008
1760.	w5_d448e17011
Jahrs	w7_d448e17014
zur	w9_d448e17017
Tagsatzung	w11_d448e17020
be	w13_d448e17024
stimmet	w1_d448e17029
worden	w3_d448e17032
ist,	w5_d448e17035
als	w7_d448e17038
wirdet	w9_d448e17041
ein	w11_d448e17044
solches	w13_d448e17048
hie	w15_d448e17051
mit	w1_d448e17057
jedermann,	w3_d448e17060
wer	w5_d448e17063
etwann	w7_d448e17066
dieses	w9_d448e17069
Haus	w11_d448e17072
käufli	w13_d448e17076
chen	w1_d448e17081
an	w3_d448e17084
sich	w5_d448e17087
zu	w7_d448e17090
bringen	w9_d448e17093
gesinnet	w11_d448e17096
ist,	w13_d448e17100
mit	w15_d448e17103
diesem	w17_d448e17106
Edict	w1_d448e17111
zu	w3_d448e17114
dem	w5_d448e17117
Ende	w7_d448e17120
kund	w9_d448e17123
und	w11_d448e17126
zu	w13_d448e17130
wissen	w15_d448e17133
gemacht,	w17_d448e17136
damit	w1_d448e17141
ein	w3_d448e17144
sich	w5_d448e17147
hervorthuender	w7_d448e17150
Kauffer	w9_d448e17153
bey	w11_d448e17156
obbe	w13_d448e17160
meldt	w1_d448e17166
bestimmten	w3_d448e17169
Licitations=tagsatzung	w5_d448e17172
fruhe	w7_d448e17175
um	w9_d448e17178
9.	w1_d448e17183
Uhr,	w3_d448e17186
oder	w5_d448e17189
da	w7_d448e17192
wir	w9_d448e17195
selbigen	w11_d448e17198
Tags	w13_d448e17202
etwann	w15_d448e17205
an	w17_d448e17208
derer	w1_d448e17213
Geschäften	w3_d448e17216
halber	w5_d448e17219
nicht	w7_d448e17222
zu	w9_d448e17225
Raht	w11_d448e17228
sitzeren,	w13_d448e17232
den	w1_d448e17237
nächst	w3_d448e17240
darauf	w5_d448e17243
folgenden	w7_d448e17246
Rahts=tag	w9_d448e17249
vor	w11_d448e17252
uns	w13_d448e17256
erscheinen,	w1_d448e17262
und	w3_d448e17265
sich	w5_d448e17268
bey	w7_d448e17271
unser,	w9_d448e17274
und	w11_d448e17277
gemeiner	w13_d448e17281
Stadt	w1_d448e17286
Grund=buch	w3_d448e17289
durch	w5_d448e17292
den	w7_d448e17295
daselbstigen	w9_d448e17298
Amts	w11_d448e17301
schreiber	w1_d448e17306
anmelden	w3_d448e17309
lassen	w5_d448e17312
möge,	w7_d448e17315
allwo	w9_d448e17318
sodann	w11_d448e17321
das	w13_d448e17325
weiter=behörige	w1_d448e17330
traetiret	w3_d448e17333
werden	w5_d448e17336
solle.	w7_d448e17339
Actum	w9_d448e17342
Wien	w1_d448e17348
den	w3_d448e17351
10.	w5_d448e17354
April	w7_d448e17357
1760.	w9_d448e17360
</p>
<p id="p36_d448e17364">
Wir	w1_d448e17368
Endes	w3_d448e17371
Gefertigte,	w5_d448e17374
von	w7_d448e17377
einem	w9_d448e17380
Löbl.	w11_d448e17383
Land	w13_d448e17387
marschallischen	w1_d448e17392
Gericht	w3_d448e17395
verordnete	w5_d448e17398
Commissarien	w7_d448e17401
fügen	w1_d448e17406
N.	w3_d448e17409
allen	w5_d448e17412
und	w7_d448e17415
jeden	w9_d448e17418
(so	w11_d448e17421
an	w13_d448e17425
weil.	w15_d448e17428
der	w17_d448e17431
Hoch	w19_d448e17434
und	w1_d448e17440
Wol=gebornen	w3_d448e17443
Frauen	w5_d448e17446
Josephä	w7_d448e17449
Antoniä	w9_d448e17452
ver	w11_d448e17455
wittibten	w1_d448e17460
