<doc id="edoc_wd_1768-02-24" attrs="word" year="1768" month="02" day="24" corpus="1">
<head id="hl1">
Amsterdam	w35
geben	w5355
hiemit	w5356
jedermann	w5357
zu	w5358
vernehmen	w5359
<g/>
:
Es	w5361
habe	w5362
uns	w5363
der	w5364
allhiesig	w5365
Erzbischöfliche	w5366
Her	w5367
Cur	w5368
<g/>
=
und	w5370
Chormeister	w5371
bey	w5372
St	w5373
<g/>
.
Stephan	w5375
angezeiget	w5376
<g/>
,
daß	w5378
folgende	w5379
für	w5380
verschiedene	w5381
fromme	w5382
Stiftungen	w5383
nach	w5384
St	w5385
<g/>
.
Stephan	w5387
gehörige	w5388
Oberkammeramts	w5389
Obliga=tionen	w5390
<g/>
=
<g/>
,
nämlich	w5393
<g/>
:
1	w5395
<g/>
)
Eine	w5397
von	w5398
dem	w5399
Johann	w5400
Hai=der	w5401
<g/>
=
für	w5403
Hausarme	w5404
Kranke	w5405
gestiftete	w5406
d	w5407
<g/>
.
d	w5409
<g/>
.
13	w5411
<g/>
.
De=cemb	w5413
<g/>
=
<g/>
.
1712	w5416
<g/>
.
pr	w5418
<g/>
.
150	w5420
<g/>
.
fl	w5422
<g/>
.
2	w5424
<g/>
)
Eine	w5426
von	w5427
der	w5428
Bar=bara	w5429
<g/>
=
Schönerin	w5431
zu	w5432
einer	w5433
Frühmeß	w5434
d	w5435
<g/>
.
d	w5437
<g/>
.
4	w5439
<g/>
.
Sept	w5441
<g/>
.
1679	w5443
<g/>
.
pr	w5445
<g/>
.
100	w5447
<g/>
.
fl	w5449
<g/>
.
3	w5451
<g/>
)
Eine	w5453
von	w5454
eben	w5455
gedachter	w5456
Schönerin	w5457
auch	w5458
zu	w5459
eimer	w5460
Frühmeß	w5461
d	w5462
<g/>
.
d	w5464
<g/>
.
3	w5466
<g/>
.
Decemb	w5468
<g/>
.
1672	w5470
<g/>
.
pr	w5472
<g/>
.
80	w5474
<g/>
.
fl	w5476
<g/>
.
4	w5478
<g/>
)
Eine	w5480
von	w5481
der	w5482
Margareth	w5483
Pichlerin	w5484
d	w5485
<g/>
.
d	w5487
<g/>
.
16	w5489
<g/>
.
Octob	w5491
<g/>
.
1702	w5493
<g/>
.
pr	w5495
<g/>
.
150	w5497
<g/>
.
fl	w5499
<g/>
.
5	w5501
<g/>
)
Eine	w5503
von	w5504
dem	w5505
Mathäus	w5506
Ostermann	w5507
vom	w5508
29	w5509
<g/>
.
No=vemb	w5511
<g/>
=
<g/>
.
1676	w5514
<g/>
.
pr	w5516
<g/>
.
100	w5518
<g/>
.
fl	w5520
<g/>
.
in	w5522
Verstoß	w5523
gerathen	w5524
<g/>
,
und	w5526
ungehindert	w5527
all	w5528
möglichen	w5529
Nachforschens	w5530
</p>
<p id="p58">
nicht	w5531
mehr	w5532
zu	w5533
finden	w5534
wären	w5535
<g/>
.
Da	w5537
nun	w5538
bey	w5539
die=sem	w5540
<g/>
=
Umstande	w5542
für	w5543
nothwendig	w5544
befunden	w5545
worden	w5546
ist	w5547
<g/>
,
ein	w5549
ordentliches	w5550
Amortisationsedict	w5551
auszufer=tigen	w5552
<g/>
=
<g/>
.
So	w5555
haben	w5556
jene	w5557
<g/>
,
welche	w5559
von	w5560
besagten	w5561
Ob=ligationen	w5562
<g/>
=
eine	w5564
Wissenschaft	w5565
haben	w5566
<g/>
,
oder	w5568
hieran	w5569
einige	w5570
Sprüche	w5571
zu	w5572
stellen	w5573
vermeinen	w5574
<g/>
,
von	w5576
unten	w5577
geseztem	w5578
Dato	w5579
an	w5580
inner	w5581
Jahr	w5582
<g/>
,
6	w5584
<g/>
.
Wochen	w5586
<g/>
,
und	w5588
3	w5589
<g/>
.
Tägen	w5591
bey	w5592
unser	w5593
<g/>
,
und	w5595
gemeiner	w5596
Stadt	w5597
Grund=buch	w5598
<g/>
=
solches	w5600
alsogewiß	w5601
anzuzeigen	w5602
<g/>
,
und	w5604
sich	w5605
hiezu	w5606
behörig	w5607
zu	w5608
legitimiren	w5609
<g/>
,
wie	w5611
im	w5612
widrigen	w5613
nach	w5614
Verstreichung	w5615
dieses	w5616
Termins	w5617
sothane	w5618
Obligatio=nes	w5619
<g/>
=
für	w5621
nichtig	w5622
<g/>
,
und	w5624
ungiltig	w5625
geachtet	w5626
<g/>
,
und	w5628
gänzlich	w5629
caßiret	w5630
werden	w5631
sollen	w5632
<g/>
.
Wien	w5634
den	w5635
10	w5636
<g/>
.
Februar	w5638
1768	w5639
<g/>
.
</p>
<p id="p59">
Von	w5641
des	w5642
Landesfürstl	w5643
<g/>
.
St	w5645
Leopoldistift	w5646
Kloster	w5647
neuburg	w5648
Oberkammer	w5649
<g/>
,
wird	w5651
hiemit	w5652
jedermännig=lich	w5653
<g/>
=
kund	w5655
and	w5656
zu	w5657
wissen	w5658
gemacht	w5659
<g/>
.
Es	w5661
haben	w5662
sich	w5663
über	w5664
des	w5665
von	w5666
Johann	w5667
Höller	w5668
<g/>
,
behaust	w5670
gewesten	w5671
Unterthan	w5672
zu	w5673
Tättendorf	w5674
<g/>
,
Theresia	w5676
seiner	w5677
Ehe=wirthin	w5678
<g/>
=
<g/>
,
ihrer	w5681
daselbst	w5682
gehabt	w5683
<g/>
,
an	w5685
den	w5686
Ludwig	w5687
Fuchs	w5688
schon	w5689
den	w5690
19	w5691
<g/>
.
März	w5693
1767	w5694
<g/>
.
verkauften	w5696
Hof=stattbehausung	w5697
<g/>
=
<g/>
,
und	w5700
darein	w5701
gehörigen	w5702
Grundstü=cken	w5703
<g/>
=
zeither	w5705
so	w5706
viele	w5707
Creditspartheyen	w5708
<g/>
,
unter	w5710
wel=chen	w5711
<g/>
=
auch	w5713
beträglich	w5714
privilegirte	w5715
Posten	w5716
begriffen	w5717
<g/>
,
angemeldet	w5719
<g/>
,
daß	w5721
selbe	w5722
schon	w5723
der	w5724
Zeit	w5725
dem	w5726
pactir	w5727
ten	w5728
Kaufschilling	w5729
pr	w5730
<g/>
.
219	w5732
<g/>
.
fl	w5734
<g/>
.
52	w5736
<g/>
.
kr	w5738
<g/>
.
1	w5740
<g/>
.
pf	w5742
<g/>
.
überstei	w5744
gen	w5745
<g/>
,
sohin	w5747
die	w5748
Noth	w5749
erforderet	w5750
<g/>
,
einen	w5752
ordentli	w5753
chen	w5754
Concursum	w5755
Creditarum	w5756
anzuordnen	w5757
<g/>
,
wo	w5759
somit	w5760
mit	w5761
Ausschließung	w5762
der	w5763
Fastnachtsferien	w5764
der	w5765
26	w5766
<g/>
.
nächstkommenden	w5768
Monats	w5769
März	w5770
fruhe	w5771
um	w5772
9	w5773
<g/>
.
Uhr	w5775
für	w5776
das	w5777
erst	w5778
<g/>
,
andert	w5780
<g/>
,
und	w5782
drittemal	w5783
<g/>
,
auch	w5785
allendlicher	w5786
Zeitsfrist	w5787
sub	w5788
clausula	w5789
præclusipraeclusi	w5790
anbe=raumet	w5791
<g/>
=
worden	w5793
<g/>
.
Als	w5795
werden	w5796
alle	w5797
diejenige	w5798
so	w5799
an	w5800
den	w5801
besagten	w5802
Johann	w5803
Höller	w5804
<g/>
,
Theresia	w5806
seiner	w5807
Ehewirthin	w5808
<g/>
,
einige	w5810
Sprüche	w5811
oder	w5812
Anforderungen	w5813
haben	w5814
<g/>
,
oder	w5816
zu	w5817
haben	w5818
vermeinen	w5819
<g/>
,
an	w5821
obbestim=ten	w5822
<g/>
=
Tag	w5824
und	w5825
Stund	w5826
für	w5827
die	w5828
Oberkammer	w5829
zu	w5830
Klo=sterneuburg	w5831
<g/>
=
entweder	w5833
selbst	w5834
persöhnlich	w5835
<g/>
,
oder	w5837
durch	w5838
einen	w5839
Gevollmächtigten	w5840
sich	w5841
alsogewiß	w5842
anzumelden	w5843
<g/>
,
und	w5845
ihre	w5846
Sprüche	w5847
oder	w5848
Anforderungen	w5849
zu	w5850
liquidi=ren	w5851
<g/>
=
haben	w5853
<g/>
,
wie	w5855
im	w5856
widrigen	w5857
<g/>
,
was	w5859
Rechtens	w5860
ist	w5861
<g/>
,
ex	w5863
Officio	w5864
fürgekehret	w5865
werden	w5866
solle	w5867
<g/>
.
</p>
<head id="hl22">
Anzeige	w5869
<g/>
.
</head>
<p id="p60">
Es	w5871
dienet	w5872
hiemit	w5873
jedermann	w5874
zur	w5875
Nachricht	w5876
<g/>
,
daß	w5878
die	w5879
zu	w5880
Lestorf	w5881
nächst	w5882
Baaden	w5883
gelegene	w5884
<g/>
,
und	w5886
durchaus	w5887
von	w5888
Stein	w5889
wohlgebaute	w5890
Papiermühle	w5891
<g/>
,
mit	w5893
aller	w5894
Zugehörde	w5895
<g/>
,
und	w5897
Grundstücken	w5898
täglich	w5899
zu	w5900
verkaufen	w5901
stehet	w5902
<g/>
,
wer	w5904
hiezu	w5905
Belieben	w5906
trägt	w5907
<g/>
,
hat	w5909
sich	w5910
entweder	w5911
allhier	w5912
in	w5913
Wien	w5914
in	w5915
dem	w5916
k	w5917
<g/>
.
k	w5919
<g/>
.
Zei=tungsverlag	w5921
<g/>
=
<g/>
,
oder	w5924
zu	w5925
Pfafstätten	w5926
bey	w5927
daselbst	w5928
wohnhaften	w5929
Geistlichen	w5930
<g/>
,
Herrn	w5932
Johann	w5933
Hasenöhrl	w5934
des	w5935
weitern	w5936
zu	w5937
erkundigen	w5938
<g/>
.
</p>
<head id="hl23">
Politische	w5951
Neuigkeiten	w5952
<g/>
.
</head>
<head id="hl24">
Florenz	w5954
den	w5955
13	w5956
<g/>
.
Hornung	w5958
<g/>
.
</head>
<p id="p61">
Unsere	w5960
Wünsche	w5961
<g/>
,
einen	w5963
Großprinzen	w5964
zu	w5965
ha=benn	w5966
<g/>
=
sind	w5968
nun	w5969
zur	w5970
allgemeinen	w5971
Freude	w5972
erfüllet	w5973
<g/>
.
Noch	w5975
den	w5976
11ten	w5977
dieses	w5978
<g/>
,
nah=men	w5980
<g/>
=
der	w5982
Erzherzogin	w5983
königl	w5984
<g/>
.
Hoheit	w5986
an	w5987
den	w5988
öffentlichen	w5989
Faßnachtslustbarkeiten	w5990
<g/>
,
das	w5992
ist	w5993
<g/>
,
Nachmittags	w5995
an	w5996
dem	w5997
Masquen	w5998
<g/>
=
Corso	w6000
<g/>
,
dann	w6002
Abends	w6003
an	w6004
dem	w6005
Schauspiel	w6006
in	w6007
der	w6008
Marien=strasse	w6009
<g/>
=
<g/>
,
und	w6012
dem	w6013
darauf	w6014
erfolgten	w6015
Tanzfeste	w6016
in	w6017
der	w6018
Strasse	w6019
Pergola	w6020
<g/>
,
persöhnlich	w6022
Theil	w6023
<g/>
,
von	w6025
wannen	w6026
sie	w6027
erst	w6028
nach	w6029
Mitternacht	w6030
in	w6031
dero	w6032
Palast	w6033
zurücke	w6034
kehrten	w6035
<g/>
,
und	w6037
ohne	w6038
der	w6039
mindesten	w6040
Ahndung	w6041
zur	w6042
Ruhe	w6043
sich	w6044
begaben	w6045
<g/>
;
Gegen	w6047
3	w6048
<g/>
.
Uhr	w6050
erwachten	w6051
dieselben	w6052
mit	w6053
eini=gen	w6054
<g/>
=
Empfindungen	w6056
<g/>
,
und	w6058
um	w6059
halb	w6060
5	w6061
<g/>
.
Uhr	w6063
wurden	w6064
sie	w6065
von	w6066
einem	w6067
gesunden	w6068
<g/>
,
wohlgestal=teten	w6070
<g/>
=
Prinzen	w6072
glücklich	w6073
entbunden	w6074
<g/>
.
Es	w6076
ist	w6077
fast	w6078
nicht	w6079
möglich	w6080
<g/>
,
die	w6082
FrendeFreude	w6083
<g/>
,
und	w6085
das	w6086
Ent=zücken	w6087
<g/>
=
zu	w6089
beschreiben	w6090
<g/>
,
die	w6092
dieser	w6093
erwünschte	w6094
Zufall	w6095
sowohl	w6096
bey	w6097
Hofe	w6098
<g/>
,
als	w6100
in	w6101
der	w6102
Stadt	w6103
<g/>
,
von	w6105
dem	w6106
Höchsten	w6107
bis	w6108
zum	w6109
Niedrigsten	w6110
ver=ursachet	w6111
<g/>
=
hat	w6113
<g/>
,
welch	w6115
allgemeines	w6116
Frolocken	w6117
al=sogleich	w6118
<g/>
=
von	w6120
den	w6121
hiesigen	w6122
Castellen	w6123
mit	w6124
Ab=feuerung	w6125
<g/>
=
von	w6127
hundert	w6128
und	w6129
einer	w6130
Kanone	w6131
noch	w6132
mehr	w6133
belebet	w6134
wurde	w6135
<g/>
.
Das	w6137
für	w6138
Freude	w6139
fast	w6140
rasende	w6141
Volk	w6142
machte	w6143
auf	w6144
allen	w6145
Gassen	w6146
die	w6147
rührendste	w6148
Auftritte	w6149
<g/>
;
Abends	w6151
waren	w6152
alle	w6153
Schaubühnen	w6154
auf	w6155
das	w6156
prächtigste	w6157
beleuchtet	w6158
<g/>
,
und	w6160
durchgehends	w6161
sah	w6162
man	w6163
nichts	w6164
als	w6165
Freu=denfeuer	w6166
<g/>
=
<g/>
,
die	w6169
von	w6170
dem	w6171
entzückten	w6172
Volke	w6173
auf	w6174
den	w6175
Gassen	w6176
unordentlich	w6177
angezunden	w6178
worden	w6179
<g/>
.
</p>
<p id="p62">
Die	w6181
Ordnung	w6182
der	w6183
dieses	w6184
glücklichen	w6185
Zu=falls	w6186
<g/>
=
wegen	w6188
anzustellenden	w6189
Freudenfeste	w6190
<g/>
(
wo=von	w6192
<g/>
=
künftig	w6194
ein	w6195
mehreres	w6196
<g/>
)
ist	w6198
folgende	w6199
<g/>
:
vier	w6201
Tage	w6202
große	w6203
Gala	w6204
<g/>
,
vom	w6206
12ten	w6207
dieses	w6208
ange=fangen	w6209
<g/>
=
<g/>
.
6	w6212
<g/>
.
Ferialtage	w6214
<g/>
,
da	w6216
alle	w6217
öffentliche	w6218
Aemter	w6219
geschlossen	w6220
sind	w6221
<g/>
,
vom	w6223
13ten	w6224
an	w6225
<g/>
.
Den	w6227
13	w6228
<g/>
.
14	w6230
<g/>
.
und	w6232
15ten	w6233
wird	w6234
öffentliche	w6235
Beleuch=tung	w6236
<g/>
=
<g/>
,
mit	w6239
Kunstfeuern	w6240
vom	w6241
Thurm	w6242
des	w6243
al=ten	w6244
<g/>
=
Pallastes	w6246
<g/>
,
unter	w6248
Losbrennung	w6249
der	w6250
Cano=nen	w6251
<g/>
=
von	w6253
den	w6254
Festungen	w6255
<g/>
.
</p>
<p id="p63">
Den	w6257
12ten	w6258
Abends	w6259
<g/>
,
wie	w6261
hernach	w6262
wird	w6263
gesagt	w6264
werden	w6265
<g/>
,
gieng	w6267
die	w6268
heilige	w6269
Taufhand=lung	w6270
<g/>
=
vor	w6272
sich	w6273
<g/>
.
Den	w6275
13ten	w6276
Vormittags	w6277
<g/>
,
Handkuß	w6279
<g/>
,
und	w6281
öffentliche	w6282
Tafel	w6283
bey	w6284
Hof	w6285
und	w6286
endlich	w6287
den	w6288
14ten	w6289
ein	w6290
feyerliches	w6291
Herr	w6292
Gott	w6293
dich	w6294
loben	w6295
wir	w6296
<g/>
!
in	w6298
der	w6299
Domkirche	w6300
<g/>
,
welchem	w6302
Seine	w6303
königl	w6304
<g/>
.
Hoheit	w6306
der	w6307
Erz=herzog	w6308
<g/>
=
<g/>
,
und	w6311
alle	w6312
Magistratsstellen	w6313
in	w6314
öffent=lichem	w6315
<g/>
=
Staat	w6317
beywohnen	w6318
werden	w6319
<g/>
.
</p>
<p id="p64">
Gleich	w6321
nach	w6322
erfolgter	w6323
Entbindung	w6324
ihrer	w6325
kön	w6326
<g/>
.
Hoheit	w6328
wurden	w6329
Curriers	w6330
nacher	w6331
Wien	w6332
<g/>
,
an	w6334
den	w6335
kais	w6336
<g/>
.
kön	w6338
<g/>
.
Hof	w6340
<g/>
,
nacher	w6342
Madrid	w6343
<g/>
,
Nea=pel	w6345
<g/>
=
<g/>
,
Parma	w6348
<g/>
,
Mayland	w6350
<g/>
,
und	w6352
Brüssel	w6353
mit	w6354
die=ser	w6355
<g/>
=
frohen	w6357
Nachricht	w6358
abgefertiget	w6359
<g/>
.
</p>
<p id="p65">
Zur	w6361
Taufhandlung	w6362
wurde	w6363
der	w6364
große	w6365
Saal	w6366
in	w6367
dem	w6368
erzherzoglichen	w6369
Pallaste	w6370
auf	w6371
das	w6372
präch=tigste	w6373
<g/>
=
ausgeschmücket	w6375
<g/>
;
gegenüber	w6377
einem	w6378
da=selbst	w6379
<g/>
=
aufgerichteten	w6381
Throne	w6382
wurde	w6383
der	w6384
ge=wöhnliche	w6385
<g/>
=
Altar	w6387
gestellet	w6388
<g/>
,
welchem	w6390
zur	w6391
Sei=te	w6392
<g/>
=
eine	w6394
geräumige	w6395
Bühne	w6396
für	w6397
die	w6398
Kammer=musik	w6399
<g/>
=
sich	w6401
befand	w6402
<g/>
,
und	w6404
der	w6405
ganze	w6406
Saal	w6407
war	w6408
auf	w6409
das	w6410
herrlichste	w6411
beleuchtet	w6412
<g/>
.
</p>
<p id="p66">
Gegen	w6414
6	w6415
<g/>
.
Uhr	w6417
Abends	w6418
wurde	w6419
mit	w6420
dem	w6421
Eintritt	w6422
des	w6423
hiesigen	w6424
Herrn	w6425
Erzbischoffens	w6426
<g/>
,
in	w6428
Begleitung	w6429
dreyer	w6430
Domherren	w6431
<g/>
,
und	w6433
Aßi=stirung	w6434
<g/>
=
zweener	w6436
anderer	w6437
Prälaten	w6438
<g/>
,
nämlich	w6440
der	w6441
Bischöffe	w6442
von	w6443
Fiesole	w6444
<g/>
,
und	w6446
Monte	w6447
Al=cino	w6448
<g/>
=
<g/>
,
zu	w6451
dieser	w6452
heiligen	w6453
Handlung	w6454
der	w6455
An=fang	w6456
<g/>
=
gemacht	w6458
<g/>
;
hierauf	w6460
erschienen	w6461
des	w6462
durchl	w6463
<g/>
.
Erzherzogens	w6465
königl	w6466
<g/>
.
Hoheit	w6468
mit	w6469
einem	w6470
gros=sen	w6471
<g/>
=
Gefolge	w6473
von	w6474
Kämmerern	w6475
<g/>
,
Räthen	w6477
<g/>
,
und	w6479
Hofstellen	w6480
<g/>
,
und	w6482
kurz	w6483
hernach	w6484
wurde	w6485
der	w6486
neu=gebohrne	w6487
<g/>
=
Prinz	w6489
von	w6490
dem	w6491
Herrn	w6492
Grafen	w6493
Fer=dinand	w6494
<g/>
=
Strozzi	w6496
welcher	w6497
dabey	w6498
die	w6499
Stelle	w6500
eines	w6501
obristen	w6502
Hofmeisters	w6503
vertratte	w6504
<g/>
,
auf	w6506
einem	w6507
mit	w6508
einer	w6509
reichen	w6510
Decke	w6511
überlegten	w6512
Küssen	w6513
in	w6514
den	w6515
Saal	w6516
gebracht	w6517
<g/>
,
wovon	w6519
die	w6520
vorwärts	w6521
herabhangenden	w6522
Enden	w6523
die	w6524
zwey	w6525
Kämmerer	w6526
<g/>
,
nämlich	w6528
Herr	w6529
Marches	w6530
Gino	w6531
Capponi	w6532
<g/>
,
commandirender	w6534
Generalmajor	w6535
der	w6536
toscanischen	w6537
Truppen	w6538
<g/>
,
und	w6540
Hr	w6541
<g/>
.
Senator	w6543
AnAnton	w6544
<g/>
=
</p>
<p id="p67">
ton	w6547
Serristori	w6548
vortrugen	w6549
<g/>
;
zur	w6551
Rechten	w6552
trat=ten	w6553
<g/>
=
die	w6555
Aja	w6556
Frau	w6557
Marchesin	w6558
Johanna	w6559
degli	w6560
Albizzi	w6561
<g/>
,
zur	w6563
Linken	w6564
eine	w6565
Kammerfrau	w6566
<g/>
,
und	w6568
rückwärts	w6569
die	w6570
neue	w6571
Pflegemutter	w6572
mit	w6573
ein	w6574
<g/>
.
</p>
<p id="p68">
Nach	w6576
dem	w6577
gewöhnlichen	w6578
Kirchengepränge	w6579
wurde	w6580
dieser	w6581
neugebohrne	w6582
Erzherzog	w6583
von	w6584
Oe=sterreich	w6585
<g/>
=
<g/>
,
und	w6588
Großprinz	w6589
von	w6590
Toscana	w6591
ge=tauft	w6592
<g/>
=
<g/>
,
und	w6595
ihm	w6596
die	w6597
Namen	w6598
Franz	w6599
<g/>
,
Joseph	w6601
<g/>
,
Carl	w6603
<g/>
,
beygeleget	w6605
<g/>
.
Herr	w6607
Graf	w6608
Franz	w6609
Orsi=ni	w6610
<g/>
=
von	w6612
Rosenberg	w6613
vertratten	w6614
die	w6615
Stelle	w6616
Sr	w6617
<g/>
.
kaiserl	w6619
<g/>
.
Majestät	w6621
<g/>
,
und	w6623
der	w6624
Herr	w6625
Marches	w6626
Prio=re	w6627
<g/>
=
Luigi	w6629
Viviani	w6630
jene	w6631
Sr	w6632
<g/>
.
katholischen	w6634
Ma=jestät	w6635
<g/>
=
<g/>
,
welche	w6638
beyde	w6639
höchsten	w6640
Häupter	w6641
die	w6642
Taufbathen	w6643
eröfterten	w6644
neugebohrnen	w6645
Prin=zens	w6646
<g/>
=
waren	w6648
<g/>
.
Nach	w6650
vollbrachter	w6651
dieser	w6652
heili=gen	w6653
<g/>
=
Handlung	w6655
stimmte	w6656
der	w6657
Herr	w6658
Erzbischof	w6659
das	w6660
Herr	w6661
Gott	w6662
dich	w6663
loben	w6664
wir	w6665
<g/>
!
an	w6667
<g/>
,
welches	w6669
die	w6670
gesammte	w6671
Kammerkapelle	w6672
unter	w6673
einer	w6674
herrlichen	w6675
Musik	w6676
ausführte	w6677
<g/>
.
</p>
<p id="p69">
Gleich	w6679
nach	w6680
empfangener	w6681
heiligen	w6682
Taufe	w6683
wurde	w6684
der	w6685
neugebohrne	w6686
Erzherzog	w6687
mit	w6688
dem	w6689
nämlichen	w6690
Gefolge	w6691
<g/>
,
wie	w6693
beym	w6694
Eintritt	w6695
ge=schehen	w6696
<g/>
=
<g/>
,
zu	w6699
der	w6700
durchl	w6701
<g/>
.
Erzherzogin	w6703
königl	w6704
<g/>
.
Hoheit	w6706
getragen	w6707
<g/>
,
um	w6709
da	w6710
den	w6711
mütterlichen	w6712
Seegen	w6713
zu	w6714
empfangen	w6715
<g/>
,
von	w6717
wannen	w6718
er	w6719
so=dann	w6720
<g/>
=
in	w6722
einem	w6723
reichen	w6724
Tragsessel	w6725
<g/>
,
worinn	w6727
die	w6728
Frau	w6729
Aja	w6730
ihn	w6731
auf	w6732
den	w6733
Armen	w6734
haltend	w6735
<g/>
,
saß	w6737
<g/>
,
in	w6739
seine	w6740
Kammer	w6741
gebracht	w6742
wurde	w6743
<g/>
.
Auf	w6745
dem	w6746
Platze	w6747
von	w6748
St	w6749
<g/>
.
Spirito	w6751
stand	w6752
eine	w6753
Menge	w6754
toscanischer	w6755
Truppen	w6756
in	w6757
Parade	w6758
<g/>
,
die	w6760
bey	w6761
der	w6762
Anstimmung	w6763
des	w6764
Herr	w6765
Gott	w6766
dich	w6767
loben	w6768
wir	w6769
<g/>
!
das	w6771
kleine	w6772
Gewehr	w6773
drey	w6774
mal	w6775
abfeuer=ten	w6776
<g/>
=
<g/>
,
worauf	w6779
das	w6780
grobe	w6781
Geschütze	w6782
von	w6783
den	w6784
Fe=stungen	w6785
<g/>
=
wechselweise	w6787
antwortete	w6788
<g/>
.
</p>
<p id="p70">
Während	w6790
daß	w6791
der	w6792
gesamte	w6793
Adel	w6794
in	w6795
großer	w6796
Gala	w6797
bey	w6798
der	w6799
erst	w6800
beschriebenen	w6801
heiligen	w6802
Taufhandlung	w6803
aufwartete	w6804
<g/>
,
konnte	w6806
das	w6807
auf	w6808
den	w6809
Gassen	w6810
wimmelnde	w6811
Volk	w6812
seine	w6813
Freude	w6814
nicht	w6815
zurück	w6816
halten	w6817
<g/>
,
und	w6819
brach	w6820
daher	w6821
in	w6822
ein	w6823
unausgesetztes	w6824
Jubelgeschrey	w6825
aus	w6826
<g/>
,
welches	w6828
mit	w6829
vielerley	w6830
Auftritten	w6831
begleitet	w6832
wurde	w6833
<g/>
,
die	w6835
alle	w6836
hier	w6837
zu	w6838
beschreiben	w6839
<g/>
,
überflüßig	w6841
wäre	w6842
<g/>
;
Mit	w6844
ei=nem	w6845
<g/>
=
Wort	w6847
<g/>
,
alles	w6849
war	w6850
auf	w6851
das	w6852
äußerste	w6853
ent=zückt	w6854
<g/>
=
<g/>
,
und	w6857
alles	w6858
dankte	w6859
mit	w6860
Wonnevollem	w6861
Her=zen	w6862
<g/>
=
dem	w6864
Herrn	w6865
für	w6866
diese	w6867
so	w6868
sehnlich	w6869
gewünsch=te	w6870
<g/>
=
Gabe	w6872
<g/>
.
Endlich	w6874
ist	w6875
zum	w6876
Schluß	w6877
dieser	w6878
freudigen	w6879
Begebenheit	w6880
noch	w6881
anzumerken	w6882
<g/>
,
daß	w6884
bey	w6885
dieser	w6886
Gelegenheit	w6887
verschiedene	w6888
Gefan=gene	w6889
<g/>
=
<g/>
,
die	w6892
Schulden	w6893
<g/>
,
oder	w6895
anderer	w6896
Verbre=chen	w6897
<g/>
=
halber	w6899
inngesessen	w6900
<g/>
,
diesen	w6902
Tag	w6903
losge=lassen	w6904
<g/>
=
worden	w6906
<g/>
.
</p>
<head id="hl25">
Parma	w6908
den	w6909
9	w6910
<g/>
.
Hornung	w6912
<g/>
.
</head>
<p id="p71">
Verflossenen	w6914
Sonntags	w6915
in	w6916
der	w6917
Nacht	w6918
wur=den	w6919
<g/>
=
auf	w6921
Verordnung	w6922
unserer	w6923
Regierung	w6924
alle	w6925
P	w6926
<g/>
.
P	w6928
<g/>
.
Jesuiten	w6930
in	w6931
der	w6932
größten	w6933
Stille	w6934
zu	w6935
einer	w6936
<g/>
,
und	w6938
derselben	w6939
Stunde	w6940
aus	w6941
dem	w6942
ganzen	w6943
Gebie=te	w6944
<g/>
=
Sr	w6946
<g/>
.
kön	w6948
<g/>
.
Hoheit	w6950
des	w6951
Herzogs	w6952
<g/>
,
unvermuthet	w6954
ausgeführet	w6955
<g/>
.
Das	w6957
unweit	w6958
hiesiger	w6959
Haupt=stadt	w6960
<g/>
=
gelegene	w6962
alte	w6963
Lazarusspital	w6964
war	w6965
der	w6966
Versammlungsort	w6967
<g/>
,
wohin	w6969
alle	w6970
diese	w6971
Ordens=geistliche	w6972
<g/>
=
aus	w6974
den	w6975
zween	w6976
hiesigen	w6977
Collegien	w6978
<g/>
,
wie	w6980
auch	w6981
jene	w6982
von	w6983
Piacenza	w6984
<g/>
,
Borgo	w6986
St	w6987
<g/>
.
Donino	w6989
<g/>
,
und	w6991
von	w6992
Bussetto	w6993
fast	w6994
zu	w6995
gleicher	w6996
Stunde	w6997
zusamm	w6998
gebracht	w6999
wurden	w7000
<g/>
.
Die	w7002
Je=suiten	w7003
<g/>
=
von	w7005
Gustalla	w7006
<g/>
,
aber	w7008
<g/>
,
weil	w7010
sie	w7011
aus	w7012
dem	w7013
Wege	w7014
gelegen	w7015
<g/>
,
stießen	w7017
erst	w7018
auf	w7019
dem	w7020
Zug	w7021
na=cher	w7022
<g/>
=
Regio	w7024
zu	w7025
den	w7026
erstern	w7027
<g/>
.
Einem	w7029
jeden	w7030
Collegium	w7031
brachte	w7032
ein	w7033
Minister	w7034
in	w7035
gerichtli=cher	w7036
<g/>
=
Kleidung	w7038
den	w7039
landesherrlichen	w7040
Befehl	w7041
<g/>
,
welchen	w7043
einige	w7044
beygegebene	w7045
Militarpersonen	w7046
mit	w7047
aller	w7048
Mäßigung	w7049
<g/>
,
und	w7051
Gelindigkeit	w7052
<g/>
,
die	w7054
ihnen	w7055
ausdrücklich	w7056
aufgebothen	w7057
war	w7058
<g/>
,
also=gleich	w7060
<g/>
=
vollziehen	w7062
machten	w7063
<g/>
.
Gestern	w7065
Mor=gens	w7066
<g/>
=
sah	w7068
man	w7069
dieses	w7070
Vorgangs	w7071
wegen	w7072
eine	w7073
Verordnung	w7074
des	w7075
königl	w7076
<g/>
.
Jnfantens	w7078
an	w7079
den	w7080
gewöhnlichen	w7081
Orten	w7082
angeschlagen	w7083
<g/>
;
und	w7085
diesen	w7086
eigenen	w7087
Morgen	w7088
erschienen	w7089
noch	w7090
verschiedene	w7091
andere	w7092
Schriften	w7093
in	w7094
