<doc id="wr_1757-10-26" attrs="word" year="1757" month="10" day="26" corpus="2">
<head id="h2_d190e3644">
Zarskoje=Selo	w1_d190e3648
niglich,	w1_d190e17864
die	w3_d190e17867
an	w5_d190e17870
dem	w7_d190e17873
K.	w9_d190e17876
K.	w11_d190e17879
Obristen	w13_d190e17883
Gott	w15_d190e17886
ob,	w17_d190e17889
Curts	w1_d190e17894
Heinrich	w3_d190e17897
Grafen	w5_d190e17900
v.	w7_d190e17903
Tottleben,	w9_d190e17906
wegen	w11_d190e17909
des	w13_d190e17913
im	w1_d190e17918
Römischen	w3_d190e17921
Reich	w5_d190e17924
aufgehabten	w7_d190e17927
Werbge	w9_d190e17930
schäfts	w1_d190e17936
einige,	w3_d190e17939
auch	w5_d190e17942
etwann	w7_d190e17945
andere	w9_d190e17948
Forde	w11_d190e17951
rungen	w1_d190e17956
zu	w3_d190e17959
machen	w5_d190e17962
haben,	w7_d190e17965
kund,	w9_d190e17968
und	w11_d190e17971
zu	w13_d190e17975
wis	w15_d190e17978
sen	w1_d190e17983
gemacht:	w3_d190e17986
Es	w5_d190e17989
habe	w7_d190e17992
bey	w9_d190e17995
gleich=ersagt=Kais.	w11_d190e17998
Königl.	w1_d190e18003
Judicio	w3_d190e18006
Delegato	w5_d190e18009
Militari	w7_d190e18012
mixto	w9_d190e18015
ermeldeter	w1_d190e18021
Hr.	w3_d190e18024
Graf	w5_d190e18027
v.	w7_d190e18030
Tottleben	w9_d190e18033
zu	w11_d190e18036
Untersu	w13_d190e18040
chung	w1_d190e18045
so	w3_d190e18048
ein	w5_d190e18051
als	w7_d190e18054
anderen	w9_d190e18057
Rechnungen	w11_d190e18060
mit	w13_d190e18064
Zuziehung	w1_d190e18069
seiner	w3_d190e18072
samentl.	w5_d190e18075
Werbober	w7_d190e18078
und	w9_d190e18081
un	w11_d190e18084
ter	w1_d190e18089
Officiern,	w3_d190e18092
wie	w5_d190e18095
auch	w7_d190e18098
etwann	w9_d190e18101
vorhandenen	w11_d190e18104
anderen	w1_d190e18110
Creditoren	w3_d190e18113
wegen	w5_d190e18116
aus	w7_d190e18119
dem	w9_d190e18122
Reich	w11_d190e18125
nöhtiger	w1_d190e18130
Einholung	w3_d190e18133
ein	w5_d190e18136
und	w7_d190e18139
anderer	w9_d190e18142
Docu-	w11_d190e18145
menten	w1_d190e18150
um	w3_d190e18153
eine	w5_d190e18156
anderweite	w7_d190e18159
extra-judicial-	w9_d190e18162
Commission	w1_d190e18167
angelanget;	w3_d190e18170
gleichwie	w5_d190e18173
man	w7_d190e18176
nun	w9_d190e18179
in	w1_d190e18185
dies	w3_d190e18188
sein	w5_d190e18191
Begehren	w7_d190e18194
gewilliget,	w9_d190e18197
und	w11_d190e18200
zu	w13_d190e18204
die	w15_d190e18207
sem	w1_d190e18212
Ende	w3_d190e18215
der	w5_d190e18218
dritte	w7_d190e18221
Novembris	w9_d190e18224
gegenwär	w11_d190e18227
tig	w1_d190e18232
1757sten	w3_d190e18235
Jahrs	w5_d190e18238
angeordnet	w7_d190e18241
worden;	w9_d190e18244
als	w1_d190e18249
wird	w3_d190e18252
Eingangs	w5_d190e18255
benannt=samentlichen	w7_d190e18258
Gräfl.	w1_d190e18264
Tottlebischen	w3_d190e18267
Glaubigern	w5_d190e18270
hiemit	w7_d190e18273
be	w9_d190e18276
deutet,	w1_d190e18281
daß	w3_d190e18284
selbe	w5_d190e18287
an	w7_d190e18290
obbestimmten	w9_d190e18293
Tag,	w11_d190e18296
Nach	w13_d190e18300
mittag	w1_d190e18305
um	w3_d190e18308
3.	w5_d190e18311
Uhr	w7_d190e18314
dey	w9_d190e18317
dem	w11_d190e18320
K.	w13_d190e18324
K.	w15_d190e18327
Hof	w17_d190e18330
Kriegs=raht	w1_d190e18335
Herrn	w3_d190e18338
von	w5_d190e18341
Joannelli	w7_d190e18344
in	w9_d190e18347
seiner	w11_d190e18350
bey	w1_d190e18356
dem	w3_d190e18359
grossen	w5_d190e18362
Christoph	w7_d190e18365
gegen	w9_d190e18368
über	w11_d190e18371
in	w13_d190e18375
dem	w1_d190e18380
Adels=bürgischen	w3_d190e18383
Haus	w5_d190e18386
im	w7_d190e18389
anderten	w9_d190e18392
Stock	w1_d190e18397
habenden	w3_d190e18400
Hof=quartier	w5_d190e18403
entweder	w7_d190e18406
selbst	w9_d190e18409
persönlich	w1_d190e18414
oder	w3_d190e18417
durch	w5_d190e18420
genugsam	w7_d190e18423
instruirte	w9_d190e18426
Bevollmächtigte	w1_d190e18432
ohne	w3_d190e18435
Annehmung	w5_d190e18438
einer	w7_d190e18441
so	w9_d190e18444
schrift	w1_d190e18449
als	w3_d190e18452
mündlichen	w5_d190e18455
Entschuldigung	w7_d190e18458
al	w9_d190e18461
so	w1_d190e18466
gewiß	w3_d190e18469
zu	w5_d190e18472
erscheinen,	w7_d190e18475
und	w9_d190e18478
sich	w11_d190e18481
alda	w13_d190e18485
anmel	w15_d190e18488
den	w1_d190e18493
zu	w3_d190e18496
lassen	w5_d190e18499
wissen	w7_d190e18502
mögen,	w9_d190e18505
wie	w11_d190e18508
im	w13_d190e18512
widrigen	w15_d190e18515
auf	w1_d190e18521
ein,	w3_d190e18524
oder	w5_d190e18527
anderes	w7_d190e18530
Ausbleiben	w9_d190e18533
der	w11_d190e18536
Kais.	w13_d190e18540
Königl.	w1_d190e18545
Obrist	w3_d190e18548
Herr	w5_d190e18551
Graf	w7_d190e18554
von	w9_d190e18557
Tottleben	w11_d190e18560
wider	w1_d190e18565
dieselbe	w3_d190e18568
in	w5_d190e18571
Contumaciam	w7_d190e18574
angehöret,	w9_d190e18577
und	w1_d190e18582
was	w3_d190e18585
Rechtens	w5_d190e18588
ist,	w7_d190e18591
erkannt	w9_d190e18594
werden	w11_d190e18597
solle.	w13_d190e18601
</p>
<p id="p12_d190e18605">
Es	w1_d190e18609
ist	w3_d190e18612
ein	w5_d190e18615
sehr	w7_d190e18618
wenig	w9_d190e18621
überführter	w11_d190e18624
sauberen	w13_d190e18628
zwey	w1_d190e18633
sitziger	w3_d190e18636
Stadt	w5_d190e18639
und	w7_d190e18642
Reiß=schwimmer	w9_d190e18645
zu	w1_d190e18650
verkauffen,	w3_d190e18653
und	w5_d190e18656
sich	w7_d190e18659
deshalben	w9_d190e18662
bey	w11_d190e18665
dem	w13_d190e18669
verleger	w1_d190e18675
dieses	w3_d190e18678
Wienerischen	w5_d190e18681
Diarii	w7_d190e18684
anzu	w9_d190e18687
fragen.	w1_d190e18692
</p>
<p id="p14_d190e18695">
Es	w1_d190e18699
ist	w3_d190e18702
in	w5_d190e18705
der	w7_d190e18708
Alster=gassen	w9_d190e18711
unweit	w11_d190e18714
der	w13_d190e18718
Weiß=spanier	w1_d190e18723
ein	w3_d190e18726
sicherer	w5_d190e18729
Garten,	w7_d190e18732
samt	w9_d190e18735
darzu	w1_d190e18740
gehörigen	w3_d190e18743
wol	w5_d190e18746
gebauten	w7_d190e18749
und	w9_d190e18752
sehr	w11_d190e18755
gut	w1_d190e18761
gelegenen	w3_d190e18764
Haus,	w5_d190e18767
so	w7_d190e18770
völlig	w9_d190e18773
mobiliret	w11_d190e18776
ist,	w13_d190e18780
alltäglich	w1_d190e18785
um	w3_d190e18788
einen	w5_d190e18791
sehr	w7_d190e18794
billigen	w9_d190e18797
Preiß	w11_d190e18800
zu	w13_d190e18804
verkauffen,	w1_d190e18809
und	w3_d190e18812
haben	w5_d190e18815
diejenige,	w7_d190e18818
so	w9_d190e18821
hierzu	w11_d190e18824
einiges	w1_d190e18829
Belieben	w3_d190e18832
tragen,	w5_d190e18835
sich	w7_d190e18838
bey	w9_d190e18841
dem	w11_d190e18844
Ver	w13_d190e18848
leger	w1_d190e18854
dieses	w3_d190e18857
Wiennerischen	w5_d190e18860
Diarii	w7_d190e18863
anzumel	w9_d190e18866
den.	w1_d190e18871
</p>
<p id="p16_d190e18874">
Es	w1_d190e18878
ist	w3_d190e18881
in	w5_d190e18884
dem	w7_d190e18887
von	w9_d190e18890
Kochischen	w11_d190e18893
Haus	w13_d190e18897
zum	w15_d190e18900
grossen	w1_d190e18905
roten	w3_d190e18908
Krebsen	w5_d190e18911
nächst	w7_d190e18914
denen	w9_d190e18917
sieben	w11_d190e18920
Büchern,	w1_d190e18925
fast	w3_d190e18928
der	w5_d190e18931
ganze	w7_d190e18934
erste	w9_d190e18937
Stock,	w11_d190e18940
für	w13_d190e18944
eine	w1_d190e18950
hohe	w3_d190e18953
Gesandschaft,	w5_d190e18956
Herrschaft,	w7_d190e18959
oder	w9_d190e18962
andere	w1_d190e18967
mit	w3_d190e18970
grosser	w5_d190e18973
Famillie	w7_d190e18976
und	w9_d190e18979
Domestiquen	w11_d190e18982
versehene	w1_d190e18987
Standes=personen	w3_d190e18990
samt	w5_d190e18993
Herr	w7_d190e18996
schaftl.	w1_d190e19001
Kuchel,	w3_d190e19004
grossen	w5_d190e19007
Keller	w7_d190e19010
Holz=gewölb	w9_d190e19013
und	w11_d190e19016
Stallung	w1_d190e19022
auf	w3_d190e19025
6.	w5_d190e19028
à	w7_d190e19031
7.	w9_d190e19034
Pferd	w11_d190e19037
einer	w13_d190e19041
daran	w15_d190e19044
befindlich	w1_d190e19049
gewölbten	w3_d190e19052
Heu	w5_d190e19055
und	w7_d190e19058
Strohkam	w9_d190e19061
mer,	w1_d190e19066
einer	w3_d190e19069
gesperrten	w5_d190e19072
Wagen=schupfen	w7_d190e19075
auf	w9_d190e19078
einen	w1_d190e19083
Wagen,	w3_d190e19086
und	w5_d190e19089
einem	w7_d190e19092
Stand	w9_d190e19095
zu	w11_d190e19098
ande	w13_d190e19102
ren	w1_d190e19108
2.	w3_d190e19111
Wägen	w5_d190e19114
unter	w7_d190e19117
der	w9_d190e19120
Einfahrt,	w11_d190e19123
wie	w13_d190e19127
auch	w15_d190e19130
noch	w1_d190e19135
ein	w3_d190e19138
anderer	w5_d190e19141
Stall	w7_d190e19144
auf	w9_d190e19147
4.	w11_d190e19150
Pferd	w13_d190e19154
samt	w15_d190e19157
einer	w1_d190e19162
Wagen=schupfen	w3_d190e19165
zu	w5_d190e19168
verlassen,	w7_d190e19171
und	w9_d190e19174
sich	w1_d190e19179
dessentwegen	w3_d190e19182
bey	w5_d190e19185
dem	w7_d190e19188
Haus=meister	w9_d190e19191
an	w11_d190e19194
zumelden.	w1_d190e19200
</p>
<p id="p18_d190e19203">
Den	w1_d190e19207
18.	w3_d190e19210
Novemb.	w5_d190e19213
wird	w7_d190e19216
in	w9_d190e19219
dem	w11_d190e19222
Erzebischöf	w13_d190e19226
flichen	w1_d190e19231
Grund=buch	w3_d190e19234
allhier,	w5_d190e19237
die	w7_d190e19240
Nicklas	w9_d190e19243
Engeetische=behausung	w1_d190e19248
zu	w3_d190e19251
Vesten=neudorff	w5_d190e19254
fruh	w1_d190e19260
um	w3_d190e19263
9.	w5_d190e19266
Uhr,	w7_d190e19269
licitando	w9_d190e19272
verkauft	w11_d190e19275
werden.	w13_d190e19279
</p>
<p id="p20_d190e19282">
Den	w1_d190e19286
10.	w3_d190e19289
Novemb.	w5_d190e19292
wird	w7_d190e19295
in	w9_d190e19298
dem	w11_d190e19301
Erzbi	w13_d190e19305
schöffl.	w1_d190e19310
Grund=buch	w3_d190e19313
alhier,	w5_d190e19316
die	w7_d190e19319
Stephan	w9_d190e19322
Kornprobstische=behausung	w1_d190e19327
zu	w3_d190e19330
St.	w5_d190e19333
Veit,	w7_d190e19336
fruhe	w1_d190e19342
um	w3_d190e19345
9.	w5_d190e19348
Uhr,	w7_d190e19351
licitanto	w9_d190e19354
verkauft	w11_d190e19357
wer	w13_d190e19361
den.	w1_d190e19366
</p>
<p id="p22_d190e19369">
Es	w1_d190e19373
wird	w3_d190e19376
hiermit	w5_d190e19379
dem	w7_d190e19382
Publico	w9_d190e19385
bekannt	w11_d190e19388
gemacht,	w1_d190e19393
daß	w3_d190e19396
ein	w5_d190e19399
ganz	w7_d190e19402
neu	w9_d190e19405
und	w11_d190e19408
mit	w13_d190e19412
grienen	w15_d190e19415
Blusch	w1_d190e19420
ausgefuttert,	w3_d190e19423
auch	w5_d190e19426
nach	w7_d190e19429
der	w9_d190e19432
neuesten	w11_d190e19435
Französischen	w1_d190e19441
Mode	w3_d190e19444
verfertigter	w5_d190e19447
Wagen	w7_d190e19450
auf	w9_d190e19453
zwey	w1_d190e19458
Personen,	w3_d190e19461
woran	w5_d190e19464
alle	w7_d190e19467
Ramen	w9_d190e19470
gut	w11_d190e19473
vergold,	w1_d190e19478
der	w3_d190e19481
Uberrest	w5_d190e19484
von	w7_d190e19487
besonderem	w9_d190e19490
Gusto	w11_d190e19493
gemahlen	w1_d190e19498
und	w3_d190e19501
fein	w5_d190e19504
gefürneist,	w7_d190e19507
und	w9_d190e19510
der	w11_d190e19513
Ka	w13_d190e19517
sten	w1_d190e19523
auf	w3_d190e19526
langen	w5_d190e19529
Französischen	w7_d190e19532
Federn	w9_d190e19535
hanget,	w11_d190e19538
zu	w1_d190e19543
verkauffen	w3_d190e19546
seye,	w5_d190e19549
alwo	w7_d190e19552
auch	w9_d190e19555
allerhand	w11_d190e19558
Wein,	w1_d190e19563
benanntlich	w3_d190e19566
weiß	w5_d190e19569
und	w7_d190e19572
roter	w9_d190e19575
Cham-	w11_d190e19578
pagne,	w1_d190e19583
Monepolliciano,	w3_d190e19586
Verdes	w5_d190e19589
Piemor	w7_d190e19592
te,	w9_d190e19595
und	w1_d190e19601
Cipro	w3_d190e19604
um	w5_d190e19607
einen	w7_d190e19610
billichen	w9_d190e19613
preis	w11_d190e19616
zu	w13_d190e19620
haben	w15_d190e19623
seynd,	w1_d190e19628
und	w3_d190e19631
wer	w5_d190e19634
solchem	w7_d190e19637
zu	w9_d190e19640
sehen	w11_d190e19643
und	w13_d190e19647
zu	w15_d190e19650
kauf	w17_d190e19653
fen	w1_d190e19658
verlanget,	w3_d190e19661
sich	w5_d190e19664
dessent	w7_d190e19667
wegen	w9_d190e19670
bey	w11_d190e19673
dem	w13_d190e19677
Portier	w1_d190e19682
im	w3_d190e19685
Stahrembergischen=haus,	w5_d190e19688
hinter	w7_d190e19691
dem	w1_d190e19697
Land=haus	w3_d190e19700
der	w5_d190e19703
Minoriten=kirchen	w7_d190e19706
ge	w9_d190e19709
gen	w1_d190e19714
über	w3_d190e19717
anmelden	w5_d190e19720
kan.	w7_d190e19723
</p>
<p id="p24_d190e19727">
Bey	w1_d190e19731
Franz	w3_d190e19734
Setti	w5_d190e19737
Burgerl.	w7_d190e19740
Handels=mann	w9_d190e19743
in	w1_d190e19748
dem	w3_d190e19751
Gewürz=gwölb	w5_d190e19754
zum	w7_d190e19757
grünen	w9_d190e19760
Löben,	w11_d190e19763
beym	w1_d190e19768
Stock	w3_d190e19771
an	w5_d190e19774
Eisen=platz,	w7_d190e19777
ist	w9_d190e19780
zu	w11_d190e19783
haben	w13_d190e19787
heuriger	w1_d190e19793
veritabler	w3_d190e19796
Edenburger	w5_d190e19799
Ausbruch	w7_d190e19802
wermut	w1_d190e19807
die	w3_d190e19810
Maaß	w5_d190e19813
pr.	w7_d190e19816
36.	w9_d190e19819
kr.	w11_d190e19822
</p>
<head id="h2_d190e19910">
Londen	w1_d190e19914
7.	w3_d190e19917
October.	w5_d190e19920
</head>
<p id="p4_d190e19923">
Egenwärtig	w1_d190e19927
haben	w3_d190e19930
wir	w5_d190e19933
keine	w7_d190e19936
gewisse	w9_d190e19939
Nachrichten	w1_d190e19944
von	w3_d190e19947
dem,	w5_d190e19950
was	w7_d190e19953
sich	w9_d190e19956
in	w11_d190e19959
Ame	w13_d190e19963
rica	w1_d190e19968
zutragt;	w3_d190e19971
wann	w5_d190e19974
es	w7_d190e19977
aber	w9_d190e19980
wahr	w11_d190e19983
ist,	w13_d190e19987
daß	w15_d190e19990
die	w17_d190e19993
Fregatte,	w1_d190e19999
die	w3_d190e20002
man	w5_d190e20005
im	w7_d190e20008
kurzen	w9_d190e20011
dahin	w11_d190e20014
geschicket	w13_d190e20018
hat,	w1_d190e20023
dem	w3_d190e20026
Aomiral	w5_d190e20029
Hawke	w7_d190e20032
die	w9_d190e20035
Ordre	w11_d190e20038
über	w13_d190e20042
bringen	w1_d190e20047
soll,	w3_d190e20050
die	w5_d190e20053
Französische	w7_d190e20056
Flotte	w9_d190e20059
daselbst	w11_d190e20062
anzugreiffen,	w1_d190e20067
so	w3_d190e20070
werden	w5_d190e20073
wir	w7_d190e20076
genug	w9_d190e20079
wichtige	w11_d190e20082
Zeitungen	w1_d190e20088
aus	w3_d190e20091
diesen	w5_d190e20094
Gegenden	w7_d190e20097
erhalten	w9_d190e20100
Man	w11_d190e20103
hat	w1_d190e20108
alle	w3_d190e20111
Kunst=griffe	w5_d190e20114
gebrauchet,	w7_d190e20117
die	w9_d190e20120
Flotte	w11_d190e20123
zu	w1_d190e20128
equipiren.	w3_d190e20131
Es	w5_d190e20134
ist	w7_d190e20137
aber	w9_d190e20140
die	w11_d190e20143
Frage,	w13_d190e20147
ob	w15_d190e20150
man	w17_d190e20153
mit	w1_d190e20158
Gewalt	w3_d190e20161
gezwungene	w5_d190e20164
Leute	w7_d190e20167
viel	w9_d190e20170
wird	w11_d190e20173
brau	w13_d190e20177
chen	w1_d190e20183
können;	w3_d190e20186
und	w5_d190e20189
ob	w7_d190e20192
sie	w9_d190e20195
nicht	w11_d190e20198
vielmehr	w13_d190e20202
ein	w15_d190e20205
Unternehmen	w1_d190e20210
hindern	w3_d190e20213
als	w5_d190e20216
befördern?	w7_d190e20219
Wir	w9_d190e20222
ha	w11_d190e20225
ben	w1_d190e20230
aber	w3_d190e20233
meistens	w5_d190e20236
solche	w7_d190e20239
Leute	w9_d190e20242
am	w11_d190e20245
Bord	w13_d190e20249
unse	w15_d190e20252
rer	w1_d190e20257
Schiffe.	w3_d190e20260
Jm	w5_d190e20263
Monat	w7_d190e20266
Julio	w9_d190e20269
hat	w11_d190e20272
man	w13_d190e20276
zu	w15_d190e20279
Gosport	w1_d190e20285
das	w3_d190e20288
Gerücht	w5_d190e20291
verbreitet	w7_d190e20294
daß	w9_d190e20297
die	w11_d190e20300
Fran	w13_d190e20304
zösische	w1_d190e20309
Gefangene,	w3_d190e20312
welche	w5_d190e20315
sich	w7_d190e20318
in	w9_d190e20321
dem	w11_d190e20324
Schlof	w13_d190e20328
von	w1_d190e20333
Corchester	w3_d190e20336
befinden,	w5_d190e20339
ein	w7_d190e20342
Mittel	w9_d190e20345
gefunden	w11_d190e20348
hätten,	w1_d190e20353
den	w3_d190e20356
Reißaus	w5_d190e20359
zu	w7_d190e20362
nehmen,	w9_d190e20365
und	w11_d190e20368
daß	w13_d190e20372
man	w1_d190e20378
sie	w3_d190e20381
augenblicklich	w5_d190e20384
in	w7_d190e20387
der	w9_d190e20390
Stadt	w11_d190e20393
eine	w13_d190e20397
gros	w15_d190e20400
le	w1_d190e20405
Verwüstung	w3_d190e20408
würde	w5_d190e20411
anrichten	w7_d190e20414
sehen:	w9_d190e20417
darü	w11_d190e20420
ber	w1_d190e20425
geriehte	w3_d190e20428
jedermann	w5_d190e20431
so	w7_d190e20434
gleich	w9_d190e20437
in	w11_d190e20440
Schrecken,	w13_d190e20444
und	w1_d190e20449
eine	w3_d190e20452
unzählige	w5_d190e20455
Menge	w7_d190e20458
Leute	w9_d190e20461
versammel	w11_d190e20464
te	w1_d190e20470
sich	w3_d190e20473
auf	w5_d190e20476
dem	w7_d190e20479
grossen	w9_d190e20482
Platz;	w11_d190e20485
es	w13_d190e20489
ware	w15_d190e20492
aber	w17_d190e20495
dieses	w1_d190e20500
weiter	w3_d190e20503
nichts	w5_d190e20506
als	w7_d190e20509
ein	w9_d190e20512
Kunst=grif	w11_d190e20515
der	w13_d190e20519
Werber,	w1_d190e20524
welche	w3_d190e20527
sich	w5_d190e20530
den	w7_d190e20533
Zusammen=lauf	w9_d190e20536
des	w11_d190e20539
Volks	w1_d190e20544
zu	w3_d190e20547
Nutze	w5_d190e20550
machten,	w7_d190e20553
um	w9_d190e20556
eine	w11_d190e20559
grosse	w13_d190e20563
An	w15_d190e20566
zahl	w1_d190e20572
Matrosen	w3_d190e20575
zu	w5_d190e20578
pressen.	w7_d190e20581
Jn	w9_d190e20584
eben	w11_d190e20587
dem	w13_d190e20591
Mo	w15_d190e20594
nat	w1_d190e20599
hat	w3_d190e20602
man	w5_d190e20605
zu	w7_d190e20608
Portsmout	w9_d190e20611
auf	w11_d190e20614
einmal	w13_d190e20618
alle	w15_d190e20621
Thöre	w1_d190e20626
geschlossen;	w3_d190e20629
so	w5_d190e20632
dann	w7_d190e20635
lieffen	w9_d190e20638
die	w11_d190e20641
Wer	w13_d190e20645
ber	w1_d190e20650
auf	w3_d190e20653
die	w5_d190e20656
Häuser	w7_d190e20659
der	w9_d190e20662
bestürzten	w11_d190e20665
Einwohnen	w13_d190e20669
zu,	w1_d190e20675
und	w3_d190e20678
nahmen	w5_d190e20681
diejenigen	w7_d190e20684
heraus,	w9_d190e20687
die	w11_d190e20690
ihnen	w13_d190e20694
anständig	w1_d190e20699
waren,	w3_d190e20702
vertheilten	w5_d190e20705
auch	w7_d190e20708
solche	w9_d190e20711
noch	w1_d190e20716
ehe	w3_d190e20719
es	w5_d190e20722
Nacht	w7_d190e20725
wurde,	w9_d190e20728
auf	w11_d190e20731
die	w13_d190e20735
Schiffe	w15_d190e20738
zu	w17_d190e20741
Spithead.	w1_d190e20746
Bey	w3_d190e20749
nahe	w5_d190e20752
der	w7_d190e20755
ganze	w9_d190e20758
übrige	w11_d190e20761
Theil	w13_d190e20765
der	w1_d190e20771
zur	w3_d190e20774
Flotte	w5_d190e20777
gehörigen	w7_d190e20780
Equipage	w9_d190e20783
ist	w11_d190e20786
von	w13_d190e20790
dem	w15_d190e20793
Commissario	w1_d190e20798
Fielding	w3_d190e20801
zusammen	w5_d190e20804
gebrach	w7_d190e20807
worden.	w1_d190e20812
Dieser	w3_d190e20815
hat	w5_d190e20818
die	w7_d190e20821
Leute	w9_d190e20824
angenommen	w11_d190e20827
wie	w1_d190e20832
sie	w3_d190e20835
ihm	w5_d190e20838
vor	w7_d190e20841
die	w9_d190e20844
Hand	w11_d190e20847
gekommen	w13_d190e20851
seynd,	w15_d190e20854
ohne	w1_d190e20860
sich	w3_d190e20863
weiter	w5_d190e20866
darum	w7_d190e20869
zu	w9_d190e20872
bekümmern,	w11_d190e20875
ob	w13_d190e20879
man	w1_d190e20884
sie	w3_d190e20887
brauchen	w5_d190e20890
könne,	w7_d190e20893
oder	w9_d190e20896
nicht.	w11_d190e20899
Als	w13_d190e20903
seine	w15_d190e20906
Recrouten	w1_d190e20911
in	w3_d190e20914
den	w5_d190e20917
Hafen	w7_d190e20920
angelanget,	w9_d190e20923
so	w11_d190e20926
ist	w13_d190e20930
man	w1_d190e20935
darüber	w3_d190e20938
erstannt,	w5_d190e20941
da	w7_d190e20944
man	w9_d190e20947
gesehen	w11_d190e20950
hat,	w13_d190e20954
</p>
<p id="p6_d190e20957">
daß	w1_d190e20961
solche	w3_d190e20964
grösen	w5_d190e20967
Theils	w7_d190e20970
aus	w9_d190e20973
Buben,	w11_d190e20976
alten,	w13_d190e20980
hinkenden,	w1_d190e20985
und	w3_d190e20988
ein=äugigten	w5_d190e20991
Leuten	w7_d190e20994
bestanden	w9_d190e20997
Jndessen	w1_d190e21002
hat	w3_d190e21005
man	w5_d190e21008
sie	w7_d190e21011
doch	w9_d190e21014
ohne	w11_d190e21017
weiteren	w13_d190e21021
An	w15_d190e21024
stand	w1_d190e21030
sogleich	w3_d190e21033
zu	w5_d190e21036
Schiffe	w7_d190e21039
gebracht.	w9_d190e21042
</p>
<p id="p8_d190e21045">
Die	w1_d190e21049
Franzosen	w3_d190e21052
hingegen	w5_d190e21055
stehen	w7_d190e21058
auf	w9_d190e21061
ihrer	w11_d190e21064
Hut;	w1_d190e21069
sie	w3_d190e21072
geben	w5_d190e21075
auf	w7_d190e21078
unsere	w9_d190e21081
Flotte	w11_d190e21084
genau	w13_d190e21088
Ach	w15_d190e21091
tung/	w1_d190e21096
und	w3_d190e21099
werden	w5_d190e21102
bald	w7_d190e21105
wissen,	w9_d190e21108
woran	w11_d190e21111
sie	w13_d190e21115
sich	w15_d190e21118
zu	w1_d190e21124
halten	w3_d190e21127
haben.	w5_d190e21130
Verschiedene	w7_d190e21133
von	w9_d190e21136
ihren	w11_d190e21139
Kriegs=schiffen	w1_d190e21144
und	w3_d190e21147
Fregatten,	w5_d190e21150
welche	w7_d190e21153
auf	w9_d190e21156
den	w1_d190e21161
Admiral	w3_d190e21164
Hawke	w5_d190e21167
Achtung	w7_d190e21170
geben,	w9_d190e21173
haben	w11_d190e21176
ei	w13_d190e21180
nen	w1_d190e21185
Armateur	w3_d190e21188
von	w5_d190e21191
Londen	w7_d190e21194
und	w9_d190e21197
zwey	w11_d190e21200
von	w13_d190e21204
Cork	w15_d190e21207
weggenommen.	w1_d190e21213
Einige	w3_d190e21216
von	w5_d190e21219
unseren	w7_d190e21222
Kauf	w9_d190e21225
manns=schiffen	w1_d190e21230
seynd	w3_d190e21233
ebenfalls	w5_d190e21236
von	w7_d190e21239
ihnen	w9_d190e21242
weggenommen,	w1_d190e21247
und	w3_d190e21250
nach	w5_d190e21253
Bergen	w7_d190e21256
in	w9_d190e21259
Norwe	w11_d190e21262
gen	w1_d190e21267
geführet	w3_d190e21270
worden.	w5_d190e21273
Nach	w7_d190e21276
Martinique	w9_d190e21279
haben	w1_d190e21285
sie	w3_d190e21288
19.	w5_d190e21291
von	w7_d190e21294
unseren	w9_d190e21297
Schiffen	w11_d190e21300
geführet,	w13_d190e21304
und	w1_d190e21309
ihre	w3_d190e21312
Armateurs	w5_d190e21315
haben	w7_d190e21318
erst	w9_d190e21321
kürzlich	w11_d190e21324
auf	w13_d190e21328
unseren	w1_d190e21333
Küsten	w3_d190e21336
einige	w5_d190e21339
Beute	w7_d190e21342
erhalten.	w9_d190e21345
</p>
<head id="h2_d190e21351">
Leipzig	w1_d190e21355
8.	w3_d190e21358
October.	w5_d190e21361
</head>
<p id="p4_d190e21364">
Den	w1_d190e21368
3ten	w3_d190e21371
dieses	w5_d190e21374
Monats	w7_d190e21377
wurden	w9_d190e21380
hiesige	w11_d190e21383
Kauf=leute	w1_d190e21388
sowol	w3_d190e21391
als	w5_d190e21394
übrige	w7_d190e21397
Privatper	w9_d190e21400
sonen	w1_d190e21405
nicht	w3_d190e21408
wenig	w5_d190e21411
bestürzt,	w7_d190e21414
als	w9_d190e21417
sie	w11_d190e21420
von	w13_d190e21424
dem	w15_d190e21427
Commandanten	w1_d190e21433
der	w3_d190e21436
Preußischen	w5_d190e21439
Garnison,	w7_d190e21442
unangesehen	w1_d190e21447
so	w3_d190e21450
entsetzlich	w5_d190e21453
vieler	w7_d190e21456
ausgestande	w9_d190e21459
nen	w1_d190e21464
Orangsalen	w3_d190e21467
wiederum	w5_d190e21470
auf	w7_d190e21473
das	w9_d190e21476
neue	w11_d190e21479
mit	w13_d190e21483
einer	w1_d190e21488
Königl.	w3_d190e21491
Ordonnance	w5_d190e21494
folgenden	w7_d190e21497
Jnhalts	w9_d190e21500
beehret	w1_d190e21506
wurden.	w3_d190e21509
</p>
<p id="p6_d190e21512">
"Zufolg	w1_d190e21516
der	w3_d190e21519
von	w5_d190e21522
Sr.	w7_d190e21525
Maj.	w9_d190e21528
dem	w11_d190e21531
König	w13_d190e21535
von	w15_d190e21538
"Preussen	w1_d190e21543
ertheilten	w3_d190e21546
Ordre,	w5_d190e21549
wird	w7_d190e21552
vermög	w9_d190e21555
ge	w11_d190e21558
„genwärtigem	w1_d190e21563
dem	w3_d190e21566
Stadt=raht	w5_d190e21569
