<doc id="wr_1757-11-05" attrs="word" year="1757" month="11" day="05" corpus="2">
<head id="h2_d193e3132">
Marseille	w1_d193e3136
Schneid.,	w9_d193e13904
s.	w11_d193e13907
K.	w13_d193e13911
An	w15_d193e13914
na,	w1_d193e13920
im	w3_d193e13923
Zimmer=manis.	w5_d193e13926
H.	w7_d193e13929
in	w9_d193e13932
der	w11_d193e13935
Herren=gas.,	w13_d193e13939
alt	w1_d193e13944
3.	w3_d193e13947
J.	w5_d193e13950
Dernh.	w1_d193e13955
Steingruber,	w3_d193e13958
Hof=kuchel	w5_d193e13961
trag.,	w7_d193e13964
beyn	w9_d193e13967
7.	w11_d193e13970
Körb.	w1_d193e13975
im	w3_d193e13978
Sailer=gas.,	w5_d193e13981
alt	w7_d193e13984
42.	w9_d193e13987
J	w11_d193e13990
</list>
<head id="h2_d193e13997">
Vor	w1_d193e14001
der	w3_d193e14004
Stadt.	w5_d193e14007
</head>
<list id="l4_d193e14010">
Magdal.	w1_d193e14014
Klosterin,	w3_d193e14017
Burgerl.	w5_d193e14020
Wittwe	w7_d193e14023
beym	w9_d193e14026
gold.	w11_d193e14029
Hut	w1_d193e14034
am	w3_d193e14037
Neustift,	w5_d193e14040
alt	w7_d193e14043
68.	w9_d193e14046
J.	w11_d193e14049
Joh.	w1_d193e14054
Mich.	w3_d193e14057
Kauffer,	w5_d193e14060
gew.	w7_d193e14063
K.	w9_d193e14066
Trab.,	w11_d193e14069
im	w13_d193e14073
Fuxis.	w15_d193e14076
H.	w17_d193e14079
auf	w1_d193e14085
der	w3_d193e14088
Laimgr.,	w5_d193e14091
alt	w7_d193e14094
65.	w9_d193e14097
J.	w11_d193e14100
</list>
<list id="l6_d193e14104">
Elisab.	w1_d193e14108
Karmellin,	w3_d193e14111
Burgerl.	w5_d193e14114
Wittwe,	w7_d193e14117
beym	w9_d193e14120
Bim,	w11_d193e14123
bey	w1_d193e14128
St.	w3_d193e14131
Ulrich,	w5_d193e14134
alt	w7_d193e14137
72.	w9_d193e14140
J.	w11_d193e14143
Dem	w1_d193e14148
Joh.	w3_d193e14151
Fasser,	w5_d193e14154
Burgerl.	w7_d193e14157
Fuhr=m.,	w9_d193e14160
s.	w11_d193e14163
K.	w13_d193e14167
Cathar.	w15_d193e14170
in	w1_d193e14176
s.	w3_d193e14179
H.	w5_d193e14182
in	w7_d193e14185
der	w9_d193e14188
Josephst.,	w11_d193e14191
alt	w13_d193e14195
6.	w15_d193e14198
v.	w17_d193e14201
J.	w19_d193e14204
Der	w1_d193e14209
Theres.	w3_d193e14212
Mauterin,	w5_d193e14215
Wittwe,	w7_d193e14218
ihr	w9_d193e14221
S.	w11_d193e14224
Math.	w13_d193e14228
beym	w1_d193e14233
gut.	w3_d193e14236
Hirt	w5_d193e14239
am	w7_d193e14242
Thury,	w9_d193e14245
alt	w11_d193e14248
21.	w13_d193e14252
J.	w15_d193e14255
Dem	w1_d193e14260
Valent.	w3_d193e14263
Fink,	w5_d193e14266
Tapetz.,	w7_d193e14269
s.	w9_d193e14272
K.	w11_d193e14275
Ant.,	w13_d193e14279
beyn	w15_d193e14282
3.	w17_d193e14285
Löw	w1_d193e14291
bey	w3_d193e14294
St.	w5_d193e14297
Ulrich,	w7_d193e14300
alt	w9_d193e14303
2.	w11_d193e14306
J.	w13_d193e14310
Dem	w1_d193e14315
Franz	w3_d193e14318
Köpf,	w5_d193e14321
Tischl.,	w7_d193e14324
s.	w9_d193e14327
W.	w11_d193e14330
Anna,	w13_d193e14334
bey	w15_d193e14337
der	w17_d193e14340
Rundel.	w1_d193e14345
in	w3_d193e14348
der	w5_d193e14351
Josephst.,	w7_d193e14354
alt	w9_d193e14357
49.	w11_d193e14360
J.	w13_d193e14364
Francisca	w1_d193e14369
Neblin,	w3_d193e14372
led.	w5_d193e14375
M.,	w7_d193e14378
im	w9_d193e14381
Brunetis.	w11_d193e14384
H.	w13_d193e14388
auf	w15_d193e14391
der	w17_d193e14394
Wied.,	w1_d193e14400
alt	w3_d193e14403
36.	w5_d193e14406
J.	w7_d193e14409
Dem	w1_d193e14414
Sebast.	w3_d193e14417
Lobmüller	w5_d193e14420
Leist=schneid.,	w7_d193e14423
s.	w9_d193e14426
K.	w11_d193e14429
Elisab.	w13_d193e14433
beym	w1_d193e14438
schwarz.	w3_d193e14441
Därn	w5_d193e14444
auf	w7_d193e14447
der	w9_d193e14450
Landstr.,	w11_d193e14453
8.	w13_d193e14457
J.	w15_d193e14460
Dem	w1_d193e14465
Mich.	w3_d193e14468
Hartner,	w5_d193e14471
Zimmer=ges.,	w7_d193e14474
s.	w9_d193e14477
K.	w11_d193e14480
Anna,	w13_d193e14484
bey	w1_d193e14490
der	w3_d193e14493
Krönung	w5_d193e14496
am	w7_d193e14499
Thury,	w9_d193e14502
alt	w11_d193e14505
2.	w13_d193e14509
J.	w15_d193e14512
Dem	w1_d193e14517
Paus	w3_d193e14520
Baumgartner,	w5_d193e14523
Tagw.,	w7_d193e14526
s.	w9_d193e14529
K.	w11_d193e14532
Casp.,	w13_d193e14536
bey	w15_d193e14539
denen	w1_d193e14544
3.	w3_d193e14547
Mohr.	w5_d193e14550
in	w7_d193e14553
der	w9_d193e14556
Rossau,	w11_d193e14559
alt	w13_d193e14563
3.	w15_d193e14566
J.	w17_d193e14569
</list>
<head id="h2_d193e14577">
Suma	w1_d193e14581
17.	w3_d193e14584
Pers.,	w5_d193e14587
darunter	w7_d193e14590
9.	w9_d193e14593
Kinder.	w11_d193e14596
</head>
<p id="p4_d193e14599">
AVERTISSEMENT.	w1_d193e14603
Es	w1_d193e14608
wird	w3_d193e14611
denen	w5_d193e14614
Liebhabern	w7_d193e14617
deren	w9_d193e14620
Pferden	w11_d193e14623
zu	w1_d193e14628
wissen	w3_d193e14631
gemacht,	w5_d193e14634
daß	w7_d193e14637
in	w9_d193e14640
Hungarn	w11_d193e14643
auf	w13_d193e14647
der	w15_d193e14650
Gräfl.	w1_d193e14656
Batthyanischen	w3_d193e14659
Herrschaft	w5_d193e14662
Körmendt,	w7_d193e14665
welche	w1_d193e14670
vier	w3_d193e14673
Posten	w5_d193e14676
unter	w7_d193e14679
Oedenburg	w9_d193e14682
liget,	w11_d193e14685
hundert	w1_d193e14690
und	w3_d193e14693
etliche	w5_d193e14696
Stuck	w7_d193e14699
auserlösene	w9_d193e14702
Wagen	w11_d193e14705
und	w1_d193e14710
Reit=pferde,	w3_d193e14713
den	w5_d193e14716
25.	w7_d193e14719
November,	w9_d193e14722
und	w11_d193e14725
da	w13_d193e14729
rauf	w1_d193e14735
folgenden	w3_d193e14738
Tägen,	w5_d193e14741
dem	w7_d193e14744
Meist=biettenden	w9_d193e14747
gegen	w1_d193e14752
baarer	w3_d193e14755
Bezahlung	w5_d193e14758
werden	w7_d193e14761
verkauft	w9_d193e14764
werden,	w1_d193e14769
unter	w3_d193e14772
welchen	w5_d193e14775
Pferden	w7_d193e14778
sich	w9_d193e14781
auch	w11_d193e14784
ein	w13_d193e14788
grosser	w1_d193e14793
Parade=zug	w3_d193e14796
Rappen	w5_d193e14799
von	w7_d193e14802
einer	w9_d193e14805
aus	w11_d193e14808
serordentlichen	w1_d193e14814
Höhe	w3_d193e14817
befinden,	w5_d193e14820
allermassen	w7_d193e14823
(uneracht	w1_d193e14828
solche	w3_d193e14831
im	w5_d193e14834
künftigen	w7_d193e14837
Früh=jahr	w9_d193e14840
allererst	w1_d193e14845
4.	w3_d193e14848
Jahr	w5_d193e14851
machen	w7_d193e14854
werden)	w9_d193e14857
selbe	w11_d193e14860
an	w13_d193e14864
jetzo	w1_d193e14869
doch	w3_d193e14872
schon	w5_d193e14875
zwischen	w7_d193e14878
17.	w9_d193e14881
und	w11_d193e14884
18.	w13_d193e14888
Fäust	w15_d193e14891
messen,	w1_d193e14897
welche	w3_d193e14900
von	w5_d193e14903
der	w7_d193e14906
schönsten	w9_d193e14909
Welschen	w11_d193e14912
Art	w1_d193e14917
und	w3_d193e14920
Schlag	w5_d193e14923
seynd;	w7_d193e14926
dann	w9_d193e14929
ein	w11_d193e14932
anderer	w13_d193e14936
Zug	w1_d193e14941
Rappen	w3_d193e14944
à	w5_d193e14947
deux	w7_d193e14950
meins	w9_d193e14953
im	w11_d193e14956
6ten	w13_d193e14960
Jahr	w15_d193e14963
und	w1_d193e14968
16.	w3_d193e14971
Faust	w5_d193e14974
hoch;	w7_d193e14977
item	w9_d193e14980
ein	w11_d193e14983
dergleichen	w13_d193e14987
Zug	w1_d193e14993
Schimmel	w3_d193e14996
à	w5_d193e14999
deux	w7_d193e15002
mains	w9_d193e15005
im	w11_d193e15008
6ten	w13_d193e15012
Jahr,	w15_d193e15015
ein	w1_d193e15020
Post=zug	w3_d193e15023
Licht=braune	w5_d193e15026
im	w7_d193e15029
4ten	w9_d193e15032
Jahr,	w11_d193e15035
von	w1_d193e15040
grosser	w3_d193e15043
Art,	w5_d193e15046
item	w7_d193e15049
mehr	w9_d193e15052
andere	w11_d193e15055
Wagen	w13_d193e15059
pferd,	w1_d193e15064
sowol	w3_d193e15067
Paar=weiß	w5_d193e15070
als	w7_d193e15073
Einschichtige,	w9_d193e15076
von	w1_d193e15082
unterschiedlichen	w3_d193e15085
Farben,	w5_d193e15088
so	w7_d193e15091
in	w9_d193e15094
verschiede	w11_d193e15097
ne	w1_d193e15102
Züge=einschlagen	w3_d193e15105
dörften,	w5_d193e15108
von	w7_d193e15111
Reit	w9_d193e15114
pferden,	w1_d193e15119
unterschiedliche	w3_d193e15122
halb,	w5_d193e15125
auch	w7_d193e15128
ganz	w9_d193e15131
dres-	w11_d193e15134
sirte,	w1_d193e15139
Compagnie	w3_d193e15142
und	w5_d193e15145
Schul=pferd,	w7_d193e15148
zwey	w9_d193e15151
Luft	w11_d193e15154
springer,	w1_d193e15160
andere	w3_d193e15163
neu	w5_d193e15166
aufzustellen	w7_d193e15169
kommende	w9_d193e15172
Pferd	w1_d193e15177
im	w3_d193e15180
4ten	w5_d193e15183
Jahr,	w7_d193e15186
welche	w9_d193e15189
aber	w11_d193e15192
nur	w13_d193e15196
so	w15_d193e15199
weit	w17_d193e15202
abgerichtet	w1_d193e15207
seyn,	w3_d193e15210
daß	w5_d193e15213
solche	w7_d193e15216
auf	w9_d193e15219
und	w11_d193e15222
absitzen	w13_d193e15226
lassen,	w1_d193e15231
und	w3_d193e15234
den	w5_d193e15237
Mann	w7_d193e15240
leiden,	w9_d193e15243
mithin	w11_d193e15246
zum	w13_d193e15250
Reiten	w1_d193e15256
oder	w3_d193e15259
Post=zügen	w5_d193e15262
können	w7_d193e15265
gebraucht	w9_d193e15268
werden,	w1_d193e15273
auch	w3_d193e15276
einige	w5_d193e15279
Bescheller,	w7_d193e15282
und	w9_d193e15285
seynd	w11_d193e15288
unter	w1_d193e15293
diesen	w3_d193e15296
Pferden	w5_d193e15299
von	w7_d193e15302
miterschiedlichen	w9_d193e15305
</p>
<p id="p8_d193e15310">
Bissaren=farben,	w1_d193e15314
welche	w3_d193e15317
nicht	w5_d193e15320
leicht	w7_d193e15323
zu	w9_d193e15326
sehen	w11_d193e15329
seyn,	w1_d193e15334
zu	w3_d193e15337
finden,	w5_d193e15340
nicht	w7_d193e15343
weniger	w9_d193e15346
zwey	w11_d193e15349
Origi	w13_d193e15353
nal=Engländer	w1_d193e15358
und	w3_d193e15361
drey	w5_d193e15364
Anglisse,	w7_d193e15367
welche	w9_d193e15370
auch	w11_d193e15373
vor	w1_d193e15379
dem	w3_d193e15382
Licitations=termin	w5_d193e15385
zu	w7_d193e15388
Körmendt	w9_d193e15391
können	w1_d193e15396
in	w3_d193e15399
Augenschein	w5_d193e15402
genommen,	w7_d193e15405
und	w9_d193e15408
auf	w11_d193e15411
unterschiedlichen	w1_d193e15416
Orten	w3_d193e15419
sowol	w5_d193e15422
im	w7_d193e15425
Reiten	w9_d193e15428
als	w11_d193e15431
im	w1_d193e15436
Einspann	w3_d193e15439
probirt	w5_d193e15442
werden.	w7_d193e15445
</p>
<head id="h2_d193e15451">
EDICT.	w1_d193e15455
</head>
<p id="p4_d193e15458">
Von	w1_d193e15462
des	w3_d193e15465
Judicii	w5_d193e15468
Delegati	w7_d193e15471
der	w9_d193e15474
Kaiserl	w11_d193e15477
Herrschaft	w1_d193e15482
Mannerstorf	w3_d193e15485
wegen	w5_d193e15488
wird	w7_d193e15491
hiemit	w9_d193e15494
der	w1_d193e15499
Clarä	w3_d193e15502
Wilflingin	w5_d193e15505
kund	w7_d193e15508
und	w9_d193e15511
zu	w11_d193e15514
wissen	w13_d193e15518
gemacht,	w1_d193e15524
welcher	w3_d193e15527
gestalten	w5_d193e15530
Rosalia	w7_d193e15533
Schren	w9_d193e15536
kin	w1_d193e15541
bey	w3_d193e15544
diesem	w5_d193e15547
Judicio	w7_d193e15550
Delegato,	w9_d193e15553
wegen	w11_d193e15556
Erfolglassung	w1_d193e15561
deren	w3_d193e15564
in	w5_d193e15567
der	w7_d193e15570
Johann	w9_d193e15573
Anton	w11_d193e15576
Wilflingischen	w1_d193e15581
Massa	w3_d193e15584
annoch	w5_d193e15587
vorhandenen	w7_d193e15590
294.	w1_d193e15596
fl.	w3_d193e15599
salvo	w5_d193e15602
Jure	w7_d193e15605
residui,	w9_d193e15608
um	w11_d193e15611
Erstreckung	w13_d193e15615
der	w1_d193e15620
den	w3_d193e15623
27.	w5_d193e15626
verflossenen	w7_d193e15629
Monats	w9_d193e15632
Augusti	w11_d193e15635
an	w13_d193e15639
geordnet	w1_d193e15644
gewesten	w3_d193e15647
Tagsatzung	w5_d193e15650
und	w7_d193e15653
Jntimi	w9_d193e15656
rung	w1_d193e15661
dessen	w3_d193e15664
wegen	w5_d193e15667
Unwissenheit	w7_d193e15670
ihr	w9_d193e15673
der	w11_d193e15676
Wilf	w1_d193e15682
lingin	w1_d193e15687
Domicilii	w3_d193e15690
um	w5_d193e15693
Ausfertigung	w7_d193e15696
eines	w9_d193e15699
Val	w11_d193e15702
val=edicts	w1_d193e15707
demütiglich	w3_d193e15710
gebetten	w5_d193e15713
haben,	w7_d193e15716
und	w9_d193e15719
gleichwie	w1_d193e15724
in	w3_d193e15727
dies	w5_d193e15730
Begehren	w7_d193e15733
in	w9_d193e15736
ein	w11_d193e15739
so	w13_d193e15743
andern	w15_d193e15746
gewilliget,	w1_d193e15752
und	w3_d193e15755
solche	w5_d193e15758
auf	w7_d193e15761
den	w9_d193e15764
12.	w11_d193e15767
nächstkom	w13_d193e15771
menden	w1_d193e15776
Monats	w3_d193e15779
Nov.	w5_d193e15782
Nachmittag	w7_d193e15785
um	w9_d193e15788
2.	w11_d193e15791
Uhr	w1_d193e15796
bey	w3_d193e15799
dem	w5_d193e15802
hierinfalls	w7_d193e15805
aufgestellten	w9_d193e15808
Judice	w11_d193e15811
Delegato	w1_d193e15816
in	w3_d193e15819
dessen	w5_d193e15822
in	w7_d193e15825
der	w9_d193e15828
obern	w11_d193e15831
Bäcker=strassen	w13_d193e15835
im	w1_d193e15841
Ehrenthalischen	w3_d193e15844
Haus,	w5_d193e15847
im	w7_d193e15850
1.	w9_d193e15853
Stock	w11_d193e15856
haben	w13_d193e15860
den	w1_d193e15865
Wohnung	w3_d193e15868
zu	w5_d193e15871
erscheinen	w7_d193e15874
erstrecket	w9_d193e15877
worden.	w11_d193e15880
Als	w1_d193e15885
wird	w3_d193e15888
ihr	w5_d193e15891
Mariä	w7_d193e15894
Clarä	w9_d193e15897
Wilflingin	w11_d193e15900
</p>
<p id="p6_d193e15903">
solche	w1_d193e15907
auf	w3_d193e15910
erst=bestimmten	w5_d193e15913
Tag,	w7_d193e15916
Stund	w9_d193e15919
und	w11_d193e15922
Ort	w1_d193e15927
angeordnete	w3_d193e15930
Tagsatzung	w5_d193e15933
mittels	w7_d193e15936
dieses	w9_d193e15939
Valval=edicts	w1_d193e15944
hiemit	w3_d193e15947
erinneret;	w5_d193e15950
so	w7_d193e15953
beschehen	w9_d193e15956
Wien	w1_d193e15962
den	w3_d193e15965
23.	w5_d193e15968
Sept.	w7_d193e15971
1757.	w9_d193e15974
</p>
<p id="p8_d193e15977">
Auf	w1_d193e15981
Verordnung	w3_d193e15984
Einer	w5_d193e15987
Hochlöbl.	w7_d193e15990
Kaiserl.	w9_d193e15993
Königl.	w1_d193e15998
N	w3_d193e16001
O.	w5_d193e16004
Reg.	w7_d193e16007
in	w9_d193e16010
Justitz=sachen,	w11_d193e16013
wer	w13_d193e16017
den	w1_d193e16022
den	w3_d193e16025
7ten	w5_d193e16028
dies,	w7_d193e16031
in	w9_d193e16034
dem	w11_d193e16037
sogenannten	w13_d193e16041
Baa	w15_d193e16044
derischen	w1_d193e16050
Haus	w3_d193e16053
in	w5_d193e16056
der	w7_d193e16059
Himmelpfort=gassen	w9_d193e16062
im	w11_d193e16065
4ten	w1_d193e16070
Stock,	w3_d193e16073
Silber,	w5_d193e16076
Wäsch,	w7_d193e16079
Porcelan,	w9_d193e16082
Klei	w11_d193e16085
der	w1_d193e16090
und	w3_d193e16093
allerhand	w5_d193e16096
Effecten,	w7_d193e16099
Vormittag	w9_d193e16102
von	w11_d193e16105
9.	w1_d193e16110
bis	w3_d193e16113
12.	w5_d193e16116
Uhr,	w7_d193e16119
und	w9_d193e16122
Nachmittag	w11_d193e16125
von	w13_d193e16129
3.	w15_d193e16132
bis	w17_d193e16135
6	w1_d193e16141
Uhr,	w3_d193e16144
plus	w5_d193e16147
offerenti	w7_d193e16150
hindann	w9_d193e16153
gegeben	w11_d193e16156
werden	w13_d193e16160
</p>
<p id="p10_d193e16163">
Den	w1_d193e16167
7ten	w3_d193e16170
dieses	w5_d193e16173
Monats	w7_d193e16176
November	w9_d193e16179
werden	w11_d193e16182
auf	w1_d193e16187
Verordnung	w3_d193e16190
seiner	w5_d193e16193
Hochlöbl.	w7_d193e16196
N.	w9_d193e16199
Oe.	w11_d193e16202
Re	w13_d193e16206
gierung	w1_d193e16211
in	w3_d193e16214
Justiz=sachen	w5_d193e16217
in	w7_d193e16220
dem	w9_d193e16223
sogenannten	w11_d193e16226
neuen	w1_d193e16232
Michaeler=haus,	w3_d193e16235
über	w5_d193e16238
die	w7_d193e16241
Stiegen	w9_d193e16244
bey	w11_d193e16247
der	w1_d193e16252
Buchdruckerey	w3_d193e16255
im	w5_d193e16258
4ten	w7_d193e16261
Stock,	w9_d193e16264
bey	w11_d193e16267
Herrn	w13_d193e16271
Hof=kriegs=agenten	w1_d193e16276
Arnold,	w3_d193e16279
verschiedene	w5_d193e16282
glatt=sammetne,	w1_d193e16287
seidene	w3_d193e16290
mit	w5_d193e16293
Gold	w7_d193e16296
und	w9_d193e16299
Sil	w11_d193e16302
ber	w1_d193e16308
reich	w3_d193e16311
bordirte	w5_d193e16314
Manns=röcke,	w7_d193e16317
auch	w9_d193e16320
sam	w11_d193e16323
metene	w1_d193e16328
und	w3_d193e16331
seidene	w5_d193e16334
gleichfals	w7_d193e16337
mit	w9_d193e16340
Gold	w11_d193e16343
und	w13_d193e16347
</p>
<p id="p12_d193e16351">
Silber	w1_d193e16355
reich	w3_d193e16358
bordirte	w5_d193e16361
Vesten,	w7_d193e16364
verschiedene	w9_d193e16367
sammetene	w1_d193e16372
Hosen,	w3_d193e16375
mit	w5_d193e16378
Silber	w7_d193e16381
und	w9_d193e16384
Gold	w11_d193e16387
bor	w13_d193e16391
dirte	w1_d193e16396
Hüte,	w3_d193e16399
moirene	w5_d193e16402
mit	w7_d193e16405
Gold	w9_d193e16408
und	w11_d193e16411
Silber	w13_d193e16415
ein	w15_d193e16418
getragene,	w1_d193e16424
auch	w3_d193e16427
andere	w5_d193e16430
seidene	w7_d193e16433
Zeug,	w9_d193e16436
einige	w11_d193e16439
Masquen	w1_d193e16444
und	w3_d193e16447
andere	w5_d193e16450
Sachen,	w7_d193e16453
Vormittags	w9_d193e16456
von	w1_d193e16461
9.	w3_d193e16464
bis	w5_d193e16467
12.	w7_d193e16470
Uhr;	w9_d193e16473
Nachmittags	w11_d193e16476
aber	w13_d193e16480
von	w15_d193e16483
3.	w1_d193e16488
bis	w3_d193e16491
6	w5_d193e16494
Uhr	w7_d193e16497
dem	w9_d193e16500
Meistbiettenden	w11_d193e16503
gegen	w13_d193e16507
baare	w15_d193e16510
Bezahlung	w1_d193e16516
licitando	w3_d193e16519
verkauffet,	w5_d193e16522
und	w7_d193e16525
hiemit	w9_d193e16528
die	w1_d193e16533
nachfolgende	w3_d193e16536
Täge	w5_d193e16539
continuiret	w7_d193e16542
werden.	w9_d193e16545
</p>
<head id="h2_d193e16551">
AVERTISSEMENT.	w1_d193e16555
</head>
<p id="p4_d193e16558">
NB.	w1_d193e16562
Es	w3_d193e16565
seynd	w5_d193e16568
hier	w7_d193e16571
wieder	w9_d193e16574
angekommen	w11_d193e16577
die	w1_d193e16582
Gebrüdere	w3_d193e16585
Montani	w5_d193e16588
mit	w7_d193e16591
verschiedenen	w9_d193e16594
Blumen=zwiebeln,	w1_d193e16599
wie	w3_d193e16602
folget:	w5_d193e16605
</p>
<p id="p6_d193e16608">
Narcissi	w1_d193e16612
nobili	w3_d193e16615
von	w5_d193e16618
4.	w7_d193e16621
Sorten.	w9_d193e16624
Fruhe	w11_d193e16627
Narcissen.	w1_d193e16632
Gefüllte	w3_d193e16635
Tazzetten.	w5_d193e16638
Weisse	w7_d193e16641
Taz	w9_d193e16644
zetten.	w1_d193e16649
Gelbe	w3_d193e16652
Tazzetten.	w5_d193e16655
Gefüllte	w7_d193e16658
weisse	w9_d193e16661
Hya	w11_d193e16664
cinten,	w1_d193e16670
Leib=farbe	w3_d193e16673
gefüllte	w5_d193e16676
Hyacinten.	w7_d193e16679
Viol	w9_d193e16682
blaue	w1_d193e16687
gefüllte	w3_d193e16690
Hyacinten.	w5_d193e16693
Frühe	w7_d193e16696
Hyacin	w9_d193e16699
ten.	w1_d193e16704
Gefüllte	w3_d193e16707
Jonquilien.	w5_d193e16710
Doppelte	w7_d193e16713
weisse	w9_d193e16716
Spanische	w1_d193e16721
Jonquilien.	w3_d193e16724
Gedoppelte	w5_d193e16727
Aruncu	w7_d193e16730
len,	w1_d193e16736
von	w3_d193e16739
dreyßigerley	w5_d193e16742
Farben,	w7_d193e16745
allerhand	w9_d193e16748
Arutculen.	w1_d193e16753
Arunculen	w3_d193e16756
la	w5_d193e16759
Bella	w7_d193e16762
di	w9_d193e16765
Brusseles,	w11_d193e16768
Gelde	w1_d193e16773
Arunculen.	w3_d193e16776
Arunculen	w5_d193e16779
die	w7_d193e16782
schöne	w9_d193e16785
von	w11_d193e16788
Orleans.	w1_d193e16793
Gesprengte	w3_d193e16796
Arunculen	w5_d193e16799
von	w7_d193e16802
ver	w9_d193e16805
schiedenen	w1_d193e16811
Farben.	w3_d193e16814
Arunculen	w5_d193e16817
der	w7_d193e16820
Prinz	w9_d193e16823
von	w11_d193e16826
Oranien.	w1_d193e16831
Pur	w3_d193e16834
rote	w5_d193e16837
extra	w7_d193e16840
schöne	w9_d193e16843
Arunculen.	w11_d193e16846
Allerhand	w1_d193e16851
färbige	w3_d193e16854
Anemoni.	w5_d193e16857
Allerhand	w7_d193e16860
rot	w9_d193e16863
artige	w1_d193e16868
Anemoni.	w3_d193e16871
Anemoni	w5_d193e16874
la	w7_d193e16877
Bella	w9_d193e16880
di	w11_d193e16883
Brus-	w13_d193e16887
se	w1_d193e16893
les.	w3_d193e16896
Anemoni	w5_d193e16899
der	w7_d193e16902
grosse	w9_d193e16905
Turband,	w11_d193e16908
Anemo	w13_d193e16912
ni	w1_d193e16917
in	w3_d193e16920
Regenbogen.	w5_d193e16923
Anemoni	w7_d193e16926
der	w9_d193e16929
Prinz	w11_d193e16932
von	w13_d193e16936
Oranien.	w1_d193e16941
Anemoni	w3_d193e16944
alte	w5_d193e16947
Bollone.	w7_d193e16950
Anemo	w9_d193e16953
ni,	w1_d193e16958
die	w3_d193e16961
schöne	w5_d193e16964
von	w7_d193e16967
Normandie.	w9_d193e16970
Persiani	w11_d193e16973
sche	w1_d193e16979
Tulpen,	w3_d193e16982
Türkische	w5_d193e16985
Tulpen,	w7_d193e16988
und	w9_d193e16991
sonst	w11_d193e16994
aller	w13_d193e16998
hand	w1_d193e17003
Arten	w3_d193e17006
schöner	w5_d193e17009
Blumen.	w7_d193e17012
Saamen	w9_d193e17015
von	w11_d193e17018
Kauli	w1_d193e17023
Flor,	w3_d193e17026
von	w5_d193e17029
denen	w7_d193e17032
schönsten	w9_d193e17035
Sorten,	w11_d193e17038
Saamen	w1_d193e17043
von	w3_d193e17046
Broccoli	w5_d193e17049
Romani,	w7_d193e17052
extra	w9_d193e17055
schön.	w11_d193e17058
Die	w1_d193e17064
Blumen=kiele	w3_d193e17067
seynd	w5_d193e17070
durch	w7_d193e17073
und	w9_d193e17076
durch	w11_d193e17079
das	w13_d193e17083
100.	w1_d193e17088
für	w3_d193e17091
4.	w5_d193e17094
fl.	w7_d193e17097
Der	w9_d193e17100
Saamen	w11_d193e17103
von	w13_d193e17107
Kauli	w15_d193e17110
flor	w1_d193e17115
das	w3_d193e17118
Lot	w5_d193e17121
18.	w7_d193e17124
kr.	w9_d193e17127
Der	w11_d193e17130
Saamen	w13_d193e17134
von	w15_d193e17137
Brocoli	w1_d193e17142
Romani	w3_d193e17145
das	w5_d193e17148
Lot	w7_d193e17151
15.	w9_d193e17154
kr.	w11_d193e17157
Saamen	w13_d193e17161
von	w1_d193e17167
Spanischen	w3_d193e17170
Zwiebeln	w5_d193e17173
das	w7_d193e17176
Lot	w9_d193e17179
15.	w11_d193e17182
kr.	w13_d193e17186
Saamen	w1_d193e17191
von	w3_d193e17194
Römischen	w5_d193e17197
Fenchel,	w7_d193e17200
das	w9_d193e17203
Lot	w11_d193e17206
15.	w1_d193e17211
kr.	w3_d193e17214
Saamen	w5_d193e17217
vom	w7_d193e17220
Lombardischen	w9_d193e17223
Kehl,	w11_d193e17226
Melaun=kern,	w1_d193e17231
Cardi,	w3_d193e17234
das	w5_d193e17237
Lot	w7_d193e17240
15.	w9_d193e17243
kr.	w11_d193e17246
NB.	w1_d193e17252
Wie	w3_d193e17255
auch	w5_d193e17258
Passatutti,	w7_d193e17261
die	w9_d193e17264
grosse	w11_d193e17267
Kö	w13_d193e17271
</p>
<p id="p8_d193e17274">
nigin	w1_d193e17278
von	w3_d193e17281
Brittanien,	w5_d193e17284
das	w7_d193e17287
Stuck	w9_d193e17290
um	w11_d193e17293
18.	w13_d193e17297
kr.	w15_d193e17300
Obgedachte	w1_d193e17305
Gebrüdere	w3_d193e17308
Montani	w5_d193e17311
seynd	w7_d193e17314
bey	w9_d193e17317
Herrn	w1_d193e17322
Sebastian	w3_d193e17325
Lanser	w5_d193e17328
im	w7_d193e17331
Gewürz=gewölb	w9_d193e17334
beym	w1_d193e17340
goldenen	w3_d193e17343
Stern	w5_d193e17346
in	w7_d193e17349
der	w9_d193e17352
Wald=zeil	w11_d193e17355
an	w13_d193e17359
zutreffen.	w1_d193e17364
Artischocken	w3_d193e17367
Kern,	w5_d193e17370
das	w7_d193e17373
Lot	w9_d193e17376
15	w11_d193e17379
kr.	w13_d193e17383
</p>
<p id="p12_d193e17389">
Es	w1_d193e17393
ist	w3_d193e17396
in	w5_d193e17399
der	w7_d193e17402
Stadt	w9_d193e17405
St.	w11_d193e17408
Pölten	w13_d193e17412
das	w15_d193e17415
an	w17_d193e17418
der	w1_d193e17423
Haupt=strasse,	w3_d193e17426
nahe	w5_d193e17429
bey	w7_d193e17432
denen	w9_d193e17435
Englisch	w11_d193e17438
und	w1_d193e17443
Carmeliter=klöstern	w3_d193e17446
ligend=vorhin	w5_d193e17449
Ge	w7_d193e17452
neral	w1_d193e17458
Damnizische	w3_d193e17461
Haus,	w5_d193e17464
