<doc id="wr_1760-11-15" attrs="word" year="1760" month="11" day="15" corpus="2">
<head id="h2_d501e2585">
Kensington	w1_d501e2589
etwann	w11_d501e13365
die	w13_d501e13369
ses	w1_d501e13374
Haus	w3_d501e13377
käuflichen	w5_d501e13380
an	w7_d501e13383
sich	w9_d501e13386
zu	w11_d501e13389
bringen	w13_d501e13393
gesonnen	w15_d501e13396
ist,	w1_d501e13401
mit	w3_d501e13404
diesem	w5_d501e13407
Edict	w7_d501e13410
zu	w9_d501e13413
dem	w11_d501e13416
Ende	w13_d501e13420
kund	w15_d501e13423
und	w17_d501e13426
zu	w19_d501e13429
wassen	w1_d501e13434
gemacht,	w3_d501e13437
damit	w5_d501e13440
ein	w7_d501e13443
sich	w9_d501e13446
hervorthuenden	w11_d501e13449
Käuffer	w1_d501e13455
bey	w3_d501e13458
obbemeld=bestimmten	w5_d501e13461
Licitatations	w7_d501e13464
Tagsatzung	w1_d501e13469
fruhe	w3_d501e13472
um	w5_d501e13475
9.	w7_d501e13478
Uhr,	w9_d501e13481
oder	w11_d501e13484
da	w13_d501e13488
wir	w15_d501e13491
sel	w17_d501e13494
digen	w1_d501e13499
Tags	w3_d501e13502
etwa	w5_d501e13505
anderer	w7_d501e13508
Geschäften	w9_d501e13511
halber	w11_d501e13514
nicht	w13_d501e13518
zu	w1_d501e13523
Reht	w3_d501e13526
sitzeten,	w5_d501e13529
den	w7_d501e13532
nächst=darauf	w9_d501e13535
folgenden	w11_d501e13538
Nahts=tag	w1_d501e13544
vor	w3_d501e13547
uns	w5_d501e13550
erscheinen,	w7_d501e13553
und	w9_d501e13556
sich	w11_d501e13559
bey	w13_d501e13563
un	w15_d501e13566
setem,	w1_d501e13571
und	w3_d501e13574
gemeiner	w5_d501e13577
Stadt	w7_d501e13580
Grund=buch	w9_d501e13583
durch	w11_d501e13586
ben	w1_d501e13591
daselbstigen	w3_d501e13594
Amts=schreiber	w5_d501e13597
anmelden	w7_d501e13600
lassen	w9_d501e13603
möga,	w1_d501e13608
allwo	w3_d501e13611
sodann	w5_d501e13614
das	w7_d501e13617
Weiter=behörige	w9_d501e13620
tracti	w11_d501e13623
ret	w1_d501e13629
werden	w3_d501e13632
solle.	w5_d501e13635
</p>
<p id="p14_d501e13638">
Dem	w1_d501e13642
Publico	w3_d501e13645
wird	w5_d501e13648
hiedurch	w7_d501e13651
zur	w9_d501e13654
Nachricht	w11_d501e13657
ge	w13_d501e13661
geben;	w1_d501e13666
daß	w3_d501e13669
Herr	w5_d501e13672
Johann	w7_d501e13675
Gottfried	w9_d501e13678
Haidt	w11_d501e13681
Kaiserl.	w13_d501e13685
Königl.	w1_d501e13690
privilegirter	w3_d501e13693
Kupferstecher	w5_d501e13696
alhier,	w7_d501e13699
mit	w9_d501e13702
dem	w1_d501e13708
Kaiserl.	w3_d501e13711
Famillen=stucke,	w5_d501e13714
so	w7_d501e13717
von	w9_d501e13720
ihm	w11_d501e13723
nach	w13_d501e13727
dem	w1_d501e13732
prächtigen	w3_d501e13735
Gemählde	w5_d501e13738
des	w7_d501e13741
Herrn	w9_d501e13744
von	w11_d501e13747
Mer	w13_d501e13751
tens	w1_d501e13756
gestochen	w3_d501e13759
worden,	w5_d501e13762
nunmehr	w7_d501e13765
fertig	w9_d501e13768
worden	w11_d501e13771
ist.	w1_d501e13776
Dieses	w3_d501e13779
Stück	w5_d501e13782
worauf	w7_d501e13785
die	w9_d501e13788
ganze	w11_d501e13791
Allerdurch	w13_d501e13795
läuchtigste	w1_d501e13801
Kaiserl.	w3_d501e13804
und	w5_d501e13807
Königl.	w7_d501e13810
Familie	w9_d501e13813
nach	w11_d501e13816
dem	w1_d501e13821
Leben	w3_d501e13824
zu	w5_d501e13827
sehen;	w7_d501e13830
es	w9_d501e13833
ist	w11_d501e13836
vier	w13_d501e13840
Fuß	w15_d501e13843
hoch	w17_d501e13846
und	w19_d501e13849
eben	w21_d501e13852
so	w1_d501e13857
lang,	w3_d501e13860
auch	w5_d501e13863
hat	w7_d501e13866
es	w9_d501e13869
den	w11_d501e13872
Beyfall	w13_d501e13876
der	w15_d501e13879
hiesigen	w17_d501e13882
Kaiserl.	w1_d501e13887
Königl.	w3_d501e13890
Mahler	w5_d501e13893
academie	w7_d501e13896
verdienet.	w9_d501e13899
Die	w11_d501e13902
jenigen	w1_d501e13908
respetive	w3_d501e13911
Liebhaber,	w5_d501e13914
welche	w7_d501e13917
darauf	w9_d501e13920
pränu	w11_d501e13923
omplaria	w1_d501e13928
meriret	w1_d501e13933
haben,	w3_d501e13936
werden	w5_d501e13939
ersuchet	w7_d501e13942
ihre	w9_d501e13945
Ex	w11_d501e13948
bey	w1_d501e13953
ihme,	w3_d501e13956
dem	w5_d501e13959
Kupferstecher	w7_d501e13962
Herrn	w9_d501e13965
Haidt,	w11_d501e13968
in	w13_d501e13972
seiner	w1_d501e13978
Wohnung	w3_d501e13981
auf	w5_d501e13984
der	w7_d501e13987
Wieden,	w9_d501e13990
in	w11_d501e13993
dem	w13_d501e13997
Hause	w15_d501e14000
des	w1_d501e14005
Herrn	w3_d501e14008
von	w5_d501e14011
Meytens	w7_d501e14014
dem	w9_d501e14017
blauen	w11_d501e14020
Hechten	w13_d501e14024
ge	w15_d501e14027
gen	w1_d501e14032
über	w3_d501e14035
abholen	w5_d501e14038
zu	w7_d501e14041
lassen.	w9_d501e14044
Die	w11_d501e14047
andere	w13_d501e14051
respe	w15_d501e14054
ctive	w1_d501e14059
Liebhaber,	w3_d501e14062
finden	w5_d501e14065
noch	w7_d501e14068
einigel	w9_d501e14071
Exemplaria	w11_d501e14074
bey	w13_d501e14078
dem	w1_d501e14084
Herrn	w3_d501e14087
Trattner	w5_d501e14090
Kaiserl.	w7_d501e14093
Königl.	w9_d501e14096
Hof	w11_d501e14099
buch	w13_d501e14103
drucker	w1_d501e14108
in	w3_d501e14111
seinem	w5_d501e14114
Gewölbe	w7_d501e14117
auf	w9_d501e14120
dem	w11_d501e14123
Kohl=markt	w13_d501e14127
im	w1_d501e14132
Fischerischen	w3_d501e14135
Haus,	w5_d501e14138
bey	w7_d501e14141
dem	w9_d501e14144
Herrn	w11_d501e14147
Krüchten	w13_d501e14151
</p>
<p id="p16_d501e14154">
bey	w1_d501e14158
der	w3_d501e14161
Erd=kugel,	w5_d501e14164
und	w7_d501e14167
bey	w9_d501e14170
dem	w11_d501e14173
Herrn	w13_d501e14177
Prasser	w15_d501e14180
in	w1_d501e14185
dem	w3_d501e14188
neuen	w5_d501e14191
Michaeler	w7_d501e14194
haus	w9_d501e14197
zu	w11_d501e14200
verlauffen.	w13_d501e14204
Das	w1_d501e14209
Stück	w3_d501e14212
kostet	w5_d501e14215
drey	w7_d501e14218
Ducaten.	w9_d501e14221
Eben	w11_d501e14224
daselb	w13_d501e14228
sten	w1_d501e14234
ist	w3_d501e14237
auch	w5_d501e14240
zu	w7_d501e14243
haben,	w9_d501e14246
durch	w11_d501e14249
obgedachten	w13_d501e14253
Herrn	w15_d501e14256
Haidt	w1_d501e14261
in	w3_d501e14264
schwanzer	w5_d501e14267
Kunst=berfertiget,	w7_d501e14270
das	w9_d501e14273
Por	w11_d501e14276
trait	w1_d501e14281
der	w3_d501e14284
Prinzeßin	w5_d501e14287
von	w7_d501e14290
Parma	w9_d501e14293
pr.	w11_d501e14296
2.	w13_d501e14300
fl.	w15_d501e14303
ferner	w17_d501e14306
das	w1_d501e14311
Portrait	w3_d501e14314
Sr.	w5_d501e14317
Königl.	w7_d501e14320
Hoheit	w9_d501e14323
des	w11_d501e14326
Erzher	w13_d501e14330
zogs	w1_d501e14336
Joseph	w3_d501e14339
pr.	w5_d501e14342
2.	w7_d501e14345
fl.	w9_d501e14348
Jtem	w11_d501e14351
die	w13_d501e14355
Portraits	w15_d501e14358
Sr.	w17_d501e14361
Excell.	w1_d501e14366
des	w3_d501e14369
Herrn	w5_d501e14372
G.	w7_d501e14375
F.	w9_d501e14378
M.	w11_d501e14381
Grafens	w13_d501e14385
von	w15_d501e14388
Daun,	w17_d501e14391
Nadasd,	w1_d501e14396
und	w3_d501e14399
Loudon	w5_d501e14402
rc.	w7_d501e14405
jedes	w9_d501e14408
pr.	w11_d501e14411
51.	w13_d501e14415
kr.	w15_d501e14418
</p>
<p id="p18_d501e14421">
EWir	w1_d501e14425
N.	w3_d501e14428
Rector	w5_d501e14431
&	w7_d501e14434
Consistorium	w9_d501e14437
in	w11_d501e14440
Judicialibus	w13_d501e14444
der	w1_d501e14449
uralt	w3_d501e14452
und	w5_d501e14455
weit	w7_d501e14458
berühmten	w9_d501e14461
Universität	w11_d501e14464
alhier,	w13_d501e14468
geben	w1_d501e14473
hiemit	w3_d501e14476
denen	w5_d501e14479
des	w7_d501e14482
Franz	w9_d501e14485
Probst	w11_d501e14488
von	w13_d501e14492
Aug	w15_d501e14495
spurg,	w1_d501e14501
und	w3_d501e14504
des	w5_d501e14507
Philipp	w7_d501e14510
Ferdinand	w9_d501e14513
Hamilton,	w11_d501e14516
beeder	w1_d501e14521
seel.	w3_d501e14524
ruckgelassenen	w5_d501e14527
Erben,	w7_d501e14530
oder	w9_d501e14533
allenfalls	w11_d501e14536
derenselben	w1_d501e14541
Massä	w3_d501e14544
Curatoribus	w5_d501e14547
durch	w7_d501e14550
dieses	w9_d501e14553
offent	w11_d501e14556
liche	w1_d501e14561
Edict	w3_d501e14564
zu	w5_d501e14567
vernehmen:	w7_d501e14570
Es	w9_d501e14573
habe	w11_d501e14576
bey	w13_d501e14580
unserem	w15_d501e14583
Accademischen	w1_d501e14589
Foro	w3_d501e14592
Herr	w5_d501e14595
Johann	w7_d501e14598
Adam	w9_d501e14601
von	w11_d501e14604
Net	w13_d501e14608
tinghofen	w1_d501e14613
vorstellig	w3_d501e14616
gemacht,	w5_d501e14619
wie	w7_d501e14622
daß	w9_d501e14625
demselben	w11_d501e14628
weil.	w1_d501e14633
Herrn	w3_d501e14636
Johann	w5_d501e14639
Adam	w7_d501e14642
von	w9_d501e14645
Nettinghofen,	w11_d501e14648
J.	w1_d501e14653
U.	w3_d501e14656
Doctoris,	w5_d501e14659
und	w7_d501e14662
N.	w9_d501e14665
Oe.	w11_d501e14668
Regiments=rahts	w13_d501e14672
seel.	w1_d501e14678
ruckgebliebenen	w3_d501e14681
Verlassenschaft	w5_d501e14684
gerichtlich	w7_d501e14687
eingeantwortet	w1_d501e14692
worden,	w3_d501e14695
in	w5_d501e14698
dieser	w7_d501e14701
Verlassenschaft	w9_d501e14704
aber	w1_d501e14709
10.	w3_d501e14712
Stuck	w5_d501e14715
Mablereyen,	w7_d501e14718
so	w9_d501e14721
bemeldten	w11_d501e14724
Herrn	w13_d501e14728
Regiments=raht	w1_d501e14733
von	w3_d501e14736
Nettinghofen,	w5_d501e14739
seel.	w7_d501e14742
von	w9_d501e14745
vorbemeldtem	w1_d501e14751
Probst,	w3_d501e14754
und	w5_d501e14757
Hamilton	w7_d501e14760
versetzet,	w9_d501e14763
und	w1_d501e14768
welche	w3_d501e14771
auf	w5_d501e14774
4944	w7_d501e14777
fl.	w9_d501e14780
gerichtlich	w11_d501e14783
taxiret	w13_d501e14787
wor	w15_d501e14790
den,	w1_d501e14795
befindlich	w3_d501e14798
wären,	w5_d501e14801
wessentwegen	w7_d501e14804
erdeuter	w9_d501e14807
Herr	w1_d501e14812
Unipersal=erb	w3_d501e14815
in	w5_d501e14818
Folge	w7_d501e14821
des	w9_d501e14824
Consistorial	w11_d501e14827
verlaß	w1_d501e14833
de	w3_d501e14836
Dato	w5_d501e14839
23.	w7_d501e14842
Novemb.	w9_d501e14845
1759.	w11_d501e14848
ein	w13_d501e14852
Stadt	w15_d501e14855
bauco=obligation	w1_d501e14860
pr.	w3_d501e14863
1000.	w5_d501e14866
fl.	w7_d501e14869
als	w9_d501e14872
eine	w11_d501e14875
Caution	w13_d501e14879
bey	w1_d501e14884
denen	w3_d501e14887
Depositis	w5_d501e14890
hätte	w7_d501e14893
erligen	w9_d501e14896
lassen	w11_d501e14899
müssen;	w13_d501e14903
zumalen	w1_d501e14908
nun	w3_d501e14911
aber	w5_d501e14914
von	w7_d501e14917
denen	w9_d501e14920
Eigentümern	w11_d501e14923
sotha	w13_d501e14927
ner	w1_d501e14933
Mahlereyen	w3_d501e14936
durch	w5_d501e14939
so	w7_d501e14942
geraume	w9_d501e14945
Zeit	w11_d501e14948
sich	w13_d501e14952
kein	w15_d501e14955
Mensch	w1_d501e14960
gemeldet	w3_d501e14963
hatte,	w5_d501e14966
auch	w7_d501e14969
nimmermehr	w9_d501e14972
zu	w11_d501e14975
gedenken,	w1_d501e14980
daß	w3_d501e14983
diese	w5_d501e14986
Pfänder	w7_d501e14989
jemals	w9_d501e14992
mehr	w11_d501e14995
ausge	w13_d501e14999
löset	w1_d501e15004
werden	w3_d501e15007
würden,	w5_d501e15010
anderseits	w7_d501e15013
aber	w9_d501e15016
ihme	w11_d501e15019
von	w13_d501e15023
Nettinghofischen	w1_d501e15029
Herrn	w3_d501e15032
Universal=erben	w5_d501e15035
nicht	w7_d501e15038
zu	w9_d501e15041
gemutet	w1_d501e15046
werden	w3_d501e15049
könte,	w5_d501e15052
vorgedachte	w7_d501e15055
Caution	w9_d501e15058
im	w11_d501e15061
merhin,	w1_d501e15066
und	w3_d501e15069
so	w5_d501e15072
zu	w7_d501e15075
sagen	w9_d501e15078
ewig	w11_d501e15081
anliegen	w13_d501e15085
zu	w15_d501e15088
lassen,	w17_d501e15091
und	w1_d501e15096
somit	w3_d501e15099
seines	w5_d501e15102
Capitals	w7_d501e15105
immerhin	w9_d501e15108
zu	w11_d501e15111
entbeh	w13_d501e15115
ren,	w1_d501e15121
also,	w3_d501e15124
daß	w5_d501e15127
dann	w7_d501e15130
derselbe	w9_d501e15133
gebetten,	w11_d501e15136
daß	w13_d501e15140
die	w15_d501e15143
mentionirt=Franz	w1_d501e15148
Probst,	w3_d501e15151
und	w5_d501e15154
Philipp	w7_d501e15157
Ferdi	w9_d501e15160
nand	w1_d501e15165
Hamilionische	w3_d501e15168
Erben,	w5_d501e15171
oder	w7_d501e15174
deroselben	w9_d501e15177
Mas	w11_d501e15180
sä=curatores	w1_d501e15185
(anerwogen	w3_d501e15188
selbe	w5_d501e15191
weder	w7_d501e15194
ihrer	w9_d501e15197
Per	w11_d501e15200
son	w1_d501e15206
und	w3_d501e15209
Condition,	w5_d501e15212
noch	w7_d501e15215
auch	w9_d501e15218
ihres	w11_d501e15221
Aufenthalts	w13_d501e15225
halber	w1_d501e15230
bekannt	w3_d501e15233
wären)	w5_d501e15236
dergestalten	w7_d501e15239
edictaliter	w9_d501e15242
einberuffen	w1_d501e15247
werden	w3_d501e15250
möchten,	w5_d501e15253
wie	w7_d501e15256
im	w9_d501e15259
widrigen,	w11_d501e15262
und	w1_d501e15267
da	w3_d501e15270
dieselbe	w5_d501e15273
in	w7_d501e15276
dem	w9_d501e15279
anberaumten	w11_d501e15282
Termin	w13_d501e15286
sich	w15_d501e15289
nicht	w1_d501e15295
hervorthun	w3_d501e15298
würden,	w5_d501e15301
ihnen	w7_d501e15304
das	w9_d501e15307
ewige	w11_d501e15310
Still	w13_d501e15314
schweigen	w1_d501e15319
auferleget,	w3_d501e15322
und	w5_d501e15325
ihme	w7_d501e15328
Herrn	w9_d501e15331
von	w11_d501e15334
Net	w13_d501e15338
tinghofen	w1_d501e15343
die	w3_d501e15346
inligende	w5_d501e15349
Caution	w7_d501e15352
pr.	w9_d501e15355
1000.	w11_d501e15358
fl.	w13_d501e15362
an	w15_d501e15365
wiederumen	w1_d501e15370
verabfolget	w3_d501e15373
werden	w5_d501e15376
solle;	w7_d501e15379
und	w9_d501e15382
wie	w11_d501e15385
nun	w1_d501e15391
wir	w3_d501e15394
dieses	w5_d501e15397
des	w7_d501e15400
Herrn	w9_d501e15403
Supplicantens	w11_d501e15406
Bitt	w13_d501e15410
gesuch	w1_d501e15415
mit	w3_d501e15418
dem	w5_d501e15421
Bescheid:	w7_d501e15424
Fiat	w9_d501e15427
doch	w11_d501e15430
dessen	w13_d501e15434
vor	w15_d501e15437
hero	w1_d501e15442
zu	w3_d501e15445
erinneren,	w5_d501e15448
erlediget.	w7_d501e15451
Als	w9_d501e15454
wird	w11_d501e15457
diese	w13_d501e15461
Er	w15_d501e15464
</p>
<p id="p22_d501e15469">
innerungs=verordnung	w1_d501e15473
ihnen	w3_d501e15476
Eingangs	w5_d501e15479
gedacht	w7_d501e15482
Franz	w1_d501e15487
Probst	w3_d501e15490
von	w5_d501e15493
Augspurg,	w7_d501e15496
und	w9_d501e15499
Philip	w11_d501e15502
Ferdi	w13_d501e15506
nand	w1_d501e15511
Hamiltonischen	w3_d501e15514
Erben,	w5_d501e15517
oder	w7_d501e15520
deroselben	w9_d501e15523
Massä=curatoribus	w1_d501e15529
zur	w3_d501e15532
behörigen	w5_d501e15535
Nachricht	w7_d501e15538
we	w9_d501e15541
gen	w1_d501e15546
ihres	w3_d501e15549
unbekannten	w5_d501e15552
Aufenthalts	w7_d501e15555
durch	w9_d501e15558
gegen	w11_d501e15561
wärtiges	w1_d501e15566
Valval=edict	w3_d501e15569
anmit	w5_d501e15572
erinneret.	w7_d501e15575
Wor	w9_d501e15578
nach	w1_d501e15583
sich	w3_d501e15586
dieselbe	w5_d501e15589
zu	w7_d501e15592
richten,	w9_d501e15595
und	w11_d501e15598
ihr	w13_d501e15602
Recht	w15_d501e15605
zu	w17_d501e15608
besorgen	w1_d501e15614
wissen	w3_d501e15617
werden.	w5_d501e15620
</p>
<p id="p24_d501e15624">
Von	w1_d501e15628
der	w3_d501e15631
Röw.	w5_d501e15634
Kaiserl.	w7_d501e15637
Königl.	w9_d501e15640
zu	w11_d501e15643
Hungarn	w13_d501e15647
und	w15_d501e15650
Böheim	w1_d501e15655
Königl.	w3_d501e15658
Majest.	w5_d501e15661
N.	w7_d501e15664
Oe.	w9_d501e15667
Regierung	w11_d501e15670
we	w13_d501e15674
gen,	w1_d501e15679
wird	w3_d501e15682
denen	w5_d501e15685
von	w7_d501e15688
weil.	w9_d501e15691
Jacob	w11_d501e15694
Krammer	w13_d501e15698
hinter	w15_d501e15701
lassenen	w1_d501e15707
Erben,	w3_d501e15710
und	w5_d501e15713
Erbes=erben,	w7_d501e15716
benanntlichen:	w9_d501e15719
der	w1_d501e15724
N.	w3_d501e15727
von	w5_d501e15730
Wildenfels,	w7_d501e15733
und	w9_d501e15736
N.	w11_d501e15739
Berghofferin,	w13_d501e15743
durch	w1_d501e15748
gegenwärtig=offentliches	w3_d501e15751
Edict	w5_d501e15754
kund	w7_d501e15757
und	w9_d501e15760
zu	w1_d501e15765
wissen	w3_d501e15768
gemacht;	w5_d501e15771
Wasgestalten	w7_d501e15774
bey	w9_d501e15777
der	w11_d501e15780
auf	w13_d501e15784
An	w15_d501e15787
langen	w1_d501e15793
weil.	w3_d501e15796
Clarä	w5_d501e15799
Sasfeußin	w7_d501e15802
hinterlassenen	w9_d501e15805
Kin	w11_d501e15808
dern	w1_d501e15813
und	w3_d501e15816
Erben,	w5_d501e15819
wegen	w7_d501e15822
von	w9_d501e15825
demselben	w11_d501e15828
gebettener	w13_d501e15832
Erbfolglassung	w1_d501e15837
einer	w3_d501e15840
bey	w5_d501e15843
denen	w7_d501e15846
Depositis	w9_d501e15849
befindli	w11_d501e15852
chen	w1_d501e15857
Truhen	w3_d501e15860
auf	w5_d501e15863
den	w7_d501e15866
12.	w9_d501e15869
Novemb.	w11_d501e15872
1759.	w13_d501e15876
vor	w15_d501e15879
Re	w17_d501e15882
gierung	w1_d501e15888
angeordnet,	w3_d501e15891
und	w5_d501e15894
ihnen	w7_d501e15897
Krammerischen	w9_d501e15900
Erben	w1_d501e15905
und	w3_d501e15908
Erbens=erben	w5_d501e15911
per	w7_d501e15914
Edicta	w9_d501e15917
ad	w11_d501e15920
valvas	w13_d501e15924
kund	w1_d501e15929
gemachten	w3_d501e15932
Erforderung	w5_d501e15935
auf	w7_d501e15938
Ausbleiben	w9_d501e15941
der	w11_d501e15944
selben	w1_d501e15949
sub	w3_d501e15952
prædicto	w5_d501e15955
dato	w7_d501e15958
in	w9_d501e15961
Contumaciam	w11_d501e15964
veran	w13_d501e15968
lasset	w1_d501e15974
worden;	w3_d501e15977
daß	w5_d501e15980
die	w7_d501e15983
in	w9_d501e15986
der	w11_d501e15989
depositirten	w13_d501e15993
Truhen	w15_d501e15996
vorfündige	w1_d501e16001
Effecten	w3_d501e16004
und	w5_d501e16007
Obligationes	w7_d501e16010
durch	w9_d501e16013
die	w11_d501e16016
auf	w1_d501e16021
Anlangen	w3_d501e16024
von	w5_d501e16027
Regierung	w7_d501e16030
benennende	w9_d501e16033
Commis	w11_d501e16036
sarien	w1_d501e16041
ordentlich	w3_d501e16044
beschrieben,	w5_d501e16047
und	w7_d501e16050
hierüber	w9_d501e16053
an	w11_d501e16056
Regierung	w1_d501e16062
relationiret,	w3_d501e16065
sohin	w5_d501e16068
denen	w7_d501e16071
Clarä	w9_d501e16074
Sas	w11_d501e16077
seußischen	w1_d501e16082
Kindern	w3_d501e16085
und	w5_d501e16088
Erben	w7_d501e16091
wider	w9_d501e16094
die	w11_d501e16097
Jacob	w13_d501e16101
Krammerische	w1_d501e16106
Erbens=erben	w3_d501e16109
eine	w5_d501e16112
ordentliche	w7_d501e16115
Klag,	w9_d501e16118
worinnen	w1_d501e16123
der	w3_d501e16126
Hergang	w5_d501e16129
der	w7_d501e16132
Sache	w9_d501e16135
anzuführen,	w11_d501e16138
und	w13_d501e16142
die	w1_d501e16148
sammentliche	w3_d501e16151
Jntereßirte	w5_d501e16154
nach	w7_d501e16157
Möglichkeit	w9_d501e16160
speclficè	w1_d501e16165
zu	w3_d501e16168
benennen	w5_d501e16171
seyen,	w7_d501e16174
eingereichet,	w9_d501e16177
auch	w11_d501e16180
solch=einreichende	w1_d501e16185
Klag	w3_d501e16188
samt	w5_d501e16191
der	w7_d501e16194
hierüber	w9_d501e16197
ergehen	w11_d501e16200
den	w1_d501e16205
Decretirung	w3_d501e16208
sowol	w5_d501e16211
per	w7_d501e16214
Edicta	w9_d501e16217
ad	w11_d501e16220
valvas,	w13_d501e16224
als	w15_d501e16227
auch	w1_d501e16233
durch	w3_d501e16236
Eindruckung	w5_d501e16239
in	w7_d501e16242
das	w9_d501e16245
Wienerische	w11_d501e16248
Dia	w13_d501e16252
rium	w1_d501e16257
behörig	w3_d501e16260
kund	w5_d501e16263
gemachet	w7_d501e16266
werden	w9_d501e16269
solle.	w11_d501e16272
Jn	w13_d501e16276
Befolgung	w1_d501e16281
dessen	w3_d501e16284
haben	w5_d501e16287
nun	w7_d501e16290
ermeldt=weil.	w9_d501e16293
Clarä	w11_d501e16296
Sasfeußischen	w1_d501e16301
hinterlassenen	w3_d501e16304
Erben,	w5_d501e16307
wider	w7_d501e16310
die	w9_d501e16313
Ja	w11_d501e16316
cob	w1_d501e16322
Krammerische	w3_d501e16325
Erben	w5_d501e16328
und	w7_d501e16331
Erbes=erben,	w9_d501e16334
u	w11_d501e16337
term	w1_d501e16342
27.	w3_d501e16345
Monats	w5_d501e16348
Septemb.	w7_d501e16351
vor	w9_d501e16354
und	w11_d501e16357
angebracht,	w13_d501e16361
wie	w1_d501e16366
daß	w3_d501e16369
der	w5_d501e16372
Wilhelm	w7_d501e16375
de	w9_d501e16378
Harde,	w11_d501e16381
gewest=Kaiserl.	w13_d501e16385
Königl.	w1_d501e16390
Jubelierer	w3_d501e16393
in	w5_d501e16396
seinem	w7_d501e16399
d.	w9_d501e16402
d.	w11_d501e16405
Wien	w13_d501e16409
den	w15_d501e16412
11.	w17_d501e16415
Novemb.	w1_d501e16421
1677.	w3_d501e16424
errichteten,	w5_d501e16427
und	w7_d501e16430
den	w9_d501e16433
16.	w11_d501e16436
ejusdem	w13_d501e16440
mensis	w1_d501e16445
&	w3_d501e16448
anni	w5_d501e16451
bey	w7_d501e16454
dem	w9_d501e16457
damaligen	w11_d501e16460
K.	w13_d501e16464
K.	w15_d501e16467
obristen	w17_d501e16470
Hof=gericht	w1_d501e16475
publicirten	w3_d501e16478
Testaments	w5_d501e16481
§.	w7_d501e16484
27.	w9_d501e16487
zu	w11_d501e16490
sei	w13_d501e16494
nen	w1_d501e16499
Universal=erben	w3_d501e16502
seinen	w5_d501e16505
Sohn	w7_d501e16508
Wilhelm	w9_d501e16511
de	w11_d501e16514
Harde,	w1_d501e16520
dann	w3_d501e16523
seine	w5_d501e16526
Tochter	w7_d501e16529
Annam,	w9_d501e16532
hernach	w11_d501e16535
ver	w13_d501e16539
ehligten	w1_d501e16544
Winklerin,	w3_d501e16547
ingleichen	w5_d501e16550
von	w7_d501e16553
seiner	w9_d501e16556
verstor	w11_d501e16559
benen	w1_d501e16564
Tochter	w3_d501e16567
verehligt	w5_d501e16570
gewesten	w7_d501e16573
Krammerin	w9_d501e16576
hin	w11_d501e16579
terlassene	w1_d501e16584
zwey	w3_d501e16587
Kinder,	w5_d501e16590
und	w7_d501e16593
respectivè	w9_d501e16596
Enickel,	w11_d501e16599
benanntlichen:	w1_d501e16605
ihre	w3_d501e16608
Erblasserin	w5_d501e16611
Annam	w7_d501e16614
Claram,	w9_d501e16617
verwittibte	w1_d501e16622
Sasseußin,	w3_d501e16625
und	w5_d501e16628
ihren	w7_d501e16631
Bruder,	w9_d501e16634
als	w11_d501e16637
re-	w13_d501e16641
præfentantes	w1_d501e16646
Matris	w3_d501e16649
defunctæ,	w5_d501e16652
ingleichen	w7_d501e16655
des	w9_d501e16658
Franz	w1_d501e16663
de	w3_d501e16666
Harde	w5_d501e16669
seine	w7_d501e16672
Tochter	w9_d501e16675
Theresiam,	w11_d501e16678
ihrem	w13_d501e16682
geistl.	w1_d501e16688
Namen	w3_d501e16691
nach	w5_d501e16694
Benedictam,	w7_d501e16697
zu	w9_d501e16700
gleichen	w11_d501e16703
Thei	w13_d501e16707
en	w1_d501e16712
eingesetzet,	w3_d501e16715
deme	w5_d501e16718
unerachtet	w7_d501e16721
aber	w9_d501e16724
ware	w11_d501e16727
sothane	w13_d501e16731
</p>
<p id="p26_d501e16734">
Verlassenschaft	w1_d501e16738
aus	w3_d501e16741
Verstoß	w5_d501e16744
secundum	w7_d501e16747
tenorem	w9_d501e16750
Testam.	w1_d501e16755
in	w3_d501e16758
5.,	w5_d501e16761
sondern	w7_d501e16764
nur	w9_d501e16767
in	w11_d501e16770
4.	w13_d501e16774
Theile	w15_d501e16777
abgethei	w17_d501e16780
let	w1_d501e16785
worden,	w3_d501e16788
mithin	w5_d501e16791
da	w7_d501e16794
ihrer	w9_d501e16797
Exblasserin,	w11_d501e16800
und	w13_d501e16804
ihrem	w1_d501e16810
Bruder	w3_d501e16813
einem	w5_d501e16816
jeden	w7_d501e16819
ein	w9_d501e16822
ganzer	w11_d501e16825
Erbsan	w13_d501e16829
theil,	w1_d501e16834
wie	w3_d501e16837
denen	w5_d501e16840
andern,	w7_d501e16843
hätte	w9_d501e16846
zukommen	w11_d501e16849
sollen,	w13_d501e16853
sie	w1_d501e16858
um	w3_d501e16861
einen	w5_d501e16864
ganzen	w7_d501e16867
zu	w9_d501e16870
kurz	w11_d501e16873
kommen	w13_d501e16877
wären,	w15_d501e16880
wo	w17_d501e16883
mmitleist	w1_d501e16888
auch	w3_d501e16891
der	w5_d501e16894
Wilhelm	w7_d501e16897
Krammer	w9_d501e16900
in	w11_d501e16903
Mino-	w13_d501e16907
enitate	w1_d501e16913
verstorben,	w3_d501e16916
und	w5_d501e16919
dessen	w7_d501e16922
Enklisches	w9_d501e16925
Erb=theil	w11_d501e16928
hrer	w1_d501e16933
Erblasserin	w3_d501e16936
zugefallen	w5_d501e16939
seye,	w7_d501e16942
wie	w9_d501e16945
