<doc id="edoc_wd_1759-10-03" attrs="word" year="1759" month="10" day="03" corpus="1">
<head id="hl1">
Lahn	w46
Liebhabere	w5414
aber	w5415
in	w5416
dem	w5417
Obrist	w5418
<g/>
=
Post	w5420
<g/>
=
amt	w5422
diesfalls	w5423
anzumelden	w5424
<g/>
.
</p>
<head id="hl25">
Schluß	w5465
des	w5466
in	w5467
Münz	w5468
<g/>
=
sachen	w5470
ergan=genen	w5471
<g/>
=
jüngsthin	w5473
angeführten	w5474
Kaiserl	w5475
<g/>
.
Patents	w5477
<g/>
.
</head>
<p id="p50">
12	w5479
<g/>
.
Solle	w5481
dem	w5482
Eid	w5483
deren	w5484
Münz	w5485
<g/>
=
meistern	w5487
ausdrücklich	w5488
einverleibet	w5489
werden	w5490
<g/>
,
daß	w5492
sie	w5493
in	w5494
keiner	w5495
verliehenen	w5496
<g/>
,
verkauft	w5498
<g/>
=
oder	w5500
verpachten	w5501
Münz	w5502
<g/>
=
stadt	w5504
<g/>
,
es	w5506
seye	w5507
selbst	w5508
<g/>
,
oder	w5510
durch	w5511
ihre	w5512
Gesellen	w5513
<g/>
,
arbeiten	w5515
<g/>
,
oder	w5517
münzen	w5518
<g/>
,
worauf	w5520
denen	w5521
Obrigkeiten	w5522
oder	w5523
Kreisen	w5524
nach	w5525
Besag	w5526
ob	w5527
<g/>
=
angezogener	w5529
Reichs	w5530
<g/>
=
abschieden	w5532
das	w5533
Einsehen	w5534
aufgetragen	w5535
wird	w5536
<g/>
.
</p>
<p id="p51">
13	w5538
<g/>
.
Sollen	w5540
die	w5541
Münz	w5542
<g/>
=
meistere	w5544
von	w5545
dem	w5546
Kreiß	w5547
und	w5548
ihren	w5549
Münz	w5550
<g/>
=
herren	w5552
verpflichtet	w5553
werden	w5554
<g/>
,
dem	w5556
Reichs	w5557
<g/>
=
abschied	w5559
de	w5560
anno	w5561
1570	w5562
<g/>
.
§	w5564
<g/>
.
134	w5566
<g/>
.
bey	w5568
Verpfändung	w5569
ihrer	w5570
Hab	w5571
und	w5572
Gütern	w5573
nachzukommen	w5574
<g/>
,
sich	w5576
auch	w5577
selbsten	w5578
auf	w5579
jedes	w5580
Erforderen	w5581
einzustellen	w5582
<g/>
,
und	w5584
Red	w5585
und	w5586
Antwort	w5587
zu	w5588
geben	w5589
<g/>
;
zu	w5591
dem	w5592
Ende	w5593
von	w5594
Reichs	w5595
wegen	w5596
eine	w5597
Special	w5598
<g/>
=
instruction	w5600
ad	w5601
casum	w5602
præsentempraesentem	w5603
eingerichtet	w5604
werden	w5605
solle	w5606
<g/>
.
</p>
<p id="p52">
14	w5608
<g/>
.
Eben	w5610
die	w5611
Meinung	w5612
hat	w5613
es	w5614
nach	w5615
An=weisung	w5616
<g/>
=
vor	w5618
angezogenen	w5619
Reichs	w5620
<g/>
=
abschieds	w5622
§	w5623
<g/>
.
135	w5625
<g/>
.
und	w5627
jenen	w5628
vom	w5629
Jahr	w5630
1594	w5631
<g/>
.
§	w5633
<g/>
.
103	w5635
<g/>
.
von	w5637
denen	w5638
Waradeinen	w5639
<g/>
.
</p>
<p id="p53">
15	w5641
<g/>
.
Die	w5643
beschnittene	w5644
Münzen	w5645
soll	w5646
nie=mand	w5647
<g/>
=
ohne	w5649
Abzug	w5650
am	w5651
Gewicht	w5652
anzunehmen	w5653
schuldig	w5654
seyn	w5655
<g/>
,
und	w5657
deswegen	w5658
hiernächst	w5659
bey	w5660
fürwährenden	w5661
Reichs	w5662
<g/>
=
tag	w5664
nach	w5665
Proportion	w5666
des	w5667
befindlichen	w5668
Abgangs	w5669
ein	w5670
gewisses	w5671
sta=tuiret	w5672
<g/>
=
werden	w5674
<g/>
,
denen	w5676
Münz	w5677
<g/>
=
ständen	w5679
aber	w5680
bevorstehen	w5681
<g/>
,
dergleichen	w5683
beschnittene	w5684
Münz=sorten	w5685
<g/>
=
gegen	w5687
Leidung	w5688
eines	w5689
Abgangs	w5690
für	w5691
Münz	w5692
kösten	w5693
auszuwechseln	w5694
<g/>
,
jedoch	w5696
daß	w5697
der=jenige	w5698
<g/>
=
Münz	w5700
<g/>
=
stand	w5702
<g/>
,
so	w5704
diese	w5705
an	w5706
sich	w5707
löset	w5708
<g/>
,
solche	w5710
in	w5711
gute	w5712
<g/>
,
und	w5714
meistentheils	w5715
grobe	w5716
Reichs	w5717
<g/>
=
münzen	w5719
zu	w5720
verwenden	w5721
<g/>
,
nach	w5723
Vor=schrift	w5724
<g/>
=
des	w5726
mehr	w5727
<g/>
=
ermeldeten	w5729
Reichs	w5730
<g/>
=
schlusses	w5732
</p>
<p id="p54">
vom	w5733
Jahr	w5734
1667	w5735
<g/>
.
§	w5737
<g/>
.
6	w5739
<g/>
.
ad	w5741
Punctum	w5742
2	w5743
<g/>
.
<g/>
&
7	w5746
<g/>
.
schuldig	w5748
seyn	w5749
solle	w5750
<g/>
.
</p>
<p id="p55">
16	w5752
<g/>
.
Denen	w5754
Goldschmiden	w5755
<g/>
,
wie	w5757
auch	w5758
de=nen	w5759
<g/>
=
Gold	w5761
<g/>
=
schlägern	w5763
sollen	w5764
nach	w5765
Jnhalt	w5766
des	w5767
Reichs	w5768
<g/>
=
schlusses	w5770
vom	w5771
Jahr	w5772
1667	w5773
<g/>
.
§	w5775
9	w5776
<g/>
.
<g/>
&
10	w5779
<g/>
.
blos	w5781
und	w5782
allein	w5783
die	w5784
ausländische	w5785
Münz=sorten	w5786
<g/>
=
<g/>
,
auch	w5789
anders	w5790
nicht	w5791
<g/>
,
als	w5793
mit	w5794
Vorwissen	w5795
der	w5796
Obrigkeit	w5797
einzuwechseln	w5798
gestattet	w5799
seyn	w5800
<g/>
,
und	w5802
sie	w5803
bey	w5804
ihrer	w5805
Aufnehmung	w5806
in	w5807
die	w5808
Zunft	w5809
<g/>
,
oder	w5811
zu	w5812
Bürgeren	w5813
darauf	w5814
schwören	w5815
<g/>
,
bey	w5817
Ver=lust	w5818
<g/>
=
der	w5820
Zunft	w5821
oder	w5822
Bürgerl	w5823
<g/>
.
Gerechtigkeit	w5825
<g/>
;
gleichwie	w5827
auch	w5828
die	w5829
Gesellen	w5830
<g/>
,
wann	w5832
sie	w5833
bey	w5834
einem	w5835
Meister	w5836
arbeiten	w5837
wollen	w5838
<g/>
,
mittelst	w5840
des	w5841
Hand	w5842
<g/>
=
schlags	w5844
sich	w5845
gegen	w5846
die	w5847
Obrigkeit	w5848
ver=binden	w5849
<g/>
=
sollen	w5851
<g/>
,
dieser	w5853
Ordnung	w5854
nachzuleben	w5855
<g/>
,
oder	w5857
auch	w5858
<g/>
,
so	w5860
ihre	w5861
Meistere	w5862
darwider	w5863
handel=ten	w5864
<g/>
=
<g/>
,
es	w5867
der	w5868
Obrigkeit	w5869
alsobald	w5870
und	w5871
unter	w5872
Vermeidung	w5873
des	w5874
Verlustes	w5875
der	w5876
Zunft	w5877
auch	w5878
anderer	w5879
arbitrarischen	w5880
Straf	w5881
anzuzeigen	w5882
<g/>
,
und	w5884
solle	w5885
die	w5886
wider	w5887
die	w5888
Gold	w5889
<g/>
=
schmide	w5891
und	w5892
Gold	w5893
<g/>
=
schlägere	w5895
gesetzte	w5896
Pön	w5897
auch	w5898
Statt	w5899
ha=ben	w5900
<g/>
=
<g/>
,
wann	w5903
ihnen	w5904
einländische	w5905
goldene	w5906
und	w5907
silberne	w5908
gerechte	w5909
Sorten	w5910
von	w5911
anderen	w5912
zum	w5913
brechen	w5914
oder	w5915
verschmelzen	w5916
zugestellet	w5917
werden	w5918
<g/>
,
und	w5920
diejenige	w5921
<g/>
,
so	w5923
solches	w5924
thun	w5925
<g/>
,
angedeutete	w5927
goldene	w5928
oder	w5929
silberne	w5930
Münz	w5931
<g/>
=
sorten	w5933
verwür=ket	w5934
<g/>
=
haben	w5936
<g/>
,
und	w5938
die	w5939
Obrigkeit	w5940
solche	w5941
zu	w5942
con=fisciren	w5943
<g/>
=
befugt	w5945
seyn	w5946
<g/>
.
</p>
<p id="p56">
17	w5948
<g/>
.
Und	w5950
obschon	w5951
einige	w5952
das	w5953
Hand	w5954
<g/>
=
werk	w5956
nicht	w5957
treiben	w5958
<g/>
,
doch	w5960
aber	w5961
das	w5962
innländische	w5963
gemünzte	w5964
Gold	w5965
und	w5966
Silber	w5967
verschmelzen	w5968
<g/>
,
und	w5970
hinnach	w5971
denen	w5972
Gold	w5973
<g/>
=
schmiden	w5975
oder	w5976
Gold	w5977
<g/>
=
schlägern	w5979
die	w5980
Massam	w5981
zustelleten	w5982
<g/>
,
so=solle	w5984
<g/>
=
doch	w5986
laut	w5987
vorangezogenen	w5988
Reichs	w5989
<g/>
=
schlus=ses	w5991
<g/>
=
vom	w5993
Jahr	w5994
1667	w5995
<g/>
.
sowol	w5997
der	w5998
Schmelzer	w5999
<g/>
,
als	w6001
Gold	w6002
<g/>
=
schmid	w6004
oder	w6005
Gold	w6006
<g/>
=
schlager	w6008
gestraf=fet	w6009
<g/>
=
<g/>
,
und	w6012
angedeutete	w6013
Massa	w6014
in	w6015
Commissum	w6016
verfallen	w6017
seyn	w6018
<g/>
;
</p>
<p id="p57">
18	w6022
<g/>
.
Jngleichen	w6024
solle	w6025
nach	w6026
mehrmaligen	w6027
Jnhalt	w6028
sothanen	w6029
Reichs	w6030
<g/>
=
schlusses	w6032
denen	w6033
Gold	w6034
<g/>
=
und	w6036
Silber	w6037
<g/>
=
drat	w6039
<g/>
=
zieheren	w6041
und	w6042
Posamentire=ren	w6043
<g/>
=
das	w6045
Einwechseln	w6046
und	w6047
Verbrechen	w6048
deren	w6049
gangbaren	w6050
Münz	w6051
<g/>
=
sorten	w6053
<g/>
,
wie	w6055
nicht	w6056
weniger	w6057
der	w6058
Silber	w6059
<g/>
=
kauf	w6061
nicht	w6062
allein	w6063
ihnen	w6064
<g/>
,
sondern	w6066
auch	w6067
allen	w6068
Privaten	w6069
insgemein	w6070
<g/>
,
bevorab	w6072
de=nen	w6073
<g/>
=
Juden	w6075
gänzlich	w6076
verbotten	w6077
<g/>
,
sodann	w6079
be=rührter	w6080
<g/>
=
Silber	w6082
<g/>
=
kauf	w6084
anders	w6085
nicht	w6086
<g/>
,
als	w6088
mit	w6089
Bewilligung	w6090
jeden	w6091
Orts	w6092
Obrigkeit	w6093
verstat=tet	w6094
<g/>
=
werden	w6096
<g/>
.
</p>
<p id="p58">
19	w6098
<g/>
.
Sintemalen	w6100
auch	w6101
<g/>
,
wie	w6103
es	w6104
mit	w6105
An=stellung	w6106
<g/>
=
gewisser	w6108
Münz	w6109
<g/>
=
städten	w6111
in	w6112
einem	w6113
je=den	w6114
<g/>
=
Kreiß	w6116
zu	w6117
halten	w6118
<g/>
,
in	w6120
denen	w6121
Reichs	w6122
<g/>
=
ab=schieden	w6124
<g/>
=
von	w6126
denen	w6127
Jahren	w6128
<g/>
.
1570	w6130
<g/>
.
71	w6132
<g/>
.
76	w6134
<g/>
.
und	w6136
mehr	w6137
anderen	w6138
klar	w6139
vorgesehen	w6140
<g/>
;
so	w6142
las=sen	w6143
<g/>
=
Wir	w6145
es	w6146
bey	w6147
allem	w6148
deme	w6149
<g/>
,
was	w6151
berühr=ten	w6152
<g/>
=
Puncts	w6154
halber	w6155
darinnen	w6156
begriffen	w6157
<g/>
,
als	w6159
bey	w6160
einer	w6161
allerseits	w6162
aufgenommenen	w6163
Reichs=satzung	w6164
<g/>
=
gänzlich	w6166
verbleiben	w6167
<g/>
,
mit	w6169
dem	w6170
Bey=satz	w6171
<g/>
=
<g/>
,
daß	w6174
in	w6175
Gemäßheit	w6176
des	w6177
Münz	w6178
<g/>
=
edicts	w6180
vom	w6181
1680	w6182
<g/>
.
und	w6184
Unserer	w6185
Kaiserl	w6186
<g/>
.
Wahl	w6188
<g/>
=
ca=pitulation	w6190
<g/>
=
Art	w6192
<g/>
-
IX	w6194
<g/>
.
§	w6196
<g/>
.
2	w6198
<g/>
.
die	w6200
Heck	w6201
<g/>
=
münz	w6203
<g/>
=
städ=te	w6205
<g/>
=
<g/>
,
wovon	w6208
das	w6209
meiste	w6210
hauptsächlich	w6211
herrüh=ret	w6212
<g/>
=
<g/>
,
unverweilt	w6215
durch	w6216
die	w6217
Kreiß	w6218
<g/>
=
ausschrei=bende	w6220
<g/>
=
Fürsten	w6222
jeden	w6223
Kreises	w6224
niedergewor=fen	w6225
<g/>
=
<g/>
,
die	w6228
dabey	w6229
befindliche	w6230
Münz	w6231
<g/>
=
meistere	w6233
<g/>
,
deren	w6235
Helfere	w6236
und	w6237
Gesellen	w6238
in	w6239
Verhaft	w6240
ge=nommen	w6241
<g/>
=
<g/>
,
und	w6244
wider	w6245
dieselbe	w6246
Reichs	w6247
<g/>
=
sa=tzungs	w6249
<g/>
=
<g/>
=
mäßige	w6252
Straffen	w6253
<g/>
,
eines	w6255
jeden	w6256
Ver=brechen	w6257
<g/>
=
nach	w6259
<g/>
,
alsbalden	w6261
vollzogen	w6262
<g/>
,
das	w6264
Münz=gut	w6265
<g/>
=
aber	w6267
durch	w6268
Unsere	w6269
Fiscalen	w6270
<g/>
,
denen	w6272
Wir	w6273
bereits	w6274
die	w6275
Nohtdurft	w6276
hierunter	w6277
anbefohlen	w6278
haben	w6279
<g/>
,
confisciret	w6281
werden	w6282
solle	w6283
<g/>
.
</p>
<p id="p59">
20	w6285
<g/>
.
Niemand	w6287
solle	w6288
sich	w6289
vermessen	w6290
<g/>
,
die	w6292
gute	w6293
Schied	w6294
<g/>
=
münz	w6296
auszuwegen	w6297
<g/>
,
zu	w6299
verbre=chen	w6300
<g/>
=
<g/>
,
oder	w6303
zu	w6304
Legirung	w6305
deren	w6306
groben	w6307
Sor=ten	w6308
<g/>
=
zu	w6310
gebrauchen	w6311
<g/>
,
bey	w6313
Straf	w6314
<g/>
,
die	w6316
wider	w6317
die	w6318
Auswechslere	w6319
statuiret	w6320
ist	w6321
<g/>
.
</p>
<p id="p60">
21	w6323
<g/>
.
Denen	w6325
Jubelireren	w6326
<g/>
,
Drat	w6328
<g/>
=
zieheren	w6330
<g/>
,
Kauf	w6332
<g/>
=
und	w6334
Handels	w6335
<g/>
=
leuten	w6337
<g/>
,
auch	w6339
allen	w6340
und	w6341
je=den	w6342
<g/>
=
die	w6344
<g/>
(
Wardein	w6346
und	w6347
verpflichtete	w6348
GoldGoldschmid	w6349
<g/>
=
</p>
<p id="p61">
schmid	w6351
ausgenommen	w6352
<g/>
)
solle	w6354
in	w6355
Gemäßheit	w6356
des	w6357
Reichs	w6358
<g/>
=
schlusses	w6360
vom	w6361
Jahr	w6362
1667	w6363
<g/>
.
bey	w6365
schwerer	w6366
Arbitrari	w6367
<g/>
=
straf	w6369
verboten	w6370
seyn	w6371
<g/>
,
ei=nige	w6373
<g/>
=
Schmelz	w6375
<g/>
=
oder	w6377
Probier	w6378
<g/>
=
öfen	w6380
zu	w6381
haben	w6382
oder	w6383
zu	w6384
gebrauchen	w6385
<g/>
.
</p>
<p id="p62">
22	w6387
<g/>
.
Wollen	w6389
wir	w6390
<g/>
,
daß	w6392
nach	w6393
Maßgebung	w6394
des	w6395
Reichs	w6396
<g/>
=
abschieds	w6398
vom	w6399
Jahr	w6400
1570	w6401
Un=sere	w6402
<g/>
=
und	w6404
des	w6405
Heil	w6406
<g/>
.
Röm	w6408
<g/>
.
Reichs	w6410
4	w6411
<g/>
.
Chur=fürsten	w6413
<g/>
=
am	w6415
Rhein	w6416
ihre	w6417
sondere	w6418
verordnete	w6419
Rähte	w6420
<g/>
,
neben	w6422
Unseren	w6423
Commissarien	w6424
<g/>
,
zu	w6426
Frankfort	w6427
zu	w6428
denen	w6429
jährlichen	w6430
Messen	w6431
ab=ordnen	w6432
<g/>
=
<g/>
,
die	w6435
da	w6436
Macht	w6437
und	w6438
Befehl	w6439
haben	w6440
sollen	w6441
<g/>
,
darauf	w6443
gute	w6444
Achtung	w6445
zu	w6446
geben	w6447
<g/>
,
und	w6449
zu	w6450
inquiriren	w6451
<g/>
,
<g/>
(
darzu	w6454
Wir	w6455
dann	w6456
Burgermei=ster	w6457
<g/>
=
und	w6459
Raht	w6460
<g/>
,
ihnen	w6462
auf	w6463
ihr	w6464
Begehren	w6465
auch	w6466
verholfen	w6467
zu	w6468
seyn	w6469
<g/>
,
hiemit	w6471
ernstlich	w6472
befehlen	w6473
<g/>
)
ob	w6475
fremde	w6476
verbottene	w6477
Münzen	w6478
dahin	w6479
gefüh=ret	w6480
<g/>
=
<g/>
,
oder	w6483
auch	w6484
des	w6485
Reichs	w6486
goldene	w6487
oder	w6488
sil=berne	w6489
<g/>
=
Münz	w6491
<g/>
,
oder	w6493
rohes	w6494
Silber	w6495
aus	w6496
dem	w6497
Reich	w6498
zu	w6499
führen	w6500
<g/>
,
von	w6502
jemand	w6503
Anstellung	w6504
gethan	w6505
<g/>
,
oder	w6507
<g/>
,
ob	w6509
in	w6510
Kauffen	w6511
<g/>
,
Verkauffen	w6513
<g/>
,
oder	w6515
anderen	w6516
Ausgaben	w6517
verbottene	w6518
Münz	w6519
genom=men	w6520
<g/>
=
<g/>
,
des	w6523
Reichs	w6524
Münzen	w6525
anders	w6526
<g/>
,
oder	w6528
in	w6529
höherem	w6530
Wehrt	w6531
<g/>
,
dann	w6533
sie	w6534
valviret	w6535
<g/>
,
in	w6537
eini=gen	w6538
<g/>
=
Schein	w6540
oder	w6541
Weeg	w6542
ausgegeben	w6543
<g/>
,
oder	w6545
genommen	w6546
werden	w6547
<g/>
;
da	w6549
sie	w6550
dann	w6551
deren	w6552
Din=gen	w6553
<g/>
=
gewißlich	w6555
berichtet	w6556
<g/>
,
und	w6558
erfahren	w6559
<g/>
,
sol=len	w6561
<g/>
=
sie	w6563
solche	w6564
goldene	w6565
oder	w6566
silberne	w6567
Münz	w6568
und	w6569
rohes	w6570
Silber	w6571
den	w6572
Nächsten	w6573
zu	w6574
ihren	w6575
Handen	w6576
und	w6577
Gewalt	w6578
nehmen	w6579
<g/>
,
und	w6581
bis	w6582
auf	w6583
Unser	w6584
und	w6585
deren	w6586
4	w6587
<g/>
.
Chur	w6589
<g/>
=
fürsten	w6591
fernere	w6592
Verordnung	w6593
verwahrlich	w6594
behalten	w6595
<g/>
.
Der=gleichen	w6597
<g/>
=
Anstellungen	w6599
<g/>
,
Erkundigungen	w6601
und	w6602
Einstellen	w6603
zu	w6604
thun	w6605
<g/>
,
wollen	w6607
Wir	w6608
beyden	w6609
Chur	w6610
<g/>
=
fürsten	w6612
zu	w6613
Sachsen	w6614
und	w6615
Brandenburg	w6616
in	w6617
ihrer	w6618
Liebden	w6619
Städten	w6620
auf	w6621
denen	w6622
Jahr=märkten	w6623
<g/>
=
oder	w6625
Messen	w6626
<g/>
,
sonderlich	w6628
vorzuneh=men	w6629
<g/>
=
<g/>
,
hiemit	w6632
befohlen	w6633
haben	w6634
<g/>
,
wie	w6636
Wir	w6637
dann	w6638
auf	w6639
anderen	w6640
Jahr	w6641
<g/>
=
märkten	w6643
oder	w6644
Messen	w6645
in	w6646
Unseren	w6647
und	w6648
des	w6649
Heil	w6650
<g/>
.
Reichs	w6652
Städten	w6653
<g/>
,
wo	w6655
Wir	w6656
es	w6657
nutzlich	w6658
erachten	w6659
werden	w6660
<g/>
,
mit	w6662
son=derem	w6663
<g/>
=
Fleiß	w6665
zu	w6666
verschaffen	w6667
erbietig	w6668
seynd	w6669
<g/>
.
</p>
<p id="p63">
Deme	w6673
allem	w6674
nach	w6675
verkünden	w6676
Wir	w6677
diese	w6678
Erneuerung	w6679
voriger	w6680
Ordnung	w6681
durch	w6682
dies	w6683
Unser	w6684
Kaiserl	w6685
<g/>
.
Edict	w6687
<g/>
,
allen	w6689
Chur	w6690
<g/>
=
fürsten	w6692
<g/>
,
und	w6694
Ständen	w6695
hiemit	w6696
ernstlich	w6697
gebietend	w6698
<g/>
,
daß	w6700
sie	w6701
in	w6702
Dero	w6703
Chur	w6704
<g/>
=
fürstentumen	w6706
und	w6707
Landen	w6708
<g/>
,
sonderlich	w6710
aber	w6711
bey	w6712
Jahr	w6713
<g/>
=
märkten	w6715
und	w6716
Zusammenkünften	w6717
<g/>
,
wie	w6719
auch	w6720
Land	w6721
<g/>
=
päs=sen	w6723
<g/>
=
<g/>
,
Zoll	w6726
<g/>
=
städten	w6728
<g/>
,
Stappeln	w6730
<g/>
,
und	w6732
Häfen	w6733
mit	w6734
allem	w6735
Fleiß	w6736
und	w6737
Ernst	w6738
aufmerken	w6739
und	w6740
inqui=riren	w6741
<g/>
=
<g/>
,
und	w6744
daferne	w6745
sich	w6746
jemand	w6747
<g/>
,
wer	w6749
der	w6750
auch	w6751
seyn	w6752
möchte	w6753
<g/>
,
derer	w6755
Dingen	w6756
eins	w6757
oder	w6758
mehr	w6759
diesem	w6760
Unserem	w6761
Kaiserl	w6762
<g/>
.
Gebot	w6764
zuwider	w6765
un=terstehen	w6766
<g/>
=
<g/>
,
oder	w6769
darob	w6770
etwas	w6771
betretten	w6772
lassen	w6773
würde	w6774
<g/>
,
denenselben	w6776
ohne	w6777
Respect	w6778
der	w6779
Per=son	w6780
<g/>
=
<g/>
,
und	w6783
ungeachtet	w6784
einigen	w6785
Geleits	w6786
<g/>
,
oder	w6788
an=derer	w6789
<g/>
=
Vorwendung	w6791
zu	w6792
gebührlicher	w6793
Straffe	w6794
annehmen	w6795
<g/>
,
und	w6797
gegen	w6798
ihne	w6799
<g/>
,
seinen	w6801
Leib	w6802
<g/>
,
Hab	w6804
und	w6805
Güter	w6806
nach	w6807
Jnhalt	w6808
dieses	w6809
Unseren	w6810
Kaiserl	w6811
<g/>
.
Edicts	w6813
<g/>
,
handeln	w6815
und	w6816
verfahren	w6817
<g/>
,
al=les	w6819
<g/>
=
bey	w6821
Straf	w6822
10	w6823
<g/>
.
Mark	w6825
löhtigen	w6826
Goldes	w6827
<g/>
,
und	w6829
des	w6830
in	w6831
dieser	w6832
auch	w6833
vorigen	w6834
Verordnun=gen	w6835
<g/>
=
ausgedruckten	w6837
weiteren	w6838
Einsehens	w6839
<g/>
.
Zu	w6841
welchem	w6842
Ende	w6843
Wir	w6844
hiemit	w6845
weiter	w6846
befehlen	w6847
<g/>
,
daß	w6849
sie	w6850
nicht	w6851
allein	w6852
solches	w6853
Edict	w6854
in	w6855
Dero	w6856
Churfürstentumen	w6857
und	w6858
Landen	w6859
<g/>
,
auch	w6861
Herr=schaften	w6862
<g/>
=
<g/>
,
Obrigkeiten	w6865
<g/>
,
und	w6867
Gebieten	w6868
gebüh=rend	w6869
<g/>
=
publiciren	w6871
und	w6872
affigiren	w6873
<g/>
,
sondern	w6875
auch	w6876
denen	w6877
Kreiß	w6878
ausschreibenden	w6879
Fürsten	w6880
und	w6881
Kaiserl	w6882
<g/>
.
Commissarien	w6884
an	w6885
Vollziehung	w6886
des=sen	w6887
<g/>
=
nicht	w6889
verhinderlich	w6890
<g/>
,
sondern	w6892
vielmehr	w6893
be=förderlich	w6894
<g/>
=
erscheinen	w6896
sollen	w6897
<g/>
,
bey	w6899
Vermei=dung	w6900
<g/>
=
im	w6902
widrigen	w6903
Unserer	w6904
Kaiserl	w6905
<g/>
.
Ungnade	w6907
<g/>
,
und	w6909
derer	w6910
in	w6911
denen	w6912
Reichs	w6913
<g/>
=
constitutionen	w6915
ent=haltenen	w6916
<g/>
=
Straffen	w6918
<g/>
.
Wornach	w6920
sich	w6921
also	w6922
männiglich	w6923
zu	w6924
achten	w6925
<g/>
,
und	w6927
für	w6928
Straf	w6929
zu	w6930
hü=ten	w6931
<g/>
=
hat	w6933
<g/>
.
Gegeben	w6935
zu	w6936
Wien	w6937
ꝛc	w6938
<g/>
.
ꝛc	w6940
<g/>
.
13	w6942
<g/>
.
Aug	w6944
<g/>
.
1759	w6946
<g/>
.
</p>
<p id="p64">
Wir	w6948
N	w6949
<g/>
.
N	w6951
<g/>
.
Superintendenten	w6953
und	w6954
Spitlmei=stere	w6955
<g/>
=
des	w6957
Burger	w6958
<g/>
=
spitals	w6960
in	w6961
Wien	w6962
<g/>
,
geben	w6964
hiemit	w6965
jedermanniglich	w6966
zu	w6967
vernehmen	w6968
<g/>
:
Es	w6970
seye	w6971
über	w6972
das	w6973
wegen	w6974
in	w6975
Verstoß	w6976
gerahten	w6977
Widmayrischen	w6978
Origi=nal	w6979
<g/>
=
<g/>
=
schuld	w6982
<g/>
=
schein	w6984
<g/>
,
und	w6986
Satz	w6987
<g/>
=
auszug	w6989
bereits	w6990
den	w6991
13	w6992
Decemb	w6993
<g/>
.
1757	w6995
<g/>
.
auf	w6997
1	w6998
<g/>
.
Jahr	w7000
6	w7001
<g/>
.
Wochen	w7003
und	w7004
3	w7005
Täg	w7006
affigirt	w7007
geweste	w7008
Amortisations	w7009
<g/>
=
edict	w7011
<g/>
,
und	w7013
über	w7014
die	w7015
von	w7016
Franz	w7017
Bachmayr	w7018
<g/>
,
Bäcker	w7020
<g/>
=
meimeistern	w7022
<g/>
=
</p>
<p id="p65">
stern	w7024
zu	w7025
Penzing	w7026
den	w7027
31	w7028
<g/>
.
May	w7030
dies	w7031
Jahrs	w7032
ange=suchte	w7033
<g/>
=
Ertheilung	w7035
eines	w7036
Videmus	w7037
von	w7038
obig	w7039
<g/>
=
in	w7041
unserem	w7042
Grund	w7043
<g/>
-
buch	w7045
eingetragenen	w7046
Satz	w7047
<g/>
=
brief	w7049
sub	w7050
Dato	w7051
6	w7052
<g/>
.
Sept	w7054
<g/>
.
2	w7056
<g/>
.
a	w7058
<g/>
.
c	w7060
<g/>
.
veranlasset	w7062
worden	w7063
<g/>
,
daß	w7065
ein	w7066
nochmaliges	w7067
Amortisations	w7068
<g/>
-
edict	w7070
mit	w7071
Ausschliessung	w7072
der	w7073
bevorstehenden	w7074
Wein	w7075
<g/>
=
lös	w7077
<g/>
=
fe=rien	w7079
<g/>
=
affigiret	w7081
<g/>
,
und	w7083
einmal	w7084
in	w7085
die	w7086
Zeitung	w7087
gedru=cket	w7088
<g/>
=
werden	w7090
solle	w7091
<g/>
.
Solchemnach	w7093
werden	w7094
diejenige	w7095
Partheyen	w7096
<g/>
,
welche	w7098
wegen	w7099
von	w7100
Paul	w7101
Bachmayr	w7102
<g/>
,
Bäcker	w7104
<g/>
=
meistern	w7106
zu	w7107
Penzing	w7108
auf	w7109
einen	w7110
Schuld=schein	w7111
<g/>
=
de	w7113
Dato	w7114
16	w7115
<g/>
.
Junii	w7117
1739	w7118
<g/>
.
sowol	w7120
um	w7121
nach	w7122
und	w7123
nach	w7124
abgegebene	w7125
Brod	w7126
<g/>
=
sorten	w7128
an	w7129
Franz	w7130
Carl	w7131
Widmayr	w7132
zu	w7133
fordern	w7134
gehabten	w7135
auf	w7136
des	w7137
Paul	w7138
Bach=mayr	w7139
<g/>
=
zeitliches	w7141
Hinscheiden	w7142
aber	w7143
seinem	w7144
Sohn	w7145
obigen	w7146
Franz	w7147
Bachmayr	w7148
<g/>
,
nebst	w7150
übriger	w7151
Verlas=senschaft	w7152
<g/>
=
angediehene	w7154
121	w7155
<g/>
.
fl	w7157
<g/>
.
cum	w7159
sua	w7160
causa	w7161
von	w7162
dem	w7163
untern	w7164
26	w7165
<g/>
.
Julii	w7167
1741	w7168
<g/>
.
auf	w7170
die	w7171
halbe	w7172
Uber=theurung	w7173
<g/>
=
des	w7175
Widmayrischen	w7176
den	w7177
6	w7178
<g/>
.
Junii	w7180
1746	w7181
<g/>
.
an	w7183
Johann	w7184
Köllinger	w7185
<g/>
,
und	w7187
Anna	w7188
Maria	w7189
dessen	w7190
Ehe	w7191
<g/>
=
wirtin	w7193
gegen	w7194
Bezahlung	w7195
deren	w7196
Schulden	w7197
verkauften	w7198
Hauses	w7199
in	w7200
Rusten	w7201
gegen	w7202
ermeldeten	w7203
Penzing	w7204
