<doc id="wr_1761-09-26" attrs="word" year="1761" month="09" day="26" corpus="2">
<head id="h2_d590e2570">
St.	w1_d590e2574
Gold	w1_d590e13420
zwischen	w3_d590e13423
11.	w5_d590e13426
und	w7_d590e13429
12.	w9_d590e13432
Uhr	w11_d590e13435
Vormittags	w13_d590e13439
ver	w15_d590e13442
loren	w1_d590e13448
gegangen;	w3_d590e13451
wer	w5_d590e13454
solchen	w7_d590e13457
gefunden,	w9_d590e13460
wird	w11_d590e13463
er	w13_d590e13467
suchet,	w1_d590e13472
solches	w3_d590e13475
bey	w5_d590e13478
dem	w7_d590e13481
Verleger	w9_d590e13484
des	w11_d590e13487
Wienerl	w13_d590e13491
</p>
<p id="p10_d590e13496">
schen	w1_d590e13500
Diarii	w3_d590e13503
anzuzeigen,	w5_d590e13506
und	w7_d590e13509
für	w9_d590e13512
sich	w11_d590e13515
eine	w13_d590e13519
selbst	w15_d590e13522
beliebige	w1_d590e13527
Diseretion	w3_d590e13530
davon	w5_d590e13533
zu	w7_d590e13536
behalten.	w9_d590e13539
</p>
<p id="p12_d590e13543">
Von	w1_d590e13547
dem	w3_d590e13550
K.	w5_d590e13553
K.	w7_d590e13556
Stadt	w9_d590e13559
und	w11_d590e13562
Land=gericht	w13_d590e13566
Wien	w1_d590e13571
denen	w3_d590e13574
in	w5_d590e13577
dem	w7_d590e13580
Andre	w9_d590e13583
Arthoferischen	w11_d590e13586
Cri	w13_d590e13590
dä=abschied	w1_d590e13595
in	w3_d590e13598
classe	w5_d590e13601
42a.	w7_d590e13604
einkommendArthofe	w9_d590e13607
rischen	w1_d590e13613
Creditoren,	w3_d590e13616
benanntl.	w5_d590e13619
Andre	w7_d590e13622
Rauch,	w9_d590e13625
Bur	w11_d590e13628
gerl.	w1_d590e13633
Fleischhacker=meistern,	w3_d590e13636
Johann	w5_d590e13639
Glöckler,	w7_d590e13642
Caspar	w1_d590e13647
Bischof,	w3_d590e13650
Johann	w5_d590e13653
Michael	w7_d590e13656
Stöckel,	w9_d590e13659
Franz	w11_d590e13662
Knotz,	w1_d590e13667
Johann	w3_d590e13670
Georg	w5_d590e13673
Cartell,	w7_d590e13676
Theresiä	w9_d590e13679
Aichmay	w11_d590e13682
rin,	w1_d590e13688
denen	w3_d590e13691
gesammt=Mollischen	w5_d590e13694
Erben,	w7_d590e13697
Joseph	w9_d590e13700
Wolfschack	w1_d590e13705
mandatario	w3_d590e13708
nomine,	w5_d590e13711
des	w7_d590e13714
Ferdinand	w9_d590e13717
Parzers	w1_d590e13722
und	w3_d590e13725
Christoph	w5_d590e13728
Müller,	w7_d590e13731
nomine	w9_d590e13734
Ambry	w11_d590e13737
und	w1_d590e13742
Bammüller,	w3_d590e13745
Annä	w5_d590e13748
Mariä	w7_d590e13751
Prunerin,	w9_d590e13754
Ma	w11_d590e13757
thiä	w1_d590e13763
Schneider,	w3_d590e13766
Anton	w5_d590e13769
Mittermayr,	w7_d590e13772
Johann	w9_d590e13775
Se	w11_d590e13778
bastian	w1_d590e13783
Lämmer,	w3_d590e13786
Johann	w5_d590e13789
Georg	w7_d590e13792
Zillich,	w9_d590e13795
Hrn.	w11_d590e13798
Franz	w1_d590e13803
Schreffel,	w3_d590e13806
K.	w5_d590e13809
K.	w7_d590e13812
Proviant=verwaltern,	w9_d590e13815
Mariä	w1_d590e13820
Anna	w3_d590e13823
Gasseckerin,	w5_d590e13826
vorhin	w7_d590e13829
verehligten	w9_d590e13832
Schenkin,	w1_d590e13838
und	w3_d590e13841
Johann	w5_d590e13844
Georg	w7_d590e13847
Seif	w9_d590e13850
anzuzeigen;	w11_d590e13853
Was	w1_d590e13858
massen	w3_d590e13861
sie	w5_d590e13864
ernannte	w7_d590e13867
Creditores	w9_d590e13870
in	w11_d590e13873
dem	w13_d590e13877
ob	w15_d590e13880
angeführten	w1_d590e13885
Cridä=abschied	w3_d590e13888
in	w5_d590e13891
die	w7_d590e13894
4te	w9_d590e13897
Claß	w11_d590e13900
der	w13_d590e13904
gestalten	w1_d590e13909
eingetheilet	w3_d590e13912
worden,	w5_d590e13915
wann	w7_d590e13918
sie	w9_d590e13921
nämli	w11_d590e13924
chen	w1_d590e13930
vorhero	w3_d590e13933
ihre	w5_d590e13936
bey	w7_d590e13939
der	w9_d590e13942
Arthoferischen	w11_d590e13945
Cridä	w13_d590e13949
massa	w1_d590e13954
angemeldete	w3_d590e13957
Forderungen	w5_d590e13960
rechtlichen	w7_d590e13963
erwie	w9_d590e13966
sen	w1_d590e13971
haben	w3_d590e13974
werden;	w5_d590e13977
wie	w7_d590e13980
zumalen	w9_d590e13983
nun	w11_d590e13986
aber	w13_d590e13990
bis	w15_d590e13993
jetzthero	w1_d590e13998
von	w3_d590e14001
denenselben	w5_d590e14004
zu	w7_d590e14007
der	w9_d590e14010
diesfälligen	w11_d590e14013
Li	w13_d590e14017
quidirung	w1_d590e14023
nicht	w3_d590e14026
abgeschritten,	w5_d590e14029
noch	w7_d590e14032
sonsten	w9_d590e14035
in	w11_d590e14038
dachen	w1_d590e14043
etwas	w3_d590e14046
fürgekehret	w5_d590e14049
worden,	w7_d590e14052
dahero	w9_d590e14055
der	w11_d590e14058
Arthoferische	w1_d590e14063
Hr.	w3_d590e14066
Curator	w5_d590e14069
ad	w7_d590e14072
lites	w9_d590e14075
gebetten,	w11_d590e14078
wo	w13_d590e14082
mit	w1_d590e14087
in	w3_d590e14090
die	w5_d590e14093
Desertirung	w7_d590e14096
der	w9_d590e14099
diesfällig	w11_d590e14102
denenselben	w13_d590e14106
aufgetragenen	w1_d590e14112
Anforderungs=liquidirung	w3_d590e14115
abso	w5_d590e14118
lute	w1_d590e14123
gewilliget	w3_d590e14126
werden	w5_d590e14129
möchte;	w7_d590e14132
und	w9_d590e14135
da	w11_d590e14138
hierüber	w13_d590e14142
die	w1_d590e14147
gewönliche	w3_d590e14150
Verordnung:	w5_d590e14153
die	w7_d590e14156
Handlung	w9_d590e14159
der	w11_d590e14162
Nohtdurft	w1_d590e14167
inner	w3_d590e14170
14.	w5_d590e14173
Tägen	w7_d590e14176
aufzulegen,	w9_d590e14179
ergan	w11_d590e14182
gen,	w1_d590e14188
untereinstens	w3_d590e14191
auch,	w5_d590e14194
weilen	w7_d590e14197
ihrer	w9_d590e14200
Credito	w11_d590e14203
ren	w1_d590e14208
dermaliger	w3_d590e14211
Aufenthalt	w5_d590e14214
nicht	w7_d590e14217
bekannt,	w9_d590e14220
wegen	w11_d590e14223
Jutimirung	w1_d590e14228
der	w3_d590e14231
erst=bemeldeten	w5_d590e14234
Verordnung	w7_d590e14237
das	w9_d590e14240
gewöhnliche	w1_d590e14245
Edictum	w3_d590e14248
ad	w5_d590e14251
Valvas	w7_d590e14254
bey	w9_d590e14257
der	w11_d590e14260
Canzley	w13_d590e14264
auszufertigen	w1_d590e14270
veranlasset	w3_d590e14273
worden.	w5_d590e14276
</p>
<p id="p14_d590e14279">
Solchemnach	w1_d590e14283
wird	w3_d590e14286
ihnen	w5_d590e14289
Eingangs=erwehnten	w7_d590e14292
Arthoferischen	w1_d590e14297
Creditoren	w3_d590e14300
die	w5_d590e14303
hievon	w7_d590e14306
mentionirte	w9_d590e14309
Nohtdurfts=handlungs=auflag	w1_d590e14314
in	w3_d590e14317
Kraft	w5_d590e14320
eines	w7_d590e14323
Ge	w9_d590e14326
richts=üblichen	w1_d590e14332
Termins	w3_d590e14335
von	w5_d590e14338
unten	w7_d590e14341
gesetztem	w9_d590e14344
Da	w11_d590e14347
to	w1_d590e14352
an,	w3_d590e14355
das	w5_d590e14358
ist:	w7_d590e14361
bis	w9_d590e14364
auf	w11_d590e14367
den	w13_d590e14371
28.	w15_d590e14374
inlebenden	w17_d590e14377
Mo	w19_d590e14380
nats	w1_d590e14385
Septemb.	w3_d590e14388
hiemit	w5_d590e14391
anerinneret,	w7_d590e14394
wornach	w9_d590e14397
sich	w11_d590e14400
in	w1_d590e14405
allweg	w3_d590e14408
zu	w5_d590e14411
richten,	w7_d590e14414
und	w9_d590e14417
ihrem	w11_d590e14420
Juri	w13_d590e14424
zu	w15_d590e14427
invigi	w17_d590e14430
liren	w1_d590e14436
wissen	w3_d590e14439
werden.	w5_d590e14442
Actum	w7_d590e14445
Wien	w9_d590e14448
den	w11_d590e14451
3.	w13_d590e14455
Sept.	w15_d590e14458
1761.	w17_d590e14461
</p>
<p id="p16_d590e14464">
Von	w1_d590e14468
dem	w3_d590e14471
Kaiserl.	w5_d590e14474
Königl.	w7_d590e14477
Stadt	w9_d590e14480
und	w11_d590e14483
Land	w13_d590e14487
gericht	w1_d590e14492
Wien,	w3_d590e14495
denen	w5_d590e14498
in	w7_d590e14501
dem	w9_d590e14504
Andrä	w11_d590e14507
Arthofferi	w13_d590e14511
schen	w1_d590e14516
Cridä	w3_d590e14519
abschied	w5_d590e14522
Classe	w7_d590e14525
4ta.	w9_d590e14528
einkommenden	w11_d590e14531
Creditoren	w1_d590e14537
benanntlichen	w3_d590e14540
dem	w5_d590e14543
Johann	w7_d590e14546
Speck,	w9_d590e14549
Burgerl.	w1_d590e14554
Bräumeistern,	w3_d590e14557
Johann	w5_d590e14560
Georg	w7_d590e14563
Gärber,	w9_d590e14566
Herr	w1_d590e14571
Baron	w3_d590e14574
von	w5_d590e14577
Schallenheimb,	w7_d590e14580
Niclas	w9_d590e14583
Maje	w11_d590e14586
natti,	w1_d590e14591
Johann	w3_d590e14594
Klöckler,	w5_d590e14597
Jacob	w7_d590e14600
Forstner,	w9_d590e14603
Bur	w11_d590e14606
gerl.	w1_d590e14612
Glaser=meistern,	w3_d590e14615
Christoph	w5_d590e14618
Erb,	w7_d590e14621
K.	w9_d590e14624
K.	w11_d590e14627
Salz=fertigern	w1_d590e14632
zu	w3_d590e14635
Gmunten,	w5_d590e14638
weil.	w7_d590e14641
Christoph	w9_d590e14644
Kastlberger,	w1_d590e14649
gewesten	w3_d590e14652
Schoppermeisters	w5_d590e14655
seel.	w7_d590e14658
Wit	w9_d590e14661
tib	w1_d590e14666
und	w3_d590e14669
Kindern,	w5_d590e14672
Andrä	w7_d590e14675
Bibl,	w9_d590e14678
Ferdinand	w11_d590e14681
Bra	w13_d590e14685
</p>
<p id="p18_d590e14688">
müller,	w1_d590e14692
weil.	w3_d590e14695
Martin	w5_d590e14698
Gutscherka	w7_d590e14701
seel.	w9_d590e14704
hinterlas	w11_d590e14707
senen	w1_d590e14712
Erben,	w3_d590e14715
Georg	w5_d590e14718
Emanuel,	w7_d590e14721
Hirschl	w9_d590e14724
Jacob	w11_d590e14727
Juden,	w1_d590e14732
Löw	w3_d590e14735
Mayer	w5_d590e14738
Juden	w7_d590e14741
cess.	w9_d590e14744
nomine	w11_d590e14747
Jacob	w13_d590e14751
Kurzleben,	w1_d590e14757
Franz	w3_d590e14760
Andra	w5_d590e14763
Lechner,	w7_d590e14766
Anton	w9_d590e14769
Kastner,	w11_d590e14772
Christoph	w1_d590e14777
Kibelbeck,	w3_d590e14780
Herr	w5_d590e14783
Johann	w7_d590e14786
Nordt	w9_d590e14789
Me-	w11_d590e14792
dicinæ	w1_d590e14797
Doctori,	w3_d590e14800
Ferdinand	w5_d590e14803
Koch,	w7_d590e14806
Daniel	w9_d590e14809
Wol	w11_d590e14812
gemut,	w1_d590e14817
Andrä	w3_d590e14820
Funk,	w5_d590e14823
gewest	w7_d590e14826
Arthofferischen	w9_d590e14829
Schif=knecht,	w1_d590e14835
Virag	w3_d590e14838
Janos,	w5_d590e14841
Franz	w7_d590e14844
Kurz,	w9_d590e14847
Mat	w11_d590e14850
hiä	w1_d590e14855
Pritz,	w3_d590e14858
Johann	w5_d590e14861
Georg	w7_d590e14864
Seif,	w9_d590e14867
Anton	w11_d590e14870
Nobar	w13_d590e14874
zeck,	w1_d590e14879
und	w3_d590e14882
Franz	w5_d590e14885
Czichi	w7_d590e14888
hiemit	w9_d590e14891
anzufügen:	w11_d590e14894
Dem	w13_d590e14898
nach	w1_d590e14903
sie	w3_d590e14906
erst	w5_d590e14909
gedachte	w7_d590e14912
Credits=partheyen	w9_d590e14915
mit	w11_d590e14918
ih	w13_d590e14922
ren	w1_d590e14928
gestellten	w3_d590e14931
Anforderungen	w5_d590e14934
in	w7_d590e14937
die	w9_d590e14940
vierte	w11_d590e14943
Claß	w13_d590e14947
des	w1_d590e14952
obbesagten	w3_d590e14955
Cridä=abschieds	w5_d590e14958
mit	w7_d590e14961
der	w9_d590e14964
Beding	w11_d590e14967
nuß	w1_d590e14972
eingetheilet	w3_d590e14975
worden,	w5_d590e14978
daß	w7_d590e14981
nämlichen	w9_d590e14984
ein	w11_d590e14987
je	w13_d590e14991
der	w1_d590e14996
aus	w3_d590e14999
ihnen	w5_d590e15002
den	w7_d590e15005
wahrhaften	w9_d590e15008
Betrag	w11_d590e15011
und	w13_d590e15015
Ruck	w15_d590e15018
stand	w1_d590e15024
seiner	w3_d590e15027
Prätension,	w5_d590e15030
mittelst	w7_d590e15033
Abschwörung	w9_d590e15036
eines	w1_d590e15041
cörperlichen	w3_d590e15044
Eids,	w5_d590e15047
und	w7_d590e15050
Producirung	w9_d590e15053
deren	w11_d590e15056
diesfälligen	w1_d590e15061
Schuld=verschreibungen	w3_d590e15064
zu	w5_d590e15067
liquidiren	w7_d590e15070
gehalten	w1_d590e15075
seyn	w3_d590e15078
solle,	w5_d590e15081
deme	w7_d590e15084
nun	w9_d590e15087
aber	w11_d590e15090
ein	w13_d590e15094
oder	w15_d590e15097
an	w17_d590e15100
derer	w1_d590e15106
Seits	w3_d590e15109
von	w5_d590e15112
sa	w7_d590e15115
geraumer	w9_d590e15118
Zeit	w11_d590e15121
her	w13_d590e15125
der	w15_d590e15128
schul	w17_d590e15131
dige	w1_d590e15136
Vollzug	w3_d590e15139
nicht	w5_d590e15142
geleistet	w7_d590e15145
worden	w9_d590e15148
ist,	w11_d590e15151
und	w13_d590e15155
da	w15_d590e15158
hero	w1_d590e15163
der	w3_d590e15166
diesfällig=Arthofferische	w5_d590e15169
Herr	w7_d590e15172
Curator	w9_d590e15175
schriftlichen	w1_d590e15180
angelanget,	w3_d590e15183
und	w5_d590e15186
gebetten,	w7_d590e15189
daß	w9_d590e15192
ih	w11_d590e15195
nen	w1_d590e15201
gesamten	w3_d590e15204
Creditoren	w5_d590e15207
die	w7_d590e15210
alsobaldige	w9_d590e15213
Liquidi	w11_d590e15216
rung	w1_d590e15221
ihrer	w3_d590e15224
Forderung	w5_d590e15227
bey	w7_d590e15230
würkl.	w9_d590e15233
Desertirung	w11_d590e15236
auf	w13_d590e15240
erleget	w1_d590e15245
werden	w3_d590e15248
möchte.	w5_d590e15251
Zu	w7_d590e15254
welchem	w9_d590e15257
Ende	w11_d590e15260
dann	w13_d590e15264
ein	w1_d590e15269
Judicial=tagsatzung	w3_d590e15272
auf	w5_d590e15275
den	w7_d590e15278
28.	w9_d590e15281
dies	w11_d590e15284
lauf	w13_d590e15288
senden	w1_d590e15294
Monats	w3_d590e15297
Sept.	w5_d590e15300
fruh	w7_d590e15303
um	w9_d590e15306
8.	w11_d590e15309
Uhr	w13_d590e15313
auf	w15_d590e15316
dem	w17_d590e15319
K.	w1_d590e15324
K.	w3_d590e15327
Stadt	w5_d590e15330
und	w7_d590e15333
Land=gericht	w9_d590e15336
alhier	w11_d590e15339
ad	w13_d590e15343
juran-	w15_d590e15346
dum	w1_d590e15351
und	w3_d590e15354
respective	w5_d590e15357
liquidandum	w7_d590e15360
peremptorie	w9_d590e15363
zu	w11_d590e15366
erscheinen	w1_d590e15371
bestimmet	w3_d590e15374
worden.	w5_d590e15377
Als	w7_d590e15380
wird	w9_d590e15383
allen,	w11_d590e15386
und	w1_d590e15392
jeden	w3_d590e15395
aus	w5_d590e15398
denen	w7_d590e15401
obbemeldten	w9_d590e15404
Creditoren	w11_d590e15407
(zu	w13_d590e15411
malen	w1_d590e15416
derenselben	w3_d590e15419
Aufenthalt	w5_d590e15422
nicht	w7_d590e15425
bekannt)	w9_d590e15428
die	w11_d590e15431
erst	w1_d590e15436
erwähnt	w3_d590e15439
peremptorische	w5_d590e15442
Tagsatzung	w7_d590e15445
in	w9_d590e15448
Kraft	w11_d590e15451
gegenwärtig	w1_d590e15456
offenen	w3_d590e15459
Edicts	w5_d590e15462
mittelst	w7_d590e15465
Ansetzung	w9_d590e15468
ei	w11_d590e15471
nes	w1_d590e15477
zulänglichen	w3_d590e15480
Valval=termins	w5_d590e15483
hiermit	w7_d590e15486
aner	w9_d590e15489
inneret;	w1_d590e15494
diesemnach	w3_d590e15497
dieselbe	w5_d590e15500
an	w7_d590e15503
den	w9_d590e15506
mentionirten	w11_d590e15509
Tag,	w1_d590e15514
Stund,	w3_d590e15517
und	w5_d590e15520
Ort	w7_d590e15523
gebührend	w9_d590e15526
zu	w11_d590e15529
erscheinen,	w13_d590e15533
und	w1_d590e15538
ihrem	w3_d590e15541
Juri	w5_d590e15544
behörig	w7_d590e15547
zu	w9_d590e15550
invigiliren	w11_d590e15553
wissen	w13_d590e15557
werden.	w15_d590e15560
</p>
<p id="p20_d590e15563">
Mit	w1_d590e15567
Genehmhaltung	w3_d590e15570
hoher	w5_d590e15573
Obrigkeit	w7_d590e15576
wird	w9_d590e15579
dem	w1_d590e15584
Publico	w3_d590e15587
zu	w5_d590e15590
wissen	w7_d590e15593
gemacht,	w9_d590e15596
daß	w11_d590e15599
Herr	w13_d590e15603
Jo	w15_d590e15606
hann	w1_d590e15611
Götz,	w3_d590e15614
privilegirter	w5_d590e15617
Hof=bandmacher	w7_d590e15620
der	w9_d590e15623
Mariä	w1_d590e15629
Theresiä	w3_d590e15632
Ritter=ordens=bänder	w5_d590e15635
sein	w7_d590e15638
Ver	w9_d590e15641
schleissungs=ort	w1_d590e15646
bey	w3_d590e15649
Hrn.	w5_d590e15652
Dominico	w7_d590e15655
Nicolao	w9_d590e15658
Mayer,	w11_d590e15661
Burgerl.	w1_d590e15666
Handls=mann	w3_d590e15669
beym	w5_d590e15672
grünen	w7_d590e15675
Hut	w9_d590e15678
in	w11_d590e15681
der	w13_d590e15685
Bogner=gassen	w1_d590e15690
habe.	w3_d590e15693
</p>
<p id="p22_d590e15696">
Wir	w1_d590e15700
N.	w3_d590e15703
N.	w5_d590e15706
Superintendenten,	w7_d590e15709
und	w9_d590e15712
Spitlmei	w11_d590e15715
ster	w1_d590e15720
der	w3_d590e15723
Burger	w5_d590e15726
Spital	w7_d590e15729
in	w9_d590e15732
Wien,	w11_d590e15735
geben	w13_d590e15739
hiemit	w15_d590e15742
jedermänniglich	w1_d590e15747
zu	w3_d590e15750
vernehmen:	w5_d590e15753
daß	w7_d590e15756
jene	w9_d590e15759
Partbey,	w11_d590e15762
so	w1_d590e15768
von	w3_d590e15771
dem	w5_d590e15774
über	w7_d590e15777
die	w9_d590e15780
von	w11_d590e15783
Mathia	w13_d590e15787
Anton	w15_d590e15790
Fridschall,	w17_d590e15793
&	w1_d590e15798
Dorothea	w3_d590e15801
unore	w5_d590e15804
den	w7_d590e15807
29.	w9_d590e15810
April	w11_d590e15813
1730.	w13_d590e15817
an	w15_d590e15820
Jo	w17_d590e15823
hann	w1_d590e15828
Georg	w3_d590e15831
Prunmayr.	w5_d590e15834
Steinmetz=meister	w7_d590e15837
al	w9_d590e15840
hier,	w1_d590e15845
&	w3_d590e15848
Barbe	w5_d590e15851
m	w7_d590e15854
uxerem	w9_d590e15857
ausgestellt	w11_d590e15860
certiorirte	w13_d590e15864
Obligation	w1_d590e15870
sub	w3_d590e15873
Dato	w5_d590e15876
8.	w7_d590e15879
May	w9_d590e15882
1730.	w11_d590e15885
ausgefertigt	w13_d590e15889
auf	w1_d590e15894
sein	w3_d590e15897
Prunmayrs=Absterben	w5_d590e15900
der	w7_d590e15903
Wittib	w9_d590e15906
Bar	w11_d590e15909
barä,	w1_d590e15914
und	w3_d590e15917
auf	w5_d590e15920
deroselben	w7_d590e15923
gleichmäßiges	w9_d590e15926
Absterben	w11_d590e15929
ihrer	w1_d590e15934
Tochter	w3_d590e15937
Theresia,	w5_d590e15940
verehelichten	w7_d590e15943
Wasserbur	w9_d590e15946
</p>
<p id="p26_d590e15952">
gerin	w1_d590e15956
erblich	w3_d590e15959
zugekommen,	w5_d590e15962
von	w7_d590e15965
dieser	w9_d590e15968
hingegen	w11_d590e15971
den	w1_d590e15976
5.	w3_d590e15979
Junii	w5_d590e15982
1736.	w7_d590e15985
dem	w9_d590e15988
Herrn	w11_d590e15991
Gandentio	w13_d590e15995
Be	w15_d590e15998
trosi,	w1_d590e16003
Hof=befreyten	w3_d590e16006
Lederer	w5_d590e16009
zu	w7_d590e16012
St.	w9_d590e16015
Ulrich	w11_d590e16018
ce	w13_d590e16022
dirt	w1_d590e16028
und	w3_d590e16031
nach	w5_d590e16034
dessen	w7_d590e16037
Todfall	w9_d590e16040
der	w11_d590e16043
Jungfrauen	w13_d590e16047
Maria	w1_d590e16052
Anna	w3_d590e16055
Petrosin,	w5_d590e16058
auf	w7_d590e16061
deroselben	w9_d590e16064
zeitlichen	w11_d590e16067
Hintritt	w1_d590e16072
aber	w3_d590e16075
der	w5_d590e16078
Jungfrauen	w7_d590e16081
Barbara	w9_d590e16084
Petrosin	w11_d590e16087
zugetheilt	w1_d590e16092
und	w3_d590e16095
von	w5_d590e16098
derselben	w7_d590e16101
an	w9_d590e16104
Herrn	w11_d590e16107
Carl	w13_d590e16111
Jo	w15_d590e16114
seph	w1_d590e16120
Petrosi,	w3_d590e16123
von	w5_d590e16126
diesem	w7_d590e16129
hingegen	w9_d590e16132
den	w11_d590e16135
29.	w13_d590e16139
No	w15_d590e16142
vemb.	w1_d590e16147
1749.	w3_d590e16150
an	w5_d590e16153
Andreä	w7_d590e16156
Jordann,	w9_d590e16159
&	w11_d590e16162
Theresiam	w13_d590e16166
uxorem	w1_d590e16171
cedirten,	w3_d590e16174
und	w5_d590e16177
von	w7_d590e16180
ihnen	w9_d590e16183
Jordanischen	w11_d590e16186
Conpersonen,	w1_d590e16191
als	w3_d590e16194
nunmehrig=Fridschallischen	w5_d590e16197
Haus=kauffern	w1_d590e16203
ad	w3_d590e16206
cassandum	w5_d590e16209
beygebracht	w7_d590e16212
einem	w9_d590e16215
Vidimus	w1_d590e16220
ähnlichen	w3_d590e16223
Satz=brief	w5_d590e16226
pr.	w7_d590e16229
1000.	w9_d590e16232
fl.	w11_d590e16235
den	w13_d590e16239
sonst	w1_d590e16244
gewöhnlicher	w3_d590e16247
massen	w5_d590e16250
gefertigten	w7_d590e16253
Original	w9_d590e16256
Satz=auszug	w1_d590e16261
etwa	w3_d590e16264
in	w5_d590e16267
Handen	w7_d590e16270
haben,	w9_d590e16273
von	w11_d590e16276
heut	w13_d590e16280
Dato	w1_d590e16286
inner	w3_d590e16289
1.	w5_d590e16292
Jahr,	w7_d590e16295
6.	w9_d590e16298
Wochen,	w11_d590e16301
und	w13_d590e16305
3.	w15_d590e16308
Täg	w17_d590e16311
bey	w1_d590e16316
dem	w3_d590e16319
Burger=spitals=grund=buch	w5_d590e16322
sub	w7_d590e16325
1mo.	w9_d590e16328
2do.	w1_d590e16333
&	w3_d590e16336
3tio.	w5_d590e16339
Terinino	w7_d590e16342
also	w9_d590e16345
gewiß	w11_d590e16348
zu	w13_d590e16352
erscheinen,	w15_d590e16355
sothannen	w1_d590e16360
Original=satz=auszug	w3_d590e16363
mitzubringen,	w5_d590e16366
darzu	w1_d590e16372
sich	w3_d590e16375
zu	w5_d590e16378
legitimiren,	w7_d590e16381
und	w9_d590e16384
unter	w11_d590e16387
einstens	w13_d590e16391
ihre	w15_d590e16394
Forderung	w1_d590e16399
zu	w3_d590e16402
liquidiren	w5_d590e16405
habe,	w7_d590e16408
wie	w9_d590e16411
im	w11_d590e16414
widrigen,	w13_d590e16418
und	w1_d590e16423
in	w3_d590e16426
nicht	w5_d590e16429
Erscheinungs=fall	w7_d590e16432
der	w9_d590e16435
im	w11_d590e16438
Satz	w13_d590e16442
buch	w15_d590e16445
über	w1_d590e16450
den	w3_d590e16453
Spitlberg	w5_d590e16456
C.	w7_d590e16459
Fol.	w9_d590e16462
167.	w11_d590e16465
eingeschriebene	w13_d590e16469
Satz,	w1_d590e16475
nebst	w3_d590e16478
obig	w5_d590e16481
beygebrachten	w7_d590e16484
Vidimus	w9_d590e16487
ex	w11_d590e16490
officio	w1_d590e16495
caßiret,	w3_d590e16498
und	w5_d590e16501
darüberhin	w7_d590e16504
niemand	w9_d590e16507
mehr	w11_d590e16510
angehöret,	w1_d590e16515
sondern	w3_d590e16518
denen	w5_d590e16521
Ausbleibenden	w7_d590e16524
das	w9_d590e16527
ewige	w1_d590e16532
Stillschweigen	w3_d590e16535
auferleget	w5_d590e16538
werden	w7_d590e16541
solle.	w9_d590e16544
Da	w11_d590e16547
tum	w1_d590e16553
Wien	w3_d590e16556
den	w5_d590e16559
5.	w7_d590e16562
May	w9_d590e16565
1761.	w11_d590e16568
</p>
<p id="p28_d590e16571">
Wir	w1_d590e16575
Burgermeister	w3_d590e16578
Amts=verwalter	w5_d590e16581
und	w7_d590e16584
Raht	w9_d590e16587
der	w1_d590e16592
Stadt	w3_d590e16595
Wien,	w5_d590e16598
geben	w7_d590e16601
hiemit	w9_d590e16604
denen,	w11_d590e16607
so	w13_d590e16611
es	w15_d590e16614
zu	w1_d590e16619
wissen	w3_d590e16622
nöhtig,	w5_d590e16625
zu	w7_d590e16628
vernehmen:	w9_d590e16631
Es	w11_d590e16634
habe	w13_d590e16638
uns	w15_d590e16641
Herr	w1_d590e16647
Nicolaus	w3_d590e16650
Graf	w5_d590e16653
Salvatori	w7_d590e16656
de	w9_d590e16659
S.	w11_d590e16662
Nazro	w13_d590e16666
Tetelingo	w1_d590e16671
angezeiget:	w3_d590e16674
welchergestalten,	w5_d590e16677
nachdeme	w7_d590e16680
daß	w1_d590e16685
in	w3_d590e16688
der	w5_d590e16691
Alster=gassen	w7_d590e16694
nächst	w9_d590e16697
dem	w11_d590e16700
grossen	w13_d590e16704
Ar	w15_d590e16707
men=haus	w1_d590e16712
ligend=Terlingoische	w3_d590e16715
Haus	w5_d590e16718
erblich	w7_d590e16721
an	w9_d590e16724
ihne	w1_d590e16730
gediehen,	w3_d590e16733
es	w5_d590e16736
nunmehro	w7_d590e16739
an	w9_d590e16742
deme	w11_d590e16745
seye,	w13_d590e16749
daß	w15_d590e16752
selber	w1_d590e16757
auch	w3_d590e16760
an	w5_d590e16763
Nutz	w7_d590e16766
und	w9_d590e16769
Gwöhr	w11_d590e16772
geschrieben	w13_d590e16776
wer	w15_d590e16779
den	w1_d590e16784
solle;	w3_d590e16787
wie	w5_d590e16790
zumalen	w7_d590e16793
aber	w9_d590e16796
die	w11_d590e16799
von	w13_d590e16803
denen	w15_d590e16806
vor	w17_d590e16809
hinigen	w1_d590e16814
Haus=eigentümern	w3_d590e16817
beygehabte	w5_d590e16820
Legitima	w7_d590e16823
tionen,	w1_d590e16829
Sätz	w3_d590e16832
und	w5_d590e16835
Documenta	w7_d590e16838
nicht	w9_d590e16841
zu	w11_d590e16844
Handen	w13_d590e16848
zu	w1_d590e16853
bringen	w3_d590e16856
wären,	w5_d590e16859
hat	w7_d590e16862
selber	w9_d590e16865
um	w11_d590e16868
Affigirung	w13_d590e16872
ei	w15_d590e16875
nes	w1_d590e16880
Valval=edicts	w3_d590e16883
bey	w5_d590e16886
uns	w7_d590e16889
angelanget,	w9_d590e16892
und	w11_d590e16895
da	w13_d590e16899
wir	w1_d590e16904
in	w3_d590e16907
dieses	w5_d590e16910
Gesuch	w7_d590e16913
über	w9_d590e16916
erstatteten	w11_d590e16919
Grundbuchs	w13_d590e16923
handlers=bericht	w1_d590e16929
unterm	w3_d590e16932
10.	w5_d590e16935
