<doc id="wr_1760-01-19" attrs="word" year="1760" month="01" day="19" corpus="2">
<head id="h2_d416e2465">
Friedberg	w1_d416e2469
<head id="h2_d416e13273">
Vor	w1_d416e13277
der	w3_d416e13280
Stadt.	w5_d416e13283
</head>
<list id="l4_d416e13286">
Dem	w1_d416e13290
Thom.	w3_d416e13293
Aigner,	w5_d416e13296
ohne	w7_d416e13299
Condit.,	w9_d416e13302
s.	w11_d416e13305
W.	w13_d416e13309
Maria,	w15_d416e13312
in	w1_d416e13317
s.	w3_d416e13320
H.	w5_d416e13323
zu	w7_d416e13326
Mätzleinstorf,	w9_d416e13329
alt	w11_d416e13332
80.	w13_d416e13336
J.	w15_d416e13339
Theres.	w1_d416e13344
Koberweinin,	w3_d416e13347
Wittwe,	w5_d416e13350
in	w7_d416e13353
ihrem	w9_d416e13356
H.	w11_d416e13359
am	w13_d416e13363
Spitalberg,	w1_d416e13369
alt	w3_d416e13372
64.	w5_d416e13375
J.	w7_d416e13378
Der	w1_d416e13383
Theres.	w3_d416e13386
Bredelbergerin.	w5_d416e13389
Wittwe,	w7_d416e13392
ihr	w9_d416e13395
K.	w11_d416e13398
Seba	w13_d416e13402
stian,	w1_d416e13407
bey	w3_d416e13410
der	w5_d416e13413
bl.	w7_d416e13416
Kugel	w9_d416e13419
in	w11_d416e13422
der	w13_d416e13426
Alster=gas.,	w15_d416e13429
5.	w17_d416e13432
J.	w19_d416e13435
Christina	w1_d416e13440
Piglerin,	w3_d416e13443
Wittwe,	w5_d416e13446
im	w7_d416e13449
Ruelandis.	w9_d416e13452
H.	w11_d416e13455
auf	w13_d416e13459
der	w1_d416e13465
Landstr.,	w3_d416e13468
alt	w5_d416e13471
60.	w7_d416e13474
J.	w9_d416e13477
</list>
<head id="h2_d416e13484">
Summa	w1_d416e13488
7.	w3_d416e13491
Person.	w5_d416e13494
/	w7_d416e13497
darunter	w9_d416e13500
2.	w11_d416e13503
Kind.	w13_d416e13507
</head>
<p id="p4_d416e13510">
Von	w1_d416e13514
Jhro	w3_d416e13517
Hochwürden	w5_d416e13520
und	w7_d416e13523
Gnaden	w9_d416e13526
Herrn	w11_d416e13529
Officialen	w1_d416e13534
und	w3_d416e13537
Venerabilis	w5_d416e13540
Archi-Episcopalis	w7_d416e13543
Consistorii	w1_d416e13548
Viennensis,	w3_d416e13551
wegen	w5_d416e13554
allen	w7_d416e13557
und	w9_d416e13560
jeden,	w11_d416e13563
welche	w1_d416e13569
bey	w3_d416e13572
und	w5_d416e13575
an	w7_d416e13578
des	w9_d416e13581
Weil.	w11_d416e13584
Franz	w13_d416e13588
Michael	w15_d416e13591
Weiß,	w17_d416e13594
gewest=weltlichen	w1_d416e13599
Priesters	w3_d416e13602
seel.	w5_d416e13605
Verlassenschaft	w7_d416e13608
etwas	w1_d416e13613
an	w3_d416e13616
Erbschaft,	w5_d416e13619
Schulden,	w7_d416e13622
oder	w9_d416e13625
auf	w11_d416e13628
allan	w13_d416e13632
dere	w1_d416e13637
Art	w3_d416e13640
und	w5_d416e13643
Weis	w7_d416e13646
zu	w9_d416e13649
forderen	w11_d416e13652
haben,	w13_d416e13656
oder	w15_d416e13659
zu	w17_d416e13662
haben	w1_d416e13668
vermeinen,	w3_d416e13671
hiemit	w5_d416e13674
anzufügen,	w7_d416e13677
daß	w9_d416e13680
eine	w11_d416e13683
Convocation	w1_d416e13688
verordnet,	w3_d416e13691
und	w5_d416e13694
mit	w7_d416e13697
Einschliessung	w9_d416e13700
der	w1_d416e13705
Weyhnacht=ferien	w3_d416e13708
auf	w5_d416e13711
den	w7_d416e13714
9.	w9_d416e13717
Monats=tag	w11_d416e13720
Februarii	w1_d416e13725
des	w3_d416e13728
lauffenden	w5_d416e13731
1760sten	w7_d416e13734
Jahrs	w9_d416e13737
Nach	w11_d416e13740
mittag	w1_d416e13746
um	w3_d416e13749
2.	w5_d416e13752
Uhr	w7_d416e13755
in	w9_d416e13758
der	w11_d416e13761
Erz=bischöfl.	w13_d416e13765
Consisto	w15_d416e13768
rial=canzley	w1_d416e13773
der	w3_d416e13776
Tag	w5_d416e13779
und	w7_d416e13782
Stund	w9_d416e13785
benennet	w11_d416e13788
seye.	w13_d416e13792
Solchemnach	w1_d416e13797
werden	w3_d416e13800
alle	w5_d416e13803
diejenige,	w7_d416e13806
so	w9_d416e13809
Eingangs	w11_d416e13812
ermeldeter	w1_d416e13817
massen	w3_d416e13820
sub	w5_d416e13823
quacunque	w7_d416e13826
causa	w9_d416e13829
vel	w11_d416e13832
ti-	w13_d416e13836
tulo	w1_d416e13842
etiam	w3_d416e13845
hæreditatis	w5_d416e13848
jure	w7_d416e13851
Sprüch	w9_d416e13854
haben,	w11_d416e13857
oder	w13_d416e13861
zu	w1_d416e13866
haben	w3_d416e13869
vermeinen,	w5_d416e13872
mit	w7_d416e13875
denenselben	w9_d416e13878
an	w11_d416e13881
bemeld	w13_d416e13885
ten	w1_d416e13890
Tag	w3_d416e13893
und	w5_d416e13896
Stund	w7_d416e13899
peremptorie	w9_d416e13902
cum	w11_d416e13905
clausula	w13_d416e13909
præclusi	w1_d416e13914
sub	w3_d416e13917
termino	w5_d416e13920
primo,	w7_d416e13923
secundo	w9_d416e13926
&	w11_d416e13929
tertio	w13_d416e13933
sich	w1_d416e13939
also	w3_d416e13942
gewiß	w5_d416e13945
anmelden;	w7_d416e13948
als	w9_d416e13951
im	w11_d416e13954
widrigen	w13_d416e13958
die	w15_d416e13961
Ausbleibende	w1_d416e13966
nicht	w3_d416e13969
mehr	w5_d416e13972
gehöret,	w7_d416e13975
sondern	w9_d416e13978
eo	w11_d416e13981
ipso	w1_d416e13986
mit	w3_d416e13989
ihren	w5_d416e13992
Sprüchen	w7_d416e13995
ausgeschlossen,	w9_d416e13998
&	w11_d416e14001
cum	w13_d416e14005
perpetuo	w1_d416e14010
silentio	w3_d416e14013
abgewiesen,	w5_d416e14016
und	w7_d416e14019
das	w9_d416e14022
Behörige	w11_d416e14025
ex	w1_d416e14031
officio	w3_d416e14034
vorgekehret	w5_d416e14037
werden	w7_d416e14040
solle.	w9_d416e14043
Ex	w11_d416e14046
Consi-	w13_d416e14050
storio	w1_d416e14055
Archi-Episcopali	w3_d416e14058
Viennensi	w5_d416e14061
den	w7_d416e14064
17.	w9_d416e14067
De	w11_d416e14070
cembris	w1_d416e14075
1759.	w3_d416e14078
</p>
<p id="p6_d416e14081">
Von	w1_d416e14085
des	w3_d416e14088
Löbl.	w5_d416e14091
Stift	w7_d416e14094
und	w9_d416e14097
Würdigen	w11_d416e14100
unser	w13_d416e14104
lie	w15_d416e14107
ben	w1_d416e14112
Frauen	w3_d416e14115
zum	w5_d416e14118
Schotten	w7_d416e14121
verordneten	w9_d416e14124
Hof	w11_d416e14127
und	w13_d416e14131
Grund=gericht	w1_d416e14136
wegen,	w3_d416e14139
wird	w5_d416e14142
hiemit	w7_d416e14145
jedermänni	w9_d416e14148
glich	w1_d416e14154
zu	w3_d416e14157
vernehmen:	w5_d416e14160
Es	w7_d416e14163
habe	w9_d416e14166
der	w11_d416e14169
gerichtlich	w13_d416e14173
con	w15_d416e14176
stituirt	w1_d416e14181
Adam	w3_d416e14184
Schendlische	w5_d416e14187
Herr	w7_d416e14190
Cur	w9_d416e14193
tor	w11_d416e14196
ad	w13_d416e14200
litas	w15_d416e14203
</p>
<p id="p12_d416e14217">
wegen	w1_d416e14221
Ausfertigung	w3_d416e14224
eines	w5_d416e14227
Haus=licitations=edicts	w7_d416e14230
die	w1_d416e14235
Auflage	w3_d416e14238
untern	w5_d416e14241
12.	w7_d416e14244
Decembris,	w9_d416e14247
vorigen	w11_d416e14250
Jahrs	w1_d416e14255
absolute	w3_d416e14258
verwilligter	w5_d416e14261
erhalten;	w7_d416e14264
zu	w9_d416e14267
welchem	w11_d416e14270
Ende	w1_d416e14276
dann	w3_d416e14279
auch	w5_d416e14282
hiemit	w7_d416e14285
der	w9_d416e14288
26.	w11_d416e14291
instehenden	w13_d416e14295
Mo	w15_d416e14298
nats	w1_d416e14303
Januarii	w3_d416e14306
dies	w5_d416e14309
Jahrs	w7_d416e14312
Vormittag	w9_d416e14315
um	w11_d416e14318
9.	w13_d416e14322
Uhr	w15_d416e14325
für	w1_d416e14330
diesseitig	w3_d416e14333
bestellte	w5_d416e14336
Hof	w7_d416e14339
und	w9_d416e14342
Grund=gericht	w11_d416e14345
zu	w1_d416e14350
erscheinen	w3_d416e14353
zu	w5_d416e14356
dergestalt	w7_d416e14359
peremptorisch=clausu	w9_d416e14362
lirten	w1_d416e14368
Tagsatzung	w3_d416e14371
bestimmet,	w5_d416e14374
und	w7_d416e14377
per	w9_d416e14380
Edictum	w11_d416e14383
ad	w1_d416e14388
valvas	w3_d416e14391
intimiret	w5_d416e14394
wird,	w7_d416e14397
daß	w9_d416e14400
alda	w11_d416e14403
mit	w13_d416e14407
dem	w15_d416e14410
vor	w17_d416e14413
kommend=Meistbietenden	w1_d416e14418
der	w3_d416e14421
Kauf	w5_d416e14424
um	w7_d416e14427
die	w9_d416e14430
in	w11_d416e14433
der	w13_d416e14437
Stadt	w1_d416e14442
zu	w3_d416e14445
nächst	w5_d416e14448
am	w7_d416e14451
Hof	w9_d416e14454
gelegen	w11_d416e14457
Schendlische	w13_d416e14461
Be	w15_d416e14464
hausung	w1_d416e14470
ex	w3_d416e14473
officio	w5_d416e14476
geschlossen,	w7_d416e14479
und	w9_d416e14482
solche	w11_d416e14485
gegen	w13_d416e14489
baaren	w1_d416e14494
Erlag	w3_d416e14497
des	w5_d416e14500
tractirenden	w7_d416e14503
Kauf=schillings	w9_d416e14506
käuflichen	w1_d416e14511
überlassen	w3_d416e14514
werden	w5_d416e14517
solle.	w7_d416e14520
Demnach	w9_d416e14523
all	w11_d416e14526
diejenige,	w1_d416e14531
welche	w3_d416e14534
berührt=Schendlische	w5_d416e14537
Behau	w7_d416e14540
sung	w1_d416e14546
käuflichen	w3_d416e14549
an	w5_d416e14552
sich	w7_d416e14555
zu	w9_d416e14558
bringen	w11_d416e14561
gedenken,	w13_d416e14565
an	w15_d416e14568
obbestimmten	w1_d416e14573
Tag	w3_d416e14576
und	w5_d416e14579
Stund	w7_d416e14582
alda	w9_d416e14585
zu	w11_d416e14588
erscheinen,	w13_d416e14592
und	w1_d416e14597
sich	w3_d416e14600
hiernach	w5_d416e14603
zu	w7_d416e14606
richten	w9_d416e14609
wissen	w11_d416e14612
werden.	w13_d416e14616
Actum	w15_d416e14619
Wien	w1_d416e14624
im	w3_d416e14627
Schotten=hof	w5_d416e14630
den	w7_d416e14633
7.	w9_d416e14636
Januarii	w11_d416e14639
1760.	w13_d416e14643
</p>
<p id="p14_d416e14646">
Von	w1_d416e14650
Grund=buchs	w3_d416e14653
wegen	w5_d416e14656
des	w7_d416e14659
Kaiserl.	w9_d416e14662
Stifts	w11_d416e14665
collegii	w1_d416e14670
allhier	w3_d416e14673
zu	w5_d416e14676
Mistelbach	w7_d416e14679
wird	w9_d416e14682
des	w11_d416e14685
Johann	w13_d416e14689
Vogl	w1_d416e14694
und	w3_d416e14697
Rosina	w5_d416e14700
dessen	w7_d416e14703
Ehe=wirtin,	w9_d416e14706
beyder	w11_d416e14709
seel.	w13_d416e14713
verlassene	w1_d416e14719
Behausung	w3_d416e14722
allda	w5_d416e14725
auf	w7_d416e14728
der	w9_d416e14731
Wieden,	w11_d416e14734
mit	w13_d416e14738
dem	w1_d416e14743
dargut	w3_d416e14746
radicirten	w5_d416e14749
Faß	w7_d416e14752
binder=gewerb,	w9_d416e14755
dann	w11_d416e14758
5.	w13_d416e14762
ein	w1_d416e14767
halb	w3_d416e14770
Joch	w5_d416e14773
Ueberländ=äcker,	w7_d416e14776
1.	w9_d416e14779
Viertl	w11_d416e14782
Wein	w13_d416e14786
garten	w1_d416e14791
in	w3_d416e14794
Johannes	w5_d416e14797
bergen,	w7_d416e14800
und	w9_d416e14803
1.	w11_d416e14806
Achtl	w13_d416e14810
in	w15_d416e14813
Stein	w17_d416e14816
hübl,	w1_d416e14822
drey	w3_d416e14825
Viertl	w5_d416e14828
Joch	w7_d416e14831
Holz	w9_d416e14834
äcker	w11_d416e14837
in	w13_d416e14841
Schlegerge	w15_d416e14844
biet,	w1_d416e14849
und	w3_d416e14852
1.	w5_d416e14855
Viertl	w7_d416e14858
Joch	w9_d416e14861
Holz=acker	w11_d416e14864
in	w13_d416e14868
Hittendor	w15_d416e14871
fer	w1_d416e14876
gebiet,	w3_d416e14879
ein	w5_d416e14882
Stadl	w7_d416e14885
hinter	w9_d416e14888
dem	w11_d416e14891
Spital,	w13_d416e14895
und	w15_d416e14898
einen	w17_d416e14901
gewölbten	w1_d416e14906
Wein=keller,	w3_d416e14909
an	w5_d416e14912
Kirchberg,	w7_d416e14915
der	w9_d416e14918
verhan	w11_d416e14921
dene	w1_d416e14927
heurige	w3_d416e14930
Wein,	w5_d416e14933
Fässer	w7_d416e14936
Preß,	w9_d416e14939
Bodungen,	w11_d416e14942
und	w13_d416e14946
andere	w1_d416e14951
Wirtschafts=effecten,	w3_d416e14954
Kühe,	w5_d416e14957
Schaf	w7_d416e14960
und	w9_d416e14963
Hühner=vieh,	w1_d416e14968
Zinn	w3_d416e14971
und	w5_d416e14974
Kuchel	w7_d416e14977
geschirr	w9_d416e14980
rc.	w11_d416e14983
auf	w13_d416e14987
den	w15_d416e14990
26.	w1_d416e14995
künftigen	w3_d416e14998
Monats	w5_d416e15001
Februarii	w7_d416e15004
Vormittag	w9_d416e15007
um	w11_d416e15010
9.	w1_d416e15016
Uhr	w3_d416e15019
anfange	w5_d416e15022
end,	w1_d416e15027
in	w3_d416e15030
der	w5_d416e15033
Johann	w7_d416e15036
Voglischen	w9_d416e15039
Be	w11_d416e15042
hausung	w1_d416e15047
denen	w3_d416e15050
Meist=bietenden	w5_d416e15053
verkauffet	w7_d416e15056
werden.	w9_d416e15059
Wer	w1_d416e15064
demnach	w3_d416e15067
ein	w5_d416e15070
oder	w7_d416e15073
anderes	w9_d416e15076
käuflich	w11_d416e15079
an	w13_d416e15083
sich	w15_d416e15086
zu	w17_d416e15089
bringen	w1_d416e15095
gedenket,	w3_d416e15098
der	w5_d416e15101
oder	w7_d416e15104
dieselben	w9_d416e15107
haben	w11_d416e15110
sich	w13_d416e15114
an	w15_d416e15117
vor=benannten	w1_d416e15122
Tag	w3_d416e15125
und	w5_d416e15128
Stund	w7_d416e15131
in	w9_d416e15134
der	w11_d416e15137
besagtJo	w13_d416e15141
hann	w1_d416e15146
Voglischen	w3_d416e15149
Behausung	w5_d416e15152
einzufinden.	w7_d416e15155
Gege	w9_d416e15158
ben	w1_d416e15163
im	w3_d416e15166
Kaiserl.	w5_d416e15169
Stift=collegio	w7_d416e15172
zu	w9_d416e15175
Mistelbach	w11_d416e15178
den	w13_d416e15182
9.	w1_d416e15188
Jan.	w3_d416e15191
1760.	w5_d416e15194
</p>
<p id="p16_d416e15197">
Wann	w1_d416e15201
ein	w3_d416e15204
der	w5_d416e15207
Böhmischen	w7_d416e15210
Sprach	w9_d416e15213
kündiget	w11_d416e15216
au	w13_d416e15220
ter	w1_d416e15225
Barbierer	w3_d416e15228
sich	w5_d416e15231
auf	w7_d416e15234
ein	w9_d416e15237
Land=gut	w11_d416e15240
an	w13_d416e15244
der	w15_d416e15247
Praper	w17_d416e15250
strassen	w1_d416e15255
zu	w3_d416e15258
setzen	w5_d416e15261
willens	w7_d416e15264
wäre,	w9_d416e15267
kann	w11_d416e15270
sich	w13_d416e15274
melden	w15_d416e15277
in	w1_d416e15283
der	w3_d416e15286
Herren	w5_d416e15289
gassen	w7_d416e15292
im	w9_d416e15295
Gileißischen	w11_d416e15298
Haus	w13_d416e15302
im	w15_d416e15305
an	w17_d416e15308
derten	w1_d416e15313
Stock,	w3_d416e15316
wovon	w5_d416e15319
selben	w7_d416e15322
die	w9_d416e15325
bessere	w11_d416e15328
Auskunft	w13_d416e15332
wird	w1_d416e15337
gegeben	w3_d416e15340
werden.	w5_d416e15343
</p>
<p id="p18_d416e15346">
Es	w1_d416e15350
ist	w3_d416e15353
zu	w5_d416e15356
Matzleinstorf	w7_d416e15359
auf	w9_d416e15362
denen	w11_d416e15365
sogenannten	w13_d416e15369
Siebenbrunner	w1_d416e15374
wiesen,	w3_d416e15377
eine	w5_d416e15380
Behausung	w7_d416e15383
samt	w9_d416e15386
darzugehörigen	w1_d416e15391
Acker,	w3_d416e15394
alltäglich	w5_d416e15397
zu	w7_d416e15400
verkauffen	w9_d416e15403
und	w1_d416e15409
ist	w3_d416e15412
sich	w5_d416e15415
dessentwegen	w7_d416e15418
zu	w9_d416e15421
St.	w11_d416e15424
Margarethen	w13_d416e15428
in	w15_d416e15431
der	w1_d416e15436
Herrschafts=canzley	w3_d416e15439
anzumelden.	w5_d416e15442
</p>
<p id="p20_d416e15445">
Von	w1_d416e15449
des	w3_d416e15452
Kaiserrl.	w5_d416e15455
Königl.	w7_d416e15458
Jud.	w9_d416e15461
Deleg.	w11_d416e15464
mixti	w13_d416e15468
In	w1_d416e15473
militaribus	w3_d416e15476
im	w5_d416e15479
Erz=herzogtum	w7_d416e15482
Oesterreich	w9_d416e15485
un	w11_d416e15488
</p>
<p id="p22_d416e15491">
ter	w1_d416e15495
und	w3_d416e15498
ob	w5_d416e15501
der	w7_d416e15504
Enns	w9_d416e15507
wegen,	w11_d416e15510
wird	w13_d416e15514
hiemit	w15_d416e15517
durch	w17_d416e15520
dieses	w1_d416e15525
offentliche	w3_d416e15528
Edict	w5_d416e15531
kund	w7_d416e15534
und	w9_d416e15537
zu	w11_d416e15540
wissen	w13_d416e15544
ge	w15_d416e15547
macht:	w1_d416e15552
Was	w3_d416e15555
gestalten	w5_d416e15558
auf	w7_d416e15561
des	w9_d416e15564
zur	w11_d416e15567
Vertrettung	w13_d416e15571
des	w1_d416e15577
im	w3_d416e15580
Jahr	w5_d416e15583
1758.	w7_d416e15586
zu	w9_d416e15589
Außig	w11_d416e15592
in	w13_d416e15596
Böheim	w15_d416e15599
verstor	w17_d416e15602
benen	w1_d416e15607
Kaiserl.	w3_d416e15610
Königl.	w5_d416e15613
Generalfeldmarschall	w7_d416e15616
leutenant	w1_d416e15621
Herrn	w3_d416e15624
Samuel	w5_d416e15627
Sprecher	w7_d416e15630
von	w9_d416e15633
Berneg	w11_d416e15636
Verlassenschaft	w1_d416e15641
gerichtlich	w3_d416e15644
verordneten	w5_d416e15647
Curatoris	w7_d416e15650
Augustin	w1_d416e15656
Böck,	w3_d416e15659
J.	w5_d416e15662
U.	w7_d416e15665
Doctoris	w9_d416e15668
gehorsamstes	w11_d416e15671
Anlangen	w1_d416e15676
verwilliget	w3_d416e15679
worden,	w5_d416e15682
daß	w7_d416e15685
alle	w9_d416e15688
diejenige,	w11_d416e15691
welche	w1_d416e15696
an	w3_d416e15699
ersagten	w5_d416e15702
Herrn	w7_d416e15705
Generalfeldmarschall	w9_d416e15708
leutenant	w1_d416e15713
von	w3_d416e15716
Sprechers	w5_d416e15719
Verlassenschaft	w7_d416e15722
einige	w9_d416e15725
Sprüche	w1_d416e15731
und	w3_d416e15734
Anforderungen	w5_d416e15737
haben,	w7_d416e15740
oder	w9_d416e15743
zu	w11_d416e15746
ma	w13_d416e15750
chen	w1_d416e15755
vermeinen,	w3_d416e15758
durch	w5_d416e15761
Ausfertigung	w7_d416e15764
gewöhnli	w9_d416e15767
cher	w1_d416e15772
Convocations=edicten	w3_d416e15775
peremptorie	w5_d416e15778
sub	w7_d416e15781
clar-	w9_d416e15784
sula	w1_d416e15789
prææclusi	w3_d416e15792
einberuffen	w5_d416e15795
werden	w7_d416e15798
sollen.	w9_d416e15801
Wann	w11_d416e15804
nun	w1_d416e15810
zu	w3_d416e15813
diesem	w5_d416e15816
Ende	w7_d416e15819
der	w9_d416e15822
19.	w11_d416e15825
April	w13_d416e15829
dies	w15_d416e15832
Jahrs	w17_d416e15835
fruh	w1_d416e15840
um	w3_d416e15843
9.	w5_d416e15846
Uhr	w7_d416e15849
bey	w9_d416e15852
diesem	w11_d416e15855
Kaiserl.	w13_d416e15859
Königl.	w15_d416e15862
Jud.	w17_d416e15865
Deleg.	w1_d416e15870
mixt.	w3_d416e15873
in	w5_d416e15876
militaribus	w7_d416e15879
auf	w9_d416e15882
der	w11_d416e15885
Sailerstadt	w13_d416e15889
in	w1_d416e15894
der	w3_d416e15897
sogenannten	w5_d416e15900
Holler=stauden	w7_d416e15903
im	w9_d416e15906
ersten	w11_d416e15909
Stock	w13_d416e15913
befindlichen	w1_d416e15919
Canzley	w3_d416e15922
sub	w5_d416e15925
clansula	w7_d416e15928
perpetui	w9_d416e15931
silen-	w11_d416e15934
tii	w1_d416e15939
pro	w3_d416e15942
1mo.	w5_d416e15945
2do.	w7_d416e15948
&	w9_d416e15951
3tio.	w11_d416e15954
Termino	w13_d416e15958
zu	w15_d416e15961
erscheinen	w17_d416e15964
bestimmet	w1_d416e15969
worden	w3_d416e15972
ist.	w5_d416e15975
Solchemnach	w7_d416e15978
werden	w9_d416e15981
alle	w11_d416e15984
und	w1_d416e15989
jede	w3_d416e15992
General=feld=marschall=leutenant	w5_d416e15995
von	w7_d416e15998
Sprecher	w1_d416e16004
Glaubigere	w3_d416e16007
an	w5_d416e16010
obbestimmten	w7_d416e16013
Tag,	w9_d416e16016
und	w11_d416e16019
Stund	w1_d416e16024
entweder	w3_d416e16027
selbst	w5_d416e16030
persönlich,	w7_d416e16033
oder	w9_d416e16036
durch	w11_d416e16039
genugsam	w1_d416e16044
instituirte	w3_d416e16047
Bevollmächtigte	w5_d416e16050
also	w7_d416e16053
gewiß	w9_d416e16056
zu	w1_d416e16061
erscheinen,	w3_d416e16064
und	w5_d416e16067
ihre	w7_d416e16070
etwenn	w9_d416e16073
habende	w11_d416e16076
Sprüch	w13_d416e16080
und	w1_d416e16086
Anforderungen	w3_d416e16089
Rechts	w5_d416e16092
beständig	w7_d416e16095
zu	w9_d416e16098
liquidi	w11_d416e16101
ren	w1_d416e16106
wissen;	w3_d416e16109
als	w5_d416e16112
im	w7_d416e16115
widrigen	w9_d416e16118
die	w11_d416e16121
liquidirende	w13_d416e16125
Cre	w15_d416e16128
ditores	w1_d416e16133
hindann	w3_d416e16136
gefertiget,	w5_d416e16139
die	w7_d416e16142
Ausbleibend	w9_d416e16145
und	w11_d416e16148
nicht	w1_d416e16153
Liquidirende	w3_d416e16156
aber	w5_d416e16159
von	w7_d416e16162
ersagtGeneralfeld	w9_d416e16165
marschall=leutenant	w1_d416e16171
von	w3_d416e16174
Sprecherischen	w5_d416e16177
Verlas	w7_d416e16180
senschafts=massa	w1_d416e16185
gänzlich	w3_d416e16188
ausgeschlossen,	w5_d416e16191
und	w7_d416e16194
de	w9_d416e16197
nenselben	w1_d416e16202
das	w3_d416e16205
ewige	w5_d416e16208
Stillschweigen	w7_d416e16211
auferleget	w9_d416e16214
wer	w11_d416e16217
den	w1_d416e16222
solle.	w3_d416e16225
Wornach	w5_d416e16228
sich	w7_d416e16231
ein	w9_d416e16234
jeder	w11_d416e16237
Jntereßirter	w13_d416e16241
zu	w1_d416e16247
richten,	w3_d416e16250
und	w5_d416e16253
seinem	w7_d416e16256
Recht	w9_d416e16259
bestens	w11_d416e16262
zu	w13_d416e16266
invigi	w15_d416e16269
liren	w1_d416e16274
wissen	w3_d416e16277
wird.	w5_d416e16280
</p>
<p id="p24_d416e16284">
Den	w1_d416e16288
28.	w3_d416e16291
gegenwärtigen	w5_d416e16294
Monats	w7_d416e16297
Januarii	w9_d416e16300
fruh	w11_d416e16303
von	w1_d416e16308
9.	w3_d416e16311
bis	w5_d416e16314
12.	w7_d416e16317
und	w9_d416e16320
Nachmittag	w11_d416e16323
von	w13_d416e16327
3.	w15_d416e16330
bis	w17_d416e16333
6.	w19_d416e16336
Uhr	w1_d416e16341
werden	w3_d416e16344
auf	w5_d416e16347
der	w7_d416e16350
Wasser=kunst=pastey	w9_d416e16353
in	w11_d416e16356
dem	w13_d416e16360
alldortig=Kaiserl.	w1_d416e16366
Königl.	w3_d416e16369
Jngenieurscorpsstaabs	w5_d416e16372
quartier	w1_d416e16377
ober	w3_d416e16380
dem	w5_d416e16383
Schwibogen	w7_d416e16386
im	w9_d416e16389
zweyten	w11_d416e16392
Stock	w13_d416e16396
verschiedene	w1_d416e16401
Mobilien	w3_d416e16404
und	w5_d416e16407
Effeeten,	w7_d416e16410
hauptsäch	w9_d416e16413
lich	w1_d416e16418
in	w3_d416e16421
Silber=geschmeid,	w5_d416e16424
bordirten	w7_d416e16427
Untforms,	w9_d416e16430
und	w1_d416e16436
anderen	w3_d416e16439
Manns=kleidern,	w5_d416e16442
Wäsch,	w7_d416e16445
gold	w9_d416e16448
und	w11_d416e16451
silbernen	w1_d416e16456
Sack=auch	w3_d416e16459
Stock=uhren,	w5_d416e16462
Tabatieren,	w7_d416e16465
silber	w1_d416e16470
und	w3_d416e16473
ordinaire	w5_d416e16476
Jngenieurs=bestecken,	w7_d416e16479
ma	w9_d416e16482
thematischen	w1_d416e16487
Jnstrumenten,	w3_d416e16490
Gewehr,	w5_d416e16493
zweyen	w7_d416e16496
Stadt=schwimmern,	w1_d416e16502
einer	w3_d416e16505
Reis=pirutsch,	w5_d416e16508
ge	w7_d416e16511
stickt	w1_d416e16516
und	w3_d416e16519
bordirten	w5_d416e16522
Schabragnen,	w7_d416e16525
einigen	w9_d416e16528
Reit	w11_d416e16531
zeugen,	w1_d416e16536
worunter	w3_d416e16539
sich	w5_d416e16542
ein	w7_d416e16545
ganz	w9_d416e16548
neuer	w11_d416e16551
Türkischer	w13_d416e16555
Pferd=zaum	w1_d416e16560
mit	w3_d416e16563
starken	w5_d416e16566
Silber=beschläg	w7_d416e16569
befindet,	w9_d416e16572
nebst	w1_d416e16578
Tockayer	w3_d416e16581
und	w5_d416e16584
anderen	w7_d416e16587
Hungarischen	w9_d416e16590
Wein	w11_d416e16593
licitando	w1_d416e16598
verkauffet	w3_d416e16601
werden.	w5_d416e16604
</p>
<head id="h2_d416e16702">
Maynstrom	w1_d416e16706
7.	w3_d416e16709
Januarii.	w5_d416e16712
</head>
<p id="p4_d416e16715">
Ja	w1_d416e16719
bey	w3_d416e16722
dem	w5_d416e16725
Schlusse	w7_d416e16728
dieses	w9_d416e16731
Blates	w11_d416e16734
die	w13_d416e16738
Engländische,	w1_d416e16743
Holländische	w3_d416e16746
und	w5_d416e16749
Nie	w7_d416e16752
derländische	w1_d416e16757
Posten	w3_d416e16760
ausgeblieben,	w5_d416e16763
so	w7_d416e16766
will	w9_d416e16769
man	w1_d416e16775
in	w3_d416e16778
Erwartung	w5_d416e16781
derselben	w7_d416e16784
folgender	w9_d416e16787
Ver	w11_d416e16790
ordnung	w1_d416e16795
aus	w3_d416e16798
dem	w5_d416e16801
Königreich	w7_d416e16804
Schweden	w9_d416e16807
Erwehnung	w1_d416e16812
thun.	w3_d416e16815
Es	w5_d416e16818
ist	w7_d416e16821
nämlich	w9_d416e16824
auf	w11_d416e16827
gnä	w13_d416e16831
digsten	w1_d416e16836
Befehl	w3_d416e16839
Sr.	w5_d416e16842
Königl.	w7_d416e16845
Majest.	w9_d416e16848
von	w11_d416e16851
dem	w13_d416e16855
Königl.	w1_d416e16861
und	w3_d416e16864
Reichs=commercien=collegio	w5_d416e16867
be	w7_d416e16870
kannt	w1_d416e16875
gemacht	w3_d416e16878
worden,	w5_d416e16881
welchergestalt	w7_d416e16884
die	w9_d416e16887
unterm	w1_d416e16892
6.	w3_d416e16895
April	w5_d416e16898
und	w7_d416e16901
1.	w9_d416e16904
Junii	w11_d416e16907
1756.	w13_d416e16911
er	w15_d416e16914
gangene	w1_d416e16919
Königl.	w3_d416e16922
Verordnung,	w5_d416e16925
