<doc id="wr_1757-01-12" attrs="word" year="1757" month="01" day="12" corpus="2">
<head id="h2_d108e2817">
Malta	w1_d108e2821
Stadt.	w5_d108e13600
</head>
<list id="l4_d108e13603">
Dem	w1_d108e13607
Hrn.	w3_d108e13610
Joh.	w5_d108e13613
Graube,	w7_d108e13616
K.	w9_d108e13619
K.	w11_d108e13622
Feld	w13_d108e13626
und	w15_d108e13629
Cabinets	w17_d108e13632
curriern,	w1_d108e13637
s.	w3_d108e13640
K.	w5_d108e13643
Jgnatz,	w7_d108e13646
im	w9_d108e13649
Neuberger=hof,	w11_d108e13652
alt	w13_d108e13656
3.	w1_d108e13661
1.	w3_d108e13664
b.	w5_d108e13667
J.	w7_d108e13670
Jacob	w1_d108e13676
Schwarz,	w3_d108e13679
Hausmeist.,	w5_d108e13682
welcher	w7_d108e13685
sich	w9_d108e13688
über	w11_d108e13691
eine	w13_d108e13695
Keller=stiegen	w1_d108e13700
erfallen,	w3_d108e13703
und	w5_d108e13706
im	w7_d108e13709
Gollis.	w9_d108e13712
H.	w11_d108e13715
in	w13_d108e13719
der	w15_d108e13722
Weihburg=gas.	w1_d108e13727
vom	w3_d108e13730
K.	w5_d108e13733
K.	w7_d108e13736
Staet=gericht	w9_d108e13739
beschauet	w11_d108e13742
worden,	w1_d108e13747
alt	w3_d108e13750
61.	w5_d108e13753
J.	w7_d108e13756
</list>
<head id="h2_d108e13764">
Vor	w1_d108e13768
der	w3_d108e13771
Stadt.	w5_d108e13774
</head>
<list id="l4_d108e13777">
Dem	w1_d108e13781
Mich.	w3_d108e13784
Kesselring,	w5_d108e13787
Burgerl.	w7_d108e13790
Schneid.,	w9_d108e13793
s.	w11_d108e13796
K.	w13_d108e13800
Elisab.,	w1_d108e13805
im	w3_d108e13808
Gemein=H.	w5_d108e13811
untern	w7_d108e13814
Weiß=gärb.,	w9_d108e13817
alt	w11_d108e13820
5.	w1_d108e13825
v.	w3_d108e13828
J.	w5_d108e13831
Dem	w1_d108e13837
Fried.	w3_d108e13840
Hofmeister,	w5_d108e13843
Burgerl.	w7_d108e13846
Schuh=mach.,	w9_d108e13849
s.	w11_d108e13852
W.	w1_d108e13857
Magdal.,	w3_d108e13860
im	w5_d108e13863
Kräutieris.	w7_d108e13866
H.	w9_d108e13869
in	w11_d108e13872
der	w13_d108e13876
Leopold	w15_d108e13879
stadt,	w1_d108e13884
alt	w3_d108e13887
60.	w5_d108e13890
J.	w7_d108e13893
Dem	w1_d108e13898
Adam	w3_d108e13901
Freysinger,	w5_d108e13904
Badern,	w7_d108e13907
s.	w9_d108e13910
K.	w11_d108e13913
Bard.,	w13_d108e13917
beym	w15_d108e13920
grün.	w1_d108e13926
Kranz	w3_d108e13929
ausser	w5_d108e13932
Maria	w7_d108e13935
hülf,	w9_d108e13938
alt	w11_d108e13941
3.	w13_d108e13945
J.	w15_d108e13948
Joh	w1_d108e13953
Rimmel,	w3_d108e13956
Maurer=pol.,	w5_d108e13959
im	w7_d108e13962
Holz=hackeris.	w9_d108e13965
H.	w11_d108e13968
zu	w1_d108e13973
Erdberg,	w3_d108e13976
alt	w5_d108e13979
68.	w7_d108e13982
J.	w9_d108e13985
Dem	w1_d108e13990
Joh.	w3_d108e13993
Wißmayr,	w5_d108e13996
Lack.,	w7_d108e13999
s.	w9_d108e14002
K.	w11_d108e14005
Math.,	w13_d108e14009
bey	w15_d108e14012
dem	w17_d108e14015
gold	w1_d108e14021
Schlus.	w3_d108e14024
m	w5_d108e14027
Spitalberg,	w7_d108e14030
alt	w9_d108e14033
4.	w11_d108e14036
J.	w13_d108e14040
Conrad	w1_d108e14045
Zeiß,	w3_d108e14048
Bruderschaft=ansag.,	w5_d108e14051
beym	w7_d108e14054
Rit.	w9_d108e14057
St.	w11_d108e14060
Georg	w1_d108e14065
am	w3_d108e14068
Neubau,	w5_d108e14071
alt	w7_d108e14074
69.	w9_d108e14077
J.	w11_d108e14080
Sylvest.	w1_d108e14085
Hummel,	w3_d108e14088
Lack,	w5_d108e14091
beym	w7_d108e14094
grün.	w9_d108e14097
Fäss.	w11_d108e14100
bey	w13_d108e14104
Ma	w15_d108e14107
ria=hülf,	w1_d108e14113
alt	w3_d108e14116
56.	w5_d108e14119
J.	w7_d108e14122
Rosina	w1_d108e14127
Kieningerin,	w3_d108e14130
led.	w5_d108e14133
M.,	w7_d108e14136
beym	w9_d108e14139
gold	w11_d108e14142
Schif	w13_d108e14146
in	w15_d108e14149
der	w1_d108e14154
Leopoldst.,	w3_d108e14157
alt	w5_d108e14160
27.	w7_d108e14163
J.	w9_d108e14166
Gertr.	w1_d108e14171
Hasenehrlin,	w3_d108e14174
Wittwe,	w5_d108e14177
im	w7_d108e14180
dillebrandis.	w9_d108e14183
H.	w11_d108e14186
zu	w1_d108e14192
Mätzleinstorf,	w3_d108e14195
alt	w5_d108e14198
76.	w7_d108e14201
J.	w9_d108e14204
Dem	w1_d108e14209
Paul	w3_d108e14212
Will,	w5_d108e14215
Tagw.,	w7_d108e14218
s.	w9_d108e14221
K.	w11_d108e14224
Anna,	w13_d108e14228
im	w15_d108e14231
Brucke	w17_d108e14234
ris.	w1_d108e14239
H.	w3_d108e14242
in	w5_d108e14245
der	w7_d108e14248
Leopoldst.,	w9_d108e14251
alt	w11_d108e14254
6	w13_d108e14258
v.	w15_d108e14261
J.	w17_d108e14264
Dem	w1_d108e14269
Pet.	w3_d108e14272
Stuter,	w5_d108e14275
Tagw.,	w7_d108e14278
s.	w9_d108e14281
K.	w11_d108e14284
Fried.,	w13_d108e14288
bey	w15_d108e14291
dem	w17_d108e14294
schwarz.	w1_d108e14300
Adl.	w3_d108e14303
in	w5_d108e14306
der	w7_d108e14309
Alster=gas.,	w9_d108e14312
alt	w11_d108e14315
3.	w13_d108e14319
J.	w15_d108e14322
</list>
<head id="h2_d108e14329">
Summa	w1_d108e14333
13.	w3_d108e14336
Person.,	w5_d108e14339
darunter	w7_d108e14342
6.	w9_d108e14345
Kinder.	w11_d108e14348
Den	w1_d108e14353
11.	w3_d108e14356
Januarii.	w5_d108e14359
Jn	w1_d108e14364
der	w3_d108e14367
Stadt.	w5_d108e14370
</head>
<list id="l4_d108e14373">
Jhro	w1_d108e14377
Excell.	w3_d108e14380
die	w5_d108e14383
Hoch	w7_d108e14386
und	w9_d108e14389
Wol=geb.	w11_d108e14392
Fr.	w13_d108e14396
Fr.	w15_d108e14399
Maria	w17_d108e14402
Theres.	w1_d108e14407
verw.	w3_d108e14410
des	w5_d108e14413
H.	w7_d108e14416
R.	w9_d108e14419
R.	w11_d108e14422
Gräfin	w13_d108e14426
v.	w15_d108e14429
Strattman,	w17_d108e14432
geb.	w1_d108e14437
Reichs=gräfin	w3_d108e14440
v.	w5_d108e14443
Preysing,	w7_d108e14446
im	w9_d108e14449
Paimisch.	w11_d108e14452
H.	w13_d108e14456
am	w1_d108e14462
Peter	w3_d108e14465
alt	w5_d108e14468
75.	w7_d108e14471
J.	w9_d108e14474
Die	w1_d108e14479
Wol	w3_d108e14482
die	w5_d108e14485
Jungs.	w7_d108e14488
Anna	w9_d108e14491
Maria	w11_d108e14494
Einederin,	w13_d108e14498
im	w15_d108e14501
Ainederis.	w1_d108e14506
H.	w3_d108e14509
in	w5_d108e14512
der	w7_d108e14515
Weihbürg	w9_d108e14518
gas.,	w11_d108e14521
alt	w13_d108e14525
59	w15_d108e14528
J.	w17_d108e14531
Dem	w1_d108e14536
Andre	w3_d108e14539
William,	w5_d108e14542
Herrschaftl.	w7_d108e14545
Koch,	w9_d108e14548
s.	w11_d108e14551
K.	w13_d108e14555
Ro	w15_d108e14558
sina,	w1_d108e14564
im	w3_d108e14567
Molzis.	w5_d108e14570
H.	w7_d108e14573
in	w9_d108e14576
der	w11_d108e14579
untern	w13_d108e14583
Breunerstr.,	w15_d108e14586
alt	w1_d108e14591
5.	w3_d108e14594
v.	w5_d108e14597
J.	w7_d108e14600
Jos.	w1_d108e14605
Schwellinger,	w3_d108e14608
O.	w5_d108e14611
H.	w7_d108e14614
M.	w9_d108e14617
Pupill,	w11_d108e14620
im	w13_d108e14624
Schlos.	w15_d108e14627
ser=hof,	w1_d108e14632
alt	w3_d108e14635
3.	w5_d108e14638
J.	w7_d108e14641
</list>
<head id="h2_d108e14648">
Vor	w1_d108e14652
der	w3_d108e14655
Stadt.	w5_d108e14658
</head>
<list id="l4_d108e14661">
Casp.	w1_d108e14665
Knoll,	w3_d108e14668
Burgerl.	w5_d108e14671
Vergoldt,	w7_d108e14674
im	w9_d108e14677
Winkelman	w11_d108e14680
nis.	w1_d108e14685
H.	w3_d108e14688
auf	w5_d108e14691
der	w7_d108e14694
Landst.,	w9_d108e14697
alt	w11_d108e14700
59.	w13_d108e14704
J.	w15_d108e14707
Jgnatz	w1_d108e14712
Reyman,	w3_d108e14715
N.	w5_d108e14718
Oe.	w7_d108e14721
Einspän.,	w9_d108e14724
beym	w11_d108e14727
Küh=fuß	w13_d108e14731
in	w1_d108e14737
der	w3_d108e14740
Alster=gas.,	w5_d108e14743
alt	w7_d108e14746
36.	w9_d108e14749
J.	w11_d108e14752
</list>
<list id="l8_d108e14758">
Dem	w1_d108e14762
Georg	w3_d108e14765
Livinger,	w5_d108e14768
Burgerl.	w7_d108e14771
Oelern,	w9_d108e14774
s.	w11_d108e14777
K.	w13_d108e14781
Ant.	w15_d108e14784
in	w1_d108e14789
s.	w3_d108e14792
H.	w5_d108e14795
auf	w7_d108e14798
der	w9_d108e14801
Wind=mühl,	w11_d108e14804
alt	w13_d108e14808
2.	w15_d108e14811
J.	w17_d108e14814
Dem	w1_d108e14819
Math.	w3_d108e14822
Binder,	w5_d108e14825
Apotheck.,	w7_d108e14828
s.	w9_d108e14831
K.	w11_d108e14834
Anna,	w13_d108e14838
beym	w15_d108e14841
grün.	w1_d108e14847
Baum	w3_d108e14850
auf	w5_d108e14853
der	w7_d108e14856
Wind	w9_d108e14859
mühl,	w11_d108e14862
alt	w13_d108e14866
2.	w15_d108e14869
J.	w17_d108e14872
Der	w1_d108e14877
Clara	w3_d108e14880
Scharfin,	w5_d108e14883
Burgerl.	w7_d108e14886
Wittwe,	w9_d108e14889
ihr	w11_d108e14892
T.	w13_d108e14896
Eli	w15_d108e14899
sab.,	w1_d108e14904
im	w3_d108e14907
Königl.	w5_d108e14910
Kloster=H.	w7_d108e14913
in	w9_d108e14916
der	w11_d108e14919
Koht=gas.,	w13_d108e14923
alt	w1_d108e14928
21.	w3_d108e14931
J.	w5_d108e14934
Dem	w1_d108e14940
Math.	w3_d108e14943
Mayr,	w5_d108e14946
Burgerl.	w7_d108e14949
Schuh=mach.,	w9_d108e14952
s.	w11_d108e14955
K.	w13_d108e14959
Anna,	w1_d108e14964
beym	w3_d108e14967
Winter	w5_d108e14970
in	w7_d108e14973
der	w9_d108e14976
Leoooldst.,	w11_d108e14979
2.	w13_d108e14983
J.	w15_d108e14986
Dem	w1_d108e14991
Ferd.	w3_d108e14994
Kugler,	w5_d108e14997
K.	w7_d108e15000
K.	w9_d108e15003
Leid=kutsch.,	w11_d108e15006
s.	w13_d108e15010
K.	w15_d108e15013
Barb.,	w17_d108e15016
beym	w1_d108e15021
weis.	w3_d108e15024
Hahn	w5_d108e15027
baey	w7_d108e15030
Maria	w9_d108e15033
hülf,	w11_d108e15036
alt	w13_d108e15040
2.	w15_d108e15043
J.	w17_d108e15046
Phil.	w1_d108e15052
Bauer,	w3_d108e15055
Vor	w5_d108e15058
reit.,	w7_d108e15061
im	w9_d108e15064
Esterhatzis.	w11_d108e15067
H.	w13_d108e15071
vorm	w15_d108e15074
Schotten=thor,	w1_d108e15079
alt	w3_d108e15082
27.	w5_d108e15085
J.	w7_d108e15088
Dem	w1_d108e15093
Franz	w3_d108e15096
Zierfux,	w5_d108e15099
Pflasterer=ges.,	w7_d108e15102
s.	w9_d108e15105
K.	w11_d108e15108
Elisab.,	w13_d108e15112
bey	w1_d108e15117
St.	w3_d108e15120
Florian	w5_d108e15123
im	w7_d108e15126
Lerchens.,	w9_d108e15129
alt	w11_d108e15132
2.	w13_d108e15136
J.	w15_d108e15139
Lorenz	w1_d108e15145
Hofer,	w3_d108e15148
alt	w5_d108e15151
46.	w7_d108e15154
J.,	w9_d108e15157
und	w11_d108e15160
Georg	w13_d108e15164
Amasser,	w15_d108e15167
alt	w17_d108e15170
50.	w1_d108e15175
J.,	w3_d108e15178
beyde	w5_d108e15181
bey	w7_d108e15184
denen	w9_d108e15187
FF.	w11_d108e15190
Mis.	w13_d108e15194
</list>
<head id="h2_d108e15201">
Summa	w1_d108e15205
15.	w3_d108e15208
Person.,	w5_d108e15211
darunter	w7_d108e15214
7.	w9_d108e15217
Kinder.	w11_d108e15220
</head>
<head id="h2_d108e15226">
EDICT.	w1_d108e15230
</head>
<p id="p4_d108e15233">
niglich	w1_d108e15237
sowol	w3_d108e15240
An	w5_d108e15243
als	w7_d108e15246
Abwesenden,	w9_d108e15249
deme	w11_d108e15252
daran	w1_d108e15257
gelegen,	w3_d108e15260
kund	w5_d108e15263
und	w7_d108e15266
zu	w9_d108e15269
wissen	w11_d108e15272
gemacht:	w13_d108e15276
Es	w1_d108e15281
habe	w3_d108e15284
Regierung	w5_d108e15287
eine	w7_d108e15290
Nohtdurft	w9_d108e15293
zu	w11_d108e15296
seyn	w1_d108e15302
befunden,	w3_d108e15305
über	w5_d108e15308
den	w7_d108e15311
Jud	w9_d108e15314
Salomon	w11_d108e15317
Sinz	w13_d108e15321
heimisch	w1_d108e15326
in	w3_d108e15329
Verfall	w5_d108e15332
gerahtene	w7_d108e15335
Vermögen	w9_d108e15338
einen	w1_d108e15343
ordentlichen	w3_d108e15346
Concurs	w5_d108e15349
anzuordnen,	w7_d108e15352
und	w9_d108e15355
desselben	w1_d108e15360
sammentliche	w3_d108e15363
sowol	w5_d108e15366
in	w7_d108e15369
als	w9_d108e15372
außer	w11_d108e15375
Land	w1_d108e15381
befindliche	w3_d108e15384
Glaubigere,	w5_d108e15387
zu	w7_d108e15390
Anmeld	w9_d108e15393
und	w1_d108e15398
Liquidirung	w3_d108e15401
ihrer	w5_d108e15404
an	w7_d108e15407
erst=bemeldten	w9_d108e15410
Salomon	w1_d108e15415
Sinzheim	w3_d108e15418
zu	w5_d108e15421
stellen	w7_d108e15424
habenden	w9_d108e15427
Sprüch	w1_d108e15432
und	w3_d108e15435
Forderungen	w5_d108e15438
einzuberuffen:	w7_d108e15441
zu	w1_d108e15447
welchem	w3_d108e15450
Ende	w5_d108e15453
denenselben	w7_d108e15456
der	w9_d108e15459
28te	w11_d108e15462
Tag	w13_d108e15466
des	w1_d108e15471
zukünftigen	w3_d108e15474
Monats	w5_d108e15477
Februarii	w7_d108e15480
Nach	w9_d108e15483
mittags	w1_d108e15488
um.	w3_d108e15491
3.	w5_d108e15494
Uhr	w7_d108e15497
zur	w9_d108e15500
gewöhnlichen	w11_d108e15503
Tag	w13_d108e15507
satzung	w1_d108e15512
für	w3_d108e15515
die	w5_d108e15518
erst	w7_d108e15521
andert	w9_d108e15524
und	w11_d108e15527
dritte,	w13_d108e15531
auch	w15_d108e15534
al=endliche	w1_d108e15540
Frist	w3_d108e15543
sub	w5_d108e15546
Clausula	w7_d108e15549
præclusi	w9_d108e15552
anberaumet	w1_d108e15557
worden.	w3_d108e15560
</p>
<p id="p6_d108e15563">
Von	w1_d108e15567
der	w3_d108e15570
N.	w5_d108e15573
Oe.	w7_d108e15576
Regierung	w9_d108e15579
wegen	w11_d108e15582
wird	w13_d108e15586
mit	w1_d108e15591
gegenwärtig=offenem	w3_d108e15594
Edict	w5_d108e15597
jedermän	w7_d108e15600
</p>
<p id="p8_d108e15603">
Solchemnach	w1_d108e15607
werden	w3_d108e15610
all	w5_d108e15613
und	w7_d108e15616
jede,	w9_d108e15619
wel	w11_d108e15622
che	w1_d108e15627
an	w3_d108e15630
gedacht	w5_d108e15633
Salomon	w7_d108e15636
Sinzheimisch	w9_d108e15639
ad	w11_d108e15642
Cridam	w1_d108e15647
gediehenes	w3_d108e15650
Vermögen	w5_d108e15653
ex	w7_d108e15656
quacun-	w9_d108e15659
que	w1_d108e15665
Clausula,	w3_d108e15668
vel	w5_d108e15671
titulo	w7_d108e15674
Sprüch,	w9_d108e15677
und	w11_d108e15680
Anforderungen	w1_d108e15685
haben,	w3_d108e15688
oder	w5_d108e15691
zu	w7_d108e15694
haben	w9_d108e15697
ver	w11_d108e15700
meinen,	w1_d108e15705
an	w3_d108e15708
obbestimmten	w5_d108e15711
Tag	w7_d108e15714
und	w9_d108e15717
Stund	w11_d108e15720
vor	w1_d108e15725
Regierung	w3_d108e15728
in	w5_d108e15731
der	w7_d108e15734
daselbst	w9_d108e15737
zu	w11_d108e15740
solchem	w13_d108e15744
Ende	w1_d108e15750
offen	w3_d108e15753
haltenden	w5_d108e15756
CommissionsStu	w7_d108e15759
ben,	w1_d108e15764
entweder	w3_d108e15767
selbst	w5_d108e15770
zpersönlich,	w7_d108e15773
oder	w9_d108e15776
durch	w11_d108e15779
hiezu	w1_d108e15784
genugsam	w3_d108e15787
gevollmächtigte	w5_d108e15790
Gewalttra	w7_d108e15793
gere	w1_d108e15798
also	w3_d108e15801
gewis	w5_d108e15804
zu	w7_d108e15807
erscheinen,	w9_d108e15810
und	w11_d108e15813
ihre	w13_d108e15817
an	w15_d108e15820
solche	w1_d108e15826
Crida-massa	w3_d108e15829
habende	w5_d108e15832
Anforderun	w7_d108e15835
gen	w1_d108e15840
anzumelden,	w3_d108e15843
auch	w5_d108e15846
zu	w7_d108e15849
Herstellung	w9_d108e15852
des	w11_d108e15855
er	w13_d108e15859
forderlich=rechtlichen	w1_d108e15864
Beweistum	w3_d108e15867
ihre	w5_d108e15870
Schuld	w7_d108e15873
und	w1_d108e15878
Satz=briefe,	w3_d108e15881
oder	w5_d108e15884
ansonst	w7_d108e15887
habende	w9_d108e15890
Li	w11_d108e15893
</p>
<p id="p10_d108e15896">
quidations-urkunden,	w1_d108e15900
und	w3_d108e15903
rechtliche	w5_d108e15906
Be	w7_d108e15909
helf	w1_d108e15914
in	w3_d108e15917
beglaubten	w5_d108e15920
Abschriften	w7_d108e15923
einzulegen	w9_d108e15926
ha	w11_d108e15929
ben,	w1_d108e15934
wie	w3_d108e15937
im	w5_d108e15940
Widrigen	w7_d108e15943
der	w9_d108e15946
Ausbleibende	w11_d108e15949
von	w1_d108e15955
gegenwärtiger	w3_d108e15958
Concurs-massa	w5_d108e15961
gänz	w7_d108e15964
lich	w1_d108e15969
ausgeschlossen	w3_d108e15972
seyn,	w5_d108e15975
und	w7_d108e15978
ihme	w9_d108e15981
diesfals	w11_d108e15984
das	w1_d108e15989
ewige	w3_d108e15992
Stillschweigen	w5_d108e15995
auferleget,	w7_d108e15998
der	w9_d108e16001
nicht	w1_d108e16006
Liquidirende	w3_d108e16009
aber	w5_d108e16012
in	w7_d108e16015
der	w9_d108e16018
künftigen	w11_d108e16021
Clas-	w13_d108e16025
sification	w1_d108e16031
mit	w3_d108e16034
seiner	w5_d108e16037
unerwiesenen	w7_d108e16040
Anfor	w9_d108e16043
derung	w1_d108e16048
abgewiesen	w3_d108e16051
werden	w5_d108e16054
solle.	w7_d108e16057
Wornach	w9_d108e16060
sich	w1_d108e16065
ein	w3_d108e16068
jeder	w5_d108e16071
zu	w7_d108e16074
richten,	w9_d108e16077
und	w11_d108e16080
vor	w13_d108e16084
Schaden	w15_d108e16087
zu	w1_d108e16092
hütten	w3_d108e16095
wissen	w5_d108e16098
wird.	w7_d108e16101
So	w9_d108e16104
geschehen	w11_d108e16107
Wien	w13_d108e16111
den	w1_d108e16117
23ten	w3_d108e16120
Decembr.	w5_d108e16123
1756.	w7_d108e16126
</p>
<head id="h2_d108e16132">
EDICT.	w1_d108e16136
</head>
<p id="p4_d108e16139">
Von	w1_d108e16143
der	w3_d108e16146
Kaiserl.	w5_d108e16149
Königl.	w7_d108e16152
N.	w9_d108e16155
Oe.	w11_d108e16158
Viced.	w13_d108e16162
Amts=administrations	w1_d108e16167
wegen;	w3_d108e16170
wird	w5_d108e16173
hiemit	w7_d108e16176
durch	w1_d108e16181
gegenwärtiges	w3_d108e16184
Edict	w5_d108e16187
jedermänniglich	w7_d108e16190
deme	w1_d108e16196
daran	w3_d108e16199
gelegen,	w5_d108e16202
kund	w7_d108e16205
und	w9_d108e16208
zu	w11_d108e16211
wissen	w13_d108e16215
ge	w15_d108e16218
macht.	w1_d108e16223
</p>
<p id="p6_d108e16226">
Was	w1_d108e16230
massen	w3_d108e16233
nach	w5_d108e16236
Ableiben	w7_d108e16239
Joh.	w9_d108e16242
Mayers	w11_d108e16245
Seel.	w1_d108e16250
gewesten	w3_d108e16253
behausten	w5_d108e16256
Unterthanen,	w7_d108e16259
und	w9_d108e16262
Fleischhacker=meisters	w1_d108e16267
zu	w3_d108e16270
Penzing,	w5_d108e16273
zu	w7_d108e16276
Vor	w9_d108e16279
nehmung	w1_d108e16285
dessen	w3_d108e16288
Verlassenschafts=abhandlung	w5_d108e16291
für	w1_d108e16296
nöhtig	w3_d108e16299
befunden	w5_d108e16302
worden	w7_d108e16305
seye,	w9_d108e16308
eine	w11_d108e16311
ordent	w13_d108e16315
liche	w1_d108e16320
Convocationem	w3_d108e16323
Creditorum	w5_d108e16326
anzuord	w7_d108e16329
nen.	w1_d108e16334
Solchemnach	w3_d108e16337
dann	w5_d108e16340
werden	w7_d108e16343
all	w9_d108e16346
und	w11_d108e16349
jede,	w1_d108e16355
welche	w3_d108e16358
an	w5_d108e16361
besagten	w7_d108e16364
Johann	w9_d108e16367
Mayr,	w11_d108e16370
und	w13_d108e16374
dessen	w1_d108e16379
Verlassenschaft	w3_d108e16382
einige	w5_d108e16385
Sprüch	w7_d108e16388
und	w9_d108e16391
For	w11_d108e16394
derungen	w1_d108e16399
zu	w3_d108e16402
haben	w5_d108e16405
vermeinen,	w7_d108e16408
sich	w9_d108e16411
derowe	w11_d108e16414
gen	w1_d108e16419
bey	w3_d108e16422
vorermeldt=Kaiserl.	w5_d108e16425
Königl.	w7_d108e16428
N.	w9_d108e16431
Oe	w11_d108e16434
Vicedom.	w1_d108e16440
Amts=administration	w3_d108e16443
den	w5_d108e16446
31	w7_d108e16449
künf	w9_d108e16452
tigen	w1_d108e16457
Monats	w3_d108e16460
Januarii	w5_d108e16463
früh	w7_d108e16466
um	w9_d108e16469
9.	w11_d108e16472
Uhr,	w13_d108e16476
also	w15_d108e16479
gewiß	w1_d108e16484
zu	w3_d108e16487
melden,	w5_d108e16490
und	w7_d108e16493
sothane	w9_d108e16496
ihre	w11_d108e16499
Forderun	w13_d108e16503
gen	w1_d108e16508
behörig	w3_d108e16511
zu	w5_d108e16514
liquidiren	w7_d108e16517
haben,	w9_d108e16520
als	w11_d108e16523
im	w13_d108e16527
Wi	w15_d108e16530
drigen,	w1_d108e16536
ohne	w3_d108e16539
auf	w5_d108e16542
selbige	w7_d108e16545
zu	w9_d108e16548
reflectiren,	w11_d108e16551
mit	w13_d108e16555
der	w15_d108e16558
Abhandlung	w1_d108e16563
vorgegangen,	w3_d108e16566
und	w5_d108e16569
was	w7_d108e16572
Rechtens	w9_d108e16575
ist,	w1_d108e16580
ex	w3_d108e16583
officio	w5_d108e16586
vorgekehret	w7_d108e16589
werden	w9_d108e16592
solle.	w11_d108e16595
</p>
<p id="p8_d108e16598">
Wornach	w1_d108e16602
sich	w3_d108e16605
dann	w5_d108e16608
ein	w7_d108e16611
jeder	w9_d108e16614
zu	w11_d108e16617
richten,	w13_d108e16621
und	w1_d108e16626
sein	w3_d108e16629
Recht	w5_d108e16632
in	w7_d108e16635
Obacht	w9_d108e16638
zu	w11_d108e16641
nehmen	w13_d108e16645
wissen	w15_d108e16648
wird.	w1_d108e16653
Actum	w3_d108e16656
Wien	w5_d108e16659
den	w7_d108e16662
7ten	w9_d108e16665
Dec.	w11_d108e16668
1756.	w13_d108e16672
</p>
<head id="h2_d108e16679">
EDICT.	w1_d108e16683
</head>
<p id="p4_d108e16686">
Von	w1_d108e16690
der	w3_d108e16693
Kaiserl.	w5_d108e16696
Königl.	w7_d108e16699
N.	w9_d108e16702
Oe.	w11_d108e16705
Reprä	w13_d108e16709
seneation	w1_d108e16714
und	w3_d108e16717
Kammer	w5_d108e16720
wird	w7_d108e16723
hiemit	w9_d108e16726
all	w11_d108e16729
und	w13_d108e16733
jeden	w1_d108e16738
durch	w3_d108e16741
gegenwärtiges	w5_d108e16744
Edict	w7_d108e16747
kund	w9_d108e16750
und	w11_d108e16753
zu	w1_d108e16759
wissen	w3_d108e16762
gemacht:	w5_d108e16765
Es	w7_d108e16768
habe	w9_d108e16771
hier	w11_d108e16774
Orts	w13_d108e16778
die	w15_d108e16781
Eva	w1_d108e16786
Catharina	w3_d108e16789
Horvathin,	w5_d108e16792
des	w7_d108e16795
verstor	w9_d108e16798
benen	w1_d108e16803
Gregori	w3_d108e16806
Horvath,	w5_d108e16809
gewestHofbe	w7_d108e16812
freyten	w1_d108e16817
Leinwat=handlers	w3_d108e16820
hinterlassene	w5_d108e16823
Wit	w7_d108e16826
we	w1_d108e16832
mit	w3_d108e16835
mehreren	w5_d108e16838
angebracht,	w7_d108e16841
wasmassen	w9_d108e16844
derselben	w1_d108e16849
durch	w3_d108e16852
das	w5_d108e16855
den	w7_d108e16858
15.	w9_d108e16861
Junii	w11_d108e16864
1753.	w13_d108e16868
in	w15_d108e16871
dem	w1_d108e16876
sogenannten	w3_d108e16879
Nicolaer=haus	w5_d108e16882
enstandene	w7_d108e16885
</p>
<p id="p8_d108e16890">
Feuer	w1_d108e16894
ihr	w3_d108e16897
Haab	w5_d108e16900
und	w7_d108e16903
Gerätschaft	w9_d108e16906
fast	w11_d108e16909
gänz	w13_d108e16913
lich	w1_d108e16918
verzehret	w3_d108e16921
worden,	w5_d108e16924
und	w7_d108e16927
unter	w9_d108e16930
diesen	w11_d108e16933
auch	w13_d108e16937
die	w1_d108e16942
ihr	w3_d108e16945
eigentumlich	w5_d108e16948
zugehörig	w7_d108e16951
geweste	w9_d108e16954
Stadt	w11_d108e16957
Banco=obligationen,	w1_d108e16963
benanntlich:	w3_d108e16966
Eine	w5_d108e16969
de	w1_d108e16974
Dato	w3_d108e16977
22.	w5_d108e16980
Junii	w7_d108e16983
1737.	w9_d108e16986
auf	w11_d108e16989
den	w13_d108e16993
Namen	w15_d108e16996
Gregori	w1_d108e17001
Horvath	w3_d108e17004
pr.	w5_d108e17007
800.	w7_d108e17010
fl.	w9_d108e17013
die	w11_d108e17016
anderte	w13_d108e17020
de	w15_d108e17023
Dato	w1_d108e17028
2.	w3_d108e17031
Sept.	w5_d108e17034
1738.	w7_d108e17037
auf	w9_d108e17040
den	w11_d108e17043
nämlichen	w13_d108e17047
Namen	w1_d108e17053
pr.	w3_d108e17056
1000.	w5_d108e17059
fl.	w7_d108e17062
die	w9_d108e17065
dritte	w11_d108e17068
auf	w13_d108e17072
Eva	w15_d108e17075
Ca	w17_d108e17078
tharina	w1_d108e17083
Horvathin,	w3_d108e17086
de	w5_d108e17089
Dato	w7_d108e17092
16.	w9_d108e17095
Februarii	w11_d108e17098
1751.	w1_d108e17103
pr.	w3_d108e17106
700.	w5_d108e17109
fl.	w7_d108e17112
und	w9_d108e17115
die	w11_d108e17118
vierte	w13_d108e17122
auf	w15_d108e17125
den	w17_d108e17128
Namen	w1_d108e17133
der	w3_d108e17136
Vollandischen	w5_d108e17139
Massä	w7_d108e17142
durch	w9_d108e17145
Chri	w11_d108e17148
stoph	w1_d108e17154
Roßmann	w3_d108e17157
lautende,	w5_d108e17160
de	w7_d108e17163
Dato	w9_d108e17166
11,	w11_d108e17169
Sept.	w1_d108e17174
1733.	w3_d108e17177
pr.	w5_d108e17180
