<doc id="wr_1756-10-02" attrs="word" year="1756" month="10" day="02" corpus="2">
<head id="h2_d79e3406">
Neu=Yorck	w1_d79e3410
schöne	w9_d79e14270
Arunculen.	w11_d79e14273
Al	w13_d79e14277
lerhand	w1_d79e14282
färbige	w3_d79e14285
Anemoni.	w5_d79e14288
Allerhand	w7_d79e14291
rot	w9_d79e14294
artige	w1_d79e14299
Anemoni.	w3_d79e14302
Anemoni	w5_d79e14305
la	w7_d79e14308
bella	w9_d79e14311
di	w11_d79e14314
Brus-	w13_d79e14318
seles.	w1_d79e14323
Anemoni	w3_d79e14326
der	w5_d79e14329
geosse	w7_d79e14332
Turband,	w9_d79e14335
Anemo	w11_d79e14338
ni	w1_d79e14344
in	w3_d79e14347
Regenbogen.	w5_d79e14350
Anemoni	w7_d79e14353
der	w9_d79e14356
Prinz	w11_d79e14359
von	w13_d79e14363
Oranien.	w1_d79e14368
Anemoni	w3_d79e14371
alte	w5_d79e14374
Bollone.	w7_d79e14377
Ane	w9_d79e14380
moni,	w1_d79e14385
die	w3_d79e14388
schöne	w5_d79e14391
von	w7_d79e14394
Normandie.	w9_d79e14397
Persiani	w11_d79e14400
sche	w1_d79e14405
Lulpen,	w3_d79e14408
Türkische	w5_d79e14411
Tulpen,	w7_d79e14414
und	w9_d79e14417
sonst	w11_d79e14420
aller	w13_d79e14424
hand	w1_d79e14430
Arten	w3_d79e14433
schöner	w5_d79e14436
Blumen.	w7_d79e14439
Saamen	w9_d79e14442
von	w11_d79e14445
Kauli	w1_d79e14450
Flor,	w3_d79e14453
von	w5_d79e14456
denen	w7_d79e14459
schönsten	w9_d79e14462
Sorten,	w11_d79e14465
Saamen	w1_d79e14470
von	w3_d79e14473
Broccoli	w5_d79e14476
Romani,	w7_d79e14479
extra	w9_d79e14482
schön.	w11_d79e14485
Die	w1_d79e14490
Blumen=kiele	w3_d79e14493
seynd	w5_d79e14496
durch	w7_d79e14499
und	w9_d79e14502
durch	w11_d79e14505
das	w13_d79e14509
100.	w1_d79e14515
für	w3_d79e14518
4.	w5_d79e14521
fl.	w7_d79e14524
Der	w9_d79e14527
Saamen	w11_d79e14530
von	w13_d79e14534
Kauli	w15_d79e14537
flor	w1_d79e14542
das	w3_d79e14545
Lot	w5_d79e14548
18.	w7_d79e14551
kr.	w9_d79e14554
Der	w11_d79e14557
Saamen	w13_d79e14561
von	w15_d79e14564
Brocoli	w1_d79e14569
Romani	w3_d79e14572
das	w5_d79e14575
Lot	w7_d79e14578
15.	w9_d79e14581
kr.	w11_d79e14584
Saamen	w13_d79e14588
von	w15_d79e14591
Spanischen	w1_d79e14596
Zwiebeln	w3_d79e14599
das	w5_d79e14602
Lot	w7_d79e14605
15.	w9_d79e14608
kr.	w11_d79e14611
Saa	w13_d79e14615
men	w1_d79e14621
von	w3_d79e14624
Römischen	w5_d79e14627
Fenchel,	w7_d79e14630
das	w9_d79e14633
Lot	w11_d79e14636
15.	w13_d79e14640
kr.	w15_d79e14643
Saamen	w1_d79e14648
vom	w3_d79e14651
Lombardischen	w5_d79e14654
Kehl,	w7_d79e14657
Melaun	w9_d79e14660
kern,	w1_d79e14665
Cardi,	w3_d79e14668
das	w5_d79e14671
Lot	w7_d79e14674
15.	w9_d79e14677
kr.	w11_d79e14680
NB.	w1_d79e14685
Wie	w3_d79e14688
auch	w5_d79e14691
Passatutti,	w7_d79e14694
die	w9_d79e14697
grosse	w11_d79e14700
Kö	w13_d79e14704
</p>
<head id="h2_d79e14710">
EDICT.	w1_d79e14714
</head>
<p id="p4_d79e14717">
Wir	w1_d79e14721
Burgermeisl=amts=verwalter,	w3_d79e14724
und	w5_d79e14727
Raht	w1_d79e14732
der	w3_d79e14735
Stadt	w5_d79e14738
Wien,	w7_d79e14741
geden	w9_d79e14744
allen	w11_d79e14747
und	w13_d79e14751
jeden	w15_d79e14754
Creditorn,	w1_d79e14759
so	w3_d79e14762
zu	w5_d79e14765
weil	w7_d79e14768
Herrn	w9_d79e14771
Johann	w11_d79e14774
St	w13_d79e14778
ba	w15_d79e14781
stian	w1_d79e14787
Eybel,	w3_d79e14790
gewest=des	w5_d79e14793
aussern	w7_d79e14796
Rahis	w9_d79e14799
/	w11_d79e14802
und	w1_d79e14807
Burgerl.	w3_d79e14810
Handis=manns	w5_d79e14813
alhier	w7_d79e14816
seel.	w9_d79e14819
Ver	w11_d79e14822
lassenschaft	w1_d79e14827
Sprüch	w3_d79e14830
und	w5_d79e14833
Anforderung	w7_d79e14836
haben,	w9_d79e14839
oder	w1_d79e14844
zu	w3_d79e14847
haben	w5_d79e14850
vermeinen,	w7_d79e14853
es	w9_d79e14856
seye	w11_d79e14859
um	w13_d79e14863
Erb	w15_d79e14866
schaft,	w1_d79e14872
Geld,	w3_d79e14875
Schulden,	w5_d79e14878
oder	w7_d79e14881
anderes,	w9_d79e14884
wie	w11_d79e14887
das	w1_d79e14892
immer	w3_d79e14895
genannt	w5_d79e14898
werden	w7_d79e14901
kan	w9_d79e14904
oder	w11_d79e14907
mag	w13_d79e14911
/	w15_d79e14914
hiemit	w1_d79e14919
zu	w3_d79e14922
vernehmen,	w5_d79e14925
daß	w7_d79e14928
wir	w9_d79e14931
entschlossen	w11_d79e14934
seynd,	w1_d79e14939
jetzt	w3_d79e14942
berührte	w5_d79e14945
Sprüch	w7_d79e14948
auf	w9_d79e14951
den	w11_d79e14954
22.	w13_d79e14958
Monats=tag	w1_d79e14964
Novembris	w3_d79e14967
lauffend	w5_d79e14970
1756.	w7_d79e14973
Jahrs	w1_d79e14978
auf	w3_d79e14981
unter,	w5_d79e14984
und	w7_d79e14987
Gemeiner	w9_d79e14990
Stadt	w11_d79e14993
Raht	w13_d79e14997
haus	w1_d79e15002
solcher	w3_d79e15005
gestalten	w5_d79e15008
zu	w7_d79e15011
hören,	w9_d79e15014
zu	w11_d79e15017
verneh	w13_d79e15021
men,	w1_d79e15026
und	w3_d79e15029
was	w5_d79e15032
sich	w7_d79e15035
hierauf	w9_d79e15038
gebühret,	w11_d79e15041
zu	w13_d79e15045
handlen;	w1_d79e15051
daß	w3_d79e15054
an	w5_d79e15057
statt	w7_d79e15060
deren	w9_d79e15063
sonst	w11_d79e15066
gebräucht	w13_d79e15070
gen	w1_d79e15075
dreyen	w3_d79e15078
Edicten	w5_d79e15081
zur	w7_d79e15084
Abschneidung	w9_d79e15087
aller	w11_d79e15090
Weitläuffikeiten,	w1_d79e15095
diese	w3_d79e15098
Sach	w5_d79e15101
auf	w7_d79e15104
einmal	w9_d79e15107
hin	w11_d79e15110
dann	w1_d79e15115
gelegt,	w3_d79e15118
und	w5_d79e15121
hernach	w7_d79e15124
keiner	w9_d79e15127
mehr	w11_d79e15130
ge	w13_d79e15134
höret	w1_d79e15140
werden	w3_d79e15143
solle.	w5_d79e15146
Erfordern	w7_d79e15149
und	w9_d79e15152
citiren	w11_d79e15155
dem	w1_d79e15160
</p>
<p id="p8_d79e15165">
demnach	w1_d79e15169
alle	w3_d79e15172
Jnteressirte	w5_d79e15175
hiemit	w7_d79e15178
perempto-	w9_d79e15181
riè,	w1_d79e15186
und	w3_d79e15189
sub	w5_d79e15192
Pœna	w7_d79e15195
præclusi,	w9_d79e15198
daß	w11_d79e15201
sie	w13_d79e15205
ent	w15_d79e15208
weders	w1_d79e15213
persönlich,	w3_d79e15216
oder	w5_d79e15219
aber	w7_d79e15222
durch	w9_d79e15225
hierzu	w11_d79e15228
genugsam	w1_d79e15234
bevollmächtigte	w3_d79e15237
Gewalt=trager	w5_d79e15240
auf	w1_d79e15245
obbemeldeten	w3_d79e15248
Tag	w5_d79e15251
fruhe	w7_d79e15254
um	w9_d79e15257
8.	w11_d79e15260
Uhr,	w13_d79e15264
oder	w15_d79e15267
da	w1_d79e15272
wir	w3_d79e15275
selbigen	w5_d79e15278
Tags	w7_d79e15281
etwann	w9_d79e15284
anderer	w11_d79e15287
Ge	w13_d79e15291
schäften	w1_d79e15296
halber	w3_d79e15299
nicht	w5_d79e15302
zu	w7_d79e15305
Raht	w9_d79e15308
sässen,	w11_d79e15311
den	w13_d79e15315
nächst	w1_d79e15321
darauf	w3_d79e15324
folgenden	w5_d79e15327
Rahts=tag	w7_d79e15330
vor	w9_d79e15333
uns	w11_d79e15336
erscheinen,	w1_d79e15341
alda	w3_d79e15344
ihre	w5_d79e15347
Forderungen	w7_d79e15350
schrift	w9_d79e15353
oder	w1_d79e15358
mündlich	w3_d79e15361
anbringen,	w5_d79e15364
und	w7_d79e15367
nicht	w9_d79e15370
aus	w11_d79e15373
bleiben,	w1_d79e15378
und	w3_d79e15381
zwar	w5_d79e15384
mit	w7_d79e15387
dieser	w9_d79e15390
nochmalig	w11_d79e15393
ge	w13_d79e15397
messenen	w1_d79e15403
Commination,	w3_d79e15406
daß,	w5_d79e15409
es	w7_d79e15412
erscheine	w9_d79e15415
darbey	w1_d79e15420
ein	w3_d79e15423
Theil	w5_d79e15426
oder	w7_d79e15429
nicht,	w9_d79e15432
der	w11_d79e15435
Anwesende	w13_d79e15439
mit	w1_d79e15444
seiner	w3_d79e15447
Nohtdurft	w5_d79e15450
nichts	w7_d79e15453
destoweniger	w9_d79e15456
an	w11_d79e15459
gehöret,	w1_d79e15464
und	w3_d79e15467
darüber	w5_d79e15470
was	w7_d79e15473
Rechtens	w9_d79e15476
ist,	w11_d79e15479
er	w13_d79e15483
kannt,	w1_d79e15489
der	w3_d79e15492
Ausbleibende	w5_d79e15495
hingegen	w7_d79e15498
nicht	w9_d79e15501
mehr	w11_d79e15504
gehöret,	w1_d79e15509
sondern	w3_d79e15512
gänzlichen	w5_d79e15515
ausgeschlossen	w7_d79e15518
werden	w1_d79e15523
solle;	w3_d79e15526
wornach	w5_d79e15529
sich	w7_d79e15532
ein	w9_d79e15535
jeder	w11_d79e15538
zu	w13_d79e15542
richten,	w15_d79e15545
und	w1_d79e15550
vor	w3_d79e15553
Schaden	w5_d79e15556
zu	w7_d79e15559
hüten	w9_d79e15562
wissen	w11_d79e15565
wird.	w13_d79e15569
Actum	w15_d79e15572
Wien,	w1_d79e15578
den	w3_d79e15581
13.	w5_d79e15584
Sept.	w7_d79e15587
1756.	w9_d79e15590
</p>
<head id="h2_d79e15596">
EDICT	w1_d79e15600
</head>
<p id="p4_d79e15603">
Wir	w1_d79e15607
Burgermeister=amts	w3_d79e15610
Verwalter,	w5_d79e15613
und	w7_d79e15616
Raht	w1_d79e15621
der	w3_d79e15624
Stadt	w5_d79e15627
Wien,	w7_d79e15630
geben	w9_d79e15633
dem	w11_d79e15636
Michael	w13_d79e15640
Sandschuster,	w1_d79e15645
wie	w3_d79e15648
auch	w5_d79e15651
allen	w7_d79e15654
und	w9_d79e15657
jeden,	w11_d79e15660
so	w13_d79e15664
zu	w15_d79e15667
weyl.	w1_d79e15673
des	w3_d79e15676
ohne	w5_d79e15679
leiblicher	w7_d79e15682
Descendenz	w9_d79e15685
ab	w11_d79e15688
intestato	w1_d79e15693
verstorbenen	w3_d79e15696
Adam	w5_d79e15699
Sandschuster,	w7_d79e15702
gewesten	w1_d79e15707
Salz=handlers	w3_d79e15710
alhier	w5_d79e15713
seeligen	w7_d79e15716
Ver	w9_d79e15719
lassenschaft	w1_d79e15724
Sprüch,	w3_d79e15727
oder	w5_d79e15730
Anforderung	w7_d79e15733
ha	w9_d79e15736
ben,	w1_d79e15742
oder	w3_d79e15745
zu	w5_d79e15748
haben	w7_d79e15751
vermeinen,	w9_d79e15754
es	w11_d79e15757
seye	w13_d79e15761
um	w15_d79e15764
Erbschaft,	w1_d79e15769
Geld,	w3_d79e15772
Schulden,	w5_d79e15775
oder	w7_d79e15778
anderes,	w9_d79e15781
wie	w11_d79e15784
das	w1_d79e15789
immer	w3_d79e15792
Namen	w5_d79e15795
haben	w7_d79e15798
mag,	w9_d79e15801
hiemit	w11_d79e15804
zu	w13_d79e15808
vernehmen:	w1_d79e15813
wasgestalten	w3_d79e15816
wir	w5_d79e15819
über	w7_d79e15822
eine	w9_d79e15825
mehr	w11_d79e15828
mahlig	w1_d79e15834
von	w3_d79e15837
gemeiner	w5_d79e15840
Stadt	w7_d79e15843
PupillenRait	w9_d79e15846
kammer	w1_d79e15851
gemachte	w3_d79e15854
Anzeige,	w5_d79e15857
für	w7_d79e15860
nöthig	w9_d79e15863
befun	w11_d79e15866
den,	w1_d79e15871
zur	w3_d79e15874
Richtigstellung	w5_d79e15877
erdeuteter	w7_d79e15880
Verlassen	w9_d79e15883
schaft,	w1_d79e15888
und	w3_d79e15891
diesfälliger	w5_d79e15894
Anmeldung	w7_d79e15897
(über	w9_d79e15900
den	w11_d79e15903
bereits	w1_d79e15909
exspirirten	w3_d79e15912
jährlichen	w5_d79e15915
Termin)	w7_d79e15918
einen	w9_d79e15921
nochmaligen	w1_d79e15926
Terminum	w3_d79e15929
peremptorium	w5_d79e15932
von	w1_d79e15937
sechs	w3_d79e15940
Monat	w5_d79e15943
sub	w7_d79e15946
Clausula	w9_d79e15949
præ-	w11_d79e15952
clusi	w1_d79e15957
anzuberaumen.	w3_d79e15960
</p>
<p id="p6_d79e15963">
Solchemnach	w1_d79e15967
wird	w3_d79e15970
ihme	w5_d79e15973
Michael	w7_d79e15976
Sand	w9_d79e15979
schuster,	w1_d79e15984
wie	w3_d79e15987
auch	w5_d79e15990
allen	w7_d79e15993
und	w9_d79e15996
jeden,	w11_d79e15999
so	w13_d79e16003
zu	w15_d79e16006
be	w17_d79e16009
sagt=Adam	w1_d79e16014
Sandschusterischen	w3_d79e16017
Verlassen	w5_d79e16020
schaft	w1_d79e16026
einige	w3_d79e16029
Sprüch	w5_d79e16032
haben,	w7_d79e16035
oder	w9_d79e16038
zu	w11_d79e16041
haben	w13_d79e16045
vermeinen,	w1_d79e16050
durch	w3_d79e16053
gegenwärtiges	w5_d79e16056
Edict	w7_d79e16059
von	w9_d79e16062
Amts=wegen	w1_d79e16067
auferleget,	w3_d79e16070
daß	w5_d79e16073
selbe	w7_d79e16076
ihre	w9_d79e16079
etwann	w11_d79e16082
habende	w1_d79e16087
Sprüch	w3_d79e16090
in	w5_d79e16093
dem	w7_d79e16096
angesetzten	w9_d79e16099
perem-	w11_d79e16102
Ptorischen	w1_d79e16108
Termin	w3_d79e16111
von	w5_d79e16114
sechs	w7_d79e16117
Monat	w9_d79e16120
bey	w11_d79e16123
unser,	w1_d79e16128
und	w3_d79e16131
gemeiner	w5_d79e16134
StadtPupillenRait	w7_d79e16137
</p>
<p id="p8_d79e16140">
kammer	w1_d79e16144
entweders	w3_d79e16147
selbsten,	w5_d79e16150
oder	w7_d79e16153
aber	w9_d79e16156
durch	w11_d79e16159
hierzu	w1_d79e16164
genugsam	w3_d79e16167
bevollmächtigte	w5_d79e16170
Gewalt	w7_d79e16173
tragere	w1_d79e16178
also	w3_d79e16181
gewiß	w5_d79e16184
anbringen,	w7_d79e16187
wie	w9_d79e16190
im	w11_d79e16193
Wid	w13_d79e16197
rigen	w1_d79e16203
dieselbe	w3_d79e16206
nach	w5_d79e16209
Verlauf	w7_d79e16212
dieser	w9_d79e16215
Zeit=frist,	w11_d79e16218
nicht	w1_d79e16223
mehr	w3_d79e16226
angehöret	w5_d79e16229
werden	w7_d79e16232
sollen;	w9_d79e16235
wor	w11_d79e16238
nach	w1_d79e16243
sich	w3_d79e16246
ein	w5_d79e16249
jeder	w7_d79e16252
zu	w9_d79e16255
richten,	w11_d79e16258
und	w13_d79e16262
vor	w15_d79e16265
Scha	w17_d79e16268
den	w1_d79e16273
zu	w3_d79e16276
hüten	w5_d79e16279
wissen	w7_d79e16282
wird.	w9_d79e16285
Actum	w11_d79e16288
Wien,	w13_d79e16292
den	w1_d79e16298
21.	w3_d79e16301
Junii	w5_d79e16304
1756.	w7_d79e16307
</p>
<p id="p10_d79e16310">
Den	w1_d79e16314
12.	w3_d79e16317
künftigen	w5_d79e16320
Monats	w7_d79e16323
Octobris	w9_d79e16326
früh	w11_d79e16329
um	w1_d79e16334
8.	w3_d79e16337
Uhr	w5_d79e16340
wird	w7_d79e16343
bey	w9_d79e16346
einem	w11_d79e16349
Löbl.	w13_d79e16353
N.	w15_d79e16356
Oe.	w17_d79e16359
Land=marschallischen	w1_d79e16364
Gericht	w3_d79e16367
das	w5_d79e16370
Gut	w7_d79e16373
Ha	w9_d79e16376
gendorf,	w1_d79e16382
cum	w3_d79e16385
appertinentiis	w5_d79e16388
plus	w7_d79e16391
offeren-	w9_d79e16394
ti	w1_d79e16399
licitando	w3_d79e16402
käuflichen	w5_d79e16405
hendan	w7_d79e16408
gelassen	w9_d79e16411
wer	w11_d79e16414
den.	w1_d79e16419
</p>
<p id="p12_d79e16423">
Auf	w1_d79e16427
Verordnung	w3_d79e16430
einer	w5_d79e16433
Hochlöbl.	w7_d79e16436
N.	w9_d79e16439
Oe.	w11_d79e16442
Regierung	w1_d79e16447
in	w3_d79e16450
Jnstitz=sachen	w5_d79e16453
werden	w7_d79e16456
den	w9_d79e16459
4.	w11_d79e16462
Octob.	w1_d79e16467
und	w3_d79e16470
die	w5_d79e16473
nachfolgende	w7_d79e16476
Täge	w9_d79e16479
früh	w11_d79e16482
von	w13_d79e16486
9.	w1_d79e16492
bis	w3_d79e16495
12.	w5_d79e16498
Uhr,	w7_d79e16501
und	w9_d79e16504
Nachmittag	w11_d79e16507
von	w13_d79e16511
3.	w15_d79e16514
bis	w17_d79e16517
6.	w1_d79e16522
Uhr,	w3_d79e16525
in	w5_d79e16528
dem	w7_d79e16531
Pilatischen	w9_d79e16534
Hauß	w11_d79e16537
in	w13_d79e16541
Woll	w15_d79e16544
zeil	w1_d79e16549
im	w3_d79e16552
2ten	w5_d79e16555
Stock	w7_d79e16558
verschiedene	w9_d79e16561
Verlassen	w11_d79e16564
schafts=effecten,	w1_d79e16569
als	w3_d79e16572
Geschmuck,	w5_d79e16575
Silber,	w7_d79e16578
ein	w9_d79e16581
ganz	w1_d79e16587
silberner	w3_d79e16590
Frauen=nacht=zeug,	w5_d79e16593
goldene	w7_d79e16596
Sack=uhren,	w1_d79e16601
Tabattieren,	w3_d79e16604
Winter	w5_d79e16607
und	w7_d79e16610
Som	w9_d79e16613
merbordirt	w1_d79e16618
wie	w3_d79e16621
auch	w5_d79e16624
glatte	w7_d79e16627
Herrn=dann	w9_d79e16630
reich	w11_d79e16633
und	w1_d79e16638
andere	w3_d79e16641
Frauen=kleider,	w5_d79e16644
Herrn	w7_d79e16647
und	w9_d79e16650
Frauen=wäsche,	w1_d79e16656
verschiedene	w3_d79e16659
Gattungen	w5_d79e16662
von	w7_d79e16665
Herrn	w1_d79e16670
und	w3_d79e16673
Frauen=spitzen,	w5_d79e16676
Porcelan,	w7_d79e16679
dann	w9_d79e16682
Hollitscher=geschirr,	w1_d79e16687
Zinn,	w3_d79e16690
Kupfer,	w5_d79e16693
Compo	w7_d79e16696
sition,	w1_d79e16701
Spallier,	w3_d79e16704
Spiegel,	w5_d79e16707
Sessel,	w7_d79e16710
Sophen,	w9_d79e16713
Tische,	w1_d79e16719
Engländisch	w3_d79e16722
und	w5_d79e16725
andere	w7_d79e16728
Kästen,	w9_d79e16731
Stock	w11_d79e16734
uhren,	w1_d79e16739
ein	w3_d79e16742
von	w5_d79e16745
harten	w7_d79e16748
Holz	w9_d79e16751
eingelegter	w11_d79e16754
Fuß	w13_d79e16758
boden,	w1_d79e16763
dann	w3_d79e16766
zwey	w5_d79e16769
Wagen=pferde,	w7_d79e16772
samt	w9_d79e16775
einem	w11_d79e16778
roten	w1_d79e16783
Schwimmer,	w3_d79e16786
und	w5_d79e16789
Pirutsch,	w7_d79e16792
wie	w9_d79e16795
auch	w11_d79e16798
ein	w1_d79e16804
noch	w3_d79e16807
ungefütterter,	w5_d79e16810
mit	w7_d79e16813
Carmesin=plursch	w9_d79e16816
gefütterter	w1_d79e16821
vier=sitziger	w3_d79e16824
Wagen	w5_d79e16827
licitando	w7_d79e16830
plus	w9_d79e16833
offerenti	w1_d79e16838
hindan	w3_d79e16841
gegeben	w5_d79e16844
werden.	w7_d79e16847
</p>
<p id="p14_d79e16850">
Den	w1_d79e16854
5.	w3_d79e16857
des	w5_d79e16860
künftigen	w7_d79e16863
Monats	w9_d79e16866
October	w11_d79e16869
werden	w13_d79e16873
in	w1_d79e16878
dem	w3_d79e16881
Gräfl.	w5_d79e16884
Wallischen	w7_d79e16887
Haus	w9_d79e16890
in	w11_d79e16893
der	w13_d79e16897
Kru	w15_d79e16900
ger=strassen	w1_d79e16905
im	w3_d79e16908
2.	w5_d79e16911
Stock	w7_d79e16914
Frühe	w9_d79e16917
von	w11_d79e16920
9.	w13_d79e16924
bis	w15_d79e16927
12.	w1_d79e16933
und	w3_d79e16936
Nachmittags	w5_d79e16939
von	w7_d79e16942
2.	w9_d79e16945
bis	w11_d79e16948
6.	w13_d79e16952
Uhr,	w15_d79e16955
verschiedene	w1_d79e16960
Spallier,	w3_d79e16963
Papillon=behter,	w5_d79e16966
Jn	w7_d79e16969
dianisch	w1_d79e16974
und	w3_d79e16977
Engländische	w5_d79e16980
Kästen,	w7_d79e16983
groß	w9_d79e16986
und	w11_d79e16989
kleine	w1_d79e16994
Spiegel,	w3_d79e16997
Luster,	w5_d79e17000
Sopha,	w7_d79e17003
Canapee,	w9_d79e17006
Tische,	w11_d79e17009
Sessel,	w1_d79e17015
und	w3_d79e17018
unterschiedene	w5_d79e17021
andere	w7_d79e17024
Effecten	w9_d79e17027
licitando	w1_d79e17032
verkauft	w3_d79e17035
werden.	w5_d79e17038
</p>
<p id="p16_d79e17041">
Auf	w1_d79e17045
nächst=künftigen	w3_d79e17048
Dienstag,	w5_d79e17051
als	w7_d79e17054
den	w1_d79e17059
5.	w3_d79e17062
October	w5_d79e17065
werden	w7_d79e17068
in	w9_d79e17071
der	w11_d79e17074
Breuner	w1_d79e17079
</p>
<p id="p22_d79e17092">
strassen	w1_d79e17096
im	w3_d79e17099
Graf	w5_d79e17102
Cavrianischen	w7_d79e17105
Haus	w9_d79e17108
im	w11_d79e17111
3ten	w1_d79e17116
Stock,	w3_d79e17119
verschiedene	w5_d79e17122
Verlassenschafts	w7_d79e17125
effecten,	w1_d79e17130
als	w3_d79e17133
Geschmuck,	w5_d79e17136
Perl,	w7_d79e17139
mit	w9_d79e17142
Gold	w11_d79e17145
ge	w13_d79e17149
faste,	w1_d79e17155
und	w3_d79e17158
andere	w5_d79e17161
Dosen,	w7_d79e17164
schönes	w9_d79e17167
Silber,	w11_d79e17170
Por	w13_d79e17174
cclan,	w1_d79e17179
gut	w3_d79e17182
s	w5_d79e17185
Gewehr,	w7_d79e17188
Bilder,	w9_d79e17191
Spitz,	w11_d79e17194
Frauen	w13_d79e17198
kleider,	w1_d79e17203
verschiedener	w3_d79e17206
neuer	w5_d79e17209
Tisch=zeug,	w7_d79e17212
Lein	w9_d79e17215
wat,	w1_d79e17220
Barchet,	w3_d79e17223
schöne	w5_d79e17226
Kästen,	w7_d79e17229
Tische,	w9_d79e17232
Spiegl	w11_d79e17235
Spallier,	w1_d79e17241
Sessel,	w3_d79e17244
Sopha,	w5_d79e17247
Uhren,	w7_d79e17250
ein	w9_d79e17253
rot	w11_d79e17256
da	w13_d79e17260
mastenes,	w1_d79e17265
und	w3_d79e17268
andere	w5_d79e17271
Behter,	w7_d79e17274
Zinn,	w9_d79e17277
Ku	w11_d79e17280
pfer,	w1_d79e17285
Meßing,	w3_d79e17288
dann	w5_d79e17291
mehr	w7_d79e17294
andere	w9_d79e17297
Einrichtungs	w11_d79e17300
effecten	w1_d79e17305
Vormittag	w3_d79e17308
von	w5_d79e17311
9.	w7_d79e17314
bis	w9_d79e17317
12.,	w11_d79e17320
und	w13_d79e17324
Nach	w15_d79e17327
mittag	w1_d79e17333
von	w3_d79e17336
3.	w5_d79e17339
bis	w7_d79e17342
6.	w9_d79e17345
Uhr	w11_d79e17348
denen	w13_d79e17352
meistbie	w15_d79e17355
tenden	w1_d79e17360
verkauft	w3_d79e17363
werden.	w5_d79e17366
</p>
<p id="p24_d79e17370">
Nächst=künftigen	w1_d79e17374
Montag	w3_d79e17377
als	w5_d79e17380
den	w7_d79e17383
4ten	w9_d79e17386
dieses	w1_d79e17391
Monats	w3_d79e17394
Octobris,	w5_d79e17397
werden	w7_d79e17400
in	w9_d79e17403
Alster	w11_d79e17406
gessen	w1_d79e17411
beym	w3_d79e17414
goldenen	w5_d79e17417
Hirschen	w7_d79e17420
im	w9_d79e17423
ersten	w11_d79e17426
Stock	w13_d79e17430
verschiedene	w1_d79e17436
Verlassenschafts=effecten:	w3_d79e17439
als	w5_d79e17442
eine	w1_d79e17447
goldene	w3_d79e17450
Uhr,	w5_d79e17453
Silber,	w7_d79e17456
Manns=kleider,	w9_d79e17459
Weiß=zeug,	w1_d79e17464
allerhand	w3_d79e17467
Efferten,	w5_d79e17470
wie	w7_d79e17473
auch	w9_d79e17476
Zinn,	w1_d79e17481
Vormittag	w3_d79e17484
von	w5_d79e17487
9.	w7_d79e17490
bis	w9_d79e17493
12.,	w11_d79e17496
Nachmittag	w13_d79e17500
aber	w1_d79e17506
von	w3_d79e17509
3.	w5_d79e17512
bis	w7_d79e17515
6.	w9_d79e17518
Uhr	w11_d79e17521
dem	w13_d79e17525
meist=biettenden	w15_d79e17528
gegen	w1_d79e17533
alsogleich	w3_d79e17536
baar	w5_d79e17539
leistender	w7_d79e17542
Bezahlung	w9_d79e17545
li	w11_d79e17548
citando	w1_d79e17553
verkauffet	w3_d79e17556
werden.	w5_d79e17559
</p>
<p id="p26_d79e17562">
Es	w1_d79e17566
ist	w3_d79e17569
in	w5_d79e17572
St.	w7_d79e17575
Pölten	w9_d79e17578
das	w11_d79e17581
Wirts=haus	w13_d79e17585
beym	w1_d79e17590
golden	w3_d79e17593
Löwen,	w5_d79e17596
samt	w7_d79e17599
Garten,	w9_d79e17602
mit	w11_d79e17605
oder	w13_d79e17609
ohne	w1_d79e17614
Einrichtung	w3_d79e17617
zu	w5_d79e17620
verkauffen,	w7_d79e17623
wer	w9_d79e17626
zu	w11_d79e17629
solchen	w1_d79e17635
Belieben	w3_d79e17638
traget,	w5_d79e17641
hat	w7_d79e17644
sich	w9_d79e17647
bey	w11_d79e17650
dasigen	w13_d79e17654
Wirts	w1_d79e17659
Georg	w3_d79e17662
Stadlbauer	w5_d79e17665
seel.	w7_d79e17668
Wittwe	w9_d79e17671
in	w11_d79e17674
obbemeldeten	w1_d79e17679
Haus	w3_d79e17682
anzumelden.	w5_d79e17685
</p>
<p id="p28_d79e17688">
Es	w1_d79e17692
haben	w3_d79e17695
all	w5_d79e17698
und	w7_d79e17701
jede,	w9_d79e17704
so	w11_d79e17707
des	w13_d79e17711
weil.	w15_d79e17714
Hrn.	w17_d79e17717
Johann	w1_d79e17722
Gottfried,	w3_d79e17725
Freyherrn	w5_d79e17728
von	w7_d79e17731
Reysinger,	w9_d79e17734
gewest	w1_d79e17739
Kaiserl.	w3_d79e17742
Obristen	w5_d79e17745
unter	w7_d79e17748
dem	w9_d79e17751
Löbl.	w11_d79e17754
Vis	w13_d79e17758
contischen	w1_d79e17764
Kuiraßier=regiment	w3_d79e17767
seel	w5_d79e17770
verstossene	w7_d79e17773
Original=verpflegs=abrechnung	w1_d79e17778
etwann	w3_d79e17781
in	w5_d79e17784
Handen	w1_d79e17789
haben,	w3_d79e17792
oder	w5_d79e17795
ansonsten	w7_d79e17798
darauf	w9_d79e17801
einen	w11_d79e17804
rechtlichen	w1_d79e17809
Anspruch	w3_d79e17812
zu	w5_d79e17815
machen	w7_d79e17818
vermeinen	w9_d79e17821
sich	w1_d79e17827
darmit	w3_d79e17830
von	w5_d79e17833
heute	w7_d79e17836
zu	w9_d79e17839
Ende	w11_d79e17842
gesetzten	w13_d79e17846
