<doc id="wr_1761-10-10" attrs="word" year="1761" month="10" day="10" corpus="2">
<head id="h2_d594e3279">
Schwedischer	w1_d594e3283
wis	w17_d594e14080
sen	w1_d594e14085
machen	w3_d594e14088
wollen.	w5_d594e14091
</p>
<p id="p14_d594e14094">
Von	w1_d594e14098
dem	w3_d594e14101
Kais.	w5_d594e14104
Kön.	w7_d594e14107
Stadt	w9_d594e14110
und	w11_d594e14113
Land=gericht	w13_d594e14117
Wien	w1_d594e14122
wird	w3_d594e14125
des	w5_d594e14128
Jacob	w7_d594e14131
Geigers	w9_d594e14134
gewestburgerli	w11_d594e14137
chen	w1_d594e14142
Gartners	w3_d594e14145
sammentlichen	w5_d594e14148
Creditoren	w7_d594e14151
hiemit	w9_d594e14154
angefüget,	w1_d594e14160
was	w3_d594e14163
gestalten	w5_d594e14166
der	w7_d594e14169
in	w9_d594e14172
der	w11_d594e14175
diesfälligen	w13_d594e14179
Concurs=sach	w1_d594e14184
aufgestellte	w3_d594e14187
Herr	w5_d594e14190
Curator	w7_d594e14193
ad	w9_d594e14196
lites	w11_d594e14199
allda	w1_d594e14204
mit	w3_d594e14207
mehreren	w5_d594e14210
vorstellig	w7_d594e14213
gemachet,	w9_d594e14216
wie	w11_d594e14219
daß	w13_d594e14223
er	w1_d594e14228
in	w3_d594e14231
Beförderung	w5_d594e14234
der	w7_d594e14237
gegenwärtigen	w9_d594e14240
Cridä=sach	w11_d594e14243
von	w1_d594e14249
darumen	w3_d594e14252
bis	w5_d594e14255
anhero	w7_d594e14258
gehemmet	w9_d594e14261
werde,	w11_d594e14264
alldie	w13_d594e14268
weilen	w1_d594e14273
bey	w3_d594e14276
der	w5_d594e14279
bereits	w7_d594e14282
unterm	w9_d594e14285
15.	w11_d594e14288
Julii	w13_d594e14292
dies	w15_d594e14295
Jahrs	w17_d594e14298
angeordnet	w1_d594e14303
angemeldt,	w3_d594e14306
und	w5_d594e14309
respective	w7_d594e14312
Liquidi	w9_d594e14315
rungs=tagsatzung	w1_d594e14320
kein	w3_d594e14323
einziger	w5_d594e14326
Creditor	w7_d594e14329
sich	w9_d594e14332
gemel	w11_d594e14335
det,	w1_d594e14341
viel	w3_d594e14344
weniger	w5_d594e14347
liquidiret	w7_d594e14350
haben,	w9_d594e14353
wie	w11_d594e14356
zumalen	w13_d594e14360
aber	w1_d594e14365
ihme	w3_d594e14368
Herrn	w5_d594e14371
Curatori	w7_d594e14374
bekannt,	w9_d594e14377
daß	w11_d594e14380
einige	w13_d594e14384
Geigerische	w1_d594e14389
Creditores	w3_d594e14392
vorhanden,	w5_d594e14395
demselben	w7_d594e14398
aber	w9_d594e14401
weder	w1_d594e14406
ihre	w3_d594e14409
Forderung	w5_d594e14412
noch	w7_d594e14415
weniger	w9_d594e14418
ihre	w11_d594e14421
Wohnung	w13_d594e14425
wissend	w1_d594e14431
seye,	w3_d594e14434
als	w5_d594e14437
hat	w7_d594e14440
selber	w9_d594e14443
supplicando	w11_d594e14446
gebetten,	w13_d594e14450
damit	w1_d594e14455
diese	w3_d594e14458
Cridä=sach	w5_d594e14461
zu	w7_d594e14464
Ende	w9_d594e14467
gebracht,	w11_d594e14470
daß	w13_d594e14474
ein	w15_d594e14477
übermaliges	w1_d594e14482
Valval	w3_d594e14485
edict	w5_d594e14488
affigiret	w7_d594e14491
werden	w9_d594e14494
möge,	w11_d594e14497
wobey	w1_d594e14502
all	w3_d594e14505
und	w5_d594e14508
jede	w7_d594e14511
Geigerische	w9_d594e14514
Glaubigere	w11_d594e14517
ihre	w13_d594e14521
zu	w15_d594e14524
stellen	w1_d594e14530
habende	w3_d594e14533
Anforderungen	w5_d594e14536
also	w7_d594e14539
gewiß	w9_d594e14542
gericht	w11_d594e14545
lich	w1_d594e14550
anzumelden,	w3_d594e14553
auch	w5_d594e14556
zu	w7_d594e14559
liquidiren	w9_d594e14562
gehalten	w11_d594e14565
seyn	w13_d594e14569
sollten,	w1_d594e14574
wie	w3_d594e14577
im	w5_d594e14580
widrigen	w7_d594e14583
die	w9_d594e14586
Ausbleibende	w11_d594e14589
von	w13_d594e14593
der	w15_d594e14596
dies	w1_d594e14601
ortigen	w3_d594e14604
Cridä=massa	w5_d594e14607
ihrer	w7_d594e14610
Prätension	w9_d594e14613
halber	w11_d594e14616
gänzlichen	w1_d594e14622
ausgeschlossen,	w3_d594e14625
auch	w5_d594e14628
denenselben	w7_d594e14631
das	w9_d594e14634
ewdige	w1_d594e14639
Stillschweigen	w3_d594e14642
auferlegt	w5_d594e14645
werden	w7_d594e14648
solle,	w9_d594e14651
gleich	w11_d594e14654
wie	w1_d594e14659
nichts	w3_d594e14662
minders	w5_d594e14665
der	w7_d594e14668
mehr	w9_d594e14671
erholte	w11_d594e14674
Hr.	w13_d594e14678
Curator	w15_d594e14681
in	w1_d594e14686
erst	w3_d594e14689
gehörter	w5_d594e14692
Conformität	w7_d594e14695
sein	w9_d594e14698
Petitum	w11_d594e14701
gestellet,	w13_d594e14705
und	w1_d594e14711
deme	w3_d594e14714
von	w5_d594e14717
Gerichts	w7_d594e14720
wegen	w9_d594e14723
allerdings	w11_d594e14726
willfahret	w13_d594e14730
ist.	w1_d594e14735
Diesemnach	w3_d594e14738
wirdet	w5_d594e14741
denen	w7_d594e14744
Eingangs	w9_d594e14747
ermeld	w11_d594e14750
ten	w1_d594e14755
Jacob	w3_d594e14758
Geigerischen	w5_d594e14761
Creditoren	w7_d594e14764
zu	w9_d594e14767
besagtem	w11_d594e14770
</p>
<p id="p16_d594e14773">
Ende	w1_d594e14777
mit	w3_d594e14780
all=vorberührtem	w5_d594e14783
Anhang	w7_d594e14786
clausulirte	w9_d594e14789
Tagsatzung	w1_d594e14794
mit	w3_d594e14797
Einschliessung	w5_d594e14800
deren	w7_d594e14803
entzwischen	w9_d594e14806
fallenden	w1_d594e14811
Wein=ferien	w3_d594e14814
auf	w5_d594e14817
den	w7_d594e14820
6ten	w9_d594e14823
des	w11_d594e14826
künftigen	w13_d594e14830
Monats	w1_d594e14836
Novemb.	w3_d594e14839
fruhe	w5_d594e14842
um	w7_d594e14845
8.	w9_d594e14848
Uhr	w11_d594e14851
auf	w13_d594e14855
dem	w15_d594e14858
Kais.	w17_d594e14861
Kön.	w1_d594e14866
Stadt=gericht	w3_d594e14869
unausbleiblich	w5_d594e14872
zu	w7_d594e14875
erscheinen,	w9_d594e14878
in	w1_d594e14883
Kraft	w3_d594e14886
des	w5_d594e14889
gegenwärtig=offenen	w7_d594e14892
Edicts	w9_d594e14895
hiemit	w11_d594e14898
bestimmet,	w1_d594e14903
wornach	w3_d594e14906
sich	w5_d594e14909
in	w7_d594e14912
allweeg	w9_d594e14915
zu	w11_d594e14918
zurichten	w13_d594e14922
ha	w15_d594e14925
ben,	w1_d594e14931
und	w3_d594e14934
ihre	w5_d594e14937
Juri	w7_d594e14940
annoch	w9_d594e14943
in	w11_d594e14946
rechter	w13_d594e14950
Zeit,	w15_d594e14953
und	w17_d594e14956
weil	w1_d594e14961
lgebührend	w3_d594e14964
zu	w5_d594e14967
invigiliren	w7_d594e14970
wissen	w9_d594e14973
werden.	w11_d594e14976
So	w13_d594e14980
geschehen	w1_d594e14985
Wien	w3_d594e14988
den	w5_d594e14991
9.	w7_d594e14994
Sept.	w9_d594e14997
1761.	w11_d594e15000
</p>
<list id="l18_d594e15003">
zu	w1_d594e15007
haben:	w3_d594e15010
Des	w1_d594e15015
Hrn.	w3_d594e15018
Abbts	w5_d594e15021
Ladvocat	w7_d594e15024
Historisches	w9_d594e15027
Hand	w11_d594e15030
wörter=buch,	w1_d594e15035
worinnen	w3_d594e15038
von	w5_d594e15041
den	w7_d594e15044
Patriarchen,	w9_d594e15047
Kai	w11_d594e15050
sern,	w1_d594e15056
Königen,	w3_d594e15059
Fürsten,	w5_d594e15062
grossen	w7_d594e15065
Feld=herren,	w9_d594e15068
Päpsten,	w1_d594e15073
Kirchen=vätern,	w3_d594e15076
Bischöffen,	w5_d594e15079
Gelehrten	w7_d594e15082
und	w1_d594e15087
ihren	w3_d594e15090
Schriften,	w5_d594e15093
Künstlern,	w7_d594e15096
auch	w9_d594e15099
übrigen	w11_d594e15102
merkwürdigen	w1_d594e15107
Personen,	w3_d594e15110
zuverläßige	w5_d594e15113
Nachricht	w7_d594e15116
er	w9_d594e15119
theilet	w1_d594e15125
wird.	w3_d594e15128
Aus	w5_d594e15131
dem	w7_d594e15134
Französischen	w9_d594e15137
übersetzt,	w11_d594e15140
verbessert,	w1_d594e15145
und	w3_d594e15148
mit	w5_d594e15151
einer	w7_d594e15154
Menge	w9_d594e15157
Artickeln	w11_d594e15160
vermehrt,	w13_d594e15164
dritter	w1_d594e15169
Theil,	w3_d594e15172
groß	w5_d594e15175
8vo.	w7_d594e15178
Ulm	w9_d594e15181
1761.	w11_d594e15184
2.	w13_d594e15188
fl.	w15_d594e15191
15.	w17_d594e15194
kr.	w19_d594e15197
Es	w1_d594e15202
sind	w3_d594e15205
auch	w5_d594e15208
die	w7_d594e15211
ersten	w9_d594e15214
Theile	w11_d594e15217
zu	w13_d594e15221
haben	w15_d594e15224
vor	w17_d594e15227
7.	w19_d594e15230
fl.	w21_d594e15233
15.	w1_d594e15239
kr.	w3_d594e15242
Die	w1_d594e15247
Gräfin	w3_d594e15250
von	w5_d594e15253
R.***	w7_d594e15256
geschildert	w9_d594e15259
von	w11_d594e15262
einem	w13_d594e15266
Liebhaber	w1_d594e15271
Gellertischer	w3_d594e15274
Schriften,	w5_d594e15277
8vo.	w7_d594e15280
Amst.	w9_d594e15283
1762.	w1_d594e15288
vor	w3_d594e15291
15.	w5_d594e15294
kr.	w7_d594e15297
Die	w1_d594e15303
Kunst	w3_d594e15306
gute	w5_d594e15309
Sonnen=uhren	w7_d594e15312
geometrisch	w9_d594e15315
und	w1_d594e15320
arithmetisch	w3_d594e15323
zu	w5_d594e15326
verfertigen,	w7_d594e15329
mit	w9_d594e15332
Kupf.	w11_d594e15335
8vo.	w13_d594e15339
Ulm	w1_d594e15344
1762.	w3_d594e15347
vor	w5_d594e15350
1.	w7_d594e15353
fl.	w9_d594e15356
30.	w11_d594e15359
kr.	w13_d594e15363
Neues	w1_d594e15368
Lehr=gebäude	w3_d594e15371
der	w5_d594e15374
Diplomatik,	w7_d594e15377
welche	w9_d594e15380
in	w1_d594e15386
Frankreich	w3_d594e15389
von	w5_d594e15392
einigen	w7_d594e15395
Benedictinern	w9_d594e15398
aus	w11_d594e15401
der	w13_d594e15405
Congregation	w1_d594e15410
des	w3_d594e15413
Heil.	w5_d594e15416
Mauri	w7_d594e15419
ausgefertiget	w9_d594e15422
worden.	w1_d594e15427
Aus	w3_d594e15430
dem	w5_d594e15433
Französischen	w7_d594e15436
übersetzt,	w9_d594e15439
und	w11_d594e15442
mit	w1_d594e15447
Anmerkungen	w3_d594e15450
versehen,	w5_d594e15453
von	w7_d594e15456
Joh.	w9_d594e15459
Christ.	w11_d594e15462
Adelung,	w1_d594e15468
2.	w3_d594e15471
Theile	w5_d594e15474
mit	w7_d594e15477
Kupf.	w9_d594e15480
groß	w11_d594e15483
4to.	w13_d594e15487
Erfurt	w15_d594e15490
1759.=1761.	w1_d594e15495
vor	w3_d594e15498
12.	w5_d594e15501
fl.	w7_d594e15504
Joh.	w1_d594e15509
Georg	w3_d594e15512
Scopps	w5_d594e15515
Anleitung	w7_d594e15518
zur	w9_d594e15521
Juristischen	w11_d594e15524
Praxi,	w1_d594e15529
worinnen	w3_d594e15532
die	w5_d594e15535
Art	w7_d594e15538
in	w9_d594e15541
denen	w11_d594e15544
Gerichten	w13_d594e15548
zu	w15_d594e15551
procediren,	w1_d594e15557
sowohl	w3_d594e15560
in	w5_d594e15563
als	w7_d594e15566
ausser	w9_d594e15569
Sachsen	w11_d594e15572
enthal	w13_d594e15576
ten	w1_d594e15581
ist.	w3_d594e15584
Mit	w5_d594e15587
vielen	w7_d594e15590
Observationen	w9_d594e15593
erläutert,	w11_d594e15596
4to.	w1_d594e15601
Nürnb.	w3_d594e15604
1761.	w5_d594e15607
vor	w7_d594e15610
2.	w9_d594e15613
fl.	w11_d594e15616
15.	w13_d594e15620
kr.	w15_d594e15623
Eben	w1_d594e15628
desselben	w3_d594e15631
gründliche	w5_d594e15634
Anneisung	w7_d594e15637
der	w9_d594e15640
heu	w11_d594e15643
tigen	w1_d594e15649
Reichs=gerichts	w3_d594e15652
verfassung,	w5_d594e15655
und	w7_d594e15658
besonders	w9_d594e15661
des	w1_d594e15666
heut	w3_d594e15669
zu	w5_d594e15672
Tag	w7_d594e15675
üblichen	w9_d594e15678
Reichs=processes	w11_d594e15681
von	w13_d594e15685
beyden	w1_d594e15690
Löchsten	w3_d594e15693
Reichs=gerichten	w5_d594e15696
4to	w7_d594e15699
Augspurg	w9_d594e15702
1761.	w1_d594e15707
vor	w3_d594e15710
1.	w5_d594e15713
fl.	w7_d594e15716
45.	w9_d594e15719
kr.	w11_d594e15722
</list>
<p id="p20_d594e15726">
Bey	w1_d594e15730
Augustin	w3_d594e15733
Bernardi,	w5_d594e15736
Universitätsbuch	w7_d594e15739
handlern,	w1_d594e15744
der	w3_d594e15747
obern	w5_d594e15750
Jesuiten=pforte	w7_d594e15753
gegen	w9_d594e15756
über,	w11_d594e15759
ist	w13_d594e15763
</p>
<p id="p22_d594e15766">
Auf	w1_d594e15770
Verordnung	w3_d594e15773
eines	w5_d594e15776
Löbl.	w7_d594e15779
K.	w9_d594e15782
K.	w11_d594e15785
Stadt	w13_d594e15789
und	w15_d594e15792
Land=gerichis	w1_d594e15797
werden	w3_d594e15800
den	w5_d594e15803
13ten	w7_d594e15806
October	w9_d594e15809
in	w11_d594e15812
dem	w13_d594e15816
Pfeserlischen	w1_d594e15821
oder	w3_d594e15824
sogenannten	w5_d594e15827
Sperl	w7_d594e15830
Wirts=haus	w9_d594e15833
neben	w1_d594e15839
dem	w3_d594e15842
Rebhändel	w5_d594e15845
im	w7_d594e15848
Schlosser=gässel	w9_d594e15851
im	w11_d594e15854
3ten	w13_d594e15858
Stock	w1_d594e15863
Vormittag	w3_d594e15866
von	w5_d594e15869
9	w7_d594e15872
bis	w9_d594e15875
12.	w11_d594e15878
Uhr,	w13_d594e15882
und	w15_d594e15885
Nach	w17_d594e15888
mittag	w1_d594e15893
von	w3_d594e15896
3.	w5_d594e15899
bis	w7_d594e15902
6.	w9_d594e15905
Uhr	w11_d594e15908
verschiedene	w13_d594e15912
Einrichtungs	w15_d594e15915
Effecten,	w1_d594e15920
als:	w3_d594e15923
Kästen=Tisch=Sessel=Bilder,	w5_d594e15926
Bether,	w1_d594e15932
Zinn,	w3_d594e15935
und	w5_d594e15938
anderes	w7_d594e15941
Haus=geräth	w9_d594e15944
licitan	w11_d594e15947
do	w1_d594e15952
an	w3_d594e15955
den	w5_d594e15958
meistbietenden	w7_d594e15961
hindann	w9_d594e15964
gegeben	w11_d594e15967
werden.	w13_d594e15971
</p>
<p id="p26_d594e15977">
Nächst	w1_d594e15981
künftigen	w3_d594e15984
Dienstag	w5_d594e15987
als	w7_d594e15990
den	w9_d594e15993
13.	w11_d594e15996
dieses	w13_d594e16000
Monats	w1_d594e16005
Octobris	w3_d594e16008
werden	w5_d594e16011
in	w7_d594e16014
der	w9_d594e16017
oberen	w11_d594e16020
Breuner	w13_d594e16024
straffen	w1_d594e16029
im	w3_d594e16032
Ritterischen	w5_d594e16035
Haus	w7_d594e16038
neben	w9_d594e16041
der	w11_d594e16044
weissen	w13_d594e16048
Tauben	w1_d594e16054
im	w3_d594e16057
ersten	w5_d594e16060
Stock	w7_d594e16063
verschiedene	w9_d594e16066
Verlassen	w11_d594e16069
schafts=effecten,	w1_d594e16074
als:	w3_d594e16077
Spiegel,	w5_d594e16080
Sessel,	w7_d594e16083
Soffen.	w9_d594e16086
Tisch,	w1_d594e16091
Kästen,	w3_d594e16094
Spalier,	w5_d594e16097
Zinn,	w7_d594e16100
Behter	w9_d594e16103
und	w11_d594e16106
andere	w1_d594e16111
Fahruuffen,	w3_d594e16114
nebst	w5_d594e16117
einem	w7_d594e16120
Generalsuni	w9_d594e16123
form,	w1_d594e16129
Nachmittags	w3_d594e16132
von	w5_d594e16135
3.	w7_d594e16138
bis	w9_d594e16141
6.	w11_d594e16144
Uhr	w13_d594e16148
dem	w15_d594e16151
Meist	w17_d594e16154
bietenden	w1_d594e16159
licitando	w3_d594e16162
gegen	w5_d594e16165
baarer	w7_d594e16168
Bezahlung	w9_d594e16171
ver	w11_d594e16174
kauflet,	w1_d594e16179
und	w3_d594e16182
damit	w5_d594e16185
den	w7_d594e16188
darauf	w9_d594e16191
folgenden	w11_d594e16194
Tag	w13_d594e16198
continuiret.	w1_d594e16203
</p>
<p id="p28_d594e16206">
Wir	w1_d594e16210
N.	w3_d594e16213
N.	w5_d594e16216
Superiutendenten,	w7_d594e16219
und	w9_d594e16222
Spitl	w11_d594e16225
meister	w1_d594e16230
der	w3_d594e16233
Burger	w5_d594e16236
Spital	w7_d594e16239
in	w9_d594e16242
Wien,	w11_d594e16245
geben	w13_d594e16249
hie	w15_d594e16252
mit	w1_d594e16257
jedermänniglich	w3_d594e16260
zu	w5_d594e16263
vernehmen:	w7_d594e16266
was	w9_d594e16269
massen	w11_d594e16272
bey	w1_d594e16278
dem	w3_d594e16281
uns	w5_d594e16284
anvertranten	w7_d594e16287
Burgerspitalsgrund	w9_d594e16290
buch	w1_d594e16295
Herr	w3_d594e16298
Joseph	w5_d594e16301
Carl	w7_d594e16304
Kätzler,	w9_d594e16307
gemeiner	w11_d594e16310
Stadt	w13_d594e16314
Wien	w1_d594e16319
Rait=handler=schriftlichen,	w3_d594e16322
angezei	w5_d594e16325
get,	w1_d594e16330
daß	w3_d594e16333
in	w5_d594e16336
der	w7_d594e16339
den	w9_d594e16342
24.	w11_d594e16345
Junii	w13_d594e16349
1759.	w15_d594e16352
fürgewest	w17_d594e16355
nicht	w1_d594e16361
zu	w3_d594e16364
rettenden	w5_d594e16367
Feuers=brunst,	w7_d594e16370
von	w9_d594e16373
weil.	w11_d594e16376
Andre	w1_d594e16381
Perthold,	w3_d594e16384
Burgerl.	w5_d594e16387
Maurer=meister	w7_d594e16390
seel.	w9_d594e16393
und	w1_d594e16398
dessen	w3_d594e16401
noch	w5_d594e16404
lebender	w7_d594e16407
Ehewirtin	w9_d594e16410
Elisabeth	w11_d594e16413
aus	w13_d594e16417
gestellt,	w1_d594e16422
an	w3_d594e16425
Frau	w5_d594e16428
Eva	w7_d594e16431
Theresiam	w9_d594e16434
Raschkoin	w11_d594e16437
lau	w13_d594e16441
tend,	w1_d594e16447
von	w3_d594e16450
dieser	w5_d594e16453
aber	w7_d594e16456
an	w9_d594e16459
ihr	w11_d594e16462
Töchterl	w13_d594e16466
Anna	w15_d594e16469
Theresiam	w1_d594e16474
erbich	w3_d594e16477
gediehene	w5_d594e16480
Satz=brief	w7_d594e16483
de	w9_d594e16486
dato	w11_d594e16489
21.	w13_d594e16493
May	w1_d594e16498
1754.	w3_d594e16501
verbrunnen	w5_d594e16504
seye,	w7_d594e16507
mithin	w9_d594e16510
gebetten	w11_d594e16513
habe,	w1_d594e16518
daß	w3_d594e16521
in	w5_d594e16524
diesem	w7_d594e16527
Casu	w9_d594e16530
fortuito	w11_d594e16533
obbemeldter	w13_d594e16537
Satz=brief	w1_d594e16543
von	w3_d594e16546
neuem	w5_d594e16549
ausgeschrieben,	w7_d594e16552
und	w9_d594e16555
dem	w11_d594e16558
Gerhaben	w1_d594e16563
Herrn	w3_d594e16566
Joseph	w5_d594e16569
Wassermann	w7_d594e16572
behändiget	w9_d594e16575
werden	w1_d594e16580
möchte,	w3_d594e16583
worüber	w5_d594e16586
eine	w7_d594e16589
Tagsatzung	w9_d594e16592
auf	w11_d594e16595
nächste	w1_d594e16600
Seßiou	w3_d594e16603
angeordnet,	w5_d594e16606
und	w7_d594e16609
den	w9_d594e16612
27.	w11_d594e16615
Sept.	w13_d594e16619
1759.	w1_d594e16625
veraulasset	w3_d594e16628
worden,	w5_d594e16631
daß	w7_d594e16634
wegen	w9_d594e16637
obig	w11_d594e16640
an	w13_d594e16644
der	w1_d594e16649
Pertholdischen	w3_d594e16652
zum	w5_d594e16655
Theil	w7_d594e16658
verbauten	w9_d594e16661
halben	w11_d594e16664
Hofstatt=weingarten	w1_d594e16669
im	w3_d594e16672
Klag=baum	w5_d594e16675
haftend,	w7_d594e16678
in	w1_d594e16683
des	w3_d594e16686
Herrn	w5_d594e16689
Supplicantens	w7_d594e16692
Behausung	w9_d594e16695
nächst	w11_d594e16698
der	w1_d594e16704
Ungar=gassen	w3_d594e16707
verbrunnen	w5_d594e16710
seyn	w7_d594e16713
sollenden	w9_d594e16716
Satz	w11_d594e16719
auszuges	w1_d594e16724
pr.	w3_d594e16727
1000.	w5_d594e16730
fl.	w7_d594e16733
ein	w9_d594e16736
Amortizations=edict	w11_d594e16739
auf	w1_d594e16744
1.	w3_d594e16747
Jahr,	w5_d594e16750
6.	w7_d594e16753
Wochen,	w9_d594e16756
und	w11_d594e16759
3.	w13_d594e16763
Täg	w15_d594e16766
affigiret,	w17_d594e16769
und	w1_d594e16774
solches	w3_d594e16777
zu	w5_d594e16780
dreymalen,	w7_d594e16783
und	w9_d594e16786
zwar	w11_d594e16789
von	w13_d594e16793
4.	w15_d594e16796
Monat	w1_d594e16802
zu	w3_d594e16805
4.	w5_d594e16808
Monat	w7_d594e16811
in	w9_d594e16814
die	w11_d594e16817
Zeitung	w13_d594e16821
gedruckt;	w15_d594e16824
sodann	w1_d594e16829
darüberhin	w3_d594e16832
auf	w5_d594e16835
weiteres	w7_d594e16838
Anlangen	w9_d594e16841
in	w11_d594e16844
die	w13_d594e16848
neue	w1_d594e16853
Ausschreibung	w3_d594e16856
des	w5_d594e16859
Satzes	w7_d594e16862
gewilliget	w9_d594e16865
werden	w11_d594e16868
solle.	w1_d594e16873
Als	w3_d594e16876
werden	w5_d594e16879
alle	w7_d594e16882
diejenige,	w9_d594e16885
so	w11_d594e16888
vorgemeldt,	w13_d594e16892
Raschkoischen	w1_d594e16898
Original=satz=auszug	w3_d594e16901
pr.	w5_d594e16904
1000.	w7_d594e16907
fl.	w1_d594e16912
etwa	w3_d594e16915
in	w5_d594e16918
Handen	w7_d594e16921
haben,	w9_d594e16924
von	w11_d594e16927
heut	w13_d594e16931
Dato	w15_d594e16934
in	w17_d594e16937
ner	w1_d594e16942
einem	w3_d594e16945
Jahr,	w5_d594e16948
6.	w7_d594e16951
Wochen,	w9_d594e16954
und	w11_d594e16957
3.	w13_d594e16961
Tag	w15_d594e16964
bey	w17_d594e16967
dem	w1_d594e16972
Burger=spitals=grund=buch	w3_d594e16975
sub	w5_d594e16978
1.0.	w7_d594e16981
2do.	w9_d594e16984
&	w1_d594e16990
3tio	w3_d594e16993
Termino	w5_d594e16996
also	w7_d594e16999
gewiß	w9_d594e17002
zu	w11_d594e17005
erscheinen,	w13_d594e17009
auch	w15_d594e17012
sothanen	w1_d594e17017
Satz	w3_d594e17020
mit	w5_d594e17023
zu	w7_d594e17026
bringen,	w9_d594e17029
darzu	w11_d594e17032
sich	w13_d594e17036
zu	w15_d594e17039
le	w17_d594e17042
gitimiren,	w1_d594e17047
und	w3_d594e17050
untereinstens	w5_d594e17053
ihre	w7_d594e17056
Forderungen	w9_d594e17059
zu	w11_d594e17062
liquidiren	w1_d594e17067
haben,	w3_d594e17070
wie	w5_d594e17073
im	w7_d594e17076
widrigen,	w9_d594e17079
und	w11_d594e17082
in	w13_d594e17086
nicht	w15_d594e17089
Erscheinungs=fall	w1_d594e17095
obiger	w3_d594e17098
Satz=auszug	w5_d594e17101
ex	w7_d594e17104
offi-	w9_d594e17107
cio	w1_d594e17112
caßiret,	w3_d594e17115
auch	w5_d594e17118
darüberhin	w7_d594e17121
niemand	w9_d594e17124
mehr	w11_d594e17127
an	w13_d594e17131
gehöret,	w1_d594e17136
sondern	w3_d594e17139
denen	w5_d594e17142
Ausbleibenden	w7_d594e17145
das	w9_d594e17148
ewige	w11_d594e17151
Stillschweigen	w1_d594e17156
auferleget	w3_d594e17159
werden	w5_d594e17162
solle.	w7_d594e17165
</p>
<p id="p30_d594e17168">
Auf	w1_d594e17172
Verordnung	w3_d594e17175
einer	w5_d594e17178
Hochlöbl.	w7_d594e17181
N.	w9_d594e17184
Oe.	w11_d594e17187
Re	w13_d594e17191
gierung	w1_d594e17196
werden	w3_d594e17199
künftigen	w5_d594e17202
Montag	w7_d594e17205
als	w9_d594e17208
den	w11_d594e17211
12.	w13_d594e17215
ditts	w1_d594e17220
Monats	w3_d594e17223
Octobris	w5_d594e17226
in	w7_d594e17229
der	w9_d594e17232
Währingergas	w11_d594e17235
</p>
<p id="p32_d594e17238">
sen	w1_d594e17242
in	w3_d594e17245
dem	w5_d594e17248
Spanischen	w7_d594e17251
Spital	w9_d594e17254
verschiedene	w11_d594e17257
Manns	w13_d594e17261
kleider,	w1_d594e17266
worunter	w3_d594e17269
auch	w5_d594e17272
Uniform,	w7_d594e17275
deto	w9_d594e17278
Wäsch,	w11_d594e17281
und	w1_d594e17286
andere	w3_d594e17289
Effecten	w5_d594e17292
Vormittags	w7_d594e17295
von	w9_d594e17298
9.	w11_d594e17301
bis	w13_d594e17305
12.	w15_d594e17308
Nachmittags	w1_d594e17314
von	w3_d594e17317
3.	w5_d594e17320
bis	w7_d594e17323
6.	w9_d594e17326
Uhr	w11_d594e17329
licitando	w13_d594e17333
plus	w15_d594e17336
offerenti	w1_d594e17341
gegen	w3_d594e17344
baarer	w5_d594e17347
Bezahlung	w7_d594e17350
verkauffet	w9_d594e17353
werde	w11_d594e17356
</p>
<p id="p34_d594e17359">
Hiemit	w1_d594e17363
wird	w3_d594e17366
jedermänniglich	w5_d594e17369
kund	w7_d594e17372
und	w9_d594e17375
zu	w11_d594e17378
wis	w13_d594e17382
sen	w1_d594e17387
gemacht,	w3_d594e17390
daß	w5_d594e17393
den	w7_d594e17396
16.	w9_d594e17399
künftigen	w11_d594e17402
Monats	w13_d594e17406
De	w15_d594e17409
cemb.	w1_d594e17414
a.	w3_d594e17417
c.	w5_d594e17420
die	w7_d594e17423
weil.	w9_d594e17426
Deckerisch=seel.	w11_d594e17429
hinterlas	w13_d594e17433
sene	w1_d594e17439
Apothecken	w3_d594e17442
beym	w5_d594e17445
Saivator	w7_d594e17448
in	w9_d594e17451
der	w11_d594e17454
Kärnter	w13_d594e17458
straffen	w1_d594e17463
genannt,	w3_d594e17466
auf	w5_d594e17469
alhiesigem	w7_d594e17472
Rahl=haus	w9_d594e17475
dem	w11_d594e17478
Meistbietenden	w1_d594e17483
verkauffet	w3_d594e17486
werden.	w5_d594e17489
</p>
<p id="p36_d594e17493">
Den	w1_d594e17497
16.	w3_d594e17500
Novemb.	w5_d594e17503
1761.	w7_d594e17506
wird	w9_d594e17509
das	w11_d594e17512
sogenannt	w13_d594e17516
Baumannische	w1_d594e17521
Haus	w3_d594e17524
bey	w5_d594e17527
denen	w7_d594e17530
3.	w9_d594e17533
Artischocken	w11_d594e17536
in	w1_d594e17541
der	w3_d594e17544
Leopold=stadt,	w5_d594e17547
fruhe	w7_d594e17550
um	w9_d594e17553
9.	w11_d594e17556
Uhr	w13_d594e17560
auf	w15_d594e17563
alhie	w17_d594e17566
sigem	w1_d594e17572
Raht=haus	w3_d594e17575
in	w5_d594e17578
der	w7_d594e17581
Grundbuch=stuben	w9_d594e17584
licitan	w11_d594e17587
do	w1_d594e17592
verkauffet	w3_d594e17595
werden.	w5_d594e17598
</p>
<p id="p38_d594e17601">
NB.	w1_d594e17605
Es	w3_d594e17608
seynd	w5_d594e17611
hier	w7_d594e17614
wieder	w9_d594e17617
angekommen	w11_d594e17620
