<doc id="wr_1757-07-27" attrs="word" year="1757" month="07" day="27" corpus="2">
<head id="h2_d164e3680">
London	w4_d164e3683
gelegt	w1_d164e27640
und	w3_d164e27643
von	w5_d164e27646
der	w7_d164e27649
Regentia	w9_d164e27652
revidirte	w11_d164e27655
Rechnungen	w1_d164e27661
hervor	w3_d164e27664
gekommenen	w5_d164e27667
Super-män	w7_d164e27670
gel,	w1_d164e27675
und	w3_d164e27678
Ausstellungs=posten,	w5_d164e27681
als	w7_d164e27684
auch	w9_d164e27687
über	w11_d164e27690
die	w1_d164e27695
aus	w3_d164e27698
der	w5_d164e27701
von	w7_d164e27704
ersten	w9_d164e27707
Jenner	w11_d164e27710
bis	w13_d164e27714
letzten	w15_d164e27717
Au	w17_d164e27720
gusti	w1_d164e27725
1750.	w3_d164e27728
gelegten	w5_d164e27731
Rechtung	w7_d164e27734
ausgestellte	w9_d164e27737
Mängel	w1_d164e27743
eure	w3_d164e27746
Super-	w5_d164e27749
und	w7_d164e27752
Erläuterungen	w9_d164e27755
bis	w11_d164e27758
anhero	w1_d164e27763
nicht	w3_d164e27766
erstattet,	w5_d164e27769
auch	w7_d164e27772
sonsten	w9_d164e27775
nichts	w11_d164e27778
vorgekehret	w1_d164e27783
hättet,	w3_d164e27786
diesemnach	w5_d164e27789
gebetten,	w7_d164e27792
ich	w9_d164e27795
geruhete	w1_d164e27800
in	w3_d164e27803
die	w5_d164e27806
Collationirung	w7_d164e27809
ex	w9_d164e27812
officio	w11_d164e27815
dessen,	w1_d164e27821
was	w3_d164e27824
eingekommen	w5_d164e27827
absolute	w7_d164e27830
zugewil	w9_d164e27833
ligen,	w1_d164e27838
wann	w3_d164e27841
nun	w5_d164e27844
hierinnfalls	w7_d164e27847
mit	w9_d164e27850
vorge	w11_d164e27853
hender	w1_d164e27858
Errinnerung	w3_d164e27861
verwilliget	w5_d164e27864
worden,	w7_d164e27867
euer	w9_d164e27870
Aufenthalt	w1_d164e27875
aber	w3_d164e27878
zu	w5_d164e27881
dato	w7_d164e27884
unwissend	w9_d164e27887
ist;	w11_d164e27890
als	w13_d164e27894
wird	w1_d164e27900
sothane	w3_d164e27903
ergangene	w5_d164e27906
Collationirungser	w7_d164e27909
innerungs=verordnung	w1_d164e27914
hiemit	w3_d164e27917
gleichfalls	w5_d164e27920
edi	w7_d164e27923
ctaliter	w1_d164e27928
intimiret.	w3_d164e27931
Wien	w5_d164e27934
den	w7_d164e27937
24.	w9_d164e27940
May	w11_d164e27943
1757-	w1_d164e27948
</p>
<head id="h2_d164e27988">
JOURNAL.	w1_d164e27992
Aus	w1_d164e27997
dem	w3_d164e28000
Haupf=quartier	w5_d164e28003
Gabel	w7_d164e28006
den	w9_d164e28009
20.	w11_d164e28012
Juli	w13_d164e28016
1757.	w15_d164e28019
</head>
<p id="p4_d164e28022">
SAum	w1_d164e28026
hatte	w3_d164e28029
sich	w5_d164e28032
gestern	w7_d164e28035
der	w9_d164e28038
General	w11_d164e28041
von	w13_d164e28045
Beck	w15_d164e28048
mit	w17_d164e28051
seinem	w19_d164e28054
Commando	w21_d164e28057
l	w1_d164e28062
von	w3_d164e28065
Hasel	w5_d164e28068
zuruckgezogen,	w7_d164e28071
so	w9_d164e28074
ist	w11_d164e28077
der	w13_d164e28081
Preußische	w15_d164e28084
General	w17_d164e28087
Winterfeld	w19_d164e28090
mit	w1_d164e28095
noch	w3_d164e28098
mehrerer	w5_d164e28101
Mannschaft	w7_d164e28104
dahin	w9_d164e28107
gekommen,	w11_d164e28110
und	w13_d164e28114
hat	w15_d164e28117
alle	w17_d164e28120
im	w19_d164e28123
Weege	w21_d164e28126
gefundene	w1_d164e28132
Pontons	w3_d164e28135
selbsten	w5_d164e28138
völlig	w7_d164e28141
zerschlagen,	w9_d164e28144
und	w11_d164e28147
wie	w13_d164e28151
diese,	w15_d164e28154
so	w17_d164e28157
auch	w19_d164e28160
die	w21_d164e28163
Stücke,	w1_d164e28168
wovon	w3_d164e28171
die	w5_d164e28174
Pferde	w7_d164e28177
abgeschnitten	w9_d164e28180
gewesen,	w11_d164e28183
aus	w13_d164e28187
dem	w15_d164e28190
Weege	w17_d164e28193
rau	w19_d164e28196
men,	w1_d164e28201
und	w3_d164e28204
ligen	w5_d164e28207
lassen,	w7_d164e28210
damit	w9_d164e28213
die	w11_d164e28216
ruckwärts	w13_d164e28220
befindliche	w15_d164e28223
Bagage	w17_d164e28226
in	w19_d164e28229
der	w21_d164e28232
Fort	w23_d164e28235
setzung	w1_d164e28240
des	w3_d164e28243
Marsches	w5_d164e28246
nicht	w7_d164e28249
gehindert	w9_d164e28252
würde.	w11_d164e28255
</p>
<p id="p6_d164e28258">
Der	w1_d164e28262
Prinz	w3_d164e28265
von	w5_d164e28268
Bevern,	w7_d164e28271
so	w9_d164e28274
die	w11_d164e28277
Avant	w13_d164e28281
garde	w15_d164e28284
führet,	w17_d164e28287
und	w19_d164e28290
noch	w21_d164e28293
vor	w23_d164e28296
der	w25_d164e28300
Bagage	w1_d164e28305
marchiret,	w3_d164e28308
soll	w5_d164e28311
bereits	w7_d164e28314
gestern	w9_d164e28317
fruh	w11_d164e28320
um	w13_d164e28324
4	w15_d164e28327
Uhr	w17_d164e28330
von	w19_d164e28333
Kreybiz	w21_d164e28336
seinen	w23_d164e28339
Marsch	w1_d164e28344
über	w3_d164e28347
Schönborn,	w5_d164e28350
und	w7_d164e28353
Unter=hennersdorf	w9_d164e28356
nacher	w11_d164e28359
Uterwir	w13_d164e28363
genom	w15_d164e28366
men	w1_d164e28372
haben	w3_d164e28375
</p>
<p id="p8_d164e28378">
Heut	w1_d164e28382
vor	w3_d164e28385
Anbruch	w5_d164e28388
des	w7_d164e28391
Tages	w9_d164e28394
marschirte	w11_d164e28397
der	w13_d164e28401
General-Major	w15_d164e28404
Becle	w17_d164e28407
mit	w1_d164e28412
2000.	w3_d164e28415
Mann	w5_d164e28418
Infanterie	w7_d164e28421
und	w9_d164e28424
500.	w11_d164e28427
Hussaren	w13_d164e28431
von	w15_d164e28434
Falckenau	w17_d164e28437
nacher	w19_d164e28440
Tol-	w21_d164e28443
lenstein,	w1_d164e28448
postirte	w3_d164e28451
100.	w5_d164e28454
Mann	w7_d164e28457
zu	w9_d164e28460
Fuß,	w11_d164e28463
und	w13_d164e28467
eben	w15_d164e28470
so	w17_d164e28473
viele	w19_d164e28476
zu	w21_d164e28479
Pferd	w23_d164e28482
nacher	w25_d164e28486
Jör-	w27_d164e28489
genthal,	w1_d164e28495
dann	w3_d164e28498
200	w5_d164e28501
Mann	w7_d164e28504
zu	w9_d164e28507
Fuß	w11_d164e28510
auf	w13_d164e28514
Kaltenberg	w15_d164e28517
an	w17_d164e28520
die	w19_d164e28523
Strasse,	w21_d164e28526
so	w23_d164e28529
von	w25_d164e28533
Hasel	w1_d164e28538
nacher	w3_d164e28541
Kreywiz	w5_d164e28544
leitet,	w7_d164e28547
um	w9_d164e28550
den	w11_d164e28553
Feind	w13_d164e28557
alda	w15_d164e28560
zu	w17_d164e28563
observiren,	w19_d164e28566
und	w21_d164e28569
ihm	w23_d164e28572
Abbruch	w1_d164e28577
zu	w3_d164e28580
thun,	w5_d164e28583
schickte	w7_d164e28586
auch	w9_d164e28589
ein	w11_d164e28592
kleines	w13_d164e28596
Commando	w15_d164e28599
von	w17_d164e28602
Infanterie	w19_d164e28605
und	w21_d164e28608
Hussaren	w1_d164e28613
nacher	w3_d164e28616
Neudorf	w5_d164e28619
auf	w7_d164e28622
die	w9_d164e28625
Land=strasse,	w11_d164e28628
und	w13_d164e28632
gedenket,	w15_d164e28635
im	w17_d164e28638
Fall	w19_d164e28641
der	w21_d164e28644
Feind	w1_d164e28650
heut	w3_d164e28653
nicht	w5_d164e28656
marschieren	w7_d164e28659
sollte,	w9_d164e28662
in	w11_d164e28665
dortigen	w13_d164e28669
Gegenden	w15_d164e28672
die	w17_d164e28675
Defiléen	w19_d164e28678
durch	w21_d164e28681
500.	w1_d164e28686
Mann	w3_d164e28689
verhauen,	w5_d164e28692
dann	w7_d164e28695
mir	w9_d164e28698
Steinen	w11_d164e28701
verlegen	w13_d164e28705
zu	w15_d164e28708
lassen.	w17_d164e28711
</p>
<p id="p10_d164e28714">
Vermög	w1_d164e28718
letzteren	w3_d164e28721
Kundschaften	w5_d164e28724
seynd	w7_d164e28727
die	w9_d164e28730
Preussen	w11_d164e28733
heut	w13_d164e28737
frühe	w15_d164e28740
um	w17_d164e28743
9	w19_d164e28746
Uhr	w1_d164e28751
von	w3_d164e28754
Kreywitz	w5_d164e28757
zu	w7_d164e28760
Fortsetzung	w9_d164e28763
ihres	w11_d164e28766
Marsches	w13_d164e28770
noch	w15_d164e28773
nicht	w17_d164e28776
aufgebrochen	w19_d164e28779
gewesen.	w1_d164e28784
</p>
<p id="p12_d164e28788">
Jn	w1_d164e28792
dem	w3_d164e28795
hiesigen	w5_d164e28798
Haupt=lager	w7_d164e28801
seynd	w9_d164e28804
heut	w11_d164e28807
über	w13_d164e28811
350.	w15_d164e28814
Deserteurs	w17_d164e28817
ange	w19_d164e28820
langet,	w1_d164e28825
und	w3_d164e28828
dabey	w5_d164e28831
auch	w7_d164e28834
verschiedene	w9_d164e28837
Kriegs=gefangene	w11_d164e28840
eingebracht	w13_d164e28844
worden.	w15_d164e28847
</p>
<head id="h2_d164e28854">
JOURNAL	w1_d164e28858
Aus	w1_d164e28863
dem	w3_d164e28866
Haupt=quartier	w5_d164e28869
Ullerstorf	w7_d164e28872
den	w9_d164e28875
21.	w11_d164e28878
Julii	w13_d164e28882
175.	w15_d164e28885
</head>
<p id="p4_d164e28888">
DJe	w1_d164e28892
feindliche	w3_d164e28895
Bagage,	w5_d164e28898
welche	w7_d164e28901
den	w9_d164e28904
19.	w11_d164e28907
in	w13_d164e28911
der	w15_d164e28914
Fruhe	w17_d164e28917
zu	w19_d164e28920
Hasel	w21_d164e28923
von	w23_d164e28926
dem	w25_d164e28930
Commando	w1_d164e28935
des	w3_d164e28938
Kaiserl.	w5_d164e28941
Königl.	w7_d164e28944
General-Majors	w9_d164e28947
von	w11_d164e28950
Beck	w13_d164e28954
so	w15_d164e28957
vielen	w17_d164e28960
</p>
<p id="p10_d164e28973">
Schaden	w1_d164e28977
erlitten,	w3_d164e28980
hat	w5_d164e28983
in	w7_d164e28986
ihrem	w9_d164e28989
genommenen	w11_d164e28992
weiteren	w13_d164e28996
Zug	w15_d164e28999
noch	w17_d164e29002
selbigen	w19_d164e29005
Tags	w1_d164e29010
einen	w3_d164e29013
anderweiten	w5_d164e29016
Anfall	w7_d164e29019
ausstehen	w9_d164e29022
müssen:	w11_d164e29025
indeme	w13_d164e29029
der	w15_d164e29032
General-	w17_d164e29035
feld=marschall=leutenant	w1_d164e29040
von	w3_d164e29043
Haddick	w5_d164e29046
schon	w7_d164e29049
zum	w9_d164e29052
voraus	w11_d164e29055
mit	w13_d164e29059
zwey	w15_d164e29062
Batrail	w17_d164e29065
Jonen	w1_d164e29071
von	w3_d164e29074
dem	w5_d164e29077
Gradiscaner-regiment	w7_d164e29080
unter	w9_d164e29083
dem	w11_d164e29086
Obristen	w13_d164e29090
von	w15_d164e29093
Ried.	w17_d164e29096
und	w19_d164e29099
zwey	w1_d164e29104
anderen	w3_d164e29107
Battaillonen	w5_d164e29110
Sluinern	w7_d164e29113
die	w9_d164e29116
Anhöhe	w11_d164e29119
des	w13_d164e29123
Kaltenbergs	w15_d164e29126
zwischen	w17_d164e29129
Kamnitz	w1_d164e29134
und	w3_d164e29137
Kreyweit	w5_d164e29140
besetzet,	w7_d164e29143
und	w9_d164e29146
daselbst	w11_d164e29149
das	w13_d164e29153
Anrucken	w15_d164e29156
der	w17_d164e29159
feindlichen	w19_d164e29162
Bedeckung	w1_d164e29167
erwartet	w3_d164e29170
gehabt,	w5_d164e29173
da	w7_d164e29176
nun	w9_d164e29179
diese	w11_d164e29182
Nachmittags	w13_d164e29186
gegen	w15_d164e29189
5.	w17_d164e29192
Uhr	w19_d164e29195
er	w21_d164e29198
schienen,	w1_d164e29204
so	w3_d164e29207
griffe	w5_d164e29210
er	w7_d164e29213
solche	w9_d164e29216
auf	w11_d164e29219
drey	w13_d164e29223
Seiten	w15_d164e29226
an,	w17_d164e29229
zerstreuete	w19_d164e29232
sie	w21_d164e29235
gleich	w23_d164e29238
an	w25_d164e29242
fangs,	w1_d164e29247
und	w3_d164e29250
der	w5_d164e29253
gemeine	w7_d164e29256
Mann	w9_d164e29259
erbeutete	w11_d164e29262
dabey	w13_d164e29266
viele	w15_d164e29269
Bagage	w17_d164e29272
und	w19_d164e29275
Pferde	w21_d164e29278
die	w1_d164e29283
Grenadiers-compagnien	w3_d164e29286
von	w5_d164e29289
denen	w7_d164e29292
Gradiscanern	w9_d164e29295
drungen	w11_d164e29298
auch	w13_d164e29302
in	w15_d164e29305
bester	w17_d164e29308
Ordnung	w1_d164e29313
an	w3_d164e29316
den	w5_d164e29319
Feind,	w7_d164e29322
eroberten	w9_d164e29325
2	w11_d164e29328
Stücke,	w13_d164e29332
kunten	w15_d164e29335
aber	w17_d164e29338
solche	w19_d164e29341
aus	w21_d164e29344
den	w23_d164e29347
holen	w1_d164e29353
Weeg	w3_d164e29356
nicht	w5_d164e29359
herausbringen;	w7_d164e29362
inzwischen	w9_d164e29365
eileten	w11_d164e29368
6	w13_d164e29372
feindliche	w15_d164e29375
Battail	w17_d164e29378
lonen	w1_d164e29383
nebst	w3_d164e29386
Stücken	w5_d164e29389
herbey,	w7_d164e29392
deme	w9_d164e29395
unbetrachtet,	w11_d164e29398
hielten	w13_d164e29402
gleichwol	w15_d164e29405
die	w17_d164e29408
zwer	w19_d164e29411
Gradiscaner-Battaillonen	w1_d164e29416
unter	w3_d164e29419
Anführung	w5_d164e29422
des	w7_d164e29425
oberwehnten	w9_d164e29428
Obristen	w11_d164e29431
dann	w1_d164e29436
vorgemeldte	w3_d164e29439
Commandirte,	w5_d164e29442
und	w7_d164e29445
die	w9_d164e29448
Grenadies-compagnien	w11_d164e29451
von	w13_d164e29455
de	w15_d164e29458
nen	w1_d164e29464
Sluinern	w3_d164e29467
beständig	w5_d164e29470
festen	w7_d164e29473
Fuß,	w9_d164e29476
leisteten	w11_d164e29479
mit	w13_d164e29483
ungemeiner	w15_d164e29486
Standhaftig	w17_d164e29489
keit	w1_d164e29494
der	w3_d164e29497
Ubermacht	w5_d164e29500
feindlicher	w7_d164e29503
Troupen	w9_d164e29506
bis	w11_d164e29509
halb	w13_d164e29513
neun	w15_d164e29516
Uhr	w17_d164e29519
Abends	w19_d164e29522
tapfe	w21_d164e29525
ren	w1_d164e29530
Widerstand,	w3_d164e29533
behaupteten	w5_d164e29536
den	w7_d164e29539
Gipfel	w9_d164e29542
des	w11_d164e29545
Berges	w13_d164e29549
unangesehen	w15_d164e29552
des	w17_d164e29555
starken	w1_d164e29560
Canon-feuers	w3_d164e29563
bey	w5_d164e29566
einem	w7_d164e29569
drey=stündlichen	w9_d164e29572
Gefecht,	w11_d164e29575
bis	w13_d164e29579
sie	w15_d164e29582
alle	w17_d164e29585
eige	w19_d164e29588
ne,	w1_d164e29594
und	w3_d164e29597
auch	w5_d164e29600
jene	w7_d164e29603
Munition,	w9_d164e29606
welche	w11_d164e29609
sie	w13_d164e29613
auf	w15_d164e29616
feindlichen	w17_d164e29619
Wägen	w19_d164e29622
erheuten	w21_d164e29625
hatten,	w1_d164e29630
völlig	w3_d164e29633
verschossen,	w5_d164e29636
und	w7_d164e29639
musten	w9_d164e29642
alsdann	w11_d164e29645
mit	w13_d164e29649
aller	w15_d164e29652
Gewalt	w17_d164e29655
von	w19_d164e29658
ihren	w21_d164e29661
Vorgesetzten	w1_d164e29666
angetrieben	w3_d164e29669
werden,	w5_d164e29672
um	w7_d164e29675
sich	w9_d164e29678
zuruck	w11_d164e29681
zuziehen.	w13_d164e29685
Die	w15_d164e29688
Zahl	w17_d164e29691
dies	w19_d164e29694
seitiger	w1_d164e29699
Blessirten	w3_d164e29702
ist	w5_d164e29705
noch	w7_d164e29708
nicht	w9_d164e29711
bemerket,	w11_d164e29714
todt	w13_d164e29718
aber	w15_d164e29721
sollen	w17_d164e29724
wenig	w19_d164e29727
geblie	w21_d164e29730
ben	w1_d164e29736
seyn,	w3_d164e29739
der	w5_d164e29742
Verlust	w7_d164e29745
deren	w9_d164e29748
Preussen	w11_d164e29751
ist	w13_d164e29755
ebenfalls	w15_d164e29758
so	w17_d164e29761
eigentlich	w19_d164e29764
noch	w21_d164e29767
nicht	w23_d164e29770
bekannt,	w1_d164e29775
doch	w3_d164e29778
solle	w5_d164e29781
selber	w7_d164e29784
an	w9_d164e29787
todt=blessirt=Kriegs=gefangenen,	w11_d164e29790
und	w13_d164e29794
deser-	w15_d164e29797
tirten	w1_d164e29802
Leuten	w3_d164e29805
über	w5_d164e29808
die	w7_d164e29811
2000.	w9_d164e29814
Köpfe	w11_d164e29817
sich	w13_d164e29821
erstrecken;	w15_d164e29824
die	w17_d164e29827
Obristen	w19_d164e29830
von	w21_d164e29833
Klee-	w23_d164e29836
feld	w1_d164e29841
und	w3_d164e29844
Ried	w5_d164e29847
haben	w7_d164e29850
als	w9_d164e29853
Eifer=volle,	w11_d164e29856
und	w13_d164e29860
determinirte	w15_d164e29863
Officiers	w17_d164e29866
sich	w19_d164e29869
distin.	w21_d164e29872
guiret.	w1_d164e29878
</p>
<p id="p12_d164e29882">
Ein	w1_d164e29886
anderes	w3_d164e29889
kleines	w5_d164e29892
Detachement	w7_d164e29895
von	w9_d164e29898
dem	w11_d164e29901
Corps	w13_d164e29905
des	w15_d164e29908
General	w17_d164e29911
feld	w19_d164e29914
marschall=leutenants	w1_d164e29919
von	w3_d164e29922
Morocz	w5_d164e29925
hat	w7_d164e29928
obige	w9_d164e29931
Bagage	w11_d164e29934
ferners	w13_d164e29938
bey	w15_d164e29941
Kreywitz,	w17_d164e29944
und	w1_d164e29949
auch	w3_d164e29952
bey	w5_d164e29955
Neudorf,	w7_d164e29958
und	w9_d164e29961
Schönborn	w11_d164e29964
angefallen,	w13_d164e29968
davon	w15_d164e29971
aber	w17_d164e29974
nur	w19_d164e29977
einen	w21_d164e29980
Rüst=wagen,	w1_d164e29986
und	w3_d164e29989
30.	w5_d164e29992
Pferd	w7_d164e29995
erbeuten	w9_d164e29998
können,	w11_d164e30001
weilen	w13_d164e30005
die	w15_d164e30008
bedeckende	w17_d164e30011
Battail-	w19_d164e30014
lonen	w1_d164e30019
mit	w3_d164e30022
Stücken	w5_d164e30025
allzuvorsichtig	w7_d164e30028
marschiret	w9_d164e30031
seynd,	w11_d164e30034
und	w13_d164e30038
bey	w15_d164e30041
seiner	w17_d164e30044
Anru	w19_d164e30047
ckung	w1_d164e30052
alsogleich	w3_d164e30055
Quaré	w5_d164e30058
formiret	w7_d164e30061
haben.	w9_d164e30064
</p>
<p id="p14_d164e30067">
Der	w1_d164e30071
General	w3_d164e30074
Morocz,	w5_d164e30077
so	w7_d164e30080
sich	w9_d164e30083
zu	w11_d164e30086
Ulbersdors	w13_d164e30090
postiret	w15_d164e30093
hat	w17_d164e30096
läst	w19_d164e30099
gegen	w21_d164e30102
Rum-	w23_d164e30105
burg,	w1_d164e30110
Görlitz,	w3_d164e30113
Lauban,	w5_d164e30116
und	w7_d164e30119
dortige	w9_d164e30122
Gegenden	w11_d164e30125
patrouilliren,	w13_d164e30129
hat	w15_d164e30132
auch	w17_d164e30135
ei	w19_d164e30138
nen	w1_d164e30143
Ritt=meister	w3_d164e30146
von	w5_d164e30149
seinem	w7_d164e30152
Commando	w9_d164e30155
Namens	w11_d164e30158
Magyary	w13_d164e30162
jenseits	w15_d164e30165
Zit	w17_d164e30168
tau,	w1_d164e30174
welcher	w3_d164e30177
von	w5_d164e30180
der	w7_d164e30183
feindlichen	w9_d164e30186
in	w11_d164e30189
diesen	w13_d164e30193
Ort	w15_d164e30196
letztens	w17_d164e30199
sich	w19_d164e30202
eingeworfenen	w21_d164e30205
</p>
<p id="p20_d164e30218">
Avant	w1_d164e30222
garde	w3_d164e30225
18.	w5_d164e30228
Grenadiers,	w7_d164e30231
2.	w9_d164e30234
Dragoner,	w11_d164e30237
und	w13_d164e30241
2.	w15_d164e30244
Hussaren	w17_d164e30247
zu	w19_d164e30250
Kriegsge	w21_d164e30253
fangenen	w1_d164e30258
gemacht,	w3_d164e30261
und	w5_d164e30264
einige	w7_d164e30267
Pferde	w9_d164e30270
davon	w11_d164e30273
erbeutet.	w13_d164e30277
</p>
<p id="p22_d164e30280">
Der	w1_d164e30284
General	w3_d164e30287
der	w5_d164e30290
Cavallerie	w7_d164e30293
Graf	w9_d164e30296
Nadasdy	w11_d164e30299
befindet	w13_d164e30303
sich	w15_d164e30306
noch	w17_d164e30309
mit	w19_d164e30312
sei	w21_d164e30315
nem	w1_d164e30320
Corps	w3_d164e30323
zu	w5_d164e30326
Gastorf,	w7_d164e30329
und	w9_d164e30332
hat	w11_d164e30335
in	w13_d164e30339
der	w15_d164e30342
Gegend	w17_d164e30345
des	w19_d164e30348
feindlichen	w21_d164e30351
Lagers	w23_d164e30354
bey	w25_d164e30358
Leitmeritz	w1_d164e30363
einen	w3_d164e30366
Teich	w5_d164e30369
abzapfen	w7_d164e30372
lassen,	w9_d164e30375
um	w11_d164e30378
daselbstiger	w13_d164e30382
Cavallerie	w15_d164e30385
das	w17_d164e30388
Tränken	w1_d164e30394
der	w3_d164e30397
Pferde	w5_d164e30400
beschwerlich	w7_d164e30403
zu	w9_d164e30406
machen,	w11_d164e30409
dannoch	w13_d164e30413
aber	w15_d164e30416
haltet	w17_d164e30419
sich	w19_d164e30422
er	w21_d164e30425
meldetes	w1_d164e30430
Preußisches	w3_d164e30433
Lager	w5_d164e30436
noch	w7_d164e30439
immerfort	w9_d164e30442
ruhig.	w11_d164e30445
</p>
<p id="p24_d164e30449">
Die	w1_d164e30453
linke	w3_d164e30456
Flügel	w5_d164e30459
beeder	w7_d164e30462
Treffen	w9_d164e30465
der	w11_d164e30468
Kaiserl	w13_d164e30472
Königl	w15_d164e30475
Armée	w17_d164e30478
seynd	w19_d164e30481
an	w21_d164e30484
heut	w1_d164e30489
dem	w3_d164e30492
rechten	w5_d164e30495
bis	w7_d164e30498
in	w9_d164e30501
die	w11_d164e30504
Gegend	w13_d164e30508
von	w15_d164e30511
Zittau	w17_d164e30514
nachgerucket,	w19_d164e30517
und	w21_d164e30520
zwischen	w23_d164e30523
Krottau,	w1_d164e30528
dann	w3_d164e30531
Tirchau	w5_d164e30534
gelagert	w7_d164e30537
worden,	w9_d164e30540
wohingegen	w11_d164e30543
ein	w13_d164e30547
Theil	w15_d164e30550
der	w17_d164e30553
Armée	w19_d164e30556
über	w1_d164e30562
die	w3_d164e30565
Neiss	w5_d164e30568
gesetzet,	w7_d164e30571
und	w9_d164e30574
dieser	w11_d164e30577
Stadt	w13_d164e30581
sich	w15_d164e30584
genäheret	w17_d164e30587
hat.	w19_d164e30590
Bey	w21_d164e30593
Gabel	w23_d164e30596
ist	w1_d164e30601
ansonst	w3_d164e30604
ein	w5_d164e30607
beträchtliches	w7_d164e30610
Troupen-corps	w9_d164e30613
zuruckgelassen	w11_d164e30616
worden.	w13_d164e30620
</p>
<head id="h2_d164e30626">
Eben	w1_d164e30630
alda	w3_d164e30633
den	w5_d164e30636
22.	w7_d164e30639
Julii	w9_d164e30642
1757	w11_d164e30645
</head>
<p id="p4_d164e30648">
NAchdeme	w1_d164e30652
bereits	w3_d164e30655
gestern	w5_d164e30658
ein	w7_d164e30661
Theil	w9_d164e30664
der	w11_d164e30667
Kaiserl.	w13_d164e30671
Königl.	w15_d164e30674
Armée	w17_d164e30677
unter	w19_d164e30680
dem	w21_d164e30683
Generalen	w1_d164e30688
der	w3_d164e30691
Cavallerie	w5_d164e30694
Grafen	w7_d164e30697
von	w9_d164e30700
Luchesi,	w11_d164e30703
und	w13_d164e30707
General-feldmar	w15_d164e30710
schall=leutenant	w1_d164e30717
Herzog	w3_d164e30720
von	w5_d164e30723
Abrenberg	w7_d164e30726
über	w9_d164e30729
Neiss	w11_d164e30732
gesetzet,	w13_d164e30736
und	w15_d164e30739
der	w17_d164e30742
Stadt	w19_d164e30745
Zittau	w1_d164e30751
sich	w3_d164e30754
in	w5_d164e30757
etwas	w7_d164e30760
genäheret,	w9_d164e30763
nicht	w11_d164e30766
minder	w13_d164e30770
der	w15_d164e30773
General-feldmarschallleu	w17_d164e30776
tenant	w1_d164e30781
von	w3_d164e30784
Bohn	w5_d164e30787
als	w7_d164e30790
General	w9_d164e30793
director	w11_d164e30796
des	w13_d164e30800
Genie-wesens	w15_d164e30803
die	w17_d164e30806
Gegenden	w19_d164e30809
von	w21_d164e30812
Zittau	w1_d164e30817
recognosciret,	w3_d164e30820
dann	w5_d164e30823
auch	w7_d164e30826
der	w9_d164e30829
General-feld=zeug=meister	w11_d164e30832
von	w13_d164e30836
Feuer-	w15_d164e30839
stein	w1_d164e30844
zu	w3_d164e30847
Errichtung	w5_d164e30850
der	w7_d164e30853
Batterien	w9_d164e30856
die	w11_d164e30859
Plätze	w13_d164e30863
ausgesehen,	w15_d164e30866
überhaupt	w17_d164e30869
aber	w19_d164e30872
des	w21_d164e30875
Herrn	w1_d164e30881
Feld=marschallens	w3_d164e30884
Grafens	w5_d164e30887
von	w7_d164e30890
Daun	w9_d164e30893
Excellenz	w11_d164e30896
von	w13_d164e30900
allem	w15_d164e30903
und	w17_d164e30906
jeden	w19_d164e30909
den	w1_d164e30914
genauesten	w3_d164e30917
Augenschein	w5_d164e30920
eingenommen	w7_d164e30923
haben;	w9_d164e30926
so	w11_d164e30929
ist	w13_d164e30933
auch	w15_d164e30936
noch	w17_d164e30939
heut	w19_d164e30942
von	w21_d164e30945
beyden	w1_d164e30950
Treffen	w3_d164e30953
eine	w5_d164e30956
beträchtliche	w7_d164e30959
Anzahl	w9_d164e30962
sowol	w11_d164e30965
Cavallerie-	w13_d164e30969
als	w15_d164e30972
Infanterie-re	w17_d164e30975
gimenter	w1_d164e30980
jenseits	w3_d164e30983
der	w5_d164e30986
Neiss	w7_d164e30989
passiret,	w9_d164e30992
wo	w11_d164e30995
zu	w13_d164e30999
gleicher	w15_d164e31002
Zeit	w17_d164e31005
an	w19_d164e31008
denen	w21_d164e31011
Batteri-	w23_d164e31014
en,	w1_d164e31020
um	w3_d164e31023
die	w5_d164e31026
in	w7_d164e31029
der	w9_d164e31032
Stadt	w11_d164e31035
ligende	w13_d164e31039
Garnison	w15_d164e31042
mit	w17_d164e31045
Feuer	w19_d164e31048
zu	w21_d164e31051
bezwingen,	w23_d164e31054
gear	w25_d164e31058
beitet,	w1_d164e31063
Pontons-brücken	w3_d164e31066
über	w5_d164e31069
die	w7_d164e31072
Neiss,	w9_d164e31075
um	w11_d164e31078
die	w13_d164e31082
Communication	w15_d164e31085
zwischen	w17_d164e31088
dies	w1_d164e31093
und	w3_d164e31096
jenseitigen	w5_d164e31099
Troupen	w7_d164e31102
fest	w9_d164e31105
zu	w11_d164e31108
stellen,	w13_d164e31112
geworfen,	w15_d164e31115
und	w17_d164e31118
die	w19_d164e31121
Generalität,	w21_d164e31124
so	w23_d164e31127
den	w1_d164e31132
Angrif	w3_d164e31135
der	w5_d164e31138
Stadt	w7_d164e31141
anzuführen	w9_d164e31144
hat,	w11_d164e31147
bestimmet	w13_d164e31151
worden;	w15_d164e31154
so	w17_d164e31157
hat	w19_d164e31160
man	w21_d164e31163
den	w23_d164e31166
Artillerie-obristen	w1_d164e31172
von	w3_d164e31175
Waldenau	w5_d164e31178
die	w7_d164e31181
Besatzung	w9_d164e31184
ordentlich	w11_d164e31187
aufzuforderen,	w13_d164e31191
in	w15_d164e31194
