<doc id="wr_1758-01-11" attrs="word" year="1758" month="01" day="11" corpus="2">
<head id="h2_d209e2714">
Paderborn,	w1_d209e2718
Liechtenth.,	w5_d209e13606
alt	w7_d209e13609
46.	w9_d209e13612
J.	w11_d209e13615
Jos.	w1_d209e13620
Eiselt,	w3_d209e13623
alt	w5_d209e13626
10.	w7_d209e13629
J,	w9_d209e13632
und	w11_d209e13635
Georg	w13_d209e13639
Glesall,	w15_d209e13642
alt	w17_d209e13645
66.	w19_d209e13648
J.,	w1_d209e13653
beydelbey	w3_d209e13656
denen	w5_d209e13659
FF.	w7_d209e13662
Mis.	w9_d209e13665
Summa	w1_d209e13670
11.	w3_d209e13673
Pers.,	w5_d209e13676
darunter	w7_d209e13679
1.	w9_d209e13682
Rind.	w11_d209e13685
</list>
<p id="p6_d209e13689">
Den	w1_d209e13693
13.	w3_d209e13696
Januarii	w5_d209e13699
in=lebenden	w7_d209e13702
Jahrs	w9_d209e13705
wird	w11_d209e13708
in	w1_d209e13713
der	w3_d209e13716
Löbl.	w5_d209e13719
Kaiserl.	w7_d209e13722
Convict	w9_d209e13725
Grundbuch=stuben	w11_d209e13728
ad	w1_d209e13733
St.	w3_d209e13736
Barbaram	w5_d209e13739
in	w7_d209e13742
der	w9_d209e13745
frühe	w11_d209e13748
um	w13_d209e13752
9.	w15_d209e13755
Uhr,	w17_d209e13758
der	w1_d209e13764
zu	w3_d209e13767
Atzgerstorf	w5_d209e13770
ligend,	w7_d209e13773
und	w9_d209e13776
zu	w11_d209e13779
gedachten	w13_d209e13783
Löbl.	w1_d209e13788
Grund=buch	w3_d209e13791
dienstbarsogenanntPürsch	w5_d209e13794
lische	w1_d209e13799
Hof	w3_d209e13802
samt	w5_d209e13805
überländ	w7_d209e13808
und	w9_d209e13811
HausGrund	w11_d209e13814
stucken	w1_d209e13819
dem	w3_d209e13822
Meist=biettenden	w5_d209e13825
licitaudo	w7_d209e13828
ver	w9_d209e13831
kauft	w1_d209e13837
werden,	w3_d209e13840
wer	w5_d209e13843
also	w7_d209e13846
Lust	w9_d209e13849
hat,	w11_d209e13852
solchen	w13_d209e13856
zu	w15_d209e13859
erkauffen,	w1_d209e13864
der	w3_d209e13867
kan	w5_d209e13870
sich	w7_d209e13873
dieserwegen	w9_d209e13876
an	w11_d209e13879
gedachten	w13_d209e13883
Tag	w1_d209e13888
und	w3_d209e13891
Stund	w5_d209e13894
alda	w7_d209e13897
einfinden.	w9_d209e13900
</p>
<p id="p8_d209e13903">
Bey	w1_d209e13907
Johann	w3_d209e13910
Ferdinand	w5_d209e13913
Baumgartner,	w7_d209e13916
Burgerl.	w1_d209e13921
Buchbinder,	w3_d209e13924
wohnhaft	w5_d209e13927
im	w7_d209e13930
Federl	w9_d209e13933
hof	w1_d209e13938
unter	w3_d209e13941
den	w5_d209e13944
Fleisch=bänken,	w7_d209e13947
den	w9_d209e13950
Laden	w11_d209e13953
in	w13_d209e13957
der	w1_d209e13963
Kärntner=strassen,	w3_d209e13966
im	w5_d209e13969
de	w7_d209e13972
Paulischen	w9_d209e13975
Haus,	w11_d209e13978
ist	w1_d209e13983
zu	w3_d209e13986
haben:	w5_d209e13989
</p>
<p id="p10_d209e13992">
Marianische	w1_d209e13996
Krone	w3_d209e13999
von	w5_d209e14002
12.	w7_d209e14005
Sternen,	w9_d209e14008
in	w11_d209e14011
welcher	w1_d209e14016
ein	w3_d209e14019
Marianischer	w5_d209e14022
Liebhaber	w7_d209e14025
durch	w9_d209e14028
Verehrung	w1_d209e14033
der	w3_d209e14036
vornehmsten	w5_d209e14039
Tugenden	w7_d209e14042
und	w9_d209e14045
Geheimnissen	w1_d209e14051
des	w3_d209e14054
heiligsten	w5_d209e14057
Leben	w7_d209e14060
Mariä	w9_d209e14063
der	w1_d209e14068
Jungfrauen,	w3_d209e14071
sich	w5_d209e14074
zu	w7_d209e14077
einem	w9_d209e14080
wahren	w11_d209e14083
kindli	w13_d209e14087
chen	w1_d209e14092
Vertrauen	w3_d209e14095
aufmuntert,	w5_d209e14098
und	w7_d209e14101
die	w9_d209e14104
mächtige	w11_d209e14107
Hülfe	w1_d209e14112
dieser	w3_d209e14115
seligsten	w5_d209e14118
Mutter	w7_d209e14121
und	w9_d209e14124
Jungfrau	w11_d209e14127
vor	w1_d209e14133
sich	w3_d209e14136
und	w5_d209e14139
andere	w7_d209e14142
ansuchet.	w9_d209e14145
Jn	w11_d209e14148
12.	w13_d209e14152
1757.	w15_d209e14155
mit	w1_d209e14160
12.	w3_d209e14163
feinen	w5_d209e14166
Kupfern	w7_d209e14169
gezieret.	w9_d209e14172
Das	w11_d209e14175
Werk	w13_d209e14179
gebunden	w1_d209e14184
in	w3_d209e14187
braun	w5_d209e14190
Papier	w7_d209e14193
und	w9_d209e14196
steiffen	w11_d209e14199
Deckel	w13_d209e14203
kostet	w1_d209e14208
17.	w3_d209e14211
Kr.	w5_d209e14214
in	w7_d209e14217
Franz=band	w9_d209e14220
30.	w11_d209e14223
Kr.	w13_d209e14227
und	w15_d209e14230
in	w1_d209e14236
schwarzen	w3_d209e14239
Corkuan=futteral	w5_d209e14242
42.	w7_d209e14245
Kr.	w9_d209e14248
</p>
<head id="h2_d209e14254">
EDICT.	w1_d209e14258
</head>
<p id="p4_d209e14261">
Von	w1_d209e14265
der	w3_d209e14268
Römisch=Kaiserl.	w5_d209e14271
wie	w7_d209e14274
auch	w9_d209e14277
zu	w11_d209e14280
Hungarn	w1_d209e14285
und	w3_d209e14288
Böheim	w5_d209e14291
Königl.	w7_d209e14294
Majestät,	w9_d209e14297
Erz	w11_d209e14300
herzogin	w1_d209e14305
zu	w3_d209e14308
Oesterreich	w5_d209e14311
rc.	w7_d209e14314
Wald=amts	w9_d209e14317
Grund	w11_d209e14320
buch	w1_d209e14326
in	w3_d209e14329
Oesterreich	w5_d209e14332
unter	w7_d209e14335
der	w9_d209e14338
Enns	w11_d209e14341
wegen;	w13_d209e14345
al	w15_d209e14348
len	w1_d209e14353
und	w3_d209e14356
jeden	w5_d209e14359
hiermit	w7_d209e14362
ex	w9_d209e14365
Officio	w11_d209e14368
anzudeuten.	w13_d209e14372
</p>
<p id="p6_d209e14375">
Demnach	w1_d209e14379
der,	w3_d209e14382
dem	w5_d209e14385
minder=jährigen	w7_d209e14388
Anton	w9_d209e14391
Wolf	w1_d209e14396
Mühl=jungen,	w3_d209e14399
als	w5_d209e14402
von	w7_d209e14405
seiner	w9_d209e14408
Mutter	w11_d209e14411
Catharina	w1_d209e14416
Wolfin,	w3_d209e14419
vorhin	w5_d209e14422
verehligten	w7_d209e14425
Haf	w9_d209e14428
nerin,	w1_d209e14434
gewesten	w3_d209e14437
Müller=meisterin,	w5_d209e14440
und	w7_d209e14443
Wittib	w9_d209e14446
zu	w1_d209e14451
Purkerstorf	w3_d209e14454
seelig	w5_d209e14457
instituirten	w7_d209e14460
Universaler	w9_d209e14463
ben	w1_d209e14468
gerichtlich	w3_d209e14471
aufgestelte	w5_d209e14474
Curator	w7_d209e14477
ad	w9_d209e14480
Actum	w11_d209e14483
Hr.	w1_d209e14488
Augustin	w3_d209e14491
Böck,	w5_d209e14494
J	w7_d209e14497
U.	w9_d209e14500
D.	w11_d209e14503
auch	w13_d209e14507
Hofkriegs	w15_d209e14510
rahts	w1_d209e14516
und	w3_d209e14519
Gerichtstadvocat	w5_d209e14522
unterm	w7_d209e14525
16.	w9_d209e14528
die	w11_d209e14531
ses	w1_d209e14536
Monats	w3_d209e14539
Decembr.	w5_d209e14542
mit	w7_d209e14545
mehrerem	w9_d209e14548
schrift	w11_d209e14551
lich	w1_d209e14556
angebracht,	w3_d209e14559
welcher=massen	w5_d209e14562
es	w7_d209e14565
die	w9_d209e14568
Noht	w11_d209e14571
wendigkeit	w1_d209e14576
erheuschete,	w3_d209e14579
daß	w5_d209e14582
zur	w7_d209e14585
Sicherheit	w9_d209e14588
sei	w11_d209e14591
nes	w1_d209e14597
erwehnten	w3_d209e14600
Curandi	w5_d209e14603
die	w7_d209e14606
etwo	w9_d209e14609
vorhandene	w11_d209e14612
Creditores,	w1_d209e14617
oder	w3_d209e14620
sonstige	w5_d209e14623
Prätendenten	w7_d209e14626
seiner	w9_d209e14629
obgedachten	w1_d209e14634
Mutter	w3_d209e14637
seel.	w5_d209e14640
durch	w7_d209e14643
ein	w9_d209e14646
offentliches	w11_d209e14649
Valval-edict	w1_d209e14654
convociret	w3_d209e14657
werden,	w5_d209e14660
zur	w7_d209e14663
solchen	w9_d209e14666
Convocations-tag=satzung	w1_d209e14672
aber	w3_d209e14675
nach	w5_d209e14678
der	w7_d209e14681
be	w9_d209e14684
</p>
<p id="p10_d209e14689">
reits	w1_d209e14693
unterm	w3_d209e14696
obigen	w5_d209e14699
Dato	w7_d209e14702
an	w9_d209e14705
dies=ortiges	w11_d209e14708
Grund=buch	w1_d209e14713
behobenen	w3_d209e14716
Edictsausfertigungs	w5_d209e14719
auflag	w1_d209e14724
der	w3_d209e14727
10	w5_d209e14730
Martii	w7_d209e14733
des	w9_d209e14736
eingehend	w11_d209e14739
1758ten	w13_d209e14743
Jahrs	w1_d209e14749
aller=dings	w3_d209e14752
bestimmet	w5_d209e14755
wird;	w7_d209e14758
</p>
<p id="p12_d209e14762">
Als	w1_d209e14766
werden	w3_d209e14769
all	w5_d209e14772
und	w7_d209e14775
jede	w9_d209e14778
so	w11_d209e14781
an	w13_d209e14785
obbesagter	w15_d209e14788
Catharina	w1_d209e14793
Wolfin,	w3_d209e14796
vorhin	w5_d209e14799
vereheligten	w7_d209e14802
Haf	w9_d209e14805
nerin	w1_d209e14810
seel.	w3_d209e14813
Verlassenschaft	w5_d209e14816
Schulden,	w7_d209e14819
oder	w9_d209e14822
an	w11_d209e14825
derer	w1_d209e14831
Forderungen	w3_d209e14834
halber	w5_d209e14837
ex	w7_d209e14840
quocumque	w9_d209e14843
demum	w1_d209e14848
Capite,	w3_d209e14851
titulo,	w5_d209e14854
vel	w7_d209e14857
causa	w9_d209e14860
einige	w11_d209e14863
Sprüch	w1_d209e14868
haben,	w3_d209e14871
oder	w5_d209e14874
zu	w7_d209e14877
haben	w9_d209e14880
vermeinen,	w11_d209e14883
vor	w13_d209e14887
angesetzten	w1_d209e14892
Tag	w3_d209e14895
fruhe	w5_d209e14898
um	w7_d209e14901
9.	w9_d209e14904
Uhr	w11_d209e14907
bey	w13_d209e14911
diesem	w15_d209e14914
Kaiserl.	w1_d209e14920
Königl.	w3_d209e14923
Ni.	w5_d209e14926
Oe.	w7_d209e14929
Wald=amts	w9_d209e14932
Grund	w11_d209e14935
buch	w1_d209e14940
in	w3_d209e14943
dem	w5_d209e14946
auch	w7_d209e14949
K.	w9_d209e14952
K.	w11_d209e14955
Ni.	w13_d209e14959
Oe.	w15_d209e14962
Salzober	w17_d209e14965
amt	w1_d209e14970
also	w3_d209e14973
gewiß,	w5_d209e14976
und	w7_d209e14979
zwar	w9_d209e14982
sub	w11_d209e14985
1wö.	w13_d209e14989
200	w15_d209e14992
&	w17_d209e14995
3tio	w1_d209e15000
Termino	w3_d209e15003
ac	w5_d209e15006
clausula	w7_d209e15009
præclusi	w9_d209e15012
zu	w11_d209e15015
er	w13_d209e15019
scheinen,	w1_d209e15025
und	w3_d209e15028
ihre	w5_d209e15031
Forderungen	w7_d209e15034
Rechts=bestän	w9_d209e15037
dig	w1_d209e15042
zu	w3_d209e15045
liquidiren	w5_d209e15048
haben,	w7_d209e15051
wie	w9_d209e15054
im	w11_d209e15057
widrigen	w13_d209e15061
die	w15_d209e15064
nicht	w1_d209e15069
Erscheinende	w3_d209e15072
mit	w5_d209e15075
ihrer	w7_d209e15078
Forderung	w9_d209e15081
von	w11_d209e15084
dieser	w1_d209e15089
Verlassenschafts=massa	w3_d209e15092
gänzlichen	w5_d209e15095
aus	w7_d209e15098
geschlossen,	w1_d209e15104
und	w3_d209e15107
nicht	w5_d209e15110
mehr	w7_d209e15113
angehöret,	w9_d209e15116
die	w11_d209e15119
nicht	w1_d209e15124
Liquid	w3_d209e15127
rende	w5_d209e15130
aber	w7_d209e15133
davon	w9_d209e15136
Empliciter	w11_d209e15139
ab	w13_d209e15143
gewiesen,	w1_d209e15148
sohin	w3_d209e15151
ein	w5_d209e15154
wie	w7_d209e15157
dem	w9_d209e15160
anderen	w11_d209e15163
das	w13_d209e15167
ewige	w1_d209e15172
Stillschweihen	w3_d209e15175
auferleget,	w5_d209e15178
und	w7_d209e15181
was	w9_d209e15184
Rechtens	w1_d209e15190
ist	w3_d209e15193
ex	w5_d209e15196
Officio	w7_d209e15199
vorgekehret	w9_d209e15202
werden	w11_d209e15205
solle.	w1_d209e15210
Actumi	w3_d209e15213
Wien	w5_d209e15216
den	w7_d209e15219
23.	w9_d209e15222
Decembr.	w11_d209e15225
1757.	w13_d209e15229
</p>
<p id="p14_d209e15232">
Es	w1_d209e15236
ist	w3_d209e15239
in	w5_d209e15242
der	w7_d209e15245
Carntner=straß	w9_d209e15248
nächst	w11_d209e15251
dem	w13_d209e15255
Pfauen	w1_d209e15260
in	w3_d209e15263
dem	w5_d209e15266
genannt	w7_d209e15269
Grindlerischen	w9_d209e15272
Haus	w11_d209e15275
das	w1_d209e15280
jederzeit	w3_d209e15283
renomirte	w5_d209e15286
Specerey=gewölb	w7_d209e15289
samt	w9_d209e15292
erforderlichen	w1_d209e15298
Zugehörungen,	w3_d209e15301
und	w5_d209e15304
zwar	w7_d209e15307
mit	w9_d209e15310
behörig	w1_d209e15315
Obrigkeitligen	w3_d209e15318
Consens	w5_d209e15321
alltäglich	w7_d209e15324
zu	w1_d209e15329
verlassen,	w3_d209e15332
wann	w5_d209e15335
also	w7_d209e15338
ein	w9_d209e15341
oder	w11_d209e15344
anderer	w13_d209e15348
die	w15_d209e15351
ses	w1_d209e15356
Gewölb	w3_d209e15359
in	w5_d209e15362
Bestand	w7_d209e15365
zu	w9_d209e15368
nehmen	w11_d209e15371
beliebt,	w13_d209e15375
derselbe	w1_d209e15381
hat	w3_d209e15384
gegen	w5_d209e15387
Erwartung	w7_d209e15390
aller	w9_d209e15393
nur	w11_d209e15396
im	w13_d209e15400
ner	w1_d209e15405
möglichen	w3_d209e15408
Conventionen	w5_d209e15411
sich	w7_d209e15414
bey	w9_d209e15417
dem	w11_d209e15420
haus=innhaber	w1_d209e15425
in	w3_d209e15428
gedachter	w5_d209e15431
Behausung	w7_d209e15434
im	w9_d209e15437
serten	w1_d209e15442
Stock	w3_d209e15445
anzumelden.	w5_d209e15448
</p>
<p id="p16_d209e15451">
Es	w1_d209e15455
wird	w3_d209e15458
hiemit	w5_d209e15461
jedermänniglich	w7_d209e15464
kund	w9_d209e15467
und	w11_d209e15470
zu	w1_d209e15475
wissen	w3_d209e15478
gemacht,	w5_d209e15481
daß	w7_d209e15484
den	w9_d209e15487
16.	w11_d209e15490
diß	w13_d209e15494
lauffenden	w15_d209e15497
Monats	w1_d209e15502
Januarii	w3_d209e15505
das	w5_d209e15508
Gräflich	w7_d209e15511
Auerspergt	w9_d209e15514
sche	w1_d209e15520
in	w3_d209e15523
der	w5_d209e15526
kleinen	w7_d209e15529
Dorothee	w9_d209e15532
Gassen	w11_d209e15535
gelegene	w13_d209e15539
um	w1_d209e15544
40000	w3_d209e15547
fl.	w5_d209e15550
gerichtlich	w7_d209e15553
geschätzte	w9_d209e15556
Haus	w11_d209e15559
bey	w13_d209e15563
dem	w1_d209e15568
Löblich	w3_d209e15571
Land=marschallischen	w5_d209e15574
Gericht,	w7_d209e15577
licitando	w1_d209e15582
den	w3_d209e15585
Meist=bietenden	w5_d209e15588
werde	w7_d209e15591
verkauft	w9_d209e15594
werden,	w1_d209e15600
also	w3_d209e15603
sothane	w5_d209e15606
Behausung	w7_d209e15609
käuflich	w9_d209e15612
an	w11_d209e15615
sich	w1_d209e15620
zu	w3_d209e15623
bringen	w5_d209e15626
gedenket,	w7_d209e15629
derselbe	w9_d209e15632
kan	w11_d209e15635
sich	w13_d209e15639
an	w15_d209e15642
ob=bestimmten	w1_d209e15647
Tag	w3_d209e15650
bey	w5_d209e15653
ersagt	w7_d209e15656
Löbl.	w9_d209e15659
Land	w11_d209e15662
marschallischen	w1_d209e15667
Gericht	w3_d209e15670
frühe	w5_d209e15673
um	w7_d209e15676
8.	w9_d209e15679
Uhr	w11_d209e15682
be	w13_d209e15686
hörig	w1_d209e15692
anmelden.	w3_d209e15695
</p>
<p id="p18_d209e15698">
Den	w1_d209e15702
18	w3_d209e15705
Jenner	w5_d209e15708
1758.	w7_d209e15711
wird	w9_d209e15714
in	w11_d209e15717
der	w13_d209e15721
Landes	w15_d209e15724
fürstl.	w1_d209e15729
Stadt	w3_d209e15732
Bruck	w5_d209e15735
an	w7_d209e15738
der	w9_d209e15741
Leyta	w11_d209e15744
weil.	w13_d209e15748
Hrn.	w15_d209e15751
</p>
<p id="p20_d209e15754">
Joseph	w1_d209e15758
Ristl,	w3_d209e15761
gewest=basigen	w5_d209e15764
Burgers,	w7_d209e15767
und	w9_d209e15770
Hungarischen	w1_d209e15775
Wein=aufschlags=einnehmers	w3_d209e15778
seel.	w1_d209e15783
Haus,	w3_d209e15786
wie	w5_d209e15789
auch	w7_d209e15792
der	w9_d209e15795
Stadel	w11_d209e15798
vor	w13_d209e15802
dem	w15_d209e15805
Hainburger=thor,	w1_d209e15811
samt	w3_d209e15814
dem	w5_d209e15817
dabey	w7_d209e15820
befindli	w9_d209e15823
chen	w1_d209e15828
Kraut=garten,	w3_d209e15831
und	w5_d209e15834
Vieh=fleck,	w7_d209e15837
dann	w9_d209e15840
4.	w1_d209e15845
in	w3_d209e15848
Hungarn	w5_d209e15851
ligenden	w7_d209e15854
Wein=gärten,	w9_d209e15857
nebst	w11_d209e15860
200.	w1_d209e15865
Eimer	w3_d209e15868
vorhandenen	w5_d209e15871
alten	w7_d209e15874
Wein	w9_d209e15877
in	w11_d209e15880
eise	w13_d209e15884
nen	w1_d209e15890
Banden,	w3_d209e15893
Licitando	w5_d209e15896
dem	w7_d209e15899
Meist=bietenden	w9_d209e15902
verkauffet	w1_d209e15907
werden	w3_d209e15910
Wannenhero	w5_d209e15913
die	w7_d209e15916
jenige,	w9_d209e15919
so	w1_d209e15924
hierum	w3_d209e15927
zu	w5_d209e15930
licitiren	w7_d209e15933
gedenken,	w9_d209e15936
an	w11_d209e15939
obbestim	w13_d209e15943
ten	w1_d209e15948
Tag	w3_d209e15951
Fruhe	w5_d209e15954
um	w7_d209e15957
8.	w9_d209e15960
Uhr	w11_d209e15963
zu	w13_d209e15967
Bruck	w15_d209e15970
auf	w17_d209e15973
dem	w19_d209e15976
Raht=haus	w1_d209e15982
sich	w3_d209e15985
anzumelden	w5_d209e15988
haben.	w7_d209e15991
</p>
<p id="p22_d209e15994">
Es	w1_d209e15998
ist	w3_d209e16001
ein	w5_d209e16004
Haus=satz=brief	w7_d209e16007
per	w9_d209e16010
3400	w11_d209e16013
fl.	w13_d209e16017
(welcher	w1_d209e16022
auf	w3_d209e16025
des	w5_d209e16028
Hrn.	w7_d209e16031
Ferdinand	w9_d209e16034
Aichinger,	w11_d209e16037
nunmehr	w1_d209e16042
seel.	w3_d209e16045
Behausung	w5_d209e16048
auf	w7_d209e16051
der	w9_d209e16054
Land=straß	w11_d209e16057
unterm	w1_d209e16063
8.	w3_d209e16066
Junii	w5_d209e16069
1744.	w7_d209e16072
auf	w9_d209e16075
der	w11_d209e16078
Frauen	w13_d209e16082
Su	w15_d209e16085
sa	w1_d209e16090
nam	w3_d209e16093
Löheim,	w5_d209e16096
auch	w7_d209e16099
nunmehr	w9_d209e16102
seel.	w11_d209e16105
lautend,	w13_d209e16109
von	w1_d209e16114
dem	w3_d209e16117
Löbl.	w5_d209e16120
Hof=gericht=grund=buch	w7_d209e16123
Schotten	w1_d209e16128
ausgefertiget	w3_d209e16131
worden)	w5_d209e16134
in	w7_d209e16137
Verlust	w9_d209e16140
gerahten;	w1_d209e16146
wessentwillen	w3_d209e16149
auch	w5_d209e16152
die	w7_d209e16155
erforderli	w9_d209e16158
che	w1_d209e16163
Amortisirungs=edicten	w3_d209e16166
de	w5_d209e16169
dato	w7_d209e16172
6.	w9_d209e16175
Ju	w11_d209e16178
nii	w1_d209e16183
1757.	w3_d209e16186
auf	w5_d209e16189
ein	w7_d209e16192
Jahr	w9_d209e16195
6.	w11_d209e16198
Wochen	w13_d209e16202
und	w15_d209e16205
3.	w17_d209e16208
Tägen	w1_d209e16213
affigiret	w3_d209e16216
worden,	w5_d209e16219
der	w7_d209e16222
oder	w9_d209e16225
die	w11_d209e16228
jenige,	w13_d209e16232
so	w1_d209e16238
dieses	w3_d209e16241
Satz=briefs=halber	w5_d209e16244
einige	w7_d209e16247
Wis	w9_d209e16250
senschafts	w1_d209e16255
haben,	w3_d209e16258
sollen	w5_d209e16261
solchen	w7_d209e16264
zu	w9_d209e16267
obgedach	w11_d209e16270
ten	w1_d209e16275
Grund=buchs=handen	w3_d209e16278
(weilen	w5_d209e16281
hierauf	w7_d209e16284
das	w1_d209e16289
Capital	w3_d209e16292
deren	w5_d209e16295
3400.	w7_d209e16298
fl.	w9_d209e16301
cum	w11_d209e16304
sua	w13_d209e16308
causa	w15_d209e16311
schon	w1_d209e16317
abgeführet	w3_d209e16320
worden)	w5_d209e16323
überbringen,	w7_d209e16326
und	w9_d209e16329
zur	w1_d209e16334
Caßirung	w3_d209e16337
einlegen=Wien	w5_d209e16340
den	w7_d209e16343
13.	w9_d209e16346
Junii,	w11_d209e16349
1757.	w1_d209e16354
</p>
<head id="h2_d209e16360">
EDICT.	w1_d209e16364
</head>
<p id="p4_d209e16367">
Von	w1_d209e16371
der	w3_d209e16374
Röm.	w5_d209e16377
Kaiserl.	w7_d209e16380
zu	w9_d209e16383
Hungarn	w11_d209e16386
und	w13_d209e16390
Böheim	w1_d209e16395
Königl.	w3_d209e16398
Majestät	w5_d209e16401
Erz=herzogin	w7_d209e16404
zu	w9_d209e16407
Oesterreich	w1_d209e16412
rc.	w3_d209e16415
Wald=amts=grund=buch	w5_d209e16418
in	w7_d209e16421
Oesterreich	w1_d209e16427
unter	w3_d209e16430
der	w5_d209e16433
Enns	w7_d209e16436
wegen.	w9_d209e16439
Allen	w11_d209e16442
und	w1_d209e16447
jeden	w3_d209e16450
hiermit	w5_d209e16453
ex	w7_d209e16456
officio	w9_d209e16459
anzudeuten.	w11_d209e16462
</p>
<p id="p6_d209e16465">
Es	w1_d209e16469
habe	w3_d209e16472
diesem	w5_d209e16475
Amt	w7_d209e16478
der	w9_d209e16481
über	w11_d209e16484
Weil.	w13_d209e16488
Lo	w15_d209e16491
renz	w1_d209e16496
Wöhrer,	w3_d209e16499
gewest=Kaiserl.	w5_d209e16502
Forster	w7_d209e16505
am	w9_d209e16508
Anin	w11_d209e16511
ger,	w1_d209e16516
vorlängst	w3_d209e16519
seel.	w5_d209e16522
Verlassenschaft	w7_d209e16525
gerichtlich	w9_d209e16528
aufgestellte	w1_d209e16534
Curator	w3_d209e16537
ad	w5_d209e16540
Actum,	w7_d209e16543
&	w9_d209e16546
Lites	w11_d209e16549
Herr	w1_d209e16554
Augustin	w3_d209e16557
Böck,	w5_d209e16560
J.	w7_d209e16563
U.	w9_d209e16566
D.	w11_d209e16569
auch	w13_d209e16573
Hof	w15_d209e16576
kriegsrahts	w1_d209e16581
und	w3_d209e16584
Gerichts=advocat,	w5_d209e16587
un	w7_d209e16590
term	w1_d209e16595
2.	w3_d209e16598
December	w5_d209e16601
dieses	w7_d209e16604
zu	w9_d209e16607
Ende	w11_d209e16610
gehenden	w13_d209e16614
1757.	w1_d209e16620
Jahrs	w3_d209e16623
schriftlichen	w5_d209e16626
vorgestellet,	w7_d209e16629
wel	w9_d209e16632
chergestalten	w1_d209e16637
es	w3_d209e16640
allerdings	w5_d209e16643
erforderlich	w7_d209e16646
seyn	w9_d209e16649
wolte,	w1_d209e16654
daß,	w3_d209e16657
weilen	w5_d209e16660
gemäß	w7_d209e16663
der	w9_d209e16666
in	w11_d209e16669
Sachen	w13_d209e16673
Judicialiter	w1_d209e16678
errichteten	w3_d209e16681
Inventur,	w5_d209e16684
die	w7_d209e16687
da	w9_d209e16690
rinnen	w1_d209e16696
vorgeschriebene	w3_d209e16699
Passiva	w5_d209e16702
den	w7_d209e16705
verhanden	w9_d209e16708
richtigen	w1_d209e16713
Vermögens=stand	w3_d209e16716
weit	w5_d209e16719
übersteigeten,	w7_d209e16722
vor	w1_d209e16727
allen	w3_d209e16730
die	w5_d209e16733
diesfällige	w7_d209e16736
Creditores,	w9_d209e16739
oder	w11_d209e16742
</p>
<p id="p10_d209e16747">
senst	w1_d209e16751
etwann	w3_d209e16754
an	w5_d209e16757
diese	w7_d209e16760
Verlassenschaft	w9_d209e16763
Sprüch	w11_d209e16766
habend	w1_d209e16771
oder	w3_d209e16774
machen	w5_d209e16777
wollende	w7_d209e16780
Partheyen	w9_d209e16783
per	w1_d209e16788
edicta	w3_d209e16791
ad	w5_d209e16794
valvas	w7_d209e16797
convociret	w9_d209e16800
werden,	w11_d209e16803
und	w1_d209e16809
sub	w3_d209e16812
eodem	w5_d209e16815
dato	w7_d209e16818
auf	w9_d209e16821
sein	w11_d209e16824
Ansuchen	w13_d209e16828
die	w15_d209e16831
Auflag	w1_d209e16836
wegen	w3_d209e16839
Ausfertig	w5_d209e16842
und	w7_d209e16845
behöriger	w9_d209e16848
Affi	w11_d209e16851
girung	w1_d209e16856
sothaner	w3_d209e16859
Edicten	w5_d209e16862
sub	w7_d209e16865
termino	w9_d209e16868
præ-	w11_d209e16871
clusi	w1_d209e16876
würklichen	w3_d209e16879
erhalten.	w5_d209e16882
Wann	w7_d209e16885
nun	w9_d209e16888
zu	w11_d209e16891
solcher	w1_d209e16897
Convocations=tagsatzung	w3_d209e16900
der	w5_d209e16903
3.	w7_d209e16906
Mo	w9_d209e16909
naht	w1_d209e16914
Martii	w3_d209e16917
des	w5_d209e16920
eingehenden	w7_d209e16923
1758.	w9_d209e16926
Jahres	w11_d209e16929
hiemit	w1_d209e16934
in	w3_d209e16937
allweeg	w5_d209e16940
bestimmet	w7_d209e16943
wird.	w9_d209e16946
</p>
<p id="p12_d209e16950">
Als	w1_d209e16954
werden	w3_d209e16957
alle	w5_d209e16960
und	w7_d209e16963
jede,	w9_d209e16966
so	w11_d209e16969
an	w13_d209e16973
Eingangs	w15_d209e16976
erwehnten	w1_d209e16981
Lorenz	w3_d209e16984
Wöhrer	w5_d209e16987
seel.	w7_d209e16990
Verlassenschaft	w9_d209e16993
Schulden	w1_d209e16998
oder	w3_d209e17001
Erbschaft	w5_d209e17004
halber,	w7_d209e17007
vel	w9_d209e17010
ex	w11_d209e17013
qu=-	w13_d209e17017
cunque	w1_d209e17023
demum	w3_d209e17026
capite	w5_d209e17029
jure	w7_d209e17032
vel	w9_d209e17035
causa	w11_d209e17038
einige	w1_d209e17043
Sprüch	w3_d209e17046
haben,	w5_d209e17049
oder	w7_d209e17052
zu	w9_d209e17055
haben	w11_d209e17058
vermei	w13_d209e17062
nen,	w1_d209e17067
vorangesetzten	w3_d209e17070
Tag	w5_d209e17073
fruhe	w7_d209e17076
um	w9_d209e17079
9.	w11_d209e17082
Uhr,	w13_d209e17086
bey	w1_d209e17091
diesem	w3_d209e17094
Kais.	w5_d209e17097
Kön.	w7_d209e17100
N.	w9_d209e17103
O.	w11_d209e17106
Waldamts	w13_d209e17110
grund	w1_d209e17116
uch	w3_d209e17119
in	w5_d209e17122
dem	w7_d209e17125
auch	w9_d209e17128
Kaiserl.	w11_d209e17131
Kön.	w13_d209e17135
N.	w15_d209e17138
O.	w17_d209e17141
Salz=ober=amt	w1_d209e17146
also	w3_d209e17149
gewiß,	w5_d209e17152
