<doc id="wr_1757-04-30" attrs="word" year="1757" month="04" day="30" corpus="2">
<head id="h2_d139e3473">
Philadelphia	w1_d139e3477
K.	w9_d139e14329
K.	w11_d139e14332
Directorialrahts	w13_d139e14336
thür=hüt.,	w1_d139e14341
s.	w3_d139e14344
K.	w5_d139e14347
Theres.,	w7_d139e14350
im	w9_d139e14353
Steinmetzis.	w11_d139e14356
H.	w13_d139e14360
in	w15_d139e14363
Haar=hof,	w1_d139e14368
alt	w3_d139e14371
4.	w5_d139e14374
J.	w7_d139e14377
Dem	w1_d139e14383
Ferd.	w3_d139e14386
Götzerstorfer,	w5_d139e14389
Burgerl.	w7_d139e14392
Schneid,	w9_d139e14395
s.	w11_d139e14398
T.	w13_d139e14402
Cathar.,	w1_d139e14407
im	w3_d139e14410
Wirts=H.	w5_d139e14413
im	w7_d139e14416
Fisch=hof,	w9_d139e14419
alt	w11_d139e14422
12.	w13_d139e14426
J.	w15_d139e14429
Barb.	w1_d139e14434
Gagniere,	w3_d139e14437
Wittwe,	w5_d139e14440
im	w7_d139e14443
Schleifferis.	w9_d139e14446
H.	w11_d139e14449
in	w13_d139e14453
tief.	w1_d139e14458
Grab.,	w3_d139e14461
alt	w5_d139e14464
60.	w7_d139e14467
J.	w9_d139e14470
Gottfr.	w1_d139e14476
Schauer,	w3_d139e14479
Kutsch.,	w5_d139e14482
im	w7_d139e14485
Gydenis.	w9_d139e14488
H.	w11_d139e14491
am	w13_d139e14495
neu.	w15_d139e14498
Markt,	w1_d139e14503
alt	w3_d139e14506
57.	w5_d139e14509
J.	w7_d139e14512
</list>
<head id="h2_d139e14519">
Vor	w1_d139e14523
der	w3_d139e14526
Stadt.	w5_d139e14529
</head>
<list id="l4_d139e14532">
Marx	w1_d139e14536
Molle,	w3_d139e14539
Burgerl.	w5_d139e14542
Zeug=mach.,	w7_d139e14545
bey	w9_d139e14548
denen	w11_d139e14551
7.	w13_d139e14555
Schwab.	w1_d139e14560
am	w3_d139e14563
Neubau,	w5_d139e14566
alt	w7_d139e14569
50.	w9_d139e14572
J.	w11_d139e14575
Dem	w1_d139e14580
Lorenz	w3_d139e14583
Kammerl,	w5_d139e14586
Burgerl.	w7_d139e14589
Wirt.,	w9_d139e14592
s.	w11_d139e14595
W.	w13_d139e14599
Barb.,	w1_d139e14605
beym	w3_d139e14608
weis.	w5_d139e14611
Kreutz	w7_d139e14614
in	w9_d139e14617
der	w11_d139e14620
Leopoldst.,	w13_d139e14624
39.	w15_d139e14627
J.	w17_d139e14630
Dem	w1_d139e14635
Joh.	w3_d139e14638
Brändl,	w5_d139e14641
Strümpf=würk.,	w7_d139e14644
s.	w9_d139e14647
K.	w11_d139e14650
Barb.,	w13_d139e14654
beym	w1_d139e14659
Salz=küffel	w3_d139e14662
am	w5_d139e14665
Thury,	w7_d139e14668
alt	w9_d139e14671
3.	w11_d139e14674
J.	w13_d139e14678
Anna	w1_d139e14683
Zillichin,	w3_d139e14686
Wittwo,	w5_d139e14689
derm	w7_d139e14692
geün.	w9_d139e14695
Thor	w11_d139e14698
zu	w13_d139e14702
Mar	w15_d139e14705
gar.,	w1_d139e14711
alt	w3_d139e14714
44.	w5_d139e14717
J.	w7_d139e14720
Dem	w1_d139e14725
Jos.	w3_d139e14728
Kirchmayr,	w5_d139e14731
Jäg.,	w7_d139e14734
s.	w9_d139e14737
K.	w11_d139e14740
Jos.,	w13_d139e14744
im	w15_d139e14747
Lederr	w17_d139e14750
ris.	w1_d139e14755
H.	w3_d139e14758
auf	w5_d139e14761
der	w7_d139e14764
Wied.,	w9_d139e14767
alt	w11_d139e14770
6.	w13_d139e14774
v.	w15_d139e14777
J.	w17_d139e14780
Sophia	w1_d139e14785
Goßlin,	w3_d139e14788
Wittwe,	w5_d139e14791
bey	w7_d139e14794
denen	w9_d139e14797
2.	w11_d139e14800
Löw.	w13_d139e14804
obern	w15_d139e14807
Neustift,	w1_d139e14813
alt	w3_d139e14816
77.	w5_d139e14819
J.	w7_d139e14822
Dem	w1_d139e14827
Adam	w3_d139e14830
Neiß,	w5_d139e14833
Lack.,	w7_d139e14836
s.	w9_d139e14839
S.	w11_d139e14842
Adam,	w13_d139e14846
im	w15_d139e14849
Weiglis.	w17_d139e14852
H.	w1_d139e14857
am	w3_d139e14860
Alster=bach,	w5_d139e14863
alt	w7_d139e14866
17.	w9_d139e14869
J.	w11_d139e14872
Dem	w1_d139e14877
Paul	w3_d139e14880
Schmidhammer,	w5_d139e14883
Maurern,	w7_d139e14886
s.	w9_d139e14889
W.	w11_d139e14892
So	w13_d139e14896
phia,	w1_d139e14902
beym	w3_d139e14905
Palm=baum	w5_d139e14908
zu	w7_d139e14911
Gumpend.,	w9_d139e14914
38.	w11_d139e14917
J.	w13_d139e14921
Dem	w1_d139e14926
Andre	w3_d139e14929
Huber,	w5_d139e14932
Lack.,	w7_d139e14935
s.	w9_d139e14938
W.	w11_d139e14941
Eva,	w13_d139e14945
beym	w15_d139e14948
Karpf.	w17_d139e14951
auf	w1_d139e14956
der	w3_d139e14959
Wied,	w5_d139e14962
alt	w7_d139e14965
30.	w9_d139e14968
J.	w11_d139e14971
Der	w1_d139e14976
Barb.	w3_d139e14979
Bayerin,	w5_d139e14982
Wittwe,	w7_d139e14985
ihr	w9_d139e14988
K.	w11_d139e14991
Theres.,	w13_d139e14995
bey	w15_d139e14998
der	w1_d139e15004
bl.	w3_d139e15007
Flasch.	w5_d139e15010
im	w7_d139e15013
Liechtenth,	w9_d139e15016
alt	w11_d139e15019
8.	w13_d139e15023
J.	w15_d139e15026
Dem	w1_d139e15031
Sebast.	w3_d139e15034
Hauer,	w5_d139e15037
Lack.,	w7_d139e15040
s.	w9_d139e15043
K.	w11_d139e15046
Paul,	w13_d139e15050
beym	w15_d139e15053
gut.	w17_d139e15056
Dirt.	w1_d139e15061
am	w3_d139e15064
Neustift,	w5_d139e15067
alt	w7_d139e15070
6.	w9_d139e15073
J.	w11_d139e15076
Wath.	w1_d139e15081
Bruner,	w3_d139e15084
Tagw.,	w5_d139e15087
im	w7_d139e15090
Opwaldisch.	w9_d139e15093
H.	w11_d139e15096
in	w13_d139e15100
der	w15_d139e15103
Leopoldst.,	w1_d139e15109
alt	w3_d139e15112
28.	w5_d139e15115
J.	w7_d139e15118
Dem	w1_d139e15123
Math.	w3_d139e15126
Hupfauf,	w5_d139e15129
Tagw.,	w7_d139e15132
s.	w9_d139e15135
W.	w11_d139e15138
Barb.,	w13_d139e15142
bey	w15_d139e15145
denen	w1_d139e15150
3.	w3_d139e15153
Taub.	w5_d139e15156
im	w7_d139e15159
Lerchenf.,	w9_d139e15162
alt	w11_d139e15165
59.	w13_d139e15169
J.	w15_d139e15172
</list>
<head id="h2_d139e15179">
Summa	w1_d139e15183
17.	w3_d139e15186
Person.	w5_d139e15189
darunter	w7_d139e15192
5.	w9_d139e15195
Kinder.	w11_d139e15198
Den	w1_d139e15203
29.	w3_d139e15206
April.	w5_d139e15209
Jn	w1_d139e15214
der	w3_d139e15217
Stadt.	w5_d139e15220
</head>
<list id="l4_d139e15223">
Der	w1_d139e15227
Wol=geb.	w3_d139e15230
Hr.	w5_d139e15233
Barthl.	w7_d139e15236
Frey=herr	w9_d139e15239
v.	w11_d139e15242
Tinti,	w13_d139e15246
Jh.	w15_d139e15249
rer	w1_d139e15254
R.	w3_d139e15257
K.	w5_d139e15260
K.	w7_d139e15263
M.	w9_d139e15266
würkl.	w11_d139e15269
Hof	w13_d139e15273
und	w15_d139e15276
Ministerialhan	w17_d139e15279
codeput.=taht,	w1_d139e15284
im	w3_d139e15287
Gundel=hof,	w5_d139e15290
alt	w7_d139e15293
96.	w9_d139e15296
J.	w11_d139e15299
Dem	w1_d139e15305
Hoch=edel=geb.	w3_d139e15308
Hrn.	w5_d139e15311
Carl	w7_d139e15314
Leop.	w9_d139e15317
v.	w11_d139e15320
Moser,	w13_d139e15324
Jh	w15_d139e15327
rer	w1_d139e15332
R.	w3_d139e15335
K.	w5_d139e15338
K.	w7_d139e15341
M.	w9_d139e15344
N.	w11_d139e15347
Oe.	w13_d139e15351
Reg.=raht	w15_d139e15354
in	w17_d139e15357
Justitz	w19_d139e15360
soch.,	w21_d139e15363
und	w1_d139e15368
Land=unter=marsch.,	w3_d139e15371
wie	w5_d139e15374
auch	w7_d139e15377
deren	w9_d139e15380
Löbl.	w11_d139e15383
</list>
<list id="l8_d139e15389">
Ständen	w1_d139e15393
Ausschuß,	w3_d139e15396
s.	w5_d139e15399
Frle	w7_d139e15402
T.	w9_d139e15405
Maria	w11_d139e15408
Clara,	w13_d139e15412
in	w15_d139e15415
s.	w1_d139e15420
H.	w3_d139e15423
am	w5_d139e15426
alt.	w7_d139e15429
Bauren=m.,	w9_d139e15432
alt	w11_d139e15435
6.	w13_d139e15439
J.	w15_d139e15442
Dem	w1_d139e15447
Joh.	w3_d139e15450
Haßlmayr,	w5_d139e15453
Burgerl.	w7_d139e15456
Zeug=schm.,	w9_d139e15459
s.	w11_d139e15462
W.	w13_d139e15466
Anna	w1_d139e15472
Maria,	w3_d139e15475
im	w5_d139e15478
Kupfer=schmidis.	w7_d139e15481
H.	w9_d139e15484
im	w11_d139e15487
Rot	w13_d139e15491
gäs.,	w1_d139e15496
alt	w3_d139e15499
56.	w5_d139e15502
J.	w7_d139e15505
</list>
<head id="h2_d139e15513">
Vor	w1_d139e15517
der	w3_d139e15520
Stadt.	w5_d139e15523
</head>
<list id="l4_d139e15526">
Franz	w1_d139e15530
Ant.	w3_d139e15533
Sandtner,	w5_d139e15536
gew.	w7_d139e15539
Tobacks=amts	w9_d139e15542
prot	w11_d139e15545
|	w13_d139e15549
|	w15_d139e15552
col.,	w1_d139e15557
beym	w3_d139e15560
grün	w5_d139e15563
Kranz	w7_d139e15566
auf	w9_d139e15569
der	w11_d139e15572
Wied.,	w13_d139e15576
alt	w15_d139e15579
68.	w17_d139e15582
J.	w19_d139e15585
Dem	w1_d139e15590
Jos.	w3_d139e15593
Berr,	w5_d139e15596
Academte=mahl.,	w7_d139e15599
s.	w9_d139e15602
K.	w11_d139e15605
Magdal.,	w13_d139e15609
bey	w1_d139e15615
der	w3_d139e15618
Stadt	w5_d139e15621
Wien	w7_d139e15624
bey	w9_d139e15627
Maria=hülf,	w11_d139e15630
alt	w13_d139e15634
1.	w15_d139e15637
J.	w17_d139e15640
Dem	w1_d139e15645
Ant.	w3_d139e15648
Böhm,	w5_d139e15651
Gurgerl	w7_d139e15654
Lein=wed.,	w9_d139e15657
s.	w11_d139e15660
K.	w13_d139e15664
Theres.	w15_d139e15667
beym	w1_d139e15672
grün.	w3_d139e15675
Rös.	w5_d139e15678
im	w7_d139e15681
Liechtenth.,	w9_d139e15684
al	w11_d139e15687
3.	w13_d139e15691
J.	w15_d139e15694
Joh.	w1_d139e15699
Jenewein,	w3_d139e15702
Jnstruct.,	w5_d139e15705
im	w7_d139e15708
Pengleris.	w9_d139e15711
H.	w11_d139e15714
auf	w13_d139e15718
der	w1_d139e15724
Landstr.,	w3_d139e15727
alt	w5_d139e15730
38.	w7_d139e15733
J.	w9_d139e15736
Dem	w1_d139e15741
Jos.	w3_d139e15744
Mohr,	w5_d139e15747
gew.	w7_d139e15750
Burgerl.	w9_d139e15753
Schwerd=feg,	w11_d139e15756
s.	w13_d139e15760
K.	w15_d139e15763
Jos.,	w1_d139e15768
bey	w3_d139e15771
der	w5_d139e15774
go	w7_d139e15777
d.	w9_d139e15780
Ent.	w11_d139e15783
in	w13_d139e15787
der	w15_d139e15790
Josephst.,	w17_d139e15793
7.	w19_d139e15796
v.	w21_d139e15799
J.	w23_d139e15802
Dem	w1_d139e15807
Jos.	w3_d139e15810
Kraumer,	w5_d139e15813
Lack.,	w7_d139e15816
s.	w9_d139e15819
K.	w11_d139e15822
Ant.,	w13_d139e15826
in	w15_d139e15829
s.	w17_d139e15832
H.	w19_d139e15835
au	w21_d139e15838
der	w1_d139e15844
Wied.,	w3_d139e15847
alt	w5_d139e15850
7.	w7_d139e15853
J.	w9_d139e15856
Dem	w1_d139e15861
Ulrich	w3_d139e15864
Schmid,	w5_d139e15867
gew.	w7_d139e15870
Burgerl.	w9_d139e15873
Wirt.,	w11_d139e15876
s.	w13_d139e15880
K.	w15_d139e15883
Reg.,	w1_d139e15888
beym	w3_d139e15891
gold.	w5_d139e15894
Zahn	w7_d139e15897
auf	w9_d139e15900
der	w11_d139e15903
Wied.,	w13_d139e15907
alt	w15_d139e15910
3.	w17_d139e15913
J.	w19_d139e15916
Dem	w1_d139e15921
Joh.	w3_d139e15924
Köberl,	w5_d139e15927
Zimmer	w7_d139e15930
pu.,	w9_d139e15933
s.	w11_d139e15936
K.	w13_d139e15940
Magdal.	w15_d139e15943
bey	w17_d139e15946
der	w1_d139e15952
gold.	w3_d139e15955
Weintr.	w5_d139e15958
in	w7_d139e15961
der	w9_d139e15964
Josephst.,	w11_d139e15967
alt	w13_d139e15971
4.	w15_d139e15974
J.	w17_d139e15977
Dem	w1_d139e15982
Bernh.	w3_d139e15985
Widman,	w5_d139e15988
Bräu=kn.,	w7_d139e15991
s.	w9_d139e15994
K.	w11_d139e15997
Joh.,	w13_d139e16001
im	w15_d139e16004
Mehl=messeris.	w1_d139e16009
H.	w3_d139e16012
zu	w5_d139e16015
Rämperst.,	w7_d139e16018
alt	w9_d139e16021
6.	w11_d139e16024
J.	w13_d139e16028
Dem	w1_d139e16033
Pet.	w3_d139e16036
Strasser,	w5_d139e16039
Tagw.,	w7_d139e16042
s.	w9_d139e16045
K.	w11_d139e16048
Ant.,	w13_d139e16052
im	w15_d139e16055
Stadt	w17_d139e16058
grab.	w1_d139e16064
vorm	w3_d139e16067
Burg=thor,	w5_d139e16070
alt	w7_d139e16073
3.	w9_d139e16076
J.	w11_d139e16079
Ferd.	w1_d139e16084
Wolf,	w3_d139e16087
alt	w5_d139e16090
25.	w7_d139e16093
J.,	w9_d139e16096
und	w11_d139e16099
Carl	w13_d139e16103
Schuler,	w15_d139e16106
alt	w17_d139e16109
26.	w19_d139e16112
J.,	w1_d139e16117
beyde	w3_d139e16120
bey	w5_d139e16123
denen	w7_d139e16126
FF.	w9_d139e16129
Mis.	w11_d139e16132
</list>
<head id="h2_d139e16139">
Summa	w1_d139e16143
15.	w3_d139e16146
Person.,	w5_d139e16149
darunter	w7_d139e16152
9.	w9_d139e16155
Kinder.	w11_d139e16158
</head>
<p id="p4_d139e16161">
Jch	w1_d139e16165
Johann	w3_d139e16168
Wilhelm	w5_d139e16171
des	w7_d139e16174
Heil.	w9_d139e16177
Röm.	w11_d139e16180
Reichs	w1_d139e16185
Fürst	w3_d139e16188
Trautson,	w5_d139e16191
Graf	w7_d139e16194
zu	w9_d139e16197
Falkenstein,	w11_d139e16200
Freyherr	w1_d139e16205
zu	w3_d139e16208
Sprechen,	w5_d139e16211
und	w7_d139e16214
Schrofenstein,	w9_d139e16217
Ritter	w1_d139e16223
des	w3_d139e16226
goldenen	w5_d139e16229
Vliesses,	w7_d139e16232
Jhrer	w9_d139e16235
Kaiserl.	w11_d139e16238
Königl.	w1_d139e16243
Majestät	w3_d139e16246
würklich	w5_d139e16249
geheimer	w7_d139e16252
Raht	w9_d139e16255
Obrist=hof=meister,	w1_d139e16260
und	w3_d139e16263
Land	w5_d139e16266
marschall	w7_d139e16269
in	w9_d139e16272
Oesterreich	w1_d139e16277
unter	w3_d139e16280
der	w5_d139e16283
Ennß	w7_d139e16286
rc.	w9_d139e16289
Entbiete	w11_d139e16292
N.	w13_d139e16296
allen	w1_d139e16302
und	w3_d139e16305
jeden,	w5_d139e16308
was	w7_d139e16311
Standes	w9_d139e16314
und	w11_d139e16317
Würder	w13_d139e16321
die	w1_d139e16326
seynd,	w3_d139e16329
der	w5_d139e16332
Gebühr	w7_d139e16335
nach	w9_d139e16338
meinen	w11_d139e16341
respectivè	w13_d139e16345
Dienst	w1_d139e16350
in	w3_d139e16353
guten	w5_d139e16356
Willen	w7_d139e16359
zuvor,	w9_d139e16362
und	w11_d139e16365
füge	w13_d139e16369
hiemit	w1_d139e16374
zu	w3_d139e16377
vernehmen.	w5_d139e16380
</p>
<p id="p6_d139e16383">
Es	w1_d139e16387
habe	w3_d139e16390
bey	w5_d139e16393
dem	w7_d139e16396
mir	w9_d139e16399
allergnädigst	w11_d139e16402
anver	w13_d139e16406
trauten	w1_d139e16411
L.	w3_d139e16414
M.	w5_d139e16417
Gericht	w7_d139e16420
Herr	w9_d139e16423
Franz	w11_d139e16426
Josepl	w13_d139e16430
Freyherr	w1_d139e16435
von	w3_d139e16438
Kaiserstein,	w5_d139e16441
wider	w7_d139e16444
den	w9_d139e16447
Herrn	w11_d139e16450
Carl	w1_d139e16456
Wilhelm	w3_d139e16459
Grafen	w5_d139e16462
von	w7_d139e16465
Daun	w9_d139e16468
Churfürstl.	w11_d139e16471
Bayrischen	w1_d139e16476
Cammerern,	w3_d139e16479
und	w5_d139e16482
Hauptmann	w7_d139e16485
zeiget,	w1_d139e16490
welchergestalten	w3_d139e16493
Herr	w5_d139e16496
schriftlich	w1_d139e16501
ange	w3_d139e16504
Herrmann	w1_d139e16510
Jodoc,	w3_d139e16513
Freyherr	w5_d139e16516
von	w7_d139e16519
Blümegen	w9_d139e16522
Kaiserl.	w1_d139e16527
Reichs=hof=raht	w3_d139e16530
und	w5_d139e16533
erster	w7_d139e16536
Assessor	w9_d139e16539
bey	w1_d139e16544
der	w3_d139e16547
Oesterreichischen	w5_d139e16550
geheimen	w7_d139e16553
Hof=canz	w9_d139e16556
ley	w1_d139e16561
auf	w3_d139e16564
das	w5_d139e16567
Freyherrlich	w7_d139e16570
Kaisersteinische	w9_d139e16573
Fide-	w11_d139e16576
commiss	w1_d139e16582
allhier	w3_d139e16585
untern	w5_d139e16588
14.	w7_d139e16591
Junii	w9_d139e16594
1729.	w11_d139e16597
10000.	w1_d139e16602
fl.	w3_d139e16605
Capital	w5_d139e16608
dargeliehen:	w7_d139e16611
welches	w9_d139e16614
Ca	w11_d139e16617
pital	w1_d139e16622
untern	w3_d139e16625
9.	w5_d139e16628
Julii	w7_d139e16631
besagten	w9_d139e16634
Jahrs	w11_d139e16637
bey	w13_d139e16641
dem	w15_d139e16644
N.	w1_d139e16649
Oe.	w3_d139e16652
Weißbotten=amt	w5_d139e16655
inhibiret,	w7_d139e16658
sohin	w9_d139e16661
</p>
<p id="p8_d139e16664">
aber	w1_d139e16668
von	w3_d139e16671
gedachten	w5_d139e16674
Herrn	w7_d139e16677
Freyherrn	w9_d139e16680
von	w11_d139e16683
Blümegen	w1_d139e16688
untern	w3_d139e16691
letzten	w5_d139e16694
Jan.	w7_d139e16697
1732.	w9_d139e16700
an	w11_d139e16703
die	w13_d139e16707
Gräfl.	w1_d139e16712
Heinrich	w3_d139e16715
Reinhard	w5_d139e16718
Lorenz	w7_d139e16721
Daunische	w9_d139e16724
Gerhabschaft	w1_d139e16730
cediret,	w3_d139e16733
dann	w5_d139e16736
vermög	w7_d139e16739
des	w9_d139e16742
zu	w11_d139e16745
Ende	w1_d139e16750
Decembris	w3_d139e16753
1742.	w5_d139e16756
Gerichtlich	w7_d139e16759
ausge	w9_d139e16762
wiesenen	w1_d139e16767
Gräflich	w3_d139e16770
Hernrich	w5_d139e16773
Daunischen	w7_d139e16776
Ver	w9_d139e16779
mögens=stands	w1_d139e16784
dem	w3_d139e16787
Herrn	w5_d139e16790
Carl	w7_d139e16793
Wilhelm	w9_d139e16796
Grafen	w1_d139e16802
von	w3_d139e16805
Daun	w5_d139e16808
zugetheilet	w7_d139e16811
worden	w9_d139e16814
wäre.	w11_d139e16817
Dieses	w1_d139e16822
Capilal	w3_d139e16825
deren	w5_d139e16828
10000.	w7_d139e16831
fl.	w9_d139e16834
cum	w11_d139e16837
sux	w13_d139e16841
Causa,	w1_d139e16846
nun	w3_d139e16849
hätte	w5_d139e16852
er	w7_d139e16855
zufolge	w9_d139e16858
des	w11_d139e16861
über	w13_d139e16865
das	w15_d139e16868
Freyherrliche	w1_d139e16873
Kaisersteinische	w3_d139e16876
Frey=haus	w5_d139e16879
un	w7_d139e16882
tern	w1_d139e16888
14.	w3_d139e16891
Jan.	w5_d139e16894
1752.	w7_d139e16897
bey	w9_d139e16900
diesem	w11_d139e16903
Landmar	w13_d139e16907
schallischen	w1_d139e16912
Gericht	w3_d139e16915
geschöpften	w5_d139e16918
Relations	w7_d139e16921
Ausschlag	w1_d139e16926
untern	w3_d139e16929
15.	w5_d139e16932
Septembris	w7_d139e16935
1752.	w9_d139e16938
ob	w11_d139e16941
bemeldten	w1_d139e16946
Herrn	w3_d139e16949
Carl	w5_d139e16952
Wilhelm	w7_d139e16955
Grafen	w9_d139e16958
von	w11_d139e16961
Daun	w1_d139e16967
vollständig	w3_d139e16970
bezahlet,	w5_d139e16973
und	w7_d139e16976
abgeführet,	w9_d139e16979
wie	w1_d139e16984
solches	w3_d139e16987
die	w5_d139e16990
von	w7_d139e16993
demselben	w9_d139e16996
an	w11_d139e16999
ihne	w13_d139e17003
aus	w15_d139e17006
gestellte	w1_d139e17011
Quittung	w3_d139e17014
und	w5_d139e17017
respectivè	w7_d139e17020
Tödtschei	w9_d139e17023
ne	w1_d139e17028
de	w3_d139e17031
dato	w5_d139e17034
15.	w7_d139e17037
Septembris	w9_d139e17040
1752.	w11_d139e17043
mit	w13_d139e17047
meh	w15_d139e17050
rern	w1_d139e17056
verificiren.	w3_d139e17059
Gleichwie	w5_d139e17062
aber	w7_d139e17065
men-	w9_d139e17068
tionirter	w1_d139e17073
Herr	w3_d139e17076
Graf	w5_d139e17079
von	w7_d139e17082
Daun	w9_d139e17085
bey	w11_d139e17088
von	w13_d139e17092
ihme	w15_d139e17095
beschehener	w1_d139e17100
Abführung	w3_d139e17103
obgedachten	w5_d139e17106
Capitals	w7_d139e17109
von	w1_d139e17114
10000.	w3_d139e17117
fl	w5_d139e17120
cum	w7_d139e17123
sua	w9_d139e17126
Causa	w11_d139e17129
die	w13_d139e17133
auf	w15_d139e17136
den	w17_d139e17139
Herrn	w1_d139e17145
Baron	w3_d139e17148
von	w5_d139e17151
Blümegen	w7_d139e17154
ausgestellte	w9_d139e17157
Obligation	w1_d139e17162
de	w3_d139e17165
dato	w5_d139e17168
14.	w7_d139e17171
Juni	w9_d139e17174
1729.	w11_d139e17177
samt	w13_d139e17181
Inhibitions-Schein	w1_d139e17186
de	w3_d139e17189
dato	w5_d139e17192
9.	w7_d139e17195
Jul.	w9_d139e17198
ejusd.	w11_d139e17201
anni	w1_d139e17206
wie	w3_d139e17209
auch	w5_d139e17212
die	w7_d139e17215
Freyherrliche	w9_d139e17218
Blümegeni	w11_d139e17221
sche	w1_d139e17227
an	w3_d139e17230
die	w5_d139e17233
Gräflich	w7_d139e17236
Daunische	w9_d139e17239
Gerhabschaft	w11_d139e17242
ausgestellte	w1_d139e17247
Cession	w3_d139e17250
nicht	w5_d139e17253
bey	w7_d139e17256
seinen	w9_d139e17259
Handen	w11_d139e17262
gehabt	w1_d139e17267
hätte,	w3_d139e17270
wie	w5_d139e17273
solches	w7_d139e17276
die	w9_d139e17279
oben	w11_d139e17282
angeführ	w13_d139e17286
te	w1_d139e17291
Quittung	w3_d139e17294
de	w5_d139e17297
dato	w7_d139e17300
Decembris	w9_d139e17303
1752.	w11_d139e17306
in	w13_d139e17310
fine	w1_d139e17316
selsten	w3_d139e17319
enthalte,	w5_d139e17322
sondern	w7_d139e17325
sothane	w9_d139e17328
Obli-	w11_d139e17331
gation,	w1_d139e17336
Weißbotten=amts=Inhibitions-	w3_d139e17339
Schein,	w1_d139e17344
und	w3_d139e17347
Cession	w5_d139e17350
ihme	w7_d139e17353
Herrn	w9_d139e17356
Grafen	w11_d139e17359
von	w1_d139e17364
Daun	w3_d139e17367
in	w5_d139e17370
Verstoß	w7_d139e17373
gerahten,	w9_d139e17376
ihme	w11_d139e17379
Hrn.	w13_d139e17383
Freyherrn	w1_d139e17389
von	w3_d139e17392
Kaiserstein	w5_d139e17395
hingegen	w7_d139e17398
höchstens	w9_d139e17401
daran	w1_d139e17406
gelegen	w3_d139e17409
wäre,	w5_d139e17412
daß	w7_d139e17415
diese	w9_d139e17418
sich	w11_d139e17421
nunmehro	w13_d139e17425
sinè	w1_d139e17430
Causa	w3_d139e17433
bey	w5_d139e17436
des	w7_d139e17439
bemeldeten	w9_d139e17442
Hrn.	w11_d139e17445
Gra	w13_d139e17449
fens	w1_d139e17454
von	w3_d139e17457
Daun	w5_d139e17460
oder	w7_d139e17463
etwann	w9_d139e17466
anderen	w11_d139e17469
Handen	w13_d139e17473
befindliche	w1_d139e17479
Documenta	w3_d139e17482
ihme	w5_d139e17485
anwiederumen	w7_d139e17488
in	w1_d139e17493
originali	w3_d139e17496
zuruck	w5_d139e17499
gestellet,	w7_d139e17502
oder	w9_d139e17505
per	w11_d139e17508
Edi-	w13_d139e17512
ctum	w1_d139e17517
ad	w3_d139e17520
valvas	w5_d139e17523
gänzlich	w7_d139e17526
cassiret	w9_d139e17529
und	w11_d139e17532
an-	w13_d139e17536
nulliret	w1_d139e17541
werden;	w3_d139e17544
</p>
<p id="p10_d139e17547">
Als	w1_d139e17551
batte	w3_d139e17554
er,	w5_d139e17557
ich	w7_d139e17560
geruhete	w9_d139e17563
demselben	w11_d139e17566
zu	w13_d139e17570
dem	w1_d139e17575
Ende	w3_d139e17578
ein	w5_d139e17581
behöriges	w7_d139e17584
Amortisations-edict	w9_d139e17587
bey	w1_d139e17592
der	w3_d139e17595
Canzley	w5_d139e17598
ausfertigen	w7_d139e17601
zu	w9_d139e17604
lassen.	w11_d139e17607
Wann	w13_d139e17611
nun	w1_d139e17617
in	w3_d139e17620
dieses	w5_d139e17623
Begehren	w7_d139e17626
des	w9_d139e17629
Herrn	w11_d139e17632
Suppli-	w13_d139e17636
cantens	w1_d139e17641
gewilliget	w3_d139e17644
worden.	w5_d139e17647
Als	w7_d139e17650
ist	w9_d139e17653
in	w11_d139e17656
Namen	w1_d139e17661
Jhrer	w3_d139e17664
Kaiserl.	w5_d139e17667
Königl.	w7_d139e17670
Majestät	w9_d139e17673
un	w11_d139e17676
serer	w1_d139e17681
Allergnädigsten	w3_d139e17684
Frauen	w5_d139e17687
rc.	w7_d139e17690
mein	w9_d139e17693
Befehl,	w11_d139e17696
daß	w1_d139e17702
der	w3_d139e17705
oder	w5_d139e17708
diejenige,	w7_d139e17711
in	w9_d139e17714
deren	w11_d139e17717
Handen	w13_d139e17721
sich	w15_d139e17724
</p>
<p id="p14_d139e17730">
die	w1_d139e17734
obbesagte	w3_d139e17737
auf	w5_d139e17740
Herrn	w7_d139e17743
Herrmann	w9_d139e17746
Jodoc	w11_d139e17749
Freyherrn	w1_d139e17754
von	w3_d139e17757
Blümegen	w5_d139e17760
ausgestellte	w7_d139e17763
Frey	w9_d139e17766
herrliche	w1_d139e17771
Kaisersteinische	w3_d139e17774
Obligation	w5_d139e17777
per	w7_d139e17780
10000.	w1_d139e17786
fl.	w3_d139e17789
de	w5_d139e17792
dato	w7_d139e17795
14.	w9_d139e17798
Junii	w11_d139e17801
1729.	w13_d139e17805
samt	w15_d139e17808
Inhibitions-schein	w1_d139e17813
de	w3_d139e17816
dato	w5_d139e17819
Junii	w7_d139e17822
ejusdem	w9_d139e17825
anni,	w1_d139e17830
wie	w3_d139e17833
auch	w5_d139e17836
die	w7_d139e17839
darüber	w9_d139e17842
von	w11_d139e17845
erstbemeld	w13_d139e17849
ten	w1_d139e17854
Herrn	w3_d139e17857
Freyherrn	w5_d139e17860
von	w7_d139e17863
Blumegen	w9_d139e17866
an	w11_d139e17869
die	w13_d139e17873
Gtäflich	w1_d139e17879
Heinrich	w3_d139e17882
Reinhard	w5_d139e17885
