<doc id="wr_1757-08-13" attrs="word" year="1757" month="08" day="13" corpus="2">
<head id="h2_d169e3058">
Ragusa,	w1_d169e3062
Maria=hülf,	w9_d169e13908
5.	w11_d169e13911
v.	w13_d169e13915
J.	w15_d169e13918
Christoph	w1_d169e13923
Orpeßer,	w3_d169e13926
Lack.,	w5_d169e13929
im	w7_d169e13932
Schnellingeris.	w9_d169e13935
h.	w11_d169e13938
auf	w1_d169e13943
der	w3_d169e13946
Landstr.,	w5_d169e13949
alt	w7_d169e13952
31.	w9_d169e13955
J.	w11_d169e13958
Dem	w1_d169e13963
Daniel	w3_d169e13966
Fellner,	w5_d169e13969
Schif=kn.,	w7_d169e13972
s.	w9_d169e13975
K.	w11_d169e13978
Theres.,	w13_d169e13982
in	w15_d169e13985
Wittmanis.	w1_d169e13991
H.	w3_d169e13994
auf	w5_d169e13997
der	w7_d169e14000
Landstr.,	w9_d169e14003
alt	w11_d169e14006
2.	w13_d169e14010
J.	w15_d169e14013
Dem	w1_d169e14018
Phil.	w3_d169e14021
Teiflinger,	w5_d169e14024
Kutsch.,	w7_d169e14027
s.	w9_d169e14030
K.	w11_d169e14033
Joh.,	w13_d169e14037
deyn	w15_d169e14040
gold.	w1_d169e14045
Hirsch.	w3_d169e14048
in	w5_d169e14051
der	w7_d169e14054
Rossau,	w9_d169e14057
alt	w11_d169e14060
5.	w13_d169e14064
J.	w15_d169e14067
Dem	w1_d169e14072
Jos.	w3_d169e14075
Kammermayr,	w5_d169e14078
Tagw.,	w7_d169e14081
s.	w9_d169e14084
W.	w11_d169e14087
Theres.	w13_d169e14091
beym	w1_d169e14097
gold.	w3_d169e14100
Stern	w5_d169e14103
zu	w7_d169e14106
Mätzleinstorf,	w9_d169e14109
alt	w11_d169e14112
52.	w13_d169e14116
J.	w15_d169e14119
</list>
<head id="h2_d169e14126">
Summa	w1_d169e14130
13.	w3_d169e14133
Person.,	w5_d169e14136
darunter	w7_d169e14139
7.	w9_d169e14142
Kinder.	w11_d169e14145
Den	w1_d169e14150
12.	w3_d169e14153
Aug.	w5_d169e14156
Jn	w1_d169e14161
der	w3_d169e14164
Stadt.	w5_d169e14167
</head>
<list id="l4_d169e14170">
Der	w1_d169e14174
Wol=ehrw.	w3_d169e14177
Hr.	w5_d169e14180
Phil.	w7_d169e14183
Hobinger,	w9_d169e14186
weltl.	w11_d169e14189
Priest.	w13_d169e14193
im	w1_d169e14198
Pauerspachis.	w3_d169e14201
H.	w5_d169e14204
in	w7_d169e14207
der	w9_d169e14210
Nagler=gas.,	w11_d169e14213
41.	w13_d169e14217
J.	w15_d169e14220
Dem	w1_d169e14225
Hrn.	w3_d169e14228
Ant.	w5_d169e14231
Hainzman,	w7_d169e14234
N.	w9_d169e14237
Oe.	w11_d169e14240
Landsch.	w13_d169e14244
Reg	w15_d169e14247
strant.,	w1_d169e14253
s.	w3_d169e14256
K.	w5_d169e14259
Carl,	w7_d169e14262
beym	w9_d169e14265
gold.	w11_d169e14268
Jäger=horn	w13_d169e14272
in	w15_d169e14275
ger	w1_d169e14280
Dorothe=gas.,	w3_d169e14283
alt	w5_d169e14286
5.	w7_d169e14289
h.	w9_d169e14292
J.	w11_d169e14295
Dem	w1_d169e14300
Hrn.	w3_d169e14303
Fried.	w5_d169e14306
Schuster,	w7_d169e14309
Ober=val.	w9_d169e14312
im	w11_d169e14315
Burger	w13_d169e14319
spit.,	w1_d169e14324
s.	w3_d169e14327
Fr.	w5_d169e14330
Barb.,	w7_d169e14333
alda,	w9_d169e14336
alt	w11_d169e14339
46.	w13_d169e14343
J.	w15_d169e14346
Dem	w1_d169e14352
Jacob	w3_d169e14355
Kundschuh,	w5_d169e14358
Burgerl.	w7_d169e14361
Bürsten=bind.s.	w9_d169e14364
K.	w1_d169e14369
Sebast.,	w3_d169e14372
beym	w5_d169e14375
gold.	w7_d169e14378
Kreutz	w9_d169e14381
am	w11_d169e14384
rot.	w13_d169e14388
Thurn,	w15_d169e14391
alt	w1_d169e14396
3.	w3_d169e14399
J.	w5_d169e14402
Dem	w1_d169e14407
Carl	w3_d169e14410
Schick,	w5_d169e14413
Harrachis.	w7_d169e14416
Geft.,	w9_d169e14419
s.	w11_d169e14422
K.	w13_d169e14426
Anna,	w15_d169e14429
in	w1_d169e14435
der	w3_d169e14438
Casarm,	w5_d169e14441
alt	w7_d169e14444
2.	w9_d169e14447
J.	w11_d169e14450
Dem	w1_d169e14455
Mich.	w3_d169e14458
Binder,	w5_d169e14461
Kutsch.,	w7_d169e14464
s.	w9_d169e14467
K.	w11_d169e14470
Francisca,	w13_d169e14474
im	w15_d169e14477
Bockis.	w1_d169e14482
H.	w3_d169e14485
in	w5_d169e14488
der	w7_d169e14491
Kärntnerstr.,	w9_d169e14494
alt	w11_d169e14497
8.	w13_d169e14501
J.	w15_d169e14504
</list>
<head id="h2_d169e14512">
Vor	w1_d169e14516
der	w3_d169e14519
Stadt.	w5_d169e14522
</head>
<list id="l4_d169e14525">
Franz	w1_d169e14529
Michael,	w3_d169e14532
Burgerl.	w5_d169e14535
Tafel=deck.,	w7_d169e14538
beym	w9_d169e14541
gold.	w11_d169e14544
A.	w1_d169e14549
B.	w3_d169e14552
C.	w5_d169e14555
im	w7_d169e14558
Lerchenf.,	w9_d169e14561
alt	w11_d169e14564
91.	w13_d169e14568
J.	w15_d169e14571
Mart.	w1_d169e14576
Leovold,	w3_d169e14579
gew.	w5_d169e14582
Handels=dien,	w7_d169e14585
bey	w9_d169e14588
der	w11_d169e14591
eisern.	w13_d169e14595
Virn	w1_d169e14601
an	w3_d169e14604
Spitalberg,	w5_d169e14607
alt	w7_d169e14610
42.	w9_d169e14613
J.	w11_d169e14616
Dem	w1_d169e14621
Joh.	w3_d169e14624
Erlach,	w5_d169e14627
Schlos.,	w7_d169e14630
s.	w9_d169e14633
K.	w11_d169e14636
Joh.,	w13_d169e14640
im	w15_d169e14643
Herren	w17_d169e14646
tedis.	w1_d169e14651
H.	w3_d169e14654
in	w5_d169e14657
der	w7_d169e14660
Leopoldst.,	w9_d169e14663
alt	w11_d169e14666
6	w13_d169e14670
v.	w15_d169e14673
J.	w17_d169e14676
Dem	w1_d169e14681
Thom.	w3_d169e14684
Königseck,	w5_d169e14687
Zimmer=ges,	w7_d169e14690
s.	w9_d169e14693
K.	w11_d169e14696
Augu	w13_d169e14700
stin,	w1_d169e14706
im	w3_d169e14709
Neupaueris.	w5_d169e14712
H.	w7_d169e14715
am	w9_d169e14718
Alster=bach,	w11_d169e14721
2.	w13_d169e14725
J.	w15_d169e14728
Dem	w1_d169e14733
Pet.	w3_d169e14736
Apfel,	w5_d169e14739
Wäsch.,	w7_d169e14742
s.	w9_d169e14745
K.	w11_d169e14748
Elisab.,	w13_d169e14752
im	w15_d169e14755
Haus	w17_d169e14758
meisteris.	w1_d169e14763
H.	w3_d169e14766
zu	w5_d169e14769
Gumpend.,	w7_d169e14772
alt	w9_d169e14775
3	w11_d169e14778
J.	w13_d169e14782
Dem	w1_d169e14787
Pet.	w3_d169e14790
Bussecker,	w5_d169e14793
Tagw.,	w7_d169e14796
s.	w9_d169e14799
K.	w11_d169e14802
Theres.,	w13_d169e14806
bey	w15_d169e14809
St.	w17_d169e14812
Nicola	w1_d169e14818
ausser	w3_d169e14821
der	w5_d169e14824
Rossau,	w7_d169e14827
alt	w9_d169e14830
4.	w11_d169e14833
J.	w13_d169e14837
Dem	w1_d169e14842
Franz	w3_d169e14845
Bauch,	w5_d169e14848
Tagw.,	w7_d169e14851
s.	w9_d169e14854
W.	w11_d169e14857
Theres.,	w13_d169e14861
beym	w15_d169e14864
grün.	w1_d169e14869
Dächel	w3_d169e14872
im	w5_d169e14875
Liechtenth.,	w7_d169e14878
alt	w9_d169e14881
70.	w11_d169e14884
J.	w13_d169e14888
Dem	w1_d169e14893
Georg	w3_d169e14896
Mann,	w5_d169e14899
Tagw.,	w7_d169e14902
s.	w9_d169e14905
K.	w11_d169e14908
Barthl.,	w13_d169e14912
bey	w15_d169e14915
der	w17_d169e14918
weis.	w1_d169e14924
Taub.	w3_d169e14927
im	w5_d169e14930
Lerchenf.,	w7_d169e14933
alt	w9_d169e14936
3.	w11_d169e14939
J.	w13_d169e14943
Summa	w1_d169e14948
14.	w3_d169e14951
Person.,	w5_d169e14954
darunter	w7_d169e14957
5.	w9_d169e14960
Kinder	w11_d169e14963
</list>
<p id="p10_d169e14977">
Von	w1_d169e14981
des	w3_d169e14984
Kaiserl.	w5_d169e14987
Königl.	w7_d169e14990
Jud.	w9_d169e14993
deleg.	w11_d169e14996
Mi-	w13_d169e15000
lit.	w1_d169e15005
mixt.	w3_d169e15008
in	w5_d169e15011
dem	w7_d169e15014
Erz=herzogtum	w9_d169e15017
Oesterreich	w11_d169e15020
unter	w1_d169e15025
und	w3_d169e15028
ob	w5_d169e15031
der	w7_d169e15034
Enns	w9_d169e15037
wegen,	w11_d169e15040
wird	w13_d169e15044
durch	w15_d169e15047
dieses	w1_d169e15053
offentliche	w3_d169e15056
Edict	w5_d169e15059
jedermänniglich,	w7_d169e15062
so	w9_d169e15065
an	w11_d169e15068
dem	w1_d169e15073
K.	w3_d169e15076
K.	w5_d169e15079
Obrist	w7_d169e15082
Gottlob	w9_d169e15085
Curt	w11_d169e15088
Heinrich	w13_d169e15092
Gra	w15_d169e15095
fen	w1_d169e15100
von	w3_d169e15103
Tottleben	w5_d169e15106
wegen	w7_d169e15109
dem	w9_d169e15112
in	w11_d169e15115
dem	w13_d169e15119
Röm.	w15_d169e15122
Reich	w1_d169e15127
aufgehabten	w3_d169e15130
Werb=geschäft	w5_d169e15133
einige	w7_d169e15136
auch	w9_d169e15139
etwann	w1_d169e15145
andere	w3_d169e15148
Forderungen	w5_d169e15151
zu	w7_d169e15154
machen	w9_d169e15157
haben,	w11_d169e15160
kund	w1_d169e15165
und	w3_d169e15168
zu	w5_d169e15171
wissen	w7_d169e15174
gemacht.	w9_d169e15177
Es	w11_d169e15180
habe	w13_d169e15184
bey	w15_d169e15187
gleich	w1_d169e15192
ersagt=K.	w3_d169e15195
K.	w5_d169e15198
Jud.	w7_d169e15201
deleg.	w9_d169e15204
Milit.	w11_d169e15207
mixt	w13_d169e15211
ermeldeter	w1_d169e15216
Hr.	w3_d169e15219
Graf	w5_d169e15222
von	w7_d169e15225
Tottleben	w9_d169e15228
zu	w11_d169e15231
Unter	w13_d169e15235
suchung	w1_d169e15241
so	w3_d169e15244
ein	w5_d169e15247
als	w7_d169e15250
anderen	w9_d169e15253
Rechnungen	w11_d169e15256
mit	w13_d169e15260
Zuziehung	w1_d169e15265
seiner	w3_d169e15268
sammentlichen	w5_d169e15271
Werb=Ober	w7_d169e15274
und	w1_d169e15279
Unter=officieren,	w3_d169e15282
wie	w5_d169e15285
auch	w7_d169e15288
etwann	w9_d169e15291
vor	w11_d169e15294
handener	w1_d169e15299
anderen	w3_d169e15302
Creditoren	w5_d169e15305
um	w7_d169e15308
eine	w9_d169e15311
extra	w11_d169e15314
Judicial=commißion	w1_d169e15320
angelanget.	w3_d169e15323
Gleich	w5_d169e15326
wie	w1_d169e15331
nun	w3_d169e15334
in	w5_d169e15337
dies	w7_d169e15340
sein	w9_d169e15343
Begehren	w11_d169e15346
nicht	w13_d169e15350
nur	w15_d169e15353
al	w17_d169e15356
lein	w1_d169e15361
gewilliget,	w3_d169e15364
sondern	w5_d169e15367
auch	w7_d169e15370
pro	w9_d169e15373
Commis	w11_d169e15376
sariis	w1_d169e15381
der	w3_d169e15384
K.	w5_d169e15387
K.	w7_d169e15390
Hof=kriegs=raht	w9_d169e15393
Hr.	w11_d169e15396
von	w13_d169e15400
Joannelli,	w1_d169e15406
und	w3_d169e15409
der	w5_d169e15412
K.	w7_d169e15415
K.	w9_d169e15418
N.	w11_d169e15421
Oe.	w13_d169e15425
Regierungs	w15_d169e15428
raht	w1_d169e15433
Hr.	w3_d169e15436
von	w5_d169e15439
Kienmayr	w7_d169e15442
benennet,	w9_d169e15445
von	w11_d169e15448
sel	w13_d169e15452
ben	w1_d169e15457
auch	w3_d169e15460
zu	w5_d169e15463
dem	w7_d169e15466
Ende	w9_d169e15469
der	w11_d169e15472
22ste	w13_d169e15476
Septemben	w15_d169e15479
gegenwärtigen	w1_d169e15484
1757sten	w3_d169e15487
Jahrs	w5_d169e15490
zur	w7_d169e15493
extra	w9_d169e15496
Ju	w11_d169e15499
dicial=tag=satzung	w1_d169e15505
mit	w3_d169e15508
diesem	w5_d169e15511
Beysatz	w7_d169e15514
be	w9_d169e15517
stimmet	w1_d169e15522
worden,	w3_d169e15525
daß	w5_d169e15528
diese	w7_d169e15531
Tagsatzung	w9_d169e15534
ihnen	w11_d169e15537
Graf	w1_d169e15542
Tottlebischen	w3_d169e15545
WerbOber	w5_d169e15548
und	w7_d169e15551
Unter	w9_d169e15554
officieren,	w1_d169e15559
oder	w3_d169e15562
etwann	w5_d169e15565
vorhandenen	w7_d169e15568
ande	w9_d169e15571
ren	w1_d169e15577
Creditoren	w3_d169e15580
ihres	w5_d169e15583
unwissenden	w7_d169e15586
Aufenthalts	w9_d169e15589
halber	w1_d169e15594
per	w3_d169e15597
Edictum	w5_d169e15600
ad	w7_d169e15603
valvas	w9_d169e15606
intimiret	w11_d169e15609
werden	w1_d169e15614
solle.	w3_d169e15617
Solchemnach	w5_d169e15620
wird	w7_d169e15623
Eingangs	w9_d169e15626
benannt=sammentlichen	w1_d169e15631
Gräfl.	w3_d169e15634
Tottlebischen	w5_d169e15637
Glaubigeren	w1_d169e15643
hiemit	w3_d169e15646
angedeutet,	w5_d169e15649
daß	w7_d169e15652
sie	w9_d169e15655
an	w11_d169e15658
ob	w13_d169e15662
bestimmten	w1_d169e15667
Tag	w3_d169e15670
um	w5_d169e15673
3.	w7_d169e15676
Uhr	w9_d169e15679
Nachmittag	w11_d169e15682
bey	w13_d169e15686
dem	w1_d169e15691
K.	w3_d169e15694
K.	w5_d169e15697
Hof=kriegs=raht	w7_d169e15700
Hr	w9_d169e15703
von	w11_d169e15706
Joan	w13_d169e15710
nelli	w1_d169e15715
in	w3_d169e15718
seinem	w5_d169e15721
bey	w7_d169e15724
dem	w9_d169e15727
grossen	w11_d169e15730
Christoph	w13_d169e15734
ge	w15_d169e15737
genüber	w1_d169e15743
in	w3_d169e15746
dem	w5_d169e15749
Adelsburgischen	w7_d169e15752
Haus	w9_d169e15755
im	w11_d169e15758
2ten	w1_d169e15763
Stock	w3_d169e15766
habenden	w5_d169e15769
Hof=quartier	w7_d169e15772
entwe	w9_d169e15775
der	w1_d169e15780
selbst	w3_d169e15783
persönlich,	w5_d169e15786
oder	w7_d169e15789
durch	w9_d169e15792
genugsam	w11_d169e15795
in	w13_d169e15799
struirte	w1_d169e15804
Bevollmächtigte	w3_d169e15807
ohne	w5_d169e15810
Annehmung	w7_d169e15813
ei	w9_d169e15816
ner	w1_d169e15822
so	w3_d169e15825
schrift	w5_d169e15828
als	w7_d169e15831
mündlichen	w9_d169e15834
Entschuldigung	w11_d169e15837
also	w1_d169e15842
gewiß	w3_d169e15845
zu	w5_d169e15848
erscheinen,	w7_d169e15851
und	w9_d169e15854
sich	w11_d169e15857
allda	w13_d169e15861
an	w15_d169e15864
melden	w1_d169e15869
zu	w3_d169e15872
lassen,	w5_d169e15875
wissen	w7_d169e15878
mögen,	w9_d169e15881
wie	w11_d169e15884
im	w13_d169e15888
wi	w15_d169e15891
drigen	w1_d169e15896
auf	w3_d169e15899
ein	w5_d169e15902
oder	w7_d169e15905
anderes	w9_d169e15908
Ausbleiben	w11_d169e15911
der	w13_d169e15915
K.	w1_d169e15921
K.	w3_d169e15924
Obrist	w5_d169e15927
Hr.	w7_d169e15930
Graf	w9_d169e15933
von	w11_d169e15936
Tottleben	w13_d169e15940
wider	w15_d169e15943
dieselbe	w1_d169e15948
in	w3_d169e15951
Contumaciam	w5_d169e15954
angehöret,	w7_d169e15957
und	w9_d169e15960
was	w1_d169e15965
Rechtens	w3_d169e15968
ist	w5_d169e15971
vorgekehret	w7_d169e15974
werden	w9_d169e15977
solle.	w11_d169e15980
Wien	w1_d169e15985
den	w3_d169e15988
4ten	w5_d169e15991
Augusti	w7_d169e15994
1757.	w9_d169e15997
</p>
<head id="h2_d169e16003">
EDICT.	w1_d169e16007
</head>
<p id="p4_d169e16010">
Von	w1_d169e16014
der	w3_d169e16017
durch	w5_d169e16020
die	w7_d169e16023
Hochlöbl.	w9_d169e16026
N.	w11_d169e16029
Oe.	w13_d169e16033
drer	w15_d169e16036
obere	w1_d169e16041
Herren	w3_d169e16044
Herren	w5_d169e16047
Land=stände	w7_d169e16050
aufgestelten	w9_d169e16053
</p>
<p id="p6_d169e16056">
Verwaltung	w1_d169e16060
deren	w3_d169e16063
Vicedomischen	w5_d169e16066
Gültenk	w7_d169e16069
und	w9_d169e16072
Unterthanen	w1_d169e16077
wegen,	w3_d169e16080
wird	w5_d169e16083
hiemit	w7_d169e16086
jedermännig	w9_d169e16089
lich	w1_d169e16094
kund	w3_d169e16097
und	w5_d169e16100
zu	w7_d169e16103
wissen	w9_d169e16106
gemacht,	w11_d169e16109
welcher	w13_d169e16113
ge	w15_d169e16116
stalten	w1_d169e16122
der	w3_d169e16125
in	w5_d169e16128
Landhaus=kellern	w7_d169e16131
sich	w9_d169e16134
befindlich	w11_d169e16137
über	w1_d169e16142
Kloster=neuburg,	w3_d169e16145
Kierling,	w5_d169e16148
Weidling,	w7_d169e16151
Kritzendorf,	w1_d169e16156
und	w3_d169e16159
Gumpolts=kirchen	w5_d169e16162
einge	w7_d169e16165
brachte,	w1_d169e16170
in	w3_d169e16173
440.	w5_d169e16176
Emmer	w7_d169e16179
bestehende	w9_d169e16182
1756.	w11_d169e16185
Berg=rechts=wein	w1_d169e16191
bey	w3_d169e16194
der	w5_d169e16197
den	w7_d169e16200
27.	w9_d169e16203
dieses	w11_d169e16206
Monats	w1_d169e16211
Augusti	w3_d169e16214
angeordnet=Hochlöbl.	w5_d169e16217
Stän	w7_d169e16220
dischen	w1_d169e16225
Deputation	w3_d169e16228
plus	w5_d169e16231
offerenti	w7_d169e16234
verkauf	w9_d169e16237
fet	w1_d169e16242
werden	w3_d169e16245
wird.	w5_d169e16248
</p>
<p id="p8_d169e16251">
Dahero	w1_d169e16255
all=diejenige,	w3_d169e16258
welche	w5_d169e16261
obgesagte	w7_d169e16264
440.	w1_d169e16269
Emmer	w3_d169e16272
Wein	w5_d169e16275
zu	w7_d169e16278
erkauffen	w9_d169e16281
gedenken,	w11_d169e16284
an	w1_d169e16289
obbemeldeten	w3_d169e16292
Tag	w5_d169e16295
um	w7_d169e16298
9.	w9_d169e16301
Uhr	w11_d169e16304
Fruh	w13_d169e16308
im	w15_d169e16311
Landhaus	w1_d169e16317
bey	w3_d169e16320
der	w5_d169e16323
Hochlöbl.	w7_d169e16326
Ständischen	w9_d169e16329
De	w11_d169e16332
putation	w1_d169e16337
in	w3_d169e16340
Persona	w5_d169e16343
oder	w7_d169e16346
durch	w9_d169e16349
Gevollmäch	w11_d169e16352
tigte	w1_d169e16357
ad	w3_d169e16360
tractandum	w5_d169e16363
&	w7_d169e16366
concludendum	w9_d169e16369
zu	w1_d169e16374
erscheinen	w3_d169e16377
belieben	w5_d169e16380
werden.	w7_d169e16383
Wien	w9_d169e16386
im	w11_d169e16389
Landhaus	w1_d169e16395
den	w3_d169e16398
5.	w5_d169e16401
Augusti	w7_d169e16404
1757.	w9_d169e16407
</p>
<p id="p10_d169e16410">
Es	w1_d169e16414
sind	w3_d169e16417
4.	w5_d169e16420
kleine	w7_d169e16423
fünf=jährige	w9_d169e16426
Corsicaner	w11_d169e16429
schimmel	w1_d169e16434
samt	w3_d169e16437
denen	w5_d169e16440
Geschirren	w7_d169e16443
pr.	w9_d169e16446
56.	w11_d169e16449
Du	w13_d169e16453
caten	w1_d169e16458
zu	w3_d169e16461
verkauffen	w5_d169e16464
und	w7_d169e16467
ist	w9_d169e16470
sich	w11_d169e16473
in	w13_d169e16477
der	w15_d169e16480
Leopold	w17_d169e16483
stadt	w1_d169e16489
im	w3_d169e16492
Wirtshaus	w5_d169e16495
beym	w7_d169e16498
weissen	w9_d169e16501
Kreutz	w11_d169e16504
die	w13_d169e16508
serhalben	w1_d169e16513
anzumelden.	w3_d169e16516
</p>
<p id="p12_d169e16520">
Wir	w1_d169e16524
Burgermeister	w3_d169e16527
Amts=verwalter	w5_d169e16530
und	w7_d169e16533
Raht	w1_d169e16538
der	w3_d169e16541
Stadt	w5_d169e16544
Wienn,	w7_d169e16547
geben	w9_d169e16550
hiemit	w11_d169e16553
durch	w13_d169e16557
dieses	w1_d169e16562
offene	w3_d169e16565
Edict	w5_d169e16568
jedermänniglich	w7_d169e16571
zu	w9_d169e16574
verneh	w11_d169e16577
men:	w1_d169e16583
wasgestalten	w3_d169e16586
wir	w5_d169e16589
über	w7_d169e16592
weiter	w9_d169e16595
beschehen	w11_d169e16598
schriftliches	w1_d169e16603
Anlangen	w3_d169e16606
und	w5_d169e16609
gehorsamstes	w7_d169e16612
Bit	w9_d169e16615
ten,	w1_d169e16620
Johann	w3_d169e16623
Georg	w5_d169e16626
Bernreiter	w7_d169e16629
als	w9_d169e16632
Roskai	w11_d169e16635
schen	w1_d169e16640
Cessionarii	w3_d169e16643
proprio	w5_d169e16646
&	w7_d169e16649
uxorio	w9_d169e16652
no-	w11_d169e16655
mine	w1_d169e16661
contra	w3_d169e16664
die	w5_d169e16667
Ossenbachische	w7_d169e16670
Herrn	w9_d169e16673
Erbs	w11_d169e16676
interessenten	w1_d169e16681
unterm	w3_d169e16684
4ten	w5_d169e16687
diß	w7_d169e16690
in	w9_d169e16693
ein	w11_d169e16696
nochma	w13_d169e16700
liges	w1_d169e16705
Licitations=edict	w3_d169e16708
gewilliget	w5_d169e16711
und	w7_d169e16714
verord	w9_d169e16717
net	w1_d169e16722
haben,	w3_d169e16725
daß	w5_d169e16728
die	w7_d169e16731
Ossenbachische	w9_d169e16734
zum	w11_d169e16737
klein	w13_d169e16741
Jordan	w1_d169e16747
genannte	w3_d169e16750
Behausung	w5_d169e16753
in	w7_d169e16756
der	w9_d169e16759
Stadt	w11_d169e16762
nochmalen	w1_d169e16767
offentlich	w3_d169e16770
ausgefeilet,	w5_d169e16773
und	w7_d169e16776
dem	w9_d169e16779
Meist=bietenden	w1_d169e16784
verkauffet	w3_d169e16787
werden	w5_d169e16790
solle.	w7_d169e16793
Da	w9_d169e16796
nun	w1_d169e16801
hierzu	w3_d169e16804
der	w5_d169e16807
26ste	w7_d169e16810
Monats=tag	w9_d169e16813
Septembr.	w11_d169e16816
lauffenden	w1_d169e16822
1757.	w3_d169e16825
Jahrs	w5_d169e16828
zur	w7_d169e16831
Tag=satzung	w9_d169e16834
be	w11_d169e16837
stimmet	w1_d169e16842
worden	w3_d169e16845
ist,	w5_d169e16848
als	w7_d169e16851
wird	w9_d169e16854
ein	w11_d169e16857
solches	w13_d169e16861
hie	w15_d169e16864
mit	w1_d169e16869
jedermann	w3_d169e16872
wer	w5_d169e16875
etwann	w7_d169e16878
dieses	w9_d169e16881
Haus	w11_d169e16884
kauf	w13_d169e16888
lichen	w1_d169e16893
an	w3_d169e16896
sich	w5_d169e16899
zu	w7_d169e16902
bringen	w9_d169e16905
gesinnet	w11_d169e16908
ist,	w13_d169e16912
mit	w15_d169e16915
die	w17_d169e16918
sen	w1_d169e16924
Edict	w3_d169e16927
zu	w5_d169e16930
dem	w7_d169e16933
Ende	w9_d169e16936
kund	w11_d169e16939
und	w13_d169e16943
zu	w15_d169e16946
wissen	w17_d169e16949
ge	w19_d169e16952
macht,	w1_d169e16957
damit	w3_d169e16960
ein	w5_d169e16963
sich	w7_d169e16966
hervor	w9_d169e16969
thuender	w11_d169e16972
Kauf	w13_d169e16976
fer	w1_d169e16981
bey	w3_d169e16984
obbemeldt=bestimmten	w5_d169e16987
Licitations	w7_d169e16990
tag	w9_d169e16993
satzung	w1_d169e16998
fruh	w3_d169e17001
um	w5_d169e17004
9.	w7_d169e17007
Uhr,	w9_d169e17010
oder	w11_d169e17013
da	w13_d169e17017
wir	w15_d169e17020
selbi	w17_d169e17023
gen	w1_d169e17029
Tags	w3_d169e17032
etwann	w5_d169e17035
anderer	w7_d169e17038
Geschäften	w9_d169e17041
halber	w11_d169e17044
nicht	w1_d169e17049
zu	w3_d169e17052
Raht	w5_d169e17055
sässen,	w7_d169e17058
dennächst	w9_d169e17061
darauf	w11_d169e17064
</p>
<p id="p16_d169e17069">
folgenden	w1_d169e17073
Rahts=tag	w3_d169e17076
vor	w5_d169e17079
uns	w7_d169e17082
erscheinen,	w9_d169e17085
und	w11_d169e17088
sich	w1_d169e17093
bey	w3_d169e17096
unser	w5_d169e17099
und	w7_d169e17102
gemeiner	w9_d169e17105
Stadt	w11_d169e17108
Grund	w13_d169e17112
buch	w1_d169e17117
durch	w3_d169e17120
den	w5_d169e17123
daselbstigen	w7_d169e17126
Amts=schreiber	w9_d169e17129
anmelden	w1_d169e17135
lassen	w3_d169e17138
möge,	w5_d169e17141
allwo	w7_d169e17144
sodann	w9_d169e17147
das	w11_d169e17150
wei	w13_d169e17154
tere	w1_d169e17159
behörig	w3_d169e17162
tractiret	w5_d169e17165
werden	w7_d169e17168
solle.	w9_d169e17171
Actum	w11_d169e17174
Wienn	w1_d169e17179
den	w3_d169e17182
8ten	w5_d169e17185
Julii	w7_d169e17188
1757.	w9_d169e17191
</p>
<p id="p18_d169e17194">
Bey	w1_d169e17198
Johann	w3_d169e17201
Jacob	w5_d169e17204
Lidl	w7_d169e17207
Kupfer=stechern	w9_d169e17210
im	w1_d169e17215
Doctor	w3_d169e17218
Deimlischen	w5_d169e17221
Haus	w7_d169e17224
neben	w9_d169e17227
der	w11_d169e17230
Heil.	w13_d169e17234
Dreyfaltigkeit	w1_d169e17239
ist	w3_d169e17242
zu	w5_d169e17245
haben:	w7_d169e17248
Eine	w9_d169e17251
neue	w11_d169e17254
und	w13_d169e17258
accurate	w1_d169e17264
Land=karte	w3_d169e17267
des	w5_d169e17270
Mittägig	w7_d169e17273
Ober=säch	w9_d169e17276
sischen	w1_d169e17281
Heil.	w3_d169e17284
Röm.	w5_d169e17287
Reichs=kreises	w7_d169e17290
des	w9_d169e17293
Chur	w11_d169e17296
Herzogtums	w1_d169e17301
Sachsen,	w3_d169e17304
Marggraftum	w5_d169e17307
Meissen,	w7_d169e17310
und	w1_d169e17315
Land=grafschaft	w3_d169e17318
Thüringen	w5_d169e17321
begreiffend,	w7_d169e17324
worbey	w1_d169e17330
auch	w3_d169e17333
nicht	w5_d169e17336
allein	w7_d169e17339
die	w9_d169e17342
daran	w11_d169e17345
gränzende	w13_d169e17349
Sächs.	w1_d169e17354
Marggrafschaften	w3_d169e17357
Ober	w5_d169e17360
und	w7_d169e17363
Nieder	w9_d169e17366
laufnitz	w1_d169e17371
nebst	w3_d169e17374
dem	w5_d169e17377
Preußisch	w7_d169e17380
in	w9_d169e17383
Nieder=sächsisch.	w11_d169e17386
Reichs=kreis	w1_d169e17391
ligenden	w3_d169e17394
Herzogtum	w5_d169e17397
Magdeburg	w7_d169e17400
und	w1_d169e17406
Fürstentum	w3_d169e17409
Halberstadt,	w5_d169e17412
sondern	w7_d169e17415
auch	w9_d169e17418
ein	w1_d169e17423
grosser	w3_d169e17426
Theil	w5_d169e17429
deren	w7_d169e17432
noch	w9_d169e17435
weiters	w11_d169e17438
daran	w13_d169e17442
gränzenden	w1_d169e17447
NiedersächsischOberrheinisch	w3_d169e17450
Fränkisch	w1_d169e17455
und	w3_d169e17458
Chur=bayrischen	w5_d169e17461
Reichs=kreisen,	w7_d169e17464
dann	w1_d169e17470
des	w3_d169e17473
Königreichs	w5_d169e17476
