<doc id="edoc_wd_1783-12-24" attrs="word" year="1783" month="12" day="24" corpus="1">
<head id="hl1">
Jnnländische	w29
zur	w12180
Ausmessung	w12181
und	w12182
Berechnung	w12183
der	w12184
Bett	w12185
<g/>
=
und	w12187
Nutzholzes	w12188
<g/>
,
nach	w12190
dem	w12191
Eubiefuß	w12192
<g/>
,
gr	w12194
<g/>
.
8	w12196
<g/>
.
Verf	w12198
<g/>
.
1783	w12200
<g/>
.
15	w12202
kr	w12203
<g/>
.
</p>
<p id="p137">
Anweisung	w12205
zur	w12206
vorsichtigen	w12207
und	w12208
förmlichen	w12209
Ab=fassung	w12210
<g/>
=
rechtlicher	w12212
Aufsätze	w12213
<g/>
,
über	w12215
Handlun=gen	w12216
<g/>
=
der	w12218
willkührlichen	w12219
Gerichtsbarkeit	w12220
<g/>
,
1ter	w12222
Theil	w12223
<g/>
,
gr	w12225
<g/>
.
8	w12227
<g/>
.
Leipz	w12229
<g/>
.
1783	w12231
<g/>
.
2	w12233
fl	w12234
<g/>
.
40	w12236
kr	w12237
<g/>
.
</p>
<p id="p138">
Bekker	w12239
<g/>
(
R	w12241
<g/>
.
B	w12243
<g/>
.
<g/>
)
Beantwortung	w12246
der	w12247
Frage	w12248
<g/>
:
kann	w12250
irgend	w12251
eine	w12252
Art	w12253
von	w12254
Täuschung	w12255
dem	w12256
Volke	w12257
zuträglich	w12258
sein	w12259
<g/>
,
sie	w12261
bestehe	w12262
nun	w12263
darinn	w12264
<g/>
,
daß	w12266
man	w12267
es	w12268
zu	w12269
weitern	w12270
Jrthümern	w12271
verleitet	w12272
<g/>
,
oder	w12274
die	w12275
alten	w12276
eingewurzelten	w12277
fortdauern	w12278
läßt	w12279
<g/>
?
eine	w12281
gekrönte	w12282
Preisschrift	w12283
<g/>
,
gr	w12285
8	w12286
<g/>
.
Leipz	w12288
<g/>
.
1781	w12290
<g/>
.
40	w12292
kr	w12293
<g/>
.
</p>
<p id="p139">
Beseke	w12295
<g/>
(
J	w12297
<g/>
.
M	w12299
<g/>
.
G	w12301
<g/>
.
<g/>
)
Codicem	w12304
criticum	w12305
Pan-dectarum	w12306
<g/>
-
indicat	w12308
<g/>
,
8	w12310
<g/>
.
maj	w12312
<g/>
.
Berl	w12314
<g/>
.
12	w12316
kr	w12317
<g/>
.
</p>
<head id="hl48">
Licit	w12330
<g/>
.
Mohlische	w12332
Realitäten	w12333
<g/>
.
</head>
<p id="p140">
Von	w12335
der	w12336
fürstl	w12337
erzbischöfl	w12338
<g/>
.
wienerischen	w12340
Herr=schaft	w12341
<g/>
=
Neudorf	w12343
nächst	w12344
Wien	w12345
wird	w12346
hiemit	w12347
kund	w12348
gemacht	w12349
<g/>
:
daß	w12351
auf	w12352
Absterben	w12353
Barbara	w12354
Mohlin	w12355
<g/>
,
Fleischhackermeisterin	w12357
allda	w12358
<g/>
,
derselben	w12360
rückge=bliebene	w12361
<g/>
=
Verlassenschaft	w12363
<g/>
,
als	w12365
Zimmer	w12366
<g/>
=
Kuchel	w12368
<g/>
=
und	w12370
Hauseinrichtung	w12371
<g/>
,
dann	w12373
Frauenkleider	w12374
<g/>
,
Wäsche	w12376
und	w12377
Bettgewand	w12378
<g/>
,
auch	w12380
Pferde	w12381
<g/>
,
Küh	w12383
und	w12384
Wägen	w12385
<g/>
,
endlich	w12387
33	w12388
Eimer	w12389
1781ger	w12390
und	w12391
60	w12392
Eimer	w12393
1782	w12394
Gebirgsweine	w12395
samt	w12396
Fässer	w12397
in	w12398
eisenen	w12399
Banden	w12400
in	w12401
einer	w12402
öffentlichen	w12403
Versteige=rung	w12404
<g/>
=
den	w12406
Meistbietenden	w12407
verkauft	w12408
werden	w12409
wird	w12410
<g/>
;
da	w12412
nun	w12413
hiezu	w12414
der	w12415
29	w12416
<g/>
.
d	w12418
M	w12419
<g/>
.
und	w12421
darauf	w12422
fol=gende	w12423
<g/>
=
Täge	w12425
früh	w12426
von	w12427
9	w12428
bis	w12429
12	w12430
Uhr	w12431
<g/>
,
und	w12433
nach=mittag	w12434
<g/>
=
von	w12436
2	w12437
bis	w12438
5	w12439
Uhr	w12440
bestimmt	w12441
worden	w12442
<g/>
,
als	w12444
werden	w12445
alle	w12446
Kauflustige	w12447
in	w12448
der	w12449
bestimmten	w12450
Zeit	w12451
zu	w12452
erscheinen	w12453
vorgeladen	w12454
<g/>
.
</p>
<head id="hl49">
Licit	w12456
<g/>
.
Weingärten	w12458
<g/>
.
</head>
<p id="p141">
Nachdem	w12460
das	w12461
hochwürdig	w12462
wienerische	w12463
erzbi=schöfliche	w12464
<g/>
=
Konsistorium	w12466
in	w12467
den	w12468
Verkauf	w12469
der	w12470
zur	w12471
Pfarr	w12472
Ottakrin	w12473
gehörigen	w12474
4	w12475
Viertel	w12476
Weingär=ten	w12477
<g/>
=
<g/>
,
als	w12480
1	w12481
in	w12482
der	w12483
Riedschlossen	w12484
<g/>
,
und	w12486
3	w12487
in	w12488
der	w12489
Riedmetzen	w12490
genannt	w12491
<g/>
,
gewilliget	w12493
hat	w12494
<g/>
,
und	w12496
hier=zu	w12497
<g/>
=
der	w12499
29	w12500
<g/>
.
Decemb	w12502
<g/>
.
d	w12504
<g/>
.
J	w12506
<g/>
.
bestimmt	w12508
ist	w12509
<g/>
,
so	w12511
können	w12512
sich	w12513
die	w12514
Kauflustigen	w12515
an	w12516
obbemeldten	w12517
Tag	w12518
in	w12519
dem	w12520
Pfarrhofe	w12521
zu	w12522
Ottakrin	w12523
Nr	w12524
<g/>
.
10	w12526
zu	w12527
den	w12528
gewöhnlichen	w12529
Verkaufsstunden	w12530
anmelden	w12531
<g/>
,
wo	w12533
besagte	w12534
Weingärten	w12535
gegen	w12536
baare	w12537
Bezahlung	w12538
an	w12539
den	w12540
Meistbietenden	w12541
hindangegeben	w12542
werden	w12543
<g/>
.
</p>
<head id="hl50">
Licit	w12545
<g/>
.
Göblisches	w12547
Haus	w12548
<g/>
.
</head>
<p id="p142">
Nachdem	w12550
die	w12551
Behausung	w12552
des	w12553
Herrn	w12554
Joseph	w12555
Göbl	w12556
<g/>
,
gewesten	w12558
k	w12559
<g/>
.
k	w12561
Försters	w12562
und	w12563
dessen	w12564
Frau	w12565
Ehewirthin	w12566
Francisca	w12567
samt	w12568
Garten	w12569
und	w12570
6	w12571
Tag=werk	w12572
<g/>
=
Ueberländwiesen	w12574
zu	w12575
Burkersdorf	w12576
<g/>
,
den	w12578
2	w12579
<g/>
.
Decemb	w12581
<g/>
.
d	w12583
<g/>
.
J	w12585
<g/>
.
als	w12587
den	w12588
1	w12589
<g/>
.
Licitationstermin	w12591
nicht	w12592
an	w12593
den	w12594
Mann	w12595
gebracht	w12596
worden	w12597
<g/>
:
so	w12599
wird	w12600
solche	w12601
den	w12602
30	w12603
<g/>
.
Decemb	w12605
<g/>
.
d	w12607
<g/>
.
J	w12609
<g/>
.
als	w12611
den	w12612
2ten	w12613
Termin	w12614
früh	w12615
um	w12616
9	w12617
Uhr	w12618
bey	w12619
dem	w12620
k	w12621
<g/>
.
k	w12623
<g/>
.
Waid=amt	w12625
<g/>
=
zu	w12627
Burkersdorf	w12628
abermal	w12629
öffentlich	w12630
feil=geboten	w12631
<g/>
=
<g/>
,
und	w12634
den	w12635
Meistbietenden	w12636
gegen	w12637
baare	w12638
Bezahlung	w12639
hindangegeben	w12640
werden	w12641
</p>
<head id="hl51">
Licit	w12642
<g/>
.
Gepplische	w12644
Realitäten	w12645
<g/>
.
</head>
<p id="p143">
Von	w12647
dem	w12648
Stadtrathe	w12649
der	w12650
landesfürstl	w12651
<g/>
.
Stadt	w12653
Wienerisch	w12654
Neustadt	w12655
wird	w12656
hiemit	w12657
bekannt	w12658
ge=macht	w12659
<g/>
=
<g/>
,
daß	w12662
über	w12663
die	w12664
letzthinige	w12665
Versteigerungs=tagsatzung	w12666
<g/>
=
<g/>
,
auf	w12669
weiteres	w12670
Anlangen	w12671
der	w12672
Joh	w12673
<g/>
.
Michael	w12675
Gepplischen	w12676
Hauptkreditoren	w12677
<g/>
,
und	w12679
des	w12680
Kridagüterverwalters	w12681
<g/>
,
Karl	w12683
Fronner	w12684
<g/>
,
die	w12686
noch	w12687
vorhandene	w12688
40	w12689
Joch	w12690
Aecker	w12691
<g/>
,
ein	w12693
Weingarten	w12694
zu	w12695
Mildorf	w12696
in	w12697
Ungarn	w12698
<g/>
,
damit	w12700
heurige	w12701
Wein	w12702
<g/>
=
und	w12704
Heufechsung	w12705
<g/>
,
verschiedene	w12707
Hauseinrichtungen	w12708
<g/>
,
Kuchelgeräthschaften	w12710
<g/>
,
Mobilien	w12712
und	w12713
Effekten	w12714
<g/>
,
den	w12716
Meistbietenden	w12717
zu	w12718
verkaufen	w12719
feil	w12720
seyen	w12721
<g/>
.
</p>
<p id="p144">
Zu	w12723
dieser	w12724
Versteigerungstagsatzung	w12725
wurde	w12726
dem=nach	w12727
<g/>
=
der	w12729
30	w12730
<g/>
.
Decemb	w12732
<g/>
.
d	w12734
<g/>
.
J	w12736
<g/>
.
vormittag	w12738
um	w12739
9	w12740
Uhr	w12741
auf	w12742
hiesiger	w12743
Stadtkanzley	w12744
anberaumet	w12745
<g/>
,
wo	w12747
sodann	w12748
die	w12749
Kauflustige	w12750
zu	w12751
erscheinen	w12752
belieben	w12753
<g/>
.
</p>
<head id="hl52">
Licit	w12755
<g/>
.
Schießlisches	w12757
Haus	w12758
<g/>
.
</head>
<p id="p145">
Von	w12760
der	w12761
gräfl	w12762
<g/>
.
Jos	w12764
<g/>
.
Nepom	w12766
<g/>
.
Fuchsischen	w12768
Herr=schaft	w12769
<g/>
=
Radauner	w12771
Amtskanzley	w12772
wird	w12773
hiemit	w12774
kund	w12775
gemacht	w12776
<g/>
,
daß	w12778
die	w12779
anher	w12780
dienstbare	w12781
weil	w12782
<g/>
.
The=resia	w12784
<g/>
=
Schießlische	w12786
Behausung	w12787
in	w12788
Radaun	w12789
Nr	w12790
<g/>
.
10	w12792
<g/>
.
mit	w12794
den	w12795
dazugehörigen	w12796
Obst	w12797
<g/>
=
und	w12799
Wein=garten	w12800
<g/>
=
<g/>
,
nebst	w12803
dabey	w12804
befindlichen	w12805
Schustergewerb	w12806
durch	w12807
Steigerung	w12808
gegen	w12809
baare	w12810
Bezahlung	w12811
wer=de	w12812
<g/>
=
käuflich	w12814
hindangegeben	w12815
werden	w12816
<g/>
;
zu	w12818
welchem	w12819
Ende	w12820
hiemit	w12821
der	w12822
5	w12823
<g/>
.
Jäner	w12825
1784	w12826
<g/>
.
mit	w12828
dem	w12829
Bey=satz	w12830
<g/>
=
bestimmt	w12832
und	w12833
festgesetzt	w12834
worden	w12835
<g/>
,
daß	w12837
nach	w12838
Beschaffenheit	w12839
der	w12840
vorkommenden	w12841
Käufer	w12842
das	w12843
Haus	w12844
mit	w12845
oder	w12846
auch	w12847
ohne	w12848
Gewerb	w12849
würde	w12850
hin=dangegeben	w12851
<g/>
=
werden	w12853
<g/>
;
welche	w12855
also	w12856
in	w12857
so	w12858
anderes	w12859
oder	w12860
beede	w12861
Stucke	w12862
zusammen	w12863
käuflich	w12864
an	w12865
sich	w12866
zu	w12867
bringen	w12868
gedenken	w12869
<g/>
,
haben	w12871
an	w12872
obbestimmten	w12873
Tag	w12874
Vormittag	w12875
um	w12876
9	w12877
Uhr	w12878
in	w12879
der	w12880
herrschaftl	w12881
<g/>
.
Amts=kanzley	w12883
<g/>
=
sich	w12885
einzufinden	w12886
<g/>
.
</p>
<head id="hl53">
Licit	w12888
<g/>
.
Wohlschackische	w12890
Realitäten	w12891
<g/>
.
</head>
<p id="p146">
Von	w12893
dem	w12894
Jud	w12895
<g/>
.
Del	w12897
<g/>
.
der	w12899
gräfl	w12900
<g/>
.
von	w12902
Abensperg	w12903
und	w12904
Traunischen	w12905
Herrschaft	w12906
Rapportstein	w12907
wird	w12908
hiemit	w12909
kund	w12910
gemacht	w12911
<g/>
:
es	w12913
sey	w12914
über	w12915
die	w12916
zum	w12917
drit=tenmal	w12918
<g/>
=
angeordnet	w12920
geweste	w12921
<g/>
,
und	w12923
aus	w12924
Abgang	w12925
der	w12926
Käufer	w12927
wieder	w12928
fruchtlos	w12929
abgelofene	w12930
Licita=tion	w12931
<g/>
=
der	w12933
zur	w12934
Jgnatz	w12935
Wohlschackischen	w12936
Cridämas=sam	w12937
<g/>
=
gehörige	w12939
<g/>
,
zu	w12941
Rapottstein	w12942
V	w12943
<g/>
.
O	w12945
<g/>
.
M	w12947
<g/>
.
B	w12949
<g/>
.
liegenden	w12951
<g/>
,
mit	w12953
verschiedenen	w12954
Zimmern	w12955
<g/>
,
Kammern	w12957
Viehstallungen	w12958
<g/>
,
Körnerkästen	w12960
und	w12961
Böden	w12962
<g/>
,
ei=nen	w12964
<g/>
=
guten	w12966
Weinkeller	w12967
<g/>
,
Gewölber	w12969
<g/>
,
dann	w12971
den	w12972
zum	w12973
Betreib	w12974
des	w12975
Schön	w12976
<g/>
=
und	w12978
Schwarzfärber=gewerbs	w12979
<g/>
=
benöthigte	w12981
Geräthschaften	w12982
<g/>
,
als	w12984
kupferne	w12985
Kesseln	w12986
<g/>
,
Mangpreß	w12988
<g/>
,
Mörser	w12990
und	w12991
dergleichen	w12992
versehenen	w12993
Behausung	w12994
samt	w12995
dazugehörigen	w12996
Haus=gründen	w12997
<g/>
=
<g/>
,
benanntlich	w13000
eines	w13001
Krautgarten	w13002
<g/>
,
1	w13004
<g/>
/
8	w13006
Joch	w13007
im	w13008
Tennackerl	w13009
<g/>
,
3	w13011
<g/>
/
4	w13013
Joch	w13014
im	w13015
Grünbach=feld	w13016
<g/>
=
<g/>
,
1	w13019
<g/>
/
2	w13021
Joch	w13022
in	w13023
Monndorf	w13024
und	w13025
1	w13026
<g/>
/
4	w13028
Tagwerk	w13029
Wiesen	w13030
<g/>
,
Grasgarten	w13032
<g/>
,
auch	w13034
deren	w13035
zur	w13036
Herrschaft	w13037
Rappottstein	w13038
dienstbaren	w13039
Ueberländgrundstücken	w13040
<g/>
,
nämlich	w13042
des	w13043
sogenannten	w13044
Zuzelhofes	w13045
in	w13046
3	w13047
Joch	w13048
Aeckern	w13049
<g/>
,
1	w13051
<g/>
/
2	w13053
Tagwerk	w13054
Wiesen	w13055
<g/>
,
1	w13057
<g/>
/
2	w13059
Joch	w13060
Holz	w13061
des	w13062
Mitterluß	w13063
in	w13064
Hofstetten	w13065
<g/>
,
in	w13067
3	w13068
<g/>
/
4	w13070
Joch	w13071
Aeckern	w13072
und	w13073
etwas	w13074
wenigen	w13075
Wiesen	w13076
<g/>
,
das	w13078
Holz=füssel	w13079
<g/>
=
in	w13081
Hofstetten	w13082
in	w13083
1	w13084
1	w13085
<g/>
/
2	w13087
Joch	w13088
Aecker	w13089
<g/>
,
nebst	w13091
wenigen	w13092
darauf	w13093
angewachsenen	w13094
Hölzel	w13095
des	w13096
gros=sen	w13097
<g/>
=
Luß	w13099
in	w13100
Hofstetten	w13101
in	w13102
2	w13103
7	w13104
<g/>
/
8	w13106
Joch	w13107
Aecker	w13108
<g/>
,
und	w13110
einen	w13111
Fleckel	w13112
Wiesen	w13113
<g/>
,
dann	w13115
eines	w13116
zur	w13117
Herr	w13118
schaft	w13119
Rosenau	w13120
dienstbaren	w13121
Lehen	w13122
<g/>
,
auf	w13124
wieder=holtes	w13125
<g/>
=
Anlangen	w13127
des	w13128
gerichtlich	w13129
verordnet	w13130
Jg=naz	w13131
<g/>
=
Wohlschackischen	w13133
Curat	w13134
<g/>
.
ad	w13136
lites	w13137
Hrn	w13138
<g/>
.
Au=gustin	w13140
<g/>
=
Trenkers	w13142
J	w13143
<g/>
.
U	w13145
<g/>
.
D	w13147
<g/>
.
auch	w13149
Gerichtsadvokat	w13150
</p>
<p id="p147">
verwilliget	w13151
worden	w13152
<g/>
,
eine	w13154
vierte	w13155
Licitation	w13156
an=zuberaumen	w13157
<g/>
=
<g/>
,
und	w13160
zwar	w13161
mit	w13162
dem	w13163
Anhang	w13164
<g/>
,
daß	w13166
falls	w13167
gedachte	w13168
Stücke	w13169
nicht	w13170
über	w13171
die	w13172
Schätzung	w13173
selbst	w13174
sollten	w13175
an	w13176
Mann	w13177
gebracht	w13178
werden	w13179
kön=nen	w13180
<g/>
=
<g/>
,
solche	w13183
auch	w13184
unter	w13185
der	w13186
Schätzung	w13187
hindan=gelassen	w13188
<g/>
=
werden	w13190
würden	w13191
<g/>
.
Da	w13193
nun	w13194
hiezu	w13195
der	w13196
7	w13197
<g/>
.
Jäner	w13199
1784	w13200
<g/>
.
bestimmt	w13202
worden	w13203
ist	w13204
<g/>
,
als	w13206
haben	w13207
all	w13208
jene	w13209
<g/>
,
welche	w13211
obbemeldte	w13212
Behausung	w13213
samt	w13214
Zugehör	w13215
und	w13216
Ueberländgrundstücken	w13217
zu	w13218
kaufen	w13219
gedenken	w13220
<g/>
,
an	w13222
erstbesagten	w13223
Tag	w13224
früh	w13225
um	w13226
8	w13227
Uhr	w13228
in	w13229
der	w13230
Herrschaft	w13231
Rappottensteineramtskanzley	w13232
zu	w13233
erscheinen	w13234
<g/>
,
und	w13236
der	w13237
weitern	w13238
Behandlung	w13239
abwarten	w13240
<g/>
,
wo	w13242
übrigens	w13243
die	w13244
diesfällige	w13245
Schä=tzung	w13246
<g/>
=
entweder	w13248
in	w13249
gedachter	w13250
Amtskanzley	w13251
<g/>
,
oder	w13253
bey	w13254
dem	w13255
Hrn	w13256
<g/>
.
Curator	w13258
ad	w13259
lites	w13260
hier	w13261
in	w13262
Wien	w13263
in	w13264
der	w13265
Schauflergassen	w13266
Nr	w13267
<g/>
.
15	w13269
<g/>
.
im	w13271
3ten	w13272
Stock	w13273
habenden	w13274
Wohnung	w13275
eingesehen	w13276
werden	w13277
kann	w13278
<g/>
.
</p>
<head id="hl54">
Licit	w13280
<g/>
.
Jrkaische	w13282
Realitäten	w13283
<g/>
.
</head>
<p id="p148">
Von	w13285
dem	w13286
verordneten	w13287
Jud	w13288
<g/>
.
Del	w13290
<g/>
.
der	w13292
k	w13293
<g/>
.
k	w13295
<g/>
.
Stiftherrschaft	w13297
Ebersdorf	w13298
an	w13299
der	w13300
Donau	w13301
wird	w13302
hiemit	w13303
bekannt	w13304
gemacht	w13305
<g/>
:
es	w13307
sey	w13308
auf	w13309
Anlangen	w13310
der	w13311
Magdalena	w13312
Reichartin	w13313
<g/>
,
verwittibte	w13315
Satt=lermeisterin	w13316
<g/>
=
zu	w13318
Schwechat	w13319
<g/>
,
propr	w13321
<g/>
.
<g/>
&
hæred haered	w13324
nom	w13325
<g/>
.
wider	w13327
Theresia	w13328
Jrkain	w13329
<g/>
,
Hausinhaberin	w13331
<g/>
,
daselbst	w13333
<g/>
,
verwilliget	w13335
worden	w13336
<g/>
,
die	w13338
der	w13339
Beklag=ten	w13340
<g/>
=
eigenthümliche	w13342
Helfte	w13343
der	w13344
im	w13345
Markt	w13346
Schwe=chat	w13347
<g/>
=
liegenden	w13349
Behausung	w13350
samt	w13351
Mühl	w13352
und	w13353
Grundstücken	w13354
öffentlich	w13355
auszufeilen	w13356
<g/>
,
und	w13358
an	w13359
den	w13360
Meistbietenden	w13361
zu	w13362
verkaufen	w13363
<g/>
.
Da	w13365
nun	w13366
zu	w13367
diesem	w13368
Ende	w13369
drey	w13370
Terminen	w13371
<g/>
;
und	w13373
zwar	w13374
nach	w13375
verflossenen	w13376
ersten	w13377
<g/>
,
für	w13379
den	w13380
zweyten	w13381
der	w13382
7	w13383
<g/>
.
Jä=ner	w13385
<g/>
=
<g/>
,
und	w13388
für	w13389
den	w13390
dritten	w13391
der	w13392
4	w13393
<g/>
.
Februar	w13395
1784	w13396
<g/>
.
mit	w13398
dem	w13399
Beysatz	w13400
bestimmt	w13401
worden	w13402
sind	w13403
<g/>
,
daß	w13405
<g/>
,
wenn	w13407
gedachte	w13408
Realitäten	w13409
auch	w13410
bey	w13411
dem	w13412
zwey=ten	w13413
<g/>
=
Termin	w13415
um	w13416
den	w13417
Schätzungswerth	w13418
<g/>
,
oder	w13420
darüber	w13421
nicht	w13422
an	w13423
Mann	w13424
gebracht	w13425
werden	w13426
könn=ten	w13427
<g/>
=
<g/>
,
solche	w13430
bey	w13431
dem	w13432
dritten	w13433
auch	w13434
unter	w13435
der	w13436
Schätzung	w13437
verkauft	w13438
werden	w13439
würden	w13440
<g/>
.
So	w13442
haben	w13443
diejenige	w13444
<g/>
,
welche	w13446
gedachte	w13447
Helfte	w13448
der	w13449
Theresia	w13450
Jrkaischen	w13451
Behausung	w13452
samt	w13453
Zugehör	w13454
zu	w13455
kaufen	w13456
willens	w13457
sind	w13458
<g/>
,
an	w13460
den	w13461
bestimmten	w13462
Terminen	w13463
früh	w13464
um	w13465
8	w13466
Uhr	w13467
bey	w13468
der	w13469
Herrschaftskanzley	w13470
zu	w13471
Ebersdorf	w13472
zu	w13473
erscheinen	w13474
<g/>
,
und	w13476
der	w13477
weitern	w13478
Be	w13479
handlung	w13480
abzuwarten	w13481
<g/>
.
</p>
<head id="hl55">
Licit	w13483
<g/>
.
Royßisches	w13485
Haus	w13486
<g/>
.
</head>
<p id="p149">
Von	w13488
dem	w13489
Stifts	w13490
Oberkammergrundbch	w13491
zu	w13492
Klosterneuburg	w13493
wird	w13494
hiemit	w13495
zu	w13496
wissen	w13497
gemacht	w13498
<g/>
:
es	w13500
sey	w13501
auf	w13502
Anlangen	w13503
des	w13504
Herrn	w13505
Joseph	w13506
Werle	w13507
<g/>
,
in	w13509
Wien	w13510
wegen	w13511
satzweis	w13512
zu	w13513
fodern	w13514
habenden	w13515
437	w13516
fl	w13517
<g/>
.
52	w13519
kr	w13520
<g/>
.
cum	w13522
sua	w13523
causa	w13524
des	w13525
Herrn	w13526
Leo=pold	w13527
<g/>
=
von	w13529
Roys	w13530
in	w13531
der	w13532
untern	w13533
Stadt	w13534
zu	w13535
Klo=sterneuburg	w13536
<g/>
=
am	w13538
Platz	w13539
begwöhrlich	w13540
besitzende	w13541
auf	w13542
1530	w13543
fl	w13544
<g/>
.
gerichtl	w13546
<g/>
.
geschätzte	w13548
burgl	w13549
<g/>
.
wohlgebaute	w13551
Behausung	w13552
Nr	w13553
<g/>
.
283	w13555
samt	w13556
großen	w13557
Preßhaus	w13558
<g/>
,
Gewölber	w13560
<g/>
,
Wohnzimmer	w13562
<g/>
,
Keller	w13564
<g/>
,
Garten	w13566
und	w13567
Pferdstallung	w13568
in	w13569
die	w13570
gerichtl	w13571
<g/>
.
Licitirung	w13573
gewil=liget	w13574
<g/>
=
worden	w13576
<g/>
;
da	w13578
nun	w13579
zu	w13580
dieser	w13581
Licitationstag=satzung	w13582
<g/>
=
der	w13584
7	w13585
<g/>
.
Jäner	w13587
für	w13588
den	w13589
ersten	w13590
<g/>
,
der	w13592
7	w13593
<g/>
.
</p>
<p id="p150">
Hornung	w13595
für	w13596
den	w13597
zweyten	w13598
<g/>
,
und	w13600
der	w13601
10	w13602
<g/>
.
März	w13604
1784	w13605
<g/>
.
allzeit	w13607
früh	w13608
um	w13609
9	w13610
Uhr	w13611
beym	w13612
Grundbuch	w13613
auf	w13614
der	w13615
Eingangs	w13616
gesagten	w13617
Stifts	w13618
Oberkammer	w13619
zum	w13620
dritten	w13621
Termin	w13622
dergestalt	w13623
hiemit	w13624
bestimmt	w13625
wird	w13626
<g/>
,
daß	w13628
im	w13629
Fall	w13630
bey	w13631
der	w13632
erst	w13633
<g/>
=
oder	w13635
zweyten	w13636
Licitationstagsatzung	w13637
solche	w13638
Behausung	w13639
und	w13640
Zu=gehör	w13641
<g/>
=
um	w13643
den	w13644
Schätzungsbetrag	w13645
oder	w13646
darüber	w13647
nicht	w13648
an	w13649
Mann	w13650
gebracht	w13651
werden	w13652
könnte	w13653
<g/>
,
die=selbe	w13655
<g/>
=
bey	w13657
der	w13658
dritten	w13659
auch	w13660
unter	w13661
der	w13662
Schätzung	w13663
hindangegeben	w13664
werden	w13665
würde	w13666
<g/>
;
als	w13668
belieben	w13669
die	w13670
Kaufslustige	w13671
demnach	w13672
bey	w13673
den	w13674
obbestimmten	w13675
Li=citationstagsatzungen	w13676
<g/>
=
<g/>
,
aber	w13679
auch	w13680
jene	w13681
<g/>
,
den	w13683
hier=um	w13684
<g/>
=
zu	w13686
wissen	w13687
gelegen	w13688
seyn	w13689
dürfte	w13690
<g/>
,
auf	w13692
der	w13693
Stifts	w13694
Oberkammer	w13695
zu	w13696
erscheinen	w13697
<g/>
.
</p>
<head id="hl56">
Licit	w13699
<g/>
.
Wengerisches	w13701
Haus	w13702
<g/>
.
</head>
<p id="p151">
Von	w13704
der	w13705
gräfl	w13706
<g/>
.
Excellenz	w13708
Christian	w13709
August	w13710
Seilerischen	w13711
Herrschaft	w13712
Litschauer	w13713
Amtskanzley	w13714
in	w13715
Niederösterreich	w13716
V	w13717
<g/>
.
O	w13719
<g/>
.
M	w13721
<g/>
.
B	w13723
<g/>
.
wird	w13725
hiemit	w13726
kund	w13727
gemacht	w13728
<g/>
,
daß	w13730
die	w13731
Behausung	w13732
des	w13733
burgl	w13734
<g/>
.
Eisenhandlers	w13736
<g/>
,
Jgnatz	w13738
Wenger	w13739
<g/>
,
bey	w13741
der	w13742
Stadt	w13743
Lieschau	w13744
<g/>
,
samt	w13746
dem	w13747
Eisenhandlersgewerb	w13748
<g/>
,
nebst	w13750
einigen	w13751
noch	w13752
vorräthigen	w13753
Eisenwaaren	w13754
<g/>
,
nachdem	w13756
sich	w13757
derselbe	w13758
samt	w13759
seinem	w13760
Weib	w13761
unwissend	w13762
wohin	w13763
entfernet	w13764
<g/>
,
wegen	w13766
überhäuften	w13767
Schuldenlast	w13768
auf	w13769
Ansuchen	w13770
der	w13771
Gläubiger	w13772
öffentlich	w13773
feilgeboten	w13774
<g/>
,
und	w13776
der	w13777
Meistbietenden	w13778
verkauft	w13779
werden	w13780
wird	w13781
<g/>
:
da	w13783
nun	w13784
zu	w13785
diesem	w13786
Ende	w13787
3	w13788
Terminen	w13789
<g/>
,
und	w13791
zwar	w13792
für	w13793
den	w13794
ersten	w13795
der	w13796
8	w13797
Jäner	w13798
1784	w13799
<g/>
.
für	w13801
den	w13802
zwey=ten	w13803
<g/>
=
der	w13805
6	w13806
<g/>
.
<g/>
,
und	w13809
für	w13810
den	w13811
dritten	w13812
der	w13813
28	w13814
<g/>
.
Fe=bruar	w13816
<g/>
=
mit	w13818
dem	w13819
Beysatz	w13820
bestimmet	w13821
worden	w13822
sind	w13823
<g/>
,
daß	w13825
wenn	w13826
gedachte	w13827
Behausung	w13828
samt	w13829
dem	w13830
darauf	w13831
befindlichen	w13832
Gewerb	w13833
weder	w13834
bey	w13835
dem	w13836
ersten	w13837
noch	w13838
zweyten	w13839
Termin	w13840
um	w13841
den	w13842
Schätzungswerth	w13843
oder	w13844
noch	w13845
darüber	w13846
verkauft	w13847
werden	w13848
kann	w13849
<g/>
,
solche	w13851
bey	w13852
dem	w13853
dritten	w13854
auch	w13855
unter	w13856
der	w13857
Schätzung	w13858
hindan=gegeben	w13859
<g/>
=
werden	w13861
würde	w13862
<g/>
;
daher	w13864
haben	w13865
diejenige	w13866
<g/>
,
welche	w13868
vorgedachte	w13869
Behausung	w13870
zu	w13871
kaufen	w13872
willens	w13873
sind	w13874
<g/>
,
an	w13876
den	w13877
bestimmten	w13878
Terminen	w13879
früh	w13880
um	w13881
8	w13882
Uhr	w13883
bey	w13884
der	w13885
herrschaftlichen	w13886
Amtskanzley	w13887
in	w13888
Litschau	w13889
zu	w13890
erscheinen	w13891
<g/>
.
</p>
<head id="hl57">
Licit	w13893
<g/>
.
Fuchsisches	w13895
Haus	w13896
<g/>
.
</head>
<p id="p152">
Von	w13898
der	w13899
gräfl	w13900
<g/>
.
