<doc id="wr_1756-08-07" attrs="word" year="1756" month="08" day="07" corpus="2">
<head id="h2_d63e2595">
Williamsburg	w1_d63e2599
erscheinen,	w9_d63e13521
und	w11_d63e13524
ihre	w13_d63e13528
an	w15_d63e13531
sol	w17_d63e13534
che	w1_d63e13539
Crida-massa	w3_d63e13542
habende	w5_d63e13545
Anforderungen	w7_d63e13548
an	w9_d63e13551
</p>
<p id="p6_d63e13554">
zumelden,	w1_d63e13558
auch	w3_d63e13561
zur	w5_d63e13564
Herstellung	w7_d63e13567
des	w9_d63e13570
erfor	w11_d63e13573
derlich=rechtlichen	w1_d63e13578
Beweistum,	w3_d63e13581
ihre	w5_d63e13584
Schuld	w7_d63e13587
und	w1_d63e13592
Satz=brief,	w3_d63e13595
oder	w5_d63e13598
ansonst	w7_d63e13601
habende	w9_d63e13604
Liqui	w11_d63e13607
dations=urkunden,	w1_d63e13613
und	w3_d63e13616
rechtliche	w5_d63e13619
Behelf	w7_d63e13622
in	w9_d63e13625
beglaubten	w1_d63e13630
Abschriften	w3_d63e13633
einzulegen	w5_d63e13636
haben.	w7_d63e13639
Wie	w1_d63e13644
im	w3_d63e13647
widrigen	w5_d63e13650
der	w7_d63e13653
Ausbleibknde	w9_d63e13656
von	w11_d63e13659
ge	w13_d63e13663
genwärtiger	w1_d63e13668
Concurs	w3_d63e13671
massa	w5_d63e13674
gänzlich	w7_d63e13677
aus	w9_d63e13680
geschlossen	w1_d63e13686
seye,	w3_d63e13689
und	w5_d63e13692
ihme	w7_d63e13695
diesfalls	w9_d63e13698
das	w11_d63e13701
ewi	w13_d63e13705
ge	w1_d63e13710
Stillschweigen	w3_d63e13713
auferleget,	w5_d63e13716
der	w7_d63e13719
nicht	w9_d63e13722
Li	w11_d63e13725
quidirende	w1_d63e13730
aber	w3_d63e13733
in	w5_d63e13736
der	w7_d63e13739
künftigen	w9_d63e13742
Classifica-	w11_d63e13745
tion	w1_d63e13750
mit	w3_d63e13753
seiner	w5_d63e13756
unerwiesenen	w7_d63e13759
Anforderung	w9_d63e13762
abgewiesen	w1_d63e13768
werden	w3_d63e13771
solle.	w5_d63e13774
Wornach	w7_d63e13777
sich	w9_d63e13780
ein	w11_d63e13783
jeder	w1_d63e13788
zu	w3_d63e13791
richten,	w5_d63e13794
und	w7_d63e13797
vor	w9_d63e13800
Schaden	w11_d63e13803
zu	w13_d63e13807
hüten,	w15_d63e13810
wissen	w1_d63e13815
wird.	w3_d63e13818
So	w5_d63e13821
beschehen	w7_d63e13824
Wien	w9_d63e13827
den	w11_d63e13830
1.	w13_d63e13834
Ju	w15_d63e13837
nii	w1_d63e13842
1756.	w3_d63e13845
</p>
<p id="p8_d63e13848">
Nächst=künftigen	w1_d63e13852
Mittwoch	w3_d63e13855
als	w5_d63e13858
den	w7_d63e13861
11.	w9_d63e13864
dieses	w1_d63e13869
Monats	w3_d63e13872
Augusti	w5_d63e13875
werden	w7_d63e13878
auf	w9_d63e13881
der	w11_d63e13884
ho	w13_d63e13888
hen	w1_d63e13893
Brucken	w3_d63e13896
in	w5_d63e13899
dem	w7_d63e13902
sogenannten	w9_d63e13905
Stadtan	w11_d63e13908
waldischen	w1_d63e13914
Haus	w3_d63e13917
im	w5_d63e13920
dritten	w7_d63e13923
Stock	w9_d63e13926
verschie	w11_d63e13929
dene	w1_d63e13934
Verlassenschafts=effecten,	w3_d63e13937
als	w5_d63e13940
gold	w7_d63e13943
und	w9_d63e13946
silberne	w1_d63e13951
Uhren,	w3_d63e13954
Galanterien,	w5_d63e13957
Porcellan,	w7_d63e13960
Bilder,	w1_d63e13965
Manns=kleider,	w3_d63e13968
Wäsch,	w5_d63e13971
Spiegel,	w7_d63e13974
Kästen,	w1_d63e13980
Tisch,	w3_d63e13983
Sessel,	w5_d63e13986
dann	w7_d63e13989
Zinn,	w9_d63e13992
Meßing	w11_d63e13995
und	w1_d63e14000
Kupfer,	w3_d63e14003
Vormittags	w5_d63e14006
von	w7_d63e14009
9.	w9_d63e14012
bis	w11_d63e14015
12.	w13_d63e14019
Nachmittag	w1_d63e14024
aber	w3_d63e14027
von	w5_d63e14030
3.	w7_d63e14033
bis	w9_d63e14036
6.	w11_d63e14039
Uhr	w13_d63e14043
dem	w15_d63e14046
Meist=biettenden	w1_d63e14051
gegen	w3_d63e14054
alsogleich	w5_d63e14057
baar	w7_d63e14060
leisten,	w9_d63e14063
der	w1_d63e14069
Bezahlung	w3_d63e14072
licitando	w5_d63e14075
verkauffet	w7_d63e14078
werden.	w9_d63e14081
</p>
<p id="p10_d63e14084">
Den	w1_d63e14088
27	w3_d63e14091
nächst=künftigen	w5_d63e14094
Monats	w7_d63e14097
Augusti	w9_d63e14100
werden	w1_d63e14105
bey	w3_d63e14108
dem	w5_d63e14111
Löbl.	w7_d63e14114
Stadt=Magistrat	w9_d63e14117
alhier	w11_d63e14120
Fruhe	w1_d63e14125
um	w3_d63e14128
9.	w5_d63e14131
Uhr,	w7_d63e14134
die	w9_d63e14137
in	w11_d63e14140
Weil.	w13_d63e14144
Hrn.	w15_d63e14147
J.	w17_d63e14150
U.	w19_d63e14153
Doctoris	w1_d63e14159
von	w3_d63e14162
Tron	w5_d63e14165
seel.	w7_d63e14168
verlassenschaft	w9_d63e14171
gehö	w11_d63e14174
rige	w1_d63e14179
Haus	w3_d63e14182
und	w5_d63e14185
Garten	w7_d63e14188
am	w9_d63e14191
Renn=weeg,	w11_d63e14194
dann	w13_d63e14198
ein	w1_d63e14203
Haus,	w3_d63e14206
und	w5_d63e14209
Neben=haus	w7_d63e14212
in	w9_d63e14215
der	w11_d63e14218
Unger	w13_d63e14222
gassen	w1_d63e14227
samt	w3_d63e14230
einigen	w5_d63e14233
Aeckern	w7_d63e14236
licitando	w9_d63e14239
gegen	w11_d63e14242
baarer	w1_d63e14248
Bezahlung	w3_d63e14251
verkauffet	w5_d63e14254
werden,	w7_d63e14257
und	w9_d63e14260
ha	w11_d63e14263
ben	w1_d63e14268
sich	w3_d63e14271
die	w5_d63e14274
jenige,	w7_d63e14277
welche	w9_d63e14280
sothane	w11_d63e14283
Häuser	w13_d63e14287
und	w1_d63e14292
Grund=stück	w3_d63e14295
zu	w5_d63e14298
erkauffen	w7_d63e14301
gesinnet	w9_d63e14304
seynd,	w11_d63e14307
wegen	w1_d63e14312
derselben	w3_d63e14315
vorläuffiger	w5_d63e14318
Besichtigung,	w7_d63e14321
und	w1_d63e14327
auch	w3_d63e14330
Ertragnuß	w5_d63e14333
bey	w7_d63e14336
denen	w9_d63e14339
Haus=meistern	w11_d63e14342
anzumelden.	w1_d63e14347
</p>
<p id="p12_d63e14351">
NB.	w1_d63e14355
Bey	w3_d63e14358
denen	w5_d63e14361
Heyingerischen	w7_d63e14364
Erben	w9_d63e14367
in	w11_d63e14370
der	w1_d63e14375
Römer=strassen	w3_d63e14378
seynd	w5_d63e14381
zu	w7_d63e14384
haben:	w9_d63e14387
An	w11_d63e14390
dachts=übung	w1_d63e14395
Marianischer	w3_d63e14398
Dienstbarkeit	w5_d63e14401
zu	w7_d63e14404
MàRI	w1_d63e14410
A	w3_d63e14413
der	w5_d63e14416
schmerz=vollen	w7_d63e14419
Jungfrauen,	w9_d63e14422
Stifterin	w1_d63e14427
des	w3_d63e14430
Ordens	w5_d63e14433
ihrer	w7_d63e14436
Diener;	w9_d63e14439
wie	w11_d63e14442
auch	w13_d63e14446
zu	w1_d63e14451
denen	w3_d63e14454
Heiligen,	w5_d63e14457
und	w7_d63e14460
Seeligen	w9_d63e14463
aus	w11_d63e14466
diesem	w13_d63e14470
Orden.	w1_d63e14475
Mit	w3_d63e14478
zehen	w5_d63e14481
Kupfern	w7_d63e14484
geziert	w9_d63e14487
/	w11_d63e14490
das	w13_d63e14494
Stuck	w1_d63e14500
ungebundener	w3_d63e14503
à	w5_d63e14506
9.	w7_d63e14509
kr.	w9_d63e14512
</p>
<p id="p18_d63e14525">
8tem	w1_d63e14529
ein	w3_d63e14532
Predig=buch,	w5_d63e14535
alwo	w7_d63e14538
verschiedene	w9_d63e14541
Predigen	w1_d63e14546
von	w3_d63e14549
Authore	w5_d63e14552
Fr.	w7_d63e14555
Patritio	w9_d63e14558
Ai-	w11_d63e14561
chingee,	w1_d63e14566
Can.	w3_d63e14569
Regul.	w5_d63e14572
S.	w7_d63e14575
Augustini,	w9_d63e14578
das	w11_d63e14581
Stuck	w1_d63e14587
ungebunden	w3_d63e14590
à	w5_d63e14593
12.	w7_d63e14596
kr.	w9_d63e14599
</p>
<head id="h2_d63e14605">
EDICT.	w1_d63e14609
</head>
<p id="p4_d63e14612">
Jch	w1_d63e14616
Johann	w3_d63e14619
Wilhelm,	w5_d63e14622
des	w7_d63e14625
Heil.	w9_d63e14628
Röm.	w11_d63e14631
Reichs	w1_d63e14636
Fürst	w3_d63e14639
Trautson,	w5_d63e14642
Graf	w7_d63e14645
zu	w9_d63e14648
Falckenstein,	w11_d63e14651
Freyherr	w1_d63e14656
zu	w3_d63e14659
Sprechen	w5_d63e14662
und	w7_d63e14665
Schroffenstein,	w9_d63e14668
Ritter	w1_d63e14674
des	w3_d63e14677
goldenen	w5_d63e14680
Vliesses,	w7_d63e14683
Jhrer	w9_d63e14686
Kaiserl	w11_d63e14689
Königl.	w1_d63e14694
Majestät	w3_d63e14697
würklicher	w5_d63e14700
Geheimer	w7_d63e14703
Raht,	w9_d63e14706
Obrist=Hof=meister,	w1_d63e14711
und	w3_d63e14714
Land=marschall	w5_d63e14717
in	w7_d63e14720
Oesterreich	w1_d63e14725
unter	w3_d63e14728
der	w5_d63e14731
Enß:	w7_d63e14734
Entbiete	w9_d63e14737
N.	w11_d63e14740
al	w13_d63e14744
len	w1_d63e14750
und	w3_d63e14753
jeden,	w5_d63e14756
was	w7_d63e14759
Standes	w9_d63e14762
und	w11_d63e14765
Würde	w13_d63e14769
diese	w1_d63e14774
seynd,	w3_d63e14777
der	w5_d63e14780
Gebühr	w7_d63e14783
nach	w9_d63e14786
meinen	w11_d63e14789
respe	w13_d63e14793
ctive	w1_d63e14798
Dienst	w3_d63e14801
und	w5_d63e14804
guten	w7_d63e14807
Willen	w9_d63e14810
zuvor,	w11_d63e14813
und	w13_d63e14817
füge	w15_d63e14820
hiemit	w1_d63e14825
zu	w3_d63e14828
vernehmen:	w5_d63e14831
</p>
<p id="p6_d63e14834">
Es	w1_d63e14838
habe	w3_d63e14841
bey	w5_d63e14844
dem	w7_d63e14847
mir	w9_d63e14850
allergnädigst	w11_d63e14853
an	w13_d63e14857
vertrauten	w1_d63e14862
Land=marschall	w3_d63e14865
Gericht	w5_d63e14868
Frau	w7_d63e14871
Ma	w9_d63e14874
ria	w1_d63e14879
Josepha	w3_d63e14882
verwittibte	w5_d63e14885
Gräfin	w7_d63e14888
von	w9_d63e14891
Harrach	w11_d63e14894
wider	w1_d63e14900
die	w3_d63e14903
Frauen	w5_d63e14906
Ernestinam	w7_d63e14909
verwittibte	w9_d63e14912
Gräfin	w1_d63e14917
und	w3_d63e14920
geborne	w5_d63e14923
Freyin	w7_d63e14926
v.	w9_d63e14929
Selb	w11_d63e14932
abermahlen	w13_d63e14936
schrifftlich	w1_d63e14941
angezeiget,	w3_d63e14944
walchergestalten	w5_d63e14947
die	w7_d63e14950
vorhin	w1_d63e14955
angeordnet	w3_d63e14958
geweste	w5_d63e14961
Licitations	w7_d63e14964
tag	w9_d63e14967
satzung	w1_d63e14973
der	w3_d63e14976
Herrschafft	w5_d63e14979
Wildberg	w7_d63e14982
samt	w9_d63e14985
ppertinentien	w1_d63e14990
in	w3_d63e14993
Ermanglung	w5_d63e14996
einiger	w7_d63e14999
Li-	w9_d63e15002
citanten	w1_d63e15007
ihren	w3_d63e15010
Fortgang	w5_d63e15013
nicht	w7_d63e15016
hätte	w9_d63e15019
errei	w11_d63e15022
chen	w1_d63e15027
können;	w3_d63e15030
diesemnach	w5_d63e15033
widerhohlt	w7_d63e15036
gebet	w9_d63e15039
ten,	w1_d63e15045
ich	w3_d63e15048
geruhete	w5_d63e15051
ein	w7_d63e15054
nochmahliges	w9_d63e15057
Licita-	w11_d63e15060
tions=Edict	w1_d63e15065
bey	w3_d63e15068
der	w5_d63e15071
Canzley	w7_d63e15074
ausfertigen	w9_d63e15077
zu	w11_d63e15080
lassen.	w1_d63e15085
</p>
<p id="p8_d63e15088">
gen	w1_d63e15092
Monats	w3_d63e15095
Augusti	w5_d63e15098
bestimmet	w7_d63e15101
worden	w9_d63e15104
ist.	w11_d63e15107
Als	w1_d63e15112
hat	w3_d63e15115
man	w5_d63e15118
ein	w7_d63e15121
solches	w9_d63e15124
hiemit	w11_d63e15127
zu	w13_d63e15131
demEnde	w15_d63e15134
jedermännigich	w1_d63e15139
kund	w3_d63e15142
machen	w5_d63e15145
wollen,	w7_d63e15148
damit	w9_d63e15151
der,	w11_d63e15154
oder	w1_d63e15160
diejenige,	w3_d63e15163
so	w5_d63e15166
obbemeldte	w7_d63e15169
Gräfl.	w9_d63e15172
Selbische	w11_d63e15175
Herrschafft	w1_d63e15180
Wildberg	w3_d63e15183
cum	w5_d63e15186
Appertinentiis	w7_d63e15189
käuflich	w1_d63e15194
an	w3_d63e15197
sich	w5_d63e15200
bringen	w7_d63e15203
Willens	w9_d63e15206
seynd,	w11_d63e15209
an	w13_d63e15213
obbe	w15_d63e15216
stimmten	w1_d63e15221
Tag	w3_d63e15224
früh	w5_d63e15227
um	w7_d63e15230
8.	w9_d63e15233
Uhr	w11_d63e15236
adLicitandum,	w13_d63e15240
tractandum,	w1_d63e15246
&	w3_d63e15249
concludendum	w5_d63e15252
vor	w7_d63e15255
Ge	w9_d63e15258
richt	w1_d63e15263
zu	w3_d63e15266
erscheinen	w5_d63e15269
wissen	w7_d63e15272
werden.	w9_d63e15275
Wien,	w11_d63e15278
den	w1_d63e15283
13.	w3_d63e15286
Julii	w5_d63e15289
1756.	w7_d63e15292
</p>
<p id="p10_d63e15295">
Wann	w1_d63e15299
nun	w3_d63e15302
hierinnfalls	w5_d63e15305
verwilliget,	w7_d63e15308
und	w9_d63e15311
zur	w1_d63e15316
Licitations-tagsatzung	w3_d63e15319
der	w5_d63e15322
31.	w7_d63e15325
künfti	w9_d63e15328
</p>
<list id="l12_d63e15332">
NB.	w1_d63e15336
Jn	w3_d63e15339
der	w5_d63e15342
Emerich	w7_d63e15345
Felix	w9_d63e15348
Baderischen	w11_d63e15351
Buchhandlung	w1_d63e15356
in	w3_d63e15359
der	w5_d63e15362
Bogner=gassen	w7_d63e15365
nebst	w9_d63e15368
dem	w1_d63e15373
Todten=kopf	w3_d63e15376
ist	w5_d63e15379
zu	w7_d63e15382
haben:	w9_d63e15385
Les	w1_d63e15391
Réveries	w3_d63e15394
ou	w5_d63e15397
Memoires	w7_d63e15400
sur	w9_d63e15403
l’Art	w11_d63e15406
de	w13_d63e15410
la	w1_d63e15415
Guerre	w3_d63e15418
de	w5_d63e15421
Maurice	w7_d63e15424
Comte	w9_d63e15427
de	w11_d63e15430
Saxe,	w13_d63e15434
Duc	w1_d63e15439
de	w3_d63e15442
Curlande	w5_d63e15445
&	w7_d63e15448
de	w9_d63e15451
Semigalle,	w11_d63e15454
Mare-	w13_d63e15458
chal-general	w1_d63e15463
des	w3_d63e15466
Armées	w5_d63e15469
de	w7_d63e15472
S.	w9_d63e15475
M.	w11_d63e15478
T.	w13_d63e15482
C.	w15_d63e15485
</list>
<list id="l14_d63e15489">
&c.	w1_d63e15493
Bediés	w3_d63e15496
à	w5_d63e15499
Messieurs	w7_d63e15502
les	w9_d63e15505
Officiers	w11_d63e15508
ge-	w13_d63e15512
neraux	w1_d63e15517
pr.	w3_d63e15520
Mr.	w5_d63e15523
Bonneville,	w7_d63e15526
avec	w9_d63e15529
beau.	w11_d63e15532
coup	w1_d63e15537
des	w3_d63e15540
Planches	w5_d63e15543
en	w7_d63e15546
taille	w9_d63e15549
Douce	w11_d63e15552
fol.	w13_d63e15556
à	w1_d63e15562
la	w3_d63e15565
Haye	w5_d63e15568
1756.	w7_d63e15571
pr.	w9_d63e15574
20.	w11_d63e15577
fl.	w13_d63e15581
Leben	w1_d63e15586
des	w3_d63e15589
Waßrichter	w5_d63e15592
Mahler	w7_d63e15595
Michaels,	w9_d63e15598
welcher	w1_d63e15603
sowol	w3_d63e15606
seine	w5_d63e15609
besondere	w7_d63e15612
Reise,	w9_d63e15615
als	w11_d63e15618
merkwürdige	w1_d63e15623
Begebenheiten	w3_d63e15626
zum	w5_d63e15629
Vergnügen	w7_d63e15632
der	w1_d63e15638
Welt	w3_d63e15641
vor	w5_d63e15644
Augen	w7_d63e15647
leget.	w9_d63e15650
8vo.	w11_d63e15653
Dreßden.	w13_d63e15657
1756.	w1_d63e15662
42	w3_d63e15665
kr.	w5_d63e15668
Uhligs	w1_d63e15673
(Adam	w3_d63e15676
Gottfried)	w5_d63e15679
Historisch=po	w7_d63e15682
litisch	w1_d63e15687
und	w3_d63e15690
d.	w5_d63e15693
g.	w7_d63e15696
neueste	w9_d63e15699
Briefe,	w11_d63e15702
worinnen	w13_d63e15706
die	w15_d63e15709
Angelegenheiten	w1_d63e15715
der	w3_d63e15718
gegenwärtigen	w5_d63e15721
Kriegs	w7_d63e15724
und	w1_d63e15729
Staats=händel,	w3_d63e15732
durch	w5_d63e15735
ausführliche	w7_d63e15738
Schriften	w1_d63e15743
und	w3_d63e15746
Aufsätze	w5_d63e15749
gründlich	w7_d63e15752
abgehan	w9_d63e15755
delt,	w1_d63e15760
auch	w3_d63e15763
sonst	w5_d63e15766
historische	w7_d63e15769
Merkwürdigkei	w9_d63e15772
ten	w1_d63e15778
mitgetheilet	w3_d63e15781
werden.	w5_d63e15784
8vo.	w7_d63e15787
Frankfurt.	w9_d63e15790
1756.	w1_d63e15795
1	w3_d63e15798
fl	w5_d63e15801
8.	w7_d63e15804
kr.	w9_d63e15807
Die	w1_d63e15812
Zeichnungs	w3_d63e15815
und	w5_d63e15818
Mahler=kunst.	w7_d63e15821
8vo.	w9_d63e15824
Frankfurt.	w1_d63e15829
1756.	w3_d63e15832
17.	w5_d63e15835
kr.	w7_d63e15838
Efsai	w1_d63e15844
sur	w3_d63e15847
les	w5_d63e15850
Usages	w7_d63e15853
des	w9_d63e15856
Montagnes,	w11_d63e15859
avec	w1_d63e15864
une	w3_d63e15867
Lettre	w5_d63e15870
sur	w7_d63e15873
le	w9_d63e15876
Nil;	w11_d63e15879
par	w13_d63e15883
R.	w15_d63e15886
Ber-	w17_d63e15889
trand.	w1_d63e15894
8vo	w3_d63e15897
Zuric.	w5_d63e15900
1754.	w7_d63e15903
1.	w9_d63e15906
fl.	w11_d63e15909
30.	w13_d63e15913
xr.	w15_d63e15916
Dissertation	w1_d63e15921
qui	w3_d63e15924
a	w5_d63e15927
remporté	w7_d63e15930
le	w9_d63e15933
Prix	w11_d63e15936
de	w13_d63e15940
l'Academie	w1_d63e15946
Royale	w3_d63e15949
des	w5_d63e15952
Sciences	w7_d63e15955
&	w9_d63e15958
bel-	w11_d63e15961
les	w1_d63e15966
Lettres	w3_d63e15969
sur	w5_d63e15972
les	w7_d63e15975
Anciens	w9_d63e15978
Habitans	w11_d63e15981
des	w13_d63e15985
Marches.	w1_d63e15990
Avec	w3_d63e15993
les	w5_d63e15996
Pieces	w7_d63e15999
qui	w9_d63e16002
ont	w11_d63e16005
con-	w13_d63e16009
courru	w1_d63e16014
4to.	w3_d63e16017
Berlin.	w5_d63e16020
1753.	w7_d63e16023
36.	w9_d63e16026
xr.	w11_d63e16029
Essai	w1_d63e16035
de	w3_d63e16038
Cosmolohie	w5_d63e16041
per	w7_d63e16044
Mr.	w9_d63e16047
Mauper-	w11_d63e16050
tuis	w1_d63e16055
8vo.	w3_d63e16058
1751.	w5_d63e16061
1.	w7_d63e16064
fl.	w9_d63e16067
8.	w11_d63e16070
x1.	w13_d63e16074
Histoire	w1_d63e16079
&	w3_d63e16082
Description	w5_d63e16085
generale	w7_d63e16088
de	w9_d63e16091
la	w1_d63e16096
Nouvelle	w3_d63e16099
France,	w5_d63e16102
avec	w7_d63e16105
le	w9_d63e16108
Journal	w11_d63e16111
Historique	w1_d63e16117
d'un	w3_d63e16120
Voyage	w5_d63e16123
fait	w7_d63e16126
par	w9_d63e16129
Ordre	w11_d63e16132
du	w1_d63e16137
Roy	w3_d63e16140
dans	w5_d63e16143
l'Amerique	w7_d63e16146
Sepientriona-	w9_d63e16149
le	w1_d63e16154
xar	w3_d63e16157
le	w5_d63e16160
P.	w7_d63e16163
de	w9_d63e16166
Charlevoix.	w11_d63e16169
Avec	w13_d63e16173
Quantité	w1_d63e16178
de	w3_d63e16181
Cartes,	w5_d63e16184
Plans	w7_d63e16187
&	w9_d63e16190
autres	w11_d63e16193
fi-	w13_d63e16197
gures	w1_d63e16203
en	w3_d63e16206
Taille	w5_d63e16209
douce.	w7_d63e16212
VI.	w9_d63e16215
Tomes.	w11_d63e16218
12mo,	w13_d63e16222
</list>
<list id="l16_d63e16226">
Paris	w1_d63e16230
1744.	w3_d63e16233
14.	w5_d63e16236
fl.	w7_d63e16239
La	w1_d63e16244
Science	w3_d63e16247
des	w5_d63e16250
Personnes	w7_d63e16253
de	w9_d63e16256
Cour,	w11_d63e16259
d'Epeé	w1_d63e16264
&	w3_d63e16267
de	w5_d63e16270
Robe,	w7_d63e16273
Comencée	w9_d63e16276
par	w11_d63e16279
Mr.	w13_d63e16283
de	w1_d63e16289
Chevigni,	w3_d63e16292
continuée	w5_d63e16295
par	w7_d63e16298
Mr.	w9_d63e16301
Limiers.	w11_d63e16304
Revue,	w1_d63e16309
corrigée	w3_d63e16312
&	w5_d63e16315
Considerablement	w7_d63e16318
augmentée	w1_d63e16323
par	w3_d63e16326
Mr.	w5_d63e16329
Pierre	w7_d63e16332
Massuet.	w9_d63e16335
IX.	w11_d63e16338
Tomes-	w1_d63e16343
avec	w3_d63e16346
fig.	w5_d63e16349
12mo.	w7_d63e16352
Amsterdam.	w9_d63e16355
1752	w1_d63e16361
24.	w3_d63e16364
fl.	w5_d63e16367
Pratique	w1_d63e16372
de	w3_d63e16375
la	w5_d63e16378
Memoire	w7_d63e16381
Artificielle,	w9_d63e16384
pour	w1_d63e16389
apprendre	w3_d63e16392
&	w5_d63e16395
pour	w7_d63e16398
retenir	w9_d63e16401
l’Hi-	w11_d63e16404
stoire	w1_d63e16409
&	w3_d63e16412
la	w5_d63e16415
Chronologie	w7_d63e16418
universelle;	w9_d63e16421
Et	w1_d63e16427
en	w3_d63e16430
particulier	w5_d63e16433
l'’Histoire	w7_d63e16436
Sainte,	w9_d63e16439
l'Hi-	w11_d63e16442
stoire	w1_d63e16447
Eeclesiastique	w3_d63e16450
l-Histoire	w5_d63e16453
de	w7_d63e16456
France	w9_d63e16459
par	w1_d63e16464
le	w3_d63e16467
Pere	w5_d63e16470
Buffier.	w7_d63e16473
III.	w9_d63e16476
Tomes,	w11_d63e16479
12mo,	w13_d63e16483
Pa-	w15_d63e16486
ris.	w1_d63e16491
1748.	w3_d63e16494
2.	w5_d63e16497
fl.	w7_d63e16500
30.	w9_d63e16503
x1.	w11_d63e16506
</list>
<p id="p20_d63e16512">
A	w1_d63e16516
Map	w3_d63e16519
of	w5_d63e16522
the	w7_d63e16525
Brittish	w9_d63e16528
and	w11_d63e16531
French	w13_d63e16535
Do-	w15_d63e16538
minions	w1_d63e16543
in	w3_d63e16546
North	w5_d63e16549
America,	w7_d63e16552
with	w9_d63e16555
the	w11_d63e16558
Reads,	w1_d63e16563
Distances,	w3_d63e16566
Limits	w5_d63e16569
and	w7_d63e16572
Extent	w9_d63e16575
of	w11_d63e16578
the	w1_d63e16584
Settlements,	w3_d63e16587
bi	w5_d63e16590
Tn.	w7_d63e16593
Mitchell,	w9_d63e16596
en	w11_d63e16599
huit	w1_d63e16604
feuilles.	w3_d63e16607
16.	w5_d63e16610
fl.	w7_d63e16613
40.	w9_d63e16616
xr.	w11_d63e16619
</p>
<p id="p22_d63e16622">
rica,	w1_d63e16626
with	w3_d63e16629
the	w5_d63e16632
French,	w7_d63e16635
Spanish	w9_d63e16638
and	w11_d63e16641
the	w1_d63e16646
Dutch	w3_d63e16649
Settlements,	w5_d63e16652
adjaceut	w7_d63e16655
the-	w9_d63e16658
aeta,	w1_d63e16663
by	w3_d63e16666
Henry	w5_d63e16669
Popple,	w7_d63e16672
en	w9_d63e16675
Sept	w11_d63e16678
feuilles	w13_d63e16682
12.	w1_d63e16688
fl.	w3_d63e16691
30,	w5_d63e16694
xr.	w7_d63e16697
</p>
<list id="l24_d63e16701">
A.	w1_d63e16705
Mep	w3_d63e16708
of	w5_d63e16711
the	w7_d63e16714
Brittish	w9_d63e16717
Empire	w11_d63e16720
in	w13_d63e16724
Ame-	w15_d63e16727
</list>
<list id="l26_d63e16731">
NB,	w1_d63e16735
Bey	w3_d63e16738
Friderich	w5_d63e16741
Bernhardi	w7_d63e16744
in	w9_d63e16747
seinem	w11_d63e16750
Buch=gewölbe	w1_d63e16755
auf	w3_d63e16758
dem	w5_d63e16761
obern	w7_d63e16764
Jesuiter=plätzl	w9_d63e16767
seynd	w1_d63e16772
unter	w3_d63e16775
andern	w5_d63e16778
nachfolgende	w7_d63e16781
Bücher	w9_d63e16784
um	w11_d63e16787
billigen	w1_d63e16793
Preis	w3_d63e16796
zu	w5_d63e16799
bekommen:	w7_d63e16802
La	w1_d63e16807
Noblesse	w3_d63e16810
commerçante.	w5_d63e16813
8.	w7_d63e16816
Lon-	w9_d63e16819
dres	w1_d63e16824
1756.	w3_d63e16827
34	w5_d63e16830
kr.	w7_d63e16833
Discours	w1_d63e16838
sur	w3_d63e16841
l’Origine	w5_d63e16844
&	w7_d63e16847
les	w9_d63e16850
Fonde	w11_d63e16853
mens	w1_d63e16859
de	w3_d63e16862
l’Inegalité	w5_d63e16865
parmi	w7_d63e16868
les	w9_d63e16871
Homme	w11_d63e16874
par	w1_d63e16879
Roussean	w3_d63e16882
8vo	w5_d63e16885
Amst.	w7_d63e16888
1755.	w9_d63e16891
c'est	w11_d63e16894
un	w13_d63e16898
Question	w1_d63e16903
qui	w3_d63e16906
a	w5_d63e16909
été	w7_d63e16912
proposée	w9_d63e16915
par	w11_d63e16918
l'Aca	w13_d63e16922
demie	w1_d63e16927
de	w3_d63e16930
Dijon.	w5_d63e16933
Bibliotheque	w1_d63e16939
des	w3_d63e16942
Sciences	w5_d63e16945
&	w7_d63e16948
des	w9_d63e16951
beaux	w11_d63e16954
Arts	w1_d63e16959
IV.	w3_d63e16962
Tomes	w5_d63e16965
8vo	w7_d63e16968
à	w9_d63e16971
la	w11_d63e16974
Haye	w13_d63e16978
1755.	w15_d63e16981
L'Art	w1_d63e16986
du	w3_d63e16989
Genie	w5_d63e16992
pour	w7_d63e16995
l’Instruction	w9_d63e16998
des	w11_d63e17001
Gens	w1_d63e17006
de	w3_d63e17009
Guerre,	w5_d63e17012
8vo	w7_d63e17015
1755.	w9_d63e17018
La	w1_d63e17024
Rhetorique	w3_d63e17027
ou	w5_d63e17030
l’Art	w7_d63e17033
de	w9_d63e17036
parler	w11_d63e17039
par	w13_d63e17043
Lamy,	w1_d63e17048
12mo	w3_d63e17051
à	w5_d63e17054
la	w7_d63e17057
Haye.	w9_d63e17060
Oeuvres	w1_d63e17065
de	w3_d63e17068
Bossuet	w5_d63e17071
cont.	w7_d63e17074
tout	w9_d63e17077
ce	w11_d63e17080
qu'il	w1_d63e17085
a	w3_d63e17088
ecrit	w5_d63e17091
sur	w7_d63e17094
differentes	w9_d63e17097
Matieres	w11_d63e17100
VIII.	w1_d63e17106
Tomes	w3_d63e17109
compl.	w5_d63e17112
&	w7_d63e17115
le	w9_d63e17118
Tome	w11_d63e17121
VII.	w13_d63e17125
