<doc id="edoc_wd_1759-09-26" attrs="word" year="1759" month="09" day="26" corpus="1">
<head id="hl1">
Coblenz	w40
diesem	w5446
Erzherzog=tum	w5447
<g/>
=
Oesterreich	w5449
unter	w5450
der	w5451
Enns	w5452
auf	w5453
den	w5454
24	w5455
<g/>
.
Septemb	w5457
<g/>
.
1759	w5459
<g/>
.
ausznschreibenauszuschreiben	w5461
<g/>
,
und	w5463
al=lergnädigst	w5464
<g/>
=
zu	w5466
bewilligen	w5467
geruhet	w5468
<g/>
,
daß	w5470
die	w5471
treu	w5472
<g/>
=
gehorsamste	w5474
Stände	w5475
eine	w5476
ansehnliche	w5477
Deputation	w5478
ernennen	w5479
<g/>
,
und	w5481
diese	w5482
den	w5483
23	w5484
<g/>
.
dieses	w5486
Monats	w5487
Septemb	w5488
<g/>
.
in	w5490
dem	w5491
Kaiserl	w5492
<g/>
.
Königl	w5494
<g/>
.
Lustschloß	w5496
Schönbrunn	w5497
sich	w5498
einfin=den	w5499
<g/>
=
<g/>
,
folgends	w5502
allda	w5503
aus	w5504
Jhrer	w5505
Kaiserl	w5506
<g/>
.
Kö=nigl	w5508
<g/>
=
<g/>
.
Apost	w5511
Majest	w5512
<g/>
.
eigenen	w5514
Handen	w5515
die	w5516
Landtags	w5517
<g/>
=
postulata	w5519
empfangen	w5520
möge	w5521
<g/>
;
</p>
<p id="p56">
Als	w5523
seynd	w5524
von	w5525
Seiten	w5526
deren	w5527
Löbl	w5528
<g/>
.
drey	w5530
oberen	w5531
Herren	w5532
Ständen	w5533
hierzu	w5534
die	w5535
Herren	w5536
Capi	w5537
<g/>
,
von	w5539
jedem	w5540
Löbl	w5541
<g/>
.
Stand	w5543
<g/>
,
die	w5545
ältere	w5546
drey	w5547
Herren	w5548
vom	w5549
Löbl	w5550
<g/>
.
Ausschuß	w5552
<g/>
,
und	w5554
die	w5555
ältere	w5556
drey	w5557
Herren	w5558
Verordnete	w5559
auserkohren	w5560
<g/>
,
von	w5562
dem	w5563
vierten	w5564
Stand	w5565
aber	w5566
Herr	w5567
Leopold	w5568
Gruber	w5569
<g/>
,
und	w5571
Herr	w5572
von	w5573
Zahlheim	w5574
<g/>
,
beyde	w5576
des	w5577
inneren	w5578
Rahts	w5579
Freunde	w5580
benennet	w5581
worden	w5582
<g/>
.
</p>
<p id="p57">
Deme	w5584
zufolge	w5585
wurde	w5586
Herr	w5587
Johann	w5588
Mau=ritz	w5589
<g/>
=
Sobbe	w5591
<g/>
,
als	w5593
deren	w5594
Löbl	w5595
<g/>
.
Herren	w5597
Land=ständen	w5598
<g/>
=
Agent	w5600
<g/>
,
den	w5602
21	w5603
<g/>
.
und	w5605
22	w5606
<g/>
.
bevor	w5608
um	w5609
die	w5610
allergnädigste	w5611
Audienz	w5612
<g/>
=
stund	w5614
sich	w5615
zu	w5616
er=kundigen	w5617
<g/>
=
abgeschicket	w5619
<g/>
;
wie	w5621
nun	w5622
derselbe	w5623
die	w5624
Bestimmung	w5625
um	w5626
10	w5627
<g/>
.
Uhr	w5629
zuruck	w5630
gebracht	w5631
<g/>
,
so	w5633
haben	w5634
Seine	w5635
Fürstl	w5636
<g/>
.
Gnaden	w5638
Herr	w5639
Land=marschall	w5640
<g/>
=
<g/>
,
der	w5643
zu	w5644
solchem	w5645
Ende	w5646
erkiesten	w5647
Löbl	w5648
<g/>
.
Ständischen	w5650
Deputation	w5651
<g/>
,
wie	w5653
auch	w5654
de=nen	w5655
<g/>
=
vom	w5657
vierten	w5658
Stand	w5659
Deputirten	w5660
<g/>
,
die	w5662
Zusammen	w5663
<g/>
=
kunft	w5665
im	w5666
Land	w5667
<g/>
=
Haus	w5669
auf	w5670
gedacht=	w5671
<g/>
=
23	w5673
<g/>
.
dieses	w5675
unterhalb	w5676
9	w5677
<g/>
.
Uhr	w5679
bedeuten	w5680
lassen	w5681
<g/>
.
</p>
<p id="p58">
Jn	w5683
eben	w5684
dieser	w5685
Zeit	w5686
seynd	w5687
demnach	w5688
Die	w5689
selbe	w5690
ordentlich	w5691
im	w5692
Landhaus	w5693
erschienen	w5694
<g/>
,
und	w5696
die	w5697
Löbl	w5698
<g/>
.
Deputation	w5700
in	w5701
nachfolgender	w5702
Ordnung	w5703
abgefahren	w5704
<g/>
.
</p>
<p id="p59">
1	w5706
<g/>
.
Seynd	w5708
4	w5709
<g/>
.
Landschaftstrompetter	w5711
in	w5712
der	w5713
Gala	w5714
<g/>
=
livree	w5716
mit	w5717
angehängten	w5718
Trompet=ten	w5719
<g/>
=
vorgeritten	w5721
<g/>
,
und	w5723
die	w5724
Herren	w5725
Capi	w5726
von	w5727
jedem	w5728
Löbl	w5729
<g/>
.
Stand	w5731
<g/>
,
nämlichen	w5733
<g/>
:
Seine	w5735
Fürstl	w5736
<g/>
.
Gnaden	w5738
<g/>
(
Titl	w5740
<g/>
.
<g/>
)
Herr	w5743
Johann	w5744
Wil=helm	w5745
<g/>
=
Fürst	w5747
von	w5748
Trautsohn	w5749
<g/>
,
Graf	w5751
zu	w5752
Fal=kenstein	w5753
<g/>
=
<g/>
,
N	w5756
<g/>
.
Oe	w5758
<g/>
.
Land	w5760
<g/>
=
marschall	w5762
<g/>
,
und	w5764
Präses	w5765
des	w5766
Löbl	w5767
<g/>
.
Herren	w5769
<g/>
=
standes	w5771
<g/>
,
<g/>
(
Titl	w5774
<g/>
.
<g/>
)
Herr	w5777
Thomas	w5778
Abbt	w5779
zu	w5780
Mölk	w5781
<g/>
,
des	w5783
Löbl	w5784
<g/>
.
Prälaten=standes	w5786
<g/>
=
Primas	w5788
<g/>
,
und	w5790
<g/>
(
Titl	w5792
<g/>
.
<g/>
)
Herr	w5795
Carl	w5796
Leopold	w5797
von	w5798
Moser	w5799
<g/>
,
Land	w5801
<g/>
=
unter	w5803
<g/>
=
marschall	w5805
<g/>
,
des	w5807
Löbl	w5808
<g/>
.
Ritterstandes	w5810
Präses	w5811
<g/>
,
in	w5813
Seiner	w5814
Excell	w5815
<g/>
.
<g/>
(
Titl	w5818
<g/>
.
<g/>
)
Hrn	w5821
<g/>
.
Ferdinand	w5823
Grafens	w5824
von	w5825
Lamberg	w5826
<g/>
,
K	w5828
<g/>
.
K	w5830
<g/>
.
würklichen	w5832
geheimen	w5833
Rahts	w5834
<g/>
,
als	w5836
älteren	w5837
Ausschuß	w5838
des	w5839
Löbl	w5840
<g/>
.
Herren	w5842
<g/>
=
stan=des	w5844
<g/>
=
<g/>
,
mit	w5847
6	w5848
<g/>
.
Pferden	w5850
bespannten	w5851
Gala	w5852
<g/>
=
wa=gen	w5854
<g/>
=
gefolget	w5856
<g/>
.
</p>
<p id="p60">
2	w5858
<g/>
.
Jn	w5860
Seiner	w5861
Fürstl	w5862
<g/>
.
Gnaden	w5864
Herrn	w5865
Land	w5866
<g/>
=
marschallens	w5868
auch	w5869
mit	w5870
6	w5871
<g/>
.
Pferden	w5873
be=spannten	w5874
<g/>
=
Wagen	w5876
wolgedachter	w5877
Herr	w5878
Graf	w5879
von	w5880
Lamberg	w5881
<g/>
,
<g/>
(
Titl	w5884
<g/>
.
Herr	w5886
Robertus	w5887
Abbt	w5888
zum	w5889
Schotten	w5890
anstatt	w5891
des	w5892
Hrn	w5893
Josephi	w5894
<g/>
,
Probstens	w5896
zu	w5897
St	w5898
<g/>
.
Dorothe	w5900
<g/>
,
<g/>
(
Titl	w5903
<g/>
.
<g/>
)
Herr	w5906
Ferdinand	w5907
Haindel	w5908
von	w5909
Ramingdorf	w5910
<g/>
,
als	w5912
je=den	w5913
<g/>
=
Löbl	w5915
<g/>
.
Standes	w5917
Ausschuß	w5918
<g/>
.
</p>
<p id="p61">
3	w5920
<g/>
.
Jn	w5922
ernannten	w5923
Herrn	w5924
Abbtens	w5925
von	w5926
Mölk	w5927
ebenfalls	w5928
mit	w5929
6	w5930
<g/>
.
Pferden	w5932
bespannten	w5933
Wagen	w5934
die	w5935
drey	w5936
ältere	w5937
Herren	w5938
Verordnete	w5939
<g/>
,
<g/>
(
Titl	w5942
<g/>
)
Herr	w5944
Raynerus	w5945
<g/>
,
Abbt	w5947
zu	w5948
Zwettl	w5949
<g/>
,
anstatt	w5951
des	w5952
Herrn	w5953
Dominici	w5954
<g/>
,
Abbtens	w5956
zu	w5957
Lilienfeld	w5958
<g/>
,
<g/>
(
Titl	w5961
<g/>
.
<g/>
)
Herr	w5964
Wenzl	w5965
Graf	w5966
von	w5967
Breuner	w5968
<g/>
,
und	w5970
<g/>
(
Titl	w5972
<g/>
.
<g/>
)
Herr	w5975
Max	w5976
Ferdi=nand	w5977
<g/>
=
von	w5979
Moser	w5980
<g/>
.
</p>
<p id="p62">
4	w5982
<g/>
.
Einer	w5984
Löbl	w5985
<g/>
.
N	w5987
<g/>
.
Oe	w5989
<g/>
.
Landschaft	w5991
Syn=dicus	w5992
<g/>
=
Herr	w5994
Otto	w5995
von	w5996
Lackenau	w5997
J	w5998
<g/>
.
U	w6000
<g/>
.
D	w6002
<g/>
.
in	w6004
seinem	w6005
eigenen	w6006
Wagen	w6007
<g/>
.
</p>
<p id="p63">
5	w6009
<g/>
.
Und	w6011
letztlichen	w6012
haben	w6013
die	w6014
vom	w6015
vier=ten	w6016
<g/>
=
Stand	w6018
benannte	w6019
Deputirte	w6020
in	w6021
einem	w6022
mit	w6023
4	w6024
<g/>
.
Pferden	w6026
bespannten	w6027
Wagen	w6028
den	w6029
Schluß	w6030
gemacht	w6031
<g/>
.
</p>
<p id="p64">
Jn	w6033
dieser	w6034
Ordnung	w6035
dann	w6036
auch	w6037
ist	w6038
die	w6039
ganze	w6040
Löbl	w6041
<g/>
.
Deputation	w6043
zu	w6044
Schönbrunn	w6045
unter	w6046
Paradirung	w6047
der	w6048
allda	w6049
befindlichen	w6050
Militar	w6051
<g/>
=
wacht	w6053
angelanget	w6054
<g/>
,
sodann	w6056
über	w6057
die	w6058
Haupt	w6059
<g/>
=
stiegen	w6061
rechter	w6062
Hand	w6063
bis	w6064
zum	w6065
Audienz	w6066
<g/>
=
zimmer	w6068
unter	w6069
Paradirung	w6070
deren	w6071
Kaiserl	w6072
<g/>
.
Königl	w6074
<g/>
.
Leib	w6076
<g/>
=
wachten	w6078
fortgegangen	w6079
<g/>
,
und	w6081
allda	w6082
von	w6083
Sr	w6084
<g/>
.
Excell	w6086
<g/>
.
Obrist	w6088
<g/>
=
Camme=rern	w6090
<g/>
=
<g/>
(
Titl	w6093
<g/>
.
<g/>
)
Herrn	w6096
Johann	w6097
Joseph	w6098
Grafen	w6099
von	w6100
Khevenhüller	w6101
angesagt	w6102
worden	w6103
<g/>
,
wo	w6105
so=fort	w6106
<g/>
=
nach	w6108
einer	w6109
Verweilung	w6110
Allerhöchst	w6111
<g/>
=
Jhre	w6113
Kaiserl	w6114
<g/>
.
Königl	w6116
<g/>
.
und	w6118
Apostol	w6119
<g/>
.
Majest	w6121
<g/>
.
in	w6123
das	w6124
Audienz	w6125
<g/>
=
zimmer	w6127
mit	w6128
Jhrer	w6129
Excell	w6130
<g/>
.
der	w6132
Fräulen	w6133
Hof	w6134
<g/>
=
meisterin	w6136
<g/>
(
Titl	w6138
<g/>
.
<g/>
)
Frauen	w6141
Josepha	w6142
<g/>
,
verwittibten	w6144
Gräfin	w6145
von	w6146
Kheven=hüller	w6147
<g/>
=
<g/>
,
gebornen	w6150
Gräfin	w6151
von	w6152
Saint	w6153
Julien	w6154
<g/>
,
und	w6156
erstwolgedachten	w6157
Herrn	w6158
Obrist	w6159
<g/>
=
cam=merer	w6161
<g/>
=
getretten	w6163
<g/>
,
worvon	w6165
erstere	w6166
zur	w6167
rechten	w6168
<g/>
,
und	w6170
letztere	w6171
zur	w6172
linken	w6173
Hand	w6174
gestanden	w6175
<g/>
,
Jhre	w6177
Majest	w6178
<g/>
.
die	w6180
Kaiserin	w6181
aber	w6182
haben	w6183
un=ter	w6184
<g/>
=
Jhrem	w6186
Baldachin	w6187
aufrecht	w6188
stehend	w6189
auf	w6190
des	w6191
Herrn	w6192
Land	w6193
<g/>
=
marschallens	w6195
allerunter=thänigste	w6196
<g/>
=
Anrede	w6198
allerhuldreichist	w6199
geantwor=tet	w6200
<g/>
=
<g/>
,
und	w6203
die	w6204
Landes	w6205
<g/>
=
postulata	w6207
wol	w6208
<g/>
=
gemelde=tem	w6210
<g/>
=
Herrn	w6212
Land	w6213
<g/>
=
marschallen	w6215
eigenhändig	w6216
übergeben	w6217
<g/>
.
</p>
<p id="p65">
Wornach	w6219
alle	w6220
in	w6221
Ordnung	w6222
des	w6223
Auftritts	w6224
zum	w6225
Hand	w6226
<g/>
=
kuß	w6228
gelassen	w6229
worden	w6230
<g/>
,
sodann	w6232
der=gestalten	w6233
<g/>
=
wiederum	w6235
abgetretten	w6236
<g/>
,
und	w6238
auf	w6239
vorhinnige	w6240
Art	w6241
in	w6242
ihre	w6243
Wägen	w6244
sich	w6245
gesetzet	w6246
<g/>
,
und	w6248
unter	w6249
voriger	w6250
Paradirung	w6251
der	w6252
Solda=tesca	w6253
<g/>
=
abgefahren	w6255
<g/>
,
den	w6257
Zug	w6258
in	w6259
das	w6260
Land=haus	w6261
<g/>
=
gehalten	w6263
<g/>
,
bey	w6265
der	w6266
grossen	w6267
Stiegen	w6268
<g/>
,
die	w6270
von	w6271
dem	w6272
vierten	w6273
Stand	w6274
aber	w6275
vor	w6276
dem	w6277
Land=hausthor	w6278
<g/>
=
abgestiegen	w6280
<g/>
,
in	w6282
das	w6283
Versamm=lungs	w6284
<g/>
=
<g/>
=
zimmer	w6287
sich	w6288
begeben	w6289
<g/>
,
sogleich	w6291
aber	w6292
<g/>
,
</p>
<p id="p66">
ohne	w6294
etwas	w6295
weiters	w6296
vorzunehmen	w6297
<g/>
,
ausein=ander	w6299
<g/>
=
getretten	w6301
<g/>
,
und	w6303
ein	w6304
jeder	w6305
in	w6306
seinem	w6307
Wagen	w6308
nacher	w6309
Haus	w6310
gefahren	w6311
<g/>
.
</p>
<p id="p67">
Von	w6313
dem	w6314
Kaiserl	w6315
<g/>
.
Königl	w6317
<g/>
.
Stadt	w6319
<g/>
=
und	w6321
Land=gericht	w6322
<g/>
=
Wien	w6324
wird	w6325
hiermit	w6326
des	w6327
Johann	w6328
Georg	w6329
Höckhers	w6330
<g/>
,
gewest	w6332
Burgerl	w6333
<g/>
.
Tuchlaubens	w6335
<g/>
=
ver=wandtens	w6337
<g/>
=
sammentliche	w6339
Creditoren	w6340
<g/>
,
auch	w6342
son=sten	w6343
<g/>
=
jedermänniglich	w6345
kund	w6346
und	w6347
zu	w6348
wissen	w6349
gethan	w6350
<g/>
,
wasgestalten	w6352
zu	w6353
gemeinsamen	w6354
Nutzen	w6355
der	w6356
diesor=tigen	w6357
<g/>
=
Massa	w6359
für	w6360
nohtwendig	w6361
befunden	w6362
worden	w6363
<g/>
,
die	w6365
bereits	w6366
gerichtlich	w6367
beschrieben	w6368
und	w6369
inventirt	w6370
Höckerische	w6371
Gewölbs	w6372
<g/>
=
einrichtung	w6374
<g/>
(
so	w6376
in	w6377
zweyen	w6378
harten	w6379
Budln	w6380
<g/>
,
3	w6382
<g/>
.
mit	w6384
Tuch	w6385
überzogenen	w6386
Cana=pee	w6387
<g/>
=
<g/>
,
sammentlichen	w6390
Stellage	w6391
mit	w6392
Vorhängen	w6393
<g/>
,
Schreib	w6395
<g/>
=
pulten	w6397
<g/>
,
Sesseln	w6399
<g/>
,
meßingenen	w6401
Gewich=tern	w6402
<g/>
=
<g/>
,
und	w6405
andern	w6406
Fahrnussen	w6407
bestehet	w6408
<g/>
)
per	w6410
Li-citationem	w6411
<g/>
-
auszufeilen	w6413
<g/>
,
und	w6415
an	w6416
die	w6417
Meistbie=tende	w6418
<g/>
=
zu	w6420
verkauffen	w6421
<g/>
;
zu	w6423
welchem	w6424
Ende	w6425
auch	w6426
eine	w6427
Licitations	w6428
<g/>
=
tagsatzung	w6430
ungehindert	w6431
deren	w6432
ein=gehenden	w6433
<g/>
=
Wein	w6435
<g/>
-
ferien	w6437
auf	w6438
den	w6439
1	w6440
<g/>
.
des	w6442
nächst=kommenden	w6443
<g/>
=
Monats	w6445
Octobris	w6446
fruh	w6447
um	w6448
9	w6449
Uhr	w6450
in	w6451
der	w6452
gräfl	w6453
<g/>
.
Wallseckisch	w6455
<g/>
-
auf	w6457
dem	w6458
Hohen	w6459
<g/>
=
markt	w6461
ligenden	w6462
Behausung	w6463
in	w6464
dasigen	w6465
Handlungs	w6466
<g/>
=
ge=wölb	w6468
<g/>
=
zu	w6470
erscheinen	w6471
bestimmet	w6472
worden	w6473
<g/>
;
dahero	w6475
dann	w6476
der	w6477
<g/>
=
oder	w6479
diejenige	w6480
<g/>
,
so	w6482
von	w6483
obbemeldeter	w6484
Gewölbs	w6485
<g/>
=
einrichtung	w6487
und	w6488
Fahrnussen	w6489
etwas	w6490
käuf=lich	w6491
<g/>
=
an	w6493
sich	w6494
zu	w6495
bringen	w6496
gesinnet	w6497
seyn	w6498
möchten	w6499
<g/>
,
an	w6501
vorbesagten	w6502
Tag	w6503
<g/>
,
Stund	w6505
<g/>
,
und	w6507
Ort	w6508
ad	w6509
li-citandum	w6510
<g/>
-
sich	w6512
unausbleiblich	w6513
einzufinden	w6514
haben	w6515
werden	w6516
<g/>
.
Actum	w6518
Wien	w6519
den	w6520
19	w6521
<g/>
.
Sept	w6523
<g/>
.
1759	w6525
<g/>
.
</p>
<p id="p68">
Den	w6527
8	w6528
<g/>
.
October	w6530
und	w6531
folgende	w6532
Täge	w6533
fruh	w6534
von	w6535
9	w6536
<g/>
.
bis	w6538
12	w6539
<g/>
.
<g/>
,
Nachmittag	w6542
von	w6543
3	w6544
<g/>
.
bis	w6546
6	w6547
<g/>
.
Uhr	w6549
wer=den	w6550
<g/>
=
auf	w6552
der	w6553
Sailerstadt	w6554
in	w6555
der	w6556
sogenannten	w6557
Hol=lerstauden	w6558
<g/>
=
in	w6560
dem	w6561
anderten	w6562
Stock	w6563
<g/>
,
verschiedene	w6565
Verlassenschafts	w6566
<g/>
=
effecten	w6568
<g/>
,
als	w6570
Tabattieren	w6571
<g/>
,
Sack	w6573
<g/>
=
und	w6575
andere	w6576
Uhren	w6577
<g/>
,
Silber	w6579
<g/>
,
sammetene	w6581
<g/>
,
bordirte	w6583
und	w6584
andere	w6585
Manns	w6586
<g/>
=
kleider	w6588
<g/>
,
worunter	w6590
ein	w6591
schar=lachener	w6592
<g/>
=
mit	w6594
Gold	w6595
gestickter	w6596
Mantel	w6597
<g/>
,
ein	w6599
porce=lanener	w6600
<g/>
=
Tafel	w6602
<g/>
=
und	w6604
Confectaufsatz	w6605
<g/>
,
<g/>
,
Wagen	w6608
<g/>
,
und	w6610
Pferd	w6611
<g/>
=
geschirr	w6613
<g/>
,
bordirt	w6615
und	w6616
andere	w6617
Schabracken	w6618
<g/>
,
samt	w6620
Sattel	w6621
<g/>
=
und	w6623
Zaum	w6624
<g/>
,
extra	w6626
guter	w6627
Rhein	w6628
<g/>
=
wein	w6630
<g/>
,
Oesterreicher	w6632
<g/>
,
Bisamberger	w6634
<g/>
,
Grinzinger	w6636
<g/>
,
Nuß=berger	w6638
<g/>
=
<g/>
,
Ratzerstorfer	w6641
<g/>
=
und	w6643
andere	w6644
Hungarische	w6645
Weine	w6646
<g/>
,
endlich	w6648
verschiedene	w6649
Mobilien	w6650
<g/>
,
Effecten	w6652
und	w6653
Einrichtung	w6654
<g/>
,
plus	w6656
offerenti	w6657
licitando	w6658
ver=kauffet	w6659
<g/>
=
werden	w6661
<g/>
,
und	w6663
wird	w6664
von	w6665
denen	w6666
Weinen	w6667
den	w6668
6	w6669
<g/>
.
und	w6671
7	w6672
<g/>
.
October	w6674
in	w6675
gedachten	w6676
Haus	w6677
die	w6678
Klost	w6679
gegeben	w6680
werden	w6681
<g/>
.
</p>
<p id="p69">
Dem	w6683
Publico	w6684
und	w6685
besonders	w6686
denen	w6687
mit	w6688
See=fischen	w6689
<g/>
=
handelenden	w6691
Kauf	w6692
<g/>
=
leuten	w6694
<g/>
,
wird	w6696
hierdurch	w6697
zu	w6698
beliebiger	w6699
Nachricht	w6700
bekannt	w6701
gemacht	w6702
<g/>
,
daß	w6704
der	w6705
Jßländische	w6706
Platt	w6707
<g/>
=
fisch	w6709
nicht	w6710
mehr	w6711
in	w6712
vorigen	w6713
Händen	w6714
<g/>
,
sondern	w6716
nunmehro	w6717
<g/>
,
und	w6719
ins	w6720
künftige	w6721
bey	w6722
denen	w6723
Herren	w6724
Heinrich	w6725
von	w6726
der	w6727
Smissen	w6728
<g/>
,
Söhnen	w6730
in	w6731
Altona	w6732
<g/>
,
entweder	w6734
durch	w6735
Comißionairs	w6736
<g/>
,
oder	w6738
directe	w6739
von	w6740
ihnen	w6741
zu	w6742
haben	w6743
seye	w6744
<g/>
.
</p>
<head id="hl26">
JOURNAL	w6761
</head>
<head id="hl27">
Von	w6762
der	w6763
combinirt	w6764
<g/>
=
Kaiserl	w6766
<g/>
.
Königl	w6768
<g/>
.
und	w6770
Reichs	w6771
<g/>
=
execu=tions	w6773
<g/>
=
<g/>
=
armee	w6776
vom	w6777
16	w6778
<g/>
.
bis	w6780
20	w6781
<g/>
.
September	w6783
1759	w6784
<g/>
.
Haupt	w6786
<g/>
-
quartier	w6788
Wilsdruf	w6789
<g/>
.
</head>
<p id="p70">
Den	w6791
16	w6792
<g/>
.
kamen	w6794
Jhre	w6795
Königl	w6796
<g/>
.
Hoheiten	w6798
der	w6799
Chur	w6800
<g/>
=
Prinz	w6802
und	w6803
Chur	w6804
<g/>
=
Prinzeßin	w6806
nebst	w6807
der	w6808
übrigen	w6809
Königl	w6810
<g/>
.
Famille	w6812
in	w6813
das	w6814
Lager	w6815
<g/>
,
um	w6817
die	w6818
en	w6819
Parade	w6820
ausgeruckte	w6821
Armee	w6822
in	w6823
Augen	w6824
<g/>
=
schein	w6826
zu	w6827
nehmen	w6828
<g/>
.
</p>
<p id="p71">
Den	w6830
17	w6831
<g/>
.
lieffe	w6833
von	w6834
dem	w6835
Herrn	w6836
Generalen	w6837
der	w6838
Cavallerie	w6839
von	w6840
Had=dick	w6841
<g/>
=
der	w6843
Raport	w6844
ein	w6845
<g/>
,
daß	w6847
<g/>
,
da	w6849
er	w6850
Tags	w6851
zuvor	w6852
von	w6853
Wilsdruf	w6854
aufgebrochen	w6855
<g/>
,
und	w6857
gegen	w6858
Tanneberg	w6859
vorgerucket	w6860
ware	w6861
<g/>
,
zu	w6863
nämlicher	w6864
Zeit	w6865
die	w6866
2	w6867
<g/>
.
conjun=girte	w6869
<g/>
=
feindliche	w6871
Corps	w6872
unter	w6873
Commando	w6874
deren	w6875
Generalen	w6876
Fink	w6877
und	w6878
Wunsch	w6879
anruckten	w6880
<g/>
,
auch	w6882
zugleich	w6883
die	w6884
diesseitige	w6885
Avant	w6886
<g/>
=
garde	w6888
unter	w6889
dem	w6890
Commando	w6891
deren	w6892
zweyen	w6893
Herren	w6894
Generalen	w6895
Brentano	w6896
und	w6897
Ried	w6898
atta=quirten	w6899
<g/>
=
<g/>
,
von	w6902
solchen	w6903
aber	w6904
nach	w6905
einer	w6906
heftigen	w6907
Canonade	w6908
<g/>
,
und	w6910
drey	w6911
<g/>
=
stün=digem	w6913
<g/>
=
Gefecht	w6915
mit	w6916
ungemeiner	w6917
Bravour	w6918
zuruck	w6919
getrieben	w6920
wurden	w6921
<g/>
;
da=hero	w6923
<g/>
=
dann	w6925
der	w6926
Feind	w6927
endlichen	w6928
sich	w6929
auf	w6930
denen	w6931
Anhöhen	w6932
hinter	w6933
Miltitz	w6934
und	w6935
Haynitz	w6936
<g/>
,
Herr	w6938
General	w6939
Haddick	w6940
hingegen	w6941
auf	w6942
denen	w6943
Anhöhen	w6944
von	w6945
Tanne=berg	w6946
<g/>
=
und	w6948
Birkein	w6949
lagerte	w6950
<g/>
,
und	w6952
der	w6953
grosse	w6954
Ravin	w6955
<g/>
,
so	w6957
sich	w6958
von	w6959
Kesselsdorf	w6960
bis	w6961
Meissen	w6962
extendiret	w6963
<g/>
,
beyde	w6965
Armeen	w6966
separirte	w6967
<g/>
.
</p>
<p id="p72">
Den	w6969
18	w6970
<g/>
.
seynd	w6972
darauf	w6973
Seine	w6974
Durchleucht	w6975
der	w6976
commandirende	w6977
Hr	w6978
<g/>
.
General	w6980
<g/>
,
nachdeme	w6982
zur	w6983
Besatzung	w6984
der	w6985
Stadt	w6986
Dresden	w6987
16	w6988
<g/>
.
Bataillons	w6990
unter	w6991
Commando	w6992
des	w6993
Herrn	w6994
General	w6995
<g/>
=
feld	w6997
<g/>
=
marschall	w6999
<g/>
=
leutenants	w7001
Baron	w7002
von	w7003
Kolb	w7004
zuruck	w7005
gelassen	w7006
worden	w7007
<g/>
,
mit	w7009
der	w7010
Armee	w7011
aufgebrochen	w7012
<g/>
,
und	w7014
hie=her	w7015
<g/>
=
<g/>
(
allwo	w7018
das	w7019
Haupt	w7020
<g/>
=
quartier	w7022
genommen	w7023
worden	w7024
<g/>
)
marschiret	w7026
<g/>
,
das	w7028
La=ger	w7029
<g/>
=
aber	w7031
ist	w7032
auf	w7033
denen	w7034
allhiesigen	w7035
Anhöhen	w7036
bezogen	w7037
worden	w7038
<g/>
;
worauf	w7040
der	w7041
Feind	w7042
</p>
<p id="p73">
Den	w7043
19	w7044
<g/>
.
fruhe	w7046
um	w7047
3	w7048
<g/>
.
Uhr	w7050
aufgebrochen	w7051
<g/>
,
und	w7053
sich	w7054
zuruck	w7055
zu	w7056
ziehen	w7057
angefangen	w7058
<g/>
.
Es	w7060
schiene	w7061
anfänglich	w7062
<g/>
,
als	w7064
wann	w7065
er	w7066
seinen	w7067
Zug	w7068
gegen	w7069
Nos=sen	w7070
<g/>
=
<g/>
,
oder	w7073
Lomatsch	w7074
nehmen	w7075
wollte	w7076
<g/>
;
da	w7078
ihne	w7079
aber	w7080
die	w7081
Herren	w7082
Generalen	w7083
Ried	w7084
<g/>
,
Brentano	w7086
<g/>
,
und	w7088
Weczey	w7089
mit	w7090
sammentlichen	w7091
leichten	w7092
Trupen	w7093
auf	w7094
allen	w7095
Seiten	w7096
verfolgten	w7097
<g/>
,
auch	w7099
ihnen	w7100
zur	w7101
Verstärkung	w7102
das	w7103
Gyulaische	w7104
Regiment	w7105
<g/>
,
und	w7107
6	w7108
<g/>
.
Escadronen	w7110
Cavallerie	w7111
mit	w7112
4	w7113
<g/>
.
Canonen	w7115
nachgeschicket	w7116
</p>
<p id="p74">
wurden	w7119
<g/>
,
so	w7121
wendete	w7122
sich	w7123
der	w7124
Feind	w7125
auf	w7126
einmal	w7127
rechts	w7128
<g/>
,
liesse	w7130
ein	w7131
starkes	w7132
Corps	w7133
gegen	w7134
der	w7135
rechten	w7136
Flanque	w7137
der	w7138
diesseitigen	w7139
Armee	w7140
ganz	w7141
nahe	w7142
an=rucken	w7143
<g/>
=
<g/>
,
und	w7146
sich	w7147
allda	w7148
zur	w7149
Attaque	w7150
formiren	w7151
<g/>
;
da	w7153
indessen	w7154
die	w7155
Arriere	w7156
<g/>
=
gar=de	w7158
<g/>
=
unsere	w7160
Avant	w7161
<g/>
=
garde	w7163
aufzuhalten	w7164
<g/>
,
und	w7166
andurch	w7167
die	w7168
Zeit	w7169
zu	w7170
gewinnen	w7171
suchte	w7172
<g/>
,
die	w7174
Defileen	w7175
mit	w7176
der	w7177
Bagage	w7178
und	w7179
Artillerie	w7180
zu	w7181
paßiren	w7182
<g/>
,
und	w7184
die	w7185
Anhöhen	w7186
bey	w7187
Meissen	w7188
zu	w7189
erreichen	w7190
<g/>
;
worauf	w7192
dann	w7193
die	w7194
Arriere	w7195
<g/>
=
garde	w7197
nebst	w7198
dem	w7199
Uberrest	w7200
so	w7201
