<doc id="wr_1758-07-22" attrs="word" year="1758" month="07" day="22" corpus="2">
<head id="h2_d263e3557">
Utrecht	w1_d263e3561
per	w3_d263e14405
Ed'ctum	w5_d263e14408
ad	w7_d263e14411
valvas	w9_d263e14414
behörig	w11_d263e14417
inti-	w13_d263e14421
miret,	w1_d263e14426
auch	w3_d263e14429
durch	w5_d263e14432
das	w7_d263e14435
alhiesige	w9_d263e14438
Diarium	w11_d263e14441
kund	w1_d263e14446
gemachet	w3_d263e14449
werden	w5_d263e14452
solle.	w7_d263e14455
</p>
<p id="p8_d263e14458">
Als	w1_d263e14462
hat	w3_d263e14465
man	w5_d263e14468
sie	w7_d263e14471
eingangs	w9_d263e14474
benannte	w11_d263e14477
Ja	w13_d263e14481
cob	w1_d263e14486
Föhrische	w3_d263e14489
Befreundte	w5_d263e14492
und	w7_d263e14495
Erben,	w9_d263e14498
dieser	w11_d263e14501
gerichtl.	w1_d263e14506
Verordnung	w3_d263e14509
zu	w5_d263e14512
ihrer	w7_d263e14515
Warnung,	w9_d263e14518
und	w1_d263e14524
daß	w3_d263e14527
selbe	w5_d263e14530
dieser	w7_d263e14533
Erfolglassung	w9_d263e14536
halber	w11_d263e14539
auf	w1_d263e14544
obangesetzten	w3_d263e14547
Tag	w5_d263e14550
und	w7_d263e14553
Stund	w9_d263e14556
für	w11_d263e14559
Sie	w13_d263e14563
Regierung	w1_d263e14568
persönlichen	w3_d263e14571
erscheinen,	w5_d263e14574
und	w7_d263e14577
sich	w9_d263e14580
alda	w1_d263e14585
anmelden	w3_d263e14588
lassen	w5_d263e14591
sollen,	w7_d263e14594
mit	w9_d263e14597
gegenwär	w11_d263e14600
tig	w1_d263e14606
offenen	w3_d263e14609
Edict	w5_d263e14612
vorforderen,	w7_d263e14615
auch	w9_d263e14618
die	w11_d263e14621
auf	w13_d263e14625
ihr	w1_d263e14630
abermaliges	w3_d263e14633
Ausbleiben	w5_d263e14636
bewilligter	w7_d263e14639
Er	w9_d263e14642
folglassung	w1_d263e14647
des	w3_d263e14650
verpfändeten	w5_d263e14653
Banco	w7_d263e14656
extract	w9_d263e14659
hiemit	w1_d263e14664
erinnern	w3_d263e14667
wollen.	w5_d263e14670
</p>
<head id="h2_d263e14676">
RDICT.	w1_d263e14680
</head>
<p id="p4_d263e14683">
Von	w1_d263e14687
der	w3_d263e14690
N.	w5_d263e14693
Oe.	w7_d263e14696
Regierung	w9_d263e14699
wegen	w11_d263e14702
wird	w13_d263e14706
mit	w1_d263e14711
gegenwürtig=offenen	w3_d263e14714
Edick	w5_d263e14717
jedermänni	w7_d263e14720
glich	w1_d263e14725
sowol	w3_d263e14728
An=als	w5_d263e14731
Abwesenden,	w7_d263e14734
deme	w9_d263e14737
daran	w11_d263e14740
gelegen,	w1_d263e14746
kund	w3_d263e14749
und	w5_d263e14752
zu	w7_d263e14755
wissen	w9_d263e14758
gemacht:	w11_d263e14761
Es	w13_d263e14765
habe	w1_d263e14770
die	w3_d263e14773
Regierung	w5_d263e14776
eine	w7_d263e14779
Nohtdurft	w9_d263e14782
zu	w11_d263e14785
seyn.	w13_d263e14789
befunden,	w1_d263e14794
über	w3_d263e14797
das	w5_d263e14800
ad	w7_d263e14803
Cridam	w9_d263e14806
gediehene	w11_d263e14809
Jo	w13_d263e14813
hann	w1_d263e14818
Franz	w3_d263e14821
Schlechter	w5_d263e14824
von	w7_d263e14827
Medebachisch	w9_d263e14830
Vermögen	w1_d263e14836
einen	w3_d263e14839
ordentlichen	w5_d263e14842
Concurs	w7_d263e14845
anzu	w9_d263e14848
ordnen,	w1_d263e14853
und	w3_d263e14856
desselben	w5_d263e14859
sammentliche	w7_d263e14862
sowol	w9_d263e14865
in	w1_d263e14870
als	w3_d263e14873
ausser	w5_d263e14876
Land	w7_d263e14879
befindliche	w9_d263e14882
Glaubigere	w11_d263e14885
zu	w13_d263e14889
Anmeld	w1_d263e14894
und	w3_d263e14897
Liquidirung	w5_d263e14900
ihrer	w7_d263e14903
an	w9_d263e14906
erstbemelde	w11_d263e14909
tem	w1_d263e14915
Schlechter	w3_d263e14918
von	w5_d263e14921
Medeback	w7_d263e14924
zu	w9_d263e14927
stellen	w11_d263e14930
haben	w13_d263e14934
der	w1_d263e14939
Sprüche,	w3_d263e14942
und	w5_d263e14945
Forderungen	w7_d263e14948
einzuberuffen:	w9_d263e14951
zu	w1_d263e14956
welchem	w3_d263e14959
Ende	w5_d263e14962
denenselben	w7_d263e14965
der	w9_d263e14968
26.	w11_d263e14971
Tag	w13_d263e14975
des	w1_d263e14980
zukünftigen	w3_d263e14983
Monats	w5_d263e14986
Augusti	w7_d263e14989
Nachmih	w9_d263e14992
tag	w1_d263e14998
um	w3_d263e15001
4.	w5_d263e15004
Uhr	w7_d263e15007
zur	w9_d263e15010
gewöhnlichen	w11_d263e15013
Tagsatzung.	w13_d263e15017
für	w1_d263e15022
die	w3_d263e15025
erst,	w5_d263e15028
andert,	w7_d263e15031
und	w9_d263e15034
dritte,	w11_d263e15037
auch	w13_d263e15041
all	w15_d263e15044
endliche	w1_d263e15049
Frist	w3_d263e15052
sub	w5_d263e15055
ciausula	w7_d263e15058
præclusi	w9_d263e15061
anbe	w11_d263e15064
raumet	w1_d263e15069
worden.	w3_d263e15072
</p>
<p id="p6_d263e15075">
Solchemnach	w1_d263e15079
werden	w3_d263e15082
all	w5_d263e15085
und	w7_d263e15088
jede	w9_d263e15091
welche	w11_d263e15094
an	w1_d263e15099
gedacht=Johann	w3_d263e15102
Franz	w5_d263e15105
Schlechter	w7_d263e15108
von	w9_d263e15111
Medebachischead	w1_d263e15116
Cridam	w3_d263e15119
gediehenen	w5_d263e15122
Ver	w7_d263e15125
mögen	w1_d263e15131
ex	w3_d263e15134
quacunque	w5_d263e15137
causa	w7_d263e15140
vel	w9_d263e15143
titulo	w11_d263e15146
Sprüch,	w1_d263e15151
und	w3_d263e15154
Anforderungen	w5_d263e15157
haben,	w7_d263e15160
oder	w9_d263e15163
zu	w11_d263e15166
</p>
<p id="p12_d263e15180">
haben	w1_d263e15184
vermeinen,	w3_d263e15187
an	w5_d263e15190
ob=bestimten	w7_d263e15193
Tag	w9_d263e15196
und	w11_d263e15199
Stund,	w1_d263e15204
vor	w3_d263e15207
Regierung	w5_d263e15210
in	w7_d263e15213
der	w9_d263e15216
daselbst	w11_d263e15219
zu	w13_d263e15223
sol	w15_d263e15226
chen	w1_d263e15231
Ende	w3_d263e15234
offen	w5_d263e15237
haltenden	w7_d263e15240
Commissions	w9_d263e15243
stu	w11_d263e15246
ben	w1_d263e15252
entweder	w3_d263e15255
selbst	w5_d263e15258
Persönlich,	w7_d263e15261
oder	w9_d263e15264
durch	w11_d263e15267
hie	w13_d263e15271
zu	w1_d263e15276
genugsam	w3_d263e15279
gevollmächtigte	w5_d263e15282
Gewalt=tragen	w7_d263e15285
also	w1_d263e15290
gewiß	w3_d263e15293
zu	w5_d263e15296
erscheinen,	w7_d263e15299
und	w9_d263e15302
ihre	w11_d263e15305
an	w13_d263e15309
solche	w15_d263e15312
Cr	w1_d263e15317
dæ-massum	w3_d263e15320
habende	w5_d263e15323
Anforderungen	w7_d263e15326
anzu	w9_d263e15329
melden,	w1_d263e15335
auch	w3_d263e15338
zu	w5_d263e15341
Herstellung	w7_d263e15344
der	w9_d263e15347
erforde	w11_d263e15350
lich	w13_d263e15354
rechtlichen	w1_d263e15359
Beweistum	w3_d263e15362
ihre	w5_d263e15365
Schuld	w7_d263e15368
und	w9_d263e15371
Satz	w11_d263e15374
brief,	w1_d263e15379
oder	w3_d263e15382
ansonst	w5_d263e15385
habinde	w7_d263e15388
Liquidationen,	w9_d263e15391
Ur	w11_d263e15394
kunden	w1_d263e15399
und	w3_d263e15402
rechtliche	w5_d263e15405
Behelf	w7_d263e15408
in	w9_d263e15411
beglaubten	w11_d263e15414
Abschriften	w1_d263e15420
einzulegen	w3_d263e15423
haben,	w5_d263e15426
wie	w7_d263e15429
in	w9_d263e15432
widrigen	w11_d263e15435
der	w1_d263e15440
Ausbleibende	w3_d263e15443
von	w5_d263e15446
gegenwärtiger	w7_d263e15449
Concurs	w9_d263e15452
malla	w1_d263e15457
gänzlich	w3_d263e15460
ausgeschlossen	w5_d263e15463
seyn,	w7_d263e15466
und	w9_d263e15469
ihme	w11_d263e15472
diesfals	w1_d263e15477
das	w3_d263e15480
ewige	w5_d263e15483
Stillschweigen	w7_d263e15486
aufer.	w9_d263e15489
get,	w1_d263e15495
der	w3_d263e15498
nicht	w5_d263e15501
Liquidirende	w7_d263e15504
aber,	w9_d263e15507
in	w11_d263e15510
der	w13_d263e15514
künf	w15_d263e15517
tigen	w1_d263e15522
Classification	w3_d263e15525
mit	w5_d263e15528
seiner	w7_d263e15531
unerwiesenen	w9_d263e15534
Anforderung	w1_d263e15539
abgewiesen	w3_d263e15542
werden	w5_d263e15545
solte.	w7_d263e15548
Wor	w9_d263e15551
nach	w1_d263e15556
sich	w3_d263e15559
ein	w5_d263e15562
jeder	w7_d263e15565
zu	w9_d263e15568
richten,	w11_d263e15571
und	w13_d263e15575
vor	w15_d263e15578
Scha	w17_d263e15581
den	w1_d263e15587
zu	w3_d263e15590
hüten	w5_d263e15593
wissen	w7_d263e15596
wird.	w9_d263e15599
So	w11_d263e15602
beschehen	w13_d263e15606
Wien	w1_d263e15611
den	w3_d263e15614
21.	w5_d263e15617
Junii	w7_d263e15620
1758.	w9_d263e15623
</p>
<p id="p14_d263e15626">
Von	w1_d263e15630
dem	w3_d263e15633
Grund=buch	w5_d263e15636
des	w7_d263e15639
Kaiserl.	w9_d263e15642
Königl.	w11_d263e15645
Convict	w1_d263e15650
ad	w3_d263e15653
S.	w5_d263e15656
Barbaram	w7_d263e15659
in	w9_d263e15662
Wien	w11_d263e15665
als	w13_d263e15669
Herr	w15_d263e15672
schaft	w1_d263e15677
Atzgerstorf	w3_d263e15680
wegen,	w5_d263e15683
wird	w7_d263e15686
hiemit	w9_d263e15689
dem	w11_d263e15692
dahin	w1_d263e15698
unterwürfig,	w3_d263e15701
vor	w5_d263e15704
einiger	w7_d263e15707
Zeit	w9_d263e15710
ent	w11_d263e15713
wichen,	w1_d263e15718
nunmehro	w3_d263e15721
aber	w5_d263e15724
unwissenden	w7_d263e15727
Unter	w9_d263e15730
than	w1_d263e15735
Johann	w3_d263e15738
Muhr	w5_d263e15741
von	w7_d263e15744
Unter=liesing	w9_d263e15747
kund	w11_d263e15750
und	w1_d263e15755
zu	w3_d263e15758
wissen	w5_d263e15761
gemacht,	w7_d263e15764
daß	w9_d263e15767
derselbe	w11_d263e15770
von	w13_d263e15774
heut	w1_d263e15780
dato	w3_d263e15783
an	w5_d263e15786
inner	w7_d263e15789
6.	w9_d263e15792
Wochen,	w11_d263e15795
und	w13_d263e15799
3.	w15_d263e15802
Tä	w17_d263e15805
gen	w1_d263e15810
sich	w3_d263e15813
alsogewiß	w5_d263e15816
bey	w7_d263e15819
diesseitiger	w9_d263e15822
Grund	w11_d263e15825
buchs=canzley,	w1_d263e15830
damit	w3_d263e15833
man	w5_d263e15836
wegen	w7_d263e15839
der	w9_d263e15842
von	w11_d263e15845
ihme	w1_d263e15850
verlassenen	w3_d263e15853
Behausung,	w5_d263e15856
und	w7_d263e15859
sich	w9_d263e15862
zeigen	w11_d263e15865
den	w1_d263e15871
namhaften	w3_d263e15874
Schulden,	w5_d263e15877
daß	w7_d263e15880
weitere	w9_d263e15883
vorkeh	w11_d263e15886
ren	w1_d263e15891
könne,	w3_d263e15894
einfinden	w5_d263e15897
solle,	w7_d263e15900
als	w9_d263e15903
in	w11_d263e15906
widrigen	w13_d263e15910
das	w1_d263e15915
Haus	w3_d263e15918
ex	w5_d263e15921
officio	w7_d263e15924
licitando	w9_d263e15927
verkauffet	w11_d263e15930
werden	w1_d263e15935
wurde	w3_d263e15938
Welches	w5_d263e15941
man	w7_d263e15944
also	w9_d263e15947
ihme	w11_d263e15950
Johann	w1_d263e15956
Muhr	w3_d263e15959
zur	w5_d263e15962
behörigen	w7_d263e15965
Nachricht	w9_d263e15968
durch	w11_d263e15971
gegenwärtiges	w1_d263e15976
Edict	w3_d263e15979
hat	w5_d263e15982
anerinneren	w7_d263e15985
wollen.	w9_d263e15988
Gegeben	w1_d263e15993
Wien	w3_d263e15996
in	w5_d263e15999
Kaiserl.	w7_d263e16002
Königl.	w9_d263e16005
Convict	w11_d263e16008
bey	w1_d263e16013
S.	w3_d263e16016
Barbara	w5_d263e16019
den	w7_d263e16022
21.	w9_d263e16025
Julii	w11_d263e16028
1758.	w13_d263e16032
</p>
<p id="p16_d263e16035">
Den	w1_d263e16039
23.	w3_d263e16042
Augusti	w5_d263e16045
1758.	w7_d263e16048
wird	w9_d263e16051
in	w11_d263e16054
der	w13_d263e16058
Lan	w15_d263e16061
desfürstlichen	w1_d263e16066
Stadt	w3_d263e16069
Bruck	w5_d263e16072
an	w7_d263e16075
der	w9_d263e16078
Leytha	w11_d263e16081
Weyl	w1_d263e16086
Johann	w3_d263e16089
Adam	w5_d263e16092
Moser	w7_d263e16095
Burgerlichen	w9_d263e16098
Glasermeister	w1_d263e16104
seel.	w3_d263e16107
Haus,	w5_d263e16110
mit	w7_d263e16113
der	w9_d263e16116
darauf	w11_d263e16119
exercirenden	w1_d263e16124
Glaser=profession	w3_d263e16127
licitando	w5_d263e16130
dem	w7_d263e16133
Meist=bietenden	w1_d263e16138
käuflich	w3_d263e16141
hindanngelassen	w5_d263e16144
wer	w7_d263e16147
den.	w1_d263e16152
Wer	w3_d263e16155
nun	w5_d263e16158
hierumen	w7_d263e16161
zu	w9_d263e16164
licitiren	w11_d263e16167
geden	w13_d263e16171
ter,	w1_d263e16177
der	w3_d263e16180
wird	w5_d263e16183
an	w7_d263e16186
oberwehnten	w9_d263e16189
Tag	w11_d263e16192
fruhe	w13_d263e16196
um	w15_d263e16199
</p>
<p id="p18_d263e16202">
8.	w1_d263e16206
Uhr,	w3_d263e16209
zu	w5_d263e16212
Bruck	w7_d263e16215
auf	w9_d263e16218
dem	w11_d263e16221
Raht=haus	w13_d263e16225
zu	w15_d263e16228
erscheinen	w1_d263e16233
haben.	w3_d263e16236
</p>
<p id="p20_d263e16239">
Wir	w1_d263e16243
NN.	w3_d263e16246
Superint	w5_d263e16249
endenten,	w7_d263e16252
und	w9_d263e16255
Spitl	w11_d263e16258
meistere	w1_d263e16263
des	w3_d263e16266
Burger=spitals	w5_d263e16269
in	w7_d263e16272
Wienn,	w9_d263e16275
geben	w11_d263e16278
dem	w1_d263e16283
Ferdinand	w3_d263e16286
Böheimer	w5_d263e16289
(welcher	w7_d263e16292
nach	w9_d263e16295
seiner	w1_d263e16301
Mutter	w3_d263e16304
Magdalena	w5_d263e16307
Böheimerin,	w7_d263e16310
ge	w9_d263e16313
westen	w1_d263e16318
Spitals=leutgebin	w3_d263e16321
in	w5_d263e16324
der	w7_d263e16327
Kärntner	w9_d263e16330
strassen	w1_d263e16335
seel.	w3_d263e16338
Todfall	w5_d263e16341
anno	w7_d263e16344
1721.	w9_d263e16347
in	w11_d263e16350
Hungarn	w13_d263e16354
gereiset,	w1_d263e16359
und	w3_d263e16362
seit	w5_d263e16365
deme	w7_d263e16368
durch	w9_d263e16371
37.	w11_d263e16374
Jahr	w13_d263e16378
un	w15_d263e16381
wissend	w1_d263e16387
seyn	w3_d263e16390
solle)	w5_d263e16393
falls	w7_d263e16396
er	w9_d263e16399
annoch	w11_d263e16402
lebete,	w13_d263e16406
oder	w1_d263e16411
all,	w3_d263e16414
und	w5_d263e16417
jeden	w7_d263e16420
Partheyen,	w9_d263e16423
so	w11_d263e16426
an	w13_d263e16430
dessel	w15_d263e16433
ben	w1_d263e16438
bey	w3_d263e16441
diesseitigen	w5_d263e16444
Grund=buch	w7_d263e16447
ligend	w9_d263e16450
Müt	w11_d263e16453
terl.	w1_d263e16458
Erb=gut	w3_d263e16461
per	w5_d263e16464
100.	w7_d263e16467
fl.	w9_d263e16470
cum	w11_d263e16473
sua	w13_d263e16477
causa	w15_d263e16480
eini	w17_d263e16483
ge	w1_d263e16489
Forderungen	w3_d263e16492
quocunque	w5_d263e16495
titalo	w7_d263e16498
haben,	w9_d263e16501
hiemit	w1_d263e16506
offentlich	w3_d263e16509
zu	w5_d263e16512
vernehmen,	w7_d263e16515
daß	w9_d263e16518
selbe	w11_d263e16521
von	w1_d263e16526
heut	w3_d263e16529
zu	w5_d263e16532
Ende	w7_d263e16535
gesetzten	w9_d263e16538
dato	w11_d263e16541
innerhalb	w13_d263e16545
einem	w1_d263e16550
Jahr,	w3_d263e16553
sechs	w5_d263e16556
Wochen,	w7_d263e16559
und	w9_d263e16562
drey	w11_d263e16565
Tägen	w13_d263e16569
bey	w1_d263e16575
dem	w3_d263e16578
Burger=spitals=grund=buch	w5_d263e16581
sich	w7_d263e16584
also	w9_d263e16587
gewiß	w1_d263e16592
anzumelden,	w3_d263e16595
und	w5_d263e16598
zu	w7_d263e16601
legitimiren,	w9_d263e16604
und	w11_d263e16607
ihre	w1_d263e16612
Forderungen	w3_d263e16615
zu	w5_d263e16618
liquidiren	w7_d263e16621
sub	w9_d263e16624
1mo	w11_d263e16627
2do	w13_d263e16631
&	w1_d263e16636
3tio.	w3_d263e16639
Termino	w5_d263e16642
hiemit	w7_d263e16645
dergestalten	w9_d263e16648
citiret	w11_d263e16651
werden,	w1_d263e16657
daß	w3_d263e16660
im	w5_d263e16663
nicht	w7_d263e16666
Erscheinungs=fall	w9_d263e16669
obige	w11_d263e16672
100.	w1_d263e16677
fl.	w3_d263e16680
cum	w5_d263e16683
sua	w7_d263e16686
causa,	w9_d263e16689
seiner	w11_d263e16692
Schwestet	w13_d263e16696
Theresia	w1_d263e16701
Böheimerin	w3_d263e16704
vereheligten	w5_d263e16707
Perin	w7_d263e16710
auf	w9_d263e16713
weiteres	w1_d263e16718
Anlangen	w3_d263e16721
zugetheilet,	w5_d263e16724
und	w7_d263e16727
ausgefol	w9_d263e16730
get,	w1_d263e16736
darüberhin	w3_d263e16739
Niemand	w5_d263e16742
mehr	w7_d263e16745
angehöret	w9_d263e16748
werden,	w1_d263e16753
und	w3_d263e16756
sowol	w5_d263e16759
ihme	w7_d263e16762
Ferdinand	w9_d263e16765
Böhei	w11_d263e16768
mer,	w1_d263e16773
als	w3_d263e16776
denen	w5_d263e16779
übrig	w7_d263e16782
ausbleibenden	w9_d263e16785
das	w11_d263e16788
ewi	w13_d263e16792
ge	w1_d263e16797
Stillschweigen	w3_d263e16800
auferleget	w5_d263e16803
seyn	w7_d263e16806
solle.	w9_d263e16809
Actum	w1_d263e16815
Wien	w3_d263e16818
den	w5_d263e16821
20.	w7_d263e16824
Martii	w9_d263e16827
1758.	w11_d263e16830
</p>
<p id="p22_d263e16833">
Den	w1_d263e16837
27.	w3_d263e16840
Julii	w5_d263e16843
werden	w7_d263e16846
auf	w9_d263e16849
Verordnung	w11_d263e16852
ei	w13_d263e16856
nes	w1_d263e16861
Löbl.	w3_d263e16864
Land=marschallischen	w5_d263e16867
Gerichts,	w7_d263e16870
frühe	w1_d263e16875
von	w3_d263e16878
9.	w5_d263e16881
bis	w7_d263e16884
12.	w9_d263e16887
Nachmittags	w11_d263e16890
aber	w13_d263e16894
von	w15_d263e16897
3.	w1_d263e16903
bis	w3_d263e16906
6.	w5_d263e16909
Uhr	w7_d263e16912
verschiedene	w9_d263e16915
Zimmereinrich	w11_d263e16918
tungen,	w1_d263e16923
als	w3_d263e16926
Spallier,	w5_d263e16929
Spiegel,	w7_d263e16932
Kästen	w9_d263e16935
und	w11_d263e16938
andere	w1_d263e16943
Mobilien,	w3_d263e16946
wie	w5_d263e16949
auch	w7_d263e16952
Geschmuck	w9_d263e16955
und	w11_d263e16958
Kleider	w1_d263e16963
in	w3_d263e16966
der	w5_d263e16969
Moserischen,	w7_d263e16972
unter	w9_d263e16975
denen	w11_d263e16978
Tuch	w13_d263e16982
lauben	w1_d263e16988
gelegenen	w3_d263e16991
Behausung	w5_d263e16994
im	w7_d263e16997
zweyten	w9_d263e17000
Stock	w11_d263e17003
an	w1_d263e17008
dem	w3_d263e17011
Meist=bietteuben	w5_d263e17014
licitando	w7_d263e17017
verkauft	w9_d263e17020
werden.	w1_d263e17025
</p>
<p id="p24_d263e17029">
Auf	w1_d263e17033
Verordnung	w3_d263e17036
eines	w5_d263e17039
hiesig=Löbl.	w7_d263e17042
Burger	w9_d263e17045
spital	w1_d263e17050
Grund	w3_d263e17053
buchs	w5_d263e17056
werden	w7_d263e17059
den	w9_d263e17062
31.	w11_d263e17065
instehen	w13_d263e17069
den	w1_d263e17074
Monats	w3_d263e17077
Julii	w5_d263e17080
Vormittags	w7_d263e17083
von	w9_d263e17086
9.	w11_d263e17089
bis	w13_d263e17093
12.	w1_d263e17099
und	w3_d263e17102
Nachmittags	w5_d263e17105
von	w7_d263e17108
3.	w9_d263e17111
bis	w11_d263e17114
6.	w13_d263e17118
Uhr,	w15_d263e17121
vor	w1_d263e17126
dem	w3_d263e17129
Schotten=thor	w5_d263e17132
in	w7_d263e17135
der	w9_d263e17138
Währinger	w11_d263e17141
gassen,	w1_d263e17146
unweit	w3_d263e17149
des	w5_d263e17152
Bäcker=häusels,	w7_d263e17155
in	w9_d263e17158
dem	w11_d263e17161
sogenannten	w1_d263e17166
Lazareth,	w3_d263e17169
verschiedene	w5_d263e17172
Mobilien	w7_d263e17175
und	w1_d263e17181
Effecten,	w3_d263e17184
als	w5_d263e17187
2.	w7_d263e17190
Schnür	w9_d263e17193
grosse	w11_d263e17196
gute	w13_d263e17200
Perl,	w1_d263e17205
Diamantene	w3_d263e17208
Ringel,	w5_d263e17211
goldene	w7_d263e17214
Hals	w9_d263e17217
</p>
<p id="p28_d263e17222">
maschen,	w1_d263e17226
Hauben,	w3_d263e17229
Tatzel,	w5_d263e17232
Tüchel	w7_d263e17235
mit	w9_d263e17238
und	w11_d263e17241
oh	w13_d263e17245
ne	w1_d263e17250
Spitzen,	w3_d263e17253
dann	w5_d263e17256
verschiedene	w7_d263e17259
Frauen=kleider,	w9_d263e17262
Beht,	w1_d263e17267
Kästen,	w3_d263e17270
Tisch,	w5_d263e17273
Sessel,	w7_d263e17276
Canape,	w9_d263e17279
rc.	w11_d263e17282
an	w13_d263e17286
dem	w1_d263e17292
Meist=biettenden	w3_d263e17295
gegen	w5_d263e17298
gleich	w7_d263e17301
baar	w9_d263e17304
thuen	w11_d263e17307
der	w1_d263e17312
Bezahlung	w3_d263e17315
verkauft	w5_d263e17318
werden,	w7_d263e17321
worzu	w9_d263e17324
sich	w11_d263e17327
die	w1_d263e17332
Liebhabere	w3_d263e17335
belieben	w5_d263e17338
einzufinden.	w7_d263e17341
</p>
<p id="p30_d263e17344">
Es	w1_d263e17348
wird	w3_d263e17351
bey	w5_d263e17354
einer	w7_d263e17357
den	w9_d263e17360
19.	w11_d263e17363
August	w13_d263e17367
dies	w15_d263e17370
Jahrs	w1_d263e17375
fruh	w3_d263e17378
um	w5_d263e17381
8.	w7_d263e17384
Uhr	w9_d263e17387
nochmalig	w11_d263e17390
angeord	w13_d263e17394
neten	w1_d263e17399
Licitations=tagsatzung	w3_d263e17402
das	w5_d263e17405
Stränitzki	w7_d263e17408
sche,	w1_d263e17414
in	w3_d263e17417
der	w5_d263e17420
sogenannten	w7_d263e17423
Leopold=gassen	w9_d263e17426
ligend	w11_d263e17429
dem	w1_d263e17434
Gräfl.	w3_d263e17437
Mollärthischen	w5_d263e17440
Grund=buch	w7_d263e17443
zu	w9_d263e17446
Gumpendorf	w1_d263e17451
dienstbare	w3_d263e17454
Haus	w5_d263e17457
samt	w7_d263e17460
Garten,	w9_d263e17463
dem	w1_d263e17468
Meist=bietenden	w3_d263e17471
licitando	w5_d263e17474
verkauft	w7_d263e17477
wer	w9_d263e17480
den,	w1_d263e17486
und	w3_d263e17489
haben	w5_d263e17492
sich	w7_d263e17495
der	w9_d263e17498
Kauffere	w11_d263e17501
an	w13_d263e17505
ob	w15_d263e17508
be	w17_d263e17511
sagten	w1_d263e17516
Tag	w3_d263e17519
und	w5_d263e17522
Stund	w7_d263e17525
in	w9_d263e17528
dem	w11_d263e17531
Schloß	w13_d263e17535
zu	w15_d263e17538
Gumppendorf	w1_d263e17543
in	w3_d263e17546
der	w5_d263e17549
aldortigen	w7_d263e17552
Herrschafts	w9_d263e17555
canzley	w1_d263e17560
anzumelden.	w3_d263e17563
</p>
<p id="p32_d263e17569">
Es	w1_d263e17573
wird	w3_d263e17576
auf	w5_d263e17579
Verordnung	w7_d263e17582
des	w9_d263e17585
Löbl.	w11_d263e17588
Ge	w13_d263e17592
richts	w1_d263e17597
zum	w3_d263e17600
Schotten	w5_d263e17603
die	w7_d263e17606
der	w9_d263e17609
Maria	w11_d263e17612
Polipena	w13_d263e17616
und	w1_d263e17621
Elisabetha	w3_d263e17624
Feringerin,	w5_d263e17627
angehörige	w7_d263e17630
Be	w9_d263e17633
hausung	w1_d263e17639
zu	w3_d263e17642
St.	w5_d263e17645
Ulrich	w7_d263e17648
den	w9_d263e17651
26.	w11_d263e17654
Augusti	w13_d263e17658
dies	w15_d263e17661
Jahrs	w1_d263e17666
nochmalen	w3_d263e17669
offentlich	w5_d263e17672
feil	w7_d263e17675
gebotten	w9_d263e17678
und	w11_d263e17681
licitiret	w1_d263e17686
werden;	w3_d263e17689
wer	w5_d263e17692
demnach	w7_d263e17695
sothane	w9_d263e17698
Be	w11_d263e17701
hausung	w1_d263e17706
käuflich	w3_d263e17709
an	w5_d263e17712
sich	w7_d263e17715
zu	w9_d263e17718
bringen	w11_d263e17721
gedenket,	w13_d263e17725
der	w1_d263e17731
kan	w3_d263e17734
sich	w5_d263e17737
an	w7_d263e17740
ob=bestimmten	w9_d263e17743
Tag	w11_d263e17746
Vor	w13_d263e17750
mittag	w1_d263e17755
um	w3_d263e17758
9	w5_d263e17761
Uhr	w7_d263e17764
in	w9_d263e17767
der	w11_d263e17770
Schottengerichs	w13_d263e17774
canzley	w1_d263e17779
anmelden,	w3_d263e17782
wo	w5_d263e17785
sodann	w7_d263e17788
mit	w9_d263e17791
Jhme	w11_d263e17794
der	w13_d263e17798
Kauf	w1_d263e17803
geschlossen	w3_d263e17806
werden	w5_d263e17809
solle.	w7_d263e17812
</p>
<p id="p34_d263e17815">
Nachdeme	w1_d263e17819
innerhalb	w3_d263e17822
wenigen	w5_d263e17825
Wochen,	w7_d263e17828
mit	w9_d263e17831
Licitirung	w1_d263e17836
der	w3_d263e17839
von	w5_d263e17842
Sr.	w7_d263e17845
Eminenz	w9_d263e17848
dem	w11_d263e17851
letzt	w13_d263e17855
verstorbenen	w1_d263e17860
alhiesigen	w3_d263e17863
Erz=bischoffen,	w5_d263e17866
und	w7_d263e17869
Cardinalen	w1_d263e17875
Fürsten	w3_d263e17878
von	w5_d263e17881
Trautson	w7_d263e17884
seel	w9_d263e17887
hinter	w11_d263e17890
lassenen	w1_d263e17895
berühmten	w3_d263e17898
Bibliothec,	w5_d263e17901
und	w7_d263e17904
Kupfer	w9_d263e17907
stichen	w1_d263e17912
(worzu	w3_d263e17915
der	w5_d263e17918
verläßige	w7_d263e17921
Tag,	w9_d263e17924
und	w11_d263e17927
Ort	w13_d263e17931
nächstens	w1_d263e17936
offentlich	w3_d263e17939
bekannt	w5_d263e17942
gemacht	w7_d263e17945
werden	w9_d263e17948
solle)	w1_d263e17954
der	w3_d263e17957
Anfang	w5_d263e17960
gemacht	w7_d263e17963
werden	w9_d263e17966
wird;	w11_d263e17969
Als	w1_d263e17974
hat	w3_d263e17977
man	w5_d263e17980
inzwischen	w7_d263e17983
kund	w9_d263e17986
machen	w11_d263e17989
wollen,	w13_d263e17993
daß	w1_d263e17998
der	w3_d263e18001
