<doc id="edoc_wd_1775-07-01" attrs="word" year="1775" month="07" day="01" corpus="1">
<head id="hl4">
Korinth	w40
auf	w12408
8	w12409
Pferde	w12410
<g/>
,
Wagenschupfen	w12412
auf	w12413
2	w12414
Wägen	w12415
<g/>
,
dann	w12417
einem	w12418
Haber	w12419
<g/>
=
Schütt	w12421
<g/>
=
und	w12423
einen	w12424
andern	w12425
besondern	w12426
Dachboden	w12427
<g/>
,
zu	w12429
verlassen	w12430
<g/>
;
Wem	w12432
es	w12433
gefällig	w12434
diese	w12435
Wohnung	w12436
zu	w12437
miethen	w12438
<g/>
,
beliebe	w12440
sich	w12441
des	w12442
Nähern	w12443
bey	w12444
Verlegern	w12445
des	w12446
wienerischen	w12447
Diariums	w12448
zu	w12449
erkundigen	w12450
<g/>
.
</p>
<p id="p259">
Künftige	w12452
Michaelizeit	w12453
ist	w12454
in	w12455
der	w12456
Singersstrasse	w12457
im	w12458
Tillischen	w12459
Hause	w12460
der	w12461
ganze	w12462
erste	w12463
Stock	w12464
nebst	w12465
2	w12466
Stallungen	w12467
nd	w12468
2	w12469
Kellern	w12470
zu	w12471
verlassen	w12472
<g/>
;
wer	w12474
solche	w12475
Stücke	w12476
zusammen	w12477
zu	w12478
bestehen	w12479
Belieben	w12480
trägt	w12481
<g/>
,
kann	w12483
sich	w12484
in	w12485
bemeldten	w12486
Haus	w12487
im	w12488
ersten	w12489
Stock	w12490
stündlich	w12491
anmelden	w12492
<g/>
.
</p>
<p id="p260">
Jm	w12494
Graf	w12495
Cavrianischen	w12496
Hause	w12497
Nro	w12498
<g/>
.
1165	w12500
in	w12501
der	w12502
untern	w12503
Breunerstrasse	w12504
sind	w12505
künftigen	w12506
Mi=chaeli	w12507
<g/>
=
auf	w12509
6	w12510
Pferde	w12511
Stallung	w12512
samt	w12513
Haber	w12514
<g/>
=
Heu	w12516
<g/>
=
und	w12518
Strohgewölb	w12519
<g/>
,
nebst	w12521
einer	w12522
gesperrten	w12523
Wa=genschupfe	w12524
<g/>
=
zu	w12526
verlassen	w12527
<g/>
;
und	w12529
haben	w12530
sich	w12531
die	w12532
Be=standnehmer	w12533
<g/>
=
beym	w12535
Hausknecht	w12536
allda	w12537
zu	w12538
melden	w12539
<g/>
.
</p>
<p id="p261">
Es	w12541
sind	w12542
zwey	w12543
Zugpferde	w12544
<g/>
,
Schwarzschimmel	w12546
<g/>
,
Hengsten	w12548
<g/>
,
aus	w12550
einem	w12551
guten	w12552
Gestüt	w12553
<g/>
,
dann	w12555
drey	w12556
zugerittene	w12557
Reitpferde	w12558
<g/>
,
ein	w12560
Schwarzbraun	w12561
<g/>
,
Sie=benbürger	w12563
<g/>
=
<g/>
,
Wallach	w12566
<g/>
;
ein	w12568
Kastanienbraun	w12569
<g/>
,
eben=falls	w12571
<g/>
=
Wallach	w12573
<g/>
,
und	w12575
ein	w12576
schöner	w12577
Schimmel	w12578
<g/>
,
Hengst	w12580
<g/>
,
zu	w12582
verkaufen	w12583
<g/>
;
die	w12585
Liebhaber	w12586
hiezu	w12587
kön=nen	w12588
<g/>
=
sich	w12590
am	w12591
Kohlmarkt	w12592
im	w12593
Wallenfeldischen	w12594
Haus	w12595
Nro	w12596
<g/>
.
1179	w12598
anfragen	w12599
<g/>
.
</p>
<p id="p262">
Jn	w12601
einer	w12602
der	w12603
volkreichesten	w12604
und	w12605
gangbarsten	w12606
Vorstädte	w12607
wird	w12608
ein	w12609
Haus	w12610
feilgebothen	w12611
<g/>
,
das	w12613
in	w12614
verschiedenen	w12615
Wohnungen	w12616
bestehet	w12617
<g/>
;
die	w12619
Bier=schanksgerechtigkeit	w12620
<g/>
=
<g/>
,
und	w12623
hiernächst	w12624
einen	w12625
vor=treflich	w12626
<g/>
=
und	w12628
geräumigen	w12629
Keller	w12630
hat	w12631
<g/>
;
auch	w12633
mit	w12634
einem	w12635
grossen	w12636
Garten	w12637
<g/>
,
wovon	w12639
ein	w12640
Theil	w12641
zur	w12642
Bierschänke	w12643
gehört	w12644
<g/>
,
der	w12646
andere	w12647
aber	w12648
von	w12649
dem	w12650
Hausinhaber	w12651
genutzt	w12652
werden	w12653
kann	w12654
<g/>
,
versahen	w12656
ist	w12657
<g/>
.
Liebhaber	w12659
können	w12660
das	w12661
Weitere	w12662
im	w12663
Frag	w12664
<g/>
=
und	w12666
Kundschaftsamte	w12667
erfahren	w12668
<g/>
.
</p>
<p id="p263">
Zu	w12670
Gersthof	w12671
nächst	w12672
Weinhaus	w12673
vor	w12674
der	w12675
Wäh=ringerlinie	w12676
<g/>
=
ist	w12678
ein	w12679
wohlgebautes	w12680
Haus	w12681
Nro	w12682
<g/>
.
10	w12684
und	w12685
11	w12686
samt	w12687
Einrichtung	w12688
<g/>
,
Garten	w12690
und	w12691
daran	w12692
stosseden	w12693
Hausgrund	w12694
zu	w12695
verkaufen	w12696
<g/>
;
selbes	w12698
hat	w12699
</p>
<p id="p264">
9	w12700
bequem	w12701
abgetheilte	w12702
Wohnzimmer	w12703
<g/>
,
hiernächst	w12705
eine	w12706
Salaterrena	w12707
<g/>
,
ein	w12709
Billardzimmer	w12710
und	w12711
Bil=lard	w12712
<g/>
=
<g/>
,
ein	w12715
Glashaus	w12716
samt	w12717
Wohnung	w12718
für	w12719
den	w12720
Gärtner	w12721
<g/>
,
viele	w12723
Böden	w12724
<g/>
,
wohlgebaute	w12726
Keller	w12727
auf	w12728
2000	w12729
Eimer	w12730
Wein	w12731
<g/>
,
vier	w12733
abgesönderte	w12734
Zinns=wohnungen	w12735
<g/>
=
<g/>
,
doppelte	w12738
Einfahrt	w12739
<g/>
,
Stallungen	w12741
für	w12742
Pferde	w12743
und	w12744
Rindvieh	w12745
<g/>
,
3	w12747
gute	w12748
Brünne	w12749
<g/>
,
Wa=genschupsen	w12751
<g/>
=
und	w12753
andere	w12754
Bequemlichkeiten	w12755
<g/>
,
der	w12757
Garten	w12758
ist	w12759
mit	w12760
den	w12761
beßten	w12762
Obstbäumen	w12763
seit	w12764
vier	w12765
Jahren	w12766
neu	w12767
ausgesetzt	w12768
<g/>
.
Das	w12770
weitere	w12771
ist	w12772
in	w12773
der	w12774
Römerstrasse	w12775
im	w12776
grossen	w12777
Romhof	w12778
im	w12779
2ten	w12780
Stock	w12781
zu	w12782
erfragen	w12783
<g/>
.
</p>
<p id="p265">
Auf	w12785
Verordnung	w12786
einer	w12787
hochlöbl	w12788
<g/>
.
k	w12790
<g/>
.
k	w12792
<g/>
.
ni	w12794
<g/>
.
öst	w12796
<g/>
.
Regierung	w12798
wird	w12799
dem	w12800
der	w12801
Zeit	w12802
abwesenden	w12803
Jo=seph	w12804
<g/>
=
Beym	w12806
<g/>
,
anerwogen	w12808
dessen	w12809
Aufenthaltsort	w12810
unbekannt	w12811
ist	w12812
<g/>
,
hiemit	w12814
erinnert	w12815
<g/>
:
daß	w12817
ihme	w12818
Jo=seph	w12819
<g/>
=
Beym	w12821
<g/>
,
als	w12823
eines	w12824
Joseph	w12825
Anton	w12826
von	w12827
Su=matingischen	w12828
<g/>
=
Enkel	w12830
<g/>
,
durch	w12832
die	w12833
unter	w12834
heutigen	w12835
Dato	w12836
bey	w12837
Regierung	w12838
geschöpfte	w12839
Joseph	w12840
Anton	w12841
von	w12842
Sumatingische	w12843
Verlassenschaftabhandlungs=veranlassung	w12844
<g/>
=
<g/>
,
und	w12847
zwar	w12848
in	w12849
einer	w12850
hiesigen	w12851
Stadt=bankoobligation	w12852
<g/>
=
ein	w12854
Erbantheil	w12855
pr	w12856
<g/>
.
143	w12858
fl	w12859
<g/>
.
20	w12861
kr	w12862
<g/>
.
gerichtlich	w12864
zugewendet	w12865
worden	w12866
sey	w12867
<g/>
;
wornach	w12869
also	w12870
derselbe	w12871
wegen	w12872
Behebung	w12873
dieses	w12874
Erban=theils	w12875
<g/>
=
sich	w12877
behörig	w12878
zu	w12879
melden	w12880
haben	w12881
wird	w12882
<g/>
.
Wien	w12884
den	w12885
13	w12886
<g/>
.
Juni	w12888
1775	w12889
<g/>
.
</p>
<p id="p266">
Auf	w12891
Verordnung	w12892
eines	w12893
hochwürd	w12894
<g/>
.
erzbischöfl	w12896
<g/>
.
wienerischen	w12898
Consistoriums	w12899
werden	w12900
den	w12901
3	w12902
<g/>
.
Juli	w12904
Nachmittag	w12905
von	w12906
3	w12907
bis	w12908
6	w12909
Uhr	w12910
am	w12911
Stephans=freythof	w12912
<g/>
=
im	w12914
sogenannten	w12915
Fixelhof	w12916
Nr	w12917
<g/>
.
850	w12919
ver=schiedene	w12920
<g/>
=
Gebürgweine	w12922
samt	w12923
Fässer	w12924
den	w12925
Meist=bietenden	w12926
<g/>
=
verkauft	w12928
werden	w12929
<g/>
.
</p>
<p id="p267">
Den	w12931
5	w12932
<g/>
.
Juli	w12934
werden	w12935
zu	w12936
Maria	w12937
Hilf	w12938
im	w12939
brau=nen	w12940
<g/>
=
Hirschen	w12942
Nro	w12943
<g/>
.
22	w12945
verschiedene	w12946
goldene	w12947
Rin=ge	w12948
<g/>
=
mit	w12950
Räutel	w12951
und	w12952
Steineln	w12953
<g/>
,
silberne	w12955
Leibgür=tel	w12956
<g/>
=
<g/>
,
allerley	w12959
Münzen	w12960
<g/>
,
Zupf	w12962
<g/>
=
und	w12964
anders	w12965
Sil=ber	w12966
<g/>
=
<g/>
,
dann	w12969
gold	w12970
<g/>
=
und	w12972
silberreiche	w12973
<g/>
,
broschirt	w12975
und	w12976
damastene	w12977
Frauenkleider	w12978
<g/>
,
Vormittag	w12980
von	w12981
9	w12982
bis	w12983
12	w12984
<g/>
,
und	w12986
Nachmittag	w12987
von	w12988
3	w12989
bis	w12990
6	w12991
Uhr	w12992
licitan=do	w12993
<g/>
=
gegen	w12995
baare	w12996
Bezahlung	w12997
verkauft	w12998
<g/>
.
</p>
<p id="p268">
Von	w13000
der	w13001
k	w13002
<g/>
.
k	w13004
<g/>
.
ni	w13006
<g/>
.
öst	w13008
<g/>
.
Vicedomamtsadministra=tionsgrundbuchs	w13010
<g/>
=
wegen	w13012
<g/>
,
wird	w13014
hiemit	w13015
jedermann	w13016
kund	w13017
und	w13018
zu	w13019
wissen	w13020
gemacht	w13021
<g/>
:
Es	w13023
sey	w13024
auf	w13025
das	w13026
von	w13027
Kaspar	w13028
Ottinger	w13029
<g/>
,
k	w13031
<g/>
.
k	w13033
<g/>
.
Schweizergardisten	w13035
<g/>
,
mandatario	w13037
nom	w13038
des	w13039
Peter	w13040
Tally	w13041
<g/>
,
und	w13043
deren	w13044
Gebrüdern	w13045
Müller	w13046
in	w13047
punkto	w13048
eines	w13049
wider	w13050
die	w13051
Katharina	w13052
Rettmayrin	w13053
als	w13054
Braunische	w13055
Univer=salerbin	w13056
<g/>
=
in	w13058
ordine	w13059
Executionis	w13060
eingeklagten	w13061
Satzkapital	w13062
pr	w13063
<g/>
.
2000	w13065
fl	w13066
<g/>
.
cum	w13068
sua	w13069
causa	w13070
unterm	w13071
10	w13072
<g/>
.
des	w13074
Monats	w13075
May	w13076
beschehene	w13077
Anlangen	w13078
in	w13079
die	w13080
Licitirung	w13081
der	w13082
derselben	w13083
im	w13084
alten	w13085
Lerchenfeld	w13086
in	w13087
der	w13088
Neugassen	w13089
liegenden	w13090
ander	w13091
dienstbaren	w13092
</p>
<p id="p269">
Behausung	w13093
zum	w13094
grünen	w13095
Kreuz	w13096
genannt	w13097
<g/>
,
gewil=liger	w13099
<g/>
=
<g/>
,
und	w13102
zu	w13103
dem	w13104
Ende	w13105
der	w13106
6	w13107
<g/>
.
Juli	w13109
d	w13110
<g/>
.
J	w13112
<g/>
.
Vor=mittag	w13114
<g/>
=
um	w13116
10	w13117
Uhr	w13118
zur	w13119
Licitationstagsatzung	w13120
bestimmet	w13121
worden	w13122
<g/>
.
Solchemnach	w13124
werden	w13125
dieje=nige	w13126
<g/>
=
<g/>
,
so	w13129
die	w13130
obermeldt	w13131
<g/>
=
Braunische	w13133
Behau=sung	w13134
<g/>
=
zu	w13136
erkaufen	w13137
gesinnet	w13138
sind	w13139
<g/>
,
bey	w13141
vorersagt	w13142
angeordneten	w13143
Licitationstagsatzung	w13144
in	w13145
dem	w13146
in	w13147
der	w13148
Annagassen	w13149
in	w13150
dasigen	w13151
Kloster	w13152
bey	w13153
St	w13154
<g/>
.
An=na	w13156
<g/>
=
im	w13158
ersten	w13159
Stock	w13160
befindlichen	w13161
k	w13162
<g/>
.
k	w13164
<g/>
.
Vicedom=amt	w13166
<g/>
=
entweder	w13168
selbst	w13169
oder	w13170
durch	w13171
hiezu	w13172
Bevollmäch=tigte	w13173
<g/>
=
zu	w13175
erscheinen	w13176
<g/>
,
und	w13178
sich	w13179
behörig	w13180
anmelden	w13181
zu	w13182
lassen	w13183
haben	w13184
<g/>
,
wo	w13186
sodann	w13187
mit	w13188
den	w13189
Meist=bietenden	w13190
<g/>
=
der	w13192
Kauf	w13193
geschlossen	w13194
<g/>
,
und	w13196
hierüber	w13197
das	w13198
weitere	w13199
fürgekehret	w13200
werden	w13201
wird	w13202
<g/>
.
</p>
<p id="p270">
Von	w13204
der	w13205
röm	w13206
<g/>
.
k	w13208
<g/>
.
k	w13210
<g/>
.
apost	w13212
<g/>
.
Majestät	w13214
ni	w13215
<g/>
.
öst	w13217
<g/>
.
Regierung	w13219
wegen	w13220
<g/>
,
wird	w13222
hiemit	w13223
durch	w13224
dieses	w13225
Edikt	w13226
jedermänniglich	w13227
kund	w13228
und	w13229
zu	w13230
wissen	w13231
gemacht	w13232
<g/>
:
Es	w13234
sey	w13235
über	w13236
die	w13237
allschon	w13238
ehedessen	w13239
angeordnet	w13240
fürgeweste	w13241
Licitationstagsatzung	w13242
zu	w13243
verordnen	w13244
be=funden	w13245
<g/>
=
worden	w13247
<g/>
,
die	w13249
zur	w13250
landesfürstl	w13251
<g/>
.
Pfarr	w13253
Gun=dramsdorf	w13254
<g/>
=
gehörige	w13256
in	w13257
dem	w13258
Markt	w13259
Gundrams=dorf	w13260
<g/>
=
liegend	w13262
theils	w13263
behausten	w13264
Unterthanen	w13265
<g/>
,
theils	w13267
Ueberländgrundholden	w13268
abermal	w13269
öffentlich	w13270
auszu=feilen	w13271
<g/>
=
<g/>
,
und	w13274
an	w13275
dem	w13276
Meistbietenden	w13277
zu	w13278
verkau=fen	w13279
<g/>
=
<g/>
.
Da	w13282
nun	w13283
zu	w13284
diesem	w13285
Ende	w13286
der	w13287
13	w13288
<g/>
.
Juli	w13290
d	w13291
<g/>
.
J	w13293
<g/>
.
Nachmittag	w13295
um	w13296
4	w13297
Uhr	w13298
bestimmet	w13299
ist	w13300
<g/>
;
als	w13302
werden	w13303
diejenige	w13304
<g/>
,
so	w13306
obbesagte	w13307
Unterthanen	w13308
und	w13309
Grundholden	w13310
käuflich	w13311
an	w13312
sich	w13313
zu	w13314
bringen	w13315
geden=ken	w13316
<g/>
=
<g/>
,
an	w13319
obbestimmten	w13320
Tag	w13321
und	w13322
Stund	w13323
in	w13324
des	w13325
k	w13326
<g/>
.
k	w13328
<g/>
.
wirklichen	w13330
geheimen	w13331
Raths	w13332
und	w13333
ni	w13334
<g/>
.
öst	w13336
<g/>
.
Vi=cestadthalters	w13338
<g/>
=
Herrn	w13340
Joseph	w13341
Grafen	w13342
von	w13343
Her=berstein	w13344
<g/>
=
habenden	w13346
Wohnung	w13347
auf	w13348
der	w13349
Minoriten=pastey	w13350
<g/>
=
in	w13352
dem	w13353
gräfl	w13354
<g/>
.
Ogilvischen	w13356
Hause	w13357
Nro	w13358
<g/>
.
34	w13360
zu	w13361
erscheinen	w13362
<g/>
,
und	w13364
sich	w13365
allda	w13366
behörig	w13367
anzumel=den	w13368
<g/>
=
<g/>
,
immittels	w13371
aber	w13372
der	w13373
Anschlag	w13374
von	w13375
diesen	w13376
Unterthanen	w13377
und	w13378
Grundholden	w13379
in	w13380
der	w13381
Doktor	w13382
Schmidischen	w13383
Kanzley	w13384
in	w13385
der	w13386
Römmerstrasse	w13387
Nro	w13388
<g/>
.
909	w13390
einzusehen	w13391
haben	w13392
<g/>
.
</p>
<p id="p271">
Von	w13394
der	w13395
k	w13396
<g/>
.
k	w13398
<g/>
.
ni	w13400
<g/>
.
öst	w13402
<g/>
.
Vicedomamtsadmini=stration	w13404
<g/>
=
wegen	w13406
<g/>
,
wird	w13408
hiemit	w13409
jedermann	w13410
kund	w13411
und	w13412
zu	w13413
wissen	w13414
gemacht	w13415
<g/>
:
Demnach	w13417
über	w13418
die	w13419
letzthin	w13420
fürgeweste	w13421
jedoch	w13422
fruchtlos	w13423
abgeloffene	w13424
zweyte	w13425
Licitation	w13426
des	w13427
im	w13428
alten	w13429
Lerchenfeld	w13430
in	w13431
der	w13432
so=genannten	w13433
<g/>
=
Neugassen	w13435
Nro	w13436
<g/>
.
79	w13438
gelegen	w13439
zum	w13440
gol=denen	w13441
<g/>
=
Ochsen	w13443
genannt	w13444
<g/>
.
Anton	w13446
Mütlerischen	w13447
an=her	w13448
<g/>
=
dienstbaren	w13450
Hauses	w13451
<g/>
,
der	w13453
in	w13454
dieser	w13455
Schulden=massäsachen	w13456
<g/>
=
gerichtlich	w13458
aufgestellte	w13459
Curator	w13460
ad	w13461
lites	w13462
Herr	w13463
Doktor	w13464
Panstingl	w13465
um	w13466
eine	w13467
nochmali=ge	w13468
<g/>
=
anzuordnende	w13470
3te	w13471
Licitation	w13472
geziemend	w13473
gebe=ten	w13474
<g/>
=
<g/>
,
und	w13477
dann	w13478
hiezu	w13479
der	w13480
15	w13481
<g/>
.
Juli	w13483
Vormittag	w13484
um	w13485
10	w13486
Uhr	w13487
in	w13488
der	w13489
Annagassen	w13490
allhier	w13491
in	w13492
dasi=gen	w13493
<g/>
=
Kloster	w13495
bey	w13496
St	w13497
<g/>
.
Anna	w13499
im	w13500
ersten	w13501
Stock	w13502
be=findlichen	w13503
<g/>
=
Amtskanzley	w13505
bestimmet	w13506
worden	w13507
<g/>
.
Als	w13509
werden	w13510
der	w13511
oder	w13512
diejenigen	w13513
<g/>
,
welche	w13515
sothane	w13516
Mül=lerische	w13517
<g/>
=
Behausung	w13519
zu	w13520
kaufen	w13521
gedenken	w13522
<g/>
,
entwe=der	w13524
<g/>
=
selbst	w13526
oder	w13527
durch	w13528
genugsam	w13529
Bevollmächtigte	w13530
</p>
<p id="p272">
an	w13531
obbemeldten	w13532
Tag	w13533
<g/>
.
Stund	w13535
und	w13536
Ort	w13537
sich	w13538
ein=zufinden	w13539
<g/>
=
<g/>
,
und	w13542
behörig	w13543
anmelden	w13544
zu	w13545
lassen	w13546
ha=ben	w13547
<g/>
=
<g/>
.
Wo	w13550
alsdann	w13551
mit	w13552
dem	w13553
Meistbietenden	w13554
der	w13555
Kauf	w13556
geschlossen	w13557
<g/>
,
und	w13559
das	w13560
weiters	w13561
erfoderliche	w13562
fürgekehret	w13563
werden	w13564
wird	w13565
</p>
<p id="p273">
Von	w13566
der	w13567
k	w13568
<g/>
.
k	w13570
<g/>
.
ni	w13572
<g/>
.
öst	w13574
<g/>
.
Vicedomamtsadmini=stration	w13576
<g/>
=
wegen	w13578
<g/>
,
wird	w13580
hiemit	w13581
jedermann	w13582
kund	w13583
und	w13584
zu	w13585
wissen	w13586
gemacht	w13587
<g/>
:
Demnach	w13589
über	w13590
die	w13591
letzthin	w13592
fürgeweste	w13593
<g/>
,
jedoch	w13595
fruchtlos	w13596
abgelofene	w13597
Licita=tion	w13598
<g/>
=
<g/>
,
des	w13601
im	w13602
alten	w13603
Lerchenfeld	w13604
an	w13605
der	w13606
Haupt	w13607
<g/>
=
und	w13609
theils	w13610
in	w13611
der	w13612
sogenannten	w13613
Neugassen	w13614
<g/>
,
Nr	w13616
<g/>
.
115	w13618
gelegenen	w13619
Hirschmannischen	w13620
Behausung	w13621
<g/>
,
der	w13623
gerichtlich	w13624
verordnete	w13625
Windermayerische	w13626
Hr	w13627
<g/>
.
Curator	w13629
ad	w13630
Actum	w13631
<g/>
,
wider	w13633
den	w13634
Jakob	w13635
Hirsch=mann	w13636
<g/>
=
gewest	w13638
<g/>
=
burgerl	w13640
<g/>
.
Kleinfleischselcher	w13642
<g/>
,
und	w13644
Maria	w13645
Anna	w13646
dessen	w13647
<g/>
-
Ehewirthin	w13649
<g/>
,
um	w13651
eine	w13652
noch=malige	w13653
<g/>
=
anzuordnende	w13655
Licitationstagsatzung	w13656
gezie=mend	w13657
<g/>
=
gebeten	w13659
<g/>
,
und	w13661
dann	w13662
hiezu	w13663
der	w13664
15	w13665
<g/>
.
Juli	w13667
d	w13668
<g/>
.
J	w13670
<g/>
.
Vormittag	w13672
um	w13673
10	w13674
Uhr	w13675
in	w13676
der	w13677
<g/>
,
in	w13679
der	w13680
Annagassen	w13681
allhier	w13682
in	w13683
dasigen	w13684
Kloster	w13685
bey	w13686
St	w13687
<g/>
.
Anna	w13689
im	w13690
ersten	w13691
Stock	w13692
befindlichen	w13693
k	w13694
<g/>
.
k	w13696
<g/>
.
Vice=domamtsadministrationskanzley	w13698
<g/>
=
bestimmet	w13700
wor=den	w13701
<g/>
=
<g/>
.
Als	w13704
werden	w13705
der	w13706
oder	w13707
diejenige	w13708
<g/>
,
welche	w13710
sothane	w13711
Hirschmannische	w13712
Behausung	w13713
zu	w13714
kaufen	w13715
gedenken	w13716
<g/>
,
entweder	w13718
selbst	w13719
<g/>
,
oder	w13721
durch	w13722
genug=sam	w13723
<g/>
=
Bevollmächtigte	w13725
an	w13726
obbemeldten	w13727
Tag	w13728
<g/>
,
Stund	w13730
und	w13731
Ort	w13732
sich	w13733
einzufinden	w13734
<g/>
,
und	w13736
sich	w13737
behörig	w13738
an=melden	w13739
<g/>
=
zu	w13741
lassen	w13742
haben	w13743
<g/>
,
wo	w13745
sodann	w13746
mit	w13747
dem	w13748
Meistbietenden	w13749
der	w13750
Kauf	w13751
geschlossen	w13752
<g/>
,
und	w13754
des	w13755
weiters	w13756
erfoderliche	w13757
fürgekehret	w13758
werden	w13759
wird	w13760
<g/>
.
</p>
<p id="p274">
Wir	w13762
Burgermeister	w13763
und	w13764
Rath	w13765
ber	w13766
Stadt	w13767
Wien	w13768
geben	w13769
hiemit	w13770
jedermann	w13771
zu	w13772
vernehmen	w13773
<g/>
:
Es	w13775
sey	w13776
über	w13777
die	w13778
schon	w13779
ehedessen	w13780
angeordneten	w13781
Licitationstagsatzungen	w13782
verwilliget	w13783
worden	w13784
<g/>
,
das	w13786
Strisseckisch	w13787
in	w13788
der	w13789
Rossau	w13790
liegende	w13791
Haus	w13792
sub	w13793
Nro	w13794
<g/>
.
105	w13796
abermal	w13797
öffentlich	w13798
auszufeilen	w13799
<g/>
,
und	w13801
allenfalls	w13802
auch	w13803
unter	w13804
der	w13805
Schätzung	w13806
<g/>
,
an	w13808
den	w13809
Meistbietenden	w13810
zu	w13811
verkaufen	w13812
<g/>
.
Da	w13814
nun	w13815
zu	w13816
die=sem	w13817
<g/>
=
Ende	w13819
der	w13820
15	w13821
<g/>
.
des	w13823
Monats	w13824
Juli	w13825
d	w13826
<g/>
.
J	w13828
<g/>
.
be=stimmet	w13830
<g/>
=
ist	w13832
<g/>
.
So	w13834
haben	w13835
diejenige	w13836
<g/>
,
welche	w13838
gedach=tes	w13839
<g/>
=
Haus	w13841
zu	w13842
kaufen	w13843
willens	w13844
sind	w13845
<g/>
,
an	w13847
den	w13848
bestim=ten	w13849
<g/>
=
Tage	w13851
<g/>
,
oder	w13853
da	w13854
wir	w13855
anderer	w13856
Verhindernis=sen	w13857
<g/>
=
halber	w13859
<g/>
,
diesen	w13861
Tag	w13862
nicht	w13863
zu	w13864
Rath	w13865
sässen	w13866
<g/>
,
den	w13868
nächst	w13869
darauf	w13870
folgenden	w13871
Rathstag	w13872
fruh	w13873
um	w13874
8	w13875
Uhr	w13876
vor	w13877
uns	w13878
zu	w13879
erscheinen	w13880
<g/>
,
und	w13882
sich	w13883
bey	w13884
un=serm	w13885
<g/>
=
und	w13887
gemeiner	w13888
Stadt	w13889
Wien	w13890
Grundbuch	w13891
durch	w13892
den	w13893
Amtsschreiber	w13894
anmelden	w13895
zu	w13896
lassen	w13897
<g/>
,
folglich	w13899
der	w13900
weitern	w13901
Behandlung	w13902
abzuwarten	w13903
<g/>
.
</p>
<p id="p275">
Von	w13905
des	w13906
löbl	w13907
<g/>
.
k	w13909
<g/>
.
k	w13911
<g/>
.
Banatischen	w13913
Staats	w13914
<g/>
=
und	w13916
Obergerichts	w13917
wegen	w13918
<g/>
,
wird	w13920
anmit	w13921
jedermänniglich	w13922
dem	w13923
daran	w13924
gelegen	w13925
kund	w13926
und	w13927
zu	w13928
wissen	w13929
gemacht	w13930
<g/>
:
Es	w13932
sey	w13933
der	w13934
in	w13935
der	w13936
königl	w13937
<g/>
.
kroatischen	w13939
Freystadt	w13940
Agram	w13941
angestellt	w13942
geweste	w13943
orientalische	w13944
Dollmetsch	w13945
Herr	w13946
Johann	w13947
Nepomuk	w13948
v	w13949
<g/>
.
Ettinger	w13951
den	w13952
12	w13953
<g/>
.
Jän=ner	w13955
<g/>
=
d	w13957
<g/>
.
J	w13959
<g/>
.
mit	w13961
Todt	w13962
abgegangen	w13963
<g/>
,
und	w13965
habe	w13966
ververmög	w13967
<g/>
=
</p>
<p id="p276">
mög	w13969
Testament	w13970
seine	w13971
Frau	w13972
Gemahlin	w13973
<g/>
,
gebohr=ne	w13975
<g/>
=
Kirchwegerin	w13977
v	w13978
<g/>
.
Hohenbrun	w13980
<g/>
,
zur	w13982
Universaler=bin	w13983
<g/>
=
der	w13985
ganzen	w13986
Verlassenschaft	w13987
eingesetzet	w13988
<g/>
;
wann	w13990
nun	w13991
zur	w13992
ordentlichen	w13993
Abhandlung	w13994
dieser	w13995
Verlas=senschaft	w13996
<g/>
=
das	w13998
Æs	w13999
alienum	w14000
zu	w14001
wissen	w14002
erfoderlich	w14003
seyn	w14004
will	w14005
<g/>
,
als	w14007
werden	w14008
alle	w14009
hieran	w14010
Theilnehmen=de	w14011
<g/>
=
zur	w14013
Anmeld	w14014
<g/>
=
Legitimir	w14016
<g/>
=
und	w14018
Liquidirung	w14019
ih=rer	w14020
<g/>
=
ex	w14022
quacunque	w14023
causa	w14024
vel	w14025
titulo	w14026
habenden	w14027
Sprüche	w14028
oder	w14029
Schuldfoderung	w14030
bey	w14031
obgenannten	w14032
löbl	w14033
<g/>
.
Gericht	w14035
den	w14036
26	w14037
<g/>
.
Juli	w14039
d	w14040
<g/>
.
J	w14042
<g/>
.
pro	w14044
1mo	w14045
2do	w14046
<g/>
&
3tio	w14048
Termino	w14049
peremptorio	w14050
vorgeladen	w14051
und	w14052
in	w14053
Warasdin	w14054
zu	w14055
erscheinen	w14056
haben	w14057
<g/>
,
wie	w14059
im	w14060
widri=gen	w14061
<g/>
=
<g/>
,
wenn	w14064
sich	w14065
dieselbe	w14066
in	w14067
der	w14068
eingeraumten	w14069
Zeitfrist	w14070
nicht	w14071
gehörig	w14072
entweder	w14073
selbst	w14074
persönlich	w14075
<g/>
,
oder	w14077
durch	w14078
hiezu	w14079
genugsam	w14080
bevollmächtigte	w14081
Ge=waltträger	w14082
<g/>
=
anmelden	w14084
und	w14085
legitimiren	w14086
werden	w14087
<g/>
,
man	w14089
nach	w14090
Verstreichung	w14091
der	w14092
bestimmten	w14093
Zeitfrist	w14094
mit	w14095
der	w14096
gewöhnlichen	w14097
Abhandlung	w14098
gleichwolen	w14099
vorgehen	w14100
<g/>
,
forthin	w14102
ungehindert	w14103
der	w14104
nicht	w14105
erschei=nenden	w14106
<g/>
=
Gläubigern	w14108
ex	w14109
officio	w14110
vorkehren	w14111
werde	w14112
was	w14113
Rechtens	w14114
ist	w14115
<g/>
.
Warasdin	w14117
den	w14118
10	w14119
<g/>
.
