<doc id="edoc_wd_1726-09-14" attrs="word" year="1726" month="09" day="14" corpus="1">
<head id="hl1">
Gibraltar	w54
verübt	w5330
<g/>
=
anderen	w5332
Dieb=stählen	w5333
<g/>
=
<g/>
/
in	w5336
der	w5337
Creis	w5338
<g/>
=
Stadt	w5340
Folktraberg	w5341
criminaliter	w5342
processirt	w5343
<g/>
/
und	w5345
auf	w5346
3	w5347
<g/>
.
Natural NaturalJahr	w5349
<g/>
-
Jahr	w5351
zur	w5352
Ruder	w5353
<g/>
=
Bank	w5355
condemniret	w5356
<g/>
.
</p>
<p id="p81">
Johann	w5358
Georg	w5359
A	w5360
<g/>
.
<g/>
...
20	w5363
<g/>
.
Jahr	w5365
alt	w5366
von	w5367
Fraustatt	w5368
aus	w5369
Pohlen	w5370
gebürtig	w5371
<g/>
/
ledigen	w5373
Stands	w5374
<g/>
/
in	w5376
puncto	w5377
furti	w5378
<g/>
,
zu	w5380
Breßlau	w5381
cri-minaliter	w5382
<g/>
-
processirt	w5384
<g/>
/
und	w5386
auf	w5387
2	w5388
Natural NaturalJahr	w5389
<g/>
-
Jahr	w5391
zur	w5392
Ruder	w5393
<g/>
=
Bank	w5395
condemnirt	w5396
<g/>
.
</p>
<p id="p82">
Eodem	w5398
<g/>
,
nach	w5400
<g/>
=
Mittag	w5402
<g/>
/
wurde	w5404
die	w5405
jüngst=gemeldte	w5406
<g/>
=
Ziehung	w5408
der	w5409
alhiesigen	w5410
Privilegirt	w5411
rt	w5412
<g/>
=
Kaiserlich	w5414
<g/>
=
Orientalischen	w5416
Compagnie	w5417
38sten	w5418
Lotterie	w5419
<g/>
,
so	w5421
verwichenen	w5422
Montag	w5423
vor	w5424
Mit=tag	w5425
<g/>
=
ihren	w5427
Anfang	w5428
genommen	w5429
hatte	w5430
<g/>
/
ge	w5432
<g/>
=
en=det	w5434
<g/>
=
<g/>
;
und	w5437
solle	w5438
den	w5439
zukünftigen	w5440
Montag	w5441
<g/>
/
als	w5443
den	w5444
16	w5445
<g/>
.
dieses	w5447
der	w5448
Anfang	w5449
der	w5450
Ziehung	w5451
der	w5452
39sten	w5453
Lotterie	w5454
gemacht	w5455
werden	w5456
<g/>
;
die	w5458
grossen	w5459
Gewinne	w5460
aus	w5461
obbemeldter	w5462
28sten	w5463
Lotterie	w5464
seynd	w5465
auf	w5466
folgenden	w5467
Numern	w5468
ge=zogen	w5469
<g/>
=
worden	w5471
<g/>
/
nemlich	w5473
</p>
<head id="hl16">
Montag	w5474
<g/>
/
den	w5476
9	w5477
<g/>
.
September	w5479
<g/>
.
</head>
<p id="p83">
Vor	w5481
<g/>
=
Mittag	w5483
<g/>
/
die	w5485
1000	w5486
<g/>
.
fl	w5488
<g/>
.
wegen	w5490
des	w5491
er=sten	w5492
<g/>
=
Zuges	w5494
auf	w5495
Num	w5496
<g/>
.
65681	w5498
<g/>
.
Devise	w5500
<g/>
:
Mer-curius	w5502
<g/>
-
<g/>
,
und	w5505
folgenden	w5506
9	w5507
<g/>
.
Numern	w5509
<g/>
.
Dann	w5511
5000	w5512
<g/>
.
s	w5514
<g/>
.
auf	w5516
Num	w5517
<g/>
.
24777	w5519
<g/>
.
Dev	w5521
<g/>
.
L	w5523
<g/>
.
K	w5525
<g/>
.
D	w5527
<g/>
.
V	w5529
<g/>
.
1000	w5531
fl	w5532
<g/>
.
auf	w5534
Num	w5535
<g/>
.
24005	w5537
<g/>
.
Dev	w5539
<g/>
.
Silentio	w5541
<g/>
&
Spe	w5543
<g/>
.
20000	w5545
fl	w5546
<g/>
.
auf	w5548
Num	w5549
<g/>
.
80905	w5551
<g/>
.
Dev	w5553
<g/>
.
Bring	w5555
dirs	w5556
mein	w5557
Schatz	w5558
<g/>
.
1000	w5560
fl	w5561
<g/>
.
auf	w5563
Num	w5564
<g/>
.
5686	w5566
<g/>
.
Dev	w5568
<g/>
.
Erwarten	w5570
kans	w5571
die	w5572
Ju=gend	w5573
<g/>
=
<g/>
.
N	w5576
<g/>
.
H	w5578
<g/>
.
.2000	w5580
<g/>
.
fl	w5582
<g/>
.
auf	w5584
Num	w5585
<g/>
.
39377	w5587
<g/>
.
Dev	w5589
<g/>
.
Die	w5591
Schönheit	w5592
<g/>
.
</p>
<p id="p84">
Nach	w5594
<g/>
=
Mittag	w5596
<g/>
:
2000	w5598
<g/>
.
fl	w5600
<g/>
.
auf	w5602
Num	w5603
<g/>
.
91128	w5605
<g/>
.
Dev	w5607
<g/>
.
Das	w5609
Mittel	w5610
ist	w5611
gut	w5612
<g/>
.
</p>
<head id="hl17">
Dienstag	w5614
<g/>
/
den	w5616
10	w5617
<g/>
.
Sept	w5619
<g/>
.
</head>
<p id="p85">
Nach	w5621
<g/>
=
Mittag	w5623
<g/>
.
5000	w5625
<g/>
.
fl	w5627
<g/>
.
auf	w5629
Num	w5630
<g/>
.
79971	w5632
<g/>
.
Dev	w5634
<g/>
.
Für	w5636
einen	w5637
feinen	w5638
Holzhaker	w5639
<g/>
.
1000	w5641
<g/>
.
fl	w5643
<g/>
.
auf	w5645
N	w5646
<g/>
.
80190	w5648
<g/>
.
Dev	w5650
<g/>
.
Der	w5652
Anfang	w5653
ist	w5654
herrlich	w5655
<g/>
.
</p>
<head id="hl18">
Mittwoch	w5657
<g/>
/
den	w5659
11	w5660
<g/>
.
Sept	w5662
<g/>
.
</head>
<p id="p86">
Vor	w5664
<g/>
=
Mittag	w5666
<g/>
:
10000	w5668
fl	w5669
<g/>
.
auf	w5671
Num	w5672
<g/>
.
38008	w5674
<g/>
.
Dev	w5676
<g/>
.
Was	w5678
gilts	w5679
<g/>
:
1000	w5681
<g/>
.
fl	w5683
<g/>
.
auf	w5685
Num	w5686
<g/>
.
36894	w5688
<g/>
.
Dev	w5690
<g/>
.
Tit	w5692
<g/>
.
Herr	w5694
Johannes	w5695
Sigismundus	w5696
von	w5697
Schönfeld	w5698
<g/>
.
1000	w5700
<g/>
.
fl	w5702
<g/>
.
auf	w5704
Num	w5705
<g/>
.
58766	w5707
<g/>
.
Dev	w5709
<g/>
.
Accidit	w5711
in	w5712
puncto	w5713
<g/>
,
quod	w5715
non	w5716
speratur	w5717
in	w5718
anno	w5719
<g/>
.
1000	w5721
auf	w5722
N	w5723
<g/>
.
37930	w5725
<g/>
.
Dev	w5727
<g/>
.
Germania	w5729
<g/>
.
</p>
<p id="p87">
Nach	w5731
<g/>
=
Mittag	w5733
<g/>
:
2000	w5735
<g/>
.
fl	w5737
<g/>
.
auf	w5739
Num	w5740
<g/>
.
92462	w5742
<g/>
.
Dev	w5744
<g/>
.
Lyon	w5746
<g/>
.
1000	w5748
<g/>
.
fl	w5750
<g/>
.
auf	w5752
Num	w5753
<g/>
.
94788	w5755
<g/>
.
Dev	w5757
<g/>
.
Julius	w5759
Cæsar Caesar	w5760
<g/>
.
5000	w5762
<g/>
.
fl	w5764
<g/>
.
auf	w5766
Num	w5767
<g/>
.
85506	w5769
<g/>
.
Dev	w5771
<g/>
.
Fortuna	w5773
per	w5774
me	w5775
<g/>
.
</p>
<head id="hl19">
Donnerstag	w5777
<g/>
/
den	w5779
12	w5780
<g/>
.
Sept	w5782
<g/>
.
</head>
<p id="p88">
Vor	w5784
<g/>
=
Mittag	w5786
<g/>
:
5000	w5788
<g/>
.
fl	w5790
<g/>
.
auf	w5792
Num	w5793
<g/>
.
10623	w5795
<g/>
.
Dev	w5797
<g/>
.
Was	w5799
bringt	w5800
ihr	w5801
das	w5802
Glük	w5803
<g/>
?
10000	w5805
<g/>
.
fl	w5807
<g/>
.
auf	w5809
Num	w5810
<g/>
.
32086	w5812
<g/>
.
Dev	w5814
<g/>
.
Was	w5816
gilts	w5817
<g/>
?
1000	w5819
<g/>
.
fl	w5821
<g/>
.
auf	w5823
Num	w5824
<g/>
.
44443	w5826
<g/>
.
Dev	w5828
<g/>
.
Trier	w5830
<g/>
.
2000	w5832
<g/>
.
fl	w5834
<g/>
.
auf	w5836
Num	w5837
<g/>
.
11450	w5839
<g/>
.
Dev	w5841
<g/>
.
Constantiâ	w5843
<g/>
&
Vigi-lantiâ	w5845
<g/>
-
<g/>
.
1000	w5848
<g/>
.
fl	w5850
<g/>
.
auf	w5852
N	w5853
<g/>
.
606	w5855
<g/>
.
Dev	w5857
<g/>
.
Für	w5859
gute	w5860
Freunde	w5861
<g/>
.
20000	w5863
<g/>
.
fl	w5865
<g/>
.
auf	w5867
N	w5868
<g/>
.
62651	w5870
<g/>
.
Dev	w5872
<g/>
.
Sol	w5874
<g/>
.
</p>
<p id="p89">
Nach	w5876
<g/>
=
Mittag	w5878
1000	w5879
<g/>
.
fl	w5881
<g/>
.
auf	w5883
N	w5884
<g/>
.
85589	w5886
<g/>
.
Dev	w5888
<g/>
.
Fortuna	w5890
per	w5891
me	w5892
<g/>
.
2000	w5894
<g/>
.
fl	w5896
<g/>
.
auf	w5898
N	w5899
<g/>
.
6704	w5901
<g/>
.
Dev	w5903
<g/>
.
Crescit	w5905
amor	w5906
nummi	w5907
<g/>
.
2000	w5909
<g/>
.
fl	w5911
<g/>
.
auf	w5913
N	w5914
<g/>
.
29374	w5916
<g/>
.
Dev	w5918
<g/>
.
Das	w5920
Glük	w5921
<g/>
.
Und	w5923
1000	w5924
<g/>
.
fl	w5926
<g/>
.
wegen	w5928
des	w5929
letzten	w5930
Zuges	w5931
auf	w5932
Num	w5933
72840	w5934
<g/>
.
Dev	w5936
<g/>
.
Le	w5938
Mare-schal	w5939
<g/>
-
Comte	w5941
deVehlen	w5942
<g/>
:
und	w5944
daran	w5945
folgenden	w5946
9	w5947
<g/>
.
Numern	w5949
<g/>
:
und	w5951
wurde	w5952
also	w5953
hiemit	w5954
die	w5955
Zie=hung	w5956
<g/>
=
der	w5958
28sten	w5959
Lotterie	w5960
ge	w5961
<g/>
=
endet	w5963
<g/>
.
</p>
<p id="p90">
Freytag	w5965
<g/>
/
den	w5967
13	w5968
<g/>
.
Dito	w5970
<g/>
,
belustigte	w5972
Sich	w5973
abermalen	w5974
der	w5975
Allerhöchste	w5976
Monarch	w5977
mit	w5978
Hirsch	w5979
schiessen	w5980
<g/>
.
</p>
<p id="p91">
Ansonsten	w5982
ist	w5983
dieser	w5984
Tagen	w5985
das	w5986
jährliche	w5987
Wein	w5988
<g/>
=
Lesen	w5990
angeschlagen	w5991
worden	w5992
<g/>
/
deme	w5994
zu	w5995
folge	w5996
inner	w5997
denen	w5998
Linien	w5999
in	w6000
denen	w6001
jenige	w6002
<g/>
=
Wein	w6004
<g/>
=
Gärten	w6006
<g/>
/
welche	w6008
sich	w6009
mit	w6010
dem	w6011
Zehend	w6012
<g/>
=
Amt	w6014
verglichen	w6015
<g/>
/
und	w6017
Zehend	w6018
<g/>
=
frey	w6020
seynd	w6021
<g/>
/
den	w6023
27	w6024
<g/>
.
dieses	w6026
Monats	w6027
September	w6028
<g/>
:
dann	w6030
in	w6031
der	w6032
Ebene	w6033
<g/>
/
um	w6035
hiesige	w6036
Stadt	w6037
herum	w6038
den	w6039
30	w6040
<g/>
.
Dito	w6042
<g/>
/
und	w6044
in	w6045
dem	w6046
Gebürg	w6047
<g/>
/
darunter	w6049
auch	w6050
die	w6051
übrige	w6052
Ebene	w6053
begriffen	w6054
<g/>
/
den	w6056
2	w6057
<g/>
.
Octo=ber	w6059
<g/>
=
<g/>
/
darbey	w6062
jedem	w6063
Leser	w6064
des	w6065
Tags	w6066
8	w6067
<g/>
.
Kreu=tzer	w6069
<g/>
=
<g/>
/
und	w6072
um	w6073
1	w6074
<g/>
.
Kreutzer	w6076
Brod	w6077
<g/>
;
einem	w6079
Mostler	w6080
<g/>
/
und	w6082
Butten	w6083
<g/>
=
Trager	w6085
aber	w6086
9	w6087
<g/>
.
Kreu=tzer	w6089
<g/>
=
<g/>
/
und	w6092
für	w6093
1	w6094
<g/>
.
und	w6096
ein	w6097
halben	w6098
Kr	w6099
<g/>
.
Brod	w6101
<g/>
/
dann	w6103
einem	w6104
Presser	w6105
die	w6106
Wochen	w6107
<g/>
/
samt	w6109
der	w6110
Kost	w6111
<g/>
/
1	w6113
<g/>
.
fl	w6115
<g/>
.
15	w6117
<g/>
.
kr	w6119
<g/>
.
<g/>
,
denen	w6122
Hütern	w6123
aber	w6124
Tag	w6125
und	w6126
Nacht	w6127
für	w6128
ein	w6129
Poding	w6130
9	w6131
<g/>
.
kr	w6133
<g/>
.
gegeben	w6135
werden	w6136
solle	w6137
<g/>
.
</p>
<head id="hl20">
Uber	w6155
das	w6156
Absterben	w6157
der	w6158
Hertzogin	w6159
von	w6160
Orleans	w6161
<g/>
/
stehet	w6163
man	w6164
in	w6165
Paris	w6166
nachfolgende	w6167
Klag	w6168
<g/>
=
Rede	w6170
im	w6171
Namen	w6172
von	w6173
Frankreich	w6174
<g/>
/
an	w6176
den	w6177
Hertzogen	w6178
von	w6179
Orleans	w6180
übergeben	w6181
<g/>
/
im	w6183
Druk	w6184
<g/>
:
</head>
<p id="p92">
DEr	w6186
Verlust	w6187
<g/>
/
dem	w6189
sie	w6190
<g/>
/
mein	w6192
Herr	w6193
<g/>
!
durch	w6195
den	w6196
Todes	w6197
<g/>
=
Fall	w6199
der	w6200
Durchl	w6201
<g/>
.
Maria	w6203
Johanna	w6204
von	w6205
Baaden	w6206
<g/>
/
dero	w6208
Gemahlin	w6209
er=litten	w6210
<g/>
=
<g/>
/
ist	w6213
uns	w6214
und	w6215
Frankreich	w6216
ins	w6217
gemein	w6218
viel	w6219
zu	w6220
empfindlich	w6221
<g/>
/
daß	w6223
wir	w6224
solchen	w6225
mit	w6226
Stillschweigen	w6227
übergehen	w6228
<g/>
/
oder	w6230
unserer	w6231
Pflicht	w6232
nicht	w6233
entledigen	w6234
solten	w6235
<g/>
/
wiewol	w6237
in	w6238
denen	w6239
grössesten	w6240
Aengsten	w6241
<g/>
/
der	w6243
das	w6244
Hertz	w6245
so	w6246
gleich	w6247
einnehrmende	w6248
Schmertz	w6249
die	w6250
lebhaf=test	w6251
<g/>
=
<g/>
=
und	w6254
zärtlichsten	w6255
Empfindungen	w6256
davon	w6257
ersticket	w6258
<g/>
;
Wir	w6260
können	w6261
jedoch	w6262
das	w6263
Verhäng=nuß	w6264
<g/>
=
Jhrer	w6266
Hoheit	w6267
nicht	w6268
genug	w6269
beklagen	w6270
<g/>
/
welche	w6272
sich	w6273
eine	w6274
derer	w6275
vollommenesten	w6276
Prin=zessinnen	w6277
<g/>
=
<g/>
/
und	w6280
eine	w6281
derer	w6282
beliebtesten	w6283
Ge=mahlinnen	w6284
<g/>
=
<g/>
/
die	w6287
von	w6288
der	w6289
gantzen	w6290
Welt	w6291
gelie=bet	w6292
<g/>
=
und	w6294
geachtet	w6295
war	w6296
<g/>
/
in	w6298
dem	w6299
Alter	w6300
von	w6301
22	w6302
<g/>
.
Jahren	w6304
<g/>
/
aus	w6306
dero	w6307
Armen	w6308
entreissen	w6309
sehen	w6310
<g/>
.
Niemals	w6312
seynd	w6313
zwey	w6314
Hertzen	w6315
mit	w6316
einander	w6317
genauer	w6318
verbunden	w6319
gewesen	w6320
<g/>
/
als	w6322
die	w6323
Jhri=ge	w6324
<g/>
=
<g/>
;
Welche	w6327
bittere	w6328
Scheidung	w6329
in	w6330
solches	w6331
nicht	w6332
für	w6333
Eure	w6334
Hoheit	w6335
<g/>
!
indem	w6337
sie	w6338
gesehen	w6339
<g/>
/
daß	w6341
dieselbe	w6342
ihnen	w6343
<g/>
/
bis	w6345
an	w6346
den	w6347
letzten	w6348
Au=genblik	w6349
<g/>
=
ihres	w6351
Lebens	w6352
<g/>
/
Blike	w6354
von	w6355
der	w6356
jeni=gen	w6357
<g/>
=
edlen	w6359
Liebe	w6360
gegeben	w6361
<g/>
/
wovon	w6363
der	w6364
GOtt	w6365
der	w6366
Eh	w6367
das	w6368
Band	w6369
zwischen	w6370
dieser	w6371
beliebten	w6372
Prinzessin	w6373
und	w6374
ihnen	w6375
<g/>
/
mein	w6377
Herr	w6378
<g/>
/
befesti=get	w6380
<g/>
=
hat	w6382
</p>
<p id="p93">
Solch	w6383
ein	w6384
betrübter	w6385
Zufall	w6386
<g/>
/
wodurch	w6388
die	w6389
Geduld	w6390
derer	w6391
grössesten	w6392
Männer	w6393
hätte	w6394
wan=kend	w6395
<g/>
=
gemachet	w6397
werden	w6398
können	w6399
<g/>
/
hat	w6401
Eure	w6402
Hoheit	w6403
bloß	w6404
in	w6405
so	w6406
weit	w6407
gerühret	w6408
<g/>
/
daß	w6410
dero	w6411
Hertz	w6412
mit	w6413
dem	w6414
heftigsten	w6415
Schmertz	w6416
umfan=gen	w6417
<g/>
=
<g/>
/
sie	w6420
gezwungen	w6421
<g/>
/
ihre	w6423
Thränen	w6424
denen	w6425
unserigen	w6426
beyzufügen	w6427
<g/>
/
und	w6429
<g/>
/
gleich	w6431
wie	w6432
wir	w6433
<g/>
/
das	w6435
allerhärteste	w6436
<g/>
/
so	w6438
das	w6439
Verhängnun	w6440
aus=würken	w6441
<g/>
=
kan	w6443
<g/>
/
durch	w6445
das	w6446
Absterben	w6447
dero	w6448
Durchl	w6449
<g/>
.
Gemahlin	w6451
<g/>
/
zu	w6453
schmeken	w6454
<g/>
/
deren	w6456
Bildnuß	w6457
nie	w6458
aus	w6459
unsern	w6460
Augen	w6461
verschwinden	w6462
<g/>
/
son=deren	w6464
<g/>
=
unserm	w6466
Gemüt	w6467
allezeit	w6468
die	w6469
wesentlich=sten	w6470
<g/>
=
Tugenden	w6472
<g/>
/
und	w6474
die	w6475
schönsten	w6476
Eigen=schaften	w6477
<g/>
=
<g/>
/
welche	w6480
diese	w6481
Prinzessin	w6482
in	w6483
ihrem	w6484
Le=ben	w6485
<g/>
=
zu	w6487
einem	w6488
Wunder	w6489
machten	w6490
<g/>
/
und	w6492
die=selbe	w6493
<g/>
=
anjetzo	w6495
empfindlichst	w6496
zu	w6497
beweinen	w6498
<g/>
/
ver=anlassen	w6500
<g/>
=
<g/>
/
lebend	w6503
wieder	w6504
darstellen	w6505
wird	w6506
<g/>
;
Sie	w6508
hat	w6509
ihnen	w6510
<g/>
/
mein	w6512
Herr	w6513
<g/>
/
heute	w6515
Unter Unterpfände	w6516
<g/>
=
</p>
<p id="p94">
pfände	w6518
ihrer	w6519
Liebe	w6520
hinterlassen	w6521
<g/>
/
wovon	w6523
das	w6524
Letzte	w6525
ihr	w6526
um	w6527
so	w6528
theurer	w6529
zu	w6530
stehen	w6531
kommet	w6532
<g/>
/
als	w6534
sie	w6535
es	w6536
mit	w6537
ihren	w6538
Leben	w6539
bezahlen	w6540
müs=sen	w6541
<g/>
=
<g/>
/
und	w6544
sich	w6545
dessen	w6546
selbst	w6547
beraubet	w6548
hat	w6549
<g/>
/
indem	w6551
es	w6552
ihm	w6553
dasselbe	w6554
gegeben	w6555
<g/>
.
Wir	w6557
dörf=ten	w6558
<g/>
=
urtheilen	w6560
<g/>
/
daß	w6562
GOte	w6563
Eure	w6564
Hoheit	w6565
nur	w6566
darum	w6567
also	w6568
betrübte	w6569
<g/>
/
damit	w6571
dero	w6572
Tugend	w6573
sich	w6574
in	w6575
ihrem	w6576
vollen	w6577
Glantz	w6578
zeigen	w6579
möge	w6580
<g/>
;
Wir	w6582
schicken	w6583
ihm	w6584
die	w6585
eifrigen	w6586
Gebette	w6587
für	w6588
Eure	w6589
Hoheit	w6590
und	w6591
dero	w6592
Familie	w6593
zu	w6594
<g/>
/
und	w6596
wer=den	w6597
<g/>
=
solche	w6599
nunmehro	w6600
verdoppeln	w6601
<g/>
/
damit	w6603
er	w6604
die	w6605
Prinzessin	w6606
<g/>
/
dero	w6608
Gemahlin	w6609
der	w6610
ewigen	w6611
Glückseligkeit	w6612
geniessen	w6613
lasse	w6614
<g/>
/
und	w6616
dero	w6617
Tage	w6618
für	w6619
die	w6620
<g/>
/
ihnen	w6622
<g/>
/
von	w6624
ihr	w6625
nachgelassene	w6626
ge=heiligte	w6627
<g/>
=
Unterpfände	w6629
<g/>
/
bewahre	w6631
<g/>
;
dieses	w6633
ist	w6634
alles	w6635
<g/>
/
was	w6637
wir	w6638
inbrünstig	w6639
wünschen	w6640
<g/>
/
ꝛc	w6642
<g/>
.
</p>
<head id="hl21">
Haag	w6644
3	w6645
<g/>
.
Septemb	w6647
<g/>
.
</head>
<p id="p95">
Es	w6649
hat	w6650
der	w6651
Frantzösische	w6652
Gesandte	w6653
denen	w6654
Herren	w6655
General	w6656
<g/>
=
Staaten	w6658
angezeiget	w6659
<g/>
/
wie	w6661
sein	w6662
hoher	w6663
Principal	w6664
mit	w6665
besonderen	w6666
Ver=gnügen	w6667
<g/>
=
deroselben	w6669
Beytritt	w6670
zur	w6671
Hannove=rischen	w6672
<g/>
=
Bündnuß	w6674
vernommen	w6675
<g/>
.
Jn	w6677
dessen	w6678
ist	w6679
das	w6680
Accessions	w6681
Instrument	w6682
noch	w6683
nicht	w6684
von	w6685
allerseits	w6686
Contractanten	w6687
Plenipotentiariis	w6688
unterschrieben	w6689
<g/>
/
von	w6691
deren	w6692
Ursache	w6693
aber	w6694
von	w6695
der	w6696
Hand	w6697
dermalen	w6698
noch	w6699
nichts	w6700
gewisses	w6701
zu	w6702
berichten	w6703
<g/>
/
ob	w6705
gleich	w6706
verschiedene	w6707
derselben	w6708
gemeldet	w6709
werden	w6710
wollen	w6711
<g/>
.
</p>
<p id="p96">
Weilen	w6713
die	w6714
Provinzien	w6715
Holland	w6716
<g/>
/
Geldern	w6718
<g/>
/
und	w6720
Utrecht	w6721
die	w6722
unter	w6723
ihrer	w6724
Repartition	w6725
ste=hende	w6726
<g/>
=
Compagnien	w6728
in	w6729
completen	w6730
Stand	w6731
halten	w6732
<g/>
/
und	w6734
die	w6735
von	w6736
See	w6737
<g/>
=
und	w6739
Frieß	w6740
<g/>
=
Land	w6742
aber	w6743
4	w6744
<g/>
.
Mann	w6746
<g/>
/
die	w6748
Provinz	w6749
Ober	w6750
<g/>
=
Yssel	w6752
11	w6753
<g/>
.
<g/>
/
und	w6756
die	w6757
von	w6758
Gröningen	w6759
gar	w6760
14	w6761
<g/>
.
Mann	w6763
zu	w6764
wenig	w6765
in	w6766
ihren	w6767
Compagnien	w6768
an	w6769
ihrem	w6770
Contingent	w6771
mangeln	w6772
<g/>
/
als	w6774
hat	w6775
der	w6776
Raht	w6777
von	w6778
Staat	w6779
dahin	w6780
angetragen	w6781
diese	w6782
Provin- zien	w6783
<g/>
-
in	w6785
völligen	w6786
Stand	w6787
zu	w6788
setzen	w6789
<g/>
/
sondern	w6791
auch	w6792
die	w6793
9	w6794
<g/>
.
mangelende	w6796
wieder	w6797
herzustellen	w6798
<g/>
.
</p>
<p id="p97">
Man	w6800
vernimt	w6801
<g/>
/
daß	w6803
die	w6804
Anzahl	w6805
deren	w6806
Schiffen	w6807
so	w6808
aus	w6809
hiesigem	w6810
Lande	w6811
nach	w6812
Grün=land	w6813
<g/>
=
auf	w6815
dem	w6816
Wall	w6817
<g/>
=
Fisch	w6819
<g/>
=
Fang	w6821
abgeschiket	w6822
worden	w6823
<g/>
/
sich	w6825
auf	w6826
200	w6827
<g/>
.
Stük	w6829
belauffe	w6830
<g/>
/
wel=che	w6832
<g/>
=
aber	w6834
gleich	w6835
denen	w6836
von	w6837
andern	w6838
Natio- nen	w6839
<g/>
-
schlechtes	w6841
Glük	w6842
gehabt	w6843
haben	w6844
<g/>
/
indeme	w6846
viele	w6847
ledig	w6848
wieder	w6849
zuruk	w6850
gekommen	w6851
seynd	w6852
<g/>
;
man	w6854
will	w6855
solches	w6856
denen	w6857
Nord	w6858
<g/>
=
Winden	w6860
zu	w6861
schreiben	w6862
<g/>
/
welche	w6864
fast	w6865
die	w6866
gantze	w6867
Reise	w6868
über	w6869
</p>
<p id="p98">
gewähet	w6872
<g/>
/
und	w6874
das	w6875
Eis	w6876
in	w6877
so	w6878
grosser	w6879
Men=ge	w6880
<g/>
=
nach	w6882
der	w6883
Land	w6884
<g/>
=
Seite	w6886
gejaget	w6887
haben	w6888
<g/>
/
daß	w6890
es	w6891
unmöglich	w6892
gewesen	w6893
die	w6894
Wall	w6895
<g/>
=
Fische	w6897
aufzubringen	w6898
</p>
<p id="p99">
Particular	w6899
-Briefe	w6900
aus	w6901
Londen	w6902
melden	w6903
<g/>
/
wie	w6905
der	w6906
Gesandte	w6907
von	w6908
hiesiger	w6909
Republic	w6910
die	w6911
Kundmachung	w6912
wegen	w6913
des	w6914
Beytritts	w6915
des	w6916
hiesigen	w6917
Staats	w6918
zum	w6919
Hannoverischen	w6920
Tra-ctat	w6921
<g/>
-
gethan	w6923
<g/>
/
so	w6925
doch	w6926
nur	w6927
von	w6928
6	w6929
<g/>
.
Provin- zien	w6931
<g/>
-
Unterzeichnet	w6933
worden	w6934
<g/>
;
die	w6936
7te	w6937
Provinz	w6938
Utrecht	w6939
aber	w6940
hätte	w6941
ein	w6942
solches	w6943
noch	w6944
nicht	w6945
ver=richtet	w6946
<g/>
=
<g/>
.
Jndessen	w6949
sollen	w6950
einige	w6951
ausgestreuet	w6952
haben	w6953
<g/>
/
daß	w6955
das	w6956
nach	w6957
der	w6958
Ost	w6959
<g/>
=
See	w6961
abgesandte	w6962
Geschwader	w6963
unter	w6964
dem	w6965
Admiral	w6966
Wager	w6967
nur	w6968
dahin	w6969
diene	w6970
<g/>
/
um	w6972
das	w6973
Interesse	w6974
eines	w6975
gewissen	w6976
Hofs	w6977
zu	w6978
unterstützen	w6979
<g/>
/
ohne	w6981
daß	w6982
die	w6983
Groß	w6984
<g/>
=
Bri=tannis	w6986
<g/>
=
<g/>
.
Nation	w6989
davon	w6990
einen	w6991
Vortheil	w6992
haben	w6993
<g/>
/
noch	w6995
erlangen	w6996
könte	w6997
<g/>
.
Hingegen	w6999
dadurch	w7000
die	w7001
gute	w7002
Freundschaft	w7003
<g/>
/
zwischen	w7005
der	w7006
Cron	w7007
Engel=land	w7008
<g/>
=
und	w7010
dem	w7011
Russischen	w7012
Hof	w7013
<g/>
/
so	w7015
doch	w7016
schon	w7017
auf	w7018
guten	w7019
Fuß	w7020
gestanden	w7021
<g/>
/
zur	w7023
völliger	w7024
Her=stellung	w7025
<g/>
=
verzögert	w7027
würde	w7028
<g/>
.
</p>
<head id="hl22">
Regenspurg	w7030
6	w7031
<g/>
.
Septemb	w7033
<g/>
.
</head>
<p id="p100">
Auf	w7035
des	w7036
Herrn	w7037
Fürstens	w7038
von	w7039
Oettingen	w7040
inständiges	w7041
Anhalten	w7042
und	w7043
Sollicitiren	w7044
bey	w7045
der	w7046
Reichs	w7047
<g/>
=
Versammlung	w7049
für	w7050
die	w7051
Erhal=tung	w7052
<g/>
=
der	w7054
Vestung	w7055
Philipsburg	w7056
eussert	w7057
sie	w7058
so	w7059
viel	w7060
<g/>
/
daß	w7062
wol	w7063
mit	w7064
nächsten	w7065
dardurch	w7066
r	w7067
espe espectiret	w7068
<g/>
-
ctiret	w7070
<g/>
/
und	w7072
die	w7073
vor	w7074
diesem	w7075
bewilligte	w7076
zwey	w7077
Römer	w7078
<g/>
=
Monate	w7080
würklich	w7081
erleget	w7082
werden	w7083
sollen	w7084
<g/>
.
</p>
<p id="p101">
Das	w7086
grausame	w7087
Verfahren	w7088
der	w7089
Ost	w7090
<g/>
=
Frieß=länder	w7092
<g/>
=
wider	w7094
ihren	w7095
Lands	w7096
<g/>
=
Fürsten	w7098
<g/>
/
und	w7100
daß	w7101
sich	w7102
selbige	w7103
zu	w7104
keinen	w7105
Vernunft	w7106
weisen	w7107
lassen	w7108
wollen	w7109
<g/>
/
machet	w7111
alhier	w7112
grosses	w7113
Auf	w7114
<g/>
=
sehen	w7116
<g/>
/
und	w7118
dürfte	w7119
bey	w7120
einem	w7121
solchen	w7122
ärgerlichen	w7123
