<doc id="edoc_wd_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="1">
<head id="hl1">
Warschau	w39
ruckgelassene	w5464
Verlassenschaf=ten	w5465
<g/>
=
zwar	w5467
der	w5468
Ordnung	w5469
nach	w5470
abgehandlet	w5471
worden	w5472
<g/>
,
dahingegen	w5474
aber	w5475
die	w5476
diesfällige	w5477
Erben	w5478
bishero	w5479
nicht	w5480
haben	w5481
ausfindig	w5482
gemacht	w5483
werden	w5484
können	w5485
<g/>
.
Als	w5487
wird	w5488
dem	w5489
Publico	w5490
zu	w5491
dem	w5492
Ende	w5493
hiemit	w5494
Nachricht	w5495
hie=von	w5496
<g/>
=
ertheilet	w5498
<g/>
,
damit	w5500
sich	w5501
diejenige	w5502
<g/>
,
welche	w5504
allen=falls	w5505
<g/>
=
an	w5507
ein	w5508
oder	w5509
andere	w5510
obbesagter	w5511
Verlassenschaf=ten	w5512
<g/>
=
Ansrrüche	w5514
zu	w5515
haben	w5516
glauben	w5517
<g/>
,
sich	w5519
mit	w5520
denen	w5521
hierzu	w5522
erforderlichen	w5523
Legitimationen	w5524
bey	w5525
des	w5526
Löbl	w5527
<g/>
.
Herzog	w5529
Arenbergischen	w5530
Regiments	w5531
<g/>
=
gericht	w5533
<g/>
,
entwe=der	w5535
<g/>
=
selbsten	w5537
<g/>
,
oder	w5539
durch	w5540
ihre	w5541
Bevollmächtigte	w5542
bin=nen	w5543
<g/>
=
3	w5545
Monaten	w5546
<g/>
=
frist	w5548
<g/>
,
vom	w5550
ersten	w5551
Augusti	w5552
lauf=nden	w5553
<g/>
=
Jahrs	w5555
angerechnet	w5556
<g/>
,
sub	w5558
termino	w5559
1mo	w5560
<g/>
,
2do	w5562
<g/>
,
3tio	w5564
<g/>
&
clausula	w5566
præclusipraeclusi	w5567
alsogewiß	w5568
melden	w5569
<g/>
,
und	w5571
ihre	w5572
Erb	w5573
<g/>
-
forderungen	w5575
erweißlich	w5576
machen	w5577
sollen	w5578
<g/>
,
wie	w5580
im	w5581
widrigen	w5582
denen	w5583
<g/>
,
welche	w5585
sich	w5586
fub	w5587
dicto	w5588
ter-minro	w5589
<g/>
-
nicht	w5591
melden	w5592
<g/>
,
oder	w5594
behörig	w5595
legitimiren	w5596
<g/>
,
das	w5598
ewige	w5599
Stillschweigen	w5600
auferleget	w5601
<g/>
,
und	w5603
sie	w5604
mit	w5605
ihren	w5606
</p>
<p id="p53">
machenden	w5607
Ansprüchen	w5608
nicht	w5609
mehr	w5610
gehöret	w5611
werden	w5612
würden	w5613
<g/>
.
Sign	w5615
<g/>
.
Feld	w5617
lager	w5618
bey	w5619
Herschbach	w5620
un=weit	w5621
<g/>
=
Dippoldiswalde	w5623
in	w5624
Sachsen	w5625
16	w5626
<g/>
.
Julii	w5628
1762	w5629
<g/>
.
</p>
<p id="p54">
Bey	w5631
dem	w5632
Buchhändler	w5633
Johann	w5634
Paul	w5635
Kraus	w5636
<g/>
,
nächst	w5638
der	w5639
K	w5640
<g/>
.
K	w5642
<g/>
.
Burg	w5644
<g/>
,
dem	w5646
nenen	w5647
Comödienhaus	w5648
gegenüber	w5649
<g/>
,
sind	w5651
nachfolgende	w5652
Bücher	w5653
zu	w5654
hab	w5655
</p>
<p id="p55">
Memoires	w5656
de	w5657
Mademoiselle	w5658
de	w5659
Monipensier	w5660
Fille	w5661
de	w5662
Gaston	w5663
d'orleans	w5664
<g/>
,
frere	w5666
da	w5667
Luis	w5668
XIII	w5669
<g/>
.
Roi	w5671
do	w5672
France	w5673
<g/>
,
8	w5675
<g/>
.
tomes	w5677
<g/>
,
12mo	w5679
grand	w5680
<g/>
,
Amster-dum	w5682
<g/>
-
1746	w5684
<g/>
.
9	w5686
<g/>
.
fl	w5688
<g/>
.
</p>
<p id="p56">
Nouvelles	w5690
exemplaires	w5691
de	w5692
Miehel	w5693
de	w5694
Cervan-tes	w5695
<g/>
-
Saavedra	w5697
<g/>
,
autrur	w5699
de	w5700
Don	w5701
Quichotte	w5702
<g/>
,
tradu-ction	w5704
<g/>
-
<g/>
&
edition	w5707
nouvelie	w5708
par	w5709
Mr	w5710
<g/>
.
l'Abbe	w5712
S	w5713
<g/>
.
Mar-tin	w5715
<g/>
-
de	w5717
Chassonville	w5718
2	w5719
<g/>
.
tomes	w5721
avec	w5722
Figur	w5723
1	w5724
2mo	w5725
grand	w5726
<g/>
,
Lausanne	w5728
<g/>
,
1759	w5730
<g/>
.
2	w5732
<g/>
.
fl	w5734
<g/>
.
45	w5736
<g/>
.
k	w5738
<g/>
.
</p>
<p id="p57">
La	w5740
More	w5741
d'Abel	w5742
<g/>
,
Poéme	w5744
en	w5745
cing	w5746
Chants	w5747
<g/>
,
tra-duit	w5749
<g/>
-
de	w5751
l'Allemand	w5752
de	w5753
M	w5754
<g/>
.
Gesner	w5756
par	w5757
M	w5758
<g/>
.
Hu-ber	w5760
<g/>
-
<g/>
,
8vo	w5763
Paris	w5764
1761	w5765
<g/>
.
1	w5767
<g/>
.
fl	w5769
<g/>
.
</p>
<p id="p58">
Les	w5771
Moeurs	w5772
du	w5773
Tems	w5774
<g/>
,
Comédié	w5776
en	w5777
un	w5778
Acte	w5779
<g/>
,
8vo	w5781
Leiprig	w5782
1762	w5783
<g/>
.
17	w5785
kr	w5786
<g/>
.
</p>
<p id="p59">
Le	w5788
Financier	w5789
<g/>
,
Comedie	w5791
en	w5792
un	w5793
Acte	w5794
<g/>
,
8vo	w5796
Leip-2ig	w5797
<g/>
-
2ig	w5799
1762	w5800
<g/>
.
17	w5802
<g/>
.
kr	w5804
<g/>
.
</p>
<p id="p60">
Thesaurus	w5806
Resolutionum	w5807
tacrætacrae	w5808
Congregatio-nis	w5809
<g/>
-
Concilii	w5811
<g/>
.
Tomus	w5813
XXIV	w5814
<g/>
.
4to	w5816
maj	w5817
<g/>
.
RomæRomae	w5819
<g/>
,
1761	w5821
<g/>
.
1	w5823
<g/>
.
fl	w5825
<g/>
.
37	w5827
<g/>
.
kr	w5829
<g/>
.
</p>
<p id="p61">
Des	w5831
Herrn	w5832
v	w5833
<g/>
.
Arvieux	w5835
merkwürdige	w5836
Nachrich=ten	w5837
<g/>
=
<g/>
,
worinnen	w5840
sowol	w5841
seine	w5842
Reise	w5843
nach	w5844
Constanti=nopel	w5845
<g/>
=
<g/>
,
in	w5848
Asien	w5849
<g/>
,
Syrien	w5851
<g/>
,
dem	w5853
gelobten	w5854
Land	w5855
<g/>
,
Egypten	w5857
<g/>
,
und	w5859
der	w5860
Barbarey	w5861
<g/>
,
als	w5863
auch	w5864
die	w5865
Be=schaffenheit	w5866
<g/>
=
dieser	w5868
Länder	w5869
<g/>
;
die	w5871
Religion	w5872
<g/>
,
Sitten	w5874
<g/>
,
Gebräuche	w5876
<g/>
,
und	w5878
Handlung	w5879
dieser	w5880
Völker	w5881
<g/>
,
nebst	w5883
der	w5884
Regierungs	w5885
<g/>
=
art	w5887
und	w5888
Begebenheiten	w5889
ꝛc	w5890
<g/>
.
6	w5892
<g/>
.
Theile	w5894
<g/>
,
8vo	w5896
Copenhagen	w5897
<g/>
,
4	w5899
<g/>
.
fl	w5901
<g/>
.
30	w5903
<g/>
.
kr	w5905
<g/>
.
</p>
<p id="p62">
Bey	w5907
den	w5908
Verlegern	w5909
des	w5910
Wienerischen	w5911
Diarii	w5912
ist	w5913
zu	w5914
haben	w5915
<g/>
:
</p>
<p id="p63">
Kurzer	w5917
Unterricht	w5918
von	w5919
der	w5920
Fürtreflichkeit	w5921
und	w5922
Nutzen	w5923
des	w5924
heiligsten	w5925
Meß	w5926
<g/>
=
opfers	w5928
<g/>
,
samt	w5930
der	w5931
Weis	w5932
selben	w5933
andächtigst	w5934
beyzuwohnen	w5935
<g/>
,
und	w5937
die	w5938
geistliche	w5939
Communion	w5940
zu	w5941
verrichten	w5942
<g/>
,
wie	w5944
auch	w5945
den	w5946
heiligen	w5947
Creutz	w5948
<g/>
=
weeg	w5950
zu	w5951
besuchen	w5952
<g/>
,
in	w5954
Welscher	w5955
Sprach	w5956
ver=casset	w5957
<g/>
=
von	w5959
P	w5960
<g/>
.
Leonardo	w5962
à	w5963
Portu	w5964
Mauritio	w5965
<g/>
,
Fran	w5967
ciscaner	w5968
<g/>
,
und	w5970
berühmten	w5971
Apostolischen	w5972
Missiona-rio	w5973
<g/>
-
zu	w5975
Rom	w5976
<g/>
.
Nunmehro	w5978
aber	w5979
zu	w5980
grösserem	w5981
Nu=tzen	w5982
<g/>
=
von	w5984
einem	w5985
P	w5986
<g/>
.
Frauciscaner	w5988
<g/>
,
Oesterreichischer	w5990
Provinz	w5991
in	w5992
das	w5993
Teutsche	w5994
übersetzet	w5995
<g/>
.
Gebunden	w5997
das	w5998
Stuck	w5999
pr	w6000
<g/>
.
14	w6002
<g/>
.
kr	w6004
<g/>
.
</p>
<p id="p64">
Festum	w6006
BB	w6007
<g/>
.
septem	w6009
Fundatorum	w6010
Ordinis	w6011
Ser-vorum	w6012
<g/>
-
B	w6014
<g/>
.
M	w6016
<g/>
.
V	w6018
<g/>
.
pro	w6020
Regnis	w6021
&e	w6022
Provinciis	w6023
subje-ctis	w6024
<g/>
-
Dominio	w6026
Serenissima	w6027
Domus	w6028
AustriacæAustriacae	w6029
<g/>
,
das	w6031
Stück	w6032
pr	w6033
<g/>
.
4	w6035
<g/>
.
kr	w6037
<g/>
.
Jtem	w6039
die	w6040
Reß	w6041
das	w6042
Stück	w6043
pr	w6044
<g/>
.
3	w6046
<g/>
.
kr	w6048
<g/>
.
</p>
<head id="hl17">
Von	w6065
inländischen	w6066
gelehrten	w6067
Sachen	w6068
<g/>
.
</head>
<p id="p65">
Discours	w6070
historique	w6071
sur	w6072
ce	w6073
qui	w6074
Zest	w6075
passe	w6076
en	w6077
Europe	w6078
depuis	w6079
8450	w6080
<g/>
.
Jurquen	w6082
1500	w6083
<g/>
.
par	w6085
le	w6086
Pere	w6087
Rerens	w6088
de	w6089
la	w6090
Compagnie	w6091
de	w6092
Jesus	w6093
<g/>
.
</p>
<p id="p66">
Der	w6095
h	w6096
<g/>
.
w	w6098
<g/>
.
P	w6100
<g/>
.
Heinrich	w6102
Kerens	w6103
<g/>
,
vorma=liger	w6105
<g/>
=
Lehrer	w6107
der	w6108
Historie	w6109
<g/>
,
und	w6111
jetziger	w6112
Rector	w6113
des	w6114
therestanischen	w6115
Collegiums	w6116
<g/>
,
hat	w6118
sich	w6119
in	w6120
diesem	w6121
Werke	w6122
<g/>
,
welches	w6124
erst	w6125
vor	w6126
kurzem	w6127
all=hier	w6128
<g/>
=
bey	w6130
Georg	w6131
Ludwig	w6132
Schulzen	w6133
im	w6134
Drucke	w6135
erschienen	w6136
ist	w6137
<g/>
,
den	w6139
Montesquieu	w6140
und	w6141
den	w6142
Boßuet	w6143
zu	w6144
Mustern	w6145
gewählet	w6146
<g/>
.
Daß	w6148
es	w6149
schwer	w6150
sey	w6151
<g/>
,
ihnen	w6153
nur	w6154
von	w6155
weiten	w6156
zu	w6157
fol=gen	w6158
<g/>
=
<g/>
,
gesteht	w6161
er	w6162
selbst	w6163
<g/>
,
und	w6165
wir	w6166
glauben	w6167
so=gar	w6168
<g/>
=
<g/>
,
daß	w6171
es	w6172
einem	w6173
Ausländer	w6174
<g/>
,
der	w6176
in	w6177
ihrer	w6178
Sprache	w6179
schreiben	w6180
will	w6181
<g/>
,
unmöglich	w6183
ist	w6184
<g/>
,
wenn	w6186
er	w6187
nicht	w6188
<g/>
,
wie	w6190
Hamilton	w6191
und	w6192
Müralt	w6193
<g/>
,
von	w6195
Jugend	w6196
auf	w6197
zu	w6198
Paris	w6199
und	w6200
in	w6201
einer	w6202
gewissen	w6203
Welt	w6204
gelebt	w6205
hat	w6206
<g/>
.
Man	w6208
hat	w6209
sogar	w6210
dem	w6211
grossen	w6212
Poeten	w6213
Rousseau	w6214
<g/>
,
Schuld	w6216
gegeben	w6217
<g/>
,
daß	w6219
er	w6220
sich	w6221
in	w6222
Absicht	w6223
auf	w6224
die	w6225
Sprache	w6226
in	w6227
den	w6228
Niederlanden	w6229
verdorben	w6230
habe	w6231
<g/>
.
Das	w6233
Beyspiel	w6234
eines	w6235
roßen	w6236
Fürsten	w6237
<g/>
,
der	w6239
vor	w6240
einigen	w6241
Jahren	w6242
die	w6243
Geschichte	w6244
seines	w6245
Hauses	w6246
beschrieben	w6247
hat	w6248
<g/>
,
beweiset	w6250
<g/>
,
was	w6252
wir	w6253
sagen	w6254
<g/>
.
Ob	w6256
er	w6257
gleich	w6258
eine	w6259
ganze	w6260
Academie	w6261
witziger	w6262
Franzosen	w6263
bey	w6264
seinem	w6265
Werke	w6266
hatte	w6267
zu	w6268
Rath	w6269
ziehen	w6270
können	w6271
<g/>
,
so	w6273
fanden	w6274
sich	w6275
doch	w6276
eine	w6277
für	w6278
die	w6279
Größe	w6280
desselben	w6281
beträchtliche	w6282
Anzahl	w6283
<g/>
.
Sprachfehler	w6285
darinn	w6286
<g/>
,
welche	w6288
in	w6289
dem	w6290
Mer-cure	w6291
<g/>
-
de	w6293
France	w6294
angezeiget	w6295
wurden	w6296
<g/>
.
Es	w6298
würde	w6299
uns	w6300
leicht	w6301
seyn	w6302
<g/>
,
bey	w6304
dem	w6305
gegenwär=tigen	w6306
<g/>
=
ein	w6308
gleiches	w6309
zu	w6310
thun	w6311
<g/>
,
wenn	w6313
unserer	w6314
Nation	w6315
etwas	w6316
daran	w6317
gelegen	w6318
wäre	w6319
<g/>
,
daß	w6321
man	w6322
zu	w6323
Wien	w6324
besser	w6325
französisch	w6326
als	w6327
deutsch	w6328
schreibe	w6329
<g/>
.
Aber	w6331
dieses	w6332
können	w6333
wir	w6334
nicht	w6335
mit	w6336
Stillschweigen	w6337
übergehen	w6338
<g/>
,
daß	w6340
unser	w6341
Herr	w6342
Verfasser	w6343
<g/>
,
welcher	w6345
sich	w6346
einer	w6347
guten	w6348
Schreib=art	w6349
<g/>
=
befleiset	w6351
<g/>
,
sich	w6353
an	w6354
verschiedenen	w6355
Orten	w6356
ge=wisser	w6357
<g/>
=
Wendungen	w6359
bedienet	w6360
<g/>
,
die	w6362
in	w6363
keiner	w6364
Sprache	w6365
richtig	w6366
seyn	w6367
können	w6368
<g/>
,
und	w6370
die	w6371
Sache	w6372
undeutlich	w6373
machen	w6374
<g/>
.
Dörfen	w6376
wir	w6377
ein	w6378
BeyBeyspiel	w6379
<g/>
=
</p>
<p id="p67">
spiel	w6381
davon	w6382
hier	w6383
anführen	w6384
<g/>
?
Bey	w6386
Gelegen	w6387
heit	w6388
der	w6389
Ausrottung	w6390
der	w6391
Mohren	w6392
in	w6393
Spa=nien	w6394
<g/>
=
heißt	w6396
es	w6397
<g/>
:
Grenade	w6399
dernier	w6400
asyle	w6401
de	w6402
leurs	w6403
conquetes	w6404
<g/>
&
devenuc	w6406
le	w6407
centre	w6408
de	w6409
leurs	w6410
galanteries	w6411
<g/>
,
Der	w6413
vernünftige	w6414
Leser	w6415
kan	w6416
freylich	w6417
leicht	w6418
errathen	w6419
<g/>
,
daß	w6421
nicht	w6422
die	w6423
von	w6424
den	w6425
Unglaubigen	w6426
ehedem	w6427
eroberten	w6428
Provin=zien	w6429
<g/>
=
<g/>
,
sondern	w6432
die	w6433
Mohren	w6434
selbst	w6435
es	w6436
gewesen	w6437
<g/>
,
die	w6439
sich	w6440
in	w6441
die	w6442
Stadt	w6443
Granada	w6444
geflüchtet	w6445
ha=ben	w6446
<g/>
=
<g/>
,
und	w6449
daß	w6450
Granada	w6451
nach	w6452
dem	w6453
Verlust	w6454
dieser	w6455
Länder	w6456
nicht	w6457
mehr	w6458
der	w6459
Mittelpunct	w6460
seyn	w6461
konnte	w6462
<g/>
.
</p>
<p id="p68">
Jnzwischen	w6464
sind	w6465
wir	w6466
weit	w6467
entfernet	w6468
<g/>
,
dem	w6470
Werke	w6471
des	w6472
Hrn	w6473
<g/>
.
P	w6475
<g/>
.
Rectors	w6477
seine	w6478
Verdienste	w6479
abzusprechen	w6480
<g/>
:
wir	w6482
halten	w6483
es	w6484
vielmehr	w6485
für	w6486
nützlich	w6487
<g/>
,
daß	w6489
er	w6490
seine	w6491
historische	w6492
Betrachtun=gen	w6493
<g/>
=
für	w6495
diejenigen	w6496
seiner	w6497
Schüler	w6498
hat	w6499
drus	w6500
cken	w6501
lassen	w6502
<g/>
,
welche	w6504
mehr	w6505
französisch	w6506
als	w6507
deutsch	w6508
können	w6509
<g/>
;
den	w6511
andern	w6512
Liebhabern	w6513
der	w6514
Geschichte	w6515
wird	w6516
man	w6517
vermuthlich	w6518
mit	w6519
einer	w6520
Uebersetzung	w6521
zu	w6522
dienen	w6523
suchen	w6524
<g/>
.
Wenigstens	w6526
wäre	w6527
zu	w6528
wünschen	w6529
<g/>
,
daß	w6531
nach	w6532
dem	w6533
Fegenwär=tigen	w6534
<g/>
=
schönen	w6536
Beyspiele	w6537
die	w6538
Lehrart	w6539
<g/>
,
welche	w6541
mehr	w6542
auf	w6543
den	w6544
Geist	w6545
<g/>
,
als	w6547
den	w6548
Körper	w6549
der	w6550
Ge=schichte	w6551
<g/>
=
stehet	w6553
<g/>
,
bey	w6555
uns	w6556
allgemeiner	w6557
würde	w6558
<g/>
,
und	w6560
daß	w6561
man	w6562
endlich	w6563
aufhörete	w6564
<g/>
,
das	w6566
Gedächt=nis	w6567
<g/>
=
auf	w6569
Kosten	w6570
des	w6571
Verstandes	w6572
zu	w6573
üben	w6574
<g/>
.
Die	w6576
Betrachtungen	w6577
<g/>
,
welche	w6579
wir	w6580
hier	w6581
ankündigen	w6582
<g/>
,
sind	w6584
eigentlich	w6585
eine	w6586
Einleitung	w6587
in	w6588
die	w6589
neuere	w6590
Geschichte	w6591
<g/>
,
und	w6593
haben	w6594
den	w6595
Zeitraum	w6596
zwischen	w6597
1450	w6598
<g/>
.
und	w6600
1500	w6601
<g/>
.
zum	w6603
Gegenstande	w6604
<g/>
.
Die	w6606
Welt	w6607
bekömmt	w6608
in	w6609
demselben	w6610
eine	w6611
ganz	w6612
andere	w6613
Gestalt	w6614
<g/>
:
man	w6616
siehet	w6617
eine	w6618
allgemeine	w6619
Ver=änderung	w6620
<g/>
=
in	w6622
den	w6623
Gemüthern	w6624
der	w6625
Menschen	w6626
<g/>
,
und	w6628
in	w6629
ihrer	w6630
Art	w6631
zu	w6632
denken	w6633
<g/>
,
in	w6635
den	w6636
Regierungs=verfassungen	w6637
<g/>
=
<g/>
,
in	w6640
den	w6641
Künsten	w6642
<g/>
,
in	w6644
den	w6645
Wissen=schaften	w6646
<g/>
=
<g/>
,
in	w6649
der	w6650
Staatskunst	w6651
<g/>
,
in	w6653
der	w6654
Hand=lung	w6655
<g/>
=
<g/>
.
Mit	w6658
einem	w6659
Worte	w6660
<g/>
,
die	w6662
Menschen	w6663
scheinen	w6664
ganz	w6665
neue	w6666
Geschöpfe	w6667
zu	w6668
werden	w6669
<g/>
.
Es	w6671
wird	w6672
in	w6673
diesen	w6674
50	w6675
<g/>
.
Jahren	w6677
der	w6678
Grund	w6679
zu	w6680
</p>
<p id="p69">
der	w6682
Größe	w6683
derjenigen	w6684
Monarchien	w6685
geleget	w6686
<g/>
,
welche	w6688
noch	w6689
heute	w6690
bestehen	w6691
<g/>
.
Es	w6693
zeigen	w6694
sich	w6695
in	w6696
denselben	w6697
schon	w6698
die	w6699
Quellen	w6700
derjenigen	w6701
Veränderungen	w6702
<g/>
,
worauf	w6704
sich	w6705
noch	w6706
jetzo	w6707
der	w6708
Landfriede	w6709
und	w6710
das	w6711
allgemeine	w6712
Staatsrecht	w6713
gründen	w6714
<g/>
.
Ein	w6716
Werk	w6717
<g/>
,
das	w6719
einen	w6720
so	w6721
wichtigen	w6722
Zeitraum	w6723
zum	w6724
Gegenstande	w6725
hat	w6726
<g/>
,
kan	w6728
niemals	w6729
ohne	w6730
Nutzen	w6731
seyn	w6732
<g/>
:
gleichwie	w6734
auch	w6735
dem	w6736
Hrn	w6737
<g/>
.
Verfasser	w6739
<g/>
,
wenn	w6741
er	w6742
es	w6743
fortzusetzen	w6744
ge=denket	w6745
<g/>
=
<g/>
,
in	w6748
dem	w6749
darauf	w6750
folgenden	w6751
Jahrhunder=te	w6752
<g/>
=
<g/>
,
der	w6755
Stoff	w6756
an	w6757
merkwürdige	w6758
Staatsbegeben=heiten	w6759
<g/>
=
und	w6761
Veränderungen	w6762
nicht	w6763
fehlen	w6764
wird	w6765
<g/>
.
</p>
<p id="p70">
Antonii	w6767
Augustiui	w6768
Arcbiep	w6769
<g/>
.
Tarraconensit	w6771
de	w6772
emendatione	w6773
gratiani	w6774
Dialogorum	w6775
Li-dri	w6776
<g/>
-
II	w6778
<g/>
.
Cum	w6780
Stepb	w6781
<g/>
.
Baluzii	w6783
S	w6784
Gerbardi	w6785
Ma-strichtii	w6786
<g/>
-
notis	w6788
<g/>
.
Curante	w6790
M	w6791
<g/>
.
Jos	w6793
<g/>
.
Ant	w6795
<g/>
.
de	w6797
Rieg	w6798
<g/>
.
ger	w6800
<g/>
,
caes	w6802
<g/>
.
reg	w6804
<g/>
.
acad	w6806
<g/>
.
Roboret	w6808
<g/>
.
Socio	w6810
<g/>
.
Laber	w6812
prior	w6813
Vindob	w6814
<g/>
.
ipis	w6816
Georg	w6817
<g/>
.
Ludou	w6819
<g/>
,
Schulzii	w6821
<g/>
,
tyogr	w6823
<g/>
,
Kad	w6825
<g/>
,
1762	w6827
<g/>
,
in	w6829
8vo	w6830
<g/>
.
</p>
<p id="p71">
Wie	w6832
viel	w6833
verdienet	w6834
nicht	w6835
der	w6836
junge	w6837
Hr	w6838
<g/>
.
v	w6840
<g/>
.
Riegger	w6842
Lob	w6843
<g/>
,
daß	w6845
er	w6846
den	w6847
Liebhabern	w6848
der	w6849
geist=lichen	w6850
<g/>
=
Rechtsgelehrsamkeit	w6852
dieses	w6853
vortrefliche	w6854
Werk	w6855
eines	w6856
der	w6857
grösten	w6858
Männer	w6859
Spaniens	w6860
wieder	w6861
in	w6862
die	w6863
Hände	w6864
giebt	w6865
<g/>
,
der	w6867
mit	w6868
seinen	w6869
Schriften	w6870
eben	w6871
so	w6872
viel	w6873
Beweise	w6874
seiner	w6875
erha=bensten	w6876
<g/>
=
Gaben	w6878
des	w6879
Geistes	w6880
und	w6881
Verstandes	w6882
hinterlassen	w6883
hat	w6884
<g/>
.
Der	w6886
Jnhalt	w6887
und	w6888
Endzweck	w6889
dieses	w6890
Werkes	w6891
<g/>
,
besonders	w6893
die	w6894
Aehnlichkeit	w6895
<g/>
,
die	w6897
der	w6898
Hr	w6899
<g/>
.
Herausgeber	w6901
zwischen	w6902
dem	w6903
Ver=fasser	w6904
<g/>
=
<g/>
,
und	w6907
unserm	w6908
Hrn	w6909
<g/>
.
Cardinalen	w6911
Erzbi=schofen	w6912
<g/>
=
<g/>
,
in	w6915
Ansehung	w6916
ihres	w6917
heiligen	w6918
Berufes	w6919
<g/>
,
ihrer	w6921
Würde	w6922
<g/>
,
und	w6924
Verdienste	w6925
<g/>
,
ihrer	w6927
Denkens=art	w6928
<g/>
=
<g/>
,
und	w6931
ihres	w6932
Eifers	w6933
sowol	w6934
für	w6935
die	w6936
Religion	w6937
als	w6938
die	w6939
Wissenschaften	w6940
<g/>
,
gefunden	w6942
hat	w6943
<g/>
,
gaben	w6945
demselben	w6946
Anlaß	w6947
<g/>
,
die	w6949
Ausgabe	w6950
des	w6951
ersten	w6952
Theiles	w6953
dieses	w6954
Werkes	w6955
dem	w6956
Namen	w6957
Sr	w6958
<g/>
.
hoch=fürstl	w6960
<g/>
=
<g/>
.
Eminenz	w6963
in	w6964
einer	w6965
sehr	w6966
schönen	w6967
und	w6968
nach=drücklichen	w6969
<g/>
=
Zueignungsschrift	w6971
zu	w6972
widmen	w6973
<g/>
.
Wir	w6975
finden	w6976
darinn	w6977
insonderheit	w6978
die	w6979
Errich=tung	w6980
<g/>
=
einer	w6982
neuen	w6983
Pflanzschule	w6984
junger	w6985
Geistli=chen	w6986
<g/>
=
allhier	w6988
mit	w6989
vielem	w6990
Ruhme	w6991
erwähnet	w6992
<g/>
.
Wer	w6994
wird	w6995
hierinn	w6996
dem	w6997
Redner	w6998
nicht	w6999
von	w7000
gan=sem	w7001
<g/>
=
Herzen	w7003
beystimmen	w7004
<g/>
?
</p>
<p id="p72">
Die	w7006
bekannte	w7007
voktrefliche	w7008
Schrelbart	w7009
des	w7010
grossen	w7011
Rechtsgelehrten	w7012
Ant	w7013
<g/>
.
Augustin	w7015
giebt	w7016
seinem	w7017
Herausgeber	w7018
Gelegenheit	w7019
<g/>
,
in	w7021
der	w7022
Vorrede	w7023
von	w7024
der	w7025
Vorzüglichkeit	w7026
und	w7027
dem	w7028
nothwendigen	w7029
Gebrauche	w7030
einer	w7031
reinen	w7032
und	w7033
zierlichen	w7034
Schreibart	w7035
in	w7036
der	w7037
geistlichen	w7038
Rechts=gelehrsamkeit	w7039
<g/>
=
ausführlich	w7041
zu	w7042
handeln	w7043
<g/>
,
und	w7045
zu=gleich	w7046
<g/>
=
seine	w7048
eigene	w7049
Stärke	w7050
in	w7051
derselben	w7052
zu	w7053
zei=gen	w7054
<g/>
=
<g/>
.
Er	w7057
gestehet	w7058
selbst	w7059
<g/>
,
und	w7061
wir	w7062
müssen	w7063
ihm	w7064
allerdings	w7065
beystimmen	w7066
<g/>
,
daß	w7068
bey	w7069
den	w7070
Franzo=sen	w7071
<g/>
=
und	w7073
Wälschen	w7074
<g/>
,
ja	w7076
selbst	w7077
bey	w7078
den	w7079
Spaniern	w7080
kein	w7081
Abgang	w7082
an	w7083
solchen	w7084
Schriftstellern	w7085
ist	w7086
<g/>
,
welche	w7088
die	w7089
Reinlichkeit	w7090
in	w7091
der	w7092
lateinischen	w7093
Sprache	w7094
mit	w7095
einer	w7096
gründlichen	w7097
Gelehrsam=keit	w7098
<g/>
=
in	w7100
den	w7101
Kirchenrechten	w7102
vereinbaret	w7103
haben	w7104
<g/>
.
Bey	w7106
den	w7107
unserigen	w7108
Canonisten	w7109
aber	w7110
siehet	w7111
es	w7112
noch	w7113
ziemlich	w7114
rauch	w7115
und	w7116
scholastisch	w7117
aus	w7118
<g/>
.
We=nigstens	w7120
<g/>
=
haben	w7122
wir	w7123
von	w7124
den	w7125
ältern	w7126
niemand	w7127
<g/>
,
den	w7129
wir	w7130
desfalls	w7131
jenen	w7132
an	w7133
die	w7134
Seite	w7135
setzen	w7136
könnten	w7137
<g/>
.
</p>
<p id="p73">
Zu	w7139
Neapel	w7140
ist	w7141
vor	w7142
zwey	w7143
Jahren	w7144
eine	w7145
neue	w7146
Ausgabe	w7147
dieser	w7148
Gespräche	w7149
des	w7150
Ant	w7151
<g/>
.
Augustin	w7153
in	w7154
2	w7155
<g/>
.
Bänden	w7157
<g/>
,
unter	w7159
der	w7160
Aufschrift	w7161
von	w7162
Paris	w7163
<g/>
,
erschienen	w7165
<g/>
.
Allein	w7167
dieses	w7168
har	w7169
unsern	w7170
Hrn	w7171
<g/>
.
v	w7173
<g/>
.
Riegger	w7175
von	w7176
der	w7177
seinigen	w7178
<g/>
,
welche	w7180
mit	w7181
des	w7182
Mastrichts	w7183
gelehrten	w7184
Anmerkungen	w7185
begleitet	w7186
ist	w7187
<g/>
,
und	w7189
ihren	w7190
Vorzug	w7191
allzeit	w7192
vor	w7193
jener	w7194
behaupten	w7195
wird	w7196
<g/>
,
nicht	w7198
abgehalten	w7199
<g/>
:
er	w7201
ist	w7202
von	w7203
diesem	w7204
fremden	w7205
Beyspiele	w7206
dazu	w7207
nur	w7208
mehr	w7209
ermuntert	w7210
worden	w7211
<g/>
.
Von	w7213
dem	w7214
Leben	w7215
des	w7216
Verfassers	w7217
<g/>
,
welches	w7219
