<doc id="edoc_wd_1772-05-16" attrs="word" year="1772" month="05" day="16" corpus="1">
<head id="hl1">
*Urbania	w28
Zimm	w5464
<g/>
.
</list>
<p id="p37">
Summa	w5466
33	w5467
<g/>
.
Personen	w5469
<g/>
,
darunter	w5471
3	w5472
<g/>
.
Kind	w5474
<g/>
.
</p>
<p id="p38">
Von	w5476
dem	w5477
k	w5478
<g/>
.
k	w5480
<g/>
.
Versatzamt	w5482
wird	w5483
hirmit	w5484
kund	w5485
gemacht	w5486
<g/>
,
daß	w5488
die	w5489
im	w5490
Monat	w5491
Febru	w5492
<g/>
.
1771	w5494
<g/>
.
allda	w5496
versetzt	w5497
<g/>
,
und	w5499
bis	w5500
18ten	w5501
dieß	w5502
Monats	w5503
May	w5504
nicht	w5505
in	w5506
behörige	w5507
Richtigkeit	w5508
gebrachte	w5509
Pfänder	w5510
<g/>
,
vermög	w5512
in	w5513
dem	w5514
Kund=schaftsblatt	w5515
<g/>
=
hievon	w5517
einkommenden	w5518
innhaltli=chen	w5519
<g/>
=
Verzeichniß	w5521
<g/>
,
in	w5523
denen	w5524
nachfolgenden	w5525
Tägen	w5526
als	w5527
den	w5528
19	w5529
<g/>
.
und	w5531
20	w5532
<g/>
.
dieß	w5534
Monats	w5535
May	w5536
<g/>
,
an	w5538
den	w5539
Meistbiethenden	w5540
der	w5541
Amts=ordnung	w5542
<g/>
=
nach	w5544
werden	w5545
verkaufet	w5546
werden	w5547
<g/>
.
</p>
<p id="p39">
Es	w5549
dienet	w5550
dem	w5551
Publiko	w5552
zur	w5553
Nachricht	w5554
<g/>
,
daß	w5556
der=mahlen	w5557
<g/>
=
das	w5559
schon	w5560
bekannte	w5561
Steckitzermineral=wasser	w5562
<g/>
=
frisch	w5564
wieder	w5565
angekommen	w5566
<g/>
:
welches	w5568
vorhin	w5569
bey	w5570
die	w5571
drey	w5572
Bäumer	w5573
in	w5574
der	w5575
Kärntnerstrassen	w5576
<g/>
,
der=mahlen	w5578
<g/>
=
aber	w5580
in	w5581
großen	w5582
Himmelporthaus	w5583
sub	w5584
Nro	w5585
968	w5586
<g/>
.
bey	w5588
der	w5589
Kirchen	w5590
gegenüber	w5591
im	w5592
3ten	w5593
Stock	w5594
bey	w5595
Joseph	w5596
Korber	w5597
zu	w5598
haben	w5599
ist	w5600
<g/>
,
die	w5602
Flaschen	w5603
30	w5604
<g/>
.
kr	w5606
<g/>
.
</p>
<p id="p40">
Der	w5608
Magistrat	w5609
zu	w5610
Friedland	w5611
Unterfürstenstein	w5612
ei=tiret	w5613
<g/>
=
den	w5615
von	w5616
hier	w5617
gebürtigen	w5618
Candidatum	w5619
Juris	w5620
Christian	w5621
Gottlieb	w5622
Kirschner	w5623
weyl	w5624
<g/>
.
Christian	w5626
Gott	w5627
<g/>
=
lieb	w5628
Kirschners	w5629
<g/>
,
gewesenen	w5631
bürgerl	w5632
<g/>
.
Krähmers	w5634
und	w5635
Kirschners	w5636
dahier	w5637
<g/>
,
nachgelassenen	w5639
und	w5640
seit	w5641
10	w5642
<g/>
.
JahJahren	w5644
<g/>
=
</p>
<p id="p41">
ren	w5646
bereits	w5647
abwesenden	w5648
Sohn	w5649
<g/>
,
oder	w5651
dessen	w5652
unbekann=te	w5653
<g/>
=
Erben	w5655
<g/>
,
ad	w5657
instantiam	w5658
seiner	w5659
einzigen	w5660
Schwester	w5661
binnen	w5662
3	w5663
Monathen	w5664
<g/>
,
peremptorie	w5666
aber	w5667
den	w5668
24	w5669
<g/>
.
Ju=lii	w5671
<g/>
=
1772	w5673
<g/>
.
auf	w5675
allhiesigem	w5676
Rathhause	w5677
entweder	w5678
in	w5679
Per=son	w5680
<g/>
=
<g/>
,
oder	w5683
durch	w5684
einen	w5685
hinlänglich	w5686
Bevollmächtigten	w5687
zu	w5688
erscheinen	w5689
in	w5690
dessen	w5691
Entstehung	w5692
aber	w5693
zu	w5694
gewärti=gen	w5695
<g/>
=
<g/>
,
daß	w5698
er	w5699
Christian	w5700
Gottlieb	w5701
Kirschner	w5702
nach	w5703
Vor=schrift	w5704
<g/>
=
des	w5706
königl	w5707
<g/>
.
Edicts	w5709
werde	w5710
pro	w5711
mortuo	w5712
decla=riret	w5713
<g/>
=
<g/>
,
dessen	w5716
unbekannte	w5717
Erben	w5718
präcludiret	w5719
<g/>
,
und	w5721
sein	w5722
allhier	w5723
sub	w5724
cura	w5725
stehendes	w5726
Vermögen	w5727
seiner	w5728
Schwe=ster	w5729
<g/>
=
ohne	w5731
fernern	w5732
Anstand	w5733
verabfolget	w5734
werden	w5735
<g/>
.
</p>
<p id="p42">
Wir	w5737
N	w5738
<g/>
.
N	w5740
<g/>
.
Superintendenten	w5742
und	w5743
Spitlmeister	w5744
des	w5745
Burgerspitals	w5746
in	w5747
Wien	w5748
geben	w5749
hiemit	w5750
jedermann	w5751
zu	w5752
vernehmen	w5753
<g/>
;
Wasmassen	w5755
auf	w5756
das	w5757
von	w5758
dem	w5759
Herrn	w5760
Johann	w5761
Georg	w5762
Barfuß	w5763
propria	w5764
<g/>
&
uxore	w5766
nomine	w5767
wider	w5768
den	w5769
David	w5770
Ziegelmayr	w5771
beschehene	w5772
Anlangen	w5773
unterm	w5774
22ten	w5775
März	w5776
dies	w5777
Jahrs	w5778
in	w5779
puncto	w5780
eines	w5781
Cessorio	w5782
nomine	w5783
eingeklagten	w5784
Satzkapitals	w5785
pr	w5786
<g/>
.
3500	w5788
fl	w5789
<g/>
.
cum	w5791
sua	w5792
causa	w5793
in	w5794
die	w5795
Licitirung	w5796
der	w5797
dem	w5798
Zieglmayr	w5799
zugehörigen	w5800
in	w5801
der	w5802
Mitterpeunt	w5803
auf	w5804
der	w5805
Landstraße	w5806
liegend	w5807
anhero	w5808
dienstbahren	w5809
Behausung	w5810
und	w5811
zugehörigen	w5812
Gartens	w5813
gewilliget	w5814
und	w5815
zu	w5816
diesem	w5817
Ende	w5818
der	w5819
21ste	w5820
künftigen	w5821
Monats	w5822
May	w5823
frühe	w5824
um	w5825
9	w5826
<g/>
.
Uhr	w5828
zur	w5829
Licitationstagsatzung	w5830
bestimmet	w5831
worden	w5832
seye	w5833
<g/>
.
Solchemnach	w5835
werden	w5836
all	w5837
und	w5838
jede	w5839
so	w5840
obge=dacht	w5841
<g/>
=
Zieglmayrs	w5843
Behausung	w5844
und	w5845
Garten	w5846
in	w5847
der	w5848
Mitterpeunt	w5849
auf	w5850
der	w5851
Landstraße	w5852
zu	w5853
verkaufen	w5854
gesin=net	w5855
<g/>
=
sind	w5857
<g/>
,
an	w5859
vorbestimmten	w5860
Tag	w5861
und	w5862
Stund	w5863
in	w5864
der	w5865
Burgerspittals	w5866
in	w5867
Wien	w5868
Grundstube	w5869
zu	w5870
erscheinen	w5871
haben	w5872
<g/>
,
wo	w5874
sodann	w5875
mit	w5876
dem	w5877
Meistbietenden	w5878
der	w5879
Kauf	w5880
geschlossen	w5881
<g/>
,
und	w5883
hierüber	w5884
das	w5885
Weitere	w5886
fürgekehret	w5887
werden	w5888
solle	w5889
<g/>
.
Aktum	w5891
Wien	w5892
den	w5893
14ten	w5894
März	w5895
1772	w5896
<g/>
.
</p>
<p id="p43">
Von	w5898
der	w5899
röm	w5900
<g/>
.
k	w5902
<g/>
.
k	w5904
<g/>
.
Maj	w5906
<g/>
.
nied	w5908
<g/>
.
öst	w5910
<g/>
.
Landrecht	w5912
we=gen	w5913
<g/>
=
wird	w5915
hiemit	w5916
all	w5917
und	w5918
jeden	w5919
<g/>
,
denen	w5921
hieran	w5922
gelegen	w5923
<g/>
,
kund	w5925
und	w5926
zu	w5927
wissen	w5928
gemacht	w5929
<g/>
;
Es	w5931
haben	w5932
bey	w5933
diesen	w5934
k	w5935
<g/>
.
k	w5937
<g/>
.
ni	w5939
<g/>
.
öst	w5941
<g/>
.
Landrecht	w5943
die	w5944
hoch	w5945
und	w5946
wohlgeborne	w5947
Frau	w5948
Maria	w5949
Francisca	w5950
Gräfinn	w5951
von	w5952
<g/>
,
und	w5954
zu	w5955
Daun	w5956
gebohrne	w5957
Gräfinn	w5958
v	w5959
<g/>
.
Auersperg	w5961
<g/>
,
und	w5963
Herr	w5964
Rudolph	w5965
Graf	w5966
v	w5967
<g/>
.
Abensperg	w5969
und	w5970
Traun	w5971
<g/>
,
als	w5973
des	w5974
minderjäh=rigen	w5975
<g/>
=
Grafens	w5977
von	w5978
und	w5979
zu	w5980
Daun	w5981
gerichtl	w5982
<g/>
.
verord=nete	w5984
<g/>
=
Vorminder	w5986
schriftlich	w5987
angezeiget	w5988
<g/>
,
welcherge=stalten	w5990
<g/>
=
sie	w5992
für	w5993
nöthig	w5994
befunden	w5995
<g/>
,
die	w5997
bey	w5998
der	w5999
Pupil=larherrschaft	w6000
<g/>
=
Niederwallsee	w6002
befindliche	w6003
Schifmühl	w6004
licitando	w6005
plus	w6006
offerenti	w6007
zu	w6008
verkaufen	w6009
<g/>
,
sofort	w6011
zu	w6012
sol=chem	w6013
<g/>
=
Ende	w6015
um	w6016
den	w6017
gerichtlichen	w6018
Consens	w6019
gebetten	w6020
<g/>
.
Wann	w6022
nun	w6023
hierinnfall	w6024
solchergestalten	w6025
gerichtlich	w6026
verwilliget	w6027
<g/>
,
und	w6029
hierzu	w6030
der	w6031
4te	w6032
Monatstag	w6033
Juny	w6034
früh	w6035
um	w6036
9	w6037
<g/>
.
Uhr	w6039
bestimmet	w6040
worden	w6041
<g/>
,
daß	w6043
hiebey	w6044
er=meldte	w6045
<g/>
=
Schifmühl	w6047
um	w6048
einen	w6049
Kaufschilling	w6050
à	w6051
500	w6052
<g/>
.
fl	w6054
<g/>
.
ausgerufen	w6056
werden	w6057
solle	w6058
<g/>
.
Als	w6060
werden	w6061
all	w6062
<g/>
=
und	w6064
je=de	w6065
<g/>
=
<g/>
,
welche	w6068
obbemeldte	w6069
bey	w6070
der	w6071
gräfl	w6072
<g/>
.
daunischen	w6074
Pu=pillenherrschaft	w6075
<g/>
=
Niederwalsee	w6077
befindliche	w6078
Schif=mühl	w6079
<g/>
=
käuflichen	w6081
an	w6082
sich	w6083
zu	w6084
bringen	w6085
willens	w6086
sind	w6087
<g/>
,
an	w6089
obbestimmten	w6090
Tag	w6091
<g/>
,
und	w6093
Stund	w6094
für	w6095
dieses	w6096
k	w6097
<g/>
.
k	w6099
ni	w6100
<g/>
.
öst	w6102
<g/>
.
Landrecht	w6104
ad	w6105
licitandum	w6106
<g/>
,
tractandum	w6108
<g/>
,
<g/>
&
con-cludendum	w6111
<g/>
-
zu	w6113
erscheinen	w6114
haben	w6115
<g/>
.
Wien	w6117
den	w6118
6ten	w6119
April	w6120
1772	w6121
<g/>
.
</p>
<head id="hl21">
Koppenhagen	w6137
<g/>
,
den	w6139
28	w6140
Aprill	w6141
<g/>
.
</head>
<p id="p44">
Die	w6143
am	w6144
25sten	w6145
dieses	w6146
von	w6147
der	w6148
Jnquisitions=kommißion	w6149
<g/>
=
über	w6151
Struensee	w6152
und	w6153
Brandt	w6154
gefälleten	w6155
Urtheile	w6156
dürften	w6157
<g/>
,
wie	w6159
man	w6160
vernimmt	w6161
<g/>
,
in	w6163
ihrem	w6164
ganzen	w6165
Umfange	w6166
<g/>
,
mit	w6168
Einbegreifung	w6169
der	w6170
darin	w6171
angeführten	w6172
Verbrechen	w6173
<g/>
,
welche	w6175
für	w6176
Struense	w6177
die	w6178
Anmassung	w6179
einer	w6180
allzugroßen	w6181
Gewalt	w6182
<g/>
,
die	w6184
Vervortheilung	w6185
der	w6186
kön	w6187
<g/>
.
Kassen	w6189
<g/>
,
die	w6191
Verfälschung	w6192
einer	w6193
Aßignation	w6194
<g/>
,
die	w6196
Ab	w6197
dankung	w6198
der	w6199
beyden	w6200
Garden	w6201
<g/>
,
die	w6203
von	w6204
demsel=ben	w6205
<g/>
=
gemachte	w6207
verdächtige	w6208
Anstalten	w6209
ꝛc	w6210
<g/>
.
für	w6212
Brandt	w6213
aber	w6214
das	w6215
Mitwissen	w6216
um	w6217
diese	w6218
Verbre=chen	w6219
<g/>
=
<g/>
,
und	w6222
da	w6223
er	w6224
sich	w6225
unmittelbar	w6226
gegen	w6227
des	w6228
Kö=nigs	w6229
<g/>
=
geheiligte	w6231
Person	w6232
selbst	w6233
vergriffen	w6234
habe	w6235
<g/>
,
betreffen	w6237
<g/>
,
5	w6239
bis	w6240
6	w6241
Bogen	w6242
betragen	w6243
<g/>
,
und	w6245
durch	w6246
öffentlichen	w6247
Druck	w6248
bekannt	w6249
gemacht	w6250
werden	w6251
<g/>
.
Sobald	w6253
diese	w6254
Urtheile	w6255
Vormittags	w6256
ausge=sprochen	w6257
<g/>
=
waren	w6259
<g/>
,
wurden	w6261
selbige	w6262
dem	w6263
außeror=dentlich	w6264
<g/>
=
versammelten	w6266
hohen	w6267
königl	w6268
<g/>
.
Staats=rathe	w6270
<g/>
=
vorgelegt	w6272
<g/>
.
Se	w6274
<g/>
.
Majestät	w6276
<g/>
,
der	w6278
König	w6279
<g/>
,
waren	w6281
damals	w6282
nicht	w6283
zugegen	w6284
<g/>
;
als	w6286
aber	w6287
Aller=höchstdieselben	w6288
<g/>
=
gegen	w6290
Abend	w6291
von	w6292
Charlotten=lund	w6293
<g/>
=
zurück	w6295
gekommen	w6296
waren	w6297
<g/>
,
so	w6299
verfügten	w6300
Sie	w6301
sich	w6302
in	w6303
den	w6304
wieder	w6305
versammelten	w6306
Staatsrath	w6307
<g/>
,
und	w6309
bestätigten	w6310
daselbst	w6311
bemeldete	w6312
Urtheile	w6313
<g/>
.
</p>
<p id="p45">
Den	w6315
Delinquenten	w6316
war	w6317
der	w6318
Haupteinhalt	w6319
der	w6320
Urtheile	w6321
schon	w6322
um	w6323
12	w6324
Uhr	w6325
Mittags	w6326
von	w6327
ihren	w6328
Advokaten	w6329
<g/>
,
die	w6331
sich	w6332
zu	w6333
ihnen	w6334
begaben	w6335
<g/>
,
zu	w6337
wissen	w6338
gemacht	w6339
worden	w6340
<g/>
.
Wie	w6342
man	w6343
versi=chert	w6344
<g/>
=
<g/>
,
so	w6347
hat	w6348
Struense	w6349
sein	w6350
Schicksal	w6351
mit	w6352
vie=ler	w6353
<g/>
=
Gelassenheit	w6355
vernommen	w6356
<g/>
.
Er	w6358
sol	w6359
die	w6360
Ab=schrift	w6361
<g/>
=
davon	w6363
dem	w6364
Hrn	w6365
<g/>
.
Prokurator	w6367
Uldall	w6368
aus	w6369
der	w6370
Hand	w6371
genommen	w6372
<g/>
,
und	w6374
<g/>
,
ohne	w6376
eine	w6377
Mine	w6378
zu	w6379
verändern	w6380
<g/>
,
durchgelesen	w6382
haben	w6383
<g/>
.
Darauf	w6385
er=kundigte	w6386
<g/>
=
er	w6388
sich	w6389
nach	w6390
dem	w6391
Schicksale	w6392
des	w6393
Brandts	w6394
<g/>
,
über	w6396
welches	w6397
er	w6398
mehr	w6399
<g/>
,
als	w6401
über	w6402
sein	w6403
eigenes	w6404
<g/>
,
bewegt	w6406
geschienen	w6407
<g/>
.
Auch	w6409
Brandt	w6410
hat	w6411
in	w6412
ziemlicher	w6413
Verfassung	w6414
zu	w6415
seyn	w6416
geschie=nen	w6417
<g/>
=
<g/>
,
als	w6420
ihn	w6421
der	w6422
Hr	w6423
<g/>
.
Kammeradvokat	w6425
Bang	w6426
von	w6427
dem	w6428
über	w6429
ihn	w6430
gefällten	w6431
Urtheile	w6432
benachrich=tiget	w6433
<g/>
=
<g/>
.
Beyde	w6436
haben	w6437
ihren	w6438
Advokaten	w6439
<g/>
,
bevor	w6441
</p>
<p id="p46">
dieselben	w6442
von	w6443
ihnen	w6444
gegangen	w6445
sind	w6446
<g/>
,
zwey	w6448
Schrei=ben	w6449
<g/>
=
<g/>
,
eines	w6452
an	w6453
den	w6454
König	w6455
<g/>
,
und	w6457
das	w6458
andere	w6459
an	w6460
die	w6461
Jnquisitionskommißion	w6462
<g/>
,
zugestellet	w6464
<g/>
.
</p>
<p id="p47">
Gestern	w6466
Morgen	w6467
empfiengen	w6468
beyde	w6469
Verur=theilte	w6470
<g/>
=
aus	w6472
den	w6473
Händen	w6474
der	w6475
Geistlichen	w6476
<g/>
,
die	w6478
sie	w6479
zeithero	w6480
zubereitet	w6481
hatten	w6482
<g/>
,
nämlich	w6484
Struensee	w6485
von	w6486
dem	w6487
Hrn	w6488
<g/>
.
Doktor	w6490
Münter	w6491
<g/>
,
und	w6493
Brandt	w6494
von	w6495
dem	w6496
Hrn	w6497
<g/>
.
Probste	w6499
Hee	w6500
<g/>
,
das	w6502
heil	w6503
<g/>
.
Abend=mahl	w6505
<g/>
=
in	w6507
Gegenwart	w6508
der	w6509
Officiers	w6510
<g/>
,
welche	w6512
die	w6513
Wache	w6514
bey	w6515
ihnen	w6516
hatten	w6517
Diese	w6518
rühmen	w6519
<g/>
,
daß	w6521
beyde	w6522
viele	w6523
Beruhigung	w6524
und	w6525
Zufriedenheit	w6526
hät=ten	w6527
<g/>
=
blicken	w6529
lassen	w6530
<g/>
.
Sie	w6532
haben	w6533
auch	w6534
die	w6535
folgen=de	w6536
<g/>
=
Nacht	w6538
verschiedene	w6539
Stunden	w6540
ziemlich	w6541
ruhig	w6542
geschlafen	w6543
<g/>
.
</p>
<p id="p48">
An	w6545
demselben	w6546
Tage	w6547
wurde	w6548
bekannt	w6549
gemacht	w6550
<g/>
,
daß	w6552
die	w6553
Execution	w6554
als	w6555
heute	w6556
vollzogen	w6557
werden	w6558
sollte	w6559
<g/>
,
und	w6561
auch	w6562
das	w6563
Gerüst	w6564
auf	w6565
dem	w6566
Stadtfelde	w6567
aufgerichtet	w6568
<g/>
,
nachdem	w6570
das	w6571
Holz	w6572
darzu	w6573
schon	w6574
vorher	w6575
fertig	w6576
gezimmert	w6577
war	w6578
<g/>
.
Die	w6580
Aufrich=tung	w6581
<g/>
=
geschahe	w6583
mit	w6584
den	w6585
in	w6586
dergleichen	w6587
Fällen	w6588
ge=wöhnlichen	w6589
<g/>
=
Ceremonien	w6591
<g/>
,
und	w6593
unter	w6594
dem	w6595
Schal=le	w6596
<g/>
=
musikalischer	w6598
Jnstrumente	w6599
<g/>
.
Dieses	w6601
auf	w6602
ei=nem	w6603
<g/>
=
geräumigen	w6605
Felde	w6606
stehende	w6607
Gerüste	w6608
konnte	w6609
gleich	w6610
von	w6611
jedermann	w6612
in	w6613
Augenschein	w6614
genom=men	w6615
<g/>
=
werden	w6617
<g/>
.
Dasselbe	w6619
ruhet	w6620
auf	w6621
4	w6622
Pfeilern	w6623
<g/>
,
die	w6625
mit	w6626
Brettern	w6627
bekleidet	w6628
sind	w6629
<g/>
.
Beym	w6631
Ein=gange	w6632
<g/>
=
geht	w6634
gleich	w6635
zur	w6636
Linken	w6637
eine	w6638
Treppe	w6639
von	w6640
15	w6641
Stuffen	w6642
und	w6643
von	w6644
dieser	w6645
eine	w6646
von	w6647
11	w6648
<g/>
.
Stuf=fen	w6650
<g/>
=
zu	w6652
der	w6653
obern	w6654
Bühne	w6655
über	w6656
welcher	w6657
eine	w6658
Fall=thüre	w6659
<g/>
=
gelegt	w6661
ist	w6662
<g/>
,
die	w6664
sich	w6665
beym	w6666
Hinaufsteigen	w6667
öffnet	w6668
<g/>
.
Dieses	w6670
Gerüste	w6671
wird	w6672
<g/>
,
dem	w6674
Verlaute	w6675
nach	w6676
<g/>
,
noch	w6678
einige	w6679
Zeit	w6680
stehen	w6681
bleiben	w6682
<g/>
.
</p>
<p id="p49">
Heute	w6684
war	w6685
<g/>
,
sobald	w6687
der	w6688
Tag	w6689
anbrach	w6690
<g/>
,
die	w6692
ganze	w6693
Stadt	w6694
in	w6695
Bewegung	w6696
<g/>
,
theils	w6698
auf	w6699
Sei=ten	w6700
<g/>
=
der	w6702
vielen	w6703
Tausenden	w6704
<g/>
,
die	w6706
Zuschauer	w6707
abge=ben	w6708
<g/>
=
wollten	w6710
<g/>
,
und	w6712
dann	w6713
zur	w6714
Versammlung	w6715
der	w6716
Mannschaften	w6717
<g/>
,
Ordnung	w6719
zu	w6720
machen	w6721
und	w6722
zu	w6723
erhalten	w6724
<g/>
.
Zwey	w6726
hundert	w6727
Mann	w6728
von	w6729
dem	w6730
im	w6731
Kastelle	w6732
liegenden	w6733
kronprinzlichen	w6734
Regimente	w6735
mit	w6736
aufgepflanzten	w6737
Bajonetten	w6738
<g/>
,
und	w6740
234	w6741
Mann	w6742
von	w6743
dem	w6744
hier	w6745
einquartirten	w6746
Dragonerre=gimente	w6747
<g/>
=
mit	w6749
entblößten	w6750
Pallaschen	w6751
<g/>
,
waren	w6753
die	w6754
</p>
<p id="p50">
Bedeckung	w6755
<g/>
,
unter	w6757
welcher	w6758
die	w6759
Delinquenten	w6760
aus	w6761
dem	w6762
Kastelle	w6763
nach	w6764
dem	w6765
Richtplatze	w6766
geführet	w6767
wurden	w6768
<g/>
.
Zur	w6770
Formirung	w6771
des	w6772
Kreises	w6773
daselbst	w6774
mogten	w6775
ungefähr	w6776
1006	w6777
Mann	w6778
von	w6779
der	w6780
Besa=tzung	w6781
<g/>
=
<g/>
,
außer	w6784
einem	w6785
Korps	w6786
von	w6787
200	w6788
Drago=nern	w6789
<g/>
=
<g/>
,
kommandirt	w6792
seyn	w6793
<g/>
.
Einige	w6795
Divisionen	w6796
Seevolk	w6797
waren	w6798
gleichfalls	w6799
mit	w6800
ihrem	w6801
Gewehre	w6802
hinaus	w6803
maschirt	w6804
<g/>
,
ohne	w6806
jedoch	w6807
den	w6808
Kreis	w6809
mit	w6810
auszumachen	w6811
<g/>
,
wobey	w6813
alles	w6814
von	w6815
Sr	w6816
<g/>
.
Excellenz	w6818
<g/>
,
dem	w6820
Kommandanten	w6821
hiesiger	w6822
Hauptstadt	w6823
<g/>
,
Hrn	w6825
<g/>
.
Generallientenant	w6827
von	w6828
Eichstädt	w6829
selbst	w6830
<g/>
,
angeordnet	w6832
wurde	w6833
<g/>
.
Die	w6835
Truppen	w6836
von	w6837
der	w6838
Be=satzung	w6839
<g/>
=
waren	w6841
schon	w6842
bald	w6843
nach	w6844
6	w6845
Uhr	w6846
rings	w6847
um	w6848
das	w6849
Blutgerüste	w6850
versammelt	w6851
<g/>
,
wo	w6853
sich	w6854
auch	w6855
schon	w6856
damals	w6857
viele	w6858
tausend	w6859
Zuschauer	w6860
eingefun=den	w6861
<g/>
=
hatten	w6863
<g/>
,
deren	w6865
Zug	w6866
aus	w6867
der	w6868
Stadt	w6869
von	w6870
der	w6871
Zeit	w6872
der	w6873
Eröffnung	w6874
des	w6875
Thores	w6876
an	w6877
bis	w6878
9	w6879
Uhr	w6880
beständig	w6881
fortdauerte	w6882
<g/>
.
</p>
<p id="p51">
Ungefähr	w6884
um	w6885
halb	w6886
9	w6887
Uhr	w6888
langten	w6889
die	w6890
zween	w6891
obgedachten	w6892
Geistlichen	w6893
<g/>
,
Hrn	w6895
Hee	w6896
und	w6897
Mün=ter	w6898
<g/>
=
<g/>
,
jeder	w6901
in	w6902
einem	w6903
besondern	w6904
Wagen	w6905
<g/>
,
bey	w6907
dem	w6908
Gerüst	w6909
an	w6910
wo	w6911
sie	w6912
ausstiegen	w6913
und	w6914
hineingiengen	w6915
<g/>
.
</p>
<p id="p52">
Eine	w6917
halbe	w6918
Stunde	w6919
darauf	w6920
trafen	w6921
auch	w6922
der	w6923
königl	w6924
<g/>
.
Generalfiscal	w6926
<g/>
,
Hr	w6928
<g/>
.
Wivet	w6930
<g/>
,
und	w6932
der	w6933
Kö=nigsvogt	w6934
<g/>
=
<g/>
,
Hr	w6937
<g/>
.
Etatsrath	w6939
Ortwed	w6940
<g/>
,
und	w6942
zwar	w6943
dieser	w6944
mit	w6945
dem	w6946
in	w6947
dergleichen	w6948
Aufzügen	w6949
ge=wöhnlichen	w6950
<g/>
=
großen	w6952
messingenen	w6953
Degen	w6954
um=gürtet	w6955
<g/>
=
<g/>
,
in	w6958
einem	w6959
Wagen	w6960
ein	w6961
<g/>
.
Bey	w6963
ihnen	w6964
im	w6965
Wagen	w6966
saß	w6967
rücklings	w6968
des	w6969
Königs	w6970
Vogts	w6971
Ge=vollmächtigter	w6972
<g/>
=
mit	w6974
den	w6975
gräfl	w6976
<g/>
.
Wappen	w6978
<g/>
,
welche	w6980
zerbrochen	w6981
werden	w6982
sollten	w6983
<g/>
.
Diese	w6985
Wappen	w6986
wa=ren	w6987
<g/>
=
auf	w6989
Schilder	w6990
gemahlt	w6991
<g/>
.
Jhnen	w6993
folgten	w6994
verschiedene	w6995
Justitzbediente	w6996
<g/>
;
der	w6998
Scharfrich=ter	w6999
<g/>
=
<g/>
,
ein	w7002
Substitut	w7003
desselben	w7004
<g/>
,
und	w7006
die	w7007
Henkers=knechte	w7008
<g/>
=
aber	w7010
waren	w7011
schon	w7012
vor	w7013
den	w7014
Geistlichen	w7015
da	w7016
<g/>
.
</p>
<p id="p53">
Nunmehro	w7018
langten	w7019
die	w7020
2	w7021
Verurtheilten	w7022
selbst	w7023
an	w7024
<g/>
,
jeder	w7026
in	w7027
einem	w7028
Wagen	w7029
mit	w7030
einem	w7031
Of=ficier	w7032
<g/>
=
und	w7034
zween	w7035
rücklings	w7036
sitzenden	w7037
Unteroffi=ciers	w7038
<g/>
=
bey	w7040
sich	w7041
<g/>
.
Der	w7043
Wagen	w7044
des	w7045
Grafen	w7046
Brandt	w7047
kam	w7048
zuerst	w7049
<g/>
.
Er	w7051
hatte	w7052
ein	w7053
Buch	w7054
in	w7055
der	w7056
Hand	w7057
<g/>
,
und	w7059
schien	w7060
andächtig	w7061
zu	w7062
lesen	w7063
<g/>
.
Dann	w7065
folgte	w7066
der	w7067
Wagen	w7068
des	w7069
Grafen	w7070
Struensee	w7071
<g/>
.
An	w7073
beyden	w7074
Wägen	w7075
<g/>
,
die	w7077
eigentlich	w7078
Miethkutschen	w7079
waren	w7080
<g/>
,
befanden	w7082
sich	w7083
die	w7084
Fenster	w7085
niedergelassen	w7086
<g/>
,
daß	w7088
daher	w7089
ein	w7090
jeder	w7091
die	w7092
Delinquenten	w7093
deutlich	w7094
sehen	w7095
konnte	w7096
<g/>
.
Die	w7098
Verurtheilten	w7099
fuhren	w7100
nicht	w7101
nahe	w7102
zum	w7103
Gerüste	w7104
<g/>
,
sondern	w7106
mußten	w7107
vor	w7108
dem	w7109
Kreis	w7110
aussteigen	w7111
<g/>
,
der	w7113
hernach	w7114
mit	w7115
Beytritt	w7116
der	w7117
ankommenden	w7118
Bedeckung	w7119
dreyfach	w7120
ward	w7121
<g/>
,
und	w7123
</p>
<p id="p54">
außer	w7124
demselben	w7125
hatten	w7126
sich	w7127
die	w7128
Matrosen	w7129
rangirt	w7130
<g/>
.
Brandt	w7132
stieg	w7133
zuerst	w7134
aus	w7135
<g/>
;
Struensee	w7137
aber	w7138
mußte	w7139
in	w7140
seinem	w7141
Wagen	w7142
sitzen	w7143
bleiben	w7144
<g/>
,
bis	w7146
die	w7147
Execution	w7148
an	w7149
dem	w7150
erstern	w7151
verrichtet	w7152
seyn	w7153
würde	w7154
<g/>
,
und	w7156
war	w7157
der	w7158
Stand	w7159
seines	w7160
Wagens	w7161
so	w7162
<g/>
,
daß	w7164
er	w7165
sehen	w7166
konnte	w7167
<g/>
,
was	w7169
auf	w7170
dem	w7171
Gerü=ste	w7172
<g/>
=
vorgieng	w7174
</p>
<p id="p55">
Bey	w7175
der	w7176
Annäherung	w7177
des	w7178
Grafen	w7179
Brandt	w7180
zur	w7181
Thüre	w7182
des	w7183
Gerüstes	w7184
<g/>
,
kam	w7186
aus	w7187
demselben	w7188
der	w7189
Probst	w7190
Hee	w7191
<g/>
,
ihn	w7193
zu	w7194
empfangen	w7195
<g/>
.
Der	w7197
Ge=neralfiscal	w7198
<g/>
=
<g/>
,
der	w7201
