<doc id="wr_1760-08-06" attrs="word" year="1760" month="08" day="06" corpus="2">
<head id="h2_d473e3491">
Toulon	w1_d473e3495
dem	w23_d473e26874
Hrn.	w25_d473e26878
G.	w27_d473e26881
M.	w29_d473e26884
Baron	w31_d473e26887
von	w33_d473e26890
Weichs	w1_d473e26895
übertragen	w3_d473e26898
worden.	w5_d473e26901
</p>
<p id="p16_d473e26904">
Den	w1_d473e26908
28.	w3_d473e26911
wurden	w5_d473e26914
von	w7_d473e26917
dem	w9_d473e26920
Hrn	w11_d473e26923
F.	w13_d473e26927
Z.	w15_d473e26930
M.	w17_d473e26933
in	w19_d473e26936
Folge	w21_d473e26939
der	w23_d473e26942
obberührt	w25_d473e26946
an	w27_d473e26949
den	w29_d473e26952
Hrn	w31_d473e26955
F.	w33_d473e26958
M.	w35_d473e26961
L.	w37_d473e26965
v.	w1_d473e26970
Nauendorf	w3_d473e26973
bereits	w5_d473e26976
ausgestellten	w7_d473e26979
Ordre	w9_d473e26982
die	w11_d473e26985
fernere	w13_d473e26989
Dispositionen	w15_d473e26992
zu	w17_d473e26995
Berennung	w19_d473e26998
der	w21_d473e27001
Stadt	w23_d473e27004
Breßlau	w1_d473e27009
angekehret,	w3_d473e27012
sofort	w5_d473e27015
der	w7_d473e27018
Hr.	w9_d473e27021
F.	w11_d473e27024
M.	w13_d473e27028
L.	w15_d473e27031
Graf	w17_d473e27034
v.	w19_d473e27037
Draskowitz,	w21_d473e27040
da	w23_d473e27043
selber	w25_d473e27047
nach	w27_d473e27050
der	w29_d473e27053
schon	w31_d473e27056
jüngsthin	w1_d473e27062
gemachten	w3_d473e27065
Erwöhnung	w5_d473e27068
mit	w7_d473e27071
seinem	w9_d473e27074
unterhabenden	w11_d473e27077
Corps	w13_d473e27081
bereits	w15_d473e27084
bis	w17_d473e27087
Canth	w19_d473e27090
vorge	w21_d473e27093
rucket,	w1_d473e27098
nacher	w3_d473e27101
Schönhaide	w5_d473e27104
und	w7_d473e27107
weiters	w9_d473e27110
</p>
<p id="p18_d473e27113">
Den	w1_d473e27117
29.	w3_d473e27120
nacher	w5_d473e27123
Zotten	w7_d473e27126
in	w9_d473e27129
Marsche	w11_d473e27132
gesetzet,	w13_d473e27136
der	w15_d473e27139
Hr.	w17_d473e27142
F.	w19_d473e27145
Z.	w21_d473e27148
M.	w23_d473e27151
aber	w25_d473e27155
begabe	w27_d473e27158
sich	w29_d473e27161
von	w31_d473e27164
Eich	w33_d473e27167
holz	w1_d473e27172
nacher	w3_d473e27175
Lissa,	w5_d473e27178
recognoscirte	w7_d473e27181
die	w9_d473e27184
feindliche	w11_d473e27187
bey	w13_d473e27191
Neukirch	w15_d473e27194
stehende	w17_d473e27197
Vor=posten,	w19_d473e27200
und	w21_d473e27203
ließ	w23_d473e27206
selbige	w25_d473e27210
</p>
<p id="p20_d473e27213">
Den	w1_d473e27217
30.	w3_d473e27220
in	w5_d473e27223
der	w7_d473e27226
fruh	w9_d473e27229
mit	w11_d473e27232
Anbruch	w13_d473e27236
des	w15_d473e27239
Tags	w17_d473e27242
durch	w19_d473e27245
den	w21_d473e27248
Hrn.	w23_d473e27251
F.	w25_d473e27255
M.	w27_d473e27258
L.	w29_d473e27261
v.	w31_d473e27264
Nauendorf	w33_d473e27267
attä	w35_d473e27270
quiren,	w1_d473e27275
welche	w3_d473e27278
dann	w5_d473e27281
bis	w7_d473e27284
in	w9_d473e27287
die	w11_d473e27290
Vorstädte	w13_d473e27294
von	w15_d473e27297
Breßlau	w17_d473e27300
zuruck	w19_d473e27303
getrieben,	w21_d473e27306
und	w23_d473e27309
von	w25_d473e27313
solchen	w27_d473e27316
durch	w29_d473e27319
den	w1_d473e27324
Nadasdyschen	w3_d473e27327
Hussaren=regiments	w5_d473e27330
Obrist=wacht=meister	w7_d473e27333
Graffenstein	w9_d473e27336
84.	w11_d473e27339
Kriegsgefan	w13_d473e27343
gene	w1_d473e27349
eingebracht,	w3_d473e27352
auch	w5_d473e27355
eine	w7_d473e27358
3=pfündige	w9_d473e27361
Canon	w11_d473e27364
erobert	w13_d473e27368
wurde,	w15_d473e27371
wornächst	w17_d473e27374
diesen	w19_d473e27377
Tag	w21_d473e27380
zugleich	w23_d473e27383
das	w1_d473e27388
Corps	w3_d473e27391
de	w5_d473e27394
Reserve	w7_d473e27397
von	w9_d473e27400
Heinersdorf	w11_d473e27403
aufbrache,	w13_d473e27407
die	w15_d473e27410
Oder	w17_d473e27413
bey	w19_d473e27416
Leubus	w21_d473e27419
paßirte,	w23_d473e27422
und	w25_d473e27426
den	w27_d473e27429
Mar	w29_d473e27432
sche	w1_d473e27437
bis	w3_d473e27440
Auras	w5_d473e27443
fortsetzte,	w7_d473e27446
sofort	w9_d473e27449
auch	w11_d473e27452
der	w13_d473e27456
Hr.	w15_d473e27459
F.	w17_d473e27462
M.	w19_d473e27465
L.	w21_d473e27468
Graf	w23_d473e27471
v.	w25_d473e27475
Draskowitz	w27_d473e27478
das	w29_d473e27481
Lager	w31_d473e27484
bey	w33_d473e27487
Klein=Tinz	w1_d473e27492
bezoge,	w3_d473e27495
und	w5_d473e27498
endlich	w7_d473e27501
eine	w9_d473e27504
Bataillon	w11_d473e27507
von	w13_d473e27511
Leopold	w15_d473e27514
Palfy	w17_d473e27517
von	w19_d473e27520
Hochkirch	w21_d473e27523
nacher	w23_d473e27526
Klein	w25_d473e27530
Maßlowitz	w1_d473e27536
zu	w3_d473e27539
marschiren	w5_d473e27542
beordert	w7_d473e27545
wurde,	w9_d473e27548
um	w11_d473e27551
von	w13_d473e27555
denen	w15_d473e27558
bey	w17_d473e27561
Leubus	w19_d473e27564
herauf	w21_d473e27567
gezogenen	w23_d473e27570
Piel	w25_d473e27574
ten	w1_d473e27579
allda	w3_d473e27582
eine	w5_d473e27585
Brucke	w7_d473e27588
über	w9_d473e27591
die	w11_d473e27594
Oder	w13_d473e27598
zu	w15_d473e27601
schlagen,	w17_d473e27604
welche	w19_d473e27607
dann	w21_d473e27610
auch	w23_d473e27613
</p>
<p id="p22_d473e27616">
Den	w1_d473e27620
31.	w3_d473e27623
zu	w5_d473e27626
Sande	w7_d473e27629
kame,	w9_d473e27632
und	w11_d473e27635
liesse	w13_d473e27639
man	w15_d473e27642
nicht	w17_d473e27645
minder	w19_d473e27648
daselbst	w21_d473e27651
eine	w23_d473e27654
Tete	w25_d473e27658
de	w27_d473e27661
Pont	w29_d473e27664
auf	w31_d473e27667
werfen,	w1_d473e27672
inzwischen	w3_d473e27675
wurde	w5_d473e27678
das	w7_d473e27681
Corps	w9_d473e27684
de	w11_d473e27687
Reserve	w13_d473e27691
vor	w15_d473e27694
Anbruch	w17_d473e27697
des	w19_d473e27700
Tags	w21_d473e27703
ebenfalls	w23_d473e27706
auf	w25_d473e27710
Klein.	w27_d473e27713
Maßlowitz	w1_d473e27718
in	w3_d473e27721
Marsche	w5_d473e27724
gesetzet,	w7_d473e27727
und	w9_d473e27730
nachdeme	w11_d473e27733
auch	w13_d473e27737
der	w15_d473e27740
Hr.	w17_d473e27743
F.	w19_d473e27746
M.	w21_d473e27749
L.	w23_d473e27752
Graf	w25_d473e27756
v.	w27_d473e27759
Draskowitz	w29_d473e27762
die	w31_d473e27765
sen	w1_d473e27771
Tag	w3_d473e27774
mit	w5_d473e27777
seinem	w7_d473e27780
unterhabenden	w9_d473e27783
Corps	w11_d473e27786
eintraffe,	w13_d473e27790
so	w15_d473e27793
liesse	w17_d473e27796
der	w19_d473e27799
Hr.	w21_d473e27802
F.	w23_d473e27805
Z	w25_d473e27809
M.	w27_d473e27812
sowol	w29_d473e27815
dieses,	w31_d473e27818
als	w1_d473e27823
das	w3_d473e27826
Corps	w5_d473e27829
de	w7_d473e27832
Reserve	w9_d473e27835
sogleich	w11_d473e27838
Nachmittags	w13_d473e27842
näher	w15_d473e27845
Breßlau	w17_d473e27848
anrucken,	w19_d473e27851
und	w21_d473e27854
die	w23_d473e27857
Stadt	w25_d473e27861
vor	w27_d473e27864
lig	w1_d473e27869
einsperren,	w3_d473e27872
wobey	w5_d473e27875
dann	w7_d473e27878
der	w9_d473e27881
Feind	w11_d473e27884
ungeachtet	w13_d473e27888
des	w15_d473e27891
von	w17_d473e27894
allen	w19_d473e27897
Seiten	w21_d473e27900
der	w23_d473e27903
Stadt	w25_d473e27907
beschehenen	w27_d473e27910
sehr	w1_d473e27915
heftigen	w3_d473e27918
Canonen=feuers	w5_d473e27921
aus	w7_d473e27924
denen	w9_d473e27927
Vor=städten	w11_d473e27930
repoußiret,	w13_d473e27934
und	w15_d473e27937
allda	w17_d473e27940
Posto	w19_d473e27943
gefasset,	w21_d473e27946
nicht	w23_d473e27949
minder	w1_d473e27955
eine	w3_d473e27958
Anzahl	w5_d473e27961
Kries	w7_d473e27964
gefangener	w9_d473e27967
mehrmalen	w11_d473e27970
eingebracht	w13_d473e27974
wurde;	w15_d473e27977
und	w17_d473e27980
da	w19_d473e27983
hiernächst	w21_d473e27986
der	w23_d473e27989
Hr.	w1_d473e27994
F.	w3_d473e27997
Z.	w5_d473e28000
M.	w7_d473e28003
dasigen	w9_d473e28006
Commendanten	w11_d473e28009
durch	w13_d473e28013
den	w15_d473e28016
Artillerie=Obristen	w17_d473e28019
Rouvroy	w19_d473e28022
zur	w21_d473e28025
Ubergab	w23_d473e28028
auf	w25_d473e28032
forderen	w1_d473e28037
liesse,	w3_d473e28040
dieser	w5_d473e28043
hingegen	w7_d473e28046
die	w9_d473e28049
Ruck=antwort	w11_d473e28052
gabe,	w13_d473e28056
daß	w15_d473e28059
er	w17_d473e28062
sich	w19_d473e28065
zu	w21_d473e28068
wehren	w23_d473e28071
gesinnet	w25_d473e28075
sehe,	w27_d473e28078
auch	w29_d473e28081
in	w1_d473e28086
Folge	w3_d473e28089
dessen	w5_d473e28092
von	w7_d473e28095
demselben	w9_d473e28098
sogleich	w11_d473e28101
die	w13_d473e28105
Vor=städte	w15_d473e28108
bey	w17_d473e28111
St.	w19_d473e28114
Nicola	w21_d473e28117
annoch	w23_d473e28120
währenden	w25_d473e28124
Tag,	w27_d473e28127
die	w1_d473e28133
darauf	w3_d473e28136
gefolgte	w5_d473e28139
Nacht	w7_d473e28142
aber	w9_d473e28145
die	w11_d473e28148
Ohlauer=vorstadt	w13_d473e28152
durch	w15_d473e28155
Haubitzen	w17_d473e28158
in	w19_d473e28161
Brand	w21_d473e28164
gestecket	w23_d473e28167
wur	w25_d473e28171
de,	w1_d473e28176
so	w3_d473e28179
machte	w5_d473e28182
der	w7_d473e28185
Hr.	w9_d473e28188
F.	w11_d473e28191
Z.	w13_d473e28195
M.	w15_d473e28198
nicht	w17_d473e28201
minder	w19_d473e28204
seines	w21_d473e28207
Orts	w23_d473e28210
sogleich	w25_d473e28214
die	w27_d473e28217
nöhtige	w29_d473e28220
Anstalten,	w31_d473e28223
um	w33_d473e28226
mit	w1_d473e28231
Anbruch	w3_d473e28234
des	w5_d473e28237
folgenden	w7_d473e28240
Tags	w9_d473e28243
auch	w11_d473e28246
mit	w13_d473e28250
Beschiessung	w15_d473e28253
der	w17_d473e28256
Stadt	w19_d473e28259
den	w21_d473e28262
Anfang	w23_d473e28265
zu	w25_d473e28269
Un	w27_d473e28272
chen,	w1_d473e28277
wo	w3_d473e28280
entzwischen	w5_d473e28283
derselbe	w7_d473e28286
sein	w9_d473e28289
Quartier	w11_d473e28292
zu	w13_d473e28296
Höschen	w15_d473e28299
bey	w1_d473e28305
Breßlau	w3_d473e28308
nahme.	w5_d473e28311
</p>
<head id="h2_d473e28355">
OURNAL	w1_d473e28359
Von	w1_d473e28364
der	w3_d473e28367
in	w5_d473e28370
Sachsen	w7_d473e28373
befindlichen	w9_d473e28376
Kais.	w11_d473e28379
Kön.	w13_d473e28383
Haupt	w15_d473e28386
armee	w1_d473e28391
vom	w3_d473e28394
28.	w5_d473e28397
bis	w7_d473e28400
31.	w9_d473e28403
Julii	w11_d473e28406
1760.	w13_d473e28410
aus	w15_d473e28413
dem	w17_d473e28416
Haupt=quartier	w19_d473e28419
Bischofswerda.	w1_d473e28425
</head>
<p id="p4_d473e28428">
Er	w1_d473e28432
Feind	w3_d473e28435
befande	w5_d473e28438
sich	w7_d473e28441
durch	w9_d473e28444
die	w11_d473e28447
zerschiedene	w13_d473e28451
denen	w15_d473e28454
allhiesigen	w17_d473e28457
Vor=trupen	w19_d473e28460
schon	w21_d473e28463
gelungene	w23_d473e28466
Streiche	w1_d473e28471
nicht	w3_d473e28474
wenig	w5_d473e28477
beunruhiget:	w7_d473e28480
insonders	w9_d473e28483
muß	w11_d473e28486
demselben	w13_d473e28490
die	w15_d473e28493
letzt=angezeigte	w17_d473e28496
Ver	w19_d473e28499
heerung	w1_d473e28504
seiner	w3_d473e28507
mit	w5_d473e28510
Mehl,	w7_d473e28513
und	w9_d473e28516
Fourage	w11_d473e28519
beladenen	w13_d473e28523
Schiffe,	w15_d473e28526
und	w17_d473e28529
daß	w19_d473e28532
so	w21_d473e28535
viele	w23_d473e28538
Centner	w25_d473e28542
Pul	w27_d473e28545
fer	w1_d473e28551
bey	w3_d473e28554
Riesa	w5_d473e28557
in	w7_d473e28560
die	w9_d473e28563
Luft	w11_d473e28566
gesprenget	w13_d473e28570
worden,	w15_d473e28573
sehr	w17_d473e28576
nahe	w19_d473e28579
gegangen	w21_d473e28582
seyn,	w23_d473e28585
alldieweilen	w25_d473e28589
er	w27_d473e28592
</p>
<p id="p6_d473e28595">
Den	w1_d473e28599
28.	w3_d473e28602
aus	w5_d473e28605
seinem	w7_d473e28608
Lager	w9_d473e28611
bey	w11_d473e28614
Plauen	w13_d473e28618
viele	w15_d473e28621
Canonen,	w17_d473e28624
theils	w19_d473e28627
zu	w21_d473e28630
10.	w23_d473e28633
theils	w25_d473e28637
zu	w27_d473e28640
8.	w29_d473e28643
Pferden	w31_d473e28646
bespannet,	w1_d473e28651
mit	w3_d473e28654
samt	w5_d473e28657
denen	w7_d473e28660
Munitions=wägen	w9_d473e28663
abschickte,	w11_d473e28666
so	w13_d473e28670
den	w15_d473e28673
Werg	w17_d473e28676
durch	w19_d473e28679
gedachtes	w21_d473e28682
Ort	w23_d473e28685
über	w25_d473e28689
Corbitz	w1_d473e28694
gegen	w3_d473e28697
Benerich	w5_d473e28700
zunahmen,	w7_d473e28703
ja	w9_d473e28706
nach	w11_d473e28709
einhelliger	w13_d473e28713
Aussage	w15_d473e28716
deren	w17_d473e28719
diesen	w19_d473e28722
Tag	w21_d473e28725
in	w23_d473e28728
ziemlicher	w25_d473e28732
Anzahl	w1_d473e28738
herüber	w3_d473e28741
gekommenen	w5_d473e28744
Deserteurs,	w7_d473e28747
solle	w9_d473e28750
die	w11_d473e28753
Bagage,	w13_d473e28757
und	w15_d473e28760
Soldaten=weiber	w17_d473e28763
in	w19_d473e28766
der	w21_d473e28769
vorigen	w1_d473e28774
Nacht	w3_d473e28777
schon	w5_d473e28780
von	w7_d473e28783
dar	w9_d473e28786
abgezogen,	w11_d473e28789
und	w13_d473e28793
die	w15_d473e28796
Armee	w17_d473e28799
sich	w19_d473e28802
zu	w21_d473e28805
einem	w23_d473e28808
Marsch	w25_d473e28812
in	w27_d473e28815
Bereitschaft	w29_d473e28818
zu	w1_d473e28823
halten,	w3_d473e28826
befohlen	w5_d473e28829
worden	w7_d473e28832
seyn.	w9_d473e28835
Es	w11_d473e28838
paßirte	w13_d473e28842
dahero	w15_d473e28845
eben	w17_d473e28848
nichts	w19_d473e28851
sonderliches,	w21_d473e28854
nur	w23_d473e28857
daß	w25_d473e28861
von	w27_d473e28864
Seiten	w29_d473e28867
der	w1_d473e28872
Stadt,	w3_d473e28875
in	w5_d473e28878
sobald	w7_d473e28881
sich	w9_d473e28884
etwas	w11_d473e28887
feindliches	w13_d473e28891
näher	w15_d473e28894
sehen	w17_d473e28897
liesse,	w19_d473e28900
gleich	w21_d473e28903
dahin	w23_d473e28906
gefeuret,	w25_d473e28910
nicht	w27_d473e28913
weni	w29_d473e28916
ger	w1_d473e28922
von	w3_d473e28925
denen	w5_d473e28928
diesseitigen	w7_d473e28931
Jägern,	w9_d473e28934
Freywilligen,	w11_d473e28937
und	w13_d473e28941
Croaten,	w15_d473e28944
mit	w17_d473e28947
welchen	w19_d473e28950
die	w21_d473e28953
Vor=städte	w23_d473e28956
be	w25_d473e28960
setzet	w1_d473e28965
waren,	w3_d473e28968
die	w5_d473e28971
Preußische	w7_d473e28974
Vor=posten	w9_d473e28977
stäts	w11_d473e28980
beunrubiget	w13_d473e28984
wurden.	w15_d473e28987
Nämlichen	w17_d473e28990
Tag	w19_d473e28993
erhielten	w21_d473e28996
des	w23_d473e28999
temwandirenden	w1_d473e29004
F.	w3_d473e29007
M.	w5_d473e29010
Grafeus	w7_d473e29013
v.	w9_d473e29016
Daun	w11_d473e29019
Excellenz	w13_d473e29023
von	w15_d473e29026
dem	w17_d473e29029
das	w19_d473e29032
Corps	w21_d473e29035
d'Armee	w23_d473e29038
in	w25_d473e29042
Schlesien	w27_d473e29045
commandirenden	w1_d473e29050
Herrn	w3_d473e29053
G.	w5_d473e29056
F.	w7_d473e29059
Z.	w9_d473e29062
M.	w11_d473e29065
Baron	w13_d473e29069
von	w15_d473e29072
Loudon	w17_d473e29075
durch	w19_d473e29078
den	w21_d473e29081
eigents	w23_d473e29084
anhero	w25_d473e29088
abgeschick	w27_d473e29091
ten	w1_d473e29097
Artillerie	w3_d473e29100
hauptmann	w5_d473e29103
von	w7_d473e29106
Penzenstein	w9_d473e29109
die	w11_d473e29112
erfreuliche	w13_d473e29116
Nachricht,	w15_d473e29119
was	w17_d473e29122
gestalten	w19_d473e29125
die	w21_d473e29128
beeden	w23_d473e29131
Festungen	w1_d473e29136
nebst	w3_d473e29139
der	w5_d473e29142
Stadt	w7_d473e29145
Glatz	w9_d473e29148
nach	w11_d473e29151
6.=stündiger	w13_d473e29155
Beschüssung	w15_d473e29158
durch	w17_d473e29161
einen	w19_d473e29164
glücklich	w21_d473e29167
sogleich	w23_d473e29170
darauf	w1_d473e29175
ausgeführten	w3_d473e29178
Sturm	w5_d473e29181
erobert,	w7_d473e29184
mithin	w9_d473e29187
ohne	w11_d473e29190
einiger	w13_d473e29194
Capitulation	w15_d473e29197
an	w17_d473e29200
die	w19_d473e29203
K.	w21_d473e29206
K.	w23_d473e29209
Trupen	w25_d473e29213
übergegangen	w1_d473e29218
wären,	w3_d473e29221
daß	w5_d473e29224
also	w7_d473e29227
ob	w9_d473e29230
diesem	w11_d473e29233
für	w13_d473e29237
die	w15_d473e29240
K.	w17_d473e29243
K.	w19_d473e29246
Waffen	w21_d473e29249
so	w23_d473e29252
glorreich	w25_d473e29256
ausgefallenen	w27_d473e29259
Erfolg	w29_d473e29262
Den	w1_d473e29268
29.	w3_d473e29271
bey	w5_d473e29274
der	w7_d473e29277
allhiesigen	w9_d473e29280
Armee	w11_d473e29283
Vormittags	w13_d473e29287
vor	w15_d473e29290
Angesicht	w17_d473e29293
des	w19_d473e29296
Feindes	w21_d473e29299
das	w23_d473e29302
Ambrosia	w25_d473e29306
nische	w1_d473e29311
Lob=gesang	w3_d473e29314
in	w5_d473e29317
dem	w7_d473e29320
sogenannten	w9_d473e29323
Naumannischen	w11_d473e29326
Garten,	w13_d473e29330
unter	w15_d473e29333
Anstimmung	w17_d473e29336
aller	w19_d473e29339
Feld	w21_d473e29342
</p>
<p id="p8_d473e29345">
instrumenten	w1_d473e29349
auf	w3_d473e29352
das	w5_d473e29355
solemniste	w7_d473e29358
gehalten,	w9_d473e29361
auch	w11_d473e29364
die	w13_d473e29368
gesamte	w15_d473e29371
hierbey	w17_d473e29374
erschienene	w19_d473e29377
Generalität	w21_d473e29380
von	w23_d473e29383
dem	w1_d473e29388
commandirenden	w3_d473e29391
F.	w5_d473e29394
M.	w7_d473e29397
in	w9_d473e29400
dem	w11_d473e29403
besagten	w13_d473e29407
Garten	w15_d473e29410
herrlich	w17_d473e29413
tractiret	w19_d473e29416
wurde;	w21_d473e29419
gegen	w23_d473e29422
4.	w25_d473e29426
und	w27_d473e29429
5.	w1_d473e29434
Uhr	w3_d473e29437
des	w5_d473e29440
Nachmittags	w7_d473e29443
hingegen	w9_d473e29446
ist	w11_d473e29449
nicht	w13_d473e29453
nur	w15_d473e29456
die	w17_d473e29459
ganze	w19_d473e29462
K.	w21_d473e29465
K.	w23_d473e29468
Armee	w25_d473e29472
en	w27_d473e29475
Ordre	w29_d473e29478
de	w31_d473e29481
Batalle	w33_d473e29484
ausgerucket,	w1_d473e29490
sondern	w3_d473e29493
es	w5_d473e29496
hat	w7_d473e29499
sich	w9_d473e29502
auch	w11_d473e29505
zu	w13_d473e29509
gleicher	w15_d473e29512
Zeit	w17_d473e29515
die	w19_d473e29518
gesamte	w21_d473e29521
Garnison	w23_d473e29524
zu	w25_d473e29528
Dresden	w27_d473e29531
auf	w29_d473e29534
dem	w31_d473e29537
Rempart	w1_d473e29542
der	w3_d473e29545
Stadt	w5_d473e29548
gezogen,	w7_d473e29551
wo	w9_d473e29554
sohin	w11_d473e29557
von	w13_d473e29561
ein	w15_d473e29564
und	w17_d473e29567
anderen	w19_d473e29570
alternative	w21_d473e29573
ein	w23_d473e29576
dreymaliges	w25_d473e29580
Lauf	w27_d473e29583
feuer	w1_d473e29588
gemacht	w3_d473e29591
worden,	w5_d473e29594
dessen	w7_d473e29597
Anfang	w9_d473e29600
jedesmal	w11_d473e29603
die	w13_d473e29607
Armee	w15_d473e29610
mit	w17_d473e29613
Lesbreunung	w19_d473e29616
100.	w21_d473e29619
schwerer	w23_d473e29622
Ca	w25_d473e29626
nonen	w1_d473e29631
vollführte,	w3_d473e29634
auf	w5_d473e29637
welch=nämliche	w7_d473e29640
Art	w9_d473e29643
immerhin	w11_d473e29646
von	w13_d473e29650
ersagter	w15_d473e29653
Garnison	w17_d473e29656
mit	w19_d473e29659
50.	w21_d473e29662
Canonen	w23_d473e29665
gefolget	w1_d473e29671
wurde,	w3_d473e29674
jedoch	w5_d473e29677
mit	w7_d473e29680
dem	w9_d473e29683
Unterschied,	w11_d473e29686
daß	w13_d473e29690
von	w15_d473e29693
wiederholter	w17_d473e29696
Garnison	w19_d473e29699
die	w21_d473e29702
Canonen	w23_d473e29705
scharf	w25_d473e29709
geladener,	w1_d473e29714
und	w3_d473e29717
wol	w5_d473e29720
elevirter	w7_d473e29723
in	w9_d473e29726
das	w11_d473e29729
feindliche	w13_d473e29733
Lager	w15_d473e29736
abgebrennet	w17_d473e29739
wurden,	w19_d473e29742
nach	w21_d473e29745
wessen	w23_d473e29748
Beendi	w25_d473e29752
gung	w1_d473e29757
von	w3_d473e29760
der	w5_d473e29763
jenseits	w7_d473e29766
der	w9_d473e29769
Elbe	w11_d473e29772
campirten	w13_d473e29776
Reichs=armee,	w15_d473e29779
und	w17_d473e29782
dem	w19_d473e29785
Lascischen	w21_d473e29788
Corps	w23_d473e29791
ein	w25_d473e29795
eben	w27_d473e29798
mäßig	w1_d473e29803
dreymaliges	w3_d473e29806
Lauf=feuer	w5_d473e29809
mit	w7_d473e29812
gleichfältig	w9_d473e29815
anfänglicher	w11_d473e29818
Lösung	w13_d473e29822
ihres	w15_d473e29825
schweren	w17_d473e29828
Geschützes	w19_d473e29831
beschahe.	w1_d473e29837
Von	w3_d473e29840
eröfteter	w5_d473e29843
Garnison	w7_d473e29846
zu	w9_d473e29849
Dresden	w11_d473e29852
wurde	w13_d473e29856
gleich	w15_d473e29859
darauf	w17_d473e29862
durch	w19_d473e29865
eine	w21_d473e29868
wenige	w23_d473e29871
An	w25_d473e29875
zahl	w1_d473e29880
Freywilliger,	w3_d473e29883
und	w5_d473e29886
Jäger	w7_d473e29889
ein	w9_d473e29892
Ausfall	w11_d473e29895
gegen	w13_d473e29899
den	w15_d473e29902
grossen	w17_d473e29905
Garten	w19_d473e29908
gemacht,	w21_d473e29911
welches	w23_d473e29914
die	w25_d473e29918
feind	w27_d473e29921
liche	w1_d473e29926
</p>
<p id="p12_d473e29932">
liche	w1_d473e29936
Armee	w3_d473e29939
in	w5_d473e29942
nicht	w7_d473e29945
geringen	w9_d473e29948
Allarme	w11_d473e29951
versetzte,	w13_d473e29955
massen	w15_d473e29958
dessen	w17_d473e29961
ganze	w19_d473e29964
Cavallerie	w21_d473e29967
ausrucken,	w23_d473e29970
und	w25_d473e29974
denen	w1_d473e29979
diesseitigen	w3_d473e29982
Ausfällen	w5_d473e29985
zu	w7_d473e29988
begegnen,	w9_d473e29991
sich	w11_d473e29994
gefast	w13_d473e29998
machen	w15_d473e30001
muste;	w17_d473e30004
da	w19_d473e30007
sich	w21_d473e30010
aber	w23_d473e30013
besagte	w25_d473e30017
Frey	w27_d473e30020
willige,	w1_d473e30025
und	w3_d473e30028
Jäger	w5_d473e30031
ohne	w7_d473e30034
mindesten	w9_d473e30037
Verlust	w11_d473e30040
mit	w13_d473e30044
Zuruckbringung	w15_d473e30047
einiger	w17_d473e30050
Gefangenen	w19_d473e30053
zuruck	w21_d473e30056
zo	w23_d473e30059
gen,	w1_d473e30065
beobachtete	w3_d473e30068
man,	w5_d473e30071
daß	w7_d473e30074
der	w9_d473e30077
Feind	w11_d473e30080
darauf	w13_d473e30084
seinen	w15_d473e30087
rechten	w17_d473e30090
Flügel	w19_d473e30093
gegen	w21_d473e30096
Rüpgen,	w23_d473e30099
wie	w25_d473e30103
aus	w27_d473e30106
selbsten	w1_d473e30111
bey	w3_d473e30114
Leibnitz	w5_d473e30117
schon	w7_d473e30120
um	w9_d473e30123
ein	w11_d473e30126
merkliches	w13_d473e30130
geschwächet	w15_d473e30133
hätte,	w17_d473e30136
ja	w19_d473e30139
bey	w21_d473e30142
dem	w23_d473e30145
langen	w25_d473e30149
Garten	w27_d473e30152
fast	w1_d473e30157
gar	w3_d473e30160
nichts	w5_d473e30163
mehr	w7_d473e30166
stünde,	w9_d473e30169
solchemnach	w11_d473e30172
das	w13_d473e30176
offenbare	w15_d473e30179
Anscheinen	w17_d473e30182
gewanne,	w19_d473e30185
daß	w21_d473e30188
der	w23_d473e30191
Feind	w25_d473e30195
zu	w1_d473e30200
einem	w3_d473e30203
baldig=gänzlichen	w5_d473e30206
Abzug	w7_d473e30209
sich	w9_d473e30212
heran	w11_d473e30215
liesse,	w13_d473e30219
welcher	w15_d473e30222
dann	w17_d473e30225
die	w19_d473e30228
Nacht	w21_d473e30231
auf	w23_d473e30234
</p>
<p id="p14_d473e30237">
Den	w1_d473e30241
30.	w3_d473e30244
auch	w5_d473e30247
würklich	w7_d473e30250
erfolgte,	w9_d473e30253
und	w11_d473e30256
nicht	w13_d473e30260
so	w15_d473e30263
geschwind	w17_d473e30266
wahrgenommen	w19_d473e30269
wurde,	w21_d473e30272
als	w23_d473e30275
die	w25_d473e30279
Vor=posten	w1_d473e30284
des	w3_d473e30287
General=Lascyschen	w5_d473e30290
Corps	w7_d473e30293
ihme	w9_d473e30296
auf	w11_d473e30299
der	w13_d473e30303
Stelle	w15_d473e30306
nachsetzten,	w17_d473e30309
nicht	w19_d473e30312
minder	w21_d473e30315
der	w23_d473e30318
General	w1_d473e30323
Lascy	w3_d473e30326
selbst	w5_d473e30329
mit	w7_d473e30332
seinem	w9_d473e30335
unterhabenden	w11_d473e30338
Corps	w13_d473e30342
unverlängt	w15_d473e30345
nachruckte,	w17_d473e30348
und	w19_d473e30351
das	w21_d473e30354
verlas	w23_d473e30357
sene	w1_d473e30363
Lager	w3_d473e30366
bey	w5_d473e30369
Plauen	w7_d473e30372
in	w9_d473e30375
Besitz	w11_d473e30378
nahme.	w13_d473e30382
Bey	w15_d473e30385
welcher	w17_d473e30388
Nachsetzung	w19_d473e30391
mit	w21_d473e30394
der	w23_d473e30397
Arriere	w25_d473e30401
