<doc id="wr_1758-07-05" attrs="word" year="1758" month="07" day="05" corpus="2">
<head id="h2_d258e3225">
Dünkirchen	w1_d258e3229
M.,	w7_d258e14104
bey	w9_d258e14107
der	w11_d258e14110
gold.	w13_d258e14114
Sonn	w15_d258e14117
am	w1_d258e14122
Spitalberg,	w3_d258e14125
alt	w5_d258e14128
35.	w7_d258e14131
J.	w9_d258e14134
Simon	w1_d258e14139
Hauer,	w3_d258e14142
Schreib.	w5_d258e14145
im	w7_d258e14148
Contumatz,	w9_d258e14151
alda,	w11_d258e14154
45.	w13_d258e14158
J.	w15_d258e14161
Dem	w1_d258e14166
Sthatz.	w3_d258e14169
Fischer,	w5_d258e14172
Holz=hack.,	w7_d258e14175
s.	w9_d258e14178
K.	w11_d258e14181
Franeise=,	w13_d258e14185
beym	w1_d258e14191
weis.	w3_d258e14194
Lämmel	w5_d258e14197
im	w7_d258e14200
Liechtenth.,	w9_d258e14203
alt	w11_d258e14206
2.	w13_d258e14210
J.	w15_d258e14213
Clara	w1_d258e14218
Ebnerin,	w3_d258e14221
Wittwe,	w5_d258e14224
im	w7_d258e14227
Chaosis.	w9_d258e14230
Stift	w11_d258e14233
in	w13_d258e14237
der	w15_d258e14240
Währinger=gas.,	w1_d258e14245
alt	w3_d258e14248
49.	w5_d258e14251
J.	w7_d258e14254
Jos.	w1_d258e14259
Zwölfer,	w3_d258e14262
Jnstruct.,	w5_d258e14265
beym	w7_d258e14268
weis.	w9_d258e14271
Engel	w11_d258e14274
am	w13_d258e14278
Neu	w15_d258e14281
bau,	w1_d258e14287
alt	w3_d258e14290
31.	w5_d258e14293
J.	w7_d258e14296
Dem	w1_d258e14301
Georg	w3_d258e14304
Baumgartner,	w5_d258e14307
Schuh=mach.,	w7_d258e14310
s.	w9_d258e14313
W.	w11_d258e14316
Magdal.,	w1_d258e14321
im	w3_d258e14324
Bretschneideris.	w5_d258e14327
H.	w7_d258e14330
zu	w9_d258e14333
Nicolstorf,	w11_d258e14336
alt	w1_d258e14341
48.	w3_d258e14344
J.	w5_d258e14347
Summa	w1_d258e14353
9.	w3_d258e14356
Person.,	w5_d258e14359
darunter	w7_d258e14362
2.	w9_d258e14365
Kind.	w11_d258e14368
Den	w1_d258e14373
2.	w3_d258e14376
Julii.	w5_d258e14379
Jn	w7_d258e14382
der	w9_d258e14385
Stadt.	w11_d258e14388
Joh.	w1_d258e14393
Vorlauffer,	w3_d258e14396
Burgerl.	w5_d258e14399
Conduct=ansag.,	w7_d258e14402
in	w9_d258e14405
s.	w11_d258e14408
</list>
<list id="l8_d258e14412">
H.	w1_d258e14416
auf	w3_d258e14419
der	w5_d258e14422
Schotten=baster,	w7_d258e14425
alt	w9_d258e14428
64.	w11_d258e14431
J.	w13_d258e14435
Leop.	w1_d258e14440
Hanauer.	w3_d258e14443
Burgerl.	w5_d258e14446
Perucken=mach,	w7_d258e14449
im	w9_d258e14452
Pech	w11_d258e14455
wanis.	w1_d258e14460
H.	w3_d258e14463
beym	w5_d258e14466
Wag=H.	w7_d258e14469
über,	w9_d258e14472
alt	w11_d258e14475
77.	w13_d258e14479
J.	w15_d258e14482
Dem	w1_d258e14488
Math.	w3_d258e14491
Piringer,	w5_d258e14494
Schul=meist.,	w7_d258e14497
s.	w9_d258e14500
S.	w11_d258e14503
Tod.,	w13_d258e14507
bey	w1_d258e14512
der	w3_d258e14515
bl.	w5_d258e14518
Ganß	w7_d258e14521
im	w9_d258e14524
Schulter=gäs.,	w11_d258e14527
alt	w13_d258e14531
19.	w15_d258e14534
J.	w17_d258e14537
</list>
<head id="h2_d258e14544">
Vor	w1_d258e14548
der	w3_d258e14551
Stadt.	w5_d258e14554
</head>
<list id="l4_d258e14557">
Barb.	w1_d258e14561
Pinapflin,	w3_d258e14564
Wittwe,	w5_d258e14567
in	w7_d258e14570
ihrem	w9_d258e14573
H.	w11_d258e14576
auf	w13_d258e14580
der	w15_d258e14583
Landstr.,	w1_d258e14588
alt	w3_d258e14591
71.	w5_d258e14594
J.	w7_d258e14597
Dem	w1_d258e14602
Joh.	w3_d258e14605
Schott,	w5_d258e14608
Schlos.,	w7_d258e14611
s.	w9_d258e14614
W.	w11_d258e14617
Anna,	w13_d258e14621
bey	w15_d258e14624
der	w17_d258e14627
Rundel.	w1_d258e14633
bey	w3_d258e14636
St.	w5_d258e14639
Ulrich,	w7_d258e14642
alt	w9_d258e14645
43.	w11_d258e14648
J.	w13_d258e14652
Mich.	w1_d258e14657
Weingast,	w3_d258e14660
Gartner,	w5_d258e14663
in	w7_d258e14666
s.	w9_d258e14669
H.	w11_d258e14672
oberm	w13_d258e14676
Neustißt,	w15_d258e14679
alt	w1_d258e14684
51.	w3_d258e14687
J.	w5_d258e14690
Phil.	w1_d258e14695
Gmich,	w3_d258e14698
Stadt=musicus,	w5_d258e14701
beym	w7_d258e14704
schwarz.	w9_d258e14707
Boch	w11_d258e14710
am	w1_d258e14716
Spitalberg,	w3_d258e14719
alt	w5_d258e14722
44.	w7_d258e14725
J.	w9_d258e14728
Summa	w1_d258e14733
7.	w3_d258e14736
Person.,	w5_d258e14739
darunter	w7_d258e14742
9	w9_d258e14745
Kind.	w11_d258e14748
</list>
<head id="h2_d258e14756">
Der	w1_d258e14760
Jürin	w3_d258e14763
Beronica	w5_d258e14766
Aronin,	w7_d258e14769
Wittw.,	w9_d258e14772
ihr	w11_d258e14775
K.	w13_d258e14779
Jost,	w15_d258e14782
im	w1_d258e14787
Amonis.	w3_d258e14790
H.	w5_d258e14793
am	w7_d258e14796
rot.	w9_d258e14799
Thurn,	w11_d258e14802
alt	w13_d258e14806
10.	w15_d258e14809
J.	w17_d258e14812
</head>
<head id="h2_d258e14818">
Den	w1_d258e14822
3.	w3_d258e14825
Julii.	w5_d258e14828
</head>
<head id="h2_d258e14834">
Jn	w1_d258e14838
der	w3_d258e14841
Stadt.	w5_d258e14844
</head>
<list id="l4_d258e14847">
Dem	w1_d258e14851
Wol-edlen	w3_d258e14854
Hrn.	w5_d258e14857
Carl	w7_d258e14860
Jos.	w9_d258e14863
Edlinger,	w11_d258e14866
K.	w13_d258e14870
K.	w15_d258e14873
Minist.=banco=hof	w1_d258e14878
deput.=buchhalt.=rait=offic.,	w3_d258e14881
s	w1_d258e14886
Fr.	w3_d258e14889
Maria	w5_d258e14892
Theres.,	w7_d258e14895
beym	w9_d258e14898
rot.	w11_d258e14901
Krebs.	w13_d258e14905
am	w15_d258e14908
hoh.	w17_d258e14911
Markt,	w1_d258e14917
alt	w3_d258e14920
63	w5_d258e14923
J.	w7_d258e14926
Maria	w1_d258e14931
Johanna	w3_d258e14934
Sigin,	w5_d258e14937
ledig,	w7_d258e14940
im	w9_d258e14943
Hofingerisch.	w11_d258e14946
H.	w13_d258e14950
beyn	w1_d258e14955
obern	w3_d258e14958
Jesuit.	w5_d258e14961
alt	w7_d258e14964
32.	w9_d258e14967
J.	w11_d258e14970
</list>
<head id="h2_d258e14977">
Vor	w1_d258e14981
der	w3_d258e14984
Stadt.	w5_d258e14987
</head>
<list id="l4_d258e14990">
Der	w1_d258e14994
Fr.	w3_d258e14997
Theres.	w5_d258e15000
Fürtlerin,	w7_d258e15003
Wittwe,	w9_d258e15006
ihr	w11_d258e15009
K.	w13_d258e15013
Thires.	w15_d258e15016
beyn	w1_d258e15021
3.	w3_d258e15024
Huf=eis.	w5_d258e15027
an	w7_d258e15030
der	w9_d258e15033
Wien.	w11_d258e15036
alt	w13_d258e15040
6.	w15_d258e15043
J.	w17_d258e15046
Franz	w1_d258e15051
Doringer,	w3_d258e15054
Schwein=besch.,	w5_d258e15057
im	w7_d258e15060
Halbrititir.	w9_d258e15063
H.	w1_d258e15069
auf	w3_d258e15072
der	w5_d258e15075
Landstr.,	w7_d258e15078
alt	w9_d258e15081
54.	w11_d258e15084
J.	w13_d258e15088
Dem	w1_d258e15093
Bernh.	w3_d258e15096
Zober,	w5_d258e15099
Schuh=mach.,	w7_d258e15102
s.	w9_d258e15105
K.	w11_d258e15108
Andre,	w13_d258e15112
im	w15_d258e15115
Rahtis.	w1_d258e15120
H.	w3_d258e15123
zu	w5_d258e15126
Mätzleinstorf,	w7_d258e15129
alt	w9_d258e15132
10.	w11_d258e15135
J.	w13_d258e15139
Dem	w1_d258e15144
Franz	w3_d258e15147
Priefer,	w5_d258e15150
K.	w7_d258e15153
K.	w9_d258e15156
Vor=reit,	w11_d258e15159
s.	w13_d258e15163
K.	w15_d258e15166
Cathar.,	w17_d258e15169
beym	w1_d258e15175
gold.	w3_d258e15178
Becher	w5_d258e15181
am	w7_d258e15184
Spitalberg,	w9_d258e15187
alt	w11_d258e15190
5.	w13_d258e15194
v.	w15_d258e15197
Dem	w1_d258e15202
Ant.	w3_d258e15205
Roberigo,	w5_d258e15208
Lack.	w7_d258e15211
s.	w9_d258e15214
W.	w11_d258e15217
Reg,	w13_d258e15221
bey	w15_d258e15224
dem	w17_d258e15227
weis.	w1_d258e15232
Engel	w3_d258e15235
in	w5_d258e15238
der	w7_d258e15241
Josephst.,	w9_d258e15244
alt	w11_d258e15247
46.	w13_d258e15251
J.	w15_d258e15254
Barb.	w1_d258e15259
Karmesserin,	w3_d258e15262
led.	w5_d258e15265
M.	w7_d258e15268
beym	w9_d258e15271
H.	w11_d258e15274
Gelst	w13_d258e15278
zu	w15_d258e15281
Ni	w17_d258e15284
colstorf,	w1_d258e15290
alt	w3_d258e15293
36.	w5_d258e15296
J.	w7_d258e15299
</list>
<list id="l8_d258e15305">
Dem	w1_d258e15309
Alex.	w3_d258e15312
Neumarkt,	w5_d258e15315
Tagw.,	w7_d258e15318
s.	w9_d258e15321
W.	w11_d258e15324
Elisob.,	w13_d258e15328
bey	w15_d258e15331
dem	w1_d258e15336
gold.	w3_d258e15339
Hirsch.	w5_d258e15342
in	w7_d258e15345
der	w9_d258e15348
Rossau,	w11_d258e15351
alt	w13_d258e15355
40.	w15_d258e15358
J.	w17_d258e15361
Dem	w1_d258e15366
Andre	w3_d258e15369
Hallerschmid,	w5_d258e15372
Tagw.,	w7_d258e15375
s.	w9_d258e15378
K.	w11_d258e15381
Leop.,	w13_d258e15385
bey	w15_d258e15388
Sonn,	w1_d258e15394
und	w3_d258e15397
Mond	w5_d258e15400
am	w7_d258e15403
Thury,	w9_d258e15406
alt	w11_d258e15409
5.	w13_d258e15413
J.	w15_d258e15416
Summa	w1_d258e15421
10.	w3_d258e15424
Person,	w5_d258e15427
darunter	w7_d258e15430
4.	w9_d258e15433
Kind.	w11_d258e15436
</list>
<p id="p10_d258e15440">
Es	w1_d258e15444
wird	w3_d258e15447
bey	w5_d258e15450
einer	w7_d258e15453
den	w9_d258e15456
15.	w11_d258e15459
Julii	w13_d258e15463
fruh	w15_d258e15466
um	w17_d258e15469
8.	w1_d258e15474
Uhr	w3_d258e15477
nochmalig	w5_d258e15480
angeordneten	w7_d258e15483
Licitations	w9_d258e15486
tagsatzung	w1_d258e15491
das	w3_d258e15494
Stränitzkische,	w5_d258e15497
in	w7_d258e15500
der	w9_d258e15503
sogenan	w11_d258e15506
ten	w1_d258e15512
Leopoldi=gassen	w3_d258e15515
ligend,	w5_d258e15518
dem	w7_d258e15521
Gräflich	w9_d258e15524
Mollärtischen	w1_d258e15529
Grund=buch	w3_d258e15532
zu	w5_d258e15535
Gumpendorf	w7_d258e15538
dienstbare	w1_d258e15543
Haus	w3_d258e15546
samt	w5_d258e15549
Garten	w7_d258e15552
dem	w9_d258e15555
Meist	w11_d258e15558
biettenden	w1_d258e15563
licitando	w3_d258e15566
verkauffet	w5_d258e15569
werden,	w7_d258e15572
und	w9_d258e15575
haben	w1_d258e15581
sich	w3_d258e15584
die	w5_d258e15587
Käuffer	w7_d258e15590
an	w9_d258e15593
obbesagten	w11_d258e15596
Tag	w13_d258e15600
und	w1_d258e15605
Stund	w3_d258e15608
in	w5_d258e15611
dem	w7_d258e15614
Schloß	w9_d258e15617
zu	w11_d258e15620
Gumpendorf	w13_d258e15624
in	w1_d258e15629
der	w3_d258e15632
aldortigen	w5_d258e15635
Herrschafts=canzley	w7_d258e15638
anzu	w9_d258e15641
melden.	w1_d258e15646
</p>
<p id="p12_d258e15650">
Auf	w1_d258e15654
den	w3_d258e15657
nächst=künftigen	w5_d258e15660
Donnerstag	w7_d258e15663
als	w9_d258e15666
den	w1_d258e15671
6ten	w3_d258e15674
Julii,	w5_d258e15677
werden	w7_d258e15680
in	w9_d258e15683
dem	w11_d258e15686
Jacober	w13_d258e15690
gassel	w1_d258e15695
in	w3_d258e15698
dem	w5_d258e15701
sogenannten	w7_d258e15704
Pfaidlerischen	w9_d258e15707
Haus	w11_d258e15710
im	w1_d258e15716
ersten	w3_d258e15719
Stock	w5_d258e15722
verschiedene	w7_d258e15725
Effecten,	w9_d258e15728
als	w11_d258e15731
Manns	w1_d258e15736
und	w3_d258e15739
Frauen=kleider,	w5_d258e15742
allerhand	w7_d258e15745
schö	w9_d258e15748
ne	w1_d258e15753
Wäsch,	w3_d258e15756
besonders	w5_d258e15759
aber	w7_d258e15762
Tisch=zeug,	w9_d258e15765
etwel	w11_d258e15768
che	w1_d258e15773
Behter,	w3_d258e15776
Bücher,	w5_d258e15779
und	w7_d258e15782
Kleider,	w9_d258e15785
Reiß	w11_d258e15788
und	w13_d258e15792
andere	w1_d258e15798
Truhen,	w3_d258e15801
Kästen,	w5_d258e15804
Sessel,	w7_d258e15807
Tisch,	w9_d258e15810
Mes	w11_d258e15813
sing,	w1_d258e15818
Kupfer,	w3_d258e15821
Zinn,	w5_d258e15824
Eisen,	w7_d258e15827
und	w9_d258e15830
Blech,	w11_d258e15833
so	w13_d258e15837
dann	w1_d258e15842
den	w3_d258e15845
darauf	w5_d258e15848
folgenden	w7_d258e15851
Tag	w9_d258e15854
als	w11_d258e15857
den	w13_d258e15861
7ten	w15_d258e15864
Julii	w1_d258e15869
allerhand	w3_d258e15872
meistentheils	w5_d258e15875
Teutsche,	w7_d258e15878
Me	w9_d258e15881
dicinische	w1_d258e15887
HistorischWirtschafts	w3_d258e15890
und	w5_d258e15893
der	w7_d258e15896
gleichen	w1_d258e15901
lesens=würdige	w3_d258e15904
Bücher,	w5_d258e15907
Vormittag	w7_d258e15910
von	w1_d258e15915
9.	w3_d258e15918
bis	w5_d258e15921
12.	w7_d258e15924
Nachmittag	w9_d258e15927
aber	w11_d258e15930
von	w13_d258e15934
3	w15_d258e15937
bis	w1_d258e15942
6.	w3_d258e15945
Uhr	w5_d258e15948
licitando	w7_d258e15951
plus	w9_d258e15954
offerenti	w11_d258e15957
ver	w13_d258e15961
kauffet	w1_d258e15967
werden.	w3_d258e15970
</p>
<p id="p14_d258e15973">
Den	w1_d258e15977
7.	w3_d258e15980
Julii	w5_d258e15983
dies	w7_d258e15986
Jahrs	w9_d258e15989
fruhe	w11_d258e15992
um	w13_d258e15996
9.	w15_d258e15999
Uhr	w1_d258e16004
werden	w3_d258e16007
in	w5_d258e16010
der	w7_d258e16013
Kloster	w9_d258e16016
Maurbachischen	w11_d258e16019
Grund=stuben	w1_d258e16024
in	w3_d258e16027
Seitzer=hof	w5_d258e16030
in	w7_d258e16033
Wien,	w9_d258e16036
die	w11_d258e16039
von	w1_d258e16045
dem	w3_d258e16048
Herrn	w5_d258e16051
Anton	w7_d258e16054
Tognana	w9_d258e16057
von	w11_d258e16060
Ton	w13_d258e16064
nenfeld	w1_d258e16069
innengehabte	w3_d258e16072
zu	w5_d258e16075
Hütteldorf	w7_d258e16078
in	w9_d258e16081
unte	w11_d258e16084
ten	w1_d258e16089
und	w3_d258e16092
mitteren	w5_d258e16095
Spiegeln	w7_d258e16098
ligende	w9_d258e16101
4.	w11_d258e16104
Viertel	w13_d258e16108
Wiesen,	w1_d258e16113
dem	w3_d258e16116
Meistbietenden	w5_d258e16119
licitando	w7_d258e16122
ver	w9_d258e16125
kauffet	w1_d258e16131
werden,	w3_d258e16134
wer	w5_d258e16137
also	w7_d258e16140
dieselbe	w9_d258e16143
Käuflich	w11_d258e16146
an	w1_d258e16151
sich	w3_d258e16154
zu	w5_d258e16157
bringen	w7_d258e16160
gedenket,	w9_d258e16163
der	w11_d258e16166
kan	w13_d258e16170
sich	w15_d258e16173
an	w17_d258e16176
ob	w19_d258e16179
bemeldten	w1_d258e16184
Tag	w3_d258e16187
und	w5_d258e16190
Stund	w7_d258e16193
alda	w9_d258e16196
einfinden.	w11_d258e16199
</p>
<p id="p16_d258e16202">
Auf	w1_d258e16206
Verordnung	w3_d258e16209
einer	w5_d258e16212
Hochlöbl.	w7_d258e16215
N.	w9_d258e16218
Oe,	w11_d258e16221
Regierung	w1_d258e16226
in	w3_d258e16229
Justitz=sachen	w5_d258e16232
wird	w7_d258e16235
hiemit	w9_d258e16238
jen	w11_d258e16241
dermänniglich	w1_d258e16246
kund	w3_d258e16249
und	w5_d258e16252
zu	w7_d258e16255
wissen	w9_d258e16258
gemacht,	w11_d258e16261
daß	w1_d258e16267
auf	w3_d258e16270
den	w5_d258e16273
6.	w7_d258e16276
jetzt=lauffenden	w9_d258e16279
Monats	w11_d258e16282
Julii	w1_d258e16287
Nachmittag	w3_d258e16290
um	w5_d258e16293
3.	w7_d258e16296
Uhr	w9_d258e16299
in	w11_d258e16302
der	w13_d258e16306
Karnt	w15_d258e16309
ner	w1_d258e16314
strassen	w3_d258e16317
im	w5_d258e16320
sogenannten	w7_d258e16323
kleinen	w9_d258e16326
Johannes	w11_d258e16329
hof.	w1_d258e16334
im	w3_d258e16337
dritten	w5_d258e16340
Stock	w7_d258e16343
zwey	w9_d258e16346
Stuck	w11_d258e16349
ledige	w13_d258e16353
</p>
<p id="p18_d258e16356">
Brillanten	w1_d258e16360
dem	w3_d258e16363
Meist=biettenden	w5_d258e16366
gegen	w7_d258e16369
baarer	w9_d258e16372
Bezahlung	w1_d258e16377
werden	w3_d258e16380
hindan	w5_d258e16383
gegeben	w7_d258e16386
werden.	w9_d258e16389
</p>
<p id="p20_d258e16392">
Jn	w1_d258e16396
St.	w3_d258e16399
Pölten,	w5_d258e16402
seynd	w7_d258e16405
in	w9_d258e16408
einem	w11_d258e16411
neugebau	w13_d258e16415
ten	w1_d258e16420
schönen	w3_d258e16423
Haus,	w5_d258e16426
so	w7_d258e16429
auf	w9_d258e16432
dem	w11_d258e16435
besten	w13_d258e16439
Platz	w15_d258e16442
ste	w17_d258e16445
het,	w1_d258e16450
9.	w3_d258e16453
Zimmer,	w5_d258e16456
nebst	w7_d258e16459
Stallung,	w9_d258e16462
Schupfen,	w11_d258e16465
und	w1_d258e16471
einem	w3_d258e16474
Garten,	w5_d258e16477
samt	w7_d258e16480
denen	w9_d258e16483
nohtwendi	w11_d258e16486
gen	w1_d258e16491
Meublen	w3_d258e16494
zu	w5_d258e16497
verlassen,	w7_d258e16500
wer	w9_d258e16503
selbes	w11_d258e16506
bestehen	w13_d258e16510
will,	w1_d258e16515
der	w3_d258e16518
hat	w5_d258e16521
sich	w7_d258e16524
der	w9_d258e16527
mehrern	w11_d258e16530
Auskunft	w13_d258e16534
hal	w15_d258e16537
ber	w1_d258e16542
bey	w3_d258e16545
dem	w5_d258e16548
Verleger	w7_d258e16551
des	w9_d258e16554
Wienerischen	w11_d258e16557
Dia	w13_d258e16561
rii	w1_d258e16567
anzumelden.	w3_d258e16570
</p>
<p id="p22_d258e16575">
Wir	w1_d258e16579
Endes	w3_d258e16582
gefertigte,	w5_d258e16585
von	w7_d258e16588
einem	w9_d258e16591
Löbl.	w11_d258e16594
Land=marschallischen	w1_d258e16599
Gericht	w3_d258e16602
verordnete	w5_d258e16605
Com	w7_d258e16608
missarien	w1_d258e16613
fügen	w3_d258e16616
N.	w5_d258e16619
allen	w7_d258e16622
und	w9_d258e16625
jeden,	w11_d258e16628
so	w13_d258e16632
an	w15_d258e16635
weil.	w1_d258e16641
Ferdinand	w3_d258e16644
Aichinger	w5_d258e16647
von	w7_d258e16650
Buchenau	w9_d258e16653
über	w11_d258e16656
die	w1_d258e16661
von	w3_d258e16664
denen	w5_d258e16667
Hoch=löbl.	w7_d258e16670
N.	w9_d258e16673
Oe.	w11_d258e16676
drey	w13_d258e16680
oberen	w15_d258e16683
Herren	w1_d258e16688
Ständen	w3_d258e16691
übernommene	w5_d258e16694
Vicedomische	w7_d258e16697
Gülten	w1_d258e16702
und	w3_d258e16705
Unterthanen	w5_d258e16708
aufgestellten	w7_d258e16711
Grund	w9_d258e16714
buch=handlers	w1_d258e16720
seel.	w3_d258e16723
Verlassenschaft	w5_d258e16726
Sprüche	w7_d258e16729
und	w1_d258e16734
Anforderungen	w3_d258e16737
haben,	w5_d258e16740
welcher=gestalten	w7_d258e16743
wir	w1_d258e16748
auf	w3_d258e16751
Anlangen	w5_d258e16754
des	w7_d258e16757
Hrn.	w9_d258e16760
Doctoris	w11_d258e16763
Gru	w13_d258e16767
ber	w1_d258e16772
als	w3_d258e16775
Gerichtl.	w5_d258e16778
verordnet=Aichingerischen	w7_d258e16781
Curatoris	w1_d258e16787
ad	w3_d258e16790
lites,	w5_d258e16793
und	w7_d258e16796
hierüber	w9_d258e16799
an	w11_d258e16802
uns	w13_d258e16806
er	w15_d258e16809
gangene	w1_d258e16814
Gerichtl.	w3_d258e16817
Auflag	w5_d258e16820
eine	w7_d258e16823
peremptorie	w9_d258e16826
clausulirte	w1_d258e16831
Convocations=tag=satzung	w3_d258e16834
auf	w5_d258e16837
den	w7_d258e16840
7.	w1_d258e16845
Julii	w3_d258e16848
dies	w5_d258e16851
Jahrs	w7_d258e16854
Nachmittag	w9_d258e16857
um	w11_d258e16860
2.	w13_d258e16864
Uhr	w15_d258e16867
in	w1_d258e16873
meiner	w3_d258e16876
Land	w5_d258e16879
schreibers	w7_d258e16882
im	w9_d258e16885
Zickinischen	w11_d258e16888
Haus	w13_d258e16892
in	w1_d258e16897
der	w3_d258e16900
Wald	w5_d258e16903
zeil	w7_d258e16906
im	w9_d258e16909
anderten	w11_d258e16912
Stock	w13_d258e16916
habenden	w15_d258e16919
Wohnung	w1_d258e16924
zu	w3_d258e16927
erscheinen	w5_d258e16930
pro	w7_d258e16933
primo,	w9_d258e16936
secunde	w11_d258e16939
ac	w1_d258e16944
ultimo	w3_d258e16947
Termino	w5_d258e16950
bestimmet	w7_d258e16953
haben.	w9_d258e16956
</p>
<p id="p24_d258e16960">
Solchemnach	w1_d258e16964
werden	w3_d258e16967
all	w5_d258e16970
und	w7_d258e16973
jede	w9_d258e16976
Jnteres	w11_d258e16979
sirte,	w1_d258e16984
so	w3_d258e16987
an	w5_d258e16990
ob=bemeldt=Aichingerische	w7_d258e16993
Verlas	w9_d258e16996
senschaft	w1_d258e17001
Sprüche	w3_d258e17004
und	w5_d258e17007
Anforderungen	w7_d258e17010
haben,	w9_d258e17013
oder	w1_d258e17019
zu	w3_d258e17022
haben	w5_d258e17025
vermeinen,	w7_d258e17028
an	w9_d258e17031
obgedachtem	w11_d258e17034
Tag,	w1_d258e17039
Stund	w3_d258e17042
und	w5_d258e17045
Ort	w7_d258e17048
alsogewiß	w9_d258e17051
persönlich,	w11_d258e17054
oder	w1_d258e17059
durch	w3_d258e17062
genugsam	w5_d258e17065
Bevollmächtigte	w7_d258e17068
erschei	w9_d258e17071
nen,	w1_d258e17076
ihre	w3_d258e17079
Sprüche	w5_d258e17082
melden,	w7_d258e17085
und	w9_d258e17088
zugleich	w11_d258e17091
der	w13_d258e17095
Ordnung	w1_d258e17101
nach	w3_d258e17104
behörig	w5_d258e17107
liquidiren,	w7_d258e17110
als	w9_d258e17113
im	w11_d258e17116
wi	w13_d258e17120
drigen	w1_d258e17125
die	w3_d258e17128
Abhandlung	w5_d258e17131
vorgenommen,	w7_d258e17134
hierüber	w9_d258e17137
ex	w1_d258e17142
officio	w3_d258e17145
relationiret,	w5_d258e17148
denen	w7_d258e17151
Ausbleibenden	w9_d258e17154
aber	w1_d258e17159
das	w3_d258e17162
ewige	w5_d258e17165
Stillschweigen	w7_d258e17168
auferlegt	w9_d258e17171
werden	w1_d258e17177
solle.	w3_d258e17180
Actum	w5_d258e17183
Wien	w7_d258e17186
den	w9_d258e17189
3.	w11_d258e17192
May	w13_d258e17196
1758.	w15_d258e17199
(L.	w1_d258e17204
S.)	w3_d258e17207
Gabriel	w5_d258e17210
Joseph	w7_d258e17213
Stettner,	w9_d258e17216
Land	w11_d258e17219
schreiber.	w1_d258e17224
(L.	w1_d258e17229
S.)	w3_d258e17232
Franz	w5_d258e17235
Leopold	w7_d258e17238
Edler	w9_d258e17241
von	w11_d258e17244
Kees,	w13_d258e17248
</p>
<p id="p26_d258e17251">
Den	w1_d258e17255
10ten	w3_d258e17258
dieses	w5_d258e17261
lauffenden	w7_d258e17264
Monats	w9_d258e17267
Julii	w11_d258e17270
werden	w1_d258e17275
in	w3_d258e17278
dem	w5_d258e17281
Schickischen=haus	w7_d258e17284
auf	w9_d258e17287
dem	w11_d258e17290
Hohen=markt	w1_d258e17295
nächst	w3_d258e17298
dem	w5_d258e17301
breiten	w7_d258e17304
Stein	w9_d258e17307
im	w11_d258e17310
ersten	w1_d258e17316
Stock	w3_d258e17319
verschiedene	w5_d258e17322
Verlassenschafts	w7_d258e17325
</p>
<p id="p30_d258e17330">
Effecten	w1_d258e17334
als	w3_d258e17337
einige	w5_d258e17340
Ringe,	w7_d258e17343
Silber,	w9_d258e17346
Frauen	w11_d258e17349
kleider,	w1_d258e17354
Spitz,	w3_d258e17357
und	w5_d258e17360
Wäsch,	w7_d258e17363
Niderländer	w9_d258e17366
spallier,	w1_d258e17371
Zinn,	w3_d258e17374
Kupfer,	w5_d258e17377
wie	w7_d258e17380
auch	w9_d258e17383
andere	w11_d258e17386
Ein	w13_d258e17390
richtung,	w1_d258e17396
und	w3_d258e17399
Fahrnüssen,	w5_d258e17402
besonders	w7_d258e17405
aber	w9_d258e17408
zwey	w11_d258e17411
Extra	w1_d258e17416
grosse	w3_d258e17419
Spiegel	w5_d258e17422
in	w7_d258e17425
schön	w9_d258e17428
geschnitten	w11_d258e17431
und	w1_d258e17436
stark	w3_d258e17439
vergoldeten	w5_d258e17442
Rahmen	w7_d258e17445
licitando	w9_d258e17448
fruh	w11_d258e17451
von	w1_d258e17456
9.	w3_d258e17459
bis	w5_d258e17462
12.	w7_d258e17465
und	w9_d258e17468
Nachmittag	w11_d258e17471
von	w13_d258e17475
3.	w15_d258e17478
bis	w17_d258e17481
6.	w1_d258e17487
Uhr	w3_d258e17490
verkauffet	w5_d258e17493
werden.	w7_d258e17496
</p>
<head id="h2_d258e17502">
EDICT.	w1_d258e17506
</head>
<p id="p4_d258e17509">
Von	w1_d258e17513
des,	w3_d258e17516
von	w5_d258e17519
denen	w7_d258e17522
Hochlöbl.	w9_d258e17525
N.	w11_d258e17528
Oe.	w13_d258e17532
drey	w15_d258e17535
oberen	w1_d258e17540
Herren	w3_d258e17543
Ständen,	w5_d258e17546
als	w7_d258e17549
Jnnhabern	w9_d258e17552
de	w11_d258e17555
ren	w1_d258e17560
Vicedomischen	w3_d258e17563
Unterthanen,	w5_d258e17566
und	w7_d258e17569
Gülten	w9_d258e17572
in	w1_d258e17578
hac	w3_d258e17581
cauia	w5_d258e17584
specifica	w7_d258e17587
aufgestelten	w9_d258e17590
Judicii	w11_d258e17593
Delegati	w1_d258e17598
wegen	w3_d258e17601
denen	w5_d258e17604
Weil.	w7_d258e17607
Herrn	w9_d258e17610
Johann	w11_d258e17613
Franz	w1_d258e17618
de	w3_d258e17621
Paula	w5_d258e17624
Grafen	w7_d258e17627
von	w9_d258e17630
Preysing	w11_d258e17633
ruck	w13_d258e17637
gelassenen	w1_d258e17642
Herren	w3_d258e17645
Erben	w5_d258e17648
hiemit	w7_d258e17651
anzuzeigen:	w9_d258e17654
